context: After spending Tanabata in a state of melancholy... response:	Japanese
context: Maybe it's that.\Those hackers or crackers people talk about!\Couldn't be.\It's probably some kind of error.\I'm pissed!\Maybe someone's committing cyber-terrorism against the SOS Brigade!\Who is it?\If I find that person, I'll skip the trial and sentence him to thirty days of community service! response:	Come in!
context: Those hackers or crackers people talk about!\Couldn't be.\It's probably some kind of error.\I'm pissed!\Maybe someone's committing cyber-terrorism against the SOS Brigade!\Who is it?\If I find that person, I'll skip the trial and sentence him to thirty days of community service!\Come in! response:	Now this is rare.
context: Couldn't be.\It's probably some kind of error.\I'm pissed!\Maybe someone's committing cyber-terrorism against the SOS Brigade!\Who is it?\If I find that person, I'll skip the trial and sentence him to thirty days of community service!\Come in!\Now this is rare. response:	Asahina-san has yet to show up?
context: It's probably some kind of error.\I'm pissed!\Maybe someone's committing cyber-terrorism against the SOS Brigade!\Who is it?\If I find that person, I'll skip the trial and sentence him to thirty days of community service!\Come in!\Now this is rare.\Asahina-san has yet to show up? response:	Second years have extra testing, don't they?
context: I'm pissed!\Maybe someone's committing cyber-terrorism against the SOS Brigade!\Who is it?\If I find that person, I'll skip the trial and sentence him to thirty days of community service!\Come in!\Now this is rare.\Asahina-san has yet to show up?\Second years have extra testing, don't they? response:	We could have gone home already...
context: Maybe someone's committing cyber-terrorism against the SOS Brigade!\Who is it?\If I find that person, I'll skip the trial and sentence him to thirty days of community service!\Come in!\Now this is rare.\Asahina-san has yet to show up?\Second years have extra testing, don't they?\We could have gone home already... response:	And Haruhi.
context: Who is it?\If I find that person, I'll skip the trial and sentence him to thirty days of community service!\Come in!\Now this is rare.\Asahina-san has yet to show up?\Second years have extra testing, don't they?\We could have gone home already...\And Haruhi. response:	Why aren't you complaining about knocking when Koizumi did it?
context: If I find that person, I'll skip the trial and sentence him to thirty days of community service!\Come in!\Now this is rare.\Asahina-san has yet to show up?\Second years have extra testing, don't they?\We could have gone home already...\And Haruhi.\Why aren't you complaining about knocking when Koizumi did it? response:	Star
context: Come in!\Now this is rare.\Asahina-san has yet to show up?\Second years have extra testing, don't they?\We could have gone home already...\And Haruhi.\Why aren't you complaining about knocking when Koizumi did it?\Star response:	Diamond
context: Now this is rare.\Asahina-san has yet to show up?\Second years have extra testing, don't they?\We could have gone home already...\And Haruhi.\Why aren't you complaining about knocking when Koizumi did it?\Star\Diamond response:	Star
context: Asahina-san has yet to show up?\Second years have extra testing, don't they?\We could have gone home already...\And Haruhi.\Why aren't you complaining about knocking when Koizumi did it?\Star\Diamond\Star response:	Diamond
context: Second years have extra testing, don't they?\We could have gone home already...\And Haruhi.\Why aren't you complaining about knocking when Koizumi did it?\Star\Diamond\Star\Diamond response:	Star
context: We could have gone home already...\And Haruhi.\Why aren't you complaining about knocking when Koizumi did it?\Star\Diamond\Star\Diamond\Star response:	Diamond
context: And Haruhi.\Why aren't you complaining about knocking when Koizumi did it?\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Why aren't you complaining about knocking when Koizumi did it?\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	Star
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\Star response:	Diamond
context: Star\Diamond\Star\Diamond\Star\Diamond\Star\Diamond response:	I really can't wait for Asahina-san's tea.
context: Diamond\Star\Diamond\Star\Diamond\Star\Diamond\I really can't wait for Asahina-san's tea. response:	Wrong!
context: Star\Diamond\Star\Diamond\Star\Diamond\I really can't wait for Asahina-san's tea.\Wrong! response:	Wrong! Wrong!
context: Diamond\Star\Diamond\Star\Diamond\I really can't wait for Asahina-san's tea.\Wrong!\Wrong! Wrong! response:	I spent the subsequent period of time...
context: Star\Diamond\Star\Diamond\I really can't wait for Asahina-san's tea.\Wrong!\Wrong! Wrong!\I spent the subsequent period of time... response:	Right!
context: Diamond\Star\Diamond\I really can't wait for Asahina-san's tea.\Wrong!\Wrong! Wrong!\I spent the subsequent period of time...\Right! response:	There! Left!
context: Star\Diamond\I really can't wait for Asahina-san's tea.\Wrong!\Wrong! Wrong!\I spent the subsequent period of time...\Right!\There! Left! response:	I said!
context: Diamond\I really can't wait for Asahina-san's tea.\Wrong!\Wrong! Wrong!\I spent the subsequent period of time...\Right!\There! Left!\I said! response:	Wrong!
context: I really can't wait for Asahina-san's tea.\Wrong!\Wrong! Wrong!\I spent the subsequent period of time...\Right!\There! Left!\I said!\Wrong! response:	That was the sound of salvation.
context: Wrong!\Wrong! Wrong!\I spent the subsequent period of time...\Right!\There! Left!\I said!\Wrong!\That was the sound of salvation. response:	Come in!
context: Wrong! Wrong!\I spent the subsequent period of time...\Right!\There! Left!\I said!\Wrong!\That was the sound of salvation.\Come in! response:	Sorry I'm late.
context: I spent the subsequent period of time...\Right!\There! Left!\I said!\Wrong!\That was the sound of salvation.\Come in!\Sorry I'm late. response:	I had tests until fourth period.
context: Right!\There! Left!\I said!\Wrong!\That was the sound of salvation.\Come in!\Sorry I'm late.\I had tests until fourth period. response:	The person who just appeared while humbly apologizing...
context: There! Left!\I said!\Wrong!\That was the sound of salvation.\Come in!\Sorry I'm late.\I had tests until fourth period.\The person who just appeared while humbly apologizing... response:	Asahina-san has descended.
context: I said!\Wrong!\That was the sound of salvation.\Come in!\Sorry I'm late.\I had tests until fourth period.\The person who just appeared while humbly apologizing...\Asahina-san has descended. response:	Um... Well... That is...
context: Wrong!\That was the sound of salvation.\Come in!\Sorry I'm late.\I had tests until fourth period.\The person who just appeared while humbly apologizing...\Asahina-san has descended.\Um... Well... That is... response:	U-Um!
context: That was the sound of salvation.\Come in!\Sorry I'm late.\I had tests until fourth period.\The person who just appeared while humbly apologizing...\Asahina-san has descended.\Um... Well... That is...\U-Um! response:	I brought a visitor.
context: Come in!\Sorry I'm late.\I had tests until fourth period.\The person who just appeared while humbly apologizing...\Asahina-san has descended.\Um... Well... That is...\U-Um!\I brought a visitor. response:	How can this be!?
context: Sorry I'm late.\I had tests until fourth period.\The person who just appeared while humbly apologizing...\Asahina-san has descended.\Um... Well... That is...\U-Um!\I brought a visitor.\How can this be!? response:	Nobody was ever supposed to come seeking counseling yet here's our first one!
context: I had tests until fourth period.\The person who just appeared while humbly apologizing...\Asahina-san has descended.\Um... Well... That is...\U-Um!\I brought a visitor.\How can this be!?\Nobody was ever supposed to come seeking counseling yet here's our first one! response:	Her name was Emiri Kimidori-san.
context: The person who just appeared while humbly apologizing...\Asahina-san has descended.\Um... Well... That is...\U-Um!\I brought a visitor.\How can this be!?\Nobody was ever supposed to come seeking counseling yet here's our first one!\Her name was Emiri Kimidori-san. response:	A second year who appeared soft-spoken and well-groomed.
context: Asahina-san has descended.\Um... Well... That is...\U-Um!\I brought a visitor.\How can this be!?\Nobody was ever supposed to come seeking counseling yet here's our first one!\Her name was Emiri Kimidori-san.\A second year who appeared soft-spoken and well-groomed. response:	So you want our SOS Brigade to look for your missing boyfriend, right?
context: Um... Well... That is...\U-Um!\I brought a visitor.\How can this be!?\Nobody was ever supposed to come seeking counseling yet here's our first one!\Her name was Emiri Kimidori-san.\A second year who appeared soft-spoken and well-groomed.\So you want our SOS Brigade to look for your missing boyfriend, right? response:	Yes.
context: U-Um!\I brought a visitor.\How can this be!?\Nobody was ever supposed to come seeking counseling yet here's our first one!\Her name was Emiri Kimidori-san.\A second year who appeared soft-spoken and well-groomed.\So you want our SOS Brigade to look for your missing boyfriend, right?\Yes. response:	Apparently...
context: I brought a visitor.\How can this be!?\Nobody was ever supposed to come seeking counseling yet here's our first one!\Her name was Emiri Kimidori-san.\A second year who appeared soft-spoken and well-groomed.\So you want our SOS Brigade to look for your missing boyfriend, right?\Yes.\Apparently... response:	So what might be troubling you...
context: How can this be!?\Nobody was ever supposed to come seeking counseling yet here's our first one!\Her name was Emiri Kimidori-san.\A second year who appeared soft-spoken and well-groomed.\So you want our SOS Brigade to look for your missing boyfriend, right?\Yes.\Apparently...\So what might be troubling you... response:	He hasn't come to school for many days now.
context: Nobody was ever supposed to come seeking counseling yet here's our first one!\Her name was Emiri Kimidori-san.\A second year who appeared soft-spoken and well-groomed.\So you want our SOS Brigade to look for your missing boyfriend, right?\Yes.\Apparently...\So what might be troubling you...\He hasn't come to school for many days now. response:	Did you try calling him?
context: Her name was Emiri Kimidori-san.\A second year who appeared soft-spoken and well-groomed.\So you want our SOS Brigade to look for your missing boyfriend, right?\Yes.\Apparently...\So what might be troubling you...\He hasn't come to school for many days now.\Did you try calling him? response:	He doesn't answer his cell or his home phone.
context: A second year who appeared soft-spoken and well-groomed.\So you want our SOS Brigade to look for your missing boyfriend, right?\Yes.\Apparently...\So what might be troubling you...\He hasn't come to school for many days now.\Did you try calling him?\He doesn't answer his cell or his home phone. response:	I went to his home, but he wasn't there.
context: So you want our SOS Brigade to look for your missing boyfriend, right?\Yes.\Apparently...\So what might be troubling you...\He hasn't come to school for many days now.\Did you try calling him?\He doesn't answer his cell or his home phone.\I went to his home, but he wasn't there. response:	What about your boyfriend's family?
context: Yes.\Apparently...\So what might be troubling you...\He hasn't come to school for many days now.\Did you try calling him?\He doesn't answer his cell or his home phone.\I went to his home, but he wasn't there.\What about your boyfriend's family? response:	He lives by himself.
context: Apparently...\So what might be troubling you...\He hasn't come to school for many days now.\Did you try calling him?\He doesn't answer his cell or his home phone.\I went to his home, but he wasn't there.\What about your boyfriend's family?\He lives by himself. response:	I've heard that his parents live overseas.
context: So what might be troubling you...\He hasn't come to school for many days now.\Did you try calling him?\He doesn't answer his cell or his home phone.\I went to his home, but he wasn't there.\What about your boyfriend's family?\He lives by himself.\I've heard that his parents live overseas. response:	But I don't know how to contact them.
context: He hasn't come to school for many days now.\Did you try calling him?\He doesn't answer his cell or his home phone.\I went to his home, but he wasn't there.\What about your boyfriend's family?\He lives by himself.\I've heard that his parents live overseas.\But I don't know how to contact them. response:	Would they happen to be in Canada?
context: Did you try calling him?\He doesn't answer his cell or his home phone.\I went to his home, but he wasn't there.\What about your boyfriend's family?\He lives by himself.\I've heard that his parents live overseas.\But I don't know how to contact them.\Would they happen to be in Canada? response:	No.
context: He doesn't answer his cell or his home phone.\I went to his home, but he wasn't there.\What about your boyfriend's family?\He lives by himself.\I've heard that his parents live overseas.\But I don't know how to contact them.\Would they happen to be in Canada?\No. response:	I believe it was Honduras.
context: I went to his home, but he wasn't there.\What about your boyfriend's family?\He lives by himself.\I've heard that his parents live overseas.\But I don't know how to contact them.\Would they happen to be in Canada?\No.\I believe it was Honduras. response:	Honduras, huh.
context: What about your boyfriend's family?\He lives by himself.\I've heard that his parents live overseas.\But I don't know how to contact them.\Would they happen to be in Canada?\No.\I believe it was Honduras.\Honduras, huh. response:	I see.
context: He lives by himself.\I've heard that his parents live overseas.\But I don't know how to contact them.\Would they happen to be in Canada?\No.\I believe it was Honduras.\Honduras, huh.\I see. response:	I see, my ass!
context: I've heard that his parents live overseas.\But I don't know how to contact them.\Would they happen to be in Canada?\No.\I believe it was Honduras.\Honduras, huh.\I see.\I see, my ass! response:	I doubt you even know where it is.
context: But I don't know how to contact them.\Would they happen to be in Canada?\No.\I believe it was Honduras.\Honduras, huh.\I see.\I see, my ass!\I doubt you even know where it is. response:	Uh...
context: Would they happen to be in Canada?\No.\I believe it was Honduras.\Honduras, huh.\I see.\I see, my ass!\I doubt you even know where it is.\Uh... response:	Was it somewhere below Mexico?
context: No.\I believe it was Honduras.\Honduras, huh.\I see.\I see, my ass!\I doubt you even know where it is.\Uh...\Was it somewhere below Mexico? response:	His room was completely dark when I went at night.
context: I believe it was Honduras.\Honduras, huh.\I see.\I see, my ass!\I doubt you even know where it is.\Uh...\Was it somewhere below Mexico?\His room was completely dark when I went at night. response:	I'm so worried...
context: Honduras, huh.\I see.\I see, my ass!\I doubt you even know where it is.\Uh...\Was it somewhere below Mexico?\His room was completely dark when I went at night.\I'm so worried... response:	I can understand how you feel.
context: I see.\I see, my ass!\I doubt you even know where it is.\Uh...\Was it somewhere below Mexico?\His room was completely dark when I went at night.\I'm so worried...\I can understand how you feel. response:	Like hell you can!
context: I see, my ass!\I doubt you even know where it is.\Uh...\Was it somewhere below Mexico?\His room was completely dark when I went at night.\I'm so worried...\I can understand how you feel.\Like hell you can! response:	You can't possibly understand how it feels to be in love!
context: I doubt you even know where it is.\Uh...\Was it somewhere below Mexico?\His room was completely dark when I went at night.\I'm so worried...\I can understand how you feel.\Like hell you can!\You can't possibly understand how it feels to be in love! response:	In any case...
context: Uh...\Was it somewhere below Mexico?\His room was completely dark when I went at night.\I'm so worried...\I can understand how you feel.\Like hell you can!\You can't possibly understand how it feels to be in love!\In any case... response:	I'm amazed you came to our SOS Brigade.
context: Was it somewhere below Mexico?\His room was completely dark when I went at night.\I'm so worried...\I can understand how you feel.\Like hell you can!\You can't possibly understand how it feels to be in love!\In any case...\I'm amazed you came to our SOS Brigade. response:	What was the cause?
context: His room was completely dark when I went at night.\I'm so worried...\I can understand how you feel.\Like hell you can!\You can't possibly understand how it feels to be in love!\In any case...\I'm amazed you came to our SOS Brigade.\What was the cause? response:	He mentioned the SOS Brigade numerous times.
context: I'm so worried...\I can understand how you feel.\Like hell you can!\You can't possibly understand how it feels to be in love!\In any case...\I'm amazed you came to our SOS Brigade.\What was the cause?\He mentioned the SOS Brigade numerous times. response:	Who's your boyfriend?
context: I can understand how you feel.\Like hell you can!\You can't possibly understand how it feels to be in love!\In any case...\I'm amazed you came to our SOS Brigade.\What was the cause?\He mentioned the SOS Brigade numerous times.\Who's your boyfriend? response:	Ya
context: Like hell you can!\You can't possibly understand how it feels to be in love!\In any case...\I'm amazed you came to our SOS Brigade.\What was the cause?\He mentioned the SOS Brigade numerous times.\Who's your boyfriend?\Ya response:	Who is that?
context: You can't possibly understand how it feels to be in love!\In any case...\I'm amazed you came to our SOS Brigade.\What was the cause?\He mentioned the SOS Brigade numerous times.\Who's your boyfriend?\Ya\Who is that? response:	I believe he said that he was neighbors with the SOS Brigade.
context: In any case...\I'm amazed you came to our SOS Brigade.\What was the cause?\He mentioned the SOS Brigade numerous times.\Who's your boyfriend?\Ya\Who is that?\I believe he said that he was neighbors with the SOS Brigade. response:	He serves as the president of the Computer Research Society.
context: I'm amazed you came to our SOS Brigade.\What was the cause?\He mentioned the SOS Brigade numerous times.\Who's your boyfriend?\Ya\Who is that?\I believe he said that he was neighbors with the SOS Brigade.\He serves as the president of the Computer Research Society. response:	The one Haruhi took pictures of sexually harassing Asahina-san!
context: What was the cause?\He mentioned the SOS Brigade numerous times.\Who's your boyfriend?\Ya\Who is that?\I believe he said that he was neighbors with the SOS Brigade.\He serves as the president of the Computer Research Society.\The one Haruhi took pictures of sexually harassing Asahina-san! response:	CG of stripping produced!?
context: He mentioned the SOS Brigade numerous times.\Who's your boyfriend?\Ya\Who is that?\I believe he said that he was neighbors with the SOS Brigade.\He serves as the president of the Computer Research Society.\The one Haruhi took pictures of sexually harassing Asahina-san!\CG of stripping produced!? response:	Against his will
context: Who's your boyfriend?\Ya\Who is that?\I believe he said that he was neighbors with the SOS Brigade.\He serves as the president of the Computer Research Society.\The one Haruhi took pictures of sexually harassing Asahina-san!\CG of stripping produced!?\Against his will response:	CG of stripping produced!?
context: Ya\Who is that?\I believe he said that he was neighbors with the SOS Brigade.\He serves as the president of the Computer Research Society.\The one Haruhi took pictures of sexually harassing Asahina-san!\CG of stripping produced!?\Against his will\CG of stripping produced!? response:	Against his will
context: Who is that?\I believe he said that he was neighbors with the SOS Brigade.\He serves as the president of the Computer Research Society.\The one Haruhi took pictures of sexually harassing Asahina-san!\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will response:	CG of stripping produced!?
context: I believe he said that he was neighbors with the SOS Brigade.\He serves as the president of the Computer Research Society.\The one Haruhi took pictures of sexually harassing Asahina-san!\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!? response:	Against his will
context: He serves as the president of the Computer Research Society.\The one Haruhi took pictures of sexually harassing Asahina-san!\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will response:	CG of stripping produced!?
context: The one Haruhi took pictures of sexually harassing Asahina-san!\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!? response:	Against his will
context: CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will response:	CG of stripping produced!?
context: Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!? response:	Against his will
context: CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will response:	CG of stripping produced!?
context: Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!? response:	Against his will
context: CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will response:	Against his will
context: Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\Against his will response:	Against his will
context: CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\Against his will\Against his will response:	Against his will
context: Against his will\CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\Against his will\Against his will\Against his will response:	Against his will
context: CG of stripping produced!?\Against his will\CG of stripping produced!?\Against his will\Against his will\Against his will\Against his will\Against his will response:	Against his will
context: Against his will\CG of stripping produced!?\Against his will\Against his will\Against his will\Against his will\Against his will\Against his will response:	And then Haruhi used that as leverage to acquire a top-of-the-line computer!
context: CG of stripping produced!?\Against his will\Against his will\Against his will\Against his will\Against his will\Against his will\And then Haruhi used that as leverage to acquire a top-of-the-line computer! response:	By force
context: Against his will\Against his will\Against his will\Against his will\Against his will\Against his will\And then Haruhi used that as leverage to acquire a top-of-the-line computer!\By force response:	By force
context: Against his will\Against his will\Against his will\Against his will\Against his will\And then Haruhi used that as leverage to acquire a top-of-the-line computer!\By force\By force response:	By force
context: Against his will\Against his will\Against his will\Against his will\And then Haruhi used that as leverage to acquire a top-of-the-line computer!\By force\By force\By force response:	By force
context: Against his will\Against his will\Against his will\And then Haruhi used that as leverage to acquire a top-of-the-line computer!\By force\By force\By force\By force response:	By force
context: Against his will\Against his will\And then Haruhi used that as leverage to acquire a top-of-the-line computer!\By force\By force\By force\By force\By force response:	By force
context: Against his will\And then Haruhi used that as leverage to acquire a top-of-the-line computer!\By force\By force\By force\By force\By force\By force response:	By force
context: And then Haruhi used that as leverage to acquire a top-of-the-line computer!\By force\By force\By force\By force\By force\By force\By force response:	By force
context: By force\By force\By force\By force\By force\By force\By force\By force response:	By force
context: By force\By force\By force\By force\By force\By force\By force\By force response:	By force
context: By force\By force\By force\By force\By force\By force\By force\By force response:	By force
context: By force\By force\By force\By force\By force\By force\By force\By force response:	By force
context: By force\By force\By force\By force\By force\By force\By force\By force response:	By force
context: By force\By force\By force\By force\By force\By force\By force\By force response:	By force
context: By force\By force\By force\By force\By force\By force\By force\By force response:	By force
context: By force\By force\By force\By force\By force\By force\By force\By force response:	Even made him hook it up in tears.
context: By force\By force\By force\By force\By force\By force\By force\Even made him hook it up in tears. response:	That pitiful computer president.
context: By force\By force\By force\By force\By force\By force\Even made him hook it up in tears.\That pitiful computer president. response:	I had completely forgotten about it.
context: By force\By force\By force\By force\By force\Even made him hook it up in tears.\That pitiful computer president.\I had completely forgotten about it. response:	I got it.
context: By force\By force\By force\By force\Even made him hook it up in tears.\That pitiful computer president.\I had completely forgotten about it.\I got it. response:	We'll take care of it.
context: By force\By force\By force\Even made him hook it up in tears.\That pitiful computer president.\I had completely forgotten about it.\I got it.\We'll take care of it. response:	Kimidori-san!
context: By force\By force\Even made him hook it up in tears.\That pitiful computer president.\I had completely forgotten about it.\I got it.\We'll take care of it.\Kimidori-san! response:	You're in luck!
context: By force\Even made him hook it up in tears.\That pitiful computer president.\I had completely forgotten about it.\I got it.\We'll take care of it.\Kimidori-san!\You're in luck! response:	As client number one...
context: Even made him hook it up in tears.\That pitiful computer president.\I had completely forgotten about it.\I got it.\We'll take care of it.\Kimidori-san!\You're in luck!\As client number one... response:	You were planning on charging people?
context: That pitiful computer president.\I had completely forgotten about it.\I got it.\We'll take care of it.\Kimidori-san!\You're in luck!\As client number one...\You were planning on charging people? response:	Hey.
context: I had completely forgotten about it.\I got it.\We'll take care of it.\Kimidori-san!\You're in luck!\As client number one...\You were planning on charging people?\Hey. response:	How could you so readily accept her request...
context: I got it.\We'll take care of it.\Kimidori-san!\You're in luck!\As client number one...\You were planning on charging people?\Hey.\How could you so readily accept her request... response:	What if we can't solve her problem?
context: We'll take care of it.\Kimidori-san!\You're in luck!\As client number one...\You were planning on charging people?\Hey.\How could you so readily accept her request...\What if we can't solve her problem? response:	We can.
context: Kimidori-san!\You're in luck!\As client number one...\You were planning on charging people?\Hey.\How could you so readily accept her request...\What if we can't solve her problem?\We can. response:	That president's probably just cooped up with two-month late freshman blues.
context: You're in luck!\As client number one...\You were planning on charging people?\Hey.\How could you so readily accept her request...\What if we can't solve her problem?\We can.\That president's probably just cooped up with two-month late freshman blues. response:	We just have to march into his room, smack him around a few times, and drag him back here.
context: As client number one...\You were planning on charging people?\Hey.\How could you so readily accept her request...\What if we can't solve her problem?\We can.\That president's probably just cooped up with two-month late freshman blues.\We just have to march into his room, smack him around a few times, and drag him back here. response:	She seems to seriously believe that.
context: You were planning on charging people?\Hey.\How could you so readily accept her request...\What if we can't solve her problem?\We can.\That president's probably just cooped up with two-month late freshman blues.\We just have to march into his room, smack him around a few times, and drag him back here.\She seems to seriously believe that. response:	But if the president has someone like Kimidori-san for a girlfriend...
context: Hey.\How could you so readily accept her request...\What if we can't solve her problem?\We can.\That president's probably just cooped up with two-month late freshman blues.\We just have to march into his room, smack him around a few times, and drag him back here.\She seems to seriously believe that.\But if the president has someone like Kimidori-san for a girlfriend... response:	Are you friends with Kimidori-san?
context: How could you so readily accept her request...\What if we can't solve her problem?\We can.\That president's probably just cooped up with two-month late freshman blues.\We just have to march into his room, smack him around a few times, and drag him back here.\She seems to seriously believe that.\But if the president has someone like Kimidori-san for a girlfriend...\Are you friends with Kimidori-san? response:	I never talked to her until now.
context: What if we can't solve her problem?\We can.\That president's probably just cooped up with two-month late freshman blues.\We just have to march into his room, smack him around a few times, and drag him back here.\She seems to seriously believe that.\But if the president has someone like Kimidori-san for a girlfriend...\Are you friends with Kimidori-san?\I never talked to her until now. response:	She could have taken her problem to a teacher or the police.
context: We can.\That president's probably just cooped up with two-month late freshman blues.\We just have to march into his room, smack him around a few times, and drag him back here.\She seems to seriously believe that.\But if the president has someone like Kimidori-san for a girlfriend...\Are you friends with Kimidori-san?\I never talked to her until now.\She could have taken her problem to a teacher or the police. response:	No.
context: That president's probably just cooped up with two-month late freshman blues.\We just have to march into his room, smack him around a few times, and drag him back here.\She seems to seriously believe that.\But if the president has someone like Kimidori-san for a girlfriend...\Are you friends with Kimidori-san?\I never talked to her until now.\She could have taken her problem to a teacher or the police.\No. response:	She already talked to them but was ignored...
context: We just have to march into his room, smack him around a few times, and drag him back here.\She seems to seriously believe that.\But if the president has someone like Kimidori-san for a girlfriend...\Are you friends with Kimidori-san?\I never talked to her until now.\She could have taken her problem to a teacher or the police.\No.\She already talked to them but was ignored... response:	I'm sure that's it.
context: She seems to seriously believe that.\But if the president has someone like Kimidori-san for a girlfriend...\Are you friends with Kimidori-san?\I never talked to her until now.\She could have taken her problem to a teacher or the police.\No.\She already talked to them but was ignored...\I'm sure that's it. response:	Haruhi seems to see this as an opportunity to attract bigger cases...
context: But if the president has someone like Kimidori-san for a girlfriend...\Are you friends with Kimidori-san?\I never talked to her until now.\She could have taken her problem to a teacher or the police.\No.\She already talked to them but was ignored...\I'm sure that's it.\Haruhi seems to see this as an opportunity to attract bigger cases... response:	It might be a good idea to pass out flyers by the front gate again.
context: Are you friends with Kimidori-san?\I never talked to her until now.\She could have taken her problem to a teacher or the police.\No.\She already talked to them but was ignored...\I'm sure that's it.\Haruhi seems to see this as an opportunity to attract bigger cases...\It might be a good idea to pass out flyers by the front gate again. response:	The president's residence...
context: I never talked to her until now.\She could have taken her problem to a teacher or the police.\No.\She already talked to them but was ignored...\I'm sure that's it.\Haruhi seems to see this as an opportunity to attract bigger cases...\It might be a good idea to pass out flyers by the front gate again.\The president's residence... response:	Okay!
context: She could have taken her problem to a teacher or the police.\No.\She already talked to them but was ignored...\I'm sure that's it.\Haruhi seems to see this as an opportunity to attract bigger cases...\It might be a good idea to pass out flyers by the front gate again.\The president's residence...\Okay! response:	This is the place, huh?
context: No.\She already talked to them but was ignored...\I'm sure that's it.\Haruhi seems to see this as an opportunity to attract bigger cases...\It might be a good idea to pass out flyers by the front gate again.\The president's residence...\Okay!\This is the place, huh? response:	I wonder if there's a way to open it.
context: She already talked to them but was ignored...\I'm sure that's it.\Haruhi seems to see this as an opportunity to attract bigger cases...\It might be a good idea to pass out flyers by the front gate again.\The president's residence...\Okay!\This is the place, huh?\I wonder if there's a way to open it. response:	It should be the other way around!
context: I'm sure that's it.\Haruhi seems to see this as an opportunity to attract bigger cases...\It might be a good idea to pass out flyers by the front gate again.\The president's residence...\Okay!\This is the place, huh?\I wonder if there's a way to open it.\It should be the other way around! response:	How about we circle around to the balcony in the back?
context: Haruhi seems to see this as an opportunity to attract bigger cases...\It might be a good idea to pass out flyers by the front gate again.\The president's residence...\Okay!\This is the place, huh?\I wonder if there's a way to open it.\It should be the other way around!\How about we circle around to the balcony in the back? response:	We'll be able to get in if we smash the glass, right?
context: It might be a good idea to pass out flyers by the front gate again.\The president's residence...\Okay!\This is the place, huh?\I wonder if there's a way to open it.\It should be the other way around!\How about we circle around to the balcony in the back?\We'll be able to get in if we smash the glass, right? response:	This room is on the third floor...
context: The president's residence...\Okay!\This is the place, huh?\I wonder if there's a way to open it.\It should be the other way around!\How about we circle around to the balcony in the back?\We'll be able to get in if we smash the glass, right?\This room is on the third floor... response:	I don't want a criminal record yet.
context: Okay!\This is the place, huh?\I wonder if there's a way to open it.\It should be the other way around!\How about we circle around to the balcony in the back?\We'll be able to get in if we smash the glass, right?\This room is on the third floor...\I don't want a criminal record yet. response:	Guess so.
