context: There are several rules you must follow while traveling outside of Luna Nova. response:	Just because you will not be on campus does not mean you may forget your status as students.
context: Please keep silent!\Goodness, no need to be so stiff.\See, these poor students all look like you've been lecturing them since the second century.\I feel so bad for them.\Headmistress!\Say, would you look at this, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm... response:	Well...
context: Goodness, no need to be so stiff.\See, these poor students all look like you've been lecturing them since the second century.\I feel so bad for them.\Headmistress!\Say, would you look at this, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well... response:	Now then, everyone. Have you each brought an item to use as your amulet?
context: See, these poor students all look like you've been lecturing them since the second century.\I feel so bad for them.\Headmistress!\Say, would you look at this, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Now then, everyone. Have you each brought an item to use as your amulet? response:	Yes.
context: I feel so bad for them.\Headmistress!\Say, would you look at this, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Now then, everyone. Have you each brought an item to use as your amulet?\Yes. response:	Oh, I forgot.
context: Headmistress!\Say, would you look at this, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Now then, everyone. Have you each brought an item to use as your amulet?\Yes.\Oh, I forgot. response:	This is good enough.
context: Say, would you look at this, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Now then, everyone. Have you each brought an item to use as your amulet?\Yes.\Oh, I forgot.\This is good enough. response:	Ah no, no, no, I'm afraid it's not.
context: Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Now then, everyone. Have you each brought an item to use as your amulet?\Yes.\Oh, I forgot.\This is good enough.\Ah no, no, no, I'm afraid it's not. response:	Headmistress!
context: No, I'm...\Well...\Now then, everyone. Have you each brought an item to use as your amulet?\Yes.\Oh, I forgot.\This is good enough.\Ah no, no, no, I'm afraid it's not.\Headmistress! response:	An amulet must carry emotional value.
context: Well...\Now then, everyone. Have you each brought an item to use as your amulet?\Yes.\Oh, I forgot.\This is good enough.\Ah no, no, no, I'm afraid it's not.\Headmistress!\An amulet must carry emotional value. response:	Do you understand? It's a charm to get you home safely.
context: Now then, everyone. Have you each brought an item to use as your amulet?\Yes.\Oh, I forgot.\This is good enough.\Ah no, no, no, I'm afraid it's not.\Headmistress!\An amulet must carry emotional value.\Do you understand? It's a charm to get you home safely. response:	You leave it at the place you call home.
context: Yes.\Oh, I forgot.\This is good enough.\Ah no, no, no, I'm afraid it's not.\Headmistress!\An amulet must carry emotional value.\Do you understand? It's a charm to get you home safely.\You leave it at the place you call home. response:	For the record, this is mine.
context: Oh, I forgot.\This is good enough.\Ah no, no, no, I'm afraid it's not.\Headmistress!\An amulet must carry emotional value.\Do you understand? It's a charm to get you home safely.\You leave it at the place you call home.\For the record, this is mine. response:	A staff?
context: This is good enough.\Ah no, no, no, I'm afraid it's not.\Headmistress!\An amulet must carry emotional value.\Do you understand? It's a charm to get you home safely.\You leave it at the place you call home.\For the record, this is mine.\A staff? response:	Just the thought of it should be compelling enough for you to return.
context: Ah no, no, no, I'm afraid it's not.\Headmistress!\An amulet must carry emotional value.\Do you understand? It's a charm to get you home safely.\You leave it at the place you call home.\For the record, this is mine.\A staff?\Just the thought of it should be compelling enough for you to return. response:	Now then, girls. Show me what you've prepared.
context: Headmistress!\An amulet must carry emotional value.\Do you understand? It's a charm to get you home safely.\You leave it at the place you call home.\For the record, this is mine.\A staff?\Just the thought of it should be compelling enough for you to return.\Now then, girls. Show me what you've prepared. response:	Don't you have something you never let go of?
context: An amulet must carry emotional value.\Do you understand? It's a charm to get you home safely.\You leave it at the place you call home.\For the record, this is mine.\A staff?\Just the thought of it should be compelling enough for you to return.\Now then, girls. Show me what you've prepared.\Don't you have something you never let go of? response:	Huh?
context: Do you understand? It's a charm to get you home safely.\You leave it at the place you call home.\For the record, this is mine.\A staff?\Just the thought of it should be compelling enough for you to return.\Now then, girls. Show me what you've prepared.\Don't you have something you never let go of?\Huh? response:	No way!
context: You leave it at the place you call home.\For the record, this is mine.\A staff?\Just the thought of it should be compelling enough for you to return.\Now then, girls. Show me what you've prepared.\Don't you have something you never let go of?\Huh?\No way! response:	Here where our long journey has finally led us
context: For the record, this is mine.\A staff?\Just the thought of it should be compelling enough for you to return.\Now then, girls. Show me what you've prepared.\Don't you have something you never let go of?\Huh?\No way!\Here where our long journey has finally led us response:	Here where our long journey has finally led us
context: A staff?\Just the thought of it should be compelling enough for you to return.\Now then, girls. Show me what you've prepared.\Don't you have something you never let go of?\Huh?\No way!\Here where our long journey has finally led us\Here where our long journey has finally led us response:	kakedashita hibi ni yukitsuita kono basho
context: Just the thought of it should be compelling enough for you to return.\Now then, girls. Show me what you've prepared.\Don't you have something you never let go of?\Huh?\No way!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho response:	kakedashita hibi ni yukitsuita kono basho
context: Now then, girls. Show me what you've prepared.\Don't you have something you never let go of?\Huh?\No way!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho response:	We can push open the door
context: Don't you have something you never let go of?\Huh?\No way!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door response:	We can push open the door
context: Huh?\No way!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door response:	fureta tobira hiraite
context: No way!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite response:	fureta tobira hiraite
context: Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite response:	In the footsteps of our dreams far beyond the stars
context: Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars response:	In the footsteps of our dreams far beyond the stars
context: kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars response:	hoshizora no kanata yume no ashiato
context: kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato response:	hoshizora no kanata yume no ashiato
context: We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato response:	Pick up the pieces with a song
context: We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song response:	Pick up the pieces with a song
context: fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song response:	hiroiatsume utau yo
context: fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo response:	hiroiatsume utau yo
context: In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo response:	Keep the destination of your dreams nestled in your heart
context: In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart response:	Keep the destination of your dreams nestled in your heart
context: hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart response:	yume ga kaketeku basho ima mo kokoro ni himete
context: hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete response:	yume ga kaketeku basho ima mo kokoro ni himete
context: Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete response:	And envelop the night
context: Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night response:	And envelop the night
context: hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night response:	yoru wo tsutsumikomu
context: hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu response:	yoru wo tsutsumikomu
context: Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu response:	Cast a magic spell
context: Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell response:	Cast a magic spell
context: yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell response:	mahou kakete
context: yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete response:	mahou kakete
context: And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete response:	And start to dance
context: And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance response:	And start to dance
context: yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance response:	odoridasu
context: yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu response:	odoridasu
context: Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu response:	The landscape looks like it's burning brilliantly
context: Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly response:	The landscape looks like it's burning brilliantly
context: mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly response:	yaketsuita you ni irodzuita fuukei wa
context: mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa response:	yaketsuita you ni irodzuita fuukei wa
context: And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa response:	But you can't see it fallen on the ground
context: And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground response:	But you can't see it fallen on the ground
context: odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground response:	koronda kurai ja tokenai kara
context: odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara response:	koronda kurai ja tokenai kara
context: The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara response:	The world will keep on turning
context: The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning response:	The world will keep on turning
context: yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning response:	sekai wa tsudzuku yo
context: yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo response:	sekai wa tsudzuku yo
context: But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo response:	Embrace the moment as if it'll never come again
context: But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again response:	Embrace the moment as if it'll never come again
context: koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again response:	hakanai mama no ima wo dakishimete
context: koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete response:	hakanai mama no ima wo dakishimete
context: The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete response:	Let's keep walking as we are with the light in our sights
context: The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights response:	Let's keep walking as we are with the light in our sights
context: sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights response:	kawaranai mama jikan to hikari mitsumete aruiteku
context: sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku response:	kawaranai mama jikan to hikari mitsumete aruiteku
context: Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku response:	Wait, where are we?
context: Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Wait, where are we? response:	Isn't it obvious?
context: hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Wait, where are we?\Isn't it obvious? response:	Little Witch Academia
context: hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Wait, where are we?\Isn't it obvious?\Little Witch Academia response:	Little Witch Academia
context: Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Wait, where are we?\Isn't it obvious?\Little Witch Academia\Little Witch Academia response:	I thought we were going to the city! I only followed you because you said this was a shortcut.
context: Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Wait, where are we?\Isn't it obvious?\Little Witch Academia\Little Witch Academia\I thought we were going to the city! I only followed you because you said this was a shortcut. response:	There's my mushroom.
context: kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Wait, where are we?\Isn't it obvious?\Little Witch Academia\Little Witch Academia\I thought we were going to the city! I only followed you because you said this was a shortcut.\There's my mushroom. response:	These grave blushers can only be found growing in cemeteries.
context: kawaranai mama jikan to hikari mitsumete aruiteku\Wait, where are we?\Isn't it obvious?\Little Witch Academia\Little Witch Academia\I thought we were going to the city! I only followed you because you said this was a shortcut.\There's my mushroom.\These grave blushers can only be found growing in cemeteries. response:	What's up with that? Sounds gross.
context: Wait, where are we?\Isn't it obvious?\Little Witch Academia\Little Witch Academia\I thought we were going to the city! I only followed you because you said this was a shortcut.\There's my mushroom.\These grave blushers can only be found growing in cemeteries.\What's up with that? Sounds gross. response:	So creepy... it feels like a ghost might appear.
context: Isn't it obvious?\Little Witch Academia\Little Witch Academia\I thought we were going to the city! I only followed you because you said this was a shortcut.\There's my mushroom.\These grave blushers can only be found growing in cemeteries.\What's up with that? Sounds gross.\So creepy... it feels like a ghost might appear. response:	A ghost?
context: Little Witch Academia\Little Witch Academia\I thought we were going to the city! I only followed you because you said this was a shortcut.\There's my mushroom.\These grave blushers can only be found growing in cemeteries.\What's up with that? Sounds gross.\So creepy... it feels like a ghost might appear.\A ghost? response:	Ouch...
context: Little Witch Academia\I thought we were going to the city! I only followed you because you said this was a shortcut.\There's my mushroom.\These grave blushers can only be found growing in cemeteries.\What's up with that? Sounds gross.\So creepy... it feels like a ghost might appear.\A ghost?\Ouch... response:	Oh no, we might get cursed!
context: I thought we were going to the city! I only followed you because you said this was a shortcut.\There's my mushroom.\These grave blushers can only be found growing in cemeteries.\What's up with that? Sounds gross.\So creepy... it feels like a ghost might appear.\A ghost?\Ouch...\Oh no, we might get cursed! response:	Cursed?!
context: There's my mushroom.\These grave blushers can only be found growing in cemeteries.\What's up with that? Sounds gross.\So creepy... it feels like a ghost might appear.\A ghost?\Ouch...\Oh no, we might get cursed!\Cursed?! response:	Doesn't it just feel like we will?
context: These grave blushers can only be found growing in cemeteries.\What's up with that? Sounds gross.\So creepy... it feels like a ghost might appear.\A ghost?\Ouch...\Oh no, we might get cursed!\Cursed?!\Doesn't it just feel like we will? response:	Ah, I've got it!
context: What's up with that? Sounds gross.\So creepy... it feels like a ghost might appear.\A ghost?\Ouch...\Oh no, we might get cursed!\Cursed?!\Doesn't it just feel like we will?\Ah, I've got it! response:	Ta-da! Restoration magic dust!
context: So creepy... it feels like a ghost might appear.\A ghost?\Ouch...\Oh no, we might get cursed!\Cursed?!\Doesn't it just feel like we will?\Ah, I've got it!\Ta-da! Restoration magic dust! response:	Professor Ursula taught me how to use it, so I should be able to do something.
context: A ghost?\Ouch...\Oh no, we might get cursed!\Cursed?!\Doesn't it just feel like we will?\Ah, I've got it!\Ta-da! Restoration magic dust!\Professor Ursula taught me how to use it, so I should be able to do something. response:	You can't! We were even told specifically not to use magic outside of school!
context: Ouch...\Oh no, we might get cursed!\Cursed?!\Doesn't it just feel like we will?\Ah, I've got it!\Ta-da! Restoration magic dust!\Professor Ursula taught me how to use it, so I should be able to do something.\You can't! We were even told specifically not to use magic outside of school! response:	Nobody's gonna find out if we use it here.
context: Oh no, we might get cursed!\Cursed?!\Doesn't it just feel like we will?\Ah, I've got it!\Ta-da! Restoration magic dust!\Professor Ursula taught me how to use it, so I should be able to do something.\You can't! We were even told specifically not to use magic outside of school!\Nobody's gonna find out if we use it here. response:	But what if something happens?
context: Cursed?!\Doesn't it just feel like we will?\Ah, I've got it!\Ta-da! Restoration magic dust!\Professor Ursula taught me how to use it, so I should be able to do something.\You can't! We were even told specifically not to use magic outside of school!\Nobody's gonna find out if we use it here.\But what if something happens? response:	You're such a worrywart, Lotte.
context: Doesn't it just feel like we will?\Ah, I've got it!\Ta-da! Restoration magic dust!\Professor Ursula taught me how to use it, so I should be able to do something.\You can't! We were even told specifically not to use magic outside of school!\Nobody's gonna find out if we use it here.\But what if something happens?\You're such a worrywart, Lotte. response:	But Akko!
context: Ah, I've got it!\Ta-da! Restoration magic dust!\Professor Ursula taught me how to use it, so I should be able to do something.\You can't! We were even told specifically not to use magic outside of school!\Nobody's gonna find out if we use it here.\But what if something happens?\You're such a worrywart, Lotte.\But Akko! response:	All right!
context: Ta-da! Restoration magic dust!\Professor Ursula taught me how to use it, so I should be able to do something.\You can't! We were even told specifically not to use magic outside of school!\Nobody's gonna find out if we use it here.\But what if something happens?\You're such a worrywart, Lotte.\But Akko!\All right! response:	Here I go!
context: Professor Ursula taught me how to use it, so I should be able to do something.\You can't! We were even told specifically not to use magic outside of school!\Nobody's gonna find out if we use it here.\But what if something happens?\You're such a worrywart, Lotte.\But Akko!\All right!\Here I go! response:	Sosomme Tidiare!
context: You can't! We were even told specifically not to use magic outside of school!\Nobody's gonna find out if we use it here.\But what if something happens?\You're such a worrywart, Lotte.\But Akko!\All right!\Here I go!\Sosomme Tidiare! response:	What're you doing, Sucy?!
context: Nobody's gonna find out if we use it here.\But what if something happens?\You're such a worrywart, Lotte.\But Akko!\All right!\Here I go!\Sosomme Tidiare!\What're you doing, Sucy?! response:	That was your fault.
context: But what if something happens?\You're such a worrywart, Lotte.\But Akko!\All right!\Here I go!\Sosomme Tidiare!\What're you doing, Sucy?!\That was your fault. response:	Besides, it didn't fix the graves at all.
context: You're such a worrywart, Lotte.\But Akko!\All right!\Here I go!\Sosomme Tidiare!\What're you doing, Sucy?!\That was your fault.\Besides, it didn't fix the graves at all. response:	Huh?
context: But Akko!\All right!\Here I go!\Sosomme Tidiare!\What're you doing, Sucy?!\That was your fault.\Besides, it didn't fix the graves at all.\Huh? response:	Akko!
context: All right!\Here I go!\Sosomme Tidiare!\What're you doing, Sucy?!\That was your fault.\Besides, it didn't fix the graves at all.\Huh?\Akko! response:	A corpse.
context: Here I go!\Sosomme Tidiare!\What're you doing, Sucy?!\That was your fault.\Besides, it didn't fix the graves at all.\Huh?\Akko!\A corpse. response:	It's a curse!
context: Sosomme Tidiare!\What're you doing, Sucy?!\That was your fault.\Besides, it didn't fix the graves at all.\Huh?\Akko!\A corpse.\It's a curse! response:	A cur?
context: What're you doing, Sucy?!\That was your fault.\Besides, it didn't fix the graves at all.\Huh?\Akko!\A corpse.\It's a curse!\A cur? response:	You insult me! No cur's faster than me, try as they might!
context: That was your fault.\Besides, it didn't fix the graves at all.\Huh?\Akko!\A corpse.\It's a curse!\A cur?\You insult me! No cur's faster than me, try as they might! response:	That scum won't even see me coming!
context: Besides, it didn't fix the graves at all.\Huh?\Akko!\A corpse.\It's a curse!\A cur?\You insult me! No cur's faster than me, try as they might!\That scum won't even see me coming! response:	That dreadful, foolish coward!
context: Huh?\Akko!\A corpse.\It's a curse!\A cur?\You insult me! No cur's faster than me, try as they might!\That scum won't even see me coming!\That dreadful, foolish coward! response:	What?
context: Akko!\A corpse.\It's a curse!\A cur?\You insult me! No cur's faster than me, try as they might!\That scum won't even see me coming!\That dreadful, foolish coward!\What? response:	Witches? I understand!
context: A corpse.\It's a curse!\A cur?\You insult me! No cur's faster than me, try as they might!\That scum won't even see me coming!\That dreadful, foolish coward!\What?\Witches? I understand! response:	Aye, such a pleasant surprise. You witchfolk brought me back to life!
context: It's a curse!\A cur?\You insult me! No cur's faster than me, try as they might!\That scum won't even see me coming!\That dreadful, foolish coward!\What?\Witches? I understand!\Aye, such a pleasant surprise. You witchfolk brought me back to life! response:	Who?
context: A cur?\You insult me! No cur's faster than me, try as they might!\That scum won't even see me coming!\That dreadful, foolish coward!\What?\Witches? I understand!\Aye, such a pleasant surprise. You witchfolk brought me back to life!\Who? response:	Who? You mean me? I'm...
context: You insult me! No cur's faster than me, try as they might!\That scum won't even see me coming!\That dreadful, foolish coward!\What?\Witches? I understand!\Aye, such a pleasant surprise. You witchfolk brought me back to life!\Who?\Who? You mean me? I'm... response:	Who am I?
context: That scum won't even see me coming!\That dreadful, foolish coward!\What?\Witches? I understand!\Aye, such a pleasant surprise. You witchfolk brought me back to life!\Who?\Who? You mean me? I'm...\Who am I? response:	Who was I while alive? I can't remember a single thing!
context: That dreadful, foolish coward!\What?\Witches? I understand!\Aye, such a pleasant surprise. You witchfolk brought me back to life!\Who?\Who? You mean me? I'm...\Who am I?\Who was I while alive? I can't remember a single thing! response:	And there's no point in trying to remember now!
context: What?\Witches? I understand!\Aye, such a pleasant surprise. You witchfolk brought me back to life!\Who?\Who? You mean me? I'm...\Who am I?\Who was I while alive? I can't remember a single thing!\And there's no point in trying to remember now! response:	Being back to life is plenty fine for me!
context: Witches? I understand!\Aye, such a pleasant surprise. You witchfolk brought me back to life!\Who?\Who? You mean me? I'm...\Who am I?\Who was I while alive? I can't remember a single thing!\And there's no point in trying to remember now!\Being back to life is plenty fine for me! response:	So how's my body? I've got two legs, two arms, and a head.
