context: I have gathered you all here today for one reason. response:	I want all of us to overcome...
context: Sorata is my first boy.\What?\What do you mean your first boy?! What?!\N-No! Hey, Shiina, you...\I'm glad Sorata was my first.\What?!\Un\Unclean! response:	Wait, Aoyama!
context: What?\What do you mean your first boy?! What?!\N-No! Hey, Shiina, you...\I'm glad Sorata was my first.\What?!\Un\Unclean!\Wait, Aoyama! response:	In England, I was surrounded by girls.
context: What do you mean your first boy?! What?!\N-No! Hey, Shiina, you...\I'm glad Sorata was my first.\What?!\Un\Unclean!\Wait, Aoyama!\In England, I was surrounded by girls. response:	You're the first boy I've become friends with.
context: N-No! Hey, Shiina, you...\I'm glad Sorata was my first.\What?!\Un\Unclean!\Wait, Aoyama!\In England, I was surrounded by girls.\You're the first boy I've become friends with. response:	You should give the context first!
context: I'm glad Sorata was my first.\What?!\Un\Unclean!\Wait, Aoyama!\In England, I was surrounded by girls.\You're the first boy I've become friends with.\You should give the context first! response:	Context? To her, you mean?
context: What?!\Un\Unclean!\Wait, Aoyama!\In England, I was surrounded by girls.\You're the first boy I've become friends with.\You should give the context first!\Context? To her, you mean? response:	Oh, forget it.
context: Un\Unclean!\Wait, Aoyama!\In England, I was surrounded by girls.\You're the first boy I've become friends with.\You should give the context first!\Context? To her, you mean?\Oh, forget it. response:	All right, time to eat.
context: Unclean!\Wait, Aoyama!\In England, I was surrounded by girls.\You're the first boy I've become friends with.\You should give the context first!\Context? To her, you mean?\Oh, forget it.\All right, time to eat. response:	I'm going to get that fried rice roll today!
context: Wait, Aoyama!\In England, I was surrounded by girls.\You're the first boy I've become friends with.\You should give the context first!\Context? To her, you mean?\Oh, forget it.\All right, time to eat.\I'm going to get that fried rice roll today! response:	Mayu, your lunch is so adorable.
context: In England, I was surrounded by girls.\You're the first boy I've become friends with.\You should give the context first!\Context? To her, you mean?\Oh, forget it.\All right, time to eat.\I'm going to get that fried rice roll today!\Mayu, your lunch is so adorable. response:	Huh?
context: You're the first boy I've become friends with.\You should give the context first!\Context? To her, you mean?\Oh, forget it.\All right, time to eat.\I'm going to get that fried rice roll today!\Mayu, your lunch is so adorable.\Huh? response:	Nanami, have you seen Sorata?
context: You should give the context first!\Context? To her, you mean?\Oh, forget it.\All right, time to eat.\I'm going to get that fried rice roll today!\Mayu, your lunch is so adorable.\Huh?\Nanami, have you seen Sorata? response:	No!
context: Context? To her, you mean?\Oh, forget it.\All right, time to eat.\I'm going to get that fried rice roll today!\Mayu, your lunch is so adorable.\Huh?\Nanami, have you seen Sorata?\No! response:	What? Did he do something again?
context: Oh, forget it.\All right, time to eat.\I'm going to get that fried rice roll today!\Mayu, your lunch is so adorable.\Huh?\Nanami, have you seen Sorata?\No!\What? Did he do something again? response:	Do? D-D-Do?!
context: All right, time to eat.\I'm going to get that fried rice roll today!\Mayu, your lunch is so adorable.\Huh?\Nanami, have you seen Sorata?\No!\What? Did he do something again?\Do? D-D-Do?! response:	Huh? What?
context: I'm going to get that fried rice roll today!\Mayu, your lunch is so adorable.\Huh?\Nanami, have you seen Sorata?\No!\What? Did he do something again?\Do? D-D-Do?!\Huh? What? response:	What's this?
context: Mayu, your lunch is so adorable.\Huh?\Nanami, have you seen Sorata?\No!\What? Did he do something again?\Do? D-D-Do?!\Huh? What?\What's this? response:	Why are you all by yourself at lunchtime?
context: Huh?\Nanami, have you seen Sorata?\No!\What? Did he do something again?\Do? D-D-Do?!\Huh? What?\What's this?\Why are you all by yourself at lunchtime? response:	Are you a pariah now?
context: Nanami, have you seen Sorata?\No!\What? Did he do something again?\Do? D-D-Do?!\Huh? What?\What's this?\Why are you all by yourself at lunchtime?\Are you a pariah now? response:	I could only afford one bread roll.
context: No!\What? Did he do something again?\Do? D-D-Do?!\Huh? What?\What's this?\Why are you all by yourself at lunchtime?\Are you a pariah now?\I could only afford one bread roll. response:	I'm filling up on water.
context: What? Did he do something again?\Do? D-D-Do?!\Huh? What?\What's this?\Why are you all by yourself at lunchtime?\Are you a pariah now?\I could only afford one bread roll.\I'm filling up on water. response:	How sad!
context: Do? D-D-Do?!\Huh? What?\What's this?\Why are you all by yourself at lunchtime?\Are you a pariah now?\I could only afford one bread roll.\I'm filling up on water.\How sad! response:	All my money went down the drain buying Shiina snacks!
context: Huh? What?\What's this?\Why are you all by yourself at lunchtime?\Are you a pariah now?\I could only afford one bread roll.\I'm filling up on water.\How sad!\All my money went down the drain buying Shiina snacks! response:	Sensei, aren't you Shiina's legal guardian?
context: What's this?\Why are you all by yourself at lunchtime?\Are you a pariah now?\I could only afford one bread roll.\I'm filling up on water.\How sad!\All my money went down the drain buying Shiina snacks!\Sensei, aren't you Shiina's legal guardian? response:	Reimburse me!
context: Why are you all by yourself at lunchtime?\Are you a pariah now?\I could only afford one bread roll.\I'm filling up on water.\How sad!\All my money went down the drain buying Shiina snacks!\Sensei, aren't you Shiina's legal guardian?\Reimburse me! response:	By the way, I hear you haven't...
context: Are you a pariah now?\I could only afford one bread roll.\I'm filling up on water.\How sad!\All my money went down the drain buying Shiina snacks!\Sensei, aren't you Shiina's legal guardian?\Reimburse me!\By the way, I hear you haven't... response:	turned in your career plan yet.
context: I could only afford one bread roll.\I'm filling up on water.\How sad!\All my money went down the drain buying Shiina snacks!\Sensei, aren't you Shiina's legal guardian?\Reimburse me!\By the way, I hear you haven't...\turned in your career plan yet. response:	Trying to change the subject won't work!
context: I'm filling up on water.\How sad!\All my money went down the drain buying Shiina snacks!\Sensei, aren't you Shiina's legal guardian?\Reimburse me!\By the way, I hear you haven't...\turned in your career plan yet.\Trying to change the subject won't work! response:	Anyway, Shiina is
context: How sad!\All my money went down the drain buying Shiina snacks!\Sensei, aren't you Shiina's legal guardian?\Reimburse me!\By the way, I hear you haven't...\turned in your career plan yet.\Trying to change the subject won't work!\Anyway, Shiina is response:	Just put that you want to be a pilot or something.
context: All my money went down the drain buying Shiina snacks!\Sensei, aren't you Shiina's legal guardian?\Reimburse me!\By the way, I hear you haven't...\turned in your career plan yet.\Trying to change the subject won't work!\Anyway, Shiina is\Just put that you want to be a pilot or something. response:	What am I, a grade schooler?
context: Sensei, aren't you Shiina's legal guardian?\Reimburse me!\By the way, I hear you haven't...\turned in your career plan yet.\Trying to change the subject won't work!\Anyway, Shiina is\Just put that you want to be a pilot or something.\What am I, a grade schooler? response:	You should try to be more like Kamiigusa.
context: Reimburse me!\By the way, I hear you haven't...\turned in your career plan yet.\Trying to change the subject won't work!\Anyway, Shiina is\Just put that you want to be a pilot or something.\What am I, a grade schooler?\You should try to be more like Kamiigusa. response:	Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it!
context: By the way, I hear you haven't...\turned in your career plan yet.\Trying to change the subject won't work!\Anyway, Shiina is\Just put that you want to be a pilot or something.\What am I, a grade schooler?\You should try to be more like Kamiigusa.\Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it! response:	You're so narrow-minded...
context: turned in your career plan yet.\Trying to change the subject won't work!\Anyway, Shiina is\Just put that you want to be a pilot or something.\What am I, a grade schooler?\You should try to be more like Kamiigusa.\Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it!\You're so narrow-minded... response:	I'm being ambitious!
context: Trying to change the subject won't work!\Anyway, Shiina is\Just put that you want to be a pilot or something.\What am I, a grade schooler?\You should try to be more like Kamiigusa.\Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it!\You're so narrow-minded...\I'm being ambitious! response:	She's an alien.
context: Anyway, Shiina is\Just put that you want to be a pilot or something.\What am I, a grade schooler?\You should try to be more like Kamiigusa.\Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it!\You're so narrow-minded...\I'm being ambitious!\She's an alien. response:	An earthling could never act like her.
context: Just put that you want to be a pilot or something.\What am I, a grade schooler?\You should try to be more like Kamiigusa.\Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it!\You're so narrow-minded...\I'm being ambitious!\She's an alien.\An earthling could never act like her. response:	Quit whining over nothing.
context: What am I, a grade schooler?\You should try to be more like Kamiigusa.\Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it!\You're so narrow-minded...\I'm being ambitious!\She's an alien.\An earthling could never act like her.\Quit whining over nothing. response:	Just writing the words continuing my education...
context: You should try to be more like Kamiigusa.\Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it!\You're so narrow-minded...\I'm being ambitious!\She's an alien.\An earthling could never act like her.\Quit whining over nothing.\Just writing the words continuing my education... response:	will put the faculty office at ease.
context: Career Plan: Art Third Year: Kamiigusa Misaki My future's so bright, I can't even see it!\You're so narrow-minded...\I'm being ambitious!\She's an alien.\An earthling could never act like her.\Quit whining over nothing.\Just writing the words continuing my education...\will put the faculty office at ease. response:	But...
context: You're so narrow-minded...\I'm being ambitious!\She's an alien.\An earthling could never act like her.\Quit whining over nothing.\Just writing the words continuing my education...\will put the faculty office at ease.\But... response:	It's only a career plan,
context: I'm being ambitious!\She's an alien.\An earthling could never act like her.\Quit whining over nothing.\Just writing the words continuing my education...\will put the faculty office at ease.\But...\It's only a career plan, response:	but watching you makes me think it might actually mean something.
context: She's an alien.\An earthling could never act like her.\Quit whining over nothing.\Just writing the words continuing my education...\will put the faculty office at ease.\But...\It's only a career plan,\but watching you makes me think it might actually mean something. response:	What? Are you saying it's meaningless for most people?
context: An earthling could never act like her.\Quit whining over nothing.\Just writing the words continuing my education...\will put the faculty office at ease.\But...\It's only a career plan,\but watching you makes me think it might actually mean something.\What? Are you saying it's meaningless for most people? response:	They must do it to pick out the students...
context: Quit whining over nothing.\Just writing the words continuing my education...\will put the faculty office at ease.\But...\It's only a career plan,\but watching you makes me think it might actually mean something.\What? Are you saying it's meaningless for most people?\They must do it to pick out the students... response:	who don't write that they're continuing education for the time being.
context: Just writing the words continuing my education...\will put the faculty office at ease.\But...\It's only a career plan,\but watching you makes me think it might actually mean something.\What? Are you saying it's meaningless for most people?\They must do it to pick out the students...\who don't write that they're continuing education for the time being. response:	The only thing you need for the time being is beer.
context: will put the faculty office at ease.\But...\It's only a career plan,\but watching you makes me think it might actually mean something.\What? Are you saying it's meaningless for most people?\They must do it to pick out the students...\who don't write that they're continuing education for the time being.\The only thing you need for the time being is beer. response:	What?
context: But...\It's only a career plan,\but watching you makes me think it might actually mean something.\What? Are you saying it's meaningless for most people?\They must do it to pick out the students...\who don't write that they're continuing education for the time being.\The only thing you need for the time being is beer.\What? response:	See you later.
context: It's only a career plan,\but watching you makes me think it might actually mean something.\What? Are you saying it's meaningless for most people?\They must do it to pick out the students...\who don't write that they're continuing education for the time being.\The only thing you need for the time being is beer.\What?\See you later. response:	She managed to change the subject.
context: but watching you makes me think it might actually mean something.\What? Are you saying it's meaningless for most people?\They must do it to pick out the students...\who don't write that they're continuing education for the time being.\The only thing you need for the time being is beer.\What?\See you later.\She managed to change the subject. response:	I got my fried rice roll!
context: What? Are you saying it's meaningless for most people?\They must do it to pick out the students...\who don't write that they're continuing education for the time being.\The only thing you need for the time being is beer.\What?\See you later.\She managed to change the subject.\I got my fried rice roll! response:	Woohoo!
context: They must do it to pick out the students...\who don't write that they're continuing education for the time being.\The only thing you need for the time being is beer.\What?\See you later.\She managed to change the subject.\I got my fried rice roll!\Woohoo! response:	She just does whatever she wants.
context: who don't write that they're continuing education for the time being.\The only thing you need for the time being is beer.\What?\See you later.\She managed to change the subject.\I got my fried rice roll!\Woohoo!\She just does whatever she wants. response:	My career plan...
context: The only thing you need for the time being is beer.\What?\See you later.\She managed to change the subject.\I got my fried rice roll!\Woohoo!\She just does whatever she wants.\My career plan... response:	Hey, Sorata.
context: What?\See you later.\She managed to change the subject.\I got my fried rice roll!\Woohoo!\She just does whatever she wants.\My career plan...\Hey, Sorata. response:	Where have you been?
context: See you later.\She managed to change the subject.\I got my fried rice roll!\Woohoo!\She just does whatever she wants.\My career plan...\Hey, Sorata.\Where have you been? response:	Look at this!
context: She managed to change the subject.\I got my fried rice roll!\Woohoo!\She just does whatever she wants.\My career plan...\Hey, Sorata.\Where have you been?\Look at this! response:	They're in here again.
context: I got my fried rice roll!\Woohoo!\She just does whatever she wants.\My career plan...\Hey, Sorata.\Where have you been?\Look at this!\They're in here again. response:	Kamiigusa-senpai and Mitaka-senpai's interview!
context: Woohoo!\She just does whatever she wants.\My career plan...\Hey, Sorata.\Where have you been?\Look at this!\They're in here again.\Kamiigusa-senpai and Mitaka-senpai's interview! response:	That pair of geniuses are childhood friends!
context: She just does whatever she wants.\My career plan...\Hey, Sorata.\Where have you been?\Look at this!\They're in here again.\Kamiigusa-senpai and Mitaka-senpai's interview!\That pair of geniuses are childhood friends! response:	Yeah...
context: My career plan...\Hey, Sorata.\Where have you been?\Look at this!\They're in here again.\Kamiigusa-senpai and Mitaka-senpai's interview!\That pair of geniuses are childhood friends!\Yeah... response:	A prodigal high school girl has appeared, it says.
context: Hey, Sorata.\Where have you been?\Look at this!\They're in here again.\Kamiigusa-senpai and Mitaka-senpai's interview!\That pair of geniuses are childhood friends!\Yeah...\A prodigal high school girl has appeared, it says. response:	She seems like a run-of-the-mill weirdo,
context: Where have you been?\Look at this!\They're in here again.\Kamiigusa-senpai and Mitaka-senpai's interview!\That pair of geniuses are childhood friends!\Yeah...\A prodigal high school girl has appeared, it says.\She seems like a run-of-the-mill weirdo, response:	but she's actually really talented.
context: Look at this!\They're in here again.\Kamiigusa-senpai and Mitaka-senpai's interview!\That pair of geniuses are childhood friends!\Yeah...\A prodigal high school girl has appeared, it says.\She seems like a run-of-the-mill weirdo,\but she's actually really talented. response:	It's seriously amazing, isn't it? Isn't it?
context: They're in here again.\Kamiigusa-senpai and Mitaka-senpai's interview!\That pair of geniuses are childhood friends!\Yeah...\A prodigal high school girl has appeared, it says.\She seems like a run-of-the-mill weirdo,\but she's actually really talented.\It's seriously amazing, isn't it? Isn't it? response:	Yeah, it's amazing.
context: Kamiigusa-senpai and Mitaka-senpai's interview!\That pair of geniuses are childhood friends!\Yeah...\A prodigal high school girl has appeared, it says.\She seems like a run-of-the-mill weirdo,\but she's actually really talented.\It's seriously amazing, isn't it? Isn't it?\Yeah, it's amazing. response:	Kanda-kun!
context: That pair of geniuses are childhood friends!\Yeah...\A prodigal high school girl has appeared, it says.\She seems like a run-of-the-mill weirdo,\but she's actually really talented.\It's seriously amazing, isn't it? Isn't it?\Yeah, it's amazing.\Kanda-kun! response:	Someone's here for you!
context: Yeah...\A prodigal high school girl has appeared, it says.\She seems like a run-of-the-mill weirdo,\but she's actually really talented.\It's seriously amazing, isn't it? Isn't it?\Yeah, it's amazing.\Kanda-kun!\Someone's here for you! response:	Huh?
context: A prodigal high school girl has appeared, it says.\She seems like a run-of-the-mill weirdo,\but she's actually really talented.\It's seriously amazing, isn't it? Isn't it?\Yeah, it's amazing.\Kanda-kun!\Someone's here for you!\Huh? response:	Sorata?
context: She seems like a run-of-the-mill weirdo,\but she's actually really talented.\It's seriously amazing, isn't it? Isn't it?\Yeah, it's amazing.\Kanda-kun!\Someone's here for you!\Huh?\Sorata? response:	Who's that?
context: but she's actually really talented.\It's seriously amazing, isn't it? Isn't it?\Yeah, it's amazing.\Kanda-kun!\Someone's here for you!\Huh?\Sorata?\Who's that? response:	She's really cute!
context: It's seriously amazing, isn't it? Isn't it?\Yeah, it's amazing.\Kanda-kun!\Someone's here for you!\Huh?\Sorata?\Who's that?\She's really cute! response:	What's wrong?
context: Yeah, it's amazing.\Kanda-kun!\Someone's here for you!\Huh?\Sorata?\Who's that?\She's really cute!\What's wrong? response:	I'm going home on my own today.
context: Kanda-kun!\Someone's here for you!\Huh?\Sorata?\Who's that?\She's really cute!\What's wrong?\I'm going home on my own today. response:	Huh? What?
context: Someone's here for you!\Huh?\Sorata?\Who's that?\She's really cute!\What's wrong?\I'm going home on my own today.\Huh? What? response:	I'm going home on my own.
context: Huh?\Sorata?\Who's that?\She's really cute!\What's wrong?\I'm going home on my own today.\Huh? What?\I'm going home on my own. response:	But... if I'm not with you,
context: Sorata?\Who's that?\She's really cute!\What's wrong?\I'm going home on my own today.\Huh? What?\I'm going home on my own.\But... if I'm not with you, response:	who knows what you'll get into?!
context: Who's that?\She's really cute!\What's wrong?\I'm going home on my own today.\Huh? What?\I'm going home on my own.\But... if I'm not with you,\who knows what you'll get into?! response:	Be careful.
context: She's really cute!\What's wrong?\I'm going home on my own today.\Huh? What?\I'm going home on my own.\But... if I'm not with you,\who knows what you'll get into?!\Be careful. response:	Listen. Don't eat any merchandise.
context: What's wrong?\I'm going home on my own today.\Huh? What?\I'm going home on my own.\But... if I'm not with you,\who knows what you'll get into?!\Be careful.\Listen. Don't eat any merchandise. response:	I understand.
context: I'm going home on my own today.\Huh? What?\I'm going home on my own.\But... if I'm not with you,\who knows what you'll get into?!\Be careful.\Listen. Don't eat any merchandise.\I understand. response:	Who's the cutie?
context: Huh? What?\I'm going home on my own.\But... if I'm not with you,\who knows what you'll get into?!\Be careful.\Listen. Don't eat any merchandise.\I understand.\Who's the cutie? response:	Don't go hogging all the good luck, you jerk!
context: I'm going home on my own.\But... if I'm not with you,\who knows what you'll get into?!\Be careful.\Listen. Don't eat any merchandise.\I understand.\Who's the cutie?\Don't go hogging all the good luck, you jerk! response:	I'm not!
context: But... if I'm not with you,\who knows what you'll get into?!\Be careful.\Listen. Don't eat any merchandise.\I understand.\Who's the cutie?\Don't go hogging all the good luck, you jerk!\I'm not! response:	There's something wrong with her!
context: who knows what you'll get into?!\Be careful.\Listen. Don't eat any merchandise.\I understand.\Who's the cutie?\Don't go hogging all the good luck, you jerk!\I'm not!\There's something wrong with her! response:	She's not normal!
context: Be careful.\Listen. Don't eat any merchandise.\I understand.\Who's the cutie?\Don't go hogging all the good luck, you jerk!\I'm not!\There's something wrong with her!\She's not normal! response:	You said it. She's abnormally cute!
context: Listen. Don't eat any merchandise.\I understand.\Who's the cutie?\Don't go hogging all the good luck, you jerk!\I'm not!\There's something wrong with her!\She's not normal!\You said it. She's abnormally cute! response:	Damn it, you always get the breaks!
context: I understand.\Who's the cutie?\Don't go hogging all the good luck, you jerk!\I'm not!\There's something wrong with her!\She's not normal!\You said it. She's abnormally cute!\Damn it, you always get the breaks! response:	Stop it!
context: Who's the cutie?\Don't go hogging all the good luck, you jerk!\I'm not!\There's something wrong with her!\She's not normal!\You said it. She's abnormally cute!\Damn it, you always get the breaks!\Stop it! response:	Aoyama's definitely got the wrong idea...
context: Don't go hogging all the good luck, you jerk!\I'm not!\There's something wrong with her!\She's not normal!\You said it. She's abnormally cute!\Damn it, you always get the breaks!\Stop it!\Aoyama's definitely got the wrong idea... response:	Shiina?
context: I'm not!\There's something wrong with her!\She's not normal!\You said it. She's abnormally cute!\Damn it, you always get the breaks!\Stop it!\Aoyama's definitely got the wrong idea...\Shiina? response:	Ayano, where's your car?
context: There's something wrong with her!\She's not normal!\You said it. She's abnormally cute!\Damn it, you always get the breaks!\Stop it!\Aoyama's definitely got the wrong idea...\Shiina?\Ayano, where's your car? response:	I took it to get serviced.
context: She's not normal!\You said it. She's abnormally cute!\Damn it, you always get the breaks!\Stop it!\Aoyama's definitely got the wrong idea...\Shiina?\Ayano, where's your car?\I took it to get serviced. response:	Serviced?
context: You said it. She's abnormally cute!\Damn it, you always get the breaks!\Stop it!\Aoyama's definitely got the wrong idea...\Shiina?\Ayano, where's your car?\I took it to get serviced.\Serviced? response:	I won't be seeing my beloved baby for a while.
context: Damn it, you always get the breaks!\Stop it!\Aoyama's definitely got the wrong idea...\Shiina?\Ayano, where's your car?\I took it to get serviced.\Serviced?\I won't be seeing my beloved baby for a while. response:	It's hard.
context: Stop it!\Aoyama's definitely got the wrong idea...\Shiina?\Ayano, where's your car?\I took it to get serviced.\Serviced?\I won't be seeing my beloved baby for a while.\It's hard. response:	Really?
context: Aoyama's definitely got the wrong idea...\Shiina?\Ayano, where's your car?\I took it to get serviced.\Serviced?\I won't be seeing my beloved baby for a while.\It's hard.\Really? response:	Shiina-san, what about you?
context: Shiina?\Ayano, where's your car?\I took it to get serviced.\Serviced?\I won't be seeing my beloved baby for a while.\It's hard.\Really?\Shiina-san, what about you? response:	Is it hard being so far from Rita-san in England?
context: Ayano, where's your car?\I took it to get serviced.\Serviced?\I won't be seeing my beloved baby for a while.\It's hard.\Really?\Shiina-san, what about you?\Is it hard being so far from Rita-san in England? response:	I have Sorata.
context: I took it to get serviced.\Serviced?\I won't be seeing my beloved baby for a while.\It's hard.\Really?\Shiina-san, what about you?\Is it hard being so far from Rita-san in England?\I have Sorata. response:	Sorata?
context: Serviced?\I won't be seeing my beloved baby for a while.\It's hard.\Really?\Shiina-san, what about you?\Is it hard being so far from Rita-san in England?\I have Sorata.\Sorata? response:	A boy.
context: I won't be seeing my beloved baby for a while.\It's hard.\Really?\Shiina-san, what about you?\Is it hard being so far from Rita-san in England?\I have Sorata.\Sorata?\A boy. response:	A boy, huh?
context: It's hard.\Really?\Shiina-san, what about you?\Is it hard being so far from Rita-san in England?\I have Sorata.\Sorata?\A boy.\A boy, huh? response:	Ayano.
context: Really?\Shiina-san, what about you?\Is it hard being so far from Rita-san in England?\I have Sorata.\Sorata?\A boy.\A boy, huh?\Ayano. response:	Conveni-Mart
context: Shiina-san, what about you?\Is it hard being so far from Rita-san in England?\I have Sorata.\Sorata?\A boy.\A boy, huh?\Ayano.\Conveni-Mart response:	Thank you very much.
context: Is it hard being so far from Rita-san in England?\I have Sorata.\Sorata?\A boy.\A boy, huh?\Ayano.\Conveni-Mart\Thank you very much. response:	Welcom
context: I have Sorata.\Sorata?\A boy.\A boy, huh?\Ayano.\Conveni-Mart\Thank you very much.\Welcom response:	Um, uh...
context: Sorata?\A boy.\A boy, huh?\Ayano.\Conveni-Mart\Thank you very much.\Welcom\Um, uh... response:	In England, I was surrounded by girls.
context: A boy.\A boy, huh?\Ayano.\Conveni-Mart\Thank you very much.\Welcom\Um, uh...\In England, I was surrounded by girls. response:	Sorata is the first boy I've become friends with.
context: A boy, huh?\Ayano.\Conveni-Mart\Thank you very much.\Welcom\Um, uh...\In England, I was surrounded by girls.\Sorata is the first boy I've become friends with. response:	Huh? Wh-What are you talking about?
context: Ayano.\Conveni-Mart\Thank you very much.\Welcom\Um, uh...\In England, I was surrounded by girls.\Sorata is the first boy I've become friends with.\Huh? Wh-What are you talking about? response:	In England, I was surrounded by girls...
context: Conveni-Mart\Thank you very much.\Welcom\Um, uh...\In England, I was surrounded by girls.\Sorata is the first boy I've become friends with.\Huh? Wh-What are you talking about?\In England, I was surrounded by girls... response:	That's not what I meant. What are you...
context: Thank you very much.\Welcom\Um, uh...\In England, I was surrounded by girls.\Sorata is the first boy I've become friends with.\Huh? Wh-What are you talking about?\In England, I was surrounded by girls...\That's not what I meant. What are you... response:	Sorata told me to tell you the context first.
context: Welcom\Um, uh...\In England, I was surrounded by girls.\Sorata is the first boy I've become friends with.\Huh? Wh-What are you talking about?\In England, I was surrounded by girls...\That's not what I meant. What are you...\Sorata told me to tell you the context first. response:	You're kidding! I was just imagining it all?!
context: Um, uh...\In England, I was surrounded by girls.\Sorata is the first boy I've become friends with.\Huh? Wh-What are you talking about?\In England, I was surrounded by girls...\That's not what I meant. What are you...\Sorata told me to tell you the context first.\You're kidding! I was just imagining it all?! response:	Oh no!
context: In England, I was surrounded by girls.\Sorata is the first boy I've become friends with.\Huh? Wh-What are you talking about?\In England, I was surrounded by girls...\That's not what I meant. What are you...\Sorata told me to tell you the context first.\You're kidding! I was just imagining it all?!\Oh no! response:	What am I supposed to say to Kanda-kun tomorrow?
context: Sorata is the first boy I've become friends with.\Huh? Wh-What are you talking about?\In England, I was surrounded by girls...\That's not what I meant. What are you...\Sorata told me to tell you the context first.\You're kidding! I was just imagining it all?!\Oh no!\What am I supposed to say to Kanda-kun tomorrow? response:	Oh, um... sorry, I...
context: Huh? Wh-What are you talking about?\In England, I was surrounded by girls...\That's not what I meant. What are you...\Sorata told me to tell you the context first.\You're kidding! I was just imagining it all?!\Oh no!\What am I supposed to say to Kanda-kun tomorrow?\Oh, um... sorry, I... response:	Um, you're called Shiina-san, right?
context: In England, I was surrounded by girls...\That's not what I meant. What are you...\Sorata told me to tell you the context first.\You're kidding! I was just imagining it all?!\Oh no!\What am I supposed to say to Kanda-kun tomorrow?\Oh, um... sorry, I...\Um, you're called Shiina-san, right? response:	Do you want one of those?
context: That's not what I meant. What are you...\Sorata told me to tell you the context first.\You're kidding! I was just imagining it all?!\Oh no!\What am I supposed to say to Kanda-kun tomorrow?\Oh, um... sorry, I...\Um, you're called Shiina-san, right?\Do you want one of those? response:	I like them.
context: Sorata told me to tell you the context first.\You're kidding! I was just imagining it all?!\Oh no!\What am I supposed to say to Kanda-kun tomorrow?\Oh, um... sorry, I...\Um, you're called Shiina-san, right?\Do you want one of those?\I like them. response:	You're not going to have one?
context: You're kidding! I was just imagining it all?!\Oh no!\What am I supposed to say to Kanda-kun tomorrow?\Oh, um... sorry, I...\Um, you're called Shiina-san, right?\Do you want one of those?\I like them.\You're not going to have one? response:	Sorata said I can't unless I pay for it.
context: Oh no!\What am I supposed to say to Kanda-kun tomorrow?\Oh, um... sorry, I...\Um, you're called Shiina-san, right?\Do you want one of those?\I like them.\You're not going to have one?\Sorata said I can't unless I pay for it. response:	Two baumkuchen, please.
context: What am I supposed to say to Kanda-kun tomorrow?\Oh, um... sorry, I...\Um, you're called Shiina-san, right?\Do you want one of those?\I like them.\You're not going to have one?\Sorata said I can't unless I pay for it.\Two baumkuchen, please. response:	Ayano.
context: Oh, um... sorry, I...\Um, you're called Shiina-san, right?\Do you want one of those?\I like them.\You're not going to have one?\Sorata said I can't unless I pay for it.\Two baumkuchen, please.\Ayano. response:	Ah, okay.
context: Um, you're called Shiina-san, right?\Do you want one of those?\I like them.\You're not going to have one?\Sorata said I can't unless I pay for it.\Two baumkuchen, please.\Ayano.\Ah, okay. response:	Thank you very much!
context: Do you want one of those?\I like them.\You're not going to have one?\Sorata said I can't unless I pay for it.\Two baumkuchen, please.\Ayano.\Ah, okay.\Thank you very much! response:	Thank you very much.
context: I like them.\You're not going to have one?\Sorata said I can't unless I pay for it.\Two baumkuchen, please.\Ayano.\Ah, okay.\Thank you very much!\Thank you very much. response:	I'm home.
context: You're not going to have one?\Sorata said I can't unless I pay for it.\Two baumkuchen, please.\Ayano.\Ah, okay.\Thank you very much!\Thank you very much.\I'm home. response:	I wonder if Shiina made it home okay...
context: Sorata said I can't unless I pay for it.\Two baumkuchen, please.\Ayano.\Ah, okay.\Thank you very much!\Thank you very much.\I'm home.\I wonder if Shiina made it home okay... response:	Hikari. Are you here to greet me?
context: Two baumkuchen, please.\Ayano.\Ah, okay.\Thank you very much!\Thank you very much.\I'm home.\I wonder if Shiina made it home okay...\Hikari. Are you here to greet me? response:	Well, having someone like you is never a bad thing.
context: Ayano.\Ah, okay.\Thank you very much!\Thank you very much.\I'm home.\I wonder if Shiina made it home okay...\Hikari. Are you here to greet me?\Well, having someone like you is never a bad thing. response:	This is...
context: Ah, okay.\Thank you very much!\Thank you very much.\I'm home.\I wonder if Shiina made it home okay...\Hikari. Are you here to greet me?\Well, having someone like you is never a bad thing.\This is... response:	The Cabbage Road of Honor...
context: Thank you very much!\Thank you very much.\I'm home.\I wonder if Shiina made it home okay...\Hikari. Are you here to greet me?\Well, having someone like you is never a bad thing.\This is...\The Cabbage Road of Honor... response:	It's my birthday today.
context: Thank you very much.\I'm home.\I wonder if Shiina made it home okay...\Hikari. Are you here to greet me?\Well, having someone like you is never a bad thing.\This is...\The Cabbage Road of Honor...\It's my birthday today. response:	Jin-san.
