context: Some villagers lost their lives in the attack. response:	We're at war with a raccoon dog.
context: I need one brave warrior for each finger on these two hands.\Ten brave warriors.\Sasuke, Rokuro, Anastasia and me, plus you and Isanami.\You may be disrespectful,\but I can see why Yukimura-sama chose you.\However, Isanami is just an ordinary girl.\What's wrong? What are you thinking about?\Who're you calling a brave? response:	He can't make me be one.
context: Ten brave warriors.\Sasuke, Rokuro, Anastasia and me, plus you and Isanami.\You may be disrespectful,\but I can see why Yukimura-sama chose you.\However, Isanami is just an ordinary girl.\What's wrong? What are you thinking about?\Who're you calling a brave?\He can't make me be one. response:	This is ridiculous.
context: Sasuke, Rokuro, Anastasia and me, plus you and Isanami.\You may be disrespectful,\but I can see why Yukimura-sama chose you.\However, Isanami is just an ordinary girl.\What's wrong? What are you thinking about?\Who're you calling a brave?\He can't make me be one.\This is ridiculous. response:	Those snacks were delicious.
context: You may be disrespectful,\but I can see why Yukimura-sama chose you.\However, Isanami is just an ordinary girl.\What's wrong? What are you thinking about?\Who're you calling a brave?\He can't make me be one.\This is ridiculous.\Those snacks were delicious. response:	I want some soba next.
context: but I can see why Yukimura-sama chose you.\However, Isanami is just an ordinary girl.\What's wrong? What are you thinking about?\Who're you calling a brave?\He can't make me be one.\This is ridiculous.\Those snacks were delicious.\I want some soba next. response:	Okay, okay.
context: However, Isanami is just an ordinary girl.\What's wrong? What are you thinking about?\Who're you calling a brave?\He can't make me be one.\This is ridiculous.\Those snacks were delicious.\I want some soba next.\Okay, okay. response:	Something's not right.
context: What's wrong? What are you thinking about?\Who're you calling a brave?\He can't make me be one.\This is ridiculous.\Those snacks were delicious.\I want some soba next.\Okay, okay.\Something's not right. response:	What is it?
context: Who're you calling a brave?\He can't make me be one.\This is ridiculous.\Those snacks were delicious.\I want some soba next.\Okay, okay.\Something's not right.\What is it? response:	We haven't passed anyone for a while.
context: He can't make me be one.\This is ridiculous.\Those snacks were delicious.\I want some soba next.\Okay, okay.\Something's not right.\What is it?\We haven't passed anyone for a while. response:	You're right.
context: This is ridiculous.\Those snacks were delicious.\I want some soba next.\Okay, okay.\Something's not right.\What is it?\We haven't passed anyone for a while.\You're right. response:	That person...
context: Those snacks were delicious.\I want some soba next.\Okay, okay.\Something's not right.\What is it?\We haven't passed anyone for a while.\You're right.\That person... response:	Isanami.
context: I want some soba next.\Okay, okay.\Something's not right.\What is it?\We haven't passed anyone for a while.\You're right.\That person...\Isanami. response:	Are you all right? Are you hungry?
context: Okay, okay.\Something's not right.\What is it?\We haven't passed anyone for a while.\You're right.\That person...\Isanami.\Are you all right? Are you hungry? response:	No.
context: Something's not right.\What is it?\We haven't passed anyone for a while.\You're right.\That person...\Isanami.\Are you all right? Are you hungry?\No. response:	I sprained my ankle.
context: What is it?\We haven't passed anyone for a while.\You're right.\That person...\Isanami.\Are you all right? Are you hungry?\No.\I sprained my ankle. response:	That's terrible.
context: We haven't passed anyone for a while.\You're right.\That person...\Isanami.\Are you all right? Are you hungry?\No.\I sprained my ankle.\That's terrible. response:	I can't do anything with this worthless foot.
context: You're right.\That person...\Isanami.\Are you all right? Are you hungry?\No.\I sprained my ankle.\That's terrible.\I can't do anything with this worthless foot. response:	We cannot leave a woman here by herself.
context: That person...\Isanami.\Are you all right? Are you hungry?\No.\I sprained my ankle.\That's terrible.\I can't do anything with this worthless foot.\We cannot leave a woman here by herself. response:	Why don't we take her to the foot of the mountain?
context: Isanami.\Are you all right? Are you hungry?\No.\I sprained my ankle.\That's terrible.\I can't do anything with this worthless foot.\We cannot leave a woman here by herself.\Why don't we take her to the foot of the mountain? response:	Why me?
context: Are you all right? Are you hungry?\No.\I sprained my ankle.\That's terrible.\I can't do anything with this worthless foot.\We cannot leave a woman here by herself.\Why don't we take her to the foot of the mountain?\Why me? response:	Saizo, we can't abandon someone in need.
context: No.\I sprained my ankle.\That's terrible.\I can't do anything with this worthless foot.\We cannot leave a woman here by herself.\Why don't we take her to the foot of the mountain?\Why me?\Saizo, we can't abandon someone in need. response:	Can you stand?
context: I sprained my ankle.\That's terrible.\I can't do anything with this worthless foot.\We cannot leave a woman here by herself.\Why don't we take her to the foot of the mountain?\Why me?\Saizo, we can't abandon someone in need.\Can you stand? response:	Yes, thank you.
context: That's terrible.\I can't do anything with this worthless foot.\We cannot leave a woman here by herself.\Why don't we take her to the foot of the mountain?\Why me?\Saizo, we can't abandon someone in need.\Can you stand?\Yes, thank you. response:	Sorry.
context: I can't do anything with this worthless foot.\We cannot leave a woman here by herself.\Why don't we take her to the foot of the mountain?\Why me?\Saizo, we can't abandon someone in need.\Can you stand?\Yes, thank you.\Sorry. response:	You'd die if you fell from here.
context: We cannot leave a woman here by herself.\Why don't we take her to the foot of the mountain?\Why me?\Saizo, we can't abandon someone in need.\Can you stand?\Yes, thank you.\Sorry.\You'd die if you fell from here. response:	It's a long way down, look.
context: Why don't we take her to the foot of the mountain?\Why me?\Saizo, we can't abandon someone in need.\Can you stand?\Yes, thank you.\Sorry.\You'd die if you fell from here.\It's a long way down, look. response:	Shut up, I can see it.
context: Why me?\Saizo, we can't abandon someone in need.\Can you stand?\Yes, thank you.\Sorry.\You'd die if you fell from here.\It's a long way down, look.\Shut up, I can see it. response:	Kakei-san?
context: Saizo, we can't abandon someone in need.\Can you stand?\Yes, thank you.\Sorry.\You'd die if you fell from here.\It's a long way down, look.\Shut up, I can see it.\Kakei-san? response:	Are you afraid of heights?
context: Can you stand?\Yes, thank you.\Sorry.\You'd die if you fell from here.\It's a long way down, look.\Shut up, I can see it.\Kakei-san?\Are you afraid of heights? response:	Leave me alone!
context: Yes, thank you.\Sorry.\You'd die if you fell from here.\It's a long way down, look.\Shut up, I can see it.\Kakei-san?\Are you afraid of heights?\Leave me alone! response:	What is this wind?
context: Sorry.\You'd die if you fell from here.\It's a long way down, look.\Shut up, I can see it.\Kakei-san?\Are you afraid of heights?\Leave me alone!\What is this wind? response:	What's wrong, Isanami?
context: You'd die if you fell from here.\It's a long way down, look.\Shut up, I can see it.\Kakei-san?\Are you afraid of heights?\Leave me alone!\What is this wind?\What's wrong, Isanami? response:	I won't hurt you.
context: It's a long way down, look.\Shut up, I can see it.\Kakei-san?\Are you afraid of heights?\Leave me alone!\What is this wind?\What's wrong, Isanami?\I won't hurt you. response:	I, Yuri Kamanosuke-sama, will simply take everything you have of value.
context: Shut up, I can see it.\Kakei-san?\Are you afraid of heights?\Leave me alone!\What is this wind?\What's wrong, Isanami?\I won't hurt you.\I, Yuri Kamanosuke-sama, will simply take everything you have of value. response:	Impersonating a woman is exhausting.
context: Kakei-san?\Are you afraid of heights?\Leave me alone!\What is this wind?\What's wrong, Isanami?\I won't hurt you.\I, Yuri Kamanosuke-sama, will simply take everything you have of value.\Impersonating a woman is exhausting. response:	My hips hurt.
context: Are you afraid of heights?\Leave me alone!\What is this wind?\What's wrong, Isanami?\I won't hurt you.\I, Yuri Kamanosuke-sama, will simply take everything you have of value.\Impersonating a woman is exhausting.\My hips hurt. response:	A thief.
context: Leave me alone!\What is this wind?\What's wrong, Isanami?\I won't hurt you.\I, Yuri Kamanosuke-sama, will simply take everything you have of value.\Impersonating a woman is exhausting.\My hips hurt.\A thief. response:	This woman's got some jade on her.
context: What is this wind?\What's wrong, Isanami?\I won't hurt you.\I, Yuri Kamanosuke-sama, will simply take everything you have of value.\Impersonating a woman is exhausting.\My hips hurt.\A thief.\This woman's got some jade on her. response:	You're pretty well off, aren't you?
context: What's wrong, Isanami?\I won't hurt you.\I, Yuri Kamanosuke-sama, will simply take everything you have of value.\Impersonating a woman is exhausting.\My hips hurt.\A thief.\This woman's got some jade on her.\You're pretty well off, aren't you? response:	Isanami!
context: I won't hurt you.\I, Yuri Kamanosuke-sama, will simply take everything you have of value.\Impersonating a woman is exhausting.\My hips hurt.\A thief.\This woman's got some jade on her.\You're pretty well off, aren't you?\Isanami! response:	Saizo!
context: I, Yuri Kamanosuke-sama, will simply take everything you have of value.\Impersonating a woman is exhausting.\My hips hurt.\A thief.\This woman's got some jade on her.\You're pretty well off, aren't you?\Isanami!\Saizo! response:	You can't escape from my wind.
context: Impersonating a woman is exhausting.\My hips hurt.\A thief.\This woman's got some jade on her.\You're pretty well off, aren't you?\Isanami!\Saizo!\You can't escape from my wind. response:	Shut up and sit tight.
context: My hips hurt.\A thief.\This woman's got some jade on her.\You're pretty well off, aren't you?\Isanami!\Saizo!\You can't escape from my wind.\Shut up and sit tight. response:	I noticed you're hiding weapons all over your body.
context: A thief.\This woman's got some jade on her.\You're pretty well off, aren't you?\Isanami!\Saizo!\You can't escape from my wind.\Shut up and sit tight.\I noticed you're hiding weapons all over your body. response:	You reek of blood, too.
context: This woman's got some jade on her.\You're pretty well off, aren't you?\Isanami!\Saizo!\You can't escape from my wind.\Shut up and sit tight.\I noticed you're hiding weapons all over your body.\You reek of blood, too. response:	As long as I keep you bound, this'll be easy, ninja.
context: You're pretty well off, aren't you?\Isanami!\Saizo!\You can't escape from my wind.\Shut up and sit tight.\I noticed you're hiding weapons all over your body.\You reek of blood, too.\As long as I keep you bound, this'll be easy, ninja. response:	Bastard.
context: Isanami!\Saizo!\You can't escape from my wind.\Shut up and sit tight.\I noticed you're hiding weapons all over your body.\You reek of blood, too.\As long as I keep you bound, this'll be easy, ninja.\Bastard. response:	Take everything she has.
context: Saizo!\You can't escape from my wind.\Shut up and sit tight.\I noticed you're hiding weapons all over your body.\You reek of blood, too.\As long as I keep you bound, this'll be easy, ninja.\Bastard.\Take everything she has. response:	Do whatever you want with her when you're done.
context: You can't escape from my wind.\Shut up and sit tight.\I noticed you're hiding weapons all over your body.\You reek of blood, too.\As long as I keep you bound, this'll be easy, ninja.\Bastard.\Take everything she has.\Do whatever you want with her when you're done. response:	Thanks, boss. You're so generous.
context: Shut up and sit tight.\I noticed you're hiding weapons all over your body.\You reek of blood, too.\As long as I keep you bound, this'll be easy, ninja.\Bastard.\Take everything she has.\Do whatever you want with her when you're done.\Thanks, boss. You're so generous. response:	A Tanegashima rifle?
context: I noticed you're hiding weapons all over your body.\You reek of blood, too.\As long as I keep you bound, this'll be easy, ninja.\Bastard.\Take everything she has.\Do whatever you want with her when you're done.\Thanks, boss. You're so generous.\A Tanegashima rifle? response:	Say your prayers.
context: You reek of blood, too.\As long as I keep you bound, this'll be easy, ninja.\Bastard.\Take everything she has.\Do whatever you want with her when you're done.\Thanks, boss. You're so generous.\A Tanegashima rifle?\Say your prayers. response:	He's a good shot.
context: As long as I keep you bound, this'll be easy, ninja.\Bastard.\Take everything she has.\Do whatever you want with her when you're done.\Thanks, boss. You're so generous.\A Tanegashima rifle?\Say your prayers.\He's a good shot. response:	That bastard.
context: Bastard.\Take everything she has.\Do whatever you want with her when you're done.\Thanks, boss. You're so generous.\A Tanegashima rifle?\Say your prayers.\He's a good shot.\That bastard. response:	I'll kill him.
context: Take everything she has.\Do whatever you want with her when you're done.\Thanks, boss. You're so generous.\A Tanegashima rifle?\Say your prayers.\He's a good shot.\That bastard.\I'll kill him. response:	What is this wind?
context: Do whatever you want with her when you're done.\Thanks, boss. You're so generous.\A Tanegashima rifle?\Say your prayers.\He's a good shot.\That bastard.\I'll kill him.\What is this wind? response:	Now, hand over your wealth.
context: Thanks, boss. You're so generous.\A Tanegashima rifle?\Say your prayers.\He's a good shot.\That bastard.\I'll kill him.\What is this wind?\Now, hand over your wealth. response:	Don't get ahead of yourself, thief.
context: A Tanegashima rifle?\Say your prayers.\He's a good shot.\That bastard.\I'll kill him.\What is this wind?\Now, hand over your wealth.\Don't get ahead of yourself, thief. response:	I'll kill you.
context: Say your prayers.\He's a good shot.\That bastard.\I'll kill him.\What is this wind?\Now, hand over your wealth.\Don't get ahead of yourself, thief.\I'll kill you. response:	Oh?
context: He's a good shot.\That bastard.\I'll kill him.\What is this wind?\Now, hand over your wealth.\Don't get ahead of yourself, thief.\I'll kill you.\Oh? response:	Is this girl that important to you?
context: That bastard.\I'll kill him.\What is this wind?\Now, hand over your wealth.\Don't get ahead of yourself, thief.\I'll kill you.\Oh?\Is this girl that important to you? response:	What're you talking about?
context: I'll kill him.\What is this wind?\Now, hand over your wealth.\Don't get ahead of yourself, thief.\I'll kill you.\Oh?\Is this girl that important to you?\What're you talking about? response:	Sorry you won't be able to save her.
context: What is this wind?\Now, hand over your wealth.\Don't get ahead of yourself, thief.\I'll kill you.\Oh?\Is this girl that important to you?\What're you talking about?\Sorry you won't be able to save her. response:	Saizo!
context: Now, hand over your wealth.\Don't get ahead of yourself, thief.\I'll kill you.\Oh?\Is this girl that important to you?\What're you talking about?\Sorry you won't be able to save her.\Saizo! response:	Saizo!
context: Don't get ahead of yourself, thief.\I'll kill you.\Oh?\Is this girl that important to you?\What're you talking about?\Sorry you won't be able to save her.\Saizo!\Saizo! response:	Saizo, are you all right?
context: I'll kill you.\Oh?\Is this girl that important to you?\What're you talking about?\Sorry you won't be able to save her.\Saizo!\Saizo!\Saizo, are you all right? response:	You don't know what you're talking about.
context: Oh?\Is this girl that important to you?\What're you talking about?\Sorry you won't be able to save her.\Saizo!\Saizo!\Saizo, are you all right?\You don't know what you're talking about. response:	I'd never make it as a ninja,
context: Is this girl that important to you?\What're you talking about?\Sorry you won't be able to save her.\Saizo!\Saizo!\Saizo, are you all right?\You don't know what you're talking about.\I'd never make it as a ninja, response:	if I died to something like this.
context: What're you talking about?\Sorry you won't be able to save her.\Saizo!\Saizo!\Saizo, are you all right?\You don't know what you're talking about.\I'd never make it as a ninja,\if I died to something like this. response:	Let's get Isanami.
context: Sorry you won't be able to save her.\Saizo!\Saizo!\Saizo, are you all right?\You don't know what you're talking about.\I'd never make it as a ninja,\if I died to something like this.\Let's get Isanami. response:	Ow, ow, ow.
context: Saizo!\Saizo!\Saizo, are you all right?\You don't know what you're talking about.\I'd never make it as a ninja,\if I died to something like this.\Let's get Isanami.\Ow, ow, ow. response:	Untie me, you jerk!
context: Saizo!\Saizo, are you all right?\You don't know what you're talking about.\I'd never make it as a ninja,\if I died to something like this.\Let's get Isanami.\Ow, ow, ow.\Untie me, you jerk! response:	Quiet, woman.
context: Saizo, are you all right?\You don't know what you're talking about.\I'd never make it as a ninja,\if I died to something like this.\Let's get Isanami.\Ow, ow, ow.\Untie me, you jerk!\Quiet, woman. response:	If you don't shut up, I'll cut your legs off.
context: You don't know what you're talking about.\I'd never make it as a ninja,\if I died to something like this.\Let's get Isanami.\Ow, ow, ow.\Untie me, you jerk!\Quiet, woman.\If you don't shut up, I'll cut your legs off. response:	Why are you doing this?
context: I'd never make it as a ninja,\if I died to something like this.\Let's get Isanami.\Ow, ow, ow.\Untie me, you jerk!\Quiet, woman.\If you don't shut up, I'll cut your legs off.\Why are you doing this? response:	Do you want money?
context: if I died to something like this.\Let's get Isanami.\Ow, ow, ow.\Untie me, you jerk!\Quiet, woman.\If you don't shut up, I'll cut your legs off.\Why are you doing this?\Do you want money? response:	Money?
context: Let's get Isanami.\Ow, ow, ow.\Untie me, you jerk!\Quiet, woman.\If you don't shut up, I'll cut your legs off.\Why are you doing this?\Do you want money?\Money? response:	I'm looking for a fun new toy to play with.
context: Ow, ow, ow.\Untie me, you jerk!\Quiet, woman.\If you don't shut up, I'll cut your legs off.\Why are you doing this?\Do you want money?\Money?\I'm looking for a fun new toy to play with. response:	A toy? What do you mean?
context: Untie me, you jerk!\Quiet, woman.\If you don't shut up, I'll cut your legs off.\Why are you doing this?\Do you want money?\Money?\I'm looking for a fun new toy to play with.\A toy? What do you mean? response:	That ninja was awfully protective of you.
context: Quiet, woman.\If you don't shut up, I'll cut your legs off.\Why are you doing this?\Do you want money?\Money?\I'm looking for a fun new toy to play with.\A toy? What do you mean?\That ninja was awfully protective of you. response:	Isn't that just damn peachy?
context: If you don't shut up, I'll cut your legs off.\Why are you doing this?\Do you want money?\Money?\I'm looking for a fun new toy to play with.\A toy? What do you mean?\That ninja was awfully protective of you.\Isn't that just damn peachy? response:	I'm sure he'll come to rescue you.
context: Why are you doing this?\Do you want money?\Money?\I'm looking for a fun new toy to play with.\A toy? What do you mean?\That ninja was awfully protective of you.\Isn't that just damn peachy?\I'm sure he'll come to rescue you. response:	I wonder what face he'll make...
context: Do you want money?\Money?\I'm looking for a fun new toy to play with.\A toy? What do you mean?\That ninja was awfully protective of you.\Isn't that just damn peachy?\I'm sure he'll come to rescue you.\I wonder what face he'll make... response:	I've killed lots of people before,
context: Money?\I'm looking for a fun new toy to play with.\A toy? What do you mean?\That ninja was awfully protective of you.\Isn't that just damn peachy?\I'm sure he'll come to rescue you.\I wonder what face he'll make...\I've killed lots of people before, response:	but I think this'll be the most fun I've had.
context: I'm looking for a fun new toy to play with.\A toy? What do you mean?\That ninja was awfully protective of you.\Isn't that just damn peachy?\I'm sure he'll come to rescue you.\I wonder what face he'll make...\I've killed lots of people before,\but I think this'll be the most fun I've had. response:	What's wrong with you?
context: A toy? What do you mean?\That ninja was awfully protective of you.\Isn't that just damn peachy?\I'm sure he'll come to rescue you.\I wonder what face he'll make...\I've killed lots of people before,\but I think this'll be the most fun I've had.\What's wrong with you? response:	What are you thinking?
context: That ninja was awfully protective of you.\Isn't that just damn peachy?\I'm sure he'll come to rescue you.\I wonder what face he'll make...\I've killed lots of people before,\but I think this'll be the most fun I've had.\What's wrong with you?\What are you thinking? response:	You're crazy!
context: Isn't that just damn peachy?\I'm sure he'll come to rescue you.\I wonder what face he'll make...\I've killed lots of people before,\but I think this'll be the most fun I've had.\What's wrong with you?\What are you thinking?\You're crazy! response:	I get that a lot.
context: I'm sure he'll come to rescue you.\I wonder what face he'll make...\I've killed lots of people before,\but I think this'll be the most fun I've had.\What's wrong with you?\What are you thinking?\You're crazy!\I get that a lot. response:	But you shouldn't judge the hobbies of others so harshly.
context: I wonder what face he'll make...\I've killed lots of people before,\but I think this'll be the most fun I've had.\What's wrong with you?\What are you thinking?\You're crazy!\I get that a lot.\But you shouldn't judge the hobbies of others so harshly. response:	Taking from others is my only pleasure.
context: I've killed lots of people before,\but I think this'll be the most fun I've had.\What's wrong with you?\What are you thinking?\You're crazy!\I get that a lot.\But you shouldn't judge the hobbies of others so harshly.\Taking from others is my only pleasure. response:	Hobby? Pleasure?
context: but I think this'll be the most fun I've had.\What's wrong with you?\What are you thinking?\You're crazy!\I get that a lot.\But you shouldn't judge the hobbies of others so harshly.\Taking from others is my only pleasure.\Hobby? Pleasure? response:	What do you think people are?
context: What's wrong with you?\What are you thinking?\You're crazy!\I get that a lot.\But you shouldn't judge the hobbies of others so harshly.\Taking from others is my only pleasure.\Hobby? Pleasure?\What do you think people are? response:	You're a person, too.
context: What are you thinking?\You're crazy!\I get that a lot.\But you shouldn't judge the hobbies of others so harshly.\Taking from others is my only pleasure.\Hobby? Pleasure?\What do you think people are?\You're a person, too. response:	Why don't you stop doing this and
context: You're crazy!\I get that a lot.\But you shouldn't judge the hobbies of others so harshly.\Taking from others is my only pleasure.\Hobby? Pleasure?\What do you think people are?\You're a person, too.\Why don't you stop doing this and response:	You're so annoying.
context: I get that a lot.\But you shouldn't judge the hobbies of others so harshly.\Taking from others is my only pleasure.\Hobby? Pleasure?\What do you think people are?\You're a person, too.\Why don't you stop doing this and\You're so annoying. response:	Didn't I tell you not to criticize my hobbies?
context: But you shouldn't judge the hobbies of others so harshly.\Taking from others is my only pleasure.\Hobby? Pleasure?\What do you think people are?\You're a person, too.\Why don't you stop doing this and\You're so annoying.\Didn't I tell you not to criticize my hobbies? response:	Saizo will defeat you.
context: Taking from others is my only pleasure.\Hobby? Pleasure?\What do you think people are?\You're a person, too.\Why don't you stop doing this and\You're so annoying.\Didn't I tell you not to criticize my hobbies?\Saizo will defeat you. response:	I just can't deal with worthless women like you.
context: Hobby? Pleasure?\What do you think people are?\You're a person, too.\Why don't you stop doing this and\You're so annoying.\Didn't I tell you not to criticize my hobbies?\Saizo will defeat you.\I just can't deal with worthless women like you. response:	You can't do anything for yourself, but you never shut up.
context: What do you think people are?\You're a person, too.\Why don't you stop doing this and\You're so annoying.\Didn't I tell you not to criticize my hobbies?\Saizo will defeat you.\I just can't deal with worthless women like you.\You can't do anything for yourself, but you never shut up. response:	Girls like you, who rely on men for everything,
context: You're a person, too.\Why don't you stop doing this and\You're so annoying.\Didn't I tell you not to criticize my hobbies?\Saizo will defeat you.\I just can't deal with worthless women like you.\You can't do anything for yourself, but you never shut up.\Girls like you, who rely on men for everything, response:	are the least deserving of life.
context: Why don't you stop doing this and\You're so annoying.\Didn't I tell you not to criticize my hobbies?\Saizo will defeat you.\I just can't deal with worthless women like you.\You can't do anything for yourself, but you never shut up.\Girls like you, who rely on men for everything,\are the least deserving of life. response:	Now, come quickly...
context: You're so annoying.\Didn't I tell you not to criticize my hobbies?\Saizo will defeat you.\I just can't deal with worthless women like you.\You can't do anything for yourself, but you never shut up.\Girls like you, who rely on men for everything,\are the least deserving of life.\Now, come quickly... response:	I don't believe it.
context: Didn't I tell you not to criticize my hobbies?\Saizo will defeat you.\I just can't deal with worthless women like you.\You can't do anything for yourself, but you never shut up.\Girls like you, who rely on men for everything,\are the least deserving of life.\Now, come quickly...\I don't believe it. response:	He seems to be making an example of her.
context: Saizo will defeat you.\I just can't deal with worthless women like you.\You can't do anything for yourself, but you never shut up.\Girls like you, who rely on men for everything,\are the least deserving of life.\Now, come quickly...\I don't believe it.\He seems to be making an example of her. response:	He's probably trying to lure us in.
context: I just can't deal with worthless women like you.\You can't do anything for yourself, but you never shut up.\Girls like you, who rely on men for everything,\are the least deserving of life.\Now, come quickly...\I don't believe it.\He seems to be making an example of her.\He's probably trying to lure us in. response:	We need to find a path.
context: You can't do anything for yourself, but you never shut up.\Girls like you, who rely on men for everything,\are the least deserving of life.\Now, come quickly...\I don't believe it.\He seems to be making an example of her.\He's probably trying to lure us in.\We need to find a path. response:	There's already a path.
context: Girls like you, who rely on men for everything,\are the least deserving of life.\Now, come quickly...\I don't believe it.\He seems to be making an example of her.\He's probably trying to lure us in.\We need to find a path.\There's already a path. response:	The shortest route's right in front of us.
context: are the least deserving of life.\Now, come quickly...\I don't believe it.\He seems to be making an example of her.\He's probably trying to lure us in.\We need to find a path.\There's already a path.\The shortest route's right in front of us. response:	Saizo...
context: Now, come quickly...\I don't believe it.\He seems to be making an example of her.\He's probably trying to lure us in.\We need to find a path.\There's already a path.\The shortest route's right in front of us.\Saizo... response:	What am I doing? I must look stupid.
context: I don't believe it.\He seems to be making an example of her.\He's probably trying to lure us in.\We need to find a path.\There's already a path.\The shortest route's right in front of us.\Saizo...\What am I doing? I must look stupid. response:	First she gets kidnapped, and now I'm climbing a cliff.
context: He seems to be making an example of her.\He's probably trying to lure us in.\We need to find a path.\There's already a path.\The shortest route's right in front of us.\Saizo...\What am I doing? I must look stupid.\First she gets kidnapped, and now I'm climbing a cliff. response:	A lookout can't let his guard down.
context: He's probably trying to lure us in.\We need to find a path.\There's already a path.\The shortest route's right in front of us.\Saizo...\What am I doing? I must look stupid.\First she gets kidnapped, and now I'm climbing a cliff.\A lookout can't let his guard down. response:	Ana.
context: We need to find a path.\There's already a path.\The shortest route's right in front of us.\Saizo...\What am I doing? I must look stupid.\First she gets kidnapped, and now I'm climbing a cliff.\A lookout can't let his guard down.\Ana. response:	Are you really that worried about them?
context: There's already a path.\The shortest route's right in front of us.\Saizo...\What am I doing? I must look stupid.\First she gets kidnapped, and now I'm climbing a cliff.\A lookout can't let his guard down.\Ana.\Are you really that worried about them? response:	I hate Iga ninja, but he is strong.
context: The shortest route's right in front of us.\Saizo...\What am I doing? I must look stupid.\First she gets kidnapped, and now I'm climbing a cliff.\A lookout can't let his guard down.\Ana.\Are you really that worried about them?\I hate Iga ninja, but he is strong. response:	He will become stronger and return.
context: Saizo...\What am I doing? I must look stupid.\First she gets kidnapped, and now I'm climbing a cliff.\A lookout can't let his guard down.\Ana.\Are you really that worried about them?\I hate Iga ninja, but he is strong.\He will become stronger and return. response:	What, you like men?
context: What am I doing? I must look stupid.\First she gets kidnapped, and now I'm climbing a cliff.\A lookout can't let his guard down.\Ana.\Are you really that worried about them?\I hate Iga ninja, but he is strong.\He will become stronger and return.\What, you like men? response:	No!
context: First she gets kidnapped, and now I'm climbing a cliff.\A lookout can't let his guard down.\Ana.\Are you really that worried about them?\I hate Iga ninja, but he is strong.\He will become stronger and return.\What, you like men?\No! response:	I have faith.
context: A lookout can't let his guard down.\Ana.\Are you really that worried about them?\I hate Iga ninja, but he is strong.\He will become stronger and return.\What, you like men?\No!\I have faith. response:	Faith, huh?
context: Ana.\Are you really that worried about them?\I hate Iga ninja, but he is strong.\He will become stronger and return.\What, you like men?\No!\I have faith.\Faith, huh? response:	That's a nice word.
context: Are you really that worried about them?\I hate Iga ninja, but he is strong.\He will become stronger and return.\What, you like men?\No!\I have faith.\Faith, huh?\That's a nice word. response:	It's a funny word, though.
context: I hate Iga ninja, but he is strong.\He will become stronger and return.\What, you like men?\No!\I have faith.\Faith, huh?\That's a nice word.\It's a funny word, though. response:	When that trust is betrayed...
context: He will become stronger and return.\What, you like men?\No!\I have faith.\Faith, huh?\That's a nice word.\It's a funny word, though.\When that trust is betrayed... response:	He's here.
context: What, you like men?\No!\I have faith.\Faith, huh?\That's a nice word.\It's a funny word, though.\When that trust is betrayed...\He's here. response:	Yo.
context: No!\I have faith.\Faith, huh?\That's a nice word.\It's a funny word, though.\When that trust is betrayed...\He's here.\Yo. response:	You chose quite the location for your castle.
context: I have faith.\Faith, huh?\That's a nice word.\It's a funny word, though.\When that trust is betrayed...\He's here.\Yo.\You chose quite the location for your castle. response:	What are you, king of the mountain?
context: Faith, huh?\That's a nice word.\It's a funny word, though.\When that trust is betrayed...\He's here.\Yo.\You chose quite the location for your castle.\What are you, king of the mountain? response:	You look ridiculous.
context: That's a nice word.\It's a funny word, though.\When that trust is betrayed...\He's here.\Yo.\You chose quite the location for your castle.\What are you, king of the mountain?\You look ridiculous. response:	Hurry on up here before something terrible happens.
context: It's a funny word, though.\When that trust is betrayed...\He's here.\Yo.\You chose quite the location for your castle.\What are you, king of the mountain?\You look ridiculous.\Hurry on up here before something terrible happens. response:	See?
context: When that trust is betrayed...\He's here.\Yo.\You chose quite the location for your castle.\What are you, king of the mountain?\You look ridiculous.\Hurry on up here before something terrible happens.\See? response:	You bastard!
context: He's here.\Yo.\You chose quite the location for your castle.\What are you, king of the mountain?\You look ridiculous.\Hurry on up here before something terrible happens.\See?\You bastard! response:	Moron.
context: Yo.\You chose quite the location for your castle.\What are you, king of the mountain?\You look ridiculous.\Hurry on up here before something terrible happens.\See?\You bastard!\Moron. response:	Saizo...
context: You chose quite the location for your castle.\What are you, king of the mountain?\You look ridiculous.\Hurry on up here before something terrible happens.\See?\You bastard!\Moron.\Saizo... response:	What's a ninja doing charging in head on?
context: What are you, king of the mountain?\You look ridiculous.\Hurry on up here before something terrible happens.\See?\You bastard!\Moron.\Saizo...\What's a ninja doing charging in head on? response:	How far did you fall?
context: You look ridiculous.\Hurry on up here before something terrible happens.\See?\You bastard!\Moron.\Saizo...\What's a ninja doing charging in head on?\How far did you fall? response:	Did you die?
context: Hurry on up here before something terrible happens.\See?\You bastard!\Moron.\Saizo...\What's a ninja doing charging in head on?\How far did you fall?\Did you die? response:	I get it.
context: See?\You bastard!\Moron.\Saizo...\What's a ninja doing charging in head on?\How far did you fall?\Did you die?\I get it. response:	You're an absolutely terrible guy.
context: You bastard!\Moron.\Saizo...\What's a ninja doing charging in head on?\How far did you fall?\Did you die?\I get it.\You're an absolutely terrible guy. response:	Two can play that game!
context: Moron.\Saizo...\What's a ninja doing charging in head on?\How far did you fall?\Did you die?\I get it.\You're an absolutely terrible guy.\Two can play that game! response:	I like that look.
