context: As I wait... response:	We touched it at the same time!
context: Is the other match too one-sided?\Hokuo already dropped three games?!\What's that?!\They're good...\This year's Fujisaki team is better than their reputation!\Still, I didn't expect the First Akashi Girls' vs. Mizusawa match\to be more exciting than the Hokuo vs. Fujisaki match.\Mizusawa came out of nowhere. response:	They don't have any experienced supervision,
context: Hokuo already dropped three games?!\What's that?!\They're good...\This year's Fujisaki team is better than their reputation!\Still, I didn't expect the First Akashi Girls' vs. Mizusawa match\to be more exciting than the Hokuo vs. Fujisaki match.\Mizusawa came out of nowhere.\They don't have any experienced supervision, response:	yet those kids are able to play this well.
context: What's that?!\They're good...\This year's Fujisaki team is better than their reputation!\Still, I didn't expect the First Akashi Girls' vs. Mizusawa match\to be more exciting than the Hokuo vs. Fujisaki match.\Mizusawa came out of nowhere.\They don't have any experienced supervision,\yet those kids are able to play this well. response:	I came here to cheer for my friends from Tokyo.
context: They're good...\This year's Fujisaki team is better than their reputation!\Still, I didn't expect the First Akashi Girls' vs. Mizusawa match\to be more exciting than the Hokuo vs. Fujisaki match.\Mizusawa came out of nowhere.\They don't have any experienced supervision,\yet those kids are able to play this well.\I came here to cheer for my friends from Tokyo. response:	If Wataya Arata-kun came here to watch Mizusawa...
context: This year's Fujisaki team is better than their reputation!\Still, I didn't expect the First Akashi Girls' vs. Mizusawa match\to be more exciting than the Hokuo vs. Fujisaki match.\Mizusawa came out of nowhere.\They don't have any experienced supervision,\yet those kids are able to play this well.\I came here to cheer for my friends from Tokyo.\If Wataya Arata-kun came here to watch Mizusawa... response:	It's too late. Their match is almost over.
context: Still, I didn't expect the First Akashi Girls' vs. Mizusawa match\to be more exciting than the Hokuo vs. Fujisaki match.\Mizusawa came out of nowhere.\They don't have any experienced supervision,\yet those kids are able to play this well.\I came here to cheer for my friends from Tokyo.\If Wataya Arata-kun came here to watch Mizusawa...\It's too late. Their match is almost over. response:	She's good...
context: to be more exciting than the Hokuo vs. Fujisaki match.\Mizusawa came out of nowhere.\They don't have any experienced supervision,\yet those kids are able to play this well.\I came here to cheer for my friends from Tokyo.\If Wataya Arata-kun came here to watch Mizusawa...\It's too late. Their match is almost over.\She's good... response:	More strong than good, actually.
context: Mizusawa came out of nowhere.\They don't have any experienced supervision,\yet those kids are able to play this well.\I came here to cheer for my friends from Tokyo.\If Wataya Arata-kun came here to watch Mizusawa...\It's too late. Their match is almost over.\She's good...\More strong than good, actually. response:	When I try to contest cards, she gives me a scary look, so I back down.
context: They don't have any experienced supervision,\yet those kids are able to play this well.\I came here to cheer for my friends from Tokyo.\If Wataya Arata-kun came here to watch Mizusawa...\It's too late. Their match is almost over.\She's good...\More strong than good, actually.\When I try to contest cards, she gives me a scary look, so I back down. response:	I don't like to argue with girls in the first place...
context: yet those kids are able to play this well.\I came here to cheer for my friends from Tokyo.\If Wataya Arata-kun came here to watch Mizusawa...\It's too late. Their match is almost over.\She's good...\More strong than good, actually.\When I try to contest cards, she gives me a scary look, so I back down.\I don't like to argue with girls in the first place... response:	Excuse me.
context: I came here to cheer for my friends from Tokyo.\If Wataya Arata-kun came here to watch Mizusawa...\It's too late. Their match is almost over.\She's good...\More strong than good, actually.\When I try to contest cards, she gives me a scary look, so I back down.\I don't like to argue with girls in the first place...\Excuse me. response:	Megumu made these headbands for us.
context: If Wataya Arata-kun came here to watch Mizusawa...\It's too late. Their match is almost over.\She's good...\More strong than good, actually.\When I try to contest cards, she gives me a scary look, so I back down.\I don't like to argue with girls in the first place...\Excuse me.\Megumu made these headbands for us. response:	But if I want to become Queen,
context: It's too late. Their match is almost over.\She's good...\More strong than good, actually.\When I try to contest cards, she gives me a scary look, so I back down.\I don't like to argue with girls in the first place...\Excuse me.\Megumu made these headbands for us.\But if I want to become Queen, response:	Megumu's my rival now!
context: She's good...\More strong than good, actually.\When I try to contest cards, she gives me a scary look, so I back down.\I don't like to argue with girls in the first place...\Excuse me.\Megumu made these headbands for us.\But if I want to become Queen,\Megumu's my rival now! response:	Sorry about that.
context: More strong than good, actually.\When I try to contest cards, she gives me a scary look, so I back down.\I don't like to argue with girls in the first place...\Excuse me.\Megumu made these headbands for us.\But if I want to become Queen,\Megumu's my rival now!\Sorry about that. response:	Forget it.
context: When I try to contest cards, she gives me a scary look, so I back down.\I don't like to argue with girls in the first place...\Excuse me.\Megumu made these headbands for us.\But if I want to become Queen,\Megumu's my rival now!\Sorry about that.\Forget it. response:	I'm treating you like a boy!
context: I don't like to argue with girls in the first place...\Excuse me.\Megumu made these headbands for us.\But if I want to become Queen,\Megumu's my rival now!\Sorry about that.\Forget it.\I'm treating you like a boy! response:	You're weaker than Megumu!
context: Excuse me.\Megumu made these headbands for us.\But if I want to become Queen,\Megumu's my rival now!\Sorry about that.\Forget it.\I'm treating you like a boy!\You're weaker than Megumu! response:	Okay, I won!
context: Megumu made these headbands for us.\But if I want to become Queen,\Megumu's my rival now!\Sorry about that.\Forget it.\I'm treating you like a boy!\You're weaker than Megumu!\Okay, I won! response:	One win for First Akashi Girls'!
context: But if I want to become Queen,\Megumu's my rival now!\Sorry about that.\Forget it.\I'm treating you like a boy!\You're weaker than Megumu!\Okay, I won!\One win for First Akashi Girls'! response:	N-Not again...
context: Megumu's my rival now!\Sorry about that.\Forget it.\I'm treating you like a boy!\You're weaker than Megumu!\Okay, I won!\One win for First Akashi Girls'!\N-Not again... response:	Not in such an important match!
context: Sorry about that.\Forget it.\I'm treating you like a boy!\You're weaker than Megumu!\Okay, I won!\One win for First Akashi Girls'!\N-Not again...\Not in such an important match! response:	What are you doing, Nishida-senpai?!
context: Forget it.\I'm treating you like a boy!\You're weaker than Megumu!\Okay, I won!\One win for First Akashi Girls'!\N-Not again...\Not in such an important match!\What are you doing, Nishida-senpai?! response:	I'm calling you Porky-senpai from now on!
context: I'm treating you like a boy!\You're weaker than Megumu!\Okay, I won!\One win for First Akashi Girls'!\N-Not again...\Not in such an important match!\What are you doing, Nishida-senpai?!\I'm calling you Porky-senpai from now on! response:	It's settled!
context: You're weaker than Megumu!\Okay, I won!\One win for First Akashi Girls'!\N-Not again...\Not in such an important match!\What are you doing, Nishida-senpai?!\I'm calling you Porky-senpai from now on!\It's settled! response:	Yes!
context: Okay, I won!\One win for First Akashi Girls'!\N-Not again...\Not in such an important match!\What are you doing, Nishida-senpai?!\I'm calling you Porky-senpai from now on!\It's settled!\Yes! response:	Yuube-senpai got us a win!
context: One win for First Akashi Girls'!\N-Not again...\Not in such an important match!\What are you doing, Nishida-senpai?!\I'm calling you Porky-senpai from now on!\It's settled!\Yes!\Yuube-senpai got us a win! response:	Yuu-chan took the first win from me!
context: N-Not again...\Not in such an important match!\What are you doing, Nishida-senpai?!\I'm calling you Porky-senpai from now on!\It's settled!\Yes!\Yuube-senpai got us a win!\Yuu-chan took the first win from me! response:	Swoon!
context: Not in such an important match!\What are you doing, Nishida-senpai?!\I'm calling you Porky-senpai from now on!\It's settled!\Yes!\Yuube-senpai got us a win!\Yuu-chan took the first win from me!\Swoon! response:	Akashi is the first team on the board.
context: What are you doing, Nishida-senpai?!\I'm calling you Porky-senpai from now on!\It's settled!\Yes!\Yuube-senpai got us a win!\Yuu-chan took the first win from me!\Swoon!\Akashi is the first team on the board. response:	Can they pull out the win,
context: I'm calling you Porky-senpai from now on!\It's settled!\Yes!\Yuube-senpai got us a win!\Yuu-chan took the first win from me!\Swoon!\Akashi is the first team on the board.\Can they pull out the win, response:	or will Mizusawa hold them off?
context: It's settled!\Yes!\Yuube-senpai got us a win!\Yuu-chan took the first win from me!\Swoon!\Akashi is the first team on the board.\Can they pull out the win,\or will Mizusawa hold them off? response:	Only seven cards remain...
context: Yes!\Yuube-senpai got us a win!\Yuu-chan took the first win from me!\Swoon!\Akashi is the first team on the board.\Can they pull out the win,\or will Mizusawa hold them off?\Only seven cards remain... response:	I can look up and see the snowy cap of Mt. Fuji
context: Yuube-senpai got us a win!\Yuu-chan took the first win from me!\Swoon!\Akashi is the first team on the board.\Can they pull out the win,\or will Mizusawa hold them off?\Only seven cards remain...\I can look up and see the snowy cap of Mt. Fuji response:	Rain takes longer...
context: Yuu-chan took the first win from me!\Swoon!\Akashi is the first team on the board.\Can they pull out the win,\or will Mizusawa hold them off?\Only seven cards remain...\I can look up and see the snowy cap of Mt. Fuji\Rain takes longer... response:	No way!
context: Swoon!\Akashi is the first team on the board.\Can they pull out the win,\or will Mizusawa hold them off?\Only seven cards remain...\I can look up and see the snowy cap of Mt. Fuji\Rain takes longer...\No way! response:	Megumu even lost her Rain card?!
context: Akashi is the first team on the board.\Can they pull out the win,\or will Mizusawa hold them off?\Only seven cards remain...\I can look up and see the snowy cap of Mt. Fuji\Rain takes longer...\No way!\Megumu even lost her Rain card?! response:	Who is this girl, to do that to the West representative?!
context: Can they pull out the win,\or will Mizusawa hold them off?\Only seven cards remain...\I can look up and see the snowy cap of Mt. Fuji\Rain takes longer...\No way!\Megumu even lost her Rain card?!\Who is this girl, to do that to the West representative?! response:	Ousaka Megumu...
context: or will Mizusawa hold them off?\Only seven cards remain...\I can look up and see the snowy cap of Mt. Fuji\Rain takes longer...\No way!\Megumu even lost her Rain card?!\Who is this girl, to do that to the West representative?!\Ousaka Megumu... response:	That name is perfect for a karuta player.
context: Only seven cards remain...\I can look up and see the snowy cap of Mt. Fuji\Rain takes longer...\No way!\Megumu even lost her Rain card?!\Who is this girl, to do that to the West representative?!\Ousaka Megumu...\That name is perfect for a karuta player. response:	What are you talking about, Yu-chan?
context: I can look up and see the snowy cap of Mt. Fuji\Rain takes longer...\No way!\Megumu even lost her Rain card?!\Who is this girl, to do that to the West representative?!\Ousaka Megumu...\That name is perfect for a karuta player.\What are you talking about, Yu-chan? response:	All the syllables in both Ousaka and Megumu correspond to single-syllable words.
context: Rain takes longer...\No way!\Megumu even lost her Rain card?!\Who is this girl, to do that to the West representative?!\Ousaka Megumu...\That name is perfect for a karuta player.\What are you talking about, Yu-chan?\All the syllables in both Ousaka and Megumu correspond to single-syllable words. response:	Long, Rain, and Silent.
context: No way!\Megumu even lost her Rain card?!\Who is this girl, to do that to the West representative?!\Ousaka Megumu...\That name is perfect for a karuta player.\What are you talking about, Yu-chan?\All the syllables in both Ousaka and Megumu correspond to single-syllable words.\Long, Rain, and Silent. response:	Why Silent waves?
context: Megumu even lost her Rain card?!\Who is this girl, to do that to the West representative?!\Ousaka Megumu...\That name is perfect for a karuta player.\What are you talking about, Yu-chan?\All the syllables in both Ousaka and Megumu correspond to single-syllable words.\Long, Rain, and Silent.\Why Silent waves? response:	Because the mu in Megumu is for dream, like in the second verse.
context: Who is this girl, to do that to the West representative?!\Ousaka Megumu...\That name is perfect for a karuta player.\What are you talking about, Yu-chan?\All the syllables in both Ousaka and Megumu correspond to single-syllable words.\Long, Rain, and Silent.\Why Silent waves?\Because the mu in Megumu is for dream, like in the second verse. response:	Because the mu means dream
context: Ousaka Megumu...\That name is perfect for a karuta player.\What are you talking about, Yu-chan?\All the syllables in both Ousaka and Megumu correspond to single-syllable words.\Long, Rain, and Silent.\Why Silent waves?\Because the mu in Megumu is for dream, like in the second verse.\Because the mu means dream response:	In that case, those are cards I can't lose, not even to the Queen.
context: That name is perfect for a karuta player.\What are you talking about, Yu-chan?\All the syllables in both Ousaka and Megumu correspond to single-syllable words.\Long, Rain, and Silent.\Why Silent waves?\Because the mu in Megumu is for dream, like in the second verse.\Because the mu means dream\In that case, those are cards I can't lose, not even to the Queen. response:	Megumu...
context: What are you talking about, Yu-chan?\All the syllables in both Ousaka and Megumu correspond to single-syllable words.\Long, Rain, and Silent.\Why Silent waves?\Because the mu in Megumu is for dream, like in the second verse.\Because the mu means dream\In that case, those are cards I can't lose, not even to the Queen.\Megumu... response:	One win for Pizusawa!
context: All the syllables in both Ousaka and Megumu correspond to single-syllable words.\Long, Rain, and Silent.\Why Silent waves?\Because the mu in Megumu is for dream, like in the second verse.\Because the mu means dream\In that case, those are cards I can't lose, not even to the Queen.\Megumu...\One win for Pizusawa! response:	Pizusawa?
context: Long, Rain, and Silent.\Why Silent waves?\Because the mu in Megumu is for dream, like in the second verse.\Because the mu means dream\In that case, those are cards I can't lose, not even to the Queen.\Megumu...\One win for Pizusawa!\Pizusawa? response:	She slipped up!
context: Why Silent waves?\Because the mu in Megumu is for dream, like in the second verse.\Because the mu means dream\In that case, those are cards I can't lose, not even to the Queen.\Megumu...\One win for Pizusawa!\Pizusawa?\She slipped up! response:	But...
context: Because the mu in Megumu is for dream, like in the second verse.\Because the mu means dream\In that case, those are cards I can't lose, not even to the Queen.\Megumu...\One win for Pizusawa!\Pizusawa?\She slipped up!\But... response:	Kana-chan!
context: Because the mu means dream\In that case, those are cards I can't lose, not even to the Queen.\Megumu...\One win for Pizusawa!\Pizusawa?\She slipped up!\But...\Kana-chan! response:	That's one win!
context: In that case, those are cards I can't lose, not even to the Queen.\Megumu...\One win for Pizusawa!\Pizusawa?\She slipped up!\But...\Kana-chan!\That's one win! response:	Oe-senpai held on to win! Amazing!
context: Megumu...\One win for Pizusawa!\Pizusawa?\She slipped up!\But...\Kana-chan!\That's one win!\Oe-senpai held on to win! Amazing! response:	A win immediately after losing the first game...
context: One win for Pizusawa!\Pizusawa?\She slipped up!\But...\Kana-chan!\That's one win!\Oe-senpai held on to win! Amazing!\A win immediately after losing the first game... response:	That was perfect timing.
context: Pizusawa?\She slipped up!\But...\Kana-chan!\That's one win!\Oe-senpai held on to win! Amazing!\A win immediately after losing the first game...\That was perfect timing. response:	That's big...
context: She slipped up!\But...\Kana-chan!\That's one win!\Oe-senpai held on to win! Amazing!\A win immediately after losing the first game...\That was perfect timing.\That's big... response:	It eases the pressure from the first loss.
context: But...\Kana-chan!\That's one win!\Oe-senpai held on to win! Amazing!\A win immediately after losing the first game...\That was perfect timing.\That's big...\It eases the pressure from the first loss. response:	Mizusawa is a good team.
context: Kana-chan!\That's one win!\Oe-senpai held on to win! Amazing!\A win immediately after losing the first game...\That was perfect timing.\That's big...\It eases the pressure from the first loss.\Mizusawa is a good team. response:	Six cards...
context: That's one win!\Oe-senpai held on to win! Amazing!\A win immediately after losing the first game...\That was perfect timing.\That's big...\It eases the pressure from the first loss.\Mizusawa is a good team.\Six cards... response:	That's the number of cards remaining on the field,
context: Oe-senpai held on to win! Amazing!\A win immediately after losing the first game...\That was perfect timing.\That's big...\It eases the pressure from the first loss.\Mizusawa is a good team.\Six cards...\That's the number of cards remaining on the field, response:	but there are more to worry about.
context: A win immediately after losing the first game...\That was perfect timing.\That's big...\It eases the pressure from the first loss.\Mizusawa is a good team.\Six cards...\That's the number of cards remaining on the field,\but there are more to worry about. response:	Does she know that?
context: That was perfect timing.\That's big...\It eases the pressure from the first loss.\Mizusawa is a good team.\Six cards...\That's the number of cards remaining on the field,\but there are more to worry about.\Does she know that? response:	Though my, Like a, After I determined, Impassioned vows, For the,
context: That's big...\It eases the pressure from the first loss.\Mizusawa is a good team.\Six cards...\That's the number of cards remaining on the field,\but there are more to worry about.\Does she know that?\Though my, Like a, After I determined, Impassioned vows, For the, response:	So the flower petals, A house, A mountain village, Said world grants no escape,
context: It eases the pressure from the first loss.\Mizusawa is a good team.\Six cards...\That's the number of cards remaining on the field,\but there are more to worry about.\Does she know that?\Though my, Like a, After I determined, Impassioned vows, For the,\So the flower petals, A house, A mountain village, Said world grants no escape, response:	When winds send, I wish, I feel as, Nothing, As the first,
context: Mizusawa is a good team.\Six cards...\That's the number of cards remaining on the field,\but there are more to worry about.\Does she know that?\Though my, Like a, After I determined, Impassioned vows, For the,\So the flower petals, A house, A mountain village, Said world grants no escape,\When winds send, I wish, I feel as, Nothing, As the first, response:	My fear is that, While I, The sound of people, The fall paddy.
context: Six cards...\That's the number of cards remaining on the field,\but there are more to worry about.\Does she know that?\Though my, Like a, After I determined, Impassioned vows, For the,\So the flower petals, A house, A mountain village, Said world grants no escape,\When winds send, I wish, I feel as, Nothing, As the first,\My fear is that, While I, The sound of people, The fall paddy. response:	There are still 18 dead cards!
context: That's the number of cards remaining on the field,\but there are more to worry about.\Does she know that?\Though my, Like a, After I determined, Impassioned vows, For the,\So the flower petals, A house, A mountain village, Said world grants no escape,\When winds send, I wish, I feel as, Nothing, As the first,\My fear is that, While I, The sound of people, The fall paddy.\There are still 18 dead cards! response:	The fall paddy...
context: but there are more to worry about.\Does she know that?\Though my, Like a, After I determined, Impassioned vows, For the,\So the flower petals, A house, A mountain village, Said world grants no escape,\When winds send, I wish, I feel as, Nothing, As the first,\My fear is that, While I, The sound of people, The fall paddy.\There are still 18 dead cards!\The fall paddy... response:	Ah, a fault!
context: Does she know that?\Though my, Like a, After I determined, Impassioned vows, For the,\So the flower petals, A house, A mountain village, Said world grants no escape,\When winds send, I wish, I feel as, Nothing, As the first,\My fear is that, While I, The sound of people, The fall paddy.\There are still 18 dead cards!\The fall paddy...\Ah, a fault! response:	Good!
context: Though my, Like a, After I determined, Impassioned vows, For the,\So the flower petals, A house, A mountain village, Said world grants no escape,\When winds send, I wish, I feel as, Nothing, As the first,\My fear is that, While I, The sound of people, The fall paddy.\There are still 18 dead cards!\The fall paddy...\Ah, a fault!\Good! response:	A dead card.
context: So the flower petals, A house, A mountain village, Said world grants no escape,\When winds send, I wish, I feel as, Nothing, As the first,\My fear is that, While I, The sound of people, The fall paddy.\There are still 18 dead cards!\The fall paddy...\Ah, a fault!\Good!\A dead card. response:	Six cards remain on the field.
context: When winds send, I wish, I feel as, Nothing, As the first,\My fear is that, While I, The sound of people, The fall paddy.\There are still 18 dead cards!\The fall paddy...\Ah, a fault!\Good!\A dead card.\Six cards remain on the field. response:	The match could go either way now.
context: My fear is that, While I, The sound of people, The fall paddy.\There are still 18 dead cards!\The fall paddy...\Ah, a fault!\Good!\A dead card.\Six cards remain on the field.\The match could go either way now. response:	The West representative, Ousaka-san, could even lose!
context: There are still 18 dead cards!\The fall paddy...\Ah, a fault!\Good!\A dead card.\Six cards remain on the field.\The match could go either way now.\The West representative, Ousaka-san, could even lose! response:	I never knew there was such a strong player out there.
context: The fall paddy...\Ah, a fault!\Good!\A dead card.\Six cards remain on the field.\The match could go either way now.\The West representative, Ousaka-san, could even lose!\I never knew there was such a strong player out there. response:	I lost Silent and Rain.
context: Ah, a fault!\Good!\A dead card.\Six cards remain on the field.\The match could go either way now.\The West representative, Ousaka-san, could even lose!\I never knew there was such a strong player out there.\I lost Silent and Rain. response:	Her speed is real.
context: Good!\A dead card.\Six cards remain on the field.\The match could go either way now.\The West representative, Ousaka-san, could even lose!\I never knew there was such a strong player out there.\I lost Silent and Rain.\Her speed is real. response:	This girl...
context: A dead card.\Six cards remain on the field.\The match could go either way now.\The West representative, Ousaka-san, could even lose!\I never knew there was such a strong player out there.\I lost Silent and Rain.\Her speed is real.\This girl... response:	Ayase Chihaya...
context: Six cards remain on the field.\The match could go either way now.\The West representative, Ousaka-san, could even lose!\I never knew there was such a strong player out there.\I lost Silent and Rain.\Her speed is real.\This girl...\Ayase Chihaya... response:	as my sleeves are wet with dew
context: The match could go either way now.\The West representative, Ousaka-san, could even lose!\I never knew there was such a strong player out there.\I lost Silent and Rain.\Her speed is real.\This girl...\Ayase Chihaya...\as my sleeves are wet with dew response:	Impassioned gods...
context: The West representative, Ousaka-san, could even lose!\I never knew there was such a strong player out there.\I lost Silent and Rain.\Her speed is real.\This girl...\Ayase Chihaya...\as my sleeves are wet with dew\Impassioned gods... response:	Got it!
context: I never knew there was such a strong player out there.\I lost Silent and Rain.\Her speed is real.\This girl...\Ayase Chihaya...\as my sleeves are wet with dew\Impassioned gods...\Got it! response:	Two wins for Mizusawa!
context: I lost Silent and Rain.\Her speed is real.\This girl...\Ayase Chihaya...\as my sleeves are wet with dew\Impassioned gods...\Got it!\Two wins for Mizusawa! response:	Yes! Our best card!
context: Her speed is real.\This girl...\Ayase Chihaya...\as my sleeves are wet with dew\Impassioned gods...\Got it!\Two wins for Mizusawa!\Yes! Our best card! response:	Did Chihaya
context: This girl...\Ayase Chihaya...\as my sleeves are wet with dew\Impassioned gods...\Got it!\Two wins for Mizusawa!\Yes! Our best card!\Did Chihaya response:	lose Impassioned?
context: Ayase Chihaya...\as my sleeves are wet with dew\Impassioned gods...\Got it!\Two wins for Mizusawa!\Yes! Our best card!\Did Chihaya\lose Impassioned? response:	the red that is the Tatsuta River
context: as my sleeves are wet with dew\Impassioned gods...\Got it!\Two wins for Mizusawa!\Yes! Our best card!\Did Chihaya\lose Impassioned?\the red that is the Tatsuta River response:	This is payback for Silent and Rain.
context: Impassioned gods...\Got it!\Two wins for Mizusawa!\Yes! Our best card!\Did Chihaya\lose Impassioned?\the red that is the Tatsuta River\This is payback for Silent and Rain. response:	Megumu-tan held a grudge!
context: Got it!\Two wins for Mizusawa!\Yes! Our best card!\Did Chihaya\lose Impassioned?\the red that is the Tatsuta River\This is payback for Silent and Rain.\Megumu-tan held a grudge! response:	Amazing!
context: Two wins for Mizusawa!\Yes! Our best card!\Did Chihaya\lose Impassioned?\the red that is the Tatsuta River\This is payback for Silent and Rain.\Megumu-tan held a grudge!\Amazing! response:	Impassioned vows and Impassioned was haven't been read yet,
context: Yes! Our best card!\Did Chihaya\lose Impassioned?\the red that is the Tatsuta River\This is payback for Silent and Rain.\Megumu-tan held a grudge!\Amazing!\Impassioned vows and Impassioned was haven't been read yet, response:	so even Bellatrix was playing it safe!
context: Did Chihaya\lose Impassioned?\the red that is the Tatsuta River\This is payback for Silent and Rain.\Megumu-tan held a grudge!\Amazing!\Impassioned vows and Impassioned was haven't been read yet,\so even Bellatrix was playing it safe! response:	This time, the girl in glasses went aggressive.
context: lose Impassioned?\the red that is the Tatsuta River\This is payback for Silent and Rain.\Megumu-tan held a grudge!\Amazing!\Impassioned vows and Impassioned was haven't been read yet,\so even Bellatrix was playing it safe!\This time, the girl in glasses went aggressive. response:	This is a match between two girls seeking to become Queen!
context: the red that is the Tatsuta River\This is payback for Silent and Rain.\Megumu-tan held a grudge!\Amazing!\Impassioned vows and Impassioned was haven't been read yet,\so even Bellatrix was playing it safe!\This time, the girl in glasses went aggressive.\This is a match between two girls seeking to become Queen! response:	Mizusawa now leads 2-1.
context: This is payback for Silent and Rain.\Megumu-tan held a grudge!\Amazing!\Impassioned vows and Impassioned was haven't been read yet,\so even Bellatrix was playing it safe!\This time, the girl in glasses went aggressive.\This is a match between two girls seeking to become Queen!\Mizusawa now leads 2-1. response:	If they win one more game, they'll advance to the finals.
context: Megumu-tan held a grudge!\Amazing!\Impassioned vows and Impassioned was haven't been read yet,\so even Bellatrix was playing it safe!\This time, the girl in glasses went aggressive.\This is a match between two girls seeking to become Queen!\Mizusawa now leads 2-1.\If they win one more game, they'll advance to the finals. response:	Hokuo lost 1-4...
context: Amazing!\Impassioned vows and Impassioned was haven't been read yet,\so even Bellatrix was playing it safe!\This time, the girl in glasses went aggressive.\This is a match between two girls seeking to become Queen!\Mizusawa now leads 2-1.\If they win one more game, they'll advance to the finals.\Hokuo lost 1-4... response:	That's pathetic!
context: Impassioned vows and Impassioned was haven't been read yet,\so even Bellatrix was playing it safe!\This time, the girl in glasses went aggressive.\This is a match between two girls seeking to become Queen!\Mizusawa now leads 2-1.\If they win one more game, they'll advance to the finals.\Hokuo lost 1-4...\That's pathetic! response:	Mori! Is that a video?!
context: so even Bellatrix was playing it safe!\This time, the girl in glasses went aggressive.\This is a match between two girls seeking to become Queen!\Mizusawa now leads 2-1.\If they win one more game, they'll advance to the finals.\Hokuo lost 1-4...\That's pathetic!\Mori! Is that a video?! response:	Have you forgotten you're in the photography club?!
context: This time, the girl in glasses went aggressive.\This is a match between two girls seeking to become Queen!\Mizusawa now leads 2-1.\If they win one more game, they'll advance to the finals.\Hokuo lost 1-4...\That's pathetic!\Mori! Is that a video?!\Have you forgotten you're in the photography club?! response:	You can't capture her speed, even with continuous shots.
context: This is a match between two girls seeking to become Queen!\Mizusawa now leads 2-1.\If they win one more game, they'll advance to the finals.\Hokuo lost 1-4...\That's pathetic!\Mori! Is that a video?!\Have you forgotten you're in the photography club?!\You can't capture her speed, even with continuous shots. response:	Th-They're so fast.
context: Mizusawa now leads 2-1.\If they win one more game, they'll advance to the finals.\Hokuo lost 1-4...\That's pathetic!\Mori! Is that a video?!\Have you forgotten you're in the photography club?!\You can't capture her speed, even with continuous shots.\Th-They're so fast. response:	She barely beat her opponent.
context: If they win one more game, they'll advance to the finals.\Hokuo lost 1-4...\That's pathetic!\Mori! Is that a video?!\Have you forgotten you're in the photography club?!\You can't capture her speed, even with continuous shots.\Th-They're so fast.\She barely beat her opponent. response:	Megumu-tan is getting faster.
context: Hokuo lost 1-4...\That's pathetic!\Mori! Is that a video?!\Have you forgotten you're in the photography club?!\You can't capture her speed, even with continuous shots.\Th-They're so fast.\She barely beat her opponent.\Megumu-tan is getting faster. response:	Because of her opponent.
context: That's pathetic!\Mori! Is that a video?!\Have you forgotten you're in the photography club?!\You can't capture her speed, even with continuous shots.\Th-They're so fast.\She barely beat her opponent.\Megumu-tan is getting faster.\Because of her opponent. response:	We want to watch
context: Mori! Is that a video?!\Have you forgotten you're in the photography club?!\You can't capture her speed, even with continuous shots.\Th-They're so fast.\She barely beat her opponent.\Megumu-tan is getting faster.\Because of her opponent.\We want to watch response:	as you battle with strong friends,
context: Have you forgotten you're in the photography club?!\You can't capture her speed, even with continuous shots.\Th-They're so fast.\She barely beat her opponent.\Megumu-tan is getting faster.\Because of her opponent.\We want to watch\as you battle with strong friends, response:	encounter strong enemies,
context: You can't capture her speed, even with continuous shots.\Th-They're so fast.\She barely beat her opponent.\Megumu-tan is getting faster.\Because of her opponent.\We want to watch\as you battle with strong friends,\encounter strong enemies, response:	and realize your true potential!
context: Th-They're so fast.\She barely beat her opponent.\Megumu-tan is getting faster.\Because of her opponent.\We want to watch\as you battle with strong friends,\encounter strong enemies,\and realize your true potential! response:	I feel as though I am like the Izumi river split,
context: She barely beat her opponent.\Megumu-tan is getting faster.\Because of her opponent.\We want to watch\as you battle with strong friends,\encounter strong enemies,\and realize your true potential!\I feel as though I am like the Izumi river split, response:	Megumu-chan...
context: Megumu-tan is getting faster.\Because of her opponent.\We want to watch\as you battle with strong friends,\encounter strong enemies,\and realize your true potential!\I feel as though I am like the Izumi river split,\Megumu-chan... response:	Let's work hard...
context: Because of her opponent.\We want to watch\as you battle with strong friends,\encounter strong enemies,\and realize your true potential!\I feel as though I am like the Izumi river split,\Megumu-chan...\Let's work hard... response:	Let's work hard!
context: We want to watch\as you battle with strong friends,\encounter strong enemies,\and realize your true potential!\I feel as though I am like the Izumi river split,\Megumu-chan...\Let's work hard...\Let's work hard! response:	We can't let
context: as you battle with strong friends,\encounter strong enemies,\and realize your true potential!\I feel as though I am like the Izumi river split,\Megumu-chan...\Let's work hard...\Let's work hard!\We can't let response:	Shinobu-chan be alone forever!
context: encounter strong enemies,\and realize your true potential!\I feel as though I am like the Izumi river split,\Megumu-chan...\Let's work hard...\Let's work hard!\We can't let\Shinobu-chan be alone forever! response:	What is it?
context: and realize your true potential!\I feel as though I am like the Izumi river split,\Megumu-chan...\Let's work hard...\Let's work hard!\We can't let\Shinobu-chan be alone forever!\What is it? response:	people would always ask if I was pining for someone
context: I feel as though I am like the Izumi river split,\Megumu-chan...\Let's work hard...\Let's work hard!\We can't let\Shinobu-chan be alone forever!\What is it?\people would always ask if I was pining for someone response:	I thought I heard
context: Megumu-chan...\Let's work hard...\Let's work hard!\We can't let\Shinobu-chan be alone forever!\What is it?\people would always ask if I was pining for someone\I thought I heard response:	Since I could being read.
context: Let's work hard...\Let's work hard!\We can't let\Shinobu-chan be alone forever!\What is it?\people would always ask if I was pining for someone\I thought I heard\Since I could being read. response:	Chihaya-chan...
