context: These are for the children, and these are for the adults. response:	Please put them on your hand before you go in.
context: Touya-kun! I've came to help you!\You don't need to! I can do this by myself!\Stop it! Were here to work together!\So you can really help me!\Let go of me!\I don't want to! Your younger sister is also very cute.\What do you want?\Cream Soda! response:	' Me too.' Me too.
context: You don't need to! I can do this by myself!\Stop it! Were here to work together!\So you can really help me!\Let go of me!\I don't want to! Your younger sister is also very cute.\What do you want?\Cream Soda!\' Me too.' Me too. response:	Me too!
context: Stop it! Were here to work together!\So you can really help me!\Let go of me!\I don't want to! Your younger sister is also very cute.\What do you want?\Cream Soda!\' Me too.' Me too.\Me too! response:	One cream soda.
context: So you can really help me!\Let go of me!\I don't want to! Your younger sister is also very cute.\What do you want?\Cream Soda!\' Me too.' Me too.\Me too!\One cream soda. response:	This bar code can be used for other things also!
context: Let go of me!\I don't want to! Your younger sister is also very cute.\What do you want?\Cream Soda!\' Me too.' Me too.\Me too!\One cream soda.\This bar code can be used for other things also! response:	That's right, when you guys leave then you can take off the bracelet.
context: I don't want to! Your younger sister is also very cute.\What do you want?\Cream Soda!\' Me too.' Me too.\Me too!\One cream soda.\This bar code can be used for other things also!\That's right, when you guys leave then you can take off the bracelet. response:	I would also like a cream soda please!
context: What do you want?\Cream Soda!\' Me too.' Me too.\Me too!\One cream soda.\This bar code can be used for other things also!\That's right, when you guys leave then you can take off the bracelet.\I would also like a cream soda please! response:	He is'
context: Cream Soda!\' Me too.' Me too.\Me too!\One cream soda.\This bar code can be used for other things also!\That's right, when you guys leave then you can take off the bracelet.\I would also like a cream soda please!\He is' response:	Right! I would like to thank you for last time!
context: ' Me too.' Me too.\Me too!\One cream soda.\This bar code can be used for other things also!\That's right, when you guys leave then you can take off the bracelet.\I would also like a cream soda please!\He is'\Right! I would like to thank you for last time! response:	No problem!
context: Me too!\One cream soda.\This bar code can be used for other things also!\That's right, when you guys leave then you can take off the bracelet.\I would also like a cream soda please!\He is'\Right! I would like to thank you for last time!\No problem! response:	Yukito-san, you know Eriol-kun?
context: One cream soda.\This bar code can be used for other things also!\That's right, when you guys leave then you can take off the bracelet.\I would also like a cream soda please!\He is'\Right! I would like to thank you for last time!\No problem!\Yukito-san, you know Eriol-kun? response:	Last time I was in the schools yard, I fell asleep and he helped me.
context: This bar code can be used for other things also!\That's right, when you guys leave then you can take off the bracelet.\I would also like a cream soda please!\He is'\Right! I would like to thank you for last time!\No problem!\Yukito-san, you know Eriol-kun?\Last time I was in the schools yard, I fell asleep and he helped me. response:	Excuse me!
context: That's right, when you guys leave then you can take off the bracelet.\I would also like a cream soda please!\He is'\Right! I would like to thank you for last time!\No problem!\Yukito-san, you know Eriol-kun?\Last time I was in the schools yard, I fell asleep and he helped me.\Excuse me! response:	So it happened like that?
context: I would also like a cream soda please!\He is'\Right! I would like to thank you for last time!\No problem!\Yukito-san, you know Eriol-kun?\Last time I was in the schools yard, I fell asleep and he helped me.\Excuse me!\So it happened like that? response:	I just did what is right.
context: He is'\Right! I would like to thank you for last time!\No problem!\Yukito-san, you know Eriol-kun?\Last time I was in the schools yard, I fell asleep and he helped me.\Excuse me!\So it happened like that?\I just did what is right. response:	But helping a someone you don't even know is really nice.
context: Right! I would like to thank you for last time!\No problem!\Yukito-san, you know Eriol-kun?\Last time I was in the schools yard, I fell asleep and he helped me.\Excuse me!\So it happened like that?\I just did what is right.\But helping a someone you don't even know is really nice. response:	Your are a very good person, Eriol-kun.
context: No problem!\Yukito-san, you know Eriol-kun?\Last time I was in the schools yard, I fell asleep and he helped me.\Excuse me!\So it happened like that?\I just did what is right.\But helping a someone you don't even know is really nice.\Your are a very good person, Eriol-kun. response:	Shao Lan-kun, how is it? Does it taste ok?
context: Yukito-san, you know Eriol-kun?\Last time I was in the schools yard, I fell asleep and he helped me.\Excuse me!\So it happened like that?\I just did what is right.\But helping a someone you don't even know is really nice.\Your are a very good person, Eriol-kun.\Shao Lan-kun, how is it? Does it taste ok? response:	Sakura-chan! Did you drink it yet? It tastes really good!
context: Last time I was in the schools yard, I fell asleep and he helped me.\Excuse me!\So it happened like that?\I just did what is right.\But helping a someone you don't even know is really nice.\Your are a very good person, Eriol-kun.\Shao Lan-kun, how is it? Does it taste ok?\Sakura-chan! Did you drink it yet? It tastes really good! response:	Really?
context: Excuse me!\So it happened like that?\I just did what is right.\But helping a someone you don't even know is really nice.\Your are a very good person, Eriol-kun.\Shao Lan-kun, how is it? Does it taste ok?\Sakura-chan! Did you drink it yet? It tastes really good!\Really? response:	Then I want to drink some too!
context: So it happened like that?\I just did what is right.\But helping a someone you don't even know is really nice.\Your are a very good person, Eriol-kun.\Shao Lan-kun, how is it? Does it taste ok?\Sakura-chan! Did you drink it yet? It tastes really good!\Really?\Then I want to drink some too! response:	I'm going to drink!
context: I just did what is right.\But helping a someone you don't even know is really nice.\Your are a very good person, Eriol-kun.\Shao Lan-kun, how is it? Does it taste ok?\Sakura-chan! Did you drink it yet? It tastes really good!\Really?\Then I want to drink some too!\I'm going to drink! response:	Really Really good! It tastes really good!
context: But helping a someone you don't even know is really nice.\Your are a very good person, Eriol-kun.\Shao Lan-kun, how is it? Does it taste ok?\Sakura-chan! Did you drink it yet? It tastes really good!\Really?\Then I want to drink some too!\I'm going to drink!\Really Really good! It tastes really good! response:	' Give me three cream sodas please.' OK.
context: Your are a very good person, Eriol-kun.\Shao Lan-kun, how is it? Does it taste ok?\Sakura-chan! Did you drink it yet? It tastes really good!\Really?\Then I want to drink some too!\I'm going to drink!\Really Really good! It tastes really good!\' Give me three cream sodas please.' OK. response:	Akizuki.
context: Shao Lan-kun, how is it? Does it taste ok?\Sakura-chan! Did you drink it yet? It tastes really good!\Really?\Then I want to drink some too!\I'm going to drink!\Really Really good! It tastes really good!\' Give me three cream sodas please.' OK.\Akizuki. response:	Call me Nakuru!
context: Sakura-chan! Did you drink it yet? It tastes really good!\Really?\Then I want to drink some too!\I'm going to drink!\Really Really good! It tastes really good!\' Give me three cream sodas please.' OK.\Akizuki.\Call me Nakuru! response:	Give me three cream sodas.
context: Really?\Then I want to drink some too!\I'm going to drink!\Really Really good! It tastes really good!\' Give me three cream sodas please.' OK.\Akizuki.\Call me Nakuru!\Give me three cream sodas. response:	OK
context: Then I want to drink some too!\I'm going to drink!\Really Really good! It tastes really good!\' Give me three cream sodas please.' OK.\Akizuki.\Call me Nakuru!\Give me three cream sodas.\OK response:	Sorry!
context: I'm going to drink!\Really Really good! It tastes really good!\' Give me three cream sodas please.' OK.\Akizuki.\Call me Nakuru!\Give me three cream sodas.\OK\Sorry! response:	The night before I had a really good sleep.
context: Really Really good! It tastes really good!\' Give me three cream sodas please.' OK.\Akizuki.\Call me Nakuru!\Give me three cream sodas.\OK\Sorry!\The night before I had a really good sleep. response:	But still, I am very tired.
context: ' Give me three cream sodas please.' OK.\Akizuki.\Call me Nakuru!\Give me three cream sodas.\OK\Sorry!\The night before I had a really good sleep.\But still, I am very tired. response:	Touya!
context: Akizuki.\Call me Nakuru!\Give me three cream sodas.\OK\Sorry!\The night before I had a really good sleep.\But still, I am very tired.\Touya! response:	I'm OK!
context: Call me Nakuru!\Give me three cream sodas.\OK\Sorry!\The night before I had a really good sleep.\But still, I am very tired.\Touya!\I'm OK! response:	I'm just not getting enough sleep, so I'm tired.
context: Give me three cream sodas.\OK\Sorry!\The night before I had a really good sleep.\But still, I am very tired.\Touya!\I'm OK!\I'm just not getting enough sleep, so I'm tired. response:	Yuki.
context: OK\Sorry!\The night before I had a really good sleep.\But still, I am very tired.\Touya!\I'm OK!\I'm just not getting enough sleep, so I'm tired.\Yuki. response:	Whatever I am about to say you have to listen very carefully.
context: Sorry!\The night before I had a really good sleep.\But still, I am very tired.\Touya!\I'm OK!\I'm just not getting enough sleep, so I'm tired.\Yuki.\Whatever I am about to say you have to listen very carefully. response:	Last time you said the same thing.
context: The night before I had a really good sleep.\But still, I am very tired.\Touya!\I'm OK!\I'm just not getting enough sleep, so I'm tired.\Yuki.\Whatever I am about to say you have to listen very carefully.\Last time you said the same thing. response:	Don't care if I'm day dreaming.
context: But still, I am very tired.\Touya!\I'm OK!\I'm just not getting enough sleep, so I'm tired.\Yuki.\Whatever I am about to say you have to listen very carefully.\Last time you said the same thing.\Don't care if I'm day dreaming. response:	Also, don't worry if I sleep. Stop worrying.
context: Touya!\I'm OK!\I'm just not getting enough sleep, so I'm tired.\Yuki.\Whatever I am about to say you have to listen very carefully.\Last time you said the same thing.\Don't care if I'm day dreaming.\Also, don't worry if I sleep. Stop worrying. response:	What do you mean by'I'm fine'?
context: I'm OK!\I'm just not getting enough sleep, so I'm tired.\Yuki.\Whatever I am about to say you have to listen very carefully.\Last time you said the same thing.\Don't care if I'm day dreaming.\Also, don't worry if I sleep. Stop worrying.\What do you mean by'I'm fine'? response:	I know, you are'
context: I'm just not getting enough sleep, so I'm tired.\Yuki.\Whatever I am about to say you have to listen very carefully.\Last time you said the same thing.\Don't care if I'm day dreaming.\Also, don't worry if I sleep. Stop worrying.\What do you mean by'I'm fine'?\I know, you are' response:	Yes, I'm done!
context: Yuki.\Whatever I am about to say you have to listen very carefully.\Last time you said the same thing.\Don't care if I'm day dreaming.\Also, don't worry if I sleep. Stop worrying.\What do you mean by'I'm fine'?\I know, you are'\Yes, I'm done! response:	Thank you, Akizuki-san.
context: Whatever I am about to say you have to listen very carefully.\Last time you said the same thing.\Don't care if I'm day dreaming.\Also, don't worry if I sleep. Stop worrying.\What do you mean by'I'm fine'?\I know, you are'\Yes, I'm done!\Thank you, Akizuki-san. response:	Why don't you tell me later, Touya?
context: Last time you said the same thing.\Don't care if I'm day dreaming.\Also, don't worry if I sleep. Stop worrying.\What do you mean by'I'm fine'?\I know, you are'\Yes, I'm done!\Thank you, Akizuki-san.\Why don't you tell me later, Touya? response:	Be careful!
context: Don't care if I'm day dreaming.\Also, don't worry if I sleep. Stop worrying.\What do you mean by'I'm fine'?\I know, you are'\Yes, I'm done!\Thank you, Akizuki-san.\Why don't you tell me later, Touya?\Be careful! response:	My roller blades go really fast.
context: Also, don't worry if I sleep. Stop worrying.\What do you mean by'I'm fine'?\I know, you are'\Yes, I'm done!\Thank you, Akizuki-san.\Why don't you tell me later, Touya?\Be careful!\My roller blades go really fast. response:	They're ok.
context: What do you mean by'I'm fine'?\I know, you are'\Yes, I'm done!\Thank you, Akizuki-san.\Why don't you tell me later, Touya?\Be careful!\My roller blades go really fast.\They're ok. response:	What's wrong?
context: I know, you are'\Yes, I'm done!\Thank you, Akizuki-san.\Why don't you tell me later, Touya?\Be careful!\My roller blades go really fast.\They're ok.\What's wrong? response:	I saw something that looked really fun.
context: Yes, I'm done!\Thank you, Akizuki-san.\Why don't you tell me later, Touya?\Be careful!\My roller blades go really fast.\They're ok.\What's wrong?\I saw something that looked really fun. response:	Where?
context: Thank you, Akizuki-san.\Why don't you tell me later, Touya?\Be careful!\My roller blades go really fast.\They're ok.\What's wrong?\I saw something that looked really fun.\Where? response:	It already ended.
context: Why don't you tell me later, Touya?\Be careful!\My roller blades go really fast.\They're ok.\What's wrong?\I saw something that looked really fun.\Where?\It already ended. response:	There is a person, why is he hiding?
context: Be careful!\My roller blades go really fast.\They're ok.\What's wrong?\I saw something that looked really fun.\Where?\It already ended.\There is a person, why is he hiding? response:	It's right there! It's right there!
context: My roller blades go really fast.\They're ok.\What's wrong?\I saw something that looked really fun.\Where?\It already ended.\There is a person, why is he hiding?\It's right there! It's right there! response:	Sakura has a lot left.
context: They're ok.\What's wrong?\I saw something that looked really fun.\Where?\It already ended.\There is a person, why is he hiding?\It's right there! It's right there!\Sakura has a lot left. response:	The brat has a lot too.
context: What's wrong?\I saw something that looked really fun.\Where?\It already ended.\There is a person, why is he hiding?\It's right there! It's right there!\Sakura has a lot left.\The brat has a lot too. response:	But, the brat will probably notice me.
context: I saw something that looked really fun.\Where?\It already ended.\There is a person, why is he hiding?\It's right there! It's right there!\Sakura has a lot left.\The brat has a lot too.\But, the brat will probably notice me. response:	I should take that one.
context: Where?\It already ended.\There is a person, why is he hiding?\It's right there! It's right there!\Sakura has a lot left.\The brat has a lot too.\But, the brat will probably notice me.\I should take that one. response:	I heard that there is also an upstairs where they sell apple pie that is also very good.
context: It already ended.\There is a person, why is he hiding?\It's right there! It's right there!\Sakura has a lot left.\The brat has a lot too.\But, the brat will probably notice me.\I should take that one.\I heard that there is also an upstairs where they sell apple pie that is also very good. response:	So, lets all go and see then.
context: There is a person, why is he hiding?\It's right there! It's right there!\Sakura has a lot left.\The brat has a lot too.\But, the brat will probably notice me.\I should take that one.\I heard that there is also an upstairs where they sell apple pie that is also very good.\So, lets all go and see then. response:	Really? It seems like it will taste good.
context: It's right there! It's right there!\Sakura has a lot left.\The brat has a lot too.\But, the brat will probably notice me.\I should take that one.\I heard that there is also an upstairs where they sell apple pie that is also very good.\So, lets all go and see then.\Really? It seems like it will taste good. response:	I really want to eat and see!
context: Sakura has a lot left.\The brat has a lot too.\But, the brat will probably notice me.\I should take that one.\I heard that there is also an upstairs where they sell apple pie that is also very good.\So, lets all go and see then.\Really? It seems like it will taste good.\I really want to eat and see! response:	So after everybody is done lets all go and try some.
context: The brat has a lot too.\But, the brat will probably notice me.\I should take that one.\I heard that there is also an upstairs where they sell apple pie that is also very good.\So, lets all go and see then.\Really? It seems like it will taste good.\I really want to eat and see!\So after everybody is done lets all go and try some. response:	When everybody is done eating.
context: But, the brat will probably notice me.\I should take that one.\I heard that there is also an upstairs where they sell apple pie that is also very good.\So, lets all go and see then.\Really? It seems like it will taste good.\I really want to eat and see!\So after everybody is done lets all go and try some.\When everybody is done eating. response:	What is wrong?
context: I should take that one.\I heard that there is also an upstairs where they sell apple pie that is also very good.\So, lets all go and see then.\Really? It seems like it will taste good.\I really want to eat and see!\So after everybody is done lets all go and try some.\When everybody is done eating.\What is wrong? response:	My Cream Soda is all gone.
context: I heard that there is also an upstairs where they sell apple pie that is also very good.\So, lets all go and see then.\Really? It seems like it will taste good.\I really want to eat and see!\So after everybody is done lets all go and try some.\When everybody is done eating.\What is wrong?\My Cream Soda is all gone. response:	Didn't you eat it all yourself?
context: So, lets all go and see then.\Really? It seems like it will taste good.\I really want to eat and see!\So after everybody is done lets all go and try some.\When everybody is done eating.\What is wrong?\My Cream Soda is all gone.\Didn't you eat it all yourself? response:	Of course not, last time it was up to here.
context: Really? It seems like it will taste good.\I really want to eat and see!\So after everybody is done lets all go and try some.\When everybody is done eating.\What is wrong?\My Cream Soda is all gone.\Didn't you eat it all yourself?\Of course not, last time it was up to here. response:	Oh
context: I really want to eat and see!\So after everybody is done lets all go and try some.\When everybody is done eating.\What is wrong?\My Cream Soda is all gone.\Didn't you eat it all yourself?\Of course not, last time it was up to here.\Oh response:	When I was talking about apple pie, it disappeared.
context: So after everybody is done lets all go and try some.\When everybody is done eating.\What is wrong?\My Cream Soda is all gone.\Didn't you eat it all yourself?\Of course not, last time it was up to here.\Oh\When I was talking about apple pie, it disappeared. response:	Order another one.
context: When everybody is done eating.\What is wrong?\My Cream Soda is all gone.\Didn't you eat it all yourself?\Of course not, last time it was up to here.\Oh\When I was talking about apple pie, it disappeared.\Order another one. response:	But, I remember that it there was still some left!
context: What is wrong?\My Cream Soda is all gone.\Didn't you eat it all yourself?\Of course not, last time it was up to here.\Oh\When I was talking about apple pie, it disappeared.\Order another one.\But, I remember that it there was still some left! response:	KERO-CHAN!!!
context: My Cream Soda is all gone.\Didn't you eat it all yourself?\Of course not, last time it was up to here.\Oh\When I was talking about apple pie, it disappeared.\Order another one.\But, I remember that it there was still some left!\KERO-CHAN!!! response:	Sakura-chan?
context: Didn't you eat it all yourself?\Of course not, last time it was up to here.\Oh\When I was talking about apple pie, it disappeared.\Order another one.\But, I remember that it there was still some left!\KERO-CHAN!!!\Sakura-chan? response:	In here, it feels like hot water, it is very warm.
context: Of course not, last time it was up to here.\Oh\When I was talking about apple pie, it disappeared.\Order another one.\But, I remember that it there was still some left!\KERO-CHAN!!!\Sakura-chan?\In here, it feels like hot water, it is very warm. response:	Sakura-chan, do you want to come in?
context: Oh\When I was talking about apple pie, it disappeared.\Order another one.\But, I remember that it there was still some left!\KERO-CHAN!!!\Sakura-chan?\In here, it feels like hot water, it is very warm.\Sakura-chan, do you want to come in? response:	Sorry, I have to go to the bathroom.
context: When I was talking about apple pie, it disappeared.\Order another one.\But, I remember that it there was still some left!\KERO-CHAN!!!\Sakura-chan?\In here, it feels like hot water, it is very warm.\Sakura-chan, do you want to come in?\Sorry, I have to go to the bathroom. response:	Me too.
context: Order another one.\But, I remember that it there was still some left!\KERO-CHAN!!!\Sakura-chan?\In here, it feels like hot water, it is very warm.\Sakura-chan, do you want to come in?\Sorry, I have to go to the bathroom.\Me too. response:	I also have to go and get some batteries for my video camera.
context: But, I remember that it there was still some left!\KERO-CHAN!!!\Sakura-chan?\In here, it feels like hot water, it is very warm.\Sakura-chan, do you want to come in?\Sorry, I have to go to the bathroom.\Me too.\I also have to go and get some batteries for my video camera. response:	So, we will go to the pool first ok?
context: KERO-CHAN!!!\Sakura-chan?\In here, it feels like hot water, it is very warm.\Sakura-chan, do you want to come in?\Sorry, I have to go to the bathroom.\Me too.\I also have to go and get some batteries for my video camera.\So, we will go to the pool first ok? response:	I get it, I'll see you later.
context: Sakura-chan?\In here, it feels like hot water, it is very warm.\Sakura-chan, do you want to come in?\Sorry, I have to go to the bathroom.\Me too.\I also have to go and get some batteries for my video camera.\So, we will go to the pool first ok?\I get it, I'll see you later. response:	Kero-chan! I told you that you couldn't come today!
context: In here, it feels like hot water, it is very warm.\Sakura-chan, do you want to come in?\Sorry, I have to go to the bathroom.\Me too.\I also have to go and get some batteries for my video camera.\So, we will go to the pool first ok?\I get it, I'll see you later.\Kero-chan! I told you that you couldn't come today! response:	But when I read about the cream soda, I had to come and drink some!
context: Sakura-chan, do you want to come in?\Sorry, I have to go to the bathroom.\Me too.\I also have to go and get some batteries for my video camera.\So, we will go to the pool first ok?\I get it, I'll see you later.\Kero-chan! I told you that you couldn't come today!\But when I read about the cream soda, I had to come and drink some! response:	How does it taste?
context: Sorry, I have to go to the bathroom.\Me too.\I also have to go and get some batteries for my video camera.\So, we will go to the pool first ok?\I get it, I'll see you later.\Kero-chan! I told you that you couldn't come today!\But when I read about the cream soda, I had to come and drink some!\How does it taste? response:	The one that Sakura bought was ok I think it could have been better though.
context: Me too.\I also have to go and get some batteries for my video camera.\So, we will go to the pool first ok?\I get it, I'll see you later.\Kero-chan! I told you that you couldn't come today!\But when I read about the cream soda, I had to come and drink some!\How does it taste?\The one that Sakura bought was ok I think it could have been better though. response:	You really are a food monster.
context: I also have to go and get some batteries for my video camera.\So, we will go to the pool first ok?\I get it, I'll see you later.\Kero-chan! I told you that you couldn't come today!\But when I read about the cream soda, I had to come and drink some!\How does it taste?\The one that Sakura bought was ok I think it could have been better though.\You really are a food monster. response:	You wouldn't know how I feel about food. You are such a brat, stupid brat.
context: So, we will go to the pool first ok?\I get it, I'll see you later.\Kero-chan! I told you that you couldn't come today!\But when I read about the cream soda, I had to come and drink some!\How does it taste?\The one that Sakura bought was ok I think it could have been better though.\You really are a food monster.\You wouldn't know how I feel about food. You are such a brat, stupid brat. response:	Who is a brat?
context: I get it, I'll see you later.\Kero-chan! I told you that you couldn't come today!\But when I read about the cream soda, I had to come and drink some!\How does it taste?\The one that Sakura bought was ok I think it could have been better though.\You really are a food monster.\You wouldn't know how I feel about food. You are such a brat, stupid brat.\Who is a brat? response:	Kero-chan, when we were at home you told me that you wouldn't come.
context: Kero-chan! I told you that you couldn't come today!\But when I read about the cream soda, I had to come and drink some!\How does it taste?\The one that Sakura bought was ok I think it could have been better though.\You really are a food monster.\You wouldn't know how I feel about food. You are such a brat, stupid brat.\Who is a brat?\Kero-chan, when we were at home you told me that you wouldn't come. response:	But it was very easy to sneak into your bag.
context: But when I read about the cream soda, I had to come and drink some!\How does it taste?\The one that Sakura bought was ok I think it could have been better though.\You really are a food monster.\You wouldn't know how I feel about food. You are such a brat, stupid brat.\Who is a brat?\Kero-chan, when we were at home you told me that you wouldn't come.\But it was very easy to sneak into your bag. response:	KERO-CHAN!
context: How does it taste?\The one that Sakura bought was ok I think it could have been better though.\You really are a food monster.\You wouldn't know how I feel about food. You are such a brat, stupid brat.\Who is a brat?\Kero-chan, when we were at home you told me that you wouldn't come.\But it was very easy to sneak into your bag.\KERO-CHAN! response:	That feeling'
context: The one that Sakura bought was ok I think it could have been better though.\You really are a food monster.\You wouldn't know how I feel about food. You are such a brat, stupid brat.\Who is a brat?\Kero-chan, when we were at home you told me that you wouldn't come.\But it was very easy to sneak into your bag.\KERO-CHAN!\That feeling' response:	What is this?
context: You really are a food monster.\You wouldn't know how I feel about food. You are such a brat, stupid brat.\Who is a brat?\Kero-chan, when we were at home you told me that you wouldn't come.\But it was very easy to sneak into your bag.\KERO-CHAN!\That feeling'\What is this? response:	How did this happen?
context: You wouldn't know how I feel about food. You are such a brat, stupid brat.\Who is a brat?\Kero-chan, when we were at home you told me that you wouldn't come.\But it was very easy to sneak into your bag.\KERO-CHAN!\That feeling'\What is this?\How did this happen? response:	It seems like a big wave!
context: Who is a brat?\Kero-chan, when we were at home you told me that you wouldn't come.\But it was very easy to sneak into your bag.\KERO-CHAN!\That feeling'\What is this?\How did this happen?\It seems like a big wave! response:	What happens?
context: Kero-chan, when we were at home you told me that you wouldn't come.\But it was very easy to sneak into your bag.\KERO-CHAN!\That feeling'\What is this?\How did this happen?\It seems like a big wave!\What happens? response:	Let's hurry and get out of the pool.
context: But it was very easy to sneak into your bag.\KERO-CHAN!\That feeling'\What is this?\How did this happen?\It seems like a big wave!\What happens?\Let's hurry and get out of the pool. response:	How can a wave become so big?
context: KERO-CHAN!\That feeling'\What is this?\How did this happen?\It seems like a big wave!\What happens?\Let's hurry and get out of the pool.\How can a wave become so big? response:	Is there something wrong with the machines?
context: That feeling'\What is this?\How did this happen?\It seems like a big wave!\What happens?\Let's hurry and get out of the pool.\How can a wave become so big?\Is there something wrong with the machines? response:	No'
context: What is this?\How did this happen?\It seems like a big wave!\What happens?\Let's hurry and get out of the pool.\How can a wave become so big?\Is there something wrong with the machines?\No' response:	Rika-chan!
context: How did this happen?\It seems like a big wave!\What happens?\Let's hurry and get out of the pool.\How can a wave become so big?\Is there something wrong with the machines?\No'\Rika-chan! response:	Rika-chan!!!
context: It seems like a big wave!\What happens?\Let's hurry and get out of the pool.\How can a wave become so big?\Is there something wrong with the machines?\No'\Rika-chan!\Rika-chan!!! response:	Sakura, this is'
context: What happens?\Let's hurry and get out of the pool.\How can a wave become so big?\Is there something wrong with the machines?\No'\Rika-chan!\Rika-chan!!!\Sakura, this is' response:	I feel his presence.
context: Let's hurry and get out of the pool.\How can a wave become so big?\Is there something wrong with the machines?\No'\Rika-chan!\Rika-chan!!!\Sakura, this is'\I feel his presence. response:	Eveybody get out of the pool!
context: How can a wave become so big?\Is there something wrong with the machines?\No'\Rika-chan!\Rika-chan!!!\Sakura, this is'\I feel his presence.\Eveybody get out of the pool! response:	How did this happen?
context: Is there something wrong with the machines?\No'\Rika-chan!\Rika-chan!!!\Sakura, this is'\I feel his presence.\Eveybody get out of the pool!\How did this happen? response:	I'll come right back, you stay there and hang on.
context: No'\Rika-chan!\Rika-chan!!!\Sakura, this is'\I feel his presence.\Eveybody get out of the pool!\How did this happen?\I'll come right back, you stay there and hang on. response:	Rika-chan!
context: Rika-chan!\Rika-chan!!!\Sakura, this is'\I feel his presence.\Eveybody get out of the pool!\How did this happen?\I'll come right back, you stay there and hang on.\Rika-chan! response:	Rika-chan!
context: Rika-chan!!!\Sakura, this is'\I feel his presence.\Eveybody get out of the pool!\How did this happen?\I'll come right back, you stay there and hang on.\Rika-chan!\Rika-chan! response:	You can't go in.
context: Sakura, this is'\I feel his presence.\Eveybody get out of the pool!\How did this happen?\I'll come right back, you stay there and hang on.\Rika-chan!\Rika-chan!\You can't go in. response:	It's not safe to go play in the pool.
context: I feel his presence.\Eveybody get out of the pool!\How did this happen?\I'll come right back, you stay there and hang on.\Rika-chan!\Rika-chan!\You can't go in.\It's not safe to go play in the pool. response:	But my friend is going to drown!
context: Eveybody get out of the pool!\How did this happen?\I'll come right back, you stay there and hang on.\Rika-chan!\Rika-chan!\You can't go in.\It's not safe to go play in the pool.\But my friend is going to drown! response:	If someone doesn't hurry then Rika-chan will'
context: How did this happen?\I'll come right back, you stay there and hang on.\Rika-chan!\Rika-chan!\You can't go in.\It's not safe to go play in the pool.\But my friend is going to drown!\If someone doesn't hurry then Rika-chan will' response:	Calm down, hurry and think of something!
context: I'll come right back, you stay there and hang on.\Rika-chan!\Rika-chan!\You can't go in.\It's not safe to go play in the pool.\But my friend is going to drown!\If someone doesn't hurry then Rika-chan will'\Calm down, hurry and think of something! response:	Touya, look over there.
context: Rika-chan!\Rika-chan!\You can't go in.\It's not safe to go play in the pool.\But my friend is going to drown!\If someone doesn't hurry then Rika-chan will'\Calm down, hurry and think of something!\Touya, look over there. response:	Are you ok?
context: Rika-chan!\You can't go in.\It's not safe to go play in the pool.\But my friend is going to drown!\If someone doesn't hurry then Rika-chan will'\Calm down, hurry and think of something!\Touya, look over there.\Are you ok? response:	Shit, if it stays this way then it won't do.
context: You can't go in.\It's not safe to go play in the pool.\But my friend is going to drown!\If someone doesn't hurry then Rika-chan will'\Calm down, hurry and think of something!\Touya, look over there.\Are you ok?\Shit, if it stays this way then it won't do. response:	I have to hurry. What should I do?
context: It's not safe to go play in the pool.\But my friend is going to drown!\If someone doesn't hurry then Rika-chan will'\Calm down, hurry and think of something!\Touya, look over there.\Are you ok?\Shit, if it stays this way then it won't do.\I have to hurry. What should I do? response:	If I don't hurry then Rika-chan will drown!
context: But my friend is going to drown!\If someone doesn't hurry then Rika-chan will'\Calm down, hurry and think of something!\Touya, look over there.\Are you ok?\Shit, if it stays this way then it won't do.\I have to hurry. What should I do?\If I don't hurry then Rika-chan will drown! response:	The reason she'll drown is because'
context: If someone doesn't hurry then Rika-chan will'\Calm down, hurry and think of something!\Touya, look over there.\Are you ok?\Shit, if it stays this way then it won't do.\I have to hurry. What should I do?\If I don't hurry then Rika-chan will drown!\The reason she'll drown is because' response:	Because there is water!
context: Calm down, hurry and think of something!\Touya, look over there.\Are you ok?\Shit, if it stays this way then it won't do.\I have to hurry. What should I do?\If I don't hurry then Rika-chan will drown!\The reason she'll drown is because'\Because there is water! response:	You can't.
context: Touya, look over there.\Are you ok?\Shit, if it stays this way then it won't do.\I have to hurry. What should I do?\If I don't hurry then Rika-chan will drown!\The reason she'll drown is because'\Because there is water!\You can't. response:	At this place, there will be a lot of people that will see you!
context: Are you ok?\Shit, if it stays this way then it won't do.\I have to hurry. What should I do?\If I don't hurry then Rika-chan will drown!\The reason she'll drown is because'\Because there is water!\You can't.\At this place, there will be a lot of people that will see you! response:	But'
context: Shit, if it stays this way then it won't do.\I have to hurry. What should I do?\If I don't hurry then Rika-chan will drown!\The reason she'll drown is because'\Because there is water!\You can't.\At this place, there will be a lot of people that will see you!\But' response:	Over there!
context: I have to hurry. What should I do?\If I don't hurry then Rika-chan will drown!\The reason she'll drown is because'\Because there is water!\You can't.\At this place, there will be a lot of people that will see you!\But'\Over there! response:	Right!
context: If I don't hurry then Rika-chan will drown!\The reason she'll drown is because'\Because there is water!\You can't.\At this place, there will be a lot of people that will see you!\But'\Over there!\Right! response:	Release!
context: The reason she'll drown is because'\Because there is water!\You can't.\At this place, there will be a lot of people that will see you!\But'\Over there!\Right!\Release! response:	O Card created by Clow,
context: Because there is water!\You can't.\At this place, there will be a lot of people that will see you!\But'\Over there!\Right!\Release!\O Card created by Clow, response:	discard thine old form and be reborn.
