context: Gust of wind leaves fall leaves falling response:	Got it!
context: You aren't using the form I taught you!\Desktomu-kun, you should use a thrust for that card!\Stay focused!\Kana-chan...\Desktomu-kun...\You came in first. You came in second.\That's incredible...\Yes! response:	Oh!
context: Desktomu-kun, you should use a thrust for that card!\Stay focused!\Kana-chan...\Desktomu-kun...\You came in first. You came in second.\That's incredible...\Yes!\Oh! response:	I completely forgot about them!
context: Stay focused!\Kana-chan...\Desktomu-kun...\You came in first. You came in second.\That's incredible...\Yes!\Oh!\I completely forgot about them! response:	Retro-kun, Retro-kun.
context: Kana-chan...\Desktomu-kun...\You came in first. You came in second.\That's incredible...\Yes!\Oh!\I completely forgot about them!\Retro-kun, Retro-kun. response:	Give me an update.
context: Desktomu-kun...\You came in first. You came in second.\That's incredible...\Yes!\Oh!\I completely forgot about them!\Retro-kun, Retro-kun.\Give me an update. response:	Huh?
context: You came in first. You came in second.\That's incredible...\Yes!\Oh!\I completely forgot about them!\Retro-kun, Retro-kun.\Give me an update.\Huh? response:	long as the nights I spend alone
context: That's incredible...\Yes!\Oh!\I completely forgot about them!\Retro-kun, Retro-kun.\Give me an update.\Huh?\long as the nights I spend alone response:	Luck of the draw?
context: Yes!\Oh!\I completely forgot about them!\Retro-kun, Retro-kun.\Give me an update.\Huh?\long as the nights I spend alone\Luck of the draw? response:	When each player only has one card left
context: Oh!\I completely forgot about them!\Retro-kun, Retro-kun.\Give me an update.\Huh?\long as the nights I spend alone\Luck of the draw?\When each player only has one card left response:	and they play defensively,
context: I completely forgot about them!\Retro-kun, Retro-kun.\Give me an update.\Huh?\long as the nights I spend alone\Luck of the draw?\When each player only has one card left\and they play defensively, response:	the match comes down to whose card is read first.
context: Retro-kun, Retro-kun.\Give me an update.\Huh?\long as the nights I spend alone\Luck of the draw?\When each player only has one card left\and they play defensively,\the match comes down to whose card is read first. response:	Pure luck.
context: Give me an update.\Huh?\long as the nights I spend alone\Luck of the draw?\When each player only has one card left\and they play defensively,\the match comes down to whose card is read first.\Pure luck. response:	So the final ends in luck of the draw.
context: Huh?\long as the nights I spend alone\Luck of the draw?\When each player only has one card left\and they play defensively,\the match comes down to whose card is read first.\Pure luck.\So the final ends in luck of the draw. response:	I was watching this match to see if I could learn anything,
context: long as the nights I spend alone\Luck of the draw?\When each player only has one card left\and they play defensively,\the match comes down to whose card is read first.\Pure luck.\So the final ends in luck of the draw.\I was watching this match to see if I could learn anything, response:	but in terms of reflexes, speed, and memorization,
context: Luck of the draw?\When each player only has one card left\and they play defensively,\the match comes down to whose card is read first.\Pure luck.\So the final ends in luck of the draw.\I was watching this match to see if I could learn anything,\but in terms of reflexes, speed, and memorization, response:	I'm clearly better than both of them!
context: When each player only has one card left\and they play defensively,\the match comes down to whose card is read first.\Pure luck.\So the final ends in luck of the draw.\I was watching this match to see if I could learn anything,\but in terms of reflexes, speed, and memorization,\I'm clearly better than both of them! response:	There was nothing for me to learn!
context: and they play defensively,\the match comes down to whose card is read first.\Pure luck.\So the final ends in luck of the draw.\I was watching this match to see if I could learn anything,\but in terms of reflexes, speed, and memorization,\I'm clearly better than both of them!\There was nothing for me to learn! response:	But still...
context: the match comes down to whose card is read first.\Pure luck.\So the final ends in luck of the draw.\I was watching this match to see if I could learn anything,\but in terms of reflexes, speed, and memorization,\I'm clearly better than both of them!\There was nothing for me to learn!\But still... response:	After all they've been through,
context: Pure luck.\So the final ends in luck of the draw.\I was watching this match to see if I could learn anything,\but in terms of reflexes, speed, and memorization,\I'm clearly better than both of them!\There was nothing for me to learn!\But still...\After all they've been through, response:	the winner will be determined by luck?
context: So the final ends in luck of the draw.\I was watching this match to see if I could learn anything,\but in terms of reflexes, speed, and memorization,\I'm clearly better than both of them!\There was nothing for me to learn!\But still...\After all they've been through,\the winner will be determined by luck? response:	They worked so hard to get here...
context: I was watching this match to see if I could learn anything,\but in terms of reflexes, speed, and memorization,\I'm clearly better than both of them!\There was nothing for me to learn!\But still...\After all they've been through,\the winner will be determined by luck?\They worked so hard to get here... response:	The tail...
context: but in terms of reflexes, speed, and memorization,\I'm clearly better than both of them!\There was nothing for me to learn!\But still...\After all they've been through,\the winner will be determined by luck?\They worked so hard to get here...\The tail... response:	Give me The tail.
context: I'm clearly better than both of them!\There was nothing for me to learn!\But still...\After all they've been through,\the winner will be determined by luck?\They worked so hard to get here...\The tail...\Give me The tail. response:	Give me The tail! Give it to me!
context: There was nothing for me to learn!\But still...\After all they've been through,\the winner will be determined by luck?\They worked so hard to get here...\The tail...\Give me The tail.\Give me The tail! Give it to me! response:	I'm going to defend this card!
context: But still...\After all they've been through,\the winner will be determined by luck?\They worked so hard to get here...\The tail...\Give me The tail.\Give me The tail! Give it to me!\I'm going to defend this card! response:	Focus. Reassess the situation.
context: After all they've been through,\the winner will be determined by luck?\They worked so hard to get here...\The tail...\Give me The tail.\Give me The tail! Give it to me!\I'm going to defend this card!\Focus. Reassess the situation. response:	I have Swift waters...
context: the winner will be determined by luck?\They worked so hard to get here...\The tail...\Give me The tail.\Give me The tail! Give it to me!\I'm going to defend this card!\Focus. Reassess the situation.\I have Swift waters... response:	A one-syllable card on Swift.
context: They worked so hard to get here...\The tail...\Give me The tail.\Give me The tail! Give it to me!\I'm going to defend this card!\Focus. Reassess the situation.\I have Swift waters...\A one-syllable card on Swift. response:	Nishida has The tail,
context: The tail...\Give me The tail.\Give me The tail! Give it to me!\I'm going to defend this card!\Focus. Reassess the situation.\I have Swift waters...\A one-syllable card on Swift.\Nishida has The tail, response:	and six dead cards haven't been read yet.
context: Give me The tail.\Give me The tail! Give it to me!\I'm going to defend this card!\Focus. Reassess the situation.\I have Swift waters...\A one-syllable card on Swift.\Nishida has The tail,\and six dead cards haven't been read yet. response:	The sky may, The sight of Mount, Feel sorrow,
context: Give me The tail! Give it to me!\I'm going to defend this card!\Focus. Reassess the situation.\I have Swift waters...\A one-syllable card on Swift.\Nishida has The tail,\and six dead cards haven't been read yet.\The sky may, The sight of Mount, Feel sorrow, response:	For the, Would this, and My own sleeves.
context: I'm going to defend this card!\Focus. Reassess the situation.\I have Swift waters...\A one-syllable card on Swift.\Nishida has The tail,\and six dead cards haven't been read yet.\The sky may, The sight of Mount, Feel sorrow,\For the, Would this, and My own sleeves. response:	The tail can't be taken on the first syllable yet!
context: Focus. Reassess the situation.\I have Swift waters...\A one-syllable card on Swift.\Nishida has The tail,\and six dead cards haven't been read yet.\The sky may, The sight of Mount, Feel sorrow,\For the, Would this, and My own sleeves.\The tail can't be taken on the first syllable yet! response:	The sky may hold the same moon
context: I have Swift waters...\A one-syllable card on Swift.\Nishida has The tail,\and six dead cards haven't been read yet.\The sky may, The sight of Mount, Feel sorrow,\For the, Would this, and My own sleeves.\The tail can't be taken on the first syllable yet!\The sky may hold the same moon response:	H-He went on the attack?
context: A one-syllable card on Swift.\Nishida has The tail,\and six dead cards haven't been read yet.\The sky may, The sight of Mount, Feel sorrow,\For the, Would this, and My own sleeves.\The tail can't be taken on the first syllable yet!\The sky may hold the same moon\H-He went on the attack? response:	He's trying to
context: Nishida has The tail,\and six dead cards haven't been read yet.\The sky may, The sight of Mount, Feel sorrow,\For the, Would this, and My own sleeves.\The tail can't be taken on the first syllable yet!\The sky may hold the same moon\H-He went on the attack?\He's trying to response:	take the opponent's card in a luck of the draw?!
context: and six dead cards haven't been read yet.\The sky may, The sight of Mount, Feel sorrow,\For the, Would this, and My own sleeves.\The tail can't be taken on the first syllable yet!\The sky may hold the same moon\H-He went on the attack?\He's trying to\take the opponent's card in a luck of the draw?! response:	You're supposed to protect your own card, right?
context: The sky may, The sight of Mount, Feel sorrow,\For the, Would this, and My own sleeves.\The tail can't be taken on the first syllable yet!\The sky may hold the same moon\H-He went on the attack?\He's trying to\take the opponent's card in a luck of the draw?!\You're supposed to protect your own card, right? response:	Yeah...
context: For the, Would this, and My own sleeves.\The tail can't be taken on the first syllable yet!\The sky may hold the same moon\H-He went on the attack?\He's trying to\take the opponent's card in a luck of the draw?!\You're supposed to protect your own card, right?\Yeah... response:	Why aren't there two of me?
context: The tail can't be taken on the first syllable yet!\The sky may hold the same moon\H-He went on the attack?\He's trying to\take the opponent's card in a luck of the draw?!\You're supposed to protect your own card, right?\Yeah...\Why aren't there two of me? response:	Why didn't I watch this important match?!
context: The sky may hold the same moon\H-He went on the attack?\He's trying to\take the opponent's card in a luck of the draw?!\You're supposed to protect your own card, right?\Yeah...\Why aren't there two of me?\Why didn't I watch this important match?! response:	Luck of the draw?
context: H-He went on the attack?\He's trying to\take the opponent's card in a luck of the draw?!\You're supposed to protect your own card, right?\Yeah...\Why aren't there two of me?\Why didn't I watch this important match?!\Luck of the draw? response:	Screw that!
context: He's trying to\take the opponent's card in a luck of the draw?!\You're supposed to protect your own card, right?\Yeah...\Why aren't there two of me?\Why didn't I watch this important match?!\Luck of the draw?\Screw that! response:	I'm not leaving this match
context: take the opponent's card in a luck of the draw?!\You're supposed to protect your own card, right?\Yeah...\Why aren't there two of me?\Why didn't I watch this important match?!\Luck of the draw?\Screw that!\I'm not leaving this match response:	to luck!
context: You're supposed to protect your own card, right?\Yeah...\Why aren't there two of me?\Why didn't I watch this important match?!\Luck of the draw?\Screw that!\I'm not leaving this match\to luck! response:	Toda Municipal Spor
context: Yeah...\Why aren't there two of me?\Why didn't I watch this important match?!\Luck of the draw?\Screw that!\I'm not leaving this match\to luck!\Toda Municipal Spor response:	Luck of the draw.
context: Why aren't there two of me?\Why didn't I watch this important match?!\Luck of the draw?\Screw that!\I'm not leaving this match\to luck!\Toda Municipal Spor\Luck of the draw. response:	Each player only has one card left.
context: Why didn't I watch this important match?!\Luck of the draw?\Screw that!\I'm not leaving this match\to luck!\Toda Municipal Spor\Luck of the draw.\Each player only has one card left. response:	If both players try to defend their own card,
context: Luck of the draw?\Screw that!\I'm not leaving this match\to luck!\Toda Municipal Spor\Luck of the draw.\Each player only has one card left.\If both players try to defend their own card, response:	they each have a 50 chance of winning.
context: Screw that!\I'm not leaving this match\to luck!\Toda Municipal Spor\Luck of the draw.\Each player only has one card left.\If both players try to defend their own card,\they each have a 50 chance of winning. response:	But Taichi is trying to improve his chances of winning.
context: I'm not leaving this match\to luck!\Toda Municipal Spor\Luck of the draw.\Each player only has one card left.\If both players try to defend their own card,\they each have a 50 chance of winning.\But Taichi is trying to improve his chances of winning. response:	By attacking the opponent's side.
context: to luck!\Toda Municipal Spor\Luck of the draw.\Each player only has one card left.\If both players try to defend their own card,\they each have a 50 chance of winning.\But Taichi is trying to improve his chances of winning.\By attacking the opponent's side. response:	When it comes to luck of the draw,
context: Toda Municipal Spor\Luck of the draw.\Each player only has one card left.\If both players try to defend their own card,\they each have a 50 chance of winning.\But Taichi is trying to improve his chances of winning.\By attacking the opponent's side.\When it comes to luck of the draw, response:	it's normal to defend your own card.
context: Luck of the draw.\Each player only has one card left.\If both players try to defend their own card,\they each have a 50 chance of winning.\But Taichi is trying to improve his chances of winning.\By attacking the opponent's side.\When it comes to luck of the draw,\it's normal to defend your own card. response:	It's the golden rule.
context: Each player only has one card left.\If both players try to defend their own card,\they each have a 50 chance of winning.\But Taichi is trying to improve his chances of winning.\By attacking the opponent's side.\When it comes to luck of the draw,\it's normal to defend your own card.\It's the golden rule. response:	However, Mashima went on the attack.
context: If both players try to defend their own card,\they each have a 50 chance of winning.\But Taichi is trying to improve his chances of winning.\By attacking the opponent's side.\When it comes to luck of the draw,\it's normal to defend your own card.\It's the golden rule.\However, Mashima went on the attack. response:	His card is Swift, a one-syllable card.
context: they each have a 50 chance of winning.\But Taichi is trying to improve his chances of winning.\By attacking the opponent's side.\When it comes to luck of the draw,\it's normal to defend your own card.\It's the golden rule.\However, Mashima went on the attack.\His card is Swift, a one-syllable card. response:	So the question is: are there any other
context: But Taichi is trying to improve his chances of winning.\By attacking the opponent's side.\When it comes to luck of the draw,\it's normal to defend your own card.\It's the golden rule.\However, Mashima went on the attack.\His card is Swift, a one-syllable card.\So the question is: are there any other response:	The cards left besides The tail.
context: By attacking the opponent's side.\When it comes to luck of the draw,\it's normal to defend your own card.\It's the golden rule.\However, Mashima went on the attack.\His card is Swift, a one-syllable card.\So the question is: are there any other\The cards left besides The tail. response:	Think... Think...
context: When it comes to luck of the draw,\it's normal to defend your own card.\It's the golden rule.\However, Mashima went on the attack.\His card is Swift, a one-syllable card.\So the question is: are there any other\The cards left besides The tail.\Think... Think... response:	Were they all read?
context: it's normal to defend your own card.\It's the golden rule.\However, Mashima went on the attack.\His card is Swift, a one-syllable card.\So the question is: are there any other\The cards left besides The tail.\Think... Think...\Were they all read? response:	Are there a few left?
context: It's the golden rule.\However, Mashima went on the attack.\His card is Swift, a one-syllable card.\So the question is: are there any other\The cards left besides The tail.\Think... Think...\Were they all read?\Are there a few left? response:	Dammit!
context: However, Mashima went on the attack.\His card is Swift, a one-syllable card.\So the question is: are there any other\The cards left besides The tail.\Think... Think...\Were they all read?\Are there a few left?\Dammit! response:	There are sixteen The cards in total...
context: His card is Swift, a one-syllable card.\So the question is: are there any other\The cards left besides The tail.\Think... Think...\Were they all read?\Are there a few left?\Dammit!\There are sixteen The cards in total... response:	There are definitely other cards left!
context: So the question is: are there any other\The cards left besides The tail.\Think... Think...\Were they all read?\Are there a few left?\Dammit!\There are sixteen The cards in total...\There are definitely other cards left! response:	He's going to attack again!
context: The cards left besides The tail.\Think... Think...\Were they all read?\Are there a few left?\Dammit!\There are sixteen The cards in total...\There are definitely other cards left!\He's going to attack again! response:	which shines over Mount Mikasa
context: Think... Think...\Were they all read?\Are there a few left?\Dammit!\There are sixteen The cards in total...\There are definitely other cards left!\He's going to attack again!\which shines over Mount Mikasa response:	Feel sorrow wash over me when I see the moon,
context: Were they all read?\Are there a few left?\Dammit!\There are sixteen The cards in total...\There are definitely other cards left!\He's going to attack again!\which shines over Mount Mikasa\Feel sorrow wash over me when I see the moon, response:	though autumn is not mine alone
context: Are there a few left?\Dammit!\There are sixteen The cards in total...\There are definitely other cards left!\He's going to attack again!\which shines over Mount Mikasa\Feel sorrow wash over me when I see the moon,\though autumn is not mine alone response:	My own sleeves are like the sands at the edge of the ebbing tide,
context: Dammit!\There are sixteen The cards in total...\There are definitely other cards left!\He's going to attack again!\which shines over Mount Mikasa\Feel sorrow wash over me when I see the moon,\though autumn is not mine alone\My own sleeves are like the sands at the edge of the ebbing tide, response:	Would this old palace courtyard and the eaves strewn with weeds
context: There are sixteen The cards in total...\There are definitely other cards left!\He's going to attack again!\which shines over Mount Mikasa\Feel sorrow wash over me when I see the moon,\though autumn is not mine alone\My own sleeves are like the sands at the edge of the ebbing tide,\Would this old palace courtyard and the eaves strewn with weeds response:	Another dead card.
context: There are definitely other cards left!\He's going to attack again!\which shines over Mount Mikasa\Feel sorrow wash over me when I see the moon,\though autumn is not mine alone\My own sleeves are like the sands at the edge of the ebbing tide,\Would this old palace courtyard and the eaves strewn with weeds\Another dead card. response:	They're running out of cards...
context: He's going to attack again!\which shines over Mount Mikasa\Feel sorrow wash over me when I see the moon,\though autumn is not mine alone\My own sleeves are like the sands at the edge of the ebbing tide,\Would this old palace courtyard and the eaves strewn with weeds\Another dead card.\They're running out of cards... response:	The intensity when each card is read
context: which shines over Mount Mikasa\Feel sorrow wash over me when I see the moon,\though autumn is not mine alone\My own sleeves are like the sands at the edge of the ebbing tide,\Would this old palace courtyard and the eaves strewn with weeds\Another dead card.\They're running out of cards...\The intensity when each card is read response:	is similar to when sumo wrestlers face off.
context: Feel sorrow wash over me when I see the moon,\though autumn is not mine alone\My own sleeves are like the sands at the edge of the ebbing tide,\Would this old palace courtyard and the eaves strewn with weeds\Another dead card.\They're running out of cards...\The intensity when each card is read\is similar to when sumo wrestlers face off. response:	Focus, then relax. Focus, then relax.
context: though autumn is not mine alone\My own sleeves are like the sands at the edge of the ebbing tide,\Would this old palace courtyard and the eaves strewn with weeds\Another dead card.\They're running out of cards...\The intensity when each card is read\is similar to when sumo wrestlers face off.\Focus, then relax. Focus, then relax. response:	You haven't moved an inch, yet you feel completely drained.
context: My own sleeves are like the sands at the edge of the ebbing tide,\Would this old palace courtyard and the eaves strewn with weeds\Another dead card.\They're running out of cards...\The intensity when each card is read\is similar to when sumo wrestlers face off.\Focus, then relax. Focus, then relax.\You haven't moved an inch, yet you feel completely drained. response:	I hate it when you get a bunch of dead cards in a row.
context: Would this old palace courtyard and the eaves strewn with weeds\Another dead card.\They're running out of cards...\The intensity when each card is read\is similar to when sumo wrestlers face off.\Focus, then relax. Focus, then relax.\You haven't moved an inch, yet you feel completely drained.\I hate it when you get a bunch of dead cards in a row. response:	Just read one of the two remaining cards!
context: Another dead card.\They're running out of cards...\The intensity when each card is read\is similar to when sumo wrestlers face off.\Focus, then relax. Focus, then relax.\You haven't moved an inch, yet you feel completely drained.\I hate it when you get a bunch of dead cards in a row.\Just read one of the two remaining cards! response:	They aren't relaxing...
context: They're running out of cards...\The intensity when each card is read\is similar to when sumo wrestlers face off.\Focus, then relax. Focus, then relax.\You haven't moved an inch, yet you feel completely drained.\I hate it when you get a bunch of dead cards in a row.\Just read one of the two remaining cards!\They aren't relaxing... response:	Because they care.
context: The intensity when each card is read\is similar to when sumo wrestlers face off.\Focus, then relax. Focus, then relax.\You haven't moved an inch, yet you feel completely drained.\I hate it when you get a bunch of dead cards in a row.\Just read one of the two remaining cards!\They aren't relaxing...\Because they care. response:	are joined at river's end
context: is similar to when sumo wrestlers face off.\Focus, then relax. Focus, then relax.\You haven't moved an inch, yet you feel completely drained.\I hate it when you get a bunch of dead cards in a row.\Just read one of the two remaining cards!\They aren't relaxing...\Because they care.\are joined at river's end response:	Because they want to win!
context: Focus, then relax. Focus, then relax.\You haven't moved an inch, yet you feel completely drained.\I hate it when you get a bunch of dead cards in a row.\Just read one of the two remaining cards!\They aren't relaxing...\Because they care.\are joined at river's end\Because they want to win! response:	be as dear now, those were the good old days
context: You haven't moved an inch, yet you feel completely drained.\I hate it when you get a bunch of dead cards in a row.\Just read one of the two remaining cards!\They aren't relaxing...\Because they care.\are joined at river's end\Because they want to win!\be as dear now, those were the good old days response:	The sight of Mount Arima with the bamboo leaves fading across the plains
context: I hate it when you get a bunch of dead cards in a row.\Just read one of the two remaining cards!\They aren't relaxing...\Because they care.\are joined at river's end\Because they want to win!\be as dear now, those were the good old days\The sight of Mount Arima with the bamboo leaves fading across the plains response:	Another dead card!
context: Just read one of the two remaining cards!\They aren't relaxing...\Because they care.\are joined at river's end\Because they want to win!\be as dear now, those were the good old days\The sight of Mount Arima with the bamboo leaves fading across the plains\Another dead card! response:	But The sight of Mount has been read!
context: They aren't relaxing...\Because they care.\are joined at river's end\Because they want to win!\be as dear now, those were the good old days\The sight of Mount Arima with the bamboo leaves fading across the plains\Another dead card!\But The sight of Mount has been read! response:	So there was still a The card!
context: Because they care.\are joined at river's end\Because they want to win!\be as dear now, those were the good old days\The sight of Mount Arima with the bamboo leaves fading across the plains\Another dead card!\But The sight of Mount has been read!\So there was still a The card! response:	But that should be all of them!
context: are joined at river's end\Because they want to win!\be as dear now, those were the good old days\The sight of Mount Arima with the bamboo leaves fading across the plains\Another dead card!\But The sight of Mount has been read!\So there was still a The card!\But that should be all of them! response:	It comes down to whether Swift or The is read.
context: Because they want to win!\be as dear now, those were the good old days\The sight of Mount Arima with the bamboo leaves fading across the plains\Another dead card!\But The sight of Mount has been read!\So there was still a The card!\But that should be all of them!\It comes down to whether Swift or The is read. response:	A 50/50 battle!
context: be as dear now, those were the good old days\The sight of Mount Arima with the bamboo leaves fading across the plains\Another dead card!\But The sight of Mount has been read!\So there was still a The card!\But that should be all of them!\It comes down to whether Swift or The is read.\A 50/50 battle! response:	Wait, there's another one left?
context: The sight of Mount Arima with the bamboo leaves fading across the plains\Another dead card!\But The sight of Mount has been read!\So there was still a The card!\But that should be all of them!\It comes down to whether Swift or The is read.\A 50/50 battle!\Wait, there's another one left? response:	Chihaya...
context: Another dead card!\But The sight of Mount has been read!\So there was still a The card!\But that should be all of them!\It comes down to whether Swift or The is read.\A 50/50 battle!\Wait, there's another one left?\Chihaya... response:	Would you able to hear the
context: But The sight of Mount has been read!\So there was still a The card!\But that should be all of them!\It comes down to whether Swift or The is read.\A 50/50 battle!\Wait, there's another one left?\Chihaya...\Would you able to hear the response:	sound that comes before The?
context: So there was still a The card!\But that should be all of them!\It comes down to whether Swift or The is read.\A 50/50 battle!\Wait, there's another one left?\Chihaya...\Would you able to hear the\sound that comes before The? response:	The sound that comes before Swift?
context: But that should be all of them!\It comes down to whether Swift or The is read.\A 50/50 battle!\Wait, there's another one left?\Chihaya...\Would you able to hear the\sound that comes before The?\The sound that comes before Swift? response:	makes me wonder how I ever let you fade from my mind
context: It comes down to whether Swift or The is read.\A 50/50 battle!\Wait, there's another one left?\Chihaya...\Would you able to hear the\sound that comes before The?\The sound that comes before Swift?\makes me wonder how I ever let you fade from my mind response:	Chihaya...
context: A 50/50 battle!\Wait, there's another one left?\Chihaya...\Would you able to hear the\sound that comes before The?\The sound that comes before Swift?\makes me wonder how I ever let you fade from my mind\Chihaya... response:	What would you do?
context: Wait, there's another one left?\Chihaya...\Would you able to hear the\sound that comes before The?\The sound that comes before Swift?\makes me wonder how I ever let you fade from my mind\Chihaya...\What would you do? response:	The tail feathers of...
context: Chihaya...\Would you able to hear the\sound that comes before The?\The sound that comes before Swift?\makes me wonder how I ever let you fade from my mind\Chihaya...\What would you do?\The tail feathers of... response:	long as the nights I spend alone
context: Would you able to hear the\sound that comes before The?\The sound that comes before Swift?\makes me wonder how I ever let you fade from my mind\Chihaya...\What would you do?\The tail feathers of...\long as the nights I spend alone response:	Thank you very much.
context: sound that comes before The?\The sound that comes before Swift?\makes me wonder how I ever let you fade from my mind\Chihaya...\What would you do?\The tail feathers of...\long as the nights I spend alone\Thank you very much. response:	Toda Municipal Sports Center
context: The sound that comes before Swift?\makes me wonder how I ever let you fade from my mind\Chihaya...\What would you do?\The tail feathers of...\long as the nights I spend alone\Thank you very much.\Toda Municipal Sports Center response:	Well, I'll be waiting in the lobby.
context: makes me wonder how I ever let you fade from my mind\Chihaya...\What would you do?\The tail feathers of...\long as the nights I spend alone\Thank you very much.\Toda Municipal Sports Center\Well, I'll be waiting in the lobby. response:	Y-Yeah, sure.
context: Chihaya...\What would you do?\The tail feathers of...\long as the nights I spend alone\Thank you very much.\Toda Municipal Sports Center\Well, I'll be waiting in the lobby.\Y-Yeah, sure. response:	Nishida, did you know which cards were left?
context: What would you do?\The tail feathers of...\long as the nights I spend alone\Thank you very much.\Toda Municipal Sports Center\Well, I'll be waiting in the lobby.\Y-Yeah, sure.\Nishida, did you know which cards were left? response:	Uh, wasn't Swift the only card left?
context: The tail feathers of...\long as the nights I spend alone\Thank you very much.\Toda Municipal Sports Center\Well, I'll be waiting in the lobby.\Y-Yeah, sure.\Nishida, did you know which cards were left?\Uh, wasn't Swift the only card left? response:	Swift and For the.
context: long as the nights I spend alone\Thank you very much.\Toda Municipal Sports Center\Well, I'll be waiting in the lobby.\Y-Yeah, sure.\Nishida, did you know which cards were left?\Uh, wasn't Swift the only card left?\Swift and For the. response:	Huh? Really?
context: Thank you very much.\Toda Municipal Sports Center\Well, I'll be waiting in the lobby.\Y-Yeah, sure.\Nishida, did you know which cards were left?\Uh, wasn't Swift the only card left?\Swift and For the.\Huh? Really? response:	Isn't that right, Mashima?
context: Toda Municipal Sports Center\Well, I'll be waiting in the lobby.\Y-Yeah, sure.\Nishida, did you know which cards were left?\Uh, wasn't Swift the only card left?\Swift and For the.\Huh? Really?\Isn't that right, Mashima? response:	I guess you got lucky.
context: Well, I'll be waiting in the lobby.\Y-Yeah, sure.\Nishida, did you know which cards were left?\Uh, wasn't Swift the only card left?\Swift and For the.\Huh? Really?\Isn't that right, Mashima?\I guess you got lucky. response:	Huh?
context: Y-Yeah, sure.\Nishida, did you know which cards were left?\Uh, wasn't Swift the only card left?\Swift and For the.\Huh? Really?\Isn't that right, Mashima?\I guess you got lucky.\Huh? response:	There's no reason for me to blame him.
context: Nishida, did you know which cards were left?\Uh, wasn't Swift the only card left?\Swift and For the.\Huh? Really?\Isn't that right, Mashima?\I guess you got lucky.\Huh?\There's no reason for me to blame him. response:	I didn't lose because of luck.
context: Uh, wasn't Swift the only card left?\Swift and For the.\Huh? Really?\Isn't that right, Mashima?\I guess you got lucky.\Huh?\There's no reason for me to blame him.\I didn't lose because of luck. response:	It's my fault for not winning before it got to that point.
context: Swift and For the.\Huh? Really?\Isn't that right, Mashima?\I guess you got lucky.\Huh?\There's no reason for me to blame him.\I didn't lose because of luck.\It's my fault for not winning before it got to that point. response:	There were plenty of cards I should have gotten in the first half!
context: Huh? Really?\Isn't that right, Mashima?\I guess you got lucky.\Huh?\There's no reason for me to blame him.\I didn't lose because of luck.\It's my fault for not winning before it got to that point.\There were plenty of cards I should have gotten in the first half! response:	Nishida was able to fend off my weak attacks.
context: Isn't that right, Mashima?\I guess you got lucky.\Huh?\There's no reason for me to blame him.\I didn't lose because of luck.\It's my fault for not winning before it got to that point.\There were plenty of cards I should have gotten in the first half!\Nishida was able to fend off my weak attacks. response:	Nishida did a better job of protecting his multi-syllable cards.
context: I guess you got lucky.\Huh?\There's no reason for me to blame him.\I didn't lose because of luck.\It's my fault for not winning before it got to that point.\There were plenty of cards I should have gotten in the first half!\Nishida was able to fend off my weak attacks.\Nishida did a better job of protecting his multi-syllable cards. response:	There was plenty of room for improvement!
context: Huh?\There's no reason for me to blame him.\I didn't lose because of luck.\It's my fault for not winning before it got to that point.\There were plenty of cards I should have gotten in the first half!\Nishida was able to fend off my weak attacks.\Nishida did a better job of protecting his multi-syllable cards.\There was plenty of room for improvement! response:	It hurts.
context: There's no reason for me to blame him.\I didn't lose because of luck.\It's my fault for not winning before it got to that point.\There were plenty of cards I should have gotten in the first half!\Nishida was able to fend off my weak attacks.\Nishida did a better job of protecting his multi-syllable cards.\There was plenty of room for improvement!\It hurts. response:	I tried my best...
context: I didn't lose because of luck.\It's my fault for not winning before it got to that point.\There were plenty of cards I should have gotten in the first half!\Nishida was able to fend off my weak attacks.\Nishida did a better job of protecting his multi-syllable cards.\There was plenty of room for improvement!\It hurts.\I tried my best... response:	But that's no excuse.
context: It's my fault for not winning before it got to that point.\There were plenty of cards I should have gotten in the first half!\Nishida was able to fend off my weak attacks.\Nishida did a better job of protecting his multi-syllable cards.\There was plenty of room for improvement!\It hurts.\I tried my best...\But that's no excuse. response:	Sorry.
context: There were plenty of cards I should have gotten in the first half!\Nishida was able to fend off my weak attacks.\Nishida did a better job of protecting his multi-syllable cards.\There was plenty of room for improvement!\It hurts.\I tried my best...\But that's no excuse.\Sorry. response:	Oh. Taichi. Porky.
context: Nishida was able to fend off my weak attacks.\Nishida did a better job of protecting his multi-syllable cards.\There was plenty of room for improvement!\It hurts.\I tried my best...\But that's no excuse.\Sorry.\Oh. Taichi. Porky. response:	I'm glad you're president of the karuta club.
context: Nishida did a better job of protecting his multi-syllable cards.\There was plenty of room for improvement!\It hurts.\I tried my best...\But that's no excuse.\Sorry.\Oh. Taichi. Porky.\I'm glad you're president of the karuta club. response:	What's this about?
context: There was plenty of room for improvement!\It hurts.\I tried my best...\But that's no excuse.\Sorry.\Oh. Taichi. Porky.\I'm glad you're president of the karuta club.\What's this about? response:	You're giving me the creeps.
context: It hurts.\I tried my best...\But that's no excuse.\Sorry.\Oh. Taichi. Porky.\I'm glad you're president of the karuta club.\What's this about?\You're giving me the creeps. response:	Well, I mean...
context: I tried my best...\But that's no excuse.\Sorry.\Oh. Taichi. Porky.\I'm glad you're president of the karuta club.\What's this about?\You're giving me the creeps.\Well, I mean... response:	compared to Ayase,
