context: Pond of Blood response:	You are one incredible bastard to try to take the fruit of the Enseiju,
context: This is the jump device, is it?\That's right oni! I'm going to jump up as hard as I can and land up here,\and when I do, you jump oni.\Fine, just hurry up and do it.\All right, here goes!\It's working, it's working!\A little farther...\Ka... me... ha... me... response:	That did it!
context: That's right oni! I'm going to jump up as hard as I can and land up here,\and when I do, you jump oni.\Fine, just hurry up and do it.\All right, here goes!\It's working, it's working!\A little farther...\Ka... me... ha... me...\That did it! response:	What's with those clouds? They're terribly hard!
context: and when I do, you jump oni.\Fine, just hurry up and do it.\All right, here goes!\It's working, it's working!\A little farther...\Ka... me... ha... me...\That did it!\What's with those clouds? They're terribly hard! response:	To the summit. Please do not litter.
context: Fine, just hurry up and do it.\All right, here goes!\It's working, it's working!\A little farther...\Ka... me... ha... me...\That did it!\What's with those clouds? They're terribly hard!\To the summit. Please do not litter. response:	To the summit. Please do not litter. Number 34,265...
context: All right, here goes!\It's working, it's working!\A little farther...\Ka... me... ha... me...\That did it!\What's with those clouds? They're terribly hard!\To the summit. Please do not litter.\To the summit. Please do not litter. Number 34,265... response:	number 34,266...
context: It's working, it's working!\A little farther...\Ka... me... ha... me...\That did it!\What's with those clouds? They're terribly hard!\To the summit. Please do not litter.\To the summit. Please do not litter. Number 34,265...\number 34,266... response:	The Original Needle Bean Jam Buns number 34,267...
context: A little farther...\Ka... me... ha... me...\That did it!\What's with those clouds? They're terribly hard!\To the summit. Please do not litter.\To the summit. Please do not litter. Number 34,265...\number 34,266...\The Original Needle Bean Jam Buns number 34,267... response:	number 34,267...
context: Ka... me... ha... me...\That did it!\What's with those clouds? They're terribly hard!\To the summit. Please do not litter.\To the summit. Please do not litter. Number 34,265...\number 34,266...\The Original Needle Bean Jam Buns number 34,267...\number 34,267... response:	number 34,268...
context: That did it!\What's with those clouds? They're terribly hard!\To the summit. Please do not litter.\To the summit. Please do not litter. Number 34,265...\number 34,266...\The Original Needle Bean Jam Buns number 34,267...\number 34,267...\number 34,268... response:	number 34,269...
context: What's with those clouds? They're terribly hard!\To the summit. Please do not litter.\To the summit. Please do not litter. Number 34,265...\number 34,266...\The Original Needle Bean Jam Buns number 34,267...\number 34,267...\number 34,268...\number 34,269... response:	No one is absent, then.
context: To the summit. Please do not litter.\To the summit. Please do not litter. Number 34,265...\number 34,266...\The Original Needle Bean Jam Buns number 34,267...\number 34,267...\number 34,268...\number 34,269...\No one is absent, then. response:	Today, as I'm sure everyone is looking forward to,
context: To the summit. Please do not litter. Number 34,265...\number 34,266...\The Original Needle Bean Jam Buns number 34,267...\number 34,267...\number 34,268...\number 34,269...\No one is absent, then.\Today, as I'm sure everyone is looking forward to, response:	we will be having an outing on the Mountain of Needles oni.
context: number 34,266...\The Original Needle Bean Jam Buns number 34,267...\number 34,267...\number 34,268...\number 34,269...\No one is absent, then.\Today, as I'm sure everyone is looking forward to,\we will be having an outing on the Mountain of Needles oni. response:	Stay sharp as you ascend and come back down oni.
context: The Original Needle Bean Jam Buns number 34,267...\number 34,267...\number 34,268...\number 34,269...\No one is absent, then.\Today, as I'm sure everyone is looking forward to,\we will be having an outing on the Mountain of Needles oni.\Stay sharp as you ascend and come back down oni. response:	Hurry up and get going oni. Come on, come on, step on it-
context: number 34,267...\number 34,268...\number 34,269...\No one is absent, then.\Today, as I'm sure everyone is looking forward to,\we will be having an outing on the Mountain of Needles oni.\Stay sharp as you ascend and come back down oni.\Hurry up and get going oni. Come on, come on, step on it- response:	Geez, is he still playing all by himself oni? That's not fair oni!
context: number 34,268...\number 34,269...\No one is absent, then.\Today, as I'm sure everyone is looking forward to,\we will be having an outing on the Mountain of Needles oni.\Stay sharp as you ascend and come back down oni.\Hurry up and get going oni. Come on, come on, step on it-\Geez, is he still playing all by himself oni? That's not fair oni! response:	How long are you going to keep goofing around oni?
context: number 34,269...\No one is absent, then.\Today, as I'm sure everyone is looking forward to,\we will be having an outing on the Mountain of Needles oni.\Stay sharp as you ascend and come back down oni.\Hurry up and get going oni. Come on, come on, step on it-\Geez, is he still playing all by himself oni? That's not fair oni!\How long are you going to keep goofing around oni? response:	It's my turn now oni.
context: No one is absent, then.\Today, as I'm sure everyone is looking forward to,\we will be having an outing on the Mountain of Needles oni.\Stay sharp as you ascend and come back down oni.\Hurry up and get going oni. Come on, come on, step on it-\Geez, is he still playing all by himself oni? That's not fair oni!\How long are you going to keep goofing around oni?\It's my turn now oni. response:	It's no use. No matter how many times I try,
context: Today, as I'm sure everyone is looking forward to,\we will be having an outing on the Mountain of Needles oni.\Stay sharp as you ascend and come back down oni.\Hurry up and get going oni. Come on, come on, step on it-\Geez, is he still playing all by himself oni? That's not fair oni!\How long are you going to keep goofing around oni?\It's my turn now oni.\It's no use. No matter how many times I try, response:	I can't break through those clouds.
context: we will be having an outing on the Mountain of Needles oni.\Stay sharp as you ascend and come back down oni.\Hurry up and get going oni. Come on, come on, step on it-\Geez, is he still playing all by himself oni? That's not fair oni!\How long are you going to keep goofing around oni?\It's my turn now oni.\It's no use. No matter how many times I try,\I can't break through those clouds. response:	Your head is just too soft oni.
context: Stay sharp as you ascend and come back down oni.\Hurry up and get going oni. Come on, come on, step on it-\Geez, is he still playing all by himself oni? That's not fair oni!\How long are you going to keep goofing around oni?\It's my turn now oni.\It's no use. No matter how many times I try,\I can't break through those clouds.\Your head is just too soft oni. response:	But then, has there ever been anyone who has broken through there?
context: Hurry up and get going oni. Come on, come on, step on it-\Geez, is he still playing all by himself oni? That's not fair oni!\How long are you going to keep goofing around oni?\It's my turn now oni.\It's no use. No matter how many times I try,\I can't break through those clouds.\Your head is just too soft oni.\But then, has there ever been anyone who has broken through there? response:	Not yet oni.
context: Geez, is he still playing all by himself oni? That's not fair oni!\How long are you going to keep goofing around oni?\It's my turn now oni.\It's no use. No matter how many times I try,\I can't break through those clouds.\Your head is just too soft oni.\But then, has there ever been anyone who has broken through there?\Not yet oni. response:	What? Have you tricked me!?
context: How long are you going to keep goofing around oni?\It's my turn now oni.\It's no use. No matter how many times I try,\I can't break through those clouds.\Your head is just too soft oni.\But then, has there ever been anyone who has broken through there?\Not yet oni.\What? Have you tricked me!? response:	Hey, you!
context: It's my turn now oni.\It's no use. No matter how many times I try,\I can't break through those clouds.\Your head is just too soft oni.\But then, has there ever been anyone who has broken through there?\Not yet oni.\What? Have you tricked me!?\Hey, you! response:	So, in a nutshell, you just want to return to the Serpentine Road, is that right oni?
context: It's no use. No matter how many times I try,\I can't break through those clouds.\Your head is just too soft oni.\But then, has there ever been anyone who has broken through there?\Not yet oni.\What? Have you tricked me!?\Hey, you!\So, in a nutshell, you just want to return to the Serpentine Road, is that right oni? response:	If so, there's a very good way to do so oni.
context: I can't break through those clouds.\Your head is just too soft oni.\But then, has there ever been anyone who has broken through there?\Not yet oni.\What? Have you tricked me!?\Hey, you!\So, in a nutshell, you just want to return to the Serpentine Road, is that right oni?\If so, there's a very good way to do so oni. response:	Really? Tell me!
context: Your head is just too soft oni.\But then, has there ever been anyone who has broken through there?\Not yet oni.\What? Have you tricked me!?\Hey, you!\So, in a nutshell, you just want to return to the Serpentine Road, is that right oni?\If so, there's a very good way to do so oni.\Really? Tell me! response:	There's a secret path that nobody else knows about oni.
context: But then, has there ever been anyone who has broken through there?\Not yet oni.\What? Have you tricked me!?\Hey, you!\So, in a nutshell, you just want to return to the Serpentine Road, is that right oni?\If so, there's a very good way to do so oni.\Really? Tell me!\There's a secret path that nobody else knows about oni. response:	Mezu, you can't show him that oni!
context: Not yet oni.\What? Have you tricked me!?\Hey, you!\So, in a nutshell, you just want to return to the Serpentine Road, is that right oni?\If so, there's a very good way to do so oni.\Really? Tell me!\There's a secret path that nobody else knows about oni.\Mezu, you can't show him that oni! response:	Tell me about it! I'm begging you!
context: What? Have you tricked me!?\Hey, you!\So, in a nutshell, you just want to return to the Serpentine Road, is that right oni?\If so, there's a very good way to do so oni.\Really? Tell me!\There's a secret path that nobody else knows about oni.\Mezu, you can't show him that oni!\Tell me about it! I'm begging you! response:	There is one condition oni.
context: Hey, you!\So, in a nutshell, you just want to return to the Serpentine Road, is that right oni?\If so, there's a very good way to do so oni.\Really? Tell me!\There's a secret path that nobody else knows about oni.\Mezu, you can't show him that oni!\Tell me about it! I'm begging you!\There is one condition oni. response:	Condition?
context: So, in a nutshell, you just want to return to the Serpentine Road, is that right oni?\If so, there's a very good way to do so oni.\Really? Tell me!\There's a secret path that nobody else knows about oni.\Mezu, you can't show him that oni!\Tell me about it! I'm begging you!\There is one condition oni.\Condition? response:	I'm going to start running around through Hell here oni.
context: If so, there's a very good way to do so oni.\Really? Tell me!\There's a secret path that nobody else knows about oni.\Mezu, you can't show him that oni!\Tell me about it! I'm begging you!\There is one condition oni.\Condition?\I'm going to start running around through Hell here oni. response:	If you are good enough to be able to catch me,
context: Really? Tell me!\There's a secret path that nobody else knows about oni.\Mezu, you can't show him that oni!\Tell me about it! I'm begging you!\There is one condition oni.\Condition?\I'm going to start running around through Hell here oni.\If you are good enough to be able to catch me, response:	I'll tell you where the secret path is oni.
context: There's a secret path that nobody else knows about oni.\Mezu, you can't show him that oni!\Tell me about it! I'm begging you!\There is one condition oni.\Condition?\I'm going to start running around through Hell here oni.\If you are good enough to be able to catch me,\I'll tell you where the secret path is oni. response:	I'm supposed to chase you?
context: Mezu, you can't show him that oni!\Tell me about it! I'm begging you!\There is one condition oni.\Condition?\I'm going to start running around through Hell here oni.\If you are good enough to be able to catch me,\I'll tell you where the secret path is oni.\I'm supposed to chase you? response:	That's right oni! In this game, you really will have to run like the devil oni!
context: Tell me about it! I'm begging you!\There is one condition oni.\Condition?\I'm going to start running around through Hell here oni.\If you are good enough to be able to catch me,\I'll tell you where the secret path is oni.\I'm supposed to chase you?\That's right oni! In this game, you really will have to run like the devil oni! response:	Over here, over here!
context: There is one condition oni.\Condition?\I'm going to start running around through Hell here oni.\If you are good enough to be able to catch me,\I'll tell you where the secret path is oni.\I'm supposed to chase you?\That's right oni! In this game, you really will have to run like the devil oni!\Over here, over here! response:	I think this should be enough for today.
context: Condition?\I'm going to start running around through Hell here oni.\If you are good enough to be able to catch me,\I'll tell you where the secret path is oni.\I'm supposed to chase you?\That's right oni! In this game, you really will have to run like the devil oni!\Over here, over here!\I think this should be enough for today. response:	Over here, over here!
context: I'm going to start running around through Hell here oni.\If you are good enough to be able to catch me,\I'll tell you where the secret path is oni.\I'm supposed to chase you?\That's right oni! In this game, you really will have to run like the devil oni!\Over here, over here!\I think this should be enough for today.\Over here, over here! response:	Hurry, hurry!
context: If you are good enough to be able to catch me,\I'll tell you where the secret path is oni.\I'm supposed to chase you?\That's right oni! In this game, you really will have to run like the devil oni!\Over here, over here!\I think this should be enough for today.\Over here, over here!\Hurry, hurry! response:	Over here, over here!
context: I'll tell you where the secret path is oni.\I'm supposed to chase you?\That's right oni! In this game, you really will have to run like the devil oni!\Over here, over here!\I think this should be enough for today.\Over here, over here!\Hurry, hurry!\Over here, over here! response:	Are you ready oni?
context: I'm supposed to chase you?\That's right oni! In this game, you really will have to run like the devil oni!\Over here, over here!\I think this should be enough for today.\Over here, over here!\Hurry, hurry!\Over here, over here!\Are you ready oni? response:	Any time is fine by me.
context: That's right oni! In this game, you really will have to run like the devil oni!\Over here, over here!\I think this should be enough for today.\Over here, over here!\Hurry, hurry!\Over here, over here!\Are you ready oni?\Any time is fine by me. response:	I'll just warn you that they say my speed is second only to Great King Yama- sama oni.
context: Over here, over here!\I think this should be enough for today.\Over here, over here!\Hurry, hurry!\Over here, over here!\Are you ready oni?\Any time is fine by me.\I'll just warn you that they say my speed is second only to Great King Yama- sama oni. response:	If you lose...
context: I think this should be enough for today.\Over here, over here!\Hurry, hurry!\Over here, over here!\Are you ready oni?\Any time is fine by me.\I'll just warn you that they say my speed is second only to Great King Yama- sama oni.\If you lose... response:	I know! Come on, let's hurry and do this.
context: Over here, over here!\Hurry, hurry!\Over here, over here!\Are you ready oni?\Any time is fine by me.\I'll just warn you that they say my speed is second only to Great King Yama- sama oni.\If you lose...\I know! Come on, let's hurry and do this. response:	All right then, let's begin oni. Ready!
context: Hurry, hurry!\Over here, over here!\Are you ready oni?\Any time is fine by me.\I'll just warn you that they say my speed is second only to Great King Yama- sama oni.\If you lose...\I know! Come on, let's hurry and do this.\All right then, let's begin oni. Ready! response:	He is fast!
context: Over here, over here!\Are you ready oni?\Any time is fine by me.\I'll just warn you that they say my speed is second only to Great King Yama- sama oni.\If you lose...\I know! Come on, let's hurry and do this.\All right then, let's begin oni. Ready!\He is fast! response:	Wait up! Wait up, wait up!
context: Are you ready oni?\Any time is fine by me.\I'll just warn you that they say my speed is second only to Great King Yama- sama oni.\If you lose...\I know! Come on, let's hurry and do this.\All right then, let's begin oni. Ready!\He is fast!\Wait up! Wait up, wait up! response:	Now he'll just run around until he's all worn out oni.
context: Any time is fine by me.\I'll just warn you that they say my speed is second only to Great King Yama- sama oni.\If you lose...\I know! Come on, let's hurry and do this.\All right then, let's begin oni. Ready!\He is fast!\Wait up! Wait up, wait up!\Now he'll just run around until he's all worn out oni. response:	What a waste. And flesh-and-blood dead people are so rare...
context: I'll just warn you that they say my speed is second only to Great King Yama- sama oni.\If you lose...\I know! Come on, let's hurry and do this.\All right then, let's begin oni. Ready!\He is fast!\Wait up! Wait up, wait up!\Now he'll just run around until he's all worn out oni.\What a waste. And flesh-and-blood dead people are so rare... response:	You're pretty fast, aren't you oni?
context: If you lose...\I know! Come on, let's hurry and do this.\All right then, let's begin oni. Ready!\He is fast!\Wait up! Wait up, wait up!\Now he'll just run around until he's all worn out oni.\What a waste. And flesh-and-blood dead people are so rare...\You're pretty fast, aren't you oni? response:	Yeah, I suppose so.
context: I know! Come on, let's hurry and do this.\All right then, let's begin oni. Ready!\He is fast!\Wait up! Wait up, wait up!\Now he'll just run around until he's all worn out oni.\What a waste. And flesh-and-blood dead people are so rare...\You're pretty fast, aren't you oni?\Yeah, I suppose so. response:	If you weren't, then this wouldn't be any fun oni!
context: All right then, let's begin oni. Ready!\He is fast!\Wait up! Wait up, wait up!\Now he'll just run around until he's all worn out oni.\What a waste. And flesh-and-blood dead people are so rare...\You're pretty fast, aren't you oni?\Yeah, I suppose so.\If you weren't, then this wouldn't be any fun oni! response:	I was so close! And he even dropped his guard, too!
context: He is fast!\Wait up! Wait up, wait up!\Now he'll just run around until he's all worn out oni.\What a waste. And flesh-and-blood dead people are so rare...\You're pretty fast, aren't you oni?\Yeah, I suppose so.\If you weren't, then this wouldn't be any fun oni!\I was so close! And he even dropped his guard, too! response:	That's awesome! All right, then!
context: Wait up! Wait up, wait up!\Now he'll just run around until he's all worn out oni.\What a waste. And flesh-and-blood dead people are so rare...\You're pretty fast, aren't you oni?\Yeah, I suppose so.\If you weren't, then this wouldn't be any fun oni!\I was so close! And he even dropped his guard, too!\That's awesome! All right, then! response:	No matter how tough he may be, he can't come all the way up here oni.
context: Now he'll just run around until he's all worn out oni.\What a waste. And flesh-and-blood dead people are so rare...\You're pretty fast, aren't you oni?\Yeah, I suppose so.\If you weren't, then this wouldn't be any fun oni!\I was so close! And he even dropped his guard, too!\That's awesome! All right, then!\No matter how tough he may be, he can't come all the way up here oni. response:	W- what oni!?
context: What a waste. And flesh-and-blood dead people are so rare...\You're pretty fast, aren't you oni?\Yeah, I suppose so.\If you weren't, then this wouldn't be any fun oni!\I was so close! And he even dropped his guard, too!\That's awesome! All right, then!\No matter how tough he may be, he can't come all the way up here oni.\W- what oni!? response:	Hold it!
context: You're pretty fast, aren't you oni?\Yeah, I suppose so.\If you weren't, then this wouldn't be any fun oni!\I was so close! And he even dropped his guard, too!\That's awesome! All right, then!\No matter how tough he may be, he can't come all the way up here oni.\W- what oni!?\Hold it! response:	Hold it!
context: Yeah, I suppose so.\If you weren't, then this wouldn't be any fun oni!\I was so close! And he even dropped his guard, too!\That's awesome! All right, then!\No matter how tough he may be, he can't come all the way up here oni.\W- what oni!?\Hold it!\Hold it! response:	This is fun oni! How about you live here with us oni?
context: If you weren't, then this wouldn't be any fun oni!\I was so close! And he even dropped his guard, too!\That's awesome! All right, then!\No matter how tough he may be, he can't come all the way up here oni.\W- what oni!?\Hold it!\Hold it!\This is fun oni! How about you live here with us oni? response:	If you do that, we can play tag every day oni!
context: I was so close! And he even dropped his guard, too!\That's awesome! All right, then!\No matter how tough he may be, he can't come all the way up here oni.\W- what oni!?\Hold it!\Hold it!\This is fun oni! How about you live here with us oni?\If you do that, we can play tag every day oni! response:	You're right! But I can't... let that happen!
context: That's awesome! All right, then!\No matter how tough he may be, he can't come all the way up here oni.\W- what oni!?\Hold it!\Hold it!\This is fun oni! How about you live here with us oni?\If you do that, we can play tag every day oni!\You're right! But I can't... let that happen! response:	What's the matter oni? You'll never get to where Kaio- sama is like this oni!
context: No matter how tough he may be, he can't come all the way up here oni.\W- what oni!?\Hold it!\Hold it!\This is fun oni! How about you live here with us oni?\If you do that, we can play tag every day oni!\You're right! But I can't... let that happen!\What's the matter oni? You'll never get to where Kaio- sama is like this oni! response:	Damn, I was so close, too.
context: W- what oni!?\Hold it!\Hold it!\This is fun oni! How about you live here with us oni?\If you do that, we can play tag every day oni!\You're right! But I can't... let that happen!\What's the matter oni? You'll never get to where Kaio- sama is like this oni!\Damn, I was so close, too. response:	He's something else oni.
context: Hold it!\Hold it!\This is fun oni! How about you live here with us oni?\If you do that, we can play tag every day oni!\You're right! But I can't... let that happen!\What's the matter oni? You'll never get to where Kaio- sama is like this oni!\Damn, I was so close, too.\He's something else oni. response:	Hold on a minute, would you? I'm all tired out!
context: Hold it!\This is fun oni! How about you live here with us oni?\If you do that, we can play tag every day oni!\You're right! But I can't... let that happen!\What's the matter oni? You'll never get to where Kaio- sama is like this oni!\Damn, I was so close, too.\He's something else oni.\Hold on a minute, would you? I'm all tired out! response:	You're just a wuss oni...
context: This is fun oni! How about you live here with us oni?\If you do that, we can play tag every day oni!\You're right! But I can't... let that happen!\What's the matter oni? You'll never get to where Kaio- sama is like this oni!\Damn, I was so close, too.\He's something else oni.\Hold on a minute, would you? I'm all tired out!\You're just a wuss oni... response:	Say, let me eat some of the fruit on that tree.
context: If you do that, we can play tag every day oni!\You're right! But I can't... let that happen!\What's the matter oni? You'll never get to where Kaio- sama is like this oni!\Damn, I was so close, too.\He's something else oni.\Hold on a minute, would you? I'm all tired out!\You're just a wuss oni...\Say, let me eat some of the fruit on that tree. response:	No way oni! If you eat one of those precious fruits,
context: You're right! But I can't... let that happen!\What's the matter oni? You'll never get to where Kaio- sama is like this oni!\Damn, I was so close, too.\He's something else oni.\Hold on a minute, would you? I'm all tired out!\You're just a wuss oni...\Say, let me eat some of the fruit on that tree.\No way oni! If you eat one of those precious fruits, response:	they say that you will avoid hunger for a hundred days,
context: What's the matter oni? You'll never get to where Kaio- sama is like this oni!\Damn, I was so close, too.\He's something else oni.\Hold on a minute, would you? I'm all tired out!\You're just a wuss oni...\Say, let me eat some of the fruit on that tree.\No way oni! If you eat one of those precious fruits,\they say that you will avoid hunger for a hundred days, response:	and your power will be bolstered oni.
context: Damn, I was so close, too.\He's something else oni.\Hold on a minute, would you? I'm all tired out!\You're just a wuss oni...\Say, let me eat some of the fruit on that tree.\No way oni! If you eat one of those precious fruits,\they say that you will avoid hunger for a hundred days,\and your power will be bolstered oni. response:	They're that valuable, are they?
context: He's something else oni.\Hold on a minute, would you? I'm all tired out!\You're just a wuss oni...\Say, let me eat some of the fruit on that tree.\No way oni! If you eat one of those precious fruits,\they say that you will avoid hunger for a hundred days,\and your power will be bolstered oni.\They're that valuable, are they? response:	That's right.
context: Hold on a minute, would you? I'm all tired out!\You're just a wuss oni...\Say, let me eat some of the fruit on that tree.\No way oni! If you eat one of those precious fruits,\they say that you will avoid hunger for a hundred days,\and your power will be bolstered oni.\They're that valuable, are they?\That's right. response:	Hey, you! Hold it! If one of those gets eaten,
context: You're just a wuss oni...\Say, let me eat some of the fruit on that tree.\No way oni! If you eat one of those precious fruits,\they say that you will avoid hunger for a hundred days,\and your power will be bolstered oni.\They're that valuable, are they?\That's right.\Hey, you! Hold it! If one of those gets eaten, response:	I'll get chewed out by Great King Yama- sama oni!
context: Say, let me eat some of the fruit on that tree.\No way oni! If you eat one of those precious fruits,\they say that you will avoid hunger for a hundred days,\and your power will be bolstered oni.\They're that valuable, are they?\That's right.\Hey, you! Hold it! If one of those gets eaten,\I'll get chewed out by Great King Yama- sama oni! response:	Come on! Come on, come on! Hold it oni! Come on! Come on!
context: No way oni! If you eat one of those precious fruits,\they say that you will avoid hunger for a hundred days,\and your power will be bolstered oni.\They're that valuable, are they?\That's right.\Hey, you! Hold it! If one of those gets eaten,\I'll get chewed out by Great King Yama- sama oni!\Come on! Come on, come on! Hold it oni! Come on! Come on! response:	Before you know it, the game of chase got switched around oni.
context: they say that you will avoid hunger for a hundred days,\and your power will be bolstered oni.\They're that valuable, are they?\That's right.\Hey, you! Hold it! If one of those gets eaten,\I'll get chewed out by Great King Yama- sama oni!\Come on! Come on, come on! Hold it oni! Come on! Come on!\Before you know it, the game of chase got switched around oni. response:	Here goes! Gotcha! I did it!
context: and your power will be bolstered oni.\They're that valuable, are they?\That's right.\Hey, you! Hold it! If one of those gets eaten,\I'll get chewed out by Great King Yama- sama oni!\Come on! Come on, come on! Hold it oni! Come on! Come on!\Before you know it, the game of chase got switched around oni.\Here goes! Gotcha! I did it! response:	You idiot oni!
context: They're that valuable, are they?\That's right.\Hey, you! Hold it! If one of those gets eaten,\I'll get chewed out by Great King Yama- sama oni!\Come on! Come on, come on! Hold it oni! Come on! Come on!\Before you know it, the game of chase got switched around oni.\Here goes! Gotcha! I did it!\You idiot oni! response:	Okay, you promised. Show me the way out.
context: That's right.\Hey, you! Hold it! If one of those gets eaten,\I'll get chewed out by Great King Yama- sama oni!\Come on! Come on, come on! Hold it oni! Come on! Come on!\Before you know it, the game of chase got switched around oni.\Here goes! Gotcha! I did it!\You idiot oni!\Okay, you promised. Show me the way out. response:	I was off my guard oni. L- let's do it again oni?
context: Hey, you! Hold it! If one of those gets eaten,\I'll get chewed out by Great King Yama- sama oni!\Come on! Come on, come on! Hold it oni! Come on! Come on!\Before you know it, the game of chase got switched around oni.\Here goes! Gotcha! I did it!\You idiot oni!\Okay, you promised. Show me the way out.\I was off my guard oni. L- let's do it again oni? response:	Are you thinking of breaking your promise?
context: I'll get chewed out by Great King Yama- sama oni!\Come on! Come on, come on! Hold it oni! Come on! Come on!\Before you know it, the game of chase got switched around oni.\Here goes! Gotcha! I did it!\You idiot oni!\Okay, you promised. Show me the way out.\I was off my guard oni. L- let's do it again oni?\Are you thinking of breaking your promise? response:	Great King Yama will yank your tongue out!
context: Come on! Come on, come on! Hold it oni! Come on! Come on!\Before you know it, the game of chase got switched around oni.\Here goes! Gotcha! I did it!\You idiot oni!\Okay, you promised. Show me the way out.\I was off my guard oni. L- let's do it again oni?\Are you thinking of breaking your promise?\Great King Yama will yank your tongue out! response:	It's over there oni!
context: Before you know it, the game of chase got switched around oni.\Here goes! Gotcha! I did it!\You idiot oni!\Okay, you promised. Show me the way out.\I was off my guard oni. L- let's do it again oni?\Are you thinking of breaking your promise?\Great King Yama will yank your tongue out!\It's over there oni! response:	If you climb the stairs inside here,
context: Here goes! Gotcha! I did it!\You idiot oni!\Okay, you promised. Show me the way out.\I was off my guard oni. L- let's do it again oni?\Are you thinking of breaking your promise?\Great King Yama will yank your tongue out!\It's over there oni!\If you climb the stairs inside here, response:	you'll return to the Serpentine Road oni.
context: You idiot oni!\Okay, you promised. Show me the way out.\I was off my guard oni. L- let's do it again oni?\Are you thinking of breaking your promise?\Great King Yama will yank your tongue out!\It's over there oni!\If you climb the stairs inside here,\you'll return to the Serpentine Road oni. response:	See you later, then!
context: Okay, you promised. Show me the way out.\I was off my guard oni. L- let's do it again oni?\Are you thinking of breaking your promise?\Great King Yama will yank your tongue out!\It's over there oni!\If you climb the stairs inside here,\you'll return to the Serpentine Road oni.\See you later, then! response:	Get out of here now oni!
context: I was off my guard oni. L- let's do it again oni?\Are you thinking of breaking your promise?\Great King Yama will yank your tongue out!\It's over there oni!\If you climb the stairs inside here,\you'll return to the Serpentine Road oni.\See you later, then!\Get out of here now oni! response:	Sorry about this, but I took one of them.
context: Are you thinking of breaking your promise?\Great King Yama will yank your tongue out!\It's over there oni!\If you climb the stairs inside here,\you'll return to the Serpentine Road oni.\See you later, then!\Get out of here now oni!\Sorry about this, but I took one of them. response:	Because of you, I'm famished!
context: Great King Yama will yank your tongue out!\It's over there oni!\If you climb the stairs inside here,\you'll return to the Serpentine Road oni.\See you later, then!\Get out of here now oni!\Sorry about this, but I took one of them.\Because of you, I'm famished! response:	See you!
context: It's over there oni!\If you climb the stairs inside here,\you'll return to the Serpentine Road oni.\See you later, then!\Get out of here now oni!\Sorry about this, but I took one of them.\Because of you, I'm famished!\See you! response:	You dumb bastard oni!
context: If you climb the stairs inside here,\you'll return to the Serpentine Road oni.\See you later, then!\Get out of here now oni!\Sorry about this, but I took one of them.\Because of you, I'm famished!\See you!\You dumb bastard oni! response:	Don't come here again oni!
context: you'll return to the Serpentine Road oni.\See you later, then!\Get out of here now oni!\Sorry about this, but I took one of them.\Because of you, I'm famished!\See you!\You dumb bastard oni!\Don't come here again oni! response:	He's gone oni.
context: See you later, then!\Get out of here now oni!\Sorry about this, but I took one of them.\Because of you, I'm famished!\See you!\You dumb bastard oni!\Don't come here again oni!\He's gone oni. response:	There's absolutely nothing to be done about him oni.
context: Get out of here now oni!\Sorry about this, but I took one of them.\Because of you, I'm famished!\See you!\You dumb bastard oni!\Don't come here again oni!\He's gone oni.\There's absolutely nothing to be done about him oni. response:	Eh, oh well oni.
context: Sorry about this, but I took one of them.\Because of you, I'm famished!\See you!\You dumb bastard oni!\Don't come here again oni!\He's gone oni.\There's absolutely nothing to be done about him oni.\Eh, oh well oni. response:	That was fun oni...
context: Because of you, I'm famished!\See you!\You dumb bastard oni!\Don't come here again oni!\He's gone oni.\There's absolutely nothing to be done about him oni.\Eh, oh well oni.\That was fun oni... response:	Okay then, to work, to work! There's a mountain of paperwork piled up oni.
context: See you!\You dumb bastard oni!\Don't come here again oni!\He's gone oni.\There's absolutely nothing to be done about him oni.\Eh, oh well oni.\That was fun oni...\Okay then, to work, to work! There's a mountain of paperwork piled up oni. response:	Let's go at it as best we can oni.
context: You dumb bastard oni!\Don't come here again oni!\He's gone oni.\There's absolutely nothing to be done about him oni.\Eh, oh well oni.\That was fun oni...\Okay then, to work, to work! There's a mountain of paperwork piled up oni.\Let's go at it as best we can oni. response:	These stairs sure are long!
context: Don't come here again oni!\He's gone oni.\There's absolutely nothing to be done about him oni.\Eh, oh well oni.\That was fun oni...\Okay then, to work, to work! There's a mountain of paperwork piled up oni.\Let's go at it as best we can oni.\These stairs sure are long! response:	Is that the exit?
context: He's gone oni.\There's absolutely nothing to be done about him oni.\Eh, oh well oni.\That was fun oni...\Okay then, to work, to work! There's a mountain of paperwork piled up oni.\Let's go at it as best we can oni.\These stairs sure are long!\Is that the exit? response:	Huh? It won't move. All right, then!
context: There's absolutely nothing to be done about him oni.\Eh, oh well oni.\That was fun oni...\Okay then, to work, to work! There's a mountain of paperwork piled up oni.\Let's go at it as best we can oni.\These stairs sure are long!\Is that the exit?\Huh? It won't move. All right, then! response:	I made it!
context: Eh, oh well oni.\That was fun oni...\Okay then, to work, to work! There's a mountain of paperwork piled up oni.\Let's go at it as best we can oni.\These stairs sure are long!\Is that the exit?\Huh? It won't move. All right, then!\I made it! response:	What are you doing in there?
context: That was fun oni...\Okay then, to work, to work! There's a mountain of paperwork piled up oni.\Let's go at it as best we can oni.\These stairs sure are long!\Is that the exit?\Huh? It won't move. All right, then!\I made it!\What are you doing in there? response:	G- Great King Yama- sama!?
