context: One Bowl of Tea on Rice response:	One bowl of tea on rice...
context: Why, you...\How dare you be so shameless after eating on my dime?\You're a real lifesaver.\After leaving the orphanage and coming to Yokohama,\I've had nothing to eat and nowhere to sleep.\I thought I'd die of starvation.\You're from an orphanage?\Putting it one way, yes. response:	But they kicked me out.
context: How dare you be so shameless after eating on my dime?\You're a real lifesaver.\After leaving the orphanage and coming to Yokohama,\I've had nothing to eat and nowhere to sleep.\I thought I'd die of starvation.\You're from an orphanage?\Putting it one way, yes.\But they kicked me out. response:	That's some non-profit there.
context: You're a real lifesaver.\After leaving the orphanage and coming to Yokohama,\I've had nothing to eat and nowhere to sleep.\I thought I'd die of starvation.\You're from an orphanage?\Putting it one way, yes.\But they kicked me out.\That's some non-profit there. response:	Hey, Dazai!
context: After leaving the orphanage and coming to Yokohama,\I've had nothing to eat and nowhere to sleep.\I thought I'd die of starvation.\You're from an orphanage?\Putting it one way, yes.\But they kicked me out.\That's some non-profit there.\Hey, Dazai! response:	We're not some philanthropists going around helping brats down on their luck, okay?
context: I've had nothing to eat and nowhere to sleep.\I thought I'd die of starvation.\You're from an orphanage?\Putting it one way, yes.\But they kicked me out.\That's some non-profit there.\Hey, Dazai!\We're not some philanthropists going around helping brats down on their luck, okay? response:	Let's get back to the job at hand.
context: I thought I'd die of starvation.\You're from an orphanage?\Putting it one way, yes.\But they kicked me out.\That's some non-profit there.\Hey, Dazai!\We're not some philanthropists going around helping brats down on their luck, okay?\Let's get back to the job at hand. response:	Ideal
context: You're from an orphanage?\Putting it one way, yes.\But they kicked me out.\That's some non-profit there.\Hey, Dazai!\We're not some philanthropists going around helping brats down on their luck, okay?\Let's get back to the job at hand.\Ideal response:	That reminds me, you said earlier that your current job involves the military.
context: Putting it one way, yes.\But they kicked me out.\That's some non-profit there.\Hey, Dazai!\We're not some philanthropists going around helping brats down on their luck, okay?\Let's get back to the job at hand.\Ideal\That reminds me, you said earlier that your current job involves the military. response:	What is your line of work, exactly?
context: But they kicked me out.\That's some non-profit there.\Hey, Dazai!\We're not some philanthropists going around helping brats down on their luck, okay?\Let's get back to the job at hand.\Ideal\That reminds me, you said earlier that your current job involves the military.\What is your line of work, exactly? response:	Oh, we're just private investigators.
context: That's some non-profit there.\Hey, Dazai!\We're not some philanthropists going around helping brats down on their luck, okay?\Let's get back to the job at hand.\Ideal\That reminds me, you said earlier that your current job involves the military.\What is your line of work, exactly?\Oh, we're just private investigators. response:	Private investigators...?
context: Hey, Dazai!\We're not some philanthropists going around helping brats down on their luck, okay?\Let's get back to the job at hand.\Ideal\That reminds me, you said earlier that your current job involves the military.\What is your line of work, exactly?\Oh, we're just private investigators.\Private investigators...? response:	That's not to say we only handle lost pets and alleged extramarital affairs.
context: We're not some philanthropists going around helping brats down on their luck, okay?\Let's get back to the job at hand.\Ideal\That reminds me, you said earlier that your current job involves the military.\What is your line of work, exactly?\Oh, we're just private investigators.\Private investigators...?\That's not to say we only handle lost pets and alleged extramarital affairs. response:	Perhaps you've heard of the Armed Detective Agency,
context: Let's get back to the job at hand.\Ideal\That reminds me, you said earlier that your current job involves the military.\What is your line of work, exactly?\Oh, we're just private investigators.\Private investigators...?\That's not to say we only handle lost pets and alleged extramarital affairs.\Perhaps you've heard of the Armed Detective Agency, response:	an organization with individuals possessing supernatural powers?
context: Ideal\That reminds me, you said earlier that your current job involves the military.\What is your line of work, exactly?\Oh, we're just private investigators.\Private investigators...?\That's not to say we only handle lost pets and alleged extramarital affairs.\Perhaps you've heard of the Armed Detective Agency,\an organization with individuals possessing supernatural powers? response:	What?
context: That reminds me, you said earlier that your current job involves the military.\What is your line of work, exactly?\Oh, we're just private investigators.\Private investigators...?\That's not to say we only handle lost pets and alleged extramarital affairs.\Perhaps you've heard of the Armed Detective Agency,\an organization with individuals possessing supernatural powers?\What? response:	I've heard of this Armed Detective Agency in rumors...
context: What is your line of work, exactly?\Oh, we're just private investigators.\Private investigators...?\That's not to say we only handle lost pets and alleged extramarital affairs.\Perhaps you've heard of the Armed Detective Agency,\an organization with individuals possessing supernatural powers?\What?\I've heard of this Armed Detective Agency in rumors... response:	Said to be an agency specializing in objectives
context: Oh, we're just private investigators.\Private investigators...?\That's not to say we only handle lost pets and alleged extramarital affairs.\Perhaps you've heard of the Armed Detective Agency,\an organization with individuals possessing supernatural powers?\What?\I've heard of this Armed Detective Agency in rumors...\Said to be an agency specializing in objectives response:	that cannot be entrusted to the likes of the police or the military...
context: Private investigators...?\That's not to say we only handle lost pets and alleged extramarital affairs.\Perhaps you've heard of the Armed Detective Agency,\an organization with individuals possessing supernatural powers?\What?\I've heard of this Armed Detective Agency in rumors...\Said to be an agency specializing in objectives\that cannot be entrusted to the likes of the police or the military... response:	A twilight armed force positioned between the world of night and day...
context: That's not to say we only handle lost pets and alleged extramarital affairs.\Perhaps you've heard of the Armed Detective Agency,\an organization with individuals possessing supernatural powers?\What?\I've heard of this Armed Detective Agency in rumors...\Said to be an agency specializing in objectives\that cannot be entrusted to the likes of the police or the military...\A twilight armed force positioned between the world of night and day... response:	I'm told many from the Agency possess supernatural powers...
context: Perhaps you've heard of the Armed Detective Agency,\an organization with individuals possessing supernatural powers?\What?\I've heard of this Armed Detective Agency in rumors...\Said to be an agency specializing in objectives\that cannot be entrusted to the likes of the police or the military...\A twilight armed force positioned between the world of night and day...\I'm told many from the Agency possess supernatural powers... response:	but does that also apply to these two?
context: an organization with individuals possessing supernatural powers?\What?\I've heard of this Armed Detective Agency in rumors...\Said to be an agency specializing in objectives\that cannot be entrusted to the likes of the police or the military...\A twilight armed force positioned between the world of night and day...\I'm told many from the Agency possess supernatural powers...\but does that also apply to these two? response:	Check out that nice beam up there.
context: What?\I've heard of this Armed Detective Agency in rumors...\Said to be an agency specializing in objectives\that cannot be entrusted to the likes of the police or the military...\A twilight armed force positioned between the world of night and day...\I'm told many from the Agency possess supernatural powers...\but does that also apply to these two?\Check out that nice beam up there. response:	Don't analyze whether you can hang yourself in a random teahouse we just stumbled into!
context: I've heard of this Armed Detective Agency in rumors...\Said to be an agency specializing in objectives\that cannot be entrusted to the likes of the police or the military...\A twilight armed force positioned between the world of night and day...\I'm told many from the Agency possess supernatural powers...\but does that also apply to these two?\Check out that nice beam up there.\Don't analyze whether you can hang yourself in a random teahouse we just stumbled into! response:	Don't get me wrong.
context: Said to be an agency specializing in objectives\that cannot be entrusted to the likes of the police or the military...\A twilight armed force positioned between the world of night and day...\I'm told many from the Agency possess supernatural powers...\but does that also apply to these two?\Check out that nice beam up there.\Don't analyze whether you can hang yourself in a random teahouse we just stumbled into!\Don't get me wrong. response:	We're talking the hanging health method.
context: that cannot be entrusted to the likes of the police or the military...\A twilight armed force positioned between the world of night and day...\I'm told many from the Agency possess supernatural powers...\but does that also apply to these two?\Check out that nice beam up there.\Don't analyze whether you can hang yourself in a random teahouse we just stumbled into!\Don't get me wrong.\We're talking the hanging health method. response:	What's that about?
context: A twilight armed force positioned between the world of night and day...\I'm told many from the Agency possess supernatural powers...\but does that also apply to these two?\Check out that nice beam up there.\Don't analyze whether you can hang yourself in a random teahouse we just stumbled into!\Don't get me wrong.\We're talking the hanging health method.\What's that about? response:	What, you don't know?!
context: I'm told many from the Agency possess supernatural powers...\but does that also apply to these two?\Check out that nice beam up there.\Don't analyze whether you can hang yourself in a random teahouse we just stumbled into!\Don't get me wrong.\We're talking the hanging health method.\What's that about?\What, you don't know?! response:	It's so good for shoulder cramps!
context: but does that also apply to these two?\Check out that nice beam up there.\Don't analyze whether you can hang yourself in a random teahouse we just stumbled into!\Don't get me wrong.\We're talking the hanging health method.\What's that about?\What, you don't know?!\It's so good for shoulder cramps! response:	What?!
context: Check out that nice beam up there.\Don't analyze whether you can hang yourself in a random teahouse we just stumbled into!\Don't get me wrong.\We're talking the hanging health method.\What's that about?\What, you don't know?!\It's so good for shoulder cramps!\What?! response:	Such a thing exists?!
context: Don't analyze whether you can hang yourself in a random teahouse we just stumbled into!\Don't get me wrong.\We're talking the hanging health method.\What's that about?\What, you don't know?!\It's so good for shoulder cramps!\What?!\Such a thing exists?! response:	Hey, write this all down!
context: Don't get me wrong.\We're talking the hanging health method.\What's that about?\What, you don't know?!\It's so good for shoulder cramps!\What?!\Such a thing exists?!\Hey, write this all down! response:	Hanging... health... method...
context: We're talking the hanging health method.\What's that about?\What, you don't know?!\It's so good for shoulder cramps!\What?!\Such a thing exists?!\Hey, write this all down!\Hanging... health... method... response:	I'm messing with you.
context: What's that about?\What, you don't know?!\It's so good for shoulder cramps!\What?!\Such a thing exists?!\Hey, write this all down!\Hanging... health... method...\I'm messing with you. response:	A-Are these two seriously with the Armed Detective Agency?
context: What, you don't know?!\It's so good for shoulder cramps!\What?!\Such a thing exists?!\Hey, write this all down!\Hanging... health... method...\I'm messing with you.\A-Are these two seriously with the Armed Detective Agency? response:	My partner gets himself washed up in a river,
context: It's so good for shoulder cramps!\What?!\Such a thing exists?!\Hey, write this all down!\Hanging... health... method...\I'm messing with you.\A-Are these two seriously with the Armed Detective Agency?\My partner gets himself washed up in a river, response:	and a brat on death's door just stuffs himself with no shame.
context: What?!\Such a thing exists?!\Hey, write this all down!\Hanging... health... method...\I'm messing with you.\A-Are these two seriously with the Armed Detective Agency?\My partner gets himself washed up in a river,\and a brat on death's door just stuffs himself with no shame. response:	My schedule for the day was just perfect,
context: Such a thing exists?!\Hey, write this all down!\Hanging... health... method...\I'm messing with you.\A-Are these two seriously with the Armed Detective Agency?\My partner gets himself washed up in a river,\and a brat on death's door just stuffs himself with no shame.\My schedule for the day was just perfect, response:	but I have to start over from square one!
context: Hey, write this all down!\Hanging... health... method...\I'm messing with you.\A-Are these two seriously with the Armed Detective Agency?\My partner gets himself washed up in a river,\and a brat on death's door just stuffs himself with no shame.\My schedule for the day was just perfect,\but I have to start over from square one! response:	So, about your job today...
context: Hanging... health... method...\I'm messing with you.\A-Are these two seriously with the Armed Detective Agency?\My partner gets himself washed up in a river,\and a brat on death's door just stuffs himself with no shame.\My schedule for the day was just perfect,\but I have to start over from square one!\So, about your job today... response:	I'll ensure that the job will be completed on schedule, if nothing else!
context: I'm messing with you.\A-Are these two seriously with the Armed Detective Agency?\My partner gets himself washed up in a river,\and a brat on death's door just stuffs himself with no shame.\My schedule for the day was just perfect,\but I have to start over from square one!\So, about your job today...\I'll ensure that the job will be completed on schedule, if nothing else! response:	Yeah?!
context: A-Are these two seriously with the Armed Detective Agency?\My partner gets himself washed up in a river,\and a brat on death's door just stuffs himself with no shame.\My schedule for the day was just perfect,\but I have to start over from square one!\So, about your job today...\I'll ensure that the job will be completed on schedule, if nothing else!\Yeah?! response:	Sorry, I shouldn't have asked!
context: My partner gets himself washed up in a river,\and a brat on death's door just stuffs himself with no shame.\My schedule for the day was just perfect,\but I have to start over from square one!\So, about your job today...\I'll ensure that the job will be completed on schedule, if nothing else!\Yeah?!\Sorry, I shouldn't have asked! response:	R-Right, of course your jobs are classified!
context: and a brat on death's door just stuffs himself with no shame.\My schedule for the day was just perfect,\but I have to start over from square one!\So, about your job today...\I'll ensure that the job will be completed on schedule, if nothing else!\Yeah?!\Sorry, I shouldn't have asked!\R-Right, of course your jobs are classified! response:	Today's job doesn't really require secrecy.
context: My schedule for the day was just perfect,\but I have to start over from square one!\So, about your job today...\I'll ensure that the job will be completed on schedule, if nothing else!\Yeah?!\Sorry, I shouldn't have asked!\R-Right, of course your jobs are classified!\Today's job doesn't really require secrecy. response:	We're looking for a certain tiger on behest of the military.
context: but I have to start over from square one!\So, about your job today...\I'll ensure that the job will be completed on schedule, if nothing else!\Yeah?!\Sorry, I shouldn't have asked!\R-Right, of course your jobs are classified!\Today's job doesn't really require secrecy.\We're looking for a certain tiger on behest of the military. response:	A tiger?
context: So, about your job today...\I'll ensure that the job will be completed on schedule, if nothing else!\Yeah?!\Sorry, I shouldn't have asked!\R-Right, of course your jobs are classified!\Today's job doesn't really require secrecy.\We're looking for a certain tiger on behest of the military.\A tiger? response:	A man-eater who's recently appeared in these parts.
context: I'll ensure that the job will be completed on schedule, if nothing else!\Yeah?!\Sorry, I shouldn't have asked!\R-Right, of course your jobs are classified!\Today's job doesn't really require secrecy.\We're looking for a certain tiger on behest of the military.\A tiger?\A man-eater who's recently appeared in these parts. response:	Well, not that we know for sure it's devoured anyone,
context: Yeah?!\Sorry, I shouldn't have asked!\R-Right, of course your jobs are classified!\Today's job doesn't really require secrecy.\We're looking for a certain tiger on behest of the military.\A tiger?\A man-eater who's recently appeared in these parts.\Well, not that we know for sure it's devoured anyone, response:	but it's ransacked warehouses and eaten farm produce and the like,
context: Sorry, I shouldn't have asked!\R-Right, of course your jobs are classified!\Today's job doesn't really require secrecy.\We're looking for a certain tiger on behest of the military.\A tiger?\A man-eater who's recently appeared in these parts.\Well, not that we know for sure it's devoured anyone,\but it's ransacked warehouses and eaten farm produce and the like, response:	doing whatever it wants.
context: R-Right, of course your jobs are classified!\Today's job doesn't really require secrecy.\We're looking for a certain tiger on behest of the military.\A tiger?\A man-eater who's recently appeared in these parts.\Well, not that we know for sure it's devoured anyone,\but it's ransacked warehouses and eaten farm produce and the like,\doing whatever it wants. response:	It's been spotted around here lately.
context: Today's job doesn't really require secrecy.\We're looking for a certain tiger on behest of the military.\A tiger?\A man-eater who's recently appeared in these parts.\Well, not that we know for sure it's devoured anyone,\but it's ransacked warehouses and eaten farm produce and the like,\doing whatever it wants.\It's been spotted around here lately. response:	What's wrong, Atsushi-kun?
context: We're looking for a certain tiger on behest of the military.\A tiger?\A man-eater who's recently appeared in these parts.\Well, not that we know for sure it's devoured anyone,\but it's ransacked warehouses and eaten farm produce and the like,\doing whatever it wants.\It's been spotted around here lately.\What's wrong, Atsushi-kun? response:	G-Good-bye.
context: A tiger?\A man-eater who's recently appeared in these parts.\Well, not that we know for sure it's devoured anyone,\but it's ransacked warehouses and eaten farm produce and the like,\doing whatever it wants.\It's been spotted around here lately.\What's wrong, Atsushi-kun?\G-Good-bye. response:	Wait, brat!
context: A man-eater who's recently appeared in these parts.\Well, not that we know for sure it's devoured anyone,\but it's ransacked warehouses and eaten farm produce and the like,\doing whatever it wants.\It's been spotted around here lately.\What's wrong, Atsushi-kun?\G-Good-bye.\Wait, brat! response:	You know something, don't you?
context: Well, not that we know for sure it's devoured anyone,\but it's ransacked warehouses and eaten farm produce and the like,\doing whatever it wants.\It's been spotted around here lately.\What's wrong, Atsushi-kun?\G-Good-bye.\Wait, brat!\You know something, don't you? response:	You can't.
context: but it's ransacked warehouses and eaten farm produce and the like,\doing whatever it wants.\It's been spotted around here lately.\What's wrong, Atsushi-kun?\G-Good-bye.\Wait, brat!\You know something, don't you?\You can't. response:	No one can take it on!
context: doing whatever it wants.\It's been spotted around here lately.\What's wrong, Atsushi-kun?\G-Good-bye.\Wait, brat!\You know something, don't you?\You can't.\No one can take it on! response:	You know the man-eating tiger?
context: It's been spotted around here lately.\What's wrong, Atsushi-kun?\G-Good-bye.\Wait, brat!\You know something, don't you?\You can't.\No one can take it on!\You know the man-eating tiger? response:	It's after me.
context: What's wrong, Atsushi-kun?\G-Good-bye.\Wait, brat!\You know something, don't you?\You can't.\No one can take it on!\You know the man-eating tiger?\It's after me. response:	It almost killed me!
context: G-Good-bye.\Wait, brat!\You know something, don't you?\You can't.\No one can take it on!\You know the man-eating tiger?\It's after me.\It almost killed me! response:	If it's been seen around here,
context: Wait, brat!\You know something, don't you?\You can't.\No one can take it on!\You know the man-eating tiger?\It's after me.\It almost killed me!\If it's been seen around here, response:	I have to run, now!
context: You know something, don't you?\You can't.\No one can take it on!\You know the man-eating tiger?\It's after me.\It almost killed me!\If it's been seen around here,\I have to run, now! response:	Hey, brat!
context: You can't.\No one can take it on!\You know the man-eating tiger?\It's after me.\It almost killed me!\If it's been seen around here,\I have to run, now!\Hey, brat! response:	You'll either pay for the food with your arm or by telling us everything.
context: No one can take it on!\You know the man-eating tiger?\It's after me.\It almost killed me!\If it's been seen around here,\I have to run, now!\Hey, brat!\You'll either pay for the food with your arm or by telling us everything. response:	Now, now, Kunikida-kun.
context: You know the man-eating tiger?\It's after me.\It almost killed me!\If it's been seen around here,\I have to run, now!\Hey, brat!\You'll either pay for the food with your arm or by telling us everything.\Now, now, Kunikida-kun. response:	Whenever you try to ask questions,
context: It's after me.\It almost killed me!\If it's been seen around here,\I have to run, now!\Hey, brat!\You'll either pay for the food with your arm or by telling us everything.\Now, now, Kunikida-kun.\Whenever you try to ask questions, response:	it becomes an interrogation.
context: It almost killed me!\If it's been seen around here,\I have to run, now!\Hey, brat!\You'll either pay for the food with your arm or by telling us everything.\Now, now, Kunikida-kun.\Whenever you try to ask questions,\it becomes an interrogation. response:	The CEO's been talking to you about this.
context: If it's been seen around here,\I have to run, now!\Hey, brat!\You'll either pay for the food with your arm or by telling us everything.\Now, now, Kunikida-kun.\Whenever you try to ask questions,\it becomes an interrogation.\The CEO's been talking to you about this. response:	And...
context: I have to run, now!\Hey, brat!\You'll either pay for the food with your arm or by telling us everything.\Now, now, Kunikida-kun.\Whenever you try to ask questions,\it becomes an interrogation.\The CEO's been talking to you about this.\And... response:	what do you know about this tiger?
context: Hey, brat!\You'll either pay for the food with your arm or by telling us everything.\Now, now, Kunikida-kun.\Whenever you try to ask questions,\it becomes an interrogation.\The CEO's been talking to you about this.\And...\what do you know about this tiger? response:	My orphanage was trashed by that tiger.
context: You'll either pay for the food with your arm or by telling us everything.\Now, now, Kunikida-kun.\Whenever you try to ask questions,\it becomes an interrogation.\The CEO's been talking to you about this.\And...\what do you know about this tiger?\My orphanage was trashed by that tiger. response:	It ravaged our fields,
context: Now, now, Kunikida-kun.\Whenever you try to ask questions,\it becomes an interrogation.\The CEO's been talking to you about this.\And...\what do you know about this tiger?\My orphanage was trashed by that tiger.\It ravaged our fields, response:	it ravaged our chicken coop,
context: Whenever you try to ask questions,\it becomes an interrogation.\The CEO's been talking to you about this.\And...\what do you know about this tiger?\My orphanage was trashed by that tiger.\It ravaged our fields,\it ravaged our chicken coop, response:	and even our warehouse.
context: it becomes an interrogation.\The CEO's been talking to you about this.\And...\what do you know about this tiger?\My orphanage was trashed by that tiger.\It ravaged our fields,\it ravaged our chicken coop,\and even our warehouse. response:	No one died, sure,
context: The CEO's been talking to you about this.\And...\what do you know about this tiger?\My orphanage was trashed by that tiger.\It ravaged our fields,\it ravaged our chicken coop,\and even our warehouse.\No one died, sure, response:	but the orphanage was already on a shoestring budget.
context: And...\what do you know about this tiger?\My orphanage was trashed by that tiger.\It ravaged our fields,\it ravaged our chicken coop,\and even our warehouse.\No one died, sure,\but the orphanage was already on a shoestring budget. response:	I got kicked out so that they had one less mouth to feed.
context: what do you know about this tiger?\My orphanage was trashed by that tiger.\It ravaged our fields,\it ravaged our chicken coop,\and even our warehouse.\No one died, sure,\but the orphanage was already on a shoestring budget.\I got kicked out so that they had one less mouth to feed. response:	Get out, you good-for-nothing!
context: My orphanage was trashed by that tiger.\It ravaged our fields,\it ravaged our chicken coop,\and even our warehouse.\No one died, sure,\but the orphanage was already on a shoestring budget.\I got kicked out so that they had one less mouth to feed.\Get out, you good-for-nothing! response:	The world would be a better place if you'd just die in a ditch somewhere!
context: It ravaged our fields,\it ravaged our chicken coop,\and even our warehouse.\No one died, sure,\but the orphanage was already on a shoestring budget.\I got kicked out so that they had one less mouth to feed.\Get out, you good-for-nothing!\The world would be a better place if you'd just die in a ditch somewhere! response:	Why me? I didn't do anything...
context: it ravaged our chicken coop,\and even our warehouse.\No one died, sure,\but the orphanage was already on a shoestring budget.\I got kicked out so that they had one less mouth to feed.\Get out, you good-for-nothing!\The world would be a better place if you'd just die in a ditch somewhere!\Why me? I didn't do anything... response:	We don't need worthless louts!
context: and even our warehouse.\No one died, sure,\but the orphanage was already on a shoestring budget.\I got kicked out so that they had one less mouth to feed.\Get out, you good-for-nothing!\The world would be a better place if you'd just die in a ditch somewhere!\Why me? I didn't do anything...\We don't need worthless louts! response:	You'll never find a place where you belong!
context: No one died, sure,\but the orphanage was already on a shoestring budget.\I got kicked out so that they had one less mouth to feed.\Get out, you good-for-nothing!\The world would be a better place if you'd just die in a ditch somewhere!\Why me? I didn't do anything...\We don't need worthless louts!\You'll never find a place where you belong! response:	Just go! I hope you rot in hell!
context: but the orphanage was already on a shoestring budget.\I got kicked out so that they had one less mouth to feed.\Get out, you good-for-nothing!\The world would be a better place if you'd just die in a ditch somewhere!\Why me? I didn't do anything...\We don't need worthless louts!\You'll never find a place where you belong!\Just go! I hope you rot in hell! response:	Well, that's tragic.
context: I got kicked out so that they had one less mouth to feed.\Get out, you good-for-nothing!\The world would be a better place if you'd just die in a ditch somewhere!\Why me? I didn't do anything...\We don't need worthless louts!\You'll never find a place where you belong!\Just go! I hope you rot in hell!\Well, that's tragic. response:	So, boy, what's this talk about the tiger almost killing you?
context: Get out, you good-for-nothing!\The world would be a better place if you'd just die in a ditch somewhere!\Why me? I didn't do anything...\We don't need worthless louts!\You'll never find a place where you belong!\Just go! I hope you rot in hell!\Well, that's tragic.\So, boy, what's this talk about the tiger almost killing you? response:	The man-eater always shows up wherever I go.
context: The world would be a better place if you'd just die in a ditch somewhere!\Why me? I didn't do anything...\We don't need worthless louts!\You'll never find a place where you belong!\Just go! I hope you rot in hell!\Well, that's tragic.\So, boy, what's this talk about the tiger almost killing you?\The man-eater always shows up wherever I go. response:	Just a while ago, when I was walking around Tsurumi...
context: Why me? I didn't do anything...\We don't need worthless louts!\You'll never find a place where you belong!\Just go! I hope you rot in hell!\Well, that's tragic.\So, boy, what's this talk about the tiger almost killing you?\The man-eater always shows up wherever I go.\Just a while ago, when I was walking around Tsurumi... response:	It's a tiger!
context: We don't need worthless louts!\You'll never find a place where you belong!\Just go! I hope you rot in hell!\Well, that's tragic.\So, boy, what's this talk about the tiger almost killing you?\The man-eater always shows up wherever I go.\Just a while ago, when I was walking around Tsurumi...\It's a tiger! response:	There's a tiger!
context: You'll never find a place where you belong!\Just go! I hope you rot in hell!\Well, that's tragic.\So, boy, what's this talk about the tiger almost killing you?\The man-eater always shows up wherever I go.\Just a while ago, when I was walking around Tsurumi...\It's a tiger!\There's a tiger! response:	I'd seen it out of the corner of my eyes many times,
context: Just go! I hope you rot in hell!\Well, that's tragic.\So, boy, what's this talk about the tiger almost killing you?\The man-eater always shows up wherever I go.\Just a while ago, when I was walking around Tsurumi...\It's a tiger!\There's a tiger!\I'd seen it out of the corner of my eyes many times, response:	starting two weeks before I was chased out of the orphanage.
context: Well, that's tragic.\So, boy, what's this talk about the tiger almost killing you?\The man-eater always shows up wherever I go.\Just a while ago, when I was walking around Tsurumi...\It's a tiger!\There's a tiger!\I'd seen it out of the corner of my eyes many times,\starting two weeks before I was chased out of the orphanage. response:	I'm sure it's come all the way to the city in search of me.
context: So, boy, what's this talk about the tiger almost killing you?\The man-eater always shows up wherever I go.\Just a while ago, when I was walking around Tsurumi...\It's a tiger!\There's a tiger!\I'd seen it out of the corner of my eyes many times,\starting two weeks before I was chased out of the orphanage.\I'm sure it's come all the way to the city in search of me. response:	When was the last time you saw the tiger?
context: The man-eater always shows up wherever I go.\Just a while ago, when I was walking around Tsurumi...\It's a tiger!\There's a tiger!\I'd seen it out of the corner of my eyes many times,\starting two weeks before I was chased out of the orphanage.\I'm sure it's come all the way to the city in search of me.\When was the last time you saw the tiger? response:	I think I saw it around Tsurumi
context: Just a while ago, when I was walking around Tsurumi...\It's a tiger!\There's a tiger!\I'd seen it out of the corner of my eyes many times,\starting two weeks before I was chased out of the orphanage.\I'm sure it's come all the way to the city in search of me.\When was the last time you saw the tiger?\I think I saw it around Tsurumi response:	about four days ago.
context: It's a tiger!\There's a tiger!\I'd seen it out of the corner of my eyes many times,\starting two weeks before I was chased out of the orphanage.\I'm sure it's come all the way to the city in search of me.\When was the last time you saw the tiger?\I think I saw it around Tsurumi\about four days ago. response:	It's true that its antics have been focused here for the past two weeks.
context: There's a tiger!\I'd seen it out of the corner of my eyes many times,\starting two weeks before I was chased out of the orphanage.\I'm sure it's come all the way to the city in search of me.\When was the last time you saw the tiger?\I think I saw it around Tsurumi\about four days ago.\It's true that its antics have been focused here for the past two weeks. response:	In addition, it was sighted around Tsurumi four days ago.
context: I'd seen it out of the corner of my eyes many times,\starting two weeks before I was chased out of the orphanage.\I'm sure it's come all the way to the city in search of me.\When was the last time you saw the tiger?\I think I saw it around Tsurumi\about four days ago.\It's true that its antics have been focused here for the past two weeks.\In addition, it was sighted around Tsurumi four days ago. response:	Atsushi-kun, are you free?
context: starting two weeks before I was chased out of the orphanage.\I'm sure it's come all the way to the city in search of me.\When was the last time you saw the tiger?\I think I saw it around Tsurumi\about four days ago.\It's true that its antics have been focused here for the past two weeks.\In addition, it was sighted around Tsurumi four days ago.\Atsushi-kun, are you free? response:	I have a really bad feeling about this...
context: I'm sure it's come all the way to the city in search of me.\When was the last time you saw the tiger?\I think I saw it around Tsurumi\about four days ago.\It's true that its antics have been focused here for the past two weeks.\In addition, it was sighted around Tsurumi four days ago.\Atsushi-kun, are you free?\I have a really bad feeling about this... response:	You being the man-eater's target presents an excellent opportunity.
context: When was the last time you saw the tiger?\I think I saw it around Tsurumi\about four days ago.\It's true that its antics have been focused here for the past two weeks.\In addition, it was sighted around Tsurumi four days ago.\Atsushi-kun, are you free?\I have a really bad feeling about this...\You being the man-eater's target presents an excellent opportunity. response:	Huh?
context: I think I saw it around Tsurumi\about four days ago.\It's true that its antics have been focused here for the past two weeks.\In addition, it was sighted around Tsurumi four days ago.\Atsushi-kun, are you free?\I have a really bad feeling about this...\You being the man-eater's target presents an excellent opportunity.\Huh? response:	Please help us find the tiger.
context: about four days ago.\It's true that its antics have been focused here for the past two weeks.\In addition, it was sighted around Tsurumi four days ago.\Atsushi-kun, are you free?\I have a really bad feeling about this...\You being the man-eater's target presents an excellent opportunity.\Huh?\Please help us find the tiger. response:	No way!
context: It's true that its antics have been focused here for the past two weeks.\In addition, it was sighted around Tsurumi four days ago.\Atsushi-kun, are you free?\I have a really bad feeling about this...\You being the man-eater's target presents an excellent opportunity.\Huh?\Please help us find the tiger.\No way! response:	Kunikida-kun, please go back to the Agency and give this to the president.
context: In addition, it was sighted around Tsurumi four days ago.\Atsushi-kun, are you free?\I have a really bad feeling about this...\You being the man-eater's target presents an excellent opportunity.\Huh?\Please help us find the tiger.\No way!\Kunikida-kun, please go back to the Agency and give this to the president. response:	Hey, don't tell me you plan to catch the tiger all alone with the two of you?
context: Atsushi-kun, are you free?\I have a really bad feeling about this...\You being the man-eater's target presents an excellent opportunity.\Huh?\Please help us find the tiger.\No way!\Kunikida-kun, please go back to the Agency and give this to the president.\Hey, don't tell me you plan to catch the tiger all alone with the two of you? response:	We should first confirm whether his information is accurate.
context: I have a really bad feeling about this...\You being the man-eater's target presents an excellent opportunity.\Huh?\Please help us find the tiger.\No way!\Kunikida-kun, please go back to the Agency and give this to the president.\Hey, don't tell me you plan to catch the tiger all alone with the two of you?\We should first confirm whether his information is accurate. response:	It's fine.
context: You being the man-eater's target presents an excellent opportunity.\Huh?\Please help us find the tiger.\No way!\Kunikida-kun, please go back to the Agency and give this to the president.\Hey, don't tell me you plan to catch the tiger all alone with the two of you?\We should first confirm whether his information is accurate.\It's fine. response:	I'm not doing this, okay?!
context: Huh?\Please help us find the tiger.\No way!\Kunikida-kun, please go back to the Agency and give this to the president.\Hey, don't tell me you plan to catch the tiger all alone with the two of you?\We should first confirm whether his information is accurate.\It's fine.\I'm not doing this, okay?! response:	This means you're going to use me as bait, right?
context: Please help us find the tiger.\No way!\Kunikida-kun, please go back to the Agency and give this to the president.\Hey, don't tell me you plan to catch the tiger all alone with the two of you?\We should first confirm whether his information is accurate.\It's fine.\I'm not doing this, okay?!\This means you're going to use me as bait, right? response:	Who in their right mind would agree to that
