context: Koumei Private High School response:	List of Accepted Candidates General Studies (Late Exams)
context: I will, too.\What about track?\I want to continue, but...\Don't worry, I'll go.\I can make enough for train fare if I work, like, three times a week.\But...\Two hours each way?\Yeah. response:	I'll take the first train.
context: What about track?\I want to continue, but...\Don't worry, I'll go.\I can make enough for train fare if I work, like, three times a week.\But...\Two hours each way?\Yeah.\I'll take the first train. response:	So we can have more time.
context: I want to continue, but...\Don't worry, I'll go.\I can make enough for train fare if I work, like, three times a week.\But...\Two hours each way?\Yeah.\I'll take the first train.\So we can have more time. response:	It'll be the same as always.
context: Don't worry, I'll go.\I can make enough for train fare if I work, like, three times a week.\But...\Two hours each way?\Yeah.\I'll take the first train.\So we can have more time.\It'll be the same as always. response:	We have LINE, too.
context: I can make enough for train fare if I work, like, three times a week.\But...\Two hours each way?\Yeah.\I'll take the first train.\So we can have more time.\It'll be the same as always.\We have LINE, too. response:	But...
context: But...\Two hours each way?\Yeah.\I'll take the first train.\So we can have more time.\It'll be the same as always.\We have LINE, too.\But... response:	You're taking on the whole burden.
context: Two hours each way?\Yeah.\I'll take the first train.\So we can have more time.\It'll be the same as always.\We have LINE, too.\But...\You're taking on the whole burden. response:	It'll be fine.
context: Yeah.\I'll take the first train.\So we can have more time.\It'll be the same as always.\We have LINE, too.\But...\You're taking on the whole burden.\It'll be fine. response:	I have money saved up, too.
context: I'll take the first train.\So we can have more time.\It'll be the same as always.\We have LINE, too.\But...\You're taking on the whole burden.\It'll be fine.\I have money saved up, too. response:	Don't worry about it.
context: So we can have more time.\It'll be the same as always.\We have LINE, too.\But...\You're taking on the whole burden.\It'll be fine.\I have money saved up, too.\Don't worry about it. response:	That's not it!
context: It'll be the same as always.\We have LINE, too.\But...\You're taking on the whole burden.\It'll be fine.\I have money saved up, too.\Don't worry about it.\That's not it! response:	Akane-chan...
context: We have LINE, too.\But...\You're taking on the whole burden.\It'll be fine.\I have money saved up, too.\Don't worry about it.\That's not it!\Akane-chan... response:	I want to ask you something.
context: But...\You're taking on the whole burden.\It'll be fine.\I have money saved up, too.\Don't worry about it.\That's not it!\Akane-chan...\I want to ask you something. response:	Okay.
context: You're taking on the whole burden.\It'll be fine.\I have money saved up, too.\Don't worry about it.\That's not it!\Akane-chan...\I want to ask you something.\Okay. response:	Did she confess to you?
context: It'll be fine.\I have money saved up, too.\Don't worry about it.\That's not it!\Akane-chan...\I want to ask you something.\Okay.\Did she confess to you? response:	Chinatsu told me.
context: I have money saved up, too.\Don't worry about it.\That's not it!\Akane-chan...\I want to ask you something.\Okay.\Did she confess to you?\Chinatsu told me. response:	She did.
context: Don't worry about it.\That's not it!\Akane-chan...\I want to ask you something.\Okay.\Did she confess to you?\Chinatsu told me.\She did. response:	Why?
context: That's not it!\Akane-chan...\I want to ask you something.\Okay.\Did she confess to you?\Chinatsu told me.\She did.\Why? response:	Why didn't you tell me?
context: Akane-chan...\I want to ask you something.\Okay.\Did she confess to you?\Chinatsu told me.\She did.\Why?\Why didn't you tell me? response:	Well...
context: I want to ask you something.\Okay.\Did she confess to you?\Chinatsu told me.\She did.\Why?\Why didn't you tell me?\Well... response:	I turned her down.
context: Okay.\Did she confess to you?\Chinatsu told me.\She did.\Why?\Why didn't you tell me?\Well...\I turned her down. response:	Shouldn't you tell me that?
context: Did she confess to you?\Chinatsu told me.\She did.\Why?\Why didn't you tell me?\Well...\I turned her down.\Shouldn't you tell me that? response:	I get worried.
context: Chinatsu told me.\She did.\Why?\Why didn't you tell me?\Well...\I turned her down.\Shouldn't you tell me that?\I get worried. response:	What's wrong?
context: She did.\Why?\Why didn't you tell me?\Well...\I turned her down.\Shouldn't you tell me that?\I get worried.\What's wrong? response:	I don't know, but...
context: Why?\Why didn't you tell me?\Well...\I turned her down.\Shouldn't you tell me that?\I get worried.\What's wrong?\I don't know, but... response:	Why?
context: Why didn't you tell me?\Well...\I turned her down.\Shouldn't you tell me that?\I get worried.\What's wrong?\I don't know, but...\Why? response:	I keep getting anxious.
context: Well...\I turned her down.\Shouldn't you tell me that?\I get worried.\What's wrong?\I don't know, but...\Why?\I keep getting anxious. response:	So anxious...
context: I turned her down.\Shouldn't you tell me that?\I get worried.\What's wrong?\I don't know, but...\Why?\I keep getting anxious.\So anxious... response:	I keep causing trouble for you.
context: Shouldn't you tell me that?\I get worried.\What's wrong?\I don't know, but...\Why?\I keep getting anxious.\So anxious...\I keep causing trouble for you. response:	That's what hurts me the most.
context: I get worried.\What's wrong?\I don't know, but...\Why?\I keep getting anxious.\So anxious...\I keep causing trouble for you.\That's what hurts me the most. response:	What should I do?
context: What's wrong?\I don't know, but...\Why?\I keep getting anxious.\So anxious...\I keep causing trouble for you.\That's what hurts me the most.\What should I do? response:	Honey, can I throw this out?
context: I don't know, but...\Why?\I keep getting anxious.\So anxious...\I keep causing trouble for you.\That's what hurts me the most.\What should I do?\Honey, can I throw this out? response:	What is this?
context: Why?\I keep getting anxious.\So anxious...\I keep causing trouble for you.\That's what hurts me the most.\What should I do?\Honey, can I throw this out?\What is this? response:	Don't get in the way of the movers.
context: I keep getting anxious.\So anxious...\I keep causing trouble for you.\That's what hurts me the most.\What should I do?\Honey, can I throw this out?\What is this?\Don't get in the way of the movers. response:	Mom, the movers are calling you.
context: So anxious...\I keep causing trouble for you.\That's what hurts me the most.\What should I do?\Honey, can I throw this out?\What is this?\Don't get in the way of the movers.\Mom, the movers are calling you. response:	Tell Dad.
context: I keep causing trouble for you.\That's what hurts me the most.\What should I do?\Honey, can I throw this out?\What is this?\Don't get in the way of the movers.\Mom, the movers are calling you.\Tell Dad. response:	Akane, do you have everything?
context: That's what hurts me the most.\What should I do?\Honey, can I throw this out?\What is this?\Don't get in the way of the movers.\Mom, the movers are calling you.\Tell Dad.\Akane, do you have everything? response:	Yeah.
context: What should I do?\Honey, can I throw this out?\What is this?\Don't get in the way of the movers.\Mom, the movers are calling you.\Tell Dad.\Akane, do you have everything?\Yeah. response:	That's everything.
context: Honey, can I throw this out?\What is this?\Don't get in the way of the movers.\Mom, the movers are calling you.\Tell Dad.\Akane, do you have everything?\Yeah.\That's everything. response:	Crap, my nose hurts.
context: What is this?\Don't get in the way of the movers.\Mom, the movers are calling you.\Tell Dad.\Akane, do you have everything?\Yeah.\That's everything.\Crap, my nose hurts. response:	Got it.
context: Don't get in the way of the movers.\Mom, the movers are calling you.\Tell Dad.\Akane, do you have everything?\Yeah.\That's everything.\Crap, my nose hurts.\Got it. response:	Thanks for everything, guys.
context: Mom, the movers are calling you.\Tell Dad.\Akane, do you have everything?\Yeah.\That's everything.\Crap, my nose hurts.\Got it.\Thanks for everything, guys. response:	I'm going to be so lonely.
context: Tell Dad.\Akane, do you have everything?\Yeah.\That's everything.\Crap, my nose hurts.\Got it.\Thanks for everything, guys.\I'm going to be so lonely. response:	Not again...
context: Akane, do you have everything?\Yeah.\That's everything.\Crap, my nose hurts.\Got it.\Thanks for everything, guys.\I'm going to be so lonely.\Not again... response:	Stop it, would you?
context: Yeah.\That's everything.\Crap, my nose hurts.\Got it.\Thanks for everything, guys.\I'm going to be so lonely.\Not again...\Stop it, would you? response:	Come on, please!
context: That's everything.\Crap, my nose hurts.\Got it.\Thanks for everything, guys.\I'm going to be so lonely.\Not again...\Stop it, would you?\Come on, please! response:	See you.
context: Crap, my nose hurts.\Got it.\Thanks for everything, guys.\I'm going to be so lonely.\Not again...\Stop it, would you?\Come on, please!\See you. response:	Yeah.
context: Got it.\Thanks for everything, guys.\I'm going to be so lonely.\Not again...\Stop it, would you?\Come on, please!\See you.\Yeah. response:	Yeah.
context: Thanks for everything, guys.\I'm going to be so lonely.\Not again...\Stop it, would you?\Come on, please!\See you.\Yeah.\Yeah. response:	Akane!
context: I'm going to be so lonely.\Not again...\Stop it, would you?\Come on, please!\See you.\Yeah.\Yeah.\Akane! response:	Want to catch the train later?
context: Not again...\Stop it, would you?\Come on, please!\See you.\Yeah.\Yeah.\Akane!\Want to catch the train later? response:	Can I?
context: Stop it, would you?\Come on, please!\See you.\Yeah.\Yeah.\Akane!\Want to catch the train later?\Can I? response:	Your friends are here.
context: Come on, please!\See you.\Yeah.\Yeah.\Akane!\Want to catch the train later?\Can I?\Your friends are here. response:	Don't you want more time to talk with them?
context: See you.\Yeah.\Yeah.\Akane!\Want to catch the train later?\Can I?\Your friends are here.\Don't you want more time to talk with them? response:	Yeah.
context: Yeah.\Yeah.\Akane!\Want to catch the train later?\Can I?\Your friends are here.\Don't you want more time to talk with them?\Yeah. response:	Hey, Akane.
context: Yeah.\Akane!\Want to catch the train later?\Can I?\Your friends are here.\Don't you want more time to talk with them?\Yeah.\Hey, Akane. response:	What about Azumi-kun?
context: Akane!\Want to catch the train later?\Can I?\Your friends are here.\Don't you want more time to talk with them?\Yeah.\Hey, Akane.\What about Azumi-kun? response:	Oh, yeah, well...
context: Want to catch the train later?\Can I?\Your friends are here.\Don't you want more time to talk with them?\Yeah.\Hey, Akane.\What about Azumi-kun?\Oh, yeah, well... response:	Oh, wait, hang on.
context: Can I?\Your friends are here.\Don't you want more time to talk with them?\Yeah.\Hey, Akane.\What about Azumi-kun?\Oh, yeah, well...\Oh, wait, hang on. response:	Look.
context: Your friends are here.\Don't you want more time to talk with them?\Yeah.\Hey, Akane.\What about Azumi-kun?\Oh, yeah, well...\Oh, wait, hang on.\Look. response:	I found this.
context: Don't you want more time to talk with them?\Yeah.\Hey, Akane.\What about Azumi-kun?\Oh, yeah, well...\Oh, wait, hang on.\Look.\I found this. response:	She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran.
context: Yeah.\Hey, Akane.\What about Azumi-kun?\Oh, yeah, well...\Oh, wait, hang on.\Look.\I found this.\She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran. response:	I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper.
context: Hey, Akane.\What about Azumi-kun?\Oh, yeah, well...\Oh, wait, hang on.\Look.\I found this.\She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran.\I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper. response:	My work never got published, but you said I was awesome anyway.
context: What about Azumi-kun?\Oh, yeah, well...\Oh, wait, hang on.\Look.\I found this.\She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran.\I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper.\My work never got published, but you said I was awesome anyway. response:	Isn't this...
context: Oh, yeah, well...\Oh, wait, hang on.\Look.\I found this.\She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran.\I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper.\My work never got published, but you said I was awesome anyway.\Isn't this... response:	The first day we met at the shrine, I was so nervous that I couldn't say a word.
context: Oh, wait, hang on.\Look.\I found this.\She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran.\I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper.\My work never got published, but you said I was awesome anyway.\Isn't this...\The first day we met at the shrine, I was so nervous that I couldn't say a word. response:	About me and Kotarou-kun?
context: Look.\I found this.\She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran.\I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper.\My work never got published, but you said I was awesome anyway.\Isn't this...\The first day we met at the shrine, I was so nervous that I couldn't say a word.\About me and Kotarou-kun? response:	End
context: I found this.\She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran.\I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper.\My work never got published, but you said I was awesome anyway.\Isn't this...\The first day we met at the shrine, I was so nervous that I couldn't say a word.\About me and Kotarou-kun?\End response:	Posting story. Continue?
context: She was a 100-meter sprinter. When she set a new personal record, I was so ecstatic that I could have been the one who ran.\I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper.\My work never got published, but you said I was awesome anyway.\Isn't this...\The first day we met at the shrine, I was so nervous that I couldn't say a word.\About me and Kotarou-kun?\End\Posting story. Continue? response:	Story posted.
context: I'm the president of the literature club. I would watch her run along the track as I ran my pen along paper.\My work never got published, but you said I was awesome anyway.\Isn't this...\The first day we met at the shrine, I was so nervous that I couldn't say a word.\About me and Kotarou-kun?\End\Posting story. Continue?\Story posted. response:	Kotarou-kun.
context: My work never got published, but you said I was awesome anyway.\Isn't this...\The first day we met at the shrine, I was so nervous that I couldn't say a word.\About me and Kotarou-kun?\End\Posting story. Continue?\Story posted.\Kotarou-kun. response:	Isn't the move today?
context: Isn't this...\The first day we met at the shrine, I was so nervous that I couldn't say a word.\About me and Kotarou-kun?\End\Posting story. Continue?\Story posted.\Kotarou-kun.\Isn't the move today? response:	Oh, yeah, I read your story online.
context: The first day we met at the shrine, I was so nervous that I couldn't say a word.\About me and Kotarou-kun?\End\Posting story. Continue?\Story posted.\Kotarou-kun.\Isn't the move today?\Oh, yeah, I read your story online. response:	Uh...
context: About me and Kotarou-kun?\End\Posting story. Continue?\Story posted.\Kotarou-kun.\Isn't the move today?\Oh, yeah, I read your story online.\Uh... response:	Hey, it's updated.
context: End\Posting story. Continue?\Story posted.\Kotarou-kun.\Isn't the move today?\Oh, yeah, I read your story online.\Uh...\Hey, it's updated. response:	Yeah.
context: Posting story. Continue?\Story posted.\Kotarou-kun.\Isn't the move today?\Oh, yeah, I read your story online.\Uh...\Hey, it's updated.\Yeah. response:	You've got quite a few comments.
context: Story posted.\Kotarou-kun.\Isn't the move today?\Oh, yeah, I read your story online.\Uh...\Hey, it's updated.\Yeah.\You've got quite a few comments. response:	See, look.
context: Kotarou-kun.\Isn't the move today?\Oh, yeah, I read your story online.\Uh...\Hey, it's updated.\Yeah.\You've got quite a few comments.\See, look. response:	Did you not notice?
context: Isn't the move today?\Oh, yeah, I read your story online.\Uh...\Hey, it's updated.\Yeah.\You've got quite a few comments.\See, look.\Did you not notice? response:	Posted by: miki I love these kinds of stories. I can't wait to read the rest!
context: Oh, yeah, I read your story online.\Uh...\Hey, it's updated.\Yeah.\You've got quite a few comments.\See, look.\Did you not notice?\Posted by: miki I love these kinds of stories. I can't wait to read the rest! response:	Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more.
context: Uh...\Hey, it's updated.\Yeah.\You've got quite a few comments.\See, look.\Did you not notice?\Posted by: miki I love these kinds of stories. I can't wait to read the rest!\Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more. response:	Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one
context: Hey, it's updated.\Yeah.\You've got quite a few comments.\See, look.\Did you not notice?\Posted by: miki I love these kinds of stories. I can't wait to read the rest!\Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more.\Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one response:	Posted by: Marshmallow It warms the heart!
context: Yeah.\You've got quite a few comments.\See, look.\Did you not notice?\Posted by: miki I love these kinds of stories. I can't wait to read the rest!\Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more.\Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one\Posted by: Marshmallow It warms the heart! response:	Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again
context: You've got quite a few comments.\See, look.\Did you not notice?\Posted by: miki I love these kinds of stories. I can't wait to read the rest!\Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more.\Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one\Posted by: Marshmallow It warms the heart!\Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again response:	Good for you.
context: See, look.\Did you not notice?\Posted by: miki I love these kinds of stories. I can't wait to read the rest!\Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more.\Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one\Posted by: Marshmallow It warms the heart!\Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again\Good for you. response:	It's popular.
context: Did you not notice?\Posted by: miki I love these kinds of stories. I can't wait to read the rest!\Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more.\Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one\Posted by: Marshmallow It warms the heart!\Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again\Good for you.\It's popular. response:	Posted by: Akane What happens next?
context: Posted by: miki I love these kinds of stories. I can't wait to read the rest!\Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more.\Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one\Posted by: Marshmallow It warms the heart!\Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again\Good for you.\It's popular.\Posted by: Akane What happens next? response:	Posted by: Akane
context: Posted by: Ryokucha I cried... I couldn't help tearing up. I'm looking forward to more.\Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one\Posted by: Marshmallow It warms the heart!\Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again\Good for you.\It's popular.\Posted by: Akane What happens next?\Posted by: Akane response:	All right, take care, Akane.
context: Posted by: suzaku12 I don't normally read these kinds of stories, but I have a feeling I'm going to like this one\Posted by: Marshmallow It warms the heart!\Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again\Good for you.\It's popular.\Posted by: Akane What happens next?\Posted by: Akane\All right, take care, Akane. response:	Come hang out with us once in a while.
context: Posted by: Marshmallow It warms the heart!\Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again\Good for you.\It's popular.\Posted by: Akane What happens next?\Posted by: Akane\All right, take care, Akane.\Come hang out with us once in a while. response:	Thanks.
context: Posted by: Shinseiki Leader I'd love to go back in time and fall in love like this again\Good for you.\It's popular.\Posted by: Akane What happens next?\Posted by: Akane\All right, take care, Akane.\Come hang out with us once in a while.\Thanks. response:	Okay, well...
context: Good for you.\It's popular.\Posted by: Akane What happens next?\Posted by: Akane\All right, take care, Akane.\Come hang out with us once in a while.\Thanks.\Okay, well... response:	Akane just went through the gate
context: It's popular.\Posted by: Akane What happens next?\Posted by: Akane\All right, take care, Akane.\Come hang out with us once in a while.\Thanks.\Okay, well...\Akane just went through the gate response:	She said she wished she could see you
context: Posted by: Akane What happens next?\Posted by: Akane\All right, take care, Akane.\Come hang out with us once in a while.\Thanks.\Okay, well...\Akane just went through the gate\She said she wished she could see you response:	Dazai once said, The true substance of love lies in the act
context: Posted by: Akane\All right, take care, Akane.\Come hang out with us once in a while.\Thanks.\Okay, well...\Akane just went through the gate\She said she wished she could see you\Dazai once said, The true substance of love lies in the act response:	of howling words of love with the desperation of a man jumping into high seas.
context: All right, take care, Akane.\Come hang out with us once in a while.\Thanks.\Okay, well...\Akane just went through the gate\She said she wished she could see you\Dazai once said, The true substance of love lies in the act\of howling words of love with the desperation of a man jumping into high seas. response:	Kumano Shrine
context: Come hang out with us once in a while.\Thanks.\Okay, well...\Akane just went through the gate\She said she wished she could see you\Dazai once said, The true substance of love lies in the act\of howling words of love with the desperation of a man jumping into high seas.\Kumano Shrine response:	Become an Author!
context: Thanks.\Okay, well...\Akane just went through the gate\She said she wished she could see you\Dazai once said, The true substance of love lies in the act\of howling words of love with the desperation of a man jumping into high seas.\Kumano Shrine\Become an Author! response:	No.
context: Okay, well...\Akane just went through the gate\She said she wished she could see you\Dazai once said, The true substance of love lies in the act\of howling words of love with the desperation of a man jumping into high seas.\Kumano Shrine\Become an Author!\No. response:	End
context: Akane just went through the gate\She said she wished she could see you\Dazai once said, The true substance of love lies in the act\of howling words of love with the desperation of a man jumping into high seas.\Kumano Shrine\Become an Author!\No.\End response:	End...
context: She said she wished she could see you\Dazai once said, The true substance of love lies in the act\of howling words of love with the desperation of a man jumping into high seas.\Kumano Shrine\Become an Author!\No.\End\End... response:	I want to tell her that no matter how far apart we are,
context: Dazai once said, The true substance of love lies in the act\of howling words of love with the desperation of a man jumping into high seas.\Kumano Shrine\Become an Author!\No.\End\End...\I want to tell her that no matter how far apart we are, response:	my feelings for her will never change.
context: of howling words of love with the desperation of a man jumping into high seas.\Kumano Shrine\Become an Author!\No.\End\End...\I want to tell her that no matter how far apart we are,\my feelings for her will never change. response:	You're leaving for an unfamiliar town.
context: Kumano Shrine\Become an Author!\No.\End\End...\I want to tell her that no matter how far apart we are,\my feelings for her will never change.\You're leaving for an unfamiliar town. response:	I love you!
context: Become an Author!\No.\End\End...\I want to tell her that no matter how far apart we are,\my feelings for her will never change.\You're leaving for an unfamiliar town.\I love you! response:	And I'll always love you.
context: No.\End\End...\I want to tell her that no matter how far apart we are,\my feelings for her will never change.\You're leaving for an unfamiliar town.\I love you!\And I'll always love you. response:	She was my first love.
context: End\End...\I want to tell her that no matter how far apart we are,\my feelings for her will never change.\You're leaving for an unfamiliar town.\I love you!\And I'll always love you.\She was my first love. response:	I knew nothing.
context: End...\I want to tell her that no matter how far apart we are,\my feelings for her will never change.\You're leaving for an unfamiliar town.\I love you!\And I'll always love you.\She was my first love.\I knew nothing. response:	I was so nervous.
context: I want to tell her that no matter how far apart we are,\my feelings for her will never change.\You're leaving for an unfamiliar town.\I love you!\And I'll always love you.\She was my first love.\I knew nothing.\I was so nervous. response:	How to hold hands, how to kiss...
context: my feelings for her will never change.\You're leaving for an unfamiliar town.\I love you!\And I'll always love you.\She was my first love.\I knew nothing.\I was so nervous.\How to hold hands, how to kiss... response:	We'd never even told our friends.
context: You're leaving for an unfamiliar town.\I love you!\And I'll always love you.\She was my first love.\I knew nothing.\I was so nervous.\How to hold hands, how to kiss...\We'd never even told our friends. response:	It was so embarrassing.
context: I love you!\And I'll always love you.\She was my first love.\I knew nothing.\I was so nervous.\How to hold hands, how to kiss...\We'd never even told our friends.\It was so embarrassing. response:	I never had any idea what to do.
context: And I'll always love you.\She was my first love.\I knew nothing.\I was so nervous.\How to hold hands, how to kiss...\We'd never even told our friends.\It was so embarrassing.\I never had any idea what to do. response:	But that day, he found the courage to tell me.
context: She was my first love.\I knew nothing.\I was so nervous.\How to hold hands, how to kiss...\We'd never even told our friends.\It was so embarrassing.\I never had any idea what to do.\But that day, he found the courage to tell me. response:	I could believe we would always walk together.
context: I knew nothing.\I was so nervous.\How to hold hands, how to kiss...\We'd never even told our friends.\It was so embarrassing.\I never had any idea what to do.\But that day, he found the courage to tell me.\I could believe we would always walk together. response:	To think someone I loved would love me back...
context: I was so nervous.\How to hold hands, how to kiss...\We'd never even told our friends.\It was so embarrassing.\I never had any idea what to do.\But that day, he found the courage to tell me.\I could believe we would always walk together.\To think someone I loved would love me back... response:	I thought it must have been a miracle.
context: How to hold hands, how to kiss...\We'd never even told our friends.\It was so embarrassing.\I never had any idea what to do.\But that day, he found the courage to tell me.\I could believe we would always walk together.\To think someone I loved would love me back...\I thought it must have been a miracle. response:	And Then
context: We'd never even told our friends.\It was so embarrassing.\I never had any idea what to do.\But that day, he found the courage to tell me.\I could believe we would always walk together.\To think someone I loved would love me back...\I thought it must have been a miracle.\And Then response:	My Honey
context: It was so embarrassing.\I never had any idea what to do.\But that day, he found the courage to tell me.\I could believe we would always walk together.\To think someone I loved would love me back...\I thought it must have been a miracle.\And Then\My Honey response:	Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you
context: I never had any idea what to do.\But that day, he found the courage to tell me.\I could believe we would always walk together.\To think someone I loved would love me back...\I thought it must have been a miracle.\And Then\My Honey\Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you response:	Aren't you? Me neither Hehe
context: But that day, he found the courage to tell me.\I could believe we would always walk together.\To think someone I loved would love me back...\I thought it must have been a miracle.\And Then\My Honey\Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you\Aren't you? Me neither Hehe response:	I can't wait
context: I could believe we would always walk together.\To think someone I loved would love me back...\I thought it must have been a miracle.\And Then\My Honey\Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you\Aren't you? Me neither Hehe\I can't wait response:	My Darling
context: To think someone I loved would love me back...\I thought it must have been a miracle.\And Then\My Honey\Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you\Aren't you? Me neither Hehe\I can't wait\My Darling response:	Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you!
context: I thought it must have been a miracle.\And Then\My Honey\Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you\Aren't you? Me neither Hehe\I can't wait\My Darling\Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you! response:	I love you more
context: And Then\My Honey\Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you\Aren't you? Me neither Hehe\I can't wait\My Darling\Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you!\I love you more response:	Benippo
context: My Honey\Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you\Aren't you? Me neither Hehe\I can't wait\My Darling\Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you!\I love you more\Benippo response:	I didn't think they'd be home so early I told her we'd be studying for exams
context: Aren't you going to bed? I don't want to Hehe I'm getting paid next week I'll finally be able to see you\Aren't you? Me neither Hehe\I can't wait\My Darling\Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you!\I love you more\Benippo\I didn't think they'd be home so early I told her we'd be studying for exams response:	My notebook was blank, though I don't think she believed us
context: Aren't you? Me neither Hehe\I can't wait\My Darling\Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you!\I love you more\Benippo\I didn't think they'd be home so early I told her we'd be studying for exams\My notebook was blank, though I don't think she believed us response:	ikr
context: I can't wait\My Darling\Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you!\I love you more\Benippo\I didn't think they'd be home so early I told her we'd be studying for exams\My notebook was blank, though I don't think she believed us\ikr response:	Yeah I guess
context: My Darling\Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you!\I love you more\Benippo\I didn't think they'd be home so early I told her we'd be studying for exams\My notebook was blank, though I don't think she believed us\ikr\Yeah I guess response:	My Man
context: Sorry about yesterday I said too much But I still think I love you more Jeez! We're going to fight again! You suck! I hate you!\I love you more\Benippo\I didn't think they'd be home so early I told her we'd be studying for exams\My notebook was blank, though I don't think she believed us\ikr\Yeah I guess\My Man response:	Are you okay?
context: I love you more\Benippo\I didn't think they'd be home so early I told her we'd be studying for exams\My notebook was blank, though I don't think she believed us\ikr\Yeah I guess\My Man\Are you okay? response:	Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you
context: Benippo\I didn't think they'd be home so early I told her we'd be studying for exams\My notebook was blank, though I don't think she believed us\ikr\Yeah I guess\My Man\Are you okay?\Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you response:	No I'm sorry too I can't be with you at a time like this
context: I didn't think they'd be home so early I told her we'd be studying for exams\My notebook was blank, though I don't think she believed us\ikr\Yeah I guess\My Man\Are you okay?\Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you\No I'm sorry too I can't be with you at a time like this response:	Why?
context: My notebook was blank, though I don't think she believed us\ikr\Yeah I guess\My Man\Are you okay?\Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you\No I'm sorry too I can't be with you at a time like this\Why? response:	The Boyfriend
context: ikr\Yeah I guess\My Man\Are you okay?\Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you\No I'm sorry too I can't be with you at a time like this\Why?\The Boyfriend response:	You went? Why?!
