context: I swear I'll save you, so wait for me, Rohan! response:	So it learned my scent?
context: No Entry\It's Morioh Harbor!\Shining Diamond!\Now for the crumbled wall...\Fix it!\Th-That was close...\It was trying to head straight toward me,\so it couldn't see this wall. response:	Like a mosquito that can't see a screen, it's following me by scent alone.
context: It's Morioh Harbor!\Shining Diamond!\Now for the crumbled wall...\Fix it!\Th-That was close...\It was trying to head straight toward me,\so it couldn't see this wall.\Like a mosquito that can't see a screen, it's following me by scent alone. response:	It doesn't have the ability to think or plan its attacks.
context: Shining Diamond!\Now for the crumbled wall...\Fix it!\Th-That was close...\It was trying to head straight toward me,\so it couldn't see this wall.\Like a mosquito that can't see a screen, it's following me by scent alone.\It doesn't have the ability to think or plan its attacks. response:	Its only goal is to take nutrients from me.
context: Now for the crumbled wall...\Fix it!\Th-That was close...\It was trying to head straight toward me,\so it couldn't see this wall.\Like a mosquito that can't see a screen, it's following me by scent alone.\It doesn't have the ability to think or plan its attacks.\Its only goal is to take nutrients from me. response:	The theory that this guy's the critically injured patient makes sense.
context: Fix it!\Th-That was close...\It was trying to head straight toward me,\so it couldn't see this wall.\Like a mosquito that can't see a screen, it's following me by scent alone.\It doesn't have the ability to think or plan its attacks.\Its only goal is to take nutrients from me.\The theory that this guy's the critically injured patient makes sense. response:	Everything fits together.
context: Th-That was close...\It was trying to head straight toward me,\so it couldn't see this wall.\Like a mosquito that can't see a screen, it's following me by scent alone.\It doesn't have the ability to think or plan its attacks.\Its only goal is to take nutrients from me.\The theory that this guy's the critically injured patient makes sense.\Everything fits together. response:	Josuke!
context: It was trying to head straight toward me,\so it couldn't see this wall.\Like a mosquito that can't see a screen, it's following me by scent alone.\It doesn't have the ability to think or plan its attacks.\Its only goal is to take nutrients from me.\The theory that this guy's the critically injured patient makes sense.\Everything fits together.\Josuke! response:	Koichi, the hospital!
context: so it couldn't see this wall.\Like a mosquito that can't see a screen, it's following me by scent alone.\It doesn't have the ability to think or plan its attacks.\Its only goal is to take nutrients from me.\The theory that this guy's the critically injured patient makes sense.\Everything fits together.\Josuke!\Koichi, the hospital! response:	That John Doe must be the Stand user!
context: Like a mosquito that can't see a screen, it's following me by scent alone.\It doesn't have the ability to think or plan its attacks.\Its only goal is to take nutrients from me.\The theory that this guy's the critically injured patient makes sense.\Everything fits together.\Josuke!\Koichi, the hospital!\That John Doe must be the Stand user! response:	Find out his name for me.
context: It doesn't have the ability to think or plan its attacks.\Its only goal is to take nutrients from me.\The theory that this guy's the critically injured patient makes sense.\Everything fits together.\Josuke!\Koichi, the hospital!\That John Doe must be the Stand user!\Find out his name for me. response:	Got it.
context: Its only goal is to take nutrients from me.\The theory that this guy's the critically injured patient makes sense.\Everything fits together.\Josuke!\Koichi, the hospital!\That John Doe must be the Stand user!\Find out his name for me.\Got it. response:	But, man, this situation is heavy...
context: The theory that this guy's the critically injured patient makes sense.\Everything fits together.\Josuke!\Koichi, the hospital!\That John Doe must be the Stand user!\Find out his name for me.\Got it.\But, man, this situation is heavy... response:	H-How am I supposed to get out of this?
context: Everything fits together.\Josuke!\Koichi, the hospital!\That John Doe must be the Stand user!\Find out his name for me.\Got it.\But, man, this situation is heavy...\H-How am I supposed to get out of this? response:	How far did he go? That little shit Josuke...
context: Josuke!\Koichi, the hospital!\That John Doe must be the Stand user!\Find out his name for me.\Got it.\But, man, this situation is heavy...\H-How am I supposed to get out of this?\How far did he go? That little shit Josuke... response:	When this arrow wanted to pierce a motorcycle thug
context: Koichi, the hospital!\That John Doe must be the Stand user!\Find out his name for me.\Got it.\But, man, this situation is heavy...\H-How am I supposed to get out of this?\How far did he go? That little shit Josuke...\When this arrow wanted to pierce a motorcycle thug response:	who was about to die after an accident,
context: That John Doe must be the Stand user!\Find out his name for me.\Got it.\But, man, this situation is heavy...\H-How am I supposed to get out of this?\How far did he go? That little shit Josuke...\When this arrow wanted to pierce a motorcycle thug\who was about to die after an accident, response:	I was wondering what the hell it was thinking, but...
context: Find out his name for me.\Got it.\But, man, this situation is heavy...\H-How am I supposed to get out of this?\How far did he go? That little shit Josuke...\When this arrow wanted to pierce a motorcycle thug\who was about to die after an accident,\I was wondering what the hell it was thinking, but... response:	This is amazing! Just amazing!
context: Got it.\But, man, this situation is heavy...\H-How am I supposed to get out of this?\How far did he go? That little shit Josuke...\When this arrow wanted to pierce a motorcycle thug\who was about to die after an accident,\I was wondering what the hell it was thinking, but...\This is amazing! Just amazing! response:	Who would have thought he would create this amazing Highway Go Go?
context: But, man, this situation is heavy...\H-How am I supposed to get out of this?\How far did he go? That little shit Josuke...\When this arrow wanted to pierce a motorcycle thug\who was about to die after an accident,\I was wondering what the hell it was thinking, but...\This is amazing! Just amazing!\Who would have thought he would create this amazing Highway Go Go? response:	A Stand ability is all about the user's mental strength!
context: H-How am I supposed to get out of this?\How far did he go? That little shit Josuke...\When this arrow wanted to pierce a motorcycle thug\who was about to die after an accident,\I was wondering what the hell it was thinking, but...\This is amazing! Just amazing!\Who would have thought he would create this amazing Highway Go Go?\A Stand ability is all about the user's mental strength! response:	The hungrier someone is, the stronger they are!
context: How far did he go? That little shit Josuke...\When this arrow wanted to pierce a motorcycle thug\who was about to die after an accident,\I was wondering what the hell it was thinking, but...\This is amazing! Just amazing!\Who would have thought he would create this amazing Highway Go Go?\A Stand ability is all about the user's mental strength!\The hungrier someone is, the stronger they are! response:	No one can defeat the power of a man so hungry to heal his own injuries.
context: When this arrow wanted to pierce a motorcycle thug\who was about to die after an accident,\I was wondering what the hell it was thinking, but...\This is amazing! Just amazing!\Who would have thought he would create this amazing Highway Go Go?\A Stand ability is all about the user's mental strength!\The hungrier someone is, the stronger they are!\No one can defeat the power of a man so hungry to heal his own injuries. response:	But I really would have loved to see Josuke die!
context: who was about to die after an accident,\I was wondering what the hell it was thinking, but...\This is amazing! Just amazing!\Who would have thought he would create this amazing Highway Go Go?\A Stand ability is all about the user's mental strength!\The hungrier someone is, the stronger they are!\No one can defeat the power of a man so hungry to heal his own injuries.\But I really would have loved to see Josuke die! response:	What should I do? What should I do?
context: I was wondering what the hell it was thinking, but...\This is amazing! Just amazing!\Who would have thought he would create this amazing Highway Go Go?\A Stand ability is all about the user's mental strength!\The hungrier someone is, the stronger they are!\No one can defeat the power of a man so hungry to heal his own injuries.\But I really would have loved to see Josuke die!\What should I do? What should I do? response:	A culvert!
context: This is amazing! Just amazing!\Who would have thought he would create this amazing Highway Go Go?\A Stand ability is all about the user's mental strength!\The hungrier someone is, the stronger they are!\No one can defeat the power of a man so hungry to heal his own injuries.\But I really would have loved to see Josuke die!\What should I do? What should I do?\A culvert! response:	I'm glad I found a culvert that drains into the ocean,
context: Who would have thought he would create this amazing Highway Go Go?\A Stand ability is all about the user's mental strength!\The hungrier someone is, the stronger they are!\No one can defeat the power of a man so hungry to heal his own injuries.\But I really would have loved to see Josuke die!\What should I do? What should I do?\A culvert!\I'm glad I found a culvert that drains into the ocean, response:	but it just keeps getting closer and closer.
context: A Stand ability is all about the user's mental strength!\The hungrier someone is, the stronger they are!\No one can defeat the power of a man so hungry to heal his own injuries.\But I really would have loved to see Josuke die!\What should I do? What should I do?\A culvert!\I'm glad I found a culvert that drains into the ocean,\but it just keeps getting closer and closer. response:	H-How am I going to get out of here?
context: The hungrier someone is, the stronger they are!\No one can defeat the power of a man so hungry to heal his own injuries.\But I really would have loved to see Josuke die!\What should I do? What should I do?\A culvert!\I'm glad I found a culvert that drains into the ocean,\but it just keeps getting closer and closer.\H-How am I going to get out of here? response:	Wh-Which way should I go?
context: No one can defeat the power of a man so hungry to heal his own injuries.\But I really would have loved to see Josuke die!\What should I do? What should I do?\A culvert!\I'm glad I found a culvert that drains into the ocean,\but it just keeps getting closer and closer.\H-How am I going to get out of here?\Wh-Which way should I go? response:	Um... The ocean is behind me,
context: But I really would have loved to see Josuke die!\What should I do? What should I do?\A culvert!\I'm glad I found a culvert that drains into the ocean,\but it just keeps getting closer and closer.\H-How am I going to get out of here?\Wh-Which way should I go?\Um... The ocean is behind me, response:	which means it's also to my right.
context: What should I do? What should I do?\A culvert!\I'm glad I found a culvert that drains into the ocean,\but it just keeps getting closer and closer.\H-How am I going to get out of here?\Wh-Which way should I go?\Um... The ocean is behind me,\which means it's also to my right. response:	The ocean is definitely bad news.
context: A culvert!\I'm glad I found a culvert that drains into the ocean,\but it just keeps getting closer and closer.\H-How am I going to get out of here?\Wh-Which way should I go?\Um... The ocean is behind me,\which means it's also to my right.\The ocean is definitely bad news. response:	The left is the way I came from... I think.
context: I'm glad I found a culvert that drains into the ocean,\but it just keeps getting closer and closer.\H-How am I going to get out of here?\Wh-Which way should I go?\Um... The ocean is behind me,\which means it's also to my right.\The ocean is definitely bad news.\The left is the way I came from... I think. response:	Wh-Which way do I go now?
context: but it just keeps getting closer and closer.\H-How am I going to get out of here?\Wh-Which way should I go?\Um... The ocean is behind me,\which means it's also to my right.\The ocean is definitely bad news.\The left is the way I came from... I think.\Wh-Which way do I go now? response:	I think the left might be the ocean, but if I go to the right...
context: H-How am I going to get out of here?\Wh-Which way should I go?\Um... The ocean is behind me,\which means it's also to my right.\The ocean is definitely bad news.\The left is the way I came from... I think.\Wh-Which way do I go now?\I think the left might be the ocean, but if I go to the right... response:	Th-There's the middle, too...
context: Wh-Which way should I go?\Um... The ocean is behind me,\which means it's also to my right.\The ocean is definitely bad news.\The left is the way I came from... I think.\Wh-Which way do I go now?\I think the left might be the ocean, but if I go to the right...\Th-There's the middle, too... response:	Wh-What's happening?
context: Um... The ocean is behind me,\which means it's also to my right.\The ocean is definitely bad news.\The left is the way I came from... I think.\Wh-Which way do I go now?\I think the left might be the ocean, but if I go to the right...\Th-There's the middle, too...\Wh-What's happening? response:	I'm pressing the gas, but the speed keeps dropping...
context: which means it's also to my right.\The ocean is definitely bad news.\The left is the way I came from... I think.\Wh-Which way do I go now?\I think the left might be the ocean, but if I go to the right...\Th-There's the middle, too...\Wh-What's happening?\I'm pressing the gas, but the speed keeps dropping... response:	I-Is it breaking down?
context: The ocean is definitely bad news.\The left is the way I came from... I think.\Wh-Which way do I go now?\I think the left might be the ocean, but if I go to the right...\Th-There's the middle, too...\Wh-What's happening?\I'm pressing the gas, but the speed keeps dropping...\I-Is it breaking down? response:	Wh-What?! It's not broken?
context: The left is the way I came from... I think.\Wh-Which way do I go now?\I think the left might be the ocean, but if I go to the right...\Th-There's the middle, too...\Wh-What's happening?\I'm pressing the gas, but the speed keeps dropping...\I-Is it breaking down?\Wh-What?! It's not broken? response:	Then why am I losing speed?
context: Wh-Which way do I go now?\I think the left might be the ocean, but if I go to the right...\Th-There's the middle, too...\Wh-What's happening?\I'm pressing the gas, but the speed keeps dropping...\I-Is it breaking down?\Wh-What?! It's not broken?\Then why am I losing speed? response:	I'm gonna stop!
context: I think the left might be the ocean, but if I go to the right...\Th-There's the middle, too...\Wh-What's happening?\I'm pressing the gas, but the speed keeps dropping...\I-Is it breaking down?\Wh-What?! It's not broken?\Then why am I losing speed?\I'm gonna stop! response:	I-It's coming!
context: Th-There's the middle, too...\Wh-What's happening?\I'm pressing the gas, but the speed keeps dropping...\I-Is it breaking down?\Wh-What?! It's not broken?\Then why am I losing speed?\I'm gonna stop!\I-It's coming! response:	Could it be...
context: Wh-What's happening?\I'm pressing the gas, but the speed keeps dropping...\I-Is it breaking down?\Wh-What?! It's not broken?\Then why am I losing speed?\I'm gonna stop!\I-It's coming!\Could it be... response:	Am I out of gas?
context: I'm pressing the gas, but the speed keeps dropping...\I-Is it breaking down?\Wh-What?! It's not broken?\Then why am I losing speed?\I'm gonna stop!\I-It's coming!\Could it be...\Am I out of gas? response:	Man, don't scare me like that.
context: I-Is it breaking down?\Wh-What?! It's not broken?\Then why am I losing speed?\I'm gonna stop!\I-It's coming!\Could it be...\Am I out of gas?\Man, don't scare me like that. response:	I'm just out of gas...
context: Wh-What?! It's not broken?\Then why am I losing speed?\I'm gonna stop!\I-It's coming!\Could it be...\Am I out of gas?\Man, don't scare me like that.\I'm just out of gas... response:	Then there's no problem at all.
context: Then why am I losing speed?\I'm gonna stop!\I-It's coming!\Could it be...\Am I out of gas?\Man, don't scare me like that.\I'm just out of gas...\Then there's no problem at all. response:	I thought it was some
context: I'm gonna stop!\I-It's coming!\Could it be...\Am I out of gas?\Man, don't scare me like that.\I'm just out of gas...\Then there's no problem at all.\I thought it was some response:	major malfunction that even Shining Diamond couldn't fix.
context: I-It's coming!\Could it be...\Am I out of gas?\Man, don't scare me like that.\I'm just out of gas...\Then there's no problem at all.\I thought it was some\major malfunction that even Shining Diamond couldn't fix. response:	This isn't a problem.
context: Could it be...\Am I out of gas?\Man, don't scare me like that.\I'm just out of gas...\Then there's no problem at all.\I thought it was some\major malfunction that even Shining Diamond couldn't fix.\This isn't a problem. response:	There'll be no problem escaping this.
context: Am I out of gas?\Man, don't scare me like that.\I'm just out of gas...\Then there's no problem at all.\I thought it was some\major malfunction that even Shining Diamond couldn't fix.\This isn't a problem.\There'll be no problem escaping this. response:	Still no problem.
context: Man, don't scare me like that.\I'm just out of gas...\Then there's no problem at all.\I thought it was some\major malfunction that even Shining Diamond couldn't fix.\This isn't a problem.\There'll be no problem escaping this.\Still no problem. response:	I can fix this with no problem.
context: I'm just out of gas...\Then there's no problem at all.\I thought it was some\major malfunction that even Shining Diamond couldn't fix.\This isn't a problem.\There'll be no problem escaping this.\Still no problem.\I can fix this with no problem. response:	And the motorcycle, too, of course.
context: Then there's no problem at all.\I thought it was some\major malfunction that even Shining Diamond couldn't fix.\This isn't a problem.\There'll be no problem escaping this.\Still no problem.\I can fix this with no problem.\And the motorcycle, too, of course. response:	I can't get too relaxed since that thing teleports,
context: I thought it was some\major malfunction that even Shining Diamond couldn't fix.\This isn't a problem.\There'll be no problem escaping this.\Still no problem.\I can fix this with no problem.\And the motorcycle, too, of course.\I can't get too relaxed since that thing teleports, response:	but gasoline is not a problem.
context: major malfunction that even Shining Diamond couldn't fix.\This isn't a problem.\There'll be no problem escaping this.\Still no problem.\I can fix this with no problem.\And the motorcycle, too, of course.\I can't get too relaxed since that thing teleports,\but gasoline is not a problem. response:	But it seems
context: This isn't a problem.\There'll be no problem escaping this.\Still no problem.\I can fix this with no problem.\And the motorcycle, too, of course.\I can't get too relaxed since that thing teleports,\but gasoline is not a problem.\But it seems response:	that I do have a problem after all...
context: There'll be no problem escaping this.\Still no problem.\I can fix this with no problem.\And the motorcycle, too, of course.\I can't get too relaxed since that thing teleports,\but gasoline is not a problem.\But it seems\that I do have a problem after all... response:	I'm lost!
context: Still no problem.\I can fix this with no problem.\And the motorcycle, too, of course.\I can't get too relaxed since that thing teleports,\but gasoline is not a problem.\But it seems\that I do have a problem after all...\I'm lost! response:	Wh-Which way is the hospital?
context: I can fix this with no problem.\And the motorcycle, too, of course.\I can't get too relaxed since that thing teleports,\but gasoline is not a problem.\But it seems\that I do have a problem after all...\I'm lost!\Wh-Which way is the hospital? response:	Hi
context: And the motorcycle, too, of course.\I can't get too relaxed since that thing teleports,\but gasoline is not a problem.\But it seems\that I do have a problem after all...\I'm lost!\Wh-Which way is the hospital?\Hi response:	Hig
context: I can't get too relaxed since that thing teleports,\but gasoline is not a problem.\But it seems\that I do have a problem after all...\I'm lost!\Wh-Which way is the hospital?\Hi\Hig response:	High
context: but gasoline is not a problem.\But it seems\that I do have a problem after all...\I'm lost!\Wh-Which way is the hospital?\Hi\Hig\High response:	Highw
context: But it seems\that I do have a problem after all...\I'm lost!\Wh-Which way is the hospital?\Hi\Hig\High\Highw response:	Highwa
context: that I do have a problem after all...\I'm lost!\Wh-Which way is the hospital?\Hi\Hig\High\Highw\Highwa response:	Highway
context: I'm lost!\Wh-Which way is the hospital?\Hi\Hig\High\Highw\Highwa\Highway response:	Highway G
context: Wh-Which way is the hospital?\Hi\Hig\High\Highw\Highwa\Highway\Highway G response:	Highway Go
context: Hi\Hig\High\Highw\Highwa\Highway\Highway G\Highway Go response:	Highway Go G
context: Hig\High\Highw\Highwa\Highway\Highway G\Highway Go\Highway Go G response:	Highway Go Go
context: High\Highw\Highwa\Highway\Highway G\Highway Go\Highway Go G\Highway Go Go response:	Budogaoka General Hospital
context: Highw\Highwa\Highway\Highway G\Highway Go\Highway Go G\Highway Go Go\Budogaoka General Hospital response:	Pardon me. I'm in a huge hurry.
context: Highwa\Highway\Highway G\Highway Go\Highway Go G\Highway Go Go\Budogaoka General Hospital\Pardon me. I'm in a huge hurry. response:	I'd like to know which room the young man who caused
context: Highway\Highway G\Highway Go\Highway Go G\Highway Go Go\Budogaoka General Hospital\Pardon me. I'm in a huge hurry.\I'd like to know which room the young man who caused response:	the motorcycle accident at Futatsumori Tunnel is in.
context: Highway G\Highway Go\Highway Go G\Highway Go Go\Budogaoka General Hospital\Pardon me. I'm in a huge hurry.\I'd like to know which room the young man who caused\the motorcycle accident at Futatsumori Tunnel is in. response:	What's his room number?
context: Highway Go\Highway Go G\Highway Go Go\Budogaoka General Hospital\Pardon me. I'm in a huge hurry.\I'd like to know which room the young man who caused\the motorcycle accident at Futatsumori Tunnel is in.\What's his room number? response:	Please tell me!
context: Highway Go G\Highway Go Go\Budogaoka General Hospital\Pardon me. I'm in a huge hurry.\I'd like to know which room the young man who caused\the motorcycle accident at Futatsumori Tunnel is in.\What's his room number?\Please tell me! response:	Now, listen...
context: Highway Go Go\Budogaoka General Hospital\Pardon me. I'm in a huge hurry.\I'd like to know which room the young man who caused\the motorcycle accident at Futatsumori Tunnel is in.\What's his room number?\Please tell me!\Now, listen... response:	Can you not see what's written there?
context: Budogaoka General Hospital\Pardon me. I'm in a huge hurry.\I'd like to know which room the young man who caused\the motorcycle accident at Futatsumori Tunnel is in.\What's his room number?\Please tell me!\Now, listen...\Can you not see what's written there? response:	Huh?
context: Pardon me. I'm in a huge hurry.\I'd like to know which room the young man who caused\the motorcycle accident at Futatsumori Tunnel is in.\What's his room number?\Please tell me!\Now, listen...\Can you not see what's written there?\Huh? response:	Visiting hours are over for the day
context: I'd like to know which room the young man who caused\the motorcycle accident at Futatsumori Tunnel is in.\What's his room number?\Please tell me!\Now, listen...\Can you not see what's written there?\Huh?\Visiting hours are over for the day response:	If you need an eye exam,
context: the motorcycle accident at Futatsumori Tunnel is in.\What's his room number?\Please tell me!\Now, listen...\Can you not see what's written there?\Huh?\Visiting hours are over for the day\If you need an eye exam, response:	you can come in after 9:30 AM tomorrow.
context: What's his room number?\Please tell me!\Now, listen...\Can you not see what's written there?\Huh?\Visiting hours are over for the day\If you need an eye exam,\you can come in after 9:30 AM tomorrow. response:	Um, I'm not actually here to visit him.
context: Please tell me!\Now, listen...\Can you not see what's written there?\Huh?\Visiting hours are over for the day\If you need an eye exam,\you can come in after 9:30 AM tomorrow.\Um, I'm not actually here to visit him. response:	But there's a reason I need to know his name!
context: Now, listen...\Can you not see what's written there?\Huh?\Visiting hours are over for the day\If you need an eye exam,\you can come in after 9:30 AM tomorrow.\Um, I'm not actually here to visit him.\But there's a reason I need to know his name! response:	Please, tell me!
context: Can you not see what's written there?\Huh?\Visiting hours are over for the day\If you need an eye exam,\you can come in after 9:30 AM tomorrow.\Um, I'm not actually here to visit him.\But there's a reason I need to know his name!\Please, tell me! response:	Didn't you hear me tell you to go home?
context: Huh?\Visiting hours are over for the day\If you need an eye exam,\you can come in after 9:30 AM tomorrow.\Um, I'm not actually here to visit him.\But there's a reason I need to know his name!\Please, tell me!\Didn't you hear me tell you to go home? response:	Worthless brats like you are such a bother.
context: Visiting hours are over for the day\If you need an eye exam,\you can come in after 9:30 AM tomorrow.\Um, I'm not actually here to visit him.\But there's a reason I need to know his name!\Please, tell me!\Didn't you hear me tell you to go home?\Worthless brats like you are such a bother. response:	You seem pretty short for a motorcycle gang member.
context: If you need an eye exam,\you can come in after 9:30 AM tomorrow.\Um, I'm not actually here to visit him.\But there's a reason I need to know his name!\Please, tell me!\Didn't you hear me tell you to go home?\Worthless brats like you are such a bother.\You seem pretty short for a motorcycle gang member. response:	Do your feet even reach the ground?
context: you can come in after 9:30 AM tomorrow.\Um, I'm not actually here to visit him.\But there's a reason I need to know his name!\Please, tell me!\Didn't you hear me tell you to go home?\Worthless brats like you are such a bother.\You seem pretty short for a motorcycle gang member.\Do your feet even reach the ground? response:	Jeez.
context: Um, I'm not actually here to visit him.\But there's a reason I need to know his name!\Please, tell me!\Didn't you hear me tell you to go home?\Worthless brats like you are such a bother.\You seem pretty short for a motorcycle gang member.\Do your feet even reach the ground?\Jeez. response:	Act 3...
context: But there's a reason I need to know his name!\Please, tell me!\Didn't you hear me tell you to go home?\Worthless brats like you are such a bother.\You seem pretty short for a motorcycle gang member.\Do your feet even reach the ground?\Jeez.\Act 3... response:	Okay, Master! Let's kill da ho!
context: Please, tell me!\Didn't you hear me tell you to go home?\Worthless brats like you are such a bother.\You seem pretty short for a motorcycle gang member.\Do your feet even reach the ground?\Jeez.\Act 3...\Okay, Master! Let's kill da ho! response:	Beeetch!
context: Didn't you hear me tell you to go home?\Worthless brats like you are such a bother.\You seem pretty short for a motorcycle gang member.\Do your feet even reach the ground?\Jeez.\Act 3...\Okay, Master! Let's kill da ho!\Beeetch! response:	O-Oh, no!
context: Worthless brats like you are such a bother.\You seem pretty short for a motorcycle gang member.\Do your feet even reach the ground?\Jeez.\Act 3...\Okay, Master! Let's kill da ho!\Beeetch!\O-Oh, no! response:	That was close...
context: You seem pretty short for a motorcycle gang member.\Do your feet even reach the ground?\Jeez.\Act 3...\Okay, Master! Let's kill da ho!\Beeetch!\O-Oh, no!\That was close... response:	These medicines costs 50,000 yen a bottle.
context: Do your feet even reach the ground?\Jeez.\Act 3...\Okay, Master! Let's kill da ho!\Beeetch!\O-Oh, no!\That was close...\These medicines costs 50,000 yen a bottle. response:	Huh?
context: Jeez.\Act 3...\Okay, Master! Let's kill da ho!\Beeetch!\O-Oh, no!\That was close...\These medicines costs 50,000 yen a bottle.\Huh? response:	They're heavy?!
context: Act 3...\Okay, Master! Let's kill da ho!\Beeetch!\O-Oh, no!\That was close...\These medicines costs 50,000 yen a bottle.\Huh?\They're heavy?! response:	They're going to fall!
context: Okay, Master! Let's kill da ho!\Beeetch!\O-Oh, no!\That was close...\These medicines costs 50,000 yen a bottle.\Huh?\They're heavy?!\They're going to fall! response:	Hey, you! Help me! Hold me up!
context: Beeetch!\O-Oh, no!\That was close...\These medicines costs 50,000 yen a bottle.\Huh?\They're heavy?!\They're going to fall!\Hey, you! Help me! Hold me up! response:	Um, by Hey, you! did you mean me?
context: O-Oh, no!\That was close...\These medicines costs 50,000 yen a bottle.\Huh?\They're heavy?!\They're going to fall!\Hey, you! Help me! Hold me up!\Um, by Hey, you! did you mean me? response:	Yes! Who else is here?! This is really heavy!
context: That was close...\These medicines costs 50,000 yen a bottle.\Huh?\They're heavy?!\They're going to fall!\Hey, you! Help me! Hold me up!\Um, by Hey, you! did you mean me?\Yes! Who else is here?! This is really heavy! response:	Well, yeah, but still...
context: These medicines costs 50,000 yen a bottle.\Huh?\They're heavy?!\They're going to fall!\Hey, you! Help me! Hold me up!\Um, by Hey, you! did you mean me?\Yes! Who else is here?! This is really heavy!\Well, yeah, but still... response:	You did just tell me to go home.
context: Huh?\They're heavy?!\They're going to fall!\Hey, you! Help me! Hold me up!\Um, by Hey, you! did you mean me?\Yes! Who else is here?! This is really heavy!\Well, yeah, but still...\You did just tell me to go home. response:	Not to mention, I'm so short, I don't know if I can reach.
context: They're heavy?!\They're going to fall!\Hey, you! Help me! Hold me up!\Um, by Hey, you! did you mean me?\Yes! Who else is here?! This is really heavy!\Well, yeah, but still...\You did just tell me to go home.\Not to mention, I'm so short, I don't know if I can reach. response:	Are you going to get in trouble with your boss if those break?
context: They're going to fall!\Hey, you! Help me! Hold me up!\Um, by Hey, you! did you mean me?\Yes! Who else is here?! This is really heavy!\Well, yeah, but still...\You did just tell me to go home.\Not to mention, I'm so short, I don't know if I can reach.\Are you going to get in trouble with your boss if those break? response:	Then you're going to be like, Oh my gah! Isn't it?
context: Hey, you! Help me! Hold me up!\Um, by Hey, you! did you mean me?\Yes! Who else is here?! This is really heavy!\Well, yeah, but still...\You did just tell me to go home.\Not to mention, I'm so short, I don't know if I can reach.\Are you going to get in trouble with your boss if those break?\Then you're going to be like, Oh my gah! Isn't it? response:	All right, fine! I'll tell you!
context: Um, by Hey, you! did you mean me?\Yes! Who else is here?! This is really heavy!\Well, yeah, but still...\You did just tell me to go home.\Not to mention, I'm so short, I don't know if I can reach.\Are you going to get in trouble with your boss if those break?\Then you're going to be like, Oh my gah! Isn't it?\All right, fine! I'll tell you! response:	He's in room 525!
context: Yes! Who else is here?! This is really heavy!\Well, yeah, but still...\You did just tell me to go home.\Not to mention, I'm so short, I don't know if I can reach.\Are you going to get in trouble with your boss if those break?\Then you're going to be like, Oh my gah! Isn't it?\All right, fine! I'll tell you!\He's in room 525! response:	Yuya Fungami is in 525.
context: Well, yeah, but still...\You did just tell me to go home.\Not to mention, I'm so short, I don't know if I can reach.\Are you going to get in trouble with your boss if those break?\Then you're going to be like, Oh my gah! Isn't it?\All right, fine! I'll tell you!\He's in room 525!\Yuya Fungami is in 525. response:	Take that elevator to the fifth floor!
context: You did just tell me to go home.\Not to mention, I'm so short, I don't know if I can reach.\Are you going to get in trouble with your boss if those break?\Then you're going to be like, Oh my gah! Isn't it?\All right, fine! I'll tell you!\He's in room 525!\Yuya Fungami is in 525.\Take that elevator to the fifth floor! response:	Huh?
context: Not to mention, I'm so short, I don't know if I can reach.\Are you going to get in trouble with your boss if those break?\Then you're going to be like, Oh my gah! Isn't it?\All right, fine! I'll tell you!\He's in room 525!\Yuya Fungami is in 525.\Take that elevator to the fifth floor!\Huh? response:	Josuke!
context: Are you going to get in trouble with your boss if those break?\Then you're going to be like, Oh my gah! Isn't it?\All right, fine! I'll tell you!\He's in room 525!\Yuya Fungami is in 525.\Take that elevator to the fifth floor!\Huh?\Josuke! response:	Koichi...
context: Then you're going to be like, Oh my gah! Isn't it?\All right, fine! I'll tell you!\He's in room 525!\Yuya Fungami is in 525.\Take that elevator to the fifth floor!\Huh?\Josuke!\Koichi... response:	Did you find out where he is, Koichi?
context: All right, fine! I'll tell you!\He's in room 525!\Yuya Fungami is in 525.\Take that elevator to the fifth floor!\Huh?\Josuke!\Koichi...\Did you find out where he is, Koichi? response:	Room 525! His name is Yuya Fungami!
context: He's in room 525!\Yuya Fungami is in 525.\Take that elevator to the fifth floor!\Huh?\Josuke!\Koichi...\Did you find out where he is, Koichi?\Room 525! His name is Yuya Fungami! response:	It's room 525!
context: Yuya Fungami is in 525.\Take that elevator to the fifth floor!\Huh?\Josuke!\Koichi...\Did you find out where he is, Koichi?\Room 525! His name is Yuya Fungami!\It's room 525! response:	Thanks, Koichi!
context: Take that elevator to the fifth floor!\Huh?\Josuke!\Koichi...\Did you find out where he is, Koichi?\Room 525! His name is Yuya Fungami!\It's room 525!\Thanks, Koichi! response:	It's on the fifth floor! Hurry and get into the elevator!
context: Huh?\Josuke!\Koichi...\Did you find out where he is, Koichi?\Room 525! His name is Yuya Fungami!\It's room 525!\Thanks, Koichi!\It's on the fifth floor! Hurry and get into the elevator! response:	Sh-Shit...
context: Josuke!\Koichi...\Did you find out where he is, Koichi?\Room 525! His name is Yuya Fungami!\It's room 525!\Thanks, Koichi!\It's on the fifth floor! Hurry and get into the elevator!\Sh-Shit... response:	I-It just keeps coming in!
context: Koichi...\Did you find out where he is, Koichi?\Room 525! His name is Yuya Fungami!\It's room 525!\Thanks, Koichi!\It's on the fifth floor! Hurry and get into the elevator!\Sh-Shit...\I-It just keeps coming in! response:	Koichi! Reverb Act 3!
