context: Kyoto (Part 2) response:	What a beautiful sunset.
context: I even bought new formal wear, too!\Let me be on TV!\Looks like Official Observer Tsujii 9th-Dan had the flu.\They just found out and that's the result.\Everyone gargle! Disinfect your hands!\Does anyone else have the flu? Step forward!\If you infect the players, I'll kill you!\Since yesterday, he's been arrogantly clearing his throat response:	I never figured he wanted to be on TV so badly that he was covering up a cold.
context: Let me be on TV!\Looks like Official Observer Tsujii 9th-Dan had the flu.\They just found out and that's the result.\Everyone gargle! Disinfect your hands!\Does anyone else have the flu? Step forward!\If you infect the players, I'll kill you!\Since yesterday, he's been arrogantly clearing his throat\I never figured he wanted to be on TV so badly that he was covering up a cold. response:	I know. A waste of good looks describes him perfectly.
context: Looks like Official Observer Tsujii 9th-Dan had the flu.\They just found out and that's the result.\Everyone gargle! Disinfect your hands!\Does anyone else have the flu? Step forward!\If you infect the players, I'll kill you!\Since yesterday, he's been arrogantly clearing his throat\I never figured he wanted to be on TV so badly that he was covering up a cold.\I know. A waste of good looks describes him perfectly. response:	And so, Smith,
context: They just found out and that's the result.\Everyone gargle! Disinfect your hands!\Does anyone else have the flu? Step forward!\If you infect the players, I'll kill you!\Since yesterday, he's been arrogantly clearing his throat\I never figured he wanted to be on TV so badly that he was covering up a cold.\I know. A waste of good looks describes him perfectly.\And so, Smith, response:	I'm promoting you from substitute observer to the official observer!
context: Everyone gargle! Disinfect your hands!\Does anyone else have the flu? Step forward!\If you infect the players, I'll kill you!\Since yesterday, he's been arrogantly clearing his throat\I never figured he wanted to be on TV so badly that he was covering up a cold.\I know. A waste of good looks describes him perfectly.\And so, Smith,\I'm promoting you from substitute observer to the official observer! response:	S-So suddenly?!
context: Does anyone else have the flu? Step forward!\If you infect the players, I'll kill you!\Since yesterday, he's been arrogantly clearing his throat\I never figured he wanted to be on TV so badly that he was covering up a cold.\I know. A waste of good looks describes him perfectly.\And so, Smith,\I'm promoting you from substitute observer to the official observer!\S-So suddenly?! response:	But it starts in ten minutes!
context: If you infect the players, I'll kill you!\Since yesterday, he's been arrogantly clearing his throat\I never figured he wanted to be on TV so badly that he was covering up a cold.\I know. A waste of good looks describes him perfectly.\And so, Smith,\I'm promoting you from substitute observer to the official observer!\S-So suddenly?!\But it starts in ten minutes! response:	Alright, to the match room, go!
context: Since yesterday, he's been arrogantly clearing his throat\I never figured he wanted to be on TV so badly that he was covering up a cold.\I know. A waste of good looks describes him perfectly.\And so, Smith,\I'm promoting you from substitute observer to the official observer!\S-So suddenly?!\But it starts in ten minutes!\Alright, to the match room, go! response:	Sealed Move
context: I never figured he wanted to be on TV so badly that he was covering up a cold.\I know. A waste of good looks describes him perfectly.\And so, Smith,\I'm promoting you from substitute observer to the official observer!\S-So suddenly?!\But it starts in ten minutes!\Alright, to the match room, go!\Sealed Move response:	And I also have to open the envelope with the sealed move?
context: I know. A waste of good looks describes him perfectly.\And so, Smith,\I'm promoting you from substitute observer to the official observer!\S-So suddenly?!\But it starts in ten minutes!\Alright, to the match room, go!\Sealed Move\And I also have to open the envelope with the sealed move? response:	An important role like that, with no practice?
context: And so, Smith,\I'm promoting you from substitute observer to the official observer!\S-So suddenly?!\But it starts in ten minutes!\Alright, to the match room, go!\Sealed Move\And I also have to open the envelope with the sealed move?\An important role like that, with no practice? response:	Now or never!
context: I'm promoting you from substitute observer to the official observer!\S-So suddenly?!\But it starts in ten minutes!\Alright, to the match room, go!\Sealed Move\And I also have to open the envelope with the sealed move?\An important role like that, with no practice?\Now or never! response:	Someone's Observer My Own Title Match
context: S-So suddenly?!\But it starts in ten minutes!\Alright, to the match room, go!\Sealed Move\And I also have to open the envelope with the sealed move?\An important role like that, with no practice?\Now or never!\Someone's Observer My Own Title Match response:	And I'm an observer for someone else's title match before I even have my own?
context: But it starts in ten minutes!\Alright, to the match room, go!\Sealed Move\And I also have to open the envelope with the sealed move?\An important role like that, with no practice?\Now or never!\Someone's Observer My Own Title Match\And I'm an observer for someone else's title match before I even have my own? response:	What kind of flag is that? It's a bad omen!
context: Alright, to the match room, go!\Sealed Move\And I also have to open the envelope with the sealed move?\An important role like that, with no practice?\Now or never!\Someone's Observer My Own Title Match\And I'm an observer for someone else's title match before I even have my own?\What kind of flag is that? It's a bad omen! response:	It'll be fine! Fine!
context: Sealed Move\And I also have to open the envelope with the sealed move?\An important role like that, with no practice?\Now or never!\Someone's Observer My Own Title Match\And I'm an observer for someone else's title match before I even have my own?\What kind of flag is that? It's a bad omen!\It'll be fine! Fine! response:	Hardly any of the professional players here have had a title match.
context: And I also have to open the envelope with the sealed move?\An important role like that, with no practice?\Now or never!\Someone's Observer My Own Title Match\And I'm an observer for someone else's title match before I even have my own?\What kind of flag is that? It's a bad omen!\It'll be fine! Fine!\Hardly any of the professional players here have had a title match. response:	Well, I have, though!
context: An important role like that, with no practice?\Now or never!\Someone's Observer My Own Title Match\And I'm an observer for someone else's title match before I even have my own?\What kind of flag is that? It's a bad omen!\It'll be fine! Fine!\Hardly any of the professional players here have had a title match.\Well, I have, though! response:	16th Master
context: Now or never!\Someone's Observer My Own Title Match\And I'm an observer for someone else's title match before I even have my own?\What kind of flag is that? It's a bad omen!\It'll be fine! Fine!\Hardly any of the professional players here have had a title match.\Well, I have, though!\16th Master response:	BAM
context: Someone's Observer My Own Title Match\And I'm an observer for someone else's title match before I even have my own?\What kind of flag is that? It's a bad omen!\It'll be fine! Fine!\Hardly any of the professional players here have had a title match.\Well, I have, though!\16th Master\BAM response:	Glisten Glisten
context: And I'm an observer for someone else's title match before I even have my own?\What kind of flag is that? It's a bad omen!\It'll be fine! Fine!\Hardly any of the professional players here have had a title match.\Well, I have, though!\16th Master\BAM\Glisten Glisten response:	Opening the envelope with another player's sealed move before I get my own...
context: What kind of flag is that? It's a bad omen!\It'll be fine! Fine!\Hardly any of the professional players here have had a title match.\Well, I have, though!\16th Master\BAM\Glisten Glisten\Opening the envelope with another player's sealed move before I get my own... response:	Marriage Registration
context: It'll be fine! Fine!\Hardly any of the professional players here have had a title match.\Well, I have, though!\16th Master\BAM\Glisten Glisten\Opening the envelope with another player's sealed move before I get my own...\Marriage Registration response:	It's like putting my stamp on a friend's marriage registration
context: Hardly any of the professional players here have had a title match.\Well, I have, though!\16th Master\BAM\Glisten Glisten\Opening the envelope with another player's sealed move before I get my own...\Marriage Registration\It's like putting my stamp on a friend's marriage registration response:	as a witness before getting married myself?
context: Well, I have, though!\16th Master\BAM\Glisten Glisten\Opening the envelope with another player's sealed move before I get my own...\Marriage Registration\It's like putting my stamp on a friend's marriage registration\as a witness before getting married myself? response:	Although it is an honor...
context: 16th Master\BAM\Glisten Glisten\Opening the envelope with another player's sealed move before I get my own...\Marriage Registration\It's like putting my stamp on a friend's marriage registration\as a witness before getting married myself?\Although it is an honor... response:	I will now open the envelope.
context: BAM\Glisten Glisten\Opening the envelope with another player's sealed move before I get my own...\Marriage Registration\It's like putting my stamp on a friend's marriage registration\as a witness before getting married myself?\Although it is an honor...\I will now open the envelope. response:	The sealed move is 6-f-Silver.
context: Glisten Glisten\Opening the envelope with another player's sealed move before I get my own...\Marriage Registration\It's like putting my stamp on a friend's marriage registration\as a witness before getting married myself?\Although it is an honor...\I will now open the envelope.\The sealed move is 6-f-Silver. response:	And so, the curtain rose silently on the second day.
context: Opening the envelope with another player's sealed move before I get my own...\Marriage Registration\It's like putting my stamp on a friend's marriage registration\as a witness before getting married myself?\Although it is an honor...\I will now open the envelope.\The sealed move is 6-f-Silver.\And so, the curtain rose silently on the second day. response:	And then... Hey, Kiriyama!
context: Marriage Registration\It's like putting my stamp on a friend's marriage registration\as a witness before getting married myself?\Although it is an honor...\I will now open the envelope.\The sealed move is 6-f-Silver.\And so, the curtain rose silently on the second day.\And then... Hey, Kiriyama! response:	And now, I would like to begin the explanation of the demonstration board for this second day
context: It's like putting my stamp on a friend's marriage registration\as a witness before getting married myself?\Although it is an honor...\I will now open the envelope.\The sealed move is 6-f-Silver.\And so, the curtain rose silently on the second day.\And then... Hey, Kiriyama!\And now, I would like to begin the explanation of the demonstration board for this second day response:	of the fourth match for the 20th Lion King Tournament.
context: as a witness before getting married myself?\Although it is an honor...\I will now open the envelope.\The sealed move is 6-f-Silver.\And so, the curtain rose silently on the second day.\And then... Hey, Kiriyama!\And now, I would like to begin the explanation of the demonstration board for this second day\of the fourth match for the 20th Lion King Tournament. response:	First let me introduce the board commentator
context: Although it is an honor...\I will now open the envelope.\The sealed move is 6-f-Silver.\And so, the curtain rose silently on the second day.\And then... Hey, Kiriyama!\And now, I would like to begin the explanation of the demonstration board for this second day\of the fourth match for the 20th Lion King Tournament.\First let me introduce the board commentator response:	Shogi Dragon Raidou Fujimoto.
context: I will now open the envelope.\The sealed move is 6-f-Silver.\And so, the curtain rose silently on the second day.\And then... Hey, Kiriyama!\And now, I would like to begin the explanation of the demonstration board for this second day\of the fourth match for the 20th Lion King Tournament.\First let me introduce the board commentator\Shogi Dragon Raidou Fujimoto. response:	And the observer of this match, Tsujii 9th-Dan, has the flu,
context: The sealed move is 6-f-Silver.\And so, the curtain rose silently on the second day.\And then... Hey, Kiriyama!\And now, I would like to begin the explanation of the demonstration board for this second day\of the fourth match for the 20th Lion King Tournament.\First let me introduce the board commentator\Shogi Dragon Raidou Fujimoto.\And the observer of this match, Tsujii 9th-Dan, has the flu, response:	so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan
context: And so, the curtain rose silently on the second day.\And then... Hey, Kiriyama!\And now, I would like to begin the explanation of the demonstration board for this second day\of the fourth match for the 20th Lion King Tournament.\First let me introduce the board commentator\Shogi Dragon Raidou Fujimoto.\And the observer of this match, Tsujii 9th-Dan, has the flu,\so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan response:	to provide commentary as well.
context: And then... Hey, Kiriyama!\And now, I would like to begin the explanation of the demonstration board for this second day\of the fourth match for the 20th Lion King Tournament.\First let me introduce the board commentator\Shogi Dragon Raidou Fujimoto.\And the observer of this match, Tsujii 9th-Dan, has the flu,\so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan\to provide commentary as well. response:	I-I'll do my best.
context: And now, I would like to begin the explanation of the demonstration board for this second day\of the fourth match for the 20th Lion King Tournament.\First let me introduce the board commentator\Shogi Dragon Raidou Fujimoto.\And the observer of this match, Tsujii 9th-Dan, has the flu,\so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan\to provide commentary as well.\I-I'll do my best. response:	Holding mic with both hands from nervousness
context: of the fourth match for the 20th Lion King Tournament.\First let me introduce the board commentator\Shogi Dragon Raidou Fujimoto.\And the observer of this match, Tsujii 9th-Dan, has the flu,\so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan\to provide commentary as well.\I-I'll do my best.\Holding mic with both hands from nervousness response:	As you know, Kiriyama 5th-Dan received a lot of attention
context: First let me introduce the board commentator\Shogi Dragon Raidou Fujimoto.\And the observer of this match, Tsujii 9th-Dan, has the flu,\so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan\to provide commentary as well.\I-I'll do my best.\Holding mic with both hands from nervousness\As you know, Kiriyama 5th-Dan received a lot of attention response:	for becoming the fifth middle-schooler professional shogi player in history,
context: Shogi Dragon Raidou Fujimoto.\And the observer of this match, Tsujii 9th-Dan, has the flu,\so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan\to provide commentary as well.\I-I'll do my best.\Holding mic with both hands from nervousness\As you know, Kiriyama 5th-Dan received a lot of attention\for becoming the fifth middle-schooler professional shogi player in history, response:	and the others including Master Souya, all went on to become masters,
context: And the observer of this match, Tsujii 9th-Dan, has the flu,\so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan\to provide commentary as well.\I-I'll do my best.\Holding mic with both hands from nervousness\As you know, Kiriyama 5th-Dan received a lot of attention\for becoming the fifth middle-schooler professional shogi player in history,\and the others including Master Souya, all went on to become masters, response:	so you could say middle school professionals are future masters in the making,
context: so with our audience in mind, we acted fast and asked Rei Kiriyama 5th-Dan\to provide commentary as well.\I-I'll do my best.\Holding mic with both hands from nervousness\As you know, Kiriyama 5th-Dan received a lot of attention\for becoming the fifth middle-schooler professional shogi player in history,\and the others including Master Souya, all went on to become masters,\so you could say middle school professionals are future masters in the making, response:	but what do you think in that regard?
context: to provide commentary as well.\I-I'll do my best.\Holding mic with both hands from nervousness\As you know, Kiriyama 5th-Dan received a lot of attention\for becoming the fifth middle-schooler professional shogi player in history,\and the others including Master Souya, all went on to become masters,\so you could say middle school professionals are future masters in the making,\but what do you think in that regard? response:	Um, my ability is not that great compared to my older colleagues. Sorry.
context: I-I'll do my best.\Holding mic with both hands from nervousness\As you know, Kiriyama 5th-Dan received a lot of attention\for becoming the fifth middle-schooler professional shogi player in history,\and the others including Master Souya, all went on to become masters,\so you could say middle school professionals are future masters in the making,\but what do you think in that regard?\Um, my ability is not that great compared to my older colleagues. Sorry. response:	Of course not!
context: Holding mic with both hands from nervousness\As you know, Kiriyama 5th-Dan received a lot of attention\for becoming the fifth middle-schooler professional shogi player in history,\and the others including Master Souya, all went on to become masters,\so you could say middle school professionals are future masters in the making,\but what do you think in that regard?\Um, my ability is not that great compared to my older colleagues. Sorry.\Of course not! response:	Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1.
context: As you know, Kiriyama 5th-Dan received a lot of attention\for becoming the fifth middle-schooler professional shogi player in history,\and the others including Master Souya, all went on to become masters,\so you could say middle school professionals are future masters in the making,\but what do you think in that regard?\Um, my ability is not that great compared to my older colleagues. Sorry.\Of course not!\Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1. response:	I made my debut as a first-year high school student, but at his age, I was at B-2.
context: for becoming the fifth middle-schooler professional shogi player in history,\and the others including Master Souya, all went on to become masters,\so you could say middle school professionals are future masters in the making,\but what do you think in that regard?\Um, my ability is not that great compared to my older colleagues. Sorry.\Of course not!\Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1.\I made my debut as a first-year high school student, but at his age, I was at B-2. response:	What I'm trying to say is...
context: and the others including Master Souya, all went on to become masters,\so you could say middle school professionals are future masters in the making,\but what do you think in that regard?\Um, my ability is not that great compared to my older colleagues. Sorry.\Of course not!\Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1.\I made my debut as a first-year high school student, but at his age, I was at B-2.\What I'm trying to say is... response:	I'm more impressive!
context: so you could say middle school professionals are future masters in the making,\but what do you think in that regard?\Um, my ability is not that great compared to my older colleagues. Sorry.\Of course not!\Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1.\I made my debut as a first-year high school student, but at his age, I was at B-2.\What I'm trying to say is...\I'm more impressive! response:	That's my point!
context: but what do you think in that regard?\Um, my ability is not that great compared to my older colleagues. Sorry.\Of course not!\Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1.\I made my debut as a first-year high school student, but at his age, I was at B-2.\What I'm trying to say is...\I'm more impressive!\That's my point! response:	So then, answer me this.
context: Um, my ability is not that great compared to my older colleagues. Sorry.\Of course not!\Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1.\I made my debut as a first-year high school student, but at his age, I was at B-2.\What I'm trying to say is...\I'm more impressive!\That's my point!\So then, answer me this. response:	Why is the world so enamored with the expression middle school debut?
context: Of course not!\Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1.\I made my debut as a first-year high school student, but at his age, I was at B-2.\What I'm trying to say is...\I'm more impressive!\That's my point!\So then, answer me this.\Why is the world so enamored with the expression middle school debut? response:	It's confounding to me!
context: Even with a middle-schooler debut, it becomes pointless if you take this long to get out of C-1.\I made my debut as a first-year high school student, but at his age, I was at B-2.\What I'm trying to say is...\I'm more impressive!\That's my point!\So then, answer me this.\Why is the world so enamored with the expression middle school debut?\It's confounding to me! response:	Future master?
context: I made my debut as a first-year high school student, but at his age, I was at B-2.\What I'm trying to say is...\I'm more impressive!\That's my point!\So then, answer me this.\Why is the world so enamored with the expression middle school debut?\It's confounding to me!\Future master? response:	Nobody knows that!
context: What I'm trying to say is...\I'm more impressive!\That's my point!\So then, answer me this.\Why is the world so enamored with the expression middle school debut?\It's confounding to me!\Future master?\Nobody knows that! response:	Nag Nag Nag
context: I'm more impressive!\That's my point!\So then, answer me this.\Why is the world so enamored with the expression middle school debut?\It's confounding to me!\Future master?\Nobody knows that!\Nag Nag Nag response:	The goal is to become a professional,
context: That's my point!\So then, answer me this.\Why is the world so enamored with the expression middle school debut?\It's confounding to me!\Future master?\Nobody knows that!\Nag Nag Nag\The goal is to become a professional, response:	but not having the goal of becoming a master at all costs is something I can't abide.
context: So then, answer me this.\Why is the world so enamored with the expression middle school debut?\It's confounding to me!\Future master?\Nobody knows that!\Nag Nag Nag\The goal is to become a professional,\but not having the goal of becoming a master at all costs is something I can't abide. response:	Complain Complain Complain
context: Why is the world so enamored with the expression middle school debut?\It's confounding to me!\Future master?\Nobody knows that!\Nag Nag Nag\The goal is to become a professional,\but not having the goal of becoming a master at all costs is something I can't abide.\Complain Complain Complain response:	The Japanese posit that having no desire is a rather beautiful thing,
context: It's confounding to me!\Future master?\Nobody knows that!\Nag Nag Nag\The goal is to become a professional,\but not having the goal of becoming a master at all costs is something I can't abide.\Complain Complain Complain\The Japanese posit that having no desire is a rather beautiful thing, response:	so it doesn't make sense that having a goal is good, but having desires is bad?
context: Future master?\Nobody knows that!\Nag Nag Nag\The goal is to become a professional,\but not having the goal of becoming a master at all costs is something I can't abide.\Complain Complain Complain\The Japanese posit that having no desire is a rather beautiful thing,\so it doesn't make sense that having a goal is good, but having desires is bad? response:	Isn't it strange? They're the same thing.
context: Nobody knows that!\Nag Nag Nag\The goal is to become a professional,\but not having the goal of becoming a master at all costs is something I can't abide.\Complain Complain Complain\The Japanese posit that having no desire is a rather beautiful thing,\so it doesn't make sense that having a goal is good, but having desires is bad?\Isn't it strange? They're the same thing. response:	Yeah, yeah.
context: Nag Nag Nag\The goal is to become a professional,\but not having the goal of becoming a master at all costs is something I can't abide.\Complain Complain Complain\The Japanese posit that having no desire is a rather beautiful thing,\so it doesn't make sense that having a goal is good, but having desires is bad?\Isn't it strange? They're the same thing.\Yeah, yeah. response:	Incidentally, I want to become that.
context: The goal is to become a professional,\but not having the goal of becoming a master at all costs is something I can't abide.\Complain Complain Complain\The Japanese posit that having no desire is a rather beautiful thing,\so it doesn't make sense that having a goal is good, but having desires is bad?\Isn't it strange? They're the same thing.\Yeah, yeah.\Incidentally, I want to become that. response:	What?
context: but not having the goal of becoming a master at all costs is something I can't abide.\Complain Complain Complain\The Japanese posit that having no desire is a rather beautiful thing,\so it doesn't make sense that having a goal is good, but having desires is bad?\Isn't it strange? They're the same thing.\Yeah, yeah.\Incidentally, I want to become that.\What? response:	But thanks to that weird fellow, I've been held back from it,
context: Complain Complain Complain\The Japanese posit that having no desire is a rather beautiful thing,\so it doesn't make sense that having a goal is good, but having desires is bad?\Isn't it strange? They're the same thing.\Yeah, yeah.\Incidentally, I want to become that.\What?\But thanks to that weird fellow, I've been held back from it, response:	but I swear I'll drag him down and become a master myself.
context: The Japanese posit that having no desire is a rather beautiful thing,\so it doesn't make sense that having a goal is good, but having desires is bad?\Isn't it strange? They're the same thing.\Yeah, yeah.\Incidentally, I want to become that.\What?\But thanks to that weird fellow, I've been held back from it,\but I swear I'll drag him down and become a master myself. response:	Veterans
context: so it doesn't make sense that having a goal is good, but having desires is bad?\Isn't it strange? They're the same thing.\Yeah, yeah.\Incidentally, I want to become that.\What?\But thanks to that weird fellow, I've been held back from it,\but I swear I'll drag him down and become a master myself.\Veterans response:	First-timers
context: Isn't it strange? They're the same thing.\Yeah, yeah.\Incidentally, I want to become that.\What?\But thanks to that weird fellow, I've been held back from it,\but I swear I'll drag him down and become a master myself.\Veterans\First-timers response:	Until then, you can bet the house that I'll never drop out of Rank A!
context: Yeah, yeah.\Incidentally, I want to become that.\What?\But thanks to that weird fellow, I've been held back from it,\but I swear I'll drag him down and become a master myself.\Veterans\First-timers\Until then, you can bet the house that I'll never drop out of Rank A! response:	And once I take a title, it's mine! I'll hold on to it'til the day I die!
context: Incidentally, I want to become that.\What?\But thanks to that weird fellow, I've been held back from it,\but I swear I'll drag him down and become a master myself.\Veterans\First-timers\Until then, you can bet the house that I'll never drop out of Rank A!\And once I take a title, it's mine! I'll hold on to it'til the day I die! response:	That is all!
context: What?\But thanks to that weird fellow, I've been held back from it,\but I swear I'll drag him down and become a master myself.\Veterans\First-timers\Until then, you can bet the house that I'll never drop out of Rank A!\And once I take a title, it's mine! I'll hold on to it'til the day I die!\That is all! response:	I'm scared!
context: But thanks to that weird fellow, I've been held back from it,\but I swear I'll drag him down and become a master myself.\Veterans\First-timers\Until then, you can bet the house that I'll never drop out of Rank A!\And once I take a title, it's mine! I'll hold on to it'til the day I die!\That is all!\I'm scared! response:	P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh?
context: but I swear I'll drag him down and become a master myself.\Veterans\First-timers\Until then, you can bet the house that I'll never drop out of Rank A!\And once I take a title, it's mine! I'll hold on to it'til the day I die!\That is all!\I'm scared!\P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh? response:	That you only suffer from stomach pains makes you a monster in a way!
context: Veterans\First-timers\Until then, you can bet the house that I'll never drop out of Rank A!\And once I take a title, it's mine! I'll hold on to it'til the day I die!\That is all!\I'm scared!\P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh?\That you only suffer from stomach pains makes you a monster in a way! response:	I can't do it! Rank A is impossible!
context: First-timers\Until then, you can bet the house that I'll never drop out of Rank A!\And once I take a title, it's mine! I'll hold on to it'til the day I die!\That is all!\I'm scared!\P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh?\That you only suffer from stomach pains makes you a monster in a way!\I can't do it! Rank A is impossible! response:	Kyoto (Part 2)
context: Until then, you can bet the house that I'll never drop out of Rank A!\And once I take a title, it's mine! I'll hold on to it'til the day I die!\That is all!\I'm scared!\P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh?\That you only suffer from stomach pains makes you a monster in a way!\I can't do it! Rank A is impossible!\Kyoto (Part 2) response:	Kyoto (Part 3)
context: And once I take a title, it's mine! I'll hold on to it'til the day I die!\That is all!\I'm scared!\P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh?\That you only suffer from stomach pains makes you a monster in a way!\I can't do it! Rank A is impossible!\Kyoto (Part 2)\Kyoto (Part 3) response:	It hurts.
context: That is all!\I'm scared!\P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh?\That you only suffer from stomach pains makes you a monster in a way!\I can't do it! Rank A is impossible!\Kyoto (Part 2)\Kyoto (Part 3)\It hurts. response:	It hurts.
context: I'm scared!\P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh?\That you only suffer from stomach pains makes you a monster in a way!\I can't do it! Rank A is impossible!\Kyoto (Part 2)\Kyoto (Part 3)\It hurts.\It hurts. response:	It hurts.
context: P.S. Mr. Shimada, you were surrounded by people like this and fought them daily, huh?\That you only suffer from stomach pains makes you a monster in a way!\I can't do it! Rank A is impossible!\Kyoto (Part 2)\Kyoto (Part 3)\It hurts.\It hurts.\It hurts. response:	It hurts.
context: That you only suffer from stomach pains makes you a monster in a way!\I can't do it! Rank A is impossible!\Kyoto (Part 2)\Kyoto (Part 3)\It hurts.\It hurts.\It hurts.\It hurts. response:	This is just...
context: I can't do it! Rank A is impossible!\Kyoto (Part 2)\Kyoto (Part 3)\It hurts.\It hurts.\It hurts.\It hurts.\This is just... response:	Really...
context: Kyoto (Part 2)\Kyoto (Part 3)\It hurts.\It hurts.\It hurts.\It hurts.\This is just...\Really... response:	Dammit!
context: Kyoto (Part 3)\It hurts.\It hurts.\It hurts.\It hurts.\This is just...\Really...\Dammit! response:	It's like a black bog throbbing in the pit of my stomach.
context: It hurts.\It hurts.\It hurts.\It hurts.\This is just...\Really...\Dammit!\It's like a black bog throbbing in the pit of my stomach. response:	It really makes you feel alive!
context: It hurts.\It hurts.\It hurts.\This is just...\Really...\Dammit!\It's like a black bog throbbing in the pit of my stomach.\It really makes you feel alive! response:	5-g-promoted Pawn? He's going with that? It's crazy!
context: It hurts.\It hurts.\This is just...\Really...\Dammit!\It's like a black bog throbbing in the pit of my stomach.\It really makes you feel alive!\5-g-promoted Pawn? He's going with that? It's crazy! response:	If he lets up on the attack, he'll be surrounded!
context: It hurts.\This is just...\Really...\Dammit!\It's like a black bog throbbing in the pit of my stomach.\It really makes you feel alive!\5-g-promoted Pawn? He's going with that? It's crazy!\If he lets up on the attack, he'll be surrounded! response:	His own king is still on shaky ground.
context: This is just...\Really...\Dammit!\It's like a black bog throbbing in the pit of my stomach.\It really makes you feel alive!\5-g-promoted Pawn? He's going with that? It's crazy!\If he lets up on the attack, he'll be surrounded!\His own king is still on shaky ground. response:	How long can he keep up the attack?
context: Really...\Dammit!\It's like a black bog throbbing in the pit of my stomach.\It really makes you feel alive!\5-g-promoted Pawn? He's going with that? It's crazy!\If he lets up on the attack, he'll be surrounded!\His own king is still on shaky ground.\How long can he keep up the attack? response:	6-g-Silver, threatmate!
context: Dammit!\It's like a black bog throbbing in the pit of my stomach.\It really makes you feel alive!\5-g-promoted Pawn? He's going with that? It's crazy!\If he lets up on the attack, he'll be surrounded!\His own king is still on shaky ground.\How long can he keep up the attack?\6-g-Silver, threatmate! response:	7-h-Silver.
context: It's like a black bog throbbing in the pit of my stomach.\It really makes you feel alive!\5-g-promoted Pawn? He's going with that? It's crazy!\If he lets up on the attack, he'll be surrounded!\His own king is still on shaky ground.\How long can he keep up the attack?\6-g-Silver, threatmate!\7-h-Silver. response:	2-h-Rook, again threatmate!
context: It really makes you feel alive!\5-g-promoted Pawn? He's going with that? It's crazy!\If he lets up on the attack, he'll be surrounded!\His own king is still on shaky ground.\How long can he keep up the attack?\6-g-Silver, threatmate!\7-h-Silver.\2-h-Rook, again threatmate! response:	Will Shimada be able to finish off the king like this?
context: 5-g-promoted Pawn? He's going with that? It's crazy!\If he lets up on the attack, he'll be surrounded!\His own king is still on shaky ground.\How long can he keep up the attack?\6-g-Silver, threatmate!\7-h-Silver.\2-h-Rook, again threatmate!\Will Shimada be able to finish off the king like this? response:	Still, his opponent is Souya.
context: If he lets up on the attack, he'll be surrounded!\His own king is still on shaky ground.\How long can he keep up the attack?\6-g-Silver, threatmate!\7-h-Silver.\2-h-Rook, again threatmate!\Will Shimada be able to finish off the king like this?\Still, his opponent is Souya. response:	Yeah. But will he make it?
context: His own king is still on shaky ground.\How long can he keep up the attack?\6-g-Silver, threatmate!\7-h-Silver.\2-h-Rook, again threatmate!\Will Shimada be able to finish off the king like this?\Still, his opponent is Souya.\Yeah. But will he make it? response:	He won't. 7-a-Rook.
context: How long can he keep up the attack?\6-g-Silver, threatmate!\7-h-Silver.\2-h-Rook, again threatmate!\Will Shimada be able to finish off the king like this?\Still, his opponent is Souya.\Yeah. But will he make it?\He won't. 7-a-Rook. response:	He rode it out!
context: 6-g-Silver, threatmate!\7-h-Silver.\2-h-Rook, again threatmate!\Will Shimada be able to finish off the king like this?\Still, his opponent is Souya.\Yeah. But will he make it?\He won't. 7-a-Rook.\He rode it out! response:	With just a Rook and Pawn?
context: 7-h-Silver.\2-h-Rook, again threatmate!\Will Shimada be able to finish off the king like this?\Still, his opponent is Souya.\Yeah. But will he make it?\He won't. 7-a-Rook.\He rode it out!\With just a Rook and Pawn? response:	And now it's Souya's turn.
context: 2-h-Rook, again threatmate!\Will Shimada be able to finish off the king like this?\Still, his opponent is Souya.\Yeah. But will he make it?\He won't. 7-a-Rook.\He rode it out!\With just a Rook and Pawn?\And now it's Souya's turn. response:	This is where Shimada 8th-Dan's attack stopped
