context: Mashiro! So Miho's having her debut as a seiyuu, huh?! response:	It's still just a small part.
context: If we get first in the Gold Future,\serialization won't be just a dream anymore!\We'll definitely make it happen!\It will be fine, even if it needs fixes.\Let's bring in the name three days before the deadline.\Okay!\For the angel protagonist, I don't think he should have clothes exactly like a human's.\Oh, you're right. The readers need to be able to differentiate between angels and humans. response:	Takagi! Mashiro!
context: serialization won't be just a dream anymore!\We'll definitely make it happen!\It will be fine, even if it needs fixes.\Let's bring in the name three days before the deadline.\Okay!\For the angel protagonist, I don't think he should have clothes exactly like a human's.\Oh, you're right. The readers need to be able to differentiate between angels and humans.\Takagi! Mashiro! response:	I got some tickets to a movie!
context: We'll definitely make it happen!\It will be fine, even if it needs fixes.\Let's bring in the name three days before the deadline.\Okay!\For the angel protagonist, I don't think he should have clothes exactly like a human's.\Oh, you're right. The readers need to be able to differentiate between angels and humans.\Takagi! Mashiro!\I got some tickets to a movie! response:	How about the three of us go after school?
context: It will be fine, even if it needs fixes.\Let's bring in the name three days before the deadline.\Okay!\For the angel protagonist, I don't think he should have clothes exactly like a human's.\Oh, you're right. The readers need to be able to differentiate between angels and humans.\Takagi! Mashiro!\I got some tickets to a movie!\How about the three of us go after school? response:	Sorry, we've got to finish a manuscript in a hurry.
context: Let's bring in the name three days before the deadline.\Okay!\For the angel protagonist, I don't think he should have clothes exactly like a human's.\Oh, you're right. The readers need to be able to differentiate between angels and humans.\Takagi! Mashiro!\I got some tickets to a movie!\How about the three of us go after school?\Sorry, we've got to finish a manuscript in a hurry. response:	What should we do?
context: Okay!\For the angel protagonist, I don't think he should have clothes exactly like a human's.\Oh, you're right. The readers need to be able to differentiate between angels and humans.\Takagi! Mashiro!\I got some tickets to a movie!\How about the three of us go after school?\Sorry, we've got to finish a manuscript in a hurry.\What should we do? response:	You always have them with wings in this name.
context: For the angel protagonist, I don't think he should have clothes exactly like a human's.\Oh, you're right. The readers need to be able to differentiate between angels and humans.\Takagi! Mashiro!\I got some tickets to a movie!\How about the three of us go after school?\Sorry, we've got to finish a manuscript in a hurry.\What should we do?\You always have them with wings in this name. response:	Well, I guess they can show them to the humans that find out they're angels,
context: Oh, you're right. The readers need to be able to differentiate between angels and humans.\Takagi! Mashiro!\I got some tickets to a movie!\How about the three of us go after school?\Sorry, we've got to finish a manuscript in a hurry.\What should we do?\You always have them with wings in this name.\Well, I guess they can show them to the humans that find out they're angels, response:	but typically they should hide them.
context: Takagi! Mashiro!\I got some tickets to a movie!\How about the three of us go after school?\Sorry, we've got to finish a manuscript in a hurry.\What should we do?\You always have them with wings in this name.\Well, I guess they can show them to the humans that find out they're angels,\but typically they should hide them. response:	Oh, yeah.
context: I got some tickets to a movie!\How about the three of us go after school?\Sorry, we've got to finish a manuscript in a hurry.\What should we do?\You always have them with wings in this name.\Well, I guess they can show them to the humans that find out they're angels,\but typically they should hide them.\Oh, yeah. response:	She has lessons today.
context: How about the three of us go after school?\Sorry, we've got to finish a manuscript in a hurry.\What should we do?\You always have them with wings in this name.\Well, I guess they can show them to the humans that find out they're angels,\but typically they should hide them.\Oh, yeah.\She has lessons today. response:	Why does everybody else have a dream?
context: Sorry, we've got to finish a manuscript in a hurry.\What should we do?\You always have them with wings in this name.\Well, I guess they can show them to the humans that find out they're angels,\but typically they should hide them.\Oh, yeah.\She has lessons today.\Why does everybody else have a dream? response:	I want a dream too!
context: What should we do?\You always have them with wings in this name.\Well, I guess they can show them to the humans that find out they're angels,\but typically they should hide them.\Oh, yeah.\She has lessons today.\Why does everybody else have a dream?\I want a dream too! response:	Incredible.
context: You always have them with wings in this name.\Well, I guess they can show them to the humans that find out they're angels,\but typically they should hide them.\Oh, yeah.\She has lessons today.\Why does everybody else have a dream?\I want a dream too!\Incredible. response:	You've got everything I said was necessary for a battle manga in here.
context: Well, I guess they can show them to the humans that find out they're angels,\but typically they should hide them.\Oh, yeah.\She has lessons today.\Why does everybody else have a dream?\I want a dream too!\Incredible.\You've got everything I said was necessary for a battle manga in here. response:	And it feels natural.
context: but typically they should hide them.\Oh, yeah.\She has lessons today.\Why does everybody else have a dream?\I want a dream too!\Incredible.\You've got everything I said was necessary for a battle manga in here.\And it feels natural. response:	You're even more skilled than I thought, Takagi-kun.
context: Oh, yeah.\She has lessons today.\Why does everybody else have a dream?\I want a dream too!\Incredible.\You've got everything I said was necessary for a battle manga in here.\And it feels natural.\You're even more skilled than I thought, Takagi-kun. response:	Honestly, I didn't think you'd be able to get this far drawing battle manga.
context: She has lessons today.\Why does everybody else have a dream?\I want a dream too!\Incredible.\You've got everything I said was necessary for a battle manga in here.\And it feels natural.\You're even more skilled than I thought, Takagi-kun.\Honestly, I didn't think you'd be able to get this far drawing battle manga. response:	Sorry.
context: Why does everybody else have a dream?\I want a dream too!\Incredible.\You've got everything I said was necessary for a battle manga in here.\And it feels natural.\You're even more skilled than I thought, Takagi-kun.\Honestly, I didn't think you'd be able to get this far drawing battle manga.\Sorry. response:	Ah, no problem.
context: I want a dream too!\Incredible.\You've got everything I said was necessary for a battle manga in here.\And it feels natural.\You're even more skilled than I thought, Takagi-kun.\Honestly, I didn't think you'd be able to get this far drawing battle manga.\Sorry.\Ah, no problem. response:	But...
context: Incredible.\You've got everything I said was necessary for a battle manga in here.\And it feels natural.\You're even more skilled than I thought, Takagi-kun.\Honestly, I didn't think you'd be able to get this far drawing battle manga.\Sorry.\Ah, no problem.\But... response:	I'm extremely limited in the advice I can give as an editor.
context: You've got everything I said was necessary for a battle manga in here.\And it feels natural.\You're even more skilled than I thought, Takagi-kun.\Honestly, I didn't think you'd be able to get this far drawing battle manga.\Sorry.\Ah, no problem.\But...\I'm extremely limited in the advice I can give as an editor. response:	It's very important for mangakas to be able to do more than what their editors tell them.
context: And it feels natural.\You're even more skilled than I thought, Takagi-kun.\Honestly, I didn't think you'd be able to get this far drawing battle manga.\Sorry.\Ah, no problem.\But...\I'm extremely limited in the advice I can give as an editor.\It's very important for mangakas to be able to do more than what their editors tell them. response:	Understand?
context: You're even more skilled than I thought, Takagi-kun.\Honestly, I didn't think you'd be able to get this far drawing battle manga.\Sorry.\Ah, no problem.\But...\I'm extremely limited in the advice I can give as an editor.\It's very important for mangakas to be able to do more than what their editors tell them.\Understand? response:	Ah, yes. I think so.
context: Honestly, I didn't think you'd be able to get this far drawing battle manga.\Sorry.\Ah, no problem.\But...\I'm extremely limited in the advice I can give as an editor.\It's very important for mangakas to be able to do more than what their editors tell them.\Understand?\Ah, yes. I think so. response:	Editors can't make stories that they can be sure will sell.
context: Sorry.\Ah, no problem.\But...\I'm extremely limited in the advice I can give as an editor.\It's very important for mangakas to be able to do more than what their editors tell them.\Understand?\Ah, yes. I think so.\Editors can't make stories that they can be sure will sell. response:	And though this sounds extreme, if we could, we'd just draw them ourselves!
context: Ah, no problem.\But...\I'm extremely limited in the advice I can give as an editor.\It's very important for mangakas to be able to do more than what their editors tell them.\Understand?\Ah, yes. I think so.\Editors can't make stories that they can be sure will sell.\And though this sounds extreme, if we could, we'd just draw them ourselves! response:	A mangaka has to surpass his editor!
context: But...\I'm extremely limited in the advice I can give as an editor.\It's very important for mangakas to be able to do more than what their editors tell them.\Understand?\Ah, yes. I think so.\Editors can't make stories that they can be sure will sell.\And though this sounds extreme, if we could, we'd just draw them ourselves!\A mangaka has to surpass his editor! response:	UUm, are you saying that this name isn't any good after all?
context: I'm extremely limited in the advice I can give as an editor.\It's very important for mangakas to be able to do more than what their editors tell them.\Understand?\Ah, yes. I think so.\Editors can't make stories that they can be sure will sell.\And though this sounds extreme, if we could, we'd just draw them ourselves!\A mangaka has to surpass his editor!\UUm, are you saying that this name isn't any good after all? response:	Ah... Sorry, that's not what I meant.
context: It's very important for mangakas to be able to do more than what their editors tell them.\Understand?\Ah, yes. I think so.\Editors can't make stories that they can be sure will sell.\And though this sounds extreme, if we could, we'd just draw them ourselves!\A mangaka has to surpass his editor!\UUm, are you saying that this name isn't any good after all?\Ah... Sorry, that's not what I meant. response:	I'm saying that what you have at this point is good, but...
context: Understand?\Ah, yes. I think so.\Editors can't make stories that they can be sure will sell.\And though this sounds extreme, if we could, we'd just draw them ourselves!\A mangaka has to surpass his editor!\UUm, are you saying that this name isn't any good after all?\Ah... Sorry, that's not what I meant.\I'm saying that what you have at this point is good, but... response:	I don't want you to just aim higher,
context: Ah, yes. I think so.\Editors can't make stories that they can be sure will sell.\And though this sounds extreme, if we could, we'd just draw them ourselves!\A mangaka has to surpass his editor!\UUm, are you saying that this name isn't any good after all?\Ah... Sorry, that's not what I meant.\I'm saying that what you have at this point is good, but...\I don't want you to just aim higher, response:	I'd also like you to do something that would surprise me.
context: Editors can't make stories that they can be sure will sell.\And though this sounds extreme, if we could, we'd just draw them ourselves!\A mangaka has to surpass his editor!\UUm, are you saying that this name isn't any good after all?\Ah... Sorry, that's not what I meant.\I'm saying that what you have at this point is good, but...\I don't want you to just aim higher,\I'd also like you to do something that would surprise me. response:	The same with Mashiro-kun's drawings.
context: And though this sounds extreme, if we could, we'd just draw them ourselves!\A mangaka has to surpass his editor!\UUm, are you saying that this name isn't any good after all?\Ah... Sorry, that's not what I meant.\I'm saying that what you have at this point is good, but...\I don't want you to just aim higher,\I'd also like you to do something that would surprise me.\The same with Mashiro-kun's drawings. response:	These drawings are very high quality. They pass.
context: A mangaka has to surpass his editor!\UUm, are you saying that this name isn't any good after all?\Ah... Sorry, that's not what I meant.\I'm saying that what you have at this point is good, but...\I don't want you to just aim higher,\I'd also like you to do something that would surprise me.\The same with Mashiro-kun's drawings.\These drawings are very high quality. They pass. response:	But as for something that surpasses my advice...
context: UUm, are you saying that this name isn't any good after all?\Ah... Sorry, that's not what I meant.\I'm saying that what you have at this point is good, but...\I don't want you to just aim higher,\I'd also like you to do something that would surprise me.\The same with Mashiro-kun's drawings.\These drawings are very high quality. They pass.\But as for something that surpasses my advice... response:	If you came up with something people couldn't ask for,
context: Ah... Sorry, that's not what I meant.\I'm saying that what you have at this point is good, but...\I don't want you to just aim higher,\I'd also like you to do something that would surprise me.\The same with Mashiro-kun's drawings.\These drawings are very high quality. They pass.\But as for something that surpasses my advice...\If you came up with something people couldn't ask for, response:	that no one could imitate, it'd be perfect.
context: I'm saying that what you have at this point is good, but...\I don't want you to just aim higher,\I'd also like you to do something that would surprise me.\The same with Mashiro-kun's drawings.\These drawings are very high quality. They pass.\But as for something that surpasses my advice...\If you came up with something people couldn't ask for,\that no one could imitate, it'd be perfect. response:	Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you.
context: I don't want you to just aim higher,\I'd also like you to do something that would surprise me.\The same with Mashiro-kun's drawings.\These drawings are very high quality. They pass.\But as for something that surpasses my advice...\If you came up with something people couldn't ask for,\that no one could imitate, it'd be perfect.\Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you. response:	All right.
context: I'd also like you to do something that would surprise me.\The same with Mashiro-kun's drawings.\These drawings are very high quality. They pass.\But as for something that surpasses my advice...\If you came up with something people couldn't ask for,\that no one could imitate, it'd be perfect.\Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you.\All right. response:	Anyhow, I'll send this in for Golden Future.
context: The same with Mashiro-kun's drawings.\These drawings are very high quality. They pass.\But as for something that surpasses my advice...\If you came up with something people couldn't ask for,\that no one could imitate, it'd be perfect.\Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you.\All right.\Anyhow, I'll send this in for Golden Future. response:	I was really surprised that Hattori-san said we could draw mainstream.
context: These drawings are very high quality. They pass.\But as for something that surpasses my advice...\If you came up with something people couldn't ask for,\that no one could imitate, it'd be perfect.\Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you.\All right.\Anyhow, I'll send this in for Golden Future.\I was really surprised that Hattori-san said we could draw mainstream. response:	It's got me pretty fired up. Feels like we can do it, doesn't it?
context: But as for something that surpasses my advice...\If you came up with something people couldn't ask for,\that no one could imitate, it'd be perfect.\Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you.\All right.\Anyhow, I'll send this in for Golden Future.\I was really surprised that Hattori-san said we could draw mainstream.\It's got me pretty fired up. Feels like we can do it, doesn't it? response:	Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine.
context: If you came up with something people couldn't ask for,\that no one could imitate, it'd be perfect.\Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you.\All right.\Anyhow, I'll send this in for Golden Future.\I was really surprised that Hattori-san said we could draw mainstream.\It's got me pretty fired up. Feels like we can do it, doesn't it?\Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine. response:	Shine?
context: that no one could imitate, it'd be perfect.\Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you.\All right.\Anyhow, I'll send this in for Golden Future.\I was really surprised that Hattori-san said we could draw mainstream.\It's got me pretty fired up. Feels like we can do it, doesn't it?\Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine.\Shine? response:	He said he'd submit it for Golden Future,
context: Well, maybe I'm setting the bar too high, but please think of it as a compliment that I'm asking this much of you.\All right.\Anyhow, I'll send this in for Golden Future.\I was really surprised that Hattori-san said we could draw mainstream.\It's got me pretty fired up. Feels like we can do it, doesn't it?\Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine.\Shine?\He said he'd submit it for Golden Future, response:	but it sounds like you have to do something that really shocks the editor to be number one.
context: All right.\Anyhow, I'll send this in for Golden Future.\I was really surprised that Hattori-san said we could draw mainstream.\It's got me pretty fired up. Feels like we can do it, doesn't it?\Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine.\Shine?\He said he'd submit it for Golden Future,\but it sounds like you have to do something that really shocks the editor to be number one. response:	A long time ago, my uncle said the same thing.
context: Anyhow, I'll send this in for Golden Future.\I was really surprised that Hattori-san said we could draw mainstream.\It's got me pretty fired up. Feels like we can do it, doesn't it?\Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine.\Shine?\He said he'd submit it for Golden Future,\but it sounds like you have to do something that really shocks the editor to be number one.\A long time ago, my uncle said the same thing. response:	There are lots of people that can win awards and debut.
context: I was really surprised that Hattori-san said we could draw mainstream.\It's got me pretty fired up. Feels like we can do it, doesn't it?\Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine.\Shine?\He said he'd submit it for Golden Future,\but it sounds like you have to do something that really shocks the editor to be number one.\A long time ago, my uncle said the same thing.\There are lots of people that can win awards and debut. response:	The real problem comes after that.
context: It's got me pretty fired up. Feels like we can do it, doesn't it?\Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine.\Shine?\He said he'd submit it for Golden Future,\but it sounds like you have to do something that really shocks the editor to be number one.\A long time ago, my uncle said the same thing.\There are lots of people that can win awards and debut.\The real problem comes after that. response:	Those that can make it to serialization are only one out of a few dozen.
context: Really? I feel like we were taken in a little. He said it was good, but that it didn't really shine.\Shine?\He said he'd submit it for Golden Future,\but it sounds like you have to do something that really shocks the editor to be number one.\A long time ago, my uncle said the same thing.\There are lots of people that can win awards and debut.\The real problem comes after that.\Those that can make it to serialization are only one out of a few dozen. response:	It's already hard to be happy about having an entry.
context: Shine?\He said he'd submit it for Golden Future,\but it sounds like you have to do something that really shocks the editor to be number one.\A long time ago, my uncle said the same thing.\There are lots of people that can win awards and debut.\The real problem comes after that.\Those that can make it to serialization are only one out of a few dozen.\It's already hard to be happy about having an entry. response:	I want to be number one and get serialized...
context: He said he'd submit it for Golden Future,\but it sounds like you have to do something that really shocks the editor to be number one.\A long time ago, my uncle said the same thing.\There are lots of people that can win awards and debut.\The real problem comes after that.\Those that can make it to serialization are only one out of a few dozen.\It's already hard to be happy about having an entry.\I want to be number one and get serialized... response:	Popular... Popular...
context: but it sounds like you have to do something that really shocks the editor to be number one.\A long time ago, my uncle said the same thing.\There are lots of people that can win awards and debut.\The real problem comes after that.\Those that can make it to serialization are only one out of a few dozen.\It's already hard to be happy about having an entry.\I want to be number one and get serialized...\Popular... Popular... response:	I wanna be popular!
context: A long time ago, my uncle said the same thing.\There are lots of people that can win awards and debut.\The real problem comes after that.\Those that can make it to serialization are only one out of a few dozen.\It's already hard to be happy about having an entry.\I want to be number one and get serialized...\Popular... Popular...\I wanna be popular! response:	YYou're embarrassing me, stop it!
context: There are lots of people that can win awards and debut.\The real problem comes after that.\Those that can make it to serialization are only one out of a few dozen.\It's already hard to be happy about having an entry.\I want to be number one and get serialized...\Popular... Popular...\I wanna be popular!\YYou're embarrassing me, stop it! response:	Thanks for coming all the way here.
context: The real problem comes after that.\Those that can make it to serialization are only one out of a few dozen.\It's already hard to be happy about having an entry.\I want to be number one and get serialized...\Popular... Popular...\I wanna be popular!\YYou're embarrassing me, stop it!\Thanks for coming all the way here. response:	Huh? Where's Shimoyama-kun?
context: Those that can make it to serialization are only one out of a few dozen.\It's already hard to be happy about having an entry.\I want to be number one and get serialized...\Popular... Popular...\I wanna be popular!\YYou're embarrassing me, stop it!\Thanks for coming all the way here.\Huh? Where's Shimoyama-kun? response:	Ah, he quit.
context: It's already hard to be happy about having an entry.\I want to be number one and get serialized...\Popular... Popular...\I wanna be popular!\YYou're embarrassing me, stop it!\Thanks for coming all the way here.\Huh? Where's Shimoyama-kun?\Ah, he quit. response:	He quit?!
context: I want to be number one and get serialized...\Popular... Popular...\I wanna be popular!\YYou're embarrassing me, stop it!\Thanks for coming all the way here.\Huh? Where's Shimoyama-kun?\Ah, he quit.\He quit?! response:	Um, the drawings are going fine,
context: Popular... Popular...\I wanna be popular!\YYou're embarrassing me, stop it!\Thanks for coming all the way here.\Huh? Where's Shimoyama-kun?\Ah, he quit.\He quit?!\Um, the drawings are going fine, response:	but under these conditions, I'd appreciate another assistant or two.
context: I wanna be popular!\YYou're embarrassing me, stop it!\Thanks for coming all the way here.\Huh? Where's Shimoyama-kun?\Ah, he quit.\He quit?!\Um, the drawings are going fine,\but under these conditions, I'd appreciate another assistant or two. response:	Okay, got it.
context: YYou're embarrassing me, stop it!\Thanks for coming all the way here.\Huh? Where's Shimoyama-kun?\Ah, he quit.\He quit?!\Um, the drawings are going fine,\but under these conditions, I'd appreciate another assistant or two.\Okay, got it. response:	Niizuma-kun, I'm here to pick up the manuscript.
context: Thanks for coming all the way here.\Huh? Where's Shimoyama-kun?\Ah, he quit.\He quit?!\Um, the drawings are going fine,\but under these conditions, I'd appreciate another assistant or two.\Okay, got it.\Niizuma-kun, I'm here to pick up the manuscript. response:	Oh, you're here.
context: Huh? Where's Shimoyama-kun?\Ah, he quit.\He quit?!\Um, the drawings are going fine,\but under these conditions, I'd appreciate another assistant or two.\Okay, got it.\Niizuma-kun, I'm here to pick up the manuscript.\Oh, you're here. response:	How's Ashirogi-sensei doing?
context: Ah, he quit.\He quit?!\Um, the drawings are going fine,\but under these conditions, I'd appreciate another assistant or two.\Okay, got it.\Niizuma-kun, I'm here to pick up the manuscript.\Oh, you're here.\How's Ashirogi-sensei doing? response:	Eh? Uh, I think they submitted something for the Golden Future Cup.
context: He quit?!\Um, the drawings are going fine,\but under these conditions, I'd appreciate another assistant or two.\Okay, got it.\Niizuma-kun, I'm here to pick up the manuscript.\Oh, you're here.\How's Ashirogi-sensei doing?\Eh? Uh, I think they submitted something for the Golden Future Cup. response:	Oh, that one where they compete?
context: Um, the drawings are going fine,\but under these conditions, I'd appreciate another assistant or two.\Okay, got it.\Niizuma-kun, I'm here to pick up the manuscript.\Oh, you're here.\How's Ashirogi-sensei doing?\Eh? Uh, I think they submitted something for the Golden Future Cup.\Oh, that one where they compete? response:	Yes.
context: but under these conditions, I'd appreciate another assistant or two.\Okay, got it.\Niizuma-kun, I'm here to pick up the manuscript.\Oh, you're here.\How's Ashirogi-sensei doing?\Eh? Uh, I think they submitted something for the Golden Future Cup.\Oh, that one where they compete?\Yes. response:	They'll have a one-shot running, I'm looking forward to it.
context: Okay, got it.\Niizuma-kun, I'm here to pick up the manuscript.\Oh, you're here.\How's Ashirogi-sensei doing?\Eh? Uh, I think they submitted something for the Golden Future Cup.\Oh, that one where they compete?\Yes.\They'll have a one-shot running, I'm looking forward to it. response:	Ashirogi-sensei will be number one.
context: Niizuma-kun, I'm here to pick up the manuscript.\Oh, you're here.\How's Ashirogi-sensei doing?\Eh? Uh, I think they submitted something for the Golden Future Cup.\Oh, that one where they compete?\Yes.\They'll have a one-shot running, I'm looking forward to it.\Ashirogi-sensei will be number one. response:	Yes! Crow!
context: Oh, you're here.\How's Ashirogi-sensei doing?\Eh? Uh, I think they submitted something for the Golden Future Cup.\Oh, that one where they compete?\Yes.\They'll have a one-shot running, I'm looking forward to it.\Ashirogi-sensei will be number one.\Yes! Crow! response:	What? It's not even being entered?
context: How's Ashirogi-sensei doing?\Eh? Uh, I think they submitted something for the Golden Future Cup.\Oh, that one where they compete?\Yes.\They'll have a one-shot running, I'm looking forward to it.\Ashirogi-sensei will be number one.\Yes! Crow!\What? It's not even being entered? response:	Yes. It's unfortunate, but that's the feedback I got.
context: Eh? Uh, I think they submitted something for the Golden Future Cup.\Oh, that one where they compete?\Yes.\They'll have a one-shot running, I'm looking forward to it.\Ashirogi-sensei will be number one.\Yes! Crow!\What? It's not even being entered?\Yes. It's unfortunate, but that's the feedback I got. response:	Also...
context: Oh, that one where they compete?\Yes.\They'll have a one-shot running, I'm looking forward to it.\Ashirogi-sensei will be number one.\Yes! Crow!\What? It's not even being entered?\Yes. It's unfortunate, but that's the feedback I got.\Also... response:	Not only is it not going to be in Golden Future,
context: Yes.\They'll have a one-shot running, I'm looking forward to it.\Ashirogi-sensei will be number one.\Yes! Crow!\What? It's not even being entered?\Yes. It's unfortunate, but that's the feedback I got.\Also...\Not only is it not going to be in Golden Future, response:	but as it stands, even if it were sent in for the summer NEXT!,
context: They'll have a one-shot running, I'm looking forward to it.\Ashirogi-sensei will be number one.\Yes! Crow!\What? It's not even being entered?\Yes. It's unfortunate, but that's the feedback I got.\Also...\Not only is it not going to be in Golden Future,\but as it stands, even if it were sent in for the summer NEXT!, response:	they said it probably wouldn't do well there either.
context: Ashirogi-sensei will be number one.\Yes! Crow!\What? It's not even being entered?\Yes. It's unfortunate, but that's the feedback I got.\Also...\Not only is it not going to be in Golden Future,\but as it stands, even if it were sent in for the summer NEXT!,\they said it probably wouldn't do well there either. response:	Maybe mainstream is impossible for us after all.
context: Yes! Crow!\What? It's not even being entered?\Yes. It's unfortunate, but that's the feedback I got.\Also...\Not only is it not going to be in Golden Future,\but as it stands, even if it were sent in for the summer NEXT!,\they said it probably wouldn't do well there either.\Maybe mainstream is impossible for us after all. response:	I'm the one who said we had to do mainstream.
context: What? It's not even being entered?\Yes. It's unfortunate, but that's the feedback I got.\Also...\Not only is it not going to be in Golden Future,\but as it stands, even if it were sent in for the summer NEXT!,\they said it probably wouldn't do well there either.\Maybe mainstream is impossible for us after all.\I'm the one who said we had to do mainstream. response:	I can't make stories like you, Shuujin.
context: Yes. It's unfortunate, but that's the feedback I got.\Also...\Not only is it not going to be in Golden Future,\but as it stands, even if it were sent in for the summer NEXT!,\they said it probably wouldn't do well there either.\Maybe mainstream is impossible for us after all.\I'm the one who said we had to do mainstream.\I can't make stories like you, Shuujin. response:	We should just do the stories you want to
context: Also...\Not only is it not going to be in Golden Future,\but as it stands, even if it were sent in for the summer NEXT!,\they said it probably wouldn't do well there either.\Maybe mainstream is impossible for us after all.\I'm the one who said we had to do mainstream.\I can't make stories like you, Shuujin.\We should just do the stories you want to response:	Don't say stuff like that!
context: Not only is it not going to be in Golden Future,\but as it stands, even if it were sent in for the summer NEXT!,\they said it probably wouldn't do well there either.\Maybe mainstream is impossible for us after all.\I'm the one who said we had to do mainstream.\I can't make stories like you, Shuujin.\We should just do the stories you want to\Don't say stuff like that! response:	I said I wanted to aim for the top by doing mainstream too!
context: but as it stands, even if it were sent in for the summer NEXT!,\they said it probably wouldn't do well there either.\Maybe mainstream is impossible for us after all.\I'm the one who said we had to do mainstream.\I can't make stories like you, Shuujin.\We should just do the stories you want to\Don't say stuff like that!\I said I wanted to aim for the top by doing mainstream too! response:	To get a call like this, today of all days...
context: they said it probably wouldn't do well there either.\Maybe mainstream is impossible for us after all.\I'm the one who said we had to do mainstream.\I can't make stories like you, Shuujin.\We should just do the stories you want to\Don't say stuff like that!\I said I wanted to aim for the top by doing mainstream too!\To get a call like this, today of all days... response:	We won't be able to enjoy Azuki's appearance in the anime.
context: Maybe mainstream is impossible for us after all.\I'm the one who said we had to do mainstream.\I can't make stories like you, Shuujin.\We should just do the stories you want to\Don't say stuff like that!\I said I wanted to aim for the top by doing mainstream too!\To get a call like this, today of all days...\We won't be able to enjoy Azuki's appearance in the anime. response:	WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited!
context: I'm the one who said we had to do mainstream.\I can't make stories like you, Shuujin.\We should just do the stories you want to\Don't say stuff like that!\I said I wanted to aim for the top by doing mainstream too!\To get a call like this, today of all days...\We won't be able to enjoy Azuki's appearance in the anime.\WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited! response:	Sei Visual Gakuin Koutou Bu!
context: I can't make stories like you, Shuujin.\We should just do the stories you want to\Don't say stuff like that!\I said I wanted to aim for the top by doing mainstream too!\To get a call like this, today of all days...\We won't be able to enjoy Azuki's appearance in the anime.\WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited!\Sei Visual Gakuin Koutou Bu! response:	It's starting!
context: We should just do the stories you want to\Don't say stuff like that!\I said I wanted to aim for the top by doing mainstream too!\To get a call like this, today of all days...\We won't be able to enjoy Azuki's appearance in the anime.\WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited!\Sei Visual Gakuin Koutou Bu!\It's starting! response:	We...
context: Don't say stuff like that!\I said I wanted to aim for the top by doing mainstream too!\To get a call like this, today of all days...\We won't be able to enjoy Azuki's appearance in the anime.\WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited!\Sei Visual Gakuin Koutou Bu!\It's starting!\We... response:	We are saints!
context: I said I wanted to aim for the top by doing mainstream too!\To get a call like this, today of all days...\We won't be able to enjoy Azuki's appearance in the anime.\WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited!\Sei Visual Gakuin Koutou Bu!\It's starting!\We...\We are saints! response:	A new excitement is awakening in my heart.
context: To get a call like this, today of all days...\We won't be able to enjoy Azuki's appearance in the anime.\WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited!\Sei Visual Gakuin Koutou Bu!\It's starting!\We...\We are saints!\A new excitement is awakening in my heart. response:	If we have a rendezvous, then yes,
context: We won't be able to enjoy Azuki's appearance in the anime.\WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited!\Sei Visual Gakuin Koutou Bu!\It's starting!\We...\We are saints!\A new excitement is awakening in my heart.\If we have a rendezvous, then yes, response:	your heart is...
context: WhWhat's going on? Even though I'm so depressed, I'm actually getting really excited!\Sei Visual Gakuin Koutou Bu!\It's starting!\We...\We are saints!\A new excitement is awakening in my heart.\If we have a rendezvous, then yes,\your heart is... response:	Well then, everyone, take care.
context: Sei Visual Gakuin Koutou Bu!\It's starting!\We...\We are saints!\A new excitement is awakening in my heart.\If we have a rendezvous, then yes,\your heart is...\Well then, everyone, take care. response:	Hey, it's almost over already?
context: It's starting!\We...\We are saints!\A new excitement is awakening in my heart.\If we have a rendezvous, then yes,\your heart is...\Well then, everyone, take care.\Hey, it's almost over already? response:	Is Azuki really in this?
context: We...\We are saints!\A new excitement is awakening in my heart.\If we have a rendezvous, then yes,\your heart is...\Well then, everyone, take care.\Hey, it's almost over already?\Is Azuki really in this? response:	UUm, senpai..
context: We are saints!\A new excitement is awakening in my heart.\If we have a rendezvous, then yes,\your heart is...\Well then, everyone, take care.\Hey, it's almost over already?\Is Azuki really in this?\UUm, senpai.. response:	There she is! Saotomeji Reika!
