context: Astrology? What do the public for astrology? response:	Astrology is the moon
context: what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go\Here's my love of response:	I will give you all the feelings of my heart
context: Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go\Here's my love of\I will give you all the feelings of my heart response:	Kemeto, what do you do?
context: Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go\Here's my love of\I will give you all the feelings of my heart\Kemeto, what do you do? response:	What is that?
context: Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go\Here's my love of\I will give you all the feelings of my heart\Kemeto, what do you do?\What is that? response:	Otakbrha Astrological, huh?
context: Pulse in my heart\Sweet and puzzling\I am ready to go\Here's my love of\I will give you all the feelings of my heart\Kemeto, what do you do?\What is that?\Otakbrha Astrological, huh? response:	So, you have no choice but to do this, huh?
context: Sweet and puzzling\I am ready to go\Here's my love of\I will give you all the feelings of my heart\Kemeto, what do you do?\What is that?\Otakbrha Astrological, huh?\So, you have no choice but to do this, huh? response:	Huh?
context: I am ready to go\Here's my love of\I will give you all the feelings of my heart\Kemeto, what do you do?\What is that?\Otakbrha Astrological, huh?\So, you have no choice but to do this, huh?\Huh? response:	Djalteni angry now.
context: Here's my love of\I will give you all the feelings of my heart\Kemeto, what do you do?\What is that?\Otakbrha Astrological, huh?\So, you have no choice but to do this, huh?\Huh?\Djalteni angry now. response:	come on hurry up
context: I will give you all the feelings of my heart\Kemeto, what do you do?\What is that?\Otakbrha Astrological, huh?\So, you have no choice but to do this, huh?\Huh?\Djalteni angry now.\come on hurry up response:	Djalteni angry now.
context: Kemeto, what do you do?\What is that?\Otakbrha Astrological, huh?\So, you have no choice but to do this, huh?\Huh?\Djalteni angry now.\come on hurry up\Djalteni angry now. response:	What do you mean that I made you angry now?
context: What is that?\Otakbrha Astrological, huh?\So, you have no choice but to do this, huh?\Huh?\Djalteni angry now.\come on hurry up\Djalteni angry now.\What do you mean that I made you angry now? response:	Djalteni angry now.
context: Otakbrha Astrological, huh?\So, you have no choice but to do this, huh?\Huh?\Djalteni angry now.\come on hurry up\Djalteni angry now.\What do you mean that I made you angry now?\Djalteni angry now. response:	Love Love, Mio-Mio
context: So, you have no choice but to do this, huh?\Huh?\Djalteni angry now.\come on hurry up\Djalteni angry now.\What do you mean that I made you angry now?\Djalteni angry now.\Love Love, Mio-Mio response:	I am, I will be your servant Kemeto-sama
context: Huh?\Djalteni angry now.\come on hurry up\Djalteni angry now.\What do you mean that I made you angry now?\Djalteni angry now.\Love Love, Mio-Mio\I am, I will be your servant Kemeto-sama response:	Kemeto, also gather them
context: Djalteni angry now.\come on hurry up\Djalteni angry now.\What do you mean that I made you angry now?\Djalteni angry now.\Love Love, Mio-Mio\I am, I will be your servant Kemeto-sama\Kemeto, also gather them response:	Kajorzaka-sama here
