context: The prince should be with the princess. response:	Who was the one who decided that?
context: Jeez, the only good thing about Nanashima is his looks.\Don't let it bother you, Kae-chan.\A-chan.\Did you see that? Igarashi apologized even though Nanashima was the one who did it.\Is that a pairing? It is, right? That's a pairing! It's too much!\Okay, maybe let it bother you a little, Kae-chan.\It's all good. The cuteness makes me happy.\Really. response:	Even if I have a connection with hot guys, it's wasted on me.
context: Don't let it bother you, Kae-chan.\A-chan.\Did you see that? Igarashi apologized even though Nanashima was the one who did it.\Is that a pairing? It is, right? That's a pairing! It's too much!\Okay, maybe let it bother you a little, Kae-chan.\It's all good. The cuteness makes me happy.\Really.\Even if I have a connection with hot guys, it's wasted on me. response:	A prince should be with a prince.
context: A-chan.\Did you see that? Igarashi apologized even though Nanashima was the one who did it.\Is that a pairing? It is, right? That's a pairing! It's too much!\Okay, maybe let it bother you a little, Kae-chan.\It's all good. The cuteness makes me happy.\Really.\Even if I have a connection with hot guys, it's wasted on me.\A prince should be with a prince. response:	My happiness comes from peeping on the sidelines, not bothering them.
context: Did you see that? Igarashi apologized even though Nanashima was the one who did it.\Is that a pairing? It is, right? That's a pairing! It's too much!\Okay, maybe let it bother you a little, Kae-chan.\It's all good. The cuteness makes me happy.\Really.\Even if I have a connection with hot guys, it's wasted on me.\A prince should be with a prince.\My happiness comes from peeping on the sidelines, not bothering them. response:	That's where I belong.
context: Is that a pairing? It is, right? That's a pairing! It's too much!\Okay, maybe let it bother you a little, Kae-chan.\It's all good. The cuteness makes me happy.\Really.\Even if I have a connection with hot guys, it's wasted on me.\A prince should be with a prince.\My happiness comes from peeping on the sidelines, not bothering them.\That's where I belong. response:	Shion plays a big part in Mirage Saga today, right?
context: Okay, maybe let it bother you a little, Kae-chan.\It's all good. The cuteness makes me happy.\Really.\Even if I have a connection with hot guys, it's wasted on me.\A prince should be with a prince.\My happiness comes from peeping on the sidelines, not bothering them.\That's where I belong.\Shion plays a big part in Mirage Saga today, right? response:	Yup! I'm so looking forward to Shion!
context: It's all good. The cuteness makes me happy.\Really.\Even if I have a connection with hot guys, it's wasted on me.\A prince should be with a prince.\My happiness comes from peeping on the sidelines, not bothering them.\That's where I belong.\Shion plays a big part in Mirage Saga today, right?\Yup! I'm so looking forward to Shion! response:	Sorry if I spoil it on social media.
context: Really.\Even if I have a connection with hot guys, it's wasted on me.\A prince should be with a prince.\My happiness comes from peeping on the sidelines, not bothering them.\That's where I belong.\Shion plays a big part in Mirage Saga today, right?\Yup! I'm so looking forward to Shion!\Sorry if I spoil it on social media. response:	I mean, I definitely will.
context: Even if I have a connection with hot guys, it's wasted on me.\A prince should be with a prince.\My happiness comes from peeping on the sidelines, not bothering them.\That's where I belong.\Shion plays a big part in Mirage Saga today, right?\Yup! I'm so looking forward to Shion!\Sorry if I spoil it on social media.\I mean, I definitely will. response:	That's fine. See you tomorrow!
context: A prince should be with a prince.\My happiness comes from peeping on the sidelines, not bothering them.\That's where I belong.\Shion plays a big part in Mirage Saga today, right?\Yup! I'm so looking forward to Shion!\Sorry if I spoil it on social media.\I mean, I definitely will.\That's fine. See you tomorrow! response:	Bye bye!
context: My happiness comes from peeping on the sidelines, not bothering them.\That's where I belong.\Shion plays a big part in Mirage Saga today, right?\Yup! I'm so looking forward to Shion!\Sorry if I spoil it on social media.\I mean, I definitely will.\That's fine. See you tomorrow!\Bye bye! response:	That's what I thought.
context: That's where I belong.\Shion plays a big part in Mirage Saga today, right?\Yup! I'm so looking forward to Shion!\Sorry if I spoil it on social media.\I mean, I definitely will.\That's fine. See you tomorrow!\Bye bye!\That's what I thought. response:	Until that day.
context: Shion plays a big part in Mirage Saga today, right?\Yup! I'm so looking forward to Shion!\Sorry if I spoil it on social media.\I mean, I definitely will.\That's fine. See you tomorrow!\Bye bye!\That's what I thought.\Until that day. response:	We reached out to the sky.
context: Yup! I'm so looking forward to Shion!\Sorry if I spoil it on social media.\I mean, I definitely will.\That's fine. See you tomorrow!\Bye bye!\That's what I thought.\Until that day.\We reached out to the sky. response:	And gave one devoted prayer.
context: Sorry if I spoil it on social media.\I mean, I definitely will.\That's fine. See you tomorrow!\Bye bye!\That's what I thought.\Until that day.\We reached out to the sky.\And gave one devoted prayer. response:	Slash through the darkness.
context: I mean, I definitely will.\That's fine. See you tomorrow!\Bye bye!\That's what I thought.\Until that day.\We reached out to the sky.\And gave one devoted prayer.\Slash through the darkness. response:	Ekka@ *** Shion's here! (q) =
context: That's fine. See you tomorrow!\Bye bye!\That's what I thought.\Until that day.\We reached out to the sky.\And gave one devoted prayer.\Slash through the darkness.\Ekka@ *** Shion's here! (q) = response:	This guy's tough!
context: Bye bye!\That's what I thought.\Until that day.\We reached out to the sky.\And gave one devoted prayer.\Slash through the darkness.\Ekka@ *** Shion's here! (q) =\This guy's tough! response:	This will be interesting!
context: That's what I thought.\Until that day.\We reached out to the sky.\And gave one devoted prayer.\Slash through the darkness.\Ekka@ *** Shion's here! (q) =\This guy's tough!\This will be interesting! response:	Shion!
context: Until that day.\We reached out to the sky.\And gave one devoted prayer.\Slash through the darkness.\Ekka@ *** Shion's here! (q) =\This guy's tough!\This will be interesting!\Shion! response:	Today's animation is so pretty!
context: We reached out to the sky.\And gave one devoted prayer.\Slash through the darkness.\Ekka@ *** Shion's here! (q) =\This guy's tough!\This will be interesting!\Shion!\Today's animation is so pretty! response:	Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big!
context: And gave one devoted prayer.\Slash through the darkness.\Ekka@ *** Shion's here! (q) =\This guy's tough!\This will be interesting!\Shion!\Today's animation is so pretty!\Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big! response:	Shion. This can't be!
context: Slash through the darkness.\Ekka@ *** Shion's here! (q) =\This guy's tough!\This will be interesting!\Shion!\Today's animation is so pretty!\Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big!\Shion. This can't be! response:	Stand up! I'm begging you! Who is going to make Enchanito?
context: Ekka@ *** Shion's here! (q) =\This guy's tough!\This will be interesting!\Shion!\Today's animation is so pretty!\Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big!\Shion. This can't be!\Stand up! I'm begging you! Who is going to make Enchanito? response:	Shion!
context: This guy's tough!\This will be interesting!\Shion!\Today's animation is so pretty!\Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big!\Shion. This can't be!\Stand up! I'm begging you! Who is going to make Enchanito?\Shion! response:	Wh-What? What happened, Kae?
context: This will be interesting!\Shion!\Today's animation is so pretty!\Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big!\Shion. This can't be!\Stand up! I'm begging you! Who is going to make Enchanito?\Shion!\Wh-What? What happened, Kae? response:	Shut up, fatty!
context: Shion!\Today's animation is so pretty!\Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big!\Shion. This can't be!\Stand up! I'm begging you! Who is going to make Enchanito?\Shion!\Wh-What? What happened, Kae?\Shut up, fatty! response:	Serinuma Kae.
context: Today's animation is so pretty!\Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big!\Shion. This can't be!\Stand up! I'm begging you! Who is going to make Enchanito?\Shion!\Wh-What? What happened, Kae?\Shut up, fatty!\Serinuma Kae. response:	Is Serinuma absent again today?
context: Phone: Ekka@*** Gyaaahh! (q) So cuuute! (q) Ekka@*** I feel like today's story's gonna be big!\Shion. This can't be!\Stand up! I'm begging you! Who is going to make Enchanito?\Shion!\Wh-What? What happened, Kae?\Shut up, fatty!\Serinuma Kae.\Is Serinuma absent again today? response:	She's been absent for a week already.
context: Shion. This can't be!\Stand up! I'm begging you! Who is going to make Enchanito?\Shion!\Wh-What? What happened, Kae?\Shut up, fatty!\Serinuma Kae.\Is Serinuma absent again today?\She's been absent for a week already. response:	I can't reach her, and her tweets have stopped, too.
context: Stand up! I'm begging you! Who is going to make Enchanito?\Shion!\Wh-What? What happened, Kae?\Shut up, fatty!\Serinuma Kae.\Is Serinuma absent again today?\She's been absent for a week already.\I can't reach her, and her tweets have stopped, too. response:	I hope she's okay.
context: Shion!\Wh-What? What happened, Kae?\Shut up, fatty!\Serinuma Kae.\Is Serinuma absent again today?\She's been absent for a week already.\I can't reach her, and her tweets have stopped, too.\I hope she's okay. response:	Kae? Kae!
context: Wh-What? What happened, Kae?\Shut up, fatty!\Serinuma Kae.\Is Serinuma absent again today?\She's been absent for a week already.\I can't reach her, and her tweets have stopped, too.\I hope she's okay.\Kae? Kae! response:	Stop shutting yourself in like this and come out.
context: Shut up, fatty!\Serinuma Kae.\Is Serinuma absent again today?\She's been absent for a week already.\I can't reach her, and her tweets have stopped, too.\I hope she's okay.\Kae? Kae!\Stop shutting yourself in like this and come out. response:	You're not even eating. Goodness.
context: Serinuma Kae.\Is Serinuma absent again today?\She's been absent for a week already.\I can't reach her, and her tweets have stopped, too.\I hope she's okay.\Kae? Kae!\Stop shutting yourself in like this and come out.\You're not even eating. Goodness. response:	Takuro, do something, will you?
context: Is Serinuma absent again today?\She's been absent for a week already.\I can't reach her, and her tweets have stopped, too.\I hope she's okay.\Kae? Kae!\Stop shutting yourself in like this and come out.\You're not even eating. Goodness.\Takuro, do something, will you? response:	Huh?
context: She's been absent for a week already.\I can't reach her, and her tweets have stopped, too.\I hope she's okay.\Kae? Kae!\Stop shutting yourself in like this and come out.\You're not even eating. Goodness.\Takuro, do something, will you?\Huh? response:	Don't huh me! Aren't you worried about your little sister?
context: I can't reach her, and her tweets have stopped, too.\I hope she's okay.\Kae? Kae!\Stop shutting yourself in like this and come out.\You're not even eating. Goodness.\Takuro, do something, will you?\Huh?\Don't huh me! Aren't you worried about your little sister? response:	That fatty's such a pain.
context: I hope she's okay.\Kae? Kae!\Stop shutting yourself in like this and come out.\You're not even eating. Goodness.\Takuro, do something, will you?\Huh?\Don't huh me! Aren't you worried about your little sister?\That fatty's such a pain. response:	Hey, fatso!
context: Kae? Kae!\Stop shutting yourself in like this and come out.\You're not even eating. Goodness.\Takuro, do something, will you?\Huh?\Don't huh me! Aren't you worried about your little sister?\That fatty's such a pain.\Hey, fatso! response:	Get your ass out of bed!
context: Stop shutting yourself in like this and come out.\You're not even eating. Goodness.\Takuro, do something, will you?\Huh?\Don't huh me! Aren't you worried about your little sister?\That fatty's such a pain.\Hey, fatso!\Get your ass out of bed! response:	Take a bath and eat!
context: You're not even eating. Goodness.\Takuro, do something, will you?\Huh?\Don't huh me! Aren't you worried about your little sister?\That fatty's such a pain.\Hey, fatso!\Get your ass out of bed!\Take a bath and eat! response:	You'll die if you keep at this, fatty!
context: Takuro, do something, will you?\Huh?\Don't huh me! Aren't you worried about your little sister?\That fatty's such a pain.\Hey, fatso!\Get your ass out of bed!\Take a bath and eat!\You'll die if you keep at this, fatty! response:	No!
context: Huh?\Don't huh me! Aren't you worried about your little sister?\That fatty's such a pain.\Hey, fatso!\Get your ass out of bed!\Take a bath and eat!\You'll die if you keep at this, fatty!\No! response:	Don't give me that crap! Stop being a headache for mom!
context: Don't huh me! Aren't you worried about your little sister?\That fatty's such a pain.\Hey, fatso!\Get your ass out of bed!\Take a bath and eat!\You'll die if you keep at this, fatty!\No!\Don't give me that crap! Stop being a headache for mom! response:	C'mon!
context: That fatty's such a pain.\Hey, fatso!\Get your ass out of bed!\Take a bath and eat!\You'll die if you keep at this, fatty!\No!\Don't give me that crap! Stop being a headache for mom!\C'mon! response:	Fine.
context: Hey, fatso!\Get your ass out of bed!\Take a bath and eat!\You'll die if you keep at this, fatty!\No!\Don't give me that crap! Stop being a headache for mom!\C'mon!\Fine. response:	My hair's all oily.
context: Get your ass out of bed!\Take a bath and eat!\You'll die if you keep at this, fatty!\No!\Don't give me that crap! Stop being a headache for mom!\C'mon!\Fine.\My hair's all oily. response:	I'm gonna take a bath.
context: Take a bath and eat!\You'll die if you keep at this, fatty!\No!\Don't give me that crap! Stop being a headache for mom!\C'mon!\Fine.\My hair's all oily.\I'm gonna take a bath. response:	I guess I'll tell A-chan what happened.
context: You'll die if you keep at this, fatty!\No!\Don't give me that crap! Stop being a headache for mom!\C'mon!\Fine.\My hair's all oily.\I'm gonna take a bath.\I guess I'll tell A-chan what happened. response:	Shion...
context: No!\Don't give me that crap! Stop being a headache for mom!\C'mon!\Fine.\My hair's all oily.\I'm gonna take a bath.\I guess I'll tell A-chan what happened.\Shion... response:	What?
context: Don't give me that crap! Stop being a headache for mom!\C'mon!\Fine.\My hair's all oily.\I'm gonna take a bath.\I guess I'll tell A-chan what happened.\Shion...\What? response:	What kind of poster is this?
context: C'mon!\Fine.\My hair's all oily.\I'm gonna take a bath.\I guess I'll tell A-chan what happened.\Shion...\What?\What kind of poster is this? response:	Huh?
context: Fine.\My hair's all oily.\I'm gonna take a bath.\I guess I'll tell A-chan what happened.\Shion...\What?\What kind of poster is this?\Huh? response:	Mom! The mirror's broken!
context: My hair's all oily.\I'm gonna take a bath.\I guess I'll tell A-chan what happened.\Shion...\What?\What kind of poster is this?\Huh?\Mom! The mirror's broken! response:	K-Kae?! So it really is you, Kae!
context: I'm gonna take a bath.\I guess I'll tell A-chan what happened.\Shion...\What?\What kind of poster is this?\Huh?\Mom! The mirror's broken!\K-Kae?! So it really is you, Kae! response:	Seriously?!
context: I guess I'll tell A-chan what happened.\Shion...\What?\What kind of poster is this?\Huh?\Mom! The mirror's broken!\K-Kae?! So it really is you, Kae!\Seriously?! response:	It can't be.
context: Shion...\What?\What kind of poster is this?\Huh?\Mom! The mirror's broken!\K-Kae?! So it really is you, Kae!\Seriously?!\It can't be. response:	This can't be real.
context: What?\What kind of poster is this?\Huh?\Mom! The mirror's broken!\K-Kae?! So it really is you, Kae!\Seriously?!\It can't be.\This can't be real. response:	But...
context: What kind of poster is this?\Huh?\Mom! The mirror's broken!\K-Kae?! So it really is you, Kae!\Seriously?!\It can't be.\This can't be real.\But... response:	This is reality, so there's nothing I can do.
context: Huh?\Mom! The mirror's broken!\K-Kae?! So it really is you, Kae!\Seriously?!\It can't be.\This can't be real.\But...\This is reality, so there's nothing I can do. response:	Good morning.
context: Mom! The mirror's broken!\K-Kae?! So it really is you, Kae!\Seriously?!\It can't be.\This can't be real.\But...\This is reality, so there's nothing I can do.\Good morning. response:	Oh, no, everyone's staring at me.
context: K-Kae?! So it really is you, Kae!\Seriously?!\It can't be.\This can't be real.\But...\This is reality, so there's nothing I can do.\Good morning.\Oh, no, everyone's staring at me. response:	Does my uniform look strange?
context: Seriously?!\It can't be.\This can't be real.\But...\This is reality, so there's nothing I can do.\Good morning.\Oh, no, everyone's staring at me.\Does my uniform look strange? response:	I did force it to fit.
context: It can't be.\This can't be real.\But...\This is reality, so there's nothing I can do.\Good morning.\Oh, no, everyone's staring at me.\Does my uniform look strange?\I did force it to fit. response:	I should've stayed home!
context: This can't be real.\But...\This is reality, so there's nothing I can do.\Good morning.\Oh, no, everyone's staring at me.\Does my uniform look strange?\I did force it to fit.\I should've stayed home! response:	A-chan!
context: But...\This is reality, so there's nothing I can do.\Good morning.\Oh, no, everyone's staring at me.\Does my uniform look strange?\I did force it to fit.\I should've stayed home!\A-chan! response:	It's been so long!
context: This is reality, so there's nothing I can do.\Good morning.\Oh, no, everyone's staring at me.\Does my uniform look strange?\I did force it to fit.\I should've stayed home!\A-chan!\It's been so long! response:	Sorry I haven't been in touch! I broke my phone!
context: Good morning.\Oh, no, everyone's staring at me.\Does my uniform look strange?\I did force it to fit.\I should've stayed home!\A-chan!\It's been so long!\Sorry I haven't been in touch! I broke my phone! response:	That voice... Kae-chan, is that you?!
context: Oh, no, everyone's staring at me.\Does my uniform look strange?\I did force it to fit.\I should've stayed home!\A-chan!\It's been so long!\Sorry I haven't been in touch! I broke my phone!\That voice... Kae-chan, is that you?! response:	You're kidding! You're Serinuma? Really?!
context: Does my uniform look strange?\I did force it to fit.\I should've stayed home!\A-chan!\It's been so long!\Sorry I haven't been in touch! I broke my phone!\That voice... Kae-chan, is that you?!\You're kidding! You're Serinuma? Really?! response:	Right?! How did this happen?!
context: I did force it to fit.\I should've stayed home!\A-chan!\It's been so long!\Sorry I haven't been in touch! I broke my phone!\That voice... Kae-chan, is that you?!\You're kidding! You're Serinuma? Really?!\Right?! How did this happen?! response:	What happened?!
context: I should've stayed home!\A-chan!\It's been so long!\Sorry I haven't been in touch! I broke my phone!\That voice... Kae-chan, is that you?!\You're kidding! You're Serinuma? Really?!\Right?! How did this happen?!\What happened?! response:	What happened to you?!
context: A-chan!\It's been so long!\Sorry I haven't been in touch! I broke my phone!\That voice... Kae-chan, is that you?!\You're kidding! You're Serinuma? Really?!\Right?! How did this happen?!\What happened?!\What happened to you?! response:	N-No...
context: It's been so long!\Sorry I haven't been in touch! I broke my phone!\That voice... Kae-chan, is that you?!\You're kidding! You're Serinuma? Really?!\Right?! How did this happen?!\What happened?!\What happened to you?!\N-No... response:	Stop it! You're scaring her. Everyone, relax.
context: Sorry I haven't been in touch! I broke my phone!\That voice... Kae-chan, is that you?!\You're kidding! You're Serinuma? Really?!\Right?! How did this happen?!\What happened?!\What happened to you?!\N-No...\Stop it! You're scaring her. Everyone, relax. response:	Are you okay?
context: That voice... Kae-chan, is that you?!\You're kidding! You're Serinuma? Really?!\Right?! How did this happen?!\What happened?!\What happened to you?!\N-No...\Stop it! You're scaring her. Everyone, relax.\Are you okay? response:	Thanks, Igarashi-kun.
context: You're kidding! You're Serinuma? Really?!\Right?! How did this happen?!\What happened?!\What happened to you?!\N-No...\Stop it! You're scaring her. Everyone, relax.\Are you okay?\Thanks, Igarashi-kun. response:	Uh, sorry.
context: Right?! How did this happen?!\What happened?!\What happened to you?!\N-No...\Stop it! You're scaring her. Everyone, relax.\Are you okay?\Thanks, Igarashi-kun.\Uh, sorry. response:	Whoa, are you for real?
context: What happened?!\What happened to you?!\N-No...\Stop it! You're scaring her. Everyone, relax.\Are you okay?\Thanks, Igarashi-kun.\Uh, sorry.\Whoa, are you for real? response:	She got cute after losing some weight. Unreal.
context: What happened to you?!\N-No...\Stop it! You're scaring her. Everyone, relax.\Are you okay?\Thanks, Igarashi-kun.\Uh, sorry.\Whoa, are you for real?\She got cute after losing some weight. Unreal. response:	Right, Nanashima?
context: N-No...\Stop it! You're scaring her. Everyone, relax.\Are you okay?\Thanks, Igarashi-kun.\Uh, sorry.\Whoa, are you for real?\She got cute after losing some weight. Unreal.\Right, Nanashima? response:	Are you okay?
context: Stop it! You're scaring her. Everyone, relax.\Are you okay?\Thanks, Igarashi-kun.\Uh, sorry.\Whoa, are you for real?\She got cute after losing some weight. Unreal.\Right, Nanashima?\Are you okay? response:	Hey, Nanashima?
context: Are you okay?\Thanks, Igarashi-kun.\Uh, sorry.\Whoa, are you for real?\She got cute after losing some weight. Unreal.\Right, Nanashima?\Are you okay?\Hey, Nanashima? response:	Yeah!
context: Thanks, Igarashi-kun.\Uh, sorry.\Whoa, are you for real?\She got cute after losing some weight. Unreal.\Right, Nanashima?\Are you okay?\Hey, Nanashima?\Yeah! response:	That's crazy. Seriously?
context: Uh, sorry.\Whoa, are you for real?\She got cute after losing some weight. Unreal.\Right, Nanashima?\Are you okay?\Hey, Nanashima?\Yeah!\That's crazy. Seriously? response:	She's a real hottie, now!
context: Whoa, are you for real?\She got cute after losing some weight. Unreal.\Right, Nanashima?\Are you okay?\Hey, Nanashima?\Yeah!\That's crazy. Seriously?\She's a real hottie, now! response:	Hey, Nana...
context: She got cute after losing some weight. Unreal.\Right, Nanashima?\Are you okay?\Hey, Nanashima?\Yeah!\That's crazy. Seriously?\She's a real hottie, now!\Hey, Nana... response:	But don't forget what she used to be. You know...
context: Right, Nanashima?\Are you okay?\Hey, Nanashima?\Yeah!\That's crazy. Seriously?\She's a real hottie, now!\Hey, Nana...\But don't forget what she used to be. You know... response:	Kae-chan!
context: Are you okay?\Hey, Nanashima?\Yeah!\That's crazy. Seriously?\She's a real hottie, now!\Hey, Nana...\But don't forget what she used to be. You know...\Kae-chan! response:	Whoa, you made her cry!
context: Hey, Nanashima?\Yeah!\That's crazy. Seriously?\She's a real hottie, now!\Hey, Nana...\But don't forget what she used to be. You know...\Kae-chan!\Whoa, you made her cry! response:	Jeez, what're you gonna do now?
context: Yeah!\That's crazy. Seriously?\She's a real hottie, now!\Hey, Nana...\But don't forget what she used to be. You know...\Kae-chan!\Whoa, you made her cry!\Jeez, what're you gonna do now? response:	You're the worst!
context: That's crazy. Seriously?\She's a real hottie, now!\Hey, Nana...\But don't forget what she used to be. You know...\Kae-chan!\Whoa, you made her cry!\Jeez, what're you gonna do now?\You're the worst! response:	Me?!
context: She's a real hottie, now!\Hey, Nana...\But don't forget what she used to be. You know...\Kae-chan!\Whoa, you made her cry!\Jeez, what're you gonna do now?\You're the worst!\Me?! response:	When I see Nanashima-kun, I start to remember Shion!
context: Hey, Nana...\But don't forget what she used to be. You know...\Kae-chan!\Whoa, you made her cry!\Jeez, what're you gonna do now?\You're the worst!\Me?!\When I see Nanashima-kun, I start to remember Shion! response:	What are you doing?
context: But don't forget what she used to be. You know...\Kae-chan!\Whoa, you made her cry!\Jeez, what're you gonna do now?\You're the worst!\Me?!\When I see Nanashima-kun, I start to remember Shion!\What are you doing? response:	Don't run! It's danger
context: Kae-chan!\Whoa, you made her cry!\Jeez, what're you gonna do now?\You're the worst!\Me?!\When I see Nanashima-kun, I start to remember Shion!\What are you doing?\Don't run! It's danger response:	Shinomiya-kun.
context: Whoa, you made her cry!\Jeez, what're you gonna do now?\You're the worst!\Me?!\When I see Nanashima-kun, I start to remember Shion!\What are you doing?\Don't run! It's danger\Shinomiya-kun. response:	I'm sorry.
context: Jeez, what're you gonna do now?\You're the worst!\Me?!\When I see Nanashima-kun, I start to remember Shion!\What are you doing?\Don't run! It's danger\Shinomiya-kun.\I'm sorry. response:	W-Wait!
context: You're the worst!\Me?!\When I see Nanashima-kun, I start to remember Shion!\What are you doing?\Don't run! It's danger\Shinomiya-kun.\I'm sorry.\W-Wait! response:	Wh-What?
context: Me?!\When I see Nanashima-kun, I start to remember Shion!\What are you doing?\Don't run! It's danger\Shinomiya-kun.\I'm sorry.\W-Wait!\Wh-What? response:	Uh... Well...
context: When I see Nanashima-kun, I start to remember Shion!\What are you doing?\Don't run! It's danger\Shinomiya-kun.\I'm sorry.\W-Wait!\Wh-What?\Uh... Well... response:	The infirmary.
context: What are you doing?\Don't run! It's danger\Shinomiya-kun.\I'm sorry.\W-Wait!\Wh-What?\Uh... Well...\The infirmary. response:	Right, you fell, so you should go to the infirmary.
context: Don't run! It's danger\Shinomiya-kun.\I'm sorry.\W-Wait!\Wh-What?\Uh... Well...\The infirmary.\Right, you fell, so you should go to the infirmary. response:	Shinomiya-kun is being nice?
context: Shinomiya-kun.\I'm sorry.\W-Wait!\Wh-What?\Uh... Well...\The infirmary.\Right, you fell, so you should go to the infirmary.\Shinomiya-kun is being nice? response:	An aloof guy like him?
context: I'm sorry.\W-Wait!\Wh-What?\Uh... Well...\The infirmary.\Right, you fell, so you should go to the infirmary.\Shinomiya-kun is being nice?\An aloof guy like him? response:	Infirmary
context: W-Wait!\Wh-What?\Uh... Well...\The infirmary.\Right, you fell, so you should go to the infirmary.\Shinomiya-kun is being nice?\An aloof guy like him?\Infirmary response:	Excuse me.
context: Wh-What?\Uh... Well...\The infirmary.\Right, you fell, so you should go to the infirmary.\Shinomiya-kun is being nice?\An aloof guy like him?\Infirmary\Excuse me. response:	Mutsumi-senpai?
context: Uh... Well...\The infirmary.\Right, you fell, so you should go to the infirmary.\Shinomiya-kun is being nice?\An aloof guy like him?\Infirmary\Excuse me.\Mutsumi-senpai? response:	What happened? You're hurt!
context: The infirmary.\Right, you fell, so you should go to the infirmary.\Shinomiya-kun is being nice?\An aloof guy like him?\Infirmary\Excuse me.\Mutsumi-senpai?\What happened? You're hurt! response:	It's nothing. I saved a cat that was stuck in a tree.
context: Right, you fell, so you should go to the infirmary.\Shinomiya-kun is being nice?\An aloof guy like him?\Infirmary\Excuse me.\Mutsumi-senpai?\What happened? You're hurt!\It's nothing. I saved a cat that was stuck in a tree. response:	I got pretty badly scratched.
context: Shinomiya-kun is being nice?\An aloof guy like him?\Infirmary\Excuse me.\Mutsumi-senpai?\What happened? You're hurt!\It's nothing. I saved a cat that was stuck in a tree.\I got pretty badly scratched. response:	What were you thinking?
context: An aloof guy like him?\Infirmary\Excuse me.\Mutsumi-senpai?\What happened? You're hurt!\It's nothing. I saved a cat that was stuck in a tree.\I got pretty badly scratched.\What were you thinking? response:	And you, Serinuma-san? What happened?
context: Infirmary\Excuse me.\Mutsumi-senpai?\What happened? You're hurt!\It's nothing. I saved a cat that was stuck in a tree.\I got pretty badly scratched.\What were you thinking?\And you, Serinuma-san? What happened? response:	Oh, I just
context: Excuse me.\Mutsumi-senpai?\What happened? You're hurt!\It's nothing. I saved a cat that was stuck in a tree.\I got pretty badly scratched.\What were you thinking?\And you, Serinuma-san? What happened?\Oh, I just response:	What is it, Shinomiya-kun?
context: Mutsumi-senpai?\What happened? You're hurt!\It's nothing. I saved a cat that was stuck in a tree.\I got pretty badly scratched.\What were you thinking?\And you, Serinuma-san? What happened?\Oh, I just\What is it, Shinomiya-kun? response:	H-Her name...
context: What happened? You're hurt!\It's nothing. I saved a cat that was stuck in a tree.\I got pretty badly scratched.\What were you thinking?\And you, Serinuma-san? What happened?\Oh, I just\What is it, Shinomiya-kun?\H-Her name... response:	Huh? Serinuma-san?
context: It's nothing. I saved a cat that was stuck in a tree.\I got pretty badly scratched.\What were you thinking?\And you, Serinuma-san? What happened?\Oh, I just\What is it, Shinomiya-kun?\H-Her name...\Huh? Serinuma-san? response:	Serinuma Kae-san.
context: I got pretty badly scratched.\What were you thinking?\And you, Serinuma-san? What happened?\Oh, I just\What is it, Shinomiya-kun?\H-Her name...\Huh? Serinuma-san?\Serinuma Kae-san. response:	It can't be!
context: What were you thinking?\And you, Serinuma-san? What happened?\Oh, I just\What is it, Shinomiya-kun?\H-Her name...\Huh? Serinuma-san?\Serinuma Kae-san.\It can't be! response:	I guess I changed so much that he didn't recognize me.
context: And you, Serinuma-san? What happened?\Oh, I just\What is it, Shinomiya-kun?\H-Her name...\Huh? Serinuma-san?\Serinuma Kae-san.\It can't be!\I guess I changed so much that he didn't recognize me. response:	I suppose you've gotten a little thinner,
context: Oh, I just\What is it, Shinomiya-kun?\H-Her name...\Huh? Serinuma-san?\Serinuma Kae-san.\It can't be!\I guess I changed so much that he didn't recognize me.\I suppose you've gotten a little thinner, response:	but it's easy to tell who you are.
context: What is it, Shinomiya-kun?\H-Her name...\Huh? Serinuma-san?\Serinuma Kae-san.\It can't be!\I guess I changed so much that he didn't recognize me.\I suppose you've gotten a little thinner,\but it's easy to tell who you are. response:	You're the only one who knew it was me right away.
context: H-Her name...\Huh? Serinuma-san?\Serinuma Kae-san.\It can't be!\I guess I changed so much that he didn't recognize me.\I suppose you've gotten a little thinner,\but it's easy to tell who you are.\You're the only one who knew it was me right away. response:	Your kindness hasn't changed.
context: Huh? Serinuma-san?\Serinuma Kae-san.\It can't be!\I guess I changed so much that he didn't recognize me.\I suppose you've gotten a little thinner,\but it's easy to tell who you are.\You're the only one who knew it was me right away.\Your kindness hasn't changed. response:	You're still Serinuma-san.
context: Serinuma Kae-san.\It can't be!\I guess I changed so much that he didn't recognize me.\I suppose you've gotten a little thinner,\but it's easy to tell who you are.\You're the only one who knew it was me right away.\Your kindness hasn't changed.\You're still Serinuma-san. response:	Thank you.
