context: Gods from across the country gather at the Divine Assembly in Izumo. response:	There's a decent chance one of those gods knows Mikage's whereabouts.
context: That is fine.\We cannot leave the shrine unattended, after all.\I will come with you to Izumo.\The snake can attend to the shrine.\That's quite the plan.\Especially considering that between the two of us, I'm the expert on all things Izumo.\You may be the land god's familiar, but you've never attended the Divine Assembly even once, have you?\He hasn't? response:	With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly.
context: We cannot leave the shrine unattended, after all.\I will come with you to Izumo.\The snake can attend to the shrine.\That's quite the plan.\Especially considering that between the two of us, I'm the expert on all things Izumo.\You may be the land god's familiar, but you've never attended the Divine Assembly even once, have you?\He hasn't?\With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly. response:	He spared that disgrace by playing the housewife.
context: I will come with you to Izumo.\The snake can attend to the shrine.\That's quite the plan.\Especially considering that between the two of us, I'm the expert on all things Izumo.\You may be the land god's familiar, but you've never attended the Divine Assembly even once, have you?\He hasn't?\With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly.\He spared that disgrace by playing the housewife. response:	Oh, Lord Mikage, he was so kind and generous.
context: The snake can attend to the shrine.\That's quite the plan.\Especially considering that between the two of us, I'm the expert on all things Izumo.\You may be the land god's familiar, but you've never attended the Divine Assembly even once, have you?\He hasn't?\With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly.\He spared that disgrace by playing the housewife.\Oh, Lord Mikage, he was so kind and generous. response:	But the attendees of the Divine Assembly are gods, right?
context: That's quite the plan.\Especially considering that between the two of us, I'm the expert on all things Izumo.\You may be the land god's familiar, but you've never attended the Divine Assembly even once, have you?\He hasn't?\With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly.\He spared that disgrace by playing the housewife.\Oh, Lord Mikage, he was so kind and generous.\But the attendees of the Divine Assembly are gods, right? response:	It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you.
context: Especially considering that between the two of us, I'm the expert on all things Izumo.\You may be the land god's familiar, but you've never attended the Divine Assembly even once, have you?\He hasn't?\With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly.\He spared that disgrace by playing the housewife.\Oh, Lord Mikage, he was so kind and generous.\But the attendees of the Divine Assembly are gods, right?\It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you. response:	That'd be so unbecoming of a god.
context: You may be the land god's familiar, but you've never attended the Divine Assembly even once, have you?\He hasn't?\With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly.\He spared that disgrace by playing the housewife.\Oh, Lord Mikage, he was so kind and generous.\But the attendees of the Divine Assembly are gods, right?\It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you.\That'd be so unbecoming of a god. response:	How can you even say that?!
context: He hasn't?\With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly.\He spared that disgrace by playing the housewife.\Oh, Lord Mikage, he was so kind and generous.\But the attendees of the Divine Assembly are gods, right?\It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you.\That'd be so unbecoming of a god.\How can you even say that?! response:	Between us, you would surely get the worst of it in Izumo.
context: With Tomoe's past as a wild fox, he'd surely be harassed if he went to the divine assembly.\He spared that disgrace by playing the housewife.\Oh, Lord Mikage, he was so kind and generous.\But the attendees of the Divine Assembly are gods, right?\It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you.\That'd be so unbecoming of a god.\How can you even say that?!\Between us, you would surely get the worst of it in Izumo. response:	What?
context: He spared that disgrace by playing the housewife.\Oh, Lord Mikage, he was so kind and generous.\But the attendees of the Divine Assembly are gods, right?\It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you.\That'd be so unbecoming of a god.\How can you even say that?!\Between us, you would surely get the worst of it in Izumo.\What? response:	I am very worried about you too.
context: Oh, Lord Mikage, he was so kind and generous.\But the attendees of the Divine Assembly are gods, right?\It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you.\That'd be so unbecoming of a god.\How can you even say that?!\Between us, you would surely get the worst of it in Izumo.\What?\I am very worried about you too. response:	What? What?
context: But the attendees of the Divine Assembly are gods, right?\It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you.\That'd be so unbecoming of a god.\How can you even say that?!\Between us, you would surely get the worst of it in Izumo.\What?\I am very worried about you too.\What? What? response:	I really think I should go. You know, to confer Nanami prestige.
context: It doesn't matter how bad you might've been in the past, Tomoe. There's no way they'd harass you.\That'd be so unbecoming of a god.\How can you even say that?!\Between us, you would surely get the worst of it in Izumo.\What?\I am very worried about you too.\What? What?\I really think I should go. You know, to confer Nanami prestige. response:	All the more reason I cannot allow the unreliable snake to go.
context: That'd be so unbecoming of a god.\How can you even say that?!\Between us, you would surely get the worst of it in Izumo.\What?\I am very worried about you too.\What? What?\I really think I should go. You know, to confer Nanami prestige.\All the more reason I cannot allow the unreliable snake to go. response:	As the primary familiar of the shrine, I should be the one to go.
context: How can you even say that?!\Between us, you would surely get the worst of it in Izumo.\What?\I am very worried about you too.\What? What?\I really think I should go. You know, to confer Nanami prestige.\All the more reason I cannot allow the unreliable snake to go.\As the primary familiar of the shrine, I should be the one to go. response:	You don't know the way, so you'd only slow her down!
context: Between us, you would surely get the worst of it in Izumo.\What?\I am very worried about you too.\What? What?\I really think I should go. You know, to confer Nanami prestige.\All the more reason I cannot allow the unreliable snake to go.\As the primary familiar of the shrine, I should be the one to go.\You don't know the way, so you'd only slow her down! response:	You're one to talk! You barely know your way around the mundane world!
context: What?\I am very worried about you too.\What? What?\I really think I should go. You know, to confer Nanami prestige.\All the more reason I cannot allow the unreliable snake to go.\As the primary familiar of the shrine, I should be the one to go.\You don't know the way, so you'd only slow her down!\You're one to talk! You barely know your way around the mundane world! response:	Come on, you guys. Stop fighting.
context: I am very worried about you too.\What? What?\I really think I should go. You know, to confer Nanami prestige.\All the more reason I cannot allow the unreliable snake to go.\As the primary familiar of the shrine, I should be the one to go.\You don't know the way, so you'd only slow her down!\You're one to talk! You barely know your way around the mundane world!\Come on, you guys. Stop fighting. response:	No fighting!
context: What? What?\I really think I should go. You know, to confer Nanami prestige.\All the more reason I cannot allow the unreliable snake to go.\As the primary familiar of the shrine, I should be the one to go.\You don't know the way, so you'd only slow her down!\You're one to talk! You barely know your way around the mundane world!\Come on, you guys. Stop fighting.\No fighting! response:	Violence is forbidden!
context: I really think I should go. You know, to confer Nanami prestige.\All the more reason I cannot allow the unreliable snake to go.\As the primary familiar of the shrine, I should be the one to go.\You don't know the way, so you'd only slow her down!\You're one to talk! You barely know your way around the mundane world!\Come on, you guys. Stop fighting.\No fighting!\Violence is forbidden! response:	If we really need someone to stay home, then we'll decide who goes...
context: All the more reason I cannot allow the unreliable snake to go.\As the primary familiar of the shrine, I should be the one to go.\You don't know the way, so you'd only slow her down!\You're one to talk! You barely know your way around the mundane world!\Come on, you guys. Stop fighting.\No fighting!\Violence is forbidden!\If we really need someone to stay home, then we'll decide who goes... response:	with a game of shogi!
context: As the primary familiar of the shrine, I should be the one to go.\You don't know the way, so you'd only slow her down!\You're one to talk! You barely know your way around the mundane world!\Come on, you guys. Stop fighting.\No fighting!\Violence is forbidden!\If we really need someone to stay home, then we'll decide who goes...\with a game of shogi! response:	Never played before
context: You don't know the way, so you'd only slow her down!\You're one to talk! You barely know your way around the mundane world!\Come on, you guys. Stop fighting.\No fighting!\Violence is forbidden!\If we really need someone to stay home, then we'll decide who goes...\with a game of shogi!\Never played before response:	Never played before
context: You're one to talk! You barely know your way around the mundane world!\Come on, you guys. Stop fighting.\No fighting!\Violence is forbidden!\If we really need someone to stay home, then we'll decide who goes...\with a game of shogi!\Never played before\Never played before response:	Glooom
context: Come on, you guys. Stop fighting.\No fighting!\Violence is forbidden!\If we really need someone to stay home, then we'll decide who goes...\with a game of shogi!\Never played before\Never played before\Glooom response:	Glooom
context: No fighting!\Violence is forbidden!\If we really need someone to stay home, then we'll decide who goes...\with a game of shogi!\Never played before\Never played before\Glooom\Glooom response:	Never played before
context: Violence is forbidden!\If we really need someone to stay home, then we'll decide who goes...\with a game of shogi!\Never played before\Never played before\Glooom\Glooom\Never played before response:	Never played before
context: If we really need someone to stay home, then we'll decide who goes...\with a game of shogi!\Never played before\Never played before\Glooom\Glooom\Never played before\Never played before response:	Never played before
context: with a game of shogi!\Never played before\Never played before\Glooom\Glooom\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Glooom\Glooom\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Glooom\Glooom\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Glooom\Glooom\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Glooom\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	Never played before
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before response:	I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back.
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back. response:	Nanami, there is no reason for a plane when you have the Night Fog Carriage.
context: Never played before\Never played before\Never played before\Never played before\Never played before\Never played before\I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back.\Nanami, there is no reason for a plane when you have the Night Fog Carriage. response:	I'll take you on my snake.
context: Never played before\Never played before\Never played before\Never played before\Never played before\I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back.\Nanami, there is no reason for a plane when you have the Night Fog Carriage.\I'll take you on my snake. response:	No.
context: Never played before\Never played before\Never played before\Never played before\I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back.\Nanami, there is no reason for a plane when you have the Night Fog Carriage.\I'll take you on my snake.\No. response:	Vehicles not made for humans don't make for comfortable rides.
context: Never played before\Never played before\Never played before\I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back.\Nanami, there is no reason for a plane when you have the Night Fog Carriage.\I'll take you on my snake.\No.\Vehicles not made for humans don't make for comfortable rides. response:	Tomoe and Mizuki really need to chill out.
context: Never played before\Never played before\I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back.\Nanami, there is no reason for a plane when you have the Night Fog Carriage.\I'll take you on my snake.\No.\Vehicles not made for humans don't make for comfortable rides.\Tomoe and Mizuki really need to chill out. response:	I mean, why would a god care what I do or don't do?
context: Never played before\I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back.\Nanami, there is no reason for a plane when you have the Night Fog Carriage.\I'll take you on my snake.\No.\Vehicles not made for humans don't make for comfortable rides.\Tomoe and Mizuki really need to chill out.\I mean, why would a god care what I do or don't do? response:	My apologies for the wait, Ms. Momozono.
context: I'm off to go buy a plane ticket, and you two better have this sorted out peacefully by the time I get back.\Nanami, there is no reason for a plane when you have the Night Fog Carriage.\I'll take you on my snake.\No.\Vehicles not made for humans don't make for comfortable rides.\Tomoe and Mizuki really need to chill out.\I mean, why would a god care what I do or don't do?\My apologies for the wait, Ms. Momozono. response:	One adult ticket to Izumo, correct?
context: Nanami, there is no reason for a plane when you have the Night Fog Carriage.\I'll take you on my snake.\No.\Vehicles not made for humans don't make for comfortable rides.\Tomoe and Mizuki really need to chill out.\I mean, why would a god care what I do or don't do?\My apologies for the wait, Ms. Momozono.\One adult ticket to Izumo, correct? response:	Yes.
context: I'll take you on my snake.\No.\Vehicles not made for humans don't make for comfortable rides.\Tomoe and Mizuki really need to chill out.\I mean, why would a god care what I do or don't do?\My apologies for the wait, Ms. Momozono.\One adult ticket to Izumo, correct?\Yes. response:	Whoops!
context: No.\Vehicles not made for humans don't make for comfortable rides.\Tomoe and Mizuki really need to chill out.\I mean, why would a god care what I do or don't do?\My apologies for the wait, Ms. Momozono.\One adult ticket to Izumo, correct?\Yes.\Whoops! response:	My bad, missy.
context: Vehicles not made for humans don't make for comfortable rides.\Tomoe and Mizuki really need to chill out.\I mean, why would a god care what I do or don't do?\My apologies for the wait, Ms. Momozono.\One adult ticket to Izumo, correct?\Yes.\Whoops!\My bad, missy. response:	Not at all.
context: Tomoe and Mizuki really need to chill out.\I mean, why would a god care what I do or don't do?\My apologies for the wait, Ms. Momozono.\One adult ticket to Izumo, correct?\Yes.\Whoops!\My bad, missy.\Not at all. response:	Whoa...
context: I mean, why would a god care what I do or don't do?\My apologies for the wait, Ms. Momozono.\One adult ticket to Izumo, correct?\Yes.\Whoops!\My bad, missy.\Not at all.\Whoa... response:	Oh...
context: My apologies for the wait, Ms. Momozono.\One adult ticket to Izumo, correct?\Yes.\Whoops!\My bad, missy.\Not at all.\Whoa...\Oh... response:	A f-fox mask?
context: One adult ticket to Izumo, correct?\Yes.\Whoops!\My bad, missy.\Not at all.\Whoa...\Oh...\A f-fox mask? response:	Hey! You're...
context: Yes.\Whoops!\My bad, missy.\Not at all.\Whoa...\Oh...\A f-fox mask?\Hey! You're... response:	You are making a racket, Monjirou.
context: Whoops!\My bad, missy.\Not at all.\Whoa...\Oh...\A f-fox mask?\Hey! You're...\You are making a racket, Monjirou. response:	Ow.
context: My bad, missy.\Not at all.\Whoa...\Oh...\A f-fox mask?\Hey! You're...\You are making a racket, Monjirou.\Ow. response:	Our mission is to obtain airplane tickets.
context: Not at all.\Whoa...\Oh...\A f-fox mask?\Hey! You're...\You are making a racket, Monjirou.\Ow.\Our mission is to obtain airplane tickets. response:	Do not get distracted.
context: Whoa...\Oh...\A f-fox mask?\Hey! You're...\You are making a racket, Monjirou.\Ow.\Our mission is to obtain airplane tickets.\Do not get distracted. response:	Airplanes are lame!
context: Oh...\A f-fox mask?\Hey! You're...\You are making a racket, Monjirou.\Ow.\Our mission is to obtain airplane tickets.\Do not get distracted.\Airplanes are lame! response:	Perhaps, but that is what he requested.
context: A f-fox mask?\Hey! You're...\You are making a racket, Monjirou.\Ow.\Our mission is to obtain airplane tickets.\Do not get distracted.\Airplanes are lame!\Perhaps, but that is what he requested. response:	They're weird.
context: Hey! You're...\You are making a racket, Monjirou.\Ow.\Our mission is to obtain airplane tickets.\Do not get distracted.\Airplanes are lame!\Perhaps, but that is what he requested.\They're weird. response:	I don't wanna ride in a hunk of steel like this!
context: You are making a racket, Monjirou.\Ow.\Our mission is to obtain airplane tickets.\Do not get distracted.\Airplanes are lame!\Perhaps, but that is what he requested.\They're weird.\I don't wanna ride in a hunk of steel like this! response:	I'm steering clear of them.
context: Ow.\Our mission is to obtain airplane tickets.\Do not get distracted.\Airplanes are lame!\Perhaps, but that is what he requested.\They're weird.\I don't wanna ride in a hunk of steel like this!\I'm steering clear of them. response:	Now, I just need to go to a pharmacy
context: Our mission is to obtain airplane tickets.\Do not get distracted.\Airplanes are lame!\Perhaps, but that is what he requested.\They're weird.\I don't wanna ride in a hunk of steel like this!\I'm steering clear of them.\Now, I just need to go to a pharmacy response:	to get motion sickness medicine, some toiletry, and...
context: Do not get distracted.\Airplanes are lame!\Perhaps, but that is what he requested.\They're weird.\I don't wanna ride in a hunk of steel like this!\I'm steering clear of them.\Now, I just need to go to a pharmacy\to get motion sickness medicine, some toiletry, and... response:	maybe some snacks too.
context: Airplanes are lame!\Perhaps, but that is what he requested.\They're weird.\I don't wanna ride in a hunk of steel like this!\I'm steering clear of them.\Now, I just need to go to a pharmacy\to get motion sickness medicine, some toiletry, and...\maybe some snacks too. response:	Nanami!
context: Perhaps, but that is what he requested.\They're weird.\I don't wanna ride in a hunk of steel like this!\I'm steering clear of them.\Now, I just need to go to a pharmacy\to get motion sickness medicine, some toiletry, and...\maybe some snacks too.\Nanami! response:	Four bloodthirsty auras are coming this way.
context: They're weird.\I don't wanna ride in a hunk of steel like this!\I'm steering clear of them.\Now, I just need to go to a pharmacy\to get motion sickness medicine, some toiletry, and...\maybe some snacks too.\Nanami!\Four bloodthirsty auras are coming this way. response:	Here, in the middle of town?
context: I don't wanna ride in a hunk of steel like this!\I'm steering clear of them.\Now, I just need to go to a pharmacy\to get motion sickness medicine, some toiletry, and...\maybe some snacks too.\Nanami!\Four bloodthirsty auras are coming this way.\Here, in the middle of town? response:	Yes, and they're none too friendly!
context: I'm steering clear of them.\Now, I just need to go to a pharmacy\to get motion sickness medicine, some toiletry, and...\maybe some snacks too.\Nanami!\Four bloodthirsty auras are coming this way.\Here, in the middle of town?\Yes, and they're none too friendly! response:	They're headed straight for you!
context: Now, I just need to go to a pharmacy\to get motion sickness medicine, some toiletry, and...\maybe some snacks too.\Nanami!\Four bloodthirsty auras are coming this way.\Here, in the middle of town?\Yes, and they're none too friendly!\They're headed straight for you! response:	Run!
context: to get motion sickness medicine, some toiletry, and...\maybe some snacks too.\Nanami!\Four bloodthirsty auras are coming this way.\Here, in the middle of town?\Yes, and they're none too friendly!\They're headed straight for you!\Run! response:	Run? But where...
context: maybe some snacks too.\Nanami!\Four bloodthirsty auras are coming this way.\Here, in the middle of town?\Yes, and they're none too friendly!\They're headed straight for you!\Run!\Run? But where... response:	T-Tomoe!
context: Nanami!\Four bloodthirsty auras are coming this way.\Here, in the middle of town?\Yes, and they're none too friendly!\They're headed straight for you!\Run!\Run? But where...\T-Tomoe! response:	How...
context: Four bloodthirsty auras are coming this way.\Here, in the middle of town?\Yes, and they're none too friendly!\They're headed straight for you!\Run!\Run? But where...\T-Tomoe!\How... response:	How did that piece get here?
context: Here, in the middle of town?\Yes, and they're none too friendly!\They're headed straight for you!\Run!\Run? But where...\T-Tomoe!\How...\How did that piece get here? response:	It looks like you've finally noticed.
context: Yes, and they're none too friendly!\They're headed straight for you!\Run!\Run? But where...\T-Tomoe!\How...\How did that piece get here?\It looks like you've finally noticed. response:	While you were preoccupied with the movement of my rook, I secretly moved
context: They're headed straight for you!\Run!\Run? But where...\T-Tomoe!\How...\How did that piece get here?\It looks like you've finally noticed.\While you were preoccupied with the movement of my rook, I secretly moved response:	my bishop to put your king in check already!
context: Run!\Run? But where...\T-Tomoe!\How...\How did that piece get here?\It looks like you've finally noticed.\While you were preoccupied with the movement of my rook, I secretly moved\my bishop to put your king in check already! response:	Don't do that!
context: Run? But where...\T-Tomoe!\How...\How did that piece get here?\It looks like you've finally noticed.\While you were preoccupied with the movement of my rook, I secretly moved\my bishop to put your king in check already!\Don't do that! response:	Ow.
context: T-Tomoe!\How...\How did that piece get here?\It looks like you've finally noticed.\While you were preoccupied with the movement of my rook, I secretly moved\my bishop to put your king in check already!\Don't do that!\Ow. response:	We start over.
context: How...\How did that piece get here?\It looks like you've finally noticed.\While you were preoccupied with the movement of my rook, I secretly moved\my bishop to put your king in check already!\Don't do that!\Ow.\We start over. response:	Who cares about the match anyway?
