context: Seven Goodbyes Part 1 response:	One more week until the final.
context: Why are you getting fooled by these scraps of paper?\You showed up late today, too.\You half-ass everything.\If you think you're teaching us anything like this, you're sorely mistaken.\Nino.\Uh-oh.\Miku, don't worry about me.\Nino. response:	Apologize, now.
context: You showed up late today, too.\You half-ass everything.\If you think you're teaching us anything like this, you're sorely mistaken.\Nino.\Uh-oh.\Miku, don't worry about me.\Nino.\Apologize, now. response:	You owe him an apology.
context: You half-ass everything.\If you think you're teaching us anything like this, you're sorely mistaken.\Nino.\Uh-oh.\Miku, don't worry about me.\Nino.\Apologize, now.\You owe him an apology. response:	Since when have you been on his side?
context: If you think you're teaching us anything like this, you're sorely mistaken.\Nino.\Uh-oh.\Miku, don't worry about me.\Nino.\Apologize, now.\You owe him an apology.\Since when have you been on his side? response:	You fell right for his slick talk!
context: Nino.\Uh-oh.\Miku, don't worry about me.\Nino.\Apologize, now.\You owe him an apology.\Since when have you been on his side?\You fell right for his slick talk! response:	Getting all worked up over this trash!
context: Uh-oh.\Miku, don't worry about me.\Nino.\Apologize, now.\You owe him an apology.\Since when have you been on his side?\You fell right for his slick talk!\Getting all worked up over this trash! response:	It's not trash.
context: Miku, don't worry about me.\Nino.\Apologize, now.\You owe him an apology.\Since when have you been on his side?\You fell right for his slick talk!\Getting all worked up over this trash!\It's not trash. response:	He doesn't have a printer or a photocopier, you know.
context: Nino.\Apologize, now.\You owe him an apology.\Since when have you been on his side?\You fell right for his slick talk!\Getting all worked up over this trash!\It's not trash.\He doesn't have a printer or a photocopier, you know. response:	Can you believe him?
context: Apologize, now.\You owe him an apology.\Since when have you been on his side?\You fell right for his slick talk!\Getting all worked up over this trash!\It's not trash.\He doesn't have a printer or a photocopier, you know.\Can you believe him? response:	This boy actually handwrote all of it.
context: You owe him an apology.\Since when have you been on his side?\You fell right for his slick talk!\Getting all worked up over this trash!\It's not trash.\He doesn't have a printer or a photocopier, you know.\Can you believe him?\This boy actually handwrote all of it. response:	So what?
context: Since when have you been on his side?\You fell right for his slick talk!\Getting all worked up over this trash!\It's not trash.\He doesn't have a printer or a photocopier, you know.\Can you believe him?\This boy actually handwrote all of it.\So what? response:	So the least we can do is take this just as seriously as he does.
context: You fell right for his slick talk!\Getting all worked up over this trash!\It's not trash.\He doesn't have a printer or a photocopier, you know.\Can you believe him?\This boy actually handwrote all of it.\So what?\So the least we can do is take this just as seriously as he does. response:	It's not like I...
context: Getting all worked up over this trash!\It's not trash.\He doesn't have a printer or a photocopier, you know.\Can you believe him?\This boy actually handwrote all of it.\So what?\So the least we can do is take this just as seriously as he does.\It's not like I... response:	Nino...
context: It's not trash.\He doesn't have a printer or a photocopier, you know.\Can you believe him?\This boy actually handwrote all of it.\So what?\So the least we can do is take this just as seriously as he does.\It's not like I...\Nino... response:	Accept it already.
context: He doesn't have a printer or a photocopier, you know.\Can you believe him?\This boy actually handwrote all of it.\So what?\So the least we can do is take this just as seriously as he does.\It's not like I...\Nino...\Accept it already. response:	I get it.
context: Can you believe him?\This boy actually handwrote all of it.\So what?\So the least we can do is take this just as seriously as he does.\It's not like I...\Nino...\Accept it already.\I get it. response:	You guys are going to choose him over me.
context: This boy actually handwrote all of it.\So what?\So the least we can do is take this just as seriously as he does.\It's not like I...\Nino...\Accept it already.\I get it.\You guys are going to choose him over me. response:	Fine.
context: So what?\So the least we can do is take this just as seriously as he does.\It's not like I...\Nino...\Accept it already.\I get it.\You guys are going to choose him over me.\Fine. response:	I'll just move out, then.
context: So the least we can do is take this just as seriously as he does.\It's not like I...\Nino...\Accept it already.\I get it.\You guys are going to choose him over me.\Fine.\I'll just move out, then. response:	Nino! Calm down!
context: It's not like I...\Nino...\Accept it already.\I get it.\You guys are going to choose him over me.\Fine.\I'll just move out, then.\Nino! Calm down! response:	I've been planning on it for a while now.
context: Nino...\Accept it already.\I get it.\You guys are going to choose him over me.\Fine.\I'll just move out, then.\Nino! Calm down!\I've been planning on it for a while now. response:	This place is ruining me.
context: Accept it already.\I get it.\You guys are going to choose him over me.\Fine.\I'll just move out, then.\Nino! Calm down!\I've been planning on it for a while now.\This place is ruining me. response:	N-Nino!
context: I get it.\You guys are going to choose him over me.\Fine.\I'll just move out, then.\Nino! Calm down!\I've been planning on it for a while now.\This place is ruining me.\N-Nino! response:	Mother would be so sad if she saw us now.
context: You guys are going to choose him over me.\Fine.\I'll just move out, then.\Nino! Calm down!\I've been planning on it for a while now.\This place is ruining me.\N-Nino!\Mother would be so sad if she saw us now. response:	Don't do this!
context: Fine.\I'll just move out, then.\Nino! Calm down!\I've been planning on it for a while now.\This place is ruining me.\N-Nino!\Mother would be so sad if she saw us now.\Don't do this! response:	Let her go already. And quit trying to act like her replacement all the time.
context: I'll just move out, then.\Nino! Calm down!\I've been planning on it for a while now.\This place is ruining me.\N-Nino!\Mother would be so sad if she saw us now.\Don't do this!\Let her go already. And quit trying to act like her replacement all the time. response:	Nino, you need to think this through!
context: Nino! Calm down!\I've been planning on it for a while now.\This place is ruining me.\N-Nino!\Mother would be so sad if she saw us now.\Don't do this!\Let her go already. And quit trying to act like her replacement all the time.\Nino, you need to think this through! response:	Yeah, let's talk it over.
context: I've been planning on it for a while now.\This place is ruining me.\N-Nino!\Mother would be so sad if she saw us now.\Don't do this!\Let her go already. And quit trying to act like her replacement all the time.\Nino, you need to think this through!\Yeah, let's talk it over. response:	She was the one who hit me first.
context: This place is ruining me.\N-Nino!\Mother would be so sad if she saw us now.\Don't do this!\Let her go already. And quit trying to act like her replacement all the time.\Nino, you need to think this through!\Yeah, let's talk it over.\She was the one who hit me first. response:	I can't live with that domestic violence meat monster.
context: N-Nino!\Mother would be so sad if she saw us now.\Don't do this!\Let her go already. And quit trying to act like her replacement all the time.\Nino, you need to think this through!\Yeah, let's talk it over.\She was the one who hit me first.\I can't live with that domestic violence meat monster. response:	D-Domestic... meat...
context: Mother would be so sad if she saw us now.\Don't do this!\Let her go already. And quit trying to act like her replacement all the time.\Nino, you need to think this through!\Yeah, let's talk it over.\She was the one who hit me first.\I can't live with that domestic violence meat monster.\D-Domestic... meat... response:	Oh, if I'm such a pain in the ass, I'll move out!
context: Don't do this!\Let her go already. And quit trying to act like her replacement all the time.\Nino, you need to think this through!\Yeah, let's talk it over.\She was the one who hit me first.\I can't live with that domestic violence meat monster.\D-Domestic... meat...\Oh, if I'm such a pain in the ass, I'll move out! response:	Oh, really? Fine, go.
context: Let her go already. And quit trying to act like her replacement all the time.\Nino, you need to think this through!\Yeah, let's talk it over.\She was the one who hit me first.\I can't live with that domestic violence meat monster.\D-Domestic... meat...\Oh, if I'm such a pain in the ass, I'll move out!\Oh, really? Fine, go. response:	Wh-What should I do?
context: Nino, you need to think this through!\Yeah, let's talk it over.\She was the one who hit me first.\I can't live with that domestic violence meat monster.\D-Domestic... meat...\Oh, if I'm such a pain in the ass, I'll move out!\Oh, really? Fine, go.\Wh-What should I do? response:	Only the next day did I hear from Miku that Itsuki and Nino had actually left home.
context: Yeah, let's talk it over.\She was the one who hit me first.\I can't live with that domestic violence meat monster.\D-Domestic... meat...\Oh, if I'm such a pain in the ass, I'll move out!\Oh, really? Fine, go.\Wh-What should I do?\Only the next day did I hear from Miku that Itsuki and Nino had actually left home. response:	Does this happen often?
context: She was the one who hit me first.\I can't live with that domestic violence meat monster.\D-Domestic... meat...\Oh, if I'm such a pain in the ass, I'll move out!\Oh, really? Fine, go.\Wh-What should I do?\Only the next day did I hear from Miku that Itsuki and Nino had actually left home.\Does this happen often? response:	We're sisters.
context: I can't live with that domestic violence meat monster.\D-Domestic... meat...\Oh, if I'm such a pain in the ass, I'll move out!\Oh, really? Fine, go.\Wh-What should I do?\Only the next day did I hear from Miku that Itsuki and Nino had actually left home.\Does this happen often?\We're sisters. response:	It's not uncommon.
context: D-Domestic... meat...\Oh, if I'm such a pain in the ass, I'll move out!\Oh, really? Fine, go.\Wh-What should I do?\Only the next day did I hear from Miku that Itsuki and Nino had actually left home.\Does this happen often?\We're sisters.\It's not uncommon. response:	But I feel like this time, it's a bit different.
context: Oh, if I'm such a pain in the ass, I'll move out!\Oh, really? Fine, go.\Wh-What should I do?\Only the next day did I hear from Miku that Itsuki and Nino had actually left home.\Does this happen often?\We're sisters.\It's not uncommon.\But I feel like this time, it's a bit different. response:	Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes.
context: Oh, really? Fine, go.\Wh-What should I do?\Only the next day did I hear from Miku that Itsuki and Nino had actually left home.\Does this happen often?\We're sisters.\It's not uncommon.\But I feel like this time, it's a bit different.\Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes. response:	Ichika and Yotsuba tried to talk sense into them,
context: Wh-What should I do?\Only the next day did I hear from Miku that Itsuki and Nino had actually left home.\Does this happen often?\We're sisters.\It's not uncommon.\But I feel like this time, it's a bit different.\Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes.\Ichika and Yotsuba tried to talk sense into them, response:	but they're both being stubborn.
context: Only the next day did I hear from Miku that Itsuki and Nino had actually left home.\Does this happen often?\We're sisters.\It's not uncommon.\But I feel like this time, it's a bit different.\Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes.\Ichika and Yotsuba tried to talk sense into them,\but they're both being stubborn. response:	They're acting like if they come home first, they'll have lost.
context: Does this happen often?\We're sisters.\It's not uncommon.\But I feel like this time, it's a bit different.\Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes.\Ichika and Yotsuba tried to talk sense into them,\but they're both being stubborn.\They're acting like if they come home first, they'll have lost. response:	Those idiots...
context: We're sisters.\It's not uncommon.\But I feel like this time, it's a bit different.\Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes.\Ichika and Yotsuba tried to talk sense into them,\but they're both being stubborn.\They're acting like if they come home first, they'll have lost.\Those idiots... response:	So, where are those two?
context: It's not uncommon.\But I feel like this time, it's a bit different.\Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes.\Ichika and Yotsuba tried to talk sense into them,\but they're both being stubborn.\They're acting like if they come home first, they'll have lost.\Those idiots...\So, where are those two? response:	They said they had some stuff to take care of.
context: But I feel like this time, it's a bit different.\Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes.\Ichika and Yotsuba tried to talk sense into them,\but they're both being stubborn.\They're acting like if they come home first, they'll have lost.\Those idiots...\So, where are those two?\They said they had some stuff to take care of. response:	Probably work, in Ichika's case.
context: Where are you now? Yotsuba: We're worried. Come home!!! Ichika: Please make up Nino: No. Stop contacting me Itsuki: I have no intention of going home, either. I'm sorry for causing the rest of you to worry, but I'm not coming home until Nino apologizes.\Ichika and Yotsuba tried to talk sense into them,\but they're both being stubborn.\They're acting like if they come home first, they'll have lost.\Those idiots...\So, where are those two?\They said they had some stuff to take care of.\Probably work, in Ichika's case. response:	So the two of us are going to have to find Itsuki and Nino.
context: Ichika and Yotsuba tried to talk sense into them,\but they're both being stubborn.\They're acting like if they come home first, they'll have lost.\Those idiots...\So, where are those two?\They said they had some stuff to take care of.\Probably work, in Ichika's case.\So the two of us are going to have to find Itsuki and Nino. response:	Let's do this, Futaro.
context: but they're both being stubborn.\They're acting like if they come home first, they'll have lost.\Those idiots...\So, where are those two?\They said they had some stuff to take care of.\Probably work, in Ichika's case.\So the two of us are going to have to find Itsuki and Nino.\Let's do this, Futaro. response:	Yeah.
context: They're acting like if they come home first, they'll have lost.\Those idiots...\So, where are those two?\They said they had some stuff to take care of.\Probably work, in Ichika's case.\So the two of us are going to have to find Itsuki and Nino.\Let's do this, Futaro.\Yeah. response:	I'm beat.
context: Those idiots...\So, where are those two?\They said they had some stuff to take care of.\Probably work, in Ichika's case.\So the two of us are going to have to find Itsuki and Nino.\Let's do this, Futaro.\Yeah.\I'm beat. response:	Well, we are the weakest two of the group.
context: So, where are those two?\They said they had some stuff to take care of.\Probably work, in Ichika's case.\So the two of us are going to have to find Itsuki and Nino.\Let's do this, Futaro.\Yeah.\I'm beat.\Well, we are the weakest two of the group. response:	All right.
context: They said they had some stuff to take care of.\Probably work, in Ichika's case.\So the two of us are going to have to find Itsuki and Nino.\Let's do this, Futaro.\Yeah.\I'm beat.\Well, we are the weakest two of the group.\All right. response:	Have you seen anyone who looks like this?
context: Probably work, in Ichika's case.\So the two of us are going to have to find Itsuki and Nino.\Let's do this, Futaro.\Yeah.\I'm beat.\Well, we are the weakest two of the group.\All right.\Have you seen anyone who looks like this? response:	Must be useful to be quintuplets, huh?
context: So the two of us are going to have to find Itsuki and Nino.\Let's do this, Futaro.\Yeah.\I'm beat.\Well, we are the weakest two of the group.\All right.\Have you seen anyone who looks like this?\Must be useful to be quintuplets, huh? response:	Huh?
context: Let's do this, Futaro.\Yeah.\I'm beat.\Well, we are the weakest two of the group.\All right.\Have you seen anyone who looks like this?\Must be useful to be quintuplets, huh?\Huh? response:	I've seen a face like yours at the hotel I'm staying at.
context: Yeah.\I'm beat.\Well, we are the weakest two of the group.\All right.\Have you seen anyone who looks like this?\Must be useful to be quintuplets, huh?\Huh?\I've seen a face like yours at the hotel I'm staying at. response:	That must be Nino!
context: I'm beat.\Well, we are the weakest two of the group.\All right.\Have you seen anyone who looks like this?\Must be useful to be quintuplets, huh?\Huh?\I've seen a face like yours at the hotel I'm staying at.\That must be Nino! response:	Wh-Why are you here?!
context: Well, we are the weakest two of the group.\All right.\Have you seen anyone who looks like this?\Must be useful to be quintuplets, huh?\Huh?\I've seen a face like yours at the hotel I'm staying at.\That must be Nino!\Wh-Why are you here?! response:	How'd you even get in?!
context: All right.\Have you seen anyone who looks like this?\Must be useful to be quintuplets, huh?\Huh?\I've seen a face like yours at the hotel I'm staying at.\That must be Nino!\Wh-Why are you here?!\How'd you even get in?! response:	I told them I forgot my keys in my room, and they opened it for me.
context: Have you seen anyone who looks like this?\Must be useful to be quintuplets, huh?\Huh?\I've seen a face like yours at the hotel I'm staying at.\That must be Nino!\Wh-Why are you here?!\How'd you even get in?!\I told them I forgot my keys in my room, and they opened it for me. response:	So much for security!
context: Must be useful to be quintuplets, huh?\Huh?\I've seen a face like yours at the hotel I'm staying at.\That must be Nino!\Wh-Why are you here?!\How'd you even get in?!\I told them I forgot my keys in my room, and they opened it for me.\So much for security! response:	Nino,
context: Huh?\I've seen a face like yours at the hotel I'm staying at.\That must be Nino!\Wh-Why are you here?!\How'd you even get in?!\I told them I forgot my keys in my room, and they opened it for me.\So much for security!\Nino, response:	about yesterday...
context: I've seen a face like yours at the hotel I'm staying at.\That must be Nino!\Wh-Why are you here?!\How'd you even get in?!\I told them I forgot my keys in my room, and they opened it for me.\So much for security!\Nino,\about yesterday... response:	Get out.
context: That must be Nino!\Wh-Why are you here?!\How'd you even get in?!\I told them I forgot my keys in my room, and they opened it for me.\So much for security!\Nino,\about yesterday...\Get out. response:	We're through now.
context: Wh-Why are you here?!\How'd you even get in?!\I told them I forgot my keys in my room, and they opened it for me.\So much for security!\Nino,\about yesterday...\Get out.\We're through now. response:	Nino, what's gotten into you?
context: How'd you even get in?!\I told them I forgot my keys in my room, and they opened it for me.\So much for security!\Nino,\about yesterday...\Get out.\We're through now.\Nino, what's gotten into you? response:	You've always been the one who cared the most about your sisters and your home.
context: I told them I forgot my keys in my room, and they opened it for me.\So much for security!\Nino,\about yesterday...\Get out.\We're through now.\Nino, what's gotten into you?\You've always been the one who cared the most about your sisters and your home. response:	I told you to stop talking like you know anything.
context: So much for security!\Nino,\about yesterday...\Get out.\We're through now.\Nino, what's gotten into you?\You've always been the one who cared the most about your sisters and your home.\I told you to stop talking like you know anything. response:	Especially when this was all your fault!
context: Nino,\about yesterday...\Get out.\We're through now.\Nino, what's gotten into you?\You've always been the one who cared the most about your sisters and your home.\I told you to stop talking like you know anything.\Especially when this was all your fault! response:	You should never have come into our lives!
context: about yesterday...\Get out.\We're through now.\Nino, what's gotten into you?\You've always been the one who cared the most about your sisters and your home.\I told you to stop talking like you know anything.\Especially when this was all your fault!\You should never have come into our lives! response:	Give that back! It's mine!
context: Get out.\We're through now.\Nino, what's gotten into you?\You've always been the one who cared the most about your sisters and your home.\I told you to stop talking like you know anything.\Especially when this was all your fault!\You should never have come into our lives!\Give that back! It's mine! response:	Hey!
context: We're through now.\Nino, what's gotten into you?\You've always been the one who cared the most about your sisters and your home.\I told you to stop talking like you know anything.\Especially when this was all your fault!\You should never have come into our lives!\Give that back! It's mine!\Hey! response:	Kintaro-kun...
context: Nino, what's gotten into you?\You've always been the one who cared the most about your sisters and your home.\I told you to stop talking like you know anything.\Especially when this was all your fault!\You should never have come into our lives!\Give that back! It's mine!\Hey!\Kintaro-kun... response:	This condominium is private property No Trespassing Suspicious individuals will be reported
context: You've always been the one who cared the most about your sisters and your home.\I told you to stop talking like you know anything.\Especially when this was all your fault!\You should never have come into our lives!\Give that back! It's mine!\Hey!\Kintaro-kun...\This condominium is private property No Trespassing Suspicious individuals will be reported response:	We figured out where Nino is,
context: I told you to stop talking like you know anything.\Especially when this was all your fault!\You should never have come into our lives!\Give that back! It's mine!\Hey!\Kintaro-kun...\This condominium is private property No Trespassing Suspicious individuals will be reported\We figured out where Nino is, response:	but Itsuki is nowhere to be found.
context: Especially when this was all your fault!\You should never have come into our lives!\Give that back! It's mine!\Hey!\Kintaro-kun...\This condominium is private property No Trespassing Suspicious individuals will be reported\We figured out where Nino is,\but Itsuki is nowhere to be found. response:	Not much we can do now.
context: You should never have come into our lives!\Give that back! It's mine!\Hey!\Kintaro-kun...\This condominium is private property No Trespassing Suspicious individuals will be reported\We figured out where Nino is,\but Itsuki is nowhere to be found.\Not much we can do now. response:	Let's call it a night.
context: Give that back! It's mine!\Hey!\Kintaro-kun...\This condominium is private property No Trespassing Suspicious individuals will be reported\We figured out where Nino is,\but Itsuki is nowhere to be found.\Not much we can do now.\Let's call it a night. response:	I'm sure Itsuki is at some luxury hotel somewhere, too.
context: Hey!\Kintaro-kun...\This condominium is private property No Trespassing Suspicious individuals will be reported\We figured out where Nino is,\but Itsuki is nowhere to be found.\Not much we can do now.\Let's call it a night.\I'm sure Itsuki is at some luxury hotel somewhere, too. response:	Actually, about that...
context: Kintaro-kun...\This condominium is private property No Trespassing Suspicious individuals will be reported\We figured out where Nino is,\but Itsuki is nowhere to be found.\Not much we can do now.\Let's call it a night.\I'm sure Itsuki is at some luxury hotel somewhere, too.\Actually, about that... response:	She forgot her purse at home.
context: This condominium is private property No Trespassing Suspicious individuals will be reported\We figured out where Nino is,\but Itsuki is nowhere to be found.\Not much we can do now.\Let's call it a night.\I'm sure Itsuki is at some luxury hotel somewhere, too.\Actually, about that...\She forgot her purse at home. response:	Seriously?
context: We figured out where Nino is,\but Itsuki is nowhere to be found.\Not much we can do now.\Let's call it a night.\I'm sure Itsuki is at some luxury hotel somewhere, too.\Actually, about that...\She forgot her purse at home.\Seriously? response:	I'm home.
context: but Itsuki is nowhere to be found.\Not much we can do now.\Let's call it a night.\I'm sure Itsuki is at some luxury hotel somewhere, too.\Actually, about that...\She forgot her purse at home.\Seriously?\I'm home. response:	This smell...
context: Not much we can do now.\Let's call it a night.\I'm sure Itsuki is at some luxury hotel somewhere, too.\Actually, about that...\She forgot her purse at home.\Seriously?\I'm home.\This smell... response:	Curry, huh?
context: Let's call it a night.\I'm sure Itsuki is at some luxury hotel somewhere, too.\Actually, about that...\She forgot her purse at home.\Seriously?\I'm home.\This smell...\Curry, huh? response:	Yup.
context: I'm sure Itsuki is at some luxury hotel somewhere, too.\Actually, about that...\She forgot her purse at home.\Seriously?\I'm home.\This smell...\Curry, huh?\Yup. response:	We've already started eating.
context: Actually, about that...\She forgot her purse at home.\Seriously?\I'm home.\This smell...\Curry, huh?\Yup.\We've already started eating. response:	I bet she's hungry, too.
context: She forgot her purse at home.\Seriously?\I'm home.\This smell...\Curry, huh?\Yup.\We've already started eating.\I bet she's hungry, too. response:	Raiha-chan, may I have seconds?
context: Seriously?\I'm home.\This smell...\Curry, huh?\Yup.\We've already started eating.\I bet she's hungry, too.\Raiha-chan, may I have seconds? response:	Sure.
context: I'm home.\This smell...\Curry, huh?\Yup.\We've already started eating.\I bet she's hungry, too.\Raiha-chan, may I have seconds?\Sure. response:	Th...
context: This smell...\Curry, huh?\Yup.\We've already started eating.\I bet she's hungry, too.\Raiha-chan, may I have seconds?\Sure.\Th... response:	Thanks for having me.
context: Curry, huh?\Yup.\We've already started eating.\I bet she's hungry, too.\Raiha-chan, may I have seconds?\Sure.\Th...\Thanks for having me. response:	Thanks for letting me use the bath first.
context: Yup.\We've already started eating.\I bet she's hungry, too.\Raiha-chan, may I have seconds?\Sure.\Th...\Thanks for having me.\Thanks for letting me use the bath first. response:	Well, Itsuki-chan, what do you think of our huge bath?
context: We've already started eating.\I bet she's hungry, too.\Raiha-chan, may I have seconds?\Sure.\Th...\Thanks for having me.\Thanks for letting me use the bath first.\Well, Itsuki-chan, what do you think of our huge bath? response:	Oh, it was very cramcozy and relaxing.
context: I bet she's hungry, too.\Raiha-chan, may I have seconds?\Sure.\Th...\Thanks for having me.\Thanks for letting me use the bath first.\Well, Itsuki-chan, what do you think of our huge bath?\Oh, it was very cramcozy and relaxing. response:	I know, right?
context: Raiha-chan, may I have seconds?\Sure.\Th...\Thanks for having me.\Thanks for letting me use the bath first.\Well, Itsuki-chan, what do you think of our huge bath?\Oh, it was very cramcozy and relaxing.\I know, right? response:	Raiha, we're taking a bath next.
context: Sure.\Th...\Thanks for having me.\Thanks for letting me use the bath first.\Well, Itsuki-chan, what do you think of our huge bath?\Oh, it was very cramcozy and relaxing.\I know, right?\Raiha, we're taking a bath next. response:	Okay!
context: Th...\Thanks for having me.\Thanks for letting me use the bath first.\Well, Itsuki-chan, what do you think of our huge bath?\Oh, it was very cramcozy and relaxing.\I know, right?\Raiha, we're taking a bath next.\Okay! response:	Bathtime! Bathtime!
context: Thanks for having me.\Thanks for letting me use the bath first.\Well, Itsuki-chan, what do you think of our huge bath?\Oh, it was very cramcozy and relaxing.\I know, right?\Raiha, we're taking a bath next.\Okay!\Bathtime! Bathtime! response:	Bathtime! Bathtime!
context: Thanks for letting me use the bath first.\Well, Itsuki-chan, what do you think of our huge bath?\Oh, it was very cramcozy and relaxing.\I know, right?\Raiha, we're taking a bath next.\Okay!\Bathtime! Bathtime!\Bathtime! Bathtime! response:	Bathtime! Bathtime!
context: Well, Itsuki-chan, what do you think of our huge bath?\Oh, it was very cramcozy and relaxing.\I know, right?\Raiha, we're taking a bath next.\Okay!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime! response:	Bathtime! Bathtime!
context: Oh, it was very cramcozy and relaxing.\I know, right?\Raiha, we're taking a bath next.\Okay!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime! response:	Um...
context: I know, right?\Raiha, we're taking a bath next.\Okay!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Um... response:	Why
context: Raiha, we're taking a bath next.\Okay!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Um...\Why response:	G-Go ahead.
context: Okay!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Um...\Why\G-Go ahead. response:	Why are you here?
context: Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Um...\Why\G-Go ahead.\Why are you here? response:	This is so awkward.
context: Bathtime! Bathtime!\Bathtime! Bathtime!\Bathtime! Bathtime!\Um...\Why\G-Go ahead.\Why are you here?\This is so awkward. response:	I know how Nino feels now.
context: Bathtime! Bathtime!\Bathtime! Bathtime!\Um...\Why\G-Go ahead.\Why are you here?\This is so awkward.\I know how Nino feels now. response:	Onii-chan, can you bring the bedding out?
context: Bathtime! Bathtime!\Um...\Why\G-Go ahead.\Why are you here?\This is so awkward.\I know how Nino feels now.\Onii-chan, can you bring the bedding out? response:	Oh, I'll do it.
context: Um...\Why\G-Go ahead.\Why are you here?\This is so awkward.\I know how Nino feels now.\Onii-chan, can you bring the bedding out?\Oh, I'll do it. response:	Is she actually staying over?
context: Why\G-Go ahead.\Why are you here?\This is so awkward.\I know how Nino feels now.\Onii-chan, can you bring the bedding out?\Oh, I'll do it.\Is she actually staying over? response:	Wait a second...
context: G-Go ahead.\Why are you here?\This is so awkward.\I know how Nino feels now.\Onii-chan, can you bring the bedding out?\Oh, I'll do it.\Is she actually staying over?\Wait a second... response:	Dad's leaving for work soon.
context: Why are you here?\This is so awkward.\I know how Nino feels now.\Onii-chan, can you bring the bedding out?\Oh, I'll do it.\Is she actually staying over?\Wait a second...\Dad's leaving for work soon. response:	Let's all sleep together tonight.
context: This is so awkward.\I know how Nino feels now.\Onii-chan, can you bring the bedding out?\Oh, I'll do it.\Is she actually staying over?\Wait a second...\Dad's leaving for work soon.\Let's all sleep together tonight. response:	This can't go on.
context: I know how Nino feels now.\Onii-chan, can you bring the bedding out?\Oh, I'll do it.\Is she actually staying over?\Wait a second...\Dad's leaving for work soon.\Let's all sleep together tonight.\This can't go on. response:	What am I supposed to say?
context: Onii-chan, can you bring the bedding out?\Oh, I'll do it.\Is she actually staying over?\Wait a second...\Dad's leaving for work soon.\Let's all sleep together tonight.\This can't go on.\What am I supposed to say? response:	Uesugi-kun, are you awake?
context: Oh, I'll do it.\Is she actually staying over?\Wait a second...\Dad's leaving for work soon.\Let's all sleep together tonight.\This can't go on.\What am I supposed to say?\Uesugi-kun, are you awake? response:	Y-Yeah.
context: Is she actually staying over?\Wait a second...\Dad's leaving for work soon.\Let's all sleep together tonight.\This can't go on.\What am I supposed to say?\Uesugi-kun, are you awake?\Y-Yeah. response:	I'm up.
context: Wait a second...\Dad's leaving for work soon.\Let's all sleep together tonight.\This can't go on.\What am I supposed to say?\Uesugi-kun, are you awake?\Y-Yeah.\I'm up. response:	Sorry for barging in today.
context: Dad's leaving for work soon.\Let's all sleep together tonight.\This can't go on.\What am I supposed to say?\Uesugi-kun, are you awake?\Y-Yeah.\I'm up.\Sorry for barging in today. response:	And about yesterday.
context: Let's all sleep together tonight.\This can't go on.\What am I supposed to say?\Uesugi-kun, are you awake?\Y-Yeah.\I'm up.\Sorry for barging in today.\And about yesterday. response:	There's something I have to talk to you about.
context: This can't go on.\What am I supposed to say?\Uesugi-kun, are you awake?\Y-Yeah.\I'm up.\Sorry for barging in today.\And about yesterday.\There's something I have to talk to you about. response:	Let's go for a walk, shall we?
context: What am I supposed to say?\Uesugi-kun, are you awake?\Y-Yeah.\I'm up.\Sorry for barging in today.\And about yesterday.\There's something I have to talk to you about.\Let's go for a walk, shall we? response:	Hey, look.
