context: I am currently known as Eriol. response:	But I used to be called' Clow Reed.
context: Light?\As the card said,\only Light can chase away Darkness.\Light can get rid of this darkness.\Alright! One more time!\O Card created by Clow!\Listen to my words and be reborn!\I, Sakura, Command you. response:	Light!
context: As the card said,\only Light can chase away Darkness.\Light can get rid of this darkness.\Alright! One more time!\O Card created by Clow!\Listen to my words and be reborn!\I, Sakura, Command you.\Light! response:	Light! Light!
context: only Light can chase away Darkness.\Light can get rid of this darkness.\Alright! One more time!\O Card created by Clow!\Listen to my words and be reborn!\I, Sakura, Command you.\Light!\Light! Light! response:	No way!
context: Light can get rid of this darkness.\Alright! One more time!\O Card created by Clow!\Listen to my words and be reborn!\I, Sakura, Command you.\Light!\Light! Light!\No way! response:	At this rate' everyone will fall asleep.
context: Alright! One more time!\O Card created by Clow!\Listen to my words and be reborn!\I, Sakura, Command you.\Light!\Light! Light!\No way!\At this rate' everyone will fall asleep. response:	No! I can't let that happen!
context: O Card created by Clow!\Listen to my words and be reborn!\I, Sakura, Command you.\Light!\Light! Light!\No way!\At this rate' everyone will fall asleep.\No! I can't let that happen! response:	I guess it's time for us to step forward.
context: Listen to my words and be reborn!\I, Sakura, Command you.\Light!\Light! Light!\No way!\At this rate' everyone will fall asleep.\No! I can't let that happen!\I guess it's time for us to step forward. response:	Kero-chan. Yue-san.
context: I, Sakura, Command you.\Light!\Light! Light!\No way!\At this rate' everyone will fall asleep.\No! I can't let that happen!\I guess it's time for us to step forward.\Kero-chan. Yue-san. response:	Light and Dark are always together.
context: Light!\Light! Light!\No way!\At this rate' everyone will fall asleep.\No! I can't let that happen!\I guess it's time for us to step forward.\Kero-chan. Yue-san.\Light and Dark are always together. response:	They should be together when you change them as well.
context: Light! Light!\No way!\At this rate' everyone will fall asleep.\No! I can't let that happen!\I guess it's time for us to step forward.\Kero-chan. Yue-san.\Light and Dark are always together.\They should be together when you change them as well. response:	But they didn't change the first time' or the second.
context: No way!\At this rate' everyone will fall asleep.\No! I can't let that happen!\I guess it's time for us to step forward.\Kero-chan. Yue-san.\Light and Dark are always together.\They should be together when you change them as well.\But they didn't change the first time' or the second. response:	Light and Dark are the strongest cards.
context: At this rate' everyone will fall asleep.\No! I can't let that happen!\I guess it's time for us to step forward.\Kero-chan. Yue-san.\Light and Dark are always together.\They should be together when you change them as well.\But they didn't change the first time' or the second.\Light and Dark are the strongest cards. response:	We may be able to help you.
context: No! I can't let that happen!\I guess it's time for us to step forward.\Kero-chan. Yue-san.\Light and Dark are always together.\They should be together when you change them as well.\But they didn't change the first time' or the second.\Light and Dark are the strongest cards.\We may be able to help you. response:	You two can?
context: I guess it's time for us to step forward.\Kero-chan. Yue-san.\Light and Dark are always together.\They should be together when you change them as well.\But they didn't change the first time' or the second.\Light and Dark are the strongest cards.\We may be able to help you.\You two can? response:	But don't they only respond to the staff?
context: Kero-chan. Yue-san.\Light and Dark are always together.\They should be together when you change them as well.\But they didn't change the first time' or the second.\Light and Dark are the strongest cards.\We may be able to help you.\You two can?\But don't they only respond to the staff? response:	Yup.
context: Light and Dark are always together.\They should be together when you change them as well.\But they didn't change the first time' or the second.\Light and Dark are the strongest cards.\We may be able to help you.\You two can?\But don't they only respond to the staff?\Yup. response:	The staff is the only thing
context: They should be together when you change them as well.\But they didn't change the first time' or the second.\Light and Dark are the strongest cards.\We may be able to help you.\You two can?\But don't they only respond to the staff?\Yup.\The staff is the only thing response:	that can change them.
context: But they didn't change the first time' or the second.\Light and Dark are the strongest cards.\We may be able to help you.\You two can?\But don't they only respond to the staff?\Yup.\The staff is the only thing\that can change them. response:	Then how can you help me?
context: Light and Dark are the strongest cards.\We may be able to help you.\You two can?\But don't they only respond to the staff?\Yup.\The staff is the only thing\that can change them.\Then how can you help me? response:	We can transfer ourselves into the staff.
context: We may be able to help you.\You two can?\But don't they only respond to the staff?\Yup.\The staff is the only thing\that can change them.\Then how can you help me?\We can transfer ourselves into the staff. response:	Once we've been absorbed
context: You two can?\But don't they only respond to the staff?\Yup.\The staff is the only thing\that can change them.\Then how can you help me?\We can transfer ourselves into the staff.\Once we've been absorbed response:	we can help you change the cards
context: But don't they only respond to the staff?\Yup.\The staff is the only thing\that can change them.\Then how can you help me?\We can transfer ourselves into the staff.\Once we've been absorbed\we can help you change the cards response:	Will you be okay if you do that?
context: Yup.\The staff is the only thing\that can change them.\Then how can you help me?\We can transfer ourselves into the staff.\Once we've been absorbed\we can help you change the cards\Will you be okay if you do that? response:	Can you come back?
context: The staff is the only thing\that can change them.\Then how can you help me?\We can transfer ourselves into the staff.\Once we've been absorbed\we can help you change the cards\Will you be okay if you do that?\Can you come back? response:	They will be able to return once you defeat this darkness.
context: that can change them.\Then how can you help me?\We can transfer ourselves into the staff.\Once we've been absorbed\we can help you change the cards\Will you be okay if you do that?\Can you come back?\They will be able to return once you defeat this darkness. response:	And if I can't change the card?
context: Then how can you help me?\We can transfer ourselves into the staff.\Once we've been absorbed\we can help you change the cards\Will you be okay if you do that?\Can you come back?\They will be able to return once you defeat this darkness.\And if I can't change the card? response:	Like everyone else,
context: We can transfer ourselves into the staff.\Once we've been absorbed\we can help you change the cards\Will you be okay if you do that?\Can you come back?\They will be able to return once you defeat this darkness.\And if I can't change the card?\Like everyone else, response:	they will sleep in that staff forever.
context: Once we've been absorbed\we can help you change the cards\Will you be okay if you do that?\Can you come back?\They will be able to return once you defeat this darkness.\And if I can't change the card?\Like everyone else,\they will sleep in that staff forever. response:	NO! I won't let you!
context: we can help you change the cards\Will you be okay if you do that?\Can you come back?\They will be able to return once you defeat this darkness.\And if I can't change the card?\Like everyone else,\they will sleep in that staff forever.\NO! I won't let you! response:	If I can't do it
context: Will you be okay if you do that?\Can you come back?\They will be able to return once you defeat this darkness.\And if I can't change the card?\Like everyone else,\they will sleep in that staff forever.\NO! I won't let you!\If I can't do it response:	I'll never see either of you again! Nooo'
context: Can you come back?\They will be able to return once you defeat this darkness.\And if I can't change the card?\Like everyone else,\they will sleep in that staff forever.\NO! I won't let you!\If I can't do it\I'll never see either of you again! Nooo' response:	If we don't,
context: They will be able to return once you defeat this darkness.\And if I can't change the card?\Like everyone else,\they will sleep in that staff forever.\NO! I won't let you!\If I can't do it\I'll never see either of you again! Nooo'\If we don't, response:	nobody will ever wake up.
context: And if I can't change the card?\Like everyone else,\they will sleep in that staff forever.\NO! I won't let you!\If I can't do it\I'll never see either of you again! Nooo'\If we don't,\nobody will ever wake up. response:	Is that what you want?
context: Like everyone else,\they will sleep in that staff forever.\NO! I won't let you!\If I can't do it\I'll never see either of you again! Nooo'\If we don't,\nobody will ever wake up.\Is that what you want? response:	Don't worry.
context: they will sleep in that staff forever.\NO! I won't let you!\If I can't do it\I'll never see either of you again! Nooo'\If we don't,\nobody will ever wake up.\Is that what you want?\Don't worry. response:	You have your own spell.
context: NO! I won't let you!\If I can't do it\I'll never see either of you again! Nooo'\If we don't,\nobody will ever wake up.\Is that what you want?\Don't worry.\You have your own spell. response:	'It will surely be alright'
context: If I can't do it\I'll never see either of you again! Nooo'\If we don't,\nobody will ever wake up.\Is that what you want?\Don't worry.\You have your own spell.\'It will surely be alright' response:	Let's do it!
context: I'll never see either of you again! Nooo'\If we don't,\nobody will ever wake up.\Is that what you want?\Don't worry.\You have your own spell.\'It will surely be alright'\Let's do it! response:	Alright.
context: If we don't,\nobody will ever wake up.\Is that what you want?\Don't worry.\You have your own spell.\'It will surely be alright'\Let's do it!\Alright. response:	Cards created by Clow,
context: nobody will ever wake up.\Is that what you want?\Don't worry.\You have your own spell.\'It will surely be alright'\Let's do it!\Alright.\Cards created by Clow, response:	listen to my words and be reborn.
context: Is that what you want?\Don't worry.\You have your own spell.\'It will surely be alright'\Let's do it!\Alright.\Cards created by Clow,\listen to my words and be reborn. response:	I, Sakura, command you.
context: Don't worry.\You have your own spell.\'It will surely be alright'\Let's do it!\Alright.\Cards created by Clow,\listen to my words and be reborn.\I, Sakura, command you. response:	Please' change!
context: You have your own spell.\'It will surely be alright'\Let's do it!\Alright.\Cards created by Clow,\listen to my words and be reborn.\I, Sakura, command you.\Please' change! response:	I believe in the cards'
context: 'It will surely be alright'\Let's do it!\Alright.\Cards created by Clow,\listen to my words and be reborn.\I, Sakura, command you.\Please' change!\I believe in the cards' response:	and in myself!
context: Let's do it!\Alright.\Cards created by Clow,\listen to my words and be reborn.\I, Sakura, command you.\Please' change!\I believe in the cards'\and in myself! response:	Shao Lan-kun?
context: Alright.\Cards created by Clow,\listen to my words and be reborn.\I, Sakura, command you.\Please' change!\I believe in the cards'\and in myself!\Shao Lan-kun? response:	I'm a descendant of Clow Reed,
context: Cards created by Clow,\listen to my words and be reborn.\I, Sakura, command you.\Please' change!\I believe in the cards'\and in myself!\Shao Lan-kun?\I'm a descendant of Clow Reed, response:	I might be able to help.
context: listen to my words and be reborn.\I, Sakura, command you.\Please' change!\I believe in the cards'\and in myself!\Shao Lan-kun?\I'm a descendant of Clow Reed,\I might be able to help. response:	But if it doesn't work you'll'
context: I, Sakura, command you.\Please' change!\I believe in the cards'\and in myself!\Shao Lan-kun?\I'm a descendant of Clow Reed,\I might be able to help.\But if it doesn't work you'll' response:	If the cards don't change, you'll fall asleep too'
context: Please' change!\I believe in the cards'\and in myself!\Shao Lan-kun?\I'm a descendant of Clow Reed,\I might be able to help.\But if it doesn't work you'll'\If the cards don't change, you'll fall asleep too' response:	Don't worry.
context: I believe in the cards'\and in myself!\Shao Lan-kun?\I'm a descendant of Clow Reed,\I might be able to help.\But if it doesn't work you'll'\If the cards don't change, you'll fall asleep too'\Don't worry. response:	I'm sure you can defeat him.
context: and in myself!\Shao Lan-kun?\I'm a descendant of Clow Reed,\I might be able to help.\But if it doesn't work you'll'\If the cards don't change, you'll fall asleep too'\Don't worry.\I'm sure you can defeat him. response:	Right!
context: Shao Lan-kun?\I'm a descendant of Clow Reed,\I might be able to help.\But if it doesn't work you'll'\If the cards don't change, you'll fall asleep too'\Don't worry.\I'm sure you can defeat him.\Right! response:	Let's go!
context: I'm a descendant of Clow Reed,\I might be able to help.\But if it doesn't work you'll'\If the cards don't change, you'll fall asleep too'\Don't worry.\I'm sure you can defeat him.\Right!\Let's go! response:	Yeah.
context: I might be able to help.\But if it doesn't work you'll'\If the cards don't change, you'll fall asleep too'\Don't worry.\I'm sure you can defeat him.\Right!\Let's go!\Yeah. response:	It's alright.
context: But if it doesn't work you'll'\If the cards don't change, you'll fall asleep too'\Don't worry.\I'm sure you can defeat him.\Right!\Let's go!\Yeah.\It's alright. response:	'It will surely be alright!'
context: If the cards don't change, you'll fall asleep too'\Don't worry.\I'm sure you can defeat him.\Right!\Let's go!\Yeah.\It's alright.\'It will surely be alright!' response:	Light!
context: Don't worry.\I'm sure you can defeat him.\Right!\Let's go!\Yeah.\It's alright.\'It will surely be alright!'\Light! response:	Oh my, it looks like she's beaten your magic.
context: I'm sure you can defeat him.\Right!\Let's go!\Yeah.\It's alright.\'It will surely be alright!'\Light!\Oh my, it looks like she's beaten your magic. response:	Is this what you wanted Eriol?
context: Right!\Let's go!\Yeah.\It's alright.\'It will surely be alright!'\Light!\Oh my, it looks like she's beaten your magic.\Is this what you wanted Eriol? response:	Yeah, it's finally over.
context: Let's go!\Yeah.\It's alright.\'It will surely be alright!'\Light!\Oh my, it looks like she's beaten your magic.\Is this what you wanted Eriol?\Yeah, it's finally over. response:	Shao Lan-kun!
context: Yeah.\It's alright.\'It will surely be alright!'\Light!\Oh my, it looks like she's beaten your magic.\Is this what you wanted Eriol?\Yeah, it's finally over.\Shao Lan-kun! response:	You did it.
context: It's alright.\'It will surely be alright!'\Light!\Oh my, it looks like she's beaten your magic.\Is this what you wanted Eriol?\Yeah, it's finally over.\Shao Lan-kun!\You did it. response:	Thank you.
context: 'It will surely be alright!'\Light!\Oh my, it looks like she's beaten your magic.\Is this what you wanted Eriol?\Yeah, it's finally over.\Shao Lan-kun!\You did it.\Thank you. response:	Thank you so much.
context: Light!\Oh my, it looks like she's beaten your magic.\Is this what you wanted Eriol?\Yeah, it's finally over.\Shao Lan-kun!\You did it.\Thank you.\Thank you so much. response:	Kero-chan' Yue-san'
context: Oh my, it looks like she's beaten your magic.\Is this what you wanted Eriol?\Yeah, it's finally over.\Shao Lan-kun!\You did it.\Thank you.\Thank you so much.\Kero-chan' Yue-san' response:	Thank you!
context: Is this what you wanted Eriol?\Yeah, it's finally over.\Shao Lan-kun!\You did it.\Thank you.\Thank you so much.\Kero-chan' Yue-san'\Thank you! response:	It was nothing.
context: Yeah, it's finally over.\Shao Lan-kun!\You did it.\Thank you.\Thank you so much.\Kero-chan' Yue-san'\Thank you!\It was nothing. response:	We're friends after all.
context: Shao Lan-kun!\You did it.\Thank you.\Thank you so much.\Kero-chan' Yue-san'\Thank you!\It was nothing.\We're friends after all. response:	Tomoyo-chan!
context: You did it.\Thank you.\Thank you so much.\Kero-chan' Yue-san'\Thank you!\It was nothing.\We're friends after all.\Tomoyo-chan! response:	Sakura-chan?
context: Thank you.\Thank you so much.\Kero-chan' Yue-san'\Thank you!\It was nothing.\We're friends after all.\Tomoyo-chan!\Sakura-chan? response:	Are you hurt?
context: Thank you so much.\Kero-chan' Yue-san'\Thank you!\It was nothing.\We're friends after all.\Tomoyo-chan!\Sakura-chan?\Are you hurt? response:	No, are you ok?
context: Kero-chan' Yue-san'\Thank you!\It was nothing.\We're friends after all.\Tomoyo-chan!\Sakura-chan?\Are you hurt?\No, are you ok? response:	Yes, but what happened?
context: Thank you!\It was nothing.\We're friends after all.\Tomoyo-chan!\Sakura-chan?\Are you hurt?\No, are you ok?\Yes, but what happened? response:	Brother!
context: It was nothing.\We're friends after all.\Tomoyo-chan!\Sakura-chan?\Are you hurt?\No, are you ok?\Yes, but what happened?\Brother! response:	It's ok, he'll wake up soon.
context: We're friends after all.\Tomoyo-chan!\Sakura-chan?\Are you hurt?\No, are you ok?\Yes, but what happened?\Brother!\It's ok, he'll wake up soon. response:	Sakura-san.
context: Tomoyo-chan!\Sakura-chan?\Are you hurt?\No, are you ok?\Yes, but what happened?\Brother!\It's ok, he'll wake up soon.\Sakura-san. response:	It's over. I won't harm her.
context: Sakura-chan?\Are you hurt?\No, are you ok?\Yes, but what happened?\Brother!\It's ok, he'll wake up soon.\Sakura-san.\It's over. I won't harm her. response:	Over? What is?
context: Are you hurt?\No, are you ok?\Yes, but what happened?\Brother!\It's ok, he'll wake up soon.\Sakura-san.\It's over. I won't harm her.\Over? What is? response:	They're all Sakura Cards now.
context: No, are you ok?\Yes, but what happened?\Brother!\It's ok, he'll wake up soon.\Sakura-san.\It's over. I won't harm her.\Over? What is?\They're all Sakura Cards now. response:	These are the Sakura cards that I made with the power of the Stars.
context: Yes, but what happened?\Brother!\It's ok, he'll wake up soon.\Sakura-san.\It's over. I won't harm her.\Over? What is?\They're all Sakura Cards now.\These are the Sakura cards that I made with the power of the Stars. response:	Well, you promised us an explanation.
context: Brother!\It's ok, he'll wake up soon.\Sakura-san.\It's over. I won't harm her.\Over? What is?\They're all Sakura Cards now.\These are the Sakura cards that I made with the power of the Stars.\Well, you promised us an explanation. response:	Why were you bothering Sakura!?!?
context: It's ok, he'll wake up soon.\Sakura-san.\It's over. I won't harm her.\Over? What is?\They're all Sakura Cards now.\These are the Sakura cards that I made with the power of the Stars.\Well, you promised us an explanation.\Why were you bothering Sakura!?!? response:	The' they're gone!
context: Sakura-san.\It's over. I won't harm her.\Over? What is?\They're all Sakura Cards now.\These are the Sakura cards that I made with the power of the Stars.\Well, you promised us an explanation.\Why were you bothering Sakura!?!?\The' they're gone! response:	Sakura!
context: It's over. I won't harm her.\Over? What is?\They're all Sakura Cards now.\These are the Sakura cards that I made with the power of the Stars.\Well, you promised us an explanation.\Why were you bothering Sakura!?!?\The' they're gone!\Sakura! response:	Shao Lan-kun!
context: Over? What is?\They're all Sakura Cards now.\These are the Sakura cards that I made with the power of the Stars.\Well, you promised us an explanation.\Why were you bothering Sakura!?!?\The' they're gone!\Sakura!\Shao Lan-kun! response:	Are you alright?
context: They're all Sakura Cards now.\These are the Sakura cards that I made with the power of the Stars.\Well, you promised us an explanation.\Why were you bothering Sakura!?!?\The' they're gone!\Sakura!\Shao Lan-kun!\Are you alright? response:	Sakura'
context: These are the Sakura cards that I made with the power of the Stars.\Well, you promised us an explanation.\Why were you bothering Sakura!?!?\The' they're gone!\Sakura!\Shao Lan-kun!\Are you alright?\Sakura' response:	What?
context: Well, you promised us an explanation.\Why were you bothering Sakura!?!?\The' they're gone!\Sakura!\Shao Lan-kun!\Are you alright?\Sakura'\What? response:	I'
context: Why were you bothering Sakura!?!?\The' they're gone!\Sakura!\Shao Lan-kun!\Are you alright?\Sakura'\What?\I' response:	I'
context: The' they're gone!\Sakura!\Shao Lan-kun!\Are you alright?\Sakura'\What?\I'\I' response:	I really like you!
