context: masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: I'm sure that's not true!\It could be.\It wouldn't be that weird for Kazehaya to fall for her, right?\It would, it would!\Kazehaya's just talking to her because he's a nice guy!\And if he were to fall for someone, it'd definitely be you, Kurumi!\Now that's not possible!\What are you talking about? You two are so close! response:	It's just cause we went to the same middle school.
context: It could be.\It wouldn't be that weird for Kazehaya to fall for her, right?\It would, it would!\Kazehaya's just talking to her because he's a nice guy!\And if he were to fall for someone, it'd definitely be you, Kurumi!\Now that's not possible!\What are you talking about? You two are so close!\It's just cause we went to the same middle school. response:	Why don't you just go out with him?
context: It wouldn't be that weird for Kazehaya to fall for her, right?\It would, it would!\Kazehaya's just talking to her because he's a nice guy!\And if he were to fall for someone, it'd definitely be you, Kurumi!\Now that's not possible!\What are you talking about? You two are so close!\It's just cause we went to the same middle school.\Why don't you just go out with him? response:	We're really not like that!
context: It would, it would!\Kazehaya's just talking to her because he's a nice guy!\And if he were to fall for someone, it'd definitely be you, Kurumi!\Now that's not possible!\What are you talking about? You two are so close!\It's just cause we went to the same middle school.\Why don't you just go out with him?\We're really not like that! response:	Maybe you don't think so, but what about him?
context: Kazehaya's just talking to her because he's a nice guy!\And if he were to fall for someone, it'd definitely be you, Kurumi!\Now that's not possible!\What are you talking about? You two are so close!\It's just cause we went to the same middle school.\Why don't you just go out with him?\We're really not like that!\Maybe you don't think so, but what about him? response:	You're the reason I do things like that.
context: And if he were to fall for someone, it'd definitely be you, Kurumi!\Now that's not possible!\What are you talking about? You two are so close!\It's just cause we went to the same middle school.\Why don't you just go out with him?\We're really not like that!\Maybe you don't think so, but what about him?\You're the reason I do things like that. response:	Kazehaya was changing right before my very eyes.
context: Now that's not possible!\What are you talking about? You two are so close!\It's just cause we went to the same middle school.\Why don't you just go out with him?\We're really not like that!\Maybe you don't think so, but what about him?\You're the reason I do things like that.\Kazehaya was changing right before my very eyes. response:	Yes, because Sawako pushed herself in between us!
context: What are you talking about? You two are so close!\It's just cause we went to the same middle school.\Why don't you just go out with him?\We're really not like that!\Maybe you don't think so, but what about him?\You're the reason I do things like that.\Kazehaya was changing right before my very eyes.\Yes, because Sawako pushed herself in between us! response:	Kazehaya?
context: It's just cause we went to the same middle school.\Why don't you just go out with him?\We're really not like that!\Maybe you don't think so, but what about him?\You're the reason I do things like that.\Kazehaya was changing right before my very eyes.\Yes, because Sawako pushed herself in between us!\Kazehaya? response:	Sawako, you're all sweaty!
context: Why don't you just go out with him?\We're really not like that!\Maybe you don't think so, but what about him?\You're the reason I do things like that.\Kazehaya was changing right before my very eyes.\Yes, because Sawako pushed herself in between us!\Kazehaya?\Sawako, you're all sweaty! response:	Thank you...
context: We're really not like that!\Maybe you don't think so, but what about him?\You're the reason I do things like that.\Kazehaya was changing right before my very eyes.\Yes, because Sawako pushed herself in between us!\Kazehaya?\Sawako, you're all sweaty!\Thank you... response:	Don't worry about it. There, all better.
context: Maybe you don't think so, but what about him?\You're the reason I do things like that.\Kazehaya was changing right before my very eyes.\Yes, because Sawako pushed herself in between us!\Kazehaya?\Sawako, you're all sweaty!\Thank you...\Don't worry about it. There, all better. response:	Did you need something, Kurumi?
context: You're the reason I do things like that.\Kazehaya was changing right before my very eyes.\Yes, because Sawako pushed herself in between us!\Kazehaya?\Sawako, you're all sweaty!\Thank you...\Don't worry about it. There, all better.\Did you need something, Kurumi? response:	Oh no. I just wanted to talk to Sawako.
context: Kazehaya was changing right before my very eyes.\Yes, because Sawako pushed herself in between us!\Kazehaya?\Sawako, you're all sweaty!\Thank you...\Don't worry about it. There, all better.\Did you need something, Kurumi?\Oh no. I just wanted to talk to Sawako. response:	We finally got to know each other better recently!
context: Yes, because Sawako pushed herself in between us!\Kazehaya?\Sawako, you're all sweaty!\Thank you...\Don't worry about it. There, all better.\Did you need something, Kurumi?\Oh no. I just wanted to talk to Sawako.\We finally got to know each other better recently! response:	Right, Sawako?
context: Kazehaya?\Sawako, you're all sweaty!\Thank you...\Don't worry about it. There, all better.\Did you need something, Kurumi?\Oh no. I just wanted to talk to Sawako.\We finally got to know each other better recently!\Right, Sawako? response:	Ri
context: Sawako, you're all sweaty!\Thank you...\Don't worry about it. There, all better.\Did you need something, Kurumi?\Oh no. I just wanted to talk to Sawako.\We finally got to know each other better recently!\Right, Sawako?\Ri response:	We're friends now, right?
context: Thank you...\Don't worry about it. There, all better.\Did you need something, Kurumi?\Oh no. I just wanted to talk to Sawako.\We finally got to know each other better recently!\Right, Sawako?\Ri\We're friends now, right? response:	Lunch time already?
context: Don't worry about it. There, all better.\Did you need something, Kurumi?\Oh no. I just wanted to talk to Sawako.\We finally got to know each other better recently!\Right, Sawako?\Ri\We're friends now, right?\Lunch time already? response:	I need to do something about her.
context: Did you need something, Kurumi?\Oh no. I just wanted to talk to Sawako.\We finally got to know each other better recently!\Right, Sawako?\Ri\We're friends now, right?\Lunch time already?\I need to do something about her. response:	Yeah, lunch time then nap time!
context: Oh no. I just wanted to talk to Sawako.\We finally got to know each other better recently!\Right, Sawako?\Ri\We're friends now, right?\Lunch time already?\I need to do something about her.\Yeah, lunch time then nap time! response:	What's this?
context: We finally got to know each other better recently!\Right, Sawako?\Ri\We're friends now, right?\Lunch time already?\I need to do something about her.\Yeah, lunch time then nap time!\What's this? response:	I have no choice. This is the only way.
context: Right, Sawako?\Ri\We're friends now, right?\Lunch time already?\I need to do something about her.\Yeah, lunch time then nap time!\What's this?\I have no choice. This is the only way. response:	I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma
context: Ri\We're friends now, right?\Lunch time already?\I need to do something about her.\Yeah, lunch time then nap time!\What's this?\I have no choice. This is the only way.\I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma response:	You see?
context: We're friends now, right?\Lunch time already?\I need to do something about her.\Yeah, lunch time then nap time!\What's this?\I have no choice. This is the only way.\I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma\You see? response:	We should cheer them on.
context: Lunch time already?\I need to do something about her.\Yeah, lunch time then nap time!\What's this?\I have no choice. This is the only way.\I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma\You see?\We should cheer them on. response:	Kazehaya...!
context: I need to do something about her.\Yeah, lunch time then nap time!\What's this?\I have no choice. This is the only way.\I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma\You see?\We should cheer them on.\Kazehaya...! response:	Why...
context: Yeah, lunch time then nap time!\What's this?\I have no choice. This is the only way.\I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma\You see?\We should cheer them on.\Kazehaya...!\Why... response:	Why...
context: What's this?\I have no choice. This is the only way.\I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma\You see?\We should cheer them on.\Kazehaya...!\Why...\Why... response:	Why?!
context: I have no choice. This is the only way.\I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma\You see?\We should cheer them on.\Kazehaya...!\Why...\Why...\Why?! response:	Things didn't work out in the end.
context: I want to thank you. Please meet me behind the sports equipment room at noon. Sawako Kuronuma\You see?\We should cheer them on.\Kazehaya...!\Why...\Why...\Why?!\Things didn't work out in the end. response:	I wonder why it couldn't have been me.
context: You see?\We should cheer them on.\Kazehaya...!\Why...\Why...\Why?!\Things didn't work out in the end.\I wonder why it couldn't have been me. response:	I've always, always liked him.
context: We should cheer them on.\Kazehaya...!\Why...\Why...\Why?!\Things didn't work out in the end.\I wonder why it couldn't have been me.\I've always, always liked him. response:	I've liked him for much longer than Sawako has.
context: Kazehaya...!\Why...\Why...\Why?!\Things didn't work out in the end.\I wonder why it couldn't have been me.\I've always, always liked him.\I've liked him for much longer than Sawako has. response:	Kazehaya...
context: Why...\Why...\Why?!\Things didn't work out in the end.\I wonder why it couldn't have been me.\I've always, always liked him.\I've liked him for much longer than Sawako has.\Kazehaya... response:	I wonder what would've happened if I'd confessed to him before he met Sawako?
context: Why...\Why?!\Things didn't work out in the end.\I wonder why it couldn't have been me.\I've always, always liked him.\I've liked him for much longer than Sawako has.\Kazehaya...\I wonder what would've happened if I'd confessed to him before he met Sawako? response:	No, I'm being stupid!
context: Why?!\Things didn't work out in the end.\I wonder why it couldn't have been me.\I've always, always liked him.\I've liked him for much longer than Sawako has.\Kazehaya...\I wonder what would've happened if I'd confessed to him before he met Sawako?\No, I'm being stupid! response:	Even though I did my best, it was just impossible.
context: Things didn't work out in the end.\I wonder why it couldn't have been me.\I've always, always liked him.\I've liked him for much longer than Sawako has.\Kazehaya...\I wonder what would've happened if I'd confessed to him before he met Sawako?\No, I'm being stupid!\Even though I did my best, it was just impossible. response:	It was Kazehaya's decision, after all.
context: I wonder why it couldn't have been me.\I've always, always liked him.\I've liked him for much longer than Sawako has.\Kazehaya...\I wonder what would've happened if I'd confessed to him before he met Sawako?\No, I'm being stupid!\Even though I did my best, it was just impossible.\It was Kazehaya's decision, after all. response:	Kazehaya and I wouldn't make a good couple, would we?
context: I've always, always liked him.\I've liked him for much longer than Sawako has.\Kazehaya...\I wonder what would've happened if I'd confessed to him before he met Sawako?\No, I'm being stupid!\Even though I did my best, it was just impossible.\It was Kazehaya's decision, after all.\Kazehaya and I wouldn't make a good couple, would we? response:	No, that's not true
context: I've liked him for much longer than Sawako has.\Kazehaya...\I wonder what would've happened if I'd confessed to him before he met Sawako?\No, I'm being stupid!\Even though I did my best, it was just impossible.\It was Kazehaya's decision, after all.\Kazehaya and I wouldn't make a good couple, would we?\No, that's not true response:	Then I want you to support us.
context: Kazehaya...\I wonder what would've happened if I'd confessed to him before he met Sawako?\No, I'm being stupid!\Even though I did my best, it was just impossible.\It was Kazehaya's decision, after all.\Kazehaya and I wouldn't make a good couple, would we?\No, that's not true\Then I want you to support us. response:	You're the only one I've told about this.
context: I wonder what would've happened if I'd confessed to him before he met Sawako?\No, I'm being stupid!\Even though I did my best, it was just impossible.\It was Kazehaya's decision, after all.\Kazehaya and I wouldn't make a good couple, would we?\No, that's not true\Then I want you to support us.\You're the only one I've told about this. response:	Unless you think there's someone better for him.
context: No, I'm being stupid!\Even though I did my best, it was just impossible.\It was Kazehaya's decision, after all.\Kazehaya and I wouldn't make a good couple, would we?\No, that's not true\Then I want you to support us.\You're the only one I've told about this.\Unless you think there's someone better for him. response:	No. I think you two would make a great couple.
context: Even though I did my best, it was just impossible.\It was Kazehaya's decision, after all.\Kazehaya and I wouldn't make a good couple, would we?\No, that's not true\Then I want you to support us.\You're the only one I've told about this.\Unless you think there's someone better for him.\No. I think you two would make a great couple. response:	Sawako! Then you'll
context: It was Kazehaya's decision, after all.\Kazehaya and I wouldn't make a good couple, would we?\No, that's not true\Then I want you to support us.\You're the only one I've told about this.\Unless you think there's someone better for him.\No. I think you two would make a great couple.\Sawako! Then you'll response:	But I can't. I wouldn't be able to fully support you from the bottom of my heart.
context: Kazehaya and I wouldn't make a good couple, would we?\No, that's not true\Then I want you to support us.\You're the only one I've told about this.\Unless you think there's someone better for him.\No. I think you two would make a great couple.\Sawako! Then you'll\But I can't. I wouldn't be able to fully support you from the bottom of my heart. response:	Kazehaya's special to me too.
context: No, that's not true\Then I want you to support us.\You're the only one I've told about this.\Unless you think there's someone better for him.\No. I think you two would make a great couple.\Sawako! Then you'll\But I can't. I wouldn't be able to fully support you from the bottom of my heart.\Kazehaya's special to me too. response:	I'm sorry I can't agree.
context: Then I want you to support us.\You're the only one I've told about this.\Unless you think there's someone better for him.\No. I think you two would make a great couple.\Sawako! Then you'll\But I can't. I wouldn't be able to fully support you from the bottom of my heart.\Kazehaya's special to me too.\I'm sorry I can't agree. response:	I'm sorry I can't help you, but I understand how you feel!
context: You're the only one I've told about this.\Unless you think there's someone better for him.\No. I think you two would make a great couple.\Sawako! Then you'll\But I can't. I wouldn't be able to fully support you from the bottom of my heart.\Kazehaya's special to me too.\I'm sorry I can't agree.\I'm sorry I can't help you, but I understand how you feel! response:	So at least I could listen to you if
context: Unless you think there's someone better for him.\No. I think you two would make a great couple.\Sawako! Then you'll\But I can't. I wouldn't be able to fully support you from the bottom of my heart.\Kazehaya's special to me too.\I'm sorry I can't agree.\I'm sorry I can't help you, but I understand how you feel!\So at least I could listen to you if response:	How annoying.
context: No. I think you two would make a great couple.\Sawako! Then you'll\But I can't. I wouldn't be able to fully support you from the bottom of my heart.\Kazehaya's special to me too.\I'm sorry I can't agree.\I'm sorry I can't help you, but I understand how you feel!\So at least I could listen to you if\How annoying. response:	Why isn't she backing off?
context: Sawako! Then you'll\But I can't. I wouldn't be able to fully support you from the bottom of my heart.\Kazehaya's special to me too.\I'm sorry I can't agree.\I'm sorry I can't help you, but I understand how you feel!\So at least I could listen to you if\How annoying.\Why isn't she backing off? response:	Can't she feel the difference between us?
context: But I can't. I wouldn't be able to fully support you from the bottom of my heart.\Kazehaya's special to me too.\I'm sorry I can't agree.\I'm sorry I can't help you, but I understand how you feel!\So at least I could listen to you if\How annoying.\Why isn't she backing off?\Can't she feel the difference between us? response:	That voice is coming from Kurumi's direction.
context: Kazehaya's special to me too.\I'm sorry I can't agree.\I'm sorry I can't help you, but I understand how you feel!\So at least I could listen to you if\How annoying.\Why isn't she backing off?\Can't she feel the difference between us?\That voice is coming from Kurumi's direction. response:	Is there someone else there behind her?
context: I'm sorry I can't agree.\I'm sorry I can't help you, but I understand how you feel!\So at least I could listen to you if\How annoying.\Why isn't she backing off?\Can't she feel the difference between us?\That voice is coming from Kurumi's direction.\Is there someone else there behind her? response:	Sawako's a lucky girl.
context: I'm sorry I can't help you, but I understand how you feel!\So at least I could listen to you if\How annoying.\Why isn't she backing off?\Can't she feel the difference between us?\That voice is coming from Kurumi's direction.\Is there someone else there behind her?\Sawako's a lucky girl. response:	But it's just so strange.
context: So at least I could listen to you if\How annoying.\Why isn't she backing off?\Can't she feel the difference between us?\That voice is coming from Kurumi's direction.\Is there someone else there behind her?\Sawako's a lucky girl.\But it's just so strange. response:	Kurumi!
context: How annoying.\Why isn't she backing off?\Can't she feel the difference between us?\That voice is coming from Kurumi's direction.\Is there someone else there behind her?\Sawako's a lucky girl.\But it's just so strange.\Kurumi! response:	Don't call me Kurumi anymore.
context: Why isn't she backing off?\Can't she feel the difference between us?\That voice is coming from Kurumi's direction.\Is there someone else there behind her?\Sawako's a lucky girl.\But it's just so strange.\Kurumi!\Don't call me Kurumi anymore. response:	U-Ume?
context: Can't she feel the difference between us?\That voice is coming from Kurumi's direction.\Is there someone else there behind her?\Sawako's a lucky girl.\But it's just so strange.\Kurumi!\Don't call me Kurumi anymore.\U-Ume? response:	Sawako...
context: That voice is coming from Kurumi's direction.\Is there someone else there behind her?\Sawako's a lucky girl.\But it's just so strange.\Kurumi!\Don't call me Kurumi anymore.\U-Ume?\Sawako... response:	Your name is going into my book of People Who've Called Me Ume.
context: Is there someone else there behind her?\Sawako's a lucky girl.\But it's just so strange.\Kurumi!\Don't call me Kurumi anymore.\U-Ume?\Sawako...\Your name is going into my book of People Who've Called Me Ume. response:	People Who've Called Me Ume
context: Sawako's a lucky girl.\But it's just so strange.\Kurumi!\Don't call me Kurumi anymore.\U-Ume?\Sawako...\Your name is going into my book of People Who've Called Me Ume.\People Who've Called Me Ume response:	Sawako Kuronuma!
context: But it's just so strange.\Kurumi!\Don't call me Kurumi anymore.\U-Ume?\Sawako...\Your name is going into my book of People Who've Called Me Ume.\People Who've Called Me Ume\Sawako Kuronuma! response:	Is it okay if I call you that?
context: Kurumi!\Don't call me Kurumi anymore.\U-Ume?\Sawako...\Your name is going into my book of People Who've Called Me Ume.\People Who've Called Me Ume\Sawako Kuronuma!\Is it okay if I call you that? response:	What's wrong with you?
context: Don't call me Kurumi anymore.\U-Ume?\Sawako...\Your name is going into my book of People Who've Called Me Ume.\People Who've Called Me Ume\Sawako Kuronuma!\Is it okay if I call you that?\What's wrong with you? response:	I'm going.
context: U-Ume?\Sawako...\Your name is going into my book of People Who've Called Me Ume.\People Who've Called Me Ume\Sawako Kuronuma!\Is it okay if I call you that?\What's wrong with you?\I'm going. response:	Ume, wait!
context: Sawako...\Your name is going into my book of People Who've Called Me Ume.\People Who've Called Me Ume\Sawako Kuronuma!\Is it okay if I call you that?\What's wrong with you?\I'm going.\Ume, wait! response:	Don't call me Ume!
context: Your name is going into my book of People Who've Called Me Ume.\People Who've Called Me Ume\Sawako Kuronuma!\Is it okay if I call you that?\What's wrong with you?\I'm going.\Ume, wait!\Don't call me Ume! response:	Wait, then what should I call you?
context: People Who've Called Me Ume\Sawako Kuronuma!\Is it okay if I call you that?\What's wrong with you?\I'm going.\Ume, wait!\Don't call me Ume!\Wait, then what should I call you? response:	Ume is the only thing I hate about myself.
context: Sawako Kuronuma!\Is it okay if I call you that?\What's wrong with you?\I'm going.\Ume, wait!\Don't call me Ume!\Wait, then what should I call you?\Ume is the only thing I hate about myself. response:	Don't group yourself in with me.
context: Is it okay if I call you that?\What's wrong with you?\I'm going.\Ume, wait!\Don't call me Ume!\Wait, then what should I call you?\Ume is the only thing I hate about myself.\Don't group yourself in with me. response:	You don't know anything about me.
context: What's wrong with you?\I'm going.\Ume, wait!\Don't call me Ume!\Wait, then what should I call you?\Ume is the only thing I hate about myself.\Don't group yourself in with me.\You don't know anything about me. response:	I've liked Kazehaya since middle school.
context: I'm going.\Ume, wait!\Don't call me Ume!\Wait, then what should I call you?\Ume is the only thing I hate about myself.\Don't group yourself in with me.\You don't know anything about me.\I've liked Kazehaya since middle school. response:	I've tried so hard to talk to him, to make sure he didn't get a girlfriend...
context: Ume, wait!\Don't call me Ume!\Wait, then what should I call you?\Ume is the only thing I hate about myself.\Don't group yourself in with me.\You don't know anything about me.\I've liked Kazehaya since middle school.\I've tried so hard to talk to him, to make sure he didn't get a girlfriend... response:	Y-You've worked so hard...
context: Don't call me Ume!\Wait, then what should I call you?\Ume is the only thing I hate about myself.\Don't group yourself in with me.\You don't know anything about me.\I've liked Kazehaya since middle school.\I've tried so hard to talk to him, to make sure he didn't get a girlfriend...\Y-You've worked so hard... response:	I mean, I...
context: Wait, then what should I call you?\Ume is the only thing I hate about myself.\Don't group yourself in with me.\You don't know anything about me.\I've liked Kazehaya since middle school.\I've tried so hard to talk to him, to make sure he didn't get a girlfriend...\Y-You've worked so hard...\I mean, I... response:	Anyway. I know him better than anyone.
context: Ume is the only thing I hate about myself.\Don't group yourself in with me.\You don't know anything about me.\I've liked Kazehaya since middle school.\I've tried so hard to talk to him, to make sure he didn't get a girlfriend...\Y-You've worked so hard...\I mean, I...\Anyway. I know him better than anyone. response:	This isn't some two day crush.
context: Don't group yourself in with me.\You don't know anything about me.\I've liked Kazehaya since middle school.\I've tried so hard to talk to him, to make sure he didn't get a girlfriend...\Y-You've worked so hard...\I mean, I...\Anyway. I know him better than anyone.\This isn't some two day crush. response:	I've always liked him!
context: You don't know anything about me.\I've liked Kazehaya since middle school.\I've tried so hard to talk to him, to make sure he didn't get a girlfriend...\Y-You've worked so hard...\I mean, I...\Anyway. I know him better than anyone.\This isn't some two day crush.\I've always liked him! response:	I've always been waiting for him.
context: I've liked Kazehaya since middle school.\I've tried so hard to talk to him, to make sure he didn't get a girlfriend...\Y-You've worked so hard...\I mean, I...\Anyway. I know him better than anyone.\This isn't some two day crush.\I've always liked him!\I've always been waiting for him. response:	Sawako always faces everything and everyone straight on.
context: I've tried so hard to talk to him, to make sure he didn't get a girlfriend...\Y-You've worked so hard...\I mean, I...\Anyway. I know him better than anyone.\This isn't some two day crush.\I've always liked him!\I've always been waiting for him.\Sawako always faces everything and everyone straight on. response:	She faces me, and Kazehaya, the same way.
context: Y-You've worked so hard...\I mean, I...\Anyway. I know him better than anyone.\This isn't some two day crush.\I've always liked him!\I've always been waiting for him.\Sawako always faces everything and everyone straight on.\She faces me, and Kazehaya, the same way. response:	I told you, you're annoying!
context: I mean, I...\Anyway. I know him better than anyone.\This isn't some two day crush.\I've always liked him!\I've always been waiting for him.\Sawako always faces everything and everyone straight on.\She faces me, and Kazehaya, the same way.\I told you, you're annoying! response:	You haven't worked for him at all! Why do you deserve to be around him all the time?
context: Anyway. I know him better than anyone.\This isn't some two day crush.\I've always liked him!\I've always been waiting for him.\Sawako always faces everything and everyone straight on.\She faces me, and Kazehaya, the same way.\I told you, you're annoying!\You haven't worked for him at all! Why do you deserve to be around him all the time? response:	I hate you!
context: This isn't some two day crush.\I've always liked him!\I've always been waiting for him.\Sawako always faces everything and everyone straight on.\She faces me, and Kazehaya, the same way.\I told you, you're annoying!\You haven't worked for him at all! Why do you deserve to be around him all the time?\I hate you! response:	I thought if it were you my competition, there was no way I could lose!
context: I've always liked him!\I've always been waiting for him.\Sawako always faces everything and everyone straight on.\She faces me, and Kazehaya, the same way.\I told you, you're annoying!\You haven't worked for him at all! Why do you deserve to be around him all the time?\I hate you!\I thought if it were you my competition, there was no way I could lose! response:	I like him so, so much more than you do.
context: I've always been waiting for him.\Sawako always faces everything and everyone straight on.\She faces me, and Kazehaya, the same way.\I told you, you're annoying!\You haven't worked for him at all! Why do you deserve to be around him all the time?\I hate you!\I thought if it were you my competition, there was no way I could lose!\I like him so, so much more than you do. response:	I do!
context: Sawako always faces everything and everyone straight on.\She faces me, and Kazehaya, the same way.\I told you, you're annoying!\You haven't worked for him at all! Why do you deserve to be around him all the time?\I hate you!\I thought if it were you my competition, there was no way I could lose!\I like him so, so much more than you do.\I do! response:	I think you're much cuter the way you are now than you were when I first met you.
context: She faces me, and Kazehaya, the same way.\I told you, you're annoying!\You haven't worked for him at all! Why do you deserve to be around him all the time?\I hate you!\I thought if it were you my competition, there was no way I could lose!\I like him so, so much more than you do.\I do!\I think you're much cuter the way you are now than you were when I first met you. response:	I know I'm cute!
context: I told you, you're annoying!\You haven't worked for him at all! Why do you deserve to be around him all the time?\I hate you!\I thought if it were you my competition, there was no way I could lose!\I like him so, so much more than you do.\I do!\I think you're much cuter the way you are now than you were when I first met you.\I know I'm cute! response:	But that doesn't matter!
context: You haven't worked for him at all! Why do you deserve to be around him all the time?\I hate you!\I thought if it were you my competition, there was no way I could lose!\I like him so, so much more than you do.\I do!\I think you're much cuter the way you are now than you were when I first met you.\I know I'm cute!\But that doesn't matter! response:	If Kazehaya doesn't think so, what does it matter?
context: I hate you!\I thought if it were you my competition, there was no way I could lose!\I like him so, so much more than you do.\I do!\I think you're much cuter the way you are now than you were when I first met you.\I know I'm cute!\But that doesn't matter!\If Kazehaya doesn't think so, what does it matter? response:	I know he doesn't like me.
context: I thought if it were you my competition, there was no way I could lose!\I like him so, so much more than you do.\I do!\I think you're much cuter the way you are now than you were when I first met you.\I know I'm cute!\But that doesn't matter!\If Kazehaya doesn't think so, what does it matter?\I know he doesn't like me. response:	I know because I've always been watching him.
context: I like him so, so much more than you do.\I do!\I think you're much cuter the way you are now than you were when I first met you.\I know I'm cute!\But that doesn't matter!\If Kazehaya doesn't think so, what does it matter?\I know he doesn't like me.\I know because I've always been watching him. response:	Why did you come back?
context: I do!\I think you're much cuter the way you are now than you were when I first met you.\I know I'm cute!\But that doesn't matter!\If Kazehaya doesn't think so, what does it matter?\I know he doesn't like me.\I know because I've always been watching him.\Why did you come back? response:	I don't want you to see me like this.
context: I think you're much cuter the way you are now than you were when I first met you.\I know I'm cute!\But that doesn't matter!\If Kazehaya doesn't think so, what does it matter?\I know he doesn't like me.\I know because I've always been watching him.\Why did you come back?\I don't want you to see me like this. response:	Because you know him so well.
context: I know I'm cute!\But that doesn't matter!\If Kazehaya doesn't think so, what does it matter?\I know he doesn't like me.\I know because I've always been watching him.\Why did you come back?\I don't want you to see me like this.\Because you know him so well. response:	Because I thought we could understand each other.
context: But that doesn't matter!\If Kazehaya doesn't think so, what does it matter?\I know he doesn't like me.\I know because I've always been watching him.\Why did you come back?\I don't want you to see me like this.\Because you know him so well.\Because I thought we could understand each other. response:	You...
context: If Kazehaya doesn't think so, what does it matter?\I know he doesn't like me.\I know because I've always been watching him.\Why did you come back?\I don't want you to see me like this.\Because you know him so well.\Because I thought we could understand each other.\You... response:	She's so dense.
context: I know he doesn't like me.\I know because I've always been watching him.\Why did you come back?\I don't want you to see me like this.\Because you know him so well.\Because I thought we could understand each other.\You...\She's so dense. response:	Wait, do you think that Kazehaya possibly likes me?
context: I know because I've always been watching him.\Why did you come back?\I don't want you to see me like this.\Because you know him so well.\Because I thought we could understand each other.\You...\She's so dense.\Wait, do you think that Kazehaya possibly likes me? response:	Me? Who was friendless until recently?
context: Why did you come back?\I don't want you to see me like this.\Because you know him so well.\Because I thought we could understand each other.\You...\She's so dense.\Wait, do you think that Kazehaya possibly likes me?\Me? Who was friendless until recently? response:	Kazehaya doesn't judge people like that.
context: I don't want you to see me like this.\Because you know him so well.\Because I thought we could understand each other.\You...\She's so dense.\Wait, do you think that Kazehaya possibly likes me?\Me? Who was friendless until recently?\Kazehaya doesn't judge people like that. response:	He's nice and always wants to help people.
context: Because you know him so well.\Because I thought we could understand each other.\You...\She's so dense.\Wait, do you think that Kazehaya possibly likes me?\Me? Who was friendless until recently?\Kazehaya doesn't judge people like that.\He's nice and always wants to help people. response:	He always gives people the benefit of the doubt.
context: Because I thought we could understand each other.\You...\She's so dense.\Wait, do you think that Kazehaya possibly likes me?\Me? Who was friendless until recently?\Kazehaya doesn't judge people like that.\He's nice and always wants to help people.\He always gives people the benefit of the doubt. response:	When he laughs, you can't help but feel better and laugh along with him.
context: You...\She's so dense.\Wait, do you think that Kazehaya possibly likes me?\Me? Who was friendless until recently?\Kazehaya doesn't judge people like that.\He's nice and always wants to help people.\He always gives people the benefit of the doubt.\When he laughs, you can't help but feel better and laugh along with him. response:	Yeah! And he's serious when it matters.
context: She's so dense.\Wait, do you think that Kazehaya possibly likes me?\Me? Who was friendless until recently?\Kazehaya doesn't judge people like that.\He's nice and always wants to help people.\He always gives people the benefit of the doubt.\When he laughs, you can't help but feel better and laugh along with him.\Yeah! And he's serious when it matters. response:	He actually has a quick temper, but it's because he cares about doing the right thing!
context: Wait, do you think that Kazehaya possibly likes me?\Me? Who was friendless until recently?\Kazehaya doesn't judge people like that.\He's nice and always wants to help people.\He always gives people the benefit of the doubt.\When he laughs, you can't help but feel better and laugh along with him.\Yeah! And he's serious when it matters.\He actually has a quick temper, but it's because he cares about doing the right thing! response:	He's nice to both guys and girls.
context: Me? Who was friendless until recently?\Kazehaya doesn't judge people like that.\He's nice and always wants to help people.\He always gives people the benefit of the doubt.\When he laughs, you can't help but feel better and laugh along with him.\Yeah! And he's serious when it matters.\He actually has a quick temper, but it's because he cares about doing the right thing!\He's nice to both guys and girls. response:	He's honest,
context: Kazehaya doesn't judge people like that.\He's nice and always wants to help people.\He always gives people the benefit of the doubt.\When he laughs, you can't help but feel better and laugh along with him.\Yeah! And he's serious when it matters.\He actually has a quick temper, but it's because he cares about doing the right thing!\He's nice to both guys and girls.\He's honest, response:	and
context: He's nice and always wants to help people.\He always gives people the benefit of the doubt.\When he laughs, you can't help but feel better and laugh along with him.\Yeah! And he's serious when it matters.\He actually has a quick temper, but it's because he cares about doing the right thing!\He's nice to both guys and girls.\He's honest,\and response:	Why am I talking to you about this?!
context: He always gives people the benefit of the doubt.\When he laughs, you can't help but feel better and laugh along with him.\Yeah! And he's serious when it matters.\He actually has a quick temper, but it's because he cares about doing the right thing!\He's nice to both guys and girls.\He's honest,\and\Why am I talking to you about this?! response:	I'm so happy we were able to talk like this. I've never spoken like this to anyone before.
context: When he laughs, you can't help but feel better and laugh along with him.\Yeah! And he's serious when it matters.\He actually has a quick temper, but it's because he cares about doing the right thing!\He's nice to both guys and girls.\He's honest,\and\Why am I talking to you about this?!\I'm so happy we were able to talk like this. I've never spoken like this to anyone before. response:	This was my best shot.
