context: I wasn't prepared for any of this. response:	It's so lame I could die.
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	You're totally lost, you pipsqueak!
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\You're totally lost, you pipsqueak! response:	Mamoru!
context: Bam\Bam\Bam\Bam\Bam\Bam\You're totally lost, you pipsqueak!\Mamoru! response:	P-Pipsqueak?!
context: Bam\Bam\Bam\Bam\Bam\You're totally lost, you pipsqueak!\Mamoru!\P-Pipsqueak?! response:	This compound is surrounded by that Jirou guy's barrier.
context: Bam\Bam\Bam\Bam\You're totally lost, you pipsqueak!\Mamoru!\P-Pipsqueak?!\This compound is surrounded by that Jirou guy's barrier. response:	I can smell the rotten stink of his aura on everything.
context: Bam\Bam\Bam\You're totally lost, you pipsqueak!\Mamoru!\P-Pipsqueak?!\This compound is surrounded by that Jirou guy's barrier.\I can smell the rotten stink of his aura on everything. response:	Until the fox and his friend break Jirou's focus, we're stuck here.
context: Bam\Bam\You're totally lost, you pipsqueak!\Mamoru!\P-Pipsqueak?!\This compound is surrounded by that Jirou guy's barrier.\I can smell the rotten stink of his aura on everything.\Until the fox and his friend break Jirou's focus, we're stuck here. response:	Tomoe... Kurama...
context: Bam\You're totally lost, you pipsqueak!\Mamoru!\P-Pipsqueak?!\This compound is surrounded by that Jirou guy's barrier.\I can smell the rotten stink of his aura on everything.\Until the fox and his friend break Jirou's focus, we're stuck here.\Tomoe... Kurama... response:	Hurry!
context: You're totally lost, you pipsqueak!\Mamoru!\P-Pipsqueak?!\This compound is surrounded by that Jirou guy's barrier.\I can smell the rotten stink of his aura on everything.\Until the fox and his friend break Jirou's focus, we're stuck here.\Tomoe... Kurama...\Hurry! response:	Sake from the Heavens is not so bad after all.
context: Mamoru!\P-Pipsqueak?!\This compound is surrounded by that Jirou guy's barrier.\I can smell the rotten stink of his aura on everything.\Until the fox and his friend break Jirou's focus, we're stuck here.\Tomoe... Kurama...\Hurry!\Sake from the Heavens is not so bad after all. response:	What's the matter, Shinjurou? The bottle isn't empty yet.
context: P-Pipsqueak?!\This compound is surrounded by that Jirou guy's barrier.\I can smell the rotten stink of his aura on everything.\Until the fox and his friend break Jirou's focus, we're stuck here.\Tomoe... Kurama...\Hurry!\Sake from the Heavens is not so bad after all.\What's the matter, Shinjurou? The bottle isn't empty yet. response:	So how are you feeling now, Brother? Good?
context: This compound is surrounded by that Jirou guy's barrier.\I can smell the rotten stink of his aura on everything.\Until the fox and his friend break Jirou's focus, we're stuck here.\Tomoe... Kurama...\Hurry!\Sake from the Heavens is not so bad after all.\What's the matter, Shinjurou? The bottle isn't empty yet.\So how are you feeling now, Brother? Good? response:	Of course.
context: I can smell the rotten stink of his aura on everything.\Until the fox and his friend break Jirou's focus, we're stuck here.\Tomoe... Kurama...\Hurry!\Sake from the Heavens is not so bad after all.\What's the matter, Shinjurou? The bottle isn't empty yet.\So how are you feeling now, Brother? Good?\Of course. response:	Were you planning to get me drunk so you could exact some sort of pathetic revenge?
context: Until the fox and his friend break Jirou's focus, we're stuck here.\Tomoe... Kurama...\Hurry!\Sake from the Heavens is not so bad after all.\What's the matter, Shinjurou? The bottle isn't empty yet.\So how are you feeling now, Brother? Good?\Of course.\Were you planning to get me drunk so you could exact some sort of pathetic revenge? response:	This must come as a disappointment.
context: Tomoe... Kurama...\Hurry!\Sake from the Heavens is not so bad after all.\What's the matter, Shinjurou? The bottle isn't empty yet.\So how are you feeling now, Brother? Good?\Of course.\Were you planning to get me drunk so you could exact some sort of pathetic revenge?\This must come as a disappointment. response:	Unlike your feeble spirit, I am not one to be corrupted by mere alcohol.
