context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: To say that I want to bring along such a hentai with me!!\What should I do?\Very good, very good!\That's a piece you learned at school, isn't it? What a good piece is it!\It is Schubert.\Shubert? Ehhh...\This is the piece I played at the Competition.\Competition? response:	Competition...it's a tournament for piano?
context: What should I do?\Very good, very good!\That's a piece you learned at school, isn't it? What a good piece is it!\It is Schubert.\Shubert? Ehhh...\This is the piece I played at the Competition.\Competition?\Competition...it's a tournament for piano? response:	Yes
context: Very good, very good!\That's a piece you learned at school, isn't it? What a good piece is it!\It is Schubert.\Shubert? Ehhh...\This is the piece I played at the Competition.\Competition?\Competition...it's a tournament for piano?\Yes response:	Waaahhh...Megumi in tournament?
context: That's a piece you learned at school, isn't it? What a good piece is it!\It is Schubert.\Shubert? Ehhh...\This is the piece I played at the Competition.\Competition?\Competition...it's a tournament for piano?\Yes\Waaahhh...Megumi in tournament? response:	But I failed...
context: It is Schubert.\Shubert? Ehhh...\This is the piece I played at the Competition.\Competition?\Competition...it's a tournament for piano?\Yes\Waaahhh...Megumi in tournament?\But I failed... response:	And then? Was the tournament enjoyable?
context: Shubert? Ehhh...\This is the piece I played at the Competition.\Competition?\Competition...it's a tournament for piano?\Yes\Waaahhh...Megumi in tournament?\But I failed...\And then? Was the tournament enjoyable? response:	Yes!
context: This is the piece I played at the Competition.\Competition?\Competition...it's a tournament for piano?\Yes\Waaahhh...Megumi in tournament?\But I failed...\And then? Was the tournament enjoyable?\Yes! response:	Umm...
context: Competition?\Competition...it's a tournament for piano?\Yes\Waaahhh...Megumi in tournament?\But I failed...\And then? Was the tournament enjoyable?\Yes!\Umm... response:	because the audience...they clapped their hands a lot for me
context: Competition...it's a tournament for piano?\Yes\Waaahhh...Megumi in tournament?\But I failed...\And then? Was the tournament enjoyable?\Yes!\Umm...\because the audience...they clapped their hands a lot for me response:	Though it was in the First Stage, but I was very surprised...
context: Yes\Waaahhh...Megumi in tournament?\But I failed...\And then? Was the tournament enjoyable?\Yes!\Umm...\because the audience...they clapped their hands a lot for me\Though it was in the First Stage, but I was very surprised... response:	Then I was told to fix my neguse hair!
context: Waaahhh...Megumi in tournament?\But I failed...\And then? Was the tournament enjoyable?\Yes!\Umm...\because the audience...they clapped their hands a lot for me\Though it was in the First Stage, but I was very surprised...\Then I was told to fix my neguse hair! response:	Though I wasn't good with Schubert, yet I could finally played it.
context: But I failed...\And then? Was the tournament enjoyable?\Yes!\Umm...\because the audience...they clapped their hands a lot for me\Though it was in the First Stage, but I was very surprised...\Then I was told to fix my neguse hair!\Though I wasn't good with Schubert, yet I could finally played it. response:	Because he supported me...
context: And then? Was the tournament enjoyable?\Yes!\Umm...\because the audience...they clapped their hands a lot for me\Though it was in the First Stage, but I was very surprised...\Then I was told to fix my neguse hair!\Though I wasn't good with Schubert, yet I could finally played it.\Because he supported me... response:	Megumi always wore beautiful dresses too...
context: Yes!\Umm...\because the audience...they clapped their hands a lot for me\Though it was in the First Stage, but I was very surprised...\Then I was told to fix my neguse hair!\Though I wasn't good with Schubert, yet I could finally played it.\Because he supported me...\Megumi always wore beautiful dresses too... response:	Fare: 5470 yen
context: Umm...\because the audience...they clapped their hands a lot for me\Though it was in the First Stage, but I was very surprised...\Then I was told to fix my neguse hair!\Though I wasn't good with Schubert, yet I could finally played it.\Because he supported me...\Megumi always wore beautiful dresses too...\Fare: 5470 yen response:	Saga Prefecture Kiyama town
context: because the audience...they clapped their hands a lot for me\Though it was in the First Stage, but I was very surprised...\Then I was told to fix my neguse hair!\Though I wasn't good with Schubert, yet I could finally played it.\Because he supported me...\Megumi always wore beautiful dresses too...\Fare: 5470 yen\Saga Prefecture Kiyama town response:	Delicious Saga Seaweed
context: Though it was in the First Stage, but I was very surprised...\Then I was told to fix my neguse hair!\Though I wasn't good with Schubert, yet I could finally played it.\Because he supported me...\Megumi always wore beautiful dresses too...\Fare: 5470 yen\Saga Prefecture Kiyama town\Delicious Saga Seaweed response:	Excuse me..
context: Then I was told to fix my neguse hair!\Though I wasn't good with Schubert, yet I could finally played it.\Because he supported me...\Megumi always wore beautiful dresses too...\Fare: 5470 yen\Saga Prefecture Kiyama town\Delicious Saga Seaweed\Excuse me.. response:	Are you sure you don't make a mistake with where you're going?
context: Though I wasn't good with Schubert, yet I could finally played it.\Because he supported me...\Megumi always wore beautiful dresses too...\Fare: 5470 yen\Saga Prefecture Kiyama town\Delicious Saga Seaweed\Excuse me..\Are you sure you don't make a mistake with where you're going? response:	Where I want to go is Okawa City in Fukuoka Prefecture.
context: Because he supported me...\Megumi always wore beautiful dresses too...\Fare: 5470 yen\Saga Prefecture Kiyama town\Delicious Saga Seaweed\Excuse me..\Are you sure you don't make a mistake with where you're going?\Where I want to go is Okawa City in Fukuoka Prefecture. response:	Yes, right, right...
context: Megumi always wore beautiful dresses too...\Fare: 5470 yen\Saga Prefecture Kiyama town\Delicious Saga Seaweed\Excuse me..\Are you sure you don't make a mistake with where you're going?\Where I want to go is Okawa City in Fukuoka Prefecture.\Yes, right, right... response:	If Okawa City, it's mostly in Saga.
context: Fare: 5470 yen\Saga Prefecture Kiyama town\Delicious Saga Seaweed\Excuse me..\Are you sure you don't make a mistake with where you're going?\Where I want to go is Okawa City in Fukuoka Prefecture.\Yes, right, right...\If Okawa City, it's mostly in Saga. response:	Eh?
context: Saga Prefecture Kiyama town\Delicious Saga Seaweed\Excuse me..\Are you sure you don't make a mistake with where you're going?\Where I want to go is Okawa City in Fukuoka Prefecture.\Yes, right, right...\If Okawa City, it's mostly in Saga.\Eh? response:	So it is not a metropolitan, a big city?
context: Delicious Saga Seaweed\Excuse me..\Are you sure you don't make a mistake with where you're going?\Where I want to go is Okawa City in Fukuoka Prefecture.\Yes, right, right...\If Okawa City, it's mostly in Saga.\Eh?\So it is not a metropolitan, a big city? response:	I thought it wouldn't be that far because it's in a city in Fukuoka
context: Excuse me..\Are you sure you don't make a mistake with where you're going?\Where I want to go is Okawa City in Fukuoka Prefecture.\Yes, right, right...\If Okawa City, it's mostly in Saga.\Eh?\So it is not a metropolitan, a big city?\I thought it wouldn't be that far because it's in a city in Fukuoka response:	The number you called is in a place unreachable. It could be turned off...
context: Are you sure you don't make a mistake with where you're going?\Where I want to go is Okawa City in Fukuoka Prefecture.\Yes, right, right...\If Okawa City, it's mostly in Saga.\Eh?\So it is not a metropolitan, a big city?\I thought it wouldn't be that far because it's in a city in Fukuoka\The number you called is in a place unreachable. It could be turned off... response:	As expected, it is still off..
context: Where I want to go is Okawa City in Fukuoka Prefecture.\Yes, right, right...\If Okawa City, it's mostly in Saga.\Eh?\So it is not a metropolitan, a big city?\I thought it wouldn't be that far because it's in a city in Fukuoka\The number you called is in a place unreachable. It could be turned off...\As expected, it is still off.. response:	Eh, it is still in off condition!
context: Yes, right, right...\If Okawa City, it's mostly in Saga.\Eh?\So it is not a metropolitan, a big city?\I thought it wouldn't be that far because it's in a city in Fukuoka\The number you called is in a place unreachable. It could be turned off...\As expected, it is still off..\Eh, it is still in off condition! response:	23 mails?
context: If Okawa City, it's mostly in Saga.\Eh?\So it is not a metropolitan, a big city?\I thought it wouldn't be that far because it's in a city in Fukuoka\The number you called is in a place unreachable. It could be turned off...\As expected, it is still off..\Eh, it is still in off condition!\23 mails? response:	12/19 This is Eto 12/19 It's Eto! 12/9 Answer me!
context: Eh?\So it is not a metropolitan, a big city?\I thought it wouldn't be that far because it's in a city in Fukuoka\The number you called is in a place unreachable. It could be turned off...\As expected, it is still off..\Eh, it is still in off condition!\23 mails?\12/19 This is Eto 12/19 It's Eto! 12/9 Answer me! response:	12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto!
context: So it is not a metropolitan, a big city?\I thought it wouldn't be that far because it's in a city in Fukuoka\The number you called is in a place unreachable. It could be turned off...\As expected, it is still off..\Eh, it is still in off condition!\23 mails?\12/19 This is Eto 12/19 It's Eto! 12/9 Answer me!\12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto! response:	12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto
context: I thought it wouldn't be that far because it's in a city in Fukuoka\The number you called is in a place unreachable. It could be turned off...\As expected, it is still off..\Eh, it is still in off condition!\23 mails?\12/19 This is Eto 12/19 It's Eto! 12/9 Answer me!\12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto!\12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto response:	12/20 This is Eto Sensei 12/20 There's no time left!
context: The number you called is in a place unreachable. It could be turned off...\As expected, it is still off..\Eh, it is still in off condition!\23 mails?\12/19 This is Eto 12/19 It's Eto! 12/9 Answer me!\12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto!\12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto\12/20 This is Eto Sensei 12/20 There's no time left! response:	All from Eto Sensei..
context: As expected, it is still off..\Eh, it is still in off condition!\23 mails?\12/19 This is Eto 12/19 It's Eto! 12/9 Answer me!\12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto!\12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto\12/20 This is Eto Sensei 12/20 There's no time left!\All from Eto Sensei.. response:	12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto
context: Eh, it is still in off condition!\23 mails?\12/19 This is Eto 12/19 It's Eto! 12/9 Answer me!\12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto!\12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto\12/20 This is Eto Sensei 12/20 There's no time left!\All from Eto Sensei..\12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto response:	12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing?
context: 23 mails?\12/19 This is Eto 12/19 It's Eto! 12/9 Answer me!\12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto!\12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto\12/20 This is Eto Sensei 12/20 There's no time left!\All from Eto Sensei..\12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto\12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing? response:	12/21 It's Eto, I said!
context: 12/19 This is Eto 12/19 It's Eto! 12/9 Answer me!\12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto!\12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto\12/20 This is Eto Sensei 12/20 There's no time left!\All from Eto Sensei..\12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto\12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing?\12/21 It's Eto, I said! response:	12/21 I beg you, please come out!
context: 12/19 Come out! 12/19 Important notice! 12/19 Told you it's Eto!\12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto\12/20 This is Eto Sensei 12/20 There's no time left!\All from Eto Sensei..\12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto\12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing?\12/21 It's Eto, I said!\12/21 I beg you, please come out! response:	12/21 Puri Gorota NEWS
context: 12/20 Come out I said! 12/20 This is Eto Kozo. 12/20 Mail from Eto\12/20 This is Eto Sensei 12/20 There's no time left!\All from Eto Sensei..\12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto\12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing?\12/21 It's Eto, I said!\12/21 I beg you, please come out!\12/21 Puri Gorota NEWS response:	Puri Gorota NEWS, what's that?
context: 12/20 This is Eto Sensei 12/20 There's no time left!\All from Eto Sensei..\12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto\12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing?\12/21 It's Eto, I said!\12/21 I beg you, please come out!\12/21 Puri Gorota NEWS\Puri Gorota NEWS, what's that? response:	This is Eto, idiot!
context: All from Eto Sensei..\12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto\12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing?\12/21 It's Eto, I said!\12/21 I beg you, please come out!\12/21 Puri Gorota NEWS\Puri Gorota NEWS, what's that?\This is Eto, idiot! response:	Gyabo..
context: 12/20 From Eto to Noda 12/20 This is Ex-Harisen 12/20 From Eto\12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing?\12/21 It's Eto, I said!\12/21 I beg you, please come out!\12/21 Puri Gorota NEWS\Puri Gorota NEWS, what's that?\This is Eto, idiot!\Gyabo.. response:	Recommended by Auclair Sensei, who was a Jury in that Competition,
context: 12/20 We ate crabs together, didn't we? 12/21 This is Eto Kozo, I said! 12/21 What are you doing?\12/21 It's Eto, I said!\12/21 I beg you, please come out!\12/21 Puri Gorota NEWS\Puri Gorota NEWS, what's that?\This is Eto, idiot!\Gyabo..\Recommended by Auclair Sensei, who was a Jury in that Competition, response:	I sent a school application form to Conservatoire De Paris
context: 12/21 It's Eto, I said!\12/21 I beg you, please come out!\12/21 Puri Gorota NEWS\Puri Gorota NEWS, what's that?\This is Eto, idiot!\Gyabo..\Recommended by Auclair Sensei, who was a Jury in that Competition,\I sent a school application form to Conservatoire De Paris response:	The exams will be in February
context: 12/21 I beg you, please come out!\12/21 Puri Gorota NEWS\Puri Gorota NEWS, what's that?\This is Eto, idiot!\Gyabo..\Recommended by Auclair Sensei, who was a Jury in that Competition,\I sent a school application form to Conservatoire De Paris\The exams will be in February response:	If you want to go, hurry up contact me.
context: 12/21 Puri Gorota NEWS\Puri Gorota NEWS, what's that?\This is Eto, idiot!\Gyabo..\Recommended by Auclair Sensei, who was a Jury in that Competition,\I sent a school application form to Conservatoire De Paris\The exams will be in February\If you want to go, hurry up contact me. response:	Megumi! Please buy nira for me! (=garlic leeks)
context: Puri Gorota NEWS, what's that?\This is Eto, idiot!\Gyabo..\Recommended by Auclair Sensei, who was a Jury in that Competition,\I sent a school application form to Conservatoire De Paris\The exams will be in February\If you want to go, hurry up contact me.\Megumi! Please buy nira for me! (=garlic leeks) response:	Hai!
context: This is Eto, idiot!\Gyabo..\Recommended by Auclair Sensei, who was a Jury in that Competition,\I sent a school application form to Conservatoire De Paris\The exams will be in February\If you want to go, hurry up contact me.\Megumi! Please buy nira for me! (=garlic leeks)\Hai! response:	I wonder if Chiaki-Sama is in Kyushu right now?
context: Gyabo..\Recommended by Auclair Sensei, who was a Jury in that Competition,\I sent a school application form to Conservatoire De Paris\The exams will be in February\If you want to go, hurry up contact me.\Megumi! Please buy nira for me! (=garlic leeks)\Hai!\I wonder if Chiaki-Sama is in Kyushu right now? response:	Unexpectedly Ryuuchan has something good in you too!
context: Recommended by Auclair Sensei, who was a Jury in that Competition,\I sent a school application form to Conservatoire De Paris\The exams will be in February\If you want to go, hurry up contact me.\Megumi! Please buy nira for me! (=garlic leeks)\Hai!\I wonder if Chiaki-Sama is in Kyushu right now?\Unexpectedly Ryuuchan has something good in you too! response:	Well, it's for the sake of my best friend and soul mate!
context: I sent a school application form to Conservatoire De Paris\The exams will be in February\If you want to go, hurry up contact me.\Megumi! Please buy nira for me! (=garlic leeks)\Hai!\I wonder if Chiaki-Sama is in Kyushu right now?\Unexpectedly Ryuuchan has something good in you too!\Well, it's for the sake of my best friend and soul mate! response:	Moreover if Nodame's not here, there's no one to test the taste of the new-menu,
context: The exams will be in February\If you want to go, hurry up contact me.\Megumi! Please buy nira for me! (=garlic leeks)\Hai!\I wonder if Chiaki-Sama is in Kyushu right now?\Unexpectedly Ryuuchan has something good in you too!\Well, it's for the sake of my best friend and soul mate!\Moreover if Nodame's not here, there's no one to test the taste of the new-menu, response:	and my Dad is inconvenienced.
context: If you want to go, hurry up contact me.\Megumi! Please buy nira for me! (=garlic leeks)\Hai!\I wonder if Chiaki-Sama is in Kyushu right now?\Unexpectedly Ryuuchan has something good in you too!\Well, it's for the sake of my best friend and soul mate!\Moreover if Nodame's not here, there's no one to test the taste of the new-menu,\and my Dad is inconvenienced. response:	Ryuutaro..
context: Megumi! Please buy nira for me! (=garlic leeks)\Hai!\I wonder if Chiaki-Sama is in Kyushu right now?\Unexpectedly Ryuuchan has something good in you too!\Well, it's for the sake of my best friend and soul mate!\Moreover if Nodame's not here, there's no one to test the taste of the new-menu,\and my Dad is inconvenienced.\Ryuutaro.. response:	Masumi-chan yourself, are you okay with it?
context: Hai!\I wonder if Chiaki-Sama is in Kyushu right now?\Unexpectedly Ryuuchan has something good in you too!\Well, it's for the sake of my best friend and soul mate!\Moreover if Nodame's not here, there's no one to test the taste of the new-menu,\and my Dad is inconvenienced.\Ryuutaro..\Masumi-chan yourself, are you okay with it? response:	Letting Chiaki go under your very eyes?
context: I wonder if Chiaki-Sama is in Kyushu right now?\Unexpectedly Ryuuchan has something good in you too!\Well, it's for the sake of my best friend and soul mate!\Moreover if Nodame's not here, there's no one to test the taste of the new-menu,\and my Dad is inconvenienced.\Ryuutaro..\Masumi-chan yourself, are you okay with it?\Letting Chiaki go under your very eyes? response:	It's okay.
context: Unexpectedly Ryuuchan has something good in you too!\Well, it's for the sake of my best friend and soul mate!\Moreover if Nodame's not here, there's no one to test the taste of the new-menu,\and my Dad is inconvenienced.\Ryuutaro..\Masumi-chan yourself, are you okay with it?\Letting Chiaki go under your very eyes?\It's okay. response:	From the start, just looking at him is the most I can do.
context: Well, it's for the sake of my best friend and soul mate!\Moreover if Nodame's not here, there's no one to test the taste of the new-menu,\and my Dad is inconvenienced.\Ryuutaro..\Masumi-chan yourself, are you okay with it?\Letting Chiaki go under your very eyes?\It's okay.\From the start, just looking at him is the most I can do. response:	That I can be as close to Chiaki-Sama as now,
context: Moreover if Nodame's not here, there's no one to test the taste of the new-menu,\and my Dad is inconvenienced.\Ryuutaro..\Masumi-chan yourself, are you okay with it?\Letting Chiaki go under your very eyes?\It's okay.\From the start, just looking at him is the most I can do.\That I can be as close to Chiaki-Sama as now, response:	is also thanks to Nodame, isn't it?
context: and my Dad is inconvenienced.\Ryuutaro..\Masumi-chan yourself, are you okay with it?\Letting Chiaki go under your very eyes?\It's okay.\From the start, just looking at him is the most I can do.\That I can be as close to Chiaki-Sama as now,\is also thanks to Nodame, isn't it? response:	But if we have no practice, we really have nothing else to do, have we?
context: Ryuutaro..\Masumi-chan yourself, are you okay with it?\Letting Chiaki go under your very eyes?\It's okay.\From the start, just looking at him is the most I can do.\That I can be as close to Chiaki-Sama as now,\is also thanks to Nodame, isn't it?\But if we have no practice, we really have nothing else to do, have we? response:	Yes, it's true.
context: Masumi-chan yourself, are you okay with it?\Letting Chiaki go under your very eyes?\It's okay.\From the start, just looking at him is the most I can do.\That I can be as close to Chiaki-Sama as now,\is also thanks to Nodame, isn't it?\But if we have no practice, we really have nothing else to do, have we?\Yes, it's true. response:	Oh, as expected, they are here!
context: Letting Chiaki go under your very eyes?\It's okay.\From the start, just looking at him is the most I can do.\That I can be as close to Chiaki-Sama as now,\is also thanks to Nodame, isn't it?\But if we have no practice, we really have nothing else to do, have we?\Yes, it's true.\Oh, as expected, they are here! response:	Wow, all of you, what happened?
context: It's okay.\From the start, just looking at him is the most I can do.\That I can be as close to Chiaki-Sama as now,\is also thanks to Nodame, isn't it?\But if we have no practice, we really have nothing else to do, have we?\Yes, it's true.\Oh, as expected, they are here!\Wow, all of you, what happened? response:	Hashimoto-kun and the others said let's practice together by ourselves today.
context: From the start, just looking at him is the most I can do.\That I can be as close to Chiaki-Sama as now,\is also thanks to Nodame, isn't it?\But if we have no practice, we really have nothing else to do, have we?\Yes, it's true.\Oh, as expected, they are here!\Wow, all of you, what happened?\Hashimoto-kun and the others said let's practice together by ourselves today. response:	The Christmas Concert will be Chiaki's last performance in Japan, right?
context: That I can be as close to Chiaki-Sama as now,\is also thanks to Nodame, isn't it?\But if we have no practice, we really have nothing else to do, have we?\Yes, it's true.\Oh, as expected, they are here!\Wow, all of you, what happened?\Hashimoto-kun and the others said let's practice together by ourselves today.\The Christmas Concert will be Chiaki's last performance in Japan, right? response:	This is the only thing we can do for him, isn't it?
context: is also thanks to Nodame, isn't it?\But if we have no practice, we really have nothing else to do, have we?\Yes, it's true.\Oh, as expected, they are here!\Wow, all of you, what happened?\Hashimoto-kun and the others said let's practice together by ourselves today.\The Christmas Concert will be Chiaki's last performance in Japan, right?\This is the only thing we can do for him, isn't it? response:	Wow, all of you...
context: But if we have no practice, we really have nothing else to do, have we?\Yes, it's true.\Oh, as expected, they are here!\Wow, all of you, what happened?\Hashimoto-kun and the others said let's practice together by ourselves today.\The Christmas Concert will be Chiaki's last performance in Japan, right?\This is the only thing we can do for him, isn't it?\Wow, all of you... response:	Up to now we're indebted to him...
context: Yes, it's true.\Oh, as expected, they are here!\Wow, all of you, what happened?\Hashimoto-kun and the others said let's practice together by ourselves today.\The Christmas Concert will be Chiaki's last performance in Japan, right?\This is the only thing we can do for him, isn't it?\Wow, all of you...\Up to now we're indebted to him... response:	therefore for the last performance we should at least perform well to see him off!
context: Oh, as expected, they are here!\Wow, all of you, what happened?\Hashimoto-kun and the others said let's practice together by ourselves today.\The Christmas Concert will be Chiaki's last performance in Japan, right?\This is the only thing we can do for him, isn't it?\Wow, all of you...\Up to now we're indebted to him...\therefore for the last performance we should at least perform well to see him off! response:	Right!
context: Wow, all of you, what happened?\Hashimoto-kun and the others said let's practice together by ourselves today.\The Christmas Concert will be Chiaki's last performance in Japan, right?\This is the only thing we can do for him, isn't it?\Wow, all of you...\Up to now we're indebted to him...\therefore for the last performance we should at least perform well to see him off!\Right! response:	Ah, Mine's here!
context: Hashimoto-kun and the others said let's practice together by ourselves today.\The Christmas Concert will be Chiaki's last performance in Japan, right?\This is the only thing we can do for him, isn't it?\Wow, all of you...\Up to now we're indebted to him...\therefore for the last performance we should at least perform well to see him off!\Right!\Ah, Mine's here! response:	Oh right, he's here!
context: The Christmas Concert will be Chiaki's last performance in Japan, right?\This is the only thing we can do for him, isn't it?\Wow, all of you...\Up to now we're indebted to him...\therefore for the last performance we should at least perform well to see him off!\Right!\Ah, Mine's here!\Oh right, he's here! response:	Ah, Kuroki-kun and friends too? What happened?
context: This is the only thing we can do for him, isn't it?\Wow, all of you...\Up to now we're indebted to him...\therefore for the last performance we should at least perform well to see him off!\Right!\Ah, Mine's here!\Oh right, he's here!\Ah, Kuroki-kun and friends too? What happened? response:	Come in, come in!!
context: Wow, all of you...\Up to now we're indebted to him...\therefore for the last performance we should at least perform well to see him off!\Right!\Ah, Mine's here!\Oh right, he's here!\Ah, Kuroki-kun and friends too? What happened?\Come in, come in!! response:	Somehow we can't relax...
context: Up to now we're indebted to him...\therefore for the last performance we should at least perform well to see him off!\Right!\Ah, Mine's here!\Oh right, he's here!\Ah, Kuroki-kun and friends too? What happened?\Come in, come in!!\Somehow we can't relax... response:	Even if suddenly there's no practice, we have no other things to do, right?
context: therefore for the last performance we should at least perform well to see him off!\Right!\Ah, Mine's here!\Oh right, he's here!\Ah, Kuroki-kun and friends too? What happened?\Come in, come in!!\Somehow we can't relax...\Even if suddenly there's no practice, we have no other things to do, right? response:	Yes!
context: Right!\Ah, Mine's here!\Oh right, he's here!\Ah, Kuroki-kun and friends too? What happened?\Come in, come in!!\Somehow we can't relax...\Even if suddenly there's no practice, we have no other things to do, right?\Yes! response:	YES!
context: Ah, Mine's here!\Oh right, he's here!\Ah, Kuroki-kun and friends too? What happened?\Come in, come in!!\Somehow we can't relax...\Even if suddenly there's no practice, we have no other things to do, right?\Yes!\YES! response:	fare: 16.270 yen (, very expensive, )
context: Oh right, he's here!\Ah, Kuroki-kun and friends too? What happened?\Come in, come in!!\Somehow we can't relax...\Even if suddenly there's no practice, we have no other things to do, right?\Yes!\YES!\fare: 16.270 yen (, very expensive, ) response:	What metropolitan?? Always lying, always!!
context: Ah, Kuroki-kun and friends too? What happened?\Come in, come in!!\Somehow we can't relax...\Even if suddenly there's no practice, we have no other things to do, right?\Yes!\YES!\fare: 16.270 yen (, very expensive, )\What metropolitan?? Always lying, always!! response:	How did you know about it?
context: Come in, come in!!\Somehow we can't relax...\Even if suddenly there's no practice, we have no other things to do, right?\Yes!\YES!\fare: 16.270 yen (, very expensive, )\What metropolitan?? Always lying, always!!\How did you know about it? response:	From some rumours...
context: Somehow we can't relax...\Even if suddenly there's no practice, we have no other things to do, right?\Yes!\YES!\fare: 16.270 yen (, very expensive, )\What metropolitan?? Always lying, always!!\How did you know about it?\From some rumours... response:	Liar!!
context: Even if suddenly there's no practice, we have no other things to do, right?\Yes!\YES!\fare: 16.270 yen (, very expensive, )\What metropolitan?? Always lying, always!!\How did you know about it?\From some rumours...\Liar!! response:	Today Tanioka Sensei and his family went to... Liar!!
context: Yes!\YES!\fare: 16.270 yen (, very expensive, )\What metropolitan?? Always lying, always!!\How did you know about it?\From some rumours...\Liar!!\Today Tanioka Sensei and his family went to... Liar!! response:	Today Tanioka Sensei and his family went to...
context: YES!\fare: 16.270 yen (, very expensive, )\What metropolitan?? Always lying, always!!\How did you know about it?\From some rumours...\Liar!!\Today Tanioka Sensei and his family went to... Liar!!\Today Tanioka Sensei and his family went to... response:	Mexico...
context: fare: 16.270 yen (, very expensive, )\What metropolitan?? Always lying, always!!\How did you know about it?\From some rumours...\Liar!!\Today Tanioka Sensei and his family went to... Liar!!\Today Tanioka Sensei and his family went to...\Mexico... response:	Could it be that she...(also lied)
context: What metropolitan?? Always lying, always!!\How did you know about it?\From some rumours...\Liar!!\Today Tanioka Sensei and his family went to... Liar!!\Today Tanioka Sensei and his family went to...\Mexico...\Could it be that she...(also lied) response:	I participated in the Competition because of the prize money.
context: How did you know about it?\From some rumours...\Liar!!\Today Tanioka Sensei and his family went to... Liar!!\Today Tanioka Sensei and his family went to...\Mexico...\Could it be that she...(also lied)\I participated in the Competition because of the prize money. response:	Because of the desire to have the money to play around!
context: From some rumours...\Liar!!\Today Tanioka Sensei and his family went to... Liar!!\Today Tanioka Sensei and his family went to...\Mexico...\Could it be that she...(also lied)\I participated in the Competition because of the prize money.\Because of the desire to have the money to play around! response:	And at that time too,
context: Liar!!\Today Tanioka Sensei and his family went to... Liar!!\Today Tanioka Sensei and his family went to...\Mexico...\Could it be that she...(also lied)\I participated in the Competition because of the prize money.\Because of the desire to have the money to play around!\And at that time too, response:	she also diverted her eyes away...
context: Today Tanioka Sensei and his family went to... Liar!!\Today Tanioka Sensei and his family went to...\Mexico...\Could it be that she...(also lied)\I participated in the Competition because of the prize money.\Because of the desire to have the money to play around!\And at that time too,\she also diverted her eyes away... response:	In the competition..
context: Today Tanioka Sensei and his family went to...\Mexico...\Could it be that she...(also lied)\I participated in the Competition because of the prize money.\Because of the desire to have the money to play around!\And at that time too,\she also diverted her eyes away...\In the competition.. response:	playing the piano on the stage,
context: Mexico...\Could it be that she...(also lied)\I participated in the Competition because of the prize money.\Because of the desire to have the money to play around!\And at that time too,\she also diverted her eyes away...\In the competition..\playing the piano on the stage, response:	really, didn't you enjoy it?
context: Could it be that she...(also lied)\I participated in the Competition because of the prize money.\Because of the desire to have the money to play around!\And at that time too,\she also diverted her eyes away...\In the competition..\playing the piano on the stage,\really, didn't you enjoy it? response:	She too...
context: I participated in the Competition because of the prize money.\Because of the desire to have the money to play around!\And at that time too,\she also diverted her eyes away...\In the competition..\playing the piano on the stage,\really, didn't you enjoy it?\She too... response:	actually...
context: Because of the desire to have the money to play around!\And at that time too,\she also diverted her eyes away...\In the competition..\playing the piano on the stage,\really, didn't you enjoy it?\She too...\actually... response:	Noda Megumi
