context: Self-practice response:	*softball soccer (baseball team ex-member)
context: Kuronuma going Kazehaya, huh?\Kazehaya-kun's a guy.\I was wondering what you were going to say.\He's different from Yano-san and Yoshida-san.\He's really...\a guy.\We're choosing the sports day committee today.\It's too much work. The P.E. committee can do it. response:	All right, done.
context: Kazehaya-kun's a guy.\I was wondering what you were going to say.\He's different from Yano-san and Yoshida-san.\He's really...\a guy.\We're choosing the sports day committee today.\It's too much work. The P.E. committee can do it.\All right, done. response:	That's me!
context: I was wondering what you were going to say.\He's different from Yano-san and Yoshida-san.\He's really...\a guy.\We're choosing the sports day committee today.\It's too much work. The P.E. committee can do it.\All right, done.\That's me! response:	Kazehaya, you're screwed.
context: He's different from Yano-san and Yoshida-san.\He's really...\a guy.\We're choosing the sports day committee today.\It's too much work. The P.E. committee can do it.\All right, done.\That's me!\Kazehaya, you're screwed. response:	He didn't even let anyone volunteer.
context: He's really...\a guy.\We're choosing the sports day committee today.\It's too much work. The P.E. committee can do it.\All right, done.\That's me!\Kazehaya, you're screwed.\He didn't even let anyone volunteer. response:	By the way, I'm also the committee representative.
context: a guy.\We're choosing the sports day committee today.\It's too much work. The P.E. committee can do it.\All right, done.\That's me!\Kazehaya, you're screwed.\He didn't even let anyone volunteer.\By the way, I'm also the committee representative. response:	You better show up, or I'll tell everyone about your embarrassing
context: We're choosing the sports day committee today.\It's too much work. The P.E. committee can do it.\All right, done.\That's me!\Kazehaya, you're screwed.\He didn't even let anyone volunteer.\By the way, I'm also the committee representative.\You better show up, or I'll tell everyone about your embarrassing response:	I'll go.
context: It's too much work. The P.E. committee can do it.\All right, done.\That's me!\Kazehaya, you're screwed.\He didn't even let anyone volunteer.\By the way, I'm also the committee representative.\You better show up, or I'll tell everyone about your embarrassing\I'll go. response:	I get it, I'll go.
context: All right, done.\That's me!\Kazehaya, you're screwed.\He didn't even let anyone volunteer.\By the way, I'm also the committee representative.\You better show up, or I'll tell everyone about your embarrassing\I'll go.\I get it, I'll go. response:	Listen up.
context: That's me!\Kazehaya, you're screwed.\He didn't even let anyone volunteer.\By the way, I'm also the committee representative.\You better show up, or I'll tell everyone about your embarrassing\I'll go.\I get it, I'll go.\Listen up. response:	You kids better win.
context: Kazehaya, you're screwed.\He didn't even let anyone volunteer.\By the way, I'm also the committee representative.\You better show up, or I'll tell everyone about your embarrassing\I'll go.\I get it, I'll go.\Listen up.\You kids better win. response:	We're kind of short on people, so if you end up competing in more than one sport you need to be athletic.
context: He didn't even let anyone volunteer.\By the way, I'm also the committee representative.\You better show up, or I'll tell everyone about your embarrassing\I'll go.\I get it, I'll go.\Listen up.\You kids better win.\We're kind of short on people, so if you end up competing in more than one sport you need to be athletic. response:	If you've been in an event before, you need to be in it again.
context: By the way, I'm also the committee representative.\You better show up, or I'll tell everyone about your embarrassing\I'll go.\I get it, I'll go.\Listen up.\You kids better win.\We're kind of short on people, so if you end up competing in more than one sport you need to be athletic.\If you've been in an event before, you need to be in it again. response:	If you're slow, you better not come.
context: You better show up, or I'll tell everyone about your embarrassing\I'll go.\I get it, I'll go.\Listen up.\You kids better win.\We're kind of short on people, so if you end up competing in more than one sport you need to be athletic.\If you've been in an event before, you need to be in it again.\If you're slow, you better not come. response:	You're excused from school.
context: I'll go.\I get it, I'll go.\Listen up.\You kids better win.\We're kind of short on people, so if you end up competing in more than one sport you need to be athletic.\If you've been in an event before, you need to be in it again.\If you're slow, you better not come.\You're excused from school. response:	Asshole.
context: I get it, I'll go.\Listen up.\You kids better win.\We're kind of short on people, so if you end up competing in more than one sport you need to be athletic.\If you've been in an event before, you need to be in it again.\If you're slow, you better not come.\You're excused from school.\Asshole. response:	And so...
context: Listen up.\You kids better win.\We're kind of short on people, so if you end up competing in more than one sport you need to be athletic.\If you've been in an event before, you need to be in it again.\If you're slow, you better not come.\You're excused from school.\Asshole.\And so... response:	I can barely control myself,
context: You kids better win.\We're kind of short on people, so if you end up competing in more than one sport you need to be athletic.\If you've been in an event before, you need to be in it again.\If you're slow, you better not come.\You're excused from school.\Asshole.\And so...\I can barely control myself, response:	I'm bursting with excitement!
context: We're kind of short on people, so if you end up competing in more than one sport you need to be athletic.\If you've been in an event before, you need to be in it again.\If you're slow, you better not come.\You're excused from school.\Asshole.\And so...\I can barely control myself,\I'm bursting with excitement! response:	It's the twice-a-year festival in my name.
context: If you've been in an event before, you need to be in it again.\If you're slow, you better not come.\You're excused from school.\Asshole.\And so...\I can barely control myself,\I'm bursting with excitement!\It's the twice-a-year festival in my name. response:	That's the spirit!
context: If you're slow, you better not come.\You're excused from school.\Asshole.\And so...\I can barely control myself,\I'm bursting with excitement!\It's the twice-a-year festival in my name.\That's the spirit! response:	For victory!
context: You're excused from school.\Asshole.\And so...\I can barely control myself,\I'm bursting with excitement!\It's the twice-a-year festival in my name.\That's the spirit!\For victory! response:	For victory!
context: Asshole.\And so...\I can barely control myself,\I'm bursting with excitement!\It's the twice-a-year festival in my name.\That's the spirit!\For victory!\For victory! response:	Beat them all!
context: And so...\I can barely control myself,\I'm bursting with excitement!\It's the twice-a-year festival in my name.\That's the spirit!\For victory!\For victory!\Beat them all! response:	Whatever.
context: I can barely control myself,\I'm bursting with excitement!\It's the twice-a-year festival in my name.\That's the spirit!\For victory!\For victory!\Beat them all!\Whatever. response:	I better not drag them down.
context: I'm bursting with excitement!\It's the twice-a-year festival in my name.\That's the spirit!\For victory!\For victory!\Beat them all!\Whatever.\I better not drag them down. response:	Kuronuma, can you play soccer?
context: It's the twice-a-year festival in my name.\That's the spirit!\For victory!\For victory!\Beat them all!\Whatever.\I better not drag them down.\Kuronuma, can you play soccer? response:	Not at all.
context: That's the spirit!\For victory!\For victory!\Beat them all!\Whatever.\I better not drag them down.\Kuronuma, can you play soccer?\Not at all. response:	Seriously?
context: For victory!\For victory!\Beat them all!\Whatever.\I better not drag them down.\Kuronuma, can you play soccer?\Not at all.\Seriously? response:	You look pretty slow.
context: For victory!\Beat them all!\Whatever.\I better not drag them down.\Kuronuma, can you play soccer?\Not at all.\Seriously?\You look pretty slow. response:	I'll do my best.
context: Beat them all!\Whatever.\I better not drag them down.\Kuronuma, can you play soccer?\Not at all.\Seriously?\You look pretty slow.\I'll do my best. response:	Don't bother.
context: Whatever.\I better not drag them down.\Kuronuma, can you play soccer?\Not at all.\Seriously?\You look pretty slow.\I'll do my best.\Don't bother. response:	You can take the day off.
context: I better not drag them down.\Kuronuma, can you play soccer?\Not at all.\Seriously?\You look pretty slow.\I'll do my best.\Don't bother.\You can take the day off. response:	Why don't we practice during lunch then?
context: Kuronuma, can you play soccer?\Not at all.\Seriously?\You look pretty slow.\I'll do my best.\Don't bother.\You can take the day off.\Why don't we practice during lunch then? response:	Sounds good.
context: Not at all.\Seriously?\You look pretty slow.\I'll do my best.\Don't bother.\You can take the day off.\Why don't we practice during lunch then?\Sounds good. response:	Roger.
context: Seriously?\You look pretty slow.\I'll do my best.\Don't bother.\You can take the day off.\Why don't we practice during lunch then?\Sounds good.\Roger. response:	That'd help.
context: You look pretty slow.\I'll do my best.\Don't bother.\You can take the day off.\Why don't we practice during lunch then?\Sounds good.\Roger.\That'd help. response:	We'll do our best.
context: I'll do my best.\Don't bother.\You can take the day off.\Why don't we practice during lunch then?\Sounds good.\Roger.\That'd help.\We'll do our best. response:	We will.
context: Don't bother.\You can take the day off.\Why don't we practice during lunch then?\Sounds good.\Roger.\That'd help.\We'll do our best.\We will. response:	Practice for sports day, huh?
context: You can take the day off.\Why don't we practice during lunch then?\Sounds good.\Roger.\That'd help.\We'll do our best.\We will.\Practice for sports day, huh? response:	I don't feel like it, but it'll probably be fun with Kazehaya.
context: Why don't we practice during lunch then?\Sounds good.\Roger.\That'd help.\We'll do our best.\We will.\Practice for sports day, huh?\I don't feel like it, but it'll probably be fun with Kazehaya. response:	Kazehaya didn't even have a chance to say no before he got chosen.
context: Sounds good.\Roger.\That'd help.\We'll do our best.\We will.\Practice for sports day, huh?\I don't feel like it, but it'll probably be fun with Kazehaya.\Kazehaya didn't even have a chance to say no before he got chosen. response:	I know.
context: Roger.\That'd help.\We'll do our best.\We will.\Practice for sports day, huh?\I don't feel like it, but it'll probably be fun with Kazehaya.\Kazehaya didn't even have a chance to say no before he got chosen.\I know. response:	We have homeroom next, right?
context: That'd help.\We'll do our best.\We will.\Practice for sports day, huh?\I don't feel like it, but it'll probably be fun with Kazehaya.\Kazehaya didn't even have a chance to say no before he got chosen.\I know.\We have homeroom next, right? response:	Yeah.
context: We'll do our best.\We will.\Practice for sports day, huh?\I don't feel like it, but it'll probably be fun with Kazehaya.\Kazehaya didn't even have a chance to say no before he got chosen.\I know.\We have homeroom next, right?\Yeah. response:	I wonder if we're going to choose sports day events.
context: We will.\Practice for sports day, huh?\I don't feel like it, but it'll probably be fun with Kazehaya.\Kazehaya didn't even have a chance to say no before he got chosen.\I know.\We have homeroom next, right?\Yeah.\I wonder if we're going to choose sports day events. response:	Oh yeah, Kazehaya's going to be the committee member representing class D.
context: Practice for sports day, huh?\I don't feel like it, but it'll probably be fun with Kazehaya.\Kazehaya didn't even have a chance to say no before he got chosen.\I know.\We have homeroom next, right?\Yeah.\I wonder if we're going to choose sports day events.\Oh yeah, Kazehaya's going to be the committee member representing class D. response:	Really?
context: I don't feel like it, but it'll probably be fun with Kazehaya.\Kazehaya didn't even have a chance to say no before he got chosen.\I know.\We have homeroom next, right?\Yeah.\I wonder if we're going to choose sports day events.\Oh yeah, Kazehaya's going to be the committee member representing class D.\Really? response:	You should join.
context: Kazehaya didn't even have a chance to say no before he got chosen.\I know.\We have homeroom next, right?\Yeah.\I wonder if we're going to choose sports day events.\Oh yeah, Kazehaya's going to be the committee member representing class D.\Really?\You should join. response:	Me?
context: I know.\We have homeroom next, right?\Yeah.\I wonder if we're going to choose sports day events.\Oh yeah, Kazehaya's going to be the committee member representing class D.\Really?\You should join.\Me? response:	Yeah, it'll be good.
context: We have homeroom next, right?\Yeah.\I wonder if we're going to choose sports day events.\Oh yeah, Kazehaya's going to be the committee member representing class D.\Really?\You should join.\Me?\Yeah, it'll be good. response:	Do it.
context: Yeah.\I wonder if we're going to choose sports day events.\Oh yeah, Kazehaya's going to be the committee member representing class D.\Really?\You should join.\Me?\Yeah, it'll be good.\Do it. response:	You might even end up going out.
context: I wonder if we're going to choose sports day events.\Oh yeah, Kazehaya's going to be the committee member representing class D.\Really?\You should join.\Me?\Yeah, it'll be good.\Do it.\You might even end up going out. response:	No way.
context: Oh yeah, Kazehaya's going to be the committee member representing class D.\Really?\You should join.\Me?\Yeah, it'll be good.\Do it.\You might even end up going out.\No way. response:	I told you, that wouldn't happen.
context: Really?\You should join.\Me?\Yeah, it'll be good.\Do it.\You might even end up going out.\No way.\I told you, that wouldn't happen. response:	I don't mind joining the committee though.
context: You should join.\Me?\Yeah, it'll be good.\Do it.\You might even end up going out.\No way.\I told you, that wouldn't happen.\I don't mind joining the committee though. response:	Do it, then.
context: Me?\Yeah, it'll be good.\Do it.\You might even end up going out.\No way.\I told you, that wouldn't happen.\I don't mind joining the committee though.\Do it, then. response:	But I can't volunteer.
context: Yeah, it'll be good.\Do it.\You might even end up going out.\No way.\I told you, that wouldn't happen.\I don't mind joining the committee though.\Do it, then.\But I can't volunteer. response:	I'm too shy.
context: Do it.\You might even end up going out.\No way.\I told you, that wouldn't happen.\I don't mind joining the committee though.\Do it, then.\But I can't volunteer.\I'm too shy. response:	We'll nominate you.
context: You might even end up going out.\No way.\I told you, that wouldn't happen.\I don't mind joining the committee though.\Do it, then.\But I can't volunteer.\I'm too shy.\We'll nominate you. response:	She's getting embarrassed.
context: No way.\I told you, that wouldn't happen.\I don't mind joining the committee though.\Do it, then.\But I can't volunteer.\I'm too shy.\We'll nominate you.\She's getting embarrassed. response:	Here it comes!
context: I told you, that wouldn't happen.\I don't mind joining the committee though.\Do it, then.\But I can't volunteer.\I'm too shy.\We'll nominate you.\She's getting embarrassed.\Here it comes! response:	Sadako.
context: I don't mind joining the committee though.\Do it, then.\But I can't volunteer.\I'm too shy.\We'll nominate you.\She's getting embarrassed.\Here it comes!\Sadako. response:	Okay.
context: Do it, then.\But I can't volunteer.\I'm too shy.\We'll nominate you.\She's getting embarrassed.\Here it comes!\Sadako.\Okay. response:	Huh?
context: But I can't volunteer.\I'm too shy.\We'll nominate you.\She's getting embarrassed.\Here it comes!\Sadako.\Okay.\Huh? response:	I thought so.
context: I'm too shy.\We'll nominate you.\She's getting embarrassed.\Here it comes!\Sadako.\Okay.\Huh?\I thought so. response:	I guess we can't throw you in at the deep end.
context: We'll nominate you.\She's getting embarrassed.\Here it comes!\Sadako.\Okay.\Huh?\I thought so.\I guess we can't throw you in at the deep end. response:	We should start you off with kicking first.
context: She's getting embarrassed.\Here it comes!\Sadako.\Okay.\Huh?\I thought so.\I guess we can't throw you in at the deep end.\We should start you off with kicking first. response:	I'm sorry.
context: Here it comes!\Sadako.\Okay.\Huh?\I thought so.\I guess we can't throw you in at the deep end.\We should start you off with kicking first.\I'm sorry. response:	We all sort of expected it.
context: Sadako.\Okay.\Huh?\I thought so.\I guess we can't throw you in at the deep end.\We should start you off with kicking first.\I'm sorry.\We all sort of expected it. response:	She should just laugh it off.
context: Okay.\Huh?\I thought so.\I guess we can't throw you in at the deep end.\We should start you off with kicking first.\I'm sorry.\We all sort of expected it.\She should just laugh it off. response:	She might even scare the opponents that way.
context: Huh?\I thought so.\I guess we can't throw you in at the deep end.\We should start you off with kicking first.\I'm sorry.\We all sort of expected it.\She should just laugh it off.\She might even scare the opponents that way. response:	Maybe she'll bring us good luck and we'll win.
context: I thought so.\I guess we can't throw you in at the deep end.\We should start you off with kicking first.\I'm sorry.\We all sort of expected it.\She should just laugh it off.\She might even scare the opponents that way.\Maybe she'll bring us good luck and we'll win. response:	Chizu-chan.
context: I guess we can't throw you in at the deep end.\We should start you off with kicking first.\I'm sorry.\We all sort of expected it.\She should just laugh it off.\She might even scare the opponents that way.\Maybe she'll bring us good luck and we'll win.\Chizu-chan. response:	We better head back, we're going to be late for fifth period.
context: We should start you off with kicking first.\I'm sorry.\We all sort of expected it.\She should just laugh it off.\She might even scare the opponents that way.\Maybe she'll bring us good luck and we'll win.\Chizu-chan.\We better head back, we're going to be late for fifth period. response:	Seriously?
context: I'm sorry.\We all sort of expected it.\She should just laugh it off.\She might even scare the opponents that way.\Maybe she'll bring us good luck and we'll win.\Chizu-chan.\We better head back, we're going to be late for fifth period.\Seriously? response:	Lunch break is too short.
context: We all sort of expected it.\She should just laugh it off.\She might even scare the opponents that way.\Maybe she'll bring us good luck and we'll win.\Chizu-chan.\We better head back, we're going to be late for fifth period.\Seriously?\Lunch break is too short. response:	But the clubs use the fields after school.
context: She should just laugh it off.\She might even scare the opponents that way.\Maybe she'll bring us good luck and we'll win.\Chizu-chan.\We better head back, we're going to be late for fifth period.\Seriously?\Lunch break is too short.\But the clubs use the fields after school. response:	It's only practice and I'm already dragging them down.
context: She might even scare the opponents that way.\Maybe she'll bring us good luck and we'll win.\Chizu-chan.\We better head back, we're going to be late for fifth period.\Seriously?\Lunch break is too short.\But the clubs use the fields after school.\It's only practice and I'm already dragging them down. response:	I can't use up their precious time.
context: Maybe she'll bring us good luck and we'll win.\Chizu-chan.\We better head back, we're going to be late for fifth period.\Seriously?\Lunch break is too short.\But the clubs use the fields after school.\It's only practice and I'm already dragging them down.\I can't use up their precious time. response:	I need to practice alone.
context: Chizu-chan.\We better head back, we're going to be late for fifth period.\Seriously?\Lunch break is too short.\But the clubs use the fields after school.\It's only practice and I'm already dragging them down.\I can't use up their precious time.\I need to practice alone. response:	I need a ball.
context: We better head back, we're going to be late for fifth period.\Seriously?\Lunch break is too short.\But the clubs use the fields after school.\It's only practice and I'm already dragging them down.\I can't use up their precious time.\I need to practice alone.\I need a ball. response:	I need to practice alone.
context: Seriously?\Lunch break is too short.\But the clubs use the fields after school.\It's only practice and I'm already dragging them down.\I can't use up their precious time.\I need to practice alone.\I need a ball.\I need to practice alone. response:	What are you mumbling about? You're creepy.
context: Lunch break is too short.\But the clubs use the fields after school.\It's only practice and I'm already dragging them down.\I can't use up their precious time.\I need to practice alone.\I need a ball.\I need to practice alone.\What are you mumbling about? You're creepy. response:	She's chanting something.
context: But the clubs use the fields after school.\It's only practice and I'm already dragging them down.\I can't use up their precious time.\I need to practice alone.\I need a ball.\I need to practice alone.\What are you mumbling about? You're creepy.\She's chanting something. response:	Let's go.
context: It's only practice and I'm already dragging them down.\I can't use up their precious time.\I need to practice alone.\I need a ball.\I need to practice alone.\What are you mumbling about? You're creepy.\She's chanting something.\Let's go. response:	The guys are still playing.
context: I can't use up their precious time.\I need to practice alone.\I need a ball.\I need to practice alone.\What are you mumbling about? You're creepy.\She's chanting something.\Let's go.\The guys are still playing. response:	Over there.
context: I need to practice alone.\I need a ball.\I need to practice alone.\What are you mumbling about? You're creepy.\She's chanting something.\Let's go.\The guys are still playing.\Over there. response:	It's Kazehaya-kun.
context: I need a ball.\I need to practice alone.\What are you mumbling about? You're creepy.\She's chanting something.\Let's go.\The guys are still playing.\Over there.\It's Kazehaya-kun. response:	What the hell?
context: I need to practice alone.\What are you mumbling about? You're creepy.\She's chanting something.\Let's go.\The guys are still playing.\Over there.\It's Kazehaya-kun.\What the hell? response:	It's like he's chilling as usual.
context: What are you mumbling about? You're creepy.\She's chanting something.\Let's go.\The guys are still playing.\Over there.\It's Kazehaya-kun.\What the hell?\It's like he's chilling as usual. response:	Looks fun.
context: She's chanting something.\Let's go.\The guys are still playing.\Over there.\It's Kazehaya-kun.\What the hell?\It's like he's chilling as usual.\Looks fun. response:	I've never seen him exercising.
context: Let's go.\The guys are still playing.\Over there.\It's Kazehaya-kun.\What the hell?\It's like he's chilling as usual.\Looks fun.\I've never seen him exercising. response:	I wonder what he looks like playing softball.
context: The guys are still playing.\Over there.\It's Kazehaya-kun.\What the hell?\It's like he's chilling as usual.\Looks fun.\I've never seen him exercising.\I wonder what he looks like playing softball. response:	We better go back.
context: Over there.\It's Kazehaya-kun.\What the hell?\It's like he's chilling as usual.\Looks fun.\I've never seen him exercising.\I wonder what he looks like playing softball.\We better go back. response:	We're going to be late for fifth period.
context: It's Kazehaya-kun.\What the hell?\It's like he's chilling as usual.\Looks fun.\I've never seen him exercising.\I wonder what he looks like playing softball.\We better go back.\We're going to be late for fifth period. response:	Okay.
context: What the hell?\It's like he's chilling as usual.\Looks fun.\I've never seen him exercising.\I wonder what he looks like playing softball.\We better go back.\We're going to be late for fifth period.\Okay. response:	We're heading back.
context: It's like he's chilling as usual.\Looks fun.\I've never seen him exercising.\I wonder what he looks like playing softball.\We better go back.\We're going to be late for fifth period.\Okay.\We're heading back. response:	Pigtails.
context: Looks fun.\I've never seen him exercising.\I wonder what he looks like playing softball.\We better go back.\We're going to be late for fifth period.\Okay.\We're heading back.\Pigtails. response:	Let's go, Kazehaya.
context: I've never seen him exercising.\I wonder what he looks like playing softball.\We better go back.\We're going to be late for fifth period.\Okay.\We're heading back.\Pigtails.\Let's go, Kazehaya. response:	Yeah.
context: I wonder what he looks like playing softball.\We better go back.\We're going to be late for fifth period.\Okay.\We're heading back.\Pigtails.\Let's go, Kazehaya.\Yeah. response:	Sadako?
context: We better go back.\We're going to be late for fifth period.\Okay.\We're heading back.\Pigtails.\Let's go, Kazehaya.\Yeah.\Sadako? response:	Kuronuma Sawako.
context: We're going to be late for fifth period.\Okay.\We're heading back.\Pigtails.\Let's go, Kazehaya.\Yeah.\Sadako?\Kuronuma Sawako. response:	What's up with you?
context: Okay.\We're heading back.\Pigtails.\Let's go, Kazehaya.\Yeah.\Sadako?\Kuronuma Sawako.\What's up with you? response:	We're going back.
context: We're heading back.\Pigtails.\Let's go, Kazehaya.\Yeah.\Sadako?\Kuronuma Sawako.\What's up with you?\We're going back. response:	Your face is so red.
context: Pigtails.\Let's go, Kazehaya.\Yeah.\Sadako?\Kuronuma Sawako.\What's up with you?\We're going back.\Your face is so red. response:	Really?
context: Let's go, Kazehaya.\Yeah.\Sadako?\Kuronuma Sawako.\What's up with you?\We're going back.\Your face is so red.\Really? response:	Did you run that much?
context: Yeah.\Sadako?\Kuronuma Sawako.\What's up with you?\We're going back.\Your face is so red.\Really?\Did you run that much? response:	Not really.
context: Sadako?\Kuronuma Sawako.\What's up with you?\We're going back.\Your face is so red.\Really?\Did you run that much?\Not really. response:	Huh?
context: Kuronuma Sawako.\What's up with you?\We're going back.\Your face is so red.\Really?\Did you run that much?\Not really.\Huh? response:	Was there anything special?
context: What's up with you?\We're going back.\Your face is so red.\Really?\Did you run that much?\Not really.\Huh?\Was there anything special? response:	I wasn't even close to him.
context: We're going back.\Your face is so red.\Really?\Did you run that much?\Not really.\Huh?\Was there anything special?\I wasn't even close to him. response:	He just walked back.
context: Your face is so red.\Really?\Did you run that much?\Not really.\Huh?\Was there anything special?\I wasn't even close to him.\He just walked back. response:	I just couldn't stop watching him.
context: Really?\Did you run that much?\Not really.\Huh?\Was there anything special?\I wasn't even close to him.\He just walked back.\I just couldn't stop watching him. response:	All rise.
context: Did you run that much?\Not really.\Huh?\Was there anything special?\I wasn't even close to him.\He just walked back.\I just couldn't stop watching him.\All rise. response:	Bow.
context: Not really.\Huh?\Was there anything special?\I wasn't even close to him.\He just walked back.\I just couldn't stop watching him.\All rise.\Bow. response:	Done!
context: Huh?\Was there anything special?\I wasn't even close to him.\He just walked back.\I just couldn't stop watching him.\All rise.\Bow.\Done! response:	Let's go eat, Yano-chin.
context: Was there anything special?\I wasn't even close to him.\He just walked back.\I just couldn't stop watching him.\All rise.\Bow.\Done!\Let's go eat, Yano-chin. response:	You too, Sadako.
context: I wasn't even close to him.\He just walked back.\I just couldn't stop watching him.\All rise.\Bow.\Done!\Let's go eat, Yano-chin.\You too, Sadako. response:	How about ramen?
context: He just walked back.\I just couldn't stop watching him.\All rise.\Bow.\Done!\Let's go eat, Yano-chin.\You too, Sadako.\How about ramen? response:	No.
context: I just couldn't stop watching him.\All rise.\Bow.\Done!\Let's go eat, Yano-chin.\You too, Sadako.\How about ramen?\No. response:	I'm going to get fat hanging out with you.
context: All rise.\Bow.\Done!\Let's go eat, Yano-chin.\You too, Sadako.\How about ramen?\No.\I'm going to get fat hanging out with you. response:	Anyway, didn't you need to go shopping?
context: Bow.\Done!\Let's go eat, Yano-chin.\You too, Sadako.\How about ramen?\No.\I'm going to get fat hanging out with you.\Anyway, didn't you need to go shopping? response:	Yeah, I need a red t-shirt, so that I stand out on sports day.
context: Done!\Let's go eat, Yano-chin.\You too, Sadako.\How about ramen?\No.\I'm going to get fat hanging out with you.\Anyway, didn't you need to go shopping?\Yeah, I need a red t-shirt, so that I stand out on sports day. response:	You're coming too, right, Sadako?
context: Let's go eat, Yano-chin.\You too, Sadako.\How about ramen?\No.\I'm going to get fat hanging out with you.\Anyway, didn't you need to go shopping?\Yeah, I need a red t-shirt, so that I stand out on sports day.\You're coming too, right, Sadako? response:	I have to water the plants and stuff.
context: You too, Sadako.\How about ramen?\No.\I'm going to get fat hanging out with you.\Anyway, didn't you need to go shopping?\Yeah, I need a red t-shirt, so that I stand out on sports day.\You're coming too, right, Sadako?\I have to water the plants and stuff. response:	Some other time, maybe.
context: How about ramen?\No.\I'm going to get fat hanging out with you.\Anyway, didn't you need to go shopping?\Yeah, I need a red t-shirt, so that I stand out on sports day.\You're coming too, right, Sadako?\I have to water the plants and stuff.\Some other time, maybe. response:	Really?
context: No.\I'm going to get fat hanging out with you.\Anyway, didn't you need to go shopping?\Yeah, I need a red t-shirt, so that I stand out on sports day.\You're coming too, right, Sadako?\I have to water the plants and stuff.\Some other time, maybe.\Really? response:	We can go shopping after that.
context: I'm going to get fat hanging out with you.\Anyway, didn't you need to go shopping?\Yeah, I need a red t-shirt, so that I stand out on sports day.\You're coming too, right, Sadako?\I have to water the plants and stuff.\Some other time, maybe.\Really?\We can go shopping after that. response:	It'll be faster if we help.
context: Anyway, didn't you need to go shopping?\Yeah, I need a red t-shirt, so that I stand out on sports day.\You're coming too, right, Sadako?\I have to water the plants and stuff.\Some other time, maybe.\Really?\We can go shopping after that.\It'll be faster if we help. response:	It's fine, not today.
context: Yeah, I need a red t-shirt, so that I stand out on sports day.\You're coming too, right, Sadako?\I have to water the plants and stuff.\Some other time, maybe.\Really?\We can go shopping after that.\It'll be faster if we help.\It's fine, not today. response:	But I might...
context: You're coming too, right, Sadako?\I have to water the plants and stuff.\Some other time, maybe.\Really?\We can go shopping after that.\It'll be faster if we help.\It's fine, not today.\But I might... response:	ask some other time.
context: I have to water the plants and stuff.\Some other time, maybe.\Really?\We can go shopping after that.\It'll be faster if we help.\It's fine, not today.\But I might...\ask some other time. response:	Sure, we'll do it.
context: Some other time, maybe.\Really?\We can go shopping after that.\It'll be faster if we help.\It's fine, not today.\But I might...\ask some other time.\Sure, we'll do it. response:	Shopping too, then.
context: Really?\We can go shopping after that.\It'll be faster if we help.\It's fine, not today.\But I might...\ask some other time.\Sure, we'll do it.\Shopping too, then. response:	Okay.
context: We can go shopping after that.\It'll be faster if we help.\It's fine, not today.\But I might...\ask some other time.\Sure, we'll do it.\Shopping too, then.\Okay. response:	Knowing them, they'd probably help me with practice too.
context: It'll be faster if we help.\It's fine, not today.\But I might...\ask some other time.\Sure, we'll do it.\Shopping too, then.\Okay.\Knowing them, they'd probably help me with practice too. response:	I'll ask you when you're not busy.
context: It's fine, not today.\But I might...\ask some other time.\Sure, we'll do it.\Shopping too, then.\Okay.\Knowing them, they'd probably help me with practice too.\I'll ask you when you're not busy. response:	Thanks.
context: But I might...\ask some other time.\Sure, we'll do it.\Shopping too, then.\Okay.\Knowing them, they'd probably help me with practice too.\I'll ask you when you're not busy.\Thanks. response:	What are you doing later, Kazehaya?
context: ask some other time.\Sure, we'll do it.\Shopping too, then.\Okay.\Knowing them, they'd probably help me with practice too.\I'll ask you when you're not busy.\Thanks.\What are you doing later, Kazehaya? response:	It's Kazehaya-kun.
context: Sure, we'll do it.\Shopping too, then.\Okay.\Knowing them, they'd probably help me with practice too.\I'll ask you when you're not busy.\Thanks.\What are you doing later, Kazehaya?\It's Kazehaya-kun. response:	Seriously, what am I doing?
context: Shopping too, then.\Okay.\Knowing them, they'd probably help me with practice too.\I'll ask you when you're not busy.\Thanks.\What are you doing later, Kazehaya?\It's Kazehaya-kun.\Seriously, what am I doing? response:	What?
context: Okay.\Knowing them, they'd probably help me with practice too.\I'll ask you when you're not busy.\Thanks.\What are you doing later, Kazehaya?\It's Kazehaya-kun.\Seriously, what am I doing?\What? response:	You want to borrow the soccer ball?
context: Knowing them, they'd probably help me with practice too.\I'll ask you when you're not busy.\Thanks.\What are you doing later, Kazehaya?\It's Kazehaya-kun.\Seriously, what am I doing?\What?\You want to borrow the soccer ball? response:	Yes.
context: I'll ask you when you're not busy.\Thanks.\What are you doing later, Kazehaya?\It's Kazehaya-kun.\Seriously, what am I doing?\What?\You want to borrow the soccer ball?\Yes. response:	Please.
context: Thanks.\What are you doing later, Kazehaya?\It's Kazehaya-kun.\Seriously, what am I doing?\What?\You want to borrow the soccer ball?\Yes.\Please. response:	Can't do that.
context: What are you doing later, Kazehaya?\It's Kazehaya-kun.\Seriously, what am I doing?\What?\You want to borrow the soccer ball?\Yes.\Please.\Can't do that. response:	It's not for personal use.
context: It's Kazehaya-kun.\Seriously, what am I doing?\What?\You want to borrow the soccer ball?\Yes.\Please.\Can't do that.\It's not for personal use. response:	Can't you make an exception?
context: Seriously, what am I doing?\What?\You want to borrow the soccer ball?\Yes.\Please.\Can't do that.\It's not for personal use.\Can't you make an exception? response:	I'll bring it back, I swear.
context: What?\You want to borrow the soccer ball?\Yes.\Please.\Can't do that.\It's not for personal use.\Can't you make an exception?\I'll bring it back, I swear. response:	I said no.
