context: Don't! It's a whalesquid! Leave it alone! response:	Targeting accuracy is lower due to undersea conditions.
context: Unless the threat is eliminated completely, there can be no true peace.\Where are you right now?!\This is Gargantia, right?!\The Fleet Commander would like a detailed briefing from you.\Good timing. They're here, too.\Would you have the Fleet Commander hear you arguing with them?\No, it's fine. I'll report to him.\You two can leave. response:	Hey, Flange!
context: Where are you right now?!\This is Gargantia, right?!\The Fleet Commander would like a detailed briefing from you.\Good timing. They're here, too.\Would you have the Fleet Commander hear you arguing with them?\No, it's fine. I'll report to him.\You two can leave.\Hey, Flange! response:	What?!
context: This is Gargantia, right?!\The Fleet Commander would like a detailed briefing from you.\Good timing. They're here, too.\Would you have the Fleet Commander hear you arguing with them?\No, it's fine. I'll report to him.\You two can leave.\Hey, Flange!\What?! response:	Ledo...
context: The Fleet Commander would like a detailed briefing from you.\Good timing. They're here, too.\Would you have the Fleet Commander hear you arguing with them?\No, it's fine. I'll report to him.\You two can leave.\Hey, Flange!\What?!\Ledo... response:	Hideauze...
context: Good timing. They're here, too.\Would you have the Fleet Commander hear you arguing with them?\No, it's fine. I'll report to him.\You two can leave.\Hey, Flange!\What?!\Ledo...\Hideauze... response:	I mean, tell me about the whalesquid.
context: Would you have the Fleet Commander hear you arguing with them?\No, it's fine. I'll report to him.\You two can leave.\Hey, Flange!\What?!\Ledo...\Hideauze...\I mean, tell me about the whalesquid. response:	How many are there?
context: No, it's fine. I'll report to him.\You two can leave.\Hey, Flange!\What?!\Ledo...\Hideauze...\I mean, tell me about the whalesquid.\How many are there? response:	What is their combat strength? Do they have any weaknesses?
context: You two can leave.\Hey, Flange!\What?!\Ledo...\Hideauze...\I mean, tell me about the whalesquid.\How many are there?\What is their combat strength? Do they have any weaknesses? response:	W-Wait a second, Ledo!
context: Hey, Flange!\What?!\Ledo...\Hideauze...\I mean, tell me about the whalesquid.\How many are there?\What is their combat strength? Do they have any weaknesses?\W-Wait a second, Ledo! response:	Do you still mean to do something to them? You better not!
context: What?!\Ledo...\Hideauze...\I mean, tell me about the whalesquid.\How many are there?\What is their combat strength? Do they have any weaknesses?\W-Wait a second, Ledo!\Do you still mean to do something to them? You better not! response:	The whalesquid are terrifying creatures if you start something,
context: Ledo...\Hideauze...\I mean, tell me about the whalesquid.\How many are there?\What is their combat strength? Do they have any weaknesses?\W-Wait a second, Ledo!\Do you still mean to do something to them? You better not!\The whalesquid are terrifying creatures if you start something, response:	but they never attack unprovoked.
context: Hideauze...\I mean, tell me about the whalesquid.\How many are there?\What is their combat strength? Do they have any weaknesses?\W-Wait a second, Ledo!\Do you still mean to do something to them? You better not!\The whalesquid are terrifying creatures if you start something,\but they never attack unprovoked. response:	That's right! Wouldn't you feel bad about killing them?
context: I mean, tell me about the whalesquid.\How many are there?\What is their combat strength? Do they have any weaknesses?\W-Wait a second, Ledo!\Do you still mean to do something to them? You better not!\The whalesquid are terrifying creatures if you start something,\but they never attack unprovoked.\That's right! Wouldn't you feel bad about killing them? response:	Impossible.
context: How many are there?\What is their combat strength? Do they have any weaknesses?\W-Wait a second, Ledo!\Do you still mean to do something to them? You better not!\The whalesquid are terrifying creatures if you start something,\but they never attack unprovoked.\That's right! Wouldn't you feel bad about killing them?\Impossible. response:	They are enemies that need to be wiped out.
context: What is their combat strength? Do they have any weaknesses?\W-Wait a second, Ledo!\Do you still mean to do something to them? You better not!\The whalesquid are terrifying creatures if you start something,\but they never attack unprovoked.\That's right! Wouldn't you feel bad about killing them?\Impossible.\They are enemies that need to be wiped out. response:	Why can't you understand that?!
context: W-Wait a second, Ledo!\Do you still mean to do something to them? You better not!\The whalesquid are terrifying creatures if you start something,\but they never attack unprovoked.\That's right! Wouldn't you feel bad about killing them?\Impossible.\They are enemies that need to be wiped out.\Why can't you understand that?! response:	After coming all the way to Earth, why are you trying to continue your war?!
context: Do you still mean to do something to them? You better not!\The whalesquid are terrifying creatures if you start something,\but they never attack unprovoked.\That's right! Wouldn't you feel bad about killing them?\Impossible.\They are enemies that need to be wiped out.\Why can't you understand that?!\After coming all the way to Earth, why are you trying to continue your war?! response:	Don't draw us into a conflict that has nothing to do with us!
context: The whalesquid are terrifying creatures if you start something,\but they never attack unprovoked.\That's right! Wouldn't you feel bad about killing them?\Impossible.\They are enemies that need to be wiped out.\Why can't you understand that?!\After coming all the way to Earth, why are you trying to continue your war?!\Don't draw us into a conflict that has nothing to do with us! response:	Right now, your civilization...
context: but they never attack unprovoked.\That's right! Wouldn't you feel bad about killing them?\Impossible.\They are enemies that need to be wiped out.\Why can't you understand that?!\After coming all the way to Earth, why are you trying to continue your war?!\Don't draw us into a conflict that has nothing to do with us!\Right now, your civilization... response:	I have no idea what you're saying!
context: That's right! Wouldn't you feel bad about killing them?\Impossible.\They are enemies that need to be wiped out.\Why can't you understand that?!\After coming all the way to Earth, why are you trying to continue your war?!\Don't draw us into a conflict that has nothing to do with us!\Right now, your civilization...\I have no idea what you're saying! response:	At present, your civilization is merely being ignored by the Hideauze because of its simplicity.
context: Impossible.\They are enemies that need to be wiped out.\Why can't you understand that?!\After coming all the way to Earth, why are you trying to continue your war?!\Don't draw us into a conflict that has nothing to do with us!\Right now, your civilization...\I have no idea what you're saying!\At present, your civilization is merely being ignored by the Hideauze because of its simplicity. response:	It is only a matter of time before they strike.
context: They are enemies that need to be wiped out.\Why can't you understand that?!\After coming all the way to Earth, why are you trying to continue your war?!\Don't draw us into a conflict that has nothing to do with us!\Right now, your civilization...\I have no idea what you're saying!\At present, your civilization is merely being ignored by the Hideauze because of its simplicity.\It is only a matter of time before they strike. response:	When that happens, how will you people respond?
context: Why can't you understand that?!\After coming all the way to Earth, why are you trying to continue your war?!\Don't draw us into a conflict that has nothing to do with us!\Right now, your civilization...\I have no idea what you're saying!\At present, your civilization is merely being ignored by the Hideauze because of its simplicity.\It is only a matter of time before they strike.\When that happens, how will you people respond? response:	I-I don't...
context: After coming all the way to Earth, why are you trying to continue your war?!\Don't draw us into a conflict that has nothing to do with us!\Right now, your civilization...\I have no idea what you're saying!\At present, your civilization is merely being ignored by the Hideauze because of its simplicity.\It is only a matter of time before they strike.\When that happens, how will you people respond?\I-I don't... response:	Have specific measures been planned?
context: Don't draw us into a conflict that has nothing to do with us!\Right now, your civilization...\I have no idea what you're saying!\At present, your civilization is merely being ignored by the Hideauze because of its simplicity.\It is only a matter of time before they strike.\When that happens, how will you people respond?\I-I don't...\Have specific measures been planned? response:	Do you people even have a vision to develop your civilization?
context: Right now, your civilization...\I have no idea what you're saying!\At present, your civilization is merely being ignored by the Hideauze because of its simplicity.\It is only a matter of time before they strike.\When that happens, how will you people respond?\I-I don't...\Have specific measures been planned?\Do you people even have a vision to develop your civilization? response:	You don't even think about that, but your fellow humans are fighting right now.
context: I have no idea what you're saying!\At present, your civilization is merely being ignored by the Hideauze because of its simplicity.\It is only a matter of time before they strike.\When that happens, how will you people respond?\I-I don't...\Have specific measures been planned?\Do you people even have a vision to develop your civilization?\You don't even think about that, but your fellow humans are fighting right now. response:	It is too late to act when the enemy shows hostility.
context: At present, your civilization is merely being ignored by the Hideauze because of its simplicity.\It is only a matter of time before they strike.\When that happens, how will you people respond?\I-I don't...\Have specific measures been planned?\Do you people even have a vision to develop your civilization?\You don't even think about that, but your fellow humans are fighting right now.\It is too late to act when the enemy shows hostility. response:	I will attack before that happens.
context: It is only a matter of time before they strike.\When that happens, how will you people respond?\I-I don't...\Have specific measures been planned?\Do you people even have a vision to develop your civilization?\You don't even think about that, but your fellow humans are fighting right now.\It is too late to act when the enemy shows hostility.\I will attack before that happens. response:	Ledo...
context: When that happens, how will you people respond?\I-I don't...\Have specific measures been planned?\Do you people even have a vision to develop your civilization?\You don't even think about that, but your fellow humans are fighting right now.\It is too late to act when the enemy shows hostility.\I will attack before that happens.\Ledo... response:	You won't change your mind?
context: I-I don't...\Have specific measures been planned?\Do you people even have a vision to develop your civilization?\You don't even think about that, but your fellow humans are fighting right now.\It is too late to act when the enemy shows hostility.\I will attack before that happens.\Ledo...\You won't change your mind? response:	I live to kill them.
context: Have specific measures been planned?\Do you people even have a vision to develop your civilization?\You don't even think about that, but your fellow humans are fighting right now.\It is too late to act when the enemy shows hostility.\I will attack before that happens.\Ledo...\You won't change your mind?\I live to kill them. response:	You don't have to do that. Ledo, you're your own person...
context: Do you people even have a vision to develop your civilization?\You don't even think about that, but your fellow humans are fighting right now.\It is too late to act when the enemy shows hostility.\I will attack before that happens.\Ledo...\You won't change your mind?\I live to kill them.\You don't have to do that. Ledo, you're your own person... response:	Pinion, if you've got a funny idea in mind, forget about it.
context: You don't even think about that, but your fellow humans are fighting right now.\It is too late to act when the enemy shows hostility.\I will attack before that happens.\Ledo...\You won't change your mind?\I live to kill them.\You don't have to do that. Ledo, you're your own person...\Pinion, if you've got a funny idea in mind, forget about it. response:	What's that mean?!
context: It is too late to act when the enemy shows hostility.\I will attack before that happens.\Ledo...\You won't change your mind?\I live to kill them.\You don't have to do that. Ledo, you're your own person...\Pinion, if you've got a funny idea in mind, forget about it.\What's that mean?! response:	You're thinking of using Ledo and Chamber to go deep into whalesquid territory.
context: I will attack before that happens.\Ledo...\You won't change your mind?\I live to kill them.\You don't have to do that. Ledo, you're your own person...\Pinion, if you've got a funny idea in mind, forget about it.\What's that mean?!\You're thinking of using Ledo and Chamber to go deep into whalesquid territory. response:	What's wrong with that? He's got a beef with the whalesquid anyway, right?
context: Ledo...\You won't change your mind?\I live to kill them.\You don't have to do that. Ledo, you're your own person...\Pinion, if you've got a funny idea in mind, forget about it.\What's that mean?!\You're thinking of using Ledo and Chamber to go deep into whalesquid territory.\What's wrong with that? He's got a beef with the whalesquid anyway, right? response:	If there's treasure at the bottom, I can just swoop down and grab it all up.
context: You won't change your mind?\I live to kill them.\You don't have to do that. Ledo, you're your own person...\Pinion, if you've got a funny idea in mind, forget about it.\What's that mean?!\You're thinking of using Ledo and Chamber to go deep into whalesquid territory.\What's wrong with that? He's got a beef with the whalesquid anyway, right?\If there's treasure at the bottom, I can just swoop down and grab it all up. response:	Even if it means putting the fleet in danger?
context: I live to kill them.\You don't have to do that. Ledo, you're your own person...\Pinion, if you've got a funny idea in mind, forget about it.\What's that mean?!\You're thinking of using Ledo and Chamber to go deep into whalesquid territory.\What's wrong with that? He's got a beef with the whalesquid anyway, right?\If there's treasure at the bottom, I can just swoop down and grab it all up.\Even if it means putting the fleet in danger? response:	No matter what you dredge up, if it's not useful to Gargantia, it's meaningless!
context: You don't have to do that. Ledo, you're your own person...\Pinion, if you've got a funny idea in mind, forget about it.\What's that mean?!\You're thinking of using Ledo and Chamber to go deep into whalesquid territory.\What's wrong with that? He's got a beef with the whalesquid anyway, right?\If there's treasure at the bottom, I can just swoop down and grab it all up.\Even if it means putting the fleet in danger?\No matter what you dredge up, if it's not useful to Gargantia, it's meaningless! response:	Of course it'll be useful!
context: Pinion, if you've got a funny idea in mind, forget about it.\What's that mean?!\You're thinking of using Ledo and Chamber to go deep into whalesquid territory.\What's wrong with that? He's got a beef with the whalesquid anyway, right?\If there's treasure at the bottom, I can just swoop down and grab it all up.\Even if it means putting the fleet in danger?\No matter what you dredge up, if it's not useful to Gargantia, it's meaningless!\Of course it'll be useful! response:	I'm talkin' about unexplored regions! To find unheard-of treasures!
context: What's that mean?!\You're thinking of using Ledo and Chamber to go deep into whalesquid territory.\What's wrong with that? He's got a beef with the whalesquid anyway, right?\If there's treasure at the bottom, I can just swoop down and grab it all up.\Even if it means putting the fleet in danger?\No matter what you dredge up, if it's not useful to Gargantia, it's meaningless!\Of course it'll be useful!\I'm talkin' about unexplored regions! To find unheard-of treasures! response:	What do you think? Join my team. It's gotta get a salvager's blood racing.
context: You're thinking of using Ledo and Chamber to go deep into whalesquid territory.\What's wrong with that? He's got a beef with the whalesquid anyway, right?\If there's treasure at the bottom, I can just swoop down and grab it all up.\Even if it means putting the fleet in danger?\No matter what you dredge up, if it's not useful to Gargantia, it's meaningless!\Of course it'll be useful!\I'm talkin' about unexplored regions! To find unheard-of treasures!\What do you think? Join my team. It's gotta get a salvager's blood racing. response:	Sorry, but I'm not interested in a little kid's expedition team.
context: What's wrong with that? He's got a beef with the whalesquid anyway, right?\If there's treasure at the bottom, I can just swoop down and grab it all up.\Even if it means putting the fleet in danger?\No matter what you dredge up, if it's not useful to Gargantia, it's meaningless!\Of course it'll be useful!\I'm talkin' about unexplored regions! To find unheard-of treasures!\What do you think? Join my team. It's gotta get a salvager's blood racing.\Sorry, but I'm not interested in a little kid's expedition team. response:	What's that?!
context: If there's treasure at the bottom, I can just swoop down and grab it all up.\Even if it means putting the fleet in danger?\No matter what you dredge up, if it's not useful to Gargantia, it's meaningless!\Of course it'll be useful!\I'm talkin' about unexplored regions! To find unheard-of treasures!\What do you think? Join my team. It's gotta get a salvager's blood racing.\Sorry, but I'm not interested in a little kid's expedition team.\What's that?! response:	You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it.
context: Even if it means putting the fleet in danger?\No matter what you dredge up, if it's not useful to Gargantia, it's meaningless!\Of course it'll be useful!\I'm talkin' about unexplored regions! To find unheard-of treasures!\What do you think? Join my team. It's gotta get a salvager's blood racing.\Sorry, but I'm not interested in a little kid's expedition team.\What's that?!\You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it. response:	You can't dive yourself, so you use other people, and you're satisfied with that, huh?
context: No matter what you dredge up, if it's not useful to Gargantia, it's meaningless!\Of course it'll be useful!\I'm talkin' about unexplored regions! To find unheard-of treasures!\What do you think? Join my team. It's gotta get a salvager's blood racing.\Sorry, but I'm not interested in a little kid's expedition team.\What's that?!\You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it.\You can't dive yourself, so you use other people, and you're satisfied with that, huh? response:	Bellows, you wench!
context: Of course it'll be useful!\I'm talkin' about unexplored regions! To find unheard-of treasures!\What do you think? Join my team. It's gotta get a salvager's blood racing.\Sorry, but I'm not interested in a little kid's expedition team.\What's that?!\You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it.\You can't dive yourself, so you use other people, and you're satisfied with that, huh?\Bellows, you wench! response:	And I swore I'd get revenge for my big brother...
context: I'm talkin' about unexplored regions! To find unheard-of treasures!\What do you think? Join my team. It's gotta get a salvager's blood racing.\Sorry, but I'm not interested in a little kid's expedition team.\What's that?!\You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it.\You can't dive yourself, so you use other people, and you're satisfied with that, huh?\Bellows, you wench!\And I swore I'd get revenge for my big brother... response:	That's just a dream, too...
context: What do you think? Join my team. It's gotta get a salvager's blood racing.\Sorry, but I'm not interested in a little kid's expedition team.\What's that?!\You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it.\You can't dive yourself, so you use other people, and you're satisfied with that, huh?\Bellows, you wench!\And I swore I'd get revenge for my big brother...\That's just a dream, too... response:	How's the connection to the Alliance coming?
context: Sorry, but I'm not interested in a little kid's expedition team.\What's that?!\You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it.\You can't dive yourself, so you use other people, and you're satisfied with that, huh?\Bellows, you wench!\And I swore I'd get revenge for my big brother...\That's just a dream, too...\How's the connection to the Alliance coming? response:	There is still no response.
context: What's that?!\You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it.\You can't dive yourself, so you use other people, and you're satisfied with that, huh?\Bellows, you wench!\And I swore I'd get revenge for my big brother...\That's just a dream, too...\How's the connection to the Alliance coming?\There is still no response. response:	And our coordinates?
context: You wanna bring stuff up for the sake of your two-bit pride, so you can brag about it.\You can't dive yourself, so you use other people, and you're satisfied with that, huh?\Bellows, you wench!\And I swore I'd get revenge for my big brother...\That's just a dream, too...\How's the connection to the Alliance coming?\There is still no response.\And our coordinates? response:	Analysis: Further parallax observation of this planet's orbit is required.
context: You can't dive yourself, so you use other people, and you're satisfied with that, huh?\Bellows, you wench!\And I swore I'd get revenge for my big brother...\That's just a dream, too...\How's the connection to the Alliance coming?\There is still no response.\And our coordinates?\Analysis: Further parallax observation of this planet's orbit is required. response:	Dammit.
context: Bellows, you wench!\And I swore I'd get revenge for my big brother...\That's just a dream, too...\How's the connection to the Alliance coming?\There is still no response.\And our coordinates?\Analysis: Further parallax observation of this planet's orbit is required.\Dammit. response:	Analysis of the biological sample is complete.
context: And I swore I'd get revenge for my big brother...\That's just a dream, too...\How's the connection to the Alliance coming?\There is still no response.\And our coordinates?\Analysis: Further parallax observation of this planet's orbit is required.\Dammit.\Analysis of the biological sample is complete. response:	What's the result?
context: That's just a dream, too...\How's the connection to the Alliance coming?\There is still no response.\And our coordinates?\Analysis: Further parallax observation of this planet's orbit is required.\Dammit.\Analysis of the biological sample is complete.\What's the result? response:	Although the composition of the exoskeleton has adapted to the environment,
context: How's the connection to the Alliance coming?\There is still no response.\And our coordinates?\Analysis: Further parallax observation of this planet's orbit is required.\Dammit.\Analysis of the biological sample is complete.\What's the result?\Although the composition of the exoskeleton has adapted to the environment, response:	there is no difference between the genetic makeup of this and the Hideauze.
context: There is still no response.\And our coordinates?\Analysis: Further parallax observation of this planet's orbit is required.\Dammit.\Analysis of the biological sample is complete.\What's the result?\Although the composition of the exoskeleton has adapted to the environment,\there is no difference between the genetic makeup of this and the Hideauze. response:	Confirmed: They are identical species.
context: And our coordinates?\Analysis: Further parallax observation of this planet's orbit is required.\Dammit.\Analysis of the biological sample is complete.\What's the result?\Although the composition of the exoskeleton has adapted to the environment,\there is no difference between the genetic makeup of this and the Hideauze.\Confirmed: They are identical species. response:	I knew it!
context: Analysis: Further parallax observation of this planet's orbit is required.\Dammit.\Analysis of the biological sample is complete.\What's the result?\Although the composition of the exoskeleton has adapted to the environment,\there is no difference between the genetic makeup of this and the Hideauze.\Confirmed: They are identical species.\I knew it! response:	The policy of destruction isn't wrong.
context: Dammit.\Analysis of the biological sample is complete.\What's the result?\Although the composition of the exoskeleton has adapted to the environment,\there is no difference between the genetic makeup of this and the Hideauze.\Confirmed: They are identical species.\I knew it!\The policy of destruction isn't wrong. response:	It's necessary for the humans of Earth, too.
context: Analysis of the biological sample is complete.\What's the result?\Although the composition of the exoskeleton has adapted to the environment,\there is no difference between the genetic makeup of this and the Hideauze.\Confirmed: They are identical species.\I knew it!\The policy of destruction isn't wrong.\It's necessary for the humans of Earth, too. response:	Why can't they understand that?
context: What's the result?\Although the composition of the exoskeleton has adapted to the environment,\there is no difference between the genetic makeup of this and the Hideauze.\Confirmed: They are identical species.\I knew it!\The policy of destruction isn't wrong.\It's necessary for the humans of Earth, too.\Why can't they understand that? response:	According to language analysis,
context: Although the composition of the exoskeleton has adapted to the environment,\there is no difference between the genetic makeup of this and the Hideauze.\Confirmed: They are identical species.\I knew it!\The policy of destruction isn't wrong.\It's necessary for the humans of Earth, too.\Why can't they understand that?\According to language analysis, response:	the definition of survival strategy for the human race of Earth
context: there is no difference between the genetic makeup of this and the Hideauze.\Confirmed: They are identical species.\I knew it!\The policy of destruction isn't wrong.\It's necessary for the humans of Earth, too.\Why can't they understand that?\According to language analysis,\the definition of survival strategy for the human race of Earth response:	greatly differs from that of the Alliance.
context: Confirmed: They are identical species.\I knew it!\The policy of destruction isn't wrong.\It's necessary for the humans of Earth, too.\Why can't they understand that?\According to language analysis,\the definition of survival strategy for the human race of Earth\greatly differs from that of the Alliance. response:	What do you mean?
context: I knew it!\The policy of destruction isn't wrong.\It's necessary for the humans of Earth, too.\Why can't they understand that?\According to language analysis,\the definition of survival strategy for the human race of Earth\greatly differs from that of the Alliance.\What do you mean? response:	The answer to that question is not in any standard Alliance dictionary.
context: The policy of destruction isn't wrong.\It's necessary for the humans of Earth, too.\Why can't they understand that?\According to language analysis,\the definition of survival strategy for the human race of Earth\greatly differs from that of the Alliance.\What do you mean?\The answer to that question is not in any standard Alliance dictionary. response:	However, it exists in Earth language.
context: It's necessary for the humans of Earth, too.\Why can't they understand that?\According to language analysis,\the definition of survival strategy for the human race of Earth\greatly differs from that of the Alliance.\What do you mean?\The answer to that question is not in any standard Alliance dictionary.\However, it exists in Earth language. response:	Say it.
context: Why can't they understand that?\According to language analysis,\the definition of survival strategy for the human race of Earth\greatly differs from that of the Alliance.\What do you mean?\The answer to that question is not in any standard Alliance dictionary.\However, it exists in Earth language.\Say it. response:	Co-existence and co-prosperity.
context: According to language analysis,\the definition of survival strategy for the human race of Earth\greatly differs from that of the Alliance.\What do you mean?\The answer to that question is not in any standard Alliance dictionary.\However, it exists in Earth language.\Say it.\Co-existence and co-prosperity. response:	The sea galaxy is active!
context: the definition of survival strategy for the human race of Earth\greatly differs from that of the Alliance.\What do you mean?\The answer to that question is not in any standard Alliance dictionary.\However, it exists in Earth language.\Say it.\Co-existence and co-prosperity.\The sea galaxy is active! response:	I've never seen anything like it!
context: greatly differs from that of the Alliance.\What do you mean?\The answer to that question is not in any standard Alliance dictionary.\However, it exists in Earth language.\Say it.\Co-existence and co-prosperity.\The sea galaxy is active!\I've never seen anything like it! response:	What?!
context: What do you mean?\The answer to that question is not in any standard Alliance dictionary.\However, it exists in Earth language.\Say it.\Co-existence and co-prosperity.\The sea galaxy is active!\I've never seen anything like it!\What?! response:	Hey! Are those whalesquid?!
context: The answer to that question is not in any standard Alliance dictionary.\However, it exists in Earth language.\Say it.\Co-existence and co-prosperity.\The sea galaxy is active!\I've never seen anything like it!\What?!\Hey! Are those whalesquid?! response:	Back up!
context: However, it exists in Earth language.\Say it.\Co-existence and co-prosperity.\The sea galaxy is active!\I've never seen anything like it!\What?!\Hey! Are those whalesquid?!\Back up! response:	Confirmed: Multiple objects approaching from the sea.
context: Say it.\Co-existence and co-prosperity.\The sea galaxy is active!\I've never seen anything like it!\What?!\Hey! Are those whalesquid?!\Back up!\Confirmed: Multiple objects approaching from the sea. response:	Conjecture: Based on the noise of their propulsion, they are Hideauze.
context: Co-existence and co-prosperity.\The sea galaxy is active!\I've never seen anything like it!\What?!\Hey! Are those whalesquid?!\Back up!\Confirmed: Multiple objects approaching from the sea.\Conjecture: Based on the noise of their propulsion, they are Hideauze. response:	Chamber, come to me!
context: The sea galaxy is active!\I've never seen anything like it!\What?!\Hey! Are those whalesquid?!\Back up!\Confirmed: Multiple objects approaching from the sea.\Conjecture: Based on the noise of their propulsion, they are Hideauze.\Chamber, come to me! response:	Don't go! Please!
context: I've never seen anything like it!\What?!\Hey! Are those whalesquid?!\Back up!\Confirmed: Multiple objects approaching from the sea.\Conjecture: Based on the noise of their propulsion, they are Hideauze.\Chamber, come to me!\Don't go! Please! response:	Sonic wave transponder is picking up an incredible number of them at 10 o'clock!
context: What?!\Hey! Are those whalesquid?!\Back up!\Confirmed: Multiple objects approaching from the sea.\Conjecture: Based on the noise of their propulsion, they are Hideauze.\Chamber, come to me!\Don't go! Please!\Sonic wave transponder is picking up an incredible number of them at 10 o'clock! response:	Depth approximately 30 meters!
context: Hey! Are those whalesquid?!\Back up!\Confirmed: Multiple objects approaching from the sea.\Conjecture: Based on the noise of their propulsion, they are Hideauze.\Chamber, come to me!\Don't go! Please!\Sonic wave transponder is picking up an incredible number of them at 10 o'clock!\Depth approximately 30 meters! response:	30?!
context: Back up!\Confirmed: Multiple objects approaching from the sea.\Conjecture: Based on the noise of their propulsion, they are Hideauze.\Chamber, come to me!\Don't go! Please!\Sonic wave transponder is picking up an incredible number of them at 10 o'clock!\Depth approximately 30 meters!\30?! response:	Double the number of patrol craft!
context: Confirmed: Multiple objects approaching from the sea.\Conjecture: Based on the noise of their propulsion, they are Hideauze.\Chamber, come to me!\Don't go! Please!\Sonic wave transponder is picking up an incredible number of them at 10 o'clock!\Depth approximately 30 meters!\30?!\Double the number of patrol craft! response:	Have all the escorts get up to the fleet and stand by!
context: Conjecture: Based on the noise of their propulsion, they are Hideauze.\Chamber, come to me!\Don't go! Please!\Sonic wave transponder is picking up an incredible number of them at 10 o'clock!\Depth approximately 30 meters!\30?!\Double the number of patrol craft!\Have all the escorts get up to the fleet and stand by! response:	This can't be happening...
context: Chamber, come to me!\Don't go! Please!\Sonic wave transponder is picking up an incredible number of them at 10 o'clock!\Depth approximately 30 meters!\30?!\Double the number of patrol craft!\Have all the escorts get up to the fleet and stand by!\This can't be happening... response:	I've never heard of a pod of them coming up this close to the surface.
context: Don't go! Please!\Sonic wave transponder is picking up an incredible number of them at 10 o'clock!\Depth approximately 30 meters!\30?!\Double the number of patrol craft!\Have all the escorts get up to the fleet and stand by!\This can't be happening...\I've never heard of a pod of them coming up this close to the surface. response:	How in the world do we handle this?
context: Sonic wave transponder is picking up an incredible number of them at 10 o'clock!\Depth approximately 30 meters!\30?!\Double the number of patrol craft!\Have all the escorts get up to the fleet and stand by!\This can't be happening...\I've never heard of a pod of them coming up this close to the surface.\How in the world do we handle this? response:	At this rate, they'll intersect our course!
context: Depth approximately 30 meters!\30?!\Double the number of patrol craft!\Have all the escorts get up to the fleet and stand by!\This can't be happening...\I've never heard of a pod of them coming up this close to the surface.\How in the world do we handle this?\At this rate, they'll intersect our course! response:	Whalesquid! A whole pod of them is approaching!
context: 30?!\Double the number of patrol craft!\Have all the escorts get up to the fleet and stand by!\This can't be happening...\I've never heard of a pod of them coming up this close to the surface.\How in the world do we handle this?\At this rate, they'll intersect our course!\Whalesquid! A whole pod of them is approaching! response:	Come on!
context: Double the number of patrol craft!\Have all the escorts get up to the fleet and stand by!\This can't be happening...\I've never heard of a pod of them coming up this close to the surface.\How in the world do we handle this?\At this rate, they'll intersect our course!\Whalesquid! A whole pod of them is approaching!\Come on! response:	Hurry!
context: Have all the escorts get up to the fleet and stand by!\This can't be happening...\I've never heard of a pod of them coming up this close to the surface.\How in the world do we handle this?\At this rate, they'll intersect our course!\Whalesquid! A whole pod of them is approaching!\Come on!\Hurry! response:	Raise it! Raise it!
context: This can't be happening...\I've never heard of a pod of them coming up this close to the surface.\How in the world do we handle this?\At this rate, they'll intersect our course!\Whalesquid! A whole pod of them is approaching!\Come on!\Hurry!\Raise it! Raise it! response:	This is because we let that alien on board, dammit!
context: I've never heard of a pod of them coming up this close to the surface.\How in the world do we handle this?\At this rate, they'll intersect our course!\Whalesquid! A whole pod of them is approaching!\Come on!\Hurry!\Raise it! Raise it!\This is because we let that alien on board, dammit! response:	Please help us!
context: How in the world do we handle this?\At this rate, they'll intersect our course!\Whalesquid! A whole pod of them is approaching!\Come on!\Hurry!\Raise it! Raise it!\This is because we let that alien on board, dammit!\Please help us! response:	Please leave us be!
context: At this rate, they'll intersect our course!\Whalesquid! A whole pod of them is approaching!\Come on!\Hurry!\Raise it! Raise it!\This is because we let that alien on board, dammit!\Please help us!\Please leave us be! response:	Fleet Commander!
context: Whalesquid! A whole pod of them is approaching!\Come on!\Hurry!\Raise it! Raise it!\This is because we let that alien on board, dammit!\Please help us!\Please leave us be!\Fleet Commander! response:	Turn off the siren.
context: Come on!\Hurry!\Raise it! Raise it!\This is because we let that alien on board, dammit!\Please help us!\Please leave us be!\Fleet Commander!\Turn off the siren. response:	Yes, sir!
context: Hurry!\Raise it! Raise it!\This is because we let that alien on board, dammit!\Please help us!\Please leave us be!\Fleet Commander!\Turn off the siren.\Yes, sir! response:	I'll take command. If you don't mind?
context: Raise it! Raise it!\This is because we let that alien on board, dammit!\Please help us!\Please leave us be!\Fleet Commander!\Turn off the siren.\Yes, sir!\I'll take command. If you don't mind? response:	N-No, of course not.
context: This is because we let that alien on board, dammit!\Please help us!\Please leave us be!\Fleet Commander!\Turn off the siren.\Yes, sir!\I'll take command. If you don't mind?\N-No, of course not. response:	But...
context: Please help us!\Please leave us be!\Fleet Commander!\Turn off the siren.\Yes, sir!\I'll take command. If you don't mind?\N-No, of course not.\But... response:	This is Fleet Commander Fairlock. I want you all to listen to me.
