context: During our battle with Oracion Seis, Happy and Wendy were captured! response:	To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!
context: Air Magic, Aerial!\I can't breathe!\My eyes are getting cloudy!\My ears are ringing!\I lowered the oxygen content in the air around you.\You should no longer be able to stand.\What's with this guy?\He's got such a cute face! response:	Let's play with'em!
context: I can't breathe!\My eyes are getting cloudy!\My ears are ringing!\I lowered the oxygen content in the air around you.\You should no longer be able to stand.\What's with this guy?\He's got such a cute face!\Let's play with'em! response:	Trying to make me angry?
context: My eyes are getting cloudy!\My ears are ringing!\I lowered the oxygen content in the air around you.\You should no longer be able to stand.\What's with this guy?\He's got such a cute face!\Let's play with'em!\Trying to make me angry? response:	Snow Magic: Whiteout!
context: My ears are ringing!\I lowered the oxygen content in the air around you.\You should no longer be able to stand.\What's with this guy?\He's got such a cute face!\Let's play with'em!\Trying to make me angry?\Snow Magic: Whiteout! response:	I'll steal your visibility, and freeze your body!
context: I lowered the oxygen content in the air around you.\You should no longer be able to stand.\What's with this guy?\He's got such a cute face!\Let's play with'em!\Trying to make me angry?\Snow Magic: Whiteout!\I'll steal your visibility, and freeze your body! response:	Still want to play?
context: You should no longer be able to stand.\What's with this guy?\He's got such a cute face!\Let's play with'em!\Trying to make me angry?\Snow Magic: Whiteout!\I'll steal your visibility, and freeze your body!\Still want to play? response:	S-S-S-S-S-Strong...
context: What's with this guy?\He's got such a cute face!\Let's play with'em!\Trying to make me angry?\Snow Magic: Whiteout!\I'll steal your visibility, and freeze your body!\Still want to play?\S-S-S-S-S-Strong... response:	Please excuse us...
context: He's got such a cute face!\Let's play with'em!\Trying to make me angry?\Snow Magic: Whiteout!\I'll steal your visibility, and freeze your body!\Still want to play?\S-S-S-S-S-Strong...\Please excuse us... response:	Damn you, Lamia Scale...
context: Let's play with'em!\Trying to make me angry?\Snow Magic: Whiteout!\I'll steal your visibility, and freeze your body!\Still want to play?\S-S-S-S-S-Strong...\Please excuse us...\Damn you, Lamia Scale... response:	We'll show you a thing or two.
context: Trying to make me angry?\Snow Magic: Whiteout!\I'll steal your visibility, and freeze your body!\Still want to play?\S-S-S-S-S-Strong...\Please excuse us...\Damn you, Lamia Scale...\We'll show you a thing or two. response:	What's this?
context: Snow Magic: Whiteout!\I'll steal your visibility, and freeze your body!\Still want to play?\S-S-S-S-S-Strong...\Please excuse us...\Damn you, Lamia Scale...\We'll show you a thing or two.\What's this? response:	What are they trying to do?
context: I'll steal your visibility, and freeze your body!\Still want to play?\S-S-S-S-S-Strong...\Please excuse us...\Damn you, Lamia Scale...\We'll show you a thing or two.\What's this?\What are they trying to do? response:	Pict Magic?
context: Still want to play?\S-S-S-S-S-Strong...\Please excuse us...\Damn you, Lamia Scale...\We'll show you a thing or two.\What's this?\What are they trying to do?\Pict Magic? response:	Unison Pict!
context: S-S-S-S-S-Strong...\Please excuse us...\Damn you, Lamia Scale...\We'll show you a thing or two.\What's this?\What are they trying to do?\Pict Magic?\Unison Pict! response:	G-Goblins?
context: Please excuse us...\Damn you, Lamia Scale...\We'll show you a thing or two.\What's this?\What are they trying to do?\Pict Magic?\Unison Pict!\G-Goblins? response:	Ooh, they're so cute!
context: Damn you, Lamia Scale...\We'll show you a thing or two.\What's this?\What are they trying to do?\Pict Magic?\Unison Pict!\G-Goblins?\Ooh, they're so cute! response:	Do not let your guard down!
context: We'll show you a thing or two.\What's this?\What are they trying to do?\Pict Magic?\Unison Pict!\G-Goblins?\Ooh, they're so cute!\Do not let your guard down! response:	They are...
context: What's this?\What are they trying to do?\Pict Magic?\Unison Pict!\G-Goblins?\Ooh, they're so cute!\Do not let your guard down!\They are... response:	Kick their butts, Sherry!
context: What are they trying to do?\Pict Magic?\Unison Pict!\G-Goblins?\Ooh, they're so cute!\Do not let your guard down!\They are...\Kick their butts, Sherry! response:	Wood Doll!
context: Pict Magic?\Unison Pict!\G-Goblins?\Ooh, they're so cute!\Do not let your guard down!\They are...\Kick their butts, Sherry!\Wood Doll! response:	Owwy!
context: Unison Pict!\G-Goblins?\Ooh, they're so cute!\Do not let your guard down!\They are...\Kick their butts, Sherry!\Wood Doll!\Owwy! response:	I kind of feel bad now...
context: G-Goblins?\Ooh, they're so cute!\Do not let your guard down!\They are...\Kick their butts, Sherry!\Wood Doll!\Owwy!\I kind of feel bad now... response:	I told you not to let your guard down!
context: Ooh, they're so cute!\Do not let your guard down!\They are...\Kick their butts, Sherry!\Wood Doll!\Owwy!\I kind of feel bad now...\I told you not to let your guard down! response:	Yes, that's perfect...
context: Do not let your guard down!\They are...\Kick their butts, Sherry!\Wood Doll!\Owwy!\I kind of feel bad now...\I told you not to let your guard down!\Yes, that's perfect... response:	While they're distracted by our cute little goblins...
context: They are...\Kick their butts, Sherry!\Wood Doll!\Owwy!\I kind of feel bad now...\I told you not to let your guard down!\Yes, that's perfect...\While they're distracted by our cute little goblins... response:	Unison Pict!
context: Kick their butts, Sherry!\Wood Doll!\Owwy!\I kind of feel bad now...\I told you not to let your guard down!\Yes, that's perfect...\While they're distracted by our cute little goblins...\Unison Pict! response:	A wyvern?
context: Wood Doll!\Owwy!\I kind of feel bad now...\I told you not to let your guard down!\Yes, that's perfect...\While they're distracted by our cute little goblins...\Unison Pict!\A wyvern? response:	They can even make something like that?
context: Owwy!\I kind of feel bad now...\I told you not to let your guard down!\Yes, that's perfect...\While they're distracted by our cute little goblins...\Unison Pict!\A wyvern?\They can even make something like that? response:	That is some skillful sketching!
context: I kind of feel bad now...\I told you not to let your guard down!\Yes, that's perfect...\While they're distracted by our cute little goblins...\Unison Pict!\A wyvern?\They can even make something like that?\That is some skillful sketching! response:	Go, wyvern!
context: I told you not to let your guard down!\Yes, that's perfect...\While they're distracted by our cute little goblins...\Unison Pict!\A wyvern?\They can even make something like that?\That is some skillful sketching!\Go, wyvern! response:	Crush the official guild!
context: Yes, that's perfect...\While they're distracted by our cute little goblins...\Unison Pict!\A wyvern?\They can even make something like that?\That is some skillful sketching!\Go, wyvern!\Crush the official guild! response:	This is quite annoying!
context: While they're distracted by our cute little goblins...\Unison Pict!\A wyvern?\They can even make something like that?\That is some skillful sketching!\Go, wyvern!\Crush the official guild!\This is quite annoying! response:	Jura-san!
context: Unison Pict!\A wyvern?\They can even make something like that?\That is some skillful sketching!\Go, wyvern!\Crush the official guild!\This is quite annoying!\Jura-san! response:	Rockiron Spikes!
context: A wyvern?\They can even make something like that?\That is some skillful sketching!\Go, wyvern!\Crush the official guild!\This is quite annoying!\Jura-san!\Rockiron Spikes! response:	Lyon! Sherry!
context: They can even make something like that?\That is some skillful sketching!\Go, wyvern!\Crush the official guild!\This is quite annoying!\Jura-san!\Rockiron Spikes!\Lyon! Sherry! response:	Ice Make...
context: That is some skillful sketching!\Go, wyvern!\Crush the official guild!\This is quite annoying!\Jura-san!\Rockiron Spikes!\Lyon! Sherry!\Ice Make... response:	Doll Attack...
context: Go, wyvern!\Crush the official guild!\This is quite annoying!\Jura-san!\Rockiron Spikes!\Lyon! Sherry!\Ice Make...\Doll Attack... response:	Invocation!
context: Crush the official guild!\This is quite annoying!\Jura-san!\Rockiron Spikes!\Lyon! Sherry!\Ice Make...\Doll Attack...\Invocation! response:	Rockiron Powder Explosion!
context: This is quite annoying!\Jura-san!\Rockiron Spikes!\Lyon! Sherry!\Ice Make...\Doll Attack...\Invocation!\Rockiron Powder Explosion! response:	So much for our wyvern!
context: Jura-san!\Rockiron Spikes!\Lyon! Sherry!\Ice Make...\Doll Attack...\Invocation!\Rockiron Powder Explosion!\So much for our wyvern! response:	Does it even matter what we do next?
context: Rockiron Spikes!\Lyon! Sherry!\Ice Make...\Doll Attack...\Invocation!\Rockiron Powder Explosion!\So much for our wyvern!\Does it even matter what we do next? response:	Even though they be fake, I cannot admire those that use living things so thoughtlessly...
context: Lyon! Sherry!\Ice Make...\Doll Attack...\Invocation!\Rockiron Powder Explosion!\So much for our wyvern!\Does it even matter what we do next?\Even though they be fake, I cannot admire those that use living things so thoughtlessly... response:	Impressive... Those monkeys were nothing compared to him!
context: Ice Make...\Doll Attack...\Invocation!\Rockiron Powder Explosion!\So much for our wyvern!\Does it even matter what we do next?\Even though they be fake, I cannot admire those that use living things so thoughtlessly...\Impressive... Those monkeys were nothing compared to him! response:	Leave him to me!
context: Doll Attack...\Invocation!\Rockiron Powder Explosion!\So much for our wyvern!\Does it even matter what we do next?\Even though they be fake, I cannot admire those that use living things so thoughtlessly...\Impressive... Those monkeys were nothing compared to him!\Leave him to me! response:	Iron Fist of...
context: Invocation!\Rockiron Powder Explosion!\So much for our wyvern!\Does it even matter what we do next?\Even though they be fake, I cannot admire those that use living things so thoughtlessly...\Impressive... Those monkeys were nothing compared to him!\Leave him to me!\Iron Fist of... response:	Bring it!
context: Rockiron Powder Explosion!\So much for our wyvern!\Does it even matter what we do next?\Even though they be fake, I cannot admire those that use living things so thoughtlessly...\Impressive... Those monkeys were nothing compared to him!\Leave him to me!\Iron Fist of...\Bring it! response:	Wait... Isn't wind the worst match-up for flames?
context: So much for our wyvern!\Does it even matter what we do next?\Even though they be fake, I cannot admire those that use living things so thoughtlessly...\Impressive... Those monkeys were nothing compared to him!\Leave him to me!\Iron Fist of...\Bring it!\Wait... Isn't wind the worst match-up for flames? response:	When it comes to the elements, yes.
context: Does it even matter what we do next?\Even though they be fake, I cannot admire those that use living things so thoughtlessly...\Impressive... Those monkeys were nothing compared to him!\Leave him to me!\Iron Fist of...\Bring it!\Wait... Isn't wind the worst match-up for flames?\When it comes to the elements, yes. response:	The last time they fought it was a pretty tough battle,
context: Even though they be fake, I cannot admire those that use living things so thoughtlessly...\Impressive... Those monkeys were nothing compared to him!\Leave him to me!\Iron Fist of...\Bring it!\Wait... Isn't wind the worst match-up for flames?\When it comes to the elements, yes.\The last time they fought it was a pretty tough battle, response:	but Natsu isn't the same as he was back then.
context: Impressive... Those monkeys were nothing compared to him!\Leave him to me!\Iron Fist of...\Bring it!\Wait... Isn't wind the worst match-up for flames?\When it comes to the elements, yes.\The last time they fought it was a pretty tough battle,\but Natsu isn't the same as he was back then. response:	Wait, this guy's...
context: Leave him to me!\Iron Fist of...\Bring it!\Wait... Isn't wind the worst match-up for flames?\When it comes to the elements, yes.\The last time they fought it was a pretty tough battle,\but Natsu isn't the same as he was back then.\Wait, this guy's... response:	Talons of the Fire Dragon!
context: Iron Fist of...\Bring it!\Wait... Isn't wind the worst match-up for flames?\When it comes to the elements, yes.\The last time they fought it was a pretty tough battle,\but Natsu isn't the same as he was back then.\Wait, this guy's...\Talons of the Fire Dragon! response:	This magical power... Compared to before, it's on a whole other level!
context: Bring it!\Wait... Isn't wind the worst match-up for flames?\When it comes to the elements, yes.\The last time they fought it was a pretty tough battle,\but Natsu isn't the same as he was back then.\Wait, this guy's...\Talons of the Fire Dragon!\This magical power... Compared to before, it's on a whole other level! response:	Brat! You've improved quite a lot!
context: Wait... Isn't wind the worst match-up for flames?\When it comes to the elements, yes.\The last time they fought it was a pretty tough battle,\but Natsu isn't the same as he was back then.\Wait, this guy's...\Talons of the Fire Dragon!\This magical power... Compared to before, it's on a whole other level!\Brat! You've improved quite a lot! response:	Sorry'bout this, Erigor...
context: When it comes to the elements, yes.\The last time they fought it was a pretty tough battle,\but Natsu isn't the same as he was back then.\Wait, this guy's...\Talons of the Fire Dragon!\This magical power... Compared to before, it's on a whole other level!\Brat! You've improved quite a lot!\Sorry'bout this, Erigor... response:	But I gotta crush you pretty soon so I can get on with finding Happy and Wendy.
context: The last time they fought it was a pretty tough battle,\but Natsu isn't the same as he was back then.\Wait, this guy's...\Talons of the Fire Dragon!\This magical power... Compared to before, it's on a whole other level!\Brat! You've improved quite a lot!\Sorry'bout this, Erigor...\But I gotta crush you pretty soon so I can get on with finding Happy and Wendy. response:	Stop talkin' like that'll be so easy, you damn brat!
context: but Natsu isn't the same as he was back then.\Wait, this guy's...\Talons of the Fire Dragon!\This magical power... Compared to before, it's on a whole other level!\Brat! You've improved quite a lot!\Sorry'bout this, Erigor...\But I gotta crush you pretty soon so I can get on with finding Happy and Wendy.\Stop talkin' like that'll be so easy, you damn brat! response:	I'll chop you to pieces!
context: Wait, this guy's...\Talons of the Fire Dragon!\This magical power... Compared to before, it's on a whole other level!\Brat! You've improved quite a lot!\Sorry'bout this, Erigor...\But I gotta crush you pretty soon so I can get on with finding Happy and Wendy.\Stop talkin' like that'll be so easy, you damn brat!\I'll chop you to pieces! response:	Emera Baram!
context: Talons of the Fire Dragon!\This magical power... Compared to before, it's on a whole other level!\Brat! You've improved quite a lot!\Sorry'bout this, Erigor...\But I gotta crush you pretty soon so I can get on with finding Happy and Wendy.\Stop talkin' like that'll be so easy, you damn brat!\I'll chop you to pieces!\Emera Baram! response:	How do you like that destructive power?
context: This magical power... Compared to before, it's on a whole other level!\Brat! You've improved quite a lot!\Sorry'bout this, Erigor...\But I gotta crush you pretty soon so I can get on with finding Happy and Wendy.\Stop talkin' like that'll be so easy, you damn brat!\I'll chop you to pieces!\Emera Baram!\How do you like that destructive power? response:	I haven't been playing around either.
context: Brat! You've improved quite a lot!\Sorry'bout this, Erigor...\But I gotta crush you pretty soon so I can get on with finding Happy and Wendy.\Stop talkin' like that'll be so easy, you damn brat!\I'll chop you to pieces!\Emera Baram!\How do you like that destructive power?\I haven't been playing around either. response:	I've been training to build up my magic power to get revenge on you ever since!
context: Sorry'bout this, Erigor...\But I gotta crush you pretty soon so I can get on with finding Happy and Wendy.\Stop talkin' like that'll be so easy, you damn brat!\I'll chop you to pieces!\Emera Baram!\How do you like that destructive power?\I haven't been playing around either.\I've been training to build up my magic power to get revenge on you ever since! response:	That's so stupid.
context: But I gotta crush you pretty soon so I can get on with finding Happy and Wendy.\Stop talkin' like that'll be so easy, you damn brat!\I'll chop you to pieces!\Emera Baram!\How do you like that destructive power?\I haven't been playing around either.\I've been training to build up my magic power to get revenge on you ever since!\That's so stupid. response:	Revenge, again? You're always so obsessed with little stuff like that, Erigor...
context: Stop talkin' like that'll be so easy, you damn brat!\I'll chop you to pieces!\Emera Baram!\How do you like that destructive power?\I haven't been playing around either.\I've been training to build up my magic power to get revenge on you ever since!\That's so stupid.\Revenge, again? You're always so obsessed with little stuff like that, Erigor... response:	What?!
context: I'll chop you to pieces!\Emera Baram!\How do you like that destructive power?\I haven't been playing around either.\I've been training to build up my magic power to get revenge on you ever since!\That's so stupid.\Revenge, again? You're always so obsessed with little stuff like that, Erigor...\What?! response:	Come on... There's got to be some other reason that gets you fired up...
context: Emera Baram!\How do you like that destructive power?\I haven't been playing around either.\I've been training to build up my magic power to get revenge on you ever since!\That's so stupid.\Revenge, again? You're always so obsessed with little stuff like that, Erigor...\What?!\Come on... There's got to be some other reason that gets you fired up... response:	Yeah, you said it.
context: How do you like that destructive power?\I haven't been playing around either.\I've been training to build up my magic power to get revenge on you ever since!\That's so stupid.\Revenge, again? You're always so obsessed with little stuff like that, Erigor...\What?!\Come on... There's got to be some other reason that gets you fired up...\Yeah, you said it. response:	This isn't about Eisenwald or Oracion Seis anymore...
context: I haven't been playing around either.\I've been training to build up my magic power to get revenge on you ever since!\That's so stupid.\Revenge, again? You're always so obsessed with little stuff like that, Erigor...\What?!\Come on... There's got to be some other reason that gets you fired up...\Yeah, you said it.\This isn't about Eisenwald or Oracion Seis anymore... response:	As I am a lone wizard, I will defeat you!
context: I've been training to build up my magic power to get revenge on you ever since!\That's so stupid.\Revenge, again? You're always so obsessed with little stuff like that, Erigor...\What?!\Come on... There's got to be some other reason that gets you fired up...\Yeah, you said it.\This isn't about Eisenwald or Oracion Seis anymore...\As I am a lone wizard, I will defeat you! response:	Now that's the spirit!
context: That's so stupid.\Revenge, again? You're always so obsessed with little stuff like that, Erigor...\What?!\Come on... There's got to be some other reason that gets you fired up...\Yeah, you said it.\This isn't about Eisenwald or Oracion Seis anymore...\As I am a lone wizard, I will defeat you!\Now that's the spirit! response:	Bring it on!
context: Revenge, again? You're always so obsessed with little stuff like that, Erigor...\What?!\Come on... There's got to be some other reason that gets you fired up...\Yeah, you said it.\This isn't about Eisenwald or Oracion Seis anymore...\As I am a lone wizard, I will defeat you!\Now that's the spirit!\Bring it on! response:	Come on!
context: What?!\Come on... There's got to be some other reason that gets you fired up...\Yeah, you said it.\This isn't about Eisenwald or Oracion Seis anymore...\As I am a lone wizard, I will defeat you!\Now that's the spirit!\Bring it on!\Come on! response:	Take this!
context: Come on... There's got to be some other reason that gets you fired up...\Yeah, you said it.\This isn't about Eisenwald or Oracion Seis anymore...\As I am a lone wizard, I will defeat you!\Now that's the spirit!\Bring it on!\Come on!\Take this! response:	Magic Wind Palm!
context: Yeah, you said it.\This isn't about Eisenwald or Oracion Seis anymore...\As I am a lone wizard, I will defeat you!\Now that's the spirit!\Bring it on!\Come on!\Take this!\Magic Wind Palm! response:	Blazing Fire Dragon Fist!
context: This isn't about Eisenwald or Oracion Seis anymore...\As I am a lone wizard, I will defeat you!\Now that's the spirit!\Bring it on!\Come on!\Take this!\Magic Wind Palm!\Blazing Fire Dragon Fist! response:	Couldn't you have finished that a bit faster, flame-brain?
context: As I am a lone wizard, I will defeat you!\Now that's the spirit!\Bring it on!\Come on!\Take this!\Magic Wind Palm!\Blazing Fire Dragon Fist!\Couldn't you have finished that a bit faster, flame-brain? response:	G-Good going there...
context: Now that's the spirit!\Bring it on!\Come on!\Take this!\Magic Wind Palm!\Blazing Fire Dragon Fist!\Couldn't you have finished that a bit faster, flame-brain?\G-Good going there... response:	So this is the power of Salamander?
context: Bring it on!\Come on!\Take this!\Magic Wind Palm!\Blazing Fire Dragon Fist!\Couldn't you have finished that a bit faster, flame-brain?\G-Good going there...\So this is the power of Salamander? response:	Hey, you! Where are Happy and Wendy?
context: Come on!\Take this!\Magic Wind Palm!\Blazing Fire Dragon Fist!\Couldn't you have finished that a bit faster, flame-brain?\G-Good going there...\So this is the power of Salamander?\Hey, you! Where are Happy and Wendy? response:	This is no time for sleeping!
context: Take this!\Magic Wind Palm!\Blazing Fire Dragon Fist!\Couldn't you have finished that a bit faster, flame-brain?\G-Good going there...\So this is the power of Salamander?\Hey, you! Where are Happy and Wendy?\This is no time for sleeping! response:	Whoa there...
context: Magic Wind Palm!\Blazing Fire Dragon Fist!\Couldn't you have finished that a bit faster, flame-brain?\G-Good going there...\So this is the power of Salamander?\Hey, you! Where are Happy and Wendy?\This is no time for sleeping!\Whoa there... response:	Where is your base?
context: Blazing Fire Dragon Fist!\Couldn't you have finished that a bit faster, flame-brain?\G-Good going there...\So this is the power of Salamander?\Hey, you! Where are Happy and Wendy?\This is no time for sleeping!\Whoa there...\Where is your base? response:	The abandoned village to the west? The village of the ancients?
context: Couldn't you have finished that a bit faster, flame-brain?\G-Good going there...\So this is the power of Salamander?\Hey, you! Where are Happy and Wendy?\This is no time for sleeping!\Whoa there...\Where is your base?\The abandoned village to the west? The village of the ancients? response:	Dug their own grave.
context: G-Good going there...\So this is the power of Salamander?\Hey, you! Where are Happy and Wendy?\This is no time for sleeping!\Whoa there...\Where is your base?\The abandoned village to the west? The village of the ancients?\Dug their own grave. response:	They thought they would beat us, but ended up revealing the location of their base.
context: So this is the power of Salamander?\Hey, you! Where are Happy and Wendy?\This is no time for sleeping!\Whoa there...\Where is your base?\The abandoned village to the west? The village of the ancients?\Dug their own grave.\They thought they would beat us, but ended up revealing the location of their base. response:	Lyon, Sherry... Head to the west.
context: Hey, you! Where are Happy and Wendy?\This is no time for sleeping!\Whoa there...\Where is your base?\The abandoned village to the west? The village of the ancients?\Dug their own grave.\They thought they would beat us, but ended up revealing the location of their base.\Lyon, Sherry... Head to the west. response:	And you, Jura-san?
context: This is no time for sleeping!\Whoa there...\Where is your base?\The abandoned village to the west? The village of the ancients?\Dug their own grave.\They thought they would beat us, but ended up revealing the location of their base.\Lyon, Sherry... Head to the west.\And you, Jura-san? response:	I sense a great magic power.
context: Whoa there...\Where is your base?\The abandoned village to the west? The village of the ancients?\Dug their own grave.\They thought they would beat us, but ended up revealing the location of their base.\Lyon, Sherry... Head to the west.\And you, Jura-san?\I sense a great magic power. response:	One of Oracion Seis?
context: Where is your base?\The abandoned village to the west? The village of the ancients?\Dug their own grave.\They thought they would beat us, but ended up revealing the location of their base.\Lyon, Sherry... Head to the west.\And you, Jura-san?\I sense a great magic power.\One of Oracion Seis? response:	Most likely.
context: The abandoned village to the west? The village of the ancients?\Dug their own grave.\They thought they would beat us, but ended up revealing the location of their base.\Lyon, Sherry... Head to the west.\And you, Jura-san?\I sense a great magic power.\One of Oracion Seis?\Most likely. response:	I will engage them here!
context: Dug their own grave.\They thought they would beat us, but ended up revealing the location of their base.\Lyon, Sherry... Head to the west.\And you, Jura-san?\I sense a great magic power.\One of Oracion Seis?\Most likely.\I will engage them here! response:	I suppose I'll let you off with this for today.
context: They thought they would beat us, but ended up revealing the location of their base.\Lyon, Sherry... Head to the west.\And you, Jura-san?\I sense a great magic power.\One of Oracion Seis?\Most likely.\I will engage them here!\I suppose I'll let you off with this for today. response:	You should feel lucky to be alive, young ones.
context: Lyon, Sherry... Head to the west.\And you, Jura-san?\I sense a great magic power.\One of Oracion Seis?\Most likely.\I will engage them here!\I suppose I'll let you off with this for today.\You should feel lucky to be alive, young ones. response:	So... please save me!
context: And you, Jura-san?\I sense a great magic power.\One of Oracion Seis?\Most likely.\I will engage them here!\I suppose I'll let you off with this for today.\You should feel lucky to be alive, young ones.\So... please save me! response:	Will you shut it, you old fart?
context: I sense a great magic power.\One of Oracion Seis?\Most likely.\I will engage them here!\I suppose I'll let you off with this for today.\You should feel lucky to be alive, young ones.\So... please save me!\Will you shut it, you old fart? response:	I'm only 29!
context: One of Oracion Seis?\Most likely.\I will engage them here!\I suppose I'll let you off with this for today.\You should feel lucky to be alive, young ones.\So... please save me!\Will you shut it, you old fart?\I'm only 29! response:	We told you to shut up.
context: Most likely.\I will engage them here!\I suppose I'll let you off with this for today.\You should feel lucky to be alive, young ones.\So... please save me!\Will you shut it, you old fart?\I'm only 29!\We told you to shut up. response:	Okay! How about this?
context: I will engage them here!\I suppose I'll let you off with this for today.\You should feel lucky to be alive, young ones.\So... please save me!\Will you shut it, you old fart?\I'm only 29!\We told you to shut up.\Okay! How about this? response:	I'll be serious this time... So let's have a fair fight, man to man!
context: I suppose I'll let you off with this for today.\You should feel lucky to be alive, young ones.\So... please save me!\Will you shut it, you old fart?\I'm only 29!\We told you to shut up.\Okay! How about this?\I'll be serious this time... So let's have a fair fight, man to man! response:	Young people these days...
context: You should feel lucky to be alive, young ones.\So... please save me!\Will you shut it, you old fart?\I'm only 29!\We told you to shut up.\Okay! How about this?\I'll be serious this time... So let's have a fair fight, man to man!\Young people these days... response:	Well, you see... When I'm not in front of a woman, I can't really fight for real...
context: So... please save me!\Will you shut it, you old fart?\I'm only 29!\We told you to shut up.\Okay! How about this?\I'll be serious this time... So let's have a fair fight, man to man!\Young people these days...\Well, you see... When I'm not in front of a woman, I can't really fight for real... response:	You know, a skilled hawk should hide its talons and all that...
context: Will you shut it, you old fart?\I'm only 29!\We told you to shut up.\Okay! How about this?\I'll be serious this time... So let's have a fair fight, man to man!\Young people these days...\Well, you see... When I'm not in front of a woman, I can't really fight for real...\You know, a skilled hawk should hide its talons and all that... response:	Shut up, little pig!
context: I'm only 29!\We told you to shut up.\Okay! How about this?\I'll be serious this time... So let's have a fair fight, man to man!\Young people these days...\Well, you see... When I'm not in front of a woman, I can't really fight for real...\You know, a skilled hawk should hide its talons and all that...\Shut up, little pig! response:	Why do we have to bring this guy?
context: We told you to shut up.\Okay! How about this?\I'll be serious this time... So let's have a fair fight, man to man!\Young people these days...\Well, you see... When I'm not in front of a woman, I can't really fight for real...\You know, a skilled hawk should hide its talons and all that...\Shut up, little pig!\Why do we have to bring this guy? response:	Should we just off him?
context: Okay! How about this?\I'll be serious this time... So let's have a fair fight, man to man!\Young people these days...\Well, you see... When I'm not in front of a woman, I can't really fight for real...\You know, a skilled hawk should hide its talons and all that...\Shut up, little pig!\Why do we have to bring this guy?\Should we just off him? response:	You guys should listen to your superiors!
context: I'll be serious this time... So let's have a fair fight, man to man!\Young people these days...\Well, you see... When I'm not in front of a woman, I can't really fight for real...\You know, a skilled hawk should hide its talons and all that...\Shut up, little pig!\Why do we have to bring this guy?\Should we just off him?\You guys should listen to your superiors! response:	Angel-sama forgot to extract some info.
context: Young people these days...\Well, you see... When I'm not in front of a woman, I can't really fight for real...\You know, a skilled hawk should hide its talons and all that...\Shut up, little pig!\Why do we have to bring this guy?\Should we just off him?\You guys should listen to your superiors!\Angel-sama forgot to extract some info. response:	Oh... That copying magic I've heard about?
context: Well, you see... When I'm not in front of a woman, I can't really fight for real...\You know, a skilled hawk should hide its talons and all that...\Shut up, little pig!\Why do we have to bring this guy?\Should we just off him?\You guys should listen to your superiors!\Angel-sama forgot to extract some info.\Oh... That copying magic I've heard about? response:	Let's carry this guy there, quick.
context: You know, a skilled hawk should hide its talons and all that...\Shut up, little pig!\Why do we have to bring this guy?\Should we just off him?\You guys should listen to your superiors!\Angel-sama forgot to extract some info.\Oh... That copying magic I've heard about?\Let's carry this guy there, quick. response:	Men...
context: Shut up, little pig!\Why do we have to bring this guy?\Should we just off him?\You guys should listen to your superiors!\Angel-sama forgot to extract some info.\Oh... That copying magic I've heard about?\Let's carry this guy there, quick.\Men... response:	Here?
context: Why do we have to bring this guy?\Should we just off him?\You guys should listen to your superiors!\Angel-sama forgot to extract some info.\Oh... That copying magic I've heard about?\Let's carry this guy there, quick.\Men...\Here? response:	Happy! Wendy!
context: Should we just off him?\You guys should listen to your superiors!\Angel-sama forgot to extract some info.\Oh... That copying magic I've heard about?\Let's carry this guy there, quick.\Men...\Here?\Happy! Wendy! response:	Wait! There might be enemies here!
context: You guys should listen to your superiors!\Angel-sama forgot to extract some info.\Oh... That copying magic I've heard about?\Let's carry this guy there, quick.\Men...\Here?\Happy! Wendy!\Wait! There might be enemies here! response:	It's Natsu!
context: Angel-sama forgot to extract some info.\Oh... That copying magic I've heard about?\Let's carry this guy there, quick.\Men...\Here?\Happy! Wendy!\Wait! There might be enemies here!\It's Natsu! response:	Racer. Do not let them near.
context: Oh... That copying magic I've heard about?\Let's carry this guy there, quick.\Men...\Here?\Happy! Wendy!\Wait! There might be enemies here!\It's Natsu!\Racer. Do not let them near. response:	OK.
context: Let's carry this guy there, quick.\Men...\Here?\Happy! Wendy!\Wait! There might be enemies here!\It's Natsu!\Racer. Do not let them near.\OK. response:	Damn trash...
context: Men...\Here?\Happy! Wendy!\Wait! There might be enemies here!\It's Natsu!\Racer. Do not let them near.\OK.\Damn trash... response:	It's him again!
context: Here?\Happy! Wendy!\Wait! There might be enemies here!\It's Natsu!\Racer. Do not let them near.\OK.\Damn trash...\It's him again! response:	It is time.
context: Happy! Wendy!\Wait! There might be enemies here!\It's Natsu!\Racer. Do not let them near.\OK.\Damn trash...\It's him again!\It is time. response:	Don't do it, Wendy!
context: Wait! There might be enemies here!\It's Natsu!\Racer. Do not let them near.\OK.\Damn trash...\It's him again!\It is time.\Don't do it, Wendy! response:	The Lost Magic, Healing Magic... If you won't use it now, when would you?
context: It's Natsu!\Racer. Do not let them near.\OK.\Damn trash...\It's him again!\It is time.\Don't do it, Wendy!\The Lost Magic, Healing Magic... If you won't use it now, when would you? response:	Do it!
context: Racer. Do not let them near.\OK.\Damn trash...\It's him again!\It is time.\Don't do it, Wendy!\The Lost Magic, Healing Magic... If you won't use it now, when would you?\Do it! response:	Jellal...
context: OK.\Damn trash...\It's him again!\It is time.\Don't do it, Wendy!\The Lost Magic, Healing Magic... If you won't use it now, when would you?\Do it!\Jellal... response:	I'll handle things here. You hurry and go, Natsu!
