context: A long, long time ago, we gods came down to this world response:	the world of you, our children
context: Maybe it can't be helped, since I'm a goddess nobody's ever heard of.\You get the same blessing no matter\which god you serve, though.\Well, as for me...\I wouldn't mind it being just the two of us for a little longer.\No, no!\It does bother me that I'm making you do all the work alone, though.\Don't worry about it. response:	You're working too, aren't you?
context: You get the same blessing no matter\which god you serve, though.\Well, as for me...\I wouldn't mind it being just the two of us for a little longer.\No, no!\It does bother me that I'm making you do all the work alone, though.\Don't worry about it.\You're working too, aren't you? response:	Tonight you even brought me dinner.
context: which god you serve, though.\Well, as for me...\I wouldn't mind it being just the two of us for a little longer.\No, no!\It does bother me that I'm making you do all the work alone, though.\Don't worry about it.\You're working too, aren't you?\Tonight you even brought me dinner. response:	But this is all I can do...
context: Well, as for me...\I wouldn't mind it being just the two of us for a little longer.\No, no!\It does bother me that I'm making you do all the work alone, though.\Don't worry about it.\You're working too, aren't you?\Tonight you even brought me dinner.\But this is all I can do... response:	I wish I could at least use my divine power, my Arcanum...
context: I wouldn't mind it being just the two of us for a little longer.\No, no!\It does bother me that I'm making you do all the work alone, though.\Don't worry about it.\You're working too, aren't you?\Tonight you even brought me dinner.\But this is all I can do...\I wish I could at least use my divine power, my Arcanum... response:	But there's a rule that says you can't use it on the lower world.
context: No, no!\It does bother me that I'm making you do all the work alone, though.\Don't worry about it.\You're working too, aren't you?\Tonight you even brought me dinner.\But this is all I can do...\I wish I could at least use my divine power, my Arcanum...\But there's a rule that says you can't use it on the lower world. response:	I'm sorry I made you contract with such a useless goddess...
context: It does bother me that I'm making you do all the work alone, though.\Don't worry about it.\You're working too, aren't you?\Tonight you even brought me dinner.\But this is all I can do...\I wish I could at least use my divine power, my Arcanum...\But there's a rule that says you can't use it on the lower world.\I'm sorry I made you contract with such a useless goddess... response:	What are you saying, Goddess?
context: Don't worry about it.\You're working too, aren't you?\Tonight you even brought me dinner.\But this is all I can do...\I wish I could at least use my divine power, my Arcanum...\But there's a rule that says you can't use it on the lower world.\I'm sorry I made you contract with such a useless goddess...\What are you saying, Goddess? response:	Our familia is just getting started!
context: You're working too, aren't you?\Tonight you even brought me dinner.\But this is all I can do...\I wish I could at least use my divine power, my Arcanum...\But there's a rule that says you can't use it on the lower world.\I'm sorry I made you contract with such a useless goddess...\What are you saying, Goddess?\Our familia is just getting started! response:	If we get through this, things are sure to get easier!
context: Tonight you even brought me dinner.\But this is all I can do...\I wish I could at least use my divine power, my Arcanum...\But there's a rule that says you can't use it on the lower world.\I'm sorry I made you contract with such a useless goddess...\What are you saying, Goddess?\Our familia is just getting started!\If we get through this, things are sure to get easier! response:	Okay?
context: But this is all I can do...\I wish I could at least use my divine power, my Arcanum...\But there's a rule that says you can't use it on the lower world.\I'm sorry I made you contract with such a useless goddess...\What are you saying, Goddess?\Our familia is just getting started!\If we get through this, things are sure to get easier!\Okay? response:	Bell!
context: I wish I could at least use my divine power, my Arcanum...\But there's a rule that says you can't use it on the lower world.\I'm sorry I made you contract with such a useless goddess...\What are you saying, Goddess?\Our familia is just getting started!\If we get through this, things are sure to get easier!\Okay?\Bell! response:	Thank you!
context: But there's a rule that says you can't use it on the lower world.\I'm sorry I made you contract with such a useless goddess...\What are you saying, Goddess?\Our familia is just getting started!\If we get through this, things are sure to get easier!\Okay?\Bell!\Thank you! response:	I'm so lucky to have met somebody like you!
context: I'm sorry I made you contract with such a useless goddess...\What are you saying, Goddess?\Our familia is just getting started!\If we get through this, things are sure to get easier!\Okay?\Bell!\Thank you!\I'm so lucky to have met somebody like you! response:	Okay, let's upgrade your status and make ourselves better future!
context: What are you saying, Goddess?\Our familia is just getting started!\If we get through this, things are sure to get easier!\Okay?\Bell!\Thank you!\I'm so lucky to have met somebody like you!\Okay, let's upgrade your status and make ourselves better future! response:	Yes, Goddess!
context: Our familia is just getting started!\If we get through this, things are sure to get easier!\Okay?\Bell!\Thank you!\I'm so lucky to have met somebody like you!\Okay, let's upgrade your status and make ourselves better future!\Yes, Goddess! response:	Bell, you're too idealistic about the dungeon.
context: If we get through this, things are sure to get easier!\Okay?\Bell!\Thank you!\I'm so lucky to have met somebody like you!\Okay, let's upgrade your status and make ourselves better future!\Yes, Goddess!\Bell, you're too idealistic about the dungeon. response:	You'll never pick up the girls you're looking for in a brutal place like that.
context: Okay?\Bell!\Thank you!\I'm so lucky to have met somebody like you!\Okay, let's upgrade your status and make ourselves better future!\Yes, Goddess!\Bell, you're too idealistic about the dungeon.\You'll never pick up the girls you're looking for in a brutal place like that. response:	Like this Aiz Wallenstein girl...
context: Bell!\Thank you!\I'm so lucky to have met somebody like you!\Okay, let's upgrade your status and make ourselves better future!\Yes, Goddess!\Bell, you're too idealistic about the dungeon.\You'll never pick up the girls you're looking for in a brutal place like that.\Like this Aiz Wallenstein girl... response:	If she's that strong and that beautiful,
context: Thank you!\I'm so lucky to have met somebody like you!\Okay, let's upgrade your status and make ourselves better future!\Yes, Goddess!\Bell, you're too idealistic about the dungeon.\You'll never pick up the girls you're looking for in a brutal place like that.\Like this Aiz Wallenstein girl...\If she's that strong and that beautiful, response:	there'll be other guys after her, too!
context: I'm so lucky to have met somebody like you!\Okay, let's upgrade your status and make ourselves better future!\Yes, Goddess!\Bell, you're too idealistic about the dungeon.\You'll never pick up the girls you're looking for in a brutal place like that.\Like this Aiz Wallenstein girl...\If she's that strong and that beautiful,\there'll be other guys after her, too! response:	She's sure to have a man or two she likes already.
context: Okay, let's upgrade your status and make ourselves better future!\Yes, Goddess!\Bell, you're too idealistic about the dungeon.\You'll never pick up the girls you're looking for in a brutal place like that.\Like this Aiz Wallenstein girl...\If she's that strong and that beautiful,\there'll be other guys after her, too!\She's sure to have a man or two she likes already. response:	Are you upset for some reason, Goddess?
context: Yes, Goddess!\Bell, you're too idealistic about the dungeon.\You'll never pick up the girls you're looking for in a brutal place like that.\Like this Aiz Wallenstein girl...\If she's that strong and that beautiful,\there'll be other guys after her, too!\She's sure to have a man or two she likes already.\Are you upset for some reason, Goddess? response:	I most certainly am not!
context: Bell, you're too idealistic about the dungeon.\You'll never pick up the girls you're looking for in a brutal place like that.\Like this Aiz Wallenstein girl...\If she's that strong and that beautiful,\there'll be other guys after her, too!\She's sure to have a man or two she likes already.\Are you upset for some reason, Goddess?\I most certainly am not! response:	Is something wrong?
context: You'll never pick up the girls you're looking for in a brutal place like that.\Like this Aiz Wallenstein girl...\If she's that strong and that beautiful,\there'll be other guys after her, too!\She's sure to have a man or two she likes already.\Are you upset for some reason, Goddess?\I most certainly am not!\Is something wrong? response:	No!
context: Like this Aiz Wallenstein girl...\If she's that strong and that beautiful,\there'll be other guys after her, too!\She's sure to have a man or two she likes already.\Are you upset for some reason, Goddess?\I most certainly am not!\Is something wrong?\No! response:	Listen, Bell.
context: If she's that strong and that beautiful,\there'll be other guys after her, too!\She's sure to have a man or two she likes already.\Are you upset for some reason, Goddess?\I most certainly am not!\Is something wrong?\No!\Listen, Bell. response:	You need to pay more attention to what's around you.
context: there'll be other guys after her, too!\She's sure to have a man or two she likes already.\Are you upset for some reason, Goddess?\I most certainly am not!\Is something wrong?\No!\Listen, Bell.\You need to pay more attention to what's around you. response:	The girls you're looking for might be right in front of you!
context: She's sure to have a man or two she likes already.\Are you upset for some reason, Goddess?\I most certainly am not!\Is something wrong?\No!\Listen, Bell.\You need to pay more attention to what's around you.\The girls you're looking for might be right in front of you! response:	In fact, you've already met a wonderful girl
context: Are you upset for some reason, Goddess?\I most certainly am not!\Is something wrong?\No!\Listen, Bell.\You need to pay more attention to what's around you.\The girls you're looking for might be right in front of you!\In fact, you've already met a wonderful girl response:	who'll love you and hold you gently!
context: I most certainly am not!\Is something wrong?\No!\Listen, Bell.\You need to pay more attention to what's around you.\The girls you're looking for might be right in front of you!\In fact, you've already met a wonderful girl\who'll love you and hold you gently! response:	I'm sure of it.
context: Is something wrong?\No!\Listen, Bell.\You need to pay more attention to what's around you.\The girls you're looking for might be right in front of you!\In fact, you've already met a wonderful girl\who'll love you and hold you gently!\I'm sure of it. response:	Have I really?
context: No!\Listen, Bell.\You need to pay more attention to what's around you.\The girls you're looking for might be right in front of you!\In fact, you've already met a wonderful girl\who'll love you and hold you gently!\I'm sure of it.\Have I really? response:	Well, since she's in the Loki Familia,
context: Listen, Bell.\You need to pay more attention to what's around you.\The girls you're looking for might be right in front of you!\In fact, you've already met a wonderful girl\who'll love you and hold you gently!\I'm sure of it.\Have I really?\Well, since she's in the Loki Familia, response:	there's no way you could marry that Wallenwhatsit girl.
context: You need to pay more attention to what's around you.\The girls you're looking for might be right in front of you!\In fact, you've already met a wonderful girl\who'll love you and hold you gently!\I'm sure of it.\Have I really?\Well, since she's in the Loki Familia,\there's no way you could marry that Wallenwhatsit girl. response:	You should forget about that girl,
context: The girls you're looking for might be right in front of you!\In fact, you've already met a wonderful girl\who'll love you and hold you gently!\I'm sure of it.\Have I really?\Well, since she's in the Loki Familia,\there's no way you could marry that Wallenwhatsit girl.\You should forget about that girl, response:	and look for the happiness that's right in front of you.
context: In fact, you've already met a wonderful girl\who'll love you and hold you gently!\I'm sure of it.\Have I really?\Well, since she's in the Loki Familia,\there's no way you could marry that Wallenwhatsit girl.\You should forget about that girl,\and look for the happiness that's right in front of you. response:	You're really mean, Goddess.
context: who'll love you and hold you gently!\I'm sure of it.\Have I really?\Well, since she's in the Loki Familia,\there's no way you could marry that Wallenwhatsit girl.\You should forget about that girl,\and look for the happiness that's right in front of you.\You're really mean, Goddess. response:	My agility's gone up a lot!
context: I'm sure of it.\Have I really?\Well, since she's in the Loki Familia,\there's no way you could marry that Wallenwhatsit girl.\You should forget about that girl,\and look for the happiness that's right in front of you.\You're really mean, Goddess.\My agility's gone up a lot! response:	Yeah.
context: Have I really?\Well, since she's in the Loki Familia,\there's no way you could marry that Wallenwhatsit girl.\You should forget about that girl,\and look for the happiness that's right in front of you.\You're really mean, Goddess.\My agility's gone up a lot!\Yeah. response:	Probably because you had that minotaur chasing you around.
context: Well, since she's in the Loki Familia,\there's no way you could marry that Wallenwhatsit girl.\You should forget about that girl,\and look for the happiness that's right in front of you.\You're really mean, Goddess.\My agility's gone up a lot!\Yeah.\Probably because you had that minotaur chasing you around. response:	And my magic power is still zero, huh?
context: there's no way you could marry that Wallenwhatsit girl.\You should forget about that girl,\and look for the happiness that's right in front of you.\You're really mean, Goddess.\My agility's gone up a lot!\Yeah.\Probably because you had that minotaur chasing you around.\And my magic power is still zero, huh? response:	Am I ever going to be able to use magic?
context: You should forget about that girl,\and look for the happiness that's right in front of you.\You're really mean, Goddess.\My agility's gone up a lot!\Yeah.\Probably because you had that minotaur chasing you around.\And my magic power is still zero, huh?\Am I ever going to be able to use magic? response:	I don't know that myself.
context: and look for the happiness that's right in front of you.\You're really mean, Goddess.\My agility's gone up a lot!\Yeah.\Probably because you had that minotaur chasing you around.\And my magic power is still zero, huh?\Am I ever going to be able to use magic?\I don't know that myself. response:	Goddess!
context: You're really mean, Goddess.\My agility's gone up a lot!\Yeah.\Probably because you had that minotaur chasing you around.\And my magic power is still zero, huh?\Am I ever going to be able to use magic?\I don't know that myself.\Goddess! response:	What's with the line on the page for skills?
context: My agility's gone up a lot!\Yeah.\Probably because you had that minotaur chasing you around.\And my magic power is still zero, huh?\Am I ever going to be able to use magic?\I don't know that myself.\Goddess!\What's with the line on the page for skills? response:	Oh, my finger slipped a little.
context: Yeah.\Probably because you had that minotaur chasing you around.\And my magic power is still zero, huh?\Am I ever going to be able to use magic?\I don't know that myself.\Goddess!\What's with the line on the page for skills?\Oh, my finger slipped a little. response:	It's empty, like always.
context: Probably because you had that minotaur chasing you around.\And my magic power is still zero, huh?\Am I ever going to be able to use magic?\I don't know that myself.\Goddess!\What's with the line on the page for skills?\Oh, my finger slipped a little.\It's empty, like always. response:	Of course it is.
context: And my magic power is still zero, huh?\Am I ever going to be able to use magic?\I don't know that myself.\Goddess!\What's with the line on the page for skills?\Oh, my finger slipped a little.\It's empty, like always.\Of course it is. response:	I just wish there were some way I could get stronger quickly.
context: Am I ever going to be able to use magic?\I don't know that myself.\Goddess!\What's with the line on the page for skills?\Oh, my finger slipped a little.\It's empty, like always.\Of course it is.\I just wish there were some way I could get stronger quickly. response:	The children in the lower world change so easily.
context: I don't know that myself.\Goddess!\What's with the line on the page for skills?\Oh, my finger slipped a little.\It's empty, like always.\Of course it is.\I just wish there were some way I could get stronger quickly.\The children in the lower world change so easily. response:	We gods, on the other hand, are unchanging.
context: Goddess!\What's with the line on the page for skills?\Oh, my finger slipped a little.\It's empty, like always.\Of course it is.\I just wish there were some way I could get stronger quickly.\The children in the lower world change so easily.\We gods, on the other hand, are unchanging. response:	Realis Phrase.
context: What's with the line on the page for skills?\Oh, my finger slipped a little.\It's empty, like always.\Of course it is.\I just wish there were some way I could get stronger quickly.\The children in the lower world change so easily.\We gods, on the other hand, are unchanging.\Realis Phrase. response:	To grow quickly.
context: Oh, my finger slipped a little.\It's empty, like always.\Of course it is.\I just wish there were some way I could get stronger quickly.\The children in the lower world change so easily.\We gods, on the other hand, are unchanging.\Realis Phrase.\To grow quickly. response:	As long as his feelings remain, it'll stay in effect.
context: It's empty, like always.\Of course it is.\I just wish there were some way I could get stronger quickly.\The children in the lower world change so easily.\We gods, on the other hand, are unchanging.\Realis Phrase.\To grow quickly.\As long as his feelings remain, it'll stay in effect. response:	And the stronger his feelings, the more its effects grow.
context: Of course it is.\I just wish there were some way I could get stronger quickly.\The children in the lower world change so easily.\We gods, on the other hand, are unchanging.\Realis Phrase.\To grow quickly.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow. response:	Congratulations, Bell.
context: I just wish there were some way I could get stronger quickly.\The children in the lower world change so easily.\We gods, on the other hand, are unchanging.\Realis Phrase.\To grow quickly.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Congratulations, Bell. response:	You finally have a skill.
context: The children in the lower world change so easily.\We gods, on the other hand, are unchanging.\Realis Phrase.\To grow quickly.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Congratulations, Bell.\You finally have a skill. response:	But it bugs me that it was somebody else that changed you!
context: We gods, on the other hand, are unchanging.\Realis Phrase.\To grow quickly.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Congratulations, Bell.\You finally have a skill.\But it bugs me that it was somebody else that changed you! response:	I'm off, Goddess.
context: Realis Phrase.\To grow quickly.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Congratulations, Bell.\You finally have a skill.\But it bugs me that it was somebody else that changed you!\I'm off, Goddess. response:	Stupid Bell...
context: To grow quickly.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Congratulations, Bell.\You finally have a skill.\But it bugs me that it was somebody else that changed you!\I'm off, Goddess.\Stupid Bell... response:	That was close.
context: As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Congratulations, Bell.\You finally have a skill.\But it bugs me that it was somebody else that changed you!\I'm off, Goddess.\Stupid Bell...\That was close. response:	Maybe she was still half-asleep.
context: And the stronger his feelings, the more its effects grow.\Congratulations, Bell.\You finally have a skill.\But it bugs me that it was somebody else that changed you!\I'm off, Goddess.\Stupid Bell...\That was close.\Maybe she was still half-asleep. response:	What was that?
context: Congratulations, Bell.\You finally have a skill.\But it bugs me that it was somebody else that changed you!\I'm off, Goddess.\Stupid Bell...\That was close.\Maybe she was still half-asleep.\What was that? response:	Um...
context: You finally have a skill.\But it bugs me that it was somebody else that changed you!\I'm off, Goddess.\Stupid Bell...\That was close.\Maybe she was still half-asleep.\What was that?\Um... response:	Oh, I'm sorry.
context: But it bugs me that it was somebody else that changed you!\I'm off, Goddess.\Stupid Bell...\That was close.\Maybe she was still half-asleep.\What was that?\Um...\Oh, I'm sorry. response:	Do you need something?
context: I'm off, Goddess.\Stupid Bell...\That was close.\Maybe she was still half-asleep.\What was that?\Um...\Oh, I'm sorry.\Do you need something? response:	Um... you dropped this.
context: Stupid Bell...\That was close.\Maybe she was still half-asleep.\What was that?\Um...\Oh, I'm sorry.\Do you need something?\Um... you dropped this. response:	A magic stone?
context: That was close.\Maybe she was still half-asleep.\What was that?\Um...\Oh, I'm sorry.\Do you need something?\Um... you dropped this.\A magic stone? response:	I thought I traded them all in yesterday...
context: Maybe she was still half-asleep.\What was that?\Um...\Oh, I'm sorry.\Do you need something?\Um... you dropped this.\A magic stone?\I thought I traded them all in yesterday... response:	Excuse me. Thank you very much.
context: What was that?\Um...\Oh, I'm sorry.\Do you need something?\Um... you dropped this.\A magic stone?\I thought I traded them all in yesterday...\Excuse me. Thank you very much. response:	You're an adventurer, right?
context: Um...\Oh, I'm sorry.\Do you need something?\Um... you dropped this.\A magic stone?\I thought I traded them all in yesterday...\Excuse me. Thank you very much.\You're an adventurer, right? response:	You're heading into the dungeon this early?
context: Oh, I'm sorry.\Do you need something?\Um... you dropped this.\A magic stone?\I thought I traded them all in yesterday...\Excuse me. Thank you very much.\You're an adventurer, right?\You're heading into the dungeon this early? response:	Yes, I guess.
context: Do you need something?\Um... you dropped this.\A magic stone?\I thought I traded them all in yesterday...\Excuse me. Thank you very much.\You're an adventurer, right?\You're heading into the dungeon this early?\Yes, I guess. response:	It's not much, but...
context: Um... you dropped this.\A magic stone?\I thought I traded them all in yesterday...\Excuse me. Thank you very much.\You're an adventurer, right?\You're heading into the dungeon this early?\Yes, I guess.\It's not much, but... response:	I couldn't, though...
context: A magic stone?\I thought I traded them all in yesterday...\Excuse me. Thank you very much.\You're an adventurer, right?\You're heading into the dungeon this early?\Yes, I guess.\It's not much, but...\I couldn't, though... response:	I can't take a lunch from somebody I've never met!
context: I thought I traded them all in yesterday...\Excuse me. Thank you very much.\You're an adventurer, right?\You're heading into the dungeon this early?\Yes, I guess.\It's not much, but...\I couldn't, though...\I can't take a lunch from somebody I've never met! response:	And isn't this your breakfast?
context: Excuse me. Thank you very much.\You're an adventurer, right?\You're heading into the dungeon this early?\Yes, I guess.\It's not much, but...\I couldn't, though...\I can't take a lunch from somebody I've never met!\And isn't this your breakfast? response:	Don't worry about it.
context: You're an adventurer, right?\You're heading into the dungeon this early?\Yes, I guess.\It's not much, but...\I couldn't, though...\I can't take a lunch from somebody I've never met!\And isn't this your breakfast?\Don't worry about it. response:	There'll be something for me to eat once the pub opens.
context: You're heading into the dungeon this early?\Yes, I guess.\It's not much, but...\I couldn't, though...\I can't take a lunch from somebody I've never met!\And isn't this your breakfast?\Don't worry about it.\There'll be something for me to eat once the pub opens. response:	B-But...
context: Yes, I guess.\It's not much, but...\I couldn't, though...\I can't take a lunch from somebody I've never met!\And isn't this your breakfast?\Don't worry about it.\There'll be something for me to eat once the pub opens.\B-But... response:	In exchange...
context: It's not much, but...\I couldn't, though...\I can't take a lunch from somebody I've never met!\And isn't this your breakfast?\Don't worry about it.\There'll be something for me to eat once the pub opens.\B-But...\In exchange... response:	Make sure you come eat here tonight!
context: I couldn't, though...\I can't take a lunch from somebody I've never met!\And isn't this your breakfast?\Don't worry about it.\There'll be something for me to eat once the pub opens.\B-But...\In exchange...\Make sure you come eat here tonight! response:	It's a promise!
context: I can't take a lunch from somebody I've never met!\And isn't this your breakfast?\Don't worry about it.\There'll be something for me to eat once the pub opens.\B-But...\In exchange...\Make sure you come eat here tonight!\It's a promise! response:	Is that not okay?
context: And isn't this your breakfast?\Don't worry about it.\There'll be something for me to eat once the pub opens.\B-But...\In exchange...\Make sure you come eat here tonight!\It's a promise!\Is that not okay? response:	O-Okay...
context: Don't worry about it.\There'll be something for me to eat once the pub opens.\B-But...\In exchange...\Make sure you come eat here tonight!\It's a promise!\Is that not okay?\O-Okay... response:	Thank you.
context: There'll be something for me to eat once the pub opens.\B-But...\In exchange...\Make sure you come eat here tonight!\It's a promise!\Is that not okay?\O-Okay...\Thank you. response:	How long would I have to
context: B-But...\In exchange...\Make sure you come eat here tonight!\It's a promise!\Is that not okay?\O-Okay...\Thank you.\How long would I have to response:	keep doing this to catch up to Miss Aiz?
context: In exchange...\Make sure you come eat here tonight!\It's a promise!\Is that not okay?\O-Okay...\Thank you.\How long would I have to\keep doing this to catch up to Miss Aiz? response:	Miss Eina tells me that it's important
context: Make sure you come eat here tonight!\It's a promise!\Is that not okay?\O-Okay...\Thank you.\How long would I have to\keep doing this to catch up to Miss Aiz?\Miss Eina tells me that it's important response:	to take my time and learn the basics, but...
context: It's a promise!\Is that not okay?\O-Okay...\Thank you.\How long would I have to\keep doing this to catch up to Miss Aiz?\Miss Eina tells me that it's important\to take my time and learn the basics, but... response:	An item drop?
context: Is that not okay?\O-Okay...\Thank you.\How long would I have to\keep doing this to catch up to Miss Aiz?\Miss Eina tells me that it's important\to take my time and learn the basics, but...\An item drop? response:	Lucky me.
context: O-Okay...\Thank you.\How long would I have to\keep doing this to catch up to Miss Aiz?\Miss Eina tells me that it's important\to take my time and learn the basics, but...\An item drop?\Lucky me. response:	There's so many...
context: Thank you.\How long would I have to\keep doing this to catch up to Miss Aiz?\Miss Eina tells me that it's important\to take my time and learn the basics, but...\An item drop?\Lucky me.\There's so many... response:	Should I run? But...
context: How long would I have to\keep doing this to catch up to Miss Aiz?\Miss Eina tells me that it's important\to take my time and learn the basics, but...\An item drop?\Lucky me.\There's so many...\Should I run? But... response:	Please, Bell!
context: keep doing this to catch up to Miss Aiz?\Miss Eina tells me that it's important\to take my time and learn the basics, but...\An item drop?\Lucky me.\There's so many...\Should I run? But...\Please, Bell! response:	Fight!
context: Miss Eina tells me that it's important\to take my time and learn the basics, but...\An item drop?\Lucky me.\There's so many...\Should I run? But...\Please, Bell!\Fight! response:	I-I'll do it!
context: to take my time and learn the basics, but...\An item drop?\Lucky me.\There's so many...\Should I run? But...\Please, Bell!\Fight!\I-I'll do it! response:	Goddess, are you sure this is right?
context: An item drop?\Lucky me.\There's so many...\Should I run? But...\Please, Bell!\Fight!\I-I'll do it!\Goddess, are you sure this is right? response:	My ability scores went up over a total of 160 points?
context: Lucky me.\There's so many...\Should I run? But...\Please, Bell!\Fight!\I-I'll do it!\Goddess, are you sure this is right?\My ability scores went up over a total of 160 points? response:	And look, I only got hit once and my vitality went up by 30 points!
context: There's so many...\Should I run? But...\Please, Bell!\Fight!\I-I'll do it!\Goddess, are you sure this is right?\My ability scores went up over a total of 160 points?\And look, I only got hit once and my vitality went up by 30 points! response:	And my strength and dexterity, too!
context: Should I run? But...\Please, Bell!\Fight!\I-I'll do it!\Goddess, are you sure this is right?\My ability scores went up over a total of 160 points?\And look, I only got hit once and my vitality went up by 30 points!\And my strength and dexterity, too! response:	This has never happened before!
context: Please, Bell!\Fight!\I-I'll do it!\Goddess, are you sure this is right?\My ability scores went up over a total of 160 points?\And look, I only got hit once and my vitality went up by 30 points!\And my strength and dexterity, too!\This has never happened before! response:	G-Goddess?
context: Fight!\I-I'll do it!\Goddess, are you sure this is right?\My ability scores went up over a total of 160 points?\And look, I only got hit once and my vitality went up by 30 points!\And my strength and dexterity, too!\This has never happened before!\G-Goddess? response:	Um...
context: I-I'll do it!\Goddess, are you sure this is right?\My ability scores went up over a total of 160 points?\And look, I only got hit once and my vitality went up by 30 points!\And my strength and dexterity, too!\This has never happened before!\G-Goddess?\Um... response:	Well...
context: Goddess, are you sure this is right?\My ability scores went up over a total of 160 points?\And look, I only got hit once and my vitality went up by 30 points!\And my strength and dexterity, too!\This has never happened before!\G-Goddess?\Um...\Well... response:	So, well...
context: My ability scores went up over a total of 160 points?\And look, I only got hit once and my vitality went up by 30 points!\And my strength and dexterity, too!\This has never happened before!\G-Goddess?\Um...\Well...\So, well... response:	Why did I grow so much, so quickly?
context: And look, I only got hit once and my vitality went up by 30 points!\And my strength and dexterity, too!\This has never happened before!\G-Goddess?\Um...\Well...\So, well...\Why did I grow so much, so quickly? response:	Don't ask me!
context: And my strength and dexterity, too!\This has never happened before!\G-Goddess?\Um...\Well...\So, well...\Why did I grow so much, so quickly?\Don't ask me! response:	Goddess?
context: This has never happened before!\G-Goddess?\Um...\Well...\So, well...\Why did I grow so much, so quickly?\Don't ask me!\Goddess? response:	Goddess?
context: G-Goddess?\Um...\Well...\So, well...\Why did I grow so much, so quickly?\Don't ask me!\Goddess?\Goddess? response:	Goddess?
context: Um...\Well...\So, well...\Why did I grow so much, so quickly?\Don't ask me!\Goddess?\Goddess?\Goddess? response:	Where are you going?
context: Well...\So, well...\Why did I grow so much, so quickly?\Don't ask me!\Goddess?\Goddess?\Goddess?\Where are you going? response:	A-A party with my co-workers!
context: So, well...\Why did I grow so much, so quickly?\Don't ask me!\Goddess?\Goddess?\Goddess?\Where are you going?\A-A party with my co-workers! response:	You can go have a
context: Why did I grow so much, so quickly?\Don't ask me!\Goddess?\Goddess?\Goddess?\Where are you going?\A-A party with my co-workers!\You can go have a response:	wonderful dinner and a great time all by yourself!
context: Don't ask me!\Goddess?\Goddess?\Goddess?\Where are you going?\A-A party with my co-workers!\You can go have a\wonderful dinner and a great time all by yourself! response:	Goddess?
context: Goddess?\Goddess?\Goddess?\Where are you going?\A-A party with my co-workers!\You can go have a\wonderful dinner and a great time all by yourself!\Goddess? response:	What's with Bell?
context: Goddess?\Goddess?\Where are you going?\A-A party with my co-workers!\You can go have a\wonderful dinner and a great time all by yourself!\Goddess?\What's with Bell? response:	I can't believe he grew so much because of that skill...
context: Goddess?\Where are you going?\A-A party with my co-workers!\You can go have a\wonderful dinner and a great time all by yourself!\Goddess?\What's with Bell?\I can't believe he grew so much because of that skill... response:	Does he like that Wallenwhatsit girl that much?
context: Where are you going?\A-A party with my co-workers!\You can go have a\wonderful dinner and a great time all by yourself!\Goddess?\What's with Bell?\I can't believe he grew so much because of that skill...\Does he like that Wallenwhatsit girl that much? response:	But he's got me already!
context: A-A party with my co-workers!\You can go have a\wonderful dinner and a great time all by yourself!\Goddess?\What's with Bell?\I can't believe he grew so much because of that skill...\Does he like that Wallenwhatsit girl that much?\But he's got me already! response:	Cheers!
context: You can go have a\wonderful dinner and a great time all by yourself!\Goddess?\What's with Bell?\I can't believe he grew so much because of that skill...\Does he like that Wallenwhatsit girl that much?\But he's got me already!\Cheers! response:	The Benevolent Mistress...
context: wonderful dinner and a great time all by yourself!\Goddess?\What's with Bell?\I can't believe he grew so much because of that skill...\Does he like that Wallenwhatsit girl that much?\But he's got me already!\Cheers!\The Benevolent Mistress... response:	You're that adventurer!
context: Goddess?\What's with Bell?\I can't believe he grew so much because of that skill...\Does he like that Wallenwhatsit girl that much?\But he's got me already!\Cheers!\The Benevolent Mistress...\You're that adventurer! response:	You came!
context: What's with Bell?\I can't believe he grew so much because of that skill...\Does he like that Wallenwhatsit girl that much?\But he's got me already!\Cheers!\The Benevolent Mistress...\You're that adventurer!\You came! response:	Yes.
context: I can't believe he grew so much because of that skill...\Does he like that Wallenwhatsit girl that much?\But he's got me already!\Cheers!\The Benevolent Mistress...\You're that adventurer!\You came!\Yes. response:	I haven't introduced myself.
context: Does he like that Wallenwhatsit girl that much?\But he's got me already!\Cheers!\The Benevolent Mistress...\You're that adventurer!\You came!\Yes.\I haven't introduced myself. response:	My name is Syr Flover.
context: But he's got me already!\Cheers!\The Benevolent Mistress...\You're that adventurer!\You came!\Yes.\I haven't introduced myself.\My name is Syr Flover. response:	So you're Syr's friend?
context: Cheers!\The Benevolent Mistress...\You're that adventurer!\You came!\Yes.\I haven't introduced myself.\My name is Syr Flover.\So you're Syr's friend? response:	You're pretty cute, for an adventurer.
context: The Benevolent Mistress...\You're that adventurer!\You came!\Yes.\I haven't introduced myself.\My name is Syr Flover.\So you're Syr's friend?\You're pretty cute, for an adventurer. response:	Please leave me alone.
