context: You're strong! Enough that I would even say marvelously so. response:	Why, thank you.
context: Is this for real? Are we actually going to Planet Namek!?\Yamucha-sama!\(Amidha sutra)\Is everyone ready for this? It's about time for the countdown.\1 0... 9...\Blast-off!\Here it goes...\Y- Y- Yamucha-sama! response:	Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!?
context: Yamucha-sama!\(Amidha sutra)\Is everyone ready for this? It's about time for the countdown.\1 0... 9...\Blast-off!\Here it goes...\Y- Y- Yamucha-sama!\Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!? response:	Hey, forgive me, forgive me. I made a mistake!
context: (Amidha sutra)\Is everyone ready for this? It's about time for the countdown.\1 0... 9...\Blast-off!\Here it goes...\Y- Y- Yamucha-sama!\Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!?\Hey, forgive me, forgive me. I made a mistake! response:	Your speed is too low! Anyone can see that!
context: Is everyone ready for this? It's about time for the countdown.\1 0... 9...\Blast-off!\Here it goes...\Y- Y- Yamucha-sama!\Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!?\Hey, forgive me, forgive me. I made a mistake!\Your speed is too low! Anyone can see that! response:	What's the matter? Never mind half my max power, I'm not even using a third!
context: 1 0... 9...\Blast-off!\Here it goes...\Y- Y- Yamucha-sama!\Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!?\Hey, forgive me, forgive me. I made a mistake!\Your speed is too low! Anyone can see that!\What's the matter? Never mind half my max power, I'm not even using a third! response:	Serves you right!
context: Blast-off!\Here it goes...\Y- Y- Yamucha-sama!\Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!?\Hey, forgive me, forgive me. I made a mistake!\Your speed is too low! Anyone can see that!\What's the matter? Never mind half my max power, I'm not even using a third!\Serves you right! response:	Looks like you're finally starting to get a little winded.
context: Here it goes...\Y- Y- Yamucha-sama!\Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!?\Hey, forgive me, forgive me. I made a mistake!\Your speed is too low! Anyone can see that!\What's the matter? Never mind half my max power, I'm not even using a third!\Serves you right!\Looks like you're finally starting to get a little winded. response:	Then again, it's amazing you haven't died yet.
context: Y- Y- Yamucha-sama!\Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!?\Hey, forgive me, forgive me. I made a mistake!\Your speed is too low! Anyone can see that!\What's the matter? Never mind half my max power, I'm not even using a third!\Serves you right!\Looks like you're finally starting to get a little winded.\Then again, it's amazing you haven't died yet. response:	l- It's no use. He's too strong!
context: Lemme off! I don't wanna die yet! Lemme off! Lemme off,'kay!?'Kay!?\Hey, forgive me, forgive me. I made a mistake!\Your speed is too low! Anyone can see that!\What's the matter? Never mind half my max power, I'm not even using a third!\Serves you right!\Looks like you're finally starting to get a little winded.\Then again, it's amazing you haven't died yet.\l- It's no use. He's too strong! response:	To think he's this strong...!
context: Hey, forgive me, forgive me. I made a mistake!\Your speed is too low! Anyone can see that!\What's the matter? Never mind half my max power, I'm not even using a third!\Serves you right!\Looks like you're finally starting to get a little winded.\Then again, it's amazing you haven't died yet.\l- It's no use. He's too strong!\To think he's this strong...! response:	Kaio-sama, Goku is still wearing that heavy gi, isn't he?
context: Your speed is too low! Anyone can see that!\What's the matter? Never mind half my max power, I'm not even using a third!\Serves you right!\Looks like you're finally starting to get a little winded.\Then again, it's amazing you haven't died yet.\l- It's no use. He's too strong!\To think he's this strong...!\Kaio-sama, Goku is still wearing that heavy gi, isn't he? response:	What he has on now is only tough, it's not heavy.
context: What's the matter? Never mind half my max power, I'm not even using a third!\Serves you right!\Looks like you're finally starting to get a little winded.\Then again, it's amazing you haven't died yet.\l- It's no use. He's too strong!\To think he's this strong...!\Kaio-sama, Goku is still wearing that heavy gi, isn't he?\What he has on now is only tough, it's not heavy. response:	l- I see...
context: Serves you right!\Looks like you're finally starting to get a little winded.\Then again, it's amazing you haven't died yet.\l- It's no use. He's too strong!\To think he's this strong...!\Kaio-sama, Goku is still wearing that heavy gi, isn't he?\What he has on now is only tough, it's not heavy.\l- I see... response:	O- Oh no! Is there anything else?
context: Looks like you're finally starting to get a little winded.\Then again, it's amazing you haven't died yet.\l- It's no use. He's too strong!\To think he's this strong...!\Kaio-sama, Goku is still wearing that heavy gi, isn't he?\What he has on now is only tough, it's not heavy.\l- I see...\O- Oh no! Is there anything else? response:	Goku...
context: Then again, it's amazing you haven't died yet.\l- It's no use. He's too strong!\To think he's this strong...!\Kaio-sama, Goku is still wearing that heavy gi, isn't he?\What he has on now is only tough, it's not heavy.\l- I see...\O- Oh no! Is there anything else?\Goku... response:	There's nothing to worry about, Chaozu!
context: l- It's no use. He's too strong!\To think he's this strong...!\Kaio-sama, Goku is still wearing that heavy gi, isn't he?\What he has on now is only tough, it's not heavy.\l- I see...\O- Oh no! Is there anything else?\Goku...\There's nothing to worry about, Chaozu! response:	Goku is going to win this fight!
context: To think he's this strong...!\Kaio-sama, Goku is still wearing that heavy gi, isn't he?\What he has on now is only tough, it's not heavy.\l- I see...\O- Oh no! Is there anything else?\Goku...\There's nothing to worry about, Chaozu!\Goku is going to win this fight! response:	Aren't you forgetting about the Kaio-ken technique?
context: Kaio-sama, Goku is still wearing that heavy gi, isn't he?\What he has on now is only tough, it's not heavy.\l- I see...\O- Oh no! Is there anything else?\Goku...\There's nothing to worry about, Chaozu!\Goku is going to win this fight!\Aren't you forgetting about the Kaio-ken technique? response:	With Goku as he is now, he should be able to withstand as much as ten times his regular power!
context: What he has on now is only tough, it's not heavy.\l- I see...\O- Oh no! Is there anything else?\Goku...\There's nothing to worry about, Chaozu!\Goku is going to win this fight!\Aren't you forgetting about the Kaio-ken technique?\With Goku as he is now, he should be able to withstand as much as ten times his regular power! response:	- Oh, yeah! - That's it!
context: l- I see...\O- Oh no! Is there anything else?\Goku...\There's nothing to worry about, Chaozu!\Goku is going to win this fight!\Aren't you forgetting about the Kaio-ken technique?\With Goku as he is now, he should be able to withstand as much as ten times his regular power!\- Oh, yeah! - That's it! response:	- All right! - All right, all right!
context: O- Oh no! Is there anything else?\Goku...\There's nothing to worry about, Chaozu!\Goku is going to win this fight!\Aren't you forgetting about the Kaio-ken technique?\With Goku as he is now, he should be able to withstand as much as ten times his regular power!\- Oh, yeah! - That's it!\- All right! - All right, all right! response:	No...
context: Goku...\There's nothing to worry about, Chaozu!\Goku is going to win this fight!\Aren't you forgetting about the Kaio-ken technique?\With Goku as he is now, he should be able to withstand as much as ten times his regular power!\- Oh, yeah! - That's it!\- All right! - All right, all right!\No... response:	Regrettably, what he's using right now is that very 10x Kaio-ken...
context: There's nothing to worry about, Chaozu!\Goku is going to win this fight!\Aren't you forgetting about the Kaio-ken technique?\With Goku as he is now, he should be able to withstand as much as ten times his regular power!\- Oh, yeah! - That's it!\- All right! - All right, all right!\No...\Regrettably, what he's using right now is that very 10x Kaio-ken... response:	It' can't be!
context: Goku is going to win this fight!\Aren't you forgetting about the Kaio-ken technique?\With Goku as he is now, he should be able to withstand as much as ten times his regular power!\- Oh, yeah! - That's it!\- All right! - All right, all right!\No...\Regrettably, what he's using right now is that very 10x Kaio-ken...\It' can't be! response:	T- This isn't good! There's too much difference in their abilities!
context: Aren't you forgetting about the Kaio-ken technique?\With Goku as he is now, he should be able to withstand as much as ten times his regular power!\- Oh, yeah! - That's it!\- All right! - All right, all right!\No...\Regrettably, what he's using right now is that very 10x Kaio-ken...\It' can't be!\T- This isn't good! There's too much difference in their abilities! response:	Father...
context: With Goku as he is now, he should be able to withstand as much as ten times his regular power!\- Oh, yeah! - That's it!\- All right! - All right, all right!\No...\Regrettably, what he's using right now is that very 10x Kaio-ken...\It' can't be!\T- This isn't good! There's too much difference in their abilities!\Father... response:	Bulma-san?
context: - Oh, yeah! - That's it!\- All right! - All right, all right!\No...\Regrettably, what he's using right now is that very 10x Kaio-ken...\It' can't be!\T- This isn't good! There's too much difference in their abilities!\Father...\Bulma-san? response:	That's our Freeza-sama! Against Goku... such grandeur!
context: - All right! - All right, all right!\No...\Regrettably, what he's using right now is that very 10x Kaio-ken...\It' can't be!\T- This isn't good! There's too much difference in their abilities!\Father...\Bulma-san?\That's our Freeza-sama! Against Goku... such grandeur! response:	W- Who the hell are you!?
context: No...\Regrettably, what he's using right now is that very 10x Kaio-ken...\It' can't be!\T- This isn't good! There's too much difference in their abilities!\Father...\Bulma-san?\That's our Freeza-sama! Against Goku... such grandeur!\W- Who the hell are you!? response:	Who, me?
context: Regrettably, what he's using right now is that very 10x Kaio-ken...\It' can't be!\T- This isn't good! There's too much difference in their abilities!\Father...\Bulma-san?\That's our Freeza-sama! Against Goku... such grandeur!\W- Who the hell are you!?\Who, me? response:	Watch out, Piccolo!
context: It' can't be!\T- This isn't good! There's too much difference in their abilities!\Father...\Bulma-san?\That's our Freeza-sama! Against Goku... such grandeur!\W- Who the hell are you!?\Who, me?\Watch out, Piccolo! response:	As Kaio's words cut off any encouraging news about Goku, who is already using a ten-fold Kaio-ken,
context: T- This isn't good! There's too much difference in their abilities!\Father...\Bulma-san?\That's our Freeza-sama! Against Goku... such grandeur!\W- Who the hell are you!?\Who, me?\Watch out, Piccolo!\As Kaio's words cut off any encouraging news about Goku, who is already using a ten-fold Kaio-ken, response:	is there any glimmer of hope remaining for him? And what of Ginyu, as he closes in?
