context: What is this? response:	It's a statement from the group responsible for the attacks.
context: Um...\Don't worry. I'll make sure we reach your house.\But...\I caused a lot of trouble for you today, so I insist.\What the...\That's strange...\Sorry for the trouble.\It's okay. response:	You don't have much, do you?
context: Don't worry. I'll make sure we reach your house.\But...\I caused a lot of trouble for you today, so I insist.\What the...\That's strange...\Sorry for the trouble.\It's okay.\You don't have much, do you? response:	Well, all I do is sleep when I come back.
context: But...\I caused a lot of trouble for you today, so I insist.\What the...\That's strange...\Sorry for the trouble.\It's okay.\You don't have much, do you?\Well, all I do is sleep when I come back. response:	Li-san, what do you do with your spare time whenever you're not working?
context: I caused a lot of trouble for you today, so I insist.\What the...\That's strange...\Sorry for the trouble.\It's okay.\You don't have much, do you?\Well, all I do is sleep when I come back.\Li-san, what do you do with your spare time whenever you're not working? response:	Nothing.
context: What the...\That's strange...\Sorry for the trouble.\It's okay.\You don't have much, do you?\Well, all I do is sleep when I come back.\Li-san, what do you do with your spare time whenever you're not working?\Nothing. response:	Nothing?
context: That's strange...\Sorry for the trouble.\It's okay.\You don't have much, do you?\Well, all I do is sleep when I come back.\Li-san, what do you do with your spare time whenever you're not working?\Nothing.\Nothing? response:	Didn't you come to Japan to train?
context: Sorry for the trouble.\It's okay.\You don't have much, do you?\Well, all I do is sleep when I come back.\Li-san, what do you do with your spare time whenever you're not working?\Nothing.\Nothing?\Didn't you come to Japan to train? response:	No, I came to study.
context: It's okay.\You don't have much, do you?\Well, all I do is sleep when I come back.\Li-san, what do you do with your spare time whenever you're not working?\Nothing.\Nothing?\Didn't you come to Japan to train?\No, I came to study. response:	Oh, you're a student?
context: You don't have much, do you?\Well, all I do is sleep when I come back.\Li-san, what do you do with your spare time whenever you're not working?\Nothing.\Nothing?\Didn't you come to Japan to train?\No, I came to study.\Oh, you're a student? response:	What the hell was that?
context: Well, all I do is sleep when I come back.\Li-san, what do you do with your spare time whenever you're not working?\Nothing.\Nothing?\Didn't you come to Japan to train?\No, I came to study.\Oh, you're a student?\What the hell was that? response:	Oh, the usual.
context: Li-san, what do you do with your spare time whenever you're not working?\Nothing.\Nothing?\Didn't you come to Japan to train?\No, I came to study.\Oh, you're a student?\What the hell was that?\Oh, the usual. response:	The usual? That noise just shook the entire room, you know.
context: Nothing.\Nothing?\Didn't you come to Japan to train?\No, I came to study.\Oh, you're a student?\What the hell was that?\Oh, the usual.\The usual? That noise just shook the entire room, you know. response:	It's pretty early, too.
context: Nothing?\Didn't you come to Japan to train?\No, I came to study.\Oh, you're a student?\What the hell was that?\Oh, the usual.\The usual? That noise just shook the entire room, you know.\It's pretty early, too. response:	It's probably the same people from last night.
context: Didn't you come to Japan to train?\No, I came to study.\Oh, you're a student?\What the hell was that?\Oh, the usual.\The usual? That noise just shook the entire room, you know.\It's pretty early, too.\It's probably the same people from last night. response:	Can you even focus on studying with this noise?
context: No, I came to study.\Oh, you're a student?\What the hell was that?\Oh, the usual.\The usual? That noise just shook the entire room, you know.\It's pretty early, too.\It's probably the same people from last night.\Can you even focus on studying with this noise? response:	It's not a big deal once you get used to it.
context: Oh, you're a student?\What the hell was that?\Oh, the usual.\The usual? That noise just shook the entire room, you know.\It's pretty early, too.\It's probably the same people from last night.\Can you even focus on studying with this noise?\It's not a big deal once you get used to it. response:	You're practically at their mercy!
context: What the hell was that?\Oh, the usual.\The usual? That noise just shook the entire room, you know.\It's pretty early, too.\It's probably the same people from last night.\Can you even focus on studying with this noise?\It's not a big deal once you get used to it.\You're practically at their mercy! response:	Let me resolve this issue permanently.
context: Oh, the usual.\The usual? That noise just shook the entire room, you know.\It's pretty early, too.\It's probably the same people from last night.\Can you even focus on studying with this noise?\It's not a big deal once you get used to it.\You're practically at their mercy!\Let me resolve this issue permanently. response:	W-What is it?
context: The usual? That noise just shook the entire room, you know.\It's pretty early, too.\It's probably the same people from last night.\Can you even focus on studying with this noise?\It's not a big deal once you get used to it.\You're practically at their mercy!\Let me resolve this issue permanently.\W-What is it? response:	What do you mean, what is it?
context: It's pretty early, too.\It's probably the same people from last night.\Can you even focus on studying with this noise?\It's not a big deal once you get used to it.\You're practically at their mercy!\Let me resolve this issue permanently.\W-What is it?\What do you mean, what is it? response:	Who are you?
context: It's probably the same people from last night.\Can you even focus on studying with this noise?\It's not a big deal once you get used to it.\You're practically at their mercy!\Let me resolve this issue permanently.\W-What is it?\What do you mean, what is it?\Who are you? response:	Sakurai of the Nakazawa family.
context: Can you even focus on studying with this noise?\It's not a big deal once you get used to it.\You're practically at their mercy!\Let me resolve this issue permanently.\W-What is it?\What do you mean, what is it?\Who are you?\Sakurai of the Nakazawa family. response:	Nakazawa family?
context: It's not a big deal once you get used to it.\You're practically at their mercy!\Let me resolve this issue permanently.\W-What is it?\What do you mean, what is it?\Who are you?\Sakurai of the Nakazawa family.\Nakazawa family? response:	Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls?
context: You're practically at their mercy!\Let me resolve this issue permanently.\W-What is it?\What do you mean, what is it?\Who are you?\Sakurai of the Nakazawa family.\Nakazawa family?\Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls? response:	Who did that?
context: Let me resolve this issue permanently.\W-What is it?\What do you mean, what is it?\Who are you?\Sakurai of the Nakazawa family.\Nakazawa family?\Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls?\Who did that? response:	What the hell were you thinking?
context: W-What is it?\What do you mean, what is it?\Who are you?\Sakurai of the Nakazawa family.\Nakazawa family?\Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls?\Who did that?\What the hell were you thinking? response:	What are you going to do about that?
context: What do you mean, what is it?\Who are you?\Sakurai of the Nakazawa family.\Nakazawa family?\Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls?\Who did that?\What the hell were you thinking?\What are you going to do about that? response:	Yeah, that'll do.
context: Who are you?\Sakurai of the Nakazawa family.\Nakazawa family?\Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls?\Who did that?\What the hell were you thinking?\What are you going to do about that?\Yeah, that'll do. response:	Let's have lunch.
context: Sakurai of the Nakazawa family.\Nakazawa family?\Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls?\Who did that?\What the hell were you thinking?\What are you going to do about that?\Yeah, that'll do.\Let's have lunch. response:	I bet you're all hungry from causing this ruckus.
context: Nakazawa family?\Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls?\Who did that?\What the hell were you thinking?\What are you going to do about that?\Yeah, that'll do.\Let's have lunch.\I bet you're all hungry from causing this ruckus. response:	Itadakimasu.
context: Hey, hey, hey! What the hell were you thinking, playing a guitar that loudly in a shoddy room with paper-thin walls?\Who did that?\What the hell were you thinking?\What are you going to do about that?\Yeah, that'll do.\Let's have lunch.\I bet you're all hungry from causing this ruckus.\Itadakimasu. response:	You're from the Philippines?
context: Who did that?\What the hell were you thinking?\What are you going to do about that?\Yeah, that'll do.\Let's have lunch.\I bet you're all hungry from causing this ruckus.\Itadakimasu.\You're from the Philippines? response:	Are you working in Japan by yourself?
context: What the hell were you thinking?\What are you going to do about that?\Yeah, that'll do.\Let's have lunch.\I bet you're all hungry from causing this ruckus.\Itadakimasu.\You're from the Philippines?\Are you working in Japan by yourself? response:	Yeah. My parents and siblings are still over there, so I send them money every month.
context: What are you going to do about that?\Yeah, that'll do.\Let's have lunch.\I bet you're all hungry from causing this ruckus.\Itadakimasu.\You're from the Philippines?\Are you working in Japan by yourself?\Yeah. My parents and siblings are still over there, so I send them money every month. response:	It must be tough.
context: Yeah, that'll do.\Let's have lunch.\I bet you're all hungry from causing this ruckus.\Itadakimasu.\You're from the Philippines?\Are you working in Japan by yourself?\Yeah. My parents and siblings are still over there, so I send them money every month.\It must be tough. response:	Not really. The Japanese are all rich perverts.
context: Let's have lunch.\I bet you're all hungry from causing this ruckus.\Itadakimasu.\You're from the Philippines?\Are you working in Japan by yourself?\Yeah. My parents and siblings are still over there, so I send them money every month.\It must be tough.\Not really. The Japanese are all rich perverts. response:	I bet.
context: I bet you're all hungry from causing this ruckus.\Itadakimasu.\You're from the Philippines?\Are you working in Japan by yourself?\Yeah. My parents and siblings are still over there, so I send them money every month.\It must be tough.\Not really. The Japanese are all rich perverts.\I bet. response:	Why are you in Japan, rock star?
context: Itadakimasu.\You're from the Philippines?\Are you working in Japan by yourself?\Yeah. My parents and siblings are still over there, so I send them money every month.\It must be tough.\Not really. The Japanese are all rich perverts.\I bet.\Why are you in Japan, rock star? response:	I'm a missionary who came here to preach about the essence of rock.
context: You're from the Philippines?\Are you working in Japan by yourself?\Yeah. My parents and siblings are still over there, so I send them money every month.\It must be tough.\Not really. The Japanese are all rich perverts.\I bet.\Why are you in Japan, rock star?\I'm a missionary who came here to preach about the essence of rock. response:	Wow! Essence, huh? That's pretty far out, man.
context: Are you working in Japan by yourself?\Yeah. My parents and siblings are still over there, so I send them money every month.\It must be tough.\Not really. The Japanese are all rich perverts.\I bet.\Why are you in Japan, rock star?\I'm a missionary who came here to preach about the essence of rock.\Wow! Essence, huh? That's pretty far out, man. response:	Why, you little...
context: Yeah. My parents and siblings are still over there, so I send them money every month.\It must be tough.\Not really. The Japanese are all rich perverts.\I bet.\Why are you in Japan, rock star?\I'm a missionary who came here to preach about the essence of rock.\Wow! Essence, huh? That's pretty far out, man.\Why, you little... response:	How about you?
context: It must be tough.\Not really. The Japanese are all rich perverts.\I bet.\Why are you in Japan, rock star?\I'm a missionary who came here to preach about the essence of rock.\Wow! Essence, huh? That's pretty far out, man.\Why, you little...\How about you? response:	I came from Israel to study Japanese animation.
context: Not really. The Japanese are all rich perverts.\I bet.\Why are you in Japan, rock star?\I'm a missionary who came here to preach about the essence of rock.\Wow! Essence, huh? That's pretty far out, man.\Why, you little...\How about you?\I came from Israel to study Japanese animation. response:	You came all the way here just for that?
context: I bet.\Why are you in Japan, rock star?\I'm a missionary who came here to preach about the essence of rock.\Wow! Essence, huh? That's pretty far out, man.\Why, you little...\How about you?\I came from Israel to study Japanese animation.\You came all the way here just for that? response:	What are you saying? Japanese anime is the best in the world. Besides...
context: Why are you in Japan, rock star?\I'm a missionary who came here to preach about the essence of rock.\Wow! Essence, huh? That's pretty far out, man.\Why, you little...\How about you?\I came from Israel to study Japanese animation.\You came all the way here just for that?\What are you saying? Japanese anime is the best in the world. Besides... response:	Yeah, yeah. Your explanations are always too long, so let me stop you right there.
context: I'm a missionary who came here to preach about the essence of rock.\Wow! Essence, huh? That's pretty far out, man.\Why, you little...\How about you?\I came from Israel to study Japanese animation.\You came all the way here just for that?\What are you saying? Japanese anime is the best in the world. Besides...\Yeah, yeah. Your explanations are always too long, so let me stop you right there. response:	This is a pretty diverse apartment, isn't it?
context: Wow! Essence, huh? That's pretty far out, man.\Why, you little...\How about you?\I came from Israel to study Japanese animation.\You came all the way here just for that?\What are you saying? Japanese anime is the best in the world. Besides...\Yeah, yeah. Your explanations are always too long, so let me stop you right there.\This is a pretty diverse apartment, isn't it? response:	Yeah. I'm fluent in seven different languages because of these tenants.
context: Why, you little...\How about you?\I came from Israel to study Japanese animation.\You came all the way here just for that?\What are you saying? Japanese anime is the best in the world. Besides...\Yeah, yeah. Your explanations are always too long, so let me stop you right there.\This is a pretty diverse apartment, isn't it?\Yeah. I'm fluent in seven different languages because of these tenants. response:	Wow, this place sure is interesting.
context: How about you?\I came from Israel to study Japanese animation.\You came all the way here just for that?\What are you saying? Japanese anime is the best in the world. Besides...\Yeah, yeah. Your explanations are always too long, so let me stop you right there.\This is a pretty diverse apartment, isn't it?\Yeah. I'm fluent in seven different languages because of these tenants.\Wow, this place sure is interesting. response:	Maybe I should live here, too.
context: I came from Israel to study Japanese animation.\You came all the way here just for that?\What are you saying? Japanese anime is the best in the world. Besides...\Yeah, yeah. Your explanations are always too long, so let me stop you right there.\This is a pretty diverse apartment, isn't it?\Yeah. I'm fluent in seven different languages because of these tenants.\Wow, this place sure is interesting.\Maybe I should live here, too. response:	Right, Li-sa...
context: You came all the way here just for that?\What are you saying? Japanese anime is the best in the world. Besides...\Yeah, yeah. Your explanations are always too long, so let me stop you right there.\This is a pretty diverse apartment, isn't it?\Yeah. I'm fluent in seven different languages because of these tenants.\Wow, this place sure is interesting.\Maybe I should live here, too.\Right, Li-sa... response:	You've got to be kidding.
context: What are you saying? Japanese anime is the best in the world. Besides...\Yeah, yeah. Your explanations are always too long, so let me stop you right there.\This is a pretty diverse apartment, isn't it?\Yeah. I'm fluent in seven different languages because of these tenants.\Wow, this place sure is interesting.\Maybe I should live here, too.\Right, Li-sa...\You've got to be kidding. response:	You just ate tons of beef bowls...
context: Yeah, yeah. Your explanations are always too long, so let me stop you right there.\This is a pretty diverse apartment, isn't it?\Yeah. I'm fluent in seven different languages because of these tenants.\Wow, this place sure is interesting.\Maybe I should live here, too.\Right, Li-sa...\You've got to be kidding.\You just ate tons of beef bowls... response:	Do you want seconds, Li-san?
context: This is a pretty diverse apartment, isn't it?\Yeah. I'm fluent in seven different languages because of these tenants.\Wow, this place sure is interesting.\Maybe I should live here, too.\Right, Li-sa...\You've got to be kidding.\You just ate tons of beef bowls...\Do you want seconds, Li-san? response:	Ah, please.
context: Yeah. I'm fluent in seven different languages because of these tenants.\Wow, this place sure is interesting.\Maybe I should live here, too.\Right, Li-sa...\You've got to be kidding.\You just ate tons of beef bowls...\Do you want seconds, Li-san?\Ah, please. response:	Isn't he done yet?
context: Wow, this place sure is interesting.\Maybe I should live here, too.\Right, Li-sa...\You've got to be kidding.\You just ate tons of beef bowls...\Do you want seconds, Li-san?\Ah, please.\Isn't he done yet? response:	Thanks for the meal!
context: Maybe I should live here, too.\Right, Li-sa...\You've got to be kidding.\You just ate tons of beef bowls...\Do you want seconds, Li-san?\Ah, please.\Isn't he done yet?\Thanks for the meal! response:	Now that we're full...
context: Right, Li-sa...\You've got to be kidding.\You just ate tons of beef bowls...\Do you want seconds, Li-san?\Ah, please.\Isn't he done yet?\Thanks for the meal!\Now that we're full... response:	Let's start the second round!
context: You've got to be kidding.\You just ate tons of beef bowls...\Do you want seconds, Li-san?\Ah, please.\Isn't he done yet?\Thanks for the meal!\Now that we're full...\Let's start the second round! response:	Are you guys in?
context: You just ate tons of beef bowls...\Do you want seconds, Li-san?\Ah, please.\Isn't he done yet?\Thanks for the meal!\Now that we're full...\Let's start the second round!\Are you guys in? response:	Booze? Great! Right, Li-san?
context: Do you want seconds, Li-san?\Ah, please.\Isn't he done yet?\Thanks for the meal!\Now that we're full...\Let's start the second round!\Are you guys in?\Booze? Great! Right, Li-san? response:	Sorry, but I have an appointment to keep.
context: Ah, please.\Isn't he done yet?\Thanks for the meal!\Now that we're full...\Let's start the second round!\Are you guys in?\Booze? Great! Right, Li-san?\Sorry, but I have an appointment to keep. response:	That guy is really unsocial.
context: Isn't he done yet?\Thanks for the meal!\Now that we're full...\Let's start the second round!\Are you guys in?\Booze? Great! Right, Li-san?\Sorry, but I have an appointment to keep.\That guy is really unsocial. response:	We barely talked to him until today.
context: Thanks for the meal!\Now that we're full...\Let's start the second round!\Are you guys in?\Booze? Great! Right, Li-san?\Sorry, but I have an appointment to keep.\That guy is really unsocial.\We barely talked to him until today. response:	Well, whatever.
context: Now that we're full...\Let's start the second round!\Are you guys in?\Booze? Great! Right, Li-san?\Sorry, but I have an appointment to keep.\That guy is really unsocial.\We barely talked to him until today.\Well, whatever. response:	Some people don't like to interact with others. Come on, let's drink.
context: Let's start the second round!\Are you guys in?\Booze? Great! Right, Li-san?\Sorry, but I have an appointment to keep.\That guy is really unsocial.\We barely talked to him until today.\Well, whatever.\Some people don't like to interact with others. Come on, let's drink. response:	Is that so?
context: Are you guys in?\Booze? Great! Right, Li-san?\Sorry, but I have an appointment to keep.\That guy is really unsocial.\We barely talked to him until today.\Well, whatever.\Some people don't like to interact with others. Come on, let's drink.\Is that so? response:	Don't you think there's a lonely aura emanating from Li-san's back?
context: Booze? Great! Right, Li-san?\Sorry, but I have an appointment to keep.\That guy is really unsocial.\We barely talked to him until today.\Well, whatever.\Some people don't like to interact with others. Come on, let's drink.\Is that so?\Don't you think there's a lonely aura emanating from Li-san's back? response:	Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)
context: Sorry, but I have an appointment to keep.\That guy is really unsocial.\We barely talked to him until today.\Well, whatever.\Some people don't like to interact with others. Come on, let's drink.\Is that so?\Don't you think there's a lonely aura emanating from Li-san's back?\Episode Seventeen A Love Song Sung from a Trash Heap... (Part One) response:	Hitotsubashi, it's not that I dislike a man like yourself.
context: That guy is really unsocial.\We barely talked to him until today.\Well, whatever.\Some people don't like to interact with others. Come on, let's drink.\Is that so?\Don't you think there's a lonely aura emanating from Li-san's back?\Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)\Hitotsubashi, it's not that I dislike a man like yourself. response:	I'm honored.
context: We barely talked to him until today.\Well, whatever.\Some people don't like to interact with others. Come on, let's drink.\Is that so?\Don't you think there's a lonely aura emanating from Li-san's back?\Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)\Hitotsubashi, it's not that I dislike a man like yourself.\I'm honored. response:	However, I will not tolerate internal feuds.
context: Well, whatever.\Some people don't like to interact with others. Come on, let's drink.\Is that so?\Don't you think there's a lonely aura emanating from Li-san's back?\Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)\Hitotsubashi, it's not that I dislike a man like yourself.\I'm honored.\However, I will not tolerate internal feuds. response:	I don't understand.
context: Some people don't like to interact with others. Come on, let's drink.\Is that so?\Don't you think there's a lonely aura emanating from Li-san's back?\Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)\Hitotsubashi, it's not that I dislike a man like yourself.\I'm honored.\However, I will not tolerate internal feuds.\I don't understand. response:	Don't play dumb!
context: Is that so?\Don't you think there's a lonely aura emanating from Li-san's back?\Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)\Hitotsubashi, it's not that I dislike a man like yourself.\I'm honored.\However, I will not tolerate internal feuds.\I don't understand.\Don't play dumb! response:	Ohshita.
context: Don't you think there's a lonely aura emanating from Li-san's back?\Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)\Hitotsubashi, it's not that I dislike a man like yourself.\I'm honored.\However, I will not tolerate internal feuds.\I don't understand.\Don't play dumb!\Ohshita. response:	I know you've been taking Ohshita's territory.
context: Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)\Hitotsubashi, it's not that I dislike a man like yourself.\I'm honored.\However, I will not tolerate internal feuds.\I don't understand.\Don't play dumb!\Ohshita.\I know you've been taking Ohshita's territory. response:	Rest assured. I have no intention of inciting this conflict any further.
context: Hitotsubashi, it's not that I dislike a man like yourself.\I'm honored.\However, I will not tolerate internal feuds.\I don't understand.\Don't play dumb!\Ohshita.\I know you've been taking Ohshita's territory.\Rest assured. I have no intention of inciting this conflict any further. response:	Stay out of sight for a while. I'll eventually assign you to a proper position.
context: I'm honored.\However, I will not tolerate internal feuds.\I don't understand.\Don't play dumb!\Ohshita.\I know you've been taking Ohshita's territory.\Rest assured. I have no intention of inciting this conflict any further.\Stay out of sight for a while. I'll eventually assign you to a proper position. response:	I know about your potential more than anyone else.
context: However, I will not tolerate internal feuds.\I don't understand.\Don't play dumb!\Ohshita.\I know you've been taking Ohshita's territory.\Rest assured. I have no intention of inciting this conflict any further.\Stay out of sight for a while. I'll eventually assign you to a proper position.\I know about your potential more than anyone else. response:	Is that clear?
context: I don't understand.\Don't play dumb!\Ohshita.\I know you've been taking Ohshita's territory.\Rest assured. I have no intention of inciting this conflict any further.\Stay out of sight for a while. I'll eventually assign you to a proper position.\I know about your potential more than anyone else.\Is that clear? response:	I'll make sure it's engraved within my mind.
context: Don't play dumb!\Ohshita.\I know you've been taking Ohshita's territory.\Rest assured. I have no intention of inciting this conflict any further.\Stay out of sight for a while. I'll eventually assign you to a proper position.\I know about your potential more than anyone else.\Is that clear?\I'll make sure it's engraved within my mind. response:	Hitotsubashi, you say?
context: Ohshita.\I know you've been taking Ohshita's territory.\Rest assured. I have no intention of inciting this conflict any further.\Stay out of sight for a while. I'll eventually assign you to a proper position.\I know about your potential more than anyone else.\Is that clear?\I'll make sure it's engraved within my mind.\Hitotsubashi, you say? response:	Did he show up at the club already?
context: I know you've been taking Ohshita's territory.\Rest assured. I have no intention of inciting this conflict any further.\Stay out of sight for a while. I'll eventually assign you to a proper position.\I know about your potential more than anyone else.\Is that clear?\I'll make sure it's engraved within my mind.\Hitotsubashi, you say?\Did he show up at the club already? response:	Yeah.
context: Rest assured. I have no intention of inciting this conflict any further.\Stay out of sight for a while. I'll eventually assign you to a proper position.\I know about your potential more than anyone else.\Is that clear?\I'll make sure it's engraved within my mind.\Hitotsubashi, you say?\Did he show up at the club already?\Yeah. response:	Keep an eye on it.
context: Stay out of sight for a while. I'll eventually assign you to a proper position.\I know about your potential more than anyone else.\Is that clear?\I'll make sure it's engraved within my mind.\Hitotsubashi, you say?\Did he show up at the club already?\Yeah.\Keep an eye on it. response:	The goods should be brought there within the next few days.
context: I know about your potential more than anyone else.\Is that clear?\I'll make sure it's engraved within my mind.\Hitotsubashi, you say?\Did he show up at the club already?\Yeah.\Keep an eye on it.\The goods should be brought there within the next few days. response:	Be careful not to interfere with the transaction.
context: Is that clear?\I'll make sure it's engraved within my mind.\Hitotsubashi, you say?\Did he show up at the club already?\Yeah.\Keep an eye on it.\The goods should be brought there within the next few days.\Be careful not to interfere with the transaction. response:	We know it'll all be in vain if we screw up the deal.
context: I'll make sure it's engraved within my mind.\Hitotsubashi, you say?\Did he show up at the club already?\Yeah.\Keep an eye on it.\The goods should be brought there within the next few days.\Be careful not to interfere with the transaction.\We know it'll all be in vain if we screw up the deal. response:	That aside, who is that kid?
context: Hitotsubashi, you say?\Did he show up at the club already?\Yeah.\Keep an eye on it.\The goods should be brought there within the next few days.\Be careful not to interfere with the transaction.\We know it'll all be in vain if we screw up the deal.\That aside, who is that kid? response:	Kid?
context: Did he show up at the club already?\Yeah.\Keep an eye on it.\The goods should be brought there within the next few days.\Be careful not to interfere with the transaction.\We know it'll all be in vain if we screw up the deal.\That aside, who is that kid?\Kid? response:	There's no need to worry about him.
context: Yeah.\Keep an eye on it.\The goods should be brought there within the next few days.\Be careful not to interfere with the transaction.\We know it'll all be in vain if we screw up the deal.\That aside, who is that kid?\Kid?\There's no need to worry about him. response:	Are you sure?
context: Keep an eye on it.\The goods should be brought there within the next few days.\Be careful not to interfere with the transaction.\We know it'll all be in vain if we screw up the deal.\That aside, who is that kid?\Kid?\There's no need to worry about him.\Are you sure? response:	I don't want any distractions during the mission.
context: The goods should be brought there within the next few days.\Be careful not to interfere with the transaction.\We know it'll all be in vain if we screw up the deal.\That aside, who is that kid?\Kid?\There's no need to worry about him.\Are you sure?\I don't want any distractions during the mission. response:	I know.
context: Be careful not to interfere with the transaction.\We know it'll all be in vain if we screw up the deal.\That aside, who is that kid?\Kid?\There's no need to worry about him.\Are you sure?\I don't want any distractions during the mission.\I know. response:	Where is everybody?
context: We know it'll all be in vain if we screw up the deal.\That aside, who is that kid?\Kid?\There's no need to worry about him.\Are you sure?\I don't want any distractions during the mission.\I know.\Where is everybody? response:	They fell asleep.
context: That aside, who is that kid?\Kid?\There's no need to worry about him.\Are you sure?\I don't want any distractions during the mission.\I know.\Where is everybody?\They fell asleep. response:	Good! Thank you for everything.
context: Kid?\There's no need to worry about him.\Are you sure?\I don't want any distractions during the mission.\I know.\Where is everybody?\They fell asleep.\Good! Thank you for everything. response:	For what?
context: There's no need to worry about him.\Are you sure?\I don't want any distractions during the mission.\I know.\Where is everybody?\They fell asleep.\Good! Thank you for everything.\For what? response:	You provided me with shelter from the rain.
context: Are you sure?\I don't want any distractions during the mission.\I know.\Where is everybody?\They fell asleep.\Good! Thank you for everything.\For what?\You provided me with shelter from the rain. response:	I could have called for a cab with that hundred grand.
context: I don't want any distractions during the mission.\I know.\Where is everybody?\They fell asleep.\Good! Thank you for everything.\For what?\You provided me with shelter from the rain.\I could have called for a cab with that hundred grand. response:	I didn't think about that.
context: I know.\Where is everybody?\They fell asleep.\Good! Thank you for everything.\For what?\You provided me with shelter from the rain.\I could have called for a cab with that hundred grand.\I didn't think about that. response:	Li-san, you're a strange person.
context: Where is everybody?\They fell asleep.\Good! Thank you for everything.\For what?\You provided me with shelter from the rain.\I could have called for a cab with that hundred grand.\I didn't think about that.\Li-san, you're a strange person. response:	Let's meet up for a meal sometime.
context: They fell asleep.\Good! Thank you for everything.\For what?\You provided me with shelter from the rain.\I could have called for a cab with that hundred grand.\I didn't think about that.\Li-san, you're a strange person.\Let's meet up for a meal sometime. response:	Okay.
context: Good! Thank you for everything.\For what?\You provided me with shelter from the rain.\I could have called for a cab with that hundred grand.\I didn't think about that.\Li-san, you're a strange person.\Let's meet up for a meal sometime.\Okay. response:	Good evening.
context: For what?\You provided me with shelter from the rain.\I could have called for a cab with that hundred grand.\I didn't think about that.\Li-san, you're a strange person.\Let's meet up for a meal sometime.\Okay.\Good evening. response:	Oh, it's you, Li-kun.
context: You provided me with shelter from the rain.\I could have called for a cab with that hundred grand.\I didn't think about that.\Li-san, you're a strange person.\Let's meet up for a meal sometime.\Okay.\Good evening.\Oh, it's you, Li-kun. response:	I had trouble reaching you since you don't have a cell phone.
context: I could have called for a cab with that hundred grand.\I didn't think about that.\Li-san, you're a strange person.\Let's meet up for a meal sometime.\Okay.\Good evening.\Oh, it's you, Li-kun.\I had trouble reaching you since you don't have a cell phone. response:	Sorry for the late notice, but we won't be able to work for three nights, starting today.
context: I didn't think about that.\Li-san, you're a strange person.\Let's meet up for a meal sometime.\Okay.\Good evening.\Oh, it's you, Li-kun.\I had trouble reaching you since you don't have a cell phone.\Sorry for the late notice, but we won't be able to work for three nights, starting today. response:	What happened?
context: Li-san, you're a strange person.\Let's meet up for a meal sometime.\Okay.\Good evening.\Oh, it's you, Li-kun.\I had trouble reaching you since you don't have a cell phone.\Sorry for the late notice, but we won't be able to work for three nights, starting today.\What happened? response:	Construction work. Remember the problems we were having with the bathroom?
context: Let's meet up for a meal sometime.\Okay.\Good evening.\Oh, it's you, Li-kun.\I had trouble reaching you since you don't have a cell phone.\Sorry for the late notice, but we won't be able to work for three nights, starting today.\What happened?\Construction work. Remember the problems we were having with the bathroom? response:	Oh, I see.
context: Okay.\Good evening.\Oh, it's you, Li-kun.\I had trouble reaching you since you don't have a cell phone.\Sorry for the late notice, but we won't be able to work for three nights, starting today.\What happened?\Construction work. Remember the problems we were having with the bathroom?\Oh, I see. response:	You'll be on paid leave while the construction's going on.
context: Good evening.\Oh, it's you, Li-kun.\I had trouble reaching you since you don't have a cell phone.\Sorry for the late notice, but we won't be able to work for three nights, starting today.\What happened?\Construction work. Remember the problems we were having with the bathroom?\Oh, I see.\You'll be on paid leave while the construction's going on. response:	That's very kind of you.
context: Oh, it's you, Li-kun.\I had trouble reaching you since you don't have a cell phone.\Sorry for the late notice, but we won't be able to work for three nights, starting today.\What happened?\Construction work. Remember the problems we were having with the bathroom?\Oh, I see.\You'll be on paid leave while the construction's going on.\That's very kind of you. response:	A-Aniki, what did you just say?
context: I had trouble reaching you since you don't have a cell phone.\Sorry for the late notice, but we won't be able to work for three nights, starting today.\What happened?\Construction work. Remember the problems we were having with the bathroom?\Oh, I see.\You'll be on paid leave while the construction's going on.\That's very kind of you.\A-Aniki, what did you just say? response:	I said I'm going to divide the organization.
