context: Howwonderful itwould be, to be like Hakim... response:	Sometimes, I'm jealous of him.
context: Bravo!\To Emma!\Wha-?\To Emma!\To Mr. and Mrs. Knox!\Al, you're not as strong with alcohol as you used to be.\I've always been weak where ladies and fine wine are concerned!\Would you like another roll? response:	This bread is really delicious. I'll have two or three rolls if I can.
context: To Emma!\Wha-?\To Emma!\To Mr. and Mrs. Knox!\Al, you're not as strong with alcohol as you used to be.\I've always been weak where ladies and fine wine are concerned!\Would you like another roll?\This bread is really delicious. I'll have two or three rolls if I can. response:	I'm fine, thank you. It certainly was delicious, though.
context: Wha-?\To Emma!\To Mr. and Mrs. Knox!\Al, you're not as strong with alcohol as you used to be.\I've always been weak where ladies and fine wine are concerned!\Would you like another roll?\This bread is really delicious. I'll have two or three rolls if I can.\I'm fine, thank you. It certainly was delicious, though. response:	You wouldn't think it to look at her now, but Kelly was once a beauty.
context: To Emma!\To Mr. and Mrs. Knox!\Al, you're not as strong with alcohol as you used to be.\I've always been weak where ladies and fine wine are concerned!\Would you like another roll?\This bread is really delicious. I'll have two or three rolls if I can.\I'm fine, thank you. It certainly was delicious, though.\You wouldn't think it to look at her now, but Kelly was once a beauty. response:	You should be silent when you eat.
context: To Mr. and Mrs. Knox!\Al, you're not as strong with alcohol as you used to be.\I've always been weak where ladies and fine wine are concerned!\Would you like another roll?\This bread is really delicious. I'll have two or three rolls if I can.\I'm fine, thank you. It certainly was delicious, though.\You wouldn't think it to look at her now, but Kelly was once a beauty.\You should be silent when you eat. response:	Even though it was an arranged marriage, Doug fell in love with Kelly at first sight.
context: Al, you're not as strong with alcohol as you used to be.\I've always been weak where ladies and fine wine are concerned!\Would you like another roll?\This bread is really delicious. I'll have two or three rolls if I can.\I'm fine, thank you. It certainly was delicious, though.\You wouldn't think it to look at her now, but Kelly was once a beauty.\You should be silent when you eat.\Even though it was an arranged marriage, Doug fell in love with Kelly at first sight. response:	I could tell she was stubborn, so I tried to warn him...
context: I've always been weak where ladies and fine wine are concerned!\Would you like another roll?\This bread is really delicious. I'll have two or three rolls if I can.\I'm fine, thank you. It certainly was delicious, though.\You wouldn't think it to look at her now, but Kelly was once a beauty.\You should be silent when you eat.\Even though it was an arranged marriage, Doug fell in love with Kelly at first sight.\I could tell she was stubborn, so I tried to warn him... response:	I can hear you, you know.
context: Would you like another roll?\This bread is really delicious. I'll have two or three rolls if I can.\I'm fine, thank you. It certainly was delicious, though.\You wouldn't think it to look at her now, but Kelly was once a beauty.\You should be silent when you eat.\Even though it was an arranged marriage, Doug fell in love with Kelly at first sight.\I could tell she was stubborn, so I tried to warn him...\I can hear you, you know. response:	She was tart with me, but always so kind to Doug.
context: This bread is really delicious. I'll have two or three rolls if I can.\I'm fine, thank you. It certainly was delicious, though.\You wouldn't think it to look at her now, but Kelly was once a beauty.\You should be silent when you eat.\Even though it was an arranged marriage, Doug fell in love with Kelly at first sight.\I could tell she was stubborn, so I tried to warn him...\I can hear you, you know.\She was tart with me, but always so kind to Doug. response:	But of course. He was my husband.
context: I'm fine, thank you. It certainly was delicious, though.\You wouldn't think it to look at her now, but Kelly was once a beauty.\You should be silent when you eat.\Even though it was an arranged marriage, Doug fell in love with Kelly at first sight.\I could tell she was stubborn, so I tried to warn him...\I can hear you, you know.\She was tart with me, but always so kind to Doug.\But of course. He was my husband. response:	They were... a handsome couple.
context: You wouldn't think it to look at her now, but Kelly was once a beauty.\You should be silent when you eat.\Even though it was an arranged marriage, Doug fell in love with Kelly at first sight.\I could tell she was stubborn, so I tried to warn him...\I can hear you, you know.\She was tart with me, but always so kind to Doug.\But of course. He was my husband.\They were... a handsome couple. response:	Well then, guess I'll fetch some more wine.
context: You should be silent when you eat.\Even though it was an arranged marriage, Doug fell in love with Kelly at first sight.\I could tell she was stubborn, so I tried to warn him...\I can hear you, you know.\She was tart with me, but always so kind to Doug.\But of course. He was my husband.\They were... a handsome couple.\Well then, guess I'll fetch some more wine. response:	I'll go...
context: Even though it was an arranged marriage, Doug fell in love with Kelly at first sight.\I could tell she was stubborn, so I tried to warn him...\I can hear you, you know.\She was tart with me, but always so kind to Doug.\But of course. He was my husband.\They were... a handsome couple.\Well then, guess I'll fetch some more wine.\I'll go... response:	Nah, I'm fine.
context: I could tell she was stubborn, so I tried to warn him...\I can hear you, you know.\She was tart with me, but always so kind to Doug.\But of course. He was my husband.\They were... a handsome couple.\Well then, guess I'll fetch some more wine.\I'll go...\Nah, I'm fine. response:	I'm just fine.
context: I can hear you, you know.\She was tart with me, but always so kind to Doug.\But of course. He was my husband.\They were... a handsome couple.\Well then, guess I'll fetch some more wine.\I'll go...\Nah, I'm fine.\I'm just fine. response:	He'll be all right. No need to worry.
context: She was tart with me, but always so kind to Doug.\But of course. He was my husband.\They were... a handsome couple.\Well then, guess I'll fetch some more wine.\I'll go...\Nah, I'm fine.\I'm just fine.\He'll be all right. No need to worry. response:	Yes, ma'am.
context: But of course. He was my husband.\They were... a handsome couple.\Well then, guess I'll fetch some more wine.\I'll go...\Nah, I'm fine.\I'm just fine.\He'll be all right. No need to worry.\Yes, ma'am. response:	He may be old, but a bottle of wine won't hurt him.
context: They were... a handsome couple.\Well then, guess I'll fetch some more wine.\I'll go...\Nah, I'm fine.\I'm just fine.\He'll be all right. No need to worry.\Yes, ma'am.\He may be old, but a bottle of wine won't hurt him. response:	He's a good man, Mr. Al.
context: Well then, guess I'll fetch some more wine.\I'll go...\Nah, I'm fine.\I'm just fine.\He'll be all right. No need to worry.\Yes, ma'am.\He may be old, but a bottle of wine won't hurt him.\He's a good man, Mr. Al. response:	I worry that he is still on his own.
context: I'll go...\Nah, I'm fine.\I'm just fine.\He'll be all right. No need to worry.\Yes, ma'am.\He may be old, but a bottle of wine won't hurt him.\He's a good man, Mr. Al.\I worry that he is still on his own. response:	You were 15 when you came here.
context: Nah, I'm fine.\I'm just fine.\He'll be all right. No need to worry.\Yes, ma'am.\He may be old, but a bottle of wine won't hurt him.\He's a good man, Mr. Al.\I worry that he is still on his own.\You were 15 when you came here. response:	I had left the Jones' employ as a governess,
context: I'm just fine.\He'll be all right. No need to worry.\Yes, ma'am.\He may be old, but a bottle of wine won't hurt him.\He's a good man, Mr. Al.\I worry that he is still on his own.\You were 15 when you came here.\I had left the Jones' employ as a governess, response:	and had just retired to this house...
context: He'll be all right. No need to worry.\Yes, ma'am.\He may be old, but a bottle of wine won't hurt him.\He's a good man, Mr. Al.\I worry that he is still on his own.\You were 15 when you came here.\I had left the Jones' employ as a governess,\and had just retired to this house... response:	It's been five years since then... Time move so quickly.
context: Yes, ma'am.\He may be old, but a bottle of wine won't hurt him.\He's a good man, Mr. Al.\I worry that he is still on his own.\You were 15 when you came here.\I had left the Jones' employ as a governess,\and had just retired to this house...\It's been five years since then... Time move so quickly. response:	By the way, Emma... What are your thoughts on Young Master William?
context: He may be old, but a bottle of wine won't hurt him.\He's a good man, Mr. Al.\I worry that he is still on his own.\You were 15 when you came here.\I had left the Jones' employ as a governess,\and had just retired to this house...\It's been five years since then... Time move so quickly.\By the way, Emma... What are your thoughts on Young Master William? response:	Will you turn him down too?
context: He's a good man, Mr. Al.\I worry that he is still on his own.\You were 15 when you came here.\I had left the Jones' employ as a governess,\and had just retired to this house...\It's been five years since then... Time move so quickly.\By the way, Emma... What are your thoughts on Young Master William?\Will you turn him down too? response:	I've never met anyone like him. Although he's of the gentry,
context: I worry that he is still on his own.\You were 15 when you came here.\I had left the Jones' employ as a governess,\and had just retired to this house...\It's been five years since then... Time move so quickly.\By the way, Emma... What are your thoughts on Young Master William?\Will you turn him down too?\I've never met anyone like him. Although he's of the gentry, response:	he doesn't seem to notice that I'm a maid...
context: You were 15 when you came here.\I had left the Jones' employ as a governess,\and had just retired to this house...\It's been five years since then... Time move so quickly.\By the way, Emma... What are your thoughts on Young Master William?\Will you turn him down too?\I've never met anyone like him. Although he's of the gentry,\he doesn't seem to notice that I'm a maid... response:	It's true... that young man can be rather careless.
context: I had left the Jones' employ as a governess,\and had just retired to this house...\It's been five years since then... Time move so quickly.\By the way, Emma... What are your thoughts on Young Master William?\Will you turn him down too?\I've never met anyone like him. Although he's of the gentry,\he doesn't seem to notice that I'm a maid...\It's true... that young man can be rather careless. response:	He doesn't ask me simple yes or no questions like others do...
context: and had just retired to this house...\It's been five years since then... Time move so quickly.\By the way, Emma... What are your thoughts on Young Master William?\Will you turn him down too?\I've never met anyone like him. Although he's of the gentry,\he doesn't seem to notice that I'm a maid...\It's true... that young man can be rather careless.\He doesn't ask me simple yes or no questions like others do... response:	Do you like him?
context: It's been five years since then... Time move so quickly.\By the way, Emma... What are your thoughts on Young Master William?\Will you turn him down too?\I've never met anyone like him. Although he's of the gentry,\he doesn't seem to notice that I'm a maid...\It's true... that young man can be rather careless.\He doesn't ask me simple yes or no questions like others do...\Do you like him? response:	I see...
context: By the way, Emma... What are your thoughts on Young Master William?\Will you turn him down too?\I've never met anyone like him. Although he's of the gentry,\he doesn't seem to notice that I'm a maid...\It's true... that young man can be rather careless.\He doesn't ask me simple yes or no questions like others do...\Do you like him?\I see... response:	What has William been up to recently?
context: Will you turn him down too?\I've never met anyone like him. Although he's of the gentry,\he doesn't seem to notice that I'm a maid...\It's true... that young man can be rather careless.\He doesn't ask me simple yes or no questions like others do...\Do you like him?\I see...\What has William been up to recently? response:	What do you mean, sir?
context: I've never met anyone like him. Although he's of the gentry,\he doesn't seem to notice that I'm a maid...\It's true... that young man can be rather careless.\He doesn't ask me simple yes or no questions like others do...\Do you like him?\I see...\What has William been up to recently?\What do you mean, sir? response:	He appears to be wasting a great deal of time goofing off with Hakim.
context: he doesn't seem to notice that I'm a maid...\It's true... that young man can be rather careless.\He doesn't ask me simple yes or no questions like others do...\Do you like him?\I see...\What has William been up to recently?\What do you mean, sir?\He appears to be wasting a great deal of time goofing off with Hakim. response:	Yes, sir.
context: It's true... that young man can be rather careless.\He doesn't ask me simple yes or no questions like others do...\Do you like him?\I see...\What has William been up to recently?\What do you mean, sir?\He appears to be wasting a great deal of time goofing off with Hakim.\Yes, sir. response:	Master William spends much of his time at the residence of Mrs. Stownar.
context: He doesn't ask me simple yes or no questions like others do...\Do you like him?\I see...\What has William been up to recently?\What do you mean, sir?\He appears to be wasting a great deal of time goofing off with Hakim.\Yes, sir.\Master William spends much of his time at the residence of Mrs. Stownar. response:	Mrs. Stownar? You mean his former governess, Kelly Stownar?
context: Do you like him?\I see...\What has William been up to recently?\What do you mean, sir?\He appears to be wasting a great deal of time goofing off with Hakim.\Yes, sir.\Master William spends much of his time at the residence of Mrs. Stownar.\Mrs. Stownar? You mean his former governess, Kelly Stownar? response:	Yes, sir. Master William is a thoughtful young man.
context: I see...\What has William been up to recently?\What do you mean, sir?\He appears to be wasting a great deal of time goofing off with Hakim.\Yes, sir.\Master William spends much of his time at the residence of Mrs. Stownar.\Mrs. Stownar? You mean his former governess, Kelly Stownar?\Yes, sir. Master William is a thoughtful young man. response:	He seems concerned about his aging governess.
context: What has William been up to recently?\What do you mean, sir?\He appears to be wasting a great deal of time goofing off with Hakim.\Yes, sir.\Master William spends much of his time at the residence of Mrs. Stownar.\Mrs. Stownar? You mean his former governess, Kelly Stownar?\Yes, sir. Master William is a thoughtful young man.\He seems concerned about his aging governess. response:	I don't believe there's any cause for concern.
context: What do you mean, sir?\He appears to be wasting a great deal of time goofing off with Hakim.\Yes, sir.\Master William spends much of his time at the residence of Mrs. Stownar.\Mrs. Stownar? You mean his former governess, Kelly Stownar?\Yes, sir. Master William is a thoughtful young man.\He seems concerned about his aging governess.\I don't believe there's any cause for concern. response:	I wonder where he is. He's been gone a long time.
context: He appears to be wasting a great deal of time goofing off with Hakim.\Yes, sir.\Master William spends much of his time at the residence of Mrs. Stownar.\Mrs. Stownar? You mean his former governess, Kelly Stownar?\Yes, sir. Master William is a thoughtful young man.\He seems concerned about his aging governess.\I don't believe there's any cause for concern.\I wonder where he is. He's been gone a long time. response:	I'll go see, ma'am.
context: Yes, sir.\Master William spends much of his time at the residence of Mrs. Stownar.\Mrs. Stownar? You mean his former governess, Kelly Stownar?\Yes, sir. Master William is a thoughtful young man.\He seems concerned about his aging governess.\I don't believe there's any cause for concern.\I wonder where he is. He's been gone a long time.\I'll go see, ma'am. response:	Please tell him that I've retired to bed.
context: Master William spends much of his time at the residence of Mrs. Stownar.\Mrs. Stownar? You mean his former governess, Kelly Stownar?\Yes, sir. Master William is a thoughtful young man.\He seems concerned about his aging governess.\I don't believe there's any cause for concern.\I wonder where he is. He's been gone a long time.\I'll go see, ma'am.\Please tell him that I've retired to bed. response:	I'm very tired tonight...
context: Mrs. Stownar? You mean his former governess, Kelly Stownar?\Yes, sir. Master William is a thoughtful young man.\He seems concerned about his aging governess.\I don't believe there's any cause for concern.\I wonder where he is. He's been gone a long time.\I'll go see, ma'am.\Please tell him that I've retired to bed.\I'm very tired tonight... response:	Yes, ma'am.
context: Yes, sir. Master William is a thoughtful young man.\He seems concerned about his aging governess.\I don't believe there's any cause for concern.\I wonder where he is. He's been gone a long time.\I'll go see, ma'am.\Please tell him that I've retired to bed.\I'm very tired tonight...\Yes, ma'am. response:	What the... Was I asleep?
context: He seems concerned about his aging governess.\I don't believe there's any cause for concern.\I wonder where he is. He's been gone a long time.\I'll go see, ma'am.\Please tell him that I've retired to bed.\I'm very tired tonight...\Yes, ma'am.\What the... Was I asleep? response:	The mistress has retired to bed, and asked me to say goodnight to you.
context: I don't believe there's any cause for concern.\I wonder where he is. He's been gone a long time.\I'll go see, ma'am.\Please tell him that I've retired to bed.\I'm very tired tonight...\Yes, ma'am.\What the... Was I asleep?\The mistress has retired to bed, and asked me to say goodnight to you. response:	Oh.. In that case, I'll retire too.
context: I wonder where he is. He's been gone a long time.\I'll go see, ma'am.\Please tell him that I've retired to bed.\I'm very tired tonight...\Yes, ma'am.\What the... Was I asleep?\The mistress has retired to bed, and asked me to say goodnight to you.\Oh.. In that case, I'll retire too. response:	Ma'am?!
context: I'll go see, ma'am.\Please tell him that I've retired to bed.\I'm very tired tonight...\Yes, ma'am.\What the... Was I asleep?\The mistress has retired to bed, and asked me to say goodnight to you.\Oh.. In that case, I'll retire too.\Ma'am?! response:	Ma'am!
context: Please tell him that I've retired to bed.\I'm very tired tonight...\Yes, ma'am.\What the... Was I asleep?\The mistress has retired to bed, and asked me to say goodnight to you.\Oh.. In that case, I'll retire too.\Ma'am?!\Ma'am! response:	Are you all right?
context: I'm very tired tonight...\Yes, ma'am.\What the... Was I asleep?\The mistress has retired to bed, and asked me to say goodnight to you.\Oh.. In that case, I'll retire too.\Ma'am?!\Ma'am!\Are you all right? response:	Yes... I'm fine...
context: Yes, ma'am.\What the... Was I asleep?\The mistress has retired to bed, and asked me to say goodnight to you.\Oh.. In that case, I'll retire too.\Ma'am?!\Ma'am!\Are you all right?\Yes... I'm fine... response:	It doesn't seem broken.
context: What the... Was I asleep?\The mistress has retired to bed, and asked me to say goodnight to you.\Oh.. In that case, I'll retire too.\Ma'am?!\Ma'am!\Are you all right?\Yes... I'm fine...\It doesn't seem broken. response:	All right, here we go...
context: The mistress has retired to bed, and asked me to say goodnight to you.\Oh.. In that case, I'll retire too.\Ma'am?!\Ma'am!\Are you all right?\Yes... I'm fine...\It doesn't seem broken.\All right, here we go... response:	Hold on to me.
context: Oh.. In that case, I'll retire too.\Ma'am?!\Ma'am!\Are you all right?\Yes... I'm fine...\It doesn't seem broken.\All right, here we go...\Hold on to me. response:	I turned back to get a book I was reading, but I lost my footing...
context: Ma'am?!\Ma'am!\Are you all right?\Yes... I'm fine...\It doesn't seem broken.\All right, here we go...\Hold on to me.\I turned back to get a book I was reading, but I lost my footing... response:	Such a bother. Thanks to you, I'm completely sober now!
context: Ma'am!\Are you all right?\Yes... I'm fine...\It doesn't seem broken.\All right, here we go...\Hold on to me.\I turned back to get a book I was reading, but I lost my footing...\Such a bother. Thanks to you, I'm completely sober now! response:	Emma, can you check the staircase later?
context: Are you all right?\Yes... I'm fine...\It doesn't seem broken.\All right, here we go...\Hold on to me.\I turned back to get a book I was reading, but I lost my footing...\Such a bother. Thanks to you, I'm completely sober now!\Emma, can you check the staircase later? response:	I seem to have lost my old-
context: Yes... I'm fine...\It doesn't seem broken.\All right, here we go...\Hold on to me.\I turned back to get a book I was reading, but I lost my footing...\Such a bother. Thanks to you, I'm completely sober now!\Emma, can you check the staircase later?\I seem to have lost my old- response:	I think I managed to gather most of it...
context: It doesn't seem broken.\All right, here we go...\Hold on to me.\I turned back to get a book I was reading, but I lost my footing...\Such a bother. Thanks to you, I'm completely sober now!\Emma, can you check the staircase later?\I seem to have lost my old-\I think I managed to gather most of it... response:	The string must have broken, then.
context: All right, here we go...\Hold on to me.\I turned back to get a book I was reading, but I lost my footing...\Such a bother. Thanks to you, I'm completely sober now!\Emma, can you check the staircase later?\I seem to have lost my old-\I think I managed to gather most of it...\The string must have broken, then. response:	It can't be helped. Just leave it as it is.
context: Hold on to me.\I turned back to get a book I was reading, but I lost my footing...\Such a bother. Thanks to you, I'm completely sober now!\Emma, can you check the staircase later?\I seem to have lost my old-\I think I managed to gather most of it...\The string must have broken, then.\It can't be helped. Just leave it as it is. response:	Yes, ma'am.
context: I turned back to get a book I was reading, but I lost my footing...\Such a bother. Thanks to you, I'm completely sober now!\Emma, can you check the staircase later?\I seem to have lost my old-\I think I managed to gather most of it...\The string must have broken, then.\It can't be helped. Just leave it as it is.\Yes, ma'am. response:	Al, I'm sorry, but might l ask you to do one more job?
context: Such a bother. Thanks to you, I'm completely sober now!\Emma, can you check the staircase later?\I seem to have lost my old-\I think I managed to gather most of it...\The string must have broken, then.\It can't be helped. Just leave it as it is.\Yes, ma'am.\Al, I'm sorry, but might l ask you to do one more job? response:	Yeah, sure.
context: Emma, can you check the staircase later?\I seem to have lost my old-\I think I managed to gather most of it...\The string must have broken, then.\It can't be helped. Just leave it as it is.\Yes, ma'am.\Al, I'm sorry, but might l ask you to do one more job?\Yeah, sure. response:	Honestly, you really aren't very good with people, are you?
context: I seem to have lost my old-\I think I managed to gather most of it...\The string must have broken, then.\It can't be helped. Just leave it as it is.\Yes, ma'am.\Al, I'm sorry, but might l ask you to do one more job?\Yeah, sure.\Honestly, you really aren't very good with people, are you? response:	Here we go...
context: I think I managed to gather most of it...\The string must have broken, then.\It can't be helped. Just leave it as it is.\Yes, ma'am.\Al, I'm sorry, but might l ask you to do one more job?\Yeah, sure.\Honestly, you really aren't very good with people, are you?\Here we go... response:	Slowly now...
context: The string must have broken, then.\It can't be helped. Just leave it as it is.\Yes, ma'am.\Al, I'm sorry, but might l ask you to do one more job?\Yeah, sure.\Honestly, you really aren't very good with people, are you?\Here we go...\Slowly now... response:	There we go.
context: It can't be helped. Just leave it as it is.\Yes, ma'am.\Al, I'm sorry, but might l ask you to do one more job?\Yeah, sure.\Honestly, you really aren't very good with people, are you?\Here we go...\Slowly now...\There we go. response:	Good, good.
context: Yes, ma'am.\Al, I'm sorry, but might l ask you to do one more job?\Yeah, sure.\Honestly, you really aren't very good with people, are you?\Here we go...\Slowly now...\There we go.\Good, good. response:	Ma'am!
context: Al, I'm sorry, but might l ask you to do one more job?\Yeah, sure.\Honestly, you really aren't very good with people, are you?\Here we go...\Slowly now...\There we go.\Good, good.\Ma'am! response:	Here, this is for you...
context: Yeah, sure.\Honestly, you really aren't very good with people, are you?\Here we go...\Slowly now...\There we go.\Good, good.\Ma'am!\Here, this is for you... response:	I tried my hand at fixing it.
context: Honestly, you really aren't very good with people, are you?\Here we go...\Slowly now...\There we go.\Good, good.\Ma'am!\Here, this is for you...\I tried my hand at fixing it. response:	Is this as it was?
context: Here we go...\Slowly now...\There we go.\Good, good.\Ma'am!\Here, this is for you...\I tried my hand at fixing it.\Is this as it was? response:	It's as good as new!
context: Slowly now...\There we go.\Good, good.\Ma'am!\Here, this is for you...\I tried my hand at fixing it.\Is this as it was?\It's as good as new! response:	But how...?
context: There we go.\Good, good.\Ma'am!\Here, this is for you...\I tried my hand at fixing it.\Is this as it was?\It's as good as new!\But how...? response:	I used this photograph as a guide.
context: Good, good.\Ma'am!\Here, this is for you...\I tried my hand at fixing it.\Is this as it was?\It's as good as new!\But how...?\I used this photograph as a guide. response:	It's such a lovely necklace.
context: Ma'am!\Here, this is for you...\I tried my hand at fixing it.\Is this as it was?\It's as good as new!\But how...?\I used this photograph as a guide.\It's such a lovely necklace. response:	Was it a present from your husband?
context: Here, this is for you...\I tried my hand at fixing it.\Is this as it was?\It's as good as new!\But how...?\I used this photograph as a guide.\It's such a lovely necklace.\Was it a present from your husband? response:	Yes...
context: I tried my hand at fixing it.\Is this as it was?\It's as good as new!\But how...?\I used this photograph as a guide.\It's such a lovely necklace.\Was it a present from your husband?\Yes... response:	Emma.
context: Is this as it was?\It's as good as new!\But how...?\I used this photograph as a guide.\It's such a lovely necklace.\Was it a present from your husband?\Yes...\Emma. response:	Yes, ma'am?
context: It's as good as new!\But how...?\I used this photograph as a guide.\It's such a lovely necklace.\Was it a present from your husband?\Yes...\Emma.\Yes, ma'am? response:	Come here.
context: But how...?\I used this photograph as a guide.\It's such a lovely necklace.\Was it a present from your husband?\Yes...\Emma.\Yes, ma'am?\Come here. response:	I'd like you to have this.
context: I used this photograph as a guide.\It's such a lovely necklace.\Was it a present from your husband?\Yes...\Emma.\Yes, ma'am?\Come here.\I'd like you to have this. response:	Ma'am?
context: It's such a lovely necklace.\Was it a present from your husband?\Yes...\Emma.\Yes, ma'am?\Come here.\I'd like you to have this.\Ma'am? response:	It doesn't suit me anymore.
context: Was it a present from your husband?\Yes...\Emma.\Yes, ma'am?\Come here.\I'd like you to have this.\Ma'am?\It doesn't suit me anymore. response:	But...
context: Yes...\Emma.\Yes, ma'am?\Come here.\I'd like you to have this.\Ma'am?\It doesn't suit me anymore.\But... response:	I'm sure Doug would be happy for you to have it.
context: Emma.\Yes, ma'am?\Come here.\I'd like you to have this.\Ma'am?\It doesn't suit me anymore.\But...\I'm sure Doug would be happy for you to have it. response:	I've finished the wallpaper.
context: Yes, ma'am?\Come here.\I'd like you to have this.\Ma'am?\It doesn't suit me anymore.\But...\I'm sure Doug would be happy for you to have it.\I've finished the wallpaper. response:	Then, could you take a look at the gutters out back next?
context: Come here.\I'd like you to have this.\Ma'am?\It doesn't suit me anymore.\But...\I'm sure Doug would be happy for you to have it.\I've finished the wallpaper.\Then, could you take a look at the gutters out back next? response:	It seems as though the rain is leaking in.
context: I'd like you to have this.\Ma'am?\It doesn't suit me anymore.\But...\I'm sure Doug would be happy for you to have it.\I've finished the wallpaper.\Then, could you take a look at the gutters out back next?\It seems as though the rain is leaking in. response:	Please.
context: Ma'am?\It doesn't suit me anymore.\But...\I'm sure Doug would be happy for you to have it.\I've finished the wallpaper.\Then, could you take a look at the gutters out back next?\It seems as though the rain is leaking in.\Please. response:	Emma, could you make a pot of tea please?
context: It doesn't suit me anymore.\But...\I'm sure Doug would be happy for you to have it.\I've finished the wallpaper.\Then, could you take a look at the gutters out back next?\It seems as though the rain is leaking in.\Please.\Emma, could you make a pot of tea please? response:	Yes, ma'am.
context: But...\I'm sure Doug would be happy for you to have it.\I've finished the wallpaper.\Then, could you take a look at the gutters out back next?\It seems as though the rain is leaking in.\Please.\Emma, could you make a pot of tea please?\Yes, ma'am. response:	You took a photograph?
context: I'm sure Doug would be happy for you to have it.\I've finished the wallpaper.\Then, could you take a look at the gutters out back next?\It seems as though the rain is leaking in.\Please.\Emma, could you make a pot of tea please?\Yes, ma'am.\You took a photograph? response:	Isn't Kelly a beauty?
context: I've finished the wallpaper.\Then, could you take a look at the gutters out back next?\It seems as though the rain is leaking in.\Please.\Emma, could you make a pot of tea please?\Yes, ma'am.\You took a photograph?\Isn't Kelly a beauty? response:	Of course that's what you'd say.
context: Then, could you take a look at the gutters out back next?\It seems as though the rain is leaking in.\Please.\Emma, could you make a pot of tea please?\Yes, ma'am.\You took a photograph?\Isn't Kelly a beauty?\Of course that's what you'd say. response:	Well, it's a nice keepsake.
context: It seems as though the rain is leaking in.\Please.\Emma, could you make a pot of tea please?\Yes, ma'am.\You took a photograph?\Isn't Kelly a beauty?\Of course that's what you'd say.\Well, it's a nice keepsake. response:	Yeah. I plan on having one taken every year.
context: Please.\Emma, could you make a pot of tea please?\Yes, ma'am.\You took a photograph?\Isn't Kelly a beauty?\Of course that's what you'd say.\Well, it's a nice keepsake.\Yeah. I plan on having one taken every year. response:	You have to stay still for so long. My shoulders felt stiff.
context: Emma, could you make a pot of tea please?\Yes, ma'am.\You took a photograph?\Isn't Kelly a beauty?\Of course that's what you'd say.\Well, it's a nice keepsake.\Yeah. I plan on having one taken every year.\You have to stay still for so long. My shoulders felt stiff. response:	Oh dear, we've run out of sugar. Say Al, can you run and buy some for us?
context: Yes, ma'am.\You took a photograph?\Isn't Kelly a beauty?\Of course that's what you'd say.\Well, it's a nice keepsake.\Yeah. I plan on having one taken every year.\You have to stay still for so long. My shoulders felt stiff.\Oh dear, we've run out of sugar. Say Al, can you run and buy some for us? response:	Why me? Ask Doug.
context: You took a photograph?\Isn't Kelly a beauty?\Of course that's what you'd say.\Well, it's a nice keepsake.\Yeah. I plan on having one taken every year.\You have to stay still for so long. My shoulders felt stiff.\Oh dear, we've run out of sugar. Say Al, can you run and buy some for us?\Why me? Ask Doug. response:	But Doug's my husband.
context: Isn't Kelly a beauty?\Of course that's what you'd say.\Well, it's a nice keepsake.\Yeah. I plan on having one taken every year.\You have to stay still for so long. My shoulders felt stiff.\Oh dear, we've run out of sugar. Say Al, can you run and buy some for us?\Why me? Ask Doug.\But Doug's my husband. response:	I can't ask him to run errands.
context: Of course that's what you'd say.\Well, it's a nice keepsake.\Yeah. I plan on having one taken every year.\You have to stay still for so long. My shoulders felt stiff.\Oh dear, we've run out of sugar. Say Al, can you run and buy some for us?\Why me? Ask Doug.\But Doug's my husband.\I can't ask him to run errands. response:	Right. Because I'm the husband.
context: Well, it's a nice keepsake.\Yeah. I plan on having one taken every year.\You have to stay still for so long. My shoulders felt stiff.\Oh dear, we've run out of sugar. Say Al, can you run and buy some for us?\Why me? Ask Doug.\But Doug's my husband.\I can't ask him to run errands.\Right. Because I'm the husband. response:	Come now, hurry up!
context: Yeah. I plan on having one taken every year.\You have to stay still for so long. My shoulders felt stiff.\Oh dear, we've run out of sugar. Say Al, can you run and buy some for us?\Why me? Ask Doug.\But Doug's my husband.\I can't ask him to run errands.\Right. Because I'm the husband.\Come now, hurry up! response:	Yeah, sure.
context: You have to stay still for so long. My shoulders felt stiff.\Oh dear, we've run out of sugar. Say Al, can you run and buy some for us?\Why me? Ask Doug.\But Doug's my husband.\I can't ask him to run errands.\Right. Because I'm the husband.\Come now, hurry up!\Yeah, sure. response:	Honesly... She's so bad with people...
context: Oh dear, we've run out of sugar. Say Al, can you run and buy some for us?\Why me? Ask Doug.\But Doug's my husband.\I can't ask him to run errands.\Right. Because I'm the husband.\Come now, hurry up!\Yeah, sure.\Honesly... She's so bad with people... response:	Next Episode: The Visit
