context: Listen up, everyone. response:	I'm putting Chihaya in the number three position.
context: Everybody helped to give me this chance.\Oh, that's right.\No matter how hard I worked, I couldn't have made it here alone.\This\Omi Jingu tatami is for five.\They should just let us play the final now.\You shouldn't say such a thing.\We will begin now. response:	Thank you for the game.
context: Oh, that's right.\No matter how hard I worked, I couldn't have made it here alone.\This\Omi Jingu tatami is for five.\They should just let us play the final now.\You shouldn't say such a thing.\We will begin now.\Thank you for the game. response:	Thank you for the game.
context: No matter how hard I worked, I couldn't have made it here alone.\This\Omi Jingu tatami is for five.\They should just let us play the final now.\You shouldn't say such a thing.\We will begin now.\Thank you for the game.\Thank you for the game. response:	Naniwa Bay, now the flower blooms, but for winter
context: This\Omi Jingu tatami is for five.\They should just let us play the final now.\You shouldn't say such a thing.\We will begin now.\Thank you for the game.\Thank you for the game.\Naniwa Bay, now the flower blooms, but for winter response:	Here comes spring, now the flower blooms
context: Omi Jingu tatami is for five.\They should just let us play the final now.\You shouldn't say such a thing.\We will begin now.\Thank you for the game.\Thank you for the game.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms response:	Creepy
context: They should just let us play the final now.\You shouldn't say such a thing.\We will begin now.\Thank you for the game.\Thank you for the game.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Creepy response:	Here comes spring, now the flower blooms
context: You shouldn't say such a thing.\We will begin now.\Thank you for the game.\Thank you for the game.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Creepy\Here comes spring, now the flower blooms response:	The sound of birds crossing from Awaji Island
context: We will begin now.\Thank you for the game.\Thank you for the game.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Creepy\Here comes spring, now the flower blooms\The sound of birds crossing from Awaji Island response:	Megumu-tan is faster now.
context: Thank you for the game.\Thank you for the game.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Creepy\Here comes spring, now the flower blooms\The sound of birds crossing from Awaji Island\Megumu-tan is faster now. response:	She's way faster now than when she was in
context: Thank you for the game.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Creepy\Here comes spring, now the flower blooms\The sound of birds crossing from Awaji Island\Megumu-tan is faster now.\She's way faster now than when she was in response:	last year's Queen match.
context: Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Creepy\Here comes spring, now the flower blooms\The sound of birds crossing from Awaji Island\Megumu-tan is faster now.\She's way faster now than when she was in\last year's Queen match. response:	I got it.
context: Here comes spring, now the flower blooms\Creepy\Here comes spring, now the flower blooms\The sound of birds crossing from Awaji Island\Megumu-tan is faster now.\She's way faster now than when she was in\last year's Queen match.\I got it. response:	Okay, one card at a time, guys.
context: Creepy\Here comes spring, now the flower blooms\The sound of birds crossing from Awaji Island\Megumu-tan is faster now.\She's way faster now than when she was in\last year's Queen match.\I got it.\Okay, one card at a time, guys. response:	Yes!
context: Here comes spring, now the flower blooms\The sound of birds crossing from Awaji Island\Megumu-tan is faster now.\She's way faster now than when she was in\last year's Queen match.\I got it.\Okay, one card at a time, guys.\Yes! response:	Akashi Girls' has this match in the bag.
context: The sound of birds crossing from Awaji Island\Megumu-tan is faster now.\She's way faster now than when she was in\last year's Queen match.\I got it.\Okay, one card at a time, guys.\Yes!\Akashi Girls' has this match in the bag. response:	Mizusawa placed second in the Tokyo regional,
context: Megumu-tan is faster now.\She's way faster now than when she was in\last year's Queen match.\I got it.\Okay, one card at a time, guys.\Yes!\Akashi Girls' has this match in the bag.\Mizusawa placed second in the Tokyo regional, response:	and Group B didn't have any strong opponents.
context: She's way faster now than when she was in\last year's Queen match.\I got it.\Okay, one card at a time, guys.\Yes!\Akashi Girls' has this match in the bag.\Mizusawa placed second in the Tokyo regional,\and Group B didn't have any strong opponents. response:	Akashi Girls has them beat in both history and current lineup.
context: last year's Queen match.\I got it.\Okay, one card at a time, guys.\Yes!\Akashi Girls' has this match in the bag.\Mizusawa placed second in the Tokyo regional,\and Group B didn't have any strong opponents.\Akashi Girls has them beat in both history and current lineup. response:	The match to watch is definitely
context: I got it.\Okay, one card at a time, guys.\Yes!\Akashi Girls' has this match in the bag.\Mizusawa placed second in the Tokyo regional,\and Group B didn't have any strong opponents.\Akashi Girls has them beat in both history and current lineup.\The match to watch is definitely response:	Creepy
context: Okay, one card at a time, guys.\Yes!\Akashi Girls' has this match in the bag.\Mizusawa placed second in the Tokyo regional,\and Group B didn't have any strong opponents.\Akashi Girls has them beat in both history and current lineup.\The match to watch is definitely\Creepy response:	Hokuo against Fujisaki.
context: Yes!\Akashi Girls' has this match in the bag.\Mizusawa placed second in the Tokyo regional,\and Group B didn't have any strong opponents.\Akashi Girls has them beat in both history and current lineup.\The match to watch is definitely\Creepy\Hokuo against Fujisaki. response:	The real final.
context: Akashi Girls' has this match in the bag.\Mizusawa placed second in the Tokyo regional,\and Group B didn't have any strong opponents.\Akashi Girls has them beat in both history and current lineup.\The match to watch is definitely\Creepy\Hokuo against Fujisaki.\The real final. response:	Wataya-kun, what was your objective today?
context: Mizusawa placed second in the Tokyo regional,\and Group B didn't have any strong opponents.\Akashi Girls has them beat in both history and current lineup.\The match to watch is definitely\Creepy\Hokuo against Fujisaki.\The real final.\Wataya-kun, what was your objective today? response:	Huh?
context: and Group B didn't have any strong opponents.\Akashi Girls has them beat in both history and current lineup.\The match to watch is definitely\Creepy\Hokuo against Fujisaki.\The real final.\Wataya-kun, what was your objective today?\Huh? response:	I came here to cheer for my friends from Tokyo.
context: Akashi Girls has them beat in both history and current lineup.\The match to watch is definitely\Creepy\Hokuo against Fujisaki.\The real final.\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo. response:	Then you're no longer allowed to do that.
context: The match to watch is definitely\Creepy\Hokuo against Fujisaki.\The real final.\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that. response:	So he's cheering for Hokuo...
context: Creepy\Hokuo against Fujisaki.\The real final.\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\So he's cheering for Hokuo... response:	Creepy
context: Hokuo against Fujisaki.\The real final.\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\So he's cheering for Hokuo...\Creepy response:	Last year, Mizusawa prevented us from making it to Nationals.
context: The real final.\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\So he's cheering for Hokuo...\Creepy\Last year, Mizusawa prevented us from making it to Nationals. response:	Amakasu and Takuma are the only ones with experience at Nationals.
context: Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\So he's cheering for Hokuo...\Creepy\Last year, Mizusawa prevented us from making it to Nationals.\Amakasu and Takuma are the only ones with experience at Nationals. response:	This year, we were able to bring some first and second-years.
context: Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\So he's cheering for Hokuo...\Creepy\Last year, Mizusawa prevented us from making it to Nationals.\Amakasu and Takuma are the only ones with experience at Nationals.\This year, we were able to bring some first and second-years. response:	Fujisaki is fielding five third-years.
context: I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\So he's cheering for Hokuo...\Creepy\Last year, Mizusawa prevented us from making it to Nationals.\Amakasu and Takuma are the only ones with experience at Nationals.\This year, we were able to bring some first and second-years.\Fujisaki is fielding five third-years. response:	If we beat them here, they won't be a threat next year.
context: Then you're no longer allowed to do that.\So he's cheering for Hokuo...\Creepy\Last year, Mizusawa prevented us from making it to Nationals.\Amakasu and Takuma are the only ones with experience at Nationals.\This year, we were able to bring some first and second-years.\Fujisaki is fielding five third-years.\If we beat them here, they won't be a threat next year. response:	You can do this, everyone!
context: So he's cheering for Hokuo...\Creepy\Last year, Mizusawa prevented us from making it to Nationals.\Amakasu and Takuma are the only ones with experience at Nationals.\This year, we were able to bring some first and second-years.\Fujisaki is fielding five third-years.\If we beat them here, they won't be a threat next year.\You can do this, everyone! response:	However, I'm...
context: Creepy\Last year, Mizusawa prevented us from making it to Nationals.\Amakasu and Takuma are the only ones with experience at Nationals.\This year, we were able to bring some first and second-years.\Fujisaki is fielding five third-years.\If we beat them here, they won't be a threat next year.\You can do this, everyone!\However, I'm... response:	Fujisaki High School Karuta Advisor Sakurazawa Midori (39)
context: Last year, Mizusawa prevented us from making it to Nationals.\Amakasu and Takuma are the only ones with experience at Nationals.\This year, we were able to bring some first and second-years.\Fujisaki is fielding five third-years.\If we beat them here, they won't be a threat next year.\You can do this, everyone!\However, I'm...\Fujisaki High School Karuta Advisor Sakurazawa Midori (39) response:	The players from Akashi Girls' are playing well, Coach Minami.
context: Amakasu and Takuma are the only ones with experience at Nationals.\This year, we were able to bring some first and second-years.\Fujisaki is fielding five third-years.\If we beat them here, they won't be a threat next year.\You can do this, everyone!\However, I'm...\Fujisaki High School Karuta Advisor Sakurazawa Midori (39)\The players from Akashi Girls' are playing well, Coach Minami. response:	Ousaka-san is a strong weapon.
context: This year, we were able to bring some first and second-years.\Fujisaki is fielding five third-years.\If we beat them here, they won't be a threat next year.\You can do this, everyone!\However, I'm...\Fujisaki High School Karuta Advisor Sakurazawa Midori (39)\The players from Akashi Girls' are playing well, Coach Minami.\Ousaka-san is a strong weapon. response:	Naturally, Coach Sakurazawa!
context: Fujisaki is fielding five third-years.\If we beat them here, they won't be a threat next year.\You can do this, everyone!\However, I'm...\Fujisaki High School Karuta Advisor Sakurazawa Midori (39)\The players from Akashi Girls' are playing well, Coach Minami.\Ousaka-san is a strong weapon.\Naturally, Coach Sakurazawa! response:	First Akashi Girls' Karuta Advisor Minami Daigoro
context: If we beat them here, they won't be a threat next year.\You can do this, everyone!\However, I'm...\Fujisaki High School Karuta Advisor Sakurazawa Midori (39)\The players from Akashi Girls' are playing well, Coach Minami.\Ousaka-san is a strong weapon.\Naturally, Coach Sakurazawa!\First Akashi Girls' Karuta Advisor Minami Daigoro response:	Everybody's in a groove!
context: You can do this, everyone!\However, I'm...\Fujisaki High School Karuta Advisor Sakurazawa Midori (39)\The players from Akashi Girls' are playing well, Coach Minami.\Ousaka-san is a strong weapon.\Naturally, Coach Sakurazawa!\First Akashi Girls' Karuta Advisor Minami Daigoro\Everybody's in a groove! response:	I'm looking forward to an exciting final,
context: However, I'm...\Fujisaki High School Karuta Advisor Sakurazawa Midori (39)\The players from Akashi Girls' are playing well, Coach Minami.\Ousaka-san is a strong weapon.\Naturally, Coach Sakurazawa!\First Akashi Girls' Karuta Advisor Minami Daigoro\Everybody's in a groove!\I'm looking forward to an exciting final, response:	whether it's against Hokuo or Fujisaki!
context: Fujisaki High School Karuta Advisor Sakurazawa Midori (39)\The players from Akashi Girls' are playing well, Coach Minami.\Ousaka-san is a strong weapon.\Naturally, Coach Sakurazawa!\First Akashi Girls' Karuta Advisor Minami Daigoro\Everybody's in a groove!\I'm looking forward to an exciting final,\whether it's against Hokuo or Fujisaki! response:	Please keep it down.
context: The players from Akashi Girls' are playing well, Coach Minami.\Ousaka-san is a strong weapon.\Naturally, Coach Sakurazawa!\First Akashi Girls' Karuta Advisor Minami Daigoro\Everybody's in a groove!\I'm looking forward to an exciting final,\whether it's against Hokuo or Fujisaki!\Please keep it down. response:	Understood?
context: Ousaka-san is a strong weapon.\Naturally, Coach Sakurazawa!\First Akashi Girls' Karuta Advisor Minami Daigoro\Everybody's in a groove!\I'm looking forward to an exciting final,\whether it's against Hokuo or Fujisaki!\Please keep it down.\Understood? response:	Yes.
context: Naturally, Coach Sakurazawa!\First Akashi Girls' Karuta Advisor Minami Daigoro\Everybody's in a groove!\I'm looking forward to an exciting final,\whether it's against Hokuo or Fujisaki!\Please keep it down.\Understood?\Yes. response:	When I watched Ousaka-san last fall, she didn't seem that fast,
context: First Akashi Girls' Karuta Advisor Minami Daigoro\Everybody's in a groove!\I'm looking forward to an exciting final,\whether it's against Hokuo or Fujisaki!\Please keep it down.\Understood?\Yes.\When I watched Ousaka-san last fall, she didn't seem that fast, response:	but she attacked that card at full speed.
context: Everybody's in a groove!\I'm looking forward to an exciting final,\whether it's against Hokuo or Fujisaki!\Please keep it down.\Understood?\Yes.\When I watched Ousaka-san last fall, she didn't seem that fast,\but she attacked that card at full speed. response:	Being too aggressive with The sound of birds is risky.
context: I'm looking forward to an exciting final,\whether it's against Hokuo or Fujisaki!\Please keep it down.\Understood?\Yes.\When I watched Ousaka-san last fall, she didn't seem that fast,\but she attacked that card at full speed.\Being too aggressive with The sound of birds is risky. response:	Was she camping that card?
context: whether it's against Hokuo or Fujisaki!\Please keep it down.\Understood?\Yes.\When I watched Ousaka-san last fall, she didn't seem that fast,\but she attacked that card at full speed.\Being too aggressive with The sound of birds is risky.\Was she camping that card? response:	when I should have gone to sleep instead
context: Please keep it down.\Understood?\Yes.\When I watched Ousaka-san last fall, she didn't seem that fast,\but she attacked that card at full speed.\Being too aggressive with The sound of birds is risky.\Was she camping that card?\when I should have gone to sleep instead response:	She passed me the only A card on the field.
context: Understood?\Yes.\When I watched Ousaka-san last fall, she didn't seem that fast,\but she attacked that card at full speed.\Being too aggressive with The sound of birds is risky.\Was she camping that card?\when I should have gone to sleep instead\She passed me the only A card on the field. response:	She'll be targeting it.
context: Yes.\When I watched Ousaka-san last fall, she didn't seem that fast,\but she attacked that card at full speed.\Being too aggressive with The sound of birds is risky.\Was she camping that card?\when I should have gone to sleep instead\She passed me the only A card on the field.\She'll be targeting it. response:	Here.
context: When I watched Ousaka-san last fall, she didn't seem that fast,\but she attacked that card at full speed.\Being too aggressive with The sound of birds is risky.\Was she camping that card?\when I should have gone to sleep instead\She passed me the only A card on the field.\She'll be targeting it.\Here. response:	Oh...
context: but she attacked that card at full speed.\Being too aggressive with The sound of birds is risky.\Was she camping that card?\when I should have gone to sleep instead\She passed me the only A card on the field.\She'll be targeting it.\Here.\Oh... response:	Older alumni
context: Being too aggressive with The sound of birds is risky.\Was she camping that card?\when I should have gone to sleep instead\She passed me the only A card on the field.\She'll be targeting it.\Here.\Oh...\Older alumni response:	Older alumni
context: Was she camping that card?\when I should have gone to sleep instead\She passed me the only A card on the field.\She'll be targeting it.\Here.\Oh...\Older alumni\Older alumni response:	Older alumni
context: when I should have gone to sleep instead\She passed me the only A card on the field.\She'll be targeting it.\Here.\Oh...\Older alumni\Older alumni\Older alumni response:	Wait, why am I holding this?
context: She passed me the only A card on the field.\She'll be targeting it.\Here.\Oh...\Older alumni\Older alumni\Older alumni\Wait, why am I holding this? response:	awakens the guards of Suma Gate at night
context: She'll be targeting it.\Here.\Oh...\Older alumni\Older alumni\Older alumni\Wait, why am I holding this?\awakens the guards of Suma Gate at night response:	While the autumn leaves of Mount Ogura would never...
context: Here.\Oh...\Older alumni\Older alumni\Older alumni\Wait, why am I holding this?\awakens the guards of Suma Gate at night\While the autumn leaves of Mount Ogura would never... response:	Tough luck.
context: Oh...\Older alumni\Older alumni\Older alumni\Wait, why am I holding this?\awakens the guards of Suma Gate at night\While the autumn leaves of Mount Ogura would never...\Tough luck. response:	She shielded the While autumn on her right,
context: Older alumni\Older alumni\Older alumni\Wait, why am I holding this?\awakens the guards of Suma Gate at night\While the autumn leaves of Mount Ogura would never...\Tough luck.\She shielded the While autumn on her right, response:	but While the autumn was read instead.
context: Older alumni\Older alumni\Wait, why am I holding this?\awakens the guards of Suma Gate at night\While the autumn leaves of Mount Ogura would never...\Tough luck.\She shielded the While autumn on her right,\but While the autumn was read instead. response:	Couldn't have done anything about that one.
context: Older alumni\Wait, why am I holding this?\awakens the guards of Suma Gate at night\While the autumn leaves of Mount Ogura would never...\Tough luck.\She shielded the While autumn on her right,\but While the autumn was read instead.\Couldn't have done anything about that one. response:	No need to worry.
context: Wait, why am I holding this?\awakens the guards of Suma Gate at night\While the autumn leaves of Mount Ogura would never...\Tough luck.\She shielded the While autumn on her right,\but While the autumn was read instead.\Couldn't have done anything about that one.\No need to worry. response:	It's still early.
context: awakens the guards of Suma Gate at night\While the autumn leaves of Mount Ogura would never...\Tough luck.\She shielded the While autumn on her right,\but While the autumn was read instead.\Couldn't have done anything about that one.\No need to worry.\It's still early. response:	I need my first card.
context: While the autumn leaves of Mount Ogura would never...\Tough luck.\She shielded the While autumn on her right,\but While the autumn was read instead.\Couldn't have done anything about that one.\No need to worry.\It's still early.\I need my first card. response:	One card at a time...
context: Tough luck.\She shielded the While autumn on her right,\but While the autumn was read instead.\Couldn't have done anything about that one.\No need to worry.\It's still early.\I need my first card.\One card at a time... response:	I'm sending this card.
context: She shielded the While autumn on her right,\but While the autumn was read instead.\Couldn't have done anything about that one.\No need to worry.\It's still early.\I need my first card.\One card at a time...\I'm sending this card. response:	people would always ask if I was pining for someone
context: but While the autumn was read instead.\Couldn't have done anything about that one.\No need to worry.\It's still early.\I need my first card.\One card at a time...\I'm sending this card.\people would always ask if I was pining for someone response:	The only Since card on the field...
context: Couldn't have done anything about that one.\No need to worry.\It's still early.\I need my first card.\One card at a time...\I'm sending this card.\people would always ask if I was pining for someone\The only Since card on the field... response:	Heh, she plays a tougher game than her appearance lets on.
context: No need to worry.\It's still early.\I need my first card.\One card at a time...\I'm sending this card.\people would always ask if I was pining for someone\The only Since card on the field...\Heh, she plays a tougher game than her appearance lets on. response:	A night and Since I
context: It's still early.\I need my first card.\One card at a time...\I'm sending this card.\people would always ask if I was pining for someone\The only Since card on the field...\Heh, she plays a tougher game than her appearance lets on.\A night and Since I response:	are cards that Ayase likes to attack on the opponent's side.
context: I need my first card.\One card at a time...\I'm sending this card.\people would always ask if I was pining for someone\The only Since card on the field...\Heh, she plays a tougher game than her appearance lets on.\A night and Since I\are cards that Ayase likes to attack on the opponent's side. response:	Now that they're on her side, she'll feel like she has to protect them.
context: One card at a time...\I'm sending this card.\people would always ask if I was pining for someone\The only Since card on the field...\Heh, she plays a tougher game than her appearance lets on.\A night and Since I\are cards that Ayase likes to attack on the opponent's side.\Now that they're on her side, she'll feel like she has to protect them. response:	Okay.
context: I'm sending this card.\people would always ask if I was pining for someone\The only Since card on the field...\Heh, she plays a tougher game than her appearance lets on.\A night and Since I\are cards that Ayase likes to attack on the opponent's side.\Now that they're on her side, she'll feel like she has to protect them.\Okay. response:	One card at a time...
context: people would always ask if I was pining for someone\The only Since card on the field...\Heh, she plays a tougher game than her appearance lets on.\A night and Since I\are cards that Ayase likes to attack on the opponent's side.\Now that they're on her side, she'll feel like she has to protect them.\Okay.\One card at a time... response:	She'll feel like she's on the defensive.
context: The only Since card on the field...\Heh, she plays a tougher game than her appearance lets on.\A night and Since I\are cards that Ayase likes to attack on the opponent's side.\Now that they're on her side, she'll feel like she has to protect them.\Okay.\One card at a time...\She'll feel like she's on the defensive. response:	The opposing team is made up of slender girls,
context: Heh, she plays a tougher game than her appearance lets on.\A night and Since I\are cards that Ayase likes to attack on the opponent's side.\Now that they're on her side, she'll feel like she has to protect them.\Okay.\One card at a time...\She'll feel like she's on the defensive.\The opposing team is made up of slender girls, response:	yet they look so strong.
context: A night and Since I\are cards that Ayase likes to attack on the opponent's side.\Now that they're on her side, she'll feel like she has to protect them.\Okay.\One card at a time...\She'll feel like she's on the defensive.\The opposing team is made up of slender girls,\yet they look so strong. response:	They're moving in tandem.
context: are cards that Ayase likes to attack on the opponent's side.\Now that they're on her side, she'll feel like she has to protect them.\Okay.\One card at a time...\She'll feel like she's on the defensive.\The opposing team is made up of slender girls,\yet they look so strong.\They're moving in tandem. response:	Oh! Could it be?
context: Now that they're on her side, she'll feel like she has to protect them.\Okay.\One card at a time...\She'll feel like she's on the defensive.\The opposing team is made up of slender girls,\yet they look so strong.\They're moving in tandem.\Oh! Could it be? response:	Are the headbands the key?!
context: Okay.\One card at a time...\She'll feel like she's on the defensive.\The opposing team is made up of slender girls,\yet they look so strong.\They're moving in tandem.\Oh! Could it be?\Are the headbands the key?! response:	Next time, I should make headbands!
context: One card at a time...\She'll feel like she's on the defensive.\The opposing team is made up of slender girls,\yet they look so strong.\They're moving in tandem.\Oh! Could it be?\Are the headbands the key?!\Next time, I should make headbands! response:	Your brother can easily win if he tries.
context: She'll feel like she's on the defensive.\The opposing team is made up of slender girls,\yet they look so strong.\They're moving in tandem.\Oh! Could it be?\Are the headbands the key?!\Next time, I should make headbands!\Your brother can easily win if he tries. response:	Hey, Tsukuba!
context: The opposing team is made up of slender girls,\yet they look so strong.\They're moving in tandem.\Oh! Could it be?\Are the headbands the key?!\Next time, I should make headbands!\Your brother can easily win if he tries.\Hey, Tsukuba! response:	How can you fall asleep?!
context: yet they look so strong.\They're moving in tandem.\Oh! Could it be?\Are the headbands the key?!\Next time, I should make headbands!\Your brother can easily win if he tries.\Hey, Tsukuba!\How can you fall asleep?! response:	Wake up!
context: They're moving in tandem.\Oh! Could it be?\Are the headbands the key?!\Next time, I should make headbands!\Your brother can easily win if he tries.\Hey, Tsukuba!\How can you fall asleep?!\Wake up! response:	But I played three matches in a row!
context: Oh! Could it be?\Are the headbands the key?!\Next time, I should make headbands!\Your brother can easily win if he tries.\Hey, Tsukuba!\How can you fall asleep?!\Wake up!\But I played three matches in a row! response:	No ifs or buts!
context: Are the headbands the key?!\Next time, I should make headbands!\Your brother can easily win if he tries.\Hey, Tsukuba!\How can you fall asleep?!\Wake up!\But I played three matches in a row!\No ifs or buts! response:	You wouldn't understand how tough it is!
context: Next time, I should make headbands!\Your brother can easily win if he tries.\Hey, Tsukuba!\How can you fall asleep?!\Wake up!\But I played three matches in a row!\No ifs or buts!\You wouldn't understand how tough it is! response:	We're talking three to four serious matches in one day.
context: Your brother can easily win if he tries.\Hey, Tsukuba!\How can you fall asleep?!\Wake up!\But I played three matches in a row!\No ifs or buts!\You wouldn't understand how tough it is!\We're talking three to four serious matches in one day. response:	I'm a man and I'm about ready to fall asleep on my feet.
context: Hey, Tsukuba!\How can you fall asleep?!\Wake up!\But I played three matches in a row!\No ifs or buts!\You wouldn't understand how tough it is!\We're talking three to four serious matches in one day.\I'm a man and I'm about ready to fall asleep on my feet. response:	Oe-senpai...
context: How can you fall asleep?!\Wake up!\But I played three matches in a row!\No ifs or buts!\You wouldn't understand how tough it is!\We're talking three to four serious matches in one day.\I'm a man and I'm about ready to fall asleep on my feet.\Oe-senpai... response:	This being her fourth match today,
context: Wake up!\But I played three matches in a row!\No ifs or buts!\You wouldn't understand how tough it is!\We're talking three to four serious matches in one day.\I'm a man and I'm about ready to fall asleep on my feet.\Oe-senpai...\This being her fourth match today, response:	Oe-senpai is the one most likely to be running low on stamina.
context: But I played three matches in a row!\No ifs or buts!\You wouldn't understand how tough it is!\We're talking three to four serious matches in one day.\I'm a man and I'm about ready to fall asleep on my feet.\Oe-senpai...\This being her fourth match today,\Oe-senpai is the one most likely to be running low on stamina. response:	Especially since she lost her second
context: No ifs or buts!\You wouldn't understand how tough it is!\We're talking three to four serious matches in one day.\I'm a man and I'm about ready to fall asleep on my feet.\Oe-senpai...\This being her fourth match today,\Oe-senpai is the one most likely to be running low on stamina.\Especially since she lost her second response:	Lost by 2 cards
context: You wouldn't understand how tough it is!\We're talking three to four serious matches in one day.\I'm a man and I'm about ready to fall asleep on my feet.\Oe-senpai...\This being her fourth match today,\Oe-senpai is the one most likely to be running low on stamina.\Especially since she lost her second\Lost by 2 cards response:	Lost by 2 cards
context: We're talking three to four serious matches in one day.\I'm a man and I'm about ready to fall asleep on my feet.\Oe-senpai...\This being her fourth match today,\Oe-senpai is the one most likely to be running low on stamina.\Especially since she lost her second\Lost by 2 cards\Lost by 2 cards response:	and third games by 2 cards each...
context: I'm a man and I'm about ready to fall asleep on my feet.\Oe-senpai...\This being her fourth match today,\Oe-senpai is the one most likely to be running low on stamina.\Especially since she lost her second\Lost by 2 cards\Lost by 2 cards\and third games by 2 cards each... response:	Lost by a lot
context: Oe-senpai...\This being her fourth match today,\Oe-senpai is the one most likely to be running low on stamina.\Especially since she lost her second\Lost by 2 cards\Lost by 2 cards\and third games by 2 cards each...\Lost by a lot response:	It really hurts when you fight hard, only to lose at the very end.
context: This being her fourth match today,\Oe-senpai is the one most likely to be running low on stamina.\Especially since she lost her second\Lost by 2 cards\Lost by 2 cards\and third games by 2 cards each...\Lost by a lot\It really hurts when you fight hard, only to lose at the very end. response:	If you're gonna lose anyway, you might as well
context: Oe-senpai is the one most likely to be running low on stamina.\Especially since she lost her second\Lost by 2 cards\Lost by 2 cards\and third games by 2 cards each...\Lost by a lot\It really hurts when you fight hard, only to lose at the very end.\If you're gonna lose anyway, you might as well response:	let yourself be blown out so you can get some rest.
context: Especially since she lost her second\Lost by 2 cards\Lost by 2 cards\and third games by 2 cards each...\Lost by a lot\It really hurts when you fight hard, only to lose at the very end.\If you're gonna lose anyway, you might as well\let yourself be blown out so you can get some rest. response:	Blown out of all his games
context: Lost by 2 cards\Lost by 2 cards\and third games by 2 cards each...\Lost by a lot\It really hurts when you fight hard, only to lose at the very end.\If you're gonna lose anyway, you might as well\let yourself be blown out so you can get some rest.\Blown out of all his games response:	Oe-senpai isn't the only one I'm worried about.
context: Lost by 2 cards\and third games by 2 cards each...\Lost by a lot\It really hurts when you fight hard, only to lose at the very end.\If you're gonna lose anyway, you might as well\let yourself be blown out so you can get some rest.\Blown out of all his games\Oe-senpai isn't the only one I'm worried about. response:	Komano-senpai's first game today comes in the semifinal.
context: and third games by 2 cards each...\Lost by a lot\It really hurts when you fight hard, only to lose at the very end.\If you're gonna lose anyway, you might as well\let yourself be blown out so you can get some rest.\Blown out of all his games\Oe-senpai isn't the only one I'm worried about.\Komano-senpai's first game today comes in the semifinal. response:	Ayase-senpai is up against the opponent's ace
context: Lost by a lot\It really hurts when you fight hard, only to lose at the very end.\If you're gonna lose anyway, you might as well\let yourself be blown out so you can get some rest.\Blown out of all his games\Oe-senpai isn't the only one I'm worried about.\Komano-senpai's first game today comes in the semifinal.\Ayase-senpai is up against the opponent's ace response:	and just lost two cards in a row.
context: It really hurts when you fight hard, only to lose at the very end.\If you're gonna lose anyway, you might as well\let yourself be blown out so you can get some rest.\Blown out of all his games\Oe-senpai isn't the only one I'm worried about.\Komano-senpai's first game today comes in the semifinal.\Ayase-senpai is up against the opponent's ace\and just lost two cards in a row. response:	It's usually up to the ace to set the tone...
context: If you're gonna lose anyway, you might as well\let yourself be blown out so you can get some rest.\Blown out of all his games\Oe-senpai isn't the only one I'm worried about.\Komano-senpai's first game today comes in the semifinal.\Ayase-senpai is up against the opponent's ace\and just lost two cards in a row.\It's usually up to the ace to set the tone... response:	Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight!
context: let yourself be blown out so you can get some rest.\Blown out of all his games\Oe-senpai isn't the only one I'm worried about.\Komano-senpai's first game today comes in the semifinal.\Ayase-senpai is up against the opponent's ace\and just lost two cards in a row.\It's usually up to the ace to set the tone...\Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight! response:	Your brother the ace has led the team to the semifinals!
context: Blown out of all his games\Oe-senpai isn't the only one I'm worried about.\Komano-senpai's first game today comes in the semifinal.\Ayase-senpai is up against the opponent's ace\and just lost two cards in a row.\It's usually up to the ace to set the tone...\Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight!\Your brother the ace has led the team to the semifinals! response:	That's our Bro So cool
context: Oe-senpai isn't the only one I'm worried about.\Komano-senpai's first game today comes in the semifinal.\Ayase-senpai is up against the opponent's ace\and just lost two cards in a row.\It's usually up to the ace to set the tone...\Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight!\Your brother the ace has led the team to the semifinals!\That's our Bro So cool response:	The championship is within sight!
