context: An asteroid named VR-1 is approaching Earth. response:	It is approximately two kilometers in diameter.
context: No, no!\There's no such thing!\Let me look inside, then.\No way.\Strange Juice is doing her business in there.\Who cares? She has the door wide open.\You can't.\Absolutely not. response:	Right, Strange Juice?
context: There's no such thing!\Let me look inside, then.\No way.\Strange Juice is doing her business in there.\Who cares? She has the door wide open.\You can't.\Absolutely not.\Right, Strange Juice? response:	True, I may have my wild side,
context: Let me look inside, then.\No way.\Strange Juice is doing her business in there.\Who cares? She has the door wide open.\You can't.\Absolutely not.\Right, Strange Juice?\True, I may have my wild side, response:	but I can't let my wildness out into the wild right now!
context: No way.\Strange Juice is doing her business in there.\Who cares? She has the door wide open.\You can't.\Absolutely not.\Right, Strange Juice?\True, I may have my wild side,\but I can't let my wildness out into the wild right now! response:	See?
context: Strange Juice is doing her business in there.\Who cares? She has the door wide open.\You can't.\Absolutely not.\Right, Strange Juice?\True, I may have my wild side,\but I can't let my wildness out into the wild right now!\See? response:	Anyway, I guess I'll go back to sleep.
context: Who cares? She has the door wide open.\You can't.\Absolutely not.\Right, Strange Juice?\True, I may have my wild side,\but I can't let my wildness out into the wild right now!\See?\Anyway, I guess I'll go back to sleep. response:	Huh?
context: You can't.\Absolutely not.\Right, Strange Juice?\True, I may have my wild side,\but I can't let my wildness out into the wild right now!\See?\Anyway, I guess I'll go back to sleep.\Huh? response:	There's still some time before the party starts.
context: Absolutely not.\Right, Strange Juice?\True, I may have my wild side,\but I can't let my wildness out into the wild right now!\See?\Anyway, I guess I'll go back to sleep.\Huh?\There's still some time before the party starts. response:	Right?
context: Right, Strange Juice?\True, I may have my wild side,\but I can't let my wildness out into the wild right now!\See?\Anyway, I guess I'll go back to sleep.\Huh?\There's still some time before the party starts.\Right? response:	Goodnight.
context: True, I may have my wild side,\but I can't let my wildness out into the wild right now!\See?\Anyway, I guess I'll go back to sleep.\Huh?\There's still some time before the party starts.\Right?\Goodnight. response:	Snore, snore...
context: but I can't let my wildness out into the wild right now!\See?\Anyway, I guess I'll go back to sleep.\Huh?\There's still some time before the party starts.\Right?\Goodnight.\Snore, snore... response:	What's going on?
context: See?\Anyway, I guess I'll go back to sleep.\Huh?\There's still some time before the party starts.\Right?\Goodnight.\Snore, snore...\What's going on? response:	Hey, thanks for waiting.
context: Anyway, I guess I'll go back to sleep.\Huh?\There's still some time before the party starts.\Right?\Goodnight.\Snore, snore...\What's going on?\Hey, thanks for waiting. response:	How...
context: Huh?\There's still some time before the party starts.\Right?\Goodnight.\Snore, snore...\What's going on?\Hey, thanks for waiting.\How... response:	You get it now, don't you?
context: There's still some time before the party starts.\Right?\Goodnight.\Snore, snore...\What's going on?\Hey, thanks for waiting.\How...\You get it now, don't you? response:	Narugino-kun and I are two different people.
context: Right?\Goodnight.\Snore, snore...\What's going on?\Hey, thanks for waiting.\How...\You get it now, don't you?\Narugino-kun and I are two different people. response:	We're just friends.
context: Goodnight.\Snore, snore...\What's going on?\Hey, thanks for waiting.\How...\You get it now, don't you?\Narugino-kun and I are two different people.\We're just friends. response:	Really?
context: Snore, snore...\What's going on?\Hey, thanks for waiting.\How...\You get it now, don't you?\Narugino-kun and I are two different people.\We're just friends.\Really? response:	Yeah.
context: What's going on?\Hey, thanks for waiting.\How...\You get it now, don't you?\Narugino-kun and I are two different people.\We're just friends.\Really?\Yeah. response:	Then there's something I want your advice about.
context: Hey, thanks for waiting.\How...\You get it now, don't you?\Narugino-kun and I are two different people.\We're just friends.\Really?\Yeah.\Then there's something I want your advice about. response:	My advice?
context: How...\You get it now, don't you?\Narugino-kun and I are two different people.\We're just friends.\Really?\Yeah.\Then there's something I want your advice about.\My advice? response:	Is something bothering you?
context: You get it now, don't you?\Narugino-kun and I are two different people.\We're just friends.\Really?\Yeah.\Then there's something I want your advice about.\My advice?\Is something bothering you? response:	Next door!
context: Narugino-kun and I are two different people.\We're just friends.\Really?\Yeah.\Then there's something I want your advice about.\My advice?\Is something bothering you?\Next door! response:	Please, help me!
context: We're just friends.\Really?\Yeah.\Then there's something I want your advice about.\My advice?\Is something bothering you?\Next door!\Please, help me! response:	What the hell?
context: Really?\Yeah.\Then there's something I want your advice about.\My advice?\Is something bothering you?\Next door!\Please, help me!\What the hell? response:	Who are you?
context: Yeah.\Then there's something I want your advice about.\My advice?\Is something bothering you?\Next door!\Please, help me!\What the hell?\Who are you? response:	No!
context: Then there's something I want your advice about.\My advice?\Is something bothering you?\Next door!\Please, help me!\What the hell?\Who are you?\No! response:	I've found you.
context: My advice?\Is something bothering you?\Next door!\Please, help me!\What the hell?\Who are you?\No!\I've found you. response:	Hand him over.
context: Is something bothering you?\Next door!\Please, help me!\What the hell?\Who are you?\No!\I've found you.\Hand him over. response:	What the...
context: Next door!\Please, help me!\What the hell?\Who are you?\No!\I've found you.\Hand him over.\What the... response:	Tou-maker?!
context: Please, help me!\What the hell?\Who are you?\No!\I've found you.\Hand him over.\What the...\Tou-maker?! response:	Now!
context: What the hell?\Who are you?\No!\I've found you.\Hand him over.\What the...\Tou-maker?!\Now! response:	Roger!
context: Who are you?\No!\I've found you.\Hand him over.\What the...\Tou-maker?!\Now!\Roger! response:	Now then, let's see your face.
context: No!\I've found you.\Hand him over.\What the...\Tou-maker?!\Now!\Roger!\Now then, let's see your face. response:	Crap!
context: I've found you.\Hand him over.\What the...\Tou-maker?!\Now!\Roger!\Now then, let's see your face.\Crap! response:	Oh, no... It won't move.
context: Hand him over.\What the...\Tou-maker?!\Now!\Roger!\Now then, let's see your face.\Crap!\Oh, no... It won't move. response:	Muhi!
context: What the...\Tou-maker?!\Now!\Roger!\Now then, let's see your face.\Crap!\Oh, no... It won't move.\Muhi! response:	Muhi!
context: Tou-maker?!\Now!\Roger!\Now then, let's see your face.\Crap!\Oh, no... It won't move.\Muhi!\Muhi! response:	No!
context: Now!\Roger!\Now then, let's see your face.\Crap!\Oh, no... It won't move.\Muhi!\Muhi!\No! response:	Muhi?
context: Roger!\Now then, let's see your face.\Crap!\Oh, no... It won't move.\Muhi!\Muhi!\No!\Muhi? response:	Muhi!
context: Now then, let's see your face.\Crap!\Oh, no... It won't move.\Muhi!\Muhi!\No!\Muhi?\Muhi! response:	Relax, he won't die so easily.
context: Crap!\Oh, no... It won't move.\Muhi!\Muhi!\No!\Muhi?\Muhi!\Relax, he won't die so easily. response:	Just hand him over.
context: Oh, no... It won't move.\Muhi!\Muhi!\No!\Muhi?\Muhi!\Relax, he won't die so easily.\Just hand him over. response:	That emblem...
context: Muhi!\Muhi!\No!\Muhi?\Muhi!\Relax, he won't die so easily.\Just hand him over.\That emblem... response:	What the hell is this?
context: Muhi!\No!\Muhi?\Muhi!\Relax, he won't die so easily.\Just hand him over.\That emblem...\What the hell is this? response:	Don't come any closer.
context: No!\Muhi?\Muhi!\Relax, he won't die so easily.\Just hand him over.\That emblem...\What the hell is this?\Don't come any closer. response:	Damn, this is bad.
context: Muhi?\Muhi!\Relax, he won't die so easily.\Just hand him over.\That emblem...\What the hell is this?\Don't come any closer.\Damn, this is bad. response:	Your spirit power!
context: Muhi!\Relax, he won't die so easily.\Just hand him over.\That emblem...\What the hell is this?\Don't come any closer.\Damn, this is bad.\Your spirit power! response:	Use your spirit power!
context: Relax, he won't die so easily.\Just hand him over.\That emblem...\What the hell is this?\Don't come any closer.\Damn, this is bad.\Your spirit power!\Use your spirit power! response:	Look what Rabura just threw!
context: Just hand him over.\That emblem...\What the hell is this?\Don't come any closer.\Damn, this is bad.\Your spirit power!\Use your spirit power!\Look what Rabura just threw! response:	Cinnamon has a strange effect that increases your spirit power.
context: That emblem...\What the hell is this?\Don't come any closer.\Damn, this is bad.\Your spirit power!\Use your spirit power!\Look what Rabura just threw!\Cinnamon has a strange effect that increases your spirit power. response:	Yeah!
context: What the hell is this?\Don't come any closer.\Damn, this is bad.\Your spirit power!\Use your spirit power!\Look what Rabura just threw!\Cinnamon has a strange effect that increases your spirit power.\Yeah! response:	Nice, Rabura!
context: Don't come any closer.\Damn, this is bad.\Your spirit power!\Use your spirit power!\Look what Rabura just threw!\Cinnamon has a strange effect that increases your spirit power.\Yeah!\Nice, Rabura! response:	Wh-What the...
context: Damn, this is bad.\Your spirit power!\Use your spirit power!\Look what Rabura just threw!\Cinnamon has a strange effect that increases your spirit power.\Yeah!\Nice, Rabura!\Wh-What the... response:	Gotcha!
context: Your spirit power!\Use your spirit power!\Look what Rabura just threw!\Cinnamon has a strange effect that increases your spirit power.\Yeah!\Nice, Rabura!\Wh-What the...\Gotcha! response:	Muhi!
context: Use your spirit power!\Look what Rabura just threw!\Cinnamon has a strange effect that increases your spirit power.\Yeah!\Nice, Rabura!\Wh-What the...\Gotcha!\Muhi! response:	You're not getting away!
context: Look what Rabura just threw!\Cinnamon has a strange effect that increases your spirit power.\Yeah!\Nice, Rabura!\Wh-What the...\Gotcha!\Muhi!\You're not getting away! response:	Wh-Why?
context: Cinnamon has a strange effect that increases your spirit power.\Yeah!\Nice, Rabura!\Wh-What the...\Gotcha!\Muhi!\You're not getting away!\Wh-Why? response:	There's no cinnamon here.
context: Yeah!\Nice, Rabura!\Wh-What the...\Gotcha!\Muhi!\You're not getting away!\Wh-Why?\There's no cinnamon here. response:	Damn! What do I do, then?!
context: Nice, Rabura!\Wh-What the...\Gotcha!\Muhi!\You're not getting away!\Wh-Why?\There's no cinnamon here.\Damn! What do I do, then?! response:	Halt!
context: Wh-What the...\Gotcha!\Muhi!\You're not getting away!\Wh-Why?\There's no cinnamon here.\Damn! What do I do, then?!\Halt! response:	Lose not to rain
context: Gotcha!\Muhi!\You're not getting away!\Wh-Why?\There's no cinnamon here.\Damn! What do I do, then?!\Halt!\Lose not to rain response:	Who the hell are you?
context: Muhi!\You're not getting away!\Wh-Why?\There's no cinnamon here.\Damn! What do I do, then?!\Halt!\Lose not to rain\Who the hell are you? response:	Losing neither to rain,
context: You're not getting away!\Wh-Why?\There's no cinnamon here.\Damn! What do I do, then?!\Halt!\Lose not to rain\Who the hell are you?\Losing neither to rain, response:	nor to the wind.
context: Wh-Why?\There's no cinnamon here.\Damn! What do I do, then?!\Halt!\Lose not to rain\Who the hell are you?\Losing neither to rain,\nor to the wind. response:	That is the sort of person I want to become!
context: There's no cinnamon here.\Damn! What do I do, then?!\Halt!\Lose not to rain\Who the hell are you?\Losing neither to rain,\nor to the wind.\That is the sort of person I want to become! response:	Super helper-man of justice, Miyazawa Kenji, is here!
context: Damn! What do I do, then?!\Halt!\Lose not to rain\Who the hell are you?\Losing neither to rain,\nor to the wind.\That is the sort of person I want to become!\Super helper-man of justice, Miyazawa Kenji, is here! response:	Are you a freak?
context: Halt!\Lose not to rain\Who the hell are you?\Losing neither to rain,\nor to the wind.\That is the sort of person I want to become!\Super helper-man of justice, Miyazawa Kenji, is here!\Are you a freak? response:	You're one to talk!
context: Lose not to rain\Who the hell are you?\Losing neither to rain,\nor to the wind.\That is the sort of person I want to become!\Super helper-man of justice, Miyazawa Kenji, is here!\Are you a freak?\You're one to talk! response:	Miyazawa Kenji?
context: Who the hell are you?\Losing neither to rain,\nor to the wind.\That is the sort of person I want to become!\Super helper-man of justice, Miyazawa Kenji, is here!\Are you a freak?\You're one to talk!\Miyazawa Kenji? response:	Another freak.
context: Losing neither to rain,\nor to the wind.\That is the sort of person I want to become!\Super helper-man of justice, Miyazawa Kenji, is here!\Are you a freak?\You're one to talk!\Miyazawa Kenji?\Another freak. response:	Here I come!
context: nor to the wind.\That is the sort of person I want to become!\Super helper-man of justice, Miyazawa Kenji, is here!\Are you a freak?\You're one to talk!\Miyazawa Kenji?\Another freak.\Here I come! response:	What's up with him?
context: That is the sort of person I want to become!\Super helper-man of justice, Miyazawa Kenji, is here!\Are you a freak?\You're one to talk!\Miyazawa Kenji?\Another freak.\Here I come!\What's up with him? response:	Whoa, hang on! Time out!
context: Super helper-man of justice, Miyazawa Kenji, is here!\Are you a freak?\You're one to talk!\Miyazawa Kenji?\Another freak.\Here I come!\What's up with him?\Whoa, hang on! Time out! response:	He's totally weak.
context: Are you a freak?\You're one to talk!\Miyazawa Kenji?\Another freak.\Here I come!\What's up with him?\Whoa, hang on! Time out!\He's totally weak. response:	Man, I'm off my game today.
context: You're one to talk!\Miyazawa Kenji?\Another freak.\Here I come!\What's up with him?\Whoa, hang on! Time out!\He's totally weak.\Man, I'm off my game today. response:	Must be this crick in my neck from last night.
context: Miyazawa Kenji?\Another freak.\Here I come!\What's up with him?\Whoa, hang on! Time out!\He's totally weak.\Man, I'm off my game today.\Must be this crick in my neck from last night. response:	Enough nonsense.
context: Another freak.\Here I come!\What's up with him?\Whoa, hang on! Time out!\He's totally weak.\Man, I'm off my game today.\Must be this crick in my neck from last night.\Enough nonsense. response:	Hey, just give me twenty seconds, would you?
context: Here I come!\What's up with him?\Whoa, hang on! Time out!\He's totally weak.\Man, I'm off my game today.\Must be this crick in my neck from last night.\Enough nonsense.\Hey, just give me twenty seconds, would you? response:	What if I do?
context: What's up with him?\Whoa, hang on! Time out!\He's totally weak.\Man, I'm off my game today.\Must be this crick in my neck from last night.\Enough nonsense.\Hey, just give me twenty seconds, would you?\What if I do? response:	Do I get a reward?
context: Whoa, hang on! Time out!\He's totally weak.\Man, I'm off my game today.\Must be this crick in my neck from last night.\Enough nonsense.\Hey, just give me twenty seconds, would you?\What if I do?\Do I get a reward? response:	Fine.
context: He's totally weak.\Man, I'm off my game today.\Must be this crick in my neck from last night.\Enough nonsense.\Hey, just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Fine. response:	Nineteen.
context: Man, I'm off my game today.\Must be this crick in my neck from last night.\Enough nonsense.\Hey, just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Fine.\Nineteen. response:	Eighteen.
context: Must be this crick in my neck from last night.\Enough nonsense.\Hey, just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Fine.\Nineteen.\Eighteen. response:	Seventeen.
context: Enough nonsense.\Hey, just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Fine.\Nineteen.\Eighteen.\Seventeen. response:	Now, give me that promised reward.
context: Hey, just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Fine.\Nineteen.\Eighteen.\Seventeen.\Now, give me that promised reward. response:	Don't you regret it.
context: What if I do?\Do I get a reward?\Fine.\Nineteen.\Eighteen.\Seventeen.\Now, give me that promised reward.\Don't you regret it. response:	What does that mean?
context: Do I get a reward?\Fine.\Nineteen.\Eighteen.\Seventeen.\Now, give me that promised reward.\Don't you regret it.\What does that mean? response:	This is your reward!
context: Fine.\Nineteen.\Eighteen.\Seventeen.\Now, give me that promised reward.\Don't you regret it.\What does that mean?\This is your reward! response:	That power...
context: Nineteen.\Eighteen.\Seventeen.\Now, give me that promised reward.\Don't you regret it.\What does that mean?\This is your reward!\That power... response:	It can't be...
context: Eighteen.\Seventeen.\Now, give me that promised reward.\Don't you regret it.\What does that mean?\This is your reward!\That power...\It can't be... response:	Damn!
context: Seventeen.\Now, give me that promised reward.\Don't you regret it.\What does that mean?\This is your reward!\That power...\It can't be...\Damn! response:	Muhi!
context: Now, give me that promised reward.\Don't you regret it.\What does that mean?\This is your reward!\That power...\It can't be...\Damn!\Muhi! response:	Damn, he got away.
context: Don't you regret it.\What does that mean?\This is your reward!\That power...\It can't be...\Damn!\Muhi!\Damn, he got away. response:	How?
context: What does that mean?\This is your reward!\That power...\It can't be...\Damn!\Muhi!\Damn, he got away.\How? response:	His wound's healed.
context: This is your reward!\That power...\It can't be...\Damn!\Muhi!\Damn, he got away.\How?\His wound's healed. response:	Are you all right?
context: That power...\It can't be...\Damn!\Muhi!\Damn, he got away.\How?\His wound's healed.\Are you all right? response:	Strange Ju
context: It can't be...\Damn!\Muhi!\Damn, he got away.\How?\His wound's healed.\Are you all right?\Strange Ju response:	What's wrong?
context: Damn!\Muhi!\Damn, he got away.\How?\His wound's healed.\Are you all right?\Strange Ju\What's wrong? response:	Meika-emon, I'm in trouble!
context: Muhi!\Damn, he got away.\How?\His wound's healed.\Are you all right?\Strange Ju\What's wrong?\Meika-emon, I'm in trouble! response:	Bus hijacking mastermind on the run
context: Damn, he got away.\How?\His wound's healed.\Are you all right?\Strange Ju\What's wrong?\Meika-emon, I'm in trouble!\Bus hijacking mastermind on the run response:	The suspect, Teraoka, is thought
context: How?\His wound's healed.\Are you all right?\Strange Ju\What's wrong?\Meika-emon, I'm in trouble!\Bus hijacking mastermind on the run\The suspect, Teraoka, is thought response:	to be the mastermind behind the Qmay Group hostage incident.
context: His wound's healed.\Are you all right?\Strange Ju\What's wrong?\Meika-emon, I'm in trouble!\Bus hijacking mastermind on the run\The suspect, Teraoka, is thought\to be the mastermind behind the Qmay Group hostage incident. response:	The police believe he is still on the run.
context: Are you all right?\Strange Ju\What's wrong?\Meika-emon, I'm in trouble!\Bus hijacking mastermind on the run\The suspect, Teraoka, is thought\to be the mastermind behind the Qmay Group hostage incident.\The police believe he is still on the run. response:	Dude, why have I lost days again?
context: Strange Ju\What's wrong?\Meika-emon, I'm in trouble!\Bus hijacking mastermind on the run\The suspect, Teraoka, is thought\to be the mastermind behind the Qmay Group hostage incident.\The police believe he is still on the run.\Dude, why have I lost days again? response:	Did you want to go to that party yesterday?
context: What's wrong?\Meika-emon, I'm in trouble!\Bus hijacking mastermind on the run\The suspect, Teraoka, is thought\to be the mastermind behind the Qmay Group hostage incident.\The police believe he is still on the run.\Dude, why have I lost days again?\Did you want to go to that party yesterday? response:	Yesterday?
context: Meika-emon, I'm in trouble!\Bus hijacking mastermind on the run\The suspect, Teraoka, is thought\to be the mastermind behind the Qmay Group hostage incident.\The police believe he is still on the run.\Dude, why have I lost days again?\Did you want to go to that party yesterday?\Yesterday? response:	The party was yesterday, not on the Eve.
context: Bus hijacking mastermind on the run\The suspect, Teraoka, is thought\to be the mastermind behind the Qmay Group hostage incident.\The police believe he is still on the run.\Dude, why have I lost days again?\Did you want to go to that party yesterday?\Yesterday?\The party was yesterday, not on the Eve. response:	On December 25th, Christmas Day.
context: The suspect, Teraoka, is thought\to be the mastermind behind the Qmay Group hostage incident.\The police believe he is still on the run.\Dude, why have I lost days again?\Did you want to go to that party yesterday?\Yesterday?\The party was yesterday, not on the Eve.\On December 25th, Christmas Day. response:	After that incident with the intruder and all...
context: to be the mastermind behind the Qmay Group hostage incident.\The police believe he is still on the run.\Dude, why have I lost days again?\Did you want to go to that party yesterday?\Yesterday?\The party was yesterday, not on the Eve.\On December 25th, Christmas Day.\After that incident with the intruder and all... response:	That's right.
context: The police believe he is still on the run.\Dude, why have I lost days again?\Did you want to go to that party yesterday?\Yesterday?\The party was yesterday, not on the Eve.\On December 25th, Christmas Day.\After that incident with the intruder and all...\That's right. response:	Who was he, anyway?
context: Dude, why have I lost days again?\Did you want to go to that party yesterday?\Yesterday?\The party was yesterday, not on the Eve.\On December 25th, Christmas Day.\After that incident with the intruder and all...\That's right.\Who was he, anyway? response:	He had a Qmay Group emblem on his bracelet.
context: Did you want to go to that party yesterday?\Yesterday?\The party was yesterday, not on the Eve.\On December 25th, Christmas Day.\After that incident with the intruder and all...\That's right.\Who was he, anyway?\He had a Qmay Group emblem on his bracelet. response:	Muhi's wound looked like it healed right away.
context: Yesterday?\The party was yesterday, not on the Eve.\On December 25th, Christmas Day.\After that incident with the intruder and all...\That's right.\Who was he, anyway?\He had a Qmay Group emblem on his bracelet.\Muhi's wound looked like it healed right away. response:	And that freak Miyazawa Kenji guy is a mystery.
context: The party was yesterday, not on the Eve.\On December 25th, Christmas Day.\After that incident with the intruder and all...\That's right.\Who was he, anyway?\He had a Qmay Group emblem on his bracelet.\Muhi's wound looked like it healed right away.\And that freak Miyazawa Kenji guy is a mystery. response:	And above all, Meika...
context: On December 25th, Christmas Day.\After that incident with the intruder and all...\That's right.\Who was he, anyway?\He had a Qmay Group emblem on his bracelet.\Muhi's wound looked like it healed right away.\And that freak Miyazawa Kenji guy is a mystery.\And above all, Meika... response:	Y-You don't have to do this.
context: After that incident with the intruder and all...\That's right.\Who was he, anyway?\He had a Qmay Group emblem on his bracelet.\Muhi's wound looked like it healed right away.\And that freak Miyazawa Kenji guy is a mystery.\And above all, Meika...\Y-You don't have to do this. response:	Don't worry about it.
context: That's right.\Who was he, anyway?\He had a Qmay Group emblem on his bracelet.\Muhi's wound looked like it healed right away.\And that freak Miyazawa Kenji guy is a mystery.\And above all, Meika...\Y-You don't have to do this.\Don't worry about it. response:	I'm just returning a favor.
context: Who was he, anyway?\He had a Qmay Group emblem on his bracelet.\Muhi's wound looked like it healed right away.\And that freak Miyazawa Kenji guy is a mystery.\And above all, Meika...\Y-You don't have to do this.\Don't worry about it.\I'm just returning a favor. response:	You need to do repairs, right?
context: He had a Qmay Group emblem on his bracelet.\Muhi's wound looked like it healed right away.\And that freak Miyazawa Kenji guy is a mystery.\And above all, Meika...\Y-You don't have to do this.\Don't worry about it.\I'm just returning a favor.\You need to do repairs, right? response:	Your fusion reactor broke down after that man hit you.
context: Muhi's wound looked like it healed right away.\And that freak Miyazawa Kenji guy is a mystery.\And above all, Meika...\Y-You don't have to do this.\Don't worry about it.\I'm just returning a favor.\You need to do repairs, right?\Your fusion reactor broke down after that man hit you. response:	So...
context: And that freak Miyazawa Kenji guy is a mystery.\And above all, Meika...\Y-You don't have to do this.\Don't worry about it.\I'm just returning a favor.\You need to do repairs, right?\Your fusion reactor broke down after that man hit you.\So... response:	Who are you?
context: And above all, Meika...\Y-You don't have to do this.\Don't worry about it.\I'm just returning a favor.\You need to do repairs, right?\Your fusion reactor broke down after that man hit you.\So...\Who are you? response:	I'm Miyazawa Kenji.
context: Y-You don't have to do this.\Don't worry about it.\I'm just returning a favor.\You need to do repairs, right?\Your fusion reactor broke down after that man hit you.\So...\Who are you?\I'm Miyazawa Kenji. response:	If there is a sick child to the east,
context: Don't worry about it.\I'm just returning a favor.\You need to do repairs, right?\Your fusion reactor broke down after that man hit you.\So...\Who are you?\I'm Miyazawa Kenji.\If there is a sick child to the east, response:	it is my duty to go and care for him.
context: I'm just returning a favor.\You need to do repairs, right?\Your fusion reactor broke down after that man hit you.\So...\Who are you?\I'm Miyazawa Kenji.\If there is a sick child to the east,\it is my duty to go and care for him. response:	Of course, you're not a child, but a robot.
context: You need to do repairs, right?\Your fusion reactor broke down after that man hit you.\So...\Who are you?\I'm Miyazawa Kenji.\If there is a sick child to the east,\it is my duty to go and care for him.\Of course, you're not a child, but a robot. response:	What are you doing?!
context: Your fusion reactor broke down after that man hit you.\So...\Who are you?\I'm Miyazawa Kenji.\If there is a sick child to the east,\it is my duty to go and care for him.\Of course, you're not a child, but a robot.\What are you doing?! response:	It's a view of your room.
context: So...\Who are you?\I'm Miyazawa Kenji.\If there is a sick child to the east,\it is my duty to go and care for him.\Of course, you're not a child, but a robot.\What are you doing?!\It's a view of your room. response:	Why is Meika dressed like that?
context: Who are you?\I'm Miyazawa Kenji.\If there is a sick child to the east,\it is my duty to go and care for him.\Of course, you're not a child, but a robot.\What are you doing?!\It's a view of your room.\Why is Meika dressed like that? response:	Maybe she's trying to help with Japan's declining birth rate and rising age.
context: I'm Miyazawa Kenji.\If there is a sick child to the east,\it is my duty to go and care for him.\Of course, you're not a child, but a robot.\What are you doing?!\It's a view of your room.\Why is Meika dressed like that?\Maybe she's trying to help with Japan's declining birth rate and rising age. response:	No, no, she's a robot!
context: If there is a sick child to the east,\it is my duty to go and care for him.\Of course, you're not a child, but a robot.\What are you doing?!\It's a view of your room.\Why is Meika dressed like that?\Maybe she's trying to help with Japan's declining birth rate and rising age.\No, no, she's a robot! response:	Oh, she left.
context: it is my duty to go and care for him.\Of course, you're not a child, but a robot.\What are you doing?!\It's a view of your room.\Why is Meika dressed like that?\Maybe she's trying to help with Japan's declining birth rate and rising age.\No, no, she's a robot!\Oh, she left. response:	I don't get it!
context: Of course, you're not a child, but a robot.\What are you doing?!\It's a view of your room.\Why is Meika dressed like that?\Maybe she's trying to help with Japan's declining birth rate and rising age.\No, no, she's a robot!\Oh, she left.\I don't get it! response:	Why is she in her underwear?!
context: What are you doing?!\It's a view of your room.\Why is Meika dressed like that?\Maybe she's trying to help with Japan's declining birth rate and rising age.\No, no, she's a robot!\Oh, she left.\I don't get it!\Why is she in her underwear?! response:	That's what you're worried about?
context: It's a view of your room.\Why is Meika dressed like that?\Maybe she's trying to help with Japan's declining birth rate and rising age.\No, no, she's a robot!\Oh, she left.\I don't get it!\Why is she in her underwear?!\That's what you're worried about? response:	Damn it...
context: Why is Meika dressed like that?\Maybe she's trying to help with Japan's declining birth rate and rising age.\No, no, she's a robot!\Oh, she left.\I don't get it!\Why is she in her underwear?!\That's what you're worried about?\Damn it... response:	Are you all right?
context: Maybe she's trying to help with Japan's declining birth rate and rising age.\No, no, she's a robot!\Oh, she left.\I don't get it!\Why is she in her underwear?!\That's what you're worried about?\Damn it...\Are you all right? response:	Don't worry. I just forgot to put on my insulation ring.
context: No, no, she's a robot!\Oh, she left.\I don't get it!\Why is she in her underwear?!\That's what you're worried about?\Damn it...\Are you all right?\Don't worry. I just forgot to put on my insulation ring. response:	I need it in order to install replacement parts.
context: Oh, she left.\I don't get it!\Why is she in her underwear?!\That's what you're worried about?\Damn it...\Are you all right?\Don't worry. I just forgot to put on my insulation ring.\I need it in order to install replacement parts. response:	You mean this rubber thing?
context: I don't get it!\Why is she in her underwear?!\That's what you're worried about?\Damn it...\Are you all right?\Don't worry. I just forgot to put on my insulation ring.\I need it in order to install replacement parts.\You mean this rubber thing? response:	It wasn't fixed yet?
context: Why is she in her underwear?!\That's what you're worried about?\Damn it...\Are you all right?\Don't worry. I just forgot to put on my insulation ring.\I need it in order to install replacement parts.\You mean this rubber thing?\It wasn't fixed yet? response:	It's like an aftereffect.
context: That's what you're worried about?\Damn it...\Are you all right?\Don't worry. I just forgot to put on my insulation ring.\I need it in order to install replacement parts.\You mean this rubber thing?\It wasn't fixed yet?\It's like an aftereffect. response:	My radiator broke after that guy hit me.
context: Damn it...\Are you all right?\Don't worry. I just forgot to put on my insulation ring.\I need it in order to install replacement parts.\You mean this rubber thing?\It wasn't fixed yet?\It's like an aftereffect.\My radiator broke after that guy hit me. response:	Turtle Man, huh?
context: Are you all right?\Don't worry. I just forgot to put on my insulation ring.\I need it in order to install replacement parts.\You mean this rubber thing?\It wasn't fixed yet?\It's like an aftereffect.\My radiator broke after that guy hit me.\Turtle Man, huh? response:	Turtle Man?
context: Don't worry. I just forgot to put on my insulation ring.\I need it in order to install replacement parts.\You mean this rubber thing?\It wasn't fixed yet?\It's like an aftereffect.\My radiator broke after that guy hit me.\Turtle Man, huh?\Turtle Man? response:	Ito and Muhi are both gone.
context: I need it in order to install replacement parts.\You mean this rubber thing?\It wasn't fixed yet?\It's like an aftereffect.\My radiator broke after that guy hit me.\Turtle Man, huh?\Turtle Man?\Ito and Muhi are both gone. response:	Come to think of it, Ito was acting weird yesterday.
context: You mean this rubber thing?\It wasn't fixed yet?\It's like an aftereffect.\My radiator broke after that guy hit me.\Turtle Man, huh?\Turtle Man?\Ito and Muhi are both gone.\Come to think of it, Ito was acting weird yesterday. response:	Huh?
context: It wasn't fixed yet?\It's like an aftereffect.\My radiator broke after that guy hit me.\Turtle Man, huh?\Turtle Man?\Ito and Muhi are both gone.\Come to think of it, Ito was acting weird yesterday.\Huh? response:	Necromancer
context: It's like an aftereffect.\My radiator broke after that guy hit me.\Turtle Man, huh?\Turtle Man?\Ito and Muhi are both gone.\Come to think of it, Ito was acting weird yesterday.\Huh?\Necromancer response:	My spirit power level went up?
context: My radiator broke after that guy hit me.\Turtle Man, huh?\Turtle Man?\Ito and Muhi are both gone.\Come to think of it, Ito was acting weird yesterday.\Huh?\Necromancer\My spirit power level went up? response:	Wh-What is this?
