context: Do you know what it means to dis Sabertooth? response:	I'm going to teach you with her body!
context: The battle part for the fourth day are tag-team matches, right?\Two against two? I can't wait!\Thank you very much!\Alright, I will now announce the match-ups for the battles!\Everyone, please direct your eyes to Lacrima-Vision!\The first match is Blue Pegasus versus Quatro Puppy!\The second match is Mermaid Heel versus Lamia Scale!\The third match is Sabertooth versus Fairy Tail! response:	And now, here comes the new Fairy Tail team!
context: Two against two? I can't wait!\Thank you very much!\Alright, I will now announce the match-ups for the battles!\Everyone, please direct your eyes to Lacrima-Vision!\The first match is Blue Pegasus versus Quatro Puppy!\The second match is Mermaid Heel versus Lamia Scale!\The third match is Sabertooth versus Fairy Tail!\And now, here comes the new Fairy Tail team! response:	Good luck, everyone.
context: Thank you very much!\Alright, I will now announce the match-ups for the battles!\Everyone, please direct your eyes to Lacrima-Vision!\The first match is Blue Pegasus versus Quatro Puppy!\The second match is Mermaid Heel versus Lamia Scale!\The third match is Sabertooth versus Fairy Tail!\And now, here comes the new Fairy Tail team!\Good luck, everyone. response:	I'm countin' on you guys.
context: Alright, I will now announce the match-ups for the battles!\Everyone, please direct your eyes to Lacrima-Vision!\The first match is Blue Pegasus versus Quatro Puppy!\The second match is Mermaid Heel versus Lamia Scale!\The third match is Sabertooth versus Fairy Tail!\And now, here comes the new Fairy Tail team!\Good luck, everyone.\I'm countin' on you guys. response:	This really is the strongest team, right?
context: Everyone, please direct your eyes to Lacrima-Vision!\The first match is Blue Pegasus versus Quatro Puppy!\The second match is Mermaid Heel versus Lamia Scale!\The third match is Sabertooth versus Fairy Tail!\And now, here comes the new Fairy Tail team!\Good luck, everyone.\I'm countin' on you guys.\This really is the strongest team, right? response:	I'll be cheering you on!
context: The first match is Blue Pegasus versus Quatro Puppy!\The second match is Mermaid Heel versus Lamia Scale!\The third match is Sabertooth versus Fairy Tail!\And now, here comes the new Fairy Tail team!\Good luck, everyone.\I'm countin' on you guys.\This really is the strongest team, right?\I'll be cheering you on! response:	Do your best!
context: The second match is Mermaid Heel versus Lamia Scale!\The third match is Sabertooth versus Fairy Tail!\And now, here comes the new Fairy Tail team!\Good luck, everyone.\I'm countin' on you guys.\This really is the strongest team, right?\I'll be cheering you on!\Do your best! response:	This is an awesome team!
context: The third match is Sabertooth versus Fairy Tail!\And now, here comes the new Fairy Tail team!\Good luck, everyone.\I'm countin' on you guys.\This really is the strongest team, right?\I'll be cheering you on!\Do your best!\This is an awesome team! response:	I can't even picture these members failing.
context: And now, here comes the new Fairy Tail team!\Good luck, everyone.\I'm countin' on you guys.\This really is the strongest team, right?\I'll be cheering you on!\Do your best!\This is an awesome team!\I can't even picture these members failing. response:	The thoughts of our guild have become one.
context: Good luck, everyone.\I'm countin' on you guys.\This really is the strongest team, right?\I'll be cheering you on!\Do your best!\This is an awesome team!\I can't even picture these members failing.\The thoughts of our guild have become one. response:	We're entrusting this feeling to the gods!
context: I'm countin' on you guys.\This really is the strongest team, right?\I'll be cheering you on!\Do your best!\This is an awesome team!\I can't even picture these members failing.\The thoughts of our guild have become one.\We're entrusting this feeling to the gods! response:	Now is the time to show them all
context: This really is the strongest team, right?\I'll be cheering you on!\Do your best!\This is an awesome team!\I can't even picture these members failing.\The thoughts of our guild have become one.\We're entrusting this feeling to the gods!\Now is the time to show them all response:	the power of our bond!
context: I'll be cheering you on!\Do your best!\This is an awesome team!\I can't even picture these members failing.\The thoughts of our guild have become one.\We're entrusting this feeling to the gods!\Now is the time to show them all\the power of our bond! response:	The whole arena is shaking!
context: Do your best!\This is an awesome team!\I can't even picture these members failing.\The thoughts of our guild have become one.\We're entrusting this feeling to the gods!\Now is the time to show them all\the power of our bond!\The whole arena is shaking! response:	Right here and now...
context: This is an awesome team!\I can't even picture these members failing.\The thoughts of our guild have become one.\We're entrusting this feeling to the gods!\Now is the time to show them all\the power of our bond!\The whole arena is shaking!\Right here and now... response:	As you might expect,
context: I can't even picture these members failing.\The thoughts of our guild have become one.\We're entrusting this feeling to the gods!\Now is the time to show them all\the power of our bond!\The whole arena is shaking!\Right here and now...\As you might expect, response:	everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl.
context: The thoughts of our guild have become one.\We're entrusting this feeling to the gods!\Now is the time to show them all\the power of our bond!\The whole arena is shaking!\Right here and now...\As you might expect,\everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl. response:	I didn't know what was going to happen then.
context: We're entrusting this feeling to the gods!\Now is the time to show them all\the power of our bond!\The whole arena is shaking!\Right here and now...\As you might expect,\everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl.\I didn't know what was going to happen then. response:	It certainly was a heated moment. Thank you very much.
context: Now is the time to show them all\the power of our bond!\The whole arena is shaking!\Right here and now...\As you might expect,\everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl.\I didn't know what was going to happen then.\It certainly was a heated moment. Thank you very much. response:	The Celestial Spirit Wizard isn't there.
context: the power of our bond!\The whole arena is shaking!\Right here and now...\As you might expect,\everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl.\I didn't know what was going to happen then.\It certainly was a heated moment. Thank you very much.\The Celestial Spirit Wizard isn't there. response:	Apparently, she's in the infirmary.
context: The whole arena is shaking!\Right here and now...\As you might expect,\everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl.\I didn't know what was going to happen then.\It certainly was a heated moment. Thank you very much.\The Celestial Spirit Wizard isn't there.\Apparently, she's in the infirmary. response:	Don't you even think about any heavy-handed action like last time!
context: Right here and now...\As you might expect,\everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl.\I didn't know what was going to happen then.\It certainly was a heated moment. Thank you very much.\The Celestial Spirit Wizard isn't there.\Apparently, she's in the infirmary.\Don't you even think about any heavy-handed action like last time! response:	Oh, no.
context: As you might expect,\everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl.\I didn't know what was going to happen then.\It certainly was a heated moment. Thank you very much.\The Celestial Spirit Wizard isn't there.\Apparently, she's in the infirmary.\Don't you even think about any heavy-handed action like last time!\Oh, no. response:	Admittedly, that was a blunder.
context: everyone's waiting for Fairy Tail versus Sabertooth, who were nearly about to brawl.\I didn't know what was going to happen then.\It certainly was a heated moment. Thank you very much.\The Celestial Spirit Wizard isn't there.\Apparently, she's in the infirmary.\Don't you even think about any heavy-handed action like last time!\Oh, no.\Admittedly, that was a blunder. response:	Next time, I shall use a somewhat more reliable means.
context: I didn't know what was going to happen then.\It certainly was a heated moment. Thank you very much.\The Celestial Spirit Wizard isn't there.\Apparently, she's in the infirmary.\Don't you even think about any heavy-handed action like last time!\Oh, no.\Admittedly, that was a blunder.\Next time, I shall use a somewhat more reliable means. response:	But for the moment, let's enjoy the festival.
context: It certainly was a heated moment. Thank you very much.\The Celestial Spirit Wizard isn't there.\Apparently, she's in the infirmary.\Don't you even think about any heavy-handed action like last time!\Oh, no.\Admittedly, that was a blunder.\Next time, I shall use a somewhat more reliable means.\But for the moment, let's enjoy the festival. response:	The plan will be set in motion three days hence.
context: The Celestial Spirit Wizard isn't there.\Apparently, she's in the infirmary.\Don't you even think about any heavy-handed action like last time!\Oh, no.\Admittedly, that was a blunder.\Next time, I shall use a somewhat more reliable means.\But for the moment, let's enjoy the festival.\The plan will be set in motion three days hence. response:	Eclipse...
context: Apparently, she's in the infirmary.\Don't you even think about any heavy-handed action like last time!\Oh, no.\Admittedly, that was a blunder.\Next time, I shall use a somewhat more reliable means.\But for the moment, let's enjoy the festival.\The plan will be set in motion three days hence.\Eclipse... response:	It will change the world.
context: Don't you even think about any heavy-handed action like last time!\Oh, no.\Admittedly, that was a blunder.\Next time, I shall use a somewhat more reliable means.\But for the moment, let's enjoy the festival.\The plan will be set in motion three days hence.\Eclipse...\It will change the world. response:	And already, there is no way to stop it?
context: Oh, no.\Admittedly, that was a blunder.\Next time, I shall use a somewhat more reliable means.\But for the moment, let's enjoy the festival.\The plan will be set in motion three days hence.\Eclipse...\It will change the world.\And already, there is no way to stop it? response:	Lord Zeref is waiting...
context: Admittedly, that was a blunder.\Next time, I shall use a somewhat more reliable means.\But for the moment, let's enjoy the festival.\The plan will be set in motion three days hence.\Eclipse...\It will change the world.\And already, there is no way to stop it?\Lord Zeref is waiting... response:	I'm fired up.
context: Next time, I shall use a somewhat more reliable means.\But for the moment, let's enjoy the festival.\The plan will be set in motion three days hence.\Eclipse...\It will change the world.\And already, there is no way to stop it?\Lord Zeref is waiting...\I'm fired up. response:	Festival, eh?
context: But for the moment, let's enjoy the festival.\The plan will be set in motion three days hence.\Eclipse...\It will change the world.\And already, there is no way to stop it?\Lord Zeref is waiting...\I'm fired up.\Festival, eh? response:	The Grand Magic Games...
context: The plan will be set in motion three days hence.\Eclipse...\It will change the world.\And already, there is no way to stop it?\Lord Zeref is waiting...\I'm fired up.\Festival, eh?\The Grand Magic Games... response:	Although it once went by another name...
context: Eclipse...\It will change the world.\And already, there is no way to stop it?\Lord Zeref is waiting...\I'm fired up.\Festival, eh?\The Grand Magic Games...\Although it once went by another name... response:	The Festival of the Dragon King...
context: It will change the world.\And already, there is no way to stop it?\Lord Zeref is waiting...\I'm fired up.\Festival, eh?\The Grand Magic Games...\Although it once went by another name...\The Festival of the Dragon King... response:	A feast for dragons, humans, and demons...
context: And already, there is no way to stop it?\Lord Zeref is waiting...\I'm fired up.\Festival, eh?\The Grand Magic Games...\Although it once went by another name...\The Festival of the Dragon King...\A feast for dragons, humans, and demons... response:	Alright, the first tag-team battle!
context: Lord Zeref is waiting...\I'm fired up.\Festival, eh?\The Grand Magic Games...\Although it once went by another name...\The Festival of the Dragon King...\A feast for dragons, humans, and demons...\Alright, the first tag-team battle! response:	From Blue Pegasus, Ichiya and Rabbit
context: I'm fired up.\Festival, eh?\The Grand Magic Games...\Although it once went by another name...\The Festival of the Dragon King...\A feast for dragons, humans, and demons...\Alright, the first tag-team battle!\From Blue Pegasus, Ichiya and Rabbit response:	versus Bacchus and Rocker from Quatro Puppy!
context: Festival, eh?\The Grand Magic Games...\Although it once went by another name...\The Festival of the Dragon King...\A feast for dragons, humans, and demons...\Alright, the first tag-team battle!\From Blue Pegasus, Ichiya and Rabbit\versus Bacchus and Rocker from Quatro Puppy! response:	Wild...
context: The Grand Magic Games...\Although it once went by another name...\The Festival of the Dragon King...\A feast for dragons, humans, and demons...\Alright, the first tag-team battle!\From Blue Pegasus, Ichiya and Rabbit\versus Bacchus and Rocker from Quatro Puppy!\Wild... response:	Bacchus-san, let's get wild with these guys.
context: Although it once went by another name...\The Festival of the Dragon King...\A feast for dragons, humans, and demons...\Alright, the first tag-team battle!\From Blue Pegasus, Ichiya and Rabbit\versus Bacchus and Rocker from Quatro Puppy!\Wild...\Bacchus-san, let's get wild with these guys. response:	At the rate we're goin'...
context: The Festival of the Dragon King...\A feast for dragons, humans, and demons...\Alright, the first tag-team battle!\From Blue Pegasus, Ichiya and Rabbit\versus Bacchus and Rocker from Quatro Puppy!\Wild...\Bacchus-san, let's get wild with these guys.\At the rate we're goin'... response:	What? My soul is quivering. That's enough.
context: A feast for dragons, humans, and demons...\Alright, the first tag-team battle!\From Blue Pegasus, Ichiya and Rabbit\versus Bacchus and Rocker from Quatro Puppy!\Wild...\Bacchus-san, let's get wild with these guys.\At the rate we're goin'...\What? My soul is quivering. That's enough. response:	Well?
context: Alright, the first tag-team battle!\From Blue Pegasus, Ichiya and Rabbit\versus Bacchus and Rocker from Quatro Puppy!\Wild...\Bacchus-san, let's get wild with these guys.\At the rate we're goin'...\What? My soul is quivering. That's enough.\Well? response:	O-Oh, my! This is beautiful...
context: From Blue Pegasus, Ichiya and Rabbit\versus Bacchus and Rocker from Quatro Puppy!\Wild...\Bacchus-san, let's get wild with these guys.\At the rate we're goin'...\What? My soul is quivering. That's enough.\Well?\O-Oh, my! This is beautiful... response:	Opponents shaking hands before what's sure to be a fierce battle!
context: versus Bacchus and Rocker from Quatro Puppy!\Wild...\Bacchus-san, let's get wild with these guys.\At the rate we're goin'...\What? My soul is quivering. That's enough.\Well?\O-Oh, my! This is beautiful...\Opponents shaking hands before what's sure to be a fierce battle! response:	Too beautiful for words! Thank you very much!
context: Wild...\Bacchus-san, let's get wild with these guys.\At the rate we're goin'...\What? My soul is quivering. That's enough.\Well?\O-Oh, my! This is beautiful...\Opponents shaking hands before what's sure to be a fierce battle!\Too beautiful for words! Thank you very much! response:	The rabbit and I are gonna...?
context: Bacchus-san, let's get wild with these guys.\At the rate we're goin'...\What? My soul is quivering. That's enough.\Well?\O-Oh, my! This is beautiful...\Opponents shaking hands before what's sure to be a fierce battle!\Too beautiful for words! Thank you very much!\The rabbit and I are gonna...? response:	His hand smells kinda good-four...
context: At the rate we're goin'...\What? My soul is quivering. That's enough.\Well?\O-Oh, my! This is beautiful...\Opponents shaking hands before what's sure to be a fierce battle!\Too beautiful for words! Thank you very much!\The rabbit and I are gonna...?\His hand smells kinda good-four... response:	At last, the time has come to unleash you.
context: What? My soul is quivering. That's enough.\Well?\O-Oh, my! This is beautiful...\Opponents shaking hands before what's sure to be a fierce battle!\Too beautiful for words! Thank you very much!\The rabbit and I are gonna...?\His hand smells kinda good-four...\At last, the time has come to unleash you. response:	The rabbit!
context: Well?\O-Oh, my! This is beautiful...\Opponents shaking hands before what's sure to be a fierce battle!\Too beautiful for words! Thank you very much!\The rabbit and I are gonna...?\His hand smells kinda good-four...\At last, the time has come to unleash you.\The rabbit! response:	We'll finally find out who it really is!
context: O-Oh, my! This is beautiful...\Opponents shaking hands before what's sure to be a fierce battle!\Too beautiful for words! Thank you very much!\The rabbit and I are gonna...?\His hand smells kinda good-four...\At last, the time has come to unleash you.\The rabbit!\We'll finally find out who it really is! response:	We don't even know who the rabbit is...
context: Opponents shaking hands before what's sure to be a fierce battle!\Too beautiful for words! Thank you very much!\The rabbit and I are gonna...?\His hand smells kinda good-four...\At last, the time has come to unleash you.\The rabbit!\We'll finally find out who it really is!\We don't even know who the rabbit is... response:	Who could it be...
context: Too beautiful for words! Thank you very much!\The rabbit and I are gonna...?\His hand smells kinda good-four...\At last, the time has come to unleash you.\The rabbit!\We'll finally find out who it really is!\We don't even know who the rabbit is...\Who could it be... response:	What the hell are you two doing?!
context: The rabbit and I are gonna...?\His hand smells kinda good-four...\At last, the time has come to unleash you.\The rabbit!\We'll finally find out who it really is!\We don't even know who the rabbit is...\Who could it be...\What the hell are you two doing?! response:	Please pay attention to Ichiya-san's match!
context: His hand smells kinda good-four...\At last, the time has come to unleash you.\The rabbit!\We'll finally find out who it really is!\We don't even know who the rabbit is...\Who could it be...\What the hell are you two doing?!\Please pay attention to Ichiya-san's match! response:	Go ahead and show them...
context: At last, the time has come to unleash you.\The rabbit!\We'll finally find out who it really is!\We don't even know who the rabbit is...\Who could it be...\What the hell are you two doing?!\Please pay attention to Ichiya-san's match!\Go ahead and show them... response:	He's...
context: The rabbit!\We'll finally find out who it really is!\We don't even know who the rabbit is...\Who could it be...\What the hell are you two doing?!\Please pay attention to Ichiya-san's match!\Go ahead and show them...\He's... response:	Double Handsome Attack!
context: We'll finally find out who it really is!\We don't even know who the rabbit is...\Who could it be...\What the hell are you two doing?!\Please pay attention to Ichiya-san's match!\Go ahead and show them...\He's...\Double Handsome Attack! response:	No way!
context: We don't even know who the rabbit is...\Who could it be...\What the hell are you two doing?!\Please pay attention to Ichiya-san's match!\Go ahead and show them...\He's...\Double Handsome Attack!\No way! response:	Gross!
context: Who could it be...\What the hell are you two doing?!\Please pay attention to Ichiya-san's match!\Go ahead and show them...\He's...\Double Handsome Attack!\No way!\Gross! response:	Nichiya?!
context: What the hell are you two doing?!\Please pay attention to Ichiya-san's match!\Go ahead and show them...\He's...\Double Handsome Attack!\No way!\Gross!\Nichiya?! response:	This is a dangerous...
context: Please pay attention to Ichiya-san's match!\Go ahead and show them...\He's...\Double Handsome Attack!\No way!\Gross!\Nichiya?!\This is a dangerous... response:	There are...
context: Go ahead and show them...\He's...\Double Handsome Attack!\No way!\Gross!\Nichiya?!\This is a dangerous...\There are... response:	Double Handsome Attack!
context: He's...\Double Handsome Attack!\No way!\Gross!\Nichiya?!\This is a dangerous...\There are...\Double Handsome Attack! response:	Pull yourself together!
context: Double Handsome Attack!\No way!\Gross!\Nichiya?!\This is a dangerous...\There are...\Double Handsome Attack!\Pull yourself together! response:	That's not wild at all!
context: No way!\Gross!\Nichiya?!\This is a dangerous...\There are...\Double Handsome Attack!\Pull yourself together!\That's not wild at all! response:	In the first place, you're disqualified if somebody outside of Blue Pegasus participates!
context: Gross!\Nichiya?!\This is a dangerous...\There are...\Double Handsome Attack!\Pull yourself together!\That's not wild at all!\In the first place, you're disqualified if somebody outside of Blue Pegasus participates! response:	Look!
context: Nichiya?!\This is a dangerous...\There are...\Double Handsome Attack!\Pull yourself together!\That's not wild at all!\In the first place, you're disqualified if somebody outside of Blue Pegasus participates!\Look! response:	Before the Grand Magic Games began,
context: This is a dangerous...\There are...\Double Handsome Attack!\Pull yourself together!\That's not wild at all!\In the first place, you're disqualified if somebody outside of Blue Pegasus participates!\Look!\Before the Grand Magic Games began, response:	Nichiya-chan became a full-fledged member of our guild!
context: There are...\Double Handsome Attack!\Pull yourself together!\That's not wild at all!\In the first place, you're disqualified if somebody outside of Blue Pegasus participates!\Look!\Before the Grand Magic Games began,\Nichiya-chan became a full-fledged member of our guild! response:	With looks like that, he's plenty qualified to be one of us!
context: Double Handsome Attack!\Pull yourself together!\That's not wild at all!\In the first place, you're disqualified if somebody outside of Blue Pegasus participates!\Look!\Before the Grand Magic Games began,\Nichiya-chan became a full-fledged member of our guild!\With looks like that, he's plenty qualified to be one of us! response:	But how did Nichiya end up joining Blue Pegasus?
context: Pull yourself together!\That's not wild at all!\In the first place, you're disqualified if somebody outside of Blue Pegasus participates!\Look!\Before the Grand Magic Games began,\Nichiya-chan became a full-fledged member of our guild!\With looks like that, he's plenty qualified to be one of us!\But how did Nichiya end up joining Blue Pegasus? response:	It was an encounter with myself...
context: That's not wild at all!\In the first place, you're disqualified if somebody outside of Blue Pegasus participates!\Look!\Before the Grand Magic Games began,\Nichiya-chan became a full-fledged member of our guild!\With looks like that, he's plenty qualified to be one of us!\But how did Nichiya end up joining Blue Pegasus?\It was an encounter with myself... response:	It was fate indeed.
context: In the first place, you're disqualified if somebody outside of Blue Pegasus participates!\Look!\Before the Grand Magic Games began,\Nichiya-chan became a full-fledged member of our guild!\With looks like that, he's plenty qualified to be one of us!\But how did Nichiya end up joining Blue Pegasus?\It was an encounter with myself...\It was fate indeed. response:	Yes. It happened one sunny afternoon...
context: Look!\Before the Grand Magic Games began,\Nichiya-chan became a full-fledged member of our guild!\With looks like that, he's plenty qualified to be one of us!\But how did Nichiya end up joining Blue Pegasus?\It was an encounter with myself...\It was fate indeed.\Yes. It happened one sunny afternoon... response:	Sensing the parfum of an attractive person, I entered a forest.
context: Before the Grand Magic Games began,\Nichiya-chan became a full-fledged member of our guild!\With looks like that, he's plenty qualified to be one of us!\But how did Nichiya end up joining Blue Pegasus?\It was an encounter with myself...\It was fate indeed.\Yes. It happened one sunny afternoon...\Sensing the parfum of an attractive person, I entered a forest. response:	I walked on and on, but nothing appeared...
context: Nichiya-chan became a full-fledged member of our guild!\With looks like that, he's plenty qualified to be one of us!\But how did Nichiya end up joining Blue Pegasus?\It was an encounter with myself...\It was fate indeed.\Yes. It happened one sunny afternoon...\Sensing the parfum of an attractive person, I entered a forest.\I walked on and on, but nothing appeared... response:	It was then I thought that perhaps...
context: With looks like that, he's plenty qualified to be one of us!\But how did Nichiya end up joining Blue Pegasus?\It was an encounter with myself...\It was fate indeed.\Yes. It happened one sunny afternoon...\Sensing the parfum of an attractive person, I entered a forest.\I walked on and on, but nothing appeared...\It was then I thought that perhaps... response:	So I tried to leave,
context: But how did Nichiya end up joining Blue Pegasus?\It was an encounter with myself...\It was fate indeed.\Yes. It happened one sunny afternoon...\Sensing the parfum of an attractive person, I entered a forest.\I walked on and on, but nothing appeared...\It was then I thought that perhaps...\So I tried to leave, response:	but only succeeded in walking deeper and deeper into the forest.
context: It was an encounter with myself...\It was fate indeed.\Yes. It happened one sunny afternoon...\Sensing the parfum of an attractive person, I entered a forest.\I walked on and on, but nothing appeared...\It was then I thought that perhaps...\So I tried to leave,\but only succeeded in walking deeper and deeper into the forest. response:	Finally, starving and dehydrated, I collapsed.
context: It was fate indeed.\Yes. It happened one sunny afternoon...\Sensing the parfum of an attractive person, I entered a forest.\I walked on and on, but nothing appeared...\It was then I thought that perhaps...\So I tried to leave,\but only succeeded in walking deeper and deeper into the forest.\Finally, starving and dehydrated, I collapsed. response:	But luckily,
context: Yes. It happened one sunny afternoon...\Sensing the parfum of an attractive person, I entered a forest.\I walked on and on, but nothing appeared...\It was then I thought that perhaps...\So I tried to leave,\but only succeeded in walking deeper and deeper into the forest.\Finally, starving and dehydrated, I collapsed.\But luckily, response:	that forest was the abode of Exceeds who came to Earthland.
context: Sensing the parfum of an attractive person, I entered a forest.\I walked on and on, but nothing appeared...\It was then I thought that perhaps...\So I tried to leave,\but only succeeded in walking deeper and deeper into the forest.\Finally, starving and dehydrated, I collapsed.\But luckily,\that forest was the abode of Exceeds who came to Earthland. response:	What a beautiful human!
context: I walked on and on, but nothing appeared...\It was then I thought that perhaps...\So I tried to leave,\but only succeeded in walking deeper and deeper into the forest.\Finally, starving and dehydrated, I collapsed.\But luckily,\that forest was the abode of Exceeds who came to Earthland.\What a beautiful human! response:	What a beautiful cat!
context: It was then I thought that perhaps...\So I tried to leave,\but only succeeded in walking deeper and deeper into the forest.\Finally, starving and dehydrated, I collapsed.\But luckily,\that forest was the abode of Exceeds who came to Earthland.\What a beautiful human!\What a beautiful cat! response:	Hey! Get a grip!
context: So I tried to leave,\but only succeeded in walking deeper and deeper into the forest.\Finally, starving and dehydrated, I collapsed.\But luckily,\that forest was the abode of Exceeds who came to Earthland.\What a beautiful human!\What a beautiful cat!\Hey! Get a grip! response:	Is there something that you'd like?
context: but only succeeded in walking deeper and deeper into the forest.\Finally, starving and dehydrated, I collapsed.\But luckily,\that forest was the abode of Exceeds who came to Earthland.\What a beautiful human!\What a beautiful cat!\Hey! Get a grip!\Is there something that you'd like? response:	A glass of water...
context: Finally, starving and dehydrated, I collapsed.\But luckily,\that forest was the abode of Exceeds who came to Earthland.\What a beautiful human!\What a beautiful cat!\Hey! Get a grip!\Is there something that you'd like?\A glass of water... response:	Sure. Right away.
context: But luckily,\that forest was the abode of Exceeds who came to Earthland.\What a beautiful human!\What a beautiful cat!\Hey! Get a grip!\Is there something that you'd like?\A glass of water...\Sure. Right away. response:	Refreshing at a time like this...
context: that forest was the abode of Exceeds who came to Earthland.\What a beautiful human!\What a beautiful cat!\Hey! Get a grip!\Is there something that you'd like?\A glass of water...\Sure. Right away.\Refreshing at a time like this... response:	Little did I know that this development
context: What a beautiful human!\What a beautiful cat!\Hey! Get a grip!\Is there something that you'd like?\A glass of water...\Sure. Right away.\Refreshing at a time like this...\Little did I know that this development response:	would become a classic romantic drama parfum.
context: What a beautiful cat!\Hey! Get a grip!\Is there something that you'd like?\A glass of water...\Sure. Right away.\Refreshing at a time like this...\Little did I know that this development\would become a classic romantic drama parfum. response:	I'm sorry.
context: Hey! Get a grip!\Is there something that you'd like?\A glass of water...\Sure. Right away.\Refreshing at a time like this...\Little did I know that this development\would become a classic romantic drama parfum.\I'm sorry. response:	Thanks to that, I'm refreshed-men.
context: Is there something that you'd like?\A glass of water...\Sure. Right away.\Refreshing at a time like this...\Little did I know that this development\would become a classic romantic drama parfum.\I'm sorry.\Thanks to that, I'm refreshed-men. response:	I'm glad to hear that-men.
context: A glass of water...\Sure. Right away.\Refreshing at a time like this...\Little did I know that this development\would become a classic romantic drama parfum.\I'm sorry.\Thanks to that, I'm refreshed-men.\I'm glad to hear that-men. response:	Men...
context: Sure. Right away.\Refreshing at a time like this...\Little did I know that this development\would become a classic romantic drama parfum.\I'm sorry.\Thanks to that, I'm refreshed-men.\I'm glad to hear that-men.\Men... response:	Men!
context: Refreshing at a time like this...\Little did I know that this development\would become a classic romantic drama parfum.\I'm sorry.\Thanks to that, I'm refreshed-men.\I'm glad to hear that-men.\Men...\Men! response:	Men...
context: Little did I know that this development\would become a classic romantic drama parfum.\I'm sorry.\Thanks to that, I'm refreshed-men.\I'm glad to hear that-men.\Men...\Men!\Men... response:	Men!
context: would become a classic romantic drama parfum.\I'm sorry.\Thanks to that, I'm refreshed-men.\I'm glad to hear that-men.\Men...\Men!\Men...\Men! response:	Men...!
context: I'm sorry.\Thanks to that, I'm refreshed-men.\I'm glad to hear that-men.\Men...\Men!\Men...\Men!\Men...! response:	This is the parfum of passionate friendship.
context: Thanks to that, I'm refreshed-men.\I'm glad to hear that-men.\Men...\Men!\Men...\Men!\Men...!\This is the parfum of passionate friendship. response:	Until you recover your strength, refresh yourself here in this forest.
context: I'm glad to hear that-men.\Men...\Men!\Men...\Men!\Men...!\This is the parfum of passionate friendship.\Until you recover your strength, refresh yourself here in this forest. response:	And so, our friendship deepened even more.
context: Men...\Men!\Men...\Men!\Men...!\This is the parfum of passionate friendship.\Until you recover your strength, refresh yourself here in this forest.\And so, our friendship deepened even more. response:	It's the parfum of memories that are just too beautiful.
context: Men!\Men...\Men!\Men...!\This is the parfum of passionate friendship.\Until you recover your strength, refresh yourself here in this forest.\And so, our friendship deepened even more.\It's the parfum of memories that are just too beautiful. response:	What did you do?!
context: Men...\Men!\Men...!\This is the parfum of passionate friendship.\Until you recover your strength, refresh yourself here in this forest.\And so, our friendship deepened even more.\It's the parfum of memories that are just too beautiful.\What did you do?! response:	Men!
context: Men!\Men...!\This is the parfum of passionate friendship.\Until you recover your strength, refresh yourself here in this forest.\And so, our friendship deepened even more.\It's the parfum of memories that are just too beautiful.\What did you do?!\Men! response:	Ichiya-san! Can he even fight?!
context: Men...!\This is the parfum of passionate friendship.\Until you recover your strength, refresh yourself here in this forest.\And so, our friendship deepened even more.\It's the parfum of memories that are just too beautiful.\What did you do?!\Men!\Ichiya-san! Can he even fight?! response:	Naturally!
context: This is the parfum of passionate friendship.\Until you recover your strength, refresh yourself here in this forest.\And so, our friendship deepened even more.\It's the parfum of memories that are just too beautiful.\What did you do?!\Men!\Ichiya-san! Can he even fight?!\Naturally! response:	He's got the same face as me!
context: Until you recover your strength, refresh yourself here in this forest.\And so, our friendship deepened even more.\It's the parfum of memories that are just too beautiful.\What did you do?!\Men!\Ichiya-san! Can he even fight?!\Naturally!\He's got the same face as me! response:	In other words...
context: And so, our friendship deepened even more.\It's the parfum of memories that are just too beautiful.\What did you do?!\Men!\Ichiya-san! Can he even fight?!\Naturally!\He's got the same face as me!\In other words... response:	Looks to me like he's dead!
context: It's the parfum of memories that are just too beautiful.\What did you do?!\Men!\Ichiya-san! Can he even fight?!\Naturally!\He's got the same face as me!\In other words...\Looks to me like he's dead! response:	It can't be!
context: What did you do?!\Men!\Ichiya-san! Can he even fight?!\Naturally!\He's got the same face as me!\In other words...\Looks to me like he's dead!\It can't be! response:	Four... Time to stop messin' around...
context: Men!\Ichiya-san! Can he even fight?!\Naturally!\He's got the same face as me!\In other words...\Looks to me like he's dead!\It can't be!\Four... Time to stop messin' around... response:	For us, it's now or never,
context: Ichiya-san! Can he even fight?!\Naturally!\He's got the same face as me!\In other words...\Looks to me like he's dead!\It can't be!\Four... Time to stop messin' around...\For us, it's now or never, response:	so we're gonna win this.
context: Naturally!\He's got the same face as me!\In other words...\Looks to me like he's dead!\It can't be!\Four... Time to stop messin' around...\For us, it's now or never,\so we're gonna win this. response:	Suddenly the revealed identity of the bunny is down!
