context: No, that's not true. response:	Yeah, I know it's not.
context: Then you should have tossed this away somewhere.\Besides, I don't feel like going to that school for retards any more.\I don't care whether you come to school or not.\But you should be ashamed of yourself.\Bye.\Ana...\Jinta, you big dummy!\Why didn't you ask her? response:	Just say,'Let's grant her wish together, Anaru!'
context: Besides, I don't feel like going to that school for retards any more.\I don't care whether you come to school or not.\But you should be ashamed of yourself.\Bye.\Ana...\Jinta, you big dummy!\Why didn't you ask her?\Just say,'Let's grant her wish together, Anaru!' response:	First of all, don't call her Anaru.
context: I don't care whether you come to school or not.\But you should be ashamed of yourself.\Bye.\Ana...\Jinta, you big dummy!\Why didn't you ask her?\Just say,'Let's grant her wish together, Anaru!'\First of all, don't call her Anaru. response:	Pick either Anjou or Naruko and stick with it.
context: But you should be ashamed of yourself.\Bye.\Ana...\Jinta, you big dummy!\Why didn't you ask her?\Just say,'Let's grant her wish together, Anaru!'\First of all, don't call her Anaru.\Pick either Anjou or Naruko and stick with it. response:	Why should I? Anaru is Anaru.
context: Bye.\Ana...\Jinta, you big dummy!\Why didn't you ask her?\Just say,'Let's grant her wish together, Anaru!'\First of all, don't call her Anaru.\Pick either Anjou or Naruko and stick with it.\Why should I? Anaru is Anaru. response:	She's nice to everyone, and has lots of video games and manga.
context: Ana...\Jinta, you big dummy!\Why didn't you ask her?\Just say,'Let's grant her wish together, Anaru!'\First of all, don't call her Anaru.\Pick either Anjou or Naruko and stick with it.\Why should I? Anaru is Anaru.\She's nice to everyone, and has lots of video games and manga. response:	That's what I mean.
context: Jinta, you big dummy!\Why didn't you ask her?\Just say,'Let's grant her wish together, Anaru!'\First of all, don't call her Anaru.\Pick either Anjou or Naruko and stick with it.\Why should I? Anaru is Anaru.\She's nice to everyone, and has lots of video games and manga.\That's what I mean. response:	She's not the Anaru she was back then anymore.
context: Why didn't you ask her?\Just say,'Let's grant her wish together, Anaru!'\First of all, don't call her Anaru.\Pick either Anjou or Naruko and stick with it.\Why should I? Anaru is Anaru.\She's nice to everyone, and has lots of video games and manga.\That's what I mean.\She's not the Anaru she was back then anymore. response:	That rotten bitch wouldn't help me even if I asked her.
context: Just say,'Let's grant her wish together, Anaru!'\First of all, don't call her Anaru.\Pick either Anjou or Naruko and stick with it.\Why should I? Anaru is Anaru.\She's nice to everyone, and has lots of video games and manga.\That's what I mean.\She's not the Anaru she was back then anymore.\That rotten bitch wouldn't help me even if I asked her. response:	'Rotten bitch?'
context: First of all, don't call her Anaru.\Pick either Anjou or Naruko and stick with it.\Why should I? Anaru is Anaru.\She's nice to everyone, and has lots of video games and manga.\That's what I mean.\She's not the Anaru she was back then anymore.\That rotten bitch wouldn't help me even if I asked her.\'Rotten bitch?' response:	It means,'stupid woman.'
context: Pick either Anjou or Naruko and stick with it.\Why should I? Anaru is Anaru.\She's nice to everyone, and has lots of video games and manga.\That's what I mean.\She's not the Anaru she was back then anymore.\That rotten bitch wouldn't help me even if I asked her.\'Rotten bitch?'\It means,'stupid woman.' response:	Anyway, she's not my friend anymore.
context: Why should I? Anaru is Anaru.\She's nice to everyone, and has lots of video games and manga.\That's what I mean.\She's not the Anaru she was back then anymore.\That rotten bitch wouldn't help me even if I asked her.\'Rotten bitch?'\It means,'stupid woman.'\Anyway, she's not my friend anymore. response:	I hate that!
context: She's nice to everyone, and has lots of video games and manga.\That's what I mean.\She's not the Anaru she was back then anymore.\That rotten bitch wouldn't help me even if I asked her.\'Rotten bitch?'\It means,'stupid woman.'\Anyway, she's not my friend anymore.\I hate that! response:	I hate it!
context: That's what I mean.\She's not the Anaru she was back then anymore.\That rotten bitch wouldn't help me even if I asked her.\'Rotten bitch?'\It means,'stupid woman.'\Anyway, she's not my friend anymore.\I hate that!\I hate it! response:	I don't like it when you say bad things about Anaru.
context: She's not the Anaru she was back then anymore.\That rotten bitch wouldn't help me even if I asked her.\'Rotten bitch?'\It means,'stupid woman.'\Anyway, she's not my friend anymore.\I hate that!\I hate it!\I don't like it when you say bad things about Anaru. response:	Menma.
context: That rotten bitch wouldn't help me even if I asked her.\'Rotten bitch?'\It means,'stupid woman.'\Anyway, she's not my friend anymore.\I hate that!\I hate it!\I don't like it when you say bad things about Anaru.\Menma. response:	Come on, let's go talk to her again! Let's ask her, Jintan!
context: 'Rotten bitch?'\It means,'stupid woman.'\Anyway, she's not my friend anymore.\I hate that!\I hate it!\I don't like it when you say bad things about Anaru.\Menma.\Come on, let's go talk to her again! Let's ask her, Jintan! response:	Jintan?
context: It means,'stupid woman.'\Anyway, she's not my friend anymore.\I hate that!\I hate it!\I don't like it when you say bad things about Anaru.\Menma.\Come on, let's go talk to her again! Let's ask her, Jintan!\Jintan? response:	Alright already.
context: Anyway, she's not my friend anymore.\I hate that!\I hate it!\I don't like it when you say bad things about Anaru.\Menma.\Come on, let's go talk to her again! Let's ask her, Jintan!\Jintan?\Alright already. response:	Now that you've seen Anjou you should understand what it means for your wish.
context: I hate that!\I hate it!\I don't like it when you say bad things about Anaru.\Menma.\Come on, let's go talk to her again! Let's ask her, Jintan!\Jintan?\Alright already.\Now that you've seen Anjou you should understand what it means for your wish. response:	And it's not just Anjou, everything has changed since back then.
context: I hate it!\I don't like it when you say bad things about Anaru.\Menma.\Come on, let's go talk to her again! Let's ask her, Jintan!\Jintan?\Alright already.\Now that you've seen Anjou you should understand what it means for your wish.\And it's not just Anjou, everything has changed since back then. response:	Are you ready yet?
context: I don't like it when you say bad things about Anaru.\Menma.\Come on, let's go talk to her again! Let's ask her, Jintan!\Jintan?\Alright already.\Now that you've seen Anjou you should understand what it means for your wish.\And it's not just Anjou, everything has changed since back then.\Are you ready yet? response:	Yeah, yeah, I'm coming.
context: Menma.\Come on, let's go talk to her again! Let's ask her, Jintan!\Jintan?\Alright already.\Now that you've seen Anjou you should understand what it means for your wish.\And it's not just Anjou, everything has changed since back then.\Are you ready yet?\Yeah, yeah, I'm coming. response:	You're wearing a hat and glasses?
context: Come on, let's go talk to her again! Let's ask her, Jintan!\Jintan?\Alright already.\Now that you've seen Anjou you should understand what it means for your wish.\And it's not just Anjou, everything has changed since back then.\Are you ready yet?\Yeah, yeah, I'm coming.\You're wearing a hat and glasses? response:	Don't worry about it.
context: Jintan?\Alright already.\Now that you've seen Anjou you should understand what it means for your wish.\And it's not just Anjou, everything has changed since back then.\Are you ready yet?\Yeah, yeah, I'm coming.\You're wearing a hat and glasses?\Don't worry about it. response:	Come on, let's go.
context: Alright already.\Now that you've seen Anjou you should understand what it means for your wish.\And it's not just Anjou, everything has changed since back then.\Are you ready yet?\Yeah, yeah, I'm coming.\You're wearing a hat and glasses?\Don't worry about it.\Come on, let's go. response:	Yeah.
context: Now that you've seen Anjou you should understand what it means for your wish.\And it's not just Anjou, everything has changed since back then.\Are you ready yet?\Yeah, yeah, I'm coming.\You're wearing a hat and glasses?\Don't worry about it.\Come on, let's go.\Yeah. response:	Oh?
context: And it's not just Anjou, everything has changed since back then.\Are you ready yet?\Yeah, yeah, I'm coming.\You're wearing a hat and glasses?\Don't worry about it.\Come on, let's go.\Yeah.\Oh? response:	Hello there. Going shopping?
context: Are you ready yet?\Yeah, yeah, I'm coming.\You're wearing a hat and glasses?\Don't worry about it.\Come on, let's go.\Yeah.\Oh?\Hello there. Going shopping? response:	Yes. Say, did you hear...
context: Yeah, yeah, I'm coming.\You're wearing a hat and glasses?\Don't worry about it.\Come on, let's go.\Yeah.\Oh?\Hello there. Going shopping?\Yes. Say, did you hear... response:	Jinta?
context: You're wearing a hat and glasses?\Don't worry about it.\Come on, let's go.\Yeah.\Oh?\Hello there. Going shopping?\Yes. Say, did you hear...\Jinta? response:	I know.
context: Don't worry about it.\Come on, let's go.\Yeah.\Oh?\Hello there. Going shopping?\Yes. Say, did you hear...\Jinta?\I know. response:	What's wrong?
context: Come on, let's go.\Yeah.\Oh?\Hello there. Going shopping?\Yes. Say, did you hear...\Jinta?\I know.\What's wrong? response:	Hello there.
context: Yeah.\Oh?\Hello there. Going shopping?\Yes. Say, did you hear...\Jinta?\I know.\What's wrong?\Hello there. response:	What a funny expression.
context: Oh?\Hello there. Going shopping?\Yes. Say, did you hear...\Jinta?\I know.\What's wrong?\Hello there.\What a funny expression. response:	Hey, you have a piece of green onion from the ramen stuck to your teeth!
context: Hello there. Going shopping?\Yes. Say, did you hear...\Jinta?\I know.\What's wrong?\Hello there.\What a funny expression.\Hey, you have a piece of green onion from the ramen stuck to your teeth! response:	Shut up!
context: Yes. Say, did you hear...\Jinta?\I know.\What's wrong?\Hello there.\What a funny expression.\Hey, you have a piece of green onion from the ramen stuck to your teeth!\Shut up! response:	Dammit.
context: Jinta?\I know.\What's wrong?\Hello there.\What a funny expression.\Hey, you have a piece of green onion from the ramen stuck to your teeth!\Shut up!\Dammit. response:	Wait up!
context: I know.\What's wrong?\Hello there.\What a funny expression.\Hey, you have a piece of green onion from the ramen stuck to your teeth!\Shut up!\Dammit.\Wait up! response:	Anaru's house isn't this way.
context: What's wrong?\Hello there.\What a funny expression.\Hey, you have a piece of green onion from the ramen stuck to your teeth!\Shut up!\Dammit.\Wait up!\Anaru's house isn't this way. response:	We're taking a walk since we're outside anyway.
context: Hello there.\What a funny expression.\Hey, you have a piece of green onion from the ramen stuck to your teeth!\Shut up!\Dammit.\Wait up!\Anaru's house isn't this way.\We're taking a walk since we're outside anyway. response:	This used to be Bomu-Bomu! Now it's a WcDonald's!
context: What a funny expression.\Hey, you have a piece of green onion from the ramen stuck to your teeth!\Shut up!\Dammit.\Wait up!\Anaru's house isn't this way.\We're taking a walk since we're outside anyway.\This used to be Bomu-Bomu! Now it's a WcDonald's! response:	Awesome! But I...
context: Hey, you have a piece of green onion from the ramen stuck to your teeth!\Shut up!\Dammit.\Wait up!\Anaru's house isn't this way.\We're taking a walk since we're outside anyway.\This used to be Bomu-Bomu! Now it's a WcDonald's!\Awesome! But I... response:	Did you see that one movie?
context: Shut up!\Dammit.\Wait up!\Anaru's house isn't this way.\We're taking a walk since we're outside anyway.\This used to be Bomu-Bomu! Now it's a WcDonald's!\Awesome! But I...\Did you see that one movie? response:	Those guys went to my middle school.
context: Dammit.\Wait up!\Anaru's house isn't this way.\We're taking a walk since we're outside anyway.\This used to be Bomu-Bomu! Now it's a WcDonald's!\Awesome! But I...\Did you see that one movie?\Those guys went to my middle school. response:	Which one?
context: Wait up!\Anaru's house isn't this way.\We're taking a walk since we're outside anyway.\This used to be Bomu-Bomu! Now it's a WcDonald's!\Awesome! But I...\Did you see that one movie?\Those guys went to my middle school.\Which one? response:	You know, the one with the girl that uses nun-chucks to fight aliens that show up at school.
context: Anaru's house isn't this way.\We're taking a walk since we're outside anyway.\This used to be Bomu-Bomu! Now it's a WcDonald's!\Awesome! But I...\Did you see that one movie?\Those guys went to my middle school.\Which one?\You know, the one with the girl that uses nun-chucks to fight aliens that show up at school. response:	What the hell?
context: We're taking a walk since we're outside anyway.\This used to be Bomu-Bomu! Now it's a WcDonald's!\Awesome! But I...\Did you see that one movie?\Those guys went to my middle school.\Which one?\You know, the one with the girl that uses nun-chucks to fight aliens that show up at school.\What the hell? response:	You haven't seen it?
context: This used to be Bomu-Bomu! Now it's a WcDonald's!\Awesome! But I...\Did you see that one movie?\Those guys went to my middle school.\Which one?\You know, the one with the girl that uses nun-chucks to fight aliens that show up at school.\What the hell?\You haven't seen it? response:	Were those your friends?
context: Awesome! But I...\Did you see that one movie?\Those guys went to my middle school.\Which one?\You know, the one with the girl that uses nun-chucks to fight aliens that show up at school.\What the hell?\You haven't seen it?\Were those your friends? response:	Nope.
context: Did you see that one movie?\Those guys went to my middle school.\Which one?\You know, the one with the girl that uses nun-chucks to fight aliens that show up at school.\What the hell?\You haven't seen it?\Were those your friends?\Nope. response:	That's the way it is.
context: Those guys went to my middle school.\Which one?\You know, the one with the girl that uses nun-chucks to fight aliens that show up at school.\What the hell?\You haven't seen it?\Were those your friends?\Nope.\That's the way it is. response:	Those grannies really got me worked up,
context: Which one?\You know, the one with the girl that uses nun-chucks to fight aliens that show up at school.\What the hell?\You haven't seen it?\Were those your friends?\Nope.\That's the way it is.\Those grannies really got me worked up, response:	but no one gives me a second thought.
context: You know, the one with the girl that uses nun-chucks to fight aliens that show up at school.\What the hell?\You haven't seen it?\Were those your friends?\Nope.\That's the way it is.\Those grannies really got me worked up,\but no one gives me a second thought. response:	Even Anaru said as much.
context: What the hell?\You haven't seen it?\Were those your friends?\Nope.\That's the way it is.\Those grannies really got me worked up,\but no one gives me a second thought.\Even Anaru said as much. response:	She doesn't give a damn about me.
context: You haven't seen it?\Were those your friends?\Nope.\That's the way it is.\Those grannies really got me worked up,\but no one gives me a second thought.\Even Anaru said as much.\She doesn't give a damn about me. response:	'Snap!' goes your neck!
context: Were those your friends?\Nope.\That's the way it is.\Those grannies really got me worked up,\but no one gives me a second thought.\Even Anaru said as much.\She doesn't give a damn about me.\'Snap!' goes your neck! response:	It smells like summer!
context: Nope.\That's the way it is.\Those grannies really got me worked up,\but no one gives me a second thought.\Even Anaru said as much.\She doesn't give a damn about me.\'Snap!' goes your neck!\It smells like summer! response:	You haven't changed.
context: That's the way it is.\Those grannies really got me worked up,\but no one gives me a second thought.\Even Anaru said as much.\She doesn't give a damn about me.\'Snap!' goes your neck!\It smells like summer!\You haven't changed. response:	Huh?
context: Those grannies really got me worked up,\but no one gives me a second thought.\Even Anaru said as much.\She doesn't give a damn about me.\'Snap!' goes your neck!\It smells like summer!\You haven't changed.\Huh? response:	Never mind.
context: but no one gives me a second thought.\Even Anaru said as much.\She doesn't give a damn about me.\'Snap!' goes your neck!\It smells like summer!\You haven't changed.\Huh?\Never mind. response:	It's not really a surprise.
context: Even Anaru said as much.\She doesn't give a damn about me.\'Snap!' goes your neck!\It smells like summer!\You haven't changed.\Huh?\Never mind.\It's not really a surprise. response:	She's just a hallucination, after all.
context: She doesn't give a damn about me.\'Snap!' goes your neck!\It smells like summer!\You haven't changed.\Huh?\Never mind.\It's not really a surprise.\She's just a hallucination, after all. response:	'Please grant my wish,' huh?
context: 'Snap!' goes your neck!\It smells like summer!\You haven't changed.\Huh?\Never mind.\It's not really a surprise.\She's just a hallucination, after all.\'Please grant my wish,' huh? response:	This must be, without a doubt, because of my relationship with her...
context: It smells like summer!\You haven't changed.\Huh?\Never mind.\It's not really a surprise.\She's just a hallucination, after all.\'Please grant my wish,' huh?\This must be, without a doubt, because of my relationship with her... response:	Jinta!
context: You haven't changed.\Huh?\Never mind.\It's not really a surprise.\She's just a hallucination, after all.\'Please grant my wish,' huh?\This must be, without a doubt, because of my relationship with her...\Jinta! response:	Look at me!
context: Huh?\Never mind.\It's not really a surprise.\She's just a hallucination, after all.\'Please grant my wish,' huh?\This must be, without a doubt, because of my relationship with her...\Jinta!\Look at me! response:	What are you doing? That's dangerous.
context: Never mind.\It's not really a surprise.\She's just a hallucination, after all.\'Please grant my wish,' huh?\This must be, without a doubt, because of my relationship with her...\Jinta!\Look at me!\What are you doing? That's dangerous. response:	Jinta.
context: It's not really a surprise.\She's just a hallucination, after all.\'Please grant my wish,' huh?\This must be, without a doubt, because of my relationship with her...\Jinta!\Look at me!\What are you doing? That's dangerous.\Jinta. response:	Jinta.
context: She's just a hallucination, after all.\'Please grant my wish,' huh?\This must be, without a doubt, because of my relationship with her...\Jinta!\Look at me!\What are you doing? That's dangerous.\Jinta.\Jinta. response:	Menma has...
context: 'Please grant my wish,' huh?\This must be, without a doubt, because of my relationship with her...\Jinta!\Look at me!\What are you doing? That's dangerous.\Jinta.\Jinta.\Menma has... response:	Ji...
context: This must be, without a doubt, because of my relationship with her...\Jinta!\Look at me!\What are you doing? That's dangerous.\Jinta.\Jinta.\Menma has...\Ji... response:	Jintan?
context: Jinta!\Look at me!\What are you doing? That's dangerous.\Jinta.\Jinta.\Menma has...\Ji...\Jintan? response:	Are you OK?
context: Look at me!\What are you doing? That's dangerous.\Jinta.\Jinta.\Menma has...\Ji...\Jintan?\Are you OK? response:	I'm fine.
context: What are you doing? That's dangerous.\Jinta.\Jinta.\Menma has...\Ji...\Jintan?\Are you OK?\I'm fine. response:	Ouch...
context: Jinta.\Jinta.\Menma has...\Ji...\Jintan?\Are you OK?\I'm fine.\Ouch... response:	Yadomi?
context: Jinta.\Menma has...\Ji...\Jintan?\Are you OK?\I'm fine.\Ouch...\Yadomi? response:	What are you doing?
context: Menma has...\Ji...\Jintan?\Are you OK?\I'm fine.\Ouch...\Yadomi?\What are you doing? response:	Hey, Naruko.
context: Ji...\Jintan?\Are you OK?\I'm fine.\Ouch...\Yadomi?\What are you doing?\Hey, Naruko. response:	Did you go to Jin's house?
context: Jintan?\Are you OK?\I'm fine.\Ouch...\Yadomi?\What are you doing?\Hey, Naruko.\Did you go to Jin's house? response:	Knock first!
context: Are you OK?\I'm fine.\Ouch...\Yadomi?\What are you doing?\Hey, Naruko.\Did you go to Jin's house?\Knock first! response:	I thought I did. Well anyway...
context: I'm fine.\Ouch...\Yadomi?\What are you doing?\Hey, Naruko.\Did you go to Jin's house?\Knock first!\I thought I did. Well anyway... response:	I only stopped by for a bit. And it's none of your business.
context: Ouch...\Yadomi?\What are you doing?\Hey, Naruko.\Did you go to Jin's house?\Knock first!\I thought I did. Well anyway...\I only stopped by for a bit. And it's none of your business. response:	Yes it is. I wanted you to take them some steamed buns.
context: Yadomi?\What are you doing?\Hey, Naruko.\Did you go to Jin's house?\Knock first!\I thought I did. Well anyway...\I only stopped by for a bit. And it's none of your business.\Yes it is. I wanted you to take them some steamed buns. response:	Just take them by yourself!
context: What are you doing?\Hey, Naruko.\Did you go to Jin's house?\Knock first!\I thought I did. Well anyway...\I only stopped by for a bit. And it's none of your business.\Yes it is. I wanted you to take them some steamed buns.\Just take them by yourself! response:	Oho, someones going through puberty.
context: Hey, Naruko.\Did you go to Jin's house?\Knock first!\I thought I did. Well anyway...\I only stopped by for a bit. And it's none of your business.\Yes it is. I wanted you to take them some steamed buns.\Just take them by yourself!\Oho, someones going through puberty. response:	I'm the one...
context: Did you go to Jin's house?\Knock first!\I thought I did. Well anyway...\I only stopped by for a bit. And it's none of your business.\Yes it is. I wanted you to take them some steamed buns.\Just take them by yourself!\Oho, someones going through puberty.\I'm the one... response:	Here.
context: Knock first!\I thought I did. Well anyway...\I only stopped by for a bit. And it's none of your business.\Yes it is. I wanted you to take them some steamed buns.\Just take them by yourself!\Oho, someones going through puberty.\I'm the one...\Here. response:	Thanks.
context: I thought I did. Well anyway...\I only stopped by for a bit. And it's none of your business.\Yes it is. I wanted you to take them some steamed buns.\Just take them by yourself!\Oho, someones going through puberty.\I'm the one...\Here.\Thanks. response:	We're on our way home from summer classes.
context: I only stopped by for a bit. And it's none of your business.\Yes it is. I wanted you to take them some steamed buns.\Just take them by yourself!\Oho, someones going through puberty.\I'm the one...\Here.\Thanks.\We're on our way home from summer classes. response:	Did you know? We're going to a college-prep high school.
context: Yes it is. I wanted you to take them some steamed buns.\Just take them by yourself!\Oho, someones going through puberty.\I'm the one...\Here.\Thanks.\We're on our way home from summer classes.\Did you know? We're going to a college-prep high school. response:	That's the high school uniform
context: Just take them by yourself!\Oho, someones going through puberty.\I'm the one...\Here.\Thanks.\We're on our way home from summer classes.\Did you know? We're going to a college-prep high school.\That's the high school uniform response:	that I was going to wear.
context: Oho, someones going through puberty.\I'm the one...\Here.\Thanks.\We're on our way home from summer classes.\Did you know? We're going to a college-prep high school.\That's the high school uniform\that I was going to wear. response:	I was going to.
context: I'm the one...\Here.\Thanks.\We're on our way home from summer classes.\Did you know? We're going to a college-prep high school.\That's the high school uniform\that I was going to wear.\I was going to. response:	Yadomi?
context: Here.\Thanks.\We're on our way home from summer classes.\Did you know? We're going to a college-prep high school.\That's the high school uniform\that I was going to wear.\I was going to.\Yadomi? response:	Are you alright?
context: Thanks.\We're on our way home from summer classes.\Did you know? We're going to a college-prep high school.\That's the high school uniform\that I was going to wear.\I was going to.\Yadomi?\Are you alright? response:	Huh? Yeah.
context: We're on our way home from summer classes.\Did you know? We're going to a college-prep high school.\That's the high school uniform\that I was going to wear.\I was going to.\Yadomi?\Are you alright?\Huh? Yeah. response:	Well then...
context: Did you know? We're going to a college-prep high school.\That's the high school uniform\that I was going to wear.\I was going to.\Yadomi?\Are you alright?\Huh? Yeah.\Well then... response:	Eh? Hey...
context: That's the high school uniform\that I was going to wear.\I was going to.\Yadomi?\Are you alright?\Huh? Yeah.\Well then...\Eh? Hey... response:	That's Yukiatsu and Tsuruko!
context: that I was going to wear.\I was going to.\Yadomi?\Are you alright?\Huh? Yeah.\Well then...\Eh? Hey...\That's Yukiatsu and Tsuruko! response:	Let's go.
context: I was going to.\Yadomi?\Are you alright?\Huh? Yeah.\Well then...\Eh? Hey...\That's Yukiatsu and Tsuruko!\Let's go. response:	Oh, I mean, Menma is...
context: Yadomi?\Are you alright?\Huh? Yeah.\Well then...\Eh? Hey...\That's Yukiatsu and Tsuruko!\Let's go.\Oh, I mean, Menma is... response:	That's not it, I mean...
context: Are you alright?\Huh? Yeah.\Well then...\Eh? Hey...\That's Yukiatsu and Tsuruko!\Let's go.\Oh, I mean, Menma is...\That's not it, I mean... response:	What about Menma?
context: Huh? Yeah.\Well then...\Eh? Hey...\That's Yukiatsu and Tsuruko!\Let's go.\Oh, I mean, Menma is...\That's not it, I mean...\What about Menma? response:	You see...
context: Well then...\Eh? Hey...\That's Yukiatsu and Tsuruko!\Let's go.\Oh, I mean, Menma is...\That's not it, I mean...\What about Menma?\You see... response:	Are you still talking about that?
context: Eh? Hey...\That's Yukiatsu and Tsuruko!\Let's go.\Oh, I mean, Menma is...\That's not it, I mean...\What about Menma?\You see...\Are you still talking about that? response:	Yukiatsu?
context: That's Yukiatsu and Tsuruko!\Let's go.\Oh, I mean, Menma is...\That's not it, I mean...\What about Menma?\You see...\Are you still talking about that?\Yukiatsu? response:	I've heard about you.
context: Let's go.\Oh, I mean, Menma is...\That's not it, I mean...\What about Menma?\You see...\Are you still talking about that?\Yukiatsu?\I've heard about you. response:	Yukiatsu.
context: Oh, I mean, Menma is...\That's not it, I mean...\What about Menma?\You see...\Are you still talking about that?\Yukiatsu?\I've heard about you.\Yukiatsu. response:	Apparently you're not going to school.
context: That's not it, I mean...\What about Menma?\You see...\Are you still talking about that?\Yukiatsu?\I've heard about you.\Yukiatsu.\Apparently you're not going to school. response:	You failed the entrance exams and ended up going to a low-tier school around here.
context: What about Menma?\You see...\Are you still talking about that?\Yukiatsu?\I've heard about you.\Yukiatsu.\Apparently you're not going to school.\You failed the entrance exams and ended up going to a low-tier school around here. response:	You're not going to school, and you're blurting out Meiko Honma's name.
context: You see...\Are you still talking about that?\Yukiatsu?\I've heard about you.\Yukiatsu.\Apparently you're not going to school.\You failed the entrance exams and ended up going to a low-tier school around here.\You're not going to school, and you're blurting out Meiko Honma's name. response:	Is there something wrong with your head?
context: Are you still talking about that?\Yukiatsu?\I've heard about you.\Yukiatsu.\Apparently you're not going to school.\You failed the entrance exams and ended up going to a low-tier school around here.\You're not going to school, and you're blurting out Meiko Honma's name.\Is there something wrong with your head? response:	Jintan!
context: Yukiatsu?\I've heard about you.\Yukiatsu.\Apparently you're not going to school.\You failed the entrance exams and ended up going to a low-tier school around here.\You're not going to school, and you're blurting out Meiko Honma's name.\Is there something wrong with your head?\Jintan! response:	Yukiatsu, you idiot!
context: I've heard about you.\Yukiatsu.\Apparently you're not going to school.\You failed the entrance exams and ended up going to a low-tier school around here.\You're not going to school, and you're blurting out Meiko Honma's name.\Is there something wrong with your head?\Jintan!\Yukiatsu, you idiot! response:	What are you getting so worked up over?
context: Yukiatsu.\Apparently you're not going to school.\You failed the entrance exams and ended up going to a low-tier school around here.\You're not going to school, and you're blurting out Meiko Honma's name.\Is there something wrong with your head?\Jintan!\Yukiatsu, you idiot!\What are you getting so worked up over? response:	Even you change when you talk about Meiko Honma.
context: Apparently you're not going to school.\You failed the entrance exams and ended up going to a low-tier school around here.\You're not going to school, and you're blurting out Meiko Honma's name.\Is there something wrong with your head?\Jintan!\Yukiatsu, you idiot!\What are you getting so worked up over?\Even you change when you talk about Meiko Honma. response:	Isn't that right, Yukiatsu?
context: You failed the entrance exams and ended up going to a low-tier school around here.\You're not going to school, and you're blurting out Meiko Honma's name.\Is there something wrong with your head?\Jintan!\Yukiatsu, you idiot!\What are you getting so worked up over?\Even you change when you talk about Meiko Honma.\Isn't that right, Yukiatsu? response:	Whatever.
context: You're not going to school, and you're blurting out Meiko Honma's name.\Is there something wrong with your head?\Jintan!\Yukiatsu, you idiot!\What are you getting so worked up over?\Even you change when you talk about Meiko Honma.\Isn't that right, Yukiatsu?\Whatever. response:	You're such a pathetic guy.
context: Is there something wrong with your head?\Jintan!\Yukiatsu, you idiot!\What are you getting so worked up over?\Even you change when you talk about Meiko Honma.\Isn't that right, Yukiatsu?\Whatever.\You're such a pathetic guy. response:	But you do have your looks going for you.
context: Jintan!\Yukiatsu, you idiot!\What are you getting so worked up over?\Even you change when you talk about Meiko Honma.\Isn't that right, Yukiatsu?\Whatever.\You're such a pathetic guy.\But you do have your looks going for you. response:	I also have my brains.
context: Yukiatsu, you idiot!\What are you getting so worked up over?\Even you change when you talk about Meiko Honma.\Isn't that right, Yukiatsu?\Whatever.\You're such a pathetic guy.\But you do have your looks going for you.\I also have my brains. response:	Sure you do.
context: What are you getting so worked up over?\Even you change when you talk about Meiko Honma.\Isn't that right, Yukiatsu?\Whatever.\You're such a pathetic guy.\But you do have your looks going for you.\I also have my brains.\Sure you do. response:	Jintan.
context: Even you change when you talk about Meiko Honma.\Isn't that right, Yukiatsu?\Whatever.\You're such a pathetic guy.\But you do have your looks going for you.\I also have my brains.\Sure you do.\Jintan. response:	Wait.
context: Isn't that right, Yukiatsu?\Whatever.\You're such a pathetic guy.\But you do have your looks going for you.\I also have my brains.\Sure you do.\Jintan.\Wait. response:	Wait.
context: Whatever.\You're such a pathetic guy.\But you do have your looks going for you.\I also have my brains.\Sure you do.\Jintan.\Wait.\Wait. response:	Do you get it now?
context: You're such a pathetic guy.\But you do have your looks going for you.\I also have my brains.\Sure you do.\Jintan.\Wait.\Wait.\Do you get it now? response:	Everyone has changed.
context: But you do have your looks going for you.\I also have my brains.\Sure you do.\Jintan.\Wait.\Wait.\Do you get it now?\Everyone has changed. response:	That's not it. The one who's changed the most is me.
context: I also have my brains.\Sure you do.\Jintan.\Wait.\Wait.\Do you get it now?\Everyone has changed.\That's not it. The one who's changed the most is me. response:	Jintan.
context: Sure you do.\Jintan.\Wait.\Wait.\Do you get it now?\Everyone has changed.\That's not it. The one who's changed the most is me.\Jintan. response:	Hey.
context: Jintan.\Wait.\Wait.\Do you get it now?\Everyone has changed.\That's not it. The one who's changed the most is me.\Jintan.\Hey. response:	Hey, my stress. Give me a break already.
context: Wait.\Wait.\Do you get it now?\Everyone has changed.\That's not it. The one who's changed the most is me.\Jintan.\Hey.\Hey, my stress. Give me a break already. response:	When I'm with you, I remember...
context: Wait.\Do you get it now?\Everyone has changed.\That's not it. The one who's changed the most is me.\Jintan.\Hey.\Hey, my stress. Give me a break already.\When I'm with you, I remember... response:	I remember things I don't want to.
context: Do you get it now?\Everyone has changed.\That's not it. The one who's changed the most is me.\Jintan.\Hey.\Hey, my stress. Give me a break already.\When I'm with you, I remember...\I remember things I don't want to. response:	And I get pissed off.
context: Everyone has changed.\That's not it. The one who's changed the most is me.\Jintan.\Hey.\Hey, my stress. Give me a break already.\When I'm with you, I remember...\I remember things I don't want to.\And I get pissed off. response:	Jintan.
context: That's not it. The one who's changed the most is me.\Jintan.\Hey.\Hey, my stress. Give me a break already.\When I'm with you, I remember...\I remember things I don't want to.\And I get pissed off.\Jintan. response:	Back then.
