context: Blooming wildflower response:	I beg you, please tell me
context: Should I really just accept this?\I felt... a little relieved, because I wasn't in danger anymore.\That's how pathetic I am.\When you get right down to it, she was way out of my league.\Take this.\I wanted to take it.\I wanted to get close to her, and touch her hand!\Forget about it, Shu. Rest a while, and you'll be fine. response:	After that, just go back to your normal self.
context: I felt... a little relieved, because I wasn't in danger anymore.\That's how pathetic I am.\When you get right down to it, she was way out of my league.\Take this.\I wanted to take it.\I wanted to get close to her, and touch her hand!\Forget about it, Shu. Rest a while, and you'll be fine.\After that, just go back to your normal self. response:	We have to get this to Gai.
context: That's how pathetic I am.\When you get right down to it, she was way out of my league.\Take this.\I wanted to take it.\I wanted to get close to her, and touch her hand!\Forget about it, Shu. Rest a while, and you'll be fine.\After that, just go back to your normal self.\We have to get this to Gai. response:	Seriously? You're telling me to go there?
context: When you get right down to it, she was way out of my league.\Take this.\I wanted to take it.\I wanted to get close to her, and touch her hand!\Forget about it, Shu. Rest a while, and you'll be fine.\After that, just go back to your normal self.\We have to get this to Gai.\Seriously? You're telling me to go there? response:	This might be my last chance to not hate myself.
context: Take this.\I wanted to take it.\I wanted to get close to her, and touch her hand!\Forget about it, Shu. Rest a while, and you'll be fine.\After that, just go back to your normal self.\We have to get this to Gai.\Seriously? You're telling me to go there?\This might be my last chance to not hate myself. response:	It had to be here, of all places...
context: I wanted to take it.\I wanted to get close to her, and touch her hand!\Forget about it, Shu. Rest a while, and you'll be fine.\After that, just go back to your normal self.\We have to get this to Gai.\Seriously? You're telling me to go there?\This might be my last chance to not hate myself.\It had to be here, of all places... response:	I'm told you've dispatched a squadron to Roppongi.
context: I wanted to get close to her, and touch her hand!\Forget about it, Shu. Rest a while, and you'll be fine.\After that, just go back to your normal self.\We have to get this to Gai.\Seriously? You're telling me to go there?\This might be my last chance to not hate myself.\It had to be here, of all places...\I'm told you've dispatched a squadron to Roppongi. response:	I believed it was necessary.
context: Forget about it, Shu. Rest a while, and you'll be fine.\After that, just go back to your normal self.\We have to get this to Gai.\Seriously? You're telling me to go there?\This might be my last chance to not hate myself.\It had to be here, of all places...\I'm told you've dispatched a squadron to Roppongi.\I believed it was necessary. response:	That'll provoke unnecessary hostility.
context: After that, just go back to your normal self.\We have to get this to Gai.\Seriously? You're telling me to go there?\This might be my last chance to not hate myself.\It had to be here, of all places...\I'm told you've dispatched a squadron to Roppongi.\I believed it was necessary.\That'll provoke unnecessary hostility. response:	I can't allow it if it's not for an aid mission.
context: We have to get this to Gai.\Seriously? You're telling me to go there?\This might be my last chance to not hate myself.\It had to be here, of all places...\I'm told you've dispatched a squadron to Roppongi.\I believed it was necessary.\That'll provoke unnecessary hostility.\I can't allow it if it's not for an aid mission. response:	I understand that.
context: Seriously? You're telling me to go there?\This might be my last chance to not hate myself.\It had to be here, of all places...\I'm told you've dispatched a squadron to Roppongi.\I believed it was necessary.\That'll provoke unnecessary hostility.\I can't allow it if it's not for an aid mission.\I understand that. response:	So, just how dangerous is this stolen Void Genome?
context: This might be my last chance to not hate myself.\It had to be here, of all places...\I'm told you've dispatched a squadron to Roppongi.\I believed it was necessary.\That'll provoke unnecessary hostility.\I can't allow it if it's not for an aid mission.\I understand that.\So, just how dangerous is this stolen Void Genome? response:	That's
context: It had to be here, of all places...\I'm told you've dispatched a squadron to Roppongi.\I believed it was necessary.\That'll provoke unnecessary hostility.\I can't allow it if it's not for an aid mission.\I understand that.\So, just how dangerous is this stolen Void Genome?\That's response:	Level 3A classified information.
context: I'm told you've dispatched a squadron to Roppongi.\I believed it was necessary.\That'll provoke unnecessary hostility.\I can't allow it if it's not for an aid mission.\I understand that.\So, just how dangerous is this stolen Void Genome?\That's\Level 3A classified information. response:	And so you can't even tell me, GHQ's Supreme Commander?
context: I believed it was necessary.\That'll provoke unnecessary hostility.\I can't allow it if it's not for an aid mission.\I understand that.\So, just how dangerous is this stolen Void Genome?\That's\Level 3A classified information.\And so you can't even tell me, GHQ's Supreme Commander? response:	I'm afraid so, sir.
context: That'll provoke unnecessary hostility.\I can't allow it if it's not for an aid mission.\I understand that.\So, just how dangerous is this stolen Void Genome?\That's\Level 3A classified information.\And so you can't even tell me, GHQ's Supreme Commander?\I'm afraid so, sir. response:	But please, don't worry.
context: I can't allow it if it's not for an aid mission.\I understand that.\So, just how dangerous is this stolen Void Genome?\That's\Level 3A classified information.\And so you can't even tell me, GHQ's Supreme Commander?\I'm afraid so, sir.\But please, don't worry. response:	My Anti Bodies have already apprehended the culprit,
context: I understand that.\So, just how dangerous is this stolen Void Genome?\That's\Level 3A classified information.\And so you can't even tell me, GHQ's Supreme Commander?\I'm afraid so, sir.\But please, don't worry.\My Anti Bodies have already apprehended the culprit, response:	and are searching for the stolen genome as we speak.
context: So, just how dangerous is this stolen Void Genome?\That's\Level 3A classified information.\And so you can't even tell me, GHQ's Supreme Commander?\I'm afraid so, sir.\But please, don't worry.\My Anti Bodies have already apprehended the culprit,\and are searching for the stolen genome as we speak. response:	Still don't want to talk?
context: That's\Level 3A classified information.\And so you can't even tell me, GHQ's Supreme Commander?\I'm afraid so, sir.\But please, don't worry.\My Anti Bodies have already apprehended the culprit,\and are searching for the stolen genome as we speak.\Still don't want to talk? response:	We've been granted the authority to dispose of the diseased without warning.
context: Level 3A classified information.\And so you can't even tell me, GHQ's Supreme Commander?\I'm afraid so, sir.\But please, don't worry.\My Anti Bodies have already apprehended the culprit,\and are searching for the stolen genome as we speak.\Still don't want to talk?\We've been granted the authority to dispose of the diseased without warning. response:	If you don't tell us where you hid it,
context: And so you can't even tell me, GHQ's Supreme Commander?\I'm afraid so, sir.\But please, don't worry.\My Anti Bodies have already apprehended the culprit,\and are searching for the stolen genome as we speak.\Still don't want to talk?\We've been granted the authority to dispose of the diseased without warning.\If you don't tell us where you hid it, response:	I'll just have to purge every single resident of this neighborhood.
context: I'm afraid so, sir.\But please, don't worry.\My Anti Bodies have already apprehended the culprit,\and are searching for the stolen genome as we speak.\Still don't want to talk?\We've been granted the authority to dispose of the diseased without warning.\If you don't tell us where you hid it,\I'll just have to purge every single resident of this neighborhood. response:	You'll regret this later.
context: But please, don't worry.\My Anti Bodies have already apprehended the culprit,\and are searching for the stolen genome as we speak.\Still don't want to talk?\We've been granted the authority to dispose of the diseased without warning.\If you don't tell us where you hid it,\I'll just have to purge every single resident of this neighborhood.\You'll regret this later. response:	Attention all units.
context: My Anti Bodies have already apprehended the culprit,\and are searching for the stolen genome as we speak.\Still don't want to talk?\We've been granted the authority to dispose of the diseased without warning.\If you don't tell us where you hid it,\I'll just have to purge every single resident of this neighborhood.\You'll regret this later.\Attention all units. response:	All residents in our operating area are designated as Stage IV+ infected.
context: and are searching for the stolen genome as we speak.\Still don't want to talk?\We've been granted the authority to dispose of the diseased without warning.\If you don't tell us where you hid it,\I'll just have to purge every single resident of this neighborhood.\You'll regret this later.\Attention all units.\All residents in our operating area are designated as Stage IV+ infected. response:	I hereby authorize infection control measures!
context: Still don't want to talk?\We've been granted the authority to dispose of the diseased without warning.\If you don't tell us where you hid it,\I'll just have to purge every single resident of this neighborhood.\You'll regret this later.\Attention all units.\All residents in our operating area are designated as Stage IV+ infected.\I hereby authorize infection control measures! response:	What shall we do with the girl?
context: We've been granted the authority to dispose of the diseased without warning.\If you don't tell us where you hid it,\I'll just have to purge every single resident of this neighborhood.\You'll regret this later.\Attention all units.\All residents in our operating area are designated as Stage IV+ infected.\I hereby authorize infection control measures!\What shall we do with the girl? response:	After we commence hostilities, get rid of her outside.
context: If you don't tell us where you hid it,\I'll just have to purge every single resident of this neighborhood.\You'll regret this later.\Attention all units.\All residents in our operating area are designated as Stage IV+ infected.\I hereby authorize infection control measures!\What shall we do with the girl?\After we commence hostilities, get rid of her outside. response:	Is this it?
context: I'll just have to purge every single resident of this neighborhood.\You'll regret this later.\Attention all units.\All residents in our operating area are designated as Stage IV+ infected.\I hereby authorize infection control measures!\What shall we do with the girl?\After we commence hostilities, get rid of her outside.\Is this it? response:	Hey, you!
context: You'll regret this later.\Attention all units.\All residents in our operating area are designated as Stage IV+ infected.\I hereby authorize infection control measures!\What shall we do with the girl?\After we commence hostilities, get rid of her outside.\Is this it?\Hey, you! response:	Y-Yes?
context: Attention all units.\All residents in our operating area are designated as Stage IV+ infected.\I hereby authorize infection control measures!\What shall we do with the girl?\After we commence hostilities, get rid of her outside.\Is this it?\Hey, you!\Y-Yes? response:	That thing cook?
context: All residents in our operating area are designated as Stage IV+ infected.\I hereby authorize infection control measures!\What shall we do with the girl?\After we commence hostilities, get rid of her outside.\Is this it?\Hey, you!\Y-Yes?\That thing cook? response:	Excuse me?
context: I hereby authorize infection control measures!\What shall we do with the girl?\After we commence hostilities, get rid of her outside.\Is this it?\Hey, you!\Y-Yes?\That thing cook?\Excuse me? response:	That thing cook rice?
context: What shall we do with the girl?\After we commence hostilities, get rid of her outside.\Is this it?\Hey, you!\Y-Yes?\That thing cook?\Excuse me?\That thing cook rice? response:	Well, no, I don't think it does...
context: After we commence hostilities, get rid of her outside.\Is this it?\Hey, you!\Y-Yes?\That thing cook?\Excuse me?\That thing cook rice?\Well, no, I don't think it does... response:	Leave it.
context: Is this it?\Hey, you!\Y-Yes?\That thing cook?\Excuse me?\That thing cook rice?\Well, no, I don't think it does...\Leave it. response:	N-No, I can't do that!
context: Hey, you!\Y-Yes?\That thing cook?\Excuse me?\That thing cook rice?\Well, no, I don't think it does...\Leave it.\N-No, I can't do that! response:	You messin' with me? Just hand it over.
context: Y-Yes?\That thing cook?\Excuse me?\That thing cook rice?\Well, no, I don't think it does...\Leave it.\N-No, I can't do that!\You messin' with me? Just hand it over. response:	I'm very sorry, but it doesn't belong to me!
context: That thing cook?\Excuse me?\That thing cook rice?\Well, no, I don't think it does...\Leave it.\N-No, I can't do that!\You messin' with me? Just hand it over.\I'm very sorry, but it doesn't belong to me! response:	She worked so hard to protect this...
context: Excuse me?\That thing cook rice?\Well, no, I don't think it does...\Leave it.\N-No, I can't do that!\You messin' with me? Just hand it over.\I'm very sorry, but it doesn't belong to me!\She worked so hard to protect this... response:	So... I'm sorry!
context: That thing cook rice?\Well, no, I don't think it does...\Leave it.\N-No, I can't do that!\You messin' with me? Just hand it over.\I'm very sorry, but it doesn't belong to me!\She worked so hard to protect this...\So... I'm sorry! response:	Greetings, my deceased fellows.
context: Well, no, I don't think it does...\Leave it.\N-No, I can't do that!\You messin' with me? Just hand it over.\I'm very sorry, but it doesn't belong to me!\She worked so hard to protect this...\So... I'm sorry!\Greetings, my deceased fellows. response:	Deceased?!
context: Leave it.\N-No, I can't do that!\You messin' with me? Just hand it over.\I'm very sorry, but it doesn't belong to me!\She worked so hard to protect this...\So... I'm sorry!\Greetings, my deceased fellows.\Deceased?! response:	Yes. The current situation doesn't allow for your survival.
context: N-No, I can't do that!\You messin' with me? Just hand it over.\I'm very sorry, but it doesn't belong to me!\She worked so hard to protect this...\So... I'm sorry!\Greetings, my deceased fellows.\Deceased?!\Yes. The current situation doesn't allow for your survival. response:	Therefore, you are all dead.
context: You messin' with me? Just hand it over.\I'm very sorry, but it doesn't belong to me!\She worked so hard to protect this...\So... I'm sorry!\Greetings, my deceased fellows.\Deceased?!\Yes. The current situation doesn't allow for your survival.\Therefore, you are all dead. response:	Don't tell me he's...
context: I'm very sorry, but it doesn't belong to me!\She worked so hard to protect this...\So... I'm sorry!\Greetings, my deceased fellows.\Deceased?!\Yes. The current situation doesn't allow for your survival.\Therefore, you are all dead.\Don't tell me he's... response:	You got some balls, kid.
context: She worked so hard to protect this...\So... I'm sorry!\Greetings, my deceased fellows.\Deceased?!\Yes. The current situation doesn't allow for your survival.\Therefore, you are all dead.\Don't tell me he's...\You got some balls, kid. response:	Shit, who is this guy?!
context: So... I'm sorry!\Greetings, my deceased fellows.\Deceased?!\Yes. The current situation doesn't allow for your survival.\Therefore, you are all dead.\Don't tell me he's...\You got some balls, kid.\Shit, who is this guy?! response:	Wait, what?
context: Greetings, my deceased fellows.\Deceased?!\Yes. The current situation doesn't allow for your survival.\Therefore, you are all dead.\Don't tell me he's...\You got some balls, kid.\Shit, who is this guy?!\Wait, what? response:	That's Funell, right? Give it back!
context: Deceased?!\Yes. The current situation doesn't allow for your survival.\Therefore, you are all dead.\Don't tell me he's...\You got some balls, kid.\Shit, who is this guy?!\Wait, what?\That's Funell, right? Give it back! response:	You're Ouma Shu?
context: Yes. The current situation doesn't allow for your survival.\Therefore, you are all dead.\Don't tell me he's...\You got some balls, kid.\Shit, who is this guy?!\Wait, what?\That's Funell, right? Give it back!\You're Ouma Shu? response:	What about the girl who was with that?
context: Therefore, you are all dead.\Don't tell me he's...\You got some balls, kid.\Shit, who is this guy?!\Wait, what?\That's Funell, right? Give it back!\You're Ouma Shu?\What about the girl who was with that? response:	Well... I...
context: Don't tell me he's...\You got some balls, kid.\Shit, who is this guy?!\Wait, what?\That's Funell, right? Give it back!\You're Ouma Shu?\What about the girl who was with that?\Well... I... response:	You just abandoned her?
context: You got some balls, kid.\Shit, who is this guy?!\Wait, what?\That's Funell, right? Give it back!\You're Ouma Shu?\What about the girl who was with that?\Well... I...\You just abandoned her? response:	Gai! The GHQ whitecoats are invading!
context: Shit, who is this guy?!\Wait, what?\That's Funell, right? Give it back!\You're Ouma Shu?\What about the girl who was with that?\Well... I...\You just abandoned her?\Gai! The GHQ whitecoats are invading! response:	Damn those bastards! They're firing live rounds at anybody they see!
context: Wait, what?\That's Funell, right? Give it back!\You're Ouma Shu?\What about the girl who was with that?\Well... I...\You just abandoned her?\Gai! The GHQ whitecoats are invading!\Damn those bastards! They're firing live rounds at anybody they see! response:	Tsugumi, what's the word on Ayase and the others?
context: That's Funell, right? Give it back!\You're Ouma Shu?\What about the girl who was with that?\Well... I...\You just abandoned her?\Gai! The GHQ whitecoats are invading!\Damn those bastards! They're firing live rounds at anybody they see!\Tsugumi, what's the word on Ayase and the others? response:	They're...
context: You're Ouma Shu?\What about the girl who was with that?\Well... I...\You just abandoned her?\Gai! The GHQ whitecoats are invading!\Damn those bastards! They're firing live rounds at anybody they see!\Tsugumi, what's the word on Ayase and the others?\They're... response:	Enemy incoming on our left!
context: What about the girl who was with that?\Well... I...\You just abandoned her?\Gai! The GHQ whitecoats are invading!\Damn those bastards! They're firing live rounds at anybody they see!\Tsugumi, what's the word on Ayase and the others?\They're...\Enemy incoming on our left! response:	Beat it, you're in my way!
context: Well... I...\You just abandoned her?\Gai! The GHQ whitecoats are invading!\Damn those bastards! They're firing live rounds at anybody they see!\Tsugumi, what's the word on Ayase and the others?\They're...\Enemy incoming on our left!\Beat it, you're in my way! response:	Go, Shu!
context: You just abandoned her?\Gai! The GHQ whitecoats are invading!\Damn those bastards! They're firing live rounds at anybody they see!\Tsugumi, what's the word on Ayase and the others?\They're...\Enemy incoming on our left!\Beat it, you're in my way!\Go, Shu! response:	Don't you dare let go of that thing! Protect it this time!
context: Gai! The GHQ whitecoats are invading!\Damn those bastards! They're firing live rounds at anybody they see!\Tsugumi, what's the word on Ayase and the others?\They're...\Enemy incoming on our left!\Beat it, you're in my way!\Go, Shu!\Don't you dare let go of that thing! Protect it this time! response:	But... what can I do, exactly?
context: Damn those bastards! They're firing live rounds at anybody they see!\Tsugumi, what's the word on Ayase and the others?\They're...\Enemy incoming on our left!\Beat it, you're in my way!\Go, Shu!\Don't you dare let go of that thing! Protect it this time!\But... what can I do, exactly? response:	How many are we up against?
context: Tsugumi, what's the word on Ayase and the others?\They're...\Enemy incoming on our left!\Beat it, you're in my way!\Go, Shu!\Don't you dare let go of that thing! Protect it this time!\But... what can I do, exactly?\How many are we up against? response:	Not sure yet! More keep coming!
context: They're...\Enemy incoming on our left!\Beat it, you're in my way!\Go, Shu!\Don't you dare let go of that thing! Protect it this time!\But... what can I do, exactly?\How many are we up against?\Not sure yet! More keep coming! response:	Keep it together!
context: Enemy incoming on our left!\Beat it, you're in my way!\Go, Shu!\Don't you dare let go of that thing! Protect it this time!\But... what can I do, exactly?\How many are we up against?\Not sure yet! More keep coming!\Keep it together! response:	What do you think you're doing?!
context: Beat it, you're in my way!\Go, Shu!\Don't you dare let go of that thing! Protect it this time!\But... what can I do, exactly?\How many are we up against?\Not sure yet! More keep coming!\Keep it together!\What do you think you're doing?! response:	Inori!
context: Go, Shu!\Don't you dare let go of that thing! Protect it this time!\But... what can I do, exactly?\How many are we up against?\Not sure yet! More keep coming!\Keep it together!\What do you think you're doing?!\Inori! response:	Do something that's not like you for once, Shu!
context: Don't you dare let go of that thing! Protect it this time!\But... what can I do, exactly?\How many are we up against?\Not sure yet! More keep coming!\Keep it together!\What do you think you're doing?!\Inori!\Do something that's not like you for once, Shu! response:	What...
context: But... what can I do, exactly?\How many are we up against?\Not sure yet! More keep coming!\Keep it together!\What do you think you're doing?!\Inori!\Do something that's not like you for once, Shu!\What... response:	What is this?
context: How many are we up against?\Not sure yet! More keep coming!\Keep it together!\What do you think you're doing?!\Inori!\Do something that's not like you for once, Shu!\What...\What is this? response:	Shu, please...
context: Not sure yet! More keep coming!\Keep it together!\What do you think you're doing?!\Inori!\Do something that's not like you for once, Shu!\What...\What is this?\Shu, please... response:	Take it this time, Shu.
context: Keep it together!\What do you think you're doing?!\Inori!\Do something that's not like you for once, Shu!\What...\What is this?\Shu, please...\Take it this time, Shu. response:	Who...
context: What do you think you're doing?!\Inori!\Do something that's not like you for once, Shu!\What...\What is this?\Shu, please...\Take it this time, Shu.\Who... response:	This is power.
context: Inori!\Do something that's not like you for once, Shu!\What...\What is this?\Shu, please...\Take it this time, Shu.\Who...\This is power. response:	The guilty crown given shape through the bond between hearts.
context: Do something that's not like you for once, Shu!\What...\What is this?\Shu, please...\Take it this time, Shu.\Who...\This is power.\The guilty crown given shape through the bond between hearts. response:	What... is this?
context: What...\What is this?\Shu, please...\Take it this time, Shu.\Who...\This is power.\The guilty crown given shape through the bond between hearts.\What... is this? response:	These days you love me no more
context: What is this?\Shu, please...\Take it this time, Shu.\Who...\This is power.\The guilty crown given shape through the bond between hearts.\What... is this?\These days you love me no more response:	nor am I still treasured by you
context: Shu, please...\Take it this time, Shu.\Who...\This is power.\The guilty crown given shape through the bond between hearts.\What... is this?\These days you love me no more\nor am I still treasured by you response:	Now I am all alone
context: Take it this time, Shu.\Who...\This is power.\The guilty crown given shape through the bond between hearts.\What... is this?\These days you love me no more\nor am I still treasured by you\Now I am all alone response:	What did you tell me when we parted?
context: Who...\This is power.\The guilty crown given shape through the bond between hearts.\What... is this?\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted? response:	The words hung in midair and never reached me
context: This is power.\The guilty crown given shape through the bond between hearts.\What... is this?\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: The guilty crown given shape through the bond between hearts.\What... is this?\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: What... is this?\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
context: What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender response:	These days you love me no more
context: The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more response:	nor am I still treasured by you
context: I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you response:	Now I am all alone
context: and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone response:	What did you tell me when we parted?
context: You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted? response:	The words hung in midair and never reached me
context: and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
