context: So, you are the Black King and his subjects. response:	You said you would destroy the humans. You boasted so boldly.
context: Bring them out!\Well... actually... they are not here at this moment.\Huh?\What do you mean by that?! Where are they?!\You must confess. Or else, I will eat you alive!\I'm sorry. I'm sowwy.\Th-They told me they were going to\free the Dwarves and took the Elven men with them... response:	firearms, machine guns, and the like.
context: Well... actually... they are not here at this moment.\Huh?\What do you mean by that?! Where are they?!\You must confess. Or else, I will eat you alive!\I'm sorry. I'm sowwy.\Th-They told me they were going to\free the Dwarves and took the Elven men with them...\firearms, machine guns, and the like. response:	Wh...?!
context: Huh?\What do you mean by that?! Where are they?!\You must confess. Or else, I will eat you alive!\I'm sorry. I'm sowwy.\Th-They told me they were going to\free the Dwarves and took the Elven men with them...\firearms, machine guns, and the like.\Wh...?! response:	Di... Di... Did you say they were going to have the Dwarves make firearms?!
context: What do you mean by that?! Where are they?!\You must confess. Or else, I will eat you alive!\I'm sorry. I'm sowwy.\Th-They told me they were going to\free the Dwarves and took the Elven men with them...\firearms, machine guns, and the like.\Wh...?!\Di... Di... Did you say they were going to have the Dwarves make firearms?! response:	Wh... Wh... What... What about black powder?!
context: You must confess. Or else, I will eat you alive!\I'm sorry. I'm sowwy.\Th-They told me they were going to\free the Dwarves and took the Elven men with them...\firearms, machine guns, and the like.\Wh...?!\Di... Di... Did you say they were going to have the Dwarves make firearms?!\Wh... Wh... What... What about black powder?! response:	They already have black powder.
context: I'm sorry. I'm sowwy.\Th-They told me they were going to\free the Dwarves and took the Elven men with them...\firearms, machine guns, and the like.\Wh...?!\Di... Di... Did you say they were going to have the Dwarves make firearms?!\Wh... Wh... What... What about black powder?!\They already have black powder. response:	They are continuously making a large quantity.
context: Th-They told me they were going to\free the Dwarves and took the Elven men with them...\firearms, machine guns, and the like.\Wh...?!\Di... Di... Did you say they were going to have the Dwarves make firearms?!\Wh... Wh... What... What about black powder?!\They already have black powder.\They are continuously making a large quantity. response:	It's over. Orte is finished.
context: free the Dwarves and took the Elven men with them...\firearms, machine guns, and the like.\Wh...?!\Di... Di... Did you say they were going to have the Dwarves make firearms?!\Wh... Wh... What... What about black powder?!\They already have black powder.\They are continuously making a large quantity.\It's over. Orte is finished. response:	What?! Muket? What the heck is a muket?
context: firearms, machine guns, and the like.\Wh...?!\Di... Di... Did you say they were going to have the Dwarves make firearms?!\Wh... Wh... What... What about black powder?!\They already have black powder.\They are continuously making a large quantity.\It's over. Orte is finished.\What?! Muket? What the heck is a muket? response:	Is it edible?
context: Wh...?!\Di... Di... Did you say they were going to have the Dwarves make firearms?!\Wh... Wh... What... What about black powder?!\They already have black powder.\They are continuously making a large quantity.\It's over. Orte is finished.\What?! Muket? What the heck is a muket?\Is it edible? response:	Musket! It's called a musket!
context: Di... Di... Did you say they were going to have the Dwarves make firearms?!\Wh... Wh... What... What about black powder?!\They already have black powder.\They are continuously making a large quantity.\It's over. Orte is finished.\What?! Muket? What the heck is a muket?\Is it edible?\Musket! It's called a musket! response:	Have you been doing anything besides eating?!
context: Wh... Wh... What... What about black powder?!\They already have black powder.\They are continuously making a large quantity.\It's over. Orte is finished.\What?! Muket? What the heck is a muket?\Is it edible?\Musket! It's called a musket!\Have you been doing anything besides eating?! response:	We can fight as well.
context: They already have black powder.\They are continuously making a large quantity.\It's over. Orte is finished.\What?! Muket? What the heck is a muket?\Is it edible?\Musket! It's called a musket!\Have you been doing anything besides eating?!\We can fight as well. response:	Bring us more booze and food!
context: They are continuously making a large quantity.\It's over. Orte is finished.\What?! Muket? What the heck is a muket?\Is it edible?\Musket! It's called a musket!\Have you been doing anything besides eating?!\We can fight as well.\Bring us more booze and food! response:	Also, you guys recovered way too quickly after you ate!
context: It's over. Orte is finished.\What?! Muket? What the heck is a muket?\Is it edible?\Musket! It's called a musket!\Have you been doing anything besides eating?!\We can fight as well.\Bring us more booze and food!\Also, you guys recovered way too quickly after you ate! response:	-Huh?! -You wanna fight, idiot?!
context: What?! Muket? What the heck is a muket?\Is it edible?\Musket! It's called a musket!\Have you been doing anything besides eating?!\We can fight as well.\Bring us more booze and food!\Also, you guys recovered way too quickly after you ate!\-Huh?! -You wanna fight, idiot?! response:	There should've been tons of food in this arsenal...
context: Is it edible?\Musket! It's called a musket!\Have you been doing anything besides eating?!\We can fight as well.\Bring us more booze and food!\Also, you guys recovered way too quickly after you ate!\-Huh?! -You wanna fight, idiot?!\There should've been tons of food in this arsenal... response:	Wh-What happened?!
context: Musket! It's called a musket!\Have you been doing anything besides eating?!\We can fight as well.\Bring us more booze and food!\Also, you guys recovered way too quickly after you ate!\-Huh?! -You wanna fight, idiot?!\There should've been tons of food in this arsenal...\Wh-What happened?! response:	Olminu, we just got an additional order.
context: Have you been doing anything besides eating?!\We can fight as well.\Bring us more booze and food!\Also, you guys recovered way too quickly after you ate!\-Huh?! -You wanna fight, idiot?!\There should've been tons of food in this arsenal...\Wh-What happened?!\Olminu, we just got an additional order. response:	Soup for a hundred people!
context: We can fight as well.\Bring us more booze and food!\Also, you guys recovered way too quickly after you ate!\-Huh?! -You wanna fight, idiot?!\There should've been tons of food in this arsenal...\Wh-What happened?!\Olminu, we just got an additional order.\Soup for a hundred people! response:	What kind of place do they think this is?! Just serve them water!
context: Bring us more booze and food!\Also, you guys recovered way too quickly after you ate!\-Huh?! -You wanna fight, idiot?!\There should've been tons of food in this arsenal...\Wh-What happened?!\Olminu, we just got an additional order.\Soup for a hundred people!\What kind of place do they think this is?! Just serve them water! response:	The more they eat, the more muscular they become.
context: Also, you guys recovered way too quickly after you ate!\-Huh?! -You wanna fight, idiot?!\There should've been tons of food in this arsenal...\Wh-What happened?!\Olminu, we just got an additional order.\Soup for a hundred people!\What kind of place do they think this is?! Just serve them water!\The more they eat, the more muscular they become. response:	Scary... Dwarves really are scary.
context: -Huh?! -You wanna fight, idiot?!\There should've been tons of food in this arsenal...\Wh-What happened?!\Olminu, we just got an additional order.\Soup for a hundred people!\What kind of place do they think this is?! Just serve them water!\The more they eat, the more muscular they become.\Scary... Dwarves really are scary. response:	Yeah.
context: There should've been tons of food in this arsenal...\Wh-What happened?!\Olminu, we just got an additional order.\Soup for a hundred people!\What kind of place do they think this is?! Just serve them water!\The more they eat, the more muscular they become.\Scary... Dwarves really are scary.\Yeah. response:	What's with that? Why are you smiling, Shara?
context: Wh-What happened?!\Olminu, we just got an additional order.\Soup for a hundred people!\What kind of place do they think this is?! Just serve them water!\The more they eat, the more muscular they become.\Scary... Dwarves really are scary.\Yeah.\What's with that? Why are you smiling, Shara? response:	Hm?
context: Olminu, we just got an additional order.\Soup for a hundred people!\What kind of place do they think this is?! Just serve them water!\The more they eat, the more muscular they become.\Scary... Dwarves really are scary.\Yeah.\What's with that? Why are you smiling, Shara?\Hm? response:	The Dwarves are back. The Dwarves from our bedtime stories are back.
context: Soup for a hundred people!\What kind of place do they think this is?! Just serve them water!\The more they eat, the more muscular they become.\Scary... Dwarves really are scary.\Yeah.\What's with that? Why are you smiling, Shara?\Hm?\The Dwarves are back. The Dwarves from our bedtime stories are back. response:	Ahhh...
context: What kind of place do they think this is?! Just serve them water!\The more they eat, the more muscular they become.\Scary... Dwarves really are scary.\Yeah.\What's with that? Why are you smiling, Shara?\Hm?\The Dwarves are back. The Dwarves from our bedtime stories are back.\Ahhh... response:	Don't Ahhh me.
context: The more they eat, the more muscular they become.\Scary... Dwarves really are scary.\Yeah.\What's with that? Why are you smiling, Shara?\Hm?\The Dwarves are back. The Dwarves from our bedtime stories are back.\Ahhh...\Don't Ahhh me. response:	So... hey, listen to me.
context: Scary... Dwarves really are scary.\Yeah.\What's with that? Why are you smiling, Shara?\Hm?\The Dwarves are back. The Dwarves from our bedtime stories are back.\Ahhh...\Don't Ahhh me.\So... hey, listen to me. response:	You know that guy Yoshitsune? He's a horrible person.
context: Yeah.\What's with that? Why are you smiling, Shara?\Hm?\The Dwarves are back. The Dwarves from our bedtime stories are back.\Ahhh...\Don't Ahhh me.\So... hey, listen to me.\You know that guy Yoshitsune? He's a horrible person. response:	Are you listening, old man?
context: What's with that? Why are you smiling, Shara?\Hm?\The Dwarves are back. The Dwarves from our bedtime stories are back.\Ahhh...\Don't Ahhh me.\So... hey, listen to me.\You know that guy Yoshitsune? He's a horrible person.\Are you listening, old man? response:	I am... I am listening.
context: Hm?\The Dwarves are back. The Dwarves from our bedtime stories are back.\Ahhh...\Don't Ahhh me.\So... hey, listen to me.\You know that guy Yoshitsune? He's a horrible person.\Are you listening, old man?\I am... I am listening. response:	So here is the thing...
context: The Dwarves are back. The Dwarves from our bedtime stories are back.\Ahhh...\Don't Ahhh me.\So... hey, listen to me.\You know that guy Yoshitsune? He's a horrible person.\Are you listening, old man?\I am... I am listening.\So here is the thing... response:	Suddenly, he was like, Shoot the fan! That didn't make any sense!
context: Ahhh...\Don't Ahhh me.\So... hey, listen to me.\You know that guy Yoshitsune? He's a horrible person.\Are you listening, old man?\I am... I am listening.\So here is the thing...\Suddenly, he was like, Shoot the fan! That didn't make any sense! response:	No way in hell I could hit the target.
context: Don't Ahhh me.\So... hey, listen to me.\You know that guy Yoshitsune? He's a horrible person.\Are you listening, old man?\I am... I am listening.\So here is the thing...\Suddenly, he was like, Shoot the fan! That didn't make any sense!\No way in hell I could hit the target. response:	Did he really think I could shoot a sailor?! He's got to be out of his mind.
context: So... hey, listen to me.\You know that guy Yoshitsune? He's a horrible person.\Are you listening, old man?\I am... I am listening.\So here is the thing...\Suddenly, he was like, Shoot the fan! That didn't make any sense!\No way in hell I could hit the target.\Did he really think I could shoot a sailor?! He's got to be out of his mind. response:	I can't take that crap anymore.
context: You know that guy Yoshitsune? He's a horrible person.\Are you listening, old man?\I am... I am listening.\So here is the thing...\Suddenly, he was like, Shoot the fan! That didn't make any sense!\No way in hell I could hit the target.\Did he really think I could shoot a sailor?! He's got to be out of his mind.\I can't take that crap anymore. response:	That's some nasty booze.
context: Are you listening, old man?\I am... I am listening.\So here is the thing...\Suddenly, he was like, Shoot the fan! That didn't make any sense!\No way in hell I could hit the target.\Did he really think I could shoot a sailor?! He's got to be out of his mind.\I can't take that crap anymore.\That's some nasty booze. response:	Put your clothes back on. You may give them the wrong idea.
context: I am... I am listening.\So here is the thing...\Suddenly, he was like, Shoot the fan! That didn't make any sense!\No way in hell I could hit the target.\Did he really think I could shoot a sailor?! He's got to be out of his mind.\I can't take that crap anymore.\That's some nasty booze.\Put your clothes back on. You may give them the wrong idea. response:	All right... Show me this musket thing.
context: So here is the thing...\Suddenly, he was like, Shoot the fan! That didn't make any sense!\No way in hell I could hit the target.\Did he really think I could shoot a sailor?! He's got to be out of his mind.\I can't take that crap anymore.\That's some nasty booze.\Put your clothes back on. You may give them the wrong idea.\All right... Show me this musket thing. response:	D-Don't break it.
context: Suddenly, he was like, Shoot the fan! That didn't make any sense!\No way in hell I could hit the target.\Did he really think I could shoot a sailor?! He's got to be out of his mind.\I can't take that crap anymore.\That's some nasty booze.\Put your clothes back on. You may give them the wrong idea.\All right... Show me this musket thing.\D-Don't break it. response:	We ain't gonna break it.
context: No way in hell I could hit the target.\Did he really think I could shoot a sailor?! He's got to be out of his mind.\I can't take that crap anymore.\That's some nasty booze.\Put your clothes back on. You may give them the wrong idea.\All right... Show me this musket thing.\D-Don't break it.\We ain't gonna break it. response:	What is this? It's an iron cylinder.
context: Did he really think I could shoot a sailor?! He's got to be out of his mind.\I can't take that crap anymore.\That's some nasty booze.\Put your clothes back on. You may give them the wrong idea.\All right... Show me this musket thing.\D-Don't break it.\We ain't gonna break it.\What is this? It's an iron cylinder. response:	It looks like it's made of rolled iron.
context: I can't take that crap anymore.\That's some nasty booze.\Put your clothes back on. You may give them the wrong idea.\All right... Show me this musket thing.\D-Don't break it.\We ain't gonna break it.\What is this? It's an iron cylinder.\It looks like it's made of rolled iron. response:	The trigger mechanism seems to be similar to that of a crossbow. Simple enough.
context: That's some nasty booze.\Put your clothes back on. You may give them the wrong idea.\All right... Show me this musket thing.\D-Don't break it.\We ain't gonna break it.\What is this? It's an iron cylinder.\It looks like it's made of rolled iron.\The trigger mechanism seems to be similar to that of a crossbow. Simple enough. response:	Does the spring cause this iron bit to drop down onto the metal pan?
context: Put your clothes back on. You may give them the wrong idea.\All right... Show me this musket thing.\D-Don't break it.\We ain't gonna break it.\What is this? It's an iron cylinder.\It looks like it's made of rolled iron.\The trigger mechanism seems to be similar to that of a crossbow. Simple enough.\Does the spring cause this iron bit to drop down onto the metal pan? response:	What does that do? Is this some sort of projectile device?
context: All right... Show me this musket thing.\D-Don't break it.\We ain't gonna break it.\What is this? It's an iron cylinder.\It looks like it's made of rolled iron.\The trigger mechanism seems to be similar to that of a crossbow. Simple enough.\Does the spring cause this iron bit to drop down onto the metal pan?\What does that do? Is this some sort of projectile device? response:	The base is made of just regular wood.
context: D-Don't break it.\We ain't gonna break it.\What is this? It's an iron cylinder.\It looks like it's made of rolled iron.\The trigger mechanism seems to be similar to that of a crossbow. Simple enough.\Does the spring cause this iron bit to drop down onto the metal pan?\What does that do? Is this some sort of projectile device?\The base is made of just regular wood. response:	So, what on earth is this for?
context: We ain't gonna break it.\What is this? It's an iron cylinder.\It looks like it's made of rolled iron.\The trigger mechanism seems to be similar to that of a crossbow. Simple enough.\Does the spring cause this iron bit to drop down onto the metal pan?\What does that do? Is this some sort of projectile device?\The base is made of just regular wood.\So, what on earth is this for? response:	Ah. It's a weapon called a musket.
context: What is this? It's an iron cylinder.\It looks like it's made of rolled iron.\The trigger mechanism seems to be similar to that of a crossbow. Simple enough.\Does the spring cause this iron bit to drop down onto the metal pan?\What does that do? Is this some sort of projectile device?\The base is made of just regular wood.\So, what on earth is this for?\Ah. It's a weapon called a musket. response:	Gunpowder is ignited in the cylinder, propelling a lead bullet.
context: It looks like it's made of rolled iron.\The trigger mechanism seems to be similar to that of a crossbow. Simple enough.\Does the spring cause this iron bit to drop down onto the metal pan?\What does that do? Is this some sort of projectile device?\The base is made of just regular wood.\So, what on earth is this for?\Ah. It's a weapon called a musket.\Gunpowder is ignited in the cylinder, propelling a lead bullet. response:	Are you saying this is a weapon that...
context: The trigger mechanism seems to be similar to that of a crossbow. Simple enough.\Does the spring cause this iron bit to drop down onto the metal pan?\What does that do? Is this some sort of projectile device?\The base is made of just regular wood.\So, what on earth is this for?\Ah. It's a weapon called a musket.\Gunpowder is ignited in the cylinder, propelling a lead bullet.\Are you saying this is a weapon that... response:	I don't have any idea about the gunpowder or that sort of thing, but...
context: Does the spring cause this iron bit to drop down onto the metal pan?\What does that do? Is this some sort of projectile device?\The base is made of just regular wood.\So, what on earth is this for?\Ah. It's a weapon called a musket.\Gunpowder is ignited in the cylinder, propelling a lead bullet.\Are you saying this is a weapon that...\I don't have any idea about the gunpowder or that sort of thing, but... response:	Aren't bows and crossbows just as good? What is so special about this?
context: What does that do? Is this some sort of projectile device?\The base is made of just regular wood.\So, what on earth is this for?\Ah. It's a weapon called a musket.\Gunpowder is ignited in the cylinder, propelling a lead bullet.\Are you saying this is a weapon that...\I don't have any idea about the gunpowder or that sort of thing, but...\Aren't bows and crossbows just as good? What is so special about this? response:	On that point, I don't fully understand either.
context: The base is made of just regular wood.\So, what on earth is this for?\Ah. It's a weapon called a musket.\Gunpowder is ignited in the cylinder, propelling a lead bullet.\Are you saying this is a weapon that...\I don't have any idea about the gunpowder or that sort of thing, but...\Aren't bows and crossbows just as good? What is so special about this?\On that point, I don't fully understand either. response:	Bows won't make any sound or require any development.
context: So, what on earth is this for?\Ah. It's a weapon called a musket.\Gunpowder is ignited in the cylinder, propelling a lead bullet.\Are you saying this is a weapon that...\I don't have any idea about the gunpowder or that sort of thing, but...\Aren't bows and crossbows just as good? What is so special about this?\On that point, I don't fully understand either.\Bows won't make any sound or require any development. response:	So, why a musket?
context: Ah. It's a weapon called a musket.\Gunpowder is ignited in the cylinder, propelling a lead bullet.\Are you saying this is a weapon that...\I don't have any idea about the gunpowder or that sort of thing, but...\Aren't bows and crossbows just as good? What is so special about this?\On that point, I don't fully understand either.\Bows won't make any sound or require any development.\So, why a musket? response:	Well... umm...
context: Gunpowder is ignited in the cylinder, propelling a lead bullet.\Are you saying this is a weapon that...\I don't have any idea about the gunpowder or that sort of thing, but...\Aren't bows and crossbows just as good? What is so special about this?\On that point, I don't fully understand either.\Bows won't make any sound or require any development.\So, why a musket?\Well... umm... response:	The roar of the musket is its battle cry.
context: Are you saying this is a weapon that...\I don't have any idea about the gunpowder or that sort of thing, but...\Aren't bows and crossbows just as good? What is so special about this?\On that point, I don't fully understand either.\Bows won't make any sound or require any development.\So, why a musket?\Well... umm...\The roar of the musket is its battle cry. response:	A musket has a voice of its own when aimed at you.
context: I don't have any idea about the gunpowder or that sort of thing, but...\Aren't bows and crossbows just as good? What is so special about this?\On that point, I don't fully understand either.\Bows won't make any sound or require any development.\So, why a musket?\Well... umm...\The roar of the musket is its battle cry.\A musket has a voice of its own when aimed at you. response:	On top of that, it is quick to train with.
context: Aren't bows and crossbows just as good? What is so special about this?\On that point, I don't fully understand either.\Bows won't make any sound or require any development.\So, why a musket?\Well... umm...\The roar of the musket is its battle cry.\A musket has a voice of its own when aimed at you.\On top of that, it is quick to train with. response:	In the span of a day, a peasant can be trained to kill veteran soldiers.
context: On that point, I don't fully understand either.\Bows won't make any sound or require any development.\So, why a musket?\Well... umm...\The roar of the musket is its battle cry.\A musket has a voice of its own when aimed at you.\On top of that, it is quick to train with.\In the span of a day, a peasant can be trained to kill veteran soldiers. response:	Mm... It is as I thought, he is no fool.
context: Bows won't make any sound or require any development.\So, why a musket?\Well... umm...\The roar of the musket is its battle cry.\A musket has a voice of its own when aimed at you.\On top of that, it is quick to train with.\In the span of a day, a peasant can be trained to kill veteran soldiers.\Mm... It is as I thought, he is no fool. response:	However, battle is the only thing he knows.
context: So, why a musket?\Well... umm...\The roar of the musket is its battle cry.\A musket has a voice of its own when aimed at you.\On top of that, it is quick to train with.\In the span of a day, a peasant can be trained to kill veteran soldiers.\Mm... It is as I thought, he is no fool.\However, battle is the only thing he knows. response:	A musket has long range and commanding power,
context: Well... umm...\The roar of the musket is its battle cry.\A musket has a voice of its own when aimed at you.\On top of that, it is quick to train with.\In the span of a day, a peasant can be trained to kill veteran soldiers.\Mm... It is as I thought, he is no fool.\However, battle is the only thing he knows.\A musket has long range and commanding power, response:	but that's not the only real advantage it holds.
context: The roar of the musket is its battle cry.\A musket has a voice of its own when aimed at you.\On top of that, it is quick to train with.\In the span of a day, a peasant can be trained to kill veteran soldiers.\Mm... It is as I thought, he is no fool.\However, battle is the only thing he knows.\A musket has long range and commanding power,\but that's not the only real advantage it holds. response:	It also simplifies killing, soothes murderous intent, and relieves guilty emotions.
context: A musket has a voice of its own when aimed at you.\On top of that, it is quick to train with.\In the span of a day, a peasant can be trained to kill veteran soldiers.\Mm... It is as I thought, he is no fool.\However, battle is the only thing he knows.\A musket has long range and commanding power,\but that's not the only real advantage it holds.\It also simplifies killing, soothes murderous intent, and relieves guilty emotions. response:	In any case, with only a single pull, anyone can be a warrior.
context: On top of that, it is quick to train with.\In the span of a day, a peasant can be trained to kill veteran soldiers.\Mm... It is as I thought, he is no fool.\However, battle is the only thing he knows.\A musket has long range and commanding power,\but that's not the only real advantage it holds.\It also simplifies killing, soothes murderous intent, and relieves guilty emotions.\In any case, with only a single pull, anyone can be a warrior. response:	It is a path for all civilians to become warriors.
context: In the span of a day, a peasant can be trained to kill veteran soldiers.\Mm... It is as I thought, he is no fool.\However, battle is the only thing he knows.\A musket has long range and commanding power,\but that's not the only real advantage it holds.\It also simplifies killing, soothes murderous intent, and relieves guilty emotions.\In any case, with only a single pull, anyone can be a warrior.\It is a path for all civilians to become warriors. response:	I can't tell them that. No way... I can't.
context: Mm... It is as I thought, he is no fool.\However, battle is the only thing he knows.\A musket has long range and commanding power,\but that's not the only real advantage it holds.\It also simplifies killing, soothes murderous intent, and relieves guilty emotions.\In any case, with only a single pull, anyone can be a warrior.\It is a path for all civilians to become warriors.\I can't tell them that. No way... I can't. response:	Where...?
context: However, battle is the only thing he knows.\A musket has long range and commanding power,\but that's not the only real advantage it holds.\It also simplifies killing, soothes murderous intent, and relieves guilty emotions.\In any case, with only a single pull, anyone can be a warrior.\It is a path for all civilians to become warriors.\I can't tell them that. No way... I can't.\Where...? response:	At last you have awoken.
context: A musket has long range and commanding power,\but that's not the only real advantage it holds.\It also simplifies killing, soothes murderous intent, and relieves guilty emotions.\In any case, with only a single pull, anyone can be a warrior.\It is a path for all civilians to become warriors.\I can't tell them that. No way... I can't.\Where...?\At last you have awoken. response:	I'm at...?!
context: but that's not the only real advantage it holds.\It also simplifies killing, soothes murderous intent, and relieves guilty emotions.\In any case, with only a single pull, anyone can be a warrior.\It is a path for all civilians to become warriors.\I can't tell them that. No way... I can't.\Where...?\At last you have awoken.\I'm at...?! response:	The Northern Walls.
context: It also simplifies killing, soothes murderous intent, and relieves guilty emotions.\In any case, with only a single pull, anyone can be a warrior.\It is a path for all civilians to become warriors.\I can't tell them that. No way... I can't.\Where...?\At last you have awoken.\I'm at...?!\The Northern Walls. response:	You were retrieved by dragon cavalry.
context: In any case, with only a single pull, anyone can be a warrior.\It is a path for all civilians to become warriors.\I can't tell them that. No way... I can't.\Where...?\At last you have awoken.\I'm at...?!\The Northern Walls.\You were retrieved by dragon cavalry. response:	And Gilles De Rais?!
context: It is a path for all civilians to become warriors.\I can't tell them that. No way... I can't.\Where...?\At last you have awoken.\I'm at...?!\The Northern Walls.\You were retrieved by dragon cavalry.\And Gilles De Rais?! response:	Dead... Became a lump of salt.
context: I can't tell them that. No way... I can't.\Where...?\At last you have awoken.\I'm at...?!\The Northern Walls.\You were retrieved by dragon cavalry.\And Gilles De Rais?!\Dead... Became a lump of salt. response:	What is your intent?
context: Where...?\At last you have awoken.\I'm at...?!\The Northern Walls.\You were retrieved by dragon cavalry.\And Gilles De Rais?!\Dead... Became a lump of salt.\What is your intent? response:	I am going! I'll burn those bastards! I'll kill them all!
context: At last you have awoken.\I'm at...?!\The Northern Walls.\You were retrieved by dragon cavalry.\And Gilles De Rais?!\Dead... Became a lump of salt.\What is your intent?\I am going! I'll burn those bastards! I'll kill them all! response:	You must not. You underestimated them.
context: I'm at...?!\The Northern Walls.\You were retrieved by dragon cavalry.\And Gilles De Rais?!\Dead... Became a lump of salt.\What is your intent?\I am going! I'll burn those bastards! I'll kill them all!\You must not. You underestimated them. response:	You mustn't take the Drifters lightly.
context: The Northern Walls.\You were retrieved by dragon cavalry.\And Gilles De Rais?!\Dead... Became a lump of salt.\What is your intent?\I am going! I'll burn those bastards! I'll kill them all!\You must not. You underestimated them.\You mustn't take the Drifters lightly. response:	This time I will kill them! I will be sure to kill them all!
context: You were retrieved by dragon cavalry.\And Gilles De Rais?!\Dead... Became a lump of salt.\What is your intent?\I am going! I'll burn those bastards! I'll kill them all!\You must not. You underestimated them.\You mustn't take the Drifters lightly.\This time I will kill them! I will be sure to kill them all! response:	I will take revenge for Gilles de Rais!
context: And Gilles De Rais?!\Dead... Became a lump of salt.\What is your intent?\I am going! I'll burn those bastards! I'll kill them all!\You must not. You underestimated them.\You mustn't take the Drifters lightly.\This time I will kill them! I will be sure to kill them all!\I will take revenge for Gilles de Rais! response:	You must not.
context: Dead... Became a lump of salt.\What is your intent?\I am going! I'll burn those bastards! I'll kill them all!\You must not. You underestimated them.\You mustn't take the Drifters lightly.\This time I will kill them! I will be sure to kill them all!\I will take revenge for Gilles de Rais!\You must not. response:	You will wait for your chance.
context: What is your intent?\I am going! I'll burn those bastards! I'll kill them all!\You must not. You underestimated them.\You mustn't take the Drifters lightly.\This time I will kill them! I will be sure to kill them all!\I will take revenge for Gilles de Rais!\You must not.\You will wait for your chance. response:	For, in the end, I will certainly ensure your desire comes to pass.
context: I am going! I'll burn those bastards! I'll kill them all!\You must not. You underestimated them.\You mustn't take the Drifters lightly.\This time I will kill them! I will be sure to kill them all!\I will take revenge for Gilles de Rais!\You must not.\You will wait for your chance.\For, in the end, I will certainly ensure your desire comes to pass. response:	Bastard...
context: You must not. You underestimated them.\You mustn't take the Drifters lightly.\This time I will kill them! I will be sure to kill them all!\I will take revenge for Gilles de Rais!\You must not.\You will wait for your chance.\For, in the end, I will certainly ensure your desire comes to pass.\Bastard... response:	I will kill that samurai bastard!
context: You mustn't take the Drifters lightly.\This time I will kill them! I will be sure to kill them all!\I will take revenge for Gilles de Rais!\You must not.\You will wait for your chance.\For, in the end, I will certainly ensure your desire comes to pass.\Bastard...\I will kill that samurai bastard! response:	I will thoroughly burn him to death.
context: This time I will kill them! I will be sure to kill them all!\I will take revenge for Gilles de Rais!\You must not.\You will wait for your chance.\For, in the end, I will certainly ensure your desire comes to pass.\Bastard...\I will kill that samurai bastard!\I will thoroughly burn him to death. response:	I will burn him until not even his ashes remain!
context: I will take revenge for Gilles de Rais!\You must not.\You will wait for your chance.\For, in the end, I will certainly ensure your desire comes to pass.\Bastard...\I will kill that samurai bastard!\I will thoroughly burn him to death.\I will burn him until not even his ashes remain! response:	How did it go... with her?
context: You must not.\You will wait for your chance.\For, in the end, I will certainly ensure your desire comes to pass.\Bastard...\I will kill that samurai bastard!\I will thoroughly burn him to death.\I will burn him until not even his ashes remain!\How did it go... with her? response:	She has awoken at last.
context: You will wait for your chance.\For, in the end, I will certainly ensure your desire comes to pass.\Bastard...\I will kill that samurai bastard!\I will thoroughly burn him to death.\I will burn him until not even his ashes remain!\How did it go... with her?\She has awoken at last. response:	She is doing well considering her skull was almost split.
context: For, in the end, I will certainly ensure your desire comes to pass.\Bastard...\I will kill that samurai bastard!\I will thoroughly burn him to death.\I will burn him until not even his ashes remain!\How did it go... with her?\She has awoken at last.\She is doing well considering her skull was almost split. response:	The Black Lord healed her wound,
context: Bastard...\I will kill that samurai bastard!\I will thoroughly burn him to death.\I will burn him until not even his ashes remain!\How did it go... with her?\She has awoken at last.\She is doing well considering her skull was almost split.\The Black Lord healed her wound, response:	but it wouldn't have been strange if she had died before arriving here.
context: I will kill that samurai bastard!\I will thoroughly burn him to death.\I will burn him until not even his ashes remain!\How did it go... with her?\She has awoken at last.\She is doing well considering her skull was almost split.\The Black Lord healed her wound,\but it wouldn't have been strange if she had died before arriving here. response:	The Drifter leader named Toyohisa...
context: I will thoroughly burn him to death.\I will burn him until not even his ashes remain!\How did it go... with her?\She has awoken at last.\She is doing well considering her skull was almost split.\The Black Lord healed her wound,\but it wouldn't have been strange if she had died before arriving here.\The Drifter leader named Toyohisa... response:	He does not seem the type to stay his hand just because his enemy is a woman.
context: I will burn him until not even his ashes remain!\How did it go... with her?\She has awoken at last.\She is doing well considering her skull was almost split.\The Black Lord healed her wound,\but it wouldn't have been strange if she had died before arriving here.\The Drifter leader named Toyohisa...\He does not seem the type to stay his hand just because his enemy is a woman. response:	Perhaps... he went easy on her.
context: How did it go... with her?\She has awoken at last.\She is doing well considering her skull was almost split.\The Black Lord healed her wound,\but it wouldn't have been strange if she had died before arriving here.\The Drifter leader named Toyohisa...\He does not seem the type to stay his hand just because his enemy is a woman.\Perhaps... he went easy on her. response:	He held back, but he stopped before the final blow was struck.
context: She has awoken at last.\She is doing well considering her skull was almost split.\The Black Lord healed her wound,\but it wouldn't have been strange if she had died before arriving here.\The Drifter leader named Toyohisa...\He does not seem the type to stay his hand just because his enemy is a woman.\Perhaps... he went easy on her.\He held back, but he stopped before the final blow was struck. response:	He wouldn't care what would happen afterwards.
context: She is doing well considering her skull was almost split.\The Black Lord healed her wound,\but it wouldn't have been strange if she had died before arriving here.\The Drifter leader named Toyohisa...\He does not seem the type to stay his hand just because his enemy is a woman.\Perhaps... he went easy on her.\He held back, but he stopped before the final blow was struck.\He wouldn't care what would happen afterwards. response:	His existence itself is an embodiment of complacency.
