context: The Old Year response:	After all my matches were over for the year,
context: Snore Snore\Honestly, it's like we were running out of oxygen.\Three people...\Oh, that's right.\Their father.\Every year, we looked at those sleeping faces and complained,\while Mom, Grandma, and I would be cleaning things up.\That's how we saw the old year go, and the new year come in. response:	There must be a reason.
context: Honestly, it's like we were running out of oxygen.\Three people...\Oh, that's right.\Their father.\Every year, we looked at those sleeping faces and complained,\while Mom, Grandma, and I would be cleaning things up.\That's how we saw the old year go, and the new year come in.\There must be a reason. response:	Nobody in this house talks about their father.
context: Three people...\Oh, that's right.\Their father.\Every year, we looked at those sleeping faces and complained,\while Mom, Grandma, and I would be cleaning things up.\That's how we saw the old year go, and the new year come in.\There must be a reason.\Nobody in this house talks about their father. response:	Okay, let's eat, Rei. You must be hungry.
context: Oh, that's right.\Their father.\Every year, we looked at those sleeping faces and complained,\while Mom, Grandma, and I would be cleaning things up.\That's how we saw the old year go, and the new year come in.\There must be a reason.\Nobody in this house talks about their father.\Okay, let's eat, Rei. You must be hungry. response:	You were sleeping soundly, so I didn't wake you.
context: Their father.\Every year, we looked at those sleeping faces and complained,\while Mom, Grandma, and I would be cleaning things up.\That's how we saw the old year go, and the new year come in.\There must be a reason.\Nobody in this house talks about their father.\Okay, let's eat, Rei. You must be hungry.\You were sleeping soundly, so I didn't wake you. response:	Let's mix some pickled plums in there, too.
context: Every year, we looked at those sleeping faces and complained,\while Mom, Grandma, and I would be cleaning things up.\That's how we saw the old year go, and the new year come in.\There must be a reason.\Nobody in this house talks about their father.\Okay, let's eat, Rei. You must be hungry.\You were sleeping soundly, so I didn't wake you.\Let's mix some pickled plums in there, too. response:	It'll be refreshing even if you can't distinguish flavors because of your fever.
context: while Mom, Grandma, and I would be cleaning things up.\That's how we saw the old year go, and the new year come in.\There must be a reason.\Nobody in this house talks about their father.\Okay, let's eat, Rei. You must be hungry.\You were sleeping soundly, so I didn't wake you.\Let's mix some pickled plums in there, too.\It'll be refreshing even if you can't distinguish flavors because of your fever. response:	Huh? I said that earlier, didn't I?
context: That's how we saw the old year go, and the new year come in.\There must be a reason.\Nobody in this house talks about their father.\Okay, let's eat, Rei. You must be hungry.\You were sleeping soundly, so I didn't wake you.\Let's mix some pickled plums in there, too.\It'll be refreshing even if you can't distinguish flavors because of your fever.\Huh? I said that earlier, didn't I? response:	Mom always said that to me when I had a cold.
context: There must be a reason.\Nobody in this house talks about their father.\Okay, let's eat, Rei. You must be hungry.\You were sleeping soundly, so I didn't wake you.\Let's mix some pickled plums in there, too.\It'll be refreshing even if you can't distinguish flavors because of your fever.\Huh? I said that earlier, didn't I?\Mom always said that to me when I had a cold. response:	I'm saying the same thing, after all.
context: Nobody in this house talks about their father.\Okay, let's eat, Rei. You must be hungry.\You were sleeping soundly, so I didn't wake you.\Let's mix some pickled plums in there, too.\It'll be refreshing even if you can't distinguish flavors because of your fever.\Huh? I said that earlier, didn't I?\Mom always said that to me when I had a cold.\I'm saying the same thing, after all. response:	Whenever I heard those words, I would think, She's saying it again,
context: Okay, let's eat, Rei. You must be hungry.\You were sleeping soundly, so I didn't wake you.\Let's mix some pickled plums in there, too.\It'll be refreshing even if you can't distinguish flavors because of your fever.\Huh? I said that earlier, didn't I?\Mom always said that to me when I had a cold.\I'm saying the same thing, after all.\Whenever I heard those words, I would think, She's saying it again, response:	but it was really comforting.
context: You were sleeping soundly, so I didn't wake you.\Let's mix some pickled plums in there, too.\It'll be refreshing even if you can't distinguish flavors because of your fever.\Huh? I said that earlier, didn't I?\Mom always said that to me when I had a cold.\I'm saying the same thing, after all.\Whenever I heard those words, I would think, She's saying it again,\but it was really comforting. response:	They were like magic words. Mom's magic words.
context: Let's mix some pickled plums in there, too.\It'll be refreshing even if you can't distinguish flavors because of your fever.\Huh? I said that earlier, didn't I?\Mom always said that to me when I had a cold.\I'm saying the same thing, after all.\Whenever I heard those words, I would think, She's saying it again,\but it was really comforting.\They were like magic words. Mom's magic words. response:	But she was gone before Momo had the chance to hear them.
context: It'll be refreshing even if you can't distinguish flavors because of your fever.\Huh? I said that earlier, didn't I?\Mom always said that to me when I had a cold.\I'm saying the same thing, after all.\Whenever I heard those words, I would think, She's saying it again,\but it was really comforting.\They were like magic words. Mom's magic words.\But she was gone before Momo had the chance to hear them. response:	Poor thing.
context: Huh? I said that earlier, didn't I?\Mom always said that to me when I had a cold.\I'm saying the same thing, after all.\Whenever I heard those words, I would think, She's saying it again,\but it was really comforting.\They were like magic words. Mom's magic words.\But she was gone before Momo had the chance to hear them.\Poor thing. response:	Um...
context: Mom always said that to me when I had a cold.\I'm saying the same thing, after all.\Whenever I heard those words, I would think, She's saying it again,\but it was really comforting.\They were like magic words. Mom's magic words.\But she was gone before Momo had the chance to hear them.\Poor thing.\Um... response:	You really are a lifesaver.
context: I'm saying the same thing, after all.\Whenever I heard those words, I would think, She's saying it again,\but it was really comforting.\They were like magic words. Mom's magic words.\But she was gone before Momo had the chance to hear them.\Poor thing.\Um...\You really are a lifesaver. response:	Thank you.
context: Whenever I heard those words, I would think, She's saying it again,\but it was really comforting.\They were like magic words. Mom's magic words.\But she was gone before Momo had the chance to hear them.\Poor thing.\Um...\You really are a lifesaver.\Thank you. response:	On an important day like New Year's Eve, even though I'm not part of your family,
context: but it was really comforting.\They were like magic words. Mom's magic words.\But she was gone before Momo had the chance to hear them.\Poor thing.\Um...\You really are a lifesaver.\Thank you.\On an important day like New Year's Eve, even though I'm not part of your family, response:	you brought me here and took care of me.
context: They were like magic words. Mom's magic words.\But she was gone before Momo had the chance to hear them.\Poor thing.\Um...\You really are a lifesaver.\Thank you.\On an important day like New Year's Eve, even though I'm not part of your family,\you brought me here and took care of me. response:	You've got it wrong. I wanted you to come.
context: But she was gone before Momo had the chance to hear them.\Poor thing.\Um...\You really are a lifesaver.\Thank you.\On an important day like New Year's Eve, even though I'm not part of your family,\you brought me here and took care of me.\You've got it wrong. I wanted you to come. response:	You're the one who helped me.
context: Poor thing.\Um...\You really are a lifesaver.\Thank you.\On an important day like New Year's Eve, even though I'm not part of your family,\you brought me here and took care of me.\You've got it wrong. I wanted you to come.\You're the one who helped me. response:	If you weren't here, right now I would probably be
context: Um...\You really are a lifesaver.\Thank you.\On an important day like New Year's Eve, even though I'm not part of your family,\you brought me here and took care of me.\You've got it wrong. I wanted you to come.\You're the one who helped me.\If you weren't here, right now I would probably be response:	cleaning up by myself and crying.
context: You really are a lifesaver.\Thank you.\On an important day like New Year's Eve, even though I'm not part of your family,\you brought me here and took care of me.\You've got it wrong. I wanted you to come.\You're the one who helped me.\If you weren't here, right now I would probably be\cleaning up by myself and crying. response:	H-Hey, Kiriyama. Why are you the one crying?
context: Thank you.\On an important day like New Year's Eve, even though I'm not part of your family,\you brought me here and took care of me.\You've got it wrong. I wanted you to come.\You're the one who helped me.\If you weren't here, right now I would probably be\cleaning up by myself and crying.\H-Hey, Kiriyama. Why are you the one crying? response:	Oh no. Me too!
context: On an important day like New Year's Eve, even though I'm not part of your family,\you brought me here and took care of me.\You've got it wrong. I wanted you to come.\You're the one who helped me.\If you weren't here, right now I would probably be\cleaning up by myself and crying.\H-Hey, Kiriyama. Why are you the one crying?\Oh no. Me too! response:	As we were sniffling and frantically searching for tissues,
context: you brought me here and took care of me.\You've got it wrong. I wanted you to come.\You're the one who helped me.\If you weren't here, right now I would probably be\cleaning up by myself and crying.\H-Hey, Kiriyama. Why are you the one crying?\Oh no. Me too!\As we were sniffling and frantically searching for tissues, response:	we heard the New Year's Eve bells ringing from the TV.
context: You've got it wrong. I wanted you to come.\You're the one who helped me.\If you weren't here, right now I would probably be\cleaning up by myself and crying.\H-Hey, Kiriyama. Why are you the one crying?\Oh no. Me too!\As we were sniffling and frantically searching for tissues,\we heard the New Year's Eve bells ringing from the TV. response:	And so this year came to a pathetic end, vanishing into the sky.
context: You're the one who helped me.\If you weren't here, right now I would probably be\cleaning up by myself and crying.\H-Hey, Kiriyama. Why are you the one crying?\Oh no. Me too!\As we were sniffling and frantically searching for tissues,\we heard the New Year's Eve bells ringing from the TV.\And so this year came to a pathetic end, vanishing into the sky. response:	I had been distracted by my own loneliness
context: If you weren't here, right now I would probably be\cleaning up by myself and crying.\H-Hey, Kiriyama. Why are you the one crying?\Oh no. Me too!\As we were sniffling and frantically searching for tissues,\we heard the New Year's Eve bells ringing from the TV.\And so this year came to a pathetic end, vanishing into the sky.\I had been distracted by my own loneliness response:	that I failed to recognize someone else's loneliness.
context: cleaning up by myself and crying.\H-Hey, Kiriyama. Why are you the one crying?\Oh no. Me too!\As we were sniffling and frantically searching for tissues,\we heard the New Year's Eve bells ringing from the TV.\And so this year came to a pathetic end, vanishing into the sky.\I had been distracted by my own loneliness\that I failed to recognize someone else's loneliness. response:	To my foolish self, the New Year's bells fell upon me gently.
context: H-Hey, Kiriyama. Why are you the one crying?\Oh no. Me too!\As we were sniffling and frantically searching for tissues,\we heard the New Year's Eve bells ringing from the TV.\And so this year came to a pathetic end, vanishing into the sky.\I had been distracted by my own loneliness\that I failed to recognize someone else's loneliness.\To my foolish self, the New Year's bells fell upon me gently. response:	Like a wide, flowing river, the New Year was slowly on its way in.
context: Oh no. Me too!\As we were sniffling and frantically searching for tissues,\we heard the New Year's Eve bells ringing from the TV.\And so this year came to a pathetic end, vanishing into the sky.\I had been distracted by my own loneliness\that I failed to recognize someone else's loneliness.\To my foolish self, the New Year's bells fell upon me gently.\Like a wide, flowing river, the New Year was slowly on its way in. response:	The Old Year
context: As we were sniffling and frantically searching for tissues,\we heard the New Year's Eve bells ringing from the TV.\And so this year came to a pathetic end, vanishing into the sky.\I had been distracted by my own loneliness\that I failed to recognize someone else's loneliness.\To my foolish self, the New Year's bells fell upon me gently.\Like a wide, flowing river, the New Year was slowly on its way in.\The Old Year response:	The New Year
context: we heard the New Year's Eve bells ringing from the TV.\And so this year came to a pathetic end, vanishing into the sky.\I had been distracted by my own loneliness\that I failed to recognize someone else's loneliness.\To my foolish self, the New Year's bells fell upon me gently.\Like a wide, flowing river, the New Year was slowly on its way in.\The Old Year\The New Year response:	Hey!
context: And so this year came to a pathetic end, vanishing into the sky.\I had been distracted by my own loneliness\that I failed to recognize someone else's loneliness.\To my foolish self, the New Year's bells fell upon me gently.\Like a wide, flowing river, the New Year was slowly on its way in.\The Old Year\The New Year\Hey! response:	Who put stickers on my drawers?
context: I had been distracted by my own loneliness\that I failed to recognize someone else's loneliness.\To my foolish self, the New Year's bells fell upon me gently.\Like a wide, flowing river, the New Year was slowly on its way in.\The Old Year\The New Year\Hey!\Who put stickers on my drawers? response:	I-I'm sorry!
context: that I failed to recognize someone else's loneliness.\To my foolish self, the New Year's bells fell upon me gently.\Like a wide, flowing river, the New Year was slowly on its way in.\The Old Year\The New Year\Hey!\Who put stickers on my drawers?\I-I'm sorry! response:	Sheesh! It's really difficult to peel this off, okay?
context: To my foolish self, the New Year's bells fell upon me gently.\Like a wide, flowing river, the New Year was slowly on its way in.\The Old Year\The New Year\Hey!\Who put stickers on my drawers?\I-I'm sorry!\Sheesh! It's really difficult to peel this off, okay? response:	Sorry!
context: Like a wide, flowing river, the New Year was slowly on its way in.\The Old Year\The New Year\Hey!\Who put stickers on my drawers?\I-I'm sorry!\Sheesh! It's really difficult to peel this off, okay?\Sorry! response:	Mom... Chihiro...
context: The Old Year\The New Year\Hey!\Who put stickers on my drawers?\I-I'm sorry!\Sheesh! It's really difficult to peel this off, okay?\Sorry!\Mom... Chihiro... response:	A dream?
context: The New Year\Hey!\Who put stickers on my drawers?\I-I'm sorry!\Sheesh! It's really difficult to peel this off, okay?\Sorry!\Mom... Chihiro...\A dream? response:	Rei! Good morning!
context: Hey!\Who put stickers on my drawers?\I-I'm sorry!\Sheesh! It's really difficult to peel this off, okay?\Sorry!\Mom... Chihiro...\A dream?\Rei! Good morning! response:	Rei, can you get up? Sis says it's time for breakfast.
context: Who put stickers on my drawers?\I-I'm sorry!\Sheesh! It's really difficult to peel this off, okay?\Sorry!\Mom... Chihiro...\A dream?\Rei! Good morning!\Rei, can you get up? Sis says it's time for breakfast. response:	Good morning.
context: I-I'm sorry!\Sheesh! It's really difficult to peel this off, okay?\Sorry!\Mom... Chihiro...\A dream?\Rei! Good morning!\Rei, can you get up? Sis says it's time for breakfast.\Good morning. response:	How's your fever?
context: Sheesh! It's really difficult to peel this off, okay?\Sorry!\Mom... Chihiro...\A dream?\Rei! Good morning!\Rei, can you get up? Sis says it's time for breakfast.\Good morning.\How's your fever? response:	I think it's gone down a lot. I should be fine now.
context: Sorry!\Mom... Chihiro...\A dream?\Rei! Good morning!\Rei, can you get up? Sis says it's time for breakfast.\Good morning.\How's your fever?\I think it's gone down a lot. I should be fine now. response:	Good morning.
context: Mom... Chihiro...\A dream?\Rei! Good morning!\Rei, can you get up? Sis says it's time for breakfast.\Good morning.\How's your fever?\I think it's gone down a lot. I should be fine now.\Good morning. response:	Good morning. Happy New Year.
context: A dream?\Rei! Good morning!\Rei, can you get up? Sis says it's time for breakfast.\Good morning.\How's your fever?\I think it's gone down a lot. I should be fine now.\Good morning.\Good morning. Happy New Year. response:	Yeah, Happy New Year!
context: Rei! Good morning!\Rei, can you get up? Sis says it's time for breakfast.\Good morning.\How's your fever?\I think it's gone down a lot. I should be fine now.\Good morning.\Good morning. Happy New Year.\Yeah, Happy New Year! response:	There are so many ads in the paper!
context: Rei, can you get up? Sis says it's time for breakfast.\Good morning.\How's your fever?\I think it's gone down a lot. I should be fine now.\Good morning.\Good morning. Happy New Year.\Yeah, Happy New Year!\There are so many ads in the paper! response:	Heavy
context: Good morning.\How's your fever?\I think it's gone down a lot. I should be fine now.\Good morning.\Good morning. Happy New Year.\Yeah, Happy New Year!\There are so many ads in the paper!\Heavy response:	Come on, Momo! I'm reading the paper!
context: How's your fever?\I think it's gone down a lot. I should be fine now.\Good morning.\Good morning. Happy New Year.\Yeah, Happy New Year!\There are so many ads in the paper!\Heavy\Come on, Momo! I'm reading the paper! response:	Kiriyama, want some mochi? What topping?
context: I think it's gone down a lot. I should be fine now.\Good morning.\Good morning. Happy New Year.\Yeah, Happy New Year!\There are so many ads in the paper!\Heavy\Come on, Momo! I'm reading the paper!\Kiriyama, want some mochi? What topping? response:	Sweet soy sauce for me!
context: Good morning.\Good morning. Happy New Year.\Yeah, Happy New Year!\There are so many ads in the paper!\Heavy\Come on, Momo! I'm reading the paper!\Kiriyama, want some mochi? What topping?\Sweet soy sauce for me! response:	Cheese for Momo!
context: Good morning. Happy New Year.\Yeah, Happy New Year!\There are so many ads in the paper!\Heavy\Come on, Momo! I'm reading the paper!\Kiriyama, want some mochi? What topping?\Sweet soy sauce for me!\Cheese for Momo! response:	Then I'll have cheese, too.
context: Yeah, Happy New Year!\There are so many ads in the paper!\Heavy\Come on, Momo! I'm reading the paper!\Kiriyama, want some mochi? What topping?\Sweet soy sauce for me!\Cheese for Momo!\Then I'll have cheese, too. response:	Let's continue on. Go ahead!
context: There are so many ads in the paper!\Heavy\Come on, Momo! I'm reading the paper!\Kiriyama, want some mochi? What topping?\Sweet soy sauce for me!\Cheese for Momo!\Then I'll have cheese, too.\Let's continue on. Go ahead! response:	Hello there!
context: Heavy\Come on, Momo! I'm reading the paper!\Kiriyama, want some mochi? What topping?\Sweet soy sauce for me!\Cheese for Momo!\Then I'll have cheese, too.\Let's continue on. Go ahead!\Hello there! response:	Let's see.
context: Come on, Momo! I'm reading the paper!\Kiriyama, want some mochi? What topping?\Sweet soy sauce for me!\Cheese for Momo!\Then I'll have cheese, too.\Let's continue on. Go ahead!\Hello there!\Let's see. response:	It's still a little bit hot.
context: Kiriyama, want some mochi? What topping?\Sweet soy sauce for me!\Cheese for Momo!\Then I'll have cheese, too.\Let's continue on. Go ahead!\Hello there!\Let's see.\It's still a little bit hot. response:	Well, let's eat first. And then take some medicine.
context: Sweet soy sauce for me!\Cheese for Momo!\Then I'll have cheese, too.\Let's continue on. Go ahead!\Hello there!\Let's see.\It's still a little bit hot.\Well, let's eat first. And then take some medicine. response:	Here, get in the kotatsu.
context: Cheese for Momo!\Then I'll have cheese, too.\Let's continue on. Go ahead!\Hello there!\Let's see.\It's still a little bit hot.\Well, let's eat first. And then take some medicine.\Here, get in the kotatsu. response:	Pajamas leave your feet cold, huh?
context: Then I'll have cheese, too.\Let's continue on. Go ahead!\Hello there!\Let's see.\It's still a little bit hot.\Well, let's eat first. And then take some medicine.\Here, get in the kotatsu.\Pajamas leave your feet cold, huh? response:	Hot Hot
context: Let's continue on. Go ahead!\Hello there!\Let's see.\It's still a little bit hot.\Well, let's eat first. And then take some medicine.\Here, get in the kotatsu.\Pajamas leave your feet cold, huh?\Hot Hot response:	Twitch
context: Hello there!\Let's see.\It's still a little bit hot.\Well, let's eat first. And then take some medicine.\Here, get in the kotatsu.\Pajamas leave your feet cold, huh?\Hot Hot\Twitch response:	Was that the mailman?
context: Let's see.\It's still a little bit hot.\Well, let's eat first. And then take some medicine.\Here, get in the kotatsu.\Pajamas leave your feet cold, huh?\Hot Hot\Twitch\Was that the mailman? response:	They're here! New Year's postcards!
context: It's still a little bit hot.\Well, let's eat first. And then take some medicine.\Here, get in the kotatsu.\Pajamas leave your feet cold, huh?\Hot Hot\Twitch\Was that the mailman?\They're here! New Year's postcards! response:	Wheee
context: Well, let's eat first. And then take some medicine.\Here, get in the kotatsu.\Pajamas leave your feet cold, huh?\Hot Hot\Twitch\Was that the mailman?\They're here! New Year's postcards!\Wheee response:	This one's for me, for Sis.
context: Here, get in the kotatsu.\Pajamas leave your feet cold, huh?\Hot Hot\Twitch\Was that the mailman?\They're here! New Year's postcards!\Wheee\This one's for me, for Sis. response:	For me, for me, for Sis, for Grandpa.
context: Pajamas leave your feet cold, huh?\Hot Hot\Twitch\Was that the mailman?\They're here! New Year's postcards!\Wheee\This one's for me, for Sis.\For me, for me, for Sis, for Grandpa. response:	- Here's one for Momo, too. - Really?
context: Hot Hot\Twitch\Was that the mailman?\They're here! New Year's postcards!\Wheee\This one's for me, for Sis.\For me, for me, for Sis, for Grandpa.\- Here's one for Momo, too. - Really? response:	What?
context: Twitch\Was that the mailman?\They're here! New Year's postcards!\Wheee\This one's for me, for Sis.\For me, for me, for Sis, for Grandpa.\- Here's one for Momo, too. - Really?\What? response:	What? What is it?
context: Was that the mailman?\They're here! New Year's postcards!\Wheee\This one's for me, for Sis.\For me, for me, for Sis, for Grandpa.\- Here's one for Momo, too. - Really?\What?\What? What is it? response:	Hm Hm, What, What?
context: They're here! New Year's postcards!\Wheee\This one's for me, for Sis.\For me, for me, for Sis, for Grandpa.\- Here's one for Momo, too. - Really?\What?\What? What is it?\Hm Hm, What, What? response:	Well? Did we get a lot?
context: Wheee\This one's for me, for Sis.\For me, for me, for Sis, for Grandpa.\- Here's one for Momo, too. - Really?\What?\What? What is it?\Hm Hm, What, What?\Well? Did we get a lot? response:	Yes! Maybe we'll get a New Year's gift-postcard!
context: This one's for me, for Sis.\For me, for me, for Sis, for Grandpa.\- Here's one for Momo, too. - Really?\What?\What? What is it?\Hm Hm, What, What?\Well? Did we get a lot?\Yes! Maybe we'll get a New Year's gift-postcard! response:	Oh, postcards came for Momo, too?
context: For me, for me, for Sis, for Grandpa.\- Here's one for Momo, too. - Really?\What?\What? What is it?\Hm Hm, What, What?\Well? Did we get a lot?\Yes! Maybe we'll get a New Year's gift-postcard!\Oh, postcards came for Momo, too? response:	Good for you.
context: - Here's one for Momo, too. - Really?\What?\What? What is it?\Hm Hm, What, What?\Well? Did we get a lot?\Yes! Maybe we'll get a New Year's gift-postcard!\Oh, postcards came for Momo, too?\Good for you. response:	From nursery school and the pediatrician
context: What?\What? What is it?\Hm Hm, What, What?\Well? Did we get a lot?\Yes! Maybe we'll get a New Year's gift-postcard!\Oh, postcards came for Momo, too?\Good for you.\From nursery school and the pediatrician response:	Yeah!
context: What? What is it?\Hm Hm, What, What?\Well? Did we get a lot?\Yes! Maybe we'll get a New Year's gift-postcard!\Oh, postcards came for Momo, too?\Good for you.\From nursery school and the pediatrician\Yeah! response:	That's right! Maybe you got postcards at your place, Rei!
context: Hm Hm, What, What?\Well? Did we get a lot?\Yes! Maybe we'll get a New Year's gift-postcard!\Oh, postcards came for Momo, too?\Good for you.\From nursery school and the pediatrician\Yeah!\That's right! Maybe you got postcards at your place, Rei! response:	Huff Huff
context: Well? Did we get a lot?\Yes! Maybe we'll get a New Year's gift-postcard!\Oh, postcards came for Momo, too?\Good for you.\From nursery school and the pediatrician\Yeah!\That's right! Maybe you got postcards at your place, Rei!\Huff Huff response:	Oh, I don't think there would be.
context: Yes! Maybe we'll get a New Year's gift-postcard!\Oh, postcards came for Momo, too?\Good for you.\From nursery school and the pediatrician\Yeah!\That's right! Maybe you got postcards at your place, Rei!\Huff Huff\Oh, I don't think there would be. response:	I'll get them for you!
context: Oh, postcards came for Momo, too?\Good for you.\From nursery school and the pediatrician\Yeah!\That's right! Maybe you got postcards at your place, Rei!\Huff Huff\Oh, I don't think there would be.\I'll get them for you! response:	- Hang tight, I'll be right back! - Wait, stop!
context: Good for you.\From nursery school and the pediatrician\Yeah!\That's right! Maybe you got postcards at your place, Rei!\Huff Huff\Oh, I don't think there would be.\I'll get them for you!\- Hang tight, I'll be right back! - Wait, stop! response:	- I'm borrowing your key! - I feel like you'll just stand out a lot!
context: From nursery school and the pediatrician\Yeah!\That's right! Maybe you got postcards at your place, Rei!\Huff Huff\Oh, I don't think there would be.\I'll get them for you!\- Hang tight, I'll be right back! - Wait, stop!\- I'm borrowing your key! - I feel like you'll just stand out a lot! response:	20 Minutes Later
context: Yeah!\That's right! Maybe you got postcards at your place, Rei!\Huff Huff\Oh, I don't think there would be.\I'll get them for you!\- Hang tight, I'll be right back! - Wait, stop!\- I'm borrowing your key! - I feel like you'll just stand out a lot!\20 Minutes Later response:	I-I'm back...
context: That's right! Maybe you got postcards at your place, Rei!\Huff Huff\Oh, I don't think there would be.\I'll get them for you!\- Hang tight, I'll be right back! - Wait, stop!\- I'm borrowing your key! - I feel like you'll just stand out a lot!\20 Minutes Later\I-I'm back... response:	Can't look him in the eye
context: Huff Huff\Oh, I don't think there would be.\I'll get them for you!\- Hang tight, I'll be right back! - Wait, stop!\- I'm borrowing your key! - I feel like you'll just stand out a lot!\20 Minutes Later\I-I'm back...\Can't look him in the eye response:	Um... Y-You got New Year's postcards.
context: Oh, I don't think there would be.\I'll get them for you!\- Hang tight, I'll be right back! - Wait, stop!\- I'm borrowing your key! - I feel like you'll just stand out a lot!\20 Minutes Later\I-I'm back...\Can't look him in the eye\Um... Y-You got New Year's postcards. response:	T-Two of them.
context: I'll get them for you!\- Hang tight, I'll be right back! - Wait, stop!\- I'm borrowing your key! - I feel like you'll just stand out a lot!\20 Minutes Later\I-I'm back...\Can't look him in the eye\Um... Y-You got New Year's postcards.\T-Two of them. response:	I got postcards? I thought there wouldn't be any.
context: - Hang tight, I'll be right back! - Wait, stop!\- I'm borrowing your key! - I feel like you'll just stand out a lot!\20 Minutes Later\I-I'm back...\Can't look him in the eye\Um... Y-You got New Year's postcards.\T-Two of them.\I got postcards? I thought there wouldn't be any. response:	The first one...
context: - I'm borrowing your key! - I feel like you'll just stand out a lot!\20 Minutes Later\I-I'm back...\Can't look him in the eye\Um... Y-You got New Year's postcards.\T-Two of them.\I got postcards? I thought there wouldn't be any.\The first one... response:	Happy New Year
context: 20 Minutes Later\I-I'm back...\Can't look him in the eye\Um... Y-You got New Year's postcards.\T-Two of them.\I got postcards? I thought there wouldn't be any.\The first one...\Happy New Year response:	It's Bodoro!
context: I-I'm back...\Can't look him in the eye\Um... Y-You got New Year's postcards.\T-Two of them.\I got postcards? I thought there wouldn't be any.\The first one...\Happy New Year\It's Bodoro! response:	What kind of cottage is that? A palace?
context: Can't look him in the eye\Um... Y-You got New Year's postcards.\T-Two of them.\I got postcards? I thought there wouldn't be any.\The first one...\Happy New Year\It's Bodoro!\What kind of cottage is that? A palace? response:	A hot air balloon? Pasted with CG?
context: Um... Y-You got New Year's postcards.\T-Two of them.\I got postcards? I thought there wouldn't be any.\The first one...\Happy New Year\It's Bodoro!\What kind of cottage is that? A palace?\A hot air balloon? Pasted with CG? response:	Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou
context: T-Two of them.\I got postcards? I thought there wouldn't be any.\The first one...\Happy New Year\It's Bodoro!\What kind of cottage is that? A palace?\A hot air balloon? Pasted with CG?\Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou response:	Wait, it's really flying!
context: I got postcards? I thought there wouldn't be any.\The first one...\Happy New Year\It's Bodoro!\What kind of cottage is that? A palace?\A hot air balloon? Pasted with CG?\Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou\Wait, it's really flying! response:	And this other one?
context: The first one...\Happy New Year\It's Bodoro!\What kind of cottage is that? A palace?\A hot air balloon? Pasted with CG?\Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou\Wait, it's really flying!\And this other one? response:	Ba-Baam
context: Happy New Year\It's Bodoro!\What kind of cottage is that? A palace?\A hot air balloon? Pasted with CG?\Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou\Wait, it's really flying!\And this other one?\Ba-Baam response:	Japan Shogi Association
context: It's Bodoro!\What kind of cottage is that? A palace?\A hot air balloon? Pasted with CG?\Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou\Wait, it's really flying!\And this other one?\Ba-Baam\Japan Shogi Association response:	Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster,
context: What kind of cottage is that? A palace?\A hot air balloon? Pasted with CG?\Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou\Wait, it's really flying!\And this other one?\Ba-Baam\Japan Shogi Association\Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster, response:	Chairman... Um... What about shogi?
context: A hot air balloon? Pasted with CG?\Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou\Wait, it's really flying!\And this other one?\Ba-Baam\Japan Shogi Association\Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster,\Chairman... Um... What about shogi? response:	Sailfish? Malaysia?
context: Kiriyama!! I'm looking forward to the day we can battle each other in C1!! - Nikaidou\Wait, it's really flying!\And this other one?\Ba-Baam\Japan Shogi Association\Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster,\Chairman... Um... What about shogi?\Sailfish? Malaysia? response:	Who is that person?
context: Wait, it's really flying!\And this other one?\Ba-Baam\Japan Shogi Association\Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster,\Chairman... Um... What about shogi?\Sailfish? Malaysia?\Who is that person? response:	- Looks like he did it. - A fisherman?
context: And this other one?\Ba-Baam\Japan Shogi Association\Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster,\Chairman... Um... What about shogi?\Sailfish? Malaysia?\Who is that person?\- Looks like he did it. - A fisherman? response:	I'll say this. He was a strong player.
context: Ba-Baam\Japan Shogi Association\Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster,\Chairman... Um... What about shogi?\Sailfish? Malaysia?\Who is that person?\- Looks like he did it. - A fisherman?\I'll say this. He was a strong player. response:	Although he's always been a bit strange.
context: Japan Shogi Association\Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster,\Chairman... Um... What about shogi?\Sailfish? Malaysia?\Who is that person?\- Looks like he did it. - A fisherman?\I'll say this. He was a strong player.\Although he's always been a bit strange. response:	But still, he served as a master for seven seasons.
