context: He is perfect. response:	He worked hard to stay that way.
context: Three months have passed since I met Miyazawa.\The first month was a one-sided love...\I should've been able to change, being with Miyazawa.\But I haven't really changed much, after all.\I keep suppressing my feelings.\Reason always comes before my emotions.\Sure, I'm human,\so occasionally I get emotional, but... response:	I always end up sealing those emotions away.
context: The first month was a one-sided love...\I should've been able to change, being with Miyazawa.\But I haven't really changed much, after all.\I keep suppressing my feelings.\Reason always comes before my emotions.\Sure, I'm human,\so occasionally I get emotional, but...\I always end up sealing those emotions away. response:	My emotions have a door,
context: I should've been able to change, being with Miyazawa.\But I haven't really changed much, after all.\I keep suppressing my feelings.\Reason always comes before my emotions.\Sure, I'm human,\so occasionally I get emotional, but...\I always end up sealing those emotions away.\My emotions have a door, response:	and I can never open it.
context: But I haven't really changed much, after all.\I keep suppressing my feelings.\Reason always comes before my emotions.\Sure, I'm human,\so occasionally I get emotional, but...\I always end up sealing those emotions away.\My emotions have a door,\and I can never open it. response:	It felt like only you keep changing...
context: I keep suppressing my feelings.\Reason always comes before my emotions.\Sure, I'm human,\so occasionally I get emotional, but...\I always end up sealing those emotions away.\My emotions have a door,\and I can never open it.\It felt like only you keep changing... response:	to keep up with you anymore.
context: Reason always comes before my emotions.\Sure, I'm human,\so occasionally I get emotional, but...\I always end up sealing those emotions away.\My emotions have a door,\and I can never open it.\It felt like only you keep changing...\to keep up with you anymore. response:	I'm sorry, Arima.
context: Sure, I'm human,\so occasionally I get emotional, but...\I always end up sealing those emotions away.\My emotions have a door,\and I can never open it.\It felt like only you keep changing...\to keep up with you anymore.\I'm sorry, Arima. response:	I've got student council business today, so I can't walk home with you.
context: so occasionally I get emotional, but...\I always end up sealing those emotions away.\My emotions have a door,\and I can never open it.\It felt like only you keep changing...\to keep up with you anymore.\I'm sorry, Arima.\I've got student council business today, so I can't walk home with you. response:	That's okay.
context: I always end up sealing those emotions away.\My emotions have a door,\and I can never open it.\It felt like only you keep changing...\to keep up with you anymore.\I'm sorry, Arima.\I've got student council business today, so I can't walk home with you.\That's okay. response:	I'm really sorry.
context: My emotions have a door,\and I can never open it.\It felt like only you keep changing...\to keep up with you anymore.\I'm sorry, Arima.\I've got student council business today, so I can't walk home with you.\That's okay.\I'm really sorry. response:	Let's walk home together tomorrow, okay?
context: and I can never open it.\It felt like only you keep changing...\to keep up with you anymore.\I'm sorry, Arima.\I've got student council business today, so I can't walk home with you.\That's okay.\I'm really sorry.\Let's walk home together tomorrow, okay? response:	I'll wait for you, even if you'll be late.
context: It felt like only you keep changing...\to keep up with you anymore.\I'm sorry, Arima.\I've got student council business today, so I can't walk home with you.\That's okay.\I'm really sorry.\Let's walk home together tomorrow, okay?\I'll wait for you, even if you'll be late. response:	Okay.
context: to keep up with you anymore.\I'm sorry, Arima.\I've got student council business today, so I can't walk home with you.\That's okay.\I'm really sorry.\Let's walk home together tomorrow, okay?\I'll wait for you, even if you'll be late.\Okay. response:	Dinnertime!
context: I'm sorry, Arima.\I've got student council business today, so I can't walk home with you.\That's okay.\I'm really sorry.\Let's walk home together tomorrow, okay?\I'll wait for you, even if you'll be late.\Okay.\Dinnertime! response:	Hey, Sis, how far have you gone with your boyfriend?
context: I've got student council business today, so I can't walk home with you.\That's okay.\I'm really sorry.\Let's walk home together tomorrow, okay?\I'll wait for you, even if you'll be late.\Okay.\Dinnertime!\Hey, Sis, how far have you gone with your boyfriend? response:	It's all too early for high school students!
context: That's okay.\I'm really sorry.\Let's walk home together tomorrow, okay?\I'll wait for you, even if you'll be late.\Okay.\Dinnertime!\Hey, Sis, how far have you gone with your boyfriend?\It's all too early for high school students! response:	Daddy, you're behind the times.
context: I'm really sorry.\Let's walk home together tomorrow, okay?\I'll wait for you, even if you'll be late.\Okay.\Dinnertime!\Hey, Sis, how far have you gone with your boyfriend?\It's all too early for high school students!\Daddy, you're behind the times. response:	With high school students these days, anything goes.
context: Let's walk home together tomorrow, okay?\I'll wait for you, even if you'll be late.\Okay.\Dinnertime!\Hey, Sis, how far have you gone with your boyfriend?\It's all too early for high school students!\Daddy, you're behind the times.\With high school students these days, anything goes. response:	Yeah. Anything *My daughter, of all people.*
context: I'll wait for you, even if you'll be late.\Okay.\Dinnertime!\Hey, Sis, how far have you gone with your boyfriend?\It's all too early for high school students!\Daddy, you're behind the times.\With high school students these days, anything goes.\Yeah. Anything *My daughter, of all people.* response:	Don't tell our daughters such things *When I was young, necking was the most we did!*
context: Okay.\Dinnertime!\Hey, Sis, how far have you gone with your boyfriend?\It's all too early for high school students!\Daddy, you're behind the times.\With high school students these days, anything goes.\Yeah. Anything *My daughter, of all people.*\Don't tell our daughters such things *When I was young, necking was the most we did!* response:	Dear, times have changed. *When I was young, necking was the most we did!*
context: Dinnertime!\Hey, Sis, how far have you gone with your boyfriend?\It's all too early for high school students!\Daddy, you're behind the times.\With high school students these days, anything goes.\Yeah. Anything *My daughter, of all people.*\Don't tell our daughters such things *When I was young, necking was the most we did!*\Dear, times have changed. *When I was young, necking was the most we did!* response:	Even you...
context: Hey, Sis, how far have you gone with your boyfriend?\It's all too early for high school students!\Daddy, you're behind the times.\With high school students these days, anything goes.\Yeah. Anything *My daughter, of all people.*\Don't tell our daughters such things *When I was young, necking was the most we did!*\Dear, times have changed. *When I was young, necking was the most we did!*\Even you... response:	So, how's it going?
context: It's all too early for high school students!\Daddy, you're behind the times.\With high school students these days, anything goes.\Yeah. Anything *My daughter, of all people.*\Don't tell our daughters such things *When I was young, necking was the most we did!*\Dear, times have changed. *When I was young, necking was the most we did!*\Even you...\So, how's it going? response:	With your boyfriend?
context: Daddy, you're behind the times.\With high school students these days, anything goes.\Yeah. Anything *My daughter, of all people.*\Don't tell our daughters such things *When I was young, necking was the most we did!*\Dear, times have changed. *When I was young, necking was the most we did!*\Even you...\So, how's it going?\With your boyfriend? response:	Hmmm...
context: With high school students these days, anything goes.\Yeah. Anything *My daughter, of all people.*\Don't tell our daughters such things *When I was young, necking was the most we did!*\Dear, times have changed. *When I was young, necking was the most we did!*\Even you...\So, how's it going?\With your boyfriend?\Hmmm... response:	Thought as much.
context: Yeah. Anything *My daughter, of all people.*\Don't tell our daughters such things *When I was young, necking was the most we did!*\Dear, times have changed. *When I was young, necking was the most we did!*\Even you...\So, how's it going?\With your boyfriend?\Hmmm...\Thought as much. response:	How boring.
context: Don't tell our daughters such things *When I was young, necking was the most we did!*\Dear, times have changed. *When I was young, necking was the most we did!*\Even you...\So, how's it going?\With your boyfriend?\Hmmm...\Thought as much.\How boring. response:	The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet...
context: Dear, times have changed. *When I was young, necking was the most we did!*\Even you...\So, how's it going?\With your boyfriend?\Hmmm...\Thought as much.\How boring.\The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet... response:	Sis is the only one
context: Even you...\So, how's it going?\With your boyfriend?\Hmmm...\Thought as much.\How boring.\The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet...\Sis is the only one response:	going at her own pace.
context: So, how's it going?\With your boyfriend?\Hmmm...\Thought as much.\How boring.\The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet...\Sis is the only one\going at her own pace. response:	Maybe it's just because Yuki's out of sync with the world.
context: With your boyfriend?\Hmmm...\Thought as much.\How boring.\The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet...\Sis is the only one\going at her own pace.\Maybe it's just because Yuki's out of sync with the world. response:	I'm so worried.
context: Hmmm...\Thought as much.\How boring.\The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet...\Sis is the only one\going at her own pace.\Maybe it's just because Yuki's out of sync with the world.\I'm so worried. response:	Your father doesn't mind!
context: Thought as much.\How boring.\The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet...\Sis is the only one\going at her own pace.\Maybe it's just because Yuki's out of sync with the world.\I'm so worried.\Your father doesn't mind! response:	It's better if nothing's going on...
context: How boring.\The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet...\Sis is the only one\going at her own pace.\Maybe it's just because Yuki's out of sync with the world.\I'm so worried.\Your father doesn't mind!\It's better if nothing's going on... response:	It would've been so entertaining
context: The world's overflowing with the pleasures and sorrows of the couples mass-produced from the Athletics Festival, and yet...\Sis is the only one\going at her own pace.\Maybe it's just because Yuki's out of sync with the world.\I'm so worried.\Your father doesn't mind!\It's better if nothing's going on...\It would've been so entertaining response:	if she could cause a family discussion.
context: Sis is the only one\going at her own pace.\Maybe it's just because Yuki's out of sync with the world.\I'm so worried.\Your father doesn't mind!\It's better if nothing's going on...\It would've been so entertaining\if she could cause a family discussion. response:	She's not that resourceful.
context: going at her own pace.\Maybe it's just because Yuki's out of sync with the world.\I'm so worried.\Your father doesn't mind!\It's better if nothing's going on...\It would've been so entertaining\if she could cause a family discussion.\She's not that resourceful. response:	It's better that way,
context: Maybe it's just because Yuki's out of sync with the world.\I'm so worried.\Your father doesn't mind!\It's better if nothing's going on...\It would've been so entertaining\if she could cause a family discussion.\She's not that resourceful.\It's better that way, response:	better that way, Yukino.
context: I'm so worried.\Your father doesn't mind!\It's better if nothing's going on...\It would've been so entertaining\if she could cause a family discussion.\She's not that resourceful.\It's better that way,\better that way, Yukino. response:	Dear, could you pass me the soy sauce?
context: Your father doesn't mind!\It's better if nothing's going on...\It would've been so entertaining\if she could cause a family discussion.\She's not that resourceful.\It's better that way,\better that way, Yukino.\Dear, could you pass me the soy sauce? response:	I can't believe this family!
context: It's better if nothing's going on...\It would've been so entertaining\if she could cause a family discussion.\She's not that resourceful.\It's better that way,\better that way, Yukino.\Dear, could you pass me the soy sauce?\I can't believe this family! response:	By the way, Souichirou...
context: It would've been so entertaining\if she could cause a family discussion.\She's not that resourceful.\It's better that way,\better that way, Yukino.\Dear, could you pass me the soy sauce?\I can't believe this family!\By the way, Souichirou... response:	Yes?
context: if she could cause a family discussion.\She's not that resourceful.\It's better that way,\better that way, Yukino.\Dear, could you pass me the soy sauce?\I can't believe this family!\By the way, Souichirou...\Yes? response:	Well, never mind.
context: She's not that resourceful.\It's better that way,\better that way, Yukino.\Dear, could you pass me the soy sauce?\I can't believe this family!\By the way, Souichirou...\Yes?\Well, never mind. response:	Okay.
context: It's better that way,\better that way, Yukino.\Dear, could you pass me the soy sauce?\I can't believe this family!\By the way, Souichirou...\Yes?\Well, never mind.\Okay. response:	It's just like Kano said.
context: better that way, Yukino.\Dear, could you pass me the soy sauce?\I can't believe this family!\By the way, Souichirou...\Yes?\Well, never mind.\Okay.\It's just like Kano said. response:	All those couples
context: Dear, could you pass me the soy sauce?\I can't believe this family!\By the way, Souichirou...\Yes?\Well, never mind.\Okay.\It's just like Kano said.\All those couples response:	have disappeared.
context: I can't believe this family!\By the way, Souichirou...\Yes?\Well, never mind.\Okay.\It's just like Kano said.\All those couples\have disappeared. response:	The freshness guarantee only runs one month...
context: By the way, Souichirou...\Yes?\Well, never mind.\Okay.\It's just like Kano said.\All those couples\have disappeared.\The freshness guarantee only runs one month... response:	Nothing lasts more than one summer.
context: Yes?\Well, never mind.\Okay.\It's just like Kano said.\All those couples\have disappeared.\The freshness guarantee only runs one month...\Nothing lasts more than one summer. response:	For every meeting,
context: Well, never mind.\Okay.\It's just like Kano said.\All those couples\have disappeared.\The freshness guarantee only runs one month...\Nothing lasts more than one summer.\For every meeting, response:	I guess there has to be a parting.
context: Okay.\It's just like Kano said.\All those couples\have disappeared.\The freshness guarantee only runs one month...\Nothing lasts more than one summer.\For every meeting,\I guess there has to be a parting. response:	Ahh, where in the world is true love?
context: It's just like Kano said.\All those couples\have disappeared.\The freshness guarantee only runs one month...\Nothing lasts more than one summer.\For every meeting,\I guess there has to be a parting.\Ahh, where in the world is true love? response:	Hallo!
context: All those couples\have disappeared.\The freshness guarantee only runs one month...\Nothing lasts more than one summer.\For every meeting,\I guess there has to be a parting.\Ahh, where in the world is true love?\Hallo! response:	You're certainly a bargain-full of cheap love.
context: have disappeared.\The freshness guarantee only runs one month...\Nothing lasts more than one summer.\For every meeting,\I guess there has to be a parting.\Ahh, where in the world is true love?\Hallo!\You're certainly a bargain-full of cheap love. response:	Where in the world is Arima?
context: The freshness guarantee only runs one month...\Nothing lasts more than one summer.\For every meeting,\I guess there has to be a parting.\Ahh, where in the world is true love?\Hallo!\You're certainly a bargain-full of cheap love.\Where in the world is Arima? response:	Okay, five minute break.
context: Nothing lasts more than one summer.\For every meeting,\I guess there has to be a parting.\Ahh, where in the world is true love?\Hallo!\You're certainly a bargain-full of cheap love.\Where in the world is Arima?\Okay, five minute break. response:	I can't believe you!
context: For every meeting,\I guess there has to be a parting.\Ahh, where in the world is true love?\Hallo!\You're certainly a bargain-full of cheap love.\Where in the world is Arima?\Okay, five minute break.\I can't believe you! response:	Aw, c'mon.
context: I guess there has to be a parting.\Ahh, where in the world is true love?\Hallo!\You're certainly a bargain-full of cheap love.\Where in the world is Arima?\Okay, five minute break.\I can't believe you!\Aw, c'mon. response:	Year 1 Class A
context: Ahh, where in the world is true love?\Hallo!\You're certainly a bargain-full of cheap love.\Where in the world is Arima?\Okay, five minute break.\I can't believe you!\Aw, c'mon.\Year 1 Class A response:	Is Miyazawa really having fun being with me?
context: Hallo!\You're certainly a bargain-full of cheap love.\Where in the world is Arima?\Okay, five minute break.\I can't believe you!\Aw, c'mon.\Year 1 Class A\Is Miyazawa really having fun being with me? response:	Am I actually a good enough guy for her?
context: You're certainly a bargain-full of cheap love.\Where in the world is Arima?\Okay, five minute break.\I can't believe you!\Aw, c'mon.\Year 1 Class A\Is Miyazawa really having fun being with me?\Am I actually a good enough guy for her? response:	Oh, sorry. Did I wake you?
context: Where in the world is Arima?\Okay, five minute break.\I can't believe you!\Aw, c'mon.\Year 1 Class A\Is Miyazawa really having fun being with me?\Am I actually a good enough guy for her?\Oh, sorry. Did I wake you? response:	Was I asleep?
context: Okay, five minute break.\I can't believe you!\Aw, c'mon.\Year 1 Class A\Is Miyazawa really having fun being with me?\Am I actually a good enough guy for her?\Oh, sorry. Did I wake you?\Was I asleep? response:	Yeah.
context: I can't believe you!\Aw, c'mon.\Year 1 Class A\Is Miyazawa really having fun being with me?\Am I actually a good enough guy for her?\Oh, sorry. Did I wake you?\Was I asleep?\Yeah. response:	That's right. I'm supposed to walk home with you today.
context: Aw, c'mon.\Year 1 Class A\Is Miyazawa really having fun being with me?\Am I actually a good enough guy for her?\Oh, sorry. Did I wake you?\Was I asleep?\Yeah.\That's right. I'm supposed to walk home with you today. response:	Yeah, but I'm sorry for being late.
context: Year 1 Class A\Is Miyazawa really having fun being with me?\Am I actually a good enough guy for her?\Oh, sorry. Did I wake you?\Was I asleep?\Yeah.\That's right. I'm supposed to walk home with you today.\Yeah, but I'm sorry for being late. response:	Darn...And now it's raining.
context: Is Miyazawa really having fun being with me?\Am I actually a good enough guy for her?\Oh, sorry. Did I wake you?\Was I asleep?\Yeah.\That's right. I'm supposed to walk home with you today.\Yeah, but I'm sorry for being late.\Darn...And now it's raining. response:	This is the first time I've seen you sleeping.
context: Am I actually a good enough guy for her?\Oh, sorry. Did I wake you?\Was I asleep?\Yeah.\That's right. I'm supposed to walk home with you today.\Yeah, but I'm sorry for being late.\Darn...And now it's raining.\This is the first time I've seen you sleeping. response:	You look so neat, even when you're asleep.
context: Oh, sorry. Did I wake you?\Was I asleep?\Yeah.\That's right. I'm supposed to walk home with you today.\Yeah, but I'm sorry for being late.\Darn...And now it's raining.\This is the first time I've seen you sleeping.\You look so neat, even when you're asleep. response:	Really?
context: Was I asleep?\Yeah.\That's right. I'm supposed to walk home with you today.\Yeah, but I'm sorry for being late.\Darn...And now it's raining.\This is the first time I've seen you sleeping.\You look so neat, even when you're asleep.\Really? response:	Tsukino kicks around.
context: Yeah.\That's right. I'm supposed to walk home with you today.\Yeah, but I'm sorry for being late.\Darn...And now it's raining.\This is the first time I've seen you sleeping.\You look so neat, even when you're asleep.\Really?\Tsukino kicks around. response:	And Kano has these sad dreams sometimes and sobs in her sleep.
context: That's right. I'm supposed to walk home with you today.\Yeah, but I'm sorry for being late.\Darn...And now it's raining.\This is the first time I've seen you sleeping.\You look so neat, even when you're asleep.\Really?\Tsukino kicks around.\And Kano has these sad dreams sometimes and sobs in her sleep. response:	It's so cute.
context: Yeah, but I'm sorry for being late.\Darn...And now it's raining.\This is the first time I've seen you sleeping.\You look so neat, even when you're asleep.\Really?\Tsukino kicks around.\And Kano has these sad dreams sometimes and sobs in her sleep.\It's so cute. response:	Rain, huh?
context: Darn...And now it's raining.\This is the first time I've seen you sleeping.\You look so neat, even when you're asleep.\Really?\Tsukino kicks around.\And Kano has these sad dreams sometimes and sobs in her sleep.\It's so cute.\Rain, huh? response:	Got an umbrella?
context: This is the first time I've seen you sleeping.\You look so neat, even when you're asleep.\Really?\Tsukino kicks around.\And Kano has these sad dreams sometimes and sobs in her sleep.\It's so cute.\Rain, huh?\Got an umbrella? response:	Nope.
context: You look so neat, even when you're asleep.\Really?\Tsukino kicks around.\And Kano has these sad dreams sometimes and sobs in her sleep.\It's so cute.\Rain, huh?\Got an umbrella?\Nope. response:	Me neither.
context: Really?\Tsukino kicks around.\And Kano has these sad dreams sometimes and sobs in her sleep.\It's so cute.\Rain, huh?\Got an umbrella?\Nope.\Me neither. response:	What should we do?
context: Tsukino kicks around.\And Kano has these sad dreams sometimes and sobs in her sleep.\It's so cute.\Rain, huh?\Got an umbrella?\Nope.\Me neither.\What should we do? response:	Let's wait around a bit.
context: And Kano has these sad dreams sometimes and sobs in her sleep.\It's so cute.\Rain, huh?\Got an umbrella?\Nope.\Me neither.\What should we do?\Let's wait around a bit. response:	School feels so nice after everyone's gone home.
context: It's so cute.\Rain, huh?\Got an umbrella?\Nope.\Me neither.\What should we do?\Let's wait around a bit.\School feels so nice after everyone's gone home. response:	Most people would say it's creepy.
context: Rain, huh?\Got an umbrella?\Nope.\Me neither.\What should we do?\Let's wait around a bit.\School feels so nice after everyone's gone home.\Most people would say it's creepy. response:	Did you wait for me to wake up?
context: Got an umbrella?\Nope.\Me neither.\What should we do?\Let's wait around a bit.\School feels so nice after everyone's gone home.\Most people would say it's creepy.\Did you wait for me to wake up? response:	You should've just woken me.
context: Nope.\Me neither.\What should we do?\Let's wait around a bit.\School feels so nice after everyone's gone home.\Most people would say it's creepy.\Did you wait for me to wake up?\You should've just woken me. response:	But you were sleeping so soundly.
context: Me neither.\What should we do?\Let's wait around a bit.\School feels so nice after everyone's gone home.\Most people would say it's creepy.\Did you wait for me to wake up?\You should've just woken me.\But you were sleeping so soundly. response:	You're so busy with committees and practice and all.
context: What should we do?\Let's wait around a bit.\School feels so nice after everyone's gone home.\Most people would say it's creepy.\Did you wait for me to wake up?\You should've just woken me.\But you were sleeping so soundly.\You're so busy with committees and practice and all. response:	We don't see that much of each other,
context: Let's wait around a bit.\School feels so nice after everyone's gone home.\Most people would say it's creepy.\Did you wait for me to wake up?\You should've just woken me.\But you were sleeping so soundly.\You're so busy with committees and practice and all.\We don't see that much of each other, response:	so I just wanted to be with you.
context: School feels so nice after everyone's gone home.\Most people would say it's creepy.\Did you wait for me to wake up?\You should've just woken me.\But you were sleeping so soundly.\You're so busy with committees and practice and all.\We don't see that much of each other,\so I just wanted to be with you. response:	I know that...
context: Most people would say it's creepy.\Did you wait for me to wake up?\You should've just woken me.\But you were sleeping so soundly.\You're so busy with committees and practice and all.\We don't see that much of each other,\so I just wanted to be with you.\I know that... response:	I know that she only
context: Did you wait for me to wake up?\You should've just woken me.\But you were sleeping so soundly.\You're so busy with committees and practice and all.\We don't see that much of each other,\so I just wanted to be with you.\I know that...\I know that she only response:	smiles like this around me.
context: You should've just woken me.\But you were sleeping so soundly.\You're so busy with committees and practice and all.\We don't see that much of each other,\so I just wanted to be with you.\I know that...\I know that she only\smiles like this around me. response:	Miyazawa, you're like a little puppy.
context: But you were sleeping so soundly.\You're so busy with committees and practice and all.\We don't see that much of each other,\so I just wanted to be with you.\I know that...\I know that she only\smiles like this around me.\Miyazawa, you're like a little puppy. response:	Yeah.
context: You're so busy with committees and practice and all.\We don't see that much of each other,\so I just wanted to be with you.\I know that...\I know that she only\smiles like this around me.\Miyazawa, you're like a little puppy.\Yeah. response:	I've always been an older sister, and I've been putting on appearances by myself for so long...
context: We don't see that much of each other,\so I just wanted to be with you.\I know that...\I know that she only\smiles like this around me.\Miyazawa, you're like a little puppy.\Yeah.\I've always been an older sister, and I've been putting on appearances by myself for so long... response:	It feels really good.
context: so I just wanted to be with you.\I know that...\I know that she only\smiles like this around me.\Miyazawa, you're like a little puppy.\Yeah.\I've always been an older sister, and I've been putting on appearances by myself for so long...\It feels really good. response:	But I don't think I want anyone besides you to take care of me.
context: I know that...\I know that she only\smiles like this around me.\Miyazawa, you're like a little puppy.\Yeah.\I've always been an older sister, and I've been putting on appearances by myself for so long...\It feels really good.\But I don't think I want anyone besides you to take care of me. response:	I want to be with you...
context: I know that she only\smiles like this around me.\Miyazawa, you're like a little puppy.\Yeah.\I've always been an older sister, and I've been putting on appearances by myself for so long...\It feels really good.\But I don't think I want anyone besides you to take care of me.\I want to be with you... response:	I want to be with you...
context: smiles like this around me.\Miyazawa, you're like a little puppy.\Yeah.\I've always been an older sister, and I've been putting on appearances by myself for so long...\It feels really good.\But I don't think I want anyone besides you to take care of me.\I want to be with you...\I want to be with you... response:	I want to be with you...
context: Miyazawa, you're like a little puppy.\Yeah.\I've always been an older sister, and I've been putting on appearances by myself for so long...\It feels really good.\But I don't think I want anyone besides you to take care of me.\I want to be with you...\I want to be with you...\I want to be with you... response:	I want to be with you...
context: Yeah.\I've always been an older sister, and I've been putting on appearances by myself for so long...\It feels really good.\But I don't think I want anyone besides you to take care of me.\I want to be with you...\I want to be with you...\I want to be with you...\I want to be with you... response:	Was that lightning just now?
context: I've always been an older sister, and I've been putting on appearances by myself for so long...\It feels really good.\But I don't think I want anyone besides you to take care of me.\I want to be with you...\I want to be with you...\I want to be with you...\I want to be with you...\Was that lightning just now? response:	Yeah, it was.
context: It feels really good.\But I don't think I want anyone besides you to take care of me.\I want to be with you...\I want to be with you...\I want to be with you...\I want to be with you...\Was that lightning just now?\Yeah, it was. response:	Oh...umm...
context: But I don't think I want anyone besides you to take care of me.\I want to be with you...\I want to be with you...\I want to be with you...\I want to be with you...\Was that lightning just now?\Yeah, it was.\Oh...umm... response:	Sorry, I'll go cool my head off.
context: I want to be with you...\I want to be with you...\I want to be with you...\I want to be with you...\Was that lightning just now?\Yeah, it was.\Oh...umm...\Sorry, I'll go cool my head off. response:	Oh no, this music! This intro is...!
context: I want to be with you...\I want to be with you...\I want to be with you...\Was that lightning just now?\Yeah, it was.\Oh...umm...\Sorry, I'll go cool my head off.\Oh no, this music! This intro is...! response:	Why do I have this song running through my head at a critical time like this?!
context: I want to be with you...\I want to be with you...\Was that lightning just now?\Yeah, it was.\Oh...umm...\Sorry, I'll go cool my head off.\Oh no, this music! This intro is...!\Why do I have this song running through my head at a critical time like this?! response:	It won't stop ringing in my ears!
context: I want to be with you...\Was that lightning just now?\Yeah, it was.\Oh...umm...\Sorry, I'll go cool my head off.\Oh no, this music! This intro is...!\Why do I have this song running through my head at a critical time like this?!\It won't stop ringing in my ears! response:	The refrain just keeps going!
context: Was that lightning just now?\Yeah, it was.\Oh...umm...\Sorry, I'll go cool my head off.\Oh no, this music! This intro is...!\Why do I have this song running through my head at a critical time like this?!\It won't stop ringing in my ears!\The refrain just keeps going! response:	The song won't get out of my head!
context: Yeah, it was.\Oh...umm...\Sorry, I'll go cool my head off.\Oh no, this music! This intro is...!\Why do I have this song running through my head at a critical time like this?!\It won't stop ringing in my ears!\The refrain just keeps going!\The song won't get out of my head! response:	I can't stand it!
context: Oh...umm...\Sorry, I'll go cool my head off.\Oh no, this music! This intro is...!\Why do I have this song running through my head at a critical time like this?!\It won't stop ringing in my ears!\The refrain just keeps going!\The song won't get out of my head!\I can't stand it! response:	It's awful! It's awful! I can't stand it!
context: Sorry, I'll go cool my head off.\Oh no, this music! This intro is...!\Why do I have this song running through my head at a critical time like this?!\It won't stop ringing in my ears!\The refrain just keeps going!\The song won't get out of my head!\I can't stand it!\It's awful! It's awful! I can't stand it! response:	What have I done?
context: Oh no, this music! This intro is...!\Why do I have this song running through my head at a critical time like this?!\It won't stop ringing in my ears!\The refrain just keeps going!\The song won't get out of my head!\I can't stand it!\It's awful! It's awful! I can't stand it!\What have I done? response:	I've done something indecent.
context: Why do I have this song running through my head at a critical time like this?!\It won't stop ringing in my ears!\The refrain just keeps going!\The song won't get out of my head!\I can't stand it!\It's awful! It's awful! I can't stand it!\What have I done?\I've done something indecent. response:	What the hell have I done?!
context: It won't stop ringing in my ears!\The refrain just keeps going!\The song won't get out of my head!\I can't stand it!\It's awful! It's awful! I can't stand it!\What have I done?\I've done something indecent.\What the hell have I done?! response:	Now what? How should I face Miyazawa...?
context: The refrain just keeps going!\The song won't get out of my head!\I can't stand it!\It's awful! It's awful! I can't stand it!\What have I done?\I've done something indecent.\What the hell have I done?!\Now what? How should I face Miyazawa...? response:	What do I do?!
context: The song won't get out of my head!\I can't stand it!\It's awful! It's awful! I can't stand it!\What have I done?\I've done something indecent.\What the hell have I done?!\Now what? How should I face Miyazawa...?\What do I do?! response:	I just remembered what I was going to say back then.
context: I can't stand it!\It's awful! It's awful! I can't stand it!\What have I done?\I've done something indecent.\What the hell have I done?!\Now what? How should I face Miyazawa...?\What do I do?!\I just remembered what I was going to say back then. response:	I was saying I didn't want anyone besides you to take care of me.
context: It's awful! It's awful! I can't stand it!\What have I done?\I've done something indecent.\What the hell have I done?!\Now what? How should I face Miyazawa...?\What do I do?!\I just remembered what I was going to say back then.\I was saying I didn't want anyone besides you to take care of me. response:	Oh, right.
context: What have I done?\I've done something indecent.\What the hell have I done?!\Now what? How should I face Miyazawa...?\What do I do?!\I just remembered what I was going to say back then.\I was saying I didn't want anyone besides you to take care of me.\Oh, right. response:	You can let me take care of you, too.
context: I've done something indecent.\What the hell have I done?!\Now what? How should I face Miyazawa...?\What do I do?!\I just remembered what I was going to say back then.\I was saying I didn't want anyone besides you to take care of me.\Oh, right.\You can let me take care of you, too. response:	I was thinking that all those years up through middle school...
context: What the hell have I done?!\Now what? How should I face Miyazawa...?\What do I do?!\I just remembered what I was going to say back then.\I was saying I didn't want anyone besides you to take care of me.\Oh, right.\You can let me take care of you, too.\I was thinking that all those years up through middle school... response:	But maybe that's not true.
context: Now what? How should I face Miyazawa...?\What do I do?!\I just remembered what I was going to say back then.\I was saying I didn't want anyone besides you to take care of me.\Oh, right.\You can let me take care of you, too.\I was thinking that all those years up through middle school...\But maybe that's not true. response:	Maybe all the hard work
context: What do I do?!\I just remembered what I was going to say back then.\I was saying I didn't want anyone besides you to take care of me.\Oh, right.\You can let me take care of you, too.\I was thinking that all those years up through middle school...\But maybe that's not true.\Maybe all the hard work response:	has given me the strength to support you.
context: I just remembered what I was going to say back then.\I was saying I didn't want anyone besides you to take care of me.\Oh, right.\You can let me take care of you, too.\I was thinking that all those years up through middle school...\But maybe that's not true.\Maybe all the hard work\has given me the strength to support you. response:	Then those years will be redeemed.
context: I was saying I didn't want anyone besides you to take care of me.\Oh, right.\You can let me take care of you, too.\I was thinking that all those years up through middle school...\But maybe that's not true.\Maybe all the hard work\has given me the strength to support you.\Then those years will be redeemed. response:	You don't have to tough it out.
context: Oh, right.\You can let me take care of you, too.\I was thinking that all those years up through middle school...\But maybe that's not true.\Maybe all the hard work\has given me the strength to support you.\Then those years will be redeemed.\You don't have to tough it out. response:	It gets tiring to stand by yourself.
