context: I always wanted to try that! response:	No manners at all...
context: You are the only person who knows this stuff!\Show some backbone! Aren't you a man?!\Stop it, stop it!\I wonder if the boys will be okay?\Is it me, or has it gotten colder?\It's gonna get worse.\Yeah, it's absolute zero outside.\Really? response:	Are you okay?
context: Show some backbone! Aren't you a man?!\Stop it, stop it!\I wonder if the boys will be okay?\Is it me, or has it gotten colder?\It's gonna get worse.\Yeah, it's absolute zero outside.\Really?\Are you okay? response:	We can't have you getting sick on us, not now.
context: Stop it, stop it!\I wonder if the boys will be okay?\Is it me, or has it gotten colder?\It's gonna get worse.\Yeah, it's absolute zero outside.\Really?\Are you okay?\We can't have you getting sick on us, not now. response:	We have just the thing!
context: I wonder if the boys will be okay?\Is it me, or has it gotten colder?\It's gonna get worse.\Yeah, it's absolute zero outside.\Really?\Are you okay?\We can't have you getting sick on us, not now.\We have just the thing! response:	We made it ourselves!
context: Is it me, or has it gotten colder?\It's gonna get worse.\Yeah, it's absolute zero outside.\Really?\Are you okay?\We can't have you getting sick on us, not now.\We have just the thing!\We made it ourselves! response:	Ultra Lifeform Gyaora!
context: It's gonna get worse.\Yeah, it's absolute zero outside.\Really?\Are you okay?\We can't have you getting sick on us, not now.\We have just the thing!\We made it ourselves!\Ultra Lifeform Gyaora! response:	Well? This look like the place?
context: Yeah, it's absolute zero outside.\Really?\Are you okay?\We can't have you getting sick on us, not now.\We have just the thing!\We made it ourselves!\Ultra Lifeform Gyaora!\Well? This look like the place? response:	It's probably... around here somewhere...
context: Really?\Are you okay?\We can't have you getting sick on us, not now.\We have just the thing!\We made it ourselves!\Ultra Lifeform Gyaora!\Well? This look like the place?\It's probably... around here somewhere... response:	That's the control panel, so it should be...
context: Are you okay?\We can't have you getting sick on us, not now.\We have just the thing!\We made it ourselves!\Ultra Lifeform Gyaora!\Well? This look like the place?\It's probably... around here somewhere...\That's the control panel, so it should be... response:	Thanks...
context: We can't have you getting sick on us, not now.\We have just the thing!\We made it ourselves!\Ultra Lifeform Gyaora!\Well? This look like the place?\It's probably... around here somewhere...\That's the control panel, so it should be...\Thanks... response:	Geez, you are one clumsy nerd...
context: We have just the thing!\We made it ourselves!\Ultra Lifeform Gyaora!\Well? This look like the place?\It's probably... around here somewhere...\That's the control panel, so it should be...\Thanks...\Geez, you are one clumsy nerd... response:	Sorry...
context: We made it ourselves!\Ultra Lifeform Gyaora!\Well? This look like the place?\It's probably... around here somewhere...\That's the control panel, so it should be...\Thanks...\Geez, you are one clumsy nerd...\Sorry... response:	Hold still, damn it!
context: Ultra Lifeform Gyaora!\Well? This look like the place?\It's probably... around here somewhere...\That's the control panel, so it should be...\Thanks...\Geez, you are one clumsy nerd...\Sorry...\Hold still, damn it! response:	I found it!
context: Well? This look like the place?\It's probably... around here somewhere...\That's the control panel, so it should be...\Thanks...\Geez, you are one clumsy nerd...\Sorry...\Hold still, damn it!\I found it! response:	Found it.
context: It's probably... around here somewhere...\That's the control panel, so it should be...\Thanks...\Geez, you are one clumsy nerd...\Sorry...\Hold still, damn it!\I found it!\Found it. response:	I can't believe it was down here...
context: That's the control panel, so it should be...\Thanks...\Geez, you are one clumsy nerd...\Sorry...\Hold still, damn it!\I found it!\Found it.\I can't believe it was down here... response:	Are we gonna die here?
context: Thanks...\Geez, you are one clumsy nerd...\Sorry...\Hold still, damn it!\I found it!\Found it.\I can't believe it was down here...\Are we gonna die here? response:	Don't talk like that!
context: Geez, you are one clumsy nerd...\Sorry...\Hold still, damn it!\I found it!\Found it.\I can't believe it was down here...\Are we gonna die here?\Don't talk like that! response:	But...
context: Sorry...\Hold still, damn it!\I found it!\Found it.\I can't believe it was down here...\Are we gonna die here?\Don't talk like that!\But... response:	Mom...
context: Hold still, damn it!\I found it!\Found it.\I can't believe it was down here...\Are we gonna die here?\Don't talk like that!\But...\Mom... response:	It'll be okay.
context: I found it!\Found it.\I can't believe it was down here...\Are we gonna die here?\Don't talk like that!\But...\Mom...\It'll be okay. response:	It'll be nice and warm soon, and your mom is
context: Found it.\I can't believe it was down here...\Are we gonna die here?\Don't talk like that!\But...\Mom...\It'll be okay.\It'll be nice and warm soon, and your mom is response:	Don't talk irresponsibly.
context: I can't believe it was down here...\Are we gonna die here?\Don't talk like that!\But...\Mom...\It'll be okay.\It'll be nice and warm soon, and your mom is\Don't talk irresponsibly. response:	When you get right down to it, you got us into this mess, didn't you?
context: Are we gonna die here?\Don't talk like that!\But...\Mom...\It'll be okay.\It'll be nice and warm soon, and your mom is\Don't talk irresponsibly.\When you get right down to it, you got us into this mess, didn't you? response:	Yeah! It's all because you said we should declare independence, Shoko!
context: Don't talk like that!\But...\Mom...\It'll be okay.\It'll be nice and warm soon, and your mom is\Don't talk irresponsibly.\When you get right down to it, you got us into this mess, didn't you?\Yeah! It's all because you said we should declare independence, Shoko! response:	It was insane to think we could found a country by ourselves.
context: But...\Mom...\It'll be okay.\It'll be nice and warm soon, and your mom is\Don't talk irresponsibly.\When you get right down to it, you got us into this mess, didn't you?\Yeah! It's all because you said we should declare independence, Shoko!\It was insane to think we could found a country by ourselves. response:	That is...
context: Mom...\It'll be okay.\It'll be nice and warm soon, and your mom is\Don't talk irresponsibly.\When you get right down to it, you got us into this mess, didn't you?\Yeah! It's all because you said we should declare independence, Shoko!\It was insane to think we could found a country by ourselves.\That is... response:	Are you idiots?
context: It'll be okay.\It'll be nice and warm soon, and your mom is\Don't talk irresponsibly.\When you get right down to it, you got us into this mess, didn't you?\Yeah! It's all because you said we should declare independence, Shoko!\It was insane to think we could found a country by ourselves.\That is...\Are you idiots? response:	You just went with the flow.
context: It'll be nice and warm soon, and your mom is\Don't talk irresponsibly.\When you get right down to it, you got us into this mess, didn't you?\Yeah! It's all because you said we should declare independence, Shoko!\It was insane to think we could found a country by ourselves.\That is...\Are you idiots?\You just went with the flow. response:	It's your fault too.
context: Don't talk irresponsibly.\When you get right down to it, you got us into this mess, didn't you?\Yeah! It's all because you said we should declare independence, Shoko!\It was insane to think we could found a country by ourselves.\That is...\Are you idiots?\You just went with the flow.\It's your fault too. response:	What was that?!
context: When you get right down to it, you got us into this mess, didn't you?\Yeah! It's all because you said we should declare independence, Shoko!\It was insane to think we could found a country by ourselves.\That is...\Are you idiots?\You just went with the flow.\It's your fault too.\What was that?! response:	Sewing Room.Writing on the desks and food and drink are strictly prohibited.
context: Yeah! It's all because you said we should declare independence, Shoko!\It was insane to think we could found a country by ourselves.\That is...\Are you idiots?\You just went with the flow.\It's your fault too.\What was that?!\Sewing Room.Writing on the desks and food and drink are strictly prohibited. response:	You're almost all the way in!
context: It was insane to think we could found a country by ourselves.\That is...\Are you idiots?\You just went with the flow.\It's your fault too.\What was that?!\Sewing Room.Writing on the desks and food and drink are strictly prohibited.\You're almost all the way in! response:	And... got it!
context: That is...\Are you idiots?\You just went with the flow.\It's your fault too.\What was that?!\Sewing Room.Writing on the desks and food and drink are strictly prohibited.\You're almost all the way in!\And... got it! response:	You're in!
context: Are you idiots?\You just went with the flow.\It's your fault too.\What was that?!\Sewing Room.Writing on the desks and food and drink are strictly prohibited.\You're almost all the way in!\And... got it!\You're in! response:	It smells...
context: You just went with the flow.\It's your fault too.\What was that?!\Sewing Room.Writing on the desks and food and drink are strictly prohibited.\You're almost all the way in!\And... got it!\You're in!\It smells... response:	But at least it's warm.
context: It's your fault too.\What was that?!\Sewing Room.Writing on the desks and food and drink are strictly prohibited.\You're almost all the way in!\And... got it!\You're in!\It smells...\But at least it's warm. response:	Stop it! Miss Rukino didn't mean anything by it!
context: What was that?!\Sewing Room.Writing on the desks and food and drink are strictly prohibited.\You're almost all the way in!\And... got it!\You're in!\It smells...\But at least it's warm.\Stop it! Miss Rukino didn't mean anything by it! response:	She should watch her tone when addressing an upperclassman!
context: Sewing Room.Writing on the desks and food and drink are strictly prohibited.\You're almost all the way in!\And... got it!\You're in!\It smells...\But at least it's warm.\Stop it! Miss Rukino didn't mean anything by it!\She should watch her tone when addressing an upperclassman! response:	Does her being a former entertainer make her a bigshot?
context: You're almost all the way in!\And... got it!\You're in!\It smells...\But at least it's warm.\Stop it! Miss Rukino didn't mean anything by it!\She should watch her tone when addressing an upperclassman!\Does her being a former entertainer make her a bigshot? response:	What's going on out here?
context: And... got it!\You're in!\It smells...\But at least it's warm.\Stop it! Miss Rukino didn't mean anything by it!\She should watch her tone when addressing an upperclassman!\Does her being a former entertainer make her a bigshot?\What's going on out here? response:	Haruto!
context: You're in!\It smells...\But at least it's warm.\Stop it! Miss Rukino didn't mean anything by it!\She should watch her tone when addressing an upperclassman!\Does her being a former entertainer make her a bigshot?\What's going on out here?\Haruto! response:	Calm down, please.
context: It smells...\But at least it's warm.\Stop it! Miss Rukino didn't mean anything by it!\She should watch her tone when addressing an upperclassman!\Does her being a former entertainer make her a bigshot?\What's going on out here?\Haruto!\Calm down, please. response:	This is no time to be fighting amongst
context: But at least it's warm.\Stop it! Miss Rukino didn't mean anything by it!\She should watch her tone when addressing an upperclassman!\Does her being a former entertainer make her a bigshot?\What's going on out here?\Haruto!\Calm down, please.\This is no time to be fighting amongst response:	You be quiet, Satomi!
context: Stop it! Miss Rukino didn't mean anything by it!\She should watch her tone when addressing an upperclassman!\Does her being a former entertainer make her a bigshot?\What's going on out here?\Haruto!\Calm down, please.\This is no time to be fighting amongst\You be quiet, Satomi! response:	Yes, ma'am!
context: She should watch her tone when addressing an upperclassman!\Does her being a former entertainer make her a bigshot?\What's going on out here?\Haruto!\Calm down, please.\This is no time to be fighting amongst\You be quiet, Satomi!\Yes, ma'am! response:	Don't address the student council president in such a familiar manner!
context: Does her being a former entertainer make her a bigshot?\What's going on out here?\Haruto!\Calm down, please.\This is no time to be fighting amongst\You be quiet, Satomi!\Yes, ma'am!\Don't address the student council president in such a familiar manner! response:	Then you call him that, too. Call him Satomi.
context: What's going on out here?\Haruto!\Calm down, please.\This is no time to be fighting amongst\You be quiet, Satomi!\Yes, ma'am!\Don't address the student council president in such a familiar manner!\Then you call him that, too. Call him Satomi. response:	As I thought, it's useless.
context: Haruto!\Calm down, please.\This is no time to be fighting amongst\You be quiet, Satomi!\Yes, ma'am!\Don't address the student council president in such a familiar manner!\Then you call him that, too. Call him Satomi.\As I thought, it's useless. response:	What are you doing?!
context: Calm down, please.\This is no time to be fighting amongst\You be quiet, Satomi!\Yes, ma'am!\Don't address the student council president in such a familiar manner!\Then you call him that, too. Call him Satomi.\As I thought, it's useless.\What are you doing?! response:	How much longer, damn it?
context: This is no time to be fighting amongst\You be quiet, Satomi!\Yes, ma'am!\Don't address the student council president in such a familiar manner!\Then you call him that, too. Call him Satomi.\As I thought, it's useless.\What are you doing?!\How much longer, damn it? response:	Sorry. Almost done.
context: You be quiet, Satomi!\Yes, ma'am!\Don't address the student council president in such a familiar manner!\Then you call him that, too. Call him Satomi.\As I thought, it's useless.\What are you doing?!\How much longer, damn it?\Sorry. Almost done. response:	Hey, I think your gunshot wound might still be
context: Yes, ma'am!\Don't address the student council president in such a familiar manner!\Then you call him that, too. Call him Satomi.\As I thought, it's useless.\What are you doing?!\How much longer, damn it?\Sorry. Almost done.\Hey, I think your gunshot wound might still be response:	Just do your job!
context: Don't address the student council president in such a familiar manner!\Then you call him that, too. Call him Satomi.\As I thought, it's useless.\What are you doing?!\How much longer, damn it?\Sorry. Almost done.\Hey, I think your gunshot wound might still be\Just do your job! response:	Everybody out there is gonna freeze to death, right?
context: Then you call him that, too. Call him Satomi.\As I thought, it's useless.\What are you doing?!\How much longer, damn it?\Sorry. Almost done.\Hey, I think your gunshot wound might still be\Just do your job!\Everybody out there is gonna freeze to death, right? response:	I don't want any more of my classmates to die on me!
context: As I thought, it's useless.\What are you doing?!\How much longer, damn it?\Sorry. Almost done.\Hey, I think your gunshot wound might still be\Just do your job!\Everybody out there is gonna freeze to death, right?\I don't want any more of my classmates to die on me! response:	This is against school rules!
context: What are you doing?!\How much longer, damn it?\Sorry. Almost done.\Hey, I think your gunshot wound might still be\Just do your job!\Everybody out there is gonna freeze to death, right?\I don't want any more of my classmates to die on me!\This is against school rules! response:	Shut up!
context: How much longer, damn it?\Sorry. Almost done.\Hey, I think your gunshot wound might still be\Just do your job!\Everybody out there is gonna freeze to death, right?\I don't want any more of my classmates to die on me!\This is against school rules!\Shut up! response:	Senpai!
context: Sorry. Almost done.\Hey, I think your gunshot wound might still be\Just do your job!\Everybody out there is gonna freeze to death, right?\I don't want any more of my classmates to die on me!\This is against school rules!\Shut up!\Senpai! response:	You're the cause of all this!
context: Hey, I think your gunshot wound might still be\Just do your job!\Everybody out there is gonna freeze to death, right?\I don't want any more of my classmates to die on me!\This is against school rules!\Shut up!\Senpai!\You're the cause of all this! response:	Please stop this!
context: Just do your job!\Everybody out there is gonna freeze to death, right?\I don't want any more of my classmates to die on me!\This is against school rules!\Shut up!\Senpai!\You're the cause of all this!\Please stop this! response:	Yeah!
context: Everybody out there is gonna freeze to death, right?\I don't want any more of my classmates to die on me!\This is against school rules!\Shut up!\Senpai!\You're the cause of all this!\Please stop this!\Yeah! response:	Okay? Okay?
context: I don't want any more of my classmates to die on me!\This is against school rules!\Shut up!\Senpai!\You're the cause of all this!\Please stop this!\Yeah!\Okay? Okay? response:	Stop it!
context: This is against school rules!\Shut up!\Senpai!\You're the cause of all this!\Please stop this!\Yeah!\Okay? Okay?\Stop it! response:	What good is fighting going to do?
context: Shut up!\Senpai!\You're the cause of all this!\Please stop this!\Yeah!\Okay? Okay?\Stop it!\What good is fighting going to do? response:	Tokishima, let's
context: Senpai!\You're the cause of all this!\Please stop this!\Yeah!\Okay? Okay?\Stop it!\What good is fighting going to do?\Tokishima, let's response:	Now, when the whole world is our enemy!
context: You're the cause of all this!\Please stop this!\Yeah!\Okay? Okay?\Stop it!\What good is fighting going to do?\Tokishima, let's\Now, when the whole world is our enemy! response:	Let's step outside.
context: Please stop this!\Yeah!\Okay? Okay?\Stop it!\What good is fighting going to do?\Tokishima, let's\Now, when the whole world is our enemy!\Let's step outside. response:	I'll teach you some manners!
context: Yeah!\Okay? Okay?\Stop it!\What good is fighting going to do?\Tokishima, let's\Now, when the whole world is our enemy!\Let's step outside.\I'll teach you some manners! response:	Mob rule and violence, interesting manners you have here.
context: Okay? Okay?\Stop it!\What good is fighting going to do?\Tokishima, let's\Now, when the whole world is our enemy!\Let's step outside.\I'll teach you some manners!\Mob rule and violence, interesting manners you have here. response:	You're talking back to Takahi-senpai?
context: Stop it!\What good is fighting going to do?\Tokishima, let's\Now, when the whole world is our enemy!\Let's step outside.\I'll teach you some manners!\Mob rule and violence, interesting manners you have here.\You're talking back to Takahi-senpai? response:	Don't be so uppity, first-year!
context: What good is fighting going to do?\Tokishima, let's\Now, when the whole world is our enemy!\Let's step outside.\I'll teach you some manners!\Mob rule and violence, interesting manners you have here.\You're talking back to Takahi-senpai?\Don't be so uppity, first-year! response:	You're schoolmates!
context: Tokishima, let's\Now, when the whole world is our enemy!\Let's step outside.\I'll teach you some manners!\Mob rule and violence, interesting manners you have here.\You're talking back to Takahi-senpai?\Don't be so uppity, first-year!\You're schoolmates! response:	Hey, Tokishima!
context: Now, when the whole world is our enemy!\Let's step outside.\I'll teach you some manners!\Mob rule and violence, interesting manners you have here.\You're talking back to Takahi-senpai?\Don't be so uppity, first-year!\You're schoolmates!\Hey, Tokishima! response:	Let go of me!
context: Let's step outside.\I'll teach you some manners!\Mob rule and violence, interesting manners you have here.\You're talking back to Takahi-senpai?\Don't be so uppity, first-year!\You're schoolmates!\Hey, Tokishima!\Let go of me! response:	Violence doesn't scare me.
context: I'll teach you some manners!\Mob rule and violence, interesting manners you have here.\You're talking back to Takahi-senpai?\Don't be so uppity, first-year!\You're schoolmates!\Hey, Tokishima!\Let go of me!\Violence doesn't scare me. response:	Please, call it discipline.
context: Mob rule and violence, interesting manners you have here.\You're talking back to Takahi-senpai?\Don't be so uppity, first-year!\You're schoolmates!\Hey, Tokishima!\Let go of me!\Violence doesn't scare me.\Please, call it discipline. response:	What nerve!
context: You're talking back to Takahi-senpai?\Don't be so uppity, first-year!\You're schoolmates!\Hey, Tokishima!\Let go of me!\Violence doesn't scare me.\Please, call it discipline.\What nerve! response:	I said stop it!
context: Don't be so uppity, first-year!\You're schoolmates!\Hey, Tokishima!\Let go of me!\Violence doesn't scare me.\Please, call it discipline.\What nerve!\I said stop it! response:	Jingle bells, jingle bells jingle all the way... Yay!
context: You're schoolmates!\Hey, Tokishima!\Let go of me!\Violence doesn't scare me.\Please, call it discipline.\What nerve!\I said stop it!\Jingle bells, jingle bells jingle all the way... Yay! response:	There you go again, spouting crazy talk...
context: Hey, Tokishima!\Let go of me!\Violence doesn't scare me.\Please, call it discipline.\What nerve!\I said stop it!\Jingle bells, jingle bells jingle all the way... Yay!\There you go again, spouting crazy talk... response:	I thought that singing would warm our bodies and our souls!
context: Let go of me!\Violence doesn't scare me.\Please, call it discipline.\What nerve!\I said stop it!\Jingle bells, jingle bells jingle all the way... Yay!\There you go again, spouting crazy talk...\I thought that singing would warm our bodies and our souls! response:	Are you stupid?
context: Violence doesn't scare me.\Please, call it discipline.\What nerve!\I said stop it!\Jingle bells, jingle bells jingle all the way... Yay!\There you go again, spouting crazy talk...\I thought that singing would warm our bodies and our souls!\Are you stupid? response:	I'm done with you people.
context: Please, call it discipline.\What nerve!\I said stop it!\Jingle bells, jingle bells jingle all the way... Yay!\There you go again, spouting crazy talk...\I thought that singing would warm our bodies and our souls!\Are you stupid?\I'm done with you people. response:	I'll be the one to decide!
context: What nerve!\I said stop it!\Jingle bells, jingle bells jingle all the way... Yay!\There you go again, spouting crazy talk...\I thought that singing would warm our bodies and our souls!\Are you stupid?\I'm done with you people.\I'll be the one to decide! response:	That'll show her!
context: I said stop it!\Jingle bells, jingle bells jingle all the way... Yay!\There you go again, spouting crazy talk...\I thought that singing would warm our bodies and our souls!\Are you stupid?\I'm done with you people.\I'll be the one to decide!\That'll show her! response:	Stop it!
context: Jingle bells, jingle bells jingle all the way... Yay!\There you go again, spouting crazy talk...\I thought that singing would warm our bodies and our souls!\Are you stupid?\I'm done with you people.\I'll be the one to decide!\That'll show her!\Stop it! response:	Come on, reach!
context: There you go again, spouting crazy talk...\I thought that singing would warm our bodies and our souls!\Are you stupid?\I'm done with you people.\I'll be the one to decide!\That'll show her!\Stop it!\Come on, reach! response:	Pervert.
context: I thought that singing would warm our bodies and our souls!\Are you stupid?\I'm done with you people.\I'll be the one to decide!\That'll show her!\Stop it!\Come on, reach!\Pervert. response:	It's not what you think! It's not!
context: Are you stupid?\I'm done with you people.\I'll be the one to decide!\That'll show her!\Stop it!\Come on, reach!\Pervert.\It's not what you think! It's not! response:	Nooo!
context: I'm done with you people.\I'll be the one to decide!\That'll show her!\Stop it!\Come on, reach!\Pervert.\It's not what you think! It's not!\Nooo! response:	I-I'm sorry!
context: I'll be the one to decide!\That'll show her!\Stop it!\Come on, reach!\Pervert.\It's not what you think! It's not!\Nooo!\I-I'm sorry! response:	Hey!
context: That'll show her!\Stop it!\Come on, reach!\Pervert.\It's not what you think! It's not!\Nooo!\I-I'm sorry!\Hey! response:	It wasn't on purpose!
context: Stop it!\Come on, reach!\Pervert.\It's not what you think! It's not!\Nooo!\I-I'm sorry!\Hey!\It wasn't on purpose! response:	What are you doing?!
context: Come on, reach!\Pervert.\It's not what you think! It's not!\Nooo!\I-I'm sorry!\Hey!\It wasn't on purpose!\What are you doing?! response:	Thank goodness...
context: Pervert.\It's not what you think! It's not!\Nooo!\I-I'm sorry!\Hey!\It wasn't on purpose!\What are you doing?!\Thank goodness... response:	We're saved!
context: It's not what you think! It's not!\Nooo!\I-I'm sorry!\Hey!\It wasn't on purpose!\What are you doing?!\Thank goodness...\We're saved! response:	The lights are on!
context: Nooo!\I-I'm sorry!\Hey!\It wasn't on purpose!\What are you doing?!\Thank goodness...\We're saved!\The lights are on! response:	It's so warm!
context: I-I'm sorry!\Hey!\It wasn't on purpose!\What are you doing?!\Thank goodness...\We're saved!\The lights are on!\It's so warm! response:	The boys did it!
context: Hey!\It wasn't on purpose!\What are you doing?!\Thank goodness...\We're saved!\The lights are on!\It's so warm!\The boys did it! response:	I'm not in the mood anymore.
context: It wasn't on purpose!\What are you doing?!\Thank goodness...\We're saved!\The lights are on!\It's so warm!\The boys did it!\I'm not in the mood anymore. response:	Please wait!
context: What are you doing?!\Thank goodness...\We're saved!\The lights are on!\It's so warm!\The boys did it!\I'm not in the mood anymore.\Please wait! response:	Takahi-sama!
context: Thank goodness...\We're saved!\The lights are on!\It's so warm!\The boys did it!\I'm not in the mood anymore.\Please wait!\Takahi-sama! response:	Miss Rukino, are you okay?
context: We're saved!\The lights are on!\It's so warm!\The boys did it!\I'm not in the mood anymore.\Please wait!\Takahi-sama!\Miss Rukino, are you okay? response:	I'm used to it.
context: The lights are on!\It's so warm!\The boys did it!\I'm not in the mood anymore.\Please wait!\Takahi-sama!\Miss Rukino, are you okay?\I'm used to it. response:	Wait!
context: It's so warm!\The boys did it!\I'm not in the mood anymore.\Please wait!\Takahi-sama!\Miss Rukino, are you okay?\I'm used to it.\Wait! response:	Shoko, that thing you did
context: The boys did it!\I'm not in the mood anymore.\Please wait!\Takahi-sama!\Miss Rukino, are you okay?\I'm used to it.\Wait!\Shoko, that thing you did response:	That thing?
context: I'm not in the mood anymore.\Please wait!\Takahi-sama!\Miss Rukino, are you okay?\I'm used to it.\Wait!\Shoko, that thing you did\That thing? response:	Oh, right!
context: Please wait!\Takahi-sama!\Miss Rukino, are you okay?\I'm used to it.\Wait!\Shoko, that thing you did\That thing?\Oh, right! response:	A song!
context: Takahi-sama!\Miss Rukino, are you okay?\I'm used to it.\Wait!\Shoko, that thing you did\That thing?\Oh, right!\A song! response:	Sis, we're connected!
context: Miss Rukino, are you okay?\I'm used to it.\Wait!\Shoko, that thing you did\That thing?\Oh, right!\A song!\Sis, we're connected! response:	We're connected to the external net via encrypted channel!
context: I'm used to it.\Wait!\Shoko, that thing you did\That thing?\Oh, right!\A song!\Sis, we're connected!\We're connected to the external net via encrypted channel! response:	Is the mic feed already hooked up to this?
context: Wait!\Shoko, that thing you did\That thing?\Oh, right!\A song!\Sis, we're connected!\We're connected to the external net via encrypted channel!\Is the mic feed already hooked up to this? response:	Yeah, we're ready over here.
context: Shoko, that thing you did\That thing?\Oh, right!\A song!\Sis, we're connected!\We're connected to the external net via encrypted channel!\Is the mic feed already hooked up to this?\Yeah, we're ready over here. response:	People of JIOR, can you hear me?
context: That thing?\Oh, right!\A song!\Sis, we're connected!\We're connected to the external net via encrypted channel!\Is the mic feed already hooked up to this?\Yeah, we're ready over here.\People of JIOR, can you hear me? response:	We're all safe. We're doing fine.
context: Oh, right!\A song!\Sis, we're connected!\We're connected to the external net via encrypted channel!\Is the mic feed already hooked up to this?\Yeah, we're ready over here.\People of JIOR, can you hear me?\We're all safe. We're doing fine. response:	We wanted to tell you that, so we all, um...
context: A song!\Sis, we're connected!\We're connected to the external net via encrypted channel!\Is the mic feed already hooked up to this?\Yeah, we're ready over here.\People of JIOR, can you hear me?\We're all safe. We're doing fine.\We wanted to tell you that, so we all, um... response:	We all decided to broadcast this video!
context: Sis, we're connected!\We're connected to the external net via encrypted channel!\Is the mic feed already hooked up to this?\Yeah, we're ready over here.\People of JIOR, can you hear me?\We're all safe. We're doing fine.\We wanted to tell you that, so we all, um...\We all decided to broadcast this video! response:	So, enjoy!
context: We're connected to the external net via encrypted channel!\Is the mic feed already hooked up to this?\Yeah, we're ready over here.\People of JIOR, can you hear me?\We're all safe. We're doing fine.\We wanted to tell you that, so we all, um...\We all decided to broadcast this video!\So, enjoy! response:	SAKIMORI ACADEMY
context: Is the mic feed already hooked up to this?\Yeah, we're ready over here.\People of JIOR, can you hear me?\We're all safe. We're doing fine.\We wanted to tell you that, so we all, um...\We all decided to broadcast this video!\So, enjoy!\SAKIMORI ACADEMY response:	Forgetting your cell phone at home,
context: Yeah, we're ready over here.\People of JIOR, can you hear me?\We're all safe. We're doing fine.\We wanted to tell you that, so we all, um...\We all decided to broadcast this video!\So, enjoy!\SAKIMORI ACADEMY\Forgetting your cell phone at home, response:	fghting with the person you like...
context: People of JIOR, can you hear me?\We're all safe. We're doing fine.\We wanted to tell you that, so we all, um...\We all decided to broadcast this video!\So, enjoy!\SAKIMORI ACADEMY\Forgetting your cell phone at home,\fghting with the person you like... response:	Some days, nothing seems to go your way.
context: We're all safe. We're doing fine.\We wanted to tell you that, so we all, um...\We all decided to broadcast this video!\So, enjoy!\SAKIMORI ACADEMY\Forgetting your cell phone at home,\fghting with the person you like...\Some days, nothing seems to go your way. response:	But just eat a tasty dinner
context: We wanted to tell you that, so we all, um...\We all decided to broadcast this video!\So, enjoy!\SAKIMORI ACADEMY\Forgetting your cell phone at home,\fghting with the person you like...\Some days, nothing seems to go your way.\But just eat a tasty dinner response:	and hang out with your goofy friends...
context: We all decided to broadcast this video!\So, enjoy!\SAKIMORI ACADEMY\Forgetting your cell phone at home,\fghting with the person you like...\Some days, nothing seems to go your way.\But just eat a tasty dinner\and hang out with your goofy friends... response:	It's because of stuff like that that we'll be able to give our best again tomorrow.
context: So, enjoy!\SAKIMORI ACADEMY\Forgetting your cell phone at home,\fghting with the person you like...\Some days, nothing seems to go your way.\But just eat a tasty dinner\and hang out with your goofy friends...\It's because of stuff like that that we'll be able to give our best again tomorrow. response:	YOUTH!! Never give in, no matter what. Youth now!
context: SAKIMORI ACADEMY\Forgetting your cell phone at home,\fghting with the person you like...\Some days, nothing seems to go your way.\But just eat a tasty dinner\and hang out with your goofy friends...\It's because of stuff like that that we'll be able to give our best again tomorrow.\YOUTH!! Never give in, no matter what. Youth now! response:	Good luck for you, for you.
context: Forgetting your cell phone at home,\fghting with the person you like...\Some days, nothing seems to go your way.\But just eat a tasty dinner\and hang out with your goofy friends...\It's because of stuff like that that we'll be able to give our best again tomorrow.\YOUTH!! Never give in, no matter what. Youth now!\Good luck for you, for you. response:	For happiness.
context: fghting with the person you like...\Some days, nothing seems to go your way.\But just eat a tasty dinner\and hang out with your goofy friends...\It's because of stuff like that that we'll be able to give our best again tomorrow.\YOUTH!! Never give in, no matter what. Youth now!\Good luck for you, for you.\For happiness. response:	Big kiss for you, for you.
context: Some days, nothing seems to go your way.\But just eat a tasty dinner\and hang out with your goofy friends...\It's because of stuff like that that we'll be able to give our best again tomorrow.\YOUTH!! Never give in, no matter what. Youth now!\Good luck for you, for you.\For happiness.\Big kiss for you, for you. response:	For our life.
context: But just eat a tasty dinner\and hang out with your goofy friends...\It's because of stuff like that that we'll be able to give our best again tomorrow.\YOUTH!! Never give in, no matter what. Youth now!\Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life. response:	Just all-out like that all the time.
context: and hang out with your goofy friends...\It's because of stuff like that that we'll be able to give our best again tomorrow.\YOUTH!! Never give in, no matter what. Youth now!\Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life.\Just all-out like that all the time. response:	I know you are hero in your life.
context: It's because of stuff like that that we'll be able to give our best again tomorrow.\YOUTH!! Never give in, no matter what. Youth now!\Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life.\Just all-out like that all the time.\I know you are hero in your life. response:	I know I am hero in my life.
context: YOUTH!! Never give in, no matter what. Youth now!\Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life.\Just all-out like that all the time.\I know you are hero in your life.\I know I am hero in my life. response:	Let's go have fun!
context: Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life.\Just all-out like that all the time.\I know you are hero in your life.\I know I am hero in my life.\Let's go have fun! response:	Look at all these viewers!
context: For happiness.\Big kiss for you, for you.\For our life.\Just all-out like that all the time.\I know you are hero in your life.\I know I am hero in my life.\Let's go have fun!\Look at all these viewers! response:	We're being accessed from ARUS, too.
