context: It's me. response:	I see. Good work.
context: Sorry, I said a little too much.\You can't help being lovestruck, though.\I'll take you to the station.\I'll take you to Shinjuku Station.\Li-san...\Tickets to the first express out of here!\Any destination is fine!\I need two tickets now! response:	O-Okay.
context: You can't help being lovestruck, though.\I'll take you to the station.\I'll take you to Shinjuku Station.\Li-san...\Tickets to the first express out of here!\Any destination is fine!\I need two tickets now!\O-Okay. response:	The earliest departure is an express bound for Matsumoto.
context: I'll take you to the station.\I'll take you to Shinjuku Station.\Li-san...\Tickets to the first express out of here!\Any destination is fine!\I need two tickets now!\O-Okay.\The earliest departure is an express bound for Matsumoto. response:	I'll take it.
context: I'll take you to Shinjuku Station.\Li-san...\Tickets to the first express out of here!\Any destination is fine!\I need two tickets now!\O-Okay.\The earliest departure is an express bound for Matsumoto.\I'll take it. response:	Kenji!
context: Li-san...\Tickets to the first express out of here!\Any destination is fine!\I need two tickets now!\O-Okay.\The earliest departure is an express bound for Matsumoto.\I'll take it.\Kenji! response:	Let's go.
context: Tickets to the first express out of here!\Any destination is fine!\I need two tickets now!\O-Okay.\The earliest departure is an express bound for Matsumoto.\I'll take it.\Kenji!\Let's go. response:	Sir, your change!
context: Any destination is fine!\I need two tickets now!\O-Okay.\The earliest departure is an express bound for Matsumoto.\I'll take it.\Kenji!\Let's go.\Sir, your change! response:	Hold it!
context: I need two tickets now!\O-Okay.\The earliest departure is an express bound for Matsumoto.\I'll take it.\Kenji!\Let's go.\Sir, your change!\Hold it! response:	Don't.
context: O-Okay.\The earliest departure is an express bound for Matsumoto.\I'll take it.\Kenji!\Let's go.\Sir, your change!\Hold it!\Don't. response:	You guys go after them.
context: The earliest departure is an express bound for Matsumoto.\I'll take it.\Kenji!\Let's go.\Sir, your change!\Hold it!\Don't.\You guys go after them. response:	I'm going to call Hitotsubashi-san.
context: I'll take it.\Kenji!\Let's go.\Sir, your change!\Hold it!\Don't.\You guys go after them.\I'm going to call Hitotsubashi-san. response:	Roger!
context: Kenji!\Let's go.\Sir, your change!\Hold it!\Don't.\You guys go after them.\I'm going to call Hitotsubashi-san.\Roger! response:	This is an announcement addressed to the following customer...
context: Let's go.\Sir, your change!\Hold it!\Don't.\You guys go after them.\I'm going to call Hitotsubashi-san.\Roger!\This is an announcement addressed to the following customer... response:	This way.
context: Sir, your change!\Hold it!\Don't.\You guys go after them.\I'm going to call Hitotsubashi-san.\Roger!\This is an announcement addressed to the following customer...\This way. response:	You two go on ahead.
context: Hold it!\Don't.\You guys go after them.\I'm going to call Hitotsubashi-san.\Roger!\This is an announcement addressed to the following customer...\This way.\You two go on ahead. response:	What about you, Li-san?
context: Don't.\You guys go after them.\I'm going to call Hitotsubashi-san.\Roger!\This is an announcement addressed to the following customer...\This way.\You two go on ahead.\What about you, Li-san? response:	We'll manage.
context: You guys go after them.\I'm going to call Hitotsubashi-san.\Roger!\This is an announcement addressed to the following customer...\This way.\You two go on ahead.\What about you, Li-san?\We'll manage. response:	Li-san!
context: I'm going to call Hitotsubashi-san.\Roger!\This is an announcement addressed to the following customer...\This way.\You two go on ahead.\What about you, Li-san?\We'll manage.\Li-san! response:	Let's go, Yin.
context: Roger!\This is an announcement addressed to the following customer...\This way.\You two go on ahead.\What about you, Li-san?\We'll manage.\Li-san!\Let's go, Yin. response:	Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)
context: This is an announcement addressed to the following customer...\This way.\You two go on ahead.\What about you, Li-san?\We'll manage.\Li-san!\Let's go, Yin.\Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two) response:	It's only the broad?
context: This way.\You two go on ahead.\What about you, Li-san?\We'll manage.\Li-san!\Let's go, Yin.\Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)\It's only the broad? response:	Where did the others go?
context: You two go on ahead.\What about you, Li-san?\We'll manage.\Li-san!\Let's go, Yin.\Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)\It's only the broad?\Where did the others go? response:	You...
context: What about you, Li-san?\We'll manage.\Li-san!\Let's go, Yin.\Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)\It's only the broad?\Where did the others go?\You... response:	Bastard...
context: We'll manage.\Li-san!\Let's go, Yin.\Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)\It's only the broad?\Where did the others go?\You...\Bastard... response:	Wait!
context: Li-san!\Let's go, Yin.\Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)\It's only the broad?\Where did the others go?\You...\Bastard...\Wait! response:	Open up!
context: Let's go, Yin.\Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)\It's only the broad?\Where did the others go?\You...\Bastard...\Wait!\Open up! response:	Are you okay?
context: Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)\It's only the broad?\Where did the others go?\You...\Bastard...\Wait!\Open up!\Are you okay? response:	Open up! Open the door, bastards!
context: It's only the broad?\Where did the others go?\You...\Bastard...\Wait!\Open up!\Are you okay?\Open up! Open the door, bastards! response:	Good.
context: Where did the others go?\You...\Bastard...\Wait!\Open up!\Are you okay?\Open up! Open the door, bastards!\Good. response:	Good. I think we're...
context: You...\Bastard...\Wait!\Open up!\Are you okay?\Open up! Open the door, bastards!\Good.\Good. I think we're... response:	It's dangerous to run out like that, Kenji.
context: Bastard...\Wait!\Open up!\Are you okay?\Open up! Open the door, bastards!\Good.\Good. I think we're...\It's dangerous to run out like that, Kenji. response:	A-Aniki...
context: Wait!\Open up!\Are you okay?\Open up! Open the door, bastards!\Good.\Good. I think we're...\It's dangerous to run out like that, Kenji.\A-Aniki... response:	If you're looking for the kid and the doll, they were caught.
context: Open up!\Are you okay?\Open up! Open the door, bastards!\Good.\Good. I think we're...\It's dangerous to run out like that, Kenji.\A-Aniki...\If you're looking for the kid and the doll, they were caught. response:	How long have you been watching?
context: Are you okay?\Open up! Open the door, bastards!\Good.\Good. I think we're...\It's dangerous to run out like that, Kenji.\A-Aniki...\If you're looking for the kid and the doll, they were caught.\How long have you been watching? response:	It's about time to pull out. The kid's going to die and the doll's going to be sold.
context: Open up! Open the door, bastards!\Good.\Good. I think we're...\It's dangerous to run out like that, Kenji.\A-Aniki...\If you're looking for the kid and the doll, they were caught.\How long have you been watching?\It's about time to pull out. The kid's going to die and the doll's going to be sold. response:	When that happens, they're going to find out about your involvement.
context: Good.\Good. I think we're...\It's dangerous to run out like that, Kenji.\A-Aniki...\If you're looking for the kid and the doll, they were caught.\How long have you been watching?\It's about time to pull out. The kid's going to die and the doll's going to be sold.\When that happens, they're going to find out about your involvement. response:	It'll be impossible for you to continue your mission.
context: Good. I think we're...\It's dangerous to run out like that, Kenji.\A-Aniki...\If you're looking for the kid and the doll, they were caught.\How long have you been watching?\It's about time to pull out. The kid's going to die and the doll's going to be sold.\When that happens, they're going to find out about your involvement.\It'll be impossible for you to continue your mission. response:	You guys better run away at once.
context: It's dangerous to run out like that, Kenji.\A-Aniki...\If you're looking for the kid and the doll, they were caught.\How long have you been watching?\It's about time to pull out. The kid's going to die and the doll's going to be sold.\When that happens, they're going to find out about your involvement.\It'll be impossible for you to continue your mission.\You guys better run away at once. response:	If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate.
context: A-Aniki...\If you're looking for the kid and the doll, they were caught.\How long have you been watching?\It's about time to pull out. The kid's going to die and the doll's going to be sold.\When that happens, they're going to find out about your involvement.\It'll be impossible for you to continue your mission.\You guys better run away at once.\If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate. response:	Are you going to report this to Huang?
context: If you're looking for the kid and the doll, they were caught.\How long have you been watching?\It's about time to pull out. The kid's going to die and the doll's going to be sold.\When that happens, they're going to find out about your involvement.\It'll be impossible for you to continue your mission.\You guys better run away at once.\If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate.\Are you going to report this to Huang? response:	Give me some credit.
context: How long have you been watching?\It's about time to pull out. The kid's going to die and the doll's going to be sold.\When that happens, they're going to find out about your involvement.\It'll be impossible for you to continue your mission.\You guys better run away at once.\If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate.\Are you going to report this to Huang?\Give me some credit. response:	What would I gain out of telling him?
context: It's about time to pull out. The kid's going to die and the doll's going to be sold.\When that happens, they're going to find out about your involvement.\It'll be impossible for you to continue your mission.\You guys better run away at once.\If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate.\Are you going to report this to Huang?\Give me some credit.\What would I gain out of telling him? response:	I'm just here to kill time,
context: When that happens, they're going to find out about your involvement.\It'll be impossible for you to continue your mission.\You guys better run away at once.\If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate.\Are you going to report this to Huang?\Give me some credit.\What would I gain out of telling him?\I'm just here to kill time, response:	since you never fail to amuse me.
context: It'll be impossible for you to continue your mission.\You guys better run away at once.\If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate.\Are you going to report this to Huang?\Give me some credit.\What would I gain out of telling him?\I'm just here to kill time,\since you never fail to amuse me. response:	Sorry to keep you waiting.
context: You guys better run away at once.\If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate.\Are you going to report this to Huang?\Give me some credit.\What would I gain out of telling him?\I'm just here to kill time,\since you never fail to amuse me.\Sorry to keep you waiting. response:	Yes, since we were the ones at fault,
context: If you're involved with that kid any longer, it'll be seen as betrayal against the syndicate.\Are you going to report this to Huang?\Give me some credit.\What would I gain out of telling him?\I'm just here to kill time,\since you never fail to amuse me.\Sorry to keep you waiting.\Yes, since we were the ones at fault, response:	I'll give you a discount.
context: Are you going to report this to Huang?\Give me some credit.\What would I gain out of telling him?\I'm just here to kill time,\since you never fail to amuse me.\Sorry to keep you waiting.\Yes, since we were the ones at fault,\I'll give you a discount. response:	Allow us to continue providing our services in the future.
context: Give me some credit.\What would I gain out of telling him?\I'm just here to kill time,\since you never fail to amuse me.\Sorry to keep you waiting.\Yes, since we were the ones at fault,\I'll give you a discount.\Allow us to continue providing our services in the future. response:	Shit, open up!
context: What would I gain out of telling him?\I'm just here to kill time,\since you never fail to amuse me.\Sorry to keep you waiting.\Yes, since we were the ones at fault,\I'll give you a discount.\Allow us to continue providing our services in the future.\Shit, open up! response:	I'll open it soon enough.
context: I'm just here to kill time,\since you never fail to amuse me.\Sorry to keep you waiting.\Yes, since we were the ones at fault,\I'll give you a discount.\Allow us to continue providing our services in the future.\Shit, open up!\I'll open it soon enough. response:	It'll be the last thing you'll see.
context: since you never fail to amuse me.\Sorry to keep you waiting.\Yes, since we were the ones at fault,\I'll give you a discount.\Allow us to continue providing our services in the future.\Shit, open up!\I'll open it soon enough.\It'll be the last thing you'll see. response:	Damn!
context: Sorry to keep you waiting.\Yes, since we were the ones at fault,\I'll give you a discount.\Allow us to continue providing our services in the future.\Shit, open up!\I'll open it soon enough.\It'll be the last thing you'll see.\Damn! response:	Is it the doll's observer apparition?
context: Yes, since we were the ones at fault,\I'll give you a discount.\Allow us to continue providing our services in the future.\Shit, open up!\I'll open it soon enough.\It'll be the last thing you'll see.\Damn!\Is it the doll's observer apparition? response:	Is it spying on us?
context: I'll give you a discount.\Allow us to continue providing our services in the future.\Shit, open up!\I'll open it soon enough.\It'll be the last thing you'll see.\Damn!\Is it the doll's observer apparition?\Is it spying on us? response:	No.
context: Allow us to continue providing our services in the future.\Shit, open up!\I'll open it soon enough.\It'll be the last thing you'll see.\Damn!\Is it the doll's observer apparition?\Is it spying on us?\No. response:	She's calling us.
context: Shit, open up!\I'll open it soon enough.\It'll be the last thing you'll see.\Damn!\Is it the doll's observer apparition?\Is it spying on us?\No.\She's calling us. response:	She's saying, Kenji... will be killed... Save him.
context: I'll open it soon enough.\It'll be the last thing you'll see.\Damn!\Is it the doll's observer apparition?\Is it spying on us?\No.\She's calling us.\She's saying, Kenji... will be killed... Save him. response:	What?
context: It'll be the last thing you'll see.\Damn!\Is it the doll's observer apparition?\Is it spying on us?\No.\She's calling us.\She's saying, Kenji... will be killed... Save him.\What? response:	Are you saying that the doll sent its observer apparition on its own?
context: Damn!\Is it the doll's observer apparition?\Is it spying on us?\No.\She's calling us.\She's saying, Kenji... will be killed... Save him.\What?\Are you saying that the doll sent its observer apparition on its own? response:	That's hard to believe.
context: Is it the doll's observer apparition?\Is it spying on us?\No.\She's calling us.\She's saying, Kenji... will be killed... Save him.\What?\Are you saying that the doll sent its observer apparition on its own?\That's hard to believe. response:	The yakuza using the doll must have set a trap.
context: Is it spying on us?\No.\She's calling us.\She's saying, Kenji... will be killed... Save him.\What?\Are you saying that the doll sent its observer apparition on its own?\That's hard to believe.\The yakuza using the doll must have set a trap. response:	There's no other explanation.
context: No.\She's calling us.\She's saying, Kenji... will be killed... Save him.\What?\Are you saying that the doll sent its observer apparition on its own?\That's hard to believe.\The yakuza using the doll must have set a trap.\There's no other explanation. response:	What do you think?
context: She's calling us.\She's saying, Kenji... will be killed... Save him.\What?\Are you saying that the doll sent its observer apparition on its own?\That's hard to believe.\The yakuza using the doll must have set a trap.\There's no other explanation.\What do you think? response:	You were the one who said I seemed different today.
context: She's saying, Kenji... will be killed... Save him.\What?\Are you saying that the doll sent its observer apparition on its own?\That's hard to believe.\The yakuza using the doll must have set a trap.\There's no other explanation.\What do you think?\You were the one who said I seemed different today. response:	Why did you think so?
context: What?\Are you saying that the doll sent its observer apparition on its own?\That's hard to believe.\The yakuza using the doll must have set a trap.\There's no other explanation.\What do you think?\You were the one who said I seemed different today.\Why did you think so? response:	Ask where it is.
context: Are you saying that the doll sent its observer apparition on its own?\That's hard to believe.\The yakuza using the doll must have set a trap.\There's no other explanation.\What do you think?\You were the one who said I seemed different today.\Why did you think so?\Ask where it is. response:	Never a dull moment with you.
context: That's hard to believe.\The yakuza using the doll must have set a trap.\There's no other explanation.\What do you think?\You were the one who said I seemed different today.\Why did you think so?\Ask where it is.\Never a dull moment with you. response:	That was stupid of you, Kenji.
context: The yakuza using the doll must have set a trap.\There's no other explanation.\What do you think?\You were the one who said I seemed different today.\Why did you think so?\Ask where it is.\Never a dull moment with you.\That was stupid of you, Kenji. response:	You're throwing your life away for the sake of a doll.
context: There's no other explanation.\What do you think?\You were the one who said I seemed different today.\Why did you think so?\Ask where it is.\Never a dull moment with you.\That was stupid of you, Kenji.\You're throwing your life away for the sake of a doll. response:	What are you saying, Aniki?
context: What do you think?\You were the one who said I seemed different today.\Why did you think so?\Ask where it is.\Never a dull moment with you.\That was stupid of you, Kenji.\You're throwing your life away for the sake of a doll.\What are you saying, Aniki? response:	She isn't an object...
context: You were the one who said I seemed different today.\Why did you think so?\Ask where it is.\Never a dull moment with you.\That was stupid of you, Kenji.\You're throwing your life away for the sake of a doll.\What are you saying, Aniki?\She isn't an object... response:	She's a girl,
context: Why did you think so?\Ask where it is.\Never a dull moment with you.\That was stupid of you, Kenji.\You're throwing your life away for the sake of a doll.\What are you saying, Aniki?\She isn't an object...\She's a girl, response:	not a doll.
context: Ask where it is.\Never a dull moment with you.\That was stupid of you, Kenji.\You're throwing your life away for the sake of a doll.\What are you saying, Aniki?\She isn't an object...\She's a girl,\not a doll. response:	Damn.
context: Never a dull moment with you.\That was stupid of you, Kenji.\You're throwing your life away for the sake of a doll.\What are you saying, Aniki?\She isn't an object...\She's a girl,\not a doll.\Damn. response:	How long are you going to continue acting delusional?
context: That was stupid of you, Kenji.\You're throwing your life away for the sake of a doll.\What are you saying, Aniki?\She isn't an object...\She's a girl,\not a doll.\Damn.\How long are you going to continue acting delusional? response:	I've decided to risk my life for her sake.
context: You're throwing your life away for the sake of a doll.\What are you saying, Aniki?\She isn't an object...\She's a girl,\not a doll.\Damn.\How long are you going to continue acting delusional?\I've decided to risk my life for her sake. response:	I can do anything as long as I have this will.
context: What are you saying, Aniki?\She isn't an object...\She's a girl,\not a doll.\Damn.\How long are you going to continue acting delusional?\I've decided to risk my life for her sake.\I can do anything as long as I have this will. response:	I dare you to find a way out of this situation, then.
context: She isn't an object...\She's a girl,\not a doll.\Damn.\How long are you going to continue acting delusional?\I've decided to risk my life for her sake.\I can do anything as long as I have this will.\I dare you to find a way out of this situation, then. response:	Aniki...
context: She's a girl,\not a doll.\Damn.\How long are you going to continue acting delusional?\I've decided to risk my life for her sake.\I can do anything as long as I have this will.\I dare you to find a way out of this situation, then.\Aniki... response:	Why are you so upset?
context: not a doll.\Damn.\How long are you going to continue acting delusional?\I've decided to risk my life for her sake.\I can do anything as long as I have this will.\I dare you to find a way out of this situation, then.\Aniki...\Why are you so upset? response:	What?
context: Damn.\How long are you going to continue acting delusional?\I've decided to risk my life for her sake.\I can do anything as long as I have this will.\I dare you to find a way out of this situation, then.\Aniki...\Why are you so upset?\What? response:	You're the one who said it a long time ago, Aniki.
context: How long are you going to continue acting delusional?\I've decided to risk my life for her sake.\I can do anything as long as I have this will.\I dare you to find a way out of this situation, then.\Aniki...\Why are you so upset?\What?\You're the one who said it a long time ago, Aniki. response:	Have you forgotten?
context: I've decided to risk my life for her sake.\I can do anything as long as I have this will.\I dare you to find a way out of this situation, then.\Aniki...\Why are you so upset?\What?\You're the one who said it a long time ago, Aniki.\Have you forgotten? response:	A stun gun?
context: I can do anything as long as I have this will.\I dare you to find a way out of this situation, then.\Aniki...\Why are you so upset?\What?\You're the one who said it a long time ago, Aniki.\Have you forgotten?\A stun gun? response:	Shoot.
context: I dare you to find a way out of this situation, then.\Aniki...\Why are you so upset?\What?\You're the one who said it a long time ago, Aniki.\Have you forgotten?\A stun gun?\Shoot. response:	Aniki, stand up.
context: Aniki...\Why are you so upset?\What?\You're the one who said it a long time ago, Aniki.\Have you forgotten?\A stun gun?\Shoot.\Aniki, stand up. response:	Get into the car, please.
context: Why are you so upset?\What?\You're the one who said it a long time ago, Aniki.\Have you forgotten?\A stun gun?\Shoot.\Aniki, stand up.\Get into the car, please. response:	Li-san, will you have my motorbike?
context: What?\You're the one who said it a long time ago, Aniki.\Have you forgotten?\A stun gun?\Shoot.\Aniki, stand up.\Get into the car, please.\Li-san, will you have my motorbike? response:	Please take care of it.
context: You're the one who said it a long time ago, Aniki.\Have you forgotten?\A stun gun?\Shoot.\Aniki, stand up.\Get into the car, please.\Li-san, will you have my motorbike?\Please take care of it. response:	Sure.
context: Have you forgotten?\A stun gun?\Shoot.\Aniki, stand up.\Get into the car, please.\Li-san, will you have my motorbike?\Please take care of it.\Sure. response:	Where do you want me to go?
context: A stun gun?\Shoot.\Aniki, stand up.\Get into the car, please.\Li-san, will you have my motorbike?\Please take care of it.\Sure.\Where do you want me to go? response:	Shinjuku Station.
context: Shoot.\Aniki, stand up.\Get into the car, please.\Li-san, will you have my motorbike?\Please take care of it.\Sure.\Where do you want me to go?\Shinjuku Station. response:	All right.
context: Aniki, stand up.\Get into the car, please.\Li-san, will you have my motorbike?\Please take care of it.\Sure.\Where do you want me to go?\Shinjuku Station.\All right. response:	This is the second time you've sat in the back,
context: Get into the car, please.\Li-san, will you have my motorbike?\Please take care of it.\Sure.\Where do you want me to go?\Shinjuku Station.\All right.\This is the second time you've sat in the back, response:	Yeah, it is.
context: Li-san, will you have my motorbike?\Please take care of it.\Sure.\Where do you want me to go?\Shinjuku Station.\All right.\This is the second time you've sat in the back,\Yeah, it is. response:	although the last time was on a motorcycle.
context: Please take care of it.\Sure.\Where do you want me to go?\Shinjuku Station.\All right.\This is the second time you've sat in the back,\Yeah, it is.\although the last time was on a motorcycle. response:	That was my first time on a bike,
context: Sure.\Where do you want me to go?\Shinjuku Station.\All right.\This is the second time you've sat in the back,\Yeah, it is.\although the last time was on a motorcycle.\That was my first time on a bike, response:	and it was the first time I met you.
context: Where do you want me to go?\Shinjuku Station.\All right.\This is the second time you've sat in the back,\Yeah, it is.\although the last time was on a motorcycle.\That was my first time on a bike,\and it was the first time I met you. response:	Yeah, it was.
context: Shinjuku Station.\All right.\This is the second time you've sat in the back,\Yeah, it is.\although the last time was on a motorcycle.\That was my first time on a bike,\and it was the first time I met you.\Yeah, it was. response:	Listen, a motorcycle isn't just a machine.
context: All right.\This is the second time you've sat in the back,\Yeah, it is.\although the last time was on a motorcycle.\That was my first time on a bike,\and it was the first time I met you.\Yeah, it was.\Listen, a motorcycle isn't just a machine. response:	If you take good care of it, it'll listen to your wishes.
context: This is the second time you've sat in the back,\Yeah, it is.\although the last time was on a motorcycle.\That was my first time on a bike,\and it was the first time I met you.\Yeah, it was.\Listen, a motorcycle isn't just a machine.\If you take good care of it, it'll listen to your wishes. response:	It'll never let you down.
context: Yeah, it is.\although the last time was on a motorcycle.\That was my first time on a bike,\and it was the first time I met you.\Yeah, it was.\Listen, a motorcycle isn't just a machine.\If you take good care of it, it'll listen to your wishes.\It'll never let you down. response:	Understand?
context: although the last time was on a motorcycle.\That was my first time on a bike,\and it was the first time I met you.\Yeah, it was.\Listen, a motorcycle isn't just a machine.\If you take good care of it, it'll listen to your wishes.\It'll never let you down.\Understand? response:	You probably don't.
context: That was my first time on a bike,\and it was the first time I met you.\Yeah, it was.\Listen, a motorcycle isn't just a machine.\If you take good care of it, it'll listen to your wishes.\It'll never let you down.\Understand?\You probably don't. response:	I understand!
context: and it was the first time I met you.\Yeah, it was.\Listen, a motorcycle isn't just a machine.\If you take good care of it, it'll listen to your wishes.\It'll never let you down.\Understand?\You probably don't.\I understand! response:	You do?
context: Yeah, it was.\Listen, a motorcycle isn't just a machine.\If you take good care of it, it'll listen to your wishes.\It'll never let you down.\Understand?\You probably don't.\I understand!\You do? response:	Listen, kid. Find something you want to protect with your life.
context: Listen, a motorcycle isn't just a machine.\If you take good care of it, it'll listen to your wishes.\It'll never let you down.\Understand?\You probably don't.\I understand!\You do?\Listen, kid. Find something you want to protect with your life. response:	When you do, there isn't anything in this world you'll be afraid of.
context: If you take good care of it, it'll listen to your wishes.\It'll never let you down.\Understand?\You probably don't.\I understand!\You do?\Listen, kid. Find something you want to protect with your life.\When you do, there isn't anything in this world you'll be afraid of. response:	You'll be able to do anything.
context: It'll never let you down.\Understand?\You probably don't.\I understand!\You do?\Listen, kid. Find something you want to protect with your life.\When you do, there isn't anything in this world you'll be afraid of.\You'll be able to do anything. response:	Why did you let him go?
context: Understand?\You probably don't.\I understand!\You do?\Listen, kid. Find something you want to protect with your life.\When you do, there isn't anything in this world you'll be afraid of.\You'll be able to do anything.\Why did you let him go? response:	What are you talking about?
context: You probably don't.\I understand!\You do?\Listen, kid. Find something you want to protect with your life.\When you do, there isn't anything in this world you'll be afraid of.\You'll be able to do anything.\Why did you let him go?\What are you talking about? response:	There wasn't any ammunition left in that gun,
context: I understand!\You do?\Listen, kid. Find something you want to protect with your life.\When you do, there isn't anything in this world you'll be afraid of.\You'll be able to do anything.\Why did you let him go?\What are you talking about?\There wasn't any ammunition left in that gun, response:	but you already knew that.
context: You do?\Listen, kid. Find something you want to protect with your life.\When you do, there isn't anything in this world you'll be afraid of.\You'll be able to do anything.\Why did you let him go?\What are you talking about?\There wasn't any ammunition left in that gun,\but you already knew that. response:	I wasn't aware.
context: Listen, kid. Find something you want to protect with your life.\When you do, there isn't anything in this world you'll be afraid of.\You'll be able to do anything.\Why did you let him go?\What are you talking about?\There wasn't any ammunition left in that gun,\but you already knew that.\I wasn't aware. response:	Hey...
context: When you do, there isn't anything in this world you'll be afraid of.\You'll be able to do anything.\Why did you let him go?\What are you talking about?\There wasn't any ammunition left in that gun,\but you already knew that.\I wasn't aware.\Hey... response:	Is there something you want to protect with your life?
context: You'll be able to do anything.\Why did you let him go?\What are you talking about?\There wasn't any ammunition left in that gun,\but you already knew that.\I wasn't aware.\Hey...\Is there something you want to protect with your life? response:	I don't have anything like that.
context: Why did you let him go?\What are you talking about?\There wasn't any ammunition left in that gun,\but you already knew that.\I wasn't aware.\Hey...\Is there something you want to protect with your life?\I don't have anything like that. response:	I did in the past, though.
context: What are you talking about?\There wasn't any ammunition left in that gun,\but you already knew that.\I wasn't aware.\Hey...\Is there something you want to protect with your life?\I don't have anything like that.\I did in the past, though. response:	I see.
context: There wasn't any ammunition left in that gun,\but you already knew that.\I wasn't aware.\Hey...\Is there something you want to protect with your life?\I don't have anything like that.\I did in the past, though.\I see. response:	Hey... It might be a little too late to say this, but...
context: but you already knew that.\I wasn't aware.\Hey...\Is there something you want to protect with your life?\I don't have anything like that.\I did in the past, though.\I see.\Hey... It might be a little too late to say this, but... response:	You don't have to stay with me, you know.
context: I wasn't aware.\Hey...\Is there something you want to protect with your life?\I don't have anything like that.\I did in the past, though.\I see.\Hey... It might be a little too late to say this, but...\You don't have to stay with me, you know. response:	If you don't like me, feel free to leave whenever you want to.
context: Hey...\Is there something you want to protect with your life?\I don't have anything like that.\I did in the past, though.\I see.\Hey... It might be a little too late to say this, but...\You don't have to stay with me, you know.\If you don't like me, feel free to leave whenever you want to. response:	Hitotsubashi is dead.
context: Is there something you want to protect with your life?\I don't have anything like that.\I did in the past, though.\I see.\Hey... It might be a little too late to say this, but...\You don't have to stay with me, you know.\If you don't like me, feel free to leave whenever you want to.\Hitotsubashi is dead. response:	It looks like a guy named Ohshita will take over the family.
context: I don't have anything like that.\I did in the past, though.\I see.\Hey... It might be a little too late to say this, but...\You don't have to stay with me, you know.\If you don't like me, feel free to leave whenever you want to.\Hitotsubashi is dead.\It looks like a guy named Ohshita will take over the family. response:	What about our mission?
context: I did in the past, though.\I see.\Hey... It might be a little too late to say this, but...\You don't have to stay with me, you know.\If you don't like me, feel free to leave whenever you want to.\Hitotsubashi is dead.\It looks like a guy named Ohshita will take over the family.\What about our mission? response:	The trafficking route ceased to exist the moment Hitotsubashi was killed.
context: I see.\Hey... It might be a little too late to say this, but...\You don't have to stay with me, you know.\If you don't like me, feel free to leave whenever you want to.\Hitotsubashi is dead.\It looks like a guy named Ohshita will take over the family.\What about our mission?\The trafficking route ceased to exist the moment Hitotsubashi was killed. response:	Our mission has been canceled.
context: Hey... It might be a little too late to say this, but...\You don't have to stay with me, you know.\If you don't like me, feel free to leave whenever you want to.\Hitotsubashi is dead.\It looks like a guy named Ohshita will take over the family.\What about our mission?\The trafficking route ceased to exist the moment Hitotsubashi was killed.\Our mission has been canceled. response:	I see.
context: You don't have to stay with me, you know.\If you don't like me, feel free to leave whenever you want to.\Hitotsubashi is dead.\It looks like a guy named Ohshita will take over the family.\What about our mission?\The trafficking route ceased to exist the moment Hitotsubashi was killed.\Our mission has been canceled.\I see. response:	What's wrong, Hei?
context: If you don't like me, feel free to leave whenever you want to.\Hitotsubashi is dead.\It looks like a guy named Ohshita will take over the family.\What about our mission?\The trafficking route ceased to exist the moment Hitotsubashi was killed.\Our mission has been canceled.\I see.\What's wrong, Hei? response:	Nothing.
context: Hitotsubashi is dead.\It looks like a guy named Ohshita will take over the family.\What about our mission?\The trafficking route ceased to exist the moment Hitotsubashi was killed.\Our mission has been canceled.\I see.\What's wrong, Hei?\Nothing. response:	There was a response from BK201?
context: It looks like a guy named Ohshita will take over the family.\What about our mission?\The trafficking route ceased to exist the moment Hitotsubashi was killed.\Our mission has been canceled.\I see.\What's wrong, Hei?\Nothing.\There was a response from BK201? response:	Y-Yes, but it was really faint.
context: What about our mission?\The trafficking route ceased to exist the moment Hitotsubashi was killed.\Our mission has been canceled.\I see.\What's wrong, Hei?\Nothing.\There was a response from BK201?\Y-Yes, but it was really faint. response:	Time and location?
context: The trafficking route ceased to exist the moment Hitotsubashi was killed.\Our mission has been canceled.\I see.\What's wrong, Hei?\Nothing.\There was a response from BK201?\Y-Yes, but it was really faint.\Time and location? response:	Several minutes, starting from 19:12 last night.
context: Our mission has been canceled.\I see.\What's wrong, Hei?\Nothing.\There was a response from BK201?\Y-Yes, but it was really faint.\Time and location?\Several minutes, starting from 19:12 last night. response:	The exact location hasn't been confirmed, but it was probably Shinjuku.
