context: The news was not of some severe situation response:	that would cause people to frown, or at all serious in nature.
context: What are you doing here?\She saw the TV show this morning and got worried,\so she rushed over here.\What a girl.\But I'm relieved to see that you're looking well, Nana.\How did you know we were in this hotel?\Shin emailed me to let me know.\How thoughtful of you. response:	I knew she would come.
context: She saw the TV show this morning and got worried,\so she rushed over here.\What a girl.\But I'm relieved to see that you're looking well, Nana.\How did you know we were in this hotel?\Shin emailed me to let me know.\How thoughtful of you.\I knew she would come. response:	Misato says she'll be staying here for a while.
context: so she rushed over here.\What a girl.\But I'm relieved to see that you're looking well, Nana.\How did you know we were in this hotel?\Shin emailed me to let me know.\How thoughtful of you.\I knew she would come.\Misato says she'll be staying here for a while. response:	She can run errands for us,
context: What a girl.\But I'm relieved to see that you're looking well, Nana.\How did you know we were in this hotel?\Shin emailed me to let me know.\How thoughtful of you.\I knew she would come.\Misato says she'll be staying here for a while.\She can run errands for us, response:	since we're not allowed to go anywhere.
context: But I'm relieved to see that you're looking well, Nana.\How did you know we were in this hotel?\Shin emailed me to let me know.\How thoughtful of you.\I knew she would come.\Misato says she'll be staying here for a while.\She can run errands for us,\since we're not allowed to go anywhere. response:	I'm in room 712.
context: How did you know we were in this hotel?\Shin emailed me to let me know.\How thoughtful of you.\I knew she would come.\Misato says she'll be staying here for a while.\She can run errands for us,\since we're not allowed to go anywhere.\I'm in room 712. response:	Feel free to call me for anything.
context: Shin emailed me to let me know.\How thoughtful of you.\I knew she would come.\Misato says she'll be staying here for a while.\She can run errands for us,\since we're not allowed to go anywhere.\I'm in room 712.\Feel free to call me for anything. response:	But what about school?
context: How thoughtful of you.\I knew she would come.\Misato says she'll be staying here for a while.\She can run errands for us,\since we're not allowed to go anywhere.\I'm in room 712.\Feel free to call me for anything.\But what about school? response:	No need to worry about that.
context: I knew she would come.\Misato says she'll be staying here for a while.\She can run errands for us,\since we're not allowed to go anywhere.\I'm in room 712.\Feel free to call me for anything.\But what about school?\No need to worry about that. response:	Then here you are.
context: Misato says she'll be staying here for a while.\She can run errands for us,\since we're not allowed to go anywhere.\I'm in room 712.\Feel free to call me for anything.\But what about school?\No need to worry about that.\Then here you are. response:	It's a present from Mr. Nishimoto at Gaia.
context: She can run errands for us,\since we're not allowed to go anywhere.\I'm in room 712.\Feel free to call me for anything.\But what about school?\No need to worry about that.\Then here you are.\It's a present from Mr. Nishimoto at Gaia. response:	Misato, would you mind eating my share?
context: since we're not allowed to go anywhere.\I'm in room 712.\Feel free to call me for anything.\But what about school?\No need to worry about that.\Then here you are.\It's a present from Mr. Nishimoto at Gaia.\Misato, would you mind eating my share? response:	All right! Food!
context: I'm in room 712.\Feel free to call me for anything.\But what about school?\No need to worry about that.\Then here you are.\It's a present from Mr. Nishimoto at Gaia.\Misato, would you mind eating my share?\All right! Food! response:	I couldn't do that.
context: Feel free to call me for anything.\But what about school?\No need to worry about that.\Then here you are.\It's a present from Mr. Nishimoto at Gaia.\Misato, would you mind eating my share?\All right! Food!\I couldn't do that. response:	No, really.
context: But what about school?\No need to worry about that.\Then here you are.\It's a present from Mr. Nishimoto at Gaia.\Misato, would you mind eating my share?\All right! Food!\I couldn't do that.\No, really. response:	Actually I just had lunch with Mr. Kawano, so I'm not hungry.
context: No need to worry about that.\Then here you are.\It's a present from Mr. Nishimoto at Gaia.\Misato, would you mind eating my share?\All right! Food!\I couldn't do that.\No, really.\Actually I just had lunch with Mr. Kawano, so I'm not hungry. response:	There's no need to hold back.
context: Then here you are.\It's a present from Mr. Nishimoto at Gaia.\Misato, would you mind eating my share?\All right! Food!\I couldn't do that.\No, really.\Actually I just had lunch with Mr. Kawano, so I'm not hungry.\There's no need to hold back. response:	Thank you very much. I'm sorry for always being a burden.
context: It's a present from Mr. Nishimoto at Gaia.\Misato, would you mind eating my share?\All right! Food!\I couldn't do that.\No, really.\Actually I just had lunch with Mr. Kawano, so I'm not hungry.\There's no need to hold back.\Thank you very much. I'm sorry for always being a burden. response:	Make me some tea.
context: Misato, would you mind eating my share?\All right! Food!\I couldn't do that.\No, really.\Actually I just had lunch with Mr. Kawano, so I'm not hungry.\There's no need to hold back.\Thank you very much. I'm sorry for always being a burden.\Make me some tea. response:	Say, who is this Nishimoto?
context: All right! Food!\I couldn't do that.\No, really.\Actually I just had lunch with Mr. Kawano, so I'm not hungry.\There's no need to hold back.\Thank you very much. I'm sorry for always being a burden.\Make me some tea.\Say, who is this Nishimoto? response:	He's the general manager of the production department.
context: I couldn't do that.\No, really.\Actually I just had lunch with Mr. Kawano, so I'm not hungry.\There's no need to hold back.\Thank you very much. I'm sorry for always being a burden.\Make me some tea.\Say, who is this Nishimoto?\He's the general manager of the production department. response:	He came to see us at the studio once.
context: No, really.\Actually I just had lunch with Mr. Kawano, so I'm not hungry.\There's no need to hold back.\Thank you very much. I'm sorry for always being a burden.\Make me some tea.\Say, who is this Nishimoto?\He's the general manager of the production department.\He came to see us at the studio once. response:	Oh, right.
context: Actually I just had lunch with Mr. Kawano, so I'm not hungry.\There's no need to hold back.\Thank you very much. I'm sorry for always being a burden.\Make me some tea.\Say, who is this Nishimoto?\He's the general manager of the production department.\He came to see us at the studio once.\Oh, right. response:	But so many people came to see us,
context: There's no need to hold back.\Thank you very much. I'm sorry for always being a burden.\Make me some tea.\Say, who is this Nishimoto?\He's the general manager of the production department.\He came to see us at the studio once.\Oh, right.\But so many people came to see us, response:	so I don't remember them all.
context: Thank you very much. I'm sorry for always being a burden.\Make me some tea.\Say, who is this Nishimoto?\He's the general manager of the production department.\He came to see us at the studio once.\Oh, right.\But so many people came to see us,\so I don't remember them all. response:	What kind of person is he?
context: Make me some tea.\Say, who is this Nishimoto?\He's the general manager of the production department.\He came to see us at the studio once.\Oh, right.\But so many people came to see us,\so I don't remember them all.\What kind of person is he? response:	He looks like a fox.
context: Say, who is this Nishimoto?\He's the general manager of the production department.\He came to see us at the studio once.\Oh, right.\But so many people came to see us,\so I don't remember them all.\What kind of person is he?\He looks like a fox. response:	A fox...
context: He's the general manager of the production department.\He came to see us at the studio once.\Oh, right.\But so many people came to see us,\so I don't remember them all.\What kind of person is he?\He looks like a fox.\A fox... response:	Gaia has too many shady guys!
context: He came to see us at the studio once.\Oh, right.\But so many people came to see us,\so I don't remember them all.\What kind of person is he?\He looks like a fox.\A fox...\Gaia has too many shady guys! response:	Nana, it's super fancy sushi!
context: Oh, right.\But so many people came to see us,\so I don't remember them all.\What kind of person is he?\He looks like a fox.\A fox...\Gaia has too many shady guys!\Nana, it's super fancy sushi! response:	Nishimoto's a great guy.
context: But so many people came to see us,\so I don't remember them all.\What kind of person is he?\He looks like a fox.\A fox...\Gaia has too many shady guys!\Nana, it's super fancy sushi!\Nishimoto's a great guy. response:	But for someone in his position to treat us to an expensive meal...
context: so I don't remember them all.\What kind of person is he?\He looks like a fox.\A fox...\Gaia has too many shady guys!\Nana, it's super fancy sushi!\Nishimoto's a great guy.\But for someone in his position to treat us to an expensive meal... response:	Is it almost decided? Your debut?
context: What kind of person is he?\He looks like a fox.\A fox...\Gaia has too many shady guys!\Nana, it's super fancy sushi!\Nishimoto's a great guy.\But for someone in his position to treat us to an expensive meal...\Is it almost decided? Your debut? response:	Yeah. I guess they feel they could make a few bucks
context: He looks like a fox.\A fox...\Gaia has too many shady guys!\Nana, it's super fancy sushi!\Nishimoto's a great guy.\But for someone in his position to treat us to an expensive meal...\Is it almost decided? Your debut?\Yeah. I guess they feel they could make a few bucks response:	on the present exposure we're getting.
context: A fox...\Gaia has too many shady guys!\Nana, it's super fancy sushi!\Nishimoto's a great guy.\But for someone in his position to treat us to an expensive meal...\Is it almost decided? Your debut?\Yeah. I guess they feel they could make a few bucks\on the present exposure we're getting. response:	That fox sure is predictable.
context: Gaia has too many shady guys!\Nana, it's super fancy sushi!\Nishimoto's a great guy.\But for someone in his position to treat us to an expensive meal...\Is it almost decided? Your debut?\Yeah. I guess they feel they could make a few bucks\on the present exposure we're getting.\That fox sure is predictable. response:	Congratulations.
context: Nana, it's super fancy sushi!\Nishimoto's a great guy.\But for someone in his position to treat us to an expensive meal...\Is it almost decided? Your debut?\Yeah. I guess they feel they could make a few bucks\on the present exposure we're getting.\That fox sure is predictable.\Congratulations. response:	But there's no need to push yourself, Nana.
context: Nishimoto's a great guy.\But for someone in his position to treat us to an expensive meal...\Is it almost decided? Your debut?\Yeah. I guess they feel they could make a few bucks\on the present exposure we're getting.\That fox sure is predictable.\Congratulations.\But there's no need to push yourself, Nana. response:	If you don't feel like doing this, you simply don't sign the contract.
context: But for someone in his position to treat us to an expensive meal...\Is it almost decided? Your debut?\Yeah. I guess they feel they could make a few bucks\on the present exposure we're getting.\That fox sure is predictable.\Congratulations.\But there's no need to push yourself, Nana.\If you don't feel like doing this, you simply don't sign the contract. response:	Oh, that's right. Sorry for getting carried away.
context: Is it almost decided? Your debut?\Yeah. I guess they feel they could make a few bucks\on the present exposure we're getting.\That fox sure is predictable.\Congratulations.\But there's no need to push yourself, Nana.\If you don't feel like doing this, you simply don't sign the contract.\Oh, that's right. Sorry for getting carried away. response:	What are you saying? We've gotta do this.
context: Yeah. I guess they feel they could make a few bucks\on the present exposure we're getting.\That fox sure is predictable.\Congratulations.\But there's no need to push yourself, Nana.\If you don't feel like doing this, you simply don't sign the contract.\Oh, that's right. Sorry for getting carried away.\What are you saying? We've gotta do this. response:	I threw my stupid pride away already.
context: on the present exposure we're getting.\That fox sure is predictable.\Congratulations.\But there's no need to push yourself, Nana.\If you don't feel like doing this, you simply don't sign the contract.\Oh, that's right. Sorry for getting carried away.\What are you saying? We've gotta do this.\I threw my stupid pride away already. response:	Now that it's come to this,
context: That fox sure is predictable.\Congratulations.\But there's no need to push yourself, Nana.\If you don't feel like doing this, you simply don't sign the contract.\Oh, that's right. Sorry for getting carried away.\What are you saying? We've gotta do this.\I threw my stupid pride away already.\Now that it's come to this, response:	I'm gonna take advantage of you any way I can, Ren Honjo.
context: Congratulations.\But there's no need to push yourself, Nana.\If you don't feel like doing this, you simply don't sign the contract.\Oh, that's right. Sorry for getting carried away.\What are you saying? We've gotta do this.\I threw my stupid pride away already.\Now that it's come to this,\I'm gonna take advantage of you any way I can, Ren Honjo. response:	I'll make it big in this world,
context: But there's no need to push yourself, Nana.\If you don't feel like doing this, you simply don't sign the contract.\Oh, that's right. Sorry for getting carried away.\What are you saying? We've gotta do this.\I threw my stupid pride away already.\Now that it's come to this,\I'm gonna take advantage of you any way I can, Ren Honjo.\I'll make it big in this world, response:	no matter what dirty tricks I must use to get there.
context: If you don't feel like doing this, you simply don't sign the contract.\Oh, that's right. Sorry for getting carried away.\What are you saying? We've gotta do this.\I threw my stupid pride away already.\Now that it's come to this,\I'm gonna take advantage of you any way I can, Ren Honjo.\I'll make it big in this world,\no matter what dirty tricks I must use to get there. response:	I'll become so big, no one will be able to talk back to me!
context: Oh, that's right. Sorry for getting carried away.\What are you saying? We've gotta do this.\I threw my stupid pride away already.\Now that it's come to this,\I'm gonna take advantage of you any way I can, Ren Honjo.\I'll make it big in this world,\no matter what dirty tricks I must use to get there.\I'll become so big, no one will be able to talk back to me! response:	Nana, you're awesome!
context: What are you saying? We've gotta do this.\I threw my stupid pride away already.\Now that it's come to this,\I'm gonna take advantage of you any way I can, Ren Honjo.\I'll make it big in this world,\no matter what dirty tricks I must use to get there.\I'll become so big, no one will be able to talk back to me!\Nana, you're awesome! response:	- Awesome! Awesome! - Did you just realize that?
context: I threw my stupid pride away already.\Now that it's come to this,\I'm gonna take advantage of you any way I can, Ren Honjo.\I'll make it big in this world,\no matter what dirty tricks I must use to get there.\I'll become so big, no one will be able to talk back to me!\Nana, you're awesome!\- Awesome! Awesome! - Did you just realize that? response:	- Awesome! - I can't use chopsticks...
context: Now that it's come to this,\I'm gonna take advantage of you any way I can, Ren Honjo.\I'll make it big in this world,\no matter what dirty tricks I must use to get there.\I'll become so big, no one will be able to talk back to me!\Nana, you're awesome!\- Awesome! Awesome! - Did you just realize that?\- Awesome! - I can't use chopsticks... response:	Where's Nobu?
context: I'm gonna take advantage of you any way I can, Ren Honjo.\I'll make it big in this world,\no matter what dirty tricks I must use to get there.\I'll become so big, no one will be able to talk back to me!\Nana, you're awesome!\- Awesome! Awesome! - Did you just realize that?\- Awesome! - I can't use chopsticks...\Where's Nobu? response:	He's apparently locked himself in his room.
context: I'll make it big in this world,\no matter what dirty tricks I must use to get there.\I'll become so big, no one will be able to talk back to me!\Nana, you're awesome!\- Awesome! Awesome! - Did you just realize that?\- Awesome! - I can't use chopsticks...\Where's Nobu?\He's apparently locked himself in his room. response:	Those rich boys are so weak.
context: no matter what dirty tricks I must use to get there.\I'll become so big, no one will be able to talk back to me!\Nana, you're awesome!\- Awesome! Awesome! - Did you just realize that?\- Awesome! - I can't use chopsticks...\Where's Nobu?\He's apparently locked himself in his room.\Those rich boys are so weak. response:	I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH.
context: I'll become so big, no one will be able to talk back to me!\Nana, you're awesome!\- Awesome! Awesome! - Did you just realize that?\- Awesome! - I can't use chopsticks...\Where's Nobu?\He's apparently locked himself in his room.\Those rich boys are so weak.\I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH. response:	NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT!
context: Nana, you're awesome!\- Awesome! Awesome! - Did you just realize that?\- Awesome! - I can't use chopsticks...\Where's Nobu?\He's apparently locked himself in his room.\Those rich boys are so weak.\I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH.\NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT! response:	WHAT'S HACHIKO? NANA'S PET DOG?
context: - Awesome! Awesome! - Did you just realize that?\- Awesome! - I can't use chopsticks...\Where's Nobu?\He's apparently locked himself in his room.\Those rich boys are so weak.\I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH.\NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT!\WHAT'S HACHIKO? NANA'S PET DOG? response:	You can't break me with food anymore!
context: - Awesome! - I can't use chopsticks...\Where's Nobu?\He's apparently locked himself in his room.\Those rich boys are so weak.\I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH.\NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT!\WHAT'S HACHIKO? NANA'S PET DOG?\You can't break me with food anymore! response:	No. The food's done nothing wrong. Eat it.
context: Where's Nobu?\He's apparently locked himself in his room.\Those rich boys are so weak.\I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH.\NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT!\WHAT'S HACHIKO? NANA'S PET DOG?\You can't break me with food anymore!\No. The food's done nothing wrong. Eat it. response:	I'm not at all happy that our debut was decided in this way.
context: He's apparently locked himself in his room.\Those rich boys are so weak.\I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH.\NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT!\WHAT'S HACHIKO? NANA'S PET DOG?\You can't break me with food anymore!\No. The food's done nothing wrong. Eat it.\I'm not at all happy that our debut was decided in this way. response:	I'm surprised Nana's going along with it.
context: Those rich boys are so weak.\I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH.\NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT!\WHAT'S HACHIKO? NANA'S PET DOG?\You can't break me with food anymore!\No. The food's done nothing wrong. Eat it.\I'm not at all happy that our debut was decided in this way.\I'm surprised Nana's going along with it. response:	Where has her pride gone?
context: I SAW YOU ON TV! COOL! ARE YOU GONNA BECOME FAMOUS? GIVE ME YOUR AUTOGRAPH.\NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT!\WHAT'S HACHIKO? NANA'S PET DOG?\You can't break me with food anymore!\No. The food's done nothing wrong. Eat it.\I'm not at all happy that our debut was decided in this way.\I'm surprised Nana's going along with it.\Where has her pride gone? response:	Overcoming adversities is her pride.
context: NANA IS SO PRETTY. INTRODUCE HER TO ME. I'D LOVE TO BE DECEIVED BY A GIRL LIKE THAT!\WHAT'S HACHIKO? NANA'S PET DOG?\You can't break me with food anymore!\No. The food's done nothing wrong. Eat it.\I'm not at all happy that our debut was decided in this way.\I'm surprised Nana's going along with it.\Where has her pride gone?\Overcoming adversities is her pride. response:	But I have my pride too.
context: WHAT'S HACHIKO? NANA'S PET DOG?\You can't break me with food anymore!\No. The food's done nothing wrong. Eat it.\I'm not at all happy that our debut was decided in this way.\I'm surprised Nana's going along with it.\Where has her pride gone?\Overcoming adversities is her pride.\But I have my pride too. response:	In the end, Gaia could care less about our sound.
context: You can't break me with food anymore!\No. The food's done nothing wrong. Eat it.\I'm not at all happy that our debut was decided in this way.\I'm surprised Nana's going along with it.\Where has her pride gone?\Overcoming adversities is her pride.\But I have my pride too.\In the end, Gaia could care less about our sound. response:	Is this what a big record label should be doing?
context: No. The food's done nothing wrong. Eat it.\I'm not at all happy that our debut was decided in this way.\I'm surprised Nana's going along with it.\Where has her pride gone?\Overcoming adversities is her pride.\But I have my pride too.\In the end, Gaia could care less about our sound.\Is this what a big record label should be doing? response:	You know, that's how all big companies operate.
context: I'm not at all happy that our debut was decided in this way.\I'm surprised Nana's going along with it.\Where has her pride gone?\Overcoming adversities is her pride.\But I have my pride too.\In the end, Gaia could care less about our sound.\Is this what a big record label should be doing?\You know, that's how all big companies operate. response:	If it sells, anything goes.
context: I'm surprised Nana's going along with it.\Where has her pride gone?\Overcoming adversities is her pride.\But I have my pride too.\In the end, Gaia could care less about our sound.\Is this what a big record label should be doing?\You know, that's how all big companies operate.\If it sells, anything goes. response:	Yasu!
context: Where has her pride gone?\Overcoming adversities is her pride.\But I have my pride too.\In the end, Gaia could care less about our sound.\Is this what a big record label should be doing?\You know, that's how all big companies operate.\If it sells, anything goes.\Yasu! response:	And Gaia likely has something to do with all this commotion as well.
context: Overcoming adversities is her pride.\But I have my pride too.\In the end, Gaia could care less about our sound.\Is this what a big record label should be doing?\You know, that's how all big companies operate.\If it sells, anything goes.\Yasu!\And Gaia likely has something to do with all this commotion as well. response:	I knew it.
context: But I have my pride too.\In the end, Gaia could care less about our sound.\Is this what a big record label should be doing?\You know, that's how all big companies operate.\If it sells, anything goes.\Yasu!\And Gaia likely has something to do with all this commotion as well.\I knew it. response:	This is no more than a speculation by Mr. Kawano and Mr. Matsuo.
context: In the end, Gaia could care less about our sound.\Is this what a big record label should be doing?\You know, that's how all big companies operate.\If it sells, anything goes.\Yasu!\And Gaia likely has something to do with all this commotion as well.\I knew it.\This is no more than a speculation by Mr. Kawano and Mr. Matsuo. response:	The TV station that airs Morning Seven has two music shows,
context: Is this what a big record label should be doing?\You know, that's how all big companies operate.\If it sells, anything goes.\Yasu!\And Gaia likely has something to do with all this commotion as well.\I knew it.\This is no more than a speculation by Mr. Kawano and Mr. Matsuo.\The TV station that airs Morning Seven has two music shows, response:	and there are also other shows that Gaia is tied up to.
context: You know, that's how all big companies operate.\If it sells, anything goes.\Yasu!\And Gaia likely has something to do with all this commotion as well.\I knew it.\This is no more than a speculation by Mr. Kawano and Mr. Matsuo.\The TV station that airs Morning Seven has two music shows,\and there are also other shows that Gaia is tied up to. response:	So, you see, they have to get along with each other
context: If it sells, anything goes.\Yasu!\And Gaia likely has something to do with all this commotion as well.\I knew it.\This is no more than a speculation by Mr. Kawano and Mr. Matsuo.\The TV station that airs Morning Seven has two music shows,\and there are also other shows that Gaia is tied up to.\So, you see, they have to get along with each other response:	to maintain their present relationship.
context: Yasu!\And Gaia likely has something to do with all this commotion as well.\I knew it.\This is no more than a speculation by Mr. Kawano and Mr. Matsuo.\The TV station that airs Morning Seven has two music shows,\and there are also other shows that Gaia is tied up to.\So, you see, they have to get along with each other\to maintain their present relationship. response:	For the network to introduce our band like that,
context: And Gaia likely has something to do with all this commotion as well.\I knew it.\This is no more than a speculation by Mr. Kawano and Mr. Matsuo.\The TV station that airs Morning Seven has two music shows,\and there are also other shows that Gaia is tied up to.\So, you see, they have to get along with each other\to maintain their present relationship.\For the network to introduce our band like that, response:	they must've contacted Gaia ahead of time.
context: I knew it.\This is no more than a speculation by Mr. Kawano and Mr. Matsuo.\The TV station that airs Morning Seven has two music shows,\and there are also other shows that Gaia is tied up to.\So, you see, they have to get along with each other\to maintain their present relationship.\For the network to introduce our band like that,\they must've contacted Gaia ahead of time. response:	Otherwise, they would never mention the company name.
context: This is no more than a speculation by Mr. Kawano and Mr. Matsuo.\The TV station that airs Morning Seven has two music shows,\and there are also other shows that Gaia is tied up to.\So, you see, they have to get along with each other\to maintain their present relationship.\For the network to introduce our band like that,\they must've contacted Gaia ahead of time.\Otherwise, they would never mention the company name. response:	The show acted like a promotion for us probably
context: The TV station that airs Morning Seven has two music shows,\and there are also other shows that Gaia is tied up to.\So, you see, they have to get along with each other\to maintain their present relationship.\For the network to introduce our band like that,\they must've contacted Gaia ahead of time.\Otherwise, they would never mention the company name.\The show acted like a promotion for us probably response:	because Gaia allowed the show to air under such conditions.
context: and there are also other shows that Gaia is tied up to.\So, you see, they have to get along with each other\to maintain their present relationship.\For the network to introduce our band like that,\they must've contacted Gaia ahead of time.\Otherwise, they would never mention the company name.\The show acted like a promotion for us probably\because Gaia allowed the show to air under such conditions. response:	Should the topic fail and we end up getting crushed,
context: So, you see, they have to get along with each other\to maintain their present relationship.\For the network to introduce our band like that,\they must've contacted Gaia ahead of time.\Otherwise, they would never mention the company name.\The show acted like a promotion for us probably\because Gaia allowed the show to air under such conditions.\Should the topic fail and we end up getting crushed, response:	Gaia would lose nothing from it.
context: to maintain their present relationship.\For the network to introduce our band like that,\they must've contacted Gaia ahead of time.\Otherwise, they would never mention the company name.\The show acted like a promotion for us probably\because Gaia allowed the show to air under such conditions.\Should the topic fail and we end up getting crushed,\Gaia would lose nothing from it. response:	They're the worst.
context: For the network to introduce our band like that,\they must've contacted Gaia ahead of time.\Otherwise, they would never mention the company name.\The show acted like a promotion for us probably\because Gaia allowed the show to air under such conditions.\Should the topic fail and we end up getting crushed,\Gaia would lose nothing from it.\They're the worst. response:	Nana's sucking it in, but she's gotta be really hurt by this.
context: they must've contacted Gaia ahead of time.\Otherwise, they would never mention the company name.\The show acted like a promotion for us probably\because Gaia allowed the show to air under such conditions.\Should the topic fail and we end up getting crushed,\Gaia would lose nothing from it.\They're the worst.\Nana's sucking it in, but she's gotta be really hurt by this. response:	I don't wanna debut through an agency like that.
context: Otherwise, they would never mention the company name.\The show acted like a promotion for us probably\because Gaia allowed the show to air under such conditions.\Should the topic fail and we end up getting crushed,\Gaia would lose nothing from it.\They're the worst.\Nana's sucking it in, but she's gotta be really hurt by this.\I don't wanna debut through an agency like that. response:	But no matter who you team up with, there will always be a hidden side.
context: The show acted like a promotion for us probably\because Gaia allowed the show to air under such conditions.\Should the topic fail and we end up getting crushed,\Gaia would lose nothing from it.\They're the worst.\Nana's sucking it in, but she's gotta be really hurt by this.\I don't wanna debut through an agency like that.\But no matter who you team up with, there will always be a hidden side. response:	The good thing about Gaia is, if they want to,
context: because Gaia allowed the show to air under such conditions.\Should the topic fail and we end up getting crushed,\Gaia would lose nothing from it.\They're the worst.\Nana's sucking it in, but she's gotta be really hurt by this.\I don't wanna debut through an agency like that.\But no matter who you team up with, there will always be a hidden side.\The good thing about Gaia is, if they want to, response:	they have deep pockets to assist us with.
context: Should the topic fail and we end up getting crushed,\Gaia would lose nothing from it.\They're the worst.\Nana's sucking it in, but she's gotta be really hurt by this.\I don't wanna debut through an agency like that.\But no matter who you team up with, there will always be a hidden side.\The good thing about Gaia is, if they want to,\they have deep pockets to assist us with. response:	It's one thing to be all about music,
context: Gaia would lose nothing from it.\They're the worst.\Nana's sucking it in, but she's gotta be really hurt by this.\I don't wanna debut through an agency like that.\But no matter who you team up with, there will always be a hidden side.\The good thing about Gaia is, if they want to,\they have deep pockets to assist us with.\It's one thing to be all about music, response:	but unless people get to hear it, what's the point?
context: They're the worst.\Nana's sucking it in, but she's gotta be really hurt by this.\I don't wanna debut through an agency like that.\But no matter who you team up with, there will always be a hidden side.\The good thing about Gaia is, if they want to,\they have deep pockets to assist us with.\It's one thing to be all about music,\but unless people get to hear it, what's the point? response:	If we're going pro,
context: Nana's sucking it in, but she's gotta be really hurt by this.\I don't wanna debut through an agency like that.\But no matter who you team up with, there will always be a hidden side.\The good thing about Gaia is, if they want to,\they have deep pockets to assist us with.\It's one thing to be all about music,\but unless people get to hear it, what's the point?\If we're going pro, response:	then it's to our advantage to team up with a place
context: I don't wanna debut through an agency like that.\But no matter who you team up with, there will always be a hidden side.\The good thing about Gaia is, if they want to,\they have deep pockets to assist us with.\It's one thing to be all about music,\but unless people get to hear it, what's the point?\If we're going pro,\then it's to our advantage to team up with a place response:	that will dish out the most money for production and advertising.
context: But no matter who you team up with, there will always be a hidden side.\The good thing about Gaia is, if they want to,\they have deep pockets to assist us with.\It's one thing to be all about music,\but unless people get to hear it, what's the point?\If we're going pro,\then it's to our advantage to team up with a place\that will dish out the most money for production and advertising. response:	I'm sure there are a number of things you're not satisfied about, but...
context: The good thing about Gaia is, if they want to,\they have deep pockets to assist us with.\It's one thing to be all about music,\but unless people get to hear it, what's the point?\If we're going pro,\then it's to our advantage to team up with a place\that will dish out the most money for production and advertising.\I'm sure there are a number of things you're not satisfied about, but... response:	Lately, my life's been full of things I'm not satisfied with.
context: they have deep pockets to assist us with.\It's one thing to be all about music,\but unless people get to hear it, what's the point?\If we're going pro,\then it's to our advantage to team up with a place\that will dish out the most money for production and advertising.\I'm sure there are a number of things you're not satisfied about, but...\Lately, my life's been full of things I'm not satisfied with. response:	Then you must've figured it out by now.
context: It's one thing to be all about music,\but unless people get to hear it, what's the point?\If we're going pro,\then it's to our advantage to team up with a place\that will dish out the most money for production and advertising.\I'm sure there are a number of things you're not satisfied about, but...\Lately, my life's been full of things I'm not satisfied with.\Then you must've figured it out by now. response:	Justice doesn't always prevail in this world.
context: but unless people get to hear it, what's the point?\If we're going pro,\then it's to our advantage to team up with a place\that will dish out the most money for production and advertising.\I'm sure there are a number of things you're not satisfied about, but...\Lately, my life's been full of things I'm not satisfied with.\Then you must've figured it out by now.\Justice doesn't always prevail in this world. response:	If you don't wanna lose, you've gotta be tough.
context: If we're going pro,\then it's to our advantage to team up with a place\that will dish out the most money for production and advertising.\I'm sure there are a number of things you're not satisfied about, but...\Lately, my life's been full of things I'm not satisfied with.\Then you must've figured it out by now.\Justice doesn't always prevail in this world.\If you don't wanna lose, you've gotta be tough. response:	You've gotta be more cunning.
context: then it's to our advantage to team up with a place\that will dish out the most money for production and advertising.\I'm sure there are a number of things you're not satisfied about, but...\Lately, my life's been full of things I'm not satisfied with.\Then you must've figured it out by now.\Justice doesn't always prevail in this world.\If you don't wanna lose, you've gotta be tough.\You've gotta be more cunning. response:	If you can't do that, go back to Terashima Inn.
