context: Saitama National University. response:	I'm in the science department, enjoying my campus lifestyle.
context: Experiment 1\Point-blank range,\patting Himuro's head.\How about it, Yukimura-kun?\Are you experiencing any sensation of an increased heart rate?\I don't know, myself.\What principle is allowing her hair to move?\That should do it. response:	Wait.
context: Point-blank range,\patting Himuro's head.\How about it, Yukimura-kun?\Are you experiencing any sensation of an increased heart rate?\I don't know, myself.\What principle is allowing her hair to move?\That should do it.\Wait. response:	Let's measure for another ten minutes.
context: patting Himuro's head.\How about it, Yukimura-kun?\Are you experiencing any sensation of an increased heart rate?\I don't know, myself.\What principle is allowing her hair to move?\That should do it.\Wait.\Let's measure for another ten minutes. response:	Is that much time necessary?
context: How about it, Yukimura-kun?\Are you experiencing any sensation of an increased heart rate?\I don't know, myself.\What principle is allowing her hair to move?\That should do it.\Wait.\Let's measure for another ten minutes.\Is that much time necessary? response:	There's nothing wrong with having more data.
context: Are you experiencing any sensation of an increased heart rate?\I don't know, myself.\What principle is allowing her hair to move?\That should do it.\Wait.\Let's measure for another ten minutes.\Is that much time necessary?\There's nothing wrong with having more data. response:	You said so yourself, didn't you, Yukimura-kun?
context: I don't know, myself.\What principle is allowing her hair to move?\That should do it.\Wait.\Let's measure for another ten minutes.\Is that much time necessary?\There's nothing wrong with having more data.\You said so yourself, didn't you, Yukimura-kun? response:	That's some crazy stuff you're doing there, you two.
context: What principle is allowing her hair to move?\That should do it.\Wait.\Let's measure for another ten minutes.\Is that much time necessary?\There's nothing wrong with having more data.\You said so yourself, didn't you, Yukimura-kun?\That's some crazy stuff you're doing there, you two. response:	Ibarada.
context: That should do it.\Wait.\Let's measure for another ten minutes.\Is that much time necessary?\There's nothing wrong with having more data.\You said so yourself, didn't you, Yukimura-kun?\That's some crazy stuff you're doing there, you two.\Ibarada. response:	This has nothing to do with you.
context: Wait.\Let's measure for another ten minutes.\Is that much time necessary?\There's nothing wrong with having more data.\You said so yourself, didn't you, Yukimura-kun?\That's some crazy stuff you're doing there, you two.\Ibarada.\This has nothing to do with you. response:	That's Ibarada-se-n-pa-i.
context: Let's measure for another ten minutes.\Is that much time necessary?\There's nothing wrong with having more data.\You said so yourself, didn't you, Yukimura-kun?\That's some crazy stuff you're doing there, you two.\Ibarada.\This has nothing to do with you.\That's Ibarada-se-n-pa-i. response:	So, what's this experiment about?
context: Is that much time necessary?\There's nothing wrong with having more data.\You said so yourself, didn't you, Yukimura-kun?\That's some crazy stuff you're doing there, you two.\Ibarada.\This has nothing to do with you.\That's Ibarada-se-n-pa-i.\So, what's this experiment about? response:	We were doing an experiment to find proof of whether one party loves another or not.
context: There's nothing wrong with having more data.\You said so yourself, didn't you, Yukimura-kun?\That's some crazy stuff you're doing there, you two.\Ibarada.\This has nothing to do with you.\That's Ibarada-se-n-pa-i.\So, what's this experiment about?\We were doing an experiment to find proof of whether one party loves another or not. response:	Himuro-senpai's in love, you see, with Yukimura-senpai.
context: You said so yourself, didn't you, Yukimura-kun?\That's some crazy stuff you're doing there, you two.\Ibarada.\This has nothing to do with you.\That's Ibarada-se-n-pa-i.\So, what's this experiment about?\We were doing an experiment to find proof of whether one party loves another or not.\Himuro-senpai's in love, you see, with Yukimura-senpai. response:	W-We haven't established that for certain yet.
context: That's some crazy stuff you're doing there, you two.\Ibarada.\This has nothing to do with you.\That's Ibarada-se-n-pa-i.\So, what's this experiment about?\We were doing an experiment to find proof of whether one party loves another or not.\Himuro-senpai's in love, you see, with Yukimura-senpai.\W-We haven't established that for certain yet. response:	Really...
context: Ibarada.\This has nothing to do with you.\That's Ibarada-se-n-pa-i.\So, what's this experiment about?\We were doing an experiment to find proof of whether one party loves another or not.\Himuro-senpai's in love, you see, with Yukimura-senpai.\W-We haven't established that for certain yet.\Really... response:	We were just monitoring Yukimura-kun's heart rate.
context: This has nothing to do with you.\That's Ibarada-se-n-pa-i.\So, what's this experiment about?\We were doing an experiment to find proof of whether one party loves another or not.\Himuro-senpai's in love, you see, with Yukimura-senpai.\W-We haven't established that for certain yet.\Really...\We were just monitoring Yukimura-kun's heart rate. response:	Like this.
context: That's Ibarada-se-n-pa-i.\So, what's this experiment about?\We were doing an experiment to find proof of whether one party loves another or not.\Himuro-senpai's in love, you see, with Yukimura-senpai.\W-We haven't established that for certain yet.\Really...\We were just monitoring Yukimura-kun's heart rate.\Like this. response:	Flow of time
context: So, what's this experiment about?\We were doing an experiment to find proof of whether one party loves another or not.\Himuro-senpai's in love, you see, with Yukimura-senpai.\W-We haven't established that for certain yet.\Really...\We were just monitoring Yukimura-kun's heart rate.\Like this.\Flow of time response:	Heart rate
context: We were doing an experiment to find proof of whether one party loves another or not.\Himuro-senpai's in love, you see, with Yukimura-senpai.\W-We haven't established that for certain yet.\Really...\We were just monitoring Yukimura-kun's heart rate.\Like this.\Flow of time\Heart rate response:	Begin head patting
context: Himuro-senpai's in love, you see, with Yukimura-senpai.\W-We haven't established that for certain yet.\Really...\We were just monitoring Yukimura-kun's heart rate.\Like this.\Flow of time\Heart rate\Begin head patting response:	End head patting
context: W-We haven't established that for certain yet.\Really...\We were just monitoring Yukimura-kun's heart rate.\Like this.\Flow of time\Heart rate\Begin head patting\End head patting response:	It can't be!
context: Really...\We were just monitoring Yukimura-kun's heart rate.\Like this.\Flow of time\Heart rate\Begin head patting\End head patting\It can't be! response:	His heart rate's so high!
context: We were just monitoring Yukimura-kun's heart rate.\Like this.\Flow of time\Heart rate\Begin head patting\End head patting\It can't be!\His heart rate's so high! response:	Himuro-senpai, yours was high, but isn't his higher?
context: Like this.\Flow of time\Heart rate\Begin head patting\End head patting\It can't be!\His heart rate's so high!\Himuro-senpai, yours was high, but isn't his higher? response:	What's this? Yukimura-kun, your heart was racing pretty fast, too.
context: Flow of time\Heart rate\Begin head patting\End head patting\It can't be!\His heart rate's so high!\Himuro-senpai, yours was high, but isn't his higher?\What's this? Yukimura-kun, your heart was racing pretty fast, too. response:	Well... you know... This was...
context: Heart rate\Begin head patting\End head patting\It can't be!\His heart rate's so high!\Himuro-senpai, yours was high, but isn't his higher?\What's this? Yukimura-kun, your heart was racing pretty fast, too.\Well... you know... This was... response:	Hey, guys.
context: Begin head patting\End head patting\It can't be!\His heart rate's so high!\Himuro-senpai, yours was high, but isn't his higher?\What's this? Yukimura-kun, your heart was racing pretty fast, too.\Well... you know... This was...\Hey, guys. response:	Did you run a control in your experiment?
context: End head patting\It can't be!\His heart rate's so high!\Himuro-senpai, yours was high, but isn't his higher?\What's this? Yukimura-kun, your heart was racing pretty fast, too.\Well... you know... This was...\Hey, guys.\Did you run a control in your experiment? response:	If you're referring to resting heart rate, we did measure that.
context: It can't be!\His heart rate's so high!\Himuro-senpai, yours was high, but isn't his higher?\What's this? Yukimura-kun, your heart was racing pretty fast, too.\Well... you know... This was...\Hey, guys.\Did you run a control in your experiment?\If you're referring to resting heart rate, we did measure that. response:	Not that. The person.
context: His heart rate's so high!\Himuro-senpai, yours was high, but isn't his higher?\What's this? Yukimura-kun, your heart was racing pretty fast, too.\Well... you know... This was...\Hey, guys.\Did you run a control in your experiment?\If you're referring to resting heart rate, we did measure that.\Not that. The person. response:	Um... Ibarada-senpai...
context: Himuro-senpai, yours was high, but isn't his higher?\What's this? Yukimura-kun, your heart was racing pretty fast, too.\Well... you know... This was...\Hey, guys.\Did you run a control in your experiment?\If you're referring to resting heart rate, we did measure that.\Not that. The person.\Um... Ibarada-senpai... response:	What do you mean by control?
context: What's this? Yukimura-kun, your heart was racing pretty fast, too.\Well... you know... This was...\Hey, guys.\Did you run a control in your experiment?\If you're referring to resting heart rate, we did measure that.\Not that. The person.\Um... Ibarada-senpai...\What do you mean by control? response:	In short...
context: Well... you know... This was...\Hey, guys.\Did you run a control in your experiment?\If you're referring to resting heart rate, we did measure that.\Not that. The person.\Um... Ibarada-senpai...\What do you mean by control?\In short... response:	Is A responding to B with an increased heart rate?
context: Hey, guys.\Did you run a control in your experiment?\If you're referring to resting heart rate, we did measure that.\Not that. The person.\Um... Ibarada-senpai...\What do you mean by control?\In short...\Is A responding to B with an increased heart rate? response:	Is A responding to B with an increased heart rate?
context: Did you run a control in your experiment?\If you're referring to resting heart rate, we did measure that.\Not that. The person.\Um... Ibarada-senpai...\What do you mean by control?\In short...\Is A responding to B with an increased heart rate?\Is A responding to B with an increased heart rate? response:	This is the objective of the experiment you were running.
context: If you're referring to resting heart rate, we did measure that.\Not that. The person.\Um... Ibarada-senpai...\What do you mean by control?\In short...\Is A responding to B with an increased heart rate?\Is A responding to B with an increased heart rate?\This is the objective of the experiment you were running. response:	To investigate this, you need to run an experiment where B isn't there for comparison.
context: Not that. The person.\Um... Ibarada-senpai...\What do you mean by control?\In short...\Is A responding to B with an increased heart rate?\Is A responding to B with an increased heart rate?\This is the objective of the experiment you were running.\To investigate this, you need to run an experiment where B isn't there for comparison. response:	That's a scientific control.
context: Um... Ibarada-senpai...\What do you mean by control?\In short...\Is A responding to B with an increased heart rate?\Is A responding to B with an increased heart rate?\This is the objective of the experiment you were running.\To investigate this, you need to run an experiment where B isn't there for comparison.\That's a scientific control. response:	whoosh
context: What do you mean by control?\In short...\Is A responding to B with an increased heart rate?\Is A responding to B with an increased heart rate?\This is the objective of the experiment you were running.\To investigate this, you need to run an experiment where B isn't there for comparison.\That's a scientific control.\whoosh response:	No stimulus applied to A.
context: In short...\Is A responding to B with an increased heart rate?\Is A responding to B with an increased heart rate?\This is the objective of the experiment you were running.\To investigate this, you need to run an experiment where B isn't there for comparison.\That's a scientific control.\whoosh\No stimulus applied to A. response:	Heart rate
context: Is A responding to B with an increased heart rate?\Is A responding to B with an increased heart rate?\This is the objective of the experiment you were running.\To investigate this, you need to run an experiment where B isn't there for comparison.\That's a scientific control.\whoosh\No stimulus applied to A.\Heart rate response:	Right now, you're comparing results to an experiment where A is doing nothing.
context: Is A responding to B with an increased heart rate?\This is the objective of the experiment you were running.\To investigate this, you need to run an experiment where B isn't there for comparison.\That's a scientific control.\whoosh\No stimulus applied to A.\Heart rate\Right now, you're comparing results to an experiment where A is doing nothing. response:	whoosh
context: This is the objective of the experiment you were running.\To investigate this, you need to run an experiment where B isn't there for comparison.\That's a scientific control.\whoosh\No stimulus applied to A.\Heart rate\Right now, you're comparing results to an experiment where A is doing nothing.\whoosh response:	No stimulus applied to A.
context: To investigate this, you need to run an experiment where B isn't there for comparison.\That's a scientific control.\whoosh\No stimulus applied to A.\Heart rate\Right now, you're comparing results to an experiment where A is doing nothing.\whoosh\No stimulus applied to A. response:	Heart rate
context: That's a scientific control.\whoosh\No stimulus applied to A.\Heart rate\Right now, you're comparing results to an experiment where A is doing nothing.\whoosh\No stimulus applied to A.\Heart rate response:	ba-dump ba-dump
context: whoosh\No stimulus applied to A.\Heart rate\Right now, you're comparing results to an experiment where A is doing nothing.\whoosh\No stimulus applied to A.\Heart rate\ba-dump ba-dump response:	A gets close to B and pats head.
context: No stimulus applied to A.\Heart rate\Right now, you're comparing results to an experiment where A is doing nothing.\whoosh\No stimulus applied to A.\Heart rate\ba-dump ba-dump\A gets close to B and pats head. response:	Heart rate
context: Heart rate\Right now, you're comparing results to an experiment where A is doing nothing.\whoosh\No stimulus applied to A.\Heart rate\ba-dump ba-dump\A gets close to B and pats head.\Heart rate response:	Comparison
context: Right now, you're comparing results to an experiment where A is doing nothing.\whoosh\No stimulus applied to A.\Heart rate\ba-dump ba-dump\A gets close to B and pats head.\Heart rate\Comparison response:	Scientific Control (negative control)
context: whoosh\No stimulus applied to A.\Heart rate\ba-dump ba-dump\A gets close to B and pats head.\Heart rate\Comparison\Scientific Control (negative control) response:	This is called a negative control.
context: No stimulus applied to A.\Heart rate\ba-dump ba-dump\A gets close to B and pats head.\Heart rate\Comparison\Scientific Control (negative control)\This is called a negative control. response:	It's used as a scientific control when no response is expected.
context: Heart rate\ba-dump ba-dump\A gets close to B and pats head.\Heart rate\Comparison\Scientific Control (negative control)\This is called a negative control.\It's used as a scientific control when no response is expected. response:	However...
context: ba-dump ba-dump\A gets close to B and pats head.\Heart rate\Comparison\Scientific Control (negative control)\This is called a negative control.\It's used as a scientific control when no response is expected.\However... response:	ba-dump ba-dump
context: A gets close to B and pats head.\Heart rate\Comparison\Scientific Control (negative control)\This is called a negative control.\It's used as a scientific control when no response is expected.\However...\ba-dump ba-dump response:	A gets close to B and pats head.
context: Heart rate\Comparison\Scientific Control (negative control)\This is called a negative control.\It's used as a scientific control when no response is expected.\However...\ba-dump ba-dump\A gets close to B and pats head. response:	In this case, comparison to a situation in which the other party is C is also necessary.
context: Comparison\Scientific Control (negative control)\This is called a negative control.\It's used as a scientific control when no response is expected.\However...\ba-dump ba-dump\A gets close to B and pats head.\In this case, comparison to a situation in which the other party is C is also necessary. response:	A gets close to C and pats head.
context: Scientific Control (negative control)\This is called a negative control.\It's used as a scientific control when no response is expected.\However...\ba-dump ba-dump\A gets close to B and pats head.\In this case, comparison to a situation in which the other party is C is also necessary.\A gets close to C and pats head. response:	ba-dump ba-dump
context: This is called a negative control.\It's used as a scientific control when no response is expected.\However...\ba-dump ba-dump\A gets close to B and pats head.\In this case, comparison to a situation in which the other party is C is also necessary.\A gets close to C and pats head.\ba-dump ba-dump response:	A gets close to B and pats head.
context: It's used as a scientific control when no response is expected.\However...\ba-dump ba-dump\A gets close to B and pats head.\In this case, comparison to a situation in which the other party is C is also necessary.\A gets close to C and pats head.\ba-dump ba-dump\A gets close to B and pats head. response:	A gets close to C and pats head.
context: However...\ba-dump ba-dump\A gets close to B and pats head.\In this case, comparison to a situation in which the other party is C is also necessary.\A gets close to C and pats head.\ba-dump ba-dump\A gets close to B and pats head.\A gets close to C and pats head. response:	Otherwise, you can't prove that the other party must be B.
context: ba-dump ba-dump\A gets close to B and pats head.\In this case, comparison to a situation in which the other party is C is also necessary.\A gets close to C and pats head.\ba-dump ba-dump\A gets close to B and pats head.\A gets close to C and pats head.\Otherwise, you can't prove that the other party must be B. response:	Comparison
context: A gets close to B and pats head.\In this case, comparison to a situation in which the other party is C is also necessary.\A gets close to C and pats head.\ba-dump ba-dump\A gets close to B and pats head.\A gets close to C and pats head.\Otherwise, you can't prove that the other party must be B.\Comparison response:	That's true.
context: In this case, comparison to a situation in which the other party is C is also necessary.\A gets close to C and pats head.\ba-dump ba-dump\A gets close to B and pats head.\A gets close to C and pats head.\Otherwise, you can't prove that the other party must be B.\Comparison\That's true. response:	Ibarada-senpai, you're amazing!
context: A gets close to C and pats head.\ba-dump ba-dump\A gets close to B and pats head.\A gets close to C and pats head.\Otherwise, you can't prove that the other party must be B.\Comparison\That's true.\Ibarada-senpai, you're amazing! response:	A gets close to C and pats head
context: ba-dump ba-dump\A gets close to B and pats head.\A gets close to C and pats head.\Otherwise, you can't prove that the other party must be B.\Comparison\That's true.\Ibarada-senpai, you're amazing!\A gets close to C and pats head response:	A gets close to B and pats head
context: A gets close to B and pats head.\A gets close to C and pats head.\Otherwise, you can't prove that the other party must be B.\Comparison\That's true.\Ibarada-senpai, you're amazing!\A gets close to C and pats head\A gets close to B and pats head response:	Comparison
context: A gets close to C and pats head.\Otherwise, you can't prove that the other party must be B.\Comparison\That's true.\Ibarada-senpai, you're amazing!\A gets close to C and pats head\A gets close to B and pats head\Comparison response:	In the experiment you were performing,
context: Otherwise, you can't prove that the other party must be B.\Comparison\That's true.\Ibarada-senpai, you're amazing!\A gets close to C and pats head\A gets close to B and pats head\Comparison\In the experiment you were performing, response:	there's no way to tell if the given factors are affecting the results, so it's pretty pointless.
context: Comparison\That's true.\Ibarada-senpai, you're amazing!\A gets close to C and pats head\A gets close to B and pats head\Comparison\In the experiment you were performing,\there's no way to tell if the given factors are affecting the results, so it's pretty pointless. response:	It might work at a reference level.
context: That's true.\Ibarada-senpai, you're amazing!\A gets close to C and pats head\A gets close to B and pats head\Comparison\In the experiment you were performing,\there's no way to tell if the given factors are affecting the results, so it's pretty pointless.\It might work at a reference level. response:	Which is why...
context: Ibarada-senpai, you're amazing!\A gets close to C and pats head\A gets close to B and pats head\Comparison\In the experiment you were performing,\there's no way to tell if the given factors are affecting the results, so it's pretty pointless.\It might work at a reference level.\Which is why... response:	Let's begin an experiment now.
context: A gets close to C and pats head\A gets close to B and pats head\Comparison\In the experiment you were performing,\there's no way to tell if the given factors are affecting the results, so it's pretty pointless.\It might work at a reference level.\Which is why...\Let's begin an experiment now. response:	Is this man's heart racing because of Himuro...
context: A gets close to B and pats head\Comparison\In the experiment you were performing,\there's no way to tell if the given factors are affecting the results, so it's pretty pointless.\It might work at a reference level.\Which is why...\Let's begin an experiment now.\Is this man's heart racing because of Himuro... response:	Or...
context: Comparison\In the experiment you were performing,\there's no way to tell if the given factors are affecting the results, so it's pretty pointless.\It might work at a reference level.\Which is why...\Let's begin an experiment now.\Is this man's heart racing because of Himuro...\Or... response:	is he some scumbag jerk who gets excited with any woman?
context: In the experiment you were performing,\there's no way to tell if the given factors are affecting the results, so it's pretty pointless.\It might work at a reference level.\Which is why...\Let's begin an experiment now.\Is this man's heart racing because of Himuro...\Or...\is he some scumbag jerk who gets excited with any woman? response:	Experiment 2
context: there's no way to tell if the given factors are affecting the results, so it's pretty pointless.\It might work at a reference level.\Which is why...\Let's begin an experiment now.\Is this man's heart racing because of Himuro...\Or...\is he some scumbag jerk who gets excited with any woman?\Experiment 2 response:	Point-blank range,
context: It might work at a reference level.\Which is why...\Let's begin an experiment now.\Is this man's heart racing because of Himuro...\Or...\is he some scumbag jerk who gets excited with any woman?\Experiment 2\Point-blank range, response:	patting Kanade's head.
context: Which is why...\Let's begin an experiment now.\Is this man's heart racing because of Himuro...\Or...\is he some scumbag jerk who gets excited with any woman?\Experiment 2\Point-blank range,\patting Kanade's head. response:	I'm doing it.
context: Let's begin an experiment now.\Is this man's heart racing because of Himuro...\Or...\is he some scumbag jerk who gets excited with any woman?\Experiment 2\Point-blank range,\patting Kanade's head.\I'm doing it. response:	Well, I guess this is okay...
context: Is this man's heart racing because of Himuro...\Or...\is he some scumbag jerk who gets excited with any woman?\Experiment 2\Point-blank range,\patting Kanade's head.\I'm doing it.\Well, I guess this is okay... response:	Why am I doing this?
context: Or...\is he some scumbag jerk who gets excited with any woman?\Experiment 2\Point-blank range,\patting Kanade's head.\I'm doing it.\Well, I guess this is okay...\Why am I doing this? response:	Oh. The way Yukimura-senpai is patting my head is surprisingly gentle.
context: is he some scumbag jerk who gets excited with any woman?\Experiment 2\Point-blank range,\patting Kanade's head.\I'm doing it.\Well, I guess this is okay...\Why am I doing this?\Oh. The way Yukimura-senpai is patting my head is surprisingly gentle. response:	Experiment 3
context: Experiment 2\Point-blank range,\patting Kanade's head.\I'm doing it.\Well, I guess this is okay...\Why am I doing this?\Oh. The way Yukimura-senpai is patting my head is surprisingly gentle.\Experiment 3 response:	Point-blank range,
context: Point-blank range,\patting Kanade's head.\I'm doing it.\Well, I guess this is okay...\Why am I doing this?\Oh. The way Yukimura-senpai is patting my head is surprisingly gentle.\Experiment 3\Point-blank range, response:	patting Ibarada's head.
context: patting Kanade's head.\I'm doing it.\Well, I guess this is okay...\Why am I doing this?\Oh. The way Yukimura-senpai is patting my head is surprisingly gentle.\Experiment 3\Point-blank range,\patting Ibarada's head. response:	Ibarada! You little...! Unhand me!
context: I'm doing it.\Well, I guess this is okay...\Why am I doing this?\Oh. The way Yukimura-senpai is patting my head is surprisingly gentle.\Experiment 3\Point-blank range,\patting Ibarada's head.\Ibarada! You little...! Unhand me! response:	Heart rate
context: Well, I guess this is okay...\Why am I doing this?\Oh. The way Yukimura-senpai is patting my head is surprisingly gentle.\Experiment 3\Point-blank range,\patting Ibarada's head.\Ibarada! You little...! Unhand me!\Heart rate response:	Begin head patting
context: Why am I doing this?\Oh. The way Yukimura-senpai is patting my head is surprisingly gentle.\Experiment 3\Point-blank range,\patting Ibarada's head.\Ibarada! You little...! Unhand me!\Heart rate\Begin head patting response:	End head patting
context: Oh. The way Yukimura-senpai is patting my head is surprisingly gentle.\Experiment 3\Point-blank range,\patting Ibarada's head.\Ibarada! You little...! Unhand me!\Heart rate\Begin head patting\End head patting response:	Flow of time
context: Experiment 3\Point-blank range,\patting Ibarada's head.\Ibarada! You little...! Unhand me!\Heart rate\Begin head patting\End head patting\Flow of time response:	Ex. 1 (Himuro)
context: Point-blank range,\patting Ibarada's head.\Ibarada! You little...! Unhand me!\Heart rate\Begin head patting\End head patting\Flow of time\Ex. 1 (Himuro) response:	Ex. 2 (Kanade)
context: patting Ibarada's head.\Ibarada! You little...! Unhand me!\Heart rate\Begin head patting\End head patting\Flow of time\Ex. 1 (Himuro)\Ex. 2 (Kanade) response:	Ex. 3 (Ibarada)
context: Ibarada! You little...! Unhand me!\Heart rate\Begin head patting\End head patting\Flow of time\Ex. 1 (Himuro)\Ex. 2 (Kanade)\Ex. 3 (Ibarada) response:	Average resting heart rate
context: Heart rate\Begin head patting\End head patting\Flow of time\Ex. 1 (Himuro)\Ex. 2 (Kanade)\Ex. 3 (Ibarada)\Average resting heart rate response:	They're all about the same?!
context: Begin head patting\End head patting\Flow of time\Ex. 1 (Himuro)\Ex. 2 (Kanade)\Ex. 3 (Ibarada)\Average resting heart rate\They're all about the same?! response:	Himuro, these results, they're...
context: End head patting\Flow of time\Ex. 1 (Himuro)\Ex. 2 (Kanade)\Ex. 3 (Ibarada)\Average resting heart rate\They're all about the same?!\Himuro, these results, they're... response:	Yukimura-kun.
context: Flow of time\Ex. 1 (Himuro)\Ex. 2 (Kanade)\Ex. 3 (Ibarada)\Average resting heart rate\They're all about the same?!\Himuro, these results, they're...\Yukimura-kun. response:	It works for you regardless of the woman?
context: Ex. 1 (Himuro)\Ex. 2 (Kanade)\Ex. 3 (Ibarada)\Average resting heart rate\They're all about the same?!\Himuro, these results, they're...\Yukimura-kun.\It works for you regardless of the woman? response:	No!
context: Ex. 2 (Kanade)\Ex. 3 (Ibarada)\Average resting heart rate\They're all about the same?!\Himuro, these results, they're...\Yukimura-kun.\It works for you regardless of the woman?\No! response:	You're disgusting. You beast!
context: Ex. 3 (Ibarada)\Average resting heart rate\They're all about the same?!\Himuro, these results, they're...\Yukimura-kun.\It works for you regardless of the woman?\No!\You're disgusting. You beast! response:	I'm telling you, it's not like that!
context: Average resting heart rate\They're all about the same?!\Himuro, these results, they're...\Yukimura-kun.\It works for you regardless of the woman?\No!\You're disgusting. You beast!\I'm telling you, it's not like that! response:	To be completely honest...
context: They're all about the same?!\Himuro, these results, they're...\Yukimura-kun.\It works for you regardless of the woman?\No!\You're disgusting. You beast!\I'm telling you, it's not like that!\To be completely honest... response:	When a woman gets close to me, I get so nervous, my heart rate skyrockets.
context: Himuro, these results, they're...\Yukimura-kun.\It works for you regardless of the woman?\No!\You're disgusting. You beast!\I'm telling you, it's not like that!\To be completely honest...\When a woman gets close to me, I get so nervous, my heart rate skyrockets. response:	After all, I've lived my life thus far having absolutely no interactions with women.
context: Yukimura-kun.\It works for you regardless of the woman?\No!\You're disgusting. You beast!\I'm telling you, it's not like that!\To be completely honest...\When a woman gets close to me, I get so nervous, my heart rate skyrockets.\After all, I've lived my life thus far having absolutely no interactions with women. response:	That's not the kind of thing you say with that kind of cocky attitude.
context: It works for you regardless of the woman?\No!\You're disgusting. You beast!\I'm telling you, it's not like that!\To be completely honest...\When a woman gets close to me, I get so nervous, my heart rate skyrockets.\After all, I've lived my life thus far having absolutely no interactions with women.\That's not the kind of thing you say with that kind of cocky attitude. response:	You're pathetic.
context: No!\You're disgusting. You beast!\I'm telling you, it's not like that!\To be completely honest...\When a woman gets close to me, I get so nervous, my heart rate skyrockets.\After all, I've lived my life thus far having absolutely no interactions with women.\That's not the kind of thing you say with that kind of cocky attitude.\You're pathetic. response:	Silence!
context: You're disgusting. You beast!\I'm telling you, it's not like that!\To be completely honest...\When a woman gets close to me, I get so nervous, my heart rate skyrockets.\After all, I've lived my life thus far having absolutely no interactions with women.\That's not the kind of thing you say with that kind of cocky attitude.\You're pathetic.\Silence! response:	Still...
context: I'm telling you, it's not like that!\To be completely honest...\When a woman gets close to me, I get so nervous, my heart rate skyrockets.\After all, I've lived my life thus far having absolutely no interactions with women.\That's not the kind of thing you say with that kind of cocky attitude.\You're pathetic.\Silence!\Still... response:	You two have gone and picked a thorny field of research.
context: To be completely honest...\When a woman gets close to me, I get so nervous, my heart rate skyrockets.\After all, I've lived my life thus far having absolutely no interactions with women.\That's not the kind of thing you say with that kind of cocky attitude.\You're pathetic.\Silence!\Still...\You two have gone and picked a thorny field of research. response:	There's no guarantee the change in heart rate's because of love,
context: When a woman gets close to me, I get so nervous, my heart rate skyrockets.\After all, I've lived my life thus far having absolutely no interactions with women.\That's not the kind of thing you say with that kind of cocky attitude.\You're pathetic.\Silence!\Still...\You two have gone and picked a thorny field of research.\There's no guarantee the change in heart rate's because of love, response:	so how do you prove that mutual love is present?
context: After all, I've lived my life thus far having absolutely no interactions with women.\That's not the kind of thing you say with that kind of cocky attitude.\You're pathetic.\Silence!\Still...\You two have gone and picked a thorny field of research.\There's no guarantee the change in heart rate's because of love,\so how do you prove that mutual love is present? response:	Well, do the best you can, Himuro, Yukimura.
context: That's not the kind of thing you say with that kind of cocky attitude.\You're pathetic.\Silence!\Still...\You two have gone and picked a thorny field of research.\There's no guarantee the change in heart rate's because of love,\so how do you prove that mutual love is present?\Well, do the best you can, Himuro, Yukimura. response:	Hey, Himuro.
context: You're pathetic.\Silence!\Still...\You two have gone and picked a thorny field of research.\There's no guarantee the change in heart rate's because of love,\so how do you prove that mutual love is present?\Well, do the best you can, Himuro, Yukimura.\Hey, Himuro. response:	I've got a list of the close associations I've had up to now.
context: Silence!\Still...\You two have gone and picked a thorny field of research.\There's no guarantee the change in heart rate's because of love,\so how do you prove that mutual love is present?\Well, do the best you can, Himuro, Yukimura.\Hey, Himuro.\I've got a list of the close associations I've had up to now. response:	And? What about it?
context: Still...\You two have gone and picked a thorny field of research.\There's no guarantee the change in heart rate's because of love,\so how do you prove that mutual love is present?\Well, do the best you can, Himuro, Yukimura.\Hey, Himuro.\I've got a list of the close associations I've had up to now.\And? What about it? response:	It's proof that I've never done anything like this with a woman...
context: You two have gone and picked a thorny field of research.\There's no guarantee the change in heart rate's because of love,\so how do you prove that mutual love is present?\Well, do the best you can, Himuro, Yukimura.\Hey, Himuro.\I've got a list of the close associations I've had up to now.\And? What about it?\It's proof that I've never done anything like this with a woman... response:	It isn't like I think you're lying.
context: There's no guarantee the change in heart rate's because of love,\so how do you prove that mutual love is present?\Well, do the best you can, Himuro, Yukimura.\Hey, Himuro.\I've got a list of the close associations I've had up to now.\And? What about it?\It's proof that I've never done anything like this with a woman...\It isn't like I think you're lying. response:	Then why are you angry?
context: so how do you prove that mutual love is present?\Well, do the best you can, Himuro, Yukimura.\Hey, Himuro.\I've got a list of the close associations I've had up to now.\And? What about it?\It's proof that I've never done anything like this with a woman...\It isn't like I think you're lying.\Then why are you angry? response:	No reason. I'm not angry.
context: Well, do the best you can, Himuro, Yukimura.\Hey, Himuro.\I've got a list of the close associations I've had up to now.\And? What about it?\It's proof that I've never done anything like this with a woman...\It isn't like I think you're lying.\Then why are you angry?\No reason. I'm not angry. response:	Yes, you are.
context: Hey, Himuro.\I've got a list of the close associations I've had up to now.\And? What about it?\It's proof that I've never done anything like this with a woman...\It isn't like I think you're lying.\Then why are you angry?\No reason. I'm not angry.\Yes, you are. response:	No, I'm not.
context: I've got a list of the close associations I've had up to now.\And? What about it?\It's proof that I've never done anything like this with a woman...\It isn't like I think you're lying.\Then why are you angry?\No reason. I'm not angry.\Yes, you are.\No, I'm not. response:	You are angry.
context: And? What about it?\It's proof that I've never done anything like this with a woman...\It isn't like I think you're lying.\Then why are you angry?\No reason. I'm not angry.\Yes, you are.\No, I'm not.\You are angry. response:	Just leave it already, Yukimura-kun.
