context: Operation: Ares response:	Did you call for me?
context: Found it!\Tamaki, scout it out.\Roger!\Some bogeys came out!\They fell down all on their own.\I've identified enemy fighters around the capital ship!\I can't see them through this storm!\Kei, what is the situation around the target? response:	The magnetic properties of the ferric oxide storm
context: Tamaki, scout it out.\Roger!\Some bogeys came out!\They fell down all on their own.\I've identified enemy fighters around the capital ship!\I can't see them through this storm!\Kei, what is the situation around the target?\The magnetic properties of the ferric oxide storm response:	have rendered my radar and sensors inoperable.
context: Roger!\Some bogeys came out!\They fell down all on their own.\I've identified enemy fighters around the capital ship!\I can't see them through this storm!\Kei, what is the situation around the target?\The magnetic properties of the ferric oxide storm\have rendered my radar and sensors inoperable. response:	Not cool...
context: Some bogeys came out!\They fell down all on their own.\I've identified enemy fighters around the capital ship!\I can't see them through this storm!\Kei, what is the situation around the target?\The magnetic properties of the ferric oxide storm\have rendered my radar and sensors inoperable.\Not cool... response:	Tamaki, bring them over here.
context: They fell down all on their own.\I've identified enemy fighters around the capital ship!\I can't see them through this storm!\Kei, what is the situation around the target?\The magnetic properties of the ferric oxide storm\have rendered my radar and sensors inoperable.\Not cool...\Tamaki, bring them over here. response:	Sure thing.
context: I've identified enemy fighters around the capital ship!\I can't see them through this storm!\Kei, what is the situation around the target?\The magnetic properties of the ferric oxide storm\have rendered my radar and sensors inoperable.\Not cool...\Tamaki, bring them over here.\Sure thing. response:	Gold 4, prepare to fire!
context: I can't see them through this storm!\Kei, what is the situation around the target?\The magnetic properties of the ferric oxide storm\have rendered my radar and sensors inoperable.\Not cool...\Tamaki, bring them over here.\Sure thing.\Gold 4, prepare to fire! response:	Roger!
context: Kei, what is the situation around the target?\The magnetic properties of the ferric oxide storm\have rendered my radar and sensors inoperable.\Not cool...\Tamaki, bring them over here.\Sure thing.\Gold 4, prepare to fire!\Roger! response:	No evasive maneuvers? They dropped like flies!
context: The magnetic properties of the ferric oxide storm\have rendered my radar and sensors inoperable.\Not cool...\Tamaki, bring them over here.\Sure thing.\Gold 4, prepare to fire!\Roger!\No evasive maneuvers? They dropped like flies! response:	They're headed your way.
context: have rendered my radar and sensors inoperable.\Not cool...\Tamaki, bring them over here.\Sure thing.\Gold 4, prepare to fire!\Roger!\No evasive maneuvers? They dropped like flies!\They're headed your way. response:	Did that attack give our location away...?
context: Not cool...\Tamaki, bring them over here.\Sure thing.\Gold 4, prepare to fire!\Roger!\No evasive maneuvers? They dropped like flies!\They're headed your way.\Did that attack give our location away...? response:	What were you thinking, Suruga?!
context: Tamaki, bring them over here.\Sure thing.\Gold 4, prepare to fire!\Roger!\No evasive maneuvers? They dropped like flies!\They're headed your way.\Did that attack give our location away...?\What were you thinking, Suruga?! response:	Izuru told me to draw them over here!
context: Sure thing.\Gold 4, prepare to fire!\Roger!\No evasive maneuvers? They dropped like flies!\They're headed your way.\Did that attack give our location away...?\What were you thinking, Suruga?!\Izuru told me to draw them over here! response:	Sneak in while we draw their attention.
context: Gold 4, prepare to fire!\Roger!\No evasive maneuvers? They dropped like flies!\They're headed your way.\Did that attack give our location away...?\What were you thinking, Suruga?!\Izuru told me to draw them over here!\Sneak in while we draw their attention. response:	Good idea!
context: Roger!\No evasive maneuvers? They dropped like flies!\They're headed your way.\Did that attack give our location away...?\What were you thinking, Suruga?!\Izuru told me to draw them over here!\Sneak in while we draw their attention.\Good idea! response:	Leave these wimps to me!
context: No evasive maneuvers? They dropped like flies!\They're headed your way.\Did that attack give our location away...?\What were you thinking, Suruga?!\Izuru told me to draw them over here!\Sneak in while we draw their attention.\Good idea!\Leave these wimps to me! response:	I appreciate it.
context: They're headed your way.\Did that attack give our location away...?\What were you thinking, Suruga?!\Izuru told me to draw them over here!\Sneak in while we draw their attention.\Good idea!\Leave these wimps to me!\I appreciate it. response:	It's hard to move in this...
context: Did that attack give our location away...?\What were you thinking, Suruga?!\Izuru told me to draw them over here!\Sneak in while we draw their attention.\Good idea!\Leave these wimps to me!\I appreciate it.\It's hard to move in this... response:	The sand is thicker than expected, isn't it?
context: What were you thinking, Suruga?!\Izuru told me to draw them over here!\Sneak in while we draw their attention.\Good idea!\Leave these wimps to me!\I appreciate it.\It's hard to move in this...\The sand is thicker than expected, isn't it? response:	How come she's the only one who can move around like normal?
context: Izuru told me to draw them over here!\Sneak in while we draw their attention.\Good idea!\Leave these wimps to me!\I appreciate it.\It's hard to move in this...\The sand is thicker than expected, isn't it?\How come she's the only one who can move around like normal? response:	Isn't her enthusiasm great?
context: Sneak in while we draw their attention.\Good idea!\Leave these wimps to me!\I appreciate it.\It's hard to move in this...\The sand is thicker than expected, isn't it?\How come she's the only one who can move around like normal?\Isn't her enthusiasm great? response:	That's the difference?
context: Good idea!\Leave these wimps to me!\I appreciate it.\It's hard to move in this...\The sand is thicker than expected, isn't it?\How come she's the only one who can move around like normal?\Isn't her enthusiasm great?\That's the difference? response:	Her unit won't last long if she keeps that up.
context: Leave these wimps to me!\I appreciate it.\It's hard to move in this...\The sand is thicker than expected, isn't it?\How come she's the only one who can move around like normal?\Isn't her enthusiasm great?\That's the difference?\Her unit won't last long if she keeps that up. response:	Found it!
context: I appreciate it.\It's hard to move in this...\The sand is thicker than expected, isn't it?\How come she's the only one who can move around like normal?\Isn't her enthusiasm great?\That's the difference?\Her unit won't last long if she keeps that up.\Found it! response:	It's guarded!
context: It's hard to move in this...\The sand is thicker than expected, isn't it?\How come she's the only one who can move around like normal?\Isn't her enthusiasm great?\That's the difference?\Her unit won't last long if she keeps that up.\Found it!\It's guarded! response:	Laser sights are ineffective.
context: The sand is thicker than expected, isn't it?\How come she's the only one who can move around like normal?\Isn't her enthusiasm great?\That's the difference?\Her unit won't last long if she keeps that up.\Found it!\It's guarded!\Laser sights are ineffective. response:	Shifting the range finder from auto to manual.
context: How come she's the only one who can move around like normal?\Isn't her enthusiasm great?\That's the difference?\Her unit won't last long if she keeps that up.\Found it!\It's guarded!\Laser sights are ineffective.\Shifting the range finder from auto to manual. response:	Dropping the convergence value from 155 to 120.
context: Isn't her enthusiasm great?\That's the difference?\Her unit won't last long if she keeps that up.\Found it!\It's guarded!\Laser sights are ineffective.\Shifting the range finder from auto to manual.\Dropping the convergence value from 155 to 120. response:	Amending for +2.12G.
context: That's the difference?\Her unit won't last long if she keeps that up.\Found it!\It's guarded!\Laser sights are ineffective.\Shifting the range finder from auto to manual.\Dropping the convergence value from 155 to 120.\Amending for +2.12G. response:	Inserting the anticipated trajectory deviations.
context: Her unit won't last long if she keeps that up.\Found it!\It's guarded!\Laser sights are ineffective.\Shifting the range finder from auto to manual.\Dropping the convergence value from 155 to 120.\Amending for +2.12G.\Inserting the anticipated trajectory deviations. response:	We're goin' manual, huh? This is getting fun!
context: Found it!\It's guarded!\Laser sights are ineffective.\Shifting the range finder from auto to manual.\Dropping the convergence value from 155 to 120.\Amending for +2.12G.\Inserting the anticipated trajectory deviations.\We're goin' manual, huh? This is getting fun! response:	I'm aimin' for targets that I can't see based solely off of speculation!
context: It's guarded!\Laser sights are ineffective.\Shifting the range finder from auto to manual.\Dropping the convergence value from 155 to 120.\Amending for +2.12G.\Inserting the anticipated trajectory deviations.\We're goin' manual, huh? This is getting fun!\I'm aimin' for targets that I can't see based solely off of speculation! response:	This is when a sniper gets to show what he's made of!
context: Laser sights are ineffective.\Shifting the range finder from auto to manual.\Dropping the convergence value from 155 to 120.\Amending for +2.12G.\Inserting the anticipated trajectory deviations.\We're goin' manual, huh? This is getting fun!\I'm aimin' for targets that I can't see based solely off of speculation!\This is when a sniper gets to show what he's made of! response:	I'm all set!
context: Shifting the range finder from auto to manual.\Dropping the convergence value from 155 to 120.\Amending for +2.12G.\Inserting the anticipated trajectory deviations.\We're goin' manual, huh? This is getting fun!\I'm aimin' for targets that I can't see based solely off of speculation!\This is when a sniper gets to show what he's made of!\I'm all set! response:	Fire!
context: Dropping the convergence value from 155 to 120.\Amending for +2.12G.\Inserting the anticipated trajectory deviations.\We're goin' manual, huh? This is getting fun!\I'm aimin' for targets that I can't see based solely off of speculation!\This is when a sniper gets to show what he's made of!\I'm all set!\Fire! response:	He got all of them!
context: Amending for +2.12G.\Inserting the anticipated trajectory deviations.\We're goin' manual, huh? This is getting fun!\I'm aimin' for targets that I can't see based solely off of speculation!\This is when a sniper gets to show what he's made of!\I'm all set!\Fire!\He got all of them! response:	Whatcha think of my moves?
context: Inserting the anticipated trajectory deviations.\We're goin' manual, huh? This is getting fun!\I'm aimin' for targets that I can't see based solely off of speculation!\This is when a sniper gets to show what he's made of!\I'm all set!\Fire!\He got all of them!\Whatcha think of my moves? response:	You were just following Kei's orders, weren't you?
context: We're goin' manual, huh? This is getting fun!\I'm aimin' for targets that I can't see based solely off of speculation!\This is when a sniper gets to show what he's made of!\I'm all set!\Fire!\He got all of them!\Whatcha think of my moves?\You were just following Kei's orders, weren't you? response:	Yeah, but still!
context: I'm aimin' for targets that I can't see based solely off of speculation!\This is when a sniper gets to show what he's made of!\I'm all set!\Fire!\He got all of them!\Whatcha think of my moves?\You were just following Kei's orders, weren't you?\Yeah, but still! response:	Let's sneak in while we still can!
context: This is when a sniper gets to show what he's made of!\I'm all set!\Fire!\He got all of them!\Whatcha think of my moves?\You were just following Kei's orders, weren't you?\Yeah, but still!\Let's sneak in while we still can! response:	It would seem you've successfully infiltrated the ship.
context: I'm all set!\Fire!\He got all of them!\Whatcha think of my moves?\You were just following Kei's orders, weren't you?\Yeah, but still!\Let's sneak in while we still can!\It would seem you've successfully infiltrated the ship. response:	I shall lead the way from here.
context: Fire!\He got all of them!\Whatcha think of my moves?\You were just following Kei's orders, weren't you?\Yeah, but still!\Let's sneak in while we still can!\It would seem you've successfully infiltrated the ship.\I shall lead the way from here. response:	The bridge is this way. Please follow me.
context: He got all of them!\Whatcha think of my moves?\You were just following Kei's orders, weren't you?\Yeah, but still!\Let's sneak in while we still can!\It would seem you've successfully infiltrated the ship.\I shall lead the way from here.\The bridge is this way. Please follow me. response:	W-wait a second! I need to set our transponder.
context: Whatcha think of my moves?\You were just following Kei's orders, weren't you?\Yeah, but still!\Let's sneak in while we still can!\It would seem you've successfully infiltrated the ship.\I shall lead the way from here.\The bridge is this way. Please follow me.\W-wait a second! I need to set our transponder. response:	We'll leave you behind if you don't hurry!
context: You were just following Kei's orders, weren't you?\Yeah, but still!\Let's sneak in while we still can!\It would seem you've successfully infiltrated the ship.\I shall lead the way from here.\The bridge is this way. Please follow me.\W-wait a second! I need to set our transponder.\We'll leave you behind if you don't hurry! response:	It looks like it's alive...
context: Yeah, but still!\Let's sneak in while we still can!\It would seem you've successfully infiltrated the ship.\I shall lead the way from here.\The bridge is this way. Please follow me.\W-wait a second! I need to set our transponder.\We'll leave you behind if you don't hurry!\It looks like it's alive... response:	Yeah. I hate how it feels like we're inside an animal!
context: Let's sneak in while we still can!\It would seem you've successfully infiltrated the ship.\I shall lead the way from here.\The bridge is this way. Please follow me.\W-wait a second! I need to set our transponder.\We'll leave you behind if you don't hurry!\It looks like it's alive...\Yeah. I hate how it feels like we're inside an animal! response:	The construction materials used biological tissues.
context: It would seem you've successfully infiltrated the ship.\I shall lead the way from here.\The bridge is this way. Please follow me.\W-wait a second! I need to set our transponder.\We'll leave you behind if you don't hurry!\It looks like it's alive...\Yeah. I hate how it feels like we're inside an animal!\The construction materials used biological tissues. response:	But it's starting to fall apart...
context: I shall lead the way from here.\The bridge is this way. Please follow me.\W-wait a second! I need to set our transponder.\We'll leave you behind if you don't hurry!\It looks like it's alive...\Yeah. I hate how it feels like we're inside an animal!\The construction materials used biological tissues.\But it's starting to fall apart... response:	I imagine it is starting to deteriorate.
context: The bridge is this way. Please follow me.\W-wait a second! I need to set our transponder.\We'll leave you behind if you don't hurry!\It looks like it's alive...\Yeah. I hate how it feels like we're inside an animal!\The construction materials used biological tissues.\But it's starting to fall apart...\I imagine it is starting to deteriorate. response:	Let's hurry.
context: W-wait a second! I need to set our transponder.\We'll leave you behind if you don't hurry!\It looks like it's alive...\Yeah. I hate how it feels like we're inside an animal!\The construction materials used biological tissues.\But it's starting to fall apart...\I imagine it is starting to deteriorate.\Let's hurry. response:	It's the enemy! Fire!
context: We'll leave you behind if you don't hurry!\It looks like it's alive...\Yeah. I hate how it feels like we're inside an animal!\The construction materials used biological tissues.\But it's starting to fall apart...\I imagine it is starting to deteriorate.\Let's hurry.\It's the enemy! Fire! response:	That is no longer necessary.
context: It looks like it's alive...\Yeah. I hate how it feels like we're inside an animal!\The construction materials used biological tissues.\But it's starting to fall apart...\I imagine it is starting to deteriorate.\Let's hurry.\It's the enemy! Fire!\That is no longer necessary. response:	It's dead?
context: Yeah. I hate how it feels like we're inside an animal!\The construction materials used biological tissues.\But it's starting to fall apart...\I imagine it is starting to deteriorate.\Let's hurry.\It's the enemy! Fire!\That is no longer necessary.\It's dead? response:	If it wasn't, you would be!
context: The construction materials used biological tissues.\But it's starting to fall apart...\I imagine it is starting to deteriorate.\Let's hurry.\It's the enemy! Fire!\That is no longer necessary.\It's dead?\If it wasn't, you would be! response:	They are unable to move without a cartridge.
context: But it's starting to fall apart...\I imagine it is starting to deteriorate.\Let's hurry.\It's the enemy! Fire!\That is no longer necessary.\It's dead?\If it wasn't, you would be!\They are unable to move without a cartridge. response:	A cartridge?
context: I imagine it is starting to deteriorate.\Let's hurry.\It's the enemy! Fire!\That is no longer necessary.\It's dead?\If it wasn't, you would be!\They are unable to move without a cartridge.\A cartridge? response:	Correct. They were cloned together with their units.
context: Let's hurry.\It's the enemy! Fire!\That is no longer necessary.\It's dead?\If it wasn't, you would be!\They are unable to move without a cartridge.\A cartridge?\Correct. They were cloned together with their units. response:	However, without this cartridge,
context: It's the enemy! Fire!\That is no longer necessary.\It's dead?\If it wasn't, you would be!\They are unable to move without a cartridge.\A cartridge?\Correct. They were cloned together with their units.\However, without this cartridge, response:	the organic part of their unit cannot
context: That is no longer necessary.\It's dead?\If it wasn't, you would be!\They are unable to move without a cartridge.\A cartridge?\Correct. They were cloned together with their units.\However, without this cartridge,\the organic part of their unit cannot response:	sustain itself beyond a given period of time.
context: It's dead?\If it wasn't, you would be!\They are unable to move without a cartridge.\A cartridge?\Correct. They were cloned together with their units.\However, without this cartridge,\the organic part of their unit cannot\sustain itself beyond a given period of time. response:	Foot soldiers are consumable resources,
context: If it wasn't, you would be!\They are unable to move without a cartridge.\A cartridge?\Correct. They were cloned together with their units.\However, without this cartridge,\the organic part of their unit cannot\sustain itself beyond a given period of time.\Foot soldiers are consumable resources, response:	so I imagine they were cut from the cartridge supplies after the crash.
context: They are unable to move without a cartridge.\A cartridge?\Correct. They were cloned together with their units.\However, without this cartridge,\the organic part of their unit cannot\sustain itself beyond a given period of time.\Foot soldiers are consumable resources,\so I imagine they were cut from the cartridge supplies after the crash. response:	Clones are consumable resources...?
context: A cartridge?\Correct. They were cloned together with their units.\However, without this cartridge,\the organic part of their unit cannot\sustain itself beyond a given period of time.\Foot soldiers are consumable resources,\so I imagine they were cut from the cartridge supplies after the crash.\Clones are consumable resources...? response:	We use the genes from past prize soldiers to mass produce their clones.
context: Correct. They were cloned together with their units.\However, without this cartridge,\the organic part of their unit cannot\sustain itself beyond a given period of time.\Foot soldiers are consumable resources,\so I imagine they were cut from the cartridge supplies after the crash.\Clones are consumable resources...?\We use the genes from past prize soldiers to mass produce their clones. response:	Thus they can continue to hunt in pursuit of superior genes.
context: However, without this cartridge,\the organic part of their unit cannot\sustain itself beyond a given period of time.\Foot soldiers are consumable resources,\so I imagine they were cut from the cartridge supplies after the crash.\Clones are consumable resources...?\We use the genes from past prize soldiers to mass produce their clones.\Thus they can continue to hunt in pursuit of superior genes. response:	And their target is...
context: the organic part of their unit cannot\sustain itself beyond a given period of time.\Foot soldiers are consumable resources,\so I imagine they were cut from the cartridge supplies after the crash.\Clones are consumable resources...?\We use the genes from past prize soldiers to mass produce their clones.\Thus they can continue to hunt in pursuit of superior genes.\And their target is... response:	Correct. It is you.
context: sustain itself beyond a given period of time.\Foot soldiers are consumable resources,\so I imagine they were cut from the cartridge supplies after the crash.\Clones are consumable resources...?\We use the genes from past prize soldiers to mass produce their clones.\Thus they can continue to hunt in pursuit of superior genes.\And their target is...\Correct. It is you. response:	The storm above the target appears to be growing worse.
context: Foot soldiers are consumable resources,\so I imagine they were cut from the cartridge supplies after the crash.\Clones are consumable resources...?\We use the genes from past prize soldiers to mass produce their clones.\Thus they can continue to hunt in pursuit of superior genes.\And their target is...\Correct. It is you.\The storm above the target appears to be growing worse. response:	Is it interfering with the mission?
context: so I imagine they were cut from the cartridge supplies after the crash.\Clones are consumable resources...?\We use the genes from past prize soldiers to mass produce their clones.\Thus they can continue to hunt in pursuit of superior genes.\And their target is...\Correct. It is you.\The storm above the target appears to be growing worse.\Is it interfering with the mission? response:	Currently, they are unable to use their radar or sensors.
context: Clones are consumable resources...?\We use the genes from past prize soldiers to mass produce their clones.\Thus they can continue to hunt in pursuit of superior genes.\And their target is...\Correct. It is you.\The storm above the target appears to be growing worse.\Is it interfering with the mission?\Currently, they are unable to use their radar or sensors. response:	Transmissions have entered the red.
context: We use the genes from past prize soldiers to mass produce their clones.\Thus they can continue to hunt in pursuit of superior genes.\And their target is...\Correct. It is you.\The storm above the target appears to be growing worse.\Is it interfering with the mission?\Currently, they are unable to use their radar or sensors.\Transmissions have entered the red. response:	Their maneuverability has dropped by 20.
context: Thus they can continue to hunt in pursuit of superior genes.\And their target is...\Correct. It is you.\The storm above the target appears to be growing worse.\Is it interfering with the mission?\Currently, they are unable to use their radar or sensors.\Transmissions have entered the red.\Their maneuverability has dropped by 20. response:	The target's rate of deterioration may increase as well.
context: And their target is...\Correct. It is you.\The storm above the target appears to be growing worse.\Is it interfering with the mission?\Currently, they are unable to use their radar or sensors.\Transmissions have entered the red.\Their maneuverability has dropped by 20.\The target's rate of deterioration may increase as well. response:	So the operation itself is in peril...
context: Correct. It is you.\The storm above the target appears to be growing worse.\Is it interfering with the mission?\Currently, they are unable to use their radar or sensors.\Transmissions have entered the red.\Their maneuverability has dropped by 20.\The target's rate of deterioration may increase as well.\So the operation itself is in peril... response:	Tell them that they may withdraw at their own discretion
context: The storm above the target appears to be growing worse.\Is it interfering with the mission?\Currently, they are unable to use their radar or sensors.\Transmissions have entered the red.\Their maneuverability has dropped by 20.\The target's rate of deterioration may increase as well.\So the operation itself is in peril...\Tell them that they may withdraw at their own discretion response:	if Maneuverability Levels drop to 40 or lower.
context: Is it interfering with the mission?\Currently, they are unable to use their radar or sensors.\Transmissions have entered the red.\Their maneuverability has dropped by 20.\The target's rate of deterioration may increase as well.\So the operation itself is in peril...\Tell them that they may withdraw at their own discretion\if Maneuverability Levels drop to 40 or lower. response:	Roger. I'll tell them.
context: Currently, they are unable to use their radar or sensors.\Transmissions have entered the red.\Their maneuverability has dropped by 20.\The target's rate of deterioration may increase as well.\So the operation itself is in peril...\Tell them that they may withdraw at their own discretion\if Maneuverability Levels drop to 40 or lower.\Roger. I'll tell them. response:	Air turbulence is increasing.
context: Transmissions have entered the red.\Their maneuverability has dropped by 20.\The target's rate of deterioration may increase as well.\So the operation itself is in peril...\Tell them that they may withdraw at their own discretion\if Maneuverability Levels drop to 40 or lower.\Roger. I'll tell them.\Air turbulence is increasing. response:	I am having a hard time getting through.
context: Their maneuverability has dropped by 20.\The target's rate of deterioration may increase as well.\So the operation itself is in peril...\Tell them that they may withdraw at their own discretion\if Maneuverability Levels drop to 40 or lower.\Roger. I'll tell them.\Air turbulence is increasing.\I am having a hard time getting through. response:	Continue sending the transmission.
context: The target's rate of deterioration may increase as well.\So the operation itself is in peril...\Tell them that they may withdraw at their own discretion\if Maneuverability Levels drop to 40 or lower.\Roger. I'll tell them.\Air turbulence is increasing.\I am having a hard time getting through.\Continue sending the transmission. response:	We can't afford to lose them over this mission.
context: So the operation itself is in peril...\Tell them that they may withdraw at their own discretion\if Maneuverability Levels drop to 40 or lower.\Roger. I'll tell them.\Air turbulence is increasing.\I am having a hard time getting through.\Continue sending the transmission.\We can't afford to lose them over this mission. response:	Do you copy? This is Godinion.
context: Tell them that they may withdraw at their own discretion\if Maneuverability Levels drop to 40 or lower.\Roger. I'll tell them.\Air turbulence is increasing.\I am having a hard time getting through.\Continue sending the transmission.\We can't afford to lose them over this mission.\Do you copy? This is Godinion. response:	I hear ya!
context: if Maneuverability Levels drop to 40 or lower.\Roger. I'll tell them.\Air turbulence is increasing.\I am having a hard time getting through.\Continue sending the transmission.\We can't afford to lose them over this mission.\Do you copy? This is Godinion.\I hear ya! response:	Is that you, Kitty? What is the situation?
context: Roger. I'll tell them.\Air turbulence is increasing.\I am having a hard time getting through.\Continue sending the transmission.\We can't afford to lose them over this mission.\Do you copy? This is Godinion.\I hear ya!\Is that you, Kitty? What is the situation? response:	Izuru and Asagi went inside, mew!
context: Air turbulence is increasing.\I am having a hard time getting through.\Continue sending the transmission.\We can't afford to lose them over this mission.\Do you copy? This is Godinion.\I hear ya!\Is that you, Kitty? What is the situation?\Izuru and Asagi went inside, mew! response:	Really? Please relay this to everyone.
context: I am having a hard time getting through.\Continue sending the transmission.\We can't afford to lose them over this mission.\Do you copy? This is Godinion.\I hear ya!\Is that you, Kitty? What is the situation?\Izuru and Asagi went inside, mew!\Really? Please relay this to everyone. response:	You are to pull back if maneuverability drops to 40.
context: Continue sending the transmission.\We can't afford to lose them over this mission.\Do you copy? This is Godinion.\I hear ya!\Is that you, Kitty? What is the situation?\Izuru and Asagi went inside, mew!\Really? Please relay this to everyone.\You are to pull back if maneuverability drops to 40. response:	Roger!
context: We can't afford to lose them over this mission.\Do you copy? This is Godinion.\I hear ya!\Is that you, Kitty? What is the situation?\Izuru and Asagi went inside, mew!\Really? Please relay this to everyone.\You are to pull back if maneuverability drops to 40.\Roger! response:	That aside, how about we go out to eat when
context: Do you copy? This is Godinion.\I hear ya!\Is that you, Kitty? What is the situation?\Izuru and Asagi went inside, mew!\Really? Please relay this to everyone.\You are to pull back if maneuverability drops to 40.\Roger!\That aside, how about we go out to eat when response:	you successfully complete this mission?
context: I hear ya!\Is that you, Kitty? What is the situation?\Izuru and Asagi went inside, mew!\Really? Please relay this to everyone.\You are to pull back if maneuverability drops to 40.\Roger!\That aside, how about we go out to eat when\you successfully complete this mission? response:	Then please eat some pickled fish guts with me, mew!
context: Is that you, Kitty? What is the situation?\Izuru and Asagi went inside, mew!\Really? Please relay this to everyone.\You are to pull back if maneuverability drops to 40.\Roger!\That aside, how about we go out to eat when\you successfully complete this mission?\Then please eat some pickled fish guts with me, mew! response:	That'll be a piece of cake.
context: Izuru and Asagi went inside, mew!\Really? Please relay this to everyone.\You are to pull back if maneuverability drops to 40.\Roger!\That aside, how about we go out to eat when\you successfully complete this mission?\Then please eat some pickled fish guts with me, mew!\That'll be a piece of cake. response:	What is with that, mew, crap?
context: Really? Please relay this to everyone.\You are to pull back if maneuverability drops to 40.\Roger!\That aside, how about we go out to eat when\you successfully complete this mission?\Then please eat some pickled fish guts with me, mew!\That'll be a piece of cake.\What is with that, mew, crap? response:	It's been a while since this ship crashed, hasn't it?
context: You are to pull back if maneuverability drops to 40.\Roger!\That aside, how about we go out to eat when\you successfully complete this mission?\Then please eat some pickled fish guts with me, mew!\That'll be a piece of cake.\What is with that, mew, crap?\It's been a while since this ship crashed, hasn't it? response:	So it would seem.
context: Roger!\That aside, how about we go out to eat when\you successfully complete this mission?\Then please eat some pickled fish guts with me, mew!\That'll be a piece of cake.\What is with that, mew, crap?\It's been a while since this ship crashed, hasn't it?\So it would seem. response:	Why didn't they evacuate before they died?
context: That aside, how about we go out to eat when\you successfully complete this mission?\Then please eat some pickled fish guts with me, mew!\That'll be a piece of cake.\What is with that, mew, crap?\It's been a while since this ship crashed, hasn't it?\So it would seem.\Why didn't they evacuate before they died? response:	The foot soldiers you have
context: you successfully complete this mission?\Then please eat some pickled fish guts with me, mew!\That'll be a piece of cake.\What is with that, mew, crap?\It's been a while since this ship crashed, hasn't it?\So it would seem.\Why didn't they evacuate before they died?\The foot soldiers you have response:	been seeing only move in accordance with their orders.
context: Then please eat some pickled fish guts with me, mew!\That'll be a piece of cake.\What is with that, mew, crap?\It's been a while since this ship crashed, hasn't it?\So it would seem.\Why didn't they evacuate before they died?\The foot soldiers you have\been seeing only move in accordance with their orders. response:	Their superior commanders probably either fled or perished.
context: That'll be a piece of cake.\What is with that, mew, crap?\It's been a while since this ship crashed, hasn't it?\So it would seem.\Why didn't they evacuate before they died?\The foot soldiers you have\been seeing only move in accordance with their orders.\Their superior commanders probably either fled or perished. response:	So they carried out their orders until their cartridges
context: What is with that, mew, crap?\It's been a while since this ship crashed, hasn't it?\So it would seem.\Why didn't they evacuate before they died?\The foot soldiers you have\been seeing only move in accordance with their orders.\Their superior commanders probably either fled or perished.\So they carried out their orders until their cartridges response:	ran out and they died?
context: It's been a while since this ship crashed, hasn't it?\So it would seem.\Why didn't they evacuate before they died?\The foot soldiers you have\been seeing only move in accordance with their orders.\Their superior commanders probably either fled or perished.\So they carried out their orders until their cartridges\ran out and they died? response:	Precisely.
context: So it would seem.\Why didn't they evacuate before they died?\The foot soldiers you have\been seeing only move in accordance with their orders.\Their superior commanders probably either fled or perished.\So they carried out their orders until their cartridges\ran out and they died?\Precisely. response:	Didn't they think of abandoning the ship?
context: Why didn't they evacuate before they died?\The foot soldiers you have\been seeing only move in accordance with their orders.\Their superior commanders probably either fled or perished.\So they carried out their orders until their cartridges\ran out and they died?\Precisely.\Didn't they think of abandoning the ship? response:	Only a select handful of Manaava- Excuse me, Wulgaru,
context: The foot soldiers you have\been seeing only move in accordance with their orders.\Their superior commanders probably either fled or perished.\So they carried out their orders until their cartridges\ran out and they died?\Precisely.\Didn't they think of abandoning the ship?\Only a select handful of Manaava- Excuse me, Wulgaru, response:	are capable of free thought.
context: been seeing only move in accordance with their orders.\Their superior commanders probably either fled or perished.\So they carried out their orders until their cartridges\ran out and they died?\Precisely.\Didn't they think of abandoning the ship?\Only a select handful of Manaava- Excuse me, Wulgaru,\are capable of free thought. response:	Those of the soldier class do not possess wills of their own.
context: Their superior commanders probably either fled or perished.\So they carried out their orders until their cartridges\ran out and they died?\Precisely.\Didn't they think of abandoning the ship?\Only a select handful of Manaava- Excuse me, Wulgaru,\are capable of free thought.\Those of the soldier class do not possess wills of their own. response:	That's horrible...! Aren't they living beings?
context: So they carried out their orders until their cartridges\ran out and they died?\Precisely.\Didn't they think of abandoning the ship?\Only a select handful of Manaava- Excuse me, Wulgaru,\are capable of free thought.\Those of the soldier class do not possess wills of their own.\That's horrible...! Aren't they living beings? response:	What would you do when a machine breaks?
context: ran out and they died?\Precisely.\Didn't they think of abandoning the ship?\Only a select handful of Manaava- Excuse me, Wulgaru,\are capable of free thought.\Those of the soldier class do not possess wills of their own.\That's horrible...! Aren't they living beings?\What would you do when a machine breaks? response:	I'd fix it.
context: Precisely.\Didn't they think of abandoning the ship?\Only a select handful of Manaava- Excuse me, Wulgaru,\are capable of free thought.\Those of the soldier class do not possess wills of their own.\That's horrible...! Aren't they living beings?\What would you do when a machine breaks?\I'd fix it. response:	And if you couldn't?
context: Didn't they think of abandoning the ship?\Only a select handful of Manaava- Excuse me, Wulgaru,\are capable of free thought.\Those of the soldier class do not possess wills of their own.\That's horrible...! Aren't they living beings?\What would you do when a machine breaks?\I'd fix it.\And if you couldn't? response:	I'd throw it away.
context: Only a select handful of Manaava- Excuse me, Wulgaru,\are capable of free thought.\Those of the soldier class do not possess wills of their own.\That's horrible...! Aren't they living beings?\What would you do when a machine breaks?\I'd fix it.\And if you couldn't?\I'd throw it away. response:	Exactly.
