context: Long ago, there was a warrior. response:	In order to protect his friend, the warrior took his friend's life.
context: But what should I do?\Hello, Edel-san.\Hello.\You see, Edel-san, I want to save Mytho from Fakir.\But Fakir told me not to go near him.\So... or rather... but, but um...\The name of this gem is Courage.\It is a single gem made of two. response:	A single gem made of two...
context: Hello, Edel-san.\Hello.\You see, Edel-san, I want to save Mytho from Fakir.\But Fakir told me not to go near him.\So... or rather... but, but um...\The name of this gem is Courage.\It is a single gem made of two.\A single gem made of two... response:	Meaning that I should work together with someone?
context: Hello.\You see, Edel-san, I want to save Mytho from Fakir.\But Fakir told me not to go near him.\So... or rather... but, but um...\The name of this gem is Courage.\It is a single gem made of two.\A single gem made of two...\Meaning that I should work together with someone? response:	But with whom?
context: You see, Edel-san, I want to save Mytho from Fakir.\But Fakir told me not to go near him.\So... or rather... but, but um...\The name of this gem is Courage.\It is a single gem made of two.\A single gem made of two...\Meaning that I should work together with someone?\But with whom? response:	I can't put Rue-chan in danger.
context: But Fakir told me not to go near him.\So... or rather... but, but um...\The name of this gem is Courage.\It is a single gem made of two.\A single gem made of two...\Meaning that I should work together with someone?\But with whom?\I can't put Rue-chan in danger. response:	Restore my heart to me, Tutu.
context: So... or rather... but, but um...\The name of this gem is Courage.\It is a single gem made of two.\A single gem made of two...\Meaning that I should work together with someone?\But with whom?\I can't put Rue-chan in danger.\Restore my heart to me, Tutu. response:	If... If I let Mytho know that I'm Tutu...
context: The name of this gem is Courage.\It is a single gem made of two.\A single gem made of two...\Meaning that I should work together with someone?\But with whom?\I can't put Rue-chan in danger.\Restore my heart to me, Tutu.\If... If I let Mytho know that I'm Tutu... response:	Then, together, we might be able to stand up... to Fakir.
context: It is a single gem made of two.\A single gem made of two...\Meaning that I should work together with someone?\But with whom?\I can't put Rue-chan in danger.\Restore my heart to me, Tutu.\If... If I let Mytho know that I'm Tutu...\Then, together, we might be able to stand up... to Fakir. response:	Fakir?
context: A single gem made of two...\Meaning that I should work together with someone?\But with whom?\I can't put Rue-chan in danger.\Restore my heart to me, Tutu.\If... If I let Mytho know that I'm Tutu...\Then, together, we might be able to stand up... to Fakir.\Fakir? response:	What is he to you, Ahiru?
context: Meaning that I should work together with someone?\But with whom?\I can't put Rue-chan in danger.\Restore my heart to me, Tutu.\If... If I let Mytho know that I'm Tutu...\Then, together, we might be able to stand up... to Fakir.\Fakir?\What is he to you, Ahiru? response:	Huh? What is he?
context: But with whom?\I can't put Rue-chan in danger.\Restore my heart to me, Tutu.\If... If I let Mytho know that I'm Tutu...\Then, together, we might be able to stand up... to Fakir.\Fakir?\What is he to you, Ahiru?\Huh? What is he? response:	He's not really anything to me.
context: I can't put Rue-chan in danger.\Restore my heart to me, Tutu.\If... If I let Mytho know that I'm Tutu...\Then, together, we might be able to stand up... to Fakir.\Fakir?\What is he to you, Ahiru?\Huh? What is he?\He's not really anything to me. response:	But he's a dangerous person to Mytho.
context: Restore my heart to me, Tutu.\If... If I let Mytho know that I'm Tutu...\Then, together, we might be able to stand up... to Fakir.\Fakir?\What is he to you, Ahiru?\Huh? What is he?\He's not really anything to me.\But he's a dangerous person to Mytho. response:	Oh...
context: If... If I let Mytho know that I'm Tutu...\Then, together, we might be able to stand up... to Fakir.\Fakir?\What is he to you, Ahiru?\Huh? What is he?\He's not really anything to me.\But he's a dangerous person to Mytho.\Oh... response:	What?
context: Then, together, we might be able to stand up... to Fakir.\Fakir?\What is he to you, Ahiru?\Huh? What is he?\He's not really anything to me.\But he's a dangerous person to Mytho.\Oh...\What? response:	Edel-san?
context: Fakir?\What is he to you, Ahiru?\Huh? What is he?\He's not really anything to me.\But he's a dangerous person to Mytho.\Oh...\What?\Edel-san? response:	Qua... Quack, quack, quack, quack.
context: What is he to you, Ahiru?\Huh? What is he?\He's not really anything to me.\But he's a dangerous person to Mytho.\Oh...\What?\Edel-san?\Qua... Quack, quack, quack, quack. response:	All right!
context: Huh? What is he?\He's not really anything to me.\But he's a dangerous person to Mytho.\Oh...\What?\Edel-san?\Qua... Quack, quack, quack, quack.\All right! response:	This is the one!
context: He's not really anything to me.\But he's a dangerous person to Mytho.\Oh...\What?\Edel-san?\Qua... Quack, quack, quack, quack.\All right!\This is the one! response:	No doubt about it! It's Mytho's scent!
context: But he's a dangerous person to Mytho.\Oh...\What?\Edel-san?\Qua... Quack, quack, quack, quack.\All right!\This is the one!\No doubt about it! It's Mytho's scent! response:	Quack, quack, quack, quack, quack, quack!
context: Oh...\What?\Edel-san?\Qua... Quack, quack, quack, quack.\All right!\This is the one!\No doubt about it! It's Mytho's scent!\Quack, quack, quack, quack, quack, quack! response:	Someone's coming!
context: What?\Edel-san?\Qua... Quack, quack, quack, quack.\All right!\This is the one!\No doubt about it! It's Mytho's scent!\Quack, quack, quack, quack, quack, quack!\Someone's coming! response:	An iguana?!
context: Edel-san?\Qua... Quack, quack, quack, quack.\All right!\This is the one!\No doubt about it! It's Mytho's scent!\Quack, quack, quack, quack, quack, quack!\Someone's coming!\An iguana?! response:	That was close...
context: Qua... Quack, quack, quack, quack.\All right!\This is the one!\No doubt about it! It's Mytho's scent!\Quack, quack, quack, quack, quack, quack!\Someone's coming!\An iguana?!\That was close... response:	Qua...
context: All right!\This is the one!\No doubt about it! It's Mytho's scent!\Quack, quack, quack, quack, quack, quack!\Someone's coming!\An iguana?!\That was close...\Qua... response:	Huh?
context: This is the one!\No doubt about it! It's Mytho's scent!\Quack, quack, quack, quack, quack, quack!\Someone's coming!\An iguana?!\That was close...\Qua...\Huh? response:	What? What?!
context: No doubt about it! It's Mytho's scent!\Quack, quack, quack, quack, quack, quack!\Someone's coming!\An iguana?!\That was close...\Qua...\Huh?\What? What?! response:	There.
context: Quack, quack, quack, quack, quack, quack!\Someone's coming!\An iguana?!\That was close...\Qua...\Huh?\What? What?!\There. response:	You're so stupid.
context: Someone's coming!\An iguana?!\That was close...\Qua...\Huh?\What? What?!\There.\You're so stupid. response:	There's no way you're going to find food in there.
context: An iguana?!\That was close...\Qua...\Huh?\What? What?!\There.\You're so stupid.\There's no way you're going to find food in there. response:	I guess you wouldn't have wandered in if you knew.
context: That was close...\Qua...\Huh?\What? What?!\There.\You're so stupid.\There's no way you're going to find food in there.\I guess you wouldn't have wandered in if you knew. response:	Qua... Quack, quack, quack, quack, quack.
context: Qua...\Huh?\What? What?!\There.\You're so stupid.\There's no way you're going to find food in there.\I guess you wouldn't have wandered in if you knew.\Qua... Quack, quack, quack, quack, quack. response:	Quack, quack, quack. Quack. Quack...
context: Huh?\What? What?!\There.\You're so stupid.\There's no way you're going to find food in there.\I guess you wouldn't have wandered in if you knew.\Qua... Quack, quack, quack, quack, quack.\Quack, quack, quack. Quack. Quack... response:	You sure eat a lot.
context: What? What?!\There.\You're so stupid.\There's no way you're going to find food in there.\I guess you wouldn't have wandered in if you knew.\Qua... Quack, quack, quack, quack, quack.\Quack, quack, quack. Quack. Quack...\You sure eat a lot. response:	Hurry on home. Don't come around anymore.
context: There.\You're so stupid.\There's no way you're going to find food in there.\I guess you wouldn't have wandered in if you knew.\Qua... Quack, quack, quack, quack, quack.\Quack, quack, quack. Quack. Quack...\You sure eat a lot.\Hurry on home. Don't come around anymore. response:	Somehow, it was like he wasn't the usual Fakir.
context: You're so stupid.\There's no way you're going to find food in there.\I guess you wouldn't have wandered in if you knew.\Qua... Quack, quack, quack, quack, quack.\Quack, quack, quack. Quack. Quack...\You sure eat a lot.\Hurry on home. Don't come around anymore.\Somehow, it was like he wasn't the usual Fakir. response:	If you go near him again, I'll make sure you pay for it.
context: There's no way you're going to find food in there.\I guess you wouldn't have wandered in if you knew.\Qua... Quack, quack, quack, quack, quack.\Quack, quack, quack. Quack. Quack...\You sure eat a lot.\Hurry on home. Don't come around anymore.\Somehow, it was like he wasn't the usual Fakir.\If you go near him again, I'll make sure you pay for it. response:	No, no! Of course, he's definitely a bad guy!
context: I guess you wouldn't have wandered in if you knew.\Qua... Quack, quack, quack, quack, quack.\Quack, quack, quack. Quack. Quack...\You sure eat a lot.\Hurry on home. Don't come around anymore.\Somehow, it was like he wasn't the usual Fakir.\If you go near him again, I'll make sure you pay for it.\No, no! Of course, he's definitely a bad guy! response:	I'm not going to be fooled just because the bread was tasty!
context: Qua... Quack, quack, quack, quack, quack.\Quack, quack, quack. Quack. Quack...\You sure eat a lot.\Hurry on home. Don't come around anymore.\Somehow, it was like he wasn't the usual Fakir.\If you go near him again, I'll make sure you pay for it.\No, no! Of course, he's definitely a bad guy!\I'm not going to be fooled just because the bread was tasty! response:	He probably acted like that only because I was just a duck...
context: Quack, quack, quack. Quack. Quack...\You sure eat a lot.\Hurry on home. Don't come around anymore.\Somehow, it was like he wasn't the usual Fakir.\If you go near him again, I'll make sure you pay for it.\No, no! Of course, he's definitely a bad guy!\I'm not going to be fooled just because the bread was tasty!\He probably acted like that only because I was just a duck... response:	A duck...
context: You sure eat a lot.\Hurry on home. Don't come around anymore.\Somehow, it was like he wasn't the usual Fakir.\If you go near him again, I'll make sure you pay for it.\No, no! Of course, he's definitely a bad guy!\I'm not going to be fooled just because the bread was tasty!\He probably acted like that only because I was just a duck...\A duck... response:	If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I?
context: Hurry on home. Don't come around anymore.\Somehow, it was like he wasn't the usual Fakir.\If you go near him again, I'll make sure you pay for it.\No, no! Of course, he's definitely a bad guy!\I'm not going to be fooled just because the bread was tasty!\He probably acted like that only because I was just a duck...\A duck...\If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I? response:	Quack...
context: Somehow, it was like he wasn't the usual Fakir.\If you go near him again, I'll make sure you pay for it.\No, no! Of course, he's definitely a bad guy!\I'm not going to be fooled just because the bread was tasty!\He probably acted like that only because I was just a duck...\A duck...\If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I?\Quack... response:	What's that?
context: If you go near him again, I'll make sure you pay for it.\No, no! Of course, he's definitely a bad guy!\I'm not going to be fooled just because the bread was tasty!\He probably acted like that only because I was just a duck...\A duck...\If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I?\Quack...\What's that? response:	Ahiru says she has something important to tell me.
context: No, no! Of course, he's definitely a bad guy!\I'm not going to be fooled just because the bread was tasty!\He probably acted like that only because I was just a duck...\A duck...\If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I?\Quack...\What's that?\Ahiru says she has something important to tell me. response:	I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru.
context: I'm not going to be fooled just because the bread was tasty!\He probably acted like that only because I was just a duck...\A duck...\If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I?\Quack...\What's that?\Ahiru says she has something important to tell me.\I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru. response:	Did the girl not hear what I said to her?
context: He probably acted like that only because I was just a duck...\A duck...\If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I?\Quack...\What's that?\Ahiru says she has something important to tell me.\I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru.\Did the girl not hear what I said to her? response:	You can throw it away. There's no need for you to go.
context: A duck...\If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I?\Quack...\What's that?\Ahiru says she has something important to tell me.\I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru.\Did the girl not hear what I said to her?\You can throw it away. There's no need for you to go. response:	No.
context: If I'm going to tell Mytho everything, I better tell him that I'm just a duck too, shouldn't I?\Quack...\What's that?\Ahiru says she has something important to tell me.\I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru.\Did the girl not hear what I said to her?\You can throw it away. There's no need for you to go.\No. response:	What?
context: Quack...\What's that?\Ahiru says she has something important to tell me.\I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru.\Did the girl not hear what I said to her?\You can throw it away. There's no need for you to go.\No.\What? response:	I'm going, Fakir.
context: What's that?\Ahiru says she has something important to tell me.\I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru.\Did the girl not hear what I said to her?\You can throw it away. There's no need for you to go.\No.\What?\I'm going, Fakir. response:	You're kidding, right?
context: Ahiru says she has something important to tell me.\I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru.\Did the girl not hear what I said to her?\You can throw it away. There's no need for you to go.\No.\What?\I'm going, Fakir.\You're kidding, right? response:	I'm serious.
context: I will be waiting in the school's backyard at 5 o'clock this evening, Ahiru.\Did the girl not hear what I said to her?\You can throw it away. There's no need for you to go.\No.\What?\I'm going, Fakir.\You're kidding, right?\I'm serious. response:	What would be the point in seeing her?
context: Did the girl not hear what I said to her?\You can throw it away. There's no need for you to go.\No.\What?\I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her? response:	She might know something about Tutu.
context: You can throw it away. There's no need for you to go.\No.\What?\I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu. response:	Her?
context: No.\What?\I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Her? response:	Yeah.
context: What?\I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Her?\Yeah. response:	You idiot, there's no way she would.
context: I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Her?\Yeah.\You idiot, there's no way she would. response:	But...
context: You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Her?\Yeah.\You idiot, there's no way she would.\But... response:	Don't get involved with Tutu.
context: I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Her?\Yeah.\You idiot, there's no way she would.\But...\Don't get involved with Tutu. response:	Her existence will only bring you unhappiness. Don't be fooled.
context: What would be the point in seeing her?\She might know something about Tutu.\Her?\Yeah.\You idiot, there's no way she would.\But...\Don't get involved with Tutu.\Her existence will only bring you unhappiness. Don't be fooled. response:	And right now, there's that Kraehe coming after you too.
context: She might know something about Tutu.\Her?\Yeah.\You idiot, there's no way she would.\But...\Don't get involved with Tutu.\Her existence will only bring you unhappiness. Don't be fooled.\And right now, there's that Kraehe coming after you too. response:	I don't care.
context: Her?\Yeah.\You idiot, there's no way she would.\But...\Don't get involved with Tutu.\Her existence will only bring you unhappiness. Don't be fooled.\And right now, there's that Kraehe coming after you too.\I don't care. response:	If I tell you no, it's no! Got it?!
context: Yeah.\You idiot, there's no way she would.\But...\Don't get involved with Tutu.\Her existence will only bring you unhappiness. Don't be fooled.\And right now, there's that Kraehe coming after you too.\I don't care.\If I tell you no, it's no! Got it?! response:	No.
context: You idiot, there's no way she would.\But...\Don't get involved with Tutu.\Her existence will only bring you unhappiness. Don't be fooled.\And right now, there's that Kraehe coming after you too.\I don't care.\If I tell you no, it's no! Got it?!\No. response:	Enough's enough!
context: But...\Don't get involved with Tutu.\Her existence will only bring you unhappiness. Don't be fooled.\And right now, there's that Kraehe coming after you too.\I don't care.\If I tell you no, it's no! Got it?!\No.\Enough's enough! response:	I'm sorry.
context: Don't get involved with Tutu.\Her existence will only bring you unhappiness. Don't be fooled.\And right now, there's that Kraehe coming after you too.\I don't care.\If I tell you no, it's no! Got it?!\No.\Enough's enough!\I'm sorry. response:	I'm going.
context: Her existence will only bring you unhappiness. Don't be fooled.\And right now, there's that Kraehe coming after you too.\I don't care.\If I tell you no, it's no! Got it?!\No.\Enough's enough!\I'm sorry.\I'm going. response:	So, I can no longer stop Mytho with words.
context: And right now, there's that Kraehe coming after you too.\I don't care.\If I tell you no, it's no! Got it?!\No.\Enough's enough!\I'm sorry.\I'm going.\So, I can no longer stop Mytho with words. response:	Oh-ho...
context: I don't care.\If I tell you no, it's no! Got it?!\No.\Enough's enough!\I'm sorry.\I'm going.\So, I can no longer stop Mytho with words.\Oh-ho... response:	That is the prince's own sword, which once shattered his heart.
context: If I tell you no, it's no! Got it?!\No.\Enough's enough!\I'm sorry.\I'm going.\So, I can no longer stop Mytho with words.\Oh-ho...\That is the prince's own sword, which once shattered his heart. response:	Now, what do you plan to do with it?
context: No.\Enough's enough!\I'm sorry.\I'm going.\So, I can no longer stop Mytho with words.\Oh-ho...\That is the prince's own sword, which once shattered his heart.\Now, what do you plan to do with it? response:	This sword shattered the prince's heart and destroyed the evil raven.
context: Enough's enough!\I'm sorry.\I'm going.\So, I can no longer stop Mytho with words.\Oh-ho...\That is the prince's own sword, which once shattered his heart.\Now, what do you plan to do with it?\This sword shattered the prince's heart and destroyed the evil raven. response:	Now, grant it power once more.
context: I'm sorry.\I'm going.\So, I can no longer stop Mytho with words.\Oh-ho...\That is the prince's own sword, which once shattered his heart.\Now, what do you plan to do with it?\This sword shattered the prince's heart and destroyed the evil raven.\Now, grant it power once more. response:	Mytho...
context: I'm going.\So, I can no longer stop Mytho with words.\Oh-ho...\That is the prince's own sword, which once shattered his heart.\Now, what do you plan to do with it?\This sword shattered the prince's heart and destroyed the evil raven.\Now, grant it power once more.\Mytho... response:	Oh, er... Oh, er, um...
context: So, I can no longer stop Mytho with words.\Oh-ho...\That is the prince's own sword, which once shattered his heart.\Now, what do you plan to do with it?\This sword shattered the prince's heart and destroyed the evil raven.\Now, grant it power once more.\Mytho...\Oh, er... Oh, er, um... response:	Huh?
context: Oh-ho...\That is the prince's own sword, which once shattered his heart.\Now, what do you plan to do with it?\This sword shattered the prince's heart and destroyed the evil raven.\Now, grant it power once more.\Mytho...\Oh, er... Oh, er, um...\Huh? response:	Uh...
context: That is the prince's own sword, which once shattered his heart.\Now, what do you plan to do with it?\This sword shattered the prince's heart and destroyed the evil raven.\Now, grant it power once more.\Mytho...\Oh, er... Oh, er, um...\Huh?\Uh... response:	Ahiru?
context: Now, what do you plan to do with it?\This sword shattered the prince's heart and destroyed the evil raven.\Now, grant it power once more.\Mytho...\Oh, er... Oh, er, um...\Huh?\Uh...\Ahiru? response:	Um, I... uh, actually... actually...
context: This sword shattered the prince's heart and destroyed the evil raven.\Now, grant it power once more.\Mytho...\Oh, er... Oh, er, um...\Huh?\Uh...\Ahiru?\Um, I... uh, actually... actually... response:	Tu...
context: Now, grant it power once more.\Mytho...\Oh, er... Oh, er, um...\Huh?\Uh...\Ahiru?\Um, I... uh, actually... actually...\Tu... response:	Tutu...
context: Mytho...\Oh, er... Oh, er, um...\Huh?\Uh...\Ahiru?\Um, I... uh, actually... actually...\Tu...\Tutu... response:	What? No way! You knew...
context: Oh, er... Oh, er, um...\Huh?\Uh...\Ahiru?\Um, I... uh, actually... actually...\Tu...\Tutu...\What? No way! You knew... response:	You know about Tutu, don't you, Ahiru?
context: Huh?\Uh...\Ahiru?\Um, I... uh, actually... actually...\Tu...\Tutu...\What? No way! You knew...\You know about Tutu, don't you, Ahiru? response:	Oh, you scared me there.
context: Uh...\Ahiru?\Um, I... uh, actually... actually...\Tu...\Tutu...\What? No way! You knew...\You know about Tutu, don't you, Ahiru?\Oh, you scared me there. response:	Fakir told me that I shouldn't come here, but...
context: Ahiru?\Um, I... uh, actually... actually...\Tu...\Tutu...\What? No way! You knew...\You know about Tutu, don't you, Ahiru?\Oh, you scared me there.\Fakir told me that I shouldn't come here, but... response:	What? You talked to Fakir about this?
context: Um, I... uh, actually... actually...\Tu...\Tutu...\What? No way! You knew...\You know about Tutu, don't you, Ahiru?\Oh, you scared me there.\Fakir told me that I shouldn't come here, but...\What? You talked to Fakir about this? response:	Yes.
context: Tu...\Tutu...\What? No way! You knew...\You know about Tutu, don't you, Ahiru?\Oh, you scared me there.\Fakir told me that I shouldn't come here, but...\What? You talked to Fakir about this?\Yes. response:	Right, everything I tell Mytho goes straight to Fakir too.
context: Tutu...\What? No way! You knew...\You know about Tutu, don't you, Ahiru?\Oh, you scared me there.\Fakir told me that I shouldn't come here, but...\What? You talked to Fakir about this?\Yes.\Right, everything I tell Mytho goes straight to Fakir too. response:	Ahiru.
context: What? No way! You knew...\You know about Tutu, don't you, Ahiru?\Oh, you scared me there.\Fakir told me that I shouldn't come here, but...\What? You talked to Fakir about this?\Yes.\Right, everything I tell Mytho goes straight to Fakir too.\Ahiru. response:	Yes?
context: You know about Tutu, don't you, Ahiru?\Oh, you scared me there.\Fakir told me that I shouldn't come here, but...\What? You talked to Fakir about this?\Yes.\Right, everything I tell Mytho goes straight to Fakir too.\Ahiru.\Yes? response:	I want to see Tutu.
context: Oh, you scared me there.\Fakir told me that I shouldn't come here, but...\What? You talked to Fakir about this?\Yes.\Right, everything I tell Mytho goes straight to Fakir too.\Ahiru.\Yes?\I want to see Tutu. response:	What?
context: Fakir told me that I shouldn't come here, but...\What? You talked to Fakir about this?\Yes.\Right, everything I tell Mytho goes straight to Fakir too.\Ahiru.\Yes?\I want to see Tutu.\What? response:	When I think of Tutu, I become filled with the desire to see her.
context: What? You talked to Fakir about this?\Yes.\Right, everything I tell Mytho goes straight to Fakir too.\Ahiru.\Yes?\I want to see Tutu.\What?\When I think of Tutu, I become filled with the desire to see her. response:	Mytho...
context: Yes.\Right, everything I tell Mytho goes straight to Fakir too.\Ahiru.\Yes?\I want to see Tutu.\What?\When I think of Tutu, I become filled with the desire to see her.\Mytho... response:	I want to be with Tutu always.
context: Right, everything I tell Mytho goes straight to Fakir too.\Ahiru.\Yes?\I want to see Tutu.\What?\When I think of Tutu, I become filled with the desire to see her.\Mytho...\I want to be with Tutu always. response:	What?!
context: Ahiru.\Yes?\I want to see Tutu.\What?\When I think of Tutu, I become filled with the desire to see her.\Mytho...\I want to be with Tutu always.\What?! response:	My prince, you belong to me.
context: Yes?\I want to see Tutu.\What?\When I think of Tutu, I become filled with the desire to see her.\Mytho...\I want to be with Tutu always.\What?!\My prince, you belong to me. response:	Kraehe!
context: I want to see Tutu.\What?\When I think of Tutu, I become filled with the desire to see her.\Mytho...\I want to be with Tutu always.\What?!\My prince, you belong to me.\Kraehe! response:	That's right, that's the spirit.
context: What?\When I think of Tutu, I become filled with the desire to see her.\Mytho...\I want to be with Tutu always.\What?!\My prince, you belong to me.\Kraehe!\That's right, that's the spirit. response:	The value of a treasure is most clearly revealed when it is fought over.
context: When I think of Tutu, I become filled with the desire to see her.\Mytho...\I want to be with Tutu always.\What?!\My prince, you belong to me.\Kraehe!\That's right, that's the spirit.\The value of a treasure is most clearly revealed when it is fought over. response:	Now, who will the prince go to, Princess Tutu?
context: Mytho...\I want to be with Tutu always.\What?!\My prince, you belong to me.\Kraehe!\That's right, that's the spirit.\The value of a treasure is most clearly revealed when it is fought over.\Now, who will the prince go to, Princess Tutu? response:	Your hair, your cheeks, and even your heart all belong to me.
context: I want to be with Tutu always.\What?!\My prince, you belong to me.\Kraehe!\That's right, that's the spirit.\The value of a treasure is most clearly revealed when it is fought over.\Now, who will the prince go to, Princess Tutu?\Your hair, your cheeks, and even your heart all belong to me. response:	Please stop, Kraehe.
context: What?!\My prince, you belong to me.\Kraehe!\That's right, that's the spirit.\The value of a treasure is most clearly revealed when it is fought over.\Now, who will the prince go to, Princess Tutu?\Your hair, your cheeks, and even your heart all belong to me.\Please stop, Kraehe. response:	Princess Tutu.
context: My prince, you belong to me.\Kraehe!\That's right, that's the spirit.\The value of a treasure is most clearly revealed when it is fought over.\Now, who will the prince go to, Princess Tutu?\Your hair, your cheeks, and even your heart all belong to me.\Please stop, Kraehe.\Princess Tutu. response:	Please return the piece of his heart that you took.
context: Kraehe!\That's right, that's the spirit.\The value of a treasure is most clearly revealed when it is fought over.\Now, who will the prince go to, Princess Tutu?\Your hair, your cheeks, and even your heart all belong to me.\Please stop, Kraehe.\Princess Tutu.\Please return the piece of his heart that you took. response:	Please stop making the prince suffer.
context: That's right, that's the spirit.\The value of a treasure is most clearly revealed when it is fought over.\Now, who will the prince go to, Princess Tutu?\Your hair, your cheeks, and even your heart all belong to me.\Please stop, Kraehe.\Princess Tutu.\Please return the piece of his heart that you took.\Please stop making the prince suffer. response:	Tutu...
context: The value of a treasure is most clearly revealed when it is fought over.\Now, who will the prince go to, Princess Tutu?\Your hair, your cheeks, and even your heart all belong to me.\Please stop, Kraehe.\Princess Tutu.\Please return the piece of his heart that you took.\Please stop making the prince suffer.\Tutu... response:	Don't make me laugh.
context: Now, who will the prince go to, Princess Tutu?\Your hair, your cheeks, and even your heart all belong to me.\Please stop, Kraehe.\Princess Tutu.\Please return the piece of his heart that you took.\Please stop making the prince suffer.\Tutu...\Don't make me laugh. response:	Look, my prince, there is the one making you suffer. Princess Tutu.
context: Your hair, your cheeks, and even your heart all belong to me.\Please stop, Kraehe.\Princess Tutu.\Please return the piece of his heart that you took.\Please stop making the prince suffer.\Tutu...\Don't make me laugh.\Look, my prince, there is the one making you suffer. Princess Tutu. response:	What?
context: Please stop, Kraehe.\Princess Tutu.\Please return the piece of his heart that you took.\Please stop making the prince suffer.\Tutu...\Don't make me laugh.\Look, my prince, there is the one making you suffer. Princess Tutu.\What? response:	No... She's wrong!
context: Princess Tutu.\Please return the piece of his heart that you took.\Please stop making the prince suffer.\Tutu...\Don't make me laugh.\Look, my prince, there is the one making you suffer. Princess Tutu.\What?\No... She's wrong! response:	My poor prince.
context: Please return the piece of his heart that you took.\Please stop making the prince suffer.\Tutu...\Don't make me laugh.\Look, my prince, there is the one making you suffer. Princess Tutu.\What?\No... She's wrong!\My poor prince. response:	The one you need is me.
context: Please stop making the prince suffer.\Tutu...\Don't make me laugh.\Look, my prince, there is the one making you suffer. Princess Tutu.\What?\No... She's wrong!\My poor prince.\The one you need is me. response:	I will always be with you.
context: Tutu...\Don't make me laugh.\Look, my prince, there is the one making you suffer. Princess Tutu.\What?\No... She's wrong!\My poor prince.\The one you need is me.\I will always be with you. response:	Kraehe...
context: Don't make me laugh.\Look, my prince, there is the one making you suffer. Princess Tutu.\What?\No... She's wrong!\My poor prince.\The one you need is me.\I will always be with you.\Kraehe... response:	You are like a doll, but I will love you.
context: Look, my prince, there is the one making you suffer. Princess Tutu.\What?\No... She's wrong!\My poor prince.\The one you need is me.\I will always be with you.\Kraehe...\You are like a doll, but I will love you. response:	I will make you forget about Tutu.
context: What?\No... She's wrong!\My poor prince.\The one you need is me.\I will always be with you.\Kraehe...\You are like a doll, but I will love you.\I will make you forget about Tutu. response:	We shall just give this heart thing to the crows.
context: No... She's wrong!\My poor prince.\The one you need is me.\I will always be with you.\Kraehe...\You are like a doll, but I will love you.\I will make you forget about Tutu.\We shall just give this heart thing to the crows. response:	No!
context: My poor prince.\The one you need is me.\I will always be with you.\Kraehe...\You are like a doll, but I will love you.\I will make you forget about Tutu.\We shall just give this heart thing to the crows.\No! response:	Who are you?
context: The one you need is me.\I will always be with you.\Kraehe...\You are like a doll, but I will love you.\I will make you forget about Tutu.\We shall just give this heart thing to the crows.\No!\Who are you? response:	That is the prince's sword!
context: I will always be with you.\Kraehe...\You are like a doll, but I will love you.\I will make you forget about Tutu.\We shall just give this heart thing to the crows.\No!\Who are you?\That is the prince's sword! response:	What?
context: Kraehe...\You are like a doll, but I will love you.\I will make you forget about Tutu.\We shall just give this heart thing to the crows.\No!\Who are you?\That is the prince's sword!\What? response:	So, you're Kraehe.
context: You are like a doll, but I will love you.\I will make you forget about Tutu.\We shall just give this heart thing to the crows.\No!\Who are you?\That is the prince's sword!\What?\So, you're Kraehe. response:	Do not address me so familiarly, you filth!
context: I will make you forget about Tutu.\We shall just give this heart thing to the crows.\No!\Who are you?\That is the prince's sword!\What?\So, you're Kraehe.\Do not address me so familiarly, you filth! response:	Are you a manifestation of the raven?!
context: We shall just give this heart thing to the crows.\No!\Who are you?\That is the prince's sword!\What?\So, you're Kraehe.\Do not address me so familiarly, you filth!\Are you a manifestation of the raven?! response:	Who am I?
context: No!\Who are you?\That is the prince's sword!\What?\So, you're Kraehe.\Do not address me so familiarly, you filth!\Are you a manifestation of the raven?!\Who am I? response:	The shard!
