context: In the year 850... response:	The Colossal Titan reappeared and breached the wall.
context: How much do you know about that Titan?\We can worry about that once we get out.\You're right.\We'll get out of here first.\We found it!\This is military police stuff...\It was covered in dust.\Are scatter shots really enough? response:	Will these rifles
context: We can worry about that once we get out.\You're right.\We'll get out of here first.\We found it!\This is military police stuff...\It was covered in dust.\Are scatter shots really enough?\Will these rifles response:	actually be of any use against the Titans?
context: You're right.\We'll get out of here first.\We found it!\This is military police stuff...\It was covered in dust.\Are scatter shots really enough?\Will these rifles\actually be of any use against the Titans? response:	I think they're a lot better than nothing.
context: We'll get out of here first.\We found it!\This is military police stuff...\It was covered in dust.\Are scatter shots really enough?\Will these rifles\actually be of any use against the Titans?\I think they're a lot better than nothing. response:	If there are still only seven 3- to 4-meter class Titans in the supply room,
context: We found it!\This is military police stuff...\It was covered in dust.\Are scatter shots really enough?\Will these rifles\actually be of any use against the Titans?\I think they're a lot better than nothing.\If there are still only seven 3- to 4-meter class Titans in the supply room, response:	even this may be enough firepower to blind them all at once.
context: This is military police stuff...\It was covered in dust.\Are scatter shots really enough?\Will these rifles\actually be of any use against the Titans?\I think they're a lot better than nothing.\If there are still only seven 3- to 4-meter class Titans in the supply room,\even this may be enough firepower to blind them all at once. response:	First, we'll use the lift to
context: It was covered in dust.\Are scatter shots really enough?\Will these rifles\actually be of any use against the Titans?\I think they're a lot better than nothing.\If there are still only seven 3- to 4-meter class Titans in the supply room,\even this may be enough firepower to blind them all at once.\First, we'll use the lift to response:	lower a large number of people through the central ceiling.
context: Are scatter shots really enough?\Will these rifles\actually be of any use against the Titans?\I think they're a lot better than nothing.\If there are still only seven 3- to 4-meter class Titans in the supply room,\even this may be enough firepower to blind them all at once.\First, we'll use the lift to\lower a large number of people through the central ceiling. response:	They'll fire in the faces of the seven Titans in unison to blind them.
context: Will these rifles\actually be of any use against the Titans?\I think they're a lot better than nothing.\If there are still only seven 3- to 4-meter class Titans in the supply room,\even this may be enough firepower to blind them all at once.\First, we'll use the lift to\lower a large number of people through the central ceiling.\They'll fire in the faces of the seven Titans in unison to blind them. response:	And then,
context: actually be of any use against the Titans?\I think they're a lot better than nothing.\If there are still only seven 3- to 4-meter class Titans in the supply room,\even this may be enough firepower to blind them all at once.\First, we'll use the lift to\lower a large number of people through the central ceiling.\They'll fire in the faces of the seven Titans in unison to blind them.\And then, response:	the next instant will be critical.
context: I think they're a lot better than nothing.\If there are still only seven 3- to 4-meter class Titans in the supply room,\even this may be enough firepower to blind them all at once.\First, we'll use the lift to\lower a large number of people through the central ceiling.\They'll fire in the faces of the seven Titans in unison to blind them.\And then,\the next instant will be critical. response:	The seven of us hidden among the ceiling beams
context: If there are still only seven 3- to 4-meter class Titans in the supply room,\even this may be enough firepower to blind them all at once.\First, we'll use the lift to\lower a large number of people through the central ceiling.\They'll fire in the faces of the seven Titans in unison to blind them.\And then,\the next instant will be critical.\The seven of us hidden among the ceiling beams response:	will strike the blinded Titans in a coordinated ambush.
context: even this may be enough firepower to blind them all at once.\First, we'll use the lift to\lower a large number of people through the central ceiling.\They'll fire in the faces of the seven Titans in unison to blind them.\And then,\the next instant will be critical.\The seven of us hidden among the ceiling beams\will strike the blinded Titans in a coordinated ambush. response:	In other words, in this plan, all of our lives
context: First, we'll use the lift to\lower a large number of people through the central ceiling.\They'll fire in the faces of the seven Titans in unison to blind them.\And then,\the next instant will be critical.\The seven of us hidden among the ceiling beams\will strike the blinded Titans in a coordinated ambush.\In other words, in this plan, all of our lives response:	will depend on this one strike.
context: lower a large number of people through the central ceiling.\They'll fire in the faces of the seven Titans in unison to blind them.\And then,\the next instant will be critical.\The seven of us hidden among the ceiling beams\will strike the blinded Titans in a coordinated ambush.\In other words, in this plan, all of our lives\will depend on this one strike. response:	The seven must kill seven Titans at the same time, with a single strike.
context: They'll fire in the faces of the seven Titans in unison to blind them.\And then,\the next instant will be critical.\The seven of us hidden among the ceiling beams\will strike the blinded Titans in a coordinated ambush.\In other words, in this plan, all of our lives\will depend on this one strike.\The seven must kill seven Titans at the same time, with a single strike. response:	The seven will be those of us whose skills give us the best chance, but...
context: And then,\the next instant will be critical.\The seven of us hidden among the ceiling beams\will strike the blinded Titans in a coordinated ambush.\In other words, in this plan, all of our lives\will depend on this one strike.\The seven must kill seven Titans at the same time, with a single strike.\The seven will be those of us whose skills give us the best chance, but... response:	I'm sorry to make them bear the weight of everyone's lives...
context: the next instant will be critical.\The seven of us hidden among the ceiling beams\will strike the blinded Titans in a coordinated ambush.\In other words, in this plan, all of our lives\will depend on this one strike.\The seven must kill seven Titans at the same time, with a single strike.\The seven will be those of us whose skills give us the best chance, but...\I'm sorry to make them bear the weight of everyone's lives... response:	It's all right.
context: The seven of us hidden among the ceiling beams\will strike the blinded Titans in a coordinated ambush.\In other words, in this plan, all of our lives\will depend on this one strike.\The seven must kill seven Titans at the same time, with a single strike.\The seven will be those of us whose skills give us the best chance, but...\I'm sorry to make them bear the weight of everyone's lives...\It's all right. response:	Regardless of who goes, everyone dies if we fail.
context: will strike the blinded Titans in a coordinated ambush.\In other words, in this plan, all of our lives\will depend on this one strike.\The seven must kill seven Titans at the same time, with a single strike.\The seven will be those of us whose skills give us the best chance, but...\I'm sorry to make them bear the weight of everyone's lives...\It's all right.\Regardless of who goes, everyone dies if we fail. response:	The risk is the same.
context: In other words, in this plan, all of our lives\will depend on this one strike.\The seven must kill seven Titans at the same time, with a single strike.\The seven will be those of us whose skills give us the best chance, but...\I'm sorry to make them bear the weight of everyone's lives...\It's all right.\Regardless of who goes, everyone dies if we fail.\The risk is the same. response:	But is the plan I conceived...
context: will depend on this one strike.\The seven must kill seven Titans at the same time, with a single strike.\The seven will be those of us whose skills give us the best chance, but...\I'm sorry to make them bear the weight of everyone's lives...\It's all right.\Regardless of who goes, everyone dies if we fail.\The risk is the same.\But is the plan I conceived... response:	really the best one?
context: The seven must kill seven Titans at the same time, with a single strike.\The seven will be those of us whose skills give us the best chance, but...\I'm sorry to make them bear the weight of everyone's lives...\It's all right.\Regardless of who goes, everyone dies if we fail.\The risk is the same.\But is the plan I conceived...\really the best one? response:	It's our only option...
context: The seven will be those of us whose skills give us the best chance, but...\I'm sorry to make them bear the weight of everyone's lives...\It's all right.\Regardless of who goes, everyone dies if we fail.\The risk is the same.\But is the plan I conceived...\really the best one?\It's our only option... response:	There's no time,
context: I'm sorry to make them bear the weight of everyone's lives...\It's all right.\Regardless of who goes, everyone dies if we fail.\The risk is the same.\But is the plan I conceived...\really the best one?\It's our only option...\There's no time, response:	and this is the best plan we'll have.
context: It's all right.\Regardless of who goes, everyone dies if we fail.\The risk is the same.\But is the plan I conceived...\really the best one?\It's our only option...\There's no time,\and this is the best plan we'll have. response:	We just have to give all we've got!
context: Regardless of who goes, everyone dies if we fail.\The risk is the same.\But is the plan I conceived...\really the best one?\It's our only option...\There's no time,\and this is the best plan we'll have.\We just have to give all we've got! response:	It's fine.
context: The risk is the same.\But is the plan I conceived...\really the best one?\It's our only option...\There's no time,\and this is the best plan we'll have.\We just have to give all we've got!\It's fine. response:	Have confidence in yourself.
context: But is the plan I conceived...\really the best one?\It's our only option...\There's no time,\and this is the best plan we'll have.\We just have to give all we've got!\It's fine.\Have confidence in yourself. response:	You have the ability to find the right solution.
context: really the best one?\It's our only option...\There's no time,\and this is the best plan we'll have.\We just have to give all we've got!\It's fine.\Have confidence in yourself.\You have the ability to find the right solution. response:	What?
context: It's our only option...\There's no time,\and this is the best plan we'll have.\We just have to give all we've got!\It's fine.\Have confidence in yourself.\You have the ability to find the right solution.\What? response:	That ability has saved both Eren and me.
context: There's no time,\and this is the best plan we'll have.\We just have to give all we've got!\It's fine.\Have confidence in yourself.\You have the ability to find the right solution.\What?\That ability has saved both Eren and me. response:	When was this?
context: and this is the best plan we'll have.\We just have to give all we've got!\It's fine.\Have confidence in yourself.\You have the ability to find the right solution.\What?\That ability has saved both Eren and me.\When was this? response:	The lift's ready!
context: We just have to give all we've got!\It's fine.\Have confidence in yourself.\You have the ability to find the right solution.\What?\That ability has saved both Eren and me.\When was this?\The lift's ready! response:	The guns, too!
context: It's fine.\Have confidence in yourself.\You have the ability to find the right solution.\What?\That ability has saved both Eren and me.\When was this?\The lift's ready!\The guns, too! response:	They're all loaded!
context: Have confidence in yourself.\You have the ability to find the right solution.\What?\That ability has saved both Eren and me.\When was this?\The lift's ready!\The guns, too!\They're all loaded! response:	You just don't realize it.
context: You have the ability to find the right solution.\What?\That ability has saved both Eren and me.\When was this?\The lift's ready!\The guns, too!\They're all loaded!\You just don't realize it. response:	We'll talk later.
context: What?\That ability has saved both Eren and me.\When was this?\The lift's ready!\The guns, too!\They're all loaded!\You just don't realize it.\We'll talk later. response:	Yeah...
context: That ability has saved both Eren and me.\When was this?\The lift's ready!\The guns, too!\They're all loaded!\You just don't realize it.\We'll talk later.\Yeah... response:	But can we kill Titans without Maneuver Gear?
context: When was this?\The lift's ready!\The guns, too!\They're all loaded!\You just don't realize it.\We'll talk later.\Yeah...\But can we kill Titans without Maneuver Gear? response:	Sure, we can.
context: The lift's ready!\The guns, too!\They're all loaded!\You just don't realize it.\We'll talk later.\Yeah...\But can we kill Titans without Maneuver Gear?\Sure, we can. response:	They're 3- to 4-meter class Titans.
context: The guns, too!\They're all loaded!\You just don't realize it.\We'll talk later.\Yeah...\But can we kill Titans without Maneuver Gear?\Sure, we can.\They're 3- to 4-meter class Titans. response:	The target will be easy to hit.
context: They're all loaded!\You just don't realize it.\We'll talk later.\Yeah...\But can we kill Titans without Maneuver Gear?\Sure, we can.\They're 3- to 4-meter class Titans.\The target will be easy to hit. response:	Yeah, no matter what the size,
context: You just don't realize it.\We'll talk later.\Yeah...\But can we kill Titans without Maneuver Gear?\Sure, we can.\They're 3- to 4-meter class Titans.\The target will be easy to hit.\Yeah, no matter what the size, response:	the target is always that one spot on the neck...
context: We'll talk later.\Yeah...\But can we kill Titans without Maneuver Gear?\Sure, we can.\They're 3- to 4-meter class Titans.\The target will be easy to hit.\Yeah, no matter what the size,\the target is always that one spot on the neck... response:	One meter long, ten centimeters wide!
context: Yeah...\But can we kill Titans without Maneuver Gear?\Sure, we can.\They're 3- to 4-meter class Titans.\The target will be easy to hit.\Yeah, no matter what the size,\the target is always that one spot on the neck...\One meter long, ten centimeters wide! response:	Or we can shove this up their ass.
context: But can we kill Titans without Maneuver Gear?\Sure, we can.\They're 3- to 4-meter class Titans.\The target will be easy to hit.\Yeah, no matter what the size,\the target is always that one spot on the neck...\One meter long, ten centimeters wide!\Or we can shove this up their ass. response:	These are their only two weak spots.
context: Sure, we can.\They're 3- to 4-meter class Titans.\The target will be easy to hit.\Yeah, no matter what the size,\the target is always that one spot on the neck...\One meter long, ten centimeters wide!\Or we can shove this up their ass.\These are their only two weak spots. response:	I didn't know about that!
context: They're 3- to 4-meter class Titans.\The target will be easy to hit.\Yeah, no matter what the size,\the target is always that one spot on the neck...\One meter long, ten centimeters wide!\Or we can shove this up their ass.\These are their only two weak spots.\I didn't know about that! response:	We can do that?
context: The target will be easy to hit.\Yeah, no matter what the size,\the target is always that one spot on the neck...\One meter long, ten centimeters wide!\Or we can shove this up their ass.\These are their only two weak spots.\I didn't know about that!\We can do that? response:	I'm just finding out now, too.
context: Yeah, no matter what the size,\the target is always that one spot on the neck...\One meter long, ten centimeters wide!\Or we can shove this up their ass.\These are their only two weak spots.\I didn't know about that!\We can do that?\I'm just finding out now, too. response:	Reiner...
context: the target is always that one spot on the neck...\One meter long, ten centimeters wide!\Or we can shove this up their ass.\These are their only two weak spots.\I didn't know about that!\We can do that?\I'm just finding out now, too.\Reiner... response:	Those may well end up being your last words.
context: One meter long, ten centimeters wide!\Or we can shove this up their ass.\These are their only two weak spots.\I didn't know about that!\We can do that?\I'm just finding out now, too.\Reiner...\Those may well end up being your last words. response:	It's okay...
context: Or we can shove this up their ass.\These are their only two weak spots.\I didn't know about that!\We can do that?\I'm just finding out now, too.\Reiner...\Those may well end up being your last words.\It's okay... response:	Their numbers haven't changed.
context: These are their only two weak spots.\I didn't know about that!\We can do that?\I'm just finding out now, too.\Reiner...\Those may well end up being your last words.\It's okay...\Their numbers haven't changed. response:	We're still a go!
context: I didn't know about that!\We can do that?\I'm just finding out now, too.\Reiner...\Those may well end up being your last words.\It's okay...\Their numbers haven't changed.\We're still a go! response:	Keep calm!
context: We can do that?\I'm just finding out now, too.\Reiner...\Those may well end up being your last words.\It's okay...\Their numbers haven't changed.\We're still a go!\Keep calm! response:	Draw them in!
context: I'm just finding out now, too.\Reiner...\Those may well end up being your last words.\It's okay...\Their numbers haven't changed.\We're still a go!\Keep calm!\Draw them in! response:	Wait.
context: Reiner...\Those may well end up being your last words.\It's okay...\Their numbers haven't changed.\We're still a go!\Keep calm!\Draw them in!\Wait. response:	Avoid fighting from a disadvantage.
context: Those may well end up being your last words.\It's okay...\Their numbers haven't changed.\We're still a go!\Keep calm!\Draw them in!\Wait.\Avoid fighting from a disadvantage. response:	If you don't want people to die.
context: It's okay...\Their numbers haven't changed.\We're still a go!\Keep calm!\Draw them in!\Wait.\Avoid fighting from a disadvantage.\If you don't want people to die. response:	Finish them all with this strike!
context: Their numbers haven't changed.\We're still a go!\Keep calm!\Draw them in!\Wait.\Avoid fighting from a disadvantage.\If you don't want people to die.\Finish them all with this strike! response:	Wait.
context: We're still a go!\Keep calm!\Draw them in!\Wait.\Avoid fighting from a disadvantage.\If you don't want people to die.\Finish them all with this strike!\Wait. response:	Ready...
context: Keep calm!\Draw them in!\Wait.\Avoid fighting from a disadvantage.\If you don't want people to die.\Finish them all with this strike!\Wait.\Ready... response:	Fire!
context: Draw them in!\Wait.\Avoid fighting from a disadvantage.\If you don't want people to die.\Finish them all with this strike!\Wait.\Ready...\Fire! response:	Got mine!
context: Wait.\Avoid fighting from a disadvantage.\If you don't want people to die.\Finish them all with this strike!\Wait.\Ready...\Fire!\Got mine! response:	And the others?
context: Avoid fighting from a disadvantage.\If you don't want people to die.\Finish them all with this strike!\Wait.\Ready...\Fire!\Got mine!\And the others? response:	U-Um...
context: If you don't want people to die.\Finish them all with this strike!\Wait.\Ready...\Fire!\Got mine!\And the others?\U-Um... response:	So sorry to attack...
context: Finish them all with this strike!\Wait.\Ready...\Fire!\Got mine!\And the others?\U-Um...\So sorry to attack... response:	Shit!
context: Wait.\Ready...\Fire!\Got mine!\And the others?\U-Um...\So sorry to attack...\Shit! response:	from behind...
context: Ready...\Fire!\Got mine!\And the others?\U-Um...\So sorry to attack...\Shit!\from behind... response:	Sasha and Connie...
context: Fire!\Got mine!\And the others?\U-Um...\So sorry to attack...\Shit!\from behind...\Sasha and Connie... response:	Hurry and help them!
context: Got mine!\And the others?\U-Um...\So sorry to attack...\Shit!\from behind...\Sasha and Connie...\Hurry and help them! response:	I'm...
context: And the others?\U-Um...\So sorry to attack...\Shit!\from behind...\Sasha and Connie...\Hurry and help them!\I'm... response:	So sorry!
context: U-Um...\So sorry to attack...\Shit!\from behind...\Sasha and Connie...\Hurry and help them!\I'm...\So sorry! response:	Mikasa!
context: So sorry to attack...\Shit!\from behind...\Sasha and Connie...\Hurry and help them!\I'm...\So sorry!\Mikasa! response:	You saved me!
context: Shit!\from behind...\Sasha and Connie...\Hurry and help them!\I'm...\So sorry!\Mikasa!\You saved me! response:	Are you injured?
context: from behind...\Sasha and Connie...\Hurry and help them!\I'm...\So sorry!\Mikasa!\You saved me!\Are you injured? response:	No, thanks to you...
context: Sasha and Connie...\Hurry and help them!\I'm...\So sorry!\Mikasa!\You saved me!\Are you injured?\No, thanks to you... response:	Then stand.
context: Hurry and help them!\I'm...\So sorry!\Mikasa!\You saved me!\Are you injured?\No, thanks to you...\Then stand. response:	Sorry...
context: I'm...\So sorry!\Mikasa!\You saved me!\Are you injured?\No, thanks to you...\Then stand.\Sorry... response:	It was nothing.
context: So sorry!\Mikasa!\You saved me!\Are you injured?\No, thanks to you...\Then stand.\Sorry...\It was nothing. response:	Hey, now...
context: Mikasa!\You saved me!\Are you injured?\No, thanks to you...\Then stand.\Sorry...\It was nothing.\Hey, now... response:	That was close, Annie.
context: You saved me!\Are you injured?\No, thanks to you...\Then stand.\Sorry...\It was nothing.\Hey, now...\That was close, Annie. response:	I'm really glad you weren't hurt.
context: Are you injured?\No, thanks to you...\Then stand.\Sorry...\It was nothing.\Hey, now...\That was close, Annie.\I'm really glad you weren't hurt. response:	We got them all!
context: No, thanks to you...\Then stand.\Sorry...\It was nothing.\Hey, now...\That was close, Annie.\I'm really glad you weren't hurt.\We got them all! response:	Begin the resupply.
context: Then stand.\Sorry...\It was nothing.\Hey, now...\That was close, Annie.\I'm really glad you weren't hurt.\We got them all!\Begin the resupply. response:	We did it!
context: Sorry...\It was nothing.\Hey, now...\That was close, Annie.\I'm really glad you weren't hurt.\We got them all!\Begin the resupply.\We did it! response:	Okay, we're saved now.
context: It was nothing.\Hey, now...\That was close, Annie.\I'm really glad you weren't hurt.\We got them all!\Begin the resupply.\We did it!\Okay, we're saved now. response:	The Titans aren't coming in!
context: Hey, now...\That was close, Annie.\I'm really glad you weren't hurt.\We got them all!\Begin the resupply.\We did it!\Okay, we're saved now.\The Titans aren't coming in! response:	It's thanks to that other Titan fighting them.
context: That was close, Annie.\I'm really glad you weren't hurt.\We got them all!\Begin the resupply.\We did it!\Okay, we're saved now.\The Titans aren't coming in!\It's thanks to that other Titan fighting them. response:	I accepted defeat before the Titans...
context: I'm really glad you weren't hurt.\We got them all!\Begin the resupply.\We did it!\Okay, we're saved now.\The Titans aren't coming in!\It's thanks to that other Titan fighting them.\I accepted defeat before the Titans... response:	I'm so ashamed!
context: We got them all!\Begin the resupply.\We did it!\Okay, we're saved now.\The Titans aren't coming in!\It's thanks to that other Titan fighting them.\I accepted defeat before the Titans...\I'm so ashamed! response:	I'll despise you all you want later!
context: Begin the resupply.\We did it!\Okay, we're saved now.\The Titans aren't coming in!\It's thanks to that other Titan fighting them.\I accepted defeat before the Titans...\I'm so ashamed!\I'll despise you all you want later! response:	Let's get out of here!
context: We did it!\Okay, we're saved now.\The Titans aren't coming in!\It's thanks to that other Titan fighting them.\I accepted defeat before the Titans...\I'm so ashamed!\I'll despise you all you want later!\Let's get out of here! response:	I don't think I'm cut out to be a leader...
context: Okay, we're saved now.\The Titans aren't coming in!\It's thanks to that other Titan fighting them.\I accepted defeat before the Titans...\I'm so ashamed!\I'll despise you all you want later!\Let's get out of here!\I don't think I'm cut out to be a leader... response:	Don't say things like that again.
context: The Titans aren't coming in!\It's thanks to that other Titan fighting them.\I accepted defeat before the Titans...\I'm so ashamed!\I'll despise you all you want later!\Let's get out of here!\I don't think I'm cut out to be a leader...\Don't say things like that again. response:	I hope you won't get mad when I say this...
context: It's thanks to that other Titan fighting them.\I accepted defeat before the Titans...\I'm so ashamed!\I'll despise you all you want later!\Let's get out of here!\I don't think I'm cut out to be a leader...\Don't say things like that again.\I hope you won't get mad when I say this... response:	But you aren't a strong person.
context: I accepted defeat before the Titans...\I'm so ashamed!\I'll despise you all you want later!\Let's get out of here!\I don't think I'm cut out to be a leader...\Don't say things like that again.\I hope you won't get mad when I say this...\But you aren't a strong person. response:	So you can relate to how the weak feel.
context: I'm so ashamed!\I'll despise you all you want later!\Let's get out of here!\I don't think I'm cut out to be a leader...\Don't say things like that again.\I hope you won't get mad when I say this...\But you aren't a strong person.\So you can relate to how the weak feel. response:	In addition, you excel in sizing up any situation.
context: I'll despise you all you want later!\Let's get out of here!\I don't think I'm cut out to be a leader...\Don't say things like that again.\I hope you won't get mad when I say this...\But you aren't a strong person.\So you can relate to how the weak feel.\In addition, you excel in sizing up any situation. response:	Isn't that why you immediately know what has to be done?
context: Let's get out of here!\I don't think I'm cut out to be a leader...\Don't say things like that again.\I hope you won't get mad when I say this...\But you aren't a strong person.\So you can relate to how the weak feel.\In addition, you excel in sizing up any situation.\Isn't that why you immediately know what has to be done? response:	You gave the right orders.
context: I don't think I'm cut out to be a leader...\Don't say things like that again.\I hope you won't get mad when I say this...\But you aren't a strong person.\So you can relate to how the weak feel.\In addition, you excel in sizing up any situation.\Isn't that why you immediately know what has to be done?\You gave the right orders. response:	That's why I could jump, and it's why I'm alive.
context: Don't say things like that again.\I hope you won't get mad when I say this...\But you aren't a strong person.\So you can relate to how the weak feel.\In addition, you excel in sizing up any situation.\Isn't that why you immediately know what has to be done?\You gave the right orders.\That's why I could jump, and it's why I'm alive. response:	You ready?
context: I hope you won't get mad when I say this...\But you aren't a strong person.\So you can relate to how the weak feel.\In addition, you excel in sizing up any situation.\Isn't that why you immediately know what has to be done?\You gave the right orders.\That's why I could jump, and it's why I'm alive.\You ready? response:	Let's get out of here!
context: But you aren't a strong person.\So you can relate to how the weak feel.\In addition, you excel in sizing up any situation.\Isn't that why you immediately know what has to be done?\You gave the right orders.\That's why I could jump, and it's why I'm alive.\You ready?\Let's get out of here! response:	We'll all head out together!
context: So you can relate to how the weak feel.\In addition, you excel in sizing up any situation.\Isn't that why you immediately know what has to be done?\You gave the right orders.\That's why I could jump, and it's why I'm alive.\You ready?\Let's get out of here!\We'll all head out together! response:	Scale the walls!
context: In addition, you excel in sizing up any situation.\Isn't that why you immediately know what has to be done?\You gave the right orders.\That's why I could jump, and it's why I'm alive.\You ready?\Let's get out of here!\We'll all head out together!\Scale the walls! response:	Rendezvous with the rest of the army! Go!
context: Isn't that why you immediately know what has to be done?\You gave the right orders.\That's why I could jump, and it's why I'm alive.\You ready?\Let's get out of here!\We'll all head out together!\Scale the walls!\Rendezvous with the rest of the army! Go! response:	Mikasa?
context: You gave the right orders.\That's why I could jump, and it's why I'm alive.\You ready?\Let's get out of here!\We'll all head out together!\Scale the walls!\Rendezvous with the rest of the army! Go!\Mikasa? response:	Mikasa...
context: That's why I could jump, and it's why I'm alive.\You ready?\Let's get out of here!\We'll all head out together!\Scale the walls!\Rendezvous with the rest of the army! Go!\Mikasa?\Mikasa... response:	We have to run.
context: You ready?\Let's get out of here!\We'll all head out together!\Scale the walls!\Rendezvous with the rest of the army! Go!\Mikasa?\Mikasa...\We have to run. response:	That Titan...
context: Let's get out of here!\We'll all head out together!\Scale the walls!\Rendezvous with the rest of the army! Go!\Mikasa?\Mikasa...\We have to run.\That Titan... response:	Cannibalism?
context: We'll all head out together!\Scale the walls!\Rendezvous with the rest of the army! Go!\Mikasa?\Mikasa...\We have to run.\That Titan...\Cannibalism? response:	Can it not regenerate its body?
context: Scale the walls!\Rendezvous with the rest of the army! Go!\Mikasa?\Mikasa...\We have to run.\That Titan...\Cannibalism?\Can it not regenerate its body? response:	I thought that if we could solve the mystery of that Titan,
context: Rendezvous with the rest of the army! Go!\Mikasa?\Mikasa...\We have to run.\That Titan...\Cannibalism?\Can it not regenerate its body?\I thought that if we could solve the mystery of that Titan, response:	it may give us a way to overcome our bleak predicament...
context: Mikasa?\Mikasa...\We have to run.\That Titan...\Cannibalism?\Can it not regenerate its body?\I thought that if we could solve the mystery of that Titan,\it may give us a way to overcome our bleak predicament... response:	I agree.
context: Mikasa...\We have to run.\That Titan...\Cannibalism?\Can it not regenerate its body?\I thought that if we could solve the mystery of that Titan,\it may give us a way to overcome our bleak predicament...\I agree. response:	If it gets eaten, we won't learn anything.
context: We have to run.\That Titan...\Cannibalism?\Can it not regenerate its body?\I thought that if we could solve the mystery of that Titan,\it may give us a way to overcome our bleak predicament...\I agree.\If it gets eaten, we won't learn anything. response:	Let's try to keep it alive by killing the ones clinging to it.
context: That Titan...\Cannibalism?\Can it not regenerate its body?\I thought that if we could solve the mystery of that Titan,\it may give us a way to overcome our bleak predicament...\I agree.\If it gets eaten, we won't learn anything.\Let's try to keep it alive by killing the ones clinging to it. response:	Are you insane, Reiner?!
context: Cannibalism?\Can it not regenerate its body?\I thought that if we could solve the mystery of that Titan,\it may give us a way to overcome our bleak predicament...\I agree.\If it gets eaten, we won't learn anything.\Let's try to keep it alive by killing the ones clinging to it.\Are you insane, Reiner?! response:	We can finally get out of here!
context: Can it not regenerate its body?\I thought that if we could solve the mystery of that Titan,\it may give us a way to overcome our bleak predicament...\I agree.\If it gets eaten, we won't learn anything.\Let's try to keep it alive by killing the ones clinging to it.\Are you insane, Reiner?!\We can finally get out of here! response:	What if it might be able to help us?
context: I thought that if we could solve the mystery of that Titan,\it may give us a way to overcome our bleak predicament...\I agree.\If it gets eaten, we won't learn anything.\Let's try to keep it alive by killing the ones clinging to it.\Are you insane, Reiner?!\We can finally get out of here!\What if it might be able to help us? response:	Might it not prove a greater weapon than any cannon?
context: it may give us a way to overcome our bleak predicament...\I agree.\If it gets eaten, we won't learn anything.\Let's try to keep it alive by killing the ones clinging to it.\Are you insane, Reiner?!\We can finally get out of here!\What if it might be able to help us?\Might it not prove a greater weapon than any cannon? response:	Help us?
context: I agree.\If it gets eaten, we won't learn anything.\Let's try to keep it alive by killing the ones clinging to it.\Are you insane, Reiner?!\We can finally get out of here!\What if it might be able to help us?\Might it not prove a greater weapon than any cannon?\Help us? response:	Are you serious?
context: If it gets eaten, we won't learn anything.\Let's try to keep it alive by killing the ones clinging to it.\Are you insane, Reiner?!\We can finally get out of here!\What if it might be able to help us?\Might it not prove a greater weapon than any cannon?\Help us?\Are you serious? response:	That's...
context: Let's try to keep it alive by killing the ones clinging to it.\Are you insane, Reiner?!\We can finally get out of here!\What if it might be able to help us?\Might it not prove a greater weapon than any cannon?\Help us?\Are you serious?\That's... response:	the Aberrant that ate Thomas...
context: Are you insane, Reiner?!\We can finally get out of here!\What if it might be able to help us?\Might it not prove a greater weapon than any cannon?\Help us?\Are you serious?\That's...\the Aberrant that ate Thomas... response:	Come on...
context: We can finally get out of here!\What if it might be able to help us?\Might it not prove a greater weapon than any cannon?\Help us?\Are you serious?\That's...\the Aberrant that ate Thomas...\Come on... response:	It doesn't need help.
context: What if it might be able to help us?\Might it not prove a greater weapon than any cannon?\Help us?\Are you serious?\That's...\the Aberrant that ate Thomas...\Come on...\It doesn't need help. response:	I guess it's finally exhausted itself...
context: Might it not prove a greater weapon than any cannon?\Help us?\Are you serious?\That's...\the Aberrant that ate Thomas...\Come on...\It doesn't need help.\I guess it's finally exhausted itself... response:	That's enough... We're leaving.
context: Help us?\Are you serious?\That's...\the Aberrant that ate Thomas...\Come on...\It doesn't need help.\I guess it's finally exhausted itself...\That's enough... We're leaving. response:	That thing couldn't possibly help us...
context: Are you serious?\That's...\the Aberrant that ate Thomas...\Come on...\It doesn't need help.\I guess it's finally exhausted itself...\That's enough... We're leaving.\That thing couldn't possibly help us... response:	A Titan is still a Titan.
context: That's...\the Aberrant that ate Thomas...\Come on...\It doesn't need help.\I guess it's finally exhausted itself...\That's enough... We're leaving.\That thing couldn't possibly help us...\A Titan is still a Titan. response:	What is it?
context: the Aberrant that ate Thomas...\Come on...\It doesn't need help.\I guess it's finally exhausted itself...\That's enough... We're leaving.\That thing couldn't possibly help us...\A Titan is still a Titan.\What is it? response:	Mikasa!
context: Come on...\It doesn't need help.\I guess it's finally exhausted itself...\That's enough... We're leaving.\That thing couldn't possibly help us...\A Titan is still a Titan.\What is it?\Mikasa! response:	It's Eren...
context: It doesn't need help.\I guess it's finally exhausted itself...\That's enough... We're leaving.\That thing couldn't possibly help us...\A Titan is still a Titan.\What is it?\Mikasa!\It's Eren... response:	He's regained the limbs he'd lost...
context: I guess it's finally exhausted itself...\That's enough... We're leaving.\That thing couldn't possibly help us...\A Titan is still a Titan.\What is it?\Mikasa!\It's Eren...\He's regained the limbs he'd lost... response:	I saw a Titan swallow Eren whole.
context: That's enough... We're leaving.\That thing couldn't possibly help us...\A Titan is still a Titan.\What is it?\Mikasa!\It's Eren...\He's regained the limbs he'd lost...\I saw a Titan swallow Eren whole. response:	I saw...
