context: All of the various economic response:	powers are hastily preparing to launch their forces.
context: What?!\We can't reliably count on him in battle.\So please devise a plan that doesn't require him.\Very well.\Losing Red 5 hurts, but I'll come up with something.\In exchange, Imperial Princess Teoria will be accompanying us.\Have you reached a decision?\I have. response:	I see. Thank you.
context: We can't reliably count on him in battle.\So please devise a plan that doesn't require him.\Very well.\Losing Red 5 hurts, but I'll come up with something.\In exchange, Imperial Princess Teoria will be accompanying us.\Have you reached a decision?\I have.\I see. Thank you. response:	As of right now, you are
context: So please devise a plan that doesn't require him.\Very well.\Losing Red 5 hurts, but I'll come up with something.\In exchange, Imperial Princess Teoria will be accompanying us.\Have you reached a decision?\I have.\I see. Thank you.\As of right now, you are response:	the Supreme Commander presiding over this operation.
context: Very well.\Losing Red 5 hurts, but I'll come up with something.\In exchange, Imperial Princess Teoria will be accompanying us.\Have you reached a decision?\I have.\I see. Thank you.\As of right now, you are\the Supreme Commander presiding over this operation. response:	In exchange, I have a favor to ask of you.
context: Losing Red 5 hurts, but I'll come up with something.\In exchange, Imperial Princess Teoria will be accompanying us.\Have you reached a decision?\I have.\I see. Thank you.\As of right now, you are\the Supreme Commander presiding over this operation.\In exchange, I have a favor to ask of you. response:	There is something I'd like to use.
context: In exchange, Imperial Princess Teoria will be accompanying us.\Have you reached a decision?\I have.\I see. Thank you.\As of right now, you are\the Supreme Commander presiding over this operation.\In exchange, I have a favor to ask of you.\There is something I'd like to use. response:	With our next strike, we will bring this shikaara to an end.
context: Have you reached a decision?\I have.\I see. Thank you.\As of right now, you are\the Supreme Commander presiding over this operation.\In exchange, I have a favor to ask of you.\There is something I'd like to use.\With our next strike, we will bring this shikaara to an end. response:	We shall overtake Earth in one bout and
context: I have.\I see. Thank you.\As of right now, you are\the Supreme Commander presiding over this operation.\In exchange, I have a favor to ask of you.\There is something I'd like to use.\With our next strike, we will bring this shikaara to an end.\We shall overtake Earth in one bout and response:	seize the genes that Klein failed to obtain!
context: I see. Thank you.\As of right now, you are\the Supreme Commander presiding over this operation.\In exchange, I have a favor to ask of you.\There is something I'd like to use.\With our next strike, we will bring this shikaara to an end.\We shall overtake Earth in one bout and\seize the genes that Klein failed to obtain! response:	The final shikaara...
context: As of right now, you are\the Supreme Commander presiding over this operation.\In exchange, I have a favor to ask of you.\There is something I'd like to use.\With our next strike, we will bring this shikaara to an end.\We shall overtake Earth in one bout and\seize the genes that Klein failed to obtain!\The final shikaara... response:	I can hardly wait.
context: the Supreme Commander presiding over this operation.\In exchange, I have a favor to ask of you.\There is something I'd like to use.\With our next strike, we will bring this shikaara to an end.\We shall overtake Earth in one bout and\seize the genes that Klein failed to obtain!\The final shikaara...\I can hardly wait. response:	Fight with all of your might...
context: In exchange, I have a favor to ask of you.\There is something I'd like to use.\With our next strike, we will bring this shikaara to an end.\We shall overtake Earth in one bout and\seize the genes that Klein failed to obtain!\The final shikaara...\I can hardly wait.\Fight with all of your might... response:	I am bewildered by these lamata whom we refer to as Earthlings.
context: There is something I'd like to use.\With our next strike, we will bring this shikaara to an end.\We shall overtake Earth in one bout and\seize the genes that Klein failed to obtain!\The final shikaara...\I can hardly wait.\Fight with all of your might...\I am bewildered by these lamata whom we refer to as Earthlings. response:	Sir?
context: With our next strike, we will bring this shikaara to an end.\We shall overtake Earth in one bout and\seize the genes that Klein failed to obtain!\The final shikaara...\I can hardly wait.\Fight with all of your might...\I am bewildered by these lamata whom we refer to as Earthlings.\Sir? response:	There are times when they prioritize
context: We shall overtake Earth in one bout and\seize the genes that Klein failed to obtain!\The final shikaara...\I can hardly wait.\Fight with all of your might...\I am bewildered by these lamata whom we refer to as Earthlings.\Sir?\There are times when they prioritize response:	the life of another over their own.
context: seize the genes that Klein failed to obtain!\The final shikaara...\I can hardly wait.\Fight with all of your might...\I am bewildered by these lamata whom we refer to as Earthlings.\Sir?\There are times when they prioritize\the life of another over their own. response:	That is not the correct action for any living creature to take.
context: The final shikaara...\I can hardly wait.\Fight with all of your might...\I am bewildered by these lamata whom we refer to as Earthlings.\Sir?\There are times when they prioritize\the life of another over their own.\That is not the correct action for any living creature to take. response:	Thinking back on the prior species we've hunted,
context: I can hardly wait.\Fight with all of your might...\I am bewildered by these lamata whom we refer to as Earthlings.\Sir?\There are times when they prioritize\the life of another over their own.\That is not the correct action for any living creature to take.\Thinking back on the prior species we've hunted, response:	the individual beings always prioritized their own lives.
context: Fight with all of your might...\I am bewildered by these lamata whom we refer to as Earthlings.\Sir?\There are times when they prioritize\the life of another over their own.\That is not the correct action for any living creature to take.\Thinking back on the prior species we've hunted,\the individual beings always prioritized their own lives. response:	However...
context: I am bewildered by these lamata whom we refer to as Earthlings.\Sir?\There are times when they prioritize\the life of another over their own.\That is not the correct action for any living creature to take.\Thinking back on the prior species we've hunted,\the individual beings always prioritized their own lives.\However... response:	No, we must hunt them down.
context: Sir?\There are times when they prioritize\the life of another over their own.\That is not the correct action for any living creature to take.\Thinking back on the prior species we've hunted,\the individual beings always prioritized their own lives.\However...\No, we must hunt them down. response:	We have continued the shikaara in pursuit of increasingly advanced genes,
context: There are times when they prioritize\the life of another over their own.\That is not the correct action for any living creature to take.\Thinking back on the prior species we've hunted,\the individual beings always prioritized their own lives.\However...\No, we must hunt them down.\We have continued the shikaara in pursuit of increasingly advanced genes, response:	believing that such measures will help us survive in this universe...
context: the life of another over their own.\That is not the correct action for any living creature to take.\Thinking back on the prior species we've hunted,\the individual beings always prioritized their own lives.\However...\No, we must hunt them down.\We have continued the shikaara in pursuit of increasingly advanced genes,\believing that such measures will help us survive in this universe... response:	Is that not so, Lumes?
context: That is not the correct action for any living creature to take.\Thinking back on the prior species we've hunted,\the individual beings always prioritized their own lives.\However...\No, we must hunt them down.\We have continued the shikaara in pursuit of increasingly advanced genes,\believing that such measures will help us survive in this universe...\Is that not so, Lumes? response:	Yes, sir. That was what the oracle proclaimed.
context: Thinking back on the prior species we've hunted,\the individual beings always prioritized their own lives.\However...\No, we must hunt them down.\We have continued the shikaara in pursuit of increasingly advanced genes,\believing that such measures will help us survive in this universe...\Is that not so, Lumes?\Yes, sir. That was what the oracle proclaimed. response:	Prince Jiart, the final shikaara is about to begin.
context: the individual beings always prioritized their own lives.\However...\No, we must hunt them down.\We have continued the shikaara in pursuit of increasingly advanced genes,\believing that such measures will help us survive in this universe...\Is that not so, Lumes?\Yes, sir. That was what the oracle proclaimed.\Prince Jiart, the final shikaara is about to begin. response:	Was this my brother's decision?
context: However...\No, we must hunt them down.\We have continued the shikaara in pursuit of increasingly advanced genes,\believing that such measures will help us survive in this universe...\Is that not so, Lumes?\Yes, sir. That was what the oracle proclaimed.\Prince Jiart, the final shikaara is about to begin.\Was this my brother's decision? response:	It was.
context: No, we must hunt them down.\We have continued the shikaara in pursuit of increasingly advanced genes,\believing that such measures will help us survive in this universe...\Is that not so, Lumes?\Yes, sir. That was what the oracle proclaimed.\Prince Jiart, the final shikaara is about to begin.\Was this my brother's decision?\It was. response:	Have you heard word from Teoria?
context: We have continued the shikaara in pursuit of increasingly advanced genes,\believing that such measures will help us survive in this universe...\Is that not so, Lumes?\Yes, sir. That was what the oracle proclaimed.\Prince Jiart, the final shikaara is about to begin.\Was this my brother's decision?\It was.\Have you heard word from Teoria? response:	Nothing as of yet.
context: believing that such measures will help us survive in this universe...\Is that not so, Lumes?\Yes, sir. That was what the oracle proclaimed.\Prince Jiart, the final shikaara is about to begin.\Was this my brother's decision?\It was.\Have you heard word from Teoria?\Nothing as of yet. response:	Either she has already passed away...
context: Is that not so, Lumes?\Yes, sir. That was what the oracle proclaimed.\Prince Jiart, the final shikaara is about to begin.\Was this my brother's decision?\It was.\Have you heard word from Teoria?\Nothing as of yet.\Either she has already passed away... response:	Once this is over, we should be able to find Princess Teoria.
context: Yes, sir. That was what the oracle proclaimed.\Prince Jiart, the final shikaara is about to begin.\Was this my brother's decision?\It was.\Have you heard word from Teoria?\Nothing as of yet.\Either she has already passed away...\Once this is over, we should be able to find Princess Teoria. response:	True enough.
context: Prince Jiart, the final shikaara is about to begin.\Was this my brother's decision?\It was.\Have you heard word from Teoria?\Nothing as of yet.\Either she has already passed away...\Once this is over, we should be able to find Princess Teoria.\True enough. response:	Cheers to the shikaara!
context: Was this my brother's decision?\It was.\Have you heard word from Teoria?\Nothing as of yet.\Either she has already passed away...\Once this is over, we should be able to find Princess Teoria.\True enough.\Cheers to the shikaara! response:	I repeat: All civilians residing on Star Rose,
context: It was.\Have you heard word from Teoria?\Nothing as of yet.\Either she has already passed away...\Once this is over, we should be able to find Princess Teoria.\True enough.\Cheers to the shikaara!\I repeat: All civilians residing on Star Rose, response:	please evacuate to Earth with all due haste.
context: Have you heard word from Teoria?\Nothing as of yet.\Either she has already passed away...\Once this is over, we should be able to find Princess Teoria.\True enough.\Cheers to the shikaara!\I repeat: All civilians residing on Star Rose,\please evacuate to Earth with all due haste. response:	I repeat: All civilians residing on Star Rose,
context: Nothing as of yet.\Either she has already passed away...\Once this is over, we should be able to find Princess Teoria.\True enough.\Cheers to the shikaara!\I repeat: All civilians residing on Star Rose,\please evacuate to Earth with all due haste.\I repeat: All civilians residing on Star Rose, response:	Why does everyone suddenly have to leave Star Rose?
context: Either she has already passed away...\Once this is over, we should be able to find Princess Teoria.\True enough.\Cheers to the shikaara!\I repeat: All civilians residing on Star Rose,\please evacuate to Earth with all due haste.\I repeat: All civilians residing on Star Rose,\Why does everyone suddenly have to leave Star Rose? response:	Probably'cause it's dangerous up here.
context: Once this is over, we should be able to find Princess Teoria.\True enough.\Cheers to the shikaara!\I repeat: All civilians residing on Star Rose,\please evacuate to Earth with all due haste.\I repeat: All civilians residing on Star Rose,\Why does everyone suddenly have to leave Star Rose?\Probably'cause it's dangerous up here. response:	Does that mean the enemy could make it this close to Earth?
context: True enough.\Cheers to the shikaara!\I repeat: All civilians residing on Star Rose,\please evacuate to Earth with all due haste.\I repeat: All civilians residing on Star Rose,\Why does everyone suddenly have to leave Star Rose?\Probably'cause it's dangerous up here.\Does that mean the enemy could make it this close to Earth? response:	That's a possibility.
context: Cheers to the shikaara!\I repeat: All civilians residing on Star Rose,\please evacuate to Earth with all due haste.\I repeat: All civilians residing on Star Rose,\Why does everyone suddenly have to leave Star Rose?\Probably'cause it's dangerous up here.\Does that mean the enemy could make it this close to Earth?\That's a possibility. response:	Oh, guys! So this is where you went!
context: I repeat: All civilians residing on Star Rose,\please evacuate to Earth with all due haste.\I repeat: All civilians residing on Star Rose,\Why does everyone suddenly have to leave Star Rose?\Probably'cause it's dangerous up here.\Does that mean the enemy could make it this close to Earth?\That's a possibility.\Oh, guys! So this is where you went! response:	They're about to hold a general briefing for the upcoming operation!
context: please evacuate to Earth with all due haste.\I repeat: All civilians residing on Star Rose,\Why does everyone suddenly have to leave Star Rose?\Probably'cause it's dangerous up here.\Does that mean the enemy could make it this close to Earth?\That's a possibility.\Oh, guys! So this is where you went!\They're about to hold a general briefing for the upcoming operation! response:	Once that's over, you're supposed to board the Godinion.
context: I repeat: All civilians residing on Star Rose,\Why does everyone suddenly have to leave Star Rose?\Probably'cause it's dangerous up here.\Does that mean the enemy could make it this close to Earth?\That's a possibility.\Oh, guys! So this is where you went!\They're about to hold a general briefing for the upcoming operation!\Once that's over, you're supposed to board the Godinion. response:	Great Chinese Alliance
context: Why does everyone suddenly have to leave Star Rose?\Probably'cause it's dangerous up here.\Does that mean the enemy could make it this close to Earth?\That's a possibility.\Oh, guys! So this is where you went!\They're about to hold a general briefing for the upcoming operation!\Once that's over, you're supposed to board the Godinion.\Great Chinese Alliance response:	Organization of the Bela-Russian Conference
context: Probably'cause it's dangerous up here.\Does that mean the enemy could make it this close to Earth?\That's a possibility.\Oh, guys! So this is where you went!\They're about to hold a general briefing for the upcoming operation!\Once that's over, you're supposed to board the Godinion.\Great Chinese Alliance\Organization of the Bela-Russian Conference response:	United Provinces of Africa
context: Does that mean the enemy could make it this close to Earth?\That's a possibility.\Oh, guys! So this is where you went!\They're about to hold a general briefing for the upcoming operation!\Once that's over, you're supposed to board the Godinion.\Great Chinese Alliance\Organization of the Bela-Russian Conference\United Provinces of Africa response:	GDF General Headquarters
context: That's a possibility.\Oh, guys! So this is where you went!\They're about to hold a general briefing for the upcoming operation!\Once that's over, you're supposed to board the Godinion.\Great Chinese Alliance\Organization of the Bela-Russian Conference\United Provinces of Africa\GDF General Headquarters response:	Now then, I am going to brief you on Operation: Heaven's Gate.
context: Oh, guys! So this is where you went!\They're about to hold a general briefing for the upcoming operation!\Once that's over, you're supposed to board the Godinion.\Great Chinese Alliance\Organization of the Bela-Russian Conference\United Provinces of Africa\GDF General Headquarters\Now then, I am going to brief you on Operation: Heaven's Gate. response:	The primary goal of this operation is to destroy the enemy's gate.
context: They're about to hold a general briefing for the upcoming operation!\Once that's over, you're supposed to board the Godinion.\Great Chinese Alliance\Organization of the Bela-Russian Conference\United Provinces of Africa\GDF General Headquarters\Now then, I am going to brief you on Operation: Heaven's Gate.\The primary goal of this operation is to destroy the enemy's gate. response:	At a pre-determined time, all fleets will begin heading toward the gate.
context: Once that's over, you're supposed to board the Godinion.\Great Chinese Alliance\Organization of the Bela-Russian Conference\United Provinces of Africa\GDF General Headquarters\Now then, I am going to brief you on Operation: Heaven's Gate.\The primary goal of this operation is to destroy the enemy's gate.\At a pre-determined time, all fleets will begin heading toward the gate. response:	We will instruct you on how to handle
context: Great Chinese Alliance\Organization of the Bela-Russian Conference\United Provinces of Africa\GDF General Headquarters\Now then, I am going to brief you on Operation: Heaven's Gate.\The primary goal of this operation is to destroy the enemy's gate.\At a pre-determined time, all fleets will begin heading toward the gate.\We will instruct you on how to handle response:	any battles along the way as we see fit.
context: Organization of the Bela-Russian Conference\United Provinces of Africa\GDF General Headquarters\Now then, I am going to brief you on Operation: Heaven's Gate.\The primary goal of this operation is to destroy the enemy's gate.\At a pre-determined time, all fleets will begin heading toward the gate.\We will instruct you on how to handle\any battles along the way as we see fit. response:	Upon reaching the gate, you are to swiftly enter formation
context: United Provinces of Africa\GDF General Headquarters\Now then, I am going to brief you on Operation: Heaven's Gate.\The primary goal of this operation is to destroy the enemy's gate.\At a pre-determined time, all fleets will begin heading toward the gate.\We will instruct you on how to handle\any battles along the way as we see fit.\Upon reaching the gate, you are to swiftly enter formation response:	and prepare for the enemy to strike.
context: GDF General Headquarters\Now then, I am going to brief you on Operation: Heaven's Gate.\The primary goal of this operation is to destroy the enemy's gate.\At a pre-determined time, all fleets will begin heading toward the gate.\We will instruct you on how to handle\any battles along the way as we see fit.\Upon reaching the gate, you are to swiftly enter formation\and prepare for the enemy to strike. response:	I will explain the fleets' strategies at a different point in time.
context: Now then, I am going to brief you on Operation: Heaven's Gate.\The primary goal of this operation is to destroy the enemy's gate.\At a pre-determined time, all fleets will begin heading toward the gate.\We will instruct you on how to handle\any battles along the way as we see fit.\Upon reaching the gate, you are to swiftly enter formation\and prepare for the enemy to strike.\I will explain the fleets' strategies at a different point in time. response:	The MJP's Team Rabbits will fight in the frontlines.
context: The primary goal of this operation is to destroy the enemy's gate.\At a pre-determined time, all fleets will begin heading toward the gate.\We will instruct you on how to handle\any battles along the way as we see fit.\Upon reaching the gate, you are to swiftly enter formation\and prepare for the enemy to strike.\I will explain the fleets' strategies at a different point in time.\The MJP's Team Rabbits will fight in the frontlines. response:	All armies are to offer their full support.
context: At a pre-determined time, all fleets will begin heading toward the gate.\We will instruct you on how to handle\any battles along the way as we see fit.\Upon reaching the gate, you are to swiftly enter formation\and prepare for the enemy to strike.\I will explain the fleets' strategies at a different point in time.\The MJP's Team Rabbits will fight in the frontlines.\All armies are to offer their full support. response:	All AHSMBs will be equipped with the markers needed
context: We will instruct you on how to handle\any battles along the way as we see fit.\Upon reaching the gate, you are to swiftly enter formation\and prepare for the enemy to strike.\I will explain the fleets' strategies at a different point in time.\The MJP's Team Rabbits will fight in the frontlines.\All armies are to offer their full support.\All AHSMBs will be equipped with the markers needed response:	for when we fire the Straggle Laser at the gate.
context: any battles along the way as we see fit.\Upon reaching the gate, you are to swiftly enter formation\and prepare for the enemy to strike.\I will explain the fleets' strategies at a different point in time.\The MJP's Team Rabbits will fight in the frontlines.\All armies are to offer their full support.\All AHSMBs will be equipped with the markers needed\for when we fire the Straggle Laser at the gate. response:	Blue 1, Rose 3 and Black 6 will upset
context: Upon reaching the gate, you are to swiftly enter formation\and prepare for the enemy to strike.\I will explain the fleets' strategies at a different point in time.\The MJP's Team Rabbits will fight in the frontlines.\All armies are to offer their full support.\All AHSMBs will be equipped with the markers needed\for when we fire the Straggle Laser at the gate.\Blue 1, Rose 3 and Black 6 will upset response:	the enemy formation while moving toward the gate.
context: and prepare for the enemy to strike.\I will explain the fleets' strategies at a different point in time.\The MJP's Team Rabbits will fight in the frontlines.\All armies are to offer their full support.\All AHSMBs will be equipped with the markers needed\for when we fire the Straggle Laser at the gate.\Blue 1, Rose 3 and Black 6 will upset\the enemy formation while moving toward the gate. response:	Gold 4 will offer support.
context: I will explain the fleets' strategies at a different point in time.\The MJP's Team Rabbits will fight in the frontlines.\All armies are to offer their full support.\All AHSMBs will be equipped with the markers needed\for when we fire the Straggle Laser at the gate.\Blue 1, Rose 3 and Black 6 will upset\the enemy formation while moving toward the gate.\Gold 4 will offer support. response:	Purple 2 will issue orders from the rear.
context: The MJP's Team Rabbits will fight in the frontlines.\All armies are to offer their full support.\All AHSMBs will be equipped with the markers needed\for when we fire the Straggle Laser at the gate.\Blue 1, Rose 3 and Black 6 will upset\the enemy formation while moving toward the gate.\Gold 4 will offer support.\Purple 2 will issue orders from the rear. response:	The AHSMB units will take whatever formation is necessary to
context: All armies are to offer their full support.\All AHSMBs will be equipped with the markers needed\for when we fire the Straggle Laser at the gate.\Blue 1, Rose 3 and Black 6 will upset\the enemy formation while moving toward the gate.\Gold 4 will offer support.\Purple 2 will issue orders from the rear.\The AHSMB units will take whatever formation is necessary to response:	launch the markers, while all fleets will offer their full support.
context: All AHSMBs will be equipped with the markers needed\for when we fire the Straggle Laser at the gate.\Blue 1, Rose 3 and Black 6 will upset\the enemy formation while moving toward the gate.\Gold 4 will offer support.\Purple 2 will issue orders from the rear.\The AHSMB units will take whatever formation is necessary to\launch the markers, while all fleets will offer their full support. response:	As soon as they've launched the markers, we will fire the Straggle Laser.
context: for when we fire the Straggle Laser at the gate.\Blue 1, Rose 3 and Black 6 will upset\the enemy formation while moving toward the gate.\Gold 4 will offer support.\Purple 2 will issue orders from the rear.\The AHSMB units will take whatever formation is necessary to\launch the markers, while all fleets will offer their full support.\As soon as they've launched the markers, we will fire the Straggle Laser. response:	That is all.
context: Blue 1, Rose 3 and Black 6 will upset\the enemy formation while moving toward the gate.\Gold 4 will offer support.\Purple 2 will issue orders from the rear.\The AHSMB units will take whatever formation is necessary to\launch the markers, while all fleets will offer their full support.\As soon as they've launched the markers, we will fire the Straggle Laser.\That is all. response:	Did you understand the outline of the operation?
context: the enemy formation while moving toward the gate.\Gold 4 will offer support.\Purple 2 will issue orders from the rear.\The AHSMB units will take whatever formation is necessary to\launch the markers, while all fleets will offer their full support.\As soon as they've launched the markers, we will fire the Straggle Laser.\That is all.\Did you understand the outline of the operation? response:	Yes, ma'am!
context: Gold 4 will offer support.\Purple 2 will issue orders from the rear.\The AHSMB units will take whatever formation is necessary to\launch the markers, while all fleets will offer their full support.\As soon as they've launched the markers, we will fire the Straggle Laser.\That is all.\Did you understand the outline of the operation?\Yes, ma'am! response:	We plow in and ka-boom!
context: Purple 2 will issue orders from the rear.\The AHSMB units will take whatever formation is necessary to\launch the markers, while all fleets will offer their full support.\As soon as they've launched the markers, we will fire the Straggle Laser.\That is all.\Did you understand the outline of the operation?\Yes, ma'am!\We plow in and ka-boom! response:	Exactly.
context: The AHSMB units will take whatever formation is necessary to\launch the markers, while all fleets will offer their full support.\As soon as they've launched the markers, we will fire the Straggle Laser.\That is all.\Did you understand the outline of the operation?\Yes, ma'am!\We plow in and ka-boom!\Exactly. response:	Excuse me!
context: launch the markers, while all fleets will offer their full support.\As soon as they've launched the markers, we will fire the Straggle Laser.\That is all.\Did you understand the outline of the operation?\Yes, ma'am!\We plow in and ka-boom!\Exactly.\Excuse me! response:	What about me?
context: As soon as they've launched the markers, we will fire the Straggle Laser.\That is all.\Did you understand the outline of the operation?\Yes, ma'am!\We plow in and ka-boom!\Exactly.\Excuse me!\What about me? response:	You'll remain on standby with us on the bridge.
context: That is all.\Did you understand the outline of the operation?\Yes, ma'am!\We plow in and ka-boom!\Exactly.\Excuse me!\What about me?\You'll remain on standby with us on the bridge. response:	Standby?!
context: Did you understand the outline of the operation?\Yes, ma'am!\We plow in and ka-boom!\Exactly.\Excuse me!\What about me?\You'll remain on standby with us on the bridge.\Standby?! response:	We aren't dispatching you.
context: Yes, ma'am!\We plow in and ka-boom!\Exactly.\Excuse me!\What about me?\You'll remain on standby with us on the bridge.\Standby?!\We aren't dispatching you. response:	I feel fine!
context: We plow in and ka-boom!\Exactly.\Excuse me!\What about me?\You'll remain on standby with us on the bridge.\Standby?!\We aren't dispatching you.\I feel fine! response:	Red 5!
context: Exactly.\Excuse me!\What about me?\You'll remain on standby with us on the bridge.\Standby?!\We aren't dispatching you.\I feel fine!\Red 5! response:	Really, I wish I could leave you and your unit behind.
context: Excuse me!\What about me?\You'll remain on standby with us on the bridge.\Standby?!\We aren't dispatching you.\I feel fine!\Red 5!\Really, I wish I could leave you and your unit behind. response:	But there isn't room for mistakes in this operation.
context: What about me?\You'll remain on standby with us on the bridge.\Standby?!\We aren't dispatching you.\I feel fine!\Red 5!\Really, I wish I could leave you and your unit behind.\But there isn't room for mistakes in this operation. response:	As such, there is a possibility that I may end up ordering you to sortie.
context: You'll remain on standby with us on the bridge.\Standby?!\We aren't dispatching you.\I feel fine!\Red 5!\Really, I wish I could leave you and your unit behind.\But there isn't room for mistakes in this operation.\As such, there is a possibility that I may end up ordering you to sortie. response:	However, that is a last resort.
context: Standby?!\We aren't dispatching you.\I feel fine!\Red 5!\Really, I wish I could leave you and your unit behind.\But there isn't room for mistakes in this operation.\As such, there is a possibility that I may end up ordering you to sortie.\However, that is a last resort. response:	Understood?
context: We aren't dispatching you.\I feel fine!\Red 5!\Really, I wish I could leave you and your unit behind.\But there isn't room for mistakes in this operation.\As such, there is a possibility that I may end up ordering you to sortie.\However, that is a last resort.\Understood? response:	I can't believe I'm stuck on standby...
context: I feel fine!\Red 5!\Really, I wish I could leave you and your unit behind.\But there isn't room for mistakes in this operation.\As such, there is a possibility that I may end up ordering you to sortie.\However, that is a last resort.\Understood?\I can't believe I'm stuck on standby... response:	I'm relieved.
context: Red 5!\Really, I wish I could leave you and your unit behind.\But there isn't room for mistakes in this operation.\As such, there is a possibility that I may end up ordering you to sortie.\However, that is a last resort.\Understood?\I can't believe I'm stuck on standby...\I'm relieved. response:	Now I don't have to worry about your health while I'm fighting.
context: Really, I wish I could leave you and your unit behind.\But there isn't room for mistakes in this operation.\As such, there is a possibility that I may end up ordering you to sortie.\However, that is a last resort.\Understood?\I can't believe I'm stuck on standby...\I'm relieved.\Now I don't have to worry about your health while I'm fighting. response:	You didn't have to put it like that!
context: But there isn't room for mistakes in this operation.\As such, there is a possibility that I may end up ordering you to sortie.\However, that is a last resort.\Understood?\I can't believe I'm stuck on standby...\I'm relieved.\Now I don't have to worry about your health while I'm fighting.\You didn't have to put it like that! response:	That was cruel, Asagi.
context: As such, there is a possibility that I may end up ordering you to sortie.\However, that is a last resort.\Understood?\I can't believe I'm stuck on standby...\I'm relieved.\Now I don't have to worry about your health while I'm fighting.\You didn't have to put it like that!\That was cruel, Asagi. response:	Huh?
context: However, that is a last resort.\Understood?\I can't believe I'm stuck on standby...\I'm relieved.\Now I don't have to worry about your health while I'm fighting.\You didn't have to put it like that!\That was cruel, Asagi.\Huh? response:	But Asagi's absolutely right!
context: Understood?\I can't believe I'm stuck on standby...\I'm relieved.\Now I don't have to worry about your health while I'm fighting.\You didn't have to put it like that!\That was cruel, Asagi.\Huh?\But Asagi's absolutely right! response:	We'll do our best out there, Izuru, so cheer us on!
context: I can't believe I'm stuck on standby...\I'm relieved.\Now I don't have to worry about your health while I'm fighting.\You didn't have to put it like that!\That was cruel, Asagi.\Huh?\But Asagi's absolutely right!\We'll do our best out there, Izuru, so cheer us on! response:	Please leave this to us.
context: I'm relieved.\Now I don't have to worry about your health while I'm fighting.\You didn't have to put it like that!\That was cruel, Asagi.\Huh?\But Asagi's absolutely right!\We'll do our best out there, Izuru, so cheer us on!\Please leave this to us. response:	Not you too, Ange!
context: Now I don't have to worry about your health while I'm fighting.\You didn't have to put it like that!\That was cruel, Asagi.\Huh?\But Asagi's absolutely right!\We'll do our best out there, Izuru, so cheer us on!\Please leave this to us.\Not you too, Ange! response:	I'm sorry...
context: You didn't have to put it like that!\That was cruel, Asagi.\Huh?\But Asagi's absolutely right!\We'll do our best out there, Izuru, so cheer us on!\Please leave this to us.\Not you too, Ange!\I'm sorry... response:	In that case...
context: That was cruel, Asagi.\Huh?\But Asagi's absolutely right!\We'll do our best out there, Izuru, so cheer us on!\Please leave this to us.\Not you too, Ange!\I'm sorry...\In that case... response:	Everyone, fight!
context: Huh?\But Asagi's absolutely right!\We'll do our best out there, Izuru, so cheer us on!\Please leave this to us.\Not you too, Ange!\I'm sorry...\In that case...\Everyone, fight! response:	You literally cheered for us, sheesh...
context: But Asagi's absolutely right!\We'll do our best out there, Izuru, so cheer us on!\Please leave this to us.\Not you too, Ange!\I'm sorry...\In that case...\Everyone, fight!\You literally cheered for us, sheesh... response:	Huh? Isn't that your pit crew, Asagi?
context: We'll do our best out there, Izuru, so cheer us on!\Please leave this to us.\Not you too, Ange!\I'm sorry...\In that case...\Everyone, fight!\You literally cheered for us, sheesh...\Huh? Isn't that your pit crew, Asagi? response:	Huh?
context: Please leave this to us.\Not you too, Ange!\I'm sorry...\In that case...\Everyone, fight!\You literally cheered for us, sheesh...\Huh? Isn't that your pit crew, Asagi?\Huh? response:	Asagi!
context: Not you too, Ange!\I'm sorry...\In that case...\Everyone, fight!\You literally cheered for us, sheesh...\Huh? Isn't that your pit crew, Asagi?\Huh?\Asagi! response:	What's the matter?
context: I'm sorry...\In that case...\Everyone, fight!\You literally cheered for us, sheesh...\Huh? Isn't that your pit crew, Asagi?\Huh?\Asagi!\What's the matter? response:	Anna has gone missing!
context: In that case...\Everyone, fight!\You literally cheered for us, sheesh...\Huh? Isn't that your pit crew, Asagi?\Huh?\Asagi!\What's the matter?\Anna has gone missing! response:	She's gone missing?
context: Everyone, fight!\You literally cheered for us, sheesh...\Huh? Isn't that your pit crew, Asagi?\Huh?\Asagi!\What's the matter?\Anna has gone missing!\She's gone missing? response:	We can't bring her with us on this upcoming operation.
context: You literally cheered for us, sheesh...\Huh? Isn't that your pit crew, Asagi?\Huh?\Asagi!\What's the matter?\Anna has gone missing!\She's gone missing?\We can't bring her with us on this upcoming operation. response:	And since all civilians have been ordered to evacuate Star Rose,
context: Huh? Isn't that your pit crew, Asagi?\Huh?\Asagi!\What's the matter?\Anna has gone missing!\She's gone missing?\We can't bring her with us on this upcoming operation.\And since all civilians have been ordered to evacuate Star Rose, response:	we tried to send her down to Earth.
context: Huh?\Asagi!\What's the matter?\Anna has gone missing!\She's gone missing?\We can't bring her with us on this upcoming operation.\And since all civilians have been ordered to evacuate Star Rose,\we tried to send her down to Earth. response:	After she threw a tantrum saying she wouldn't go,
context: Asagi!\What's the matter?\Anna has gone missing!\She's gone missing?\We can't bring her with us on this upcoming operation.\And since all civilians have been ordered to evacuate Star Rose,\we tried to send her down to Earth.\After she threw a tantrum saying she wouldn't go, response:	she ran off somewhere.
