context: I'm doing great! They decided to serialize my manga! response:	Yes, Hattori-san just told us. Congratulations!
context: Yoshida-shi!\So just sign here.\Yoshida-shi, why will it be here?\Isn't that why you have such a cool place?\Oho! Designer Condooo!\You've done so well!\Yup!\And you'll work hard after the tea party? response:	Of course!
context: So just sign here.\Yoshida-shi, why will it be here?\Isn't that why you have such a cool place?\Oho! Designer Condooo!\You've done so well!\Yup!\And you'll work hard after the tea party?\Of course! response:	And after this, you won't take any more breaks from Otters?
context: Yoshida-shi, why will it be here?\Isn't that why you have such a cool place?\Oho! Designer Condooo!\You've done so well!\Yup!\And you'll work hard after the tea party?\Of course!\And after this, you won't take any more breaks from Otters? response:	Sure!
context: Isn't that why you have such a cool place?\Oho! Designer Condooo!\You've done so well!\Yup!\And you'll work hard after the tea party?\Of course!\And after this, you won't take any more breaks from Otters?\Sure! response:	YES! That'll keep him for another six months!
context: Oho! Designer Condooo!\You've done so well!\Yup!\And you'll work hard after the tea party?\Of course!\And after this, you won't take any more breaks from Otters?\Sure!\YES! That'll keep him for another six months! response:	So he doesn't think PCP can win at this rate?
context: You've done so well!\Yup!\And you'll work hard after the tea party?\Of course!\And after this, you won't take any more breaks from Otters?\Sure!\YES! That'll keep him for another six months!\So he doesn't think PCP can win at this rate? response:	Yeah.
context: Yup!\And you'll work hard after the tea party?\Of course!\And after this, you won't take any more breaks from Otters?\Sure!\YES! That'll keep him for another six months!\So he doesn't think PCP can win at this rate?\Yeah. response:	PCP could beat him if we made some changes.
context: And you'll work hard after the tea party?\Of course!\And after this, you won't take any more breaks from Otters?\Sure!\YES! That'll keep him for another six months!\So he doesn't think PCP can win at this rate?\Yeah.\PCP could beat him if we made some changes. response:	Yeah...
context: Of course!\And after this, you won't take any more breaks from Otters?\Sure!\YES! That'll keep him for another six months!\So he doesn't think PCP can win at this rate?\Yeah.\PCP could beat him if we made some changes.\Yeah... response:	If Niizuma-kun said that, it means you're almost there.
context: And after this, you won't take any more breaks from Otters?\Sure!\YES! That'll keep him for another six months!\So he doesn't think PCP can win at this rate?\Yeah.\PCP could beat him if we made some changes.\Yeah...\If Niizuma-kun said that, it means you're almost there. response:	Oh hey, you said PCP did best with the under 10 and over 18 brackets right?
context: Sure!\YES! That'll keep him for another six months!\So he doesn't think PCP can win at this rate?\Yeah.\PCP could beat him if we made some changes.\Yeah...\If Niizuma-kun said that, it means you're almost there.\Oh hey, you said PCP did best with the under 10 and over 18 brackets right? response:	I think younger kids admire the characters,
context: YES! That'll keep him for another six months!\So he doesn't think PCP can win at this rate?\Yeah.\PCP could beat him if we made some changes.\Yeah...\If Niizuma-kun said that, it means you're almost there.\Oh hey, you said PCP did best with the under 10 and over 18 brackets right?\I think younger kids admire the characters, response:	And adults can see their younger selves in them.
context: So he doesn't think PCP can win at this rate?\Yeah.\PCP could beat him if we made some changes.\Yeah...\If Niizuma-kun said that, it means you're almost there.\Oh hey, you said PCP did best with the under 10 and over 18 brackets right?\I think younger kids admire the characters,\And adults can see their younger selves in them. response:	But middle and high schoolers are going to be a little more distant.
context: Yeah.\PCP could beat him if we made some changes.\Yeah...\If Niizuma-kun said that, it means you're almost there.\Oh hey, you said PCP did best with the under 10 and over 18 brackets right?\I think younger kids admire the characters,\And adults can see their younger selves in them.\But middle and high schoolers are going to be a little more distant. response:	So should we make the party's actions wilder?
context: PCP could beat him if we made some changes.\Yeah...\If Niizuma-kun said that, it means you're almost there.\Oh hey, you said PCP did best with the under 10 and over 18 brackets right?\I think younger kids admire the characters,\And adults can see their younger selves in them.\But middle and high schoolers are going to be a little more distant.\So should we make the party's actions wilder? response:	You could, but you want to keep it realistic...
context: Yeah...\If Niizuma-kun said that, it means you're almost there.\Oh hey, you said PCP did best with the under 10 and over 18 brackets right?\I think younger kids admire the characters,\And adults can see their younger selves in them.\But middle and high schoolers are going to be a little more distant.\So should we make the party's actions wilder?\You could, but you want to keep it realistic... response:	It has to be fairly ordinary.
context: If Niizuma-kun said that, it means you're almost there.\Oh hey, you said PCP did best with the under 10 and over 18 brackets right?\I think younger kids admire the characters,\And adults can see their younger selves in them.\But middle and high schoolers are going to be a little more distant.\So should we make the party's actions wilder?\You could, but you want to keep it realistic...\It has to be fairly ordinary. response:	Yeah, you're right...
context: Oh hey, you said PCP did best with the under 10 and over 18 brackets right?\I think younger kids admire the characters,\And adults can see their younger selves in them.\But middle and high schoolers are going to be a little more distant.\So should we make the party's actions wilder?\You could, but you want to keep it realistic...\It has to be fairly ordinary.\Yeah, you're right... response:	This isn't a battle manga, so there's a limit to what we can do.
context: I think younger kids admire the characters,\And adults can see their younger selves in them.\But middle and high schoolers are going to be a little more distant.\So should we make the party's actions wilder?\You could, but you want to keep it realistic...\It has to be fairly ordinary.\Yeah, you're right...\This isn't a battle manga, so there's a limit to what we can do. response:	There must be something that our manga lacks.
context: And adults can see their younger selves in them.\But middle and high schoolers are going to be a little more distant.\So should we make the party's actions wilder?\You could, but you want to keep it realistic...\It has to be fairly ordinary.\Yeah, you're right...\This isn't a battle manga, so there's a limit to what we can do.\There must be something that our manga lacks. response:	Once we fix that, we should be able to prove Niizuma-san wrong.
context: But middle and high schoolers are going to be a little more distant.\So should we make the party's actions wilder?\You could, but you want to keep it realistic...\It has to be fairly ordinary.\Yeah, you're right...\This isn't a battle manga, so there's a limit to what we can do.\There must be something that our manga lacks.\Once we fix that, we should be able to prove Niizuma-san wrong. response:	That's what I was thinking.
context: So should we make the party's actions wilder?\You could, but you want to keep it realistic...\It has to be fairly ordinary.\Yeah, you're right...\This isn't a battle manga, so there's a limit to what we can do.\There must be something that our manga lacks.\Once we fix that, we should be able to prove Niizuma-san wrong.\That's what I was thinking. response:	Dammit, what did Eiji have in mind?
context: You could, but you want to keep it realistic...\It has to be fairly ordinary.\Yeah, you're right...\This isn't a battle manga, so there's a limit to what we can do.\There must be something that our manga lacks.\Once we fix that, we should be able to prove Niizuma-san wrong.\That's what I was thinking.\Dammit, what did Eiji have in mind? response:	I know,
context: It has to be fairly ordinary.\Yeah, you're right...\This isn't a battle manga, so there's a limit to what we can do.\There must be something that our manga lacks.\Once we fix that, we should be able to prove Niizuma-san wrong.\That's what I was thinking.\Dammit, what did Eiji have in mind?\I know, response:	I'll study some more popular manga.
context: Yeah, you're right...\This isn't a battle manga, so there's a limit to what we can do.\There must be something that our manga lacks.\Once we fix that, we should be able to prove Niizuma-san wrong.\That's what I was thinking.\Dammit, what did Eiji have in mind?\I know,\I'll study some more popular manga. response:	Mashiro-san, we're running out of 62 gradation tone.
context: This isn't a battle manga, so there's a limit to what we can do.\There must be something that our manga lacks.\Once we fix that, we should be able to prove Niizuma-san wrong.\That's what I was thinking.\Dammit, what did Eiji have in mind?\I know,\I'll study some more popular manga.\Mashiro-san, we're running out of 62 gradation tone. response:	Huh? Already?
context: There must be something that our manga lacks.\Once we fix that, we should be able to prove Niizuma-san wrong.\That's what I was thinking.\Dammit, what did Eiji have in mind?\I know,\I'll study some more popular manga.\Mashiro-san, we're running out of 62 gradation tone.\Huh? Already? response:	Already? We're following your instructions here, so you should know how much we've used.
context: Once we fix that, we should be able to prove Niizuma-san wrong.\That's what I was thinking.\Dammit, what did Eiji have in mind?\I know,\I'll study some more popular manga.\Mashiro-san, we're running out of 62 gradation tone.\Huh? Already?\Already? We're following your instructions here, so you should know how much we've used. response:	You're right. I'll stock up.
context: That's what I was thinking.\Dammit, what did Eiji have in mind?\I know,\I'll study some more popular manga.\Mashiro-san, we're running out of 62 gradation tone.\Huh? Already?\Already? We're following your instructions here, so you should know how much we've used.\You're right. I'll stock up. response:	If I may,
context: Dammit, what did Eiji have in mind?\I know,\I'll study some more popular manga.\Mashiro-san, we're running out of 62 gradation tone.\Huh? Already?\Already? We're following your instructions here, so you should know how much we've used.\You're right. I'll stock up.\If I may, response:	As someone with design school experience, I think you rely on tones a little too much.
context: I know,\I'll study some more popular manga.\Mashiro-san, we're running out of 62 gradation tone.\Huh? Already?\Already? We're following your instructions here, so you should know how much we've used.\You're right. I'll stock up.\If I may,\As someone with design school experience, I think you rely on tones a little too much. response:	If you overuse them, it can end up flattening things out.
context: I'll study some more popular manga.\Mashiro-san, we're running out of 62 gradation tone.\Huh? Already?\Already? We're following your instructions here, so you should know how much we've used.\You're right. I'll stock up.\If I may,\As someone with design school experience, I think you rely on tones a little too much.\If you overuse them, it can end up flattening things out. response:	Um...
context: Mashiro-san, we're running out of 62 gradation tone.\Huh? Already?\Already? We're following your instructions here, so you should know how much we've used.\You're right. I'll stock up.\If I may,\As someone with design school experience, I think you rely on tones a little too much.\If you overuse them, it can end up flattening things out.\Um... response:	It's dangerous for a young woman to be alone with a guy in his apartment.
context: Huh? Already?\Already? We're following your instructions here, so you should know how much we've used.\You're right. I'll stock up.\If I may,\As someone with design school experience, I think you rely on tones a little too much.\If you overuse them, it can end up flattening things out.\Um...\It's dangerous for a young woman to be alone with a guy in his apartment. response:	Remeber when you said that PCP can't beat us at this rate...
context: Already? We're following your instructions here, so you should know how much we've used.\You're right. I'll stock up.\If I may,\As someone with design school experience, I think you rely on tones a little too much.\If you overuse them, it can end up flattening things out.\Um...\It's dangerous for a young woman to be alone with a guy in his apartment.\Remeber when you said that PCP can't beat us at this rate... response:	I've been thinking about that.
context: You're right. I'll stock up.\If I may,\As someone with design school experience, I think you rely on tones a little too much.\If you overuse them, it can end up flattening things out.\Um...\It's dangerous for a young woman to be alone with a guy in his apartment.\Remeber when you said that PCP can't beat us at this rate...\I've been thinking about that. response:	Yeah, I won't lose.
context: If I may,\As someone with design school experience, I think you rely on tones a little too much.\If you overuse them, it can end up flattening things out.\Um...\It's dangerous for a young woman to be alone with a guy in his apartment.\Remeber when you said that PCP can't beat us at this rate...\I've been thinking about that.\Yeah, I won't lose. response:	PCP' s too plain right now.
context: As someone with design school experience, I think you rely on tones a little too much.\If you overuse them, it can end up flattening things out.\Um...\It's dangerous for a young woman to be alone with a guy in his apartment.\Remeber when you said that PCP can't beat us at this rate...\I've been thinking about that.\Yeah, I won't lose.\PCP' s too plain right now. response:	Plain?
context: If you overuse them, it can end up flattening things out.\Um...\It's dangerous for a young woman to be alone with a guy in his apartment.\Remeber when you said that PCP can't beat us at this rate...\I've been thinking about that.\Yeah, I won't lose.\PCP' s too plain right now.\Plain? response:	It's not flashy like a battle manga. The story is very simple.
context: Um...\It's dangerous for a young woman to be alone with a guy in his apartment.\Remeber when you said that PCP can't beat us at this rate...\I've been thinking about that.\Yeah, I won't lose.\PCP' s too plain right now.\Plain?\It's not flashy like a battle manga. The story is very simple. response:	No.
context: It's dangerous for a young woman to be alone with a guy in his apartment.\Remeber when you said that PCP can't beat us at this rate...\I've been thinking about that.\Yeah, I won't lose.\PCP' s too plain right now.\Plain?\It's not flashy like a battle manga. The story is very simple.\No. response:	It's not the story, it's the art.
context: Remeber when you said that PCP can't beat us at this rate...\I've been thinking about that.\Yeah, I won't lose.\PCP' s too plain right now.\Plain?\It's not flashy like a battle manga. The story is very simple.\No.\It's not the story, it's the art. response:	The art?!
context: I've been thinking about that.\Yeah, I won't lose.\PCP' s too plain right now.\Plain?\It's not flashy like a battle manga. The story is very simple.\No.\It's not the story, it's the art.\The art?! response:	Hey...
context: Yeah, I won't lose.\PCP' s too plain right now.\Plain?\It's not flashy like a battle manga. The story is very simple.\No.\It's not the story, it's the art.\The art?!\Hey... response:	Don't you think PCP' s art is a little too dark?
context: PCP' s too plain right now.\Plain?\It's not flashy like a battle manga. The story is very simple.\No.\It's not the story, it's the art.\The art?!\Hey...\Don't you think PCP' s art is a little too dark? response:	Too much ink and tone?
context: Plain?\It's not flashy like a battle manga. The story is very simple.\No.\It's not the story, it's the art.\The art?!\Hey...\Don't you think PCP' s art is a little too dark?\Too much ink and tone? response:	I mean, that's part of it.
context: It's not flashy like a battle manga. The story is very simple.\No.\It's not the story, it's the art.\The art?!\Hey...\Don't you think PCP' s art is a little too dark?\Too much ink and tone?\I mean, that's part of it. response:	But it's not very shonen manga-ish.
context: No.\It's not the story, it's the art.\The art?!\Hey...\Don't you think PCP' s art is a little too dark?\Too much ink and tone?\I mean, that's part of it.\But it's not very shonen manga-ish. response:	But the story's a little different, too.
context: It's not the story, it's the art.\The art?!\Hey...\Don't you think PCP' s art is a little too dark?\Too much ink and tone?\I mean, that's part of it.\But it's not very shonen manga-ish.\But the story's a little different, too. response:	That's what makes it unique right?
context: The art?!\Hey...\Don't you think PCP' s art is a little too dark?\Too much ink and tone?\I mean, that's part of it.\But it's not very shonen manga-ish.\But the story's a little different, too.\That's what makes it unique right? response:	No...
context: Hey...\Don't you think PCP' s art is a little too dark?\Too much ink and tone?\I mean, that's part of it.\But it's not very shonen manga-ish.\But the story's a little different, too.\That's what makes it unique right?\No... response:	A shonen manga shouldn't be this dark...
context: Don't you think PCP' s art is a little too dark?\Too much ink and tone?\I mean, that's part of it.\But it's not very shonen manga-ish.\But the story's a little different, too.\That's what makes it unique right?\No...\A shonen manga shouldn't be this dark... response:	In order for this to become a popular manga...
context: Too much ink and tone?\I mean, that's part of it.\But it's not very shonen manga-ish.\But the story's a little different, too.\That's what makes it unique right?\No...\A shonen manga shouldn't be this dark...\In order for this to become a popular manga... response:	I'll need to change my style to suit the taste of our audience.
context: I mean, that's part of it.\But it's not very shonen manga-ish.\But the story's a little different, too.\That's what makes it unique right?\No...\A shonen manga shouldn't be this dark...\In order for this to become a popular manga...\I'll need to change my style to suit the taste of our audience. response:	PCP is realistic, so the drawings should be realistic, too.
context: But it's not very shonen manga-ish.\But the story's a little different, too.\That's what makes it unique right?\No...\A shonen manga shouldn't be this dark...\In order for this to become a popular manga...\I'll need to change my style to suit the taste of our audience.\PCP is realistic, so the drawings should be realistic, too. response:	But it is a manga after all.
context: But the story's a little different, too.\That's what makes it unique right?\No...\A shonen manga shouldn't be this dark...\In order for this to become a popular manga...\I'll need to change my style to suit the taste of our audience.\PCP is realistic, so the drawings should be realistic, too.\But it is a manga after all. response:	Realistic drawings aren't good enough.
context: That's what makes it unique right?\No...\A shonen manga shouldn't be this dark...\In order for this to become a popular manga...\I'll need to change my style to suit the taste of our audience.\PCP is realistic, so the drawings should be realistic, too.\But it is a manga after all.\Realistic drawings aren't good enough. response:	I have to do things you can only do with manga.
context: No...\A shonen manga shouldn't be this dark...\In order for this to become a popular manga...\I'll need to change my style to suit the taste of our audience.\PCP is realistic, so the drawings should be realistic, too.\But it is a manga after all.\Realistic drawings aren't good enough.\I have to do things you can only do with manga. response:	You have to be artistic every once in a while.
context: A shonen manga shouldn't be this dark...\In order for this to become a popular manga...\I'll need to change my style to suit the taste of our audience.\PCP is realistic, so the drawings should be realistic, too.\But it is a manga after all.\Realistic drawings aren't good enough.\I have to do things you can only do with manga.\You have to be artistic every once in a while. response:	Make things pop.
context: In order for this to become a popular manga...\I'll need to change my style to suit the taste of our audience.\PCP is realistic, so the drawings should be realistic, too.\But it is a manga after all.\Realistic drawings aren't good enough.\I have to do things you can only do with manga.\You have to be artistic every once in a while.\Make things pop. response:	Be stylish.
context: I'll need to change my style to suit the taste of our audience.\PCP is realistic, so the drawings should be realistic, too.\But it is a manga after all.\Realistic drawings aren't good enough.\I have to do things you can only do with manga.\You have to be artistic every once in a while.\Make things pop.\Be stylish. response:	Like this!
context: PCP is realistic, so the drawings should be realistic, too.\But it is a manga after all.\Realistic drawings aren't good enough.\I have to do things you can only do with manga.\You have to be artistic every once in a while.\Make things pop.\Be stylish.\Like this! response:	Do you get it?
context: But it is a manga after all.\Realistic drawings aren't good enough.\I have to do things you can only do with manga.\You have to be artistic every once in a while.\Make things pop.\Be stylish.\Like this!\Do you get it? response:	That's enough Niizuma-san.
context: Realistic drawings aren't good enough.\I have to do things you can only do with manga.\You have to be artistic every once in a while.\Make things pop.\Be stylish.\Like this!\Do you get it?\That's enough Niizuma-san. response:	I didn't come here to ask what Ashirogi Muto is missing.
context: I have to do things you can only do with manga.\You have to be artistic every once in a while.\Make things pop.\Be stylish.\Like this!\Do you get it?\That's enough Niizuma-san.\I didn't come here to ask what Ashirogi Muto is missing. response:	Huh? Really?
context: You have to be artistic every once in a while.\Make things pop.\Be stylish.\Like this!\Do you get it?\That's enough Niizuma-san.\I didn't come here to ask what Ashirogi Muto is missing.\Huh? Really? response:	I came here to make sure you don't tell them.
context: Make things pop.\Be stylish.\Like this!\Do you get it?\That's enough Niizuma-san.\I didn't come here to ask what Ashirogi Muto is missing.\Huh? Really?\I came here to make sure you don't tell them. response:	You're soft on them for some reason.
context: Be stylish.\Like this!\Do you get it?\That's enough Niizuma-san.\I didn't come here to ask what Ashirogi Muto is missing.\Huh? Really?\I came here to make sure you don't tell them.\You're soft on them for some reason. response:	That's because I'm a fan.
context: Like this!\Do you get it?\That's enough Niizuma-san.\I didn't come here to ask what Ashirogi Muto is missing.\Huh? Really?\I came here to make sure you don't tell them.\You're soft on them for some reason.\That's because I'm a fan. response:	I told them you don't think they can beat us at this rate.
context: Do you get it?\That's enough Niizuma-san.\I didn't come here to ask what Ashirogi Muto is missing.\Huh? Really?\I came here to make sure you don't tell them.\You're soft on them for some reason.\That's because I'm a fan.\I told them you don't think they can beat us at this rate. response:	But I don't want to give them any more help than that.
context: That's enough Niizuma-san.\I didn't come here to ask what Ashirogi Muto is missing.\Huh? Really?\I came here to make sure you don't tell them.\You're soft on them for some reason.\That's because I'm a fan.\I told them you don't think they can beat us at this rate.\But I don't want to give them any more help than that. response:	Got it!
context: I didn't come here to ask what Ashirogi Muto is missing.\Huh? Really?\I came here to make sure you don't tell them.\You're soft on them for some reason.\That's because I'm a fan.\I told them you don't think they can beat us at this rate.\But I don't want to give them any more help than that.\Got it! response:	I don't want to lose, either.
context: Huh? Really?\I came here to make sure you don't tell them.\You're soft on them for some reason.\That's because I'm a fan.\I told them you don't think they can beat us at this rate.\But I don't want to give them any more help than that.\Got it!\I don't want to lose, either. response:	Let's make +Natural even more popular!
context: I came here to make sure you don't tell them.\You're soft on them for some reason.\That's because I'm a fan.\I told them you don't think they can beat us at this rate.\But I don't want to give them any more help than that.\Got it!\I don't want to lose, either.\Let's make +Natural even more popular! response:	You're talented, we can do it!
context: You're soft on them for some reason.\That's because I'm a fan.\I told them you don't think they can beat us at this rate.\But I don't want to give them any more help than that.\Got it!\I don't want to lose, either.\Let's make +Natural even more popular!\You're talented, we can do it! response:	T-talented?
context: That's because I'm a fan.\I told them you don't think they can beat us at this rate.\But I don't want to give them any more help than that.\Got it!\I don't want to lose, either.\Let's make +Natural even more popular!\You're talented, we can do it!\T-talented? response:	Of course!
context: I told them you don't think they can beat us at this rate.\But I don't want to give them any more help than that.\Got it!\I don't want to lose, either.\Let's make +Natural even more popular!\You're talented, we can do it!\T-talented?\Of course! response:	You're quitting school?!
context: But I don't want to give them any more help than that.\Got it!\I don't want to lose, either.\Let's make +Natural even more popular!\You're talented, we can do it!\T-talented?\Of course!\You're quitting school?! response:	I don't need to be a college student anymore.
context: Got it!\I don't want to lose, either.\Let's make +Natural even more popular!\You're talented, we can do it!\T-talented?\Of course!\You're quitting school?!\I don't need to be a college student anymore. response:	I just want more time to work on my art.
context: I don't want to lose, either.\Let's make +Natural even more popular!\You're talented, we can do it!\T-talented?\Of course!\You're quitting school?!\I don't need to be a college student anymore.\I just want more time to work on my art. response:	I've already talked to my parents and emailed Azuki.
context: Let's make +Natural even more popular!\You're talented, we can do it!\T-talented?\Of course!\You're quitting school?!\I don't need to be a college student anymore.\I just want more time to work on my art.\I've already talked to my parents and emailed Azuki. response:	I see.
context: You're talented, we can do it!\T-talented?\Of course!\You're quitting school?!\I don't need to be a college student anymore.\I just want more time to work on my art.\I've already talked to my parents and emailed Azuki.\I see. response:	More time for our series I suppose.
context: T-talented?\Of course!\You're quitting school?!\I don't need to be a college student anymore.\I just want more time to work on my art.\I've already talked to my parents and emailed Azuki.\I see.\More time for our series I suppose. response:	Saiko, you said you would change your style gradually
context: Of course!\You're quitting school?!\I don't need to be a college student anymore.\I just want more time to work on my art.\I've already talked to my parents and emailed Azuki.\I see.\More time for our series I suppose.\Saiko, you said you would change your style gradually response:	I can already see a big difference in chapter 8.
context: You're quitting school?!\I don't need to be a college student anymore.\I just want more time to work on my art.\I've already talked to my parents and emailed Azuki.\I see.\More time for our series I suppose.\Saiko, you said you would change your style gradually\I can already see a big difference in chapter 8. response:	Really?
context: I don't need to be a college student anymore.\I just want more time to work on my art.\I've already talked to my parents and emailed Azuki.\I see.\More time for our series I suppose.\Saiko, you said you would change your style gradually\I can already see a big difference in chapter 8.\Really? response:	Chapters 5 and 6 were in 7th and 8th place respectively...
context: I just want more time to work on my art.\I've already talked to my parents and emailed Azuki.\I see.\More time for our series I suppose.\Saiko, you said you would change your style gradually\I can already see a big difference in chapter 8.\Really?\Chapters 5 and 6 were in 7th and 8th place respectively... response:	If it gets any worse, Niizuma's warning...
context: I've already talked to my parents and emailed Azuki.\I see.\More time for our series I suppose.\Saiko, you said you would change your style gradually\I can already see a big difference in chapter 8.\Really?\Chapters 5 and 6 were in 7th and 8th place respectively...\If it gets any worse, Niizuma's warning... response:	Will the art in chapter 8 make enough of a difference?
context: I see.\More time for our series I suppose.\Saiko, you said you would change your style gradually\I can already see a big difference in chapter 8.\Really?\Chapters 5 and 6 were in 7th and 8th place respectively...\If it gets any worse, Niizuma's warning...\Will the art in chapter 8 make enough of a difference? response:	Huh? 5th place?!
context: More time for our series I suppose.\Saiko, you said you would change your style gradually\I can already see a big difference in chapter 8.\Really?\Chapters 5 and 6 were in 7th and 8th place respectively...\If it gets any worse, Niizuma's warning...\Will the art in chapter 8 make enough of a difference?\Huh? 5th place?! response:	And close behind +Natural?
context: Saiko, you said you would change your style gradually\I can already see a big difference in chapter 8.\Really?\Chapters 5 and 6 were in 7th and 8th place respectively...\If it gets any worse, Niizuma's warning...\Will the art in chapter 8 make enough of a difference?\Huh? 5th place?!\And close behind +Natural? response:	That really went up!
context: I can already see a big difference in chapter 8.\Really?\Chapters 5 and 6 were in 7th and 8th place respectively...\If it gets any worse, Niizuma's warning...\Will the art in chapter 8 make enough of a difference?\Huh? 5th place?!\And close behind +Natural?\That really went up! response:	So it was the art and not the story after all...
context: Really?\Chapters 5 and 6 were in 7th and 8th place respectively...\If it gets any worse, Niizuma's warning...\Will the art in chapter 8 make enough of a difference?\Huh? 5th place?!\And close behind +Natural?\That really went up!\So it was the art and not the story after all... response:	It's still trial and error, but if I keep this up...
context: Chapters 5 and 6 were in 7th and 8th place respectively...\If it gets any worse, Niizuma's warning...\Will the art in chapter 8 make enough of a difference?\Huh? 5th place?!\And close behind +Natural?\That really went up!\So it was the art and not the story after all...\It's still trial and error, but if I keep this up... response:	The general concensus in the editorial department is that PCP' s ranking this week was just a fluke.
context: If it gets any worse, Niizuma's warning...\Will the art in chapter 8 make enough of a difference?\Huh? 5th place?!\And close behind +Natural?\That really went up!\So it was the art and not the story after all...\It's still trial and error, but if I keep this up...\The general concensus in the editorial department is that PCP' s ranking this week was just a fluke. response:	Then you're not looking at PCP closely enough.
context: Will the art in chapter 8 make enough of a difference?\Huh? 5th place?!\And close behind +Natural?\That really went up!\So it was the art and not the story after all...\It's still trial and error, but if I keep this up...\The general concensus in the editorial department is that PCP' s ranking this week was just a fluke.\Then you're not looking at PCP closely enough. response:	This is bad.
context: Huh? 5th place?!\And close behind +Natural?\That really went up!\So it was the art and not the story after all...\It's still trial and error, but if I keep this up...\The general concensus in the editorial department is that PCP' s ranking this week was just a fluke.\Then you're not looking at PCP closely enough.\This is bad. response:	Bad?
context: And close behind +Natural?\That really went up!\So it was the art and not the story after all...\It's still trial and error, but if I keep this up...\The general concensus in the editorial department is that PCP' s ranking this week was just a fluke.\Then you're not looking at PCP closely enough.\This is bad.\Bad? response:	At this rate, it'll beat both +Natural...
context: That really went up!\So it was the art and not the story after all...\It's still trial and error, but if I keep this up...\The general concensus in the editorial department is that PCP' s ranking this week was just a fluke.\Then you're not looking at PCP closely enough.\This is bad.\Bad?\At this rate, it'll beat both +Natural... response:	Ashirogi-sensei is changing his drawing style.
context: So it was the art and not the story after all...\It's still trial and error, but if I keep this up...\The general concensus in the editorial department is that PCP' s ranking this week was just a fluke.\Then you're not looking at PCP closely enough.\This is bad.\Bad?\At this rate, it'll beat both +Natural...\Ashirogi-sensei is changing his drawing style. response:	It's even better in the preview copy of chapter 9.
context: It's still trial and error, but if I keep this up...\The general concensus in the editorial department is that PCP' s ranking this week was just a fluke.\Then you're not looking at PCP closely enough.\This is bad.\Bad?\At this rate, it'll beat both +Natural...\Ashirogi-sensei is changing his drawing style.\It's even better in the preview copy of chapter 9. response:	So that's why you drew something different from what we discussed?
context: The general concensus in the editorial department is that PCP' s ranking this week was just a fluke.\Then you're not looking at PCP closely enough.\This is bad.\Bad?\At this rate, it'll beat both +Natural...\Ashirogi-sensei is changing his drawing style.\It's even better in the preview copy of chapter 9.\So that's why you drew something different from what we discussed? response:	Yeah, I changed it after seeing that page in chapter 8 of PCP.
context: Then you're not looking at PCP closely enough.\This is bad.\Bad?\At this rate, it'll beat both +Natural...\Ashirogi-sensei is changing his drawing style.\It's even better in the preview copy of chapter 9.\So that's why you drew something different from what we discussed?\Yeah, I changed it after seeing that page in chapter 8 of PCP. response:	But don't you think that'll make it worse...?
context: This is bad.\Bad?\At this rate, it'll beat both +Natural...\Ashirogi-sensei is changing his drawing style.\It's even better in the preview copy of chapter 9.\So that's why you drew something different from what we discussed?\Yeah, I changed it after seeing that page in chapter 8 of PCP.\But don't you think that'll make it worse...? response:	That won't happen.
context: Bad?\At this rate, it'll beat both +Natural...\Ashirogi-sensei is changing his drawing style.\It's even better in the preview copy of chapter 9.\So that's why you drew something different from what we discussed?\Yeah, I changed it after seeing that page in chapter 8 of PCP.\But don't you think that'll make it worse...?\That won't happen. response:	But Ashirogi-sensei might close the gap after seeing that manuscript.
context: At this rate, it'll beat both +Natural...\Ashirogi-sensei is changing his drawing style.\It's even better in the preview copy of chapter 9.\So that's why you drew something different from what we discussed?\Yeah, I changed it after seeing that page in chapter 8 of PCP.\But don't you think that'll make it worse...?\That won't happen.\But Ashirogi-sensei might close the gap after seeing that manuscript. response:	Akina-kun?
context: Ashirogi-sensei is changing his drawing style.\It's even better in the preview copy of chapter 9.\So that's why you drew something different from what we discussed?\Yeah, I changed it after seeing that page in chapter 8 of PCP.\But don't you think that'll make it worse...?\That won't happen.\But Ashirogi-sensei might close the gap after seeing that manuscript.\Akina-kun? response:	Huh? Where's Miura?
context: It's even better in the preview copy of chapter 9.\So that's why you drew something different from what we discussed?\Yeah, I changed it after seeing that page in chapter 8 of PCP.\But don't you think that'll make it worse...?\That won't happen.\But Ashirogi-sensei might close the gap after seeing that manuscript.\Akina-kun?\Huh? Where's Miura? response:	I'm here by myself today.
context: So that's why you drew something different from what we discussed?\Yeah, I changed it after seeing that page in chapter 8 of PCP.\But don't you think that'll make it worse...?\That won't happen.\But Ashirogi-sensei might close the gap after seeing that manuscript.\Akina-kun?\Huh? Where's Miura?\I'm here by myself today. response:	Zoom out here!
context: Yeah, I changed it after seeing that page in chapter 8 of PCP.\But don't you think that'll make it worse...?\That won't happen.\But Ashirogi-sensei might close the gap after seeing that manuscript.\Akina-kun?\Huh? Where's Miura?\I'm here by myself today.\Zoom out here! response:	CAW!
context: But don't you think that'll make it worse...?\That won't happen.\But Ashirogi-sensei might close the gap after seeing that manuscript.\Akina-kun?\Huh? Where's Miura?\I'm here by myself today.\Zoom out here!\CAW! response:	CAW! Like this! C-CAW!
context: That won't happen.\But Ashirogi-sensei might close the gap after seeing that manuscript.\Akina-kun?\Huh? Where's Miura?\I'm here by myself today.\Zoom out here!\CAW!\CAW! Like this! C-CAW! response:	Huh? These two...
