context: The old man's missing? response:	What happened here?
context: Gods, I accept your challenge!\This guy doesn't make any sense, but he's not someone to mess with.\My, my. What's going on here?\Ana.\I thought I heard fighting.\If you don't do something soon, the inn will be destroyed.\Then help us.\No. response:	What?
context: This guy doesn't make any sense, but he's not someone to mess with.\My, my. What's going on here?\Ana.\I thought I heard fighting.\If you don't do something soon, the inn will be destroyed.\Then help us.\No.\What? response:	I have an aversion to men like him.
context: My, my. What's going on here?\Ana.\I thought I heard fighting.\If you don't do something soon, the inn will be destroyed.\Then help us.\No.\What?\I have an aversion to men like him. response:	Ana.
context: Ana.\I thought I heard fighting.\If you don't do something soon, the inn will be destroyed.\Then help us.\No.\What?\I have an aversion to men like him.\Ana. response:	I bet he's slimy.
context: I thought I heard fighting.\If you don't do something soon, the inn will be destroyed.\Then help us.\No.\What?\I have an aversion to men like him.\Ana.\I bet he's slimy. response:	You...
context: If you don't do something soon, the inn will be destroyed.\Then help us.\No.\What?\I have an aversion to men like him.\Ana.\I bet he's slimy.\You... response:	I will handle this myself.
context: Then help us.\No.\What?\I have an aversion to men like him.\Ana.\I bet he's slimy.\You...\I will handle this myself. response:	Unbelievable.
context: No.\What?\I have an aversion to men like him.\Ana.\I bet he's slimy.\You...\I will handle this myself.\Unbelievable. response:	Knock'em dead.
context: What?\I have an aversion to men like him.\Ana.\I bet he's slimy.\You...\I will handle this myself.\Unbelievable.\Knock'em dead. response:	Come. Bring on the challenge.
context: I have an aversion to men like him.\Ana.\I bet he's slimy.\You...\I will handle this myself.\Unbelievable.\Knock'em dead.\Come. Bring on the challenge. response:	What's all this racket?
context: Ana.\I bet he's slimy.\You...\I will handle this myself.\Unbelievable.\Knock'em dead.\Come. Bring on the challenge.\What's all this racket? response:	Looks like our boys are here.
context: I bet he's slimy.\You...\I will handle this myself.\Unbelievable.\Knock'em dead.\Come. Bring on the challenge.\What's all this racket?\Looks like our boys are here. response:	Looks like it.
context: You...\I will handle this myself.\Unbelievable.\Knock'em dead.\Come. Bring on the challenge.\What's all this racket?\Looks like our boys are here.\Looks like it. response:	Who is that monk?
context: I will handle this myself.\Unbelievable.\Knock'em dead.\Come. Bring on the challenge.\What's all this racket?\Looks like our boys are here.\Looks like it.\Who is that monk? response:	He has a strange aura about him.
context: Unbelievable.\Knock'em dead.\Come. Bring on the challenge.\What's all this racket?\Looks like our boys are here.\Looks like it.\Who is that monk?\He has a strange aura about him. response:	I shall attain Nirvana! Amen!
context: Knock'em dead.\Come. Bring on the challenge.\What's all this racket?\Looks like our boys are here.\Looks like it.\Who is that monk?\He has a strange aura about him.\I shall attain Nirvana! Amen! response:	Kamanosuke, go for his feet.
context: Come. Bring on the challenge.\What's all this racket?\Looks like our boys are here.\Looks like it.\Who is that monk?\He has a strange aura about him.\I shall attain Nirvana! Amen!\Kamanosuke, go for his feet. response:	Don't order me around.
context: What's all this racket?\Looks like our boys are here.\Looks like it.\Who is that monk?\He has a strange aura about him.\I shall attain Nirvana! Amen!\Kamanosuke, go for his feet.\Don't order me around. response:	Kamanosuke, now!
context: Looks like our boys are here.\Looks like it.\Who is that monk?\He has a strange aura about him.\I shall attain Nirvana! Amen!\Kamanosuke, go for his feet.\Don't order me around.\Kamanosuke, now! response:	Don't order me around!
context: Looks like it.\Who is that monk?\He has a strange aura about him.\I shall attain Nirvana! Amen!\Kamanosuke, go for his feet.\Don't order me around.\Kamanosuke, now!\Don't order me around! response:	Not bad.
context: Who is that monk?\He has a strange aura about him.\I shall attain Nirvana! Amen!\Kamanosuke, go for his feet.\Don't order me around.\Kamanosuke, now!\Don't order me around!\Not bad. response:	How can you be so laid back?
context: He has a strange aura about him.\I shall attain Nirvana! Amen!\Kamanosuke, go for his feet.\Don't order me around.\Kamanosuke, now!\Don't order me around!\Not bad.\How can you be so laid back? response:	Looks like I was right after all.
context: I shall attain Nirvana! Amen!\Kamanosuke, go for his feet.\Don't order me around.\Kamanosuke, now!\Don't order me around!\Not bad.\How can you be so laid back?\Looks like I was right after all. response:	They're already acting with Saizo as their leader.
context: Kamanosuke, go for his feet.\Don't order me around.\Kamanosuke, now!\Don't order me around!\Not bad.\How can you be so laid back?\Looks like I was right after all.\They're already acting with Saizo as their leader. response:	Die!
context: Don't order me around.\Kamanosuke, now!\Don't order me around!\Not bad.\How can you be so laid back?\Looks like I was right after all.\They're already acting with Saizo as their leader.\Die! response:	Otsumuji!
context: Kamanosuke, now!\Don't order me around!\Not bad.\How can you be so laid back?\Looks like I was right after all.\They're already acting with Saizo as their leader.\Die!\Otsumuji! response:	You moron! You can't do that here!
context: Don't order me around!\Not bad.\How can you be so laid back?\Looks like I was right after all.\They're already acting with Saizo as their leader.\Die!\Otsumuji!\You moron! You can't do that here! response:	Gotcha.
context: Not bad.\How can you be so laid back?\Looks like I was right after all.\They're already acting with Saizo as their leader.\Die!\Otsumuji!\You moron! You can't do that here!\Gotcha. response:	Hannya Harami!
context: How can you be so laid back?\Looks like I was right after all.\They're already acting with Saizo as their leader.\Die!\Otsumuji!\You moron! You can't do that here!\Gotcha.\Hannya Harami! response:	Idiot.
context: Looks like I was right after all.\They're already acting with Saizo as their leader.\Die!\Otsumuji!\You moron! You can't do that here!\Gotcha.\Hannya Harami!\Idiot. response:	Heretics.
context: They're already acting with Saizo as their leader.\Die!\Otsumuji!\You moron! You can't do that here!\Gotcha.\Hannya Harami!\Idiot.\Heretics. response:	Gods, Buddha.
context: Die!\Otsumuji!\You moron! You can't do that here!\Gotcha.\Hannya Harami!\Idiot.\Heretics.\Gods, Buddha. response:	Get back, Sasuke!
context: Otsumuji!\You moron! You can't do that here!\Gotcha.\Hannya Harami!\Idiot.\Heretics.\Gods, Buddha.\Get back, Sasuke! response:	Believe, and you will be saved!
context: You moron! You can't do that here!\Gotcha.\Hannya Harami!\Idiot.\Heretics.\Gods, Buddha.\Get back, Sasuke!\Believe, and you will be saved! response:	Taizan Meido!
context: Gotcha.\Hannya Harami!\Idiot.\Heretics.\Gods, Buddha.\Get back, Sasuke!\Believe, and you will be saved!\Taizan Meido! response:	Sorry.
context: Hannya Harami!\Idiot.\Heretics.\Gods, Buddha.\Get back, Sasuke!\Believe, and you will be saved!\Taizan Meido!\Sorry. response:	Your weakness is...
context: Idiot.\Heretics.\Gods, Buddha.\Get back, Sasuke!\Believe, and you will be saved!\Taizan Meido!\Sorry.\Your weakness is... response:	Give up.
context: Heretics.\Gods, Buddha.\Get back, Sasuke!\Believe, and you will be saved!\Taizan Meido!\Sorry.\Your weakness is...\Give up. response:	You haven't got enough muscles in your head.
context: Gods, Buddha.\Get back, Sasuke!\Believe, and you will be saved!\Taizan Meido!\Sorry.\Your weakness is...\Give up.\You haven't got enough muscles in your head. response:	Who're you gonna pray to for help now, you turd?
context: Get back, Sasuke!\Believe, and you will be saved!\Taizan Meido!\Sorry.\Your weakness is...\Give up.\You haven't got enough muscles in your head.\Who're you gonna pray to for help now, you turd? response:	Well done.
context: Believe, and you will be saved!\Taizan Meido!\Sorry.\Your weakness is...\Give up.\You haven't got enough muscles in your head.\Who're you gonna pray to for help now, you turd?\Well done. response:	Hey, guys!
context: Taizan Meido!\Sorry.\Your weakness is...\Give up.\You haven't got enough muscles in your head.\Who're you gonna pray to for help now, you turd?\Well done.\Hey, guys! response:	I won the dango eating contest, too.
context: Sorry.\Your weakness is...\Give up.\You haven't got enough muscles in your head.\Who're you gonna pray to for help now, you turd?\Well done.\Hey, guys!\I won the dango eating contest, too. response:	I won a mountain of dango.
context: Your weakness is...\Give up.\You haven't got enough muscles in your head.\Who're you gonna pray to for help now, you turd?\Well done.\Hey, guys!\I won the dango eating contest, too.\I won a mountain of dango. response:	Jeez, you're loud.
context: Give up.\You haven't got enough muscles in your head.\Who're you gonna pray to for help now, you turd?\Well done.\Hey, guys!\I won the dango eating contest, too.\I won a mountain of dango.\Jeez, you're loud. response:	You can each have...
context: You haven't got enough muscles in your head.\Who're you gonna pray to for help now, you turd?\Well done.\Hey, guys!\I won the dango eating contest, too.\I won a mountain of dango.\Jeez, you're loud.\You can each have... response:	Who is he?
context: Who're you gonna pray to for help now, you turd?\Well done.\Hey, guys!\I won the dango eating contest, too.\I won a mountain of dango.\Jeez, you're loud.\You can each have...\Who is he? response:	That hairpin... Could it be?
context: Well done.\Hey, guys!\I won the dango eating contest, too.\I won a mountain of dango.\Jeez, you're loud.\You can each have...\Who is he?\That hairpin... Could it be? response:	Is that you, Isanami?
context: Hey, guys!\I won the dango eating contest, too.\I won a mountain of dango.\Jeez, you're loud.\You can each have...\Who is he?\That hairpin... Could it be?\Is that you, Isanami? response:	How do you know my name?
context: I won the dango eating contest, too.\I won a mountain of dango.\Jeez, you're loud.\You can each have...\Who is he?\That hairpin... Could it be?\Is that you, Isanami?\How do you know my name? response:	Who are you?
context: I won a mountain of dango.\Jeez, you're loud.\You can each have...\Who is he?\That hairpin... Could it be?\Is that you, Isanami?\How do you know my name?\Who are you? response:	I'm... I'm your...
context: Jeez, you're loud.\You can each have...\Who is he?\That hairpin... Could it be?\Is that you, Isanami?\How do you know my name?\Who are you?\I'm... I'm your... response:	Who?
context: You can each have...\Who is he?\That hairpin... Could it be?\Is that you, Isanami?\How do you know my name?\Who are you?\I'm... I'm your...\Who? response:	I've been looking for you, sister!
context: Who is he?\That hairpin... Could it be?\Is that you, Isanami?\How do you know my name?\Who are you?\I'm... I'm your...\Who?\I've been looking for you, sister! response:	Oh?
context: That hairpin... Could it be?\Is that you, Isanami?\How do you know my name?\Who are you?\I'm... I'm your...\Who?\I've been looking for you, sister!\Oh? response:	My dango!
context: Is that you, Isanami?\How do you know my name?\Who are you?\I'm... I'm your...\Who?\I've been looking for you, sister!\Oh?\My dango! response:	You may not touch Isanami.
context: How do you know my name?\Who are you?\I'm... I'm your...\Who?\I've been looking for you, sister!\Oh?\My dango!\You may not touch Isanami. response:	What's wrong with a brother hugging his sister?
context: Who are you?\I'm... I'm your...\Who?\I've been looking for you, sister!\Oh?\My dango!\You may not touch Isanami.\What's wrong with a brother hugging his sister? response:	Right?
context: I'm... I'm your...\Who?\I've been looking for you, sister!\Oh?\My dango!\You may not touch Isanami.\What's wrong with a brother hugging his sister?\Right? response:	You pervert!
context: Who?\I've been looking for you, sister!\Oh?\My dango!\You may not touch Isanami.\What's wrong with a brother hugging his sister?\Right?\You pervert! response:	Absolutely not!
context: I've been looking for you, sister!\Oh?\My dango!\You may not touch Isanami.\What's wrong with a brother hugging his sister?\Right?\You pervert!\Absolutely not! response:	What are you doing hugging someone you just met?
context: Oh?\My dango!\You may not touch Isanami.\What's wrong with a brother hugging his sister?\Right?\You pervert!\Absolutely not!\What are you doing hugging someone you just met? response:	I thought you said you didn't have any living relatives.
context: My dango!\You may not touch Isanami.\What's wrong with a brother hugging his sister?\Right?\You pervert!\Absolutely not!\What are you doing hugging someone you just met?\I thought you said you didn't have any living relatives. response:	I don't know this guy.
context: You may not touch Isanami.\What's wrong with a brother hugging his sister?\Right?\You pervert!\Absolutely not!\What are you doing hugging someone you just met?\I thought you said you didn't have any living relatives.\I don't know this guy. response:	I wasn't lying.
context: What's wrong with a brother hugging his sister?\Right?\You pervert!\Absolutely not!\What are you doing hugging someone you just met?\I thought you said you didn't have any living relatives.\I don't know this guy.\I wasn't lying. response:	Besides, we don't look anything alike.
context: Right?\You pervert!\Absolutely not!\What are you doing hugging someone you just met?\I thought you said you didn't have any living relatives.\I don't know this guy.\I wasn't lying.\Besides, we don't look anything alike. response:	What's the big idea?!
context: You pervert!\Absolutely not!\What are you doing hugging someone you just met?\I thought you said you didn't have any living relatives.\I don't know this guy.\I wasn't lying.\Besides, we don't look anything alike.\What's the big idea?! response:	You're too close!
context: Absolutely not!\What are you doing hugging someone you just met?\I thought you said you didn't have any living relatives.\I don't know this guy.\I wasn't lying.\Besides, we don't look anything alike.\What's the big idea?!\You're too close! response:	Don't get too close to men!
context: What are you doing hugging someone you just met?\I thought you said you didn't have any living relatives.\I don't know this guy.\I wasn't lying.\Besides, we don't look anything alike.\What's the big idea?!\You're too close!\Don't get too close to men! response:	They'll sully you!
context: I thought you said you didn't have any living relatives.\I don't know this guy.\I wasn't lying.\Besides, we don't look anything alike.\What's the big idea?!\You're too close!\Don't get too close to men!\They'll sully you! response:	Who are you to tell me what to do?
context: I don't know this guy.\I wasn't lying.\Besides, we don't look anything alike.\What's the big idea?!\You're too close!\Don't get too close to men!\They'll sully you!\Who are you to tell me what to do? response:	I'm your brother!
context: I wasn't lying.\Besides, we don't look anything alike.\What's the big idea?!\You're too close!\Don't get too close to men!\They'll sully you!\Who are you to tell me what to do?\I'm your brother! response:	No, you're not!
context: Besides, we don't look anything alike.\What's the big idea?!\You're too close!\Don't get too close to men!\They'll sully you!\Who are you to tell me what to do?\I'm your brother!\No, you're not! response:	You made me drop all my dango.
context: What's the big idea?!\You're too close!\Don't get too close to men!\They'll sully you!\Who are you to tell me what to do?\I'm your brother!\No, you're not!\You made me drop all my dango. response:	No, I...
context: You're too close!\Don't get too close to men!\They'll sully you!\Who are you to tell me what to do?\I'm your brother!\No, you're not!\You made me drop all my dango.\No, I... response:	Isanami.
context: Don't get too close to men!\They'll sully you!\Who are you to tell me what to do?\I'm your brother!\No, you're not!\You made me drop all my dango.\No, I...\Isanami. response:	Right?
context: They'll sully you!\Who are you to tell me what to do?\I'm your brother!\No, you're not!\You made me drop all my dango.\No, I...\Isanami.\Right? response:	Yeah.
context: Who are you to tell me what to do?\I'm your brother!\No, you're not!\You made me drop all my dango.\No, I...\Isanami.\Right?\Yeah. response:	I told you, you're too close to him!
context: I'm your brother!\No, you're not!\You made me drop all my dango.\No, I...\Isanami.\Right?\Yeah.\I told you, you're too close to him! response:	No!
context: No, you're not!\You made me drop all my dango.\No, I...\Isanami.\Right?\Yeah.\I told you, you're too close to him!\No! response:	If you're really my brother, stop attacking them.
context: You made me drop all my dango.\No, I...\Isanami.\Right?\Yeah.\I told you, you're too close to him!\No!\If you're really my brother, stop attacking them. response:	They're all my friends.
context: No, I...\Isanami.\Right?\Yeah.\I told you, you're too close to him!\No!\If you're really my brother, stop attacking them.\They're all my friends. response:	Oh, okay.
context: Isanami.\Right?\Yeah.\I told you, you're too close to him!\No!\If you're really my brother, stop attacking them.\They're all my friends.\Oh, okay. response:	And what do you think you're doing, anyway?
context: Right?\Yeah.\I told you, you're too close to him!\No!\If you're really my brother, stop attacking them.\They're all my friends.\Oh, okay.\And what do you think you're doing, anyway? response:	You look like a common thug. It's embarrassing.
context: Yeah.\I told you, you're too close to him!\No!\If you're really my brother, stop attacking them.\They're all my friends.\Oh, okay.\And what do you think you're doing, anyway?\You look like a common thug. It's embarrassing. response:	Embarrassing?
context: I told you, you're too close to him!\No!\If you're really my brother, stop attacking them.\They're all my friends.\Oh, okay.\And what do you think you're doing, anyway?\You look like a common thug. It's embarrassing.\Embarrassing? response:	Yeah. You should be ashamed.
context: No!\If you're really my brother, stop attacking them.\They're all my friends.\Oh, okay.\And what do you think you're doing, anyway?\You look like a common thug. It's embarrassing.\Embarrassing?\Yeah. You should be ashamed. response:	Okay.
context: If you're really my brother, stop attacking them.\They're all my friends.\Oh, okay.\And what do you think you're doing, anyway?\You look like a common thug. It's embarrassing.\Embarrassing?\Yeah. You should be ashamed.\Okay. response:	Fix what you broke.
context: They're all my friends.\Oh, okay.\And what do you think you're doing, anyway?\You look like a common thug. It's embarrassing.\Embarrassing?\Yeah. You should be ashamed.\Okay.\Fix what you broke. response:	Okay.
context: Oh, okay.\And what do you think you're doing, anyway?\You look like a common thug. It's embarrassing.\Embarrassing?\Yeah. You should be ashamed.\Okay.\Fix what you broke.\Okay. response:	Once you've cleaned this place up, I'll at least listen to your story.
context: And what do you think you're doing, anyway?\You look like a common thug. It's embarrassing.\Embarrassing?\Yeah. You should be ashamed.\Okay.\Fix what you broke.\Okay.\Once you've cleaned this place up, I'll at least listen to your story. response:	R-Really?
context: You look like a common thug. It's embarrassing.\Embarrassing?\Yeah. You should be ashamed.\Okay.\Fix what you broke.\Okay.\Once you've cleaned this place up, I'll at least listen to your story.\R-Really? response:	All right!
context: Embarrassing?\Yeah. You should be ashamed.\Okay.\Fix what you broke.\Okay.\Once you've cleaned this place up, I'll at least listen to your story.\R-Really?\All right! response:	He really will do anything for his sister.
context: Yeah. You should be ashamed.\Okay.\Fix what you broke.\Okay.\Once you've cleaned this place up, I'll at least listen to your story.\R-Really?\All right!\He really will do anything for his sister. response:	If that's the case, let's get this place cleaned up.
context: Okay.\Fix what you broke.\Okay.\Once you've cleaned this place up, I'll at least listen to your story.\R-Really?\All right!\He really will do anything for his sister.\If that's the case, let's get this place cleaned up. response:	You guys help, too.
context: Fix what you broke.\Okay.\Once you've cleaned this place up, I'll at least listen to your story.\R-Really?\All right!\He really will do anything for his sister.\If that's the case, let's get this place cleaned up.\You guys help, too. response:	Don't be ridiculous. Do it yourself.
context: Okay.\Once you've cleaned this place up, I'll at least listen to your story.\R-Really?\All right!\He really will do anything for his sister.\If that's the case, let's get this place cleaned up.\You guys help, too.\Don't be ridiculous. Do it yourself. response:	Let's go. We'll wait at the hot springs.
context: Once you've cleaned this place up, I'll at least listen to your story.\R-Really?\All right!\He really will do anything for his sister.\If that's the case, let's get this place cleaned up.\You guys help, too.\Don't be ridiculous. Do it yourself.\Let's go. We'll wait at the hot springs. response:	Yes, sir.
context: R-Really?\All right!\He really will do anything for his sister.\If that's the case, let's get this place cleaned up.\You guys help, too.\Don't be ridiculous. Do it yourself.\Let's go. We'll wait at the hot springs.\Yes, sir. response:	Hey, are you all right?
context: All right!\He really will do anything for his sister.\If that's the case, let's get this place cleaned up.\You guys help, too.\Don't be ridiculous. Do it yourself.\Let's go. We'll wait at the hot springs.\Yes, sir.\Hey, are you all right? response:	I'm not sure I should wake him.
context: He really will do anything for his sister.\If that's the case, let's get this place cleaned up.\You guys help, too.\Don't be ridiculous. Do it yourself.\Let's go. We'll wait at the hot springs.\Yes, sir.\Hey, are you all right?\I'm not sure I should wake him. response:	Come on, hurry up.
context: If that's the case, let's get this place cleaned up.\You guys help, too.\Don't be ridiculous. Do it yourself.\Let's go. We'll wait at the hot springs.\Yes, sir.\Hey, are you all right?\I'm not sure I should wake him.\Come on, hurry up. response:	Sure thing. Your brother's got this.
context: You guys help, too.\Don't be ridiculous. Do it yourself.\Let's go. We'll wait at the hot springs.\Yes, sir.\Hey, are you all right?\I'm not sure I should wake him.\Come on, hurry up.\Sure thing. Your brother's got this. response:	But damn...
context: Don't be ridiculous. Do it yourself.\Let's go. We'll wait at the hot springs.\Yes, sir.\Hey, are you all right?\I'm not sure I should wake him.\Come on, hurry up.\Sure thing. Your brother's got this.\But damn... response:	I'm surrounded by freaks.
context: Let's go. We'll wait at the hot springs.\Yes, sir.\Hey, are you all right?\I'm not sure I should wake him.\Come on, hurry up.\Sure thing. Your brother's got this.\But damn...\I'm surrounded by freaks. response:	Isanami and I do not look similar because we are not related by blood.
context: Yes, sir.\Hey, are you all right?\I'm not sure I should wake him.\Come on, hurry up.\Sure thing. Your brother's got this.\But damn...\I'm surrounded by freaks.\Isanami and I do not look similar because we are not related by blood. response:	We were both orphans raised by the priest at Izumo Shrine.
context: Hey, are you all right?\I'm not sure I should wake him.\Come on, hurry up.\Sure thing. Your brother's got this.\But damn...\I'm surrounded by freaks.\Isanami and I do not look similar because we are not related by blood.\We were both orphans raised by the priest at Izumo Shrine. response:	The priest...
context: I'm not sure I should wake him.\Come on, hurry up.\Sure thing. Your brother's got this.\But damn...\I'm surrounded by freaks.\Isanami and I do not look similar because we are not related by blood.\We were both orphans raised by the priest at Izumo Shrine.\The priest... response:	By the way, I found you under the torii when I was eight years old.
context: Come on, hurry up.\Sure thing. Your brother's got this.\But damn...\I'm surrounded by freaks.\Isanami and I do not look similar because we are not related by blood.\We were both orphans raised by the priest at Izumo Shrine.\The priest...\By the way, I found you under the torii when I was eight years old. response:	You're kidding.
context: Sure thing. Your brother's got this.\But damn...\I'm surrounded by freaks.\Isanami and I do not look similar because we are not related by blood.\We were both orphans raised by the priest at Izumo Shrine.\The priest...\By the way, I found you under the torii when I was eight years old.\You're kidding. response:	You don't seem to be a threat,
context: But damn...\I'm surrounded by freaks.\Isanami and I do not look similar because we are not related by blood.\We were both orphans raised by the priest at Izumo Shrine.\The priest...\By the way, I found you under the torii when I was eight years old.\You're kidding.\You don't seem to be a threat, response:	but you certainly don't look like a monk.
context: I'm surrounded by freaks.\Isanami and I do not look similar because we are not related by blood.\We were both orphans raised by the priest at Izumo Shrine.\The priest...\By the way, I found you under the torii when I was eight years old.\You're kidding.\You don't seem to be a threat,\but you certainly don't look like a monk. response:	I left Izumo at fifteen to travel the country.
context: Isanami and I do not look similar because we are not related by blood.\We were both orphans raised by the priest at Izumo Shrine.\The priest...\By the way, I found you under the torii when I was eight years old.\You're kidding.\You don't seem to be a threat,\but you certainly don't look like a monk.\I left Izumo at fifteen to travel the country. response:	After learning the various teachings on the gods,
context: We were both orphans raised by the priest at Izumo Shrine.\The priest...\By the way, I found you under the torii when I was eight years old.\You're kidding.\You don't seem to be a threat,\but you certainly don't look like a monk.\I left Izumo at fifteen to travel the country.\After learning the various teachings on the gods, response:	I arrived at one conclusion.
context: The priest...\By the way, I found you under the torii when I was eight years old.\You're kidding.\You don't seem to be a threat,\but you certainly don't look like a monk.\I left Izumo at fifteen to travel the country.\After learning the various teachings on the gods,\I arrived at one conclusion. response:	All gods are the same.
context: By the way, I found you under the torii when I was eight years old.\You're kidding.\You don't seem to be a threat,\but you certainly don't look like a monk.\I left Izumo at fifteen to travel the country.\After learning the various teachings on the gods,\I arrived at one conclusion.\All gods are the same. response:	The more you believe in, the more you will be saved.
context: You're kidding.\You don't seem to be a threat,\but you certainly don't look like a monk.\I left Izumo at fifteen to travel the country.\After learning the various teachings on the gods,\I arrived at one conclusion.\All gods are the same.\The more you believe in, the more you will be saved. response:	You have no principles.
context: You don't seem to be a threat,\but you certainly don't look like a monk.\I left Izumo at fifteen to travel the country.\After learning the various teachings on the gods,\I arrived at one conclusion.\All gods are the same.\The more you believe in, the more you will be saved.\You have no principles. response:	What was that, heretic?
context: but you certainly don't look like a monk.\I left Izumo at fifteen to travel the country.\After learning the various teachings on the gods,\I arrived at one conclusion.\All gods are the same.\The more you believe in, the more you will be saved.\You have no principles.\What was that, heretic? response:	It seems you haven't seen each other in quite a while.
context: I left Izumo at fifteen to travel the country.\After learning the various teachings on the gods,\I arrived at one conclusion.\All gods are the same.\The more you believe in, the more you will be saved.\You have no principles.\What was that, heretic?\It seems you haven't seen each other in quite a while. response:	How did you know it was Isanami?
context: After learning the various teachings on the gods,\I arrived at one conclusion.\All gods are the same.\The more you believe in, the more you will be saved.\You have no principles.\What was that, heretic?\It seems you haven't seen each other in quite a while.\How did you know it was Isanami? response:	I knew as soon as I saw that hairpin.
context: I arrived at one conclusion.\All gods are the same.\The more you believe in, the more you will be saved.\You have no principles.\What was that, heretic?\It seems you haven't seen each other in quite a while.\How did you know it was Isanami?\I knew as soon as I saw that hairpin. response:	Isanami is the only priestess of the Kushimitama.
context: All gods are the same.\The more you believe in, the more you will be saved.\You have no principles.\What was that, heretic?\It seems you haven't seen each other in quite a while.\How did you know it was Isanami?\I knew as soon as I saw that hairpin.\Isanami is the only priestess of the Kushimitama. response:	He's serious.
context: The more you believe in, the more you will be saved.\You have no principles.\What was that, heretic?\It seems you haven't seen each other in quite a while.\How did you know it was Isanami?\I knew as soon as I saw that hairpin.\Isanami is the only priestess of the Kushimitama.\He's serious. response:	But I really don't remember you.
context: You have no principles.\What was that, heretic?\It seems you haven't seen each other in quite a while.\How did you know it was Isanami?\I knew as soon as I saw that hairpin.\Isanami is the only priestess of the Kushimitama.\He's serious.\But I really don't remember you. response:	Considering how strong I have grown during my travels,
context: What was that, heretic?\It seems you haven't seen each other in quite a while.\How did you know it was Isanami?\I knew as soon as I saw that hairpin.\Isanami is the only priestess of the Kushimitama.\He's serious.\But I really don't remember you.\Considering how strong I have grown during my travels, response:	it is not surprising you do not recognize me.
context: It seems you haven't seen each other in quite a while.\How did you know it was Isanami?\I knew as soon as I saw that hairpin.\Isanami is the only priestess of the Kushimitama.\He's serious.\But I really don't remember you.\Considering how strong I have grown during my travels,\it is not surprising you do not recognize me. response:	This is what I looked like when I was fifteen.
context: How did you know it was Isanami?\I knew as soon as I saw that hairpin.\Isanami is the only priestess of the Kushimitama.\He's serious.\But I really don't remember you.\Considering how strong I have grown during my travels,\it is not surprising you do not recognize me.\This is what I looked like when I was fifteen. response:	My brother! I remember now!
context: I knew as soon as I saw that hairpin.\Isanami is the only priestess of the Kushimitama.\He's serious.\But I really don't remember you.\Considering how strong I have grown during my travels,\it is not surprising you do not recognize me.\This is what I looked like when I was fifteen.\My brother! I remember now! response:	You finally remember.
context: Isanami is the only priestess of the Kushimitama.\He's serious.\But I really don't remember you.\Considering how strong I have grown during my travels,\it is not surprising you do not recognize me.\This is what I looked like when I was fifteen.\My brother! I remember now!\You finally remember. response:	Let us embrace!
context: He's serious.\But I really don't remember you.\Considering how strong I have grown during my travels,\it is not surprising you do not recognize me.\This is what I looked like when I was fifteen.\My brother! I remember now!\You finally remember.\Let us embrace! response:	No!
context: But I really don't remember you.\Considering how strong I have grown during my travels,\it is not surprising you do not recognize me.\This is what I looked like when I was fifteen.\My brother! I remember now!\You finally remember.\Let us embrace!\No! response:	Why?
context: Considering how strong I have grown during my travels,\it is not surprising you do not recognize me.\This is what I looked like when I was fifteen.\My brother! I remember now!\You finally remember.\Let us embrace!\No!\Why? response:	I understand. This must be fate.
context: it is not surprising you do not recognize me.\This is what I looked like when I was fifteen.\My brother! I remember now!\You finally remember.\Let us embrace!\No!\Why?\I understand. This must be fate. response:	If you wish, you may serve me.
context: This is what I looked like when I was fifteen.\My brother! I remember now!\You finally remember.\Let us embrace!\No!\Why?\I understand. This must be fate.\If you wish, you may serve me. response:	Thank you.
context: My brother! I remember now!\You finally remember.\Let us embrace!\No!\Why?\I understand. This must be fate.\If you wish, you may serve me.\Thank you. response:	Yukimura-sama brought that
context: You finally remember.\Let us embrace!\No!\Why?\I understand. This must be fate.\If you wish, you may serve me.\Thank you.\Yukimura-sama brought that response:	slimy-looking guy with him.
context: Let us embrace!\No!\Why?\I understand. This must be fate.\If you wish, you may serve me.\Thank you.\Yukimura-sama brought that\slimy-looking guy with him. response:	Hey, I can kill that guy, right?
context: No!\Why?\I understand. This must be fate.\If you wish, you may serve me.\Thank you.\Yukimura-sama brought that\slimy-looking guy with him.\Hey, I can kill that guy, right? response:	Right?
context: Why?\I understand. This must be fate.\If you wish, you may serve me.\Thank you.\Yukimura-sama brought that\slimy-looking guy with him.\Hey, I can kill that guy, right?\Right? response:	Now this is impressive.
context: I understand. This must be fate.\If you wish, you may serve me.\Thank you.\Yukimura-sama brought that\slimy-looking guy with him.\Hey, I can kill that guy, right?\Right?\Now this is impressive. response:	Oh, thanks.
context: If you wish, you may serve me.\Thank you.\Yukimura-sama brought that\slimy-looking guy with him.\Hey, I can kill that guy, right?\Right?\Now this is impressive.\Oh, thanks. response:	Take your time.
context: Thank you.\Yukimura-sama brought that\slimy-looking guy with him.\Hey, I can kill that guy, right?\Right?\Now this is impressive.\Oh, thanks.\Take your time. response:	It's not bad, is it?
context: Yukimura-sama brought that\slimy-looking guy with him.\Hey, I can kill that guy, right?\Right?\Now this is impressive.\Oh, thanks.\Take your time.\It's not bad, is it? response:	How about a drink?
context: slimy-looking guy with him.\Hey, I can kill that guy, right?\Right?\Now this is impressive.\Oh, thanks.\Take your time.\It's not bad, is it?\How about a drink? response:	That'd be great.
context: Hey, I can kill that guy, right?\Right?\Now this is impressive.\Oh, thanks.\Take your time.\It's not bad, is it?\How about a drink?\That'd be great. response:	There's food, too.
