context: Right, I'll tell her later. response:	Because there are too little of clow cards that can talk.
context: Sorry, but I can't go shopping with you.\I'm also going to be busy so don't be worried!\Doing what?\Because its about to be Christmas!\I have to get a present for you!\Christmas Present! I'll make a very good video tape of Sakura-chan\I have to hurry and finish taping!\You don't really want to make that' response:	I'm leaving now!
context: I'm also going to be busy so don't be worried!\Doing what?\Because its about to be Christmas!\I have to get a present for you!\Christmas Present! I'll make a very good video tape of Sakura-chan\I have to hurry and finish taping!\You don't really want to make that'\I'm leaving now! response:	I also have to hurry and write this stuff down.
context: Doing what?\Because its about to be Christmas!\I have to get a present for you!\Christmas Present! I'll make a very good video tape of Sakura-chan\I have to hurry and finish taping!\You don't really want to make that'\I'm leaving now!\I also have to hurry and write this stuff down. response:	Shao Lan-kun, you can put this board back
context: Because its about to be Christmas!\I have to get a present for you!\Christmas Present! I'll make a very good video tape of Sakura-chan\I have to hurry and finish taping!\You don't really want to make that'\I'm leaving now!\I also have to hurry and write this stuff down.\Shao Lan-kun, you can put this board back response:	to the classroom then you can go.
context: I have to get a present for you!\Christmas Present! I'll make a very good video tape of Sakura-chan\I have to hurry and finish taping!\You don't really want to make that'\I'm leaving now!\I also have to hurry and write this stuff down.\Shao Lan-kun, you can put this board back\to the classroom then you can go. response:	I'll be done writing soon.
context: Christmas Present! I'll make a very good video tape of Sakura-chan\I have to hurry and finish taping!\You don't really want to make that'\I'm leaving now!\I also have to hurry and write this stuff down.\Shao Lan-kun, you can put this board back\to the classroom then you can go.\I'll be done writing soon. response:	I'll write then.
context: I have to hurry and finish taping!\You don't really want to make that'\I'm leaving now!\I also have to hurry and write this stuff down.\Shao Lan-kun, you can put this board back\to the classroom then you can go.\I'll be done writing soon.\I'll write then. response:	Writing those words down is easier
context: You don't really want to make that'\I'm leaving now!\I also have to hurry and write this stuff down.\Shao Lan-kun, you can put this board back\to the classroom then you can go.\I'll be done writing soon.\I'll write then.\Writing those words down is easier response:	I'll write the words ok?
context: I'm leaving now!\I also have to hurry and write this stuff down.\Shao Lan-kun, you can put this board back\to the classroom then you can go.\I'll be done writing soon.\I'll write then.\Writing those words down is easier\I'll write the words ok? response:	You go buy Christmas presents'
context: I also have to hurry and write this stuff down.\Shao Lan-kun, you can put this board back\to the classroom then you can go.\I'll be done writing soon.\I'll write then.\Writing those words down is easier\I'll write the words ok?\You go buy Christmas presents' response:	So, excuse me. See you tomorrow.
context: Shao Lan-kun, you can put this board back\to the classroom then you can go.\I'll be done writing soon.\I'll write then.\Writing those words down is easier\I'll write the words ok?\You go buy Christmas presents'\So, excuse me. See you tomorrow. response:	Bleh, why didn't I say it?
context: to the classroom then you can go.\I'll be done writing soon.\I'll write then.\Writing those words down is easier\I'll write the words ok?\You go buy Christmas presents'\So, excuse me. See you tomorrow.\Bleh, why didn't I say it? response:	A very pretty piece of music
context: I'll be done writing soon.\I'll write then.\Writing those words down is easier\I'll write the words ok?\You go buy Christmas presents'\So, excuse me. See you tomorrow.\Bleh, why didn't I say it?\A very pretty piece of music response:	Thank you very much.
context: I'll write then.\Writing those words down is easier\I'll write the words ok?\You go buy Christmas presents'\So, excuse me. See you tomorrow.\Bleh, why didn't I say it?\A very pretty piece of music\Thank you very much. response:	This is a thank you song.
context: Writing those words down is easier\I'll write the words ok?\You go buy Christmas presents'\So, excuse me. See you tomorrow.\Bleh, why didn't I say it?\A very pretty piece of music\Thank you very much.\This is a thank you song. response:	On a mountain there was a place.
context: I'll write the words ok?\You go buy Christmas presents'\So, excuse me. See you tomorrow.\Bleh, why didn't I say it?\A very pretty piece of music\Thank you very much.\This is a thank you song.\On a mountain there was a place. response:	I want to go there for Christmas.
context: You go buy Christmas presents'\So, excuse me. See you tomorrow.\Bleh, why didn't I say it?\A very pretty piece of music\Thank you very much.\This is a thank you song.\On a mountain there was a place.\I want to go there for Christmas. response:	So today I'm playing this song.
context: So, excuse me. See you tomorrow.\Bleh, why didn't I say it?\A very pretty piece of music\Thank you very much.\This is a thank you song.\On a mountain there was a place.\I want to go there for Christmas.\So today I'm playing this song. response:	That's incredible.
context: Bleh, why didn't I say it?\A very pretty piece of music\Thank you very much.\This is a thank you song.\On a mountain there was a place.\I want to go there for Christmas.\So today I'm playing this song.\That's incredible. response:	It gives warm feelings'
context: A very pretty piece of music\Thank you very much.\This is a thank you song.\On a mountain there was a place.\I want to go there for Christmas.\So today I'm playing this song.\That's incredible.\It gives warm feelings' response:	Its really great that you can
context: Thank you very much.\This is a thank you song.\On a mountain there was a place.\I want to go there for Christmas.\So today I'm playing this song.\That's incredible.\It gives warm feelings'\Its really great that you can response:	play such a great song.
context: This is a thank you song.\On a mountain there was a place.\I want to go there for Christmas.\So today I'm playing this song.\That's incredible.\It gives warm feelings'\Its really great that you can\play such a great song. response:	Playing this song is to thank
context: On a mountain there was a place.\I want to go there for Christmas.\So today I'm playing this song.\That's incredible.\It gives warm feelings'\Its really great that you can\play such a great song.\Playing this song is to thank response:	even the little things.
context: I want to go there for Christmas.\So today I'm playing this song.\That's incredible.\It gives warm feelings'\Its really great that you can\play such a great song.\Playing this song is to thank\even the little things. response:	Small Thanks?
context: So today I'm playing this song.\That's incredible.\It gives warm feelings'\Its really great that you can\play such a great song.\Playing this song is to thank\even the little things.\Small Thanks? response:	I'm playing this song
context: That's incredible.\It gives warm feelings'\Its really great that you can\play such a great song.\Playing this song is to thank\even the little things.\Small Thanks?\I'm playing this song response:	to thank the flowers,
context: It gives warm feelings'\Its really great that you can\play such a great song.\Playing this song is to thank\even the little things.\Small Thanks?\I'm playing this song\to thank the flowers, response:	water and air.
context: Its really great that you can\play such a great song.\Playing this song is to thank\even the little things.\Small Thanks?\I'm playing this song\to thank the flowers,\water and air. response:	You can only use this kind of thanks with the piano
context: play such a great song.\Playing this song is to thank\even the little things.\Small Thanks?\I'm playing this song\to thank the flowers,\water and air.\You can only use this kind of thanks with the piano response:	Flowers, water, air?
context: Playing this song is to thank\even the little things.\Small Thanks?\I'm playing this song\to thank the flowers,\water and air.\You can only use this kind of thanks with the piano\Flowers, water, air? response:	It's not for people. It's only for things.
context: even the little things.\Small Thanks?\I'm playing this song\to thank the flowers,\water and air.\You can only use this kind of thanks with the piano\Flowers, water, air?\It's not for people. It's only for things. response:	You can go by yourself?
context: Small Thanks?\I'm playing this song\to thank the flowers,\water and air.\You can only use this kind of thanks with the piano\Flowers, water, air?\It's not for people. It's only for things.\You can go by yourself? response:	Last time I went to sleep I was very tired.
context: I'm playing this song\to thank the flowers,\water and air.\You can only use this kind of thanks with the piano\Flowers, water, air?\It's not for people. It's only for things.\You can go by yourself?\Last time I went to sleep I was very tired. response:	So don't worry'
context: to thank the flowers,\water and air.\You can only use this kind of thanks with the piano\Flowers, water, air?\It's not for people. It's only for things.\You can go by yourself?\Last time I went to sleep I was very tired.\So don't worry' response:	Yuki.
context: water and air.\You can only use this kind of thanks with the piano\Flowers, water, air?\It's not for people. It's only for things.\You can go by yourself?\Last time I went to sleep I was very tired.\So don't worry'\Yuki. response:	' What?' I really want to tell you,
context: You can only use this kind of thanks with the piano\Flowers, water, air?\It's not for people. It's only for things.\You can go by yourself?\Last time I went to sleep I was very tired.\So don't worry'\Yuki.\' What?' I really want to tell you, response:	' You are'' Touya-kun!!!
context: Flowers, water, air?\It's not for people. It's only for things.\You can go by yourself?\Last time I went to sleep I was very tired.\So don't worry'\Yuki.\' What?' I really want to tell you,\' You are'' Touya-kun!!! response:	Let's go home together ok?
context: It's not for people. It's only for things.\You can go by yourself?\Last time I went to sleep I was very tired.\So don't worry'\Yuki.\' What?' I really want to tell you,\' You are'' Touya-kun!!!\Let's go home together ok? response:	How come you came here again?
context: You can go by yourself?\Last time I went to sleep I was very tired.\So don't worry'\Yuki.\' What?' I really want to tell you,\' You are'' Touya-kun!!!\Let's go home together ok?\How come you came here again? response:	Were you thinking of me?
context: Last time I went to sleep I was very tired.\So don't worry'\Yuki.\' What?' I really want to tell you,\' You are'' Touya-kun!!!\Let's go home together ok?\How come you came here again?\Were you thinking of me? response:	' Of course not!' So, I'll see ya tomorrow.
context: So don't worry'\Yuki.\' What?' I really want to tell you,\' You are'' Touya-kun!!!\Let's go home together ok?\How come you came here again?\Were you thinking of me?\' Of course not!' So, I'll see ya tomorrow. response:	Hey! Yuki!
context: Yuki.\' What?' I really want to tell you,\' You are'' Touya-kun!!!\Let's go home together ok?\How come you came here again?\Were you thinking of me?\' Of course not!' So, I'll see ya tomorrow.\Hey! Yuki! response:	' Are you happy now?' What did you say?
context: ' What?' I really want to tell you,\' You are'' Touya-kun!!!\Let's go home together ok?\How come you came here again?\Were you thinking of me?\' Of course not!' So, I'll see ya tomorrow.\Hey! Yuki!\' Are you happy now?' What did you say? response:	She left already.
context: ' You are'' Touya-kun!!!\Let's go home together ok?\How come you came here again?\Were you thinking of me?\' Of course not!' So, I'll see ya tomorrow.\Hey! Yuki!\' Are you happy now?' What did you say?\She left already. response:	Shao Lan-kun!
context: Let's go home together ok?\How come you came here again?\Were you thinking of me?\' Of course not!' So, I'll see ya tomorrow.\Hey! Yuki!\' Are you happy now?' What did you say?\She left already.\Shao Lan-kun! response:	I thought you left early.
context: How come you came here again?\Were you thinking of me?\' Of course not!' So, I'll see ya tomorrow.\Hey! Yuki!\' Are you happy now?' What did you say?\She left already.\Shao Lan-kun!\I thought you left early. response:	I was doing something else.
context: Were you thinking of me?\' Of course not!' So, I'll see ya tomorrow.\Hey! Yuki!\' Are you happy now?' What did you say?\She left already.\Shao Lan-kun!\I thought you left early.\I was doing something else. response:	Shao Lan-kun, what are you doing?
context: ' Of course not!' So, I'll see ya tomorrow.\Hey! Yuki!\' Are you happy now?' What did you say?\She left already.\Shao Lan-kun!\I thought you left early.\I was doing something else.\Shao Lan-kun, what are you doing? response:	Nothing'
context: Hey! Yuki!\' Are you happy now?' What did you say?\She left already.\Shao Lan-kun!\I thought you left early.\I was doing something else.\Shao Lan-kun, what are you doing?\Nothing' response:	Your brother still hasn't come.
context: ' Are you happy now?' What did you say?\She left already.\Shao Lan-kun!\I thought you left early.\I was doing something else.\Shao Lan-kun, what are you doing?\Nothing'\Your brother still hasn't come. response:	Bye-bye!
context: She left already.\Shao Lan-kun!\I thought you left early.\I was doing something else.\Shao Lan-kun, what are you doing?\Nothing'\Your brother still hasn't come.\Bye-bye! response:	Shao Lan-kun!
context: Shao Lan-kun!\I thought you left early.\I was doing something else.\Shao Lan-kun, what are you doing?\Nothing'\Your brother still hasn't come.\Bye-bye!\Shao Lan-kun! response:	What?
context: I thought you left early.\I was doing something else.\Shao Lan-kun, what are you doing?\Nothing'\Your brother still hasn't come.\Bye-bye!\Shao Lan-kun!\What? response:	I want to ask you,
context: I was doing something else.\Shao Lan-kun, what are you doing?\Nothing'\Your brother still hasn't come.\Bye-bye!\Shao Lan-kun!\What?\I want to ask you, response:	what does it mean
context: Shao Lan-kun, what are you doing?\Nothing'\Your brother still hasn't come.\Bye-bye!\Shao Lan-kun!\What?\I want to ask you,\what does it mean response:	to thank the flowers, water and air?
context: Nothing'\Your brother still hasn't come.\Bye-bye!\Shao Lan-kun!\What?\I want to ask you,\what does it mean\to thank the flowers, water and air? response:	I'm sorry, asking you such things all of a sudden.
context: Your brother still hasn't come.\Bye-bye!\Shao Lan-kun!\What?\I want to ask you,\what does it mean\to thank the flowers, water and air?\I'm sorry, asking you such things all of a sudden. response:	No problem'
context: Bye-bye!\Shao Lan-kun!\What?\I want to ask you,\what does it mean\to thank the flowers, water and air?\I'm sorry, asking you such things all of a sudden.\No problem' response:	I want to thank
context: Shao Lan-kun!\What?\I want to ask you,\what does it mean\to thank the flowers, water and air?\I'm sorry, asking you such things all of a sudden.\No problem'\I want to thank response:	someone in some kind of way.
context: What?\I want to ask you,\what does it mean\to thank the flowers, water and air?\I'm sorry, asking you such things all of a sudden.\No problem'\I want to thank\someone in some kind of way. response:	Though, I don't really understand why'
context: I want to ask you,\what does it mean\to thank the flowers, water and air?\I'm sorry, asking you such things all of a sudden.\No problem'\I want to thank\someone in some kind of way.\Though, I don't really understand why' response:	Sorry!
context: what does it mean\to thank the flowers, water and air?\I'm sorry, asking you such things all of a sudden.\No problem'\I want to thank\someone in some kind of way.\Though, I don't really understand why'\Sorry! response:	' This is'' Clow-san's presence!
context: to thank the flowers, water and air?\I'm sorry, asking you such things all of a sudden.\No problem'\I want to thank\someone in some kind of way.\Though, I don't really understand why'\Sorry!\' This is'' Clow-san's presence! response:	I'll go look and you can stay here.
context: I'm sorry, asking you such things all of a sudden.\No problem'\I want to thank\someone in some kind of way.\Though, I don't really understand why'\Sorry!\' This is'' Clow-san's presence!\I'll go look and you can stay here. response:	No you can't, I want to go too.
context: No problem'\I want to thank\someone in some kind of way.\Though, I don't really understand why'\Sorry!\' This is'' Clow-san's presence!\I'll go look and you can stay here.\No you can't, I want to go too. response:	But I thought you had to wait right here. Your brother will be worried.
context: I want to thank\someone in some kind of way.\Though, I don't really understand why'\Sorry!\' This is'' Clow-san's presence!\I'll go look and you can stay here.\No you can't, I want to go too.\But I thought you had to wait right here. Your brother will be worried. response:	You're right'
context: someone in some kind of way.\Though, I don't really understand why'\Sorry!\' This is'' Clow-san's presence!\I'll go look and you can stay here.\No you can't, I want to go too.\But I thought you had to wait right here. Your brother will be worried.\You're right' response:	Oh yeah!
context: Though, I don't really understand why'\Sorry!\' This is'' Clow-san's presence!\I'll go look and you can stay here.\No you can't, I want to go too.\But I thought you had to wait right here. Your brother will be worried.\You're right'\Oh yeah! response:	O Key which hides the forces of darkness,
context: Sorry!\' This is'' Clow-san's presence!\I'll go look and you can stay here.\No you can't, I want to go too.\But I thought you had to wait right here. Your brother will be worried.\You're right'\Oh yeah!\O Key which hides the forces of darkness, response:	reveal thy true form before me.
context: ' This is'' Clow-san's presence!\I'll go look and you can stay here.\No you can't, I want to go too.\But I thought you had to wait right here. Your brother will be worried.\You're right'\Oh yeah!\O Key which hides the forces of darkness,\reveal thy true form before me. response:	I, Sakura, command thee under contract
context: I'll go look and you can stay here.\No you can't, I want to go too.\But I thought you had to wait right here. Your brother will be worried.\You're right'\Oh yeah!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract response:	Release!
context: No you can't, I want to go too.\But I thought you had to wait right here. Your brother will be worried.\You're right'\Oh yeah!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release! response:	Mirror!
context: But I thought you had to wait right here. Your brother will be worried.\You're right'\Oh yeah!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release!\Mirror! response:	Mirror-san, I need your help again.
context: You're right'\Oh yeah!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release!\Mirror!\Mirror-san, I need your help again. response:	' Yes.' That's great!
context: Oh yeah!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release!\Mirror!\Mirror-san, I need your help again.\' Yes.' That's great! response:	I'
context: O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract\Release!\Mirror!\Mirror-san, I need your help again.\' Yes.' That's great!\I' response:	Please go with my brother to buy stuff.
context: reveal thy true form before me.\I, Sakura, command thee under contract\Release!\Mirror!\Mirror-san, I need your help again.\' Yes.' That's great!\I'\Please go with my brother to buy stuff. response:	' I'' You can't?
context: I, Sakura, command thee under contract\Release!\Mirror!\Mirror-san, I need your help again.\' Yes.' That's great!\I'\Please go with my brother to buy stuff.\' I'' You can't? response:	' No, it's not that.' Thank you.
context: Release!\Mirror!\Mirror-san, I need your help again.\' Yes.' That's great!\I'\Please go with my brother to buy stuff.\' I'' You can't?\' No, it's not that.' Thank you. response:	Hey, lets go!
context: Mirror!\Mirror-san, I need your help again.\' Yes.' That's great!\I'\Please go with my brother to buy stuff.\' I'' You can't?\' No, it's not that.' Thank you.\Hey, lets go! response:	When can I tell her?
context: Mirror-san, I need your help again.\' Yes.' That's great!\I'\Please go with my brother to buy stuff.\' I'' You can't?\' No, it's not that.' Thank you.\Hey, lets go!\When can I tell her? response:	Eh!? Go with her brother to buy stuff?
context: ' Yes.' That's great!\I'\Please go with my brother to buy stuff.\' I'' You can't?\' No, it's not that.' Thank you.\Hey, lets go!\When can I tell her?\Eh!? Go with her brother to buy stuff? response:	I can really feel it,
context: I'\Please go with my brother to buy stuff.\' I'' You can't?\' No, it's not that.' Thank you.\Hey, lets go!\When can I tell her?\Eh!? Go with her brother to buy stuff?\I can really feel it, response:	it's Clow-san's presence.
context: Please go with my brother to buy stuff.\' I'' You can't?\' No, it's not that.' Thank you.\Hey, lets go!\When can I tell her?\Eh!? Go with her brother to buy stuff?\I can really feel it,\it's Clow-san's presence. response:	It seems like something isn't right.
context: ' I'' You can't?\' No, it's not that.' Thank you.\Hey, lets go!\When can I tell her?\Eh!? Go with her brother to buy stuff?\I can really feel it,\it's Clow-san's presence.\It seems like something isn't right. response:	Is it coming?
context: ' No, it's not that.' Thank you.\Hey, lets go!\When can I tell her?\Eh!? Go with her brother to buy stuff?\I can really feel it,\it's Clow-san's presence.\It seems like something isn't right.\Is it coming? response:	Were you waiting for long?
context: Hey, lets go!\When can I tell her?\Eh!? Go with her brother to buy stuff?\I can really feel it,\it's Clow-san's presence.\It seems like something isn't right.\Is it coming?\Were you waiting for long? response:	Shall we go now?
context: When can I tell her?\Eh!? Go with her brother to buy stuff?\I can really feel it,\it's Clow-san's presence.\It seems like something isn't right.\Is it coming?\Were you waiting for long?\Shall we go now? response:	You're not Sakura are you?
context: Eh!? Go with her brother to buy stuff?\I can really feel it,\it's Clow-san's presence.\It seems like something isn't right.\Is it coming?\Were you waiting for long?\Shall we go now?\You're not Sakura are you? response:	I'
context: I can really feel it,\it's Clow-san's presence.\It seems like something isn't right.\Is it coming?\Were you waiting for long?\Shall we go now?\You're not Sakura are you?\I' response:	It's that direction, right? If I go there now,
context: it's Clow-san's presence.\It seems like something isn't right.\Is it coming?\Were you waiting for long?\Shall we go now?\You're not Sakura are you?\I'\It's that direction, right? If I go there now, response:	then you'll be troubled right?
context: It seems like something isn't right.\Is it coming?\Were you waiting for long?\Shall we go now?\You're not Sakura are you?\I'\It's that direction, right? If I go there now,\then you'll be troubled right? response:	Let's go together and buy stuff.
context: Is it coming?\Were you waiting for long?\Shall we go now?\You're not Sakura are you?\I'\It's that direction, right? If I go there now,\then you'll be troubled right?\Let's go together and buy stuff. response:	Yes.
context: Were you waiting for long?\Shall we go now?\You're not Sakura are you?\I'\It's that direction, right? If I go there now,\then you'll be troubled right?\Let's go together and buy stuff.\Yes. response:	Jump!
context: Shall we go now?\You're not Sakura are you?\I'\It's that direction, right? If I go there now,\then you'll be troubled right?\Let's go together and buy stuff.\Yes.\Jump! response:	King of thunder, descend!
context: You're not Sakura are you?\I'\It's that direction, right? If I go there now,\then you'll be troubled right?\Let's go together and buy stuff.\Yes.\Jump!\King of thunder, descend! response:	' Thank you!' It's coming!
context: I'\It's that direction, right? If I go there now,\then you'll be troubled right?\Let's go together and buy stuff.\Yes.\Jump!\King of thunder, descend!\' Thank you!' It's coming! response:	It's coming again?
context: It's that direction, right? If I go there now,\then you'll be troubled right?\Let's go together and buy stuff.\Yes.\Jump!\King of thunder, descend!\' Thank you!' It's coming!\It's coming again? response:	I don't know how to defeat this.
context: then you'll be troubled right?\Let's go together and buy stuff.\Yes.\Jump!\King of thunder, descend!\' Thank you!' It's coming!\It's coming again?\I don't know how to defeat this. response:	You can't use that,
context: Let's go together and buy stuff.\Yes.\Jump!\King of thunder, descend!\' Thank you!' It's coming!\It's coming again?\I don't know how to defeat this.\You can't use that, response:	so how are we going to defeat this?
context: Yes.\Jump!\King of thunder, descend!\' Thank you!' It's coming!\It's coming again?\I don't know how to defeat this.\You can't use that,\so how are we going to defeat this? response:	Sakura!
context: Jump!\King of thunder, descend!\' Thank you!' It's coming!\It's coming again?\I don't know how to defeat this.\You can't use that,\so how are we going to defeat this?\Sakura! response:	Right! That card!
context: King of thunder, descend!\' Thank you!' It's coming!\It's coming again?\I don't know how to defeat this.\You can't use that,\so how are we going to defeat this?\Sakura!\Right! That card! response:	O Key which hides the forces of the stars,
context: ' Thank you!' It's coming!\It's coming again?\I don't know how to defeat this.\You can't use that,\so how are we going to defeat this?\Sakura!\Right! That card!\O Key which hides the forces of the stars, response:	reveal thy true form before me.
context: It's coming again?\I don't know how to defeat this.\You can't use that,\so how are we going to defeat this?\Sakura!\Right! That card!\O Key which hides the forces of the stars,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: I don't know how to defeat this.\You can't use that,\so how are we going to defeat this?\Sakura!\Right! That card!\O Key which hides the forces of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Mist!
context: You can't use that,\so how are we going to defeat this?\Sakura!\Right! That card!\O Key which hides the forces of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Mist! response:	It worked.
context: so how are we going to defeat this?\Sakura!\Right! That card!\O Key which hides the forces of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Mist!\It worked. response:	Hey, are you ok?
context: Sakura!\Right! That card!\O Key which hides the forces of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Mist!\It worked.\Hey, are you ok? response:	Yeah I'm fine.
context: Right! That card!\O Key which hides the forces of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Mist!\It worked.\Hey, are you ok?\Yeah I'm fine. response:	What's wrong?
context: O Key which hides the forces of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Mist!\It worked.\Hey, are you ok?\Yeah I'm fine.\What's wrong? response:	I know what it was. Right!
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Mist!\It worked.\Hey, are you ok?\Yeah I'm fine.\What's wrong?\I know what it was. Right! response:	Will he be at the piano?
context: I, Sakura, command thee under contract.\Mist!\It worked.\Hey, are you ok?\Yeah I'm fine.\What's wrong?\I know what it was. Right!\Will he be at the piano? response:	Shao Lan-kun, sorry I have to go now.
context: Mist!\It worked.\Hey, are you ok?\Yeah I'm fine.\What's wrong?\I know what it was. Right!\Will he be at the piano?\Shao Lan-kun, sorry I have to go now. response:	What?
context: It worked.\Hey, are you ok?\Yeah I'm fine.\What's wrong?\I know what it was. Right!\Will he be at the piano?\Shao Lan-kun, sorry I have to go now.\What? response:	Don't worry, I won't tell Sakura.
context: Hey, are you ok?\Yeah I'm fine.\What's wrong?\I know what it was. Right!\Will he be at the piano?\Shao Lan-kun, sorry I have to go now.\What?\Don't worry, I won't tell Sakura. response:	I bought this when we were
context: Yeah I'm fine.\What's wrong?\I know what it was. Right!\Will he be at the piano?\Shao Lan-kun, sorry I have to go now.\What?\Don't worry, I won't tell Sakura.\I bought this when we were response:	buying dad's present.
context: What's wrong?\I know what it was. Right!\Will he be at the piano?\Shao Lan-kun, sorry I have to go now.\What?\Don't worry, I won't tell Sakura.\I bought this when we were\buying dad's present. response:	Thank you for coming with me today.
context: I know what it was. Right!\Will he be at the piano?\Shao Lan-kun, sorry I have to go now.\What?\Don't worry, I won't tell Sakura.\I bought this when we were\buying dad's present.\Thank you for coming with me today. response:	I shouldn't give this to you so early. But this is your Christmas present.
context: Will he be at the piano?\Shao Lan-kun, sorry I have to go now.\What?\Don't worry, I won't tell Sakura.\I bought this when we were\buying dad's present.\Thank you for coming with me today.\I shouldn't give this to you so early. But this is your Christmas present. response:	This is for me?
context: Shao Lan-kun, sorry I have to go now.\What?\Don't worry, I won't tell Sakura.\I bought this when we were\buying dad's present.\Thank you for coming with me today.\I shouldn't give this to you so early. But this is your Christmas present.\This is for me? response:	Your hair is really long right?
context: What?\Don't worry, I won't tell Sakura.\I bought this when we were\buying dad's present.\Thank you for coming with me today.\I shouldn't give this to you so early. But this is your Christmas present.\This is for me?\Your hair is really long right? response:	Thank you very much.
context: Don't worry, I won't tell Sakura.\I bought this when we were\buying dad's present.\Thank you for coming with me today.\I shouldn't give this to you so early. But this is your Christmas present.\This is for me?\Your hair is really long right?\Thank you very much. response:	I should be thanking you.
context: I bought this when we were\buying dad's present.\Thank you for coming with me today.\I shouldn't give this to you so early. But this is your Christmas present.\This is for me?\Your hair is really long right?\Thank you very much.\I should be thanking you. response:	Thank you for always helping Sakura.
context: buying dad's present.\Thank you for coming with me today.\I shouldn't give this to you so early. But this is your Christmas present.\This is for me?\Your hair is really long right?\Thank you very much.\I should be thanking you.\Thank you for always helping Sakura. response:	Sakura! How come you came home so late? Where did you go?
context: Thank you for coming with me today.\I shouldn't give this to you so early. But this is your Christmas present.\This is for me?\Your hair is really long right?\Thank you very much.\I should be thanking you.\Thank you for always helping Sakura.\Sakura! How come you came home so late? Where did you go? response:	You made me worried.
context: I shouldn't give this to you so early. But this is your Christmas present.\This is for me?\Your hair is really long right?\Thank you very much.\I should be thanking you.\Thank you for always helping Sakura.\Sakura! How come you came home so late? Where did you go?\You made me worried. response:	Sorry, Sorry! You're back?
context: This is for me?\Your hair is really long right?\Thank you very much.\I should be thanking you.\Thank you for always helping Sakura.\Sakura! How come you came home so late? Where did you go?\You made me worried.\Sorry, Sorry! You're back? response:	I want you to listen to this. You want me to listen?
context: Your hair is really long right?\Thank you very much.\I should be thanking you.\Thank you for always helping Sakura.\Sakura! How come you came home so late? Where did you go?\You made me worried.\Sorry, Sorry! You're back?\I want you to listen to this. You want me to listen? response:	Yup.
context: Thank you very much.\I should be thanking you.\Thank you for always helping Sakura.\Sakura! How come you came home so late? Where did you go?\You made me worried.\Sorry, Sorry! You're back?\I want you to listen to this. You want me to listen?\Yup. response:	What is that?
context: I should be thanking you.\Thank you for always helping Sakura.\Sakura! How come you came home so late? Where did you go?\You made me worried.\Sorry, Sorry! You're back?\I want you to listen to this. You want me to listen?\Yup.\What is that? response:	This is all of the cards present!
context: Thank you for always helping Sakura.\Sakura! How come you came home so late? Where did you go?\You made me worried.\Sorry, Sorry! You're back?\I want you to listen to this. You want me to listen?\Yup.\What is that?\This is all of the cards present! response:	Thank you to all of you for helping me
context: Sakura! How come you came home so late? Where did you go?\You made me worried.\Sorry, Sorry! You're back?\I want you to listen to this. You want me to listen?\Yup.\What is that?\This is all of the cards present!\Thank you to all of you for helping me response:	out when I'm in a bad situation.
context: You made me worried.\Sorry, Sorry! You're back?\I want you to listen to this. You want me to listen?\Yup.\What is that?\This is all of the cards present!\Thank you to all of you for helping me\out when I'm in a bad situation. response:	I want to thank all of the cards
context: Sorry, Sorry! You're back?\I want you to listen to this. You want me to listen?\Yup.\What is that?\This is all of the cards present!\Thank you to all of you for helping me\out when I'm in a bad situation.\I want to thank all of the cards response:	for always helping me out.
context: I want you to listen to this. You want me to listen?\Yup.\What is that?\This is all of the cards present!\Thank you to all of you for helping me\out when I'm in a bad situation.\I want to thank all of the cards\for always helping me out. response:	Later you will help me with a lot more.
context: Yup.\What is that?\This is all of the cards present!\Thank you to all of you for helping me\out when I'm in a bad situation.\I want to thank all of the cards\for always helping me out.\Later you will help me with a lot more. response:	I'
context: What is that?\This is all of the cards present!\Thank you to all of you for helping me\out when I'm in a bad situation.\I want to thank all of the cards\for always helping me out.\Later you will help me with a lot more.\I' response:	Before, I wanted to tell you something
context: This is all of the cards present!\Thank you to all of you for helping me\out when I'm in a bad situation.\I want to thank all of the cards\for always helping me out.\Later you will help me with a lot more.\I'\Before, I wanted to tell you something response:	What?
context: Thank you to all of you for helping me\out when I'm in a bad situation.\I want to thank all of the cards\for always helping me out.\Later you will help me with a lot more.\I'\Before, I wanted to tell you something\What? response:	You are always helping us
context: out when I'm in a bad situation.\I want to thank all of the cards\for always helping me out.\Later you will help me with a lot more.\I'\Before, I wanted to tell you something\What?\You are always helping us response:	and changing us to new cards.
