context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures). response:	Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question
context: but she's definitely my sister.\My father always used to tell me that I had a sister...\Oh, really? He used to say that?\I thought I remembered hearing that you only knew about her existence since only recently...\Shit!\Oh no, that was my mistake.\I was able to get in touch with my father.\Then he said she was definitely his daughter... response:	I see.
context: My father always used to tell me that I had a sister...\Oh, really? He used to say that?\I thought I remembered hearing that you only knew about her existence since only recently...\Shit!\Oh no, that was my mistake.\I was able to get in touch with my father.\Then he said she was definitely his daughter...\I see. response:	So your father is coming back.
context: Oh, really? He used to say that?\I thought I remembered hearing that you only knew about her existence since only recently...\Shit!\Oh no, that was my mistake.\I was able to get in touch with my father.\Then he said she was definitely his daughter...\I see.\So your father is coming back. response:	Shit, shit!
context: I thought I remembered hearing that you only knew about her existence since only recently...\Shit!\Oh no, that was my mistake.\I was able to get in touch with my father.\Then he said she was definitely his daughter...\I see.\So your father is coming back.\Shit, shit! response:	Uh no, he's not coming back...
context: Shit!\Oh no, that was my mistake.\I was able to get in touch with my father.\Then he said she was definitely his daughter...\I see.\So your father is coming back.\Shit, shit!\Uh no, he's not coming back... response:	Shut your mouth!
context: Oh no, that was my mistake.\I was able to get in touch with my father.\Then he said she was definitely his daughter...\I see.\So your father is coming back.\Shit, shit!\Uh no, he's not coming back...\Shut your mouth! response:	He's been studying too hard and his memory isn't really clear.
context: I was able to get in touch with my father.\Then he said she was definitely his daughter...\I see.\So your father is coming back.\Shit, shit!\Uh no, he's not coming back...\Shut your mouth!\He's been studying too hard and his memory isn't really clear. response:	You'll catch a cold like that, so please take a bath.
context: Then he said she was definitely his daughter...\I see.\So your father is coming back.\Shit, shit!\Uh no, he's not coming back...\Shut your mouth!\He's been studying too hard and his memory isn't really clear.\You'll catch a cold like that, so please take a bath. response:	I've prepared a set of clothes in the living room, so please use it.
context: I see.\So your father is coming back.\Shit, shit!\Uh no, he's not coming back...\Shut your mouth!\He's been studying too hard and his memory isn't really clear.\You'll catch a cold like that, so please take a bath.\I've prepared a set of clothes in the living room, so please use it. response:	And so, Jin and I have to prepare dinner, so please excuse us.
context: So your father is coming back.\Shit, shit!\Uh no, he's not coming back...\Shut your mouth!\He's been studying too hard and his memory isn't really clear.\You'll catch a cold like that, so please take a bath.\I've prepared a set of clothes in the living room, so please use it.\And so, Jin and I have to prepare dinner, so please excuse us. response:	You really suck at lying!
context: Shit, shit!\Uh no, he's not coming back...\Shut your mouth!\He's been studying too hard and his memory isn't really clear.\You'll catch a cold like that, so please take a bath.\I've prepared a set of clothes in the living room, so please use it.\And so, Jin and I have to prepare dinner, so please excuse us.\You really suck at lying! response:	You should leave the consistency stuff to me!
context: Uh no, he's not coming back...\Shut your mouth!\He's been studying too hard and his memory isn't really clear.\You'll catch a cold like that, so please take a bath.\I've prepared a set of clothes in the living room, so please use it.\And so, Jin and I have to prepare dinner, so please excuse us.\You really suck at lying!\You should leave the consistency stuff to me! response:	Your lies are full of loopholes.
context: Shut your mouth!\He's been studying too hard and his memory isn't really clear.\You'll catch a cold like that, so please take a bath.\I've prepared a set of clothes in the living room, so please use it.\And so, Jin and I have to prepare dinner, so please excuse us.\You really suck at lying!\You should leave the consistency stuff to me!\Your lies are full of loopholes. response:	I cover it up with my great acting so there's no problem.
context: He's been studying too hard and his memory isn't really clear.\You'll catch a cold like that, so please take a bath.\I've prepared a set of clothes in the living room, so please use it.\And so, Jin and I have to prepare dinner, so please excuse us.\You really suck at lying!\You should leave the consistency stuff to me!\Your lies are full of loopholes.\I cover it up with my great acting so there's no problem. response:	Oh?
context: You'll catch a cold like that, so please take a bath.\I've prepared a set of clothes in the living room, so please use it.\And so, Jin and I have to prepare dinner, so please excuse us.\You really suck at lying!\You should leave the consistency stuff to me!\Your lies are full of loopholes.\I cover it up with my great acting so there's no problem.\Oh? response:	Since we've publicized that I'm your sister, we have to go on with me being your sister.
context: I've prepared a set of clothes in the living room, so please use it.\And so, Jin and I have to prepare dinner, so please excuse us.\You really suck at lying!\You should leave the consistency stuff to me!\Your lies are full of loopholes.\I cover it up with my great acting so there's no problem.\Oh?\Since we've publicized that I'm your sister, we have to go on with me being your sister. response:	I won't accept having to leave here because of your stupid errors.
context: And so, Jin and I have to prepare dinner, so please excuse us.\You really suck at lying!\You should leave the consistency stuff to me!\Your lies are full of loopholes.\I cover it up with my great acting so there's no problem.\Oh?\Since we've publicized that I'm your sister, we have to go on with me being your sister.\I won't accept having to leave here because of your stupid errors. response:	I know...
context: You really suck at lying!\You should leave the consistency stuff to me!\Your lies are full of loopholes.\I cover it up with my great acting so there's no problem.\Oh?\Since we've publicized that I'm your sister, we have to go on with me being your sister.\I won't accept having to leave here because of your stupid errors.\I know... response:	This house with only children and no parents is convenient.
context: You should leave the consistency stuff to me!\Your lies are full of loopholes.\I cover it up with my great acting so there's no problem.\Oh?\Since we've publicized that I'm your sister, we have to go on with me being your sister.\I won't accept having to leave here because of your stupid errors.\I know...\This house with only children and no parents is convenient. response:	You also let me do what I like as well.
context: Your lies are full of loopholes.\I cover it up with my great acting so there's no problem.\Oh?\Since we've publicized that I'm your sister, we have to go on with me being your sister.\I won't accept having to leave here because of your stupid errors.\I know...\This house with only children and no parents is convenient.\You also let me do what I like as well. response:	This is between us, but you seem to be able to support me financially as well.
context: I cover it up with my great acting so there's no problem.\Oh?\Since we've publicized that I'm your sister, we have to go on with me being your sister.\I won't accept having to leave here because of your stupid errors.\I know...\This house with only children and no parents is convenient.\You also let me do what I like as well.\This is between us, but you seem to be able to support me financially as well. response:	You just need to think about how to let me live comfortably.
context: Oh?\Since we've publicized that I'm your sister, we have to go on with me being your sister.\I won't accept having to leave here because of your stupid errors.\I know...\This house with only children and no parents is convenient.\You also let me do what I like as well.\This is between us, but you seem to be able to support me financially as well.\You just need to think about how to let me live comfortably. response:	What? What is this?!
context: Since we've publicized that I'm your sister, we have to go on with me being your sister.\I won't accept having to leave here because of your stupid errors.\I know...\This house with only children and no parents is convenient.\You also let me do what I like as well.\This is between us, but you seem to be able to support me financially as well.\You just need to think about how to let me live comfortably.\What? What is this?! response:	Being his sister was a lie?
context: I won't accept having to leave here because of your stupid errors.\I know...\This house with only children and no parents is convenient.\You also let me do what I like as well.\This is between us, but you seem to be able to support me financially as well.\You just need to think about how to let me live comfortably.\What? What is this?!\Being his sister was a lie? response:	Nagi-san is using this house for her convenience,
context: I know...\This house with only children and no parents is convenient.\You also let me do what I like as well.\This is between us, but you seem to be able to support me financially as well.\You just need to think about how to let me live comfortably.\What? What is this?!\Being his sister was a lie?\Nagi-san is using this house for her convenience, response:	and Jin loves her.
context: This house with only children and no parents is convenient.\You also let me do what I like as well.\This is between us, but you seem to be able to support me financially as well.\You just need to think about how to let me live comfortably.\What? What is this?!\Being his sister was a lie?\Nagi-san is using this house for her convenience,\and Jin loves her. response:	In other words, this...
context: You also let me do what I like as well.\This is between us, but you seem to be able to support me financially as well.\You just need to think about how to let me live comfortably.\What? What is this?!\Being his sister was a lie?\Nagi-san is using this house for her convenience,\and Jin loves her.\In other words, this... response:	If you want me to tease you some more, pay up!
context: This is between us, but you seem to be able to support me financially as well.\You just need to think about how to let me live comfortably.\What? What is this?!\Being his sister was a lie?\Nagi-san is using this house for her convenience,\and Jin loves her.\In other words, this...\If you want me to tease you some more, pay up! response:	You hopeless guy!
context: You just need to think about how to let me live comfortably.\What? What is this?!\Being his sister was a lie?\Nagi-san is using this house for her convenience,\and Jin loves her.\In other words, this...\If you want me to tease you some more, pay up!\You hopeless guy! response:	Hopeless!
context: What? What is this?!\Being his sister was a lie?\Nagi-san is using this house for her convenience,\and Jin loves her.\In other words, this...\If you want me to tease you some more, pay up!\You hopeless guy!\Hopeless! response:	Jin is secretly paying tribute to an evil woman!
context: Being his sister was a lie?\Nagi-san is using this house for her convenience,\and Jin loves her.\In other words, this...\If you want me to tease you some more, pay up!\You hopeless guy!\Hopeless!\Jin is secretly paying tribute to an evil woman! response:	So, please eat up.
context: Nagi-san is using this house for her convenience,\and Jin loves her.\In other words, this...\If you want me to tease you some more, pay up!\You hopeless guy!\Hopeless!\Jin is secretly paying tribute to an evil woman!\So, please eat up. response:	Itadakimasu.
context: and Jin loves her.\In other words, this...\If you want me to tease you some more, pay up!\You hopeless guy!\Hopeless!\Jin is secretly paying tribute to an evil woman!\So, please eat up.\Itadakimasu. response:	Itadakimasu!
context: In other words, this...\If you want me to tease you some more, pay up!\You hopeless guy!\Hopeless!\Jin is secretly paying tribute to an evil woman!\So, please eat up.\Itadakimasu.\Itadakimasu! response:	Behind her innocent mask, she's actually...
context: If you want me to tease you some more, pay up!\You hopeless guy!\Hopeless!\Jin is secretly paying tribute to an evil woman!\So, please eat up.\Itadakimasu.\Itadakimasu!\Behind her innocent mask, she's actually... response:	I will discipline you!
context: You hopeless guy!\Hopeless!\Jin is secretly paying tribute to an evil woman!\So, please eat up.\Itadakimasu.\Itadakimasu!\Behind her innocent mask, she's actually...\I will discipline you! response:	You mongrel, you mongrel!
context: Hopeless!\Jin is secretly paying tribute to an evil woman!\So, please eat up.\Itadakimasu.\Itadakimasu!\Behind her innocent mask, she's actually...\I will discipline you!\You mongrel, you mongrel! response:	Scary!
context: Jin is secretly paying tribute to an evil woman!\So, please eat up.\Itadakimasu.\Itadakimasu!\Behind her innocent mask, she's actually...\I will discipline you!\You mongrel, you mongrel!\Scary! response:	But I shall not be defeated!
context: So, please eat up.\Itadakimasu.\Itadakimasu!\Behind her innocent mask, she's actually...\I will discipline you!\You mongrel, you mongrel!\Scary!\But I shall not be defeated! response:	I will protect Jin!
context: Itadakimasu.\Itadakimasu!\Behind her innocent mask, she's actually...\I will discipline you!\You mongrel, you mongrel!\Scary!\But I shall not be defeated!\I will protect Jin! response:	Oh Daitetsu, you don't have to be that reserved.
context: Itadakimasu!\Behind her innocent mask, she's actually...\I will discipline you!\You mongrel, you mongrel!\Scary!\But I shall not be defeated!\I will protect Jin!\Oh Daitetsu, you don't have to be that reserved. response:	It wasn't Nagi who made this.
context: Behind her innocent mask, she's actually...\I will discipline you!\You mongrel, you mongrel!\Scary!\But I shall not be defeated!\I will protect Jin!\Oh Daitetsu, you don't have to be that reserved.\It wasn't Nagi who made this. response:	It's pouch-packed.
context: I will discipline you!\You mongrel, you mongrel!\Scary!\But I shall not be defeated!\I will protect Jin!\Oh Daitetsu, you don't have to be that reserved.\It wasn't Nagi who made this.\It's pouch-packed. response:	See, isn't he suspicious of us?
context: You mongrel, you mongrel!\Scary!\But I shall not be defeated!\I will protect Jin!\Oh Daitetsu, you don't have to be that reserved.\It wasn't Nagi who made this.\It's pouch-packed.\See, isn't he suspicious of us? response:	Well, he always look this fierce...
context: Scary!\But I shall not be defeated!\I will protect Jin!\Oh Daitetsu, you don't have to be that reserved.\It wasn't Nagi who made this.\It's pouch-packed.\See, isn't he suspicious of us?\Well, he always look this fierce... response:	I wonder.
context: But I shall not be defeated!\I will protect Jin!\Oh Daitetsu, you don't have to be that reserved.\It wasn't Nagi who made this.\It's pouch-packed.\See, isn't he suspicious of us?\Well, he always look this fierce...\I wonder. response:	Let's act like we're siblings from a happy family scene.
context: I will protect Jin!\Oh Daitetsu, you don't have to be that reserved.\It wasn't Nagi who made this.\It's pouch-packed.\See, isn't he suspicious of us?\Well, he always look this fierce...\I wonder.\Let's act like we're siblings from a happy family scene. response:	I guess so...
context: Oh Daitetsu, you don't have to be that reserved.\It wasn't Nagi who made this.\It's pouch-packed.\See, isn't he suspicious of us?\Well, he always look this fierce...\I wonder.\Let's act like we're siblings from a happy family scene.\I guess so... response:	Jin, you're being rude.
context: It wasn't Nagi who made this.\It's pouch-packed.\See, isn't he suspicious of us?\Well, he always look this fierce...\I wonder.\Let's act like we're siblings from a happy family scene.\I guess so...\Jin, you're being rude. response:	You have a grain of rice stuck on your cheek.
context: It's pouch-packed.\See, isn't he suspicious of us?\Well, he always look this fierce...\I wonder.\Let's act like we're siblings from a happy family scene.\I guess so...\Jin, you're being rude.\You have a grain of rice stuck on your cheek. response:	That's dirty, Oneesan!
context: See, isn't he suspicious of us?\Well, he always look this fierce...\I wonder.\Let's act like we're siblings from a happy family scene.\I guess so...\Jin, you're being rude.\You have a grain of rice stuck on your cheek.\That's dirty, Oneesan! response:	You deserve to be struck by lightning.
context: Well, he always look this fierce...\I wonder.\Let's act like we're siblings from a happy family scene.\I guess so...\Jin, you're being rude.\You have a grain of rice stuck on your cheek.\That's dirty, Oneesan!\You deserve to be struck by lightning. response:	It is a waste of rice.
context: I wonder.\Let's act like we're siblings from a happy family scene.\I guess so...\Jin, you're being rude.\You have a grain of rice stuck on your cheek.\That's dirty, Oneesan!\You deserve to be struck by lightning.\It is a waste of rice. response:	Well, that's true, but...
context: Let's act like we're siblings from a happy family scene.\I guess so...\Jin, you're being rude.\You have a grain of rice stuck on your cheek.\That's dirty, Oneesan!\You deserve to be struck by lightning.\It is a waste of rice.\Well, that's true, but... response:	Besides, they say that seven gods reside in a single grain of rice.
context: I guess so...\Jin, you're being rude.\You have a grain of rice stuck on your cheek.\That's dirty, Oneesan!\You deserve to be struck by lightning.\It is a waste of rice.\Well, that's true, but...\Besides, they say that seven gods reside in a single grain of rice. response:	You must consume them while greatly thanking the gods from above.
context: Jin, you're being rude.\You have a grain of rice stuck on your cheek.\That's dirty, Oneesan!\You deserve to be struck by lightning.\It is a waste of rice.\Well, that's true, but...\Besides, they say that seven gods reside in a single grain of rice.\You must consume them while greatly thanking the gods from above. response:	Look, there's another one here.
context: You have a grain of rice stuck on your cheek.\That's dirty, Oneesan!\You deserve to be struck by lightning.\It is a waste of rice.\Well, that's true, but...\Besides, they say that seven gods reside in a single grain of rice.\You must consume them while greatly thanking the gods from above.\Look, there's another one here. response:	I can do it myself, Oneesan!
context: That's dirty, Oneesan!\You deserve to be struck by lightning.\It is a waste of rice.\Well, that's true, but...\Besides, they say that seven gods reside in a single grain of rice.\You must consume them while greatly thanking the gods from above.\Look, there's another one here.\I can do it myself, Oneesan! response:	No.
context: You deserve to be struck by lightning.\It is a waste of rice.\Well, that's true, but...\Besides, they say that seven gods reside in a single grain of rice.\You must consume them while greatly thanking the gods from above.\Look, there's another one here.\I can do it myself, Oneesan!\No. response:	But well...
context: It is a waste of rice.\Well, that's true, but...\Besides, they say that seven gods reside in a single grain of rice.\You must consume them while greatly thanking the gods from above.\Look, there's another one here.\I can do it myself, Oneesan!\No.\But well... response:	Didn't that just have the complete opposite effect?
context: Well, that's true, but...\Besides, they say that seven gods reside in a single grain of rice.\You must consume them while greatly thanking the gods from above.\Look, there's another one here.\I can do it myself, Oneesan!\No.\But well...\Didn't that just have the complete opposite effect? response:	I did it just like they did in TV anime.
context: Besides, they say that seven gods reside in a single grain of rice.\You must consume them while greatly thanking the gods from above.\Look, there's another one here.\I can do it myself, Oneesan!\No.\But well...\Didn't that just have the complete opposite effect?\I did it just like they did in TV anime. response:	Wait, is this something I should be getting involved in?
context: You must consume them while greatly thanking the gods from above.\Look, there's another one here.\I can do it myself, Oneesan!\No.\But well...\Didn't that just have the complete opposite effect?\I did it just like they did in TV anime.\Wait, is this something I should be getting involved in? response:	This is between a man and a woman.
context: Look, there's another one here.\I can do it myself, Oneesan!\No.\But well...\Didn't that just have the complete opposite effect?\I did it just like they did in TV anime.\Wait, is this something I should be getting involved in?\This is between a man and a woman. response:	If I intervene and mess things up...
context: I can do it myself, Oneesan!\No.\But well...\Didn't that just have the complete opposite effect?\I did it just like they did in TV anime.\Wait, is this something I should be getting involved in?\This is between a man and a woman.\If I intervene and mess things up... response:	Umm well...
context: No.\But well...\Didn't that just have the complete opposite effect?\I did it just like they did in TV anime.\Wait, is this something I should be getting involved in?\This is between a man and a woman.\If I intervene and mess things up...\Umm well... response:	Did this come out of the closet just now?
context: But well...\Didn't that just have the complete opposite effect?\I did it just like they did in TV anime.\Wait, is this something I should be getting involved in?\This is between a man and a woman.\If I intervene and mess things up...\Umm well...\Did this come out of the closet just now? response:	This is the Spirit of the Tree statue you were planning to exhibit in the city contest.
context: Didn't that just have the complete opposite effect?\I did it just like they did in TV anime.\Wait, is this something I should be getting involved in?\This is between a man and a woman.\If I intervene and mess things up...\Umm well...\Did this come out of the closet just now?\This is the Spirit of the Tree statue you were planning to exhibit in the city contest. response:	Don't tell me this guy...!
context: I did it just like they did in TV anime.\Wait, is this something I should be getting involved in?\This is between a man and a woman.\If I intervene and mess things up...\Umm well...\Did this come out of the closet just now?\This is the Spirit of the Tree statue you were planning to exhibit in the city contest.\Don't tell me this guy...! response:	Come to think of it, the face on this statue...
context: Wait, is this something I should be getting involved in?\This is between a man and a woman.\If I intervene and mess things up...\Umm well...\Did this come out of the closet just now?\This is the Spirit of the Tree statue you were planning to exhibit in the city contest.\Don't tell me this guy...!\Come to think of it, the face on this statue... response:	Not at all!
context: This is between a man and a woman.\If I intervene and mess things up...\Umm well...\Did this come out of the closet just now?\This is the Spirit of the Tree statue you were planning to exhibit in the city contest.\Don't tell me this guy...!\Come to think of it, the face on this statue...\Not at all! response:	Hey, is this Nagi-san?
context: If I intervene and mess things up...\Umm well...\Did this come out of the closet just now?\This is the Spirit of the Tree statue you were planning to exhibit in the city contest.\Don't tell me this guy...!\Come to think of it, the face on this statue...\Not at all!\Hey, is this Nagi-san? response:	He notices it!
context: Umm well...\Did this come out of the closet just now?\This is the Spirit of the Tree statue you were planning to exhibit in the city contest.\Don't tell me this guy...!\Come to think of it, the face on this statue...\Not at all!\Hey, is this Nagi-san?\He notices it! response:	Then, no more hiding and escaping!
context: Did this come out of the closet just now?\This is the Spirit of the Tree statue you were planning to exhibit in the city contest.\Don't tell me this guy...!\Come to think of it, the face on this statue...\Not at all!\Hey, is this Nagi-san?\He notices it!\Then, no more hiding and escaping! response:	I shall be prepared.
context: This is the Spirit of the Tree statue you were planning to exhibit in the city contest.\Don't tell me this guy...!\Come to think of it, the face on this statue...\Not at all!\Hey, is this Nagi-san?\He notices it!\Then, no more hiding and escaping!\I shall be prepared. response:	Yes, that statue is me!
context: Don't tell me this guy...!\Come to think of it, the face on this statue...\Not at all!\Hey, is this Nagi-san?\He notices it!\Then, no more hiding and escaping!\I shall be prepared.\Yes, that statue is me! response:	It is me who is the Spirit of the Tree.
context: Come to think of it, the face on this statue...\Not at all!\Hey, is this Nagi-san?\He notices it!\Then, no more hiding and escaping!\I shall be prepared.\Yes, that statue is me!\It is me who is the Spirit of the Tree. response:	So it was like that.
context: Not at all!\Hey, is this Nagi-san?\He notices it!\Then, no more hiding and escaping!\I shall be prepared.\Yes, that statue is me!\It is me who is the Spirit of the Tree.\So it was like that. response:	So Nagi-san was the model.
context: Hey, is this Nagi-san?\He notices it!\Then, no more hiding and escaping!\I shall be prepared.\Yes, that statue is me!\It is me who is the Spirit of the Tree.\So it was like that.\So Nagi-san was the model. response:	He interpreted it like that?
context: He notices it!\Then, no more hiding and escaping!\I shall be prepared.\Yes, that statue is me!\It is me who is the Spirit of the Tree.\So it was like that.\So Nagi-san was the model.\He interpreted it like that? response:	What happened to that statue in the end?
context: Then, no more hiding and escaping!\I shall be prepared.\Yes, that statue is me!\It is me who is the Spirit of the Tree.\So it was like that.\So Nagi-san was the model.\He interpreted it like that?\What happened to that statue in the end? response:	Well, that was... umm...
context: I shall be prepared.\Yes, that statue is me!\It is me who is the Spirit of the Tree.\So it was like that.\So Nagi-san was the model.\He interpreted it like that?\What happened to that statue in the end?\Well, that was... umm... response:	I see. It didn't get finished.
context: Yes, that statue is me!\It is me who is the Spirit of the Tree.\So it was like that.\So Nagi-san was the model.\He interpreted it like that?\What happened to that statue in the end?\Well, that was... umm...\I see. It didn't get finished. response:	I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine.
context: It is me who is the Spirit of the Tree.\So it was like that.\So Nagi-san was the model.\He interpreted it like that?\What happened to that statue in the end?\Well, that was... umm...\I see. It didn't get finished.\I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine. response:	Don't worry about it.
context: So it was like that.\So Nagi-san was the model.\He interpreted it like that?\What happened to that statue in the end?\Well, that was... umm...\I see. It didn't get finished.\I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine.\Don't worry about it. response:	I didn't ask for the Holy Tree.
context: So Nagi-san was the model.\He interpreted it like that?\What happened to that statue in the end?\Well, that was... umm...\I see. It didn't get finished.\I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine.\Don't worry about it.\I didn't ask for the Holy Tree. response:	Huh? What do you mean?
context: He interpreted it like that?\What happened to that statue in the end?\Well, that was... umm...\I see. It didn't get finished.\I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine.\Don't worry about it.\I didn't ask for the Holy Tree.\Huh? What do you mean? response:	Well, since you said you wanted to turn the Spirit you met as a child into a piece of art,
context: What happened to that statue in the end?\Well, that was... umm...\I see. It didn't get finished.\I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine.\Don't worry about it.\I didn't ask for the Holy Tree.\Huh? What do you mean?\Well, since you said you wanted to turn the Spirit you met as a child into a piece of art, response:	I actually... stole it.
context: Well, that was... umm...\I see. It didn't get finished.\I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine.\Don't worry about it.\I didn't ask for the Holy Tree.\Huh? What do you mean?\Well, since you said you wanted to turn the Spirit you met as a child into a piece of art,\I actually... stole it. response:	Really?
context: I see. It didn't get finished.\I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine.\Don't worry about it.\I didn't ask for the Holy Tree.\Huh? What do you mean?\Well, since you said you wanted to turn the Spirit you met as a child into a piece of art,\I actually... stole it.\Really? response:	You did that for me?
context: I'm sorry, since you went through the trouble of getting me the Holy Tree from the shrine.\Don't worry about it.\I didn't ask for the Holy Tree.\Huh? What do you mean?\Well, since you said you wanted to turn the Spirit you met as a child into a piece of art,\I actually... stole it.\Really?\You did that for me? response:	I'm sorry about that.
context: Don't worry about it.\I didn't ask for the Holy Tree.\Huh? What do you mean?\Well, since you said you wanted to turn the Spirit you met as a child into a piece of art,\I actually... stole it.\Really?\You did that for me?\I'm sorry about that. response:	I just thought I wanted to play a role in your passion.
context: I didn't ask for the Holy Tree.\Huh? What do you mean?\Well, since you said you wanted to turn the Spirit you met as a child into a piece of art,\I actually... stole it.\Really?\You did that for me?\I'm sorry about that.\I just thought I wanted to play a role in your passion. response:	So the sacred tree I secretly stole from the shrine...!
context: Huh? What do you mean?\Well, since you said you wanted to turn the Spirit you met as a child into a piece of art,\I actually... stole it.\Really?\You did that for me?\I'm sorry about that.\I just thought I wanted to play a role in your passion.\So the sacred tree I secretly stole from the shrine...! response:	You deserve to be struck by lightning!
context: Well, since you said you wanted to turn the Spirit you met as a child into a piece of art,\I actually... stole it.\Really?\You did that for me?\I'm sorry about that.\I just thought I wanted to play a role in your passion.\So the sacred tree I secretly stole from the shrine...!\You deserve to be struck by lightning! response:	Huh? Deja vu?
context: I actually... stole it.\Really?\You did that for me?\I'm sorry about that.\I just thought I wanted to play a role in your passion.\So the sacred tree I secretly stole from the shrine...!\You deserve to be struck by lightning!\Huh? Deja vu? response:	You stole it?!
context: Really?\You did that for me?\I'm sorry about that.\I just thought I wanted to play a role in your passion.\So the sacred tree I secretly stole from the shrine...!\You deserve to be struck by lightning!\Huh? Deja vu?\You stole it?! response:	Well, the construction people said they just were going to burn it.
context: You did that for me?\I'm sorry about that.\I just thought I wanted to play a role in your passion.\So the sacred tree I secretly stole from the shrine...!\You deserve to be struck by lightning!\Huh? Deja vu?\You stole it?!\Well, the construction people said they just were going to burn it. response:	I thought it would be a waste and-
context: I'm sorry about that.\I just thought I wanted to play a role in your passion.\So the sacred tree I secretly stole from the shrine...!\You deserve to be struck by lightning!\Huh? Deja vu?\You stole it?!\Well, the construction people said they just were going to burn it.\I thought it would be a waste and- response:	That's called purifying by burning.
context: I just thought I wanted to play a role in your passion.\So the sacred tree I secretly stole from the shrine...!\You deserve to be struck by lightning!\Huh? Deja vu?\You stole it?!\Well, the construction people said they just were going to burn it.\I thought it would be a waste and-\That's called purifying by burning. response:	It means it would be disposed of ceremoniously.
context: So the sacred tree I secretly stole from the shrine...!\You deserve to be struck by lightning!\Huh? Deja vu?\You stole it?!\Well, the construction people said they just were going to burn it.\I thought it would be a waste and-\That's called purifying by burning.\It means it would be disposed of ceremoniously. response:	Oh, really?
context: You deserve to be struck by lightning!\Huh? Deja vu?\You stole it?!\Well, the construction people said they just were going to burn it.\I thought it would be a waste and-\That's called purifying by burning.\It means it would be disposed of ceremoniously.\Oh, really? response:	So you were the culprit who gave the sacred tree to Jin.
context: Huh? Deja vu?\You stole it?!\Well, the construction people said they just were going to burn it.\I thought it would be a waste and-\That's called purifying by burning.\It means it would be disposed of ceremoniously.\Oh, really?\So you were the culprit who gave the sacred tree to Jin. response:	You thief!
context: You stole it?!\Well, the construction people said they just were going to burn it.\I thought it would be a waste and-\That's called purifying by burning.\It means it would be disposed of ceremoniously.\Oh, really?\So you were the culprit who gave the sacred tree to Jin.\You thief! response:	A thief?
context: Well, the construction people said they just were going to burn it.\I thought it would be a waste and-\That's called purifying by burning.\It means it would be disposed of ceremoniously.\Oh, really?\So you were the culprit who gave the sacred tree to Jin.\You thief!\A thief? response:	I was only doing it for Jin...
context: I thought it would be a waste and-\That's called purifying by burning.\It means it would be disposed of ceremoniously.\Oh, really?\So you were the culprit who gave the sacred tree to Jin.\You thief!\A thief?\I was only doing it for Jin... response:	Shut up! What do you think a sacred tree is?!
context: That's called purifying by burning.\It means it would be disposed of ceremoniously.\Oh, really?\So you were the culprit who gave the sacred tree to Jin.\You thief!\A thief?\I was only doing it for Jin...\Shut up! What do you think a sacred tree is?! response:	Why is Nagi-san so mad?
context: It means it would be disposed of ceremoniously.\Oh, really?\So you were the culprit who gave the sacred tree to Jin.\You thief!\A thief?\I was only doing it for Jin...\Shut up! What do you think a sacred tree is?!\Why is Nagi-san so mad? response:	Even if she is an occult maniac, this is too outrageous!
context: Oh, really?\So you were the culprit who gave the sacred tree to Jin.\You thief!\A thief?\I was only doing it for Jin...\Shut up! What do you think a sacred tree is?!\Why is Nagi-san so mad?\Even if she is an occult maniac, this is too outrageous! response:	This woman!
context: So you were the culprit who gave the sacred tree to Jin.\You thief!\A thief?\I was only doing it for Jin...\Shut up! What do you think a sacred tree is?!\Why is Nagi-san so mad?\Even if she is an occult maniac, this is too outrageous!\This woman! response:	This man!
context: You thief!\A thief?\I was only doing it for Jin...\Shut up! What do you think a sacred tree is?!\Why is Nagi-san so mad?\Even if she is an occult maniac, this is too outrageous!\This woman!\This man! response:	I hate her!
context: A thief?\I was only doing it for Jin...\Shut up! What do you think a sacred tree is?!\Why is Nagi-san so mad?\Even if she is an occult maniac, this is too outrageous!\This woman!\This man!\I hate her! response:	I hate him!
context: I was only doing it for Jin...\Shut up! What do you think a sacred tree is?!\Why is Nagi-san so mad?\Even if she is an occult maniac, this is too outrageous!\This woman!\This man!\I hate her!\I hate him! response:	You will be cursed.
context: Shut up! What do you think a sacred tree is?!\Why is Nagi-san so mad?\Even if she is an occult maniac, this is too outrageous!\This woman!\This man!\I hate her!\I hate him!\You will be cursed. response:	According to my research, those who steal the vessel of a god have a high probability of being cursed.
context: Why is Nagi-san so mad?\Even if she is an occult maniac, this is too outrageous!\This woman!\This man!\I hate her!\I hate him!\You will be cursed.\According to my research, those who steal the vessel of a god have a high probability of being cursed. response:	Being involved in accidents and criminal incidents.
context: Even if she is an occult maniac, this is too outrageous!\This woman!\This man!\I hate her!\I hate him!\You will be cursed.\According to my research, those who steal the vessel of a god have a high probability of being cursed.\Being involved in accidents and criminal incidents. response:	Strange phenomena and cases where they are sickened and eventually die. Cases like those aren't uncommon.
