context: No way. response:	When I went to see her the other day, we talked like always.
context: Listen, Doctor...\We all need someone to kiss us goodbye.\Her pulse is stable.\Anesthesia induction complete.\We're going to begin the surgery now.\Bravo!\Igawa-san!\You've won... You couldn't have played better, Emi! response:	All I can do is sigh.
context: We all need someone to kiss us goodbye.\Her pulse is stable.\Anesthesia induction complete.\We're going to begin the surgery now.\Bravo!\Igawa-san!\You've won... You couldn't have played better, Emi!\All I can do is sigh. response:	Brother gave a great performance, too, but on another level, she didn't concede an inch!
context: Her pulse is stable.\Anesthesia induction complete.\We're going to begin the surgery now.\Bravo!\Igawa-san!\You've won... You couldn't have played better, Emi!\All I can do is sigh.\Brother gave a great performance, too, but on another level, she didn't concede an inch! response:	I see... So this person is ahead of me on the path I want to follow.
context: Anesthesia induction complete.\We're going to begin the surgery now.\Bravo!\Igawa-san!\You've won... You couldn't have played better, Emi!\All I can do is sigh.\Brother gave a great performance, too, but on another level, she didn't concede an inch!\I see... So this person is ahead of me on the path I want to follow. response:	That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell.
context: We're going to begin the surgery now.\Bravo!\Igawa-san!\You've won... You couldn't have played better, Emi!\All I can do is sigh.\Brother gave a great performance, too, but on another level, she didn't concede an inch!\I see... So this person is ahead of me on the path I want to follow.\That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell. response:	Artistic impression's all that separates them now...
context: Bravo!\Igawa-san!\You've won... You couldn't have played better, Emi!\All I can do is sigh.\Brother gave a great performance, too, but on another level, she didn't concede an inch!\I see... So this person is ahead of me on the path I want to follow.\That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell.\Artistic impression's all that separates them now... response:	You're certainly putting on the finishing touches. You damned witch.
context: Igawa-san!\You've won... You couldn't have played better, Emi!\All I can do is sigh.\Brother gave a great performance, too, but on another level, she didn't concede an inch!\I see... So this person is ahead of me on the path I want to follow.\That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell.\Artistic impression's all that separates them now...\You're certainly putting on the finishing touches. You damned witch. response:	This district is unbelievable.
context: You've won... You couldn't have played better, Emi!\All I can do is sigh.\Brother gave a great performance, too, but on another level, she didn't concede an inch!\I see... So this person is ahead of me on the path I want to follow.\That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell.\Artistic impression's all that separates them now...\You're certainly putting on the finishing touches. You damned witch.\This district is unbelievable. response:	There are actually two prodigies. Wonder which one's gonna win?
context: All I can do is sigh.\Brother gave a great performance, too, but on another level, she didn't concede an inch!\I see... So this person is ahead of me on the path I want to follow.\That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell.\Artistic impression's all that separates them now...\You're certainly putting on the finishing touches. You damned witch.\This district is unbelievable.\There are actually two prodigies. Wonder which one's gonna win? response:	Oh, amateurs!
context: Brother gave a great performance, too, but on another level, she didn't concede an inch!\I see... So this person is ahead of me on the path I want to follow.\That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell.\Artistic impression's all that separates them now...\You're certainly putting on the finishing touches. You damned witch.\This district is unbelievable.\There are actually two prodigies. Wonder which one's gonna win?\Oh, amateurs! response:	The greatest pianist of all has yet to play, you know.
context: I see... So this person is ahead of me on the path I want to follow.\That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell.\Artistic impression's all that separates them now...\You're certainly putting on the finishing touches. You damned witch.\This district is unbelievable.\There are actually two prodigies. Wonder which one's gonna win?\Oh, amateurs!\The greatest pianist of all has yet to play, you know. response:	Huh? Miike?
context: That was splendid. I thought that Takeshi would be the runaway favorite, but there's no way to tell.\Artistic impression's all that separates them now...\You're certainly putting on the finishing touches. You damned witch.\This district is unbelievable.\There are actually two prodigies. Wonder which one's gonna win?\Oh, amateurs!\The greatest pianist of all has yet to play, you know.\Huh? Miike? response:	As always, so adept at fanning the flames of determination, that Ms. Ochiai.
context: Artistic impression's all that separates them now...\You're certainly putting on the finishing touches. You damned witch.\This district is unbelievable.\There are actually two prodigies. Wonder which one's gonna win?\Oh, amateurs!\The greatest pianist of all has yet to play, you know.\Huh? Miike?\As always, so adept at fanning the flames of determination, that Ms. Ochiai. response:	Ms. Seto, how was he? Mr. Arima?
context: You're certainly putting on the finishing touches. You damned witch.\This district is unbelievable.\There are actually two prodigies. Wonder which one's gonna win?\Oh, amateurs!\The greatest pianist of all has yet to play, you know.\Huh? Miike?\As always, so adept at fanning the flames of determination, that Ms. Ochiai.\Ms. Seto, how was he? Mr. Arima? response:	Oh, awful.
context: This district is unbelievable.\There are actually two prodigies. Wonder which one's gonna win?\Oh, amateurs!\The greatest pianist of all has yet to play, you know.\Huh? Miike?\As always, so adept at fanning the flames of determination, that Ms. Ochiai.\Ms. Seto, how was he? Mr. Arima?\Oh, awful. response:	I brought him to the venue, but who knows if he can play decently.
context: There are actually two prodigies. Wonder which one's gonna win?\Oh, amateurs!\The greatest pianist of all has yet to play, you know.\Huh? Miike?\As always, so adept at fanning the flames of determination, that Ms. Ochiai.\Ms. Seto, how was he? Mr. Arima?\Oh, awful.\I brought him to the venue, but who knows if he can play decently. response:	He's reverted to that state from two years ago.
context: Oh, amateurs!\The greatest pianist of all has yet to play, you know.\Huh? Miike?\As always, so adept at fanning the flames of determination, that Ms. Ochiai.\Ms. Seto, how was he? Mr. Arima?\Oh, awful.\I brought him to the venue, but who knows if he can play decently.\He's reverted to that state from two years ago. response:	It's not even a matter of how he does in this competition anymore.
context: The greatest pianist of all has yet to play, you know.\Huh? Miike?\As always, so adept at fanning the flames of determination, that Ms. Ochiai.\Ms. Seto, how was he? Mr. Arima?\Oh, awful.\I brought him to the venue, but who knows if he can play decently.\He's reverted to that state from two years ago.\It's not even a matter of how he does in this competition anymore. response:	He might very well be finished as a pianist, too.
context: Huh? Miike?\As always, so adept at fanning the flames of determination, that Ms. Ochiai.\Ms. Seto, how was he? Mr. Arima?\Oh, awful.\I brought him to the venue, but who knows if he can play decently.\He's reverted to that state from two years ago.\It's not even a matter of how he does in this competition anymore.\He might very well be finished as a pianist, too. response:	I'm at my wits' end...
context: As always, so adept at fanning the flames of determination, that Ms. Ochiai.\Ms. Seto, how was he? Mr. Arima?\Oh, awful.\I brought him to the venue, but who knows if he can play decently.\He's reverted to that state from two years ago.\It's not even a matter of how he does in this competition anymore.\He might very well be finished as a pianist, too.\I'm at my wits' end... response:	Good job!
context: Ms. Seto, how was he? Mr. Arima?\Oh, awful.\I brought him to the venue, but who knows if he can play decently.\He's reverted to that state from two years ago.\It's not even a matter of how he does in this competition anymore.\He might very well be finished as a pianist, too.\I'm at my wits' end...\Good job! response:	You were good!
context: Oh, awful.\I brought him to the venue, but who knows if he can play decently.\He's reverted to that state from two years ago.\It's not even a matter of how he does in this competition anymore.\He might very well be finished as a pianist, too.\I'm at my wits' end...\Good job!\You were good! response:	Did you see that, Takeshi? Arima?
context: I brought him to the venue, but who knows if he can play decently.\He's reverted to that state from two years ago.\It's not even a matter of how he does in this competition anymore.\He might very well be finished as a pianist, too.\I'm at my wits' end...\Good job!\You were good!\Did you see that, Takeshi? Arima? response:	Hey, what's the matter?
context: He's reverted to that state from two years ago.\It's not even a matter of how he does in this competition anymore.\He might very well be finished as a pianist, too.\I'm at my wits' end...\Good job!\You were good!\Did you see that, Takeshi? Arima?\Hey, what's the matter? response:	You're not feeling well?
context: It's not even a matter of how he does in this competition anymore.\He might very well be finished as a pianist, too.\I'm at my wits' end...\Good job!\You were good!\Did you see that, Takeshi? Arima?\Hey, what's the matter?\You're not feeling well? response:	Want me to get you some medicine? I can bring you an antacid right away.
context: He might very well be finished as a pianist, too.\I'm at my wits' end...\Good job!\You were good!\Did you see that, Takeshi? Arima?\Hey, what's the matter?\You're not feeling well?\Want me to get you some medicine? I can bring you an antacid right away. response:	Isn't he just getting himself focused?
context: I'm at my wits' end...\Good job!\You were good!\Did you see that, Takeshi? Arima?\Hey, what's the matter?\You're not feeling well?\Want me to get you some medicine? I can bring you an antacid right away.\Isn't he just getting himself focused? response:	Huh? Oh...
context: Good job!\You were good!\Did you see that, Takeshi? Arima?\Hey, what's the matter?\You're not feeling well?\Want me to get you some medicine? I can bring you an antacid right away.\Isn't he just getting himself focused?\Huh? Oh... response:	Yeah, but still...
context: You were good!\Did you see that, Takeshi? Arima?\Hey, what's the matter?\You're not feeling well?\Want me to get you some medicine? I can bring you an antacid right away.\Isn't he just getting himself focused?\Huh? Oh...\Yeah, but still... response:	Gotta play, gotta play, gotta play.
context: Did you see that, Takeshi? Arima?\Hey, what's the matter?\You're not feeling well?\Want me to get you some medicine? I can bring you an antacid right away.\Isn't he just getting himself focused?\Huh? Oh...\Yeah, but still...\Gotta play, gotta play, gotta play. response:	Operation in Progress
context: Hey, what's the matter?\You're not feeling well?\Want me to get you some medicine? I can bring you an antacid right away.\Isn't he just getting himself focused?\Huh? Oh...\Yeah, but still...\Gotta play, gotta play, gotta play.\Operation in Progress response:	Arima will be up soon.
context: You're not feeling well?\Want me to get you some medicine? I can bring you an antacid right away.\Isn't he just getting himself focused?\Huh? Oh...\Yeah, but still...\Gotta play, gotta play, gotta play.\Operation in Progress\Arima will be up soon. response:	Arima!
context: Want me to get you some medicine? I can bring you an antacid right away.\Isn't he just getting himself focused?\Huh? Oh...\Yeah, but still...\Gotta play, gotta play, gotta play.\Operation in Progress\Arima will be up soon.\Arima! response:	Arima will be coming.
context: Isn't he just getting himself focused?\Huh? Oh...\Yeah, but still...\Gotta play, gotta play, gotta play.\Operation in Progress\Arima will be up soon.\Arima!\Arima will be coming. response:	Can't wait!
context: Huh? Oh...\Yeah, but still...\Gotta play, gotta play, gotta play.\Operation in Progress\Arima will be up soon.\Arima!\Arima will be coming.\Can't wait! response:	To hear the transformed genius!
context: Yeah, but still...\Gotta play, gotta play, gotta play.\Operation in Progress\Arima will be up soon.\Arima!\Arima will be coming.\Can't wait!\To hear the transformed genius! response:	No. 23, Kousei Arima.
context: Gotta play, gotta play, gotta play.\Operation in Progress\Arima will be up soon.\Arima!\Arima will be coming.\Can't wait!\To hear the transformed genius!\No. 23, Kousei Arima. response:	You're going on soon. Please stand by in the wings.
context: Operation in Progress\Arima will be up soon.\Arima!\Arima will be coming.\Can't wait!\To hear the transformed genius!\No. 23, Kousei Arima.\You're going on soon. Please stand by in the wings. response:	H-Hey. Are you okay?
context: Arima will be up soon.\Arima!\Arima will be coming.\Can't wait!\To hear the transformed genius!\No. 23, Kousei Arima.\You're going on soon. Please stand by in the wings.\H-Hey. Are you okay? response:	Yeah... I'm fine. I'm fine, all right?
context: Arima!\Arima will be coming.\Can't wait!\To hear the transformed genius!\No. 23, Kousei Arima.\You're going on soon. Please stand by in the wings.\H-Hey. Are you okay?\Yeah... I'm fine. I'm fine, all right? response:	You're fine? Your face couldn't be paler.
context: Arima will be coming.\Can't wait!\To hear the transformed genius!\No. 23, Kousei Arima.\You're going on soon. Please stand by in the wings.\H-Hey. Are you okay?\Yeah... I'm fine. I'm fine, all right?\You're fine? Your face couldn't be paler. response:	Anybody can see that you're not yourself.
context: Can't wait!\To hear the transformed genius!\No. 23, Kousei Arima.\You're going on soon. Please stand by in the wings.\H-Hey. Are you okay?\Yeah... I'm fine. I'm fine, all right?\You're fine? Your face couldn't be paler.\Anybody can see that you're not yourself. response:	Come on, let's go to the infirmary!
context: To hear the transformed genius!\No. 23, Kousei Arima.\You're going on soon. Please stand by in the wings.\H-Hey. Are you okay?\Yeah... I'm fine. I'm fine, all right?\You're fine? Your face couldn't be paler.\Anybody can see that you're not yourself.\Come on, let's go to the infirmary! response:	Sorry. But... I've got to play.
context: No. 23, Kousei Arima.\You're going on soon. Please stand by in the wings.\H-Hey. Are you okay?\Yeah... I'm fine. I'm fine, all right?\You're fine? Your face couldn't be paler.\Anybody can see that you're not yourself.\Come on, let's go to the infirmary!\Sorry. But... I've got to play. response:	Because I'm a pianist.
context: You're going on soon. Please stand by in the wings.\H-Hey. Are you okay?\Yeah... I'm fine. I'm fine, all right?\You're fine? Your face couldn't be paler.\Anybody can see that you're not yourself.\Come on, let's go to the infirmary!\Sorry. But... I've got to play.\Because I'm a pianist. response:	Because I promised.
context: H-Hey. Are you okay?\Yeah... I'm fine. I'm fine, all right?\You're fine? Your face couldn't be paler.\Anybody can see that you're not yourself.\Come on, let's go to the infirmary!\Sorry. But... I've got to play.\Because I'm a pianist.\Because I promised. response:	It's Arima!
context: Yeah... I'm fine. I'm fine, all right?\You're fine? Your face couldn't be paler.\Anybody can see that you're not yourself.\Come on, let's go to the infirmary!\Sorry. But... I've got to play.\Because I'm a pianist.\Because I promised.\It's Arima! response:	It's Arima-kun!
context: You're fine? Your face couldn't be paler.\Anybody can see that you're not yourself.\Come on, let's go to the infirmary!\Sorry. But... I've got to play.\Because I'm a pianist.\Because I promised.\It's Arima!\It's Arima-kun! response:	There he is! It's Arima-san!
context: Anybody can see that you're not yourself.\Come on, let's go to the infirmary!\Sorry. But... I've got to play.\Because I'm a pianist.\Because I promised.\It's Arima!\It's Arima-kun!\There he is! It's Arima-san! response:	Dude's not gonna pass out or anything, is he?
context: Come on, let's go to the infirmary!\Sorry. But... I've got to play.\Because I'm a pianist.\Because I promised.\It's Arima!\It's Arima-kun!\There he is! It's Arima-san!\Dude's not gonna pass out or anything, is he? response:	I made you remember something you don't want to remember.
context: Sorry. But... I've got to play.\Because I'm a pianist.\Because I promised.\It's Arima!\It's Arima-kun!\There he is! It's Arima-san!\Dude's not gonna pass out or anything, is he?\I made you remember something you don't want to remember. response:	A violinist who can't hold her own bow... that's pointless.
context: Because I'm a pianist.\Because I promised.\It's Arima!\It's Arima-kun!\There he is! It's Arima-san!\Dude's not gonna pass out or anything, is he?\I made you remember something you don't want to remember.\A violinist who can't hold her own bow... that's pointless. response:	I won't forget. I won't forget, even if I die.
context: Because I promised.\It's Arima!\It's Arima-kun!\There he is! It's Arima-san!\Dude's not gonna pass out or anything, is he?\I made you remember something you don't want to remember.\A violinist who can't hold her own bow... that's pointless.\I won't forget. I won't forget, even if I die. response:	I've got to play.
context: It's Arima!\It's Arima-kun!\There he is! It's Arima-san!\Dude's not gonna pass out or anything, is he?\I made you remember something you don't want to remember.\A violinist who can't hold her own bow... that's pointless.\I won't forget. I won't forget, even if I die.\I've got to play. response:	You can just forget about it all, like you've pressed the reset button.
context: It's Arima-kun!\There he is! It's Arima-san!\Dude's not gonna pass out or anything, is he?\I made you remember something you don't want to remember.\A violinist who can't hold her own bow... that's pointless.\I won't forget. I won't forget, even if I die.\I've got to play.\You can just forget about it all, like you've pressed the reset button. response:	I've got to play.
context: There he is! It's Arima-san!\Dude's not gonna pass out or anything, is he?\I made you remember something you don't want to remember.\A violinist who can't hold her own bow... that's pointless.\I won't forget. I won't forget, even if I die.\I've got to play.\You can just forget about it all, like you've pressed the reset button.\I've got to play. response:	I guess maybe we never should've met, huh?
context: Dude's not gonna pass out or anything, is he?\I made you remember something you don't want to remember.\A violinist who can't hold her own bow... that's pointless.\I won't forget. I won't forget, even if I die.\I've got to play.\You can just forget about it all, like you've pressed the reset button.\I've got to play.\I guess maybe we never should've met, huh? response:	I've got to play. I've got to play.
context: I made you remember something you don't want to remember.\A violinist who can't hold her own bow... that's pointless.\I won't forget. I won't forget, even if I die.\I've got to play.\You can just forget about it all, like you've pressed the reset button.\I've got to play.\I guess maybe we never should've met, huh?\I've got to play. I've got to play. response:	Because... I'm a pianist.
context: A violinist who can't hold her own bow... that's pointless.\I won't forget. I won't forget, even if I die.\I've got to play.\You can just forget about it all, like you've pressed the reset button.\I've got to play.\I guess maybe we never should've met, huh?\I've got to play. I've got to play.\Because... I'm a pianist. response:	Mr. Arima?
context: I won't forget. I won't forget, even if I die.\I've got to play.\You can just forget about it all, like you've pressed the reset button.\I've got to play.\I guess maybe we never should've met, huh?\I've got to play. I've got to play.\Because... I'm a pianist.\Mr. Arima? response:	Kousei!
context: I've got to play.\You can just forget about it all, like you've pressed the reset button.\I've got to play.\I guess maybe we never should've met, huh?\I've got to play. I've got to play.\Because... I'm a pianist.\Mr. Arima?\Kousei! response:	What's going on?
context: You can just forget about it all, like you've pressed the reset button.\I've got to play.\I guess maybe we never should've met, huh?\I've got to play. I've got to play.\Because... I'm a pianist.\Mr. Arima?\Kousei!\What's going on? response:	Is it the pressure?
context: I've got to play.\I guess maybe we never should've met, huh?\I've got to play. I've got to play.\Because... I'm a pianist.\Mr. Arima?\Kousei!\What's going on?\Is it the pressure? response:	It's getting to Arima?
context: I guess maybe we never should've met, huh?\I've got to play. I've got to play.\Because... I'm a pianist.\Mr. Arima?\Kousei!\What's going on?\Is it the pressure?\It's getting to Arima? response:	You're looking down again.
context: I've got to play. I've got to play.\Because... I'm a pianist.\Mr. Arima?\Kousei!\What's going on?\Is it the pressure?\It's getting to Arima?\You're looking down again. response:	Tsubaki, you dummy!
context: Because... I'm a pianist.\Mr. Arima?\Kousei!\What's going on?\Is it the pressure?\It's getting to Arima?\You're looking down again.\Tsubaki, you dummy! response:	I don't know you! I don't know you!
context: Mr. Arima?\Kousei!\What's going on?\Is it the pressure?\It's getting to Arima?\You're looking down again.\Tsubaki, you dummy!\I don't know you! I don't know you! response:	Tsubaki... You're here...
context: Kousei!\What's going on?\Is it the pressure?\It's getting to Arima?\You're looking down again.\Tsubaki, you dummy!\I don't know you! I don't know you!\Tsubaki... You're here... response:	I see.
context: What's going on?\Is it the pressure?\It's getting to Arima?\You're looking down again.\Tsubaki, you dummy!\I don't know you! I don't know you!\Tsubaki... You're here...\I see. response:	Everybody's... watching me.
context: Is it the pressure?\It's getting to Arima?\You're looking down again.\Tsubaki, you dummy!\I don't know you! I don't know you!\Tsubaki... You're here...\I see.\Everybody's... watching me. response:	This isn't just pesante...
context: It's getting to Arima?\You're looking down again.\Tsubaki, you dummy!\I don't know you! I don't know you!\Tsubaki... You're here...\I see.\Everybody's... watching me.\This isn't just pesante... response:	It sounds so deep, so unhurried.
context: You're looking down again.\Tsubaki, you dummy!\I don't know you! I don't know you!\Tsubaki... You're here...\I see.\Everybody's... watching me.\This isn't just pesante...\It sounds so deep, so unhurried. response:	Ah... What a remarkably rich sound...
context: Tsubaki, you dummy!\I don't know you! I don't know you!\Tsubaki... You're here...\I see.\Everybody's... watching me.\This isn't just pesante...\It sounds so deep, so unhurried.\Ah... What a remarkably rich sound... response:	Chopin's Ballade No. 1 in G Minor, Op. 23.
context: I don't know you! I don't know you!\Tsubaki... You're here...\I see.\Everybody's... watching me.\This isn't just pesante...\It sounds so deep, so unhurried.\Ah... What a remarkably rich sound...\Chopin's Ballade No. 1 in G Minor, Op. 23. response:	Like a whisper, like a show of affection, so gently...
context: Tsubaki... You're here...\I see.\Everybody's... watching me.\This isn't just pesante...\It sounds so deep, so unhurried.\Ah... What a remarkably rich sound...\Chopin's Ballade No. 1 in G Minor, Op. 23.\Like a whisper, like a show of affection, so gently... response:	The sound of Chopin's Ballade, emanating so sorrowfully.
context: I see.\Everybody's... watching me.\This isn't just pesante...\It sounds so deep, so unhurried.\Ah... What a remarkably rich sound...\Chopin's Ballade No. 1 in G Minor, Op. 23.\Like a whisper, like a show of affection, so gently...\The sound of Chopin's Ballade, emanating so sorrowfully. response:	You were thinking about a girl you like, right?
context: Everybody's... watching me.\This isn't just pesante...\It sounds so deep, so unhurried.\Ah... What a remarkably rich sound...\Chopin's Ballade No. 1 in G Minor, Op. 23.\Like a whisper, like a show of affection, so gently...\The sound of Chopin's Ballade, emanating so sorrowfully.\You were thinking about a girl you like, right? response:	You bet I was.
context: This isn't just pesante...\It sounds so deep, so unhurried.\Ah... What a remarkably rich sound...\Chopin's Ballade No. 1 in G Minor, Op. 23.\Like a whisper, like a show of affection, so gently...\The sound of Chopin's Ballade, emanating so sorrowfully.\You were thinking about a girl you like, right?\You bet I was. response:	For now, just play from your heart.
context: It sounds so deep, so unhurried.\Ah... What a remarkably rich sound...\Chopin's Ballade No. 1 in G Minor, Op. 23.\Like a whisper, like a show of affection, so gently...\The sound of Chopin's Ballade, emanating so sorrowfully.\You were thinking about a girl you like, right?\You bet I was.\For now, just play from your heart. response:	Inside my heart, it's all chaos.
context: Ah... What a remarkably rich sound...\Chopin's Ballade No. 1 in G Minor, Op. 23.\Like a whisper, like a show of affection, so gently...\The sound of Chopin's Ballade, emanating so sorrowfully.\You were thinking about a girl you like, right?\You bet I was.\For now, just play from your heart.\Inside my heart, it's all chaos. response:	What a cliche.
context: Chopin's Ballade No. 1 in G Minor, Op. 23.\Like a whisper, like a show of affection, so gently...\The sound of Chopin's Ballade, emanating so sorrowfully.\You were thinking about a girl you like, right?\You bet I was.\For now, just play from your heart.\Inside my heart, it's all chaos.\What a cliche. response:	It's not all bad, you know.
context: Like a whisper, like a show of affection, so gently...\The sound of Chopin's Ballade, emanating so sorrowfully.\You were thinking about a girl you like, right?\You bet I was.\For now, just play from your heart.\Inside my heart, it's all chaos.\What a cliche.\It's not all bad, you know. response:	Oh, come on. You've done nothing but play the piano.
context: The sound of Chopin's Ballade, emanating so sorrowfully.\You were thinking about a girl you like, right?\You bet I was.\For now, just play from your heart.\Inside my heart, it's all chaos.\What a cliche.\It's not all bad, you know.\Oh, come on. You've done nothing but play the piano. response:	Can't help that. I'm not good with words, remember?
context: You were thinking about a girl you like, right?\You bet I was.\For now, just play from your heart.\Inside my heart, it's all chaos.\What a cliche.\It's not all bad, you know.\Oh, come on. You've done nothing but play the piano.\Can't help that. I'm not good with words, remember? response:	Everybody's watching... The reason I'm here right now...
context: You bet I was.\For now, just play from your heart.\Inside my heart, it's all chaos.\What a cliche.\It's not all bad, you know.\Oh, come on. You've done nothing but play the piano.\Can't help that. I'm not good with words, remember?\Everybody's watching... The reason I'm here right now... response:	The people who played a part in my life. The people who made my life fuller.
context: For now, just play from your heart.\Inside my heart, it's all chaos.\What a cliche.\It's not all bad, you know.\Oh, come on. You've done nothing but play the piano.\Can't help that. I'm not good with words, remember?\Everybody's watching... The reason I'm here right now...\The people who played a part in my life. The people who made my life fuller. response:	I can't let them down.
context: Inside my heart, it's all chaos.\What a cliche.\It's not all bad, you know.\Oh, come on. You've done nothing but play the piano.\Can't help that. I'm not good with words, remember?\Everybody's watching... The reason I'm here right now...\The people who played a part in my life. The people who made my life fuller.\I can't let them down. response:	Hey, we're musicians. So everything's gotta be expressed in music, right?
context: What a cliche.\It's not all bad, you know.\Oh, come on. You've done nothing but play the piano.\Can't help that. I'm not good with words, remember?\Everybody's watching... The reason I'm here right now...\The people who played a part in my life. The people who made my life fuller.\I can't let them down.\Hey, we're musicians. So everything's gotta be expressed in music, right? response:	Yeah, Aiza.
context: It's not all bad, you know.\Oh, come on. You've done nothing but play the piano.\Can't help that. I'm not good with words, remember?\Everybody's watching... The reason I'm here right now...\The people who played a part in my life. The people who made my life fuller.\I can't let them down.\Hey, we're musicians. So everything's gotta be expressed in music, right?\Yeah, Aiza. response:	You're absolutely right.
context: Oh, come on. You've done nothing but play the piano.\Can't help that. I'm not good with words, remember?\Everybody's watching... The reason I'm here right now...\The people who played a part in my life. The people who made my life fuller.\I can't let them down.\Hey, we're musicians. So everything's gotta be expressed in music, right?\Yeah, Aiza.\You're absolutely right. response:	Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play.
context: Can't help that. I'm not good with words, remember?\Everybody's watching... The reason I'm here right now...\The people who played a part in my life. The people who made my life fuller.\I can't let them down.\Hey, we're musicians. So everything's gotta be expressed in music, right?\Yeah, Aiza.\You're absolutely right.\Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play. response:	Do you think I can do it?
context: Everybody's watching... The reason I'm here right now...\The people who played a part in my life. The people who made my life fuller.\I can't let them down.\Hey, we're musicians. So everything's gotta be expressed in music, right?\Yeah, Aiza.\You're absolutely right.\Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play.\Do you think I can do it? response:	No worries, no worries.
context: The people who played a part in my life. The people who made my life fuller.\I can't let them down.\Hey, we're musicians. So everything's gotta be expressed in music, right?\Yeah, Aiza.\You're absolutely right.\Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play.\Do you think I can do it?\No worries, no worries. response:	We'll figure it out.
context: I can't let them down.\Hey, we're musicians. So everything's gotta be expressed in music, right?\Yeah, Aiza.\You're absolutely right.\Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play.\Do you think I can do it?\No worries, no worries.\We'll figure it out. response:	Because we rule!
context: Hey, we're musicians. So everything's gotta be expressed in music, right?\Yeah, Aiza.\You're absolutely right.\Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play.\Do you think I can do it?\No worries, no worries.\We'll figure it out.\Because we rule! response:	Play. Play. That's who I am, how I'm going to live my life.
context: Yeah, Aiza.\You're absolutely right.\Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play.\Do you think I can do it?\No worries, no worries.\We'll figure it out.\Because we rule!\Play. Play. That's who I am, how I'm going to live my life. response:	Because I'm a pianist.
context: You're absolutely right.\Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play.\Do you think I can do it?\No worries, no worries.\We'll figure it out.\Because we rule!\Play. Play. That's who I am, how I'm going to live my life.\Because I'm a pianist. response:	Just like you...
context: Even if we're sad, or a total mess, even if we've hit rock bottom, we've still got to play.\Do you think I can do it?\No worries, no worries.\We'll figure it out.\Because we rule!\Play. Play. That's who I am, how I'm going to live my life.\Because I'm a pianist.\Just like you... response:	I'm a musician, after all!
context: Do you think I can do it?\No worries, no worries.\We'll figure it out.\Because we rule!\Play. Play. That's who I am, how I'm going to live my life.\Because I'm a pianist.\Just like you...\I'm a musician, after all! response:	Amazing!
context: No worries, no worries.\We'll figure it out.\Because we rule!\Play. Play. That's who I am, how I'm going to live my life.\Because I'm a pianist.\Just like you...\I'm a musician, after all!\Amazing! response:	This is incredible... Mr. Arima!
context: We'll figure it out.\Because we rule!\Play. Play. That's who I am, how I'm going to live my life.\Because I'm a pianist.\Just like you...\I'm a musician, after all!\Amazing!\This is incredible... Mr. Arima! response:	Mr. Arima, your life... Mr. Arima, your music...
context: Because we rule!\Play. Play. That's who I am, how I'm going to live my life.\Because I'm a pianist.\Just like you...\I'm a musician, after all!\Amazing!\This is incredible... Mr. Arima!\Mr. Arima, your life... Mr. Arima, your music... response:	It's taken on all this color!
context: Play. Play. That's who I am, how I'm going to live my life.\Because I'm a pianist.\Just like you...\I'm a musician, after all!\Amazing!\This is incredible... Mr. Arima!\Mr. Arima, your life... Mr. Arima, your music...\It's taken on all this color! response:	Kousei's performance is bursting with color.
context: Because I'm a pianist.\Just like you...\I'm a musician, after all!\Amazing!\This is incredible... Mr. Arima!\Mr. Arima, your life... Mr. Arima, your music...\It's taken on all this color!\Kousei's performance is bursting with color. response:	Snow
context: Just like you...\I'm a musician, after all!\Amazing!\This is incredible... Mr. Arima!\Mr. Arima, your life... Mr. Arima, your music...\It's taken on all this color!\Kousei's performance is bursting with color.\Snow response:	Bursting... with such mournful color.
context: I'm a musician, after all!\Amazing!\This is incredible... Mr. Arima!\Mr. Arima, your life... Mr. Arima, your music...\It's taken on all this color!\Kousei's performance is bursting with color.\Snow\Bursting... with such mournful color. response:	Final Episode Spring Breeze
context: Amazing!\This is incredible... Mr. Arima!\Mr. Arima, your life... Mr. Arima, your music...\It's taken on all this color!\Kousei's performance is bursting with color.\Snow\Bursting... with such mournful color.\Final Episode Spring Breeze response:	Watch Again Next Week
