context: What's happened so far! response:	Arima Souichirou. Excellent grades,
context: Evening! Ah, you're really going at it.\Good work. Wow, perfect!\And you're done already.\Incredible. That's my Miyazawa.\Now see here! What do you think you're doing?!\Why're you making me do this stuff?!\Because,\I'm taking advantage of your weakness... response:	Don't say it so bluntly!
context: Good work. Wow, perfect!\And you're done already.\Incredible. That's my Miyazawa.\Now see here! What do you think you're doing?!\Why're you making me do this stuff?!\Because,\I'm taking advantage of your weakness...\Don't say it so bluntly! response:	That's called blackmail.
context: And you're done already.\Incredible. That's my Miyazawa.\Now see here! What do you think you're doing?!\Why're you making me do this stuff?!\Because,\I'm taking advantage of your weakness...\Don't say it so bluntly!\That's called blackmail. response:	Haven't you any shame?
context: Incredible. That's my Miyazawa.\Now see here! What do you think you're doing?!\Why're you making me do this stuff?!\Because,\I'm taking advantage of your weakness...\Don't say it so bluntly!\That's called blackmail.\Haven't you any shame? response:	Yeah.
context: Now see here! What do you think you're doing?!\Why're you making me do this stuff?!\Because,\I'm taking advantage of your weakness...\Don't say it so bluntly!\That's called blackmail.\Haven't you any shame?\Yeah. response:	But I can't help it.
context: Why're you making me do this stuff?!\Because,\I'm taking advantage of your weakness...\Don't say it so bluntly!\That's called blackmail.\Haven't you any shame?\Yeah.\But I can't help it. response:	I'm way busy,
context: Because,\I'm taking advantage of your weakness...\Don't say it so bluntly!\That's called blackmail.\Haven't you any shame?\Yeah.\But I can't help it.\I'm way busy, response:	and it's a major help having you sub for me.
context: I'm taking advantage of your weakness...\Don't say it so bluntly!\That's called blackmail.\Haven't you any shame?\Yeah.\But I can't help it.\I'm way busy,\and it's a major help having you sub for me. response:	You little...
context: Don't say it so bluntly!\That's called blackmail.\Haven't you any shame?\Yeah.\But I can't help it.\I'm way busy,\and it's a major help having you sub for me.\You little... response:	So, you'll be useful to me.
context: That's called blackmail.\Haven't you any shame?\Yeah.\But I can't help it.\I'm way busy,\and it's a major help having you sub for me.\You little...\So, you'll be useful to me. response:	Well, I won't force you.
context: Haven't you any shame?\Yeah.\But I can't help it.\I'm way busy,\and it's a major help having you sub for me.\You little...\So, you'll be useful to me.\Well, I won't force you. response:	If you don't want to do it, just say so.
context: Yeah.\But I can't help it.\I'm way busy,\and it's a major help having you sub for me.\You little...\So, you'll be useful to me.\Well, I won't force you.\If you don't want to do it, just say so. response:	If you've got the guts.
context: But I can't help it.\I'm way busy,\and it's a major help having you sub for me.\You little...\So, you'll be useful to me.\Well, I won't force you.\If you don't want to do it, just say so.\If you've got the guts. response:	You scheming little bastard!
context: I'm way busy,\and it's a major help having you sub for me.\You little...\So, you'll be useful to me.\Well, I won't force you.\If you don't want to do it, just say so.\If you've got the guts.\You scheming little bastard! response:	I never expected this. Who would've thought he had another side of him too?
context: and it's a major help having you sub for me.\You little...\So, you'll be useful to me.\Well, I won't force you.\If you don't want to do it, just say so.\If you've got the guts.\You scheming little bastard!\I never expected this. Who would've thought he had another side of him too? response:	I've been my own master for these 15 years...
context: You little...\So, you'll be useful to me.\Well, I won't force you.\If you don't want to do it, just say so.\If you've got the guts.\You scheming little bastard!\I never expected this. Who would've thought he had another side of him too?\I've been my own master for these 15 years... response:	I've never been so humiliated in my entire life! What the hell is with him? Dammit!
context: So, you'll be useful to me.\Well, I won't force you.\If you don't want to do it, just say so.\If you've got the guts.\You scheming little bastard!\I never expected this. Who would've thought he had another side of him too?\I've been my own master for these 15 years...\I've never been so humiliated in my entire life! What the hell is with him? Dammit! response:	But, this sounds like a good deal for you.
context: Well, I won't force you.\If you don't want to do it, just say so.\If you've got the guts.\You scheming little bastard!\I never expected this. Who would've thought he had another side of him too?\I've been my own master for these 15 years...\I've never been so humiliated in my entire life! What the hell is with him? Dammit!\But, this sounds like a good deal for you. response:	Riiight?
context: If you don't want to do it, just say so.\If you've got the guts.\You scheming little bastard!\I never expected this. Who would've thought he had another side of him too?\I've been my own master for these 15 years...\I've never been so humiliated in my entire life! What the hell is with him? Dammit!\But, this sounds like a good deal for you.\Riiight? response:	He's taking the pains to show you the harsh realities of life.
context: If you've got the guts.\You scheming little bastard!\I never expected this. Who would've thought he had another side of him too?\I've been my own master for these 15 years...\I've never been so humiliated in my entire life! What the hell is with him? Dammit!\But, this sounds like a good deal for you.\Riiight?\He's taking the pains to show you the harsh realities of life. response:	Not only the emptiness of vanity, but also that greatness, is all relative.
context: You scheming little bastard!\I never expected this. Who would've thought he had another side of him too?\I've been my own master for these 15 years...\I've never been so humiliated in my entire life! What the hell is with him? Dammit!\But, this sounds like a good deal for you.\Riiight?\He's taking the pains to show you the harsh realities of life.\Not only the emptiness of vanity, but also that greatness, is all relative. response:	Not!
context: I never expected this. Who would've thought he had another side of him too?\I've been my own master for these 15 years...\I've never been so humiliated in my entire life! What the hell is with him? Dammit!\But, this sounds like a good deal for you.\Riiight?\He's taking the pains to show you the harsh realities of life.\Not only the emptiness of vanity, but also that greatness, is all relative.\Not! response:	He's not that nice of a guy!
context: I've been my own master for these 15 years...\I've never been so humiliated in my entire life! What the hell is with him? Dammit!\But, this sounds like a good deal for you.\Riiight?\He's taking the pains to show you the harsh realities of life.\Not only the emptiness of vanity, but also that greatness, is all relative.\Not!\He's not that nice of a guy! response:	Dammit!
context: I've never been so humiliated in my entire life! What the hell is with him? Dammit!\But, this sounds like a good deal for you.\Riiight?\He's taking the pains to show you the harsh realities of life.\Not only the emptiness of vanity, but also that greatness, is all relative.\Not!\He's not that nice of a guy!\Dammit! response:	But, I have no way to escape from his trap.
context: But, this sounds like a good deal for you.\Riiight?\He's taking the pains to show you the harsh realities of life.\Not only the emptiness of vanity, but also that greatness, is all relative.\Not!\He's not that nice of a guy!\Dammit!\But, I have no way to escape from his trap. response:	There was nothing I could do but curse my own fate.
context: Riiight?\He's taking the pains to show you the harsh realities of life.\Not only the emptiness of vanity, but also that greatness, is all relative.\Not!\He's not that nice of a guy!\Dammit!\But, I have no way to escape from his trap.\There was nothing I could do but curse my own fate. response:	But soon afterwards...
context: He's taking the pains to show you the harsh realities of life.\Not only the emptiness of vanity, but also that greatness, is all relative.\Not!\He's not that nice of a guy!\Dammit!\But, I have no way to escape from his trap.\There was nothing I could do but curse my own fate.\But soon afterwards... response:	Now I'm tied up with Arima's work all day long!
context: Not only the emptiness of vanity, but also that greatness, is all relative.\Not!\He's not that nice of a guy!\Dammit!\But, I have no way to escape from his trap.\There was nothing I could do but curse my own fate.\But soon afterwards...\Now I'm tied up with Arima's work all day long! response:	Hey, did you know Yoshida,
context: Not!\He's not that nice of a guy!\Dammit!\But, I have no way to escape from his trap.\There was nothing I could do but curse my own fate.\But soon afterwards...\Now I'm tied up with Arima's work all day long!\Hey, did you know Yoshida, response:	the math teacher, has false teeth?
context: He's not that nice of a guy!\Dammit!\But, I have no way to escape from his trap.\There was nothing I could do but curse my own fate.\But soon afterwards...\Now I'm tied up with Arima's work all day long!\Hey, did you know Yoshida,\the math teacher, has false teeth? response:	No way!
context: Dammit!\But, I have no way to escape from his trap.\There was nothing I could do but curse my own fate.\But soon afterwards...\Now I'm tied up with Arima's work all day long!\Hey, did you know Yoshida,\the math teacher, has false teeth?\No way! response:	That was really...
context: But, I have no way to escape from his trap.\There was nothing I could do but curse my own fate.\But soon afterwards...\Now I'm tied up with Arima's work all day long!\Hey, did you know Yoshida,\the math teacher, has false teeth?\No way!\That was really... response:	Hey, pass, pass! Alright...
context: There was nothing I could do but curse my own fate.\But soon afterwards...\Now I'm tied up with Arima's work all day long!\Hey, did you know Yoshida,\the math teacher, has false teeth?\No way!\That was really...\Hey, pass, pass! Alright... response:	How could you make a girl do all this work...?
context: But soon afterwards...\Now I'm tied up with Arima's work all day long!\Hey, did you know Yoshida,\the math teacher, has false teeth?\No way!\That was really...\Hey, pass, pass! Alright...\How could you make a girl do all this work...? response:	Pretending to cry won't work.
context: Now I'm tied up with Arima's work all day long!\Hey, did you know Yoshida,\the math teacher, has false teeth?\No way!\That was really...\Hey, pass, pass! Alright...\How could you make a girl do all this work...?\Pretending to cry won't work. response:	You're actually callous
context: Hey, did you know Yoshida,\the math teacher, has false teeth?\No way!\That was really...\Hey, pass, pass! Alright...\How could you make a girl do all this work...?\Pretending to cry won't work.\You're actually callous response:	and tough, aren't you?
context: the math teacher, has false teeth?\No way!\That was really...\Hey, pass, pass! Alright...\How could you make a girl do all this work...?\Pretending to cry won't work.\You're actually callous\and tough, aren't you? response:	None of your business!
context: No way!\That was really...\Hey, pass, pass! Alright...\How could you make a girl do all this work...?\Pretending to cry won't work.\You're actually callous\and tough, aren't you?\None of your business! response:	What work is it this time?
context: That was really...\Hey, pass, pass! Alright...\How could you make a girl do all this work...?\Pretending to cry won't work.\You're actually callous\and tough, aren't you?\None of your business!\What work is it this time? response:	Making a schedule for the Class Trip Committee.
context: Hey, pass, pass! Alright...\How could you make a girl do all this work...?\Pretending to cry won't work.\You're actually callous\and tough, aren't you?\None of your business!\What work is it this time?\Making a schedule for the Class Trip Committee. response:	Gack! Are you doing that too?
context: How could you make a girl do all this work...?\Pretending to cry won't work.\You're actually callous\and tough, aren't you?\None of your business!\What work is it this time?\Making a schedule for the Class Trip Committee.\Gack! Are you doing that too? response:	Since I was being made to help,
context: Pretending to cry won't work.\You're actually callous\and tough, aren't you?\None of your business!\What work is it this time?\Making a schedule for the Class Trip Committee.\Gack! Are you doing that too?\Since I was being made to help, response:	it was certainly clear that Arima was super-busy.
context: You're actually callous\and tough, aren't you?\None of your business!\What work is it this time?\Making a schedule for the Class Trip Committee.\Gack! Are you doing that too?\Since I was being made to help,\it was certainly clear that Arima was super-busy. response:	The Student Council...the Service Club
context: and tough, aren't you?\None of your business!\What work is it this time?\Making a schedule for the Class Trip Committee.\Gack! Are you doing that too?\Since I was being made to help,\it was certainly clear that Arima was super-busy.\The Student Council...the Service Club response:	the Class Trip Committee... on executive committees
context: None of your business!\What work is it this time?\Making a schedule for the Class Trip Committee.\Gack! Are you doing that too?\Since I was being made to help,\it was certainly clear that Arima was super-busy.\The Student Council...the Service Club\the Class Trip Committee... on executive committees response:	for various events... a part of the main staff for all of them.
context: What work is it this time?\Making a schedule for the Class Trip Committee.\Gack! Are you doing that too?\Since I was being made to help,\it was certainly clear that Arima was super-busy.\The Student Council...the Service Club\the Class Trip Committee... on executive committees\for various events... a part of the main staff for all of them. response:	And on top of that,
context: Making a schedule for the Class Trip Committee.\Gack! Are you doing that too?\Since I was being made to help,\it was certainly clear that Arima was super-busy.\The Student Council...the Service Club\the Class Trip Committee... on executive committees\for various events... a part of the main staff for all of them.\And on top of that, response:	he does club sports...studies...
context: Gack! Are you doing that too?\Since I was being made to help,\it was certainly clear that Arima was super-busy.\The Student Council...the Service Club\the Class Trip Committee... on executive committees\for various events... a part of the main staff for all of them.\And on top of that,\he does club sports...studies... response:	Of course, I weasel out of most of it.
context: Since I was being made to help,\it was certainly clear that Arima was super-busy.\The Student Council...the Service Club\the Class Trip Committee... on executive committees\for various events... a part of the main staff for all of them.\And on top of that,\he does club sports...studies...\Of course, I weasel out of most of it. response:	You're gonna die if this keeps up.
context: it was certainly clear that Arima was super-busy.\The Student Council...the Service Club\the Class Trip Committee... on executive committees\for various events... a part of the main staff for all of them.\And on top of that,\he does club sports...studies...\Of course, I weasel out of most of it.\You're gonna die if this keeps up. response:	It seems I stand out or something, I guess.
context: The Student Council...the Service Club\the Class Trip Committee... on executive committees\for various events... a part of the main staff for all of them.\And on top of that,\he does club sports...studies...\Of course, I weasel out of most of it.\You're gonna die if this keeps up.\It seems I stand out or something, I guess. response:	That must be tough.
context: the Class Trip Committee... on executive committees\for various events... a part of the main staff for all of them.\And on top of that,\he does club sports...studies...\Of course, I weasel out of most of it.\You're gonna die if this keeps up.\It seems I stand out or something, I guess.\That must be tough. response:	I would have thought that your looks and brains
context: for various events... a part of the main staff for all of them.\And on top of that,\he does club sports...studies...\Of course, I weasel out of most of it.\You're gonna die if this keeps up.\It seems I stand out or something, I guess.\That must be tough.\I would have thought that your looks and brains response:	would have brought you a better life...
context: And on top of that,\he does club sports...studies...\Of course, I weasel out of most of it.\You're gonna die if this keeps up.\It seems I stand out or something, I guess.\That must be tough.\I would have thought that your looks and brains\would have brought you a better life... response:	Oh, I see. I guess so.
context: he does club sports...studies...\Of course, I weasel out of most of it.\You're gonna die if this keeps up.\It seems I stand out or something, I guess.\That must be tough.\I would have thought that your looks and brains\would have brought you a better life...\Oh, I see. I guess so. response:	Well, since you're here, it's all good.
context: Of course, I weasel out of most of it.\You're gonna die if this keeps up.\It seems I stand out or something, I guess.\That must be tough.\I would have thought that your looks and brains\would have brought you a better life...\Oh, I see. I guess so.\Well, since you're here, it's all good. response:	I'm your dog?
context: You're gonna die if this keeps up.\It seems I stand out or something, I guess.\That must be tough.\I would have thought that your looks and brains\would have brought you a better life...\Oh, I see. I guess so.\Well, since you're here, it's all good.\I'm your dog? response:	Woof woof.
context: It seems I stand out or something, I guess.\That must be tough.\I would have thought that your looks and brains\would have brought you a better life...\Oh, I see. I guess so.\Well, since you're here, it's all good.\I'm your dog?\Woof woof. response:	Arima,
context: That must be tough.\I would have thought that your looks and brains\would have brought you a better life...\Oh, I see. I guess so.\Well, since you're here, it's all good.\I'm your dog?\Woof woof.\Arima, response:	you were Student Council President in junior high, right?
context: I would have thought that your looks and brains\would have brought you a better life...\Oh, I see. I guess so.\Well, since you're here, it's all good.\I'm your dog?\Woof woof.\Arima,\you were Student Council President in junior high, right? response:	Yeah. And you?
context: would have brought you a better life...\Oh, I see. I guess so.\Well, since you're here, it's all good.\I'm your dog?\Woof woof.\Arima,\you were Student Council President in junior high, right?\Yeah. And you? response:	I did that too.
context: Oh, I see. I guess so.\Well, since you're here, it's all good.\I'm your dog?\Woof woof.\Arima,\you were Student Council President in junior high, right?\Yeah. And you?\I did that too. response:	Well, it must've been tough then.
context: Well, since you're here, it's all good.\I'm your dog?\Woof woof.\Arima,\you were Student Council President in junior high, right?\Yeah. And you?\I did that too.\Well, it must've been tough then. response:	Uh-uh, not really.
context: I'm your dog?\Woof woof.\Arima,\you were Student Council President in junior high, right?\Yeah. And you?\I did that too.\Well, it must've been tough then.\Uh-uh, not really. response:	What? How come?
context: Woof woof.\Arima,\you were Student Council President in junior high, right?\Yeah. And you?\I did that too.\Well, it must've been tough then.\Uh-uh, not really.\What? How come? response:	What should I do?
context: Arima,\you were Student Council President in junior high, right?\Yeah. And you?\I did that too.\Well, it must've been tough then.\Uh-uh, not really.\What? How come?\What should I do? response:	I can't do all this...
context: you were Student Council President in junior high, right?\Yeah. And you?\I did that too.\Well, it must've been tough then.\Uh-uh, not really.\What? How come?\What should I do?\I can't do all this... response:	What a fraud! So that's the kind of person you really were.
context: Yeah. And you?\I did that too.\Well, it must've been tough then.\Uh-uh, not really.\What? How come?\What should I do?\I can't do all this...\What a fraud! So that's the kind of person you really were. response:	Hey! You're doing exactly the same thing!
context: I did that too.\Well, it must've been tough then.\Uh-uh, not really.\What? How come?\What should I do?\I can't do all this...\What a fraud! So that's the kind of person you really were.\Hey! You're doing exactly the same thing! response:	What? That's not true.
context: Well, it must've been tough then.\Uh-uh, not really.\What? How come?\What should I do?\I can't do all this...\What a fraud! So that's the kind of person you really were.\Hey! You're doing exactly the same thing!\What? That's not true. response:	I act normally all the time.
context: Uh-uh, not really.\What? How come?\What should I do?\I can't do all this...\What a fraud! So that's the kind of person you really were.\Hey! You're doing exactly the same thing!\What? That's not true.\I act normally all the time. response:	This is all due to your influence right now.
context: What? How come?\What should I do?\I can't do all this...\What a fraud! So that's the kind of person you really were.\Hey! You're doing exactly the same thing!\What? That's not true.\I act normally all the time.\This is all due to your influence right now. response:	Oh, so it's my fault? How dare you!
context: What should I do?\I can't do all this...\What a fraud! So that's the kind of person you really were.\Hey! You're doing exactly the same thing!\What? That's not true.\I act normally all the time.\This is all due to your influence right now.\Oh, so it's my fault? How dare you! response:	It's true, you know.
context: I can't do all this...\What a fraud! So that's the kind of person you really were.\Hey! You're doing exactly the same thing!\What? That's not true.\I act normally all the time.\This is all due to your influence right now.\Oh, so it's my fault? How dare you!\It's true, you know. response:	Wow, it's pitch-black outside.
context: What a fraud! So that's the kind of person you really were.\Hey! You're doing exactly the same thing!\What? That's not true.\I act normally all the time.\This is all due to your influence right now.\Oh, so it's my fault? How dare you!\It's true, you know.\Wow, it's pitch-black outside. response:	Miyazawa, you hungry?
context: Hey! You're doing exactly the same thing!\What? That's not true.\I act normally all the time.\This is all due to your influence right now.\Oh, so it's my fault? How dare you!\It's true, you know.\Wow, it's pitch-black outside.\Miyazawa, you hungry? response:	Hungry? Sure.
context: What? That's not true.\I act normally all the time.\This is all due to your influence right now.\Oh, so it's my fault? How dare you!\It's true, you know.\Wow, it's pitch-black outside.\Miyazawa, you hungry?\Hungry? Sure. response:	Then I can treat you to something...once in a while.
context: I act normally all the time.\This is all due to your influence right now.\Oh, so it's my fault? How dare you!\It's true, you know.\Wow, it's pitch-black outside.\Miyazawa, you hungry?\Hungry? Sure.\Then I can treat you to something...once in a while. response:	Arima is somehow perfect.
context: This is all due to your influence right now.\Oh, so it's my fault? How dare you!\It's true, you know.\Wow, it's pitch-black outside.\Miyazawa, you hungry?\Hungry? Sure.\Then I can treat you to something...once in a while.\Arima is somehow perfect. response:	I want steak!
context: Oh, so it's my fault? How dare you!\It's true, you know.\Wow, it's pitch-black outside.\Miyazawa, you hungry?\Hungry? Sure.\Then I can treat you to something...once in a while.\Arima is somehow perfect.\I want steak! response:	You blockhead.
context: It's true, you know.\Wow, it's pitch-black outside.\Miyazawa, you hungry?\Hungry? Sure.\Then I can treat you to something...once in a while.\Arima is somehow perfect.\I want steak!\You blockhead. response:	Where did that come from, I wonder?
context: Wow, it's pitch-black outside.\Miyazawa, you hungry?\Hungry? Sure.\Then I can treat you to something...once in a while.\Arima is somehow perfect.\I want steak!\You blockhead.\Where did that come from, I wonder? response:	Until yesterday, there was nothing at all.
context: Miyazawa, you hungry?\Hungry? Sure.\Then I can treat you to something...once in a while.\Arima is somehow perfect.\I want steak!\You blockhead.\Where did that come from, I wonder?\Until yesterday, there was nothing at all. response:	Until recently...
context: Hungry? Sure.\Then I can treat you to something...once in a while.\Arima is somehow perfect.\I want steak!\You blockhead.\Where did that come from, I wonder?\Until yesterday, there was nothing at all.\Until recently... response:	Hey, check it out!
context: Then I can treat you to something...once in a while.\Arima is somehow perfect.\I want steak!\You blockhead.\Where did that come from, I wonder?\Until yesterday, there was nothing at all.\Until recently...\Hey, check it out! response:	Those two...
context: Arima is somehow perfect.\I want steak!\You blockhead.\Where did that come from, I wonder?\Until yesterday, there was nothing at all.\Until recently...\Hey, check it out!\Those two... response:	It shouldn't have been anywhere at all...
context: I want steak!\You blockhead.\Where did that come from, I wonder?\Until yesterday, there was nothing at all.\Until recently...\Hey, check it out!\Those two...\It shouldn't have been anywhere at all... response:	Like, that rumor's gotta be true!
context: You blockhead.\Where did that come from, I wonder?\Until yesterday, there was nothing at all.\Until recently...\Hey, check it out!\Those two...\It shouldn't have been anywhere at all...\Like, that rumor's gotta be true! response:	No doubt about it!
context: Where did that come from, I wonder?\Until yesterday, there was nothing at all.\Until recently...\Hey, check it out!\Those two...\It shouldn't have been anywhere at all...\Like, that rumor's gotta be true!\No doubt about it! response:	You awake?
context: Until yesterday, there was nothing at all.\Until recently...\Hey, check it out!\Those two...\It shouldn't have been anywhere at all...\Like, that rumor's gotta be true!\No doubt about it!\You awake? response:	Practice just finished, so I came over.
context: Until recently...\Hey, check it out!\Those two...\It shouldn't have been anywhere at all...\Like, that rumor's gotta be true!\No doubt about it!\You awake?\Practice just finished, so I came over. response:	You shouldn't fall asleep like that.
context: Hey, check it out!\Those two...\It shouldn't have been anywhere at all...\Like, that rumor's gotta be true!\No doubt about it!\You awake?\Practice just finished, so I came over.\You shouldn't fall asleep like that. response:	Suddenly, he seemed special to me.
context: Those two...\It shouldn't have been anywhere at all...\Like, that rumor's gotta be true!\No doubt about it!\You awake?\Practice just finished, so I came over.\You shouldn't fall asleep like that.\Suddenly, he seemed special to me. response:	Arima seemed special to me.
context: It shouldn't have been anywhere at all...\Like, that rumor's gotta be true!\No doubt about it!\You awake?\Practice just finished, so I came over.\You shouldn't fall asleep like that.\Suddenly, he seemed special to me.\Arima seemed special to me. response:	What was with Arima just then?
context: Like, that rumor's gotta be true!\No doubt about it!\You awake?\Practice just finished, so I came over.\You shouldn't fall asleep like that.\Suddenly, he seemed special to me.\Arima seemed special to me.\What was with Arima just then? response:	What is this sensation?
context: No doubt about it!\You awake?\Practice just finished, so I came over.\You shouldn't fall asleep like that.\Suddenly, he seemed special to me.\Arima seemed special to me.\What was with Arima just then?\What is this sensation? response:	This feeling I can't place?
context: You awake?\Practice just finished, so I came over.\You shouldn't fall asleep like that.\Suddenly, he seemed special to me.\Arima seemed special to me.\What was with Arima just then?\What is this sensation?\This feeling I can't place? response:	My head feels all foggy and I can't sit still.
context: Practice just finished, so I came over.\You shouldn't fall asleep like that.\Suddenly, he seemed special to me.\Arima seemed special to me.\What was with Arima just then?\What is this sensation?\This feeling I can't place?\My head feels all foggy and I can't sit still. response:	This is the first time I've felt this way.
context: You shouldn't fall asleep like that.\Suddenly, he seemed special to me.\Arima seemed special to me.\What was with Arima just then?\What is this sensation?\This feeling I can't place?\My head feels all foggy and I can't sit still.\This is the first time I've felt this way. response:	Wait! Could it be...
context: Suddenly, he seemed special to me.\Arima seemed special to me.\What was with Arima just then?\What is this sensation?\This feeling I can't place?\My head feels all foggy and I can't sit still.\This is the first time I've felt this way.\Wait! Could it be... response:	This isn't that Love thing I've often heard of, is it?
context: Arima seemed special to me.\What was with Arima just then?\What is this sensation?\This feeling I can't place?\My head feels all foggy and I can't sit still.\This is the first time I've felt this way.\Wait! Could it be...\This isn't that Love thing I've often heard of, is it? response:	Like crush... and romance, and
context: What was with Arima just then?\What is this sensation?\This feeling I can't place?\My head feels all foggy and I can't sit still.\This is the first time I've felt this way.\Wait! Could it be...\This isn't that Love thing I've often heard of, is it?\Like crush... and romance, and response:	falling for someone?!
context: What is this sensation?\This feeling I can't place?\My head feels all foggy and I can't sit still.\This is the first time I've felt this way.\Wait! Could it be...\This isn't that Love thing I've often heard of, is it?\Like crush... and romance, and\falling for someone?! response:	No way, not me...! Ridiculous. I don't believe it.
context: This feeling I can't place?\My head feels all foggy and I can't sit still.\This is the first time I've felt this way.\Wait! Could it be...\This isn't that Love thing I've often heard of, is it?\Like crush... and romance, and\falling for someone?!\No way, not me...! Ridiculous. I don't believe it. response:	I guess I just don't understand myseIf.
context: My head feels all foggy and I can't sit still.\This is the first time I've felt this way.\Wait! Could it be...\This isn't that Love thing I've often heard of, is it?\Like crush... and romance, and\falling for someone?!\No way, not me...! Ridiculous. I don't believe it.\I guess I just don't understand myseIf. response:	And yet...What a pain.
context: This is the first time I've felt this way.\Wait! Could it be...\This isn't that Love thing I've often heard of, is it?\Like crush... and romance, and\falling for someone?!\No way, not me...! Ridiculous. I don't believe it.\I guess I just don't understand myseIf.\And yet...What a pain. response:	Let's's eat!
context: Wait! Could it be...\This isn't that Love thing I've often heard of, is it?\Like crush... and romance, and\falling for someone?!\No way, not me...! Ridiculous. I don't believe it.\I guess I just don't understand myseIf.\And yet...What a pain.\Let's's eat! response:	Hey, you sure come home
context: This isn't that Love thing I've often heard of, is it?\Like crush... and romance, and\falling for someone?!\No way, not me...! Ridiculous. I don't believe it.\I guess I just don't understand myseIf.\And yet...What a pain.\Let's's eat!\Hey, you sure come home response:	Late these days, Sis.
context: Like crush... and romance, and\falling for someone?!\No way, not me...! Ridiculous. I don't believe it.\I guess I just don't understand myseIf.\And yet...What a pain.\Let's's eat!\Hey, you sure come home\Late these days, Sis. response:	What?
context: falling for someone?!\No way, not me...! Ridiculous. I don't believe it.\I guess I just don't understand myseIf.\And yet...What a pain.\Let's's eat!\Hey, you sure come home\Late these days, Sis.\What? response:	Oh, I've got stuff to do for the class committee.
context: No way, not me...! Ridiculous. I don't believe it.\I guess I just don't understand myseIf.\And yet...What a pain.\Let's's eat!\Hey, you sure come home\Late these days, Sis.\What?\Oh, I've got stuff to do for the class committee. response:	That's all?
context: I guess I just don't understand myseIf.\And yet...What a pain.\Let's's eat!\Hey, you sure come home\Late these days, Sis.\What?\Oh, I've got stuff to do for the class committee.\That's all? response:	Well, yeah.
context: And yet...What a pain.\Let's's eat!\Hey, you sure come home\Late these days, Sis.\What?\Oh, I've got stuff to do for the class committee.\That's all?\Well, yeah. response:	See, you had it all wrong.
context: Let's's eat!\Hey, you sure come home\Late these days, Sis.\What?\Oh, I've got stuff to do for the class committee.\That's all?\Well, yeah.\See, you had it all wrong. response:	Well, I don't know...
context: Hey, you sure come home\Late these days, Sis.\What?\Oh, I've got stuff to do for the class committee.\That's all?\Well, yeah.\See, you had it all wrong.\Well, I don't know... response:	Now what?
context: Late these days, Sis.\What?\Oh, I've got stuff to do for the class committee.\That's all?\Well, yeah.\See, you had it all wrong.\Well, I don't know...\Now what? response:	What, what?
context: What?\Oh, I've got stuff to do for the class committee.\That's all?\Well, yeah.\See, you had it all wrong.\Well, I don't know...\Now what?\What, what? response:	What are you talking about?
context: Oh, I've got stuff to do for the class committee.\That's all?\Well, yeah.\See, you had it all wrong.\Well, I don't know...\Now what?\What, what?\What are you talking about? response:	But it's really weird!
context: That's all?\Well, yeah.\See, you had it all wrong.\Well, I don't know...\Now what?\What, what?\What are you talking about?\But it's really weird! response:	You started coming home late all of a sudden.
context: Well, yeah.\See, you had it all wrong.\Well, I don't know...\Now what?\What, what?\What are you talking about?\But it's really weird!\You started coming home late all of a sudden. response:	You used to talk a lot about school, but not these days.
context: See, you had it all wrong.\Well, I don't know...\Now what?\What, what?\What are you talking about?\But it's really weird!\You started coming home late all of a sudden.\You used to talk a lot about school, but not these days. response:	And most importantly,
context: Well, I don't know...\Now what?\What, what?\What are you talking about?\But it's really weird!\You started coming home late all of a sudden.\You used to talk a lot about school, but not these days.\And most importantly, response:	you stopped wearing your sweats.
context: Now what?\What, what?\What are you talking about?\But it's really weird!\You started coming home late all of a sudden.\You used to talk a lot about school, but not these days.\And most importantly,\you stopped wearing your sweats. response:	Sis, you got a boyfriend, don't you?
context: What, what?\What are you talking about?\But it's really weird!\You started coming home late all of a sudden.\You used to talk a lot about school, but not these days.\And most importantly,\you stopped wearing your sweats.\Sis, you got a boyfriend, don't you? response:	Wh...wh...wh...
context: What are you talking about?\But it's really weird!\You started coming home late all of a sudden.\You used to talk a lot about school, but not these days.\And most importantly,\you stopped wearing your sweats.\Sis, you got a boyfriend, don't you?\Wh...wh...wh... response:	WHAAAT??!!
context: But it's really weird!\You started coming home late all of a sudden.\You used to talk a lot about school, but not these days.\And most importantly,\you stopped wearing your sweats.\Sis, you got a boyfriend, don't you?\Wh...wh...wh...\WHAAAT??!! response:	A g...g...guy, is it?
context: You started coming home late all of a sudden.\You used to talk a lot about school, but not these days.\And most importantly,\you stopped wearing your sweats.\Sis, you got a boyfriend, don't you?\Wh...wh...wh...\WHAAAT??!!\A g...g...guy, is it? response:	Your father, who loves you more than anyone in the world...
context: You used to talk a lot about school, but not these days.\And most importantly,\you stopped wearing your sweats.\Sis, you got a boyfriend, don't you?\Wh...wh...wh...\WHAAAT??!!\A g...g...guy, is it?\Your father, who loves you more than anyone in the world... response:	Of course, I love Tsukino and Kano more than anyone in the world, too, but...
context: And most importantly,\you stopped wearing your sweats.\Sis, you got a boyfriend, don't you?\Wh...wh...wh...\WHAAAT??!!\A g...g...guy, is it?\Your father, who loves you more than anyone in the world...\Of course, I love Tsukino and Kano more than anyone in the world, too, but... response:	You pick another man over your father?!
