context: It's not fair to control an innocent boy's mind against his will! response:	As long as the moon shines in the night sky,
context: Wow, I guess there's always someone better.\Ami, you were so close!\I know. One more point would have gotten me a perfect grade,\but I guess I still don't study enough.\She lives in a completely different world than I do.\That kid who got a perfect score in every subject\is in the same class as you, isn't he?\Yes, he is! He just transferred to this school the other day! response:	Isn't it amazing how he did so well so quickly?!
context: Ami, you were so close!\I know. One more point would have gotten me a perfect grade,\but I guess I still don't study enough.\She lives in a completely different world than I do.\That kid who got a perfect score in every subject\is in the same class as you, isn't he?\Yes, he is! He just transferred to this school the other day!\Isn't it amazing how he did so well so quickly?! response:	Oh, Urawa!
context: I know. One more point would have gotten me a perfect grade,\but I guess I still don't study enough.\She lives in a completely different world than I do.\That kid who got a perfect score in every subject\is in the same class as you, isn't he?\Yes, he is! He just transferred to this school the other day!\Isn't it amazing how he did so well so quickly?!\Oh, Urawa! response:	Miss Mizuno...
context: but I guess I still don't study enough.\She lives in a completely different world than I do.\That kid who got a perfect score in every subject\is in the same class as you, isn't he?\Yes, he is! He just transferred to this school the other day!\Isn't it amazing how he did so well so quickly?!\Oh, Urawa!\Miss Mizuno... response:	Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation
context: She lives in a completely different world than I do.\That kid who got a perfect score in every subject\is in the same class as you, isn't he?\Yes, he is! He just transferred to this school the other day!\Isn't it amazing how he did so well so quickly?!\Oh, Urawa!\Miss Mizuno...\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation response:	You should relax a little more.
context: That kid who got a perfect score in every subject\is in the same class as you, isn't he?\Yes, he is! He just transferred to this school the other day!\Isn't it amazing how he did so well so quickly?!\Oh, Urawa!\Miss Mizuno...\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\You should relax a little more. response:	Good luck!
context: is in the same class as you, isn't he?\Yes, he is! He just transferred to this school the other day!\Isn't it amazing how he did so well so quickly?!\Oh, Urawa!\Miss Mizuno...\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\You should relax a little more.\Good luck! response:	Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation
context: Yes, he is! He just transferred to this school the other day!\Isn't it amazing how he did so well so quickly?!\Oh, Urawa!\Miss Mizuno...\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\You should relax a little more.\Good luck!\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation response:	Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno...
context: Isn't it amazing how he did so well so quickly?!\Oh, Urawa!\Miss Mizuno...\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\You should relax a little more.\Good luck!\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno... response:	Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation
context: Oh, Urawa!\Miss Mizuno...\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\You should relax a little more.\Good luck!\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno...\Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation response:	So, you do like Ami!
context: Miss Mizuno...\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\You should relax a little more.\Good luck!\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno...\Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation\So, you do like Ami! response:	That's from when Ami ranked number one in the nation, right?!
context: Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\You should relax a little more.\Good luck!\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno...\Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation\So, you do like Ami!\That's from when Ami ranked number one in the nation, right?! response:	Have you had feelings for Ami since that long ago?
context: You should relax a little more.\Good luck!\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno...\Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation\So, you do like Ami!\That's from when Ami ranked number one in the nation, right?!\Have you had feelings for Ami since that long ago? response:	No...
context: Good luck!\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno...\Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation\So, you do like Ami!\That's from when Ami ranked number one in the nation, right?!\Have you had feelings for Ami since that long ago?\No... response:	I studied hard because my goal was to be like Miss Mizuno and that's why...
context: Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation\Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno...\Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation\So, you do like Ami!\That's from when Ami ranked number one in the nation, right?!\Have you had feelings for Ami since that long ago?\No...\I studied hard because my goal was to be like Miss Mizuno and that's why... response:	I see, but you surpassed your goal. Good going!
context: Summer Mock Test Results Miss Ami Mizuno Ranked 1 in the Nation Miss Mizuno...\Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation\So, you do like Ami!\That's from when Ami ranked number one in the nation, right?!\Have you had feelings for Ami since that long ago?\No...\I studied hard because my goal was to be like Miss Mizuno and that's why...\I see, but you surpassed your goal. Good going! response:	No, I'm not...
context: Summer Mock Test Results/ Miss Ami Mizuno/ Ranked 1 In The Nation\So, you do like Ami!\That's from when Ami ranked number one in the nation, right?!\Have you had feelings for Ami since that long ago?\No...\I studied hard because my goal was to be like Miss Mizuno and that's why...\I see, but you surpassed your goal. Good going!\No, I'm not... response:	I just happened to be right about what would be on the tests.
context: So, you do like Ami!\That's from when Ami ranked number one in the nation, right?!\Have you had feelings for Ami since that long ago?\No...\I studied hard because my goal was to be like Miss Mizuno and that's why...\I see, but you surpassed your goal. Good going!\No, I'm not...\I just happened to be right about what would be on the tests. response:	Miss Mizuno is far more gifted than I am.
context: That's from when Ami ranked number one in the nation, right?!\Have you had feelings for Ami since that long ago?\No...\I studied hard because my goal was to be like Miss Mizuno and that's why...\I see, but you surpassed your goal. Good going!\No, I'm not...\I just happened to be right about what would be on the tests.\Miss Mizuno is far more gifted than I am. response:	Here! Miss Mizuno is far more gifted than I am.
context: Have you had feelings for Ami since that long ago?\No...\I studied hard because my goal was to be like Miss Mizuno and that's why...\I see, but you surpassed your goal. Good going!\No, I'm not...\I just happened to be right about what would be on the tests.\Miss Mizuno is far more gifted than I am.\Here! Miss Mizuno is far more gifted than I am. response:	Okay! Miss Mizuno is far more gifted than I am.
context: No...\I studied hard because my goal was to be like Miss Mizuno and that's why...\I see, but you surpassed your goal. Good going!\No, I'm not...\I just happened to be right about what would be on the tests.\Miss Mizuno is far more gifted than I am.\Here! Miss Mizuno is far more gifted than I am.\Okay! Miss Mizuno is far more gifted than I am. response:	Okay!
context: I studied hard because my goal was to be like Miss Mizuno and that's why...\I see, but you surpassed your goal. Good going!\No, I'm not...\I just happened to be right about what would be on the tests.\Miss Mizuno is far more gifted than I am.\Here! Miss Mizuno is far more gifted than I am.\Okay! Miss Mizuno is far more gifted than I am.\Okay! response:	Besides, no matter how much I care for Miss Mizuno...
context: I see, but you surpassed your goal. Good going!\No, I'm not...\I just happened to be right about what would be on the tests.\Miss Mizuno is far more gifted than I am.\Here! Miss Mizuno is far more gifted than I am.\Okay! Miss Mizuno is far more gifted than I am.\Okay!\Besides, no matter how much I care for Miss Mizuno... response:	No, it's nothing.
context: No, I'm not...\I just happened to be right about what would be on the tests.\Miss Mizuno is far more gifted than I am.\Here! Miss Mizuno is far more gifted than I am.\Okay! Miss Mizuno is far more gifted than I am.\Okay!\Besides, no matter how much I care for Miss Mizuno...\No, it's nothing. response:	Here! Oh! No, it's nothing.
context: I just happened to be right about what would be on the tests.\Miss Mizuno is far more gifted than I am.\Here! Miss Mizuno is far more gifted than I am.\Okay! Miss Mizuno is far more gifted than I am.\Okay!\Besides, no matter how much I care for Miss Mizuno...\No, it's nothing.\Here! Oh! No, it's nothing. response:	I understand! Usagi will lend you a helping hand!
context: Miss Mizuno is far more gifted than I am.\Here! Miss Mizuno is far more gifted than I am.\Okay! Miss Mizuno is far more gifted than I am.\Okay!\Besides, no matter how much I care for Miss Mizuno...\No, it's nothing.\Here! Oh! No, it's nothing.\I understand! Usagi will lend you a helping hand! response:	Just leave it to me!
context: Here! Miss Mizuno is far more gifted than I am.\Okay! Miss Mizuno is far more gifted than I am.\Okay!\Besides, no matter how much I care for Miss Mizuno...\No, it's nothing.\Here! Oh! No, it's nothing.\I understand! Usagi will lend you a helping hand!\Just leave it to me! response:	Miss Tsukino!
context: Okay! Miss Mizuno is far more gifted than I am.\Okay!\Besides, no matter how much I care for Miss Mizuno...\No, it's nothing.\Here! Oh! No, it's nothing.\I understand! Usagi will lend you a helping hand!\Just leave it to me!\Miss Tsukino! response:	You should be careful around water today.
context: Okay!\Besides, no matter how much I care for Miss Mizuno...\No, it's nothing.\Here! Oh! No, it's nothing.\I understand! Usagi will lend you a helping hand!\Just leave it to me!\Miss Tsukino!\You should be careful around water today. response:	What? Water?
context: Besides, no matter how much I care for Miss Mizuno...\No, it's nothing.\Here! Oh! No, it's nothing.\I understand! Usagi will lend you a helping hand!\Just leave it to me!\Miss Tsukino!\You should be careful around water today.\What? Water? response:	There!
context: No, it's nothing.\Here! Oh! No, it's nothing.\I understand! Usagi will lend you a helping hand!\Just leave it to me!\Miss Tsukino!\You should be careful around water today.\What? Water?\There! response:	Shoot! It was too late.
context: Here! Oh! No, it's nothing.\I understand! Usagi will lend you a helping hand!\Just leave it to me!\Miss Tsukino!\You should be careful around water today.\What? Water?\There!\Shoot! It was too late. response:	Oh, I'm so sorry!
context: I understand! Usagi will lend you a helping hand!\Just leave it to me!\Miss Tsukino!\You should be careful around water today.\What? Water?\There!\Shoot! It was too late.\Oh, I'm so sorry! response:	Mamoru, where shall we go next?
context: Just leave it to me!\Miss Tsukino!\You should be careful around water today.\What? Water?\There!\Shoot! It was too late.\Oh, I'm so sorry!\Mamoru, where shall we go next? response:	Oh, right...
context: Miss Tsukino!\You should be careful around water today.\What? Water?\There!\Shoot! It was too late.\Oh, I'm so sorry!\Mamoru, where shall we go next?\Oh, right... response:	I'm getting a better idea about my past, bit by bit,
context: You should be careful around water today.\What? Water?\There!\Shoot! It was too late.\Oh, I'm so sorry!\Mamoru, where shall we go next?\Oh, right...\I'm getting a better idea about my past, bit by bit, response:	but a lot of it is still unknown to me.
context: What? Water?\There!\Shoot! It was too late.\Oh, I'm so sorry!\Mamoru, where shall we go next?\Oh, right...\I'm getting a better idea about my past, bit by bit,\but a lot of it is still unknown to me. response:	Do I have no choice, but to become Tuxedo Mask
context: There!\Shoot! It was too late.\Oh, I'm so sorry!\Mamoru, where shall we go next?\Oh, right...\I'm getting a better idea about my past, bit by bit,\but a lot of it is still unknown to me.\Do I have no choice, but to become Tuxedo Mask response:	and get a hold of the legendary Silver Crystal?
context: Shoot! It was too late.\Oh, I'm so sorry!\Mamoru, where shall we go next?\Oh, right...\I'm getting a better idea about my past, bit by bit,\but a lot of it is still unknown to me.\Do I have no choice, but to become Tuxedo Mask\and get a hold of the legendary Silver Crystal? response:	Mamoru!
context: Oh, I'm so sorry!\Mamoru, where shall we go next?\Oh, right...\I'm getting a better idea about my past, bit by bit,\but a lot of it is still unknown to me.\Do I have no choice, but to become Tuxedo Mask\and get a hold of the legendary Silver Crystal?\Mamoru! response:	Oh, sorry. What did you say?
context: Mamoru, where shall we go next?\Oh, right...\I'm getting a better idea about my past, bit by bit,\but a lot of it is still unknown to me.\Do I have no choice, but to become Tuxedo Mask\and get a hold of the legendary Silver Crystal?\Mamoru!\Oh, sorry. What did you say? response:	Mamoru, you've been acting weird lately.
context: Oh, right...\I'm getting a better idea about my past, bit by bit,\but a lot of it is still unknown to me.\Do I have no choice, but to become Tuxedo Mask\and get a hold of the legendary Silver Crystal?\Mamoru!\Oh, sorry. What did you say?\Mamoru, you've been acting weird lately. response:	Did something happen?
context: I'm getting a better idea about my past, bit by bit,\but a lot of it is still unknown to me.\Do I have no choice, but to become Tuxedo Mask\and get a hold of the legendary Silver Crystal?\Mamoru!\Oh, sorry. What did you say?\Mamoru, you've been acting weird lately.\Did something happen? response:	No, it's nothing. Shall we go?
context: but a lot of it is still unknown to me.\Do I have no choice, but to become Tuxedo Mask\and get a hold of the legendary Silver Crystal?\Mamoru!\Oh, sorry. What did you say?\Mamoru, you've been acting weird lately.\Did something happen?\No, it's nothing. Shall we go? response:	Okay! No, it's nothing. Shall we go?
context: Do I have no choice, but to become Tuxedo Mask\and get a hold of the legendary Silver Crystal?\Mamoru!\Oh, sorry. What did you say?\Mamoru, you've been acting weird lately.\Did something happen?\No, it's nothing. Shall we go?\Okay! No, it's nothing. Shall we go? response:	Okay!
context: and get a hold of the legendary Silver Crystal?\Mamoru!\Oh, sorry. What did you say?\Mamoru, you've been acting weird lately.\Did something happen?\No, it's nothing. Shall we go?\Okay! No, it's nothing. Shall we go?\Okay! response:	Parlor Bear
context: Mamoru!\Oh, sorry. What did you say?\Mamoru, you've been acting weird lately.\Did something happen?\No, it's nothing. Shall we go?\Okay! No, it's nothing. Shall we go?\Okay!\Parlor Bear response:	Here, open it!
context: Oh, sorry. What did you say?\Mamoru, you've been acting weird lately.\Did something happen?\No, it's nothing. Shall we go?\Okay! No, it's nothing. Shall we go?\Okay!\Parlor Bear\Here, open it! response:	Is this for me?
context: Mamoru, you've been acting weird lately.\Did something happen?\No, it's nothing. Shall we go?\Okay! No, it's nothing. Shall we go?\Okay!\Parlor Bear\Here, open it!\Is this for me? response:	Yeah, yeah!
context: Did something happen?\No, it's nothing. Shall we go?\Okay! No, it's nothing. Shall we go?\Okay!\Parlor Bear\Here, open it!\Is this for me?\Yeah, yeah! response:	It's not great, but isn't it so much better than a newspaper clipping?
context: No, it's nothing. Shall we go?\Okay! No, it's nothing. Shall we go?\Okay!\Parlor Bear\Here, open it!\Is this for me?\Yeah, yeah!\It's not great, but isn't it so much better than a newspaper clipping? response:	And she looks nice with that sort of silly look on her face.
context: Okay! No, it's nothing. Shall we go?\Okay!\Parlor Bear\Here, open it!\Is this for me?\Yeah, yeah!\It's not great, but isn't it so much better than a newspaper clipping?\And she looks nice with that sort of silly look on her face. response:	The Crescent Moon Wand is responding! Could this boy be...
context: Okay!\Parlor Bear\Here, open it!\Is this for me?\Yeah, yeah!\It's not great, but isn't it so much better than a newspaper clipping?\And she looks nice with that sort of silly look on her face.\The Crescent Moon Wand is responding! Could this boy be... response:	Thank you. I'll treasure this picture.
context: Parlor Bear\Here, open it!\Is this for me?\Yeah, yeah!\It's not great, but isn't it so much better than a newspaper clipping?\And she looks nice with that sort of silly look on her face.\The Crescent Moon Wand is responding! Could this boy be...\Thank you. I'll treasure this picture. response:	It's no problem at all.
context: Here, open it!\Is this for me?\Yeah, yeah!\It's not great, but isn't it so much better than a newspaper clipping?\And she looks nice with that sort of silly look on her face.\The Crescent Moon Wand is responding! Could this boy be...\Thank you. I'll treasure this picture.\It's no problem at all. response:	So anyway, when are you going to tell Ami that you like her?
context: Is this for me?\Yeah, yeah!\It's not great, but isn't it so much better than a newspaper clipping?\And she looks nice with that sort of silly look on her face.\The Crescent Moon Wand is responding! Could this boy be...\Thank you. I'll treasure this picture.\It's no problem at all.\So anyway, when are you going to tell Ami that you like her? response:	Well, when I learned that I would be transferring to this school,
context: Yeah, yeah!\It's not great, but isn't it so much better than a newspaper clipping?\And she looks nice with that sort of silly look on her face.\The Crescent Moon Wand is responding! Could this boy be...\Thank you. I'll treasure this picture.\It's no problem at all.\So anyway, when are you going to tell Ami that you like her?\Well, when I learned that I would be transferring to this school, response:	I made up my mind.
context: It's not great, but isn't it so much better than a newspaper clipping?\And she looks nice with that sort of silly look on her face.\The Crescent Moon Wand is responding! Could this boy be...\Thank you. I'll treasure this picture.\It's no problem at all.\So anyway, when are you going to tell Ami that you like her?\Well, when I learned that I would be transferring to this school,\I made up my mind. response:	That if I could do better in school than her, I'd tell her how I feel!
context: And she looks nice with that sort of silly look on her face.\The Crescent Moon Wand is responding! Could this boy be...\Thank you. I'll treasure this picture.\It's no problem at all.\So anyway, when are you going to tell Ami that you like her?\Well, when I learned that I would be transferring to this school,\I made up my mind.\That if I could do better in school than her, I'd tell her how I feel! response:	That means you can do it any day now, right?
context: The Crescent Moon Wand is responding! Could this boy be...\Thank you. I'll treasure this picture.\It's no problem at all.\So anyway, when are you going to tell Ami that you like her?\Well, when I learned that I would be transferring to this school,\I made up my mind.\That if I could do better in school than her, I'd tell her how I feel!\That means you can do it any day now, right? response:	Oh, but...
context: Thank you. I'll treasure this picture.\It's no problem at all.\So anyway, when are you going to tell Ami that you like her?\Well, when I learned that I would be transferring to this school,\I made up my mind.\That if I could do better in school than her, I'd tell her how I feel!\That means you can do it any day now, right?\Oh, but... response:	All right, when Ami gets out of cram school tonight,
context: It's no problem at all.\So anyway, when are you going to tell Ami that you like her?\Well, when I learned that I would be transferring to this school,\I made up my mind.\That if I could do better in school than her, I'd tell her how I feel!\That means you can do it any day now, right?\Oh, but...\All right, when Ami gets out of cram school tonight, response:	Usagi will bring her to you!
context: So anyway, when are you going to tell Ami that you like her?\Well, when I learned that I would be transferring to this school,\I made up my mind.\That if I could do better in school than her, I'd tell her how I feel!\That means you can do it any day now, right?\Oh, but...\All right, when Ami gets out of cram school tonight,\Usagi will bring her to you! response:	So, be ready!
context: Well, when I learned that I would be transferring to this school,\I made up my mind.\That if I could do better in school than her, I'd tell her how I feel!\That means you can do it any day now, right?\Oh, but...\All right, when Ami gets out of cram school tonight,\Usagi will bring her to you!\So, be ready! response:	Excuse me...
context: I made up my mind.\That if I could do better in school than her, I'd tell her how I feel!\That means you can do it any day now, right?\Oh, but...\All right, when Ami gets out of cram school tonight,\Usagi will bring her to you!\So, be ready!\Excuse me... response:	Miss Usagi!
context: That if I could do better in school than her, I'd tell her how I feel!\That means you can do it any day now, right?\Oh, but...\All right, when Ami gets out of cram school tonight,\Usagi will bring her to you!\So, be ready!\Excuse me...\Miss Usagi! response:	2 Ice Cream Sodas Parlor Bear
context: That means you can do it any day now, right?\Oh, but...\All right, when Ami gets out of cram school tonight,\Usagi will bring her to you!\So, be ready!\Excuse me...\Miss Usagi!\2 Ice Cream Sodas Parlor Bear response:	Miss Mizuno...
context: Oh, but...\All right, when Ami gets out of cram school tonight,\Usagi will bring her to you!\So, be ready!\Excuse me...\Miss Usagi!\2 Ice Cream Sodas Parlor Bear\Miss Mizuno... response:	So, this boy is one of the great Seven Monsters,
context: All right, when Ami gets out of cram school tonight,\Usagi will bring her to you!\So, be ready!\Excuse me...\Miss Usagi!\2 Ice Cream Sodas Parlor Bear\Miss Mizuno...\So, this boy is one of the great Seven Monsters, response:	who possesses a rainbow crystal.
context: Usagi will bring her to you!\So, be ready!\Excuse me...\Miss Usagi!\2 Ice Cream Sodas Parlor Bear\Miss Mizuno...\So, this boy is one of the great Seven Monsters,\who possesses a rainbow crystal. response:	OK Cram School
context: So, be ready!\Excuse me...\Miss Usagi!\2 Ice Cream Sodas Parlor Bear\Miss Mizuno...\So, this boy is one of the great Seven Monsters,\who possesses a rainbow crystal.\OK Cram School response:	OK Cram School Hey, Usagi.
context: Excuse me...\Miss Usagi!\2 Ice Cream Sodas Parlor Bear\Miss Mizuno...\So, this boy is one of the great Seven Monsters,\who possesses a rainbow crystal.\OK Cram School\OK Cram School Hey, Usagi. response:	Hey, Usagi.
context: Miss Usagi!\2 Ice Cream Sodas Parlor Bear\Miss Mizuno...\So, this boy is one of the great Seven Monsters,\who possesses a rainbow crystal.\OK Cram School\OK Cram School Hey, Usagi.\Hey, Usagi. response:	I've been meaning to say this for a long time now, but...
context: 2 Ice Cream Sodas Parlor Bear\Miss Mizuno...\So, this boy is one of the great Seven Monsters,\who possesses a rainbow crystal.\OK Cram School\OK Cram School Hey, Usagi.\Hey, Usagi.\I've been meaning to say this for a long time now, but... response:	OK Cram School
context: Miss Mizuno...\So, this boy is one of the great Seven Monsters,\who possesses a rainbow crystal.\OK Cram School\OK Cram School Hey, Usagi.\Hey, Usagi.\I've been meaning to say this for a long time now, but...\OK Cram School response:	OK Cram School What is it?
context: So, this boy is one of the great Seven Monsters,\who possesses a rainbow crystal.\OK Cram School\OK Cram School Hey, Usagi.\Hey, Usagi.\I've been meaning to say this for a long time now, but...\OK Cram School\OK Cram School What is it? response:	OK Cram School Really? What is it?
context: who possesses a rainbow crystal.\OK Cram School\OK Cram School Hey, Usagi.\Hey, Usagi.\I've been meaning to say this for a long time now, but...\OK Cram School\OK Cram School What is it?\OK Cram School Really? What is it? response:	OK Cram School Really?
context: OK Cram School\OK Cram School Hey, Usagi.\Hey, Usagi.\I've been meaning to say this for a long time now, but...\OK Cram School\OK Cram School What is it?\OK Cram School Really? What is it?\OK Cram School Really? response:	Really?
context: OK Cram School Hey, Usagi.\Hey, Usagi.\I've been meaning to say this for a long time now, but...\OK Cram School\OK Cram School What is it?\OK Cram School Really? What is it?\OK Cram School Really?\Really? response:	Ami!
context: Hey, Usagi.\I've been meaning to say this for a long time now, but...\OK Cram School\OK Cram School What is it?\OK Cram School Really? What is it?\OK Cram School Really?\Really?\Ami! response:	Oh, Usagi, what are you doing here?
context: I've been meaning to say this for a long time now, but...\OK Cram School\OK Cram School What is it?\OK Cram School Really? What is it?\OK Cram School Really?\Really?\Ami!\Oh, Usagi, what are you doing here? response:	I want you to come with me for a bit.
context: OK Cram School\OK Cram School What is it?\OK Cram School Really? What is it?\OK Cram School Really?\Really?\Ami!\Oh, Usagi, what are you doing here?\I want you to come with me for a bit. response:	Let's go, Ami!
context: OK Cram School What is it?\OK Cram School Really? What is it?\OK Cram School Really?\Really?\Ami!\Oh, Usagi, what are you doing here?\I want you to come with me for a bit.\Let's go, Ami! response:	Wait... Let's go, Ami!
context: OK Cram School Really? What is it?\OK Cram School Really?\Really?\Ami!\Oh, Usagi, what are you doing here?\I want you to come with me for a bit.\Let's go, Ami!\Wait... Let's go, Ami! response:	Wait...
context: OK Cram School Really?\Really?\Ami!\Oh, Usagi, what are you doing here?\I want you to come with me for a bit.\Let's go, Ami!\Wait... Let's go, Ami!\Wait... response:	I've been waiting to see you, boy.
context: Really?\Ami!\Oh, Usagi, what are you doing here?\I want you to come with me for a bit.\Let's go, Ami!\Wait... Let's go, Ami!\Wait...\I've been waiting to see you, boy. response:	So, you're Zoisite?!
context: Ami!\Oh, Usagi, what are you doing here?\I want you to come with me for a bit.\Let's go, Ami!\Wait... Let's go, Ami!\Wait...\I've been waiting to see you, boy.\So, you're Zoisite?! response:	What?!
context: Oh, Usagi, what are you doing here?\I want you to come with me for a bit.\Let's go, Ami!\Wait... Let's go, Ami!\Wait...\I've been waiting to see you, boy.\So, you're Zoisite?!\What?! response:	How do you know my name? Explain yourself.
context: I want you to come with me for a bit.\Let's go, Ami!\Wait... Let's go, Ami!\Wait...\I've been waiting to see you, boy.\So, you're Zoisite?!\What?!\How do you know my name? Explain yourself. response:	Ever since I was a kid, I've had the power to predict the future.
context: Let's go, Ami!\Wait... Let's go, Ami!\Wait...\I've been waiting to see you, boy.\So, you're Zoisite?!\What?!\How do you know my name? Explain yourself.\Ever since I was a kid, I've had the power to predict the future. response:	And my power's been getting stronger these days.
context: Wait... Let's go, Ami!\Wait...\I've been waiting to see you, boy.\So, you're Zoisite?!\What?!\How do you know my name? Explain yourself.\Ever since I was a kid, I've had the power to predict the future.\And my power's been getting stronger these days. response:	Thanks to that, I've also figured out who I am.
context: Wait...\I've been waiting to see you, boy.\So, you're Zoisite?!\What?!\How do you know my name? Explain yourself.\Ever since I was a kid, I've had the power to predict the future.\And my power's been getting stronger these days.\Thanks to that, I've also figured out who I am. response:	An identity that I never wanted to know about.
context: I've been waiting to see you, boy.\So, you're Zoisite?!\What?!\How do you know my name? Explain yourself.\Ever since I was a kid, I've had the power to predict the future.\And my power's been getting stronger these days.\Thanks to that, I've also figured out who I am.\An identity that I never wanted to know about. response:	Then that simplifies things.
context: So, you're Zoisite?!\What?!\How do you know my name? Explain yourself.\Ever since I was a kid, I've had the power to predict the future.\And my power's been getting stronger these days.\Thanks to that, I've also figured out who I am.\An identity that I never wanted to know about.\Then that simplifies things. response:	Now, turn into one of the greatest monsters and kneel before me.
context: What?!\How do you know my name? Explain yourself.\Ever since I was a kid, I've had the power to predict the future.\And my power's been getting stronger these days.\Thanks to that, I've also figured out who I am.\An identity that I never wanted to know about.\Then that simplifies things.\Now, turn into one of the greatest monsters and kneel before me. response:	No!
context: How do you know my name? Explain yourself.\Ever since I was a kid, I've had the power to predict the future.\And my power's been getting stronger these days.\Thanks to that, I've also figured out who I am.\An identity that I never wanted to know about.\Then that simplifies things.\Now, turn into one of the greatest monsters and kneel before me.\No! response:	I'd rather die
context: Ever since I was a kid, I've had the power to predict the future.\And my power's been getting stronger these days.\Thanks to that, I've also figured out who I am.\An identity that I never wanted to know about.\Then that simplifies things.\Now, turn into one of the greatest monsters and kneel before me.\No!\I'd rather die response:	than become a pawn for the Devil!
context: And my power's been getting stronger these days.\Thanks to that, I've also figured out who I am.\An identity that I never wanted to know about.\Then that simplifies things.\Now, turn into one of the greatest monsters and kneel before me.\No!\I'd rather die\than become a pawn for the Devil! response:	Zoi!
context: Thanks to that, I've also figured out who I am.\An identity that I never wanted to know about.\Then that simplifies things.\Now, turn into one of the greatest monsters and kneel before me.\No!\I'd rather die\than become a pawn for the Devil!\Zoi! response:	Be a good boy and just surrender.
context: An identity that I never wanted to know about.\Then that simplifies things.\Now, turn into one of the greatest monsters and kneel before me.\No!\I'd rather die\than become a pawn for the Devil!\Zoi!\Be a good boy and just surrender. response:	Hurry, hurry!
context: Then that simplifies things.\Now, turn into one of the greatest monsters and kneel before me.\No!\I'd rather die\than become a pawn for the Devil!\Zoi!\Be a good boy and just surrender.\Hurry, hurry! response:	That's Zoisite!
context: Now, turn into one of the greatest monsters and kneel before me.\No!\I'd rather die\than become a pawn for the Devil!\Zoi!\Be a good boy and just surrender.\Hurry, hurry!\That's Zoisite! response:	Oh, no! Urawa's being attacked!
context: No!\I'd rather die\than become a pawn for the Devil!\Zoi!\Be a good boy and just surrender.\Hurry, hurry!\That's Zoisite!\Oh, no! Urawa's being attacked! response:	Both of you, transform now!
context: I'd rather die\than become a pawn for the Devil!\Zoi!\Be a good boy and just surrender.\Hurry, hurry!\That's Zoisite!\Oh, no! Urawa's being attacked!\Both of you, transform now! response:	Moon Prism Power Makeup!
context: than become a pawn for the Devil!\Zoi!\Be a good boy and just surrender.\Hurry, hurry!\That's Zoisite!\Oh, no! Urawa's being attacked!\Both of you, transform now!\Moon Prism Power Makeup! response:	Mercury Power Makeup!
context: Zoi!\Be a good boy and just surrender.\Hurry, hurry!\That's Zoisite!\Oh, no! Urawa's being attacked!\Both of you, transform now!\Moon Prism Power Makeup!\Mercury Power Makeup! response:	Stop right there!
context: Be a good boy and just surrender.\Hurry, hurry!\That's Zoisite!\Oh, no! Urawa's being attacked!\Both of you, transform now!\Moon Prism Power Makeup!\Mercury Power Makeup!\Stop right there! response:	Zoisite!
context: Hurry, hurry!\That's Zoisite!\Oh, no! Urawa's being attacked!\Both of you, transform now!\Moon Prism Power Makeup!\Mercury Power Makeup!\Stop right there!\Zoisite! response:	As long as the moon hangs in the night sky,
