context: We will now begin the 57th expedition beyond the walls! response:	Onward!
context: Message to pass along!\Right flank recon has been destroyed!\Our recon system is partially inoperative.\Pass this on, to the left.\Did you hear that, Petra?\Go.\Yes, Captain.\The right flank?! response:	I think that's where Armin is.
context: Right flank recon has been destroyed!\Our recon system is partially inoperative.\Pass this on, to the left.\Did you hear that, Petra?\Go.\Yes, Captain.\The right flank?!\I think that's where Armin is. response:	But Armin and the others should still be in position, near the center.
context: Our recon system is partially inoperative.\Pass this on, to the left.\Did you hear that, Petra?\Go.\Yes, Captain.\The right flank?!\I think that's where Armin is.\But Armin and the others should still be in position, near the center. response:	The Titans can't have made it in that far...
context: Pass this on, to the left.\Did you hear that, Petra?\Go.\Yes, Captain.\The right flank?!\I think that's where Armin is.\But Armin and the others should still be in position, near the center.\The Titans can't have made it in that far... response:	A black round?
context: Did you hear that, Petra?\Go.\Yes, Captain.\The right flank?!\I think that's where Armin is.\But Armin and the others should still be in position, near the center.\The Titans can't have made it in that far...\A black round? response:	Aberrants?
context: Go.\Yes, Captain.\The right flank?!\I think that's where Armin is.\But Armin and the others should still be in position, near the center.\The Titans can't have made it in that far...\A black round?\Aberrants? response:	Eren, you fire it.
context: Yes, Captain.\The right flank?!\I think that's where Armin is.\But Armin and the others should still be in position, near the center.\The Titans can't have made it in that far...\A black round?\Aberrants?\Eren, you fire it. response:	R-Right!
context: The right flank?!\I think that's where Armin is.\But Armin and the others should still be in position, near the center.\The Titans can't have made it in that far...\A black round?\Aberrants?\Eren, you fire it.\R-Right! response:	What a mess.
context: I think that's where Armin is.\But Armin and the others should still be in position, near the center.\The Titans can't have made it in that far...\A black round?\Aberrants?\Eren, you fire it.\R-Right!\What a mess. response:	We let it penetrate deep into our formation.
context: But Armin and the others should still be in position, near the center.\The Titans can't have made it in that far...\A black round?\Aberrants?\Eren, you fire it.\R-Right!\What a mess.\We let it penetrate deep into our formation. response:	It's almost here...
context: The Titans can't have made it in that far...\A black round?\Aberrants?\Eren, you fire it.\R-Right!\What a mess.\We let it penetrate deep into our formation.\It's almost here... response:	The Titan.
context: A black round?\Aberrants?\Eren, you fire it.\R-Right!\What a mess.\We let it penetrate deep into our formation.\It's almost here...\The Titan. response:	Beneath those smoke rounds, is there someone fighting?
context: Aberrants?\Eren, you fire it.\R-Right!\What a mess.\We let it penetrate deep into our formation.\It's almost here...\The Titan.\Beneath those smoke rounds, is there someone fighting? response:	Damn it...
context: Eren, you fire it.\R-Right!\What a mess.\We let it penetrate deep into our formation.\It's almost here...\The Titan.\Beneath those smoke rounds, is there someone fighting?\Damn it... response:	Look over here.
context: R-Right!\What a mess.\We let it penetrate deep into our formation.\It's almost here...\The Titan.\Beneath those smoke rounds, is there someone fighting?\Damn it...\Look over here. response:	You monster...
context: What a mess.\We let it penetrate deep into our formation.\It's almost here...\The Titan.\Beneath those smoke rounds, is there someone fighting?\Damn it...\Look over here.\You monster... response:	Now!
context: We let it penetrate deep into our formation.\It's almost here...\The Titan.\Beneath those smoke rounds, is there someone fighting?\Damn it...\Look over here.\You monster...\Now! response:	Three separate attacks at once...
context: It's almost here...\The Titan.\Beneath those smoke rounds, is there someone fighting?\Damn it...\Look over here.\You monster...\Now!\Three separate attacks at once... response:	You're pretty smart, but you can't possibly protect all three targets!
context: The Titan.\Beneath those smoke rounds, is there someone fighting?\Damn it...\Look over here.\You monster...\Now!\Three separate attacks at once...\You're pretty smart, but you can't possibly protect all three targets! response:	Spine, Achilles tendon...
context: Beneath those smoke rounds, is there someone fighting?\Damn it...\Look over here.\You monster...\Now!\Three separate attacks at once...\You're pretty smart, but you can't possibly protect all three targets!\Spine, Achilles tendon... response:	It doesn't matter!
context: Damn it...\Look over here.\You monster...\Now!\Three separate attacks at once...\You're pretty smart, but you can't possibly protect all three targets!\Spine, Achilles tendon...\It doesn't matter! response:	Hit one, and we will slow it down...
context: Look over here.\You monster...\Now!\Three separate attacks at once...\You're pretty smart, but you can't possibly protect all three targets!\Spine, Achilles tendon...\It doesn't matter!\Hit one, and we will slow it down... response:	Go!
context: You monster...\Now!\Three separate attacks at once...\You're pretty smart, but you can't possibly protect all three targets!\Spine, Achilles tendon...\It doesn't matter!\Hit one, and we will slow it down...\Go! response:	Damn you for causing so many deaths!
context: Now!\Three separate attacks at once...\You're pretty smart, but you can't possibly protect all three targets!\Spine, Achilles tendon...\It doesn't matter!\Hit one, and we will slow it down...\Go!\Damn you for causing so many deaths! response:	We'll make you die a slow, painful death!
context: Three separate attacks at once...\You're pretty smart, but you can't possibly protect all three targets!\Spine, Achilles tendon...\It doesn't matter!\Hit one, and we will slow it down...\Go!\Damn you for causing so many deaths!\We'll make you die a slow, painful death! response:	It jumped?
context: You're pretty smart, but you can't possibly protect all three targets!\Spine, Achilles tendon...\It doesn't matter!\Hit one, and we will slow it down...\Go!\Damn you for causing so many deaths!\We'll make you die a slow, painful death!\It jumped? response:	L-Let me go!
context: Spine, Achilles tendon...\It doesn't matter!\Hit one, and we will slow it down...\Go!\Damn you for causing so many deaths!\We'll make you die a slow, painful death!\It jumped?\L-Let me go! response:	The most important thing is to ensure they hear of this...
context: It doesn't matter!\Hit one, and we will slow it down...\Go!\Damn you for causing so many deaths!\We'll make you die a slow, painful death!\It jumped?\L-Let me go!\The most important thing is to ensure they hear of this... response:	I must tell them what we're up against!
context: Hit one, and we will slow it down...\Go!\Damn you for causing so many deaths!\We'll make you die a slow, painful death!\It jumped?\L-Let me go!\The most important thing is to ensure they hear of this...\I must tell them what we're up against! response:	An Aberrant?!
context: Go!\Damn you for causing so many deaths!\We'll make you die a slow, painful death!\It jumped?\L-Let me go!\The most important thing is to ensure they hear of this...\I must tell them what we're up against!\An Aberrant?! response:	It got in all the way here?
context: Damn you for causing so many deaths!\We'll make you die a slow, painful death!\It jumped?\L-Let me go!\The most important thing is to ensure they hear of this...\I must tell them what we're up against!\An Aberrant?!\It got in all the way here? response:	We'll take it out!
context: We'll make you die a slow, painful death!\It jumped?\L-Let me go!\The most important thing is to ensure they hear of this...\I must tell them what we're up against!\An Aberrant?!\It got in all the way here?\We'll take it out! response:	We can't let it penetrate any farther!
context: It jumped?\L-Let me go!\The most important thing is to ensure they hear of this...\I must tell them what we're up against!\An Aberrant?!\It got in all the way here?\We'll take it out!\We can't let it penetrate any farther! response:	The right flank's been wiped out?
context: L-Let me go!\The most important thing is to ensure they hear of this...\I must tell them what we're up against!\An Aberrant?!\It got in all the way here?\We'll take it out!\We can't let it penetrate any farther!\The right flank's been wiped out? response:	But we aren't withdrawing?
context: The most important thing is to ensure they hear of this...\I must tell them what we're up against!\An Aberrant?!\It got in all the way here?\We'll take it out!\We can't let it penetrate any farther!\The right flank's been wiped out?\But we aren't withdrawing? response:	Row 3-1: Cargo
context: I must tell them what we're up against!\An Aberrant?!\It got in all the way here?\We'll take it out!\We can't let it penetrate any farther!\The right flank's been wiped out?\But we aren't withdrawing?\Row 3-1: Cargo response:	Why?!
context: An Aberrant?!\It got in all the way here?\We'll take it out!\We can't let it penetrate any farther!\The right flank's been wiped out?\But we aren't withdrawing?\Row 3-1: Cargo\Why?! response:	No idea...
context: It got in all the way here?\We'll take it out!\We can't let it penetrate any farther!\The right flank's been wiped out?\But we aren't withdrawing?\Row 3-1: Cargo\Why?!\No idea... response:	The Commander's orders...
context: We'll take it out!\We can't let it penetrate any farther!\The right flank's been wiped out?\But we aren't withdrawing?\Row 3-1: Cargo\Why?!\No idea...\The Commander's orders... response:	Just relay the message to the left!
context: We can't let it penetrate any farther!\The right flank's been wiped out?\But we aren't withdrawing?\Row 3-1: Cargo\Why?!\No idea...\The Commander's orders...\Just relay the message to the left! response:	What's going on?
context: The right flank's been wiped out?\But we aren't withdrawing?\Row 3-1: Cargo\Why?!\No idea...\The Commander's orders...\Just relay the message to the left!\What's going on? response:	Row 1-13: Recon
context: But we aren't withdrawing?\Row 3-1: Cargo\Why?!\No idea...\The Commander's orders...\Just relay the message to the left!\What's going on?\Row 1-13: Recon response:	We keep heading east.
context: Row 3-1: Cargo\Why?!\No idea...\The Commander's orders...\Just relay the message to the left!\What's going on?\Row 1-13: Recon\We keep heading east. response:	Our goal is supposed to be south, to the old city.
context: Why?!\No idea...\The Commander's orders...\Just relay the message to the left!\What's going on?\Row 1-13: Recon\We keep heading east.\Our goal is supposed to be south, to the old city. response:	Row 1-5: Recon
context: No idea...\The Commander's orders...\Just relay the message to the left!\What's going on?\Row 1-13: Recon\We keep heading east.\Our goal is supposed to be south, to the old city.\Row 1-5: Recon response:	Right now, our formation's on a collision course.
context: The Commander's orders...\Just relay the message to the left!\What's going on?\Row 1-13: Recon\We keep heading east.\Our goal is supposed to be south, to the old city.\Row 1-5: Recon\Right now, our formation's on a collision course. response:	Yeah.
context: Just relay the message to the left!\What's going on?\Row 1-13: Recon\We keep heading east.\Our goal is supposed to be south, to the old city.\Row 1-5: Recon\Right now, our formation's on a collision course.\Yeah. response:	You can see it...
context: What's going on?\Row 1-13: Recon\We keep heading east.\Our goal is supposed to be south, to the old city.\Row 1-5: Recon\Right now, our formation's on a collision course.\Yeah.\You can see it... response:	The forest of giant trees!
context: Row 1-13: Recon\We keep heading east.\Our goal is supposed to be south, to the old city.\Row 1-5: Recon\Right now, our formation's on a collision course.\Yeah.\You can see it...\The forest of giant trees! response:	Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters.
context: We keep heading east.\Our goal is supposed to be south, to the old city.\Row 1-5: Recon\Right now, our formation's on a collision course.\Yeah.\You can see it...\The forest of giant trees!\Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters. response:	Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions.
context: Our goal is supposed to be south, to the old city.\Row 1-5: Recon\Right now, our formation's on a collision course.\Yeah.\You can see it...\The forest of giant trees!\Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters.\Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions. response:	Seems Titans passed through here.
context: Row 1-5: Recon\Right now, our formation's on a collision course.\Yeah.\You can see it...\The forest of giant trees!\Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters.\Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions.\Seems Titans passed through here. response:	There's nothing growing on the road.
context: Right now, our formation's on a collision course.\Yeah.\You can see it...\The forest of giant trees!\Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters.\Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions.\Seems Titans passed through here.\There's nothing growing on the road. response:	We can bring the carts through, too.
context: Yeah.\You can see it...\The forest of giant trees!\Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters.\Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions.\Seems Titans passed through here.\There's nothing growing on the road.\We can bring the carts through, too. response:	Send word to the rear
context: You can see it...\The forest of giant trees!\Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters.\Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions.\Seems Titans passed through here.\There's nothing growing on the road.\We can bring the carts through, too.\Send word to the rear response:	that only the central cart guard should enter the forest.
context: The forest of giant trees!\Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters.\Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions.\Seems Titans passed through here.\There's nothing growing on the road.\We can bring the carts through, too.\Send word to the rear\that only the central cart guard should enter the forest. response:	Yes, sir!
context: Forest of Giant Trees (1) Isolated forests of giant trees can be found within and beyond the walls. They occur naturally in certain areas, and tree heights can exceed 80 meters.\Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions.\Seems Titans passed through here.\There's nothing growing on the road.\We can bring the carts through, too.\Send word to the rear\that only the central cart guard should enter the forest.\Yes, sir! response:	Excuse me, sir...
context: Forest of Giant Trees (2) Before Wall Maria's fall, this particular forest was a tourist area. Now, it is a strategically important location used by the Survey Corps to protect themselves from Titans during expeditions.\Seems Titans passed through here.\There's nothing growing on the road.\We can bring the carts through, too.\Send word to the rear\that only the central cart guard should enter the forest.\Yes, sir!\Excuse me, sir... response:	The center row appears to be entering the forest,
context: Seems Titans passed through here.\There's nothing growing on the road.\We can bring the carts through, too.\Send word to the rear\that only the central cart guard should enter the forest.\Yes, sir!\Excuse me, sir...\The center row appears to be entering the forest, response:	but wouldn't the rest of us collide with the forest?
context: There's nothing growing on the road.\We can bring the carts through, too.\Send word to the rear\that only the central cart guard should enter the forest.\Yes, sir!\Excuse me, sir...\The center row appears to be entering the forest,\but wouldn't the rest of us collide with the forest? response:	We're going around.
context: We can bring the carts through, too.\Send word to the rear\that only the central cart guard should enter the forest.\Yes, sir!\Excuse me, sir...\The center row appears to be entering the forest,\but wouldn't the rest of us collide with the forest?\We're going around. response:	Yes, sir!
context: Send word to the rear\that only the central cart guard should enter the forest.\Yes, sir!\Excuse me, sir...\The center row appears to be entering the forest,\but wouldn't the rest of us collide with the forest?\We're going around.\Yes, sir! response:	Hey, what are we doing at this tourist spot?
context: that only the central cart guard should enter the forest.\Yes, sir!\Excuse me, sir...\The center row appears to be entering the forest,\but wouldn't the rest of us collide with the forest?\We're going around.\Yes, sir!\Hey, what are we doing at this tourist spot? response:	We're totally off from both our original destination and our return point.
context: Yes, sir!\Excuse me, sir...\The center row appears to be entering the forest,\but wouldn't the rest of us collide with the forest?\We're going around.\Yes, sir!\Hey, what are we doing at this tourist spot?\We're totally off from both our original destination and our return point. response:	I don't know...
context: Excuse me, sir...\The center row appears to be entering the forest,\but wouldn't the rest of us collide with the forest?\We're going around.\Yes, sir!\Hey, what are we doing at this tourist spot?\We're totally off from both our original destination and our return point.\I don't know... response:	I don't know, but the order came from Commander Erwin, after all.
context: The center row appears to be entering the forest,\but wouldn't the rest of us collide with the forest?\We're going around.\Yes, sir!\Hey, what are we doing at this tourist spot?\We're totally off from both our original destination and our return point.\I don't know...\I don't know, but the order came from Commander Erwin, after all. response:	He must have a plan.
context: but wouldn't the rest of us collide with the forest?\We're going around.\Yes, sir!\Hey, what are we doing at this tourist spot?\We're totally off from both our original destination and our return point.\I don't know...\I don't know, but the order came from Commander Erwin, after all.\He must have a plan. response:	What kind of plan?
context: We're going around.\Yes, sir!\Hey, what are we doing at this tourist spot?\We're totally off from both our original destination and our return point.\I don't know...\I don't know, but the order came from Commander Erwin, after all.\He must have a plan.\What kind of plan? response:	for us new recruits at a tourist spot?
context: Yes, sir!\Hey, what are we doing at this tourist spot?\We're totally off from both our original destination and our return point.\I don't know...\I don't know, but the order came from Commander Erwin, after all.\He must have a plan.\What kind of plan?\for us new recruits at a tourist spot? response:	No, I don't think so.
context: Hey, what are we doing at this tourist spot?\We're totally off from both our original destination and our return point.\I don't know...\I don't know, but the order came from Commander Erwin, after all.\He must have a plan.\What kind of plan?\for us new recruits at a tourist spot?\No, I don't think so. response:	That was a joke.
context: We're totally off from both our original destination and our return point.\I don't know...\I don't know, but the order came from Commander Erwin, after all.\He must have a plan.\What kind of plan?\for us new recruits at a tourist spot?\No, I don't think so.\That was a joke. response:	Anyway, that giant woman's following us.
context: I don't know...\I don't know, but the order came from Commander Erwin, after all.\He must have a plan.\What kind of plan?\for us new recruits at a tourist spot?\No, I don't think so.\That was a joke.\Anyway, that giant woman's following us. response:	No matter what his plan, we can't stay here.
context: I don't know, but the order came from Commander Erwin, after all.\He must have a plan.\What kind of plan?\for us new recruits at a tourist spot?\No, I don't think so.\That was a joke.\Anyway, that giant woman's following us.\No matter what his plan, we can't stay here. response:	The only thing I can imagine
context: He must have a plan.\What kind of plan?\for us new recruits at a tourist spot?\No, I don't think so.\That was a joke.\Anyway, that giant woman's following us.\No matter what his plan, we can't stay here.\The only thing I can imagine response:	is that we're passing through on our way to somewhere else...
context: What kind of plan?\for us new recruits at a tourist spot?\No, I don't think so.\That was a joke.\Anyway, that giant woman's following us.\No matter what his plan, we can't stay here.\The only thing I can imagine\is that we're passing through on our way to somewhere else... response:	Everyone, halt!
context: for us new recruits at a tourist spot?\No, I don't think so.\That was a joke.\Anyway, that giant woman's following us.\No matter what his plan, we can't stay here.\The only thing I can imagine\is that we're passing through on our way to somewhere else...\Everyone, halt! response:	All right. Listen up, recruits.
context: No, I don't think so.\That was a joke.\Anyway, that giant woman's following us.\No matter what his plan, we can't stay here.\The only thing I can imagine\is that we're passing through on our way to somewhere else...\Everyone, halt!\All right. Listen up, recruits. response:	We will now make preparations to launch a counterattack.
context: That was a joke.\Anyway, that giant woman's following us.\No matter what his plan, we can't stay here.\The only thing I can imagine\is that we're passing through on our way to somewhere else...\Everyone, halt!\All right. Listen up, recruits.\We will now make preparations to launch a counterattack. response:	Draw your blades, and wait above in the trees.
context: Anyway, that giant woman's following us.\No matter what his plan, we can't stay here.\The only thing I can imagine\is that we're passing through on our way to somewhere else...\Everyone, halt!\All right. Listen up, recruits.\We will now make preparations to launch a counterattack.\Draw your blades, and wait above in the trees. response:	If any Titans try to enter this forest, stop them at all costs!
context: No matter what his plan, we can't stay here.\The only thing I can imagine\is that we're passing through on our way to somewhere else...\Everyone, halt!\All right. Listen up, recruits.\We will now make preparations to launch a counterattack.\Draw your blades, and wait above in the trees.\If any Titans try to enter this forest, stop them at all costs! response:	U-Um, Sir, what do you
context: The only thing I can imagine\is that we're passing through on our way to somewhere else...\Everyone, halt!\All right. Listen up, recruits.\We will now make preparations to launch a counterattack.\Draw your blades, and wait above in the trees.\If any Titans try to enter this forest, stop them at all costs!\U-Um, Sir, what do you response:	Shut up and follow orders!
context: is that we're passing through on our way to somewhere else...\Everyone, halt!\All right. Listen up, recruits.\We will now make preparations to launch a counterattack.\Draw your blades, and wait above in the trees.\If any Titans try to enter this forest, stop them at all costs!\U-Um, Sir, what do you\Shut up and follow orders! response:	Seriously?
context: Everyone, halt!\All right. Listen up, recruits.\We will now make preparations to launch a counterattack.\Draw your blades, and wait above in the trees.\If any Titans try to enter this forest, stop them at all costs!\U-Um, Sir, what do you\Shut up and follow orders!\Seriously? response:	What's going on?
context: All right. Listen up, recruits.\We will now make preparations to launch a counterattack.\Draw your blades, and wait above in the trees.\If any Titans try to enter this forest, stop them at all costs!\U-Um, Sir, what do you\Shut up and follow orders!\Seriously?\What's going on? response:	H-Hey, it looks like only the center line went into the woods.
context: We will now make preparations to launch a counterattack.\Draw your blades, and wait above in the trees.\If any Titans try to enter this forest, stop them at all costs!\U-Um, Sir, what do you\Shut up and follow orders!\Seriously?\What's going on?\H-Hey, it looks like only the center line went into the woods. response:	What happened to the formation?
context: Draw your blades, and wait above in the trees.\If any Titans try to enter this forest, stop them at all costs!\U-Um, Sir, what do you\Shut up and follow orders!\Seriously?\What's going on?\H-Hey, it looks like only the center line went into the woods.\What happened to the formation? response:	It's gone.
context: If any Titans try to enter this forest, stop them at all costs!\U-Um, Sir, what do you\Shut up and follow orders!\Seriously?\What's going on?\H-Hey, it looks like only the center line went into the woods.\What happened to the formation?\It's gone. response:	The forest blocks our advance, so the left and right flanks
context: U-Um, Sir, what do you\Shut up and follow orders!\Seriously?\What's going on?\H-Hey, it looks like only the center line went into the woods.\What happened to the formation?\It's gone.\The forest blocks our advance, so the left and right flanks response:	will have to skirt the forest.
context: Shut up and follow orders!\Seriously?\What's going on?\H-Hey, it looks like only the center line went into the woods.\What happened to the formation?\It's gone.\The forest blocks our advance, so the left and right flanks\will have to skirt the forest. response:	We've lost our recon ability.
context: Seriously?\What's going on?\H-Hey, it looks like only the center line went into the woods.\What happened to the formation?\It's gone.\The forest blocks our advance, so the left and right flanks\will have to skirt the forest.\We've lost our recon ability. response:	Why didn't we change course to avoid this forest?
context: What's going on?\H-Hey, it looks like only the center line went into the woods.\What happened to the formation?\It's gone.\The forest blocks our advance, so the left and right flanks\will have to skirt the forest.\We've lost our recon ability.\Why didn't we change course to avoid this forest? response:	Did Commander Erwin read the map wrong?
context: H-Hey, it looks like only the center line went into the woods.\What happened to the formation?\It's gone.\The forest blocks our advance, so the left and right flanks\will have to skirt the forest.\We've lost our recon ability.\Why didn't we change course to avoid this forest?\Did Commander Erwin read the map wrong? response:	I don't know...
context: What happened to the formation?\It's gone.\The forest blocks our advance, so the left and right flanks\will have to skirt the forest.\We've lost our recon ability.\Why didn't we change course to avoid this forest?\Did Commander Erwin read the map wrong?\I don't know... response:	Perhaps we tried too hard to avoid the threat
context: It's gone.\The forest blocks our advance, so the left and right flanks\will have to skirt the forest.\We've lost our recon ability.\Why didn't we change course to avoid this forest?\Did Commander Erwin read the map wrong?\I don't know...\Perhaps we tried too hard to avoid the threat response:	on the right flank and ended up here...
context: The forest blocks our advance, so the left and right flanks\will have to skirt the forest.\We've lost our recon ability.\Why didn't we change course to avoid this forest?\Did Commander Erwin read the map wrong?\I don't know...\Perhaps we tried too hard to avoid the threat\on the right flank and ended up here... response:	This is insane...
context: will have to skirt the forest.\We've lost our recon ability.\Why didn't we change course to avoid this forest?\Did Commander Erwin read the map wrong?\I don't know...\Perhaps we tried too hard to avoid the threat\on the right flank and ended up here...\This is insane... response:	We've abandoned the original mission to cache supplies.
context: We've lost our recon ability.\Why didn't we change course to avoid this forest?\Did Commander Erwin read the map wrong?\I don't know...\Perhaps we tried too hard to avoid the threat\on the right flank and ended up here...\This is insane...\We've abandoned the original mission to cache supplies. response:	And when we abandoned it, we should've turned tail and run...
context: Why didn't we change course to avoid this forest?\Did Commander Erwin read the map wrong?\I don't know...\Perhaps we tried too hard to avoid the threat\on the right flank and ended up here...\This is insane...\We've abandoned the original mission to cache supplies.\And when we abandoned it, we should've turned tail and run... response:	But instead, we're forging ahead to a tourist trap.
context: Did Commander Erwin read the map wrong?\I don't know...\Perhaps we tried too hard to avoid the threat\on the right flank and ended up here...\This is insane...\We've abandoned the original mission to cache supplies.\And when we abandoned it, we should've turned tail and run...\But instead, we're forging ahead to a tourist trap. response:	And now, we're just standing here,
context: I don't know...\Perhaps we tried too hard to avoid the threat\on the right flank and ended up here...\This is insane...\We've abandoned the original mission to cache supplies.\And when we abandoned it, we should've turned tail and run...\But instead, we're forging ahead to a tourist trap.\And now, we're just standing here, response:	to stop any Titans that enter the woods?
context: Perhaps we tried too hard to avoid the threat\on the right flank and ended up here...\This is insane...\We've abandoned the original mission to cache supplies.\And when we abandoned it, we should've turned tail and run...\But instead, we're forging ahead to a tourist trap.\And now, we're just standing here,\to stop any Titans that enter the woods? response:	Damn him for giving a crazy order.
context: on the right flank and ended up here...\This is insane...\We've abandoned the original mission to cache supplies.\And when we abandoned it, we should've turned tail and run...\But instead, we're forging ahead to a tourist trap.\And now, we're just standing here,\to stop any Titans that enter the woods?\Damn him for giving a crazy order. response:	He'll hear you...
context: This is insane...\We've abandoned the original mission to cache supplies.\And when we abandoned it, we should've turned tail and run...\But instead, we're forging ahead to a tourist trap.\And now, we're just standing here,\to stop any Titans that enter the woods?\Damn him for giving a crazy order.\He'll hear you... response:	And this no real explanation thing is innovative, too.
context: We've abandoned the original mission to cache supplies.\And when we abandoned it, we should've turned tail and run...\But instead, we're forging ahead to a tourist trap.\And now, we're just standing here,\to stop any Titans that enter the woods?\Damn him for giving a crazy order.\He'll hear you...\And this no real explanation thing is innovative, too. response:	Of course, I'm sure he has his own concerns...
context: And when we abandoned it, we should've turned tail and run...\But instead, we're forging ahead to a tourist trap.\And now, we're just standing here,\to stop any Titans that enter the woods?\Damn him for giving a crazy order.\He'll hear you...\And this no real explanation thing is innovative, too.\Of course, I'm sure he has his own concerns... response:	What do you mean?
context: But instead, we're forging ahead to a tourist trap.\And now, we're just standing here,\to stop any Titans that enter the woods?\Damn him for giving a crazy order.\He'll hear you...\And this no real explanation thing is innovative, too.\Of course, I'm sure he has his own concerns...\What do you mean? response:	A commander deemed worthless by his men in a critical situation
context: And now, we're just standing here,\to stop any Titans that enter the woods?\Damn him for giving a crazy order.\He'll hear you...\And this no real explanation thing is innovative, too.\Of course, I'm sure he has his own concerns...\What do you mean?\A commander deemed worthless by his men in a critical situation response:	quite often succumbs to a mysterious attack from behind.
context: to stop any Titans that enter the woods?\Damn him for giving a crazy order.\He'll hear you...\And this no real explanation thing is innovative, too.\Of course, I'm sure he has his own concerns...\What do you mean?\A commander deemed worthless by his men in a critical situation\quite often succumbs to a mysterious attack from behind. response:	I'm just saying it wouldn't surprise me.
context: Damn him for giving a crazy order.\He'll hear you...\And this no real explanation thing is innovative, too.\Of course, I'm sure he has his own concerns...\What do you mean?\A commander deemed worthless by his men in a critical situation\quite often succumbs to a mysterious attack from behind.\I'm just saying it wouldn't surprise me. response:	Jean, so what are you going to do?
context: He'll hear you...\And this no real explanation thing is innovative, too.\Of course, I'm sure he has his own concerns...\What do you mean?\A commander deemed worthless by his men in a critical situation\quite often succumbs to a mysterious attack from behind.\I'm just saying it wouldn't surprise me.\Jean, so what are you going to do? response:	Don't be so serious...
context: And this no real explanation thing is innovative, too.\Of course, I'm sure he has his own concerns...\What do you mean?\A commander deemed worthless by his men in a critical situation\quite often succumbs to a mysterious attack from behind.\I'm just saying it wouldn't surprise me.\Jean, so what are you going to do?\Don't be so serious... response:	This situation's got me a bit worked up, that's all.
context: Of course, I'm sure he has his own concerns...\What do you mean?\A commander deemed worthless by his men in a critical situation\quite often succumbs to a mysterious attack from behind.\I'm just saying it wouldn't surprise me.\Jean, so what are you going to do?\Don't be so serious...\This situation's got me a bit worked up, that's all. response:	What am I going to do?
context: What do you mean?\A commander deemed worthless by his men in a critical situation\quite often succumbs to a mysterious attack from behind.\I'm just saying it wouldn't surprise me.\Jean, so what are you going to do?\Don't be so serious...\This situation's got me a bit worked up, that's all.\What am I going to do? response:	Obey my orders, and keep Titans out of the forest.
context: A commander deemed worthless by his men in a critical situation\quite often succumbs to a mysterious attack from behind.\I'm just saying it wouldn't surprise me.\Jean, so what are you going to do?\Don't be so serious...\This situation's got me a bit worked up, that's all.\What am I going to do?\Obey my orders, and keep Titans out of the forest. response:	You also think it's the right move, don't you?
context: quite often succumbs to a mysterious attack from behind.\I'm just saying it wouldn't surprise me.\Jean, so what are you going to do?\Don't be so serious...\This situation's got me a bit worked up, that's all.\What am I going to do?\Obey my orders, and keep Titans out of the forest.\You also think it's the right move, don't you? response:	Ah
context: I'm just saying it wouldn't surprise me.\Jean, so what are you going to do?\Don't be so serious...\This situation's got me a bit worked up, that's all.\What am I going to do?\Obey my orders, and keep Titans out of the forest.\You also think it's the right move, don't you?\Ah response:	You look like you know something.
context: Jean, so what are you going to do?\Don't be so serious...\This situation's got me a bit worked up, that's all.\What am I going to do?\Obey my orders, and keep Titans out of the forest.\You also think it's the right move, don't you?\Ah\You look like you know something. response:	Well...
