context: The Year 1876 (What is now) Philadelphia, America response:	Well... I'll just be going!
context: I returned the glasses!\Thank you, Mari.\No problem.\-Hey, Papa. I think I- -It's so hot. I'm exhausted.\Yes, let's call the judging over for today, and do the rest at another time.\N-No!\Well, if it isn't Mr. Bell!\Dom Pedro! response:	What a coincidence, meeting you here again.
context: Thank you, Mari.\No problem.\-Hey, Papa. I think I- -It's so hot. I'm exhausted.\Yes, let's call the judging over for today, and do the rest at another time.\N-No!\Well, if it isn't Mr. Bell!\Dom Pedro!\What a coincidence, meeting you here again. response:	Thank you for taking care of me in Boston.
context: No problem.\-Hey, Papa. I think I- -It's so hot. I'm exhausted.\Yes, let's call the judging over for today, and do the rest at another time.\N-No!\Well, if it isn't Mr. Bell!\Dom Pedro!\What a coincidence, meeting you here again.\Thank you for taking care of me in Boston. response:	Likewise!
context: -Hey, Papa. I think I- -It's so hot. I'm exhausted.\Yes, let's call the judging over for today, and do the rest at another time.\N-No!\Well, if it isn't Mr. Bell!\Dom Pedro!\What a coincidence, meeting you here again.\Thank you for taking care of me in Boston.\Likewise! response:	Mari, as long as you're here, why not watch?
context: Yes, let's call the judging over for today, and do the rest at another time.\N-No!\Well, if it isn't Mr. Bell!\Dom Pedro!\What a coincidence, meeting you here again.\Thank you for taking care of me in Boston.\Likewise!\Mari, as long as you're here, why not watch? response:	This is the pivotal moment when the telephone is introduced to the world.
context: N-No!\Well, if it isn't Mr. Bell!\Dom Pedro!\What a coincidence, meeting you here again.\Thank you for taking care of me in Boston.\Likewise!\Mari, as long as you're here, why not watch?\This is the pivotal moment when the telephone is introduced to the world. response:	The pivotal moment?
context: Well, if it isn't Mr. Bell!\Dom Pedro!\What a coincidence, meeting you here again.\Thank you for taking care of me in Boston.\Likewise!\Mari, as long as you're here, why not watch?\This is the pivotal moment when the telephone is introduced to the world.\The pivotal moment? response:	Well then, I'll begin.
context: Dom Pedro!\What a coincidence, meeting you here again.\Thank you for taking care of me in Boston.\Likewise!\Mari, as long as you're here, why not watch?\This is the pivotal moment when the telephone is introduced to the world.\The pivotal moment?\Well then, I'll begin. response:	Please go to the next room.
context: What a coincidence, meeting you here again.\Thank you for taking care of me in Boston.\Likewise!\Mari, as long as you're here, why not watch?\This is the pivotal moment when the telephone is introduced to the world.\The pivotal moment?\Well then, I'll begin.\Please go to the next room. response:	This can still only be spoken into from one end,
context: Thank you for taking care of me in Boston.\Likewise!\Mari, as long as you're here, why not watch?\This is the pivotal moment when the telephone is introduced to the world.\The pivotal moment?\Well then, I'll begin.\Please go to the next room.\This can still only be spoken into from one end, response:	so I will speak to the emperor
context: Likewise!\Mari, as long as you're here, why not watch?\This is the pivotal moment when the telephone is introduced to the world.\The pivotal moment?\Well then, I'll begin.\Please go to the next room.\This can still only be spoken into from one end,\so I will speak to the emperor response:	standing in the next room over.
context: Mari, as long as you're here, why not watch?\This is the pivotal moment when the telephone is introduced to the world.\The pivotal moment?\Well then, I'll begin.\Please go to the next room.\This can still only be spoken into from one end,\so I will speak to the emperor\standing in the next room over. response:	Dom Pedro, can you hear what I'm saying?
context: This is the pivotal moment when the telephone is introduced to the world.\The pivotal moment?\Well then, I'll begin.\Please go to the next room.\This can still only be spoken into from one end,\so I will speak to the emperor\standing in the next room over.\Dom Pedro, can you hear what I'm saying? response:	I hear him! I can hear him!
context: The pivotal moment?\Well then, I'll begin.\Please go to the next room.\This can still only be spoken into from one end,\so I will speak to the emperor\standing in the next room over.\Dom Pedro, can you hear what I'm saying?\I hear him! I can hear him! response:	That is the question.
context: Well then, I'll begin.\Please go to the next room.\This can still only be spoken into from one end,\so I will speak to the emperor\standing in the next room over.\Dom Pedro, can you hear what I'm saying?\I hear him! I can hear him!\That is the question. response:	That is the question.
context: Please go to the next room.\This can still only be spoken into from one end,\so I will speak to the emperor\standing in the next room over.\Dom Pedro, can you hear what I'm saying?\I hear him! I can hear him!\That is the question.\That is the question. response:	He talked through the machine!
context: This can still only be spoken into from one end,\so I will speak to the emperor\standing in the next room over.\Dom Pedro, can you hear what I'm saying?\I hear him! I can hear him!\That is the question.\That is the question.\He talked through the machine! response:	Just like Mr. Bell said! It's truly wonderful!
context: so I will speak to the emperor\standing in the next room over.\Dom Pedro, can you hear what I'm saying?\I hear him! I can hear him!\That is the question.\That is the question.\He talked through the machine!\Just like Mr. Bell said! It's truly wonderful! response:	I'm so happy for Mr. Bell!
context: standing in the next room over.\Dom Pedro, can you hear what I'm saying?\I hear him! I can hear him!\That is the question.\That is the question.\He talked through the machine!\Just like Mr. Bell said! It's truly wonderful!\I'm so happy for Mr. Bell! response:	Papa, it gave me goosebumps!
context: Dom Pedro, can you hear what I'm saying?\I hear him! I can hear him!\That is the question.\That is the question.\He talked through the machine!\Just like Mr. Bell said! It's truly wonderful!\I'm so happy for Mr. Bell!\Papa, it gave me goosebumps! response:	Yes, by showing us all of these things,
context: I hear him! I can hear him!\That is the question.\That is the question.\He talked through the machine!\Just like Mr. Bell said! It's truly wonderful!\I'm so happy for Mr. Bell!\Papa, it gave me goosebumps!\Yes, by showing us all of these things, response:	I think there's something the book wants us to do.
context: That is the question.\That is the question.\He talked through the machine!\Just like Mr. Bell said! It's truly wonderful!\I'm so happy for Mr. Bell!\Papa, it gave me goosebumps!\Yes, by showing us all of these things,\I think there's something the book wants us to do. response:	Huh?
context: That is the question.\He talked through the machine!\Just like Mr. Bell said! It's truly wonderful!\I'm so happy for Mr. Bell!\Papa, it gave me goosebumps!\Yes, by showing us all of these things,\I think there's something the book wants us to do.\Huh? response:	The history of the telephone relies on many strange coincidences.
context: He talked through the machine!\Just like Mr. Bell said! It's truly wonderful!\I'm so happy for Mr. Bell!\Papa, it gave me goosebumps!\Yes, by showing us all of these things,\I think there's something the book wants us to do.\Huh?\The history of the telephone relies on many strange coincidences. response:	Coincidences?
context: Just like Mr. Bell said! It's truly wonderful!\I'm so happy for Mr. Bell!\Papa, it gave me goosebumps!\Yes, by showing us all of these things,\I think there's something the book wants us to do.\Huh?\The history of the telephone relies on many strange coincidences.\Coincidences? response:	Mr. Bell was a teacher at a school for the deaf.
context: I'm so happy for Mr. Bell!\Papa, it gave me goosebumps!\Yes, by showing us all of these things,\I think there's something the book wants us to do.\Huh?\The history of the telephone relies on many strange coincidences.\Coincidences?\Mr. Bell was a teacher at a school for the deaf. response:	To teach deaf people how to speak,
context: Papa, it gave me goosebumps!\Yes, by showing us all of these things,\I think there's something the book wants us to do.\Huh?\The history of the telephone relies on many strange coincidences.\Coincidences?\Mr. Bell was a teacher at a school for the deaf.\To teach deaf people how to speak, response:	he wanted to portray sounds visually.
context: Yes, by showing us all of these things,\I think there's something the book wants us to do.\Huh?\The history of the telephone relies on many strange coincidences.\Coincidences?\Mr. Bell was a teacher at a school for the deaf.\To teach deaf people how to speak,\he wanted to portray sounds visually. response:	That's what got him started on his research.
context: I think there's something the book wants us to do.\Huh?\The history of the telephone relies on many strange coincidences.\Coincidences?\Mr. Bell was a teacher at a school for the deaf.\To teach deaf people how to speak,\he wanted to portray sounds visually.\That's what got him started on his research. response:	Then on June 2nd, 1875,
context: Huh?\The history of the telephone relies on many strange coincidences.\Coincidences?\Mr. Bell was a teacher at a school for the deaf.\To teach deaf people how to speak,\he wanted to portray sounds visually.\That's what got him started on his research.\Then on June 2nd, 1875, response:	something happened that inspired him to discover the principle behind the telephone.
context: The history of the telephone relies on many strange coincidences.\Coincidences?\Mr. Bell was a teacher at a school for the deaf.\To teach deaf people how to speak,\he wanted to portray sounds visually.\That's what got him started on his research.\Then on June 2nd, 1875,\something happened that inspired him to discover the principle behind the telephone. response:	His assistant, Thomas Watson,
context: Coincidences?\Mr. Bell was a teacher at a school for the deaf.\To teach deaf people how to speak,\he wanted to portray sounds visually.\That's what got him started on his research.\Then on June 2nd, 1875,\something happened that inspired him to discover the principle behind the telephone.\His assistant, Thomas Watson, response:	plucked a reed while trying to remove it from an electromagnet,
context: Mr. Bell was a teacher at a school for the deaf.\To teach deaf people how to speak,\he wanted to portray sounds visually.\That's what got him started on his research.\Then on June 2nd, 1875,\something happened that inspired him to discover the principle behind the telephone.\His assistant, Thomas Watson,\plucked a reed while trying to remove it from an electromagnet, response:	accidentally sending the sound traveling through the wire.
context: To teach deaf people how to speak,\he wanted to portray sounds visually.\That's what got him started on his research.\Then on June 2nd, 1875,\something happened that inspired him to discover the principle behind the telephone.\His assistant, Thomas Watson,\plucked a reed while trying to remove it from an electromagnet,\accidentally sending the sound traveling through the wire. response:	After that, he tried many different configurations
context: he wanted to portray sounds visually.\That's what got him started on his research.\Then on June 2nd, 1875,\something happened that inspired him to discover the principle behind the telephone.\His assistant, Thomas Watson,\plucked a reed while trying to remove it from an electromagnet,\accidentally sending the sound traveling through the wire.\After that, he tried many different configurations response:	until March 10th, 1876.
context: That's what got him started on his research.\Then on June 2nd, 1875,\something happened that inspired him to discover the principle behind the telephone.\His assistant, Thomas Watson,\plucked a reed while trying to remove it from an electromagnet,\accidentally sending the sound traveling through the wire.\After that, he tried many different configurations\until March 10th, 1876. response:	This time, Bell accidentally spilled acid on his pants
context: Then on June 2nd, 1875,\something happened that inspired him to discover the principle behind the telephone.\His assistant, Thomas Watson,\plucked a reed while trying to remove it from an electromagnet,\accidentally sending the sound traveling through the wire.\After that, he tried many different configurations\until March 10th, 1876.\This time, Bell accidentally spilled acid on his pants response:	and cried out.
context: something happened that inspired him to discover the principle behind the telephone.\His assistant, Thomas Watson,\plucked a reed while trying to remove it from an electromagnet,\accidentally sending the sound traveling through the wire.\After that, he tried many different configurations\until March 10th, 1876.\This time, Bell accidentally spilled acid on his pants\and cried out. response:	That was the first time a person's voice was transmitted via telephone.
context: His assistant, Thomas Watson,\plucked a reed while trying to remove it from an electromagnet,\accidentally sending the sound traveling through the wire.\After that, he tried many different configurations\until March 10th, 1876.\This time, Bell accidentally spilled acid on his pants\and cried out.\That was the first time a person's voice was transmitted via telephone. response:	And today, June 25th, 1876,
context: plucked a reed while trying to remove it from an electromagnet,\accidentally sending the sound traveling through the wire.\After that, he tried many different configurations\until March 10th, 1876.\This time, Bell accidentally spilled acid on his pants\and cried out.\That was the first time a person's voice was transmitted via telephone.\And today, June 25th, 1876, response:	Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition.
context: accidentally sending the sound traveling through the wire.\After that, he tried many different configurations\until March 10th, 1876.\This time, Bell accidentally spilled acid on his pants\and cried out.\That was the first time a person's voice was transmitted via telephone.\And today, June 25th, 1876,\Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition. response:	Previously, the emperor had come to observe his schools for the deaf.
context: After that, he tried many different configurations\until March 10th, 1876.\This time, Bell accidentally spilled acid on his pants\and cried out.\That was the first time a person's voice was transmitted via telephone.\And today, June 25th, 1876,\Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition.\Previously, the emperor had come to observe his schools for the deaf. response:	What a lot of coincidences!
context: until March 10th, 1876.\This time, Bell accidentally spilled acid on his pants\and cried out.\That was the first time a person's voice was transmitted via telephone.\And today, June 25th, 1876,\Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition.\Previously, the emperor had come to observe his schools for the deaf.\What a lot of coincidences! response:	Mr. Bell must have been a lucky person!
context: This time, Bell accidentally spilled acid on his pants\and cried out.\That was the first time a person's voice was transmitted via telephone.\And today, June 25th, 1876,\Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition.\Previously, the emperor had come to observe his schools for the deaf.\What a lot of coincidences!\Mr. Bell must have been a lucky person! response:	I think there's more to it than luck.
context: and cried out.\That was the first time a person's voice was transmitted via telephone.\And today, June 25th, 1876,\Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition.\Previously, the emperor had come to observe his schools for the deaf.\What a lot of coincidences!\Mr. Bell must have been a lucky person!\I think there's more to it than luck. response:	Huh?
context: That was the first time a person's voice was transmitted via telephone.\And today, June 25th, 1876,\Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition.\Previously, the emperor had come to observe his schools for the deaf.\What a lot of coincidences!\Mr. Bell must have been a lucky person!\I think there's more to it than luck.\Huh? response:	When it comes to destiny, there are no coincidences.
context: And today, June 25th, 1876,\Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition.\Previously, the emperor had come to observe his schools for the deaf.\What a lot of coincidences!\Mr. Bell must have been a lucky person!\I think there's more to it than luck.\Huh?\When it comes to destiny, there are no coincidences. response:	Before a man meets his destiny, he builds it for himself.
context: Dom Pedro, the emperor of Brazil, and Mr. Bell happened to reunite at the exhibition.\Previously, the emperor had come to observe his schools for the deaf.\What a lot of coincidences!\Mr. Bell must have been a lucky person!\I think there's more to it than luck.\Huh?\When it comes to destiny, there are no coincidences.\Before a man meets his destiny, he builds it for himself. response:	Have you ever heard those words?
context: Previously, the emperor had come to observe his schools for the deaf.\What a lot of coincidences!\Mr. Bell must have been a lucky person!\I think there's more to it than luck.\Huh?\When it comes to destiny, there are no coincidences.\Before a man meets his destiny, he builds it for himself.\Have you ever heard those words? response:	No. What do they mean?
context: What a lot of coincidences!\Mr. Bell must have been a lucky person!\I think there's more to it than luck.\Huh?\When it comes to destiny, there are no coincidences.\Before a man meets his destiny, he builds it for himself.\Have you ever heard those words?\No. What do they mean? response:	The father of Mr. Bell's fiancee told him
context: Mr. Bell must have been a lucky person!\I think there's more to it than luck.\Huh?\When it comes to destiny, there are no coincidences.\Before a man meets his destiny, he builds it for himself.\Have you ever heard those words?\No. What do they mean?\The father of Mr. Bell's fiancee told him response:	that he should focus on the invention of the telephone.
context: I think there's more to it than luck.\Huh?\When it comes to destiny, there are no coincidences.\Before a man meets his destiny, he builds it for himself.\Have you ever heard those words?\No. What do they mean?\The father of Mr. Bell's fiancee told him\that he should focus on the invention of the telephone. response:	But because he wouldn't give up on the school or the phone,
context: Huh?\When it comes to destiny, there are no coincidences.\Before a man meets his destiny, he builds it for himself.\Have you ever heard those words?\No. What do they mean?\The father of Mr. Bell's fiancee told him\that he should focus on the invention of the telephone.\But because he wouldn't give up on the school or the phone, response:	I believe that's the reason he got this opportunity.
context: When it comes to destiny, there are no coincidences.\Before a man meets his destiny, he builds it for himself.\Have you ever heard those words?\No. What do they mean?\The father of Mr. Bell's fiancee told him\that he should focus on the invention of the telephone.\But because he wouldn't give up on the school or the phone,\I believe that's the reason he got this opportunity. response:	Because he wouldn't give up?
context: Before a man meets his destiny, he builds it for himself.\Have you ever heard those words?\No. What do they mean?\The father of Mr. Bell's fiancee told him\that he should focus on the invention of the telephone.\But because he wouldn't give up on the school or the phone,\I believe that's the reason he got this opportunity.\Because he wouldn't give up? response:	When you find something you love, you don't want to give up on it.
context: Have you ever heard those words?\No. What do they mean?\The father of Mr. Bell's fiancee told him\that he should focus on the invention of the telephone.\But because he wouldn't give up on the school or the phone,\I believe that's the reason he got this opportunity.\Because he wouldn't give up?\When you find something you love, you don't want to give up on it. response:	I'm the same way.
context: No. What do they mean?\The father of Mr. Bell's fiancee told him\that he should focus on the invention of the telephone.\But because he wouldn't give up on the school or the phone,\I believe that's the reason he got this opportunity.\Because he wouldn't give up?\When you find something you love, you don't want to give up on it.\I'm the same way. response:	Finding something you love is amazing, huh?
context: The father of Mr. Bell's fiancee told him\that he should focus on the invention of the telephone.\But because he wouldn't give up on the school or the phone,\I believe that's the reason he got this opportunity.\Because he wouldn't give up?\When you find something you love, you don't want to give up on it.\I'm the same way.\Finding something you love is amazing, huh? response:	Have you found something like that yet?
context: that he should focus on the invention of the telephone.\But because he wouldn't give up on the school or the phone,\I believe that's the reason he got this opportunity.\Because he wouldn't give up?\When you find something you love, you don't want to give up on it.\I'm the same way.\Finding something you love is amazing, huh?\Have you found something like that yet? response:	Me? I don't know...
context: But because he wouldn't give up on the school or the phone,\I believe that's the reason he got this opportunity.\Because he wouldn't give up?\When you find something you love, you don't want to give up on it.\I'm the same way.\Finding something you love is amazing, huh?\Have you found something like that yet?\Me? I don't know... response:	I'm sorry, Rei, to make you take Rika.
context: I believe that's the reason he got this opportunity.\Because he wouldn't give up?\When you find something you love, you don't want to give up on it.\I'm the same way.\Finding something you love is amazing, huh?\Have you found something like that yet?\Me? I don't know...\I'm sorry, Rei, to make you take Rika. response:	Leave it to me!
context: Because he wouldn't give up?\When you find something you love, you don't want to give up on it.\I'm the same way.\Finding something you love is amazing, huh?\Have you found something like that yet?\Me? I don't know...\I'm sorry, Rei, to make you take Rika.\Leave it to me! response:	Rika, dear, let's go.
context: When you find something you love, you don't want to give up on it.\I'm the same way.\Finding something you love is amazing, huh?\Have you found something like that yet?\Me? I don't know...\I'm sorry, Rei, to make you take Rika.\Leave it to me!\Rika, dear, let's go. response:	Okay!
context: I'm the same way.\Finding something you love is amazing, huh?\Have you found something like that yet?\Me? I don't know...\I'm sorry, Rei, to make you take Rika.\Leave it to me!\Rika, dear, let's go.\Okay! response:	We'll talk about the details inside.
context: Finding something you love is amazing, huh?\Have you found something like that yet?\Me? I don't know...\I'm sorry, Rei, to make you take Rika.\Leave it to me!\Rika, dear, let's go.\Okay!\We'll talk about the details inside. response:	Understood.
context: Have you found something like that yet?\Me? I don't know...\I'm sorry, Rei, to make you take Rika.\Leave it to me!\Rika, dear, let's go.\Okay!\We'll talk about the details inside.\Understood. response:	Dear!
context: Me? I don't know...\I'm sorry, Rei, to make you take Rika.\Leave it to me!\Rika, dear, let's go.\Okay!\We'll talk about the details inside.\Understood.\Dear! response:	Mama?
context: I'm sorry, Rei, to make you take Rika.\Leave it to me!\Rika, dear, let's go.\Okay!\We'll talk about the details inside.\Understood.\Dear!\Mama? response:	Um... Akira?
context: Leave it to me!\Rika, dear, let's go.\Okay!\We'll talk about the details inside.\Understood.\Dear!\Mama?\Um... Akira? response:	I'm sorry, Mari. She found us out.
context: Rika, dear, let's go.\Okay!\We'll talk about the details inside.\Understood.\Dear!\Mama?\Um... Akira?\I'm sorry, Mari. She found us out. response:	It's not your fault, Waka. It's my fault.
context: Okay!\We'll talk about the details inside.\Understood.\Dear!\Mama?\Um... Akira?\I'm sorry, Mari. She found us out.\It's not your fault, Waka. It's my fault. response:	Yes, it is.
context: We'll talk about the details inside.\Understood.\Dear!\Mama?\Um... Akira?\I'm sorry, Mari. She found us out.\It's not your fault, Waka. It's my fault.\Yes, it is. response:	Papa, I don't want to hear that from you!
context: Understood.\Dear!\Mama?\Um... Akira?\I'm sorry, Mari. She found us out.\It's not your fault, Waka. It's my fault.\Yes, it is.\Papa, I don't want to hear that from you! response:	S-So, Akira...
context: Dear!\Mama?\Um... Akira?\I'm sorry, Mari. She found us out.\It's not your fault, Waka. It's my fault.\Yes, it is.\Papa, I don't want to hear that from you!\S-So, Akira... response:	Are you well?
context: Mama?\Um... Akira?\I'm sorry, Mari. She found us out.\It's not your fault, Waka. It's my fault.\Yes, it is.\Papa, I don't want to hear that from you!\S-So, Akira...\Are you well? response:	Oh, yes.
context: Um... Akira?\I'm sorry, Mari. She found us out.\It's not your fault, Waka. It's my fault.\Yes, it is.\Papa, I don't want to hear that from you!\S-So, Akira...\Are you well?\Oh, yes. response:	It has been some time. You seem as well as ever.
context: I'm sorry, Mari. She found us out.\It's not your fault, Waka. It's my fault.\Yes, it is.\Papa, I don't want to hear that from you!\S-So, Akira...\Are you well?\Oh, yes.\It has been some time. You seem as well as ever. response:	Even though I saw you just last morning.
context: It's not your fault, Waka. It's my fault.\Yes, it is.\Papa, I don't want to hear that from you!\S-So, Akira...\Are you well?\Oh, yes.\It has been some time. You seem as well as ever.\Even though I saw you just last morning. response:	Last morning? When? You clearly don't know how I feel.
context: Yes, it is.\Papa, I don't want to hear that from you!\S-So, Akira...\Are you well?\Oh, yes.\It has been some time. You seem as well as ever.\Even though I saw you just last morning.\Last morning? When? You clearly don't know how I feel. response:	I'm sorry.
context: Papa, I don't want to hear that from you!\S-So, Akira...\Are you well?\Oh, yes.\It has been some time. You seem as well as ever.\Even though I saw you just last morning.\Last morning? When? You clearly don't know how I feel.\I'm sorry. response:	But we swore our eternal devotion
context: S-So, Akira...\Are you well?\Oh, yes.\It has been some time. You seem as well as ever.\Even though I saw you just last morning.\Last morning? When? You clearly don't know how I feel.\I'm sorry.\But we swore our eternal devotion response:	on that beach before the setting sun.
context: Are you well?\Oh, yes.\It has been some time. You seem as well as ever.\Even though I saw you just last morning.\Last morning? When? You clearly don't know how I feel.\I'm sorry.\But we swore our eternal devotion\on that beach before the setting sun. response:	Create what we imagine?
context: Oh, yes.\It has been some time. You seem as well as ever.\Even though I saw you just last morning.\Last morning? When? You clearly don't know how I feel.\I'm sorry.\But we swore our eternal devotion\on that beach before the setting sun.\Create what we imagine? response:	Yes. So I trust you.
context: It has been some time. You seem as well as ever.\Even though I saw you just last morning.\Last morning? When? You clearly don't know how I feel.\I'm sorry.\But we swore our eternal devotion\on that beach before the setting sun.\Create what we imagine?\Yes. So I trust you. response:	Really. You just believe whatever you want.
context: Even though I saw you just last morning.\Last morning? When? You clearly don't know how I feel.\I'm sorry.\But we swore our eternal devotion\on that beach before the setting sun.\Create what we imagine?\Yes. So I trust you.\Really. You just believe whatever you want. response:	But this is incredible.
context: Last morning? When? You clearly don't know how I feel.\I'm sorry.\But we swore our eternal devotion\on that beach before the setting sun.\Create what we imagine?\Yes. So I trust you.\Really. You just believe whatever you want.\But this is incredible. response:	I've never communicated like this before.
context: I'm sorry.\But we swore our eternal devotion\on that beach before the setting sun.\Create what we imagine?\Yes. So I trust you.\Really. You just believe whatever you want.\But this is incredible.\I've never communicated like this before. response:	Mari, I'm starting to believe that our time traveling
context: But we swore our eternal devotion\on that beach before the setting sun.\Create what we imagine?\Yes. So I trust you.\Really. You just believe whatever you want.\But this is incredible.\I've never communicated like this before.\Mari, I'm starting to believe that our time traveling response:	will some day connect us to something.
context: on that beach before the setting sun.\Create what we imagine?\Yes. So I trust you.\Really. You just believe whatever you want.\But this is incredible.\I've never communicated like this before.\Mari, I'm starting to believe that our time traveling\will some day connect us to something. response:	Papa?
context: Create what we imagine?\Yes. So I trust you.\Really. You just believe whatever you want.\But this is incredible.\I've never communicated like this before.\Mari, I'm starting to believe that our time traveling\will some day connect us to something.\Papa? response:	Seeing Mr. Bell here confirmed it for me.
context: Yes. So I trust you.\Really. You just believe whatever you want.\But this is incredible.\I've never communicated like this before.\Mari, I'm starting to believe that our time traveling\will some day connect us to something.\Papa?\Seeing Mr. Bell here confirmed it for me. response:	Investigate things you're curious about.
context: Really. You just believe whatever you want.\But this is incredible.\I've never communicated like this before.\Mari, I'm starting to believe that our time traveling\will some day connect us to something.\Papa?\Seeing Mr. Bell here confirmed it for me.\Investigate things you're curious about. response:	That's the entryway to loving something.
context: But this is incredible.\I've never communicated like this before.\Mari, I'm starting to believe that our time traveling\will some day connect us to something.\Papa?\Seeing Mr. Bell here confirmed it for me.\Investigate things you're curious about.\That's the entryway to loving something. response:	The entryway to loving something?
context: I've never communicated like this before.\Mari, I'm starting to believe that our time traveling\will some day connect us to something.\Papa?\Seeing Mr. Bell here confirmed it for me.\Investigate things you're curious about.\That's the entryway to loving something.\The entryway to loving something? response:	Oh, I guess it's time to go back.
context: Mari, I'm starting to believe that our time traveling\will some day connect us to something.\Papa?\Seeing Mr. Bell here confirmed it for me.\Investigate things you're curious about.\That's the entryway to loving something.\The entryway to loving something?\Oh, I guess it's time to go back. response:	Huh?
context: will some day connect us to something.\Papa?\Seeing Mr. Bell here confirmed it for me.\Investigate things you're curious about.\That's the entryway to loving something.\The entryway to loving something?\Oh, I guess it's time to go back.\Huh? response:	Dr. Hayase?
context: Papa?\Seeing Mr. Bell here confirmed it for me.\Investigate things you're curious about.\That's the entryway to loving something.\The entryway to loving something?\Oh, I guess it's time to go back.\Huh?\Dr. Hayase? response:	Mr. Bell!
context: Seeing Mr. Bell here confirmed it for me.\Investigate things you're curious about.\That's the entryway to loving something.\The entryway to loving something?\Oh, I guess it's time to go back.\Huh?\Dr. Hayase?\Mr. Bell! response:	Goodbye. I'm happy for you.
context: Investigate things you're curious about.\That's the entryway to loving something.\The entryway to loving something?\Oh, I guess it's time to go back.\Huh?\Dr. Hayase?\Mr. Bell!\Goodbye. I'm happy for you. response:	Mari, Akira, see you later.
context: That's the entryway to loving something.\The entryway to loving something?\Oh, I guess it's time to go back.\Huh?\Dr. Hayase?\Mr. Bell!\Goodbye. I'm happy for you.\Mari, Akira, see you later. response:	I thought he was a curious person, but...
context: The entryway to loving something?\Oh, I guess it's time to go back.\Huh?\Dr. Hayase?\Mr. Bell!\Goodbye. I'm happy for you.\Mari, Akira, see you later.\I thought he was a curious person, but... response:	Your father went home, then?
context: Oh, I guess it's time to go back.\Huh?\Dr. Hayase?\Mr. Bell!\Goodbye. I'm happy for you.\Mari, Akira, see you later.\I thought he was a curious person, but...\Your father went home, then? response:	Oh, yes.
context: Huh?\Dr. Hayase?\Mr. Bell!\Goodbye. I'm happy for you.\Mari, Akira, see you later.\I thought he was a curious person, but...\Your father went home, then?\Oh, yes. response:	I wanted to thank him, at least.
context: Dr. Hayase?\Mr. Bell!\Goodbye. I'm happy for you.\Mari, Akira, see you later.\I thought he was a curious person, but...\Your father went home, then?\Oh, yes.\I wanted to thank him, at least. response:	Thanks to Dr. Hayase, I was able to move forward.
context: Mr. Bell!\Goodbye. I'm happy for you.\Mari, Akira, see you later.\I thought he was a curious person, but...\Your father went home, then?\Oh, yes.\I wanted to thank him, at least.\Thanks to Dr. Hayase, I was able to move forward. response:	Papa?
context: Goodbye. I'm happy for you.\Mari, Akira, see you later.\I thought he was a curious person, but...\Your father went home, then?\Oh, yes.\I wanted to thank him, at least.\Thanks to Dr. Hayase, I was able to move forward.\Papa? response:	My work with the telephone was a success, and I didn't have to quit my school.
context: Mari, Akira, see you later.\I thought he was a curious person, but...\Your father went home, then?\Oh, yes.\I wanted to thank him, at least.\Thanks to Dr. Hayase, I was able to move forward.\Papa?\My work with the telephone was a success, and I didn't have to quit my school. response:	It was because of him that I could pursue both.
context: I thought he was a curious person, but...\Your father went home, then?\Oh, yes.\I wanted to thank him, at least.\Thanks to Dr. Hayase, I was able to move forward.\Papa?\My work with the telephone was a success, and I didn't have to quit my school.\It was because of him that I could pursue both. response:	I see...
context: Your father went home, then?\Oh, yes.\I wanted to thank him, at least.\Thanks to Dr. Hayase, I was able to move forward.\Papa?\My work with the telephone was a success, and I didn't have to quit my school.\It was because of him that I could pursue both.\I see... response:	Please convey to him my gratitude.
context: Oh, yes.\I wanted to thank him, at least.\Thanks to Dr. Hayase, I was able to move forward.\Papa?\My work with the telephone was a success, and I didn't have to quit my school.\It was because of him that I could pursue both.\I see...\Please convey to him my gratitude. response:	Okay!
context: I wanted to thank him, at least.\Thanks to Dr. Hayase, I was able to move forward.\Papa?\My work with the telephone was a success, and I didn't have to quit my school.\It was because of him that I could pursue both.\I see...\Please convey to him my gratitude.\Okay! response:	Um, watching you and Papa
context: Thanks to Dr. Hayase, I was able to move forward.\Papa?\My work with the telephone was a success, and I didn't have to quit my school.\It was because of him that I could pursue both.\I see...\Please convey to him my gratitude.\Okay!\Um, watching you and Papa response:	made me feel like I want to work really hard, too!
context: Papa?\My work with the telephone was a success, and I didn't have to quit my school.\It was because of him that I could pursue both.\I see...\Please convey to him my gratitude.\Okay!\Um, watching you and Papa\made me feel like I want to work really hard, too! response:	Really?
context: My work with the telephone was a success, and I didn't have to quit my school.\It was because of him that I could pursue both.\I see...\Please convey to him my gratitude.\Okay!\Um, watching you and Papa\made me feel like I want to work really hard, too!\Really? response:	I'm going to find something I love!
context: It was because of him that I could pursue both.\I see...\Please convey to him my gratitude.\Okay!\Um, watching you and Papa\made me feel like I want to work really hard, too!\Really?\I'm going to find something I love! response:	Wonderful!
