context: Come on, bring it! response:	It went up!
context: One more, nice serve!\Front!\Sorry, it's short!\It doesn't matter what kind of feints you try to use against Tendo-san...\So this must be what it means\to have perfect coordination...\Just barely missed me...\Yeah! response:	I had no idea where the toss was going to go
context: Front!\Sorry, it's short!\It doesn't matter what kind of feints you try to use against Tendo-san...\So this must be what it means\to have perfect coordination...\Just barely missed me...\Yeah!\I had no idea where the toss was going to go response:	until he got the spike in.
context: Sorry, it's short!\It doesn't matter what kind of feints you try to use against Tendo-san...\So this must be what it means\to have perfect coordination...\Just barely missed me...\Yeah!\I had no idea where the toss was going to go\until he got the spike in. response:	So you aimed that
context: It doesn't matter what kind of feints you try to use against Tendo-san...\So this must be what it means\to have perfect coordination...\Just barely missed me...\Yeah!\I had no idea where the toss was going to go\until he got the spike in.\So you aimed that response:	to go right over my head after what I just did.
context: So this must be what it means\to have perfect coordination...\Just barely missed me...\Yeah!\I had no idea where the toss was going to go\until he got the spike in.\So you aimed that\to go right over my head after what I just did. response:	You must really hate losing.
context: to have perfect coordination...\Just barely missed me...\Yeah!\I had no idea where the toss was going to go\until he got the spike in.\So you aimed that\to go right over my head after what I just did.\You must really hate losing. response:	You guys really are amusing.
context: Just barely missed me...\Yeah!\I had no idea where the toss was going to go\until he got the spike in.\So you aimed that\to go right over my head after what I just did.\You must really hate losing.\You guys really are amusing. response:	Japanese National High School Volleyball Tournament
context: Yeah!\I had no idea where the toss was going to go\until he got the spike in.\So you aimed that\to go right over my head after what I just did.\You must really hate losing.\You guys really are amusing.\Japanese National High School Volleyball Tournament response:	Chance ball!
context: I had no idea where the toss was going to go\until he got the spike in.\So you aimed that\to go right over my head after what I just did.\You must really hate losing.\You guys really are amusing.\Japanese National High School Volleyball Tournament\Chance ball! response:	I've made a mistake!
context: until he got the spike in.\So you aimed that\to go right over my head after what I just did.\You must really hate losing.\You guys really are amusing.\Japanese National High School Volleyball Tournament\Chance ball!\I've made a mistake! response:	One more, one more!
context: So you aimed that\to go right over my head after what I just did.\You must really hate losing.\You guys really are amusing.\Japanese National High School Volleyball Tournament\Chance ball!\I've made a mistake!\One more, one more! response:	Hup!
context: to go right over my head after what I just did.\You must really hate losing.\You guys really are amusing.\Japanese National High School Volleyball Tournament\Chance ball!\I've made a mistake!\One more, one more!\Hup! response:	Got it!
context: You must really hate losing.\You guys really are amusing.\Japanese National High School Volleyball Tournament\Chance ball!\I've made a mistake!\One more, one more!\Hup!\Got it! response:	It's better to think that his movements have no regularity to them.
context: You guys really are amusing.\Japanese National High School Volleyball Tournament\Chance ball!\I've made a mistake!\One more, one more!\Hup!\Got it!\It's better to think that his movements have no regularity to them. response:	Don't think too hard and get fooled by them.
context: Japanese National High School Volleyball Tournament\Chance ball!\I've made a mistake!\One more, one more!\Hup!\Got it!\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them. response:	And with opponents like this,
context: Chance ball!\I've made a mistake!\One more, one more!\Hup!\Got it!\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\And with opponents like this, response:	it's best to lead them as far left or right as possible.
context: I've made a mistake!\One more, one more!\Hup!\Got it!\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\And with opponents like this,\it's best to lead them as far left or right as possible. response:	You just don't stop moving, do you?
context: One more, one more!\Hup!\Got it!\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\And with opponents like this,\it's best to lead them as far left or right as possible.\You just don't stop moving, do you? response:	Karasuno Shiratorizawa
context: Hup!\Got it!\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\And with opponents like this,\it's best to lead them as far left or right as possible.\You just don't stop moving, do you?\Karasuno Shiratorizawa response:	All right!
context: Got it!\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\And with opponents like this,\it's best to lead them as far left or right as possible.\You just don't stop moving, do you?\Karasuno Shiratorizawa\All right! response:	All right! We caught up with them!
context: It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\And with opponents like this,\it's best to lead them as far left or right as possible.\You just don't stop moving, do you?\Karasuno Shiratorizawa\All right!\All right! We caught up with them! response:	Hinata, nice kill!
context: Don't think too hard and get fooled by them.\And with opponents like this,\it's best to lead them as far left or right as possible.\You just don't stop moving, do you?\Karasuno Shiratorizawa\All right!\All right! We caught up with them!\Hinata, nice kill! response:	Way to go, Hinata!
context: And with opponents like this,\it's best to lead them as far left or right as possible.\You just don't stop moving, do you?\Karasuno Shiratorizawa\All right!\All right! We caught up with them!\Hinata, nice kill!\Way to go, Hinata! response:	There have been setters who I admired for trying so hard to stop me from reading them...
context: it's best to lead them as far left or right as possible.\You just don't stop moving, do you?\Karasuno Shiratorizawa\All right!\All right! We caught up with them!\Hinata, nice kill!\Way to go, Hinata!\There have been setters who I admired for trying so hard to stop me from reading them... response:	But that 10's timing sure is fast.
context: You just don't stop moving, do you?\Karasuno Shiratorizawa\All right!\All right! We caught up with them!\Hinata, nice kill!\Way to go, Hinata!\There have been setters who I admired for trying so hard to stop me from reading them...\But that 10's timing sure is fast. response:	If I'm even one tempo late, I can't reach it.
context: Karasuno Shiratorizawa\All right!\All right! We caught up with them!\Hinata, nice kill!\Way to go, Hinata!\There have been setters who I admired for trying so hard to stop me from reading them...\But that 10's timing sure is fast.\If I'm even one tempo late, I can't reach it. response:	Were you just expecting us to forget your I've made a mistake! earlier?
context: All right!\All right! We caught up with them!\Hinata, nice kill!\Way to go, Hinata!\There have been setters who I admired for trying so hard to stop me from reading them...\But that 10's timing sure is fast.\If I'm even one tempo late, I can't reach it.\Were you just expecting us to forget your I've made a mistake! earlier? response:	Ayup, gesu...
context: All right! We caught up with them!\Hinata, nice kill!\Way to go, Hinata!\There have been setters who I admired for trying so hard to stop me from reading them...\But that 10's timing sure is fast.\If I'm even one tempo late, I can't reach it.\Were you just expecting us to forget your I've made a mistake! earlier?\Ayup, gesu... response:	You're talking strangely, Tendo.
context: Hinata, nice kill!\Way to go, Hinata!\There have been setters who I admired for trying so hard to stop me from reading them...\But that 10's timing sure is fast.\If I'm even one tempo late, I can't reach it.\Were you just expecting us to forget your I've made a mistake! earlier?\Ayup, gesu...\You're talking strangely, Tendo. response:	Kageyama, one more! Nice serve!
context: Way to go, Hinata!\There have been setters who I admired for trying so hard to stop me from reading them...\But that 10's timing sure is fast.\If I'm even one tempo late, I can't reach it.\Were you just expecting us to forget your I've made a mistake! earlier?\Ayup, gesu...\You're talking strangely, Tendo.\Kageyama, one more! Nice serve! response:	Nice receive!
context: There have been setters who I admired for trying so hard to stop me from reading them...\But that 10's timing sure is fast.\If I'm even one tempo late, I can't reach it.\Were you just expecting us to forget your I've made a mistake! earlier?\Ayup, gesu...\You're talking strangely, Tendo.\Kageyama, one more! Nice serve!\Nice receive! response:	Nice receive!
context: But that 10's timing sure is fast.\If I'm even one tempo late, I can't reach it.\Were you just expecting us to forget your I've made a mistake! earlier?\Ayup, gesu...\You're talking strangely, Tendo.\Kageyama, one more! Nice serve!\Nice receive!\Nice receive! response:	This is their chance to attack!
context: If I'm even one tempo late, I can't reach it.\Were you just expecting us to forget your I've made a mistake! earlier?\Ayup, gesu...\You're talking strangely, Tendo.\Kageyama, one more! Nice serve!\Nice receive!\Nice receive!\This is their chance to attack! response:	One touch!
context: Were you just expecting us to forget your I've made a mistake! earlier?\Ayup, gesu...\You're talking strangely, Tendo.\Kageyama, one more! Nice serve!\Nice receive!\Nice receive!\This is their chance to attack!\One touch! response:	Got it!
context: Ayup, gesu...\You're talking strangely, Tendo.\Kageyama, one more! Nice serve!\Nice receive!\Nice receive!\This is their chance to attack!\One touch!\Got it! response:	Be Courageous Warriors
context: You're talking strangely, Tendo.\Kageyama, one more! Nice serve!\Nice receive!\Nice receive!\This is their chance to attack!\One touch!\Got it!\Be Courageous Warriors response:	Did he just put in a fake?
context: Kageyama, one more! Nice serve!\Nice receive!\Nice receive!\This is their chance to attack!\One touch!\Got it!\Be Courageous Warriors\Did he just put in a fake? response:	Or did he just change his mind?
context: Nice receive!\Nice receive!\This is their chance to attack!\One touch!\Got it!\Be Courageous Warriors\Did he just put in a fake?\Or did he just change his mind? response:	It really seems that conventional logic
context: Nice receive!\This is their chance to attack!\One touch!\Got it!\Be Courageous Warriors\Did he just put in a fake?\Or did he just change his mind?\It really seems that conventional logic response:	doesn't work on Shiratorizawa.
context: This is their chance to attack!\One touch!\Got it!\Be Courageous Warriors\Did he just put in a fake?\Or did he just change his mind?\It really seems that conventional logic\doesn't work on Shiratorizawa. response:	Just what is with 5's blocking?
context: One touch!\Got it!\Be Courageous Warriors\Did he just put in a fake?\Or did he just change his mind?\It really seems that conventional logic\doesn't work on Shiratorizawa.\Just what is with 5's blocking? response:	He's planning on stopping all of them on his own.
context: Got it!\Be Courageous Warriors\Did he just put in a fake?\Or did he just change his mind?\It really seems that conventional logic\doesn't work on Shiratorizawa.\Just what is with 5's blocking?\He's planning on stopping all of them on his own. response:	Huh?
context: Be Courageous Warriors\Did he just put in a fake?\Or did he just change his mind?\It really seems that conventional logic\doesn't work on Shiratorizawa.\Just what is with 5's blocking?\He's planning on stopping all of them on his own.\Huh? response:	Tendo's blocks are basically blocks used to score points.
context: Did he just put in a fake?\Or did he just change his mind?\It really seems that conventional logic\doesn't work on Shiratorizawa.\Just what is with 5's blocking?\He's planning on stopping all of them on his own.\Huh?\Tendo's blocks are basically blocks used to score points. response:	He uses his opponent's spikes against them,
context: Or did he just change his mind?\It really seems that conventional logic\doesn't work on Shiratorizawa.\Just what is with 5's blocking?\He's planning on stopping all of them on his own.\Huh?\Tendo's blocks are basically blocks used to score points.\He uses his opponent's spikes against them, response:	and makes them his own points.
context: It really seems that conventional logic\doesn't work on Shiratorizawa.\Just what is with 5's blocking?\He's planning on stopping all of them on his own.\Huh?\Tendo's blocks are basically blocks used to score points.\He uses his opponent's spikes against them,\and makes them his own points. response:	But blocking isn't limited to being done on your own.
context: doesn't work on Shiratorizawa.\Just what is with 5's blocking?\He's planning on stopping all of them on his own.\Huh?\Tendo's blocks are basically blocks used to score points.\He uses his opponent's spikes against them,\and makes them his own points.\But blocking isn't limited to being done on your own. response:	The blocking that we're trying to do right now,
context: Just what is with 5's blocking?\He's planning on stopping all of them on his own.\Huh?\Tendo's blocks are basically blocks used to score points.\He uses his opponent's spikes against them,\and makes them his own points.\But blocking isn't limited to being done on your own.\The blocking that we're trying to do right now, response:	blocking in order to connect...
context: He's planning on stopping all of them on his own.\Huh?\Tendo's blocks are basically blocks used to score points.\He uses his opponent's spikes against them,\and makes them his own points.\But blocking isn't limited to being done on your own.\The blocking that we're trying to do right now,\blocking in order to connect... response:	If we can make it work, it'll lead to points.
context: Huh?\Tendo's blocks are basically blocks used to score points.\He uses his opponent's spikes against them,\and makes them his own points.\But blocking isn't limited to being done on your own.\The blocking that we're trying to do right now,\blocking in order to connect...\If we can make it work, it'll lead to points. response:	In any case, depending on the timing,
context: Tendo's blocks are basically blocks used to score points.\He uses his opponent's spikes against them,\and makes them his own points.\But blocking isn't limited to being done on your own.\The blocking that we're trying to do right now,\blocking in order to connect...\If we can make it work, it'll lead to points.\In any case, depending on the timing, response:	blocks can actually be more valuable than spikes.
context: He uses his opponent's spikes against them,\and makes them his own points.\But blocking isn't limited to being done on your own.\The blocking that we're trying to do right now,\blocking in order to connect...\If we can make it work, it'll lead to points.\In any case, depending on the timing,\blocks can actually be more valuable than spikes. response:	I see...
context: and makes them his own points.\But blocking isn't limited to being done on your own.\The blocking that we're trying to do right now,\blocking in order to connect...\If we can make it work, it'll lead to points.\In any case, depending on the timing,\blocks can actually be more valuable than spikes.\I see... response:	Karasuno Shiratorizawa
context: But blocking isn't limited to being done on your own.\The blocking that we're trying to do right now,\blocking in order to connect...\If we can make it work, it'll lead to points.\In any case, depending on the timing,\blocks can actually be more valuable than spikes.\I see...\Karasuno Shiratorizawa response:	Nice receive!
context: The blocking that we're trying to do right now,\blocking in order to connect...\If we can make it work, it'll lead to points.\In any case, depending on the timing,\blocks can actually be more valuable than spikes.\I see...\Karasuno Shiratorizawa\Nice receive! response:	Don't let them get ahead!
context: blocking in order to connect...\If we can make it work, it'll lead to points.\In any case, depending on the timing,\blocks can actually be more valuable than spikes.\I see...\Karasuno Shiratorizawa\Nice receive!\Don't let them get ahead! response:	Ushijima-san!
context: If we can make it work, it'll lead to points.\In any case, depending on the timing,\blocks can actually be more valuable than spikes.\I see...\Karasuno Shiratorizawa\Nice receive!\Don't let them get ahead!\Ushijima-san! response:	If they get their opportunity, they're not going to stop!
context: In any case, depending on the timing,\blocks can actually be more valuable than spikes.\I see...\Karasuno Shiratorizawa\Nice receive!\Don't let them get ahead!\Ushijima-san!\If they get their opportunity, they're not going to stop! response:	Nice kill, Ushijima!
context: blocks can actually be more valuable than spikes.\I see...\Karasuno Shiratorizawa\Nice receive!\Don't let them get ahead!\Ushijima-san!\If they get their opportunity, they're not going to stop!\Nice kill, Ushijima! response:	That was like a blow to shut up the commoners.
context: I see...\Karasuno Shiratorizawa\Nice receive!\Don't let them get ahead!\Ushijima-san!\If they get their opportunity, they're not going to stop!\Nice kill, Ushijima!\That was like a blow to shut up the commoners. response:	Ushijima! Ushijima! Ushijima!
context: Karasuno Shiratorizawa\Nice receive!\Don't let them get ahead!\Ushijima-san!\If they get their opportunity, they're not going to stop!\Nice kill, Ushijima!\That was like a blow to shut up the commoners.\Ushijima! Ushijima! Ushijima! response:	Ushiwaka's definitely on another level.
context: Nice receive!\Don't let them get ahead!\Ushijima-san!\If they get their opportunity, they're not going to stop!\Nice kill, Ushijima!\That was like a blow to shut up the commoners.\Ushijima! Ushijima! Ushijima!\Ushiwaka's definitely on another level. response:	In order to stop attacks, blocks evolve.
context: Don't let them get ahead!\Ushijima-san!\If they get their opportunity, they're not going to stop!\Nice kill, Ushijima!\That was like a blow to shut up the commoners.\Ushijima! Ushijima! Ushijima!\Ushiwaka's definitely on another level.\In order to stop attacks, blocks evolve. response:	And in order to break through blocks, attacks also evolve.
context: Ushijima-san!\If they get their opportunity, they're not going to stop!\Nice kill, Ushijima!\That was like a blow to shut up the commoners.\Ushijima! Ushijima! Ushijima!\Ushiwaka's definitely on another level.\In order to stop attacks, blocks evolve.\And in order to break through blocks, attacks also evolve. response:	Attacks become diverse by using back attacks,
context: If they get their opportunity, they're not going to stop!\Nice kill, Ushijima!\That was like a blow to shut up the commoners.\Ushijima! Ushijima! Ushijima!\Ushiwaka's definitely on another level.\In order to stop attacks, blocks evolve.\And in order to break through blocks, attacks also evolve.\Attacks become diverse by using back attacks, response:	attacks that get faster, and combinations.
context: Nice kill, Ushijima!\That was like a blow to shut up the commoners.\Ushijima! Ushijima! Ushijima!\Ushiwaka's definitely on another level.\In order to stop attacks, blocks evolve.\And in order to break through blocks, attacks also evolve.\Attacks become diverse by using back attacks,\attacks that get faster, and combinations. response:	And then by changing how one jumps and where they're positioned,
context: That was like a blow to shut up the commoners.\Ushijima! Ushijima! Ushijima!\Ushiwaka's definitely on another level.\In order to stop attacks, blocks evolve.\And in order to break through blocks, attacks also evolve.\Attacks become diverse by using back attacks,\attacks that get faster, and combinations.\And then by changing how one jumps and where they're positioned, response:	blocks shut down attacks.
context: Ushijima! Ushijima! Ushijima!\Ushiwaka's definitely on another level.\In order to stop attacks, blocks evolve.\And in order to break through blocks, attacks also evolve.\Attacks become diverse by using back attacks,\attacks that get faster, and combinations.\And then by changing how one jumps and where they're positioned,\blocks shut down attacks. response:	They think they're at the top,
context: Ushiwaka's definitely on another level.\In order to stop attacks, blocks evolve.\And in order to break through blocks, attacks also evolve.\Attacks become diverse by using back attacks,\attacks that get faster, and combinations.\And then by changing how one jumps and where they're positioned,\blocks shut down attacks.\They think they're at the top, response:	but they continue to go higher and higher and keep developing.
context: In order to stop attacks, blocks evolve.\And in order to break through blocks, attacks also evolve.\Attacks become diverse by using back attacks,\attacks that get faster, and combinations.\And then by changing how one jumps and where they're positioned,\blocks shut down attacks.\They think they're at the top,\but they continue to go higher and higher and keep developing. response:	Looks like you've learned a few things, Sensei.
context: And in order to break through blocks, attacks also evolve.\Attacks become diverse by using back attacks,\attacks that get faster, and combinations.\And then by changing how one jumps and where they're positioned,\blocks shut down attacks.\They think they're at the top,\but they continue to go higher and higher and keep developing.\Looks like you've learned a few things, Sensei. response:	Those are just words.
context: Attacks become diverse by using back attacks,\attacks that get faster, and combinations.\And then by changing how one jumps and where they're positioned,\blocks shut down attacks.\They think they're at the top,\but they continue to go higher and higher and keep developing.\Looks like you've learned a few things, Sensei.\Those are just words. response:	I'm sure they kept developing through understanding,
context: attacks that get faster, and combinations.\And then by changing how one jumps and where they're positioned,\blocks shut down attacks.\They think they're at the top,\but they continue to go higher and higher and keep developing.\Looks like you've learned a few things, Sensei.\Those are just words.\I'm sure they kept developing through understanding, response:	All right!
context: And then by changing how one jumps and where they're positioned,\blocks shut down attacks.\They think they're at the top,\but they continue to go higher and higher and keep developing.\Looks like you've learned a few things, Sensei.\Those are just words.\I'm sure they kept developing through understanding,\All right! response:	their fighting spirit, and unwavering tenacity.
context: blocks shut down attacks.\They think they're at the top,\but they continue to go higher and higher and keep developing.\Looks like you've learned a few things, Sensei.\Those are just words.\I'm sure they kept developing through understanding,\All right!\their fighting spirit, and unwavering tenacity. response:	Miraculous super plays will save the team,
context: They think they're at the top,\but they continue to go higher and higher and keep developing.\Looks like you've learned a few things, Sensei.\Those are just words.\I'm sure they kept developing through understanding,\All right!\their fighting spirit, and unwavering tenacity.\Miraculous super plays will save the team, response:	but the same can be said about understanding.
context: but they continue to go higher and higher and keep developing.\Looks like you've learned a few things, Sensei.\Those are just words.\I'm sure they kept developing through understanding,\All right!\their fighting spirit, and unwavering tenacity.\Miraculous super plays will save the team,\but the same can be said about understanding. response:	Karasuno Shiratorizawa
context: Looks like you've learned a few things, Sensei.\Those are just words.\I'm sure they kept developing through understanding,\All right!\their fighting spirit, and unwavering tenacity.\Miraculous super plays will save the team,\but the same can be said about understanding.\Karasuno Shiratorizawa response:	Oh?
context: Those are just words.\I'm sure they kept developing through understanding,\All right!\their fighting spirit, and unwavering tenacity.\Miraculous super plays will save the team,\but the same can be said about understanding.\Karasuno Shiratorizawa\Oh? response:	Hey, it's the normal guy.
context: I'm sure they kept developing through understanding,\All right!\their fighting spirit, and unwavering tenacity.\Miraculous super plays will save the team,\but the same can be said about understanding.\Karasuno Shiratorizawa\Oh?\Hey, it's the normal guy. response:	All right. Don't let him get to you.
context: All right!\their fighting spirit, and unwavering tenacity.\Miraculous super plays will save the team,\but the same can be said about understanding.\Karasuno Shiratorizawa\Oh?\Hey, it's the normal guy.\All right. Don't let him get to you. response:	Nice serve!
context: their fighting spirit, and unwavering tenacity.\Miraculous super plays will save the team,\but the same can be said about understanding.\Karasuno Shiratorizawa\Oh?\Hey, it's the normal guy.\All right. Don't let him get to you.\Nice serve! response:	It's going to fall!
context: Miraculous super plays will save the team,\but the same can be said about understanding.\Karasuno Shiratorizawa\Oh?\Hey, it's the normal guy.\All right. Don't let him get to you.\Nice serve!\It's going to fall! response:	Chance ball! Chance ball!
context: but the same can be said about understanding.\Karasuno Shiratorizawa\Oh?\Hey, it's the normal guy.\All right. Don't let him get to you.\Nice serve!\It's going to fall!\Chance ball! Chance ball! response:	Damn it... I'm sorry!
context: Karasuno Shiratorizawa\Oh?\Hey, it's the normal guy.\All right. Don't let him get to you.\Nice serve!\It's going to fall!\Chance ball! Chance ball!\Damn it... I'm sorry! response:	A time lag attack?
context: Oh?\Hey, it's the normal guy.\All right. Don't let him get to you.\Nice serve!\It's going to fall!\Chance ball! Chance ball!\Damn it... I'm sorry!\A time lag attack? response:	Huh?
context: Hey, it's the normal guy.\All right. Don't let him get to you.\Nice serve!\It's going to fall!\Chance ball! Chance ball!\Damn it... I'm sorry!\A time lag attack?\Huh? response:	Tsukki!
context: All right. Don't let him get to you.\Nice serve!\It's going to fall!\Chance ball! Chance ball!\Damn it... I'm sorry!\A time lag attack?\Huh?\Tsukki! response:	All right!
context: Nice serve!\It's going to fall!\Chance ball! Chance ball!\Damn it... I'm sorry!\A time lag attack?\Huh?\Tsukki!\All right! response:	Hi. I'm the normal guy.
context: It's going to fall!\Chance ball! Chance ball!\Damn it... I'm sorry!\A time lag attack?\Huh?\Tsukki!\All right!\Hi. I'm the normal guy. response:	The time lag attack
context: Chance ball! Chance ball!\Damn it... I'm sorry!\A time lag attack?\Huh?\Tsukki!\All right!\Hi. I'm the normal guy.\The time lag attack response:	may have fooled our wild beast over there,
context: Damn it... I'm sorry!\A time lag attack?\Huh?\Tsukki!\All right!\Hi. I'm the normal guy.\The time lag attack\may have fooled our wild beast over there, response:	but it doesn't work on me.
context: A time lag attack?\Huh?\Tsukki!\All right!\Hi. I'm the normal guy.\The time lag attack\may have fooled our wild beast over there,\but it doesn't work on me. response:	Pleasure to meet you.
context: Huh?\Tsukki!\All right!\Hi. I'm the normal guy.\The time lag attack\may have fooled our wild beast over there,\but it doesn't work on me.\Pleasure to meet you. response:	I knew that all the first-years at Karasuno pissed me off,
context: Tsukki!\All right!\Hi. I'm the normal guy.\The time lag attack\may have fooled our wild beast over there,\but it doesn't work on me.\Pleasure to meet you.\I knew that all the first-years at Karasuno pissed me off, response:	but you take the cake.
context: All right!\Hi. I'm the normal guy.\The time lag attack\may have fooled our wild beast over there,\but it doesn't work on me.\Pleasure to meet you.\I knew that all the first-years at Karasuno pissed me off,\but you take the cake. response:	Thanks.
context: Hi. I'm the normal guy.\The time lag attack\may have fooled our wild beast over there,\but it doesn't work on me.\Pleasure to meet you.\I knew that all the first-years at Karasuno pissed me off,\but you take the cake.\Thanks. response:	You piss me off!
context: The time lag attack\may have fooled our wild beast over there,\but it doesn't work on me.\Pleasure to meet you.\I knew that all the first-years at Karasuno pissed me off,\but you take the cake.\Thanks.\You piss me off! response:	Asahi-san, nice serve!
context: may have fooled our wild beast over there,\but it doesn't work on me.\Pleasure to meet you.\I knew that all the first-years at Karasuno pissed me off,\but you take the cake.\Thanks.\You piss me off!\Asahi-san, nice serve! response:	Nice kill, Ushijima!
context: but it doesn't work on me.\Pleasure to meet you.\I knew that all the first-years at Karasuno pissed me off,\but you take the cake.\Thanks.\You piss me off!\Asahi-san, nice serve!\Nice kill, Ushijima! response:	Please continue thinking.
context: Pleasure to meet you.\I knew that all the first-years at Karasuno pissed me off,\but you take the cake.\Thanks.\You piss me off!\Asahi-san, nice serve!\Nice kill, Ushijima!\Please continue thinking. response:	Be Karasuno's understanding...
context: I knew that all the first-years at Karasuno pissed me off,\but you take the cake.\Thanks.\You piss me off!\Asahi-san, nice serve!\Nice kill, Ushijima!\Please continue thinking.\Be Karasuno's understanding... response:	Haikyu!! Karasuno High School vs Shiratorizawa Academy
context: but you take the cake.\Thanks.\You piss me off!\Asahi-san, nice serve!\Nice kill, Ushijima!\Please continue thinking.\Be Karasuno's understanding...\Haikyu!! Karasuno High School vs Shiratorizawa Academy response:	Haikyu!! Karasuno High School vs Shiratorizawa Academy
context: Thanks.\You piss me off!\Asahi-san, nice serve!\Nice kill, Ushijima!\Please continue thinking.\Be Karasuno's understanding...\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy response:	We'll definitely...
context: You piss me off!\Asahi-san, nice serve!\Nice kill, Ushijima!\Please continue thinking.\Be Karasuno's understanding...\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\We'll definitely... response:	We'll definitely get our chance.
context: Asahi-san, nice serve!\Nice kill, Ushijima!\Please continue thinking.\Be Karasuno's understanding...\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\We'll definitely...\We'll definitely get our chance. response:	Please put me in. Please put me in. Please put me in...
context: Nice kill, Ushijima!\Please continue thinking.\Be Karasuno's understanding...\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\We'll definitely...\We'll definitely get our chance.\Please put me in. Please put me in. Please put me in... response:	Yamaguchi's projecting a tremendous aura.
context: Please continue thinking.\Be Karasuno's understanding...\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\We'll definitely...\We'll definitely get our chance.\Please put me in. Please put me in. Please put me in...\Yamaguchi's projecting a tremendous aura. response:	Huh?
context: Be Karasuno's understanding...\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\We'll definitely...\We'll definitely get our chance.\Please put me in. Please put me in. Please put me in...\Yamaguchi's projecting a tremendous aura.\Huh? response:	Karasuno Shiratorizawa
context: Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\We'll definitely...\We'll definitely get our chance.\Please put me in. Please put me in. Please put me in...\Yamaguchi's projecting a tremendous aura.\Huh?\Karasuno Shiratorizawa response:	One touch!
context: Haikyu!! Karasuno High School vs Shiratorizawa Academy\We'll definitely...\We'll definitely get our chance.\Please put me in. Please put me in. Please put me in...\Yamaguchi's projecting a tremendous aura.\Huh?\Karasuno Shiratorizawa\One touch! response:	Got it!
context: We'll definitely...\We'll definitely get our chance.\Please put me in. Please put me in. Please put me in...\Yamaguchi's projecting a tremendous aura.\Huh?\Karasuno Shiratorizawa\One touch!\Got it! response:	One touch!
context: We'll definitely get our chance.\Please put me in. Please put me in. Please put me in...\Yamaguchi's projecting a tremendous aura.\Huh?\Karasuno Shiratorizawa\One touch!\Got it!\One touch! response:	So annoying...
context: Please put me in. Please put me in. Please put me in...\Yamaguchi's projecting a tremendous aura.\Huh?\Karasuno Shiratorizawa\One touch!\Got it!\One touch!\So annoying... response:	Chance ball!
context: Yamaguchi's projecting a tremendous aura.\Huh?\Karasuno Shiratorizawa\One touch!\Got it!\One touch!\So annoying...\Chance ball! response:	Yeah!
context: Huh?\Karasuno Shiratorizawa\One touch!\Got it!\One touch!\So annoying...\Chance ball!\Yeah! response:	That was you, Tsutomu, you idiot!
context: Karasuno Shiratorizawa\One touch!\Got it!\One touch!\So annoying...\Chance ball!\Yeah!\That was you, Tsutomu, you idiot! response:	If you're gonna stare at someone, at least stare at a girl!
context: One touch!\Got it!\One touch!\So annoying...\Chance ball!\Yeah!\That was you, Tsutomu, you idiot!\If you're gonna stare at someone, at least stare at a girl! response:	Y-Yes, sir!
context: Got it!\One touch!\So annoying...\Chance ball!\Yeah!\That was you, Tsutomu, you idiot!\If you're gonna stare at someone, at least stare at a girl!\Y-Yes, sir! response:	Pfft... Yes.
context: One touch!\So annoying...\Chance ball!\Yeah!\That was you, Tsutomu, you idiot!\If you're gonna stare at someone, at least stare at a girl!\Y-Yes, sir!\Pfft... Yes. response:	I don't care if you run into each other! Go for the damn ball, ya idjits!
context: So annoying...\Chance ball!\Yeah!\That was you, Tsutomu, you idiot!\If you're gonna stare at someone, at least stare at a girl!\Y-Yes, sir!\Pfft... Yes.\I don't care if you run into each other! Go for the damn ball, ya idjits! response:	And there's the demon coach.
context: Chance ball!\Yeah!\That was you, Tsutomu, you idiot!\If you're gonna stare at someone, at least stare at a girl!\Y-Yes, sir!\Pfft... Yes.\I don't care if you run into each other! Go for the damn ball, ya idjits!\And there's the demon coach. response:	I thought he was pretty quiet today.
context: Yeah!\That was you, Tsutomu, you idiot!\If you're gonna stare at someone, at least stare at a girl!\Y-Yes, sir!\Pfft... Yes.\I don't care if you run into each other! Go for the damn ball, ya idjits!\And there's the demon coach.\I thought he was pretty quiet today. response:	Yeah!
