context: A battle was held in Biscotti territory response:	Naturally, Sink was Biscotti's Hero,
context: I'll do that!\All right, let's try that again.\Everybody's ready!\For the next 15 minutes,\you are free to rest and do what you like.\After that, we'll move on to lifeguard training.\Okay!\Sink, I'm sorry about before. response:	Oh, I'm sorry, too.
context: All right, let's try that again.\Everybody's ready!\For the next 15 minutes,\you are free to rest and do what you like.\After that, we'll move on to lifeguard training.\Okay!\Sink, I'm sorry about before.\Oh, I'm sorry, too. response:	By the way, how come you're here alone?
context: Everybody's ready!\For the next 15 minutes,\you are free to rest and do what you like.\After that, we'll move on to lifeguard training.\Okay!\Sink, I'm sorry about before.\Oh, I'm sorry, too.\By the way, how come you're here alone? response:	Well, I'm the only one in Genoise
context: For the next 15 minutes,\you are free to rest and do what you like.\After that, we'll move on to lifeguard training.\Okay!\Sink, I'm sorry about before.\Oh, I'm sorry, too.\By the way, how come you're here alone?\Well, I'm the only one in Genoise response:	who didn't take their vacation,
context: you are free to rest and do what you like.\After that, we'll move on to lifeguard training.\Okay!\Sink, I'm sorry about before.\Oh, I'm sorry, too.\By the way, how come you're here alone?\Well, I'm the only one in Genoise\who didn't take their vacation, response:	but I actually wanted to learn
context: After that, we'll move on to lifeguard training.\Okay!\Sink, I'm sorry about before.\Oh, I'm sorry, too.\By the way, how come you're here alone?\Well, I'm the only one in Genoise\who didn't take their vacation,\but I actually wanted to learn response:	a bunch of things about monsters and cursed swords
context: Okay!\Sink, I'm sorry about before.\Oh, I'm sorry, too.\By the way, how come you're here alone?\Well, I'm the only one in Genoise\who didn't take their vacation,\but I actually wanted to learn\a bunch of things about monsters and cursed swords response:	from Yuki and Lady d'Arquien.
context: Sink, I'm sorry about before.\Oh, I'm sorry, too.\By the way, how come you're here alone?\Well, I'm the only one in Genoise\who didn't take their vacation,\but I actually wanted to learn\a bunch of things about monsters and cursed swords\from Yuki and Lady d'Arquien. response:	Monsters?
context: Oh, I'm sorry, too.\By the way, how come you're here alone?\Well, I'm the only one in Genoise\who didn't take their vacation,\but I actually wanted to learn\a bunch of things about monsters and cursed swords\from Yuki and Lady d'Arquien.\Monsters? response:	In Galette, they don't have a team
context: By the way, how come you're here alone?\Well, I'm the only one in Genoise\who didn't take their vacation,\but I actually wanted to learn\a bunch of things about monsters and cursed swords\from Yuki and Lady d'Arquien.\Monsters?\In Galette, they don't have a team response:	of counter-monster specialists like our Onmitsu Squad.
context: Well, I'm the only one in Genoise\who didn't take their vacation,\but I actually wanted to learn\a bunch of things about monsters and cursed swords\from Yuki and Lady d'Arquien.\Monsters?\In Galette, they don't have a team\of counter-monster specialists like our Onmitsu Squad. response:	So Leo-sama and Gau-sama
context: who didn't take their vacation,\but I actually wanted to learn\a bunch of things about monsters and cursed swords\from Yuki and Lady d'Arquien.\Monsters?\In Galette, they don't have a team\of counter-monster specialists like our Onmitsu Squad.\So Leo-sama and Gau-sama response:	both suggested that I try to put one together.
context: but I actually wanted to learn\a bunch of things about monsters and cursed swords\from Yuki and Lady d'Arquien.\Monsters?\In Galette, they don't have a team\of counter-monster specialists like our Onmitsu Squad.\So Leo-sama and Gau-sama\both suggested that I try to put one together. response:	Her ladyship and I have been asked to cooperate.
context: a bunch of things about monsters and cursed swords\from Yuki and Lady d'Arquien.\Monsters?\In Galette, they don't have a team\of counter-monster specialists like our Onmitsu Squad.\So Leo-sama and Gau-sama\both suggested that I try to put one together.\Her ladyship and I have been asked to cooperate. response:	I see.
context: from Yuki and Lady d'Arquien.\Monsters?\In Galette, they don't have a team\of counter-monster specialists like our Onmitsu Squad.\So Leo-sama and Gau-sama\both suggested that I try to put one together.\Her ladyship and I have been asked to cooperate.\I see. response:	It would be terrible if another monster like that appeared again.
context: Monsters?\In Galette, they don't have a team\of counter-monster specialists like our Onmitsu Squad.\So Leo-sama and Gau-sama\both suggested that I try to put one together.\Her ladyship and I have been asked to cooperate.\I see.\It would be terrible if another monster like that appeared again. response:	Oh, but if you're going to do that,
context: In Galette, they don't have a team\of counter-monster specialists like our Onmitsu Squad.\So Leo-sama and Gau-sama\both suggested that I try to put one together.\Her ladyship and I have been asked to cooperate.\I see.\It would be terrible if another monster like that appeared again.\Oh, but if you're going to do that, response:	what about Genoise?
context: of counter-monster specialists like our Onmitsu Squad.\So Leo-sama and Gau-sama\both suggested that I try to put one together.\Her ladyship and I have been asked to cooperate.\I see.\It would be terrible if another monster like that appeared again.\Oh, but if you're going to do that,\what about Genoise? response:	I'll continue that side as well, of course.
context: So Leo-sama and Gau-sama\both suggested that I try to put one together.\Her ladyship and I have been asked to cooperate.\I see.\It would be terrible if another monster like that appeared again.\Oh, but if you're going to do that,\what about Genoise?\I'll continue that side as well, of course. response:	I'm Genoise's center, and Gau-sama's personal guard.
context: both suggested that I try to put one together.\Her ladyship and I have been asked to cooperate.\I see.\It would be terrible if another monster like that appeared again.\Oh, but if you're going to do that,\what about Genoise?\I'll continue that side as well, of course.\I'm Genoise's center, and Gau-sama's personal guard. response:	I see. That's good.
context: Her ladyship and I have been asked to cooperate.\I see.\It would be terrible if another monster like that appeared again.\Oh, but if you're going to do that,\what about Genoise?\I'll continue that side as well, of course.\I'm Genoise's center, and Gau-sama's personal guard.\I see. That's good. response:	For Gaul, of course,
context: I see.\It would be terrible if another monster like that appeared again.\Oh, but if you're going to do that,\what about Genoise?\I'll continue that side as well, of course.\I'm Genoise's center, and Gau-sama's personal guard.\I see. That's good.\For Gaul, of course, response:	but also because I want to play with you guys
context: It would be terrible if another monster like that appeared again.\Oh, but if you're going to do that,\what about Genoise?\I'll continue that side as well, of course.\I'm Genoise's center, and Gau-sama's personal guard.\I see. That's good.\For Gaul, of course,\but also because I want to play with you guys response:	and fight against you, too.
context: Oh, but if you're going to do that,\what about Genoise?\I'll continue that side as well, of course.\I'm Genoise's center, and Gau-sama's personal guard.\I see. That's good.\For Gaul, of course,\but also because I want to play with you guys\and fight against you, too. response:	Thanks, Sink.
context: what about Genoise?\I'll continue that side as well, of course.\I'm Genoise's center, and Gau-sama's personal guard.\I see. That's good.\For Gaul, of course,\but also because I want to play with you guys\and fight against you, too.\Thanks, Sink. response:	Jau and Vert will be happy about that.
context: I'll continue that side as well, of course.\I'm Genoise's center, and Gau-sama's personal guard.\I see. That's good.\For Gaul, of course,\but also because I want to play with you guys\and fight against you, too.\Thanks, Sink.\Jau and Vert will be happy about that. response:	Oh yeah, would you like a drink?
context: I'm Genoise's center, and Gau-sama's personal guard.\I see. That's good.\For Gaul, of course,\but also because I want to play with you guys\and fight against you, too.\Thanks, Sink.\Jau and Vert will be happy about that.\Oh yeah, would you like a drink? response:	I'll get some.
context: I see. That's good.\For Gaul, of course,\but also because I want to play with you guys\and fight against you, too.\Thanks, Sink.\Jau and Vert will be happy about that.\Oh yeah, would you like a drink?\I'll get some. response:	Yes, thank you.
context: For Gaul, of course,\but also because I want to play with you guys\and fight against you, too.\Thanks, Sink.\Jau and Vert will be happy about that.\Oh yeah, would you like a drink?\I'll get some.\Yes, thank you. response:	you shouldn't get so close to girls from another country.
context: but also because I want to play with you guys\and fight against you, too.\Thanks, Sink.\Jau and Vert will be happy about that.\Oh yeah, would you like a drink?\I'll get some.\Yes, thank you.\you shouldn't get so close to girls from another country. response:	Huh? Is something wrong?
context: and fight against you, too.\Thanks, Sink.\Jau and Vert will be happy about that.\Oh yeah, would you like a drink?\I'll get some.\Yes, thank you.\you shouldn't get so close to girls from another country.\Huh? Is something wrong? response:	Not really wrong,
context: Thanks, Sink.\Jau and Vert will be happy about that.\Oh yeah, would you like a drink?\I'll get some.\Yes, thank you.\you shouldn't get so close to girls from another country.\Huh? Is something wrong?\Not really wrong, response:	it's just that you're
context: Jau and Vert will be happy about that.\Oh yeah, would you like a drink?\I'll get some.\Yes, thank you.\you shouldn't get so close to girls from another country.\Huh? Is something wrong?\Not really wrong,\it's just that you're response:	too relaxed around girls your age,
context: Oh yeah, would you like a drink?\I'll get some.\Yes, thank you.\you shouldn't get so close to girls from another country.\Huh? Is something wrong?\Not really wrong,\it's just that you're\too relaxed around girls your age, response:	and your sense of space is all weird...
context: I'll get some.\Yes, thank you.\you shouldn't get so close to girls from another country.\Huh? Is something wrong?\Not really wrong,\it's just that you're\too relaxed around girls your age,\and your sense of space is all weird... response:	I'm not really sure how to put it...
context: Yes, thank you.\you shouldn't get so close to girls from another country.\Huh? Is something wrong?\Not really wrong,\it's just that you're\too relaxed around girls your age,\and your sense of space is all weird...\I'm not really sure how to put it... response:	If you have time to pet a girl from another country,
context: you shouldn't get so close to girls from another country.\Huh? Is something wrong?\Not really wrong,\it's just that you're\too relaxed around girls your age,\and your sense of space is all weird...\I'm not really sure how to put it...\If you have time to pet a girl from another country, response:	pet me instead, you insensitive Hero.
context: Huh? Is something wrong?\Not really wrong,\it's just that you're\too relaxed around girls your age,\and your sense of space is all weird...\I'm not really sure how to put it...\If you have time to pet a girl from another country,\pet me instead, you insensitive Hero. response:	Something like that?
context: Not really wrong,\it's just that you're\too relaxed around girls your age,\and your sense of space is all weird...\I'm not really sure how to put it...\If you have time to pet a girl from another country,\pet me instead, you insensitive Hero.\Something like that? response:	Noir, you stupid cat!
context: it's just that you're\too relaxed around girls your age,\and your sense of space is all weird...\I'm not really sure how to put it...\If you have time to pet a girl from another country,\pet me instead, you insensitive Hero.\Something like that?\Noir, you stupid cat! response:	Bright Power Release!
context: too relaxed around girls your age,\and your sense of space is all weird...\I'm not really sure how to put it...\If you have time to pet a girl from another country,\pet me instead, you insensitive Hero.\Something like that?\Noir, you stupid cat!\Bright Power Release! response:	Whoa, Eclair. A new skill!
context: and your sense of space is all weird...\I'm not really sure how to put it...\If you have time to pet a girl from another country,\pet me instead, you insensitive Hero.\Something like that?\Noir, you stupid cat!\Bright Power Release!\Whoa, Eclair. A new skill! response:	A blade made from bright power, the Bright Ice Blade!
context: I'm not really sure how to put it...\If you have time to pet a girl from another country,\pet me instead, you insensitive Hero.\Something like that?\Noir, you stupid cat!\Bright Power Release!\Whoa, Eclair. A new skill!\A blade made from bright power, the Bright Ice Blade! response:	Don't you think that having
context: If you have time to pet a girl from another country,\pet me instead, you insensitive Hero.\Something like that?\Noir, you stupid cat!\Bright Power Release!\Whoa, Eclair. A new skill!\A blade made from bright power, the Bright Ice Blade!\Don't you think that having response:	someone really be unconscious
context: pet me instead, you insensitive Hero.\Something like that?\Noir, you stupid cat!\Bright Power Release!\Whoa, Eclair. A new skill!\A blade made from bright power, the Bright Ice Blade!\Don't you think that having\someone really be unconscious response:	will be beneficial for the lifeguard exercises?
context: Something like that?\Noir, you stupid cat!\Bright Power Release!\Whoa, Eclair. A new skill!\A blade made from bright power, the Bright Ice Blade!\Don't you think that having\someone really be unconscious\will be beneficial for the lifeguard exercises? response:	Great suggestion.
context: Noir, you stupid cat!\Bright Power Release!\Whoa, Eclair. A new skill!\A blade made from bright power, the Bright Ice Blade!\Don't you think that having\someone really be unconscious\will be beneficial for the lifeguard exercises?\Great suggestion. response:	It's so nice of you to want to be unconscious.
context: Bright Power Release!\Whoa, Eclair. A new skill!\A blade made from bright power, the Bright Ice Blade!\Don't you think that having\someone really be unconscious\will be beneficial for the lifeguard exercises?\Great suggestion.\It's so nice of you to want to be unconscious. response:	Noir, you, too?!
context: Whoa, Eclair. A new skill!\A blade made from bright power, the Bright Ice Blade!\Don't you think that having\someone really be unconscious\will be beneficial for the lifeguard exercises?\Great suggestion.\It's so nice of you to want to be unconscious.\Noir, you, too?! response:	Cool!
context: A blade made from bright power, the Bright Ice Blade!\Don't you think that having\someone really be unconscious\will be beneficial for the lifeguard exercises?\Great suggestion.\It's so nice of you to want to be unconscious.\Noir, you, too?!\Cool! response:	Bright Power Gear, Seven Tails!
context: Don't you think that having\someone really be unconscious\will be beneficial for the lifeguard exercises?\Great suggestion.\It's so nice of you to want to be unconscious.\Noir, you, too?!\Cool!\Bright Power Gear, Seven Tails! response:	In a physical battle, you have the upper hand,
context: someone really be unconscious\will be beneficial for the lifeguard exercises?\Great suggestion.\It's so nice of you to want to be unconscious.\Noir, you, too?!\Cool!\Bright Power Gear, Seven Tails!\In a physical battle, you have the upper hand, response:	but when it comes to controlling bright power or emblem arts...
context: will be beneficial for the lifeguard exercises?\Great suggestion.\It's so nice of you to want to be unconscious.\Noir, you, too?!\Cool!\Bright Power Gear, Seven Tails!\In a physical battle, you have the upper hand,\but when it comes to controlling bright power or emblem arts... response:	I'm better!
context: Great suggestion.\It's so nice of you to want to be unconscious.\Noir, you, too?!\Cool!\Bright Power Gear, Seven Tails!\In a physical battle, you have the upper hand,\but when it comes to controlling bright power or emblem arts...\I'm better! response:	Bright Ice Blade!
context: It's so nice of you to want to be unconscious.\Noir, you, too?!\Cool!\Bright Power Gear, Seven Tails!\In a physical battle, you have the upper hand,\but when it comes to controlling bright power or emblem arts...\I'm better!\Bright Ice Blade! response:	Light Fang Vortex!
context: Noir, you, too?!\Cool!\Bright Power Gear, Seven Tails!\In a physical battle, you have the upper hand,\but when it comes to controlling bright power or emblem arts...\I'm better!\Bright Ice Blade!\Light Fang Vortex! response:	Seven Tails: Squeeze!
context: Cool!\Bright Power Gear, Seven Tails!\In a physical battle, you have the upper hand,\but when it comes to controlling bright power or emblem arts...\I'm better!\Bright Ice Blade!\Light Fang Vortex!\Seven Tails: Squeeze! response:	Um, I guess we should start the lifeguard exercises.
context: Bright Power Gear, Seven Tails!\In a physical battle, you have the upper hand,\but when it comes to controlling bright power or emblem arts...\I'm better!\Bright Ice Blade!\Light Fang Vortex!\Seven Tails: Squeeze!\Um, I guess we should start the lifeguard exercises. response:	Then, let's rescue the unconscious people first.
context: In a physical battle, you have the upper hand,\but when it comes to controlling bright power or emblem arts...\I'm better!\Bright Ice Blade!\Light Fang Vortex!\Seven Tails: Squeeze!\Um, I guess we should start the lifeguard exercises.\Then, let's rescue the unconscious people first. response:	I really wonder why these two always clash so hard.
context: but when it comes to controlling bright power or emblem arts...\I'm better!\Bright Ice Blade!\Light Fang Vortex!\Seven Tails: Squeeze!\Um, I guess we should start the lifeguard exercises.\Then, let's rescue the unconscious people first.\I really wonder why these two always clash so hard. response:	They're the same age, both personal bodyguards,
context: I'm better!\Bright Ice Blade!\Light Fang Vortex!\Seven Tails: Squeeze!\Um, I guess we should start the lifeguard exercises.\Then, let's rescue the unconscious people first.\I really wonder why these two always clash so hard.\They're the same age, both personal bodyguards, response:	both best friends with Rico...
context: Bright Ice Blade!\Light Fang Vortex!\Seven Tails: Squeeze!\Um, I guess we should start the lifeguard exercises.\Then, let's rescue the unconscious people first.\I really wonder why these two always clash so hard.\They're the same age, both personal bodyguards,\both best friends with Rico... response:	they have a lot in common.
context: Light Fang Vortex!\Seven Tails: Squeeze!\Um, I guess we should start the lifeguard exercises.\Then, let's rescue the unconscious people first.\I really wonder why these two always clash so hard.\They're the same age, both personal bodyguards,\both best friends with Rico...\they have a lot in common. response:	Well, they're simply great rivals.
context: Seven Tails: Squeeze!\Um, I guess we should start the lifeguard exercises.\Then, let's rescue the unconscious people first.\I really wonder why these two always clash so hard.\They're the same age, both personal bodyguards,\both best friends with Rico...\they have a lot in common.\Well, they're simply great rivals. response:	Rivals, huh?
context: Um, I guess we should start the lifeguard exercises.\Then, let's rescue the unconscious people first.\I really wonder why these two always clash so hard.\They're the same age, both personal bodyguards,\both best friends with Rico...\they have a lot in common.\Well, they're simply great rivals.\Rivals, huh? response:	I suppose your rival here is Prince Gaul.
context: Then, let's rescue the unconscious people first.\I really wonder why these two always clash so hard.\They're the same age, both personal bodyguards,\both best friends with Rico...\they have a lot in common.\Well, they're simply great rivals.\Rivals, huh?\I suppose your rival here is Prince Gaul. response:	Yeah...
context: I really wonder why these two always clash so hard.\They're the same age, both personal bodyguards,\both best friends with Rico...\they have a lot in common.\Well, they're simply great rivals.\Rivals, huh?\I suppose your rival here is Prince Gaul.\Yeah... response:	I want to play with Gaul, too.
context: They're the same age, both personal bodyguards,\both best friends with Rico...\they have a lot in common.\Well, they're simply great rivals.\Rivals, huh?\I suppose your rival here is Prince Gaul.\Yeah...\I want to play with Gaul, too. response:	I guess he's playing with Nanami-dono right about now?
context: both best friends with Rico...\they have a lot in common.\Well, they're simply great rivals.\Rivals, huh?\I suppose your rival here is Prince Gaul.\Yeah...\I want to play with Gaul, too.\I guess he's playing with Nanami-dono right about now? response:	Yeah, you might not think so,
context: they have a lot in common.\Well, they're simply great rivals.\Rivals, huh?\I suppose your rival here is Prince Gaul.\Yeah...\I want to play with Gaul, too.\I guess he's playing with Nanami-dono right about now?\Yeah, you might not think so, response:	but Gaul's actually quite shy with girls.
context: Well, they're simply great rivals.\Rivals, huh?\I suppose your rival here is Prince Gaul.\Yeah...\I want to play with Gaul, too.\I guess he's playing with Nanami-dono right about now?\Yeah, you might not think so,\but Gaul's actually quite shy with girls. response:	Gaul! Hey, Gaul!
context: Rivals, huh?\I suppose your rival here is Prince Gaul.\Yeah...\I want to play with Gaul, too.\I guess he's playing with Nanami-dono right about now?\Yeah, you might not think so,\but Gaul's actually quite shy with girls.\Gaul! Hey, Gaul! response:	Gah, you're so persistent!
context: I suppose your rival here is Prince Gaul.\Yeah...\I want to play with Gaul, too.\I guess he's playing with Nanami-dono right about now?\Yeah, you might not think so,\but Gaul's actually quite shy with girls.\Gaul! Hey, Gaul!\Gah, you're so persistent! response:	So why won't you let me pet you?!
context: Yeah...\I want to play with Gaul, too.\I guess he's playing with Nanami-dono right about now?\Yeah, you might not think so,\but Gaul's actually quite shy with girls.\Gaul! Hey, Gaul!\Gah, you're so persistent!\So why won't you let me pet you?! response:	You're asking why?!
context: I want to play with Gaul, too.\I guess he's playing with Nanami-dono right about now?\Yeah, you might not think so,\but Gaul's actually quite shy with girls.\Gaul! Hey, Gaul!\Gah, you're so persistent!\So why won't you let me pet you?!\You're asking why?! response:	I won't let people just touch me in public!
context: I guess he's playing with Nanami-dono right about now?\Yeah, you might not think so,\but Gaul's actually quite shy with girls.\Gaul! Hey, Gaul!\Gah, you're so persistent!\So why won't you let me pet you?!\You're asking why?!\I won't let people just touch me in public! response:	Besides, I'm actually not that
context: Yeah, you might not think so,\but Gaul's actually quite shy with girls.\Gaul! Hey, Gaul!\Gah, you're so persistent!\So why won't you let me pet you?!\You're asking why?!\I won't let people just touch me in public!\Besides, I'm actually not that response:	comfortable with having people touch me.
context: but Gaul's actually quite shy with girls.\Gaul! Hey, Gaul!\Gah, you're so persistent!\So why won't you let me pet you?!\You're asking why?!\I won't let people just touch me in public!\Besides, I'm actually not that\comfortable with having people touch me. response:	But you're so close with Genoise and Leo-sama.
context: Gaul! Hey, Gaul!\Gah, you're so persistent!\So why won't you let me pet you?!\You're asking why?!\I won't let people just touch me in public!\Besides, I'm actually not that\comfortable with having people touch me.\But you're so close with Genoise and Leo-sama. response:	My sister is my sister,
context: Gah, you're so persistent!\So why won't you let me pet you?!\You're asking why?!\I won't let people just touch me in public!\Besides, I'm actually not that\comfortable with having people touch me.\But you're so close with Genoise and Leo-sama.\My sister is my sister, response:	and those three stooges are basically family.
context: So why won't you let me pet you?!\You're asking why?!\I won't let people just touch me in public!\Besides, I'm actually not that\comfortable with having people touch me.\But you're so close with Genoise and Leo-sama.\My sister is my sister,\and those three stooges are basically family. response:	Aww. Well, I'm not into forcibly touching those who don't like it...
context: You're asking why?!\I won't let people just touch me in public!\Besides, I'm actually not that\comfortable with having people touch me.\But you're so close with Genoise and Leo-sama.\My sister is my sister,\and those three stooges are basically family.\Aww. Well, I'm not into forcibly touching those who don't like it... response:	All right, I won't touch you, so will you come down?
context: I won't let people just touch me in public!\Besides, I'm actually not that\comfortable with having people touch me.\But you're so close with Genoise and Leo-sama.\My sister is my sister,\and those three stooges are basically family.\Aww. Well, I'm not into forcibly touching those who don't like it...\All right, I won't touch you, so will you come down? response:	Well, it's not like I really hate it that much,
context: Besides, I'm actually not that\comfortable with having people touch me.\But you're so close with Genoise and Leo-sama.\My sister is my sister,\and those three stooges are basically family.\Aww. Well, I'm not into forcibly touching those who don't like it...\All right, I won't touch you, so will you come down?\Well, it's not like I really hate it that much, response:	but you and I are prince and hero.
context: comfortable with having people touch me.\But you're so close with Genoise and Leo-sama.\My sister is my sister,\and those three stooges are basically family.\Aww. Well, I'm not into forcibly touching those who don't like it...\All right, I won't touch you, so will you come down?\Well, it's not like I really hate it that much,\but you and I are prince and hero. response:	Let's try to stick to proper decorum and moderation.
context: But you're so close with Genoise and Leo-sama.\My sister is my sister,\and those three stooges are basically family.\Aww. Well, I'm not into forcibly touching those who don't like it...\All right, I won't touch you, so will you come down?\Well, it's not like I really hate it that much,\but you and I are prince and hero.\Let's try to stick to proper decorum and moderation. response:	Gaul, you're so serious.
context: My sister is my sister,\and those three stooges are basically family.\Aww. Well, I'm not into forcibly touching those who don't like it...\All right, I won't touch you, so will you come down?\Well, it's not like I really hate it that much,\but you and I are prince and hero.\Let's try to stick to proper decorum and moderation.\Gaul, you're so serious. response:	All right, but is it okay if we become friends
context: and those three stooges are basically family.\Aww. Well, I'm not into forcibly touching those who don't like it...\All right, I won't touch you, so will you come down?\Well, it's not like I really hate it that much,\but you and I are prince and hero.\Let's try to stick to proper decorum and moderation.\Gaul, you're so serious.\All right, but is it okay if we become friends response:	as long as we observe that moderation and decorum?
context: Aww. Well, I'm not into forcibly touching those who don't like it...\All right, I won't touch you, so will you come down?\Well, it's not like I really hate it that much,\but you and I are prince and hero.\Let's try to stick to proper decorum and moderation.\Gaul, you're so serious.\All right, but is it okay if we become friends\as long as we observe that moderation and decorum? response:	That sounds great.
context: All right, I won't touch you, so will you come down?\Well, it's not like I really hate it that much,\but you and I are prince and hero.\Let's try to stick to proper decorum and moderation.\Gaul, you're so serious.\All right, but is it okay if we become friends\as long as we observe that moderation and decorum?\That sounds great. response:	Let's do this, cool as we are.
context: Well, it's not like I really hate it that much,\but you and I are prince and hero.\Let's try to stick to proper decorum and moderation.\Gaul, you're so serious.\All right, but is it okay if we become friends\as long as we observe that moderation and decorum?\That sounds great.\Let's do this, cool as we are. response:	Roger that.
context: but you and I are prince and hero.\Let's try to stick to proper decorum and moderation.\Gaul, you're so serious.\All right, but is it okay if we become friends\as long as we observe that moderation and decorum?\That sounds great.\Let's do this, cool as we are.\Roger that. response:	Oh, Nanami, Gaul.
context: Let's try to stick to proper decorum and moderation.\Gaul, you're so serious.\All right, but is it okay if we become friends\as long as we observe that moderation and decorum?\That sounds great.\Let's do this, cool as we are.\Roger that.\Oh, Nanami, Gaul. response:	Leo-sama!
context: Gaul, you're so serious.\All right, but is it okay if we become friends\as long as we observe that moderation and decorum?\That sounds great.\Let's do this, cool as we are.\Roger that.\Oh, Nanami, Gaul.\Leo-sama! response:	Sister.
context: All right, but is it okay if we become friends\as long as we observe that moderation and decorum?\That sounds great.\Let's do this, cool as we are.\Roger that.\Oh, Nanami, Gaul.\Leo-sama!\Sister. response:	I'm going to have a bit of time after this.
context: as long as we observe that moderation and decorum?\That sounds great.\Let's do this, cool as we are.\Roger that.\Oh, Nanami, Gaul.\Leo-sama!\Sister.\I'm going to have a bit of time after this. response:	Nanami, could you come to my quarters?
context: That sounds great.\Let's do this, cool as we are.\Roger that.\Oh, Nanami, Gaul.\Leo-sama!\Sister.\I'm going to have a bit of time after this.\Nanami, could you come to my quarters? response:	I have a favor to ask.
context: Let's do this, cool as we are.\Roger that.\Oh, Nanami, Gaul.\Leo-sama!\Sister.\I'm going to have a bit of time after this.\Nanami, could you come to my quarters?\I have a favor to ask. response:	Sure!
context: Roger that.\Oh, Nanami, Gaul.\Leo-sama!\Sister.\I'm going to have a bit of time after this.\Nanami, could you come to my quarters?\I have a favor to ask.\Sure! response:	MMM, Nanami, your technique is quite good!
context: Oh, Nanami, Gaul.\Leo-sama!\Sister.\I'm going to have a bit of time after this.\Nanami, could you come to my quarters?\I have a favor to ask.\Sure!\MMM, Nanami, your technique is quite good! response:	How about this?
context: Leo-sama!\Sister.\I'm going to have a bit of time after this.\Nanami, could you come to my quarters?\I have a favor to ask.\Sure!\MMM, Nanami, your technique is quite good!\How about this? response:	Oh, that's good, that's good!
context: Sister.\I'm going to have a bit of time after this.\Nanami, could you come to my quarters?\I have a favor to ask.\Sure!\MMM, Nanami, your technique is quite good!\How about this?\Oh, that's good, that's good! response:	Violet, is it okay that our ruler is like this?
context: I'm going to have a bit of time after this.\Nanami, could you come to my quarters?\I have a favor to ask.\Sure!\MMM, Nanami, your technique is quite good!\How about this?\Oh, that's good, that's good!\Violet, is it okay that our ruler is like this? response:	Yes, as long as Leo-sama is happy, it's okay.
context: Nanami, could you come to my quarters?\I have a favor to ask.\Sure!\MMM, Nanami, your technique is quite good!\How about this?\Oh, that's good, that's good!\Violet, is it okay that our ruler is like this?\Yes, as long as Leo-sama is happy, it's okay. response:	What do you think, Rebecca?
context: I have a favor to ask.\Sure!\MMM, Nanami, your technique is quite good!\How about this?\Oh, that's good, that's good!\Violet, is it okay that our ruler is like this?\Yes, as long as Leo-sama is happy, it's okay.\What do you think, Rebecca? response:	This is Pastillage's Crystal Magic research mecca!
context: Sure!\MMM, Nanami, your technique is quite good!\How about this?\Oh, that's good, that's good!\Violet, is it okay that our ruler is like this?\Yes, as long as Leo-sama is happy, it's okay.\What do you think, Rebecca?\This is Pastillage's Crystal Magic research mecca! response:	This is the main hall of the
context: MMM, Nanami, your technique is quite good!\How about this?\Oh, that's good, that's good!\Violet, is it okay that our ruler is like this?\Yes, as long as Leo-sama is happy, it's okay.\What do you think, Rebecca?\This is Pastillage's Crystal Magic research mecca!\This is the main hall of the response:	Esnart Crystal Magic Research Institute!
context: How about this?\Oh, that's good, that's good!\Violet, is it okay that our ruler is like this?\Yes, as long as Leo-sama is happy, it's okay.\What do you think, Rebecca?\This is Pastillage's Crystal Magic research mecca!\This is the main hall of the\Esnart Crystal Magic Research Institute! response:	Everybody, it's me, Couverte!
context: Oh, that's good, that's good!\Violet, is it okay that our ruler is like this?\Yes, as long as Leo-sama is happy, it's okay.\What do you think, Rebecca?\This is Pastillage's Crystal Magic research mecca!\This is the main hall of the\Esnart Crystal Magic Research Institute!\Everybody, it's me, Couverte! response:	Did you watch Hero Rebecca's success on the broadcast?
context: Violet, is it okay that our ruler is like this?\Yes, as long as Leo-sama is happy, it's okay.\What do you think, Rebecca?\This is Pastillage's Crystal Magic research mecca!\This is the main hall of the\Esnart Crystal Magic Research Institute!\Everybody, it's me, Couverte!\Did you watch Hero Rebecca's success on the broadcast? response:	Did you watch me, too?
context: Yes, as long as Leo-sama is happy, it's okay.\What do you think, Rebecca?\This is Pastillage's Crystal Magic research mecca!\This is the main hall of the\Esnart Crystal Magic Research Institute!\Everybody, it's me, Couverte!\Did you watch Hero Rebecca's success on the broadcast?\Did you watch me, too? response:	I want Rebecca to really fall in love with Pastillage and us
context: What do you think, Rebecca?\This is Pastillage's Crystal Magic research mecca!\This is the main hall of the\Esnart Crystal Magic Research Institute!\Everybody, it's me, Couverte!\Did you watch Hero Rebecca's success on the broadcast?\Did you watch me, too?\I want Rebecca to really fall in love with Pastillage and us response:	until the next war!
context: This is Pastillage's Crystal Magic research mecca!\This is the main hall of the\Esnart Crystal Magic Research Institute!\Everybody, it's me, Couverte!\Did you watch Hero Rebecca's success on the broadcast?\Did you watch me, too?\I want Rebecca to really fall in love with Pastillage and us\until the next war! response:	I want you all to love our Hero Rebecca, too!
context: This is the main hall of the\Esnart Crystal Magic Research Institute!\Everybody, it's me, Couverte!\Did you watch Hero Rebecca's success on the broadcast?\Did you watch me, too?\I want Rebecca to really fall in love with Pastillage and us\until the next war!\I want you all to love our Hero Rebecca, too! response:	Will you love Rebecca as the Hero of Pastillage?!
