context: Earth... Our blue, shining planet. response:	But Earth was never as peaceful as we thought.
context: Hey, Daichi... Want me to show you one last amazing thing?\Amazing?\That really is amazing, Teppei!\You're strange, Daichi.\How?\I'm back.\I got a call from Toshiaki-san...\He said your letter didn't say where you'd gone, response:	but he thought you'd probably come here.
context: Amazing?\That really is amazing, Teppei!\You're strange, Daichi.\How?\I'm back.\I got a call from Toshiaki-san...\He said your letter didn't say where you'd gone,\but he thought you'd probably come here. response:	Once you're done here, head home.
context: That really is amazing, Teppei!\You're strange, Daichi.\How?\I'm back.\I got a call from Toshiaki-san...\He said your letter didn't say where you'd gone,\but he thought you'd probably come here.\Once you're done here, head home. response:	Hey...
context: You're strange, Daichi.\How?\I'm back.\I got a call from Toshiaki-san...\He said your letter didn't say where you'd gone,\but he thought you'd probably come here.\Once you're done here, head home.\Hey... response:	Did my father really die in an accident?
context: How?\I'm back.\I got a call from Toshiaki-san...\He said your letter didn't say where you'd gone,\but he thought you'd probably come here.\Once you're done here, head home.\Hey...\Did my father really die in an accident? response:	Analyzing NEO!
context: I'm back.\I got a call from Toshiaki-san...\He said your letter didn't say where you'd gone,\but he thought you'd probably come here.\Once you're done here, head home.\Hey...\Did my father really die in an accident?\Analyzing NEO! response:	This...
context: I got a call from Toshiaki-san...\He said your letter didn't say where you'd gone,\but he thought you'd probably come here.\Once you're done here, head home.\Hey...\Did my father really die in an accident?\Analyzing NEO!\This... response:	appears to be an AEO!
context: He said your letter didn't say where you'd gone,\but he thought you'd probably come here.\Once you're done here, head home.\Hey...\Did my father really die in an accident?\Analyzing NEO!\This...\appears to be an AEO! response:	This is the Star Emblem.
context: but he thought you'd probably come here.\Once you're done here, head home.\Hey...\Did my father really die in an accident?\Analyzing NEO!\This...\appears to be an AEO!\This is the Star Emblem. response:	Beginning emergency launch sequence.
context: Once you're done here, head home.\Hey...\Did my father really die in an accident?\Analyzing NEO!\This...\appears to be an AEO!\This is the Star Emblem.\Beginning emergency launch sequence. response:	Wait, Taiyou! Think of Daichi-kun!
context: Hey...\Did my father really die in an accident?\Analyzing NEO!\This...\appears to be an AEO!\This is the Star Emblem.\Beginning emergency launch sequence.\Wait, Taiyou! Think of Daichi-kun! response:	Right now, this is the only thing we can use as an Impacter!
context: Did my father really die in an accident?\Analyzing NEO!\This...\appears to be an AEO!\This is the Star Emblem.\Beginning emergency launch sequence.\Wait, Taiyou! Think of Daichi-kun!\Right now, this is the only thing we can use as an Impacter! response:	Hey, Tsutomu...
context: Analyzing NEO!\This...\appears to be an AEO!\This is the Star Emblem.\Beginning emergency launch sequence.\Wait, Taiyou! Think of Daichi-kun!\Right now, this is the only thing we can use as an Impacter!\Hey, Tsutomu... response:	Hope means believing that the future will be better than today...
context: This...\appears to be an AEO!\This is the Star Emblem.\Beginning emergency launch sequence.\Wait, Taiyou! Think of Daichi-kun!\Right now, this is the only thing we can use as an Impacter!\Hey, Tsutomu...\Hope means believing that the future will be better than today... response:	And real hope can only come from the choices you make!
context: appears to be an AEO!\This is the Star Emblem.\Beginning emergency launch sequence.\Wait, Taiyou! Think of Daichi-kun!\Right now, this is the only thing we can use as an Impacter!\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make! response:	Taiyou...
context: This is the Star Emblem.\Beginning emergency launch sequence.\Wait, Taiyou! Think of Daichi-kun!\Right now, this is the only thing we can use as an Impacter!\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Taiyou... response:	I'll stop it...
context: Beginning emergency launch sequence.\Wait, Taiyou! Think of Daichi-kun!\Right now, this is the only thing we can use as an Impacter!\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Taiyou...\I'll stop it... response:	Because I'm a captain!
context: Wait, Taiyou! Think of Daichi-kun!\Right now, this is the only thing we can use as an Impacter!\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Taiyou...\I'll stop it...\Because I'm a captain! response:	Tsutomu, look after Earth for me.
context: Right now, this is the only thing we can use as an Impacter!\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Taiyou...\I'll stop it...\Because I'm a captain!\Tsutomu, look after Earth for me. response:	He...
context: Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Taiyou...\I'll stop it...\Because I'm a captain!\Tsutomu, look after Earth for me.\He... response:	Your father... He was a wonderful captain.
context: Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Taiyou...\I'll stop it...\Because I'm a captain!\Tsutomu, look after Earth for me.\He...\Your father... He was a wonderful captain. response:	Captain?
context: And real hope can only come from the choices you make!\Taiyou...\I'll stop it...\Because I'm a captain!\Tsutomu, look after Earth for me.\He...\Your father... He was a wonderful captain.\Captain? response:	Daichi!
context: Taiyou...\I'll stop it...\Because I'm a captain!\Tsutomu, look after Earth for me.\He...\Your father... He was a wonderful captain.\Captain?\Daichi! response:	If your dad ever dies...
context: I'll stop it...\Because I'm a captain!\Tsutomu, look after Earth for me.\He...\Your father... He was a wonderful captain.\Captain?\Daichi!\If your dad ever dies... response:	He'll die with a smile on his face.
context: Because I'm a captain!\Tsutomu, look after Earth for me.\He...\Your father... He was a wonderful captain.\Captain?\Daichi!\If your dad ever dies...\He'll die with a smile on his face. response:	Ever since my dad died in space, I've never returned to this island.
context: Tsutomu, look after Earth for me.\He...\Your father... He was a wonderful captain.\Captain?\Daichi!\If your dad ever dies...\He'll die with a smile on his face.\Ever since my dad died in space, I've never returned to this island. response:	I think the last time I saw Teppei, and her,
context: He...\Your father... He was a wonderful captain.\Captain?\Daichi!\If your dad ever dies...\He'll die with a smile on his face.\Ever since my dad died in space, I've never returned to this island.\I think the last time I saw Teppei, and her, response:	was three months before that.
context: Your father... He was a wonderful captain.\Captain?\Daichi!\If your dad ever dies...\He'll die with a smile on his face.\Ever since my dad died in space, I've never returned to this island.\I think the last time I saw Teppei, and her,\was three months before that. response:	This way...
context: Captain?\Daichi!\If your dad ever dies...\He'll die with a smile on his face.\Ever since my dad died in space, I've never returned to this island.\I think the last time I saw Teppei, and her,\was three months before that.\This way... response:	Over here.
context: Daichi!\If your dad ever dies...\He'll die with a smile on his face.\Ever since my dad died in space, I've never returned to this island.\I think the last time I saw Teppei, and her,\was three months before that.\This way...\Over here. response:	You can get in through this door.
context: If your dad ever dies...\He'll die with a smile on his face.\Ever since my dad died in space, I've never returned to this island.\I think the last time I saw Teppei, and her,\was three months before that.\This way...\Over here.\You can get in through this door. response:	But it's locked...
context: He'll die with a smile on his face.\Ever since my dad died in space, I've never returned to this island.\I think the last time I saw Teppei, and her,\was three months before that.\This way...\Over here.\You can get in through this door.\But it's locked... response:	Isn't there another way in?
context: Ever since my dad died in space, I've never returned to this island.\I think the last time I saw Teppei, and her,\was three months before that.\This way...\Over here.\You can get in through this door.\But it's locked...\Isn't there another way in? response:	That night...
context: I think the last time I saw Teppei, and her,\was three months before that.\This way...\Over here.\You can get in through this door.\But it's locked...\Isn't there another way in?\That night... response:	Teppei said he'd show me something amazing, so I followed him.
context: was three months before that.\This way...\Over here.\You can get in through this door.\But it's locked...\Isn't there another way in?\That night...\Teppei said he'd show me something amazing, so I followed him. response:	At some point, everything went dark.
context: This way...\Over here.\You can get in through this door.\But it's locked...\Isn't there another way in?\That night...\Teppei said he'd show me something amazing, so I followed him.\At some point, everything went dark. response:	And then, beyond the darkness, I saw her.
context: Over here.\You can get in through this door.\But it's locked...\Isn't there another way in?\That night...\Teppei said he'd show me something amazing, so I followed him.\At some point, everything went dark.\And then, beyond the darkness, I saw her. response:	She never wakes up.
context: You can get in through this door.\But it's locked...\Isn't there another way in?\That night...\Teppei said he'd show me something amazing, so I followed him.\At some point, everything went dark.\And then, beyond the darkness, I saw her.\She never wakes up. response:	Is it you?
context: But it's locked...\Isn't there another way in?\That night...\Teppei said he'd show me something amazing, so I followed him.\At some point, everything went dark.\And then, beyond the darkness, I saw her.\She never wakes up.\Is it you? response:	Hey, what is that thing?
context: Isn't there another way in?\That night...\Teppei said he'd show me something amazing, so I followed him.\At some point, everything went dark.\And then, beyond the darkness, I saw her.\She never wakes up.\Is it you?\Hey, what is that thing? response:	Are you okay?
context: That night...\Teppei said he'd show me something amazing, so I followed him.\At some point, everything went dark.\And then, beyond the darkness, I saw her.\She never wakes up.\Is it you?\Hey, what is that thing?\Are you okay? response:	Daichi...
context: Teppei said he'd show me something amazing, so I followed him.\At some point, everything went dark.\And then, beyond the darkness, I saw her.\She never wakes up.\Is it you?\Hey, what is that thing?\Are you okay?\Daichi... response:	What's that?
context: At some point, everything went dark.\And then, beyond the darkness, I saw her.\She never wakes up.\Is it you?\Hey, what is that thing?\Are you okay?\Daichi...\What's that? response:	I never saw them again.
context: And then, beyond the darkness, I saw her.\She never wakes up.\Is it you?\Hey, what is that thing?\Are you okay?\Daichi...\What's that?\I never saw them again. response:	Of course it's locked...
context: She never wakes up.\Is it you?\Hey, what is that thing?\Are you okay?\Daichi...\What's that?\I never saw them again.\Of course it's locked... response:	Now, what do I do?
context: Is it you?\Hey, what is that thing?\Are you okay?\Daichi...\What's that?\I never saw them again.\Of course it's locked...\Now, what do I do? response:	When I think about it,
context: Hey, what is that thing?\Are you okay?\Daichi...\What's that?\I never saw them again.\Of course it's locked...\Now, what do I do?\When I think about it, response:	it's kind of scary to come here alone...
context: Are you okay?\Daichi...\What's that?\I never saw them again.\Of course it's locked...\Now, what do I do?\When I think about it,\it's kind of scary to come here alone... response:	I'm really high up!
context: Daichi...\What's that?\I never saw them again.\Of course it's locked...\Now, what do I do?\When I think about it,\it's kind of scary to come here alone...\I'm really high up! response:	Oh, no... Am I completely lost?
context: What's that?\I never saw them again.\Of course it's locked...\Now, what do I do?\When I think about it,\it's kind of scary to come here alone...\I'm really high up!\Oh, no... Am I completely lost? response:	I really should know better than to follow her.
context: I never saw them again.\Of course it's locked...\Now, what do I do?\When I think about it,\it's kind of scary to come here alone...\I'm really high up!\Oh, no... Am I completely lost?\I really should know better than to follow her. response:	This is Setsuna's capsule.
context: Of course it's locked...\Now, what do I do?\When I think about it,\it's kind of scary to come here alone...\I'm really high up!\Oh, no... Am I completely lost?\I really should know better than to follow her.\This is Setsuna's capsule. response:	I'm sure you realize this,
context: Now, what do I do?\When I think about it,\it's kind of scary to come here alone...\I'm really high up!\Oh, no... Am I completely lost?\I really should know better than to follow her.\This is Setsuna's capsule.\I'm sure you realize this, response:	but with this much, you can't stay out there long.
context: When I think about it,\it's kind of scary to come here alone...\I'm really high up!\Oh, no... Am I completely lost?\I really should know better than to follow her.\This is Setsuna's capsule.\I'm sure you realize this,\but with this much, you can't stay out there long. response:	Don't waste time.
context: it's kind of scary to come here alone...\I'm really high up!\Oh, no... Am I completely lost?\I really should know better than to follow her.\This is Setsuna's capsule.\I'm sure you realize this,\but with this much, you can't stay out there long.\Don't waste time. response:	Got it.
context: I'm really high up!\Oh, no... Am I completely lost?\I really should know better than to follow her.\This is Setsuna's capsule.\I'm sure you realize this,\but with this much, you can't stay out there long.\Don't waste time.\Got it. response:	High-density libido charge!
context: Oh, no... Am I completely lost?\I really should know better than to follow her.\This is Setsuna's capsule.\I'm sure you realize this,\but with this much, you can't stay out there long.\Don't waste time.\Got it.\High-density libido charge! response:	Abreaction standby.
context: I really should know better than to follow her.\This is Setsuna's capsule.\I'm sure you realize this,\but with this much, you can't stay out there long.\Don't waste time.\Got it.\High-density libido charge!\Abreaction standby. response:	It's been so long since I was my real self!
context: This is Setsuna's capsule.\I'm sure you realize this,\but with this much, you can't stay out there long.\Don't waste time.\Got it.\High-density libido charge!\Abreaction standby.\It's been so long since I was my real self! response:	I'm seeing an Entangle Gate and an AEO!
context: I'm sure you realize this,\but with this much, you can't stay out there long.\Don't waste time.\Got it.\High-density libido charge!\Abreaction standby.\It's been so long since I was my real self!\I'm seeing an Entangle Gate and an AEO! response:	Emergency message from Governor Yomatsuri, on the Tenkaidou.
context: but with this much, you can't stay out there long.\Don't waste time.\Got it.\High-density libido charge!\Abreaction standby.\It's been so long since I was my real self!\I'm seeing an Entangle Gate and an AEO!\Emergency message from Governor Yomatsuri, on the Tenkaidou. response:	Our observation satellites have detected an Approaching-Earth Object.
context: Don't waste time.\Got it.\High-density libido charge!\Abreaction standby.\It's been so long since I was my real self!\I'm seeing an Entangle Gate and an AEO!\Emergency message from Governor Yomatsuri, on the Tenkaidou.\Our observation satellites have detected an Approaching-Earth Object. response:	It matches the Kiltgang's manifestation pattern.
context: Got it.\High-density libido charge!\Abreaction standby.\It's been so long since I was my real self!\I'm seeing an Entangle Gate and an AEO!\Emergency message from Governor Yomatsuri, on the Tenkaidou.\Our observation satellites have detected an Approaching-Earth Object.\It matches the Kiltgang's manifestation pattern. response:	Understood.
context: High-density libido charge!\Abreaction standby.\It's been so long since I was my real self!\I'm seeing an Entangle Gate and an AEO!\Emergency message from Governor Yomatsuri, on the Tenkaidou.\Our observation satellites have detected an Approaching-Earth Object.\It matches the Kiltgang's manifestation pattern.\Understood. response:	AEO's manifestation area is within defensive zone 1.
context: Abreaction standby.\It's been so long since I was my real self!\I'm seeing an Entangle Gate and an AEO!\Emergency message from Governor Yomatsuri, on the Tenkaidou.\Our observation satellites have detected an Approaching-Earth Object.\It matches the Kiltgang's manifestation pattern.\Understood.\AEO's manifestation area is within defensive zone 1. response:	Lambda sector, distance 360,000 kilometers.
context: It's been so long since I was my real self!\I'm seeing an Entangle Gate and an AEO!\Emergency message from Governor Yomatsuri, on the Tenkaidou.\Our observation satellites have detected an Approaching-Earth Object.\It matches the Kiltgang's manifestation pattern.\Understood.\AEO's manifestation area is within defensive zone 1.\Lambda sector, distance 360,000 kilometers. response:	Defensive zone 1 center Impacter deployed.
context: I'm seeing an Entangle Gate and an AEO!\Emergency message from Governor Yomatsuri, on the Tenkaidou.\Our observation satellites have detected an Approaching-Earth Object.\It matches the Kiltgang's manifestation pattern.\Understood.\AEO's manifestation area is within defensive zone 1.\Lambda sector, distance 360,000 kilometers.\Defensive zone 1 center Impacter deployed. response:	The Russian base's Markovs have already activated their intercept systems.
context: Emergency message from Governor Yomatsuri, on the Tenkaidou.\Our observation satellites have detected an Approaching-Earth Object.\It matches the Kiltgang's manifestation pattern.\Understood.\AEO's manifestation area is within defensive zone 1.\Lambda sector, distance 360,000 kilometers.\Defensive zone 1 center Impacter deployed.\The Russian base's Markovs have already activated their intercept systems. response:	I got on...
context: Our observation satellites have detected an Approaching-Earth Object.\It matches the Kiltgang's manifestation pattern.\Understood.\AEO's manifestation area is within defensive zone 1.\Lambda sector, distance 360,000 kilometers.\Defensive zone 1 center Impacter deployed.\The Russian base's Markovs have already activated their intercept systems.\I got on... response:	Hey, how far down does this go?
context: It matches the Kiltgang's manifestation pattern.\Understood.\AEO's manifestation area is within defensive zone 1.\Lambda sector, distance 360,000 kilometers.\Defensive zone 1 center Impacter deployed.\The Russian base's Markovs have already activated their intercept systems.\I got on...\Hey, how far down does this go? response:	The power went out?!
context: Understood.\AEO's manifestation area is within defensive zone 1.\Lambda sector, distance 360,000 kilometers.\Defensive zone 1 center Impacter deployed.\The Russian base's Markovs have already activated their intercept systems.\I got on...\Hey, how far down does this go?\The power went out?! response:	Where are we?
context: AEO's manifestation area is within defensive zone 1.\Lambda sector, distance 360,000 kilometers.\Defensive zone 1 center Impacter deployed.\The Russian base's Markovs have already activated their intercept systems.\I got on...\Hey, how far down does this go?\The power went out?!\Where are we? response:	What's that?
context: Lambda sector, distance 360,000 kilometers.\Defensive zone 1 center Impacter deployed.\The Russian base's Markovs have already activated their intercept systems.\I got on...\Hey, how far down does this go?\The power went out?!\Where are we?\What's that? response:	What was that?
context: Defensive zone 1 center Impacter deployed.\The Russian base's Markovs have already activated their intercept systems.\I got on...\Hey, how far down does this go?\The power went out?!\Where are we?\What's that?\What was that? response:	Is that thing heading toward Earth?!
context: The Russian base's Markovs have already activated their intercept systems.\I got on...\Hey, how far down does this go?\The power went out?!\Where are we?\What's that?\What was that?\Is that thing heading toward Earth?! response:	No!
context: I got on...\Hey, how far down does this go?\The power went out?!\Where are we?\What's that?\What was that?\Is that thing heading toward Earth?!\No! response:	If it reaches Earth, something terrible will happen...
context: Hey, how far down does this go?\The power went out?!\Where are we?\What's that?\What was that?\Is that thing heading toward Earth?!\No!\If it reaches Earth, something terrible will happen... response:	Right?!
context: The power went out?!\Where are we?\What's that?\What was that?\Is that thing heading toward Earth?!\No!\If it reaches Earth, something terrible will happen...\Right?! response:	Mode change.
context: Where are we?\What's that?\What was that?\Is that thing heading toward Earth?!\No!\If it reaches Earth, something terrible will happen...\Right?!\Mode change. response:	What do I do?
context: What's that?\What was that?\Is that thing heading toward Earth?!\No!\If it reaches Earth, something terrible will happen...\Right?!\Mode change.\What do I do? response:	What do I do?
context: What was that?\Is that thing heading toward Earth?!\No!\If it reaches Earth, something terrible will happen...\Right?!\Mode change.\What do I do?\What do I do? response:	What am I supposed to do?
context: Is that thing heading toward Earth?!\No!\If it reaches Earth, something terrible will happen...\Right?!\Mode change.\What do I do?\What do I do?\What am I supposed to do? response:	What can I do?!
context: No!\If it reaches Earth, something terrible will happen...\Right?!\Mode change.\What do I do?\What do I do?\What am I supposed to do?\What can I do?! response:	What's this?
context: If it reaches Earth, something terrible will happen...\Right?!\Mode change.\What do I do?\What do I do?\What am I supposed to do?\What can I do?!\What's this? response:	What are you doing there?
context: Right?!\Mode change.\What do I do?\What do I do?\What am I supposed to do?\What can I do?!\What's this?\What are you doing there? response:	I'm surprised...
context: Mode change.\What do I do?\What do I do?\What am I supposed to do?\What can I do?!\What's this?\What are you doing there?\I'm surprised... response:	Do you know what that thing you're holding is?
context: What do I do?\What do I do?\What am I supposed to do?\What can I do?!\What's this?\What are you doing there?\I'm surprised...\Do you know what that thing you're holding is? response:	Are you a captain?
context: What do I do?\What am I supposed to do?\What can I do?!\What's this?\What are you doing there?\I'm surprised...\Do you know what that thing you're holding is?\Are you a captain? response:	I'll ask again.
context: What am I supposed to do?\What can I do?!\What's this?\What are you doing there?\I'm surprised...\Do you know what that thing you're holding is?\Are you a captain?\I'll ask again. response:	Are you a captain?
context: What can I do?!\What's this?\What are you doing there?\I'm surprised...\Do you know what that thing you're holding is?\Are you a captain?\I'll ask again.\Are you a captain? response:	Your father... He was a wonderful captain.
context: What's this?\What are you doing there?\I'm surprised...\Do you know what that thing you're holding is?\Are you a captain?\I'll ask again.\Are you a captain?\Your father... He was a wonderful captain. response:	I don't know if I'm a captain or not...
context: What are you doing there?\I'm surprised...\Do you know what that thing you're holding is?\Are you a captain?\I'll ask again.\Are you a captain?\Your father... He was a wonderful captain.\I don't know if I'm a captain or not... response:	But I have to stop that thing falling from space!
context: I'm surprised...\Do you know what that thing you're holding is?\Are you a captain?\I'll ask again.\Are you a captain?\Your father... He was a wonderful captain.\I don't know if I'm a captain or not...\But I have to stop that thing falling from space! response:	All Markovs are lost.
context: Do you know what that thing you're holding is?\Are you a captain?\I'll ask again.\Are you a captain?\Your father... He was a wonderful captain.\I don't know if I'm a captain or not...\But I have to stop that thing falling from space!\All Markovs are lost. response:	The Kiltgang is heading straight for Earth.
context: Are you a captain?\I'll ask again.\Are you a captain?\Your father... He was a wonderful captain.\I don't know if I'm a captain or not...\But I have to stop that thing falling from space!\All Markovs are lost.\The Kiltgang is heading straight for Earth. response:	Current distance 32,000 kilometers.
context: I'll ask again.\Are you a captain?\Your father... He was a wonderful captain.\I don't know if I'm a captain or not...\But I have to stop that thing falling from space!\All Markovs are lost.\The Kiltgang is heading straight for Earth.\Current distance 32,000 kilometers. response:	Speed is 50 meters per second!
context: Are you a captain?\Your father... He was a wonderful captain.\I don't know if I'm a captain or not...\But I have to stop that thing falling from space!\All Markovs are lost.\The Kiltgang is heading straight for Earth.\Current distance 32,000 kilometers.\Speed is 50 meters per second! response:	Any other Impacters within the Lambda sector?
context: Your father... He was a wonderful captain.\I don't know if I'm a captain or not...\But I have to stop that thing falling from space!\All Markovs are lost.\The Kiltgang is heading straight for Earth.\Current distance 32,000 kilometers.\Speed is 50 meters per second!\Any other Impacters within the Lambda sector? response:	Governor!
context: I don't know if I'm a captain or not...\But I have to stop that thing falling from space!\All Markovs are lost.\The Kiltgang is heading straight for Earth.\Current distance 32,000 kilometers.\Speed is 50 meters per second!\Any other Impacters within the Lambda sector?\Governor! response:	Expansion sequence has activated.
context: But I have to stop that thing falling from space!\All Markovs are lost.\The Kiltgang is heading straight for Earth.\Current distance 32,000 kilometers.\Speed is 50 meters per second!\Any other Impacters within the Lambda sector?\Governor!\Expansion sequence has activated. response:	What?
context: All Markovs are lost.\The Kiltgang is heading straight for Earth.\Current distance 32,000 kilometers.\Speed is 50 meters per second!\Any other Impacters within the Lambda sector?\Governor!\Expansion sequence has activated.\What? response:	Constructing satellite chamber.
context: The Kiltgang is heading straight for Earth.\Current distance 32,000 kilometers.\Speed is 50 meters per second!\Any other Impacters within the Lambda sector?\Governor!\Expansion sequence has activated.\What?\Constructing satellite chamber. response:	Tidal Combine Gate creation is now possible.
context: Current distance 32,000 kilometers.\Speed is 50 meters per second!\Any other Impacters within the Lambda sector?\Governor!\Expansion sequence has activated.\What?\Constructing satellite chamber.\Tidal Combine Gate creation is now possible. response:	Course set.
context: Speed is 50 meters per second!\Any other Impacters within the Lambda sector?\Governor!\Expansion sequence has activated.\What?\Constructing satellite chamber.\Tidal Combine Gate creation is now possible.\Course set. response:	Initiating countdown.
context: Any other Impacters within the Lambda sector?\Governor!\Expansion sequence has activated.\What?\Constructing satellite chamber.\Tidal Combine Gate creation is now possible.\Course set.\Initiating countdown. response:	Sky Gate, Marine Gate, Road Gate... Coordinates are all green!
context: Governor!\Expansion sequence has activated.\What?\Constructing satellite chamber.\Tidal Combine Gate creation is now possible.\Course set.\Initiating countdown.\Sky Gate, Marine Gate, Road Gate... Coordinates are all green! response:	Commander!
context: Expansion sequence has activated.\What?\Constructing satellite chamber.\Tidal Combine Gate creation is now possible.\Course set.\Initiating countdown.\Sky Gate, Marine Gate, Road Gate... Coordinates are all green!\Commander! response:	Alonzo has begun the Earth Engine emergency startup sequence!
context: What?\Constructing satellite chamber.\Tidal Combine Gate creation is now possible.\Course set.\Initiating countdown.\Sky Gate, Marine Gate, Road Gate... Coordinates are all green!\Commander!\Alonzo has begun the Earth Engine emergency startup sequence! response:	What?
context: Constructing satellite chamber.\Tidal Combine Gate creation is now possible.\Course set.\Initiating countdown.\Sky Gate, Marine Gate, Road Gate... Coordinates are all green!\Commander!\Alonzo has begun the Earth Engine emergency startup sequence!\What? response:	The Pegasus rocket's launch pad is opening!
context: Tidal Combine Gate creation is now possible.\Course set.\Initiating countdown.\Sky Gate, Marine Gate, Road Gate... Coordinates are all green!\Commander!\Alonzo has begun the Earth Engine emergency startup sequence!\What?\The Pegasus rocket's launch pad is opening! response:	Emergency scramble fuel cartridge loaded!
context: Course set.\Initiating countdown.\Sky Gate, Marine Gate, Road Gate... Coordinates are all green!\Commander!\Alonzo has begun the Earth Engine emergency startup sequence!\What?\The Pegasus rocket's launch pad is opening!\Emergency scramble fuel cartridge loaded! response:	Pegasus rocket taking off!
context: Initiating countdown.\Sky Gate, Marine Gate, Road Gate... Coordinates are all green!\Commander!\Alonzo has begun the Earth Engine emergency startup sequence!\What?\The Pegasus rocket's launch pad is opening!\Emergency scramble fuel cartridge loaded!\Pegasus rocket taking off! response:	The Earth Engine's energy is charging!
context: Sky Gate, Marine Gate, Road Gate... Coordinates are all green!\Commander!\Alonzo has begun the Earth Engine emergency startup sequence!\What?\The Pegasus rocket's launch pad is opening!\Emergency scramble fuel cartridge loaded!\Pegasus rocket taking off!\The Earth Engine's energy is charging! response:	It's Orgone energy.
context: Commander!\Alonzo has begun the Earth Engine emergency startup sequence!\What?\The Pegasus rocket's launch pad is opening!\Emergency scramble fuel cartridge loaded!\Pegasus rocket taking off!\The Earth Engine's energy is charging!\It's Orgone energy. response:	Where's Teppei?
context: Alonzo has begun the Earth Engine emergency startup sequence!\What?\The Pegasus rocket's launch pad is opening!\Emergency scramble fuel cartridge loaded!\Pegasus rocket taking off!\The Earth Engine's energy is charging!\It's Orgone energy.\Where's Teppei? response:	What about Livlaster?
context: What?\The Pegasus rocket's launch pad is opening!\Emergency scramble fuel cartridge loaded!\Pegasus rocket taking off!\The Earth Engine's energy is charging!\It's Orgone energy.\Where's Teppei?\What about Livlaster? response:	Teppei Arashi isn't in the medical center.
context: The Pegasus rocket's launch pad is opening!\Emergency scramble fuel cartridge loaded!\Pegasus rocket taking off!\The Earth Engine's energy is charging!\It's Orgone energy.\Where's Teppei?\What about Livlaster?\Teppei Arashi isn't in the medical center. response:	Livlaster Blossom located in the storage room.
context: Emergency scramble fuel cartridge loaded!\Pegasus rocket taking off!\The Earth Engine's energy is charging!\It's Orgone energy.\Where's Teppei?\What about Livlaster?\Teppei Arashi isn't in the medical center.\Livlaster Blossom located in the storage room. response:	What's going on?
context: Pegasus rocket taking off!\The Earth Engine's energy is charging!\It's Orgone energy.\Where's Teppei?\What about Livlaster?\Teppei Arashi isn't in the medical center.\Livlaster Blossom located in the storage room.\What's going on? response:	The Pegasus rocket is purging Earth Engine.
context: The Earth Engine's energy is charging!\It's Orgone energy.\Where's Teppei?\What about Livlaster?\Teppei Arashi isn't in the medical center.\Livlaster Blossom located in the storage room.\What's going on?\The Pegasus rocket is purging Earth Engine. response:	Relative vector adjustment... Delta RV, Sigma 3.2.
context: It's Orgone energy.\Where's Teppei?\What about Livlaster?\Teppei Arashi isn't in the medical center.\Livlaster Blossom located in the storage room.\What's going on?\The Pegasus rocket is purging Earth Engine.\Relative vector adjustment... Delta RV, Sigma 3.2. response:	First expand!
context: Where's Teppei?\What about Livlaster?\Teppei Arashi isn't in the medical center.\Livlaster Blossom located in the storage room.\What's going on?\The Pegasus rocket is purging Earth Engine.\Relative vector adjustment... Delta RV, Sigma 3.2.\First expand! response:	Tidal attractor functioning normally.
context: What about Livlaster?\Teppei Arashi isn't in the medical center.\Livlaster Blossom located in the storage room.\What's going on?\The Pegasus rocket is purging Earth Engine.\Relative vector adjustment... Delta RV, Sigma 3.2.\First expand!\Tidal attractor functioning normally. response:	Delta RV is within threshold.
context: Teppei Arashi isn't in the medical center.\Livlaster Blossom located in the storage room.\What's going on?\The Pegasus rocket is purging Earth Engine.\Relative vector adjustment... Delta RV, Sigma 3.2.\First expand!\Tidal attractor functioning normally.\Delta RV is within threshold. response:	Combine robustness at maximum.
context: Livlaster Blossom located in the storage room.\What's going on?\The Pegasus rocket is purging Earth Engine.\Relative vector adjustment... Delta RV, Sigma 3.2.\First expand!\Tidal attractor functioning normally.\Delta RV is within threshold.\Combine robustness at maximum. response:	Second expand!
context: What's going on?\The Pegasus rocket is purging Earth Engine.\Relative vector adjustment... Delta RV, Sigma 3.2.\First expand!\Tidal attractor functioning normally.\Delta RV is within threshold.\Combine robustness at maximum.\Second expand! response:	Preparing Orgone connection.
context: The Pegasus rocket is purging Earth Engine.\Relative vector adjustment... Delta RV, Sigma 3.2.\First expand!\Tidal attractor functioning normally.\Delta RV is within threshold.\Combine robustness at maximum.\Second expand!\Preparing Orgone connection. response:	All systems are go.
context: Relative vector adjustment... Delta RV, Sigma 3.2.\First expand!\Tidal attractor functioning normally.\Delta RV is within threshold.\Combine robustness at maximum.\Second expand!\Preparing Orgone connection.\All systems are go. response:	Final expand!
context: First expand!\Tidal attractor functioning normally.\Delta RV is within threshold.\Combine robustness at maximum.\Second expand!\Preparing Orgone connection.\All systems are go.\Final expand! response:	The Engine series has expanded?
