context: -meepmeep- response:	TS-Note: Bet from where Ririko's Border Color comes from. (b-)b
context: So, then, let's just skip to after school the next day.\It's the end of the day already...\I heard this from my 4th period class.\She may be very into education but,\She always gets too obsessed and goes overboard.\I-I see...\And she goes boing boing,\gets worshipped by the boys, response:	and it kinda pisses me off!
context: It's the end of the day already...\I heard this from my 4th period class.\She may be very into education but,\She always gets too obsessed and goes overboard.\I-I see...\And she goes boing boing,\gets worshipped by the boys,\and it kinda pisses me off! response:	B-Boing?
context: I heard this from my 4th period class.\She may be very into education but,\She always gets too obsessed and goes overboard.\I-I see...\And she goes boing boing,\gets worshipped by the boys,\and it kinda pisses me off!\B-Boing? response:	Feeling frustrated that those breasts you're so proud of are losing to someone else's?
context: She may be very into education but,\She always gets too obsessed and goes overboard.\I-I see...\And she goes boing boing,\gets worshipped by the boys,\and it kinda pisses me off!\B-Boing?\Feeling frustrated that those breasts you're so proud of are losing to someone else's? response:	That's so childish!
context: She always gets too obsessed and goes overboard.\I-I see...\And she goes boing boing,\gets worshipped by the boys,\and it kinda pisses me off!\B-Boing?\Feeling frustrated that those breasts you're so proud of are losing to someone else's?\That's so childish! response:	Yukari-chan, you're the one that's a child, right?
context: I-I see...\And she goes boing boing,\gets worshipped by the boys,\and it kinda pisses me off!\B-Boing?\Feeling frustrated that those breasts you're so proud of are losing to someone else's?\That's so childish!\Yukari-chan, you're the one that's a child, right? response:	Look at this flat chest.
context: And she goes boing boing,\gets worshipped by the boys,\and it kinda pisses me off!\B-Boing?\Feeling frustrated that those breasts you're so proud of are losing to someone else's?\That's so childish!\Yukari-chan, you're the one that's a child, right?\Look at this flat chest. response:	It's better than something that's big and useless!
context: gets worshipped by the boys,\and it kinda pisses me off!\B-Boing?\Feeling frustrated that those breasts you're so proud of are losing to someone else's?\That's so childish!\Yukari-chan, you're the one that's a child, right?\Look at this flat chest.\It's better than something that's big and useless! response:	It'll get bigger.
context: and it kinda pisses me off!\B-Boing?\Feeling frustrated that those breasts you're so proud of are losing to someone else's?\That's so childish!\Yukari-chan, you're the one that's a child, right?\Look at this flat chest.\It's better than something that's big and useless!\It'll get bigger. response:	You idiot, my breasts are popular because of their softness, not their size.
context: B-Boing?\Feeling frustrated that those breasts you're so proud of are losing to someone else's?\That's so childish!\Yukari-chan, you're the one that's a child, right?\Look at this flat chest.\It's better than something that's big and useless!\It'll get bigger.\You idiot, my breasts are popular because of their softness, not their size. response:	How naive!
context: Feeling frustrated that those breasts you're so proud of are losing to someone else's?\That's so childish!\Yukari-chan, you're the one that's a child, right?\Look at this flat chest.\It's better than something that's big and useless!\It'll get bigger.\You idiot, my breasts are popular because of their softness, not their size.\How naive! response:	My innocent flat chest is my selling point!
context: That's so childish!\Yukari-chan, you're the one that's a child, right?\Look at this flat chest.\It's better than something that's big and useless!\It'll get bigger.\You idiot, my breasts are popular because of their softness, not their size.\How naive!\My innocent flat chest is my selling point! response:	But it's still flat.
context: Yukari-chan, you're the one that's a child, right?\Look at this flat chest.\It's better than something that's big and useless!\It'll get bigger.\You idiot, my breasts are popular because of their softness, not their size.\How naive!\My innocent flat chest is my selling point!\But it's still flat. response:	Shut up, you big breasted woman!
context: Look at this flat chest.\It's better than something that's big and useless!\It'll get bigger.\You idiot, my breasts are popular because of their softness, not their size.\How naive!\My innocent flat chest is my selling point!\But it's still flat.\Shut up, you big breasted woman! response:	What?! Flat-chested, flat-chested, flat-chested!
context: It's better than something that's big and useless!\It'll get bigger.\You idiot, my breasts are popular because of their softness, not their size.\How naive!\My innocent flat chest is my selling point!\But it's still flat.\Shut up, you big breasted woman!\What?! Flat-chested, flat-chested, flat-chested! response:	They'll sag as you get older!
context: It'll get bigger.\You idiot, my breasts are popular because of their softness, not their size.\How naive!\My innocent flat chest is my selling point!\But it's still flat.\Shut up, you big breasted woman!\What?! Flat-chested, flat-chested, flat-chested!\They'll sag as you get older! response:	Even if it sags, it's still better than you, who has nothing at all!
context: You idiot, my breasts are popular because of their softness, not their size.\How naive!\My innocent flat chest is my selling point!\But it's still flat.\Shut up, you big breasted woman!\What?! Flat-chested, flat-chested, flat-chested!\They'll sag as you get older!\Even if it sags, it's still better than you, who has nothing at all! response:	Hey, what are the both of you doing?
context: How naive!\My innocent flat chest is my selling point!\But it's still flat.\Shut up, you big breasted woman!\What?! Flat-chested, flat-chested, flat-chested!\They'll sag as you get older!\Even if it sags, it's still better than you, who has nothing at all!\Hey, what are the both of you doing? response:	Still, Tsukune, rather than going to remedial classes in the summer,
context: My innocent flat chest is my selling point!\But it's still flat.\Shut up, you big breasted woman!\What?! Flat-chested, flat-chested, flat-chested!\They'll sag as you get older!\Even if it sags, it's still better than you, who has nothing at all!\Hey, what are the both of you doing?\Still, Tsukune, rather than going to remedial classes in the summer, response:	It's better if you work hard right now.
context: But it's still flat.\Shut up, you big breasted woman!\What?! Flat-chested, flat-chested, flat-chested!\They'll sag as you get older!\Even if it sags, it's still better than you, who has nothing at all!\Hey, what are the both of you doing?\Still, Tsukune, rather than going to remedial classes in the summer,\It's better if you work hard right now. response:	Yeah, if you don't get at least a 50 on the final,
context: Shut up, you big breasted woman!\What?! Flat-chested, flat-chested, flat-chested!\They'll sag as you get older!\Even if it sags, it's still better than you, who has nothing at all!\Hey, what are the both of you doing?\Still, Tsukune, rather than going to remedial classes in the summer,\It's better if you work hard right now.\Yeah, if you don't get at least a 50 on the final, response:	You'll have to sacrifice your summer vacation for remedial classes.
context: What?! Flat-chested, flat-chested, flat-chested!\They'll sag as you get older!\Even if it sags, it's still better than you, who has nothing at all!\Hey, what are the both of you doing?\Still, Tsukune, rather than going to remedial classes in the summer,\It's better if you work hard right now.\Yeah, if you don't get at least a 50 on the final,\You'll have to sacrifice your summer vacation for remedial classes. response:	Tsukune?
context: They'll sag as you get older!\Even if it sags, it's still better than you, who has nothing at all!\Hey, what are the both of you doing?\Still, Tsukune, rather than going to remedial classes in the summer,\It's better if you work hard right now.\Yeah, if you don't get at least a 50 on the final,\You'll have to sacrifice your summer vacation for remedial classes.\Tsukune? response:	That's right, I completely forgot about it!
context: Even if it sags, it's still better than you, who has nothing at all!\Hey, what are the both of you doing?\Still, Tsukune, rather than going to remedial classes in the summer,\It's better if you work hard right now.\Yeah, if you don't get at least a 50 on the final,\You'll have to sacrifice your summer vacation for remedial classes.\Tsukune?\That's right, I completely forgot about it! response:	It's summer vacation right after exams!
context: Hey, what are the both of you doing?\Still, Tsukune, rather than going to remedial classes in the summer,\It's better if you work hard right now.\Yeah, if you don't get at least a 50 on the final,\You'll have to sacrifice your summer vacation for remedial classes.\Tsukune?\That's right, I completely forgot about it!\It's summer vacation right after exams! response:	Moka-san, I'll do my best and get good grades!
context: Still, Tsukune, rather than going to remedial classes in the summer,\It's better if you work hard right now.\Yeah, if you don't get at least a 50 on the final,\You'll have to sacrifice your summer vacation for remedial classes.\Tsukune?\That's right, I completely forgot about it!\It's summer vacation right after exams!\Moka-san, I'll do my best and get good grades! response:	And after that, let's have fun during summer!
context: It's better if you work hard right now.\Yeah, if you don't get at least a 50 on the final,\You'll have to sacrifice your summer vacation for remedial classes.\Tsukune?\That's right, I completely forgot about it!\It's summer vacation right after exams!\Moka-san, I'll do my best and get good grades!\And after that, let's have fun during summer! response:	Tsukune...
context: Yeah, if you don't get at least a 50 on the final,\You'll have to sacrifice your summer vacation for remedial classes.\Tsukune?\That's right, I completely forgot about it!\It's summer vacation right after exams!\Moka-san, I'll do my best and get good grades!\And after that, let's have fun during summer!\Tsukune... response:	Yeah, let's play some dangerous games then.
context: You'll have to sacrifice your summer vacation for remedial classes.\Tsukune?\That's right, I completely forgot about it!\It's summer vacation right after exams!\Moka-san, I'll do my best and get good grades!\And after that, let's have fun during summer!\Tsukune...\Yeah, let's play some dangerous games then. response:	No, you must come and have a sweet and sour prepubescent experience with me!
context: Tsukune?\That's right, I completely forgot about it!\It's summer vacation right after exams!\Moka-san, I'll do my best and get good grades!\And after that, let's have fun during summer!\Tsukune...\Yeah, let's play some dangerous games then.\No, you must come and have a sweet and sour prepubescent experience with me! response:	Do you want to have some shaved ice of dawn?
context: That's right, I completely forgot about it!\It's summer vacation right after exams!\Moka-san, I'll do my best and get good grades!\And after that, let's have fun during summer!\Tsukune...\Yeah, let's play some dangerous games then.\No, you must come and have a sweet and sour prepubescent experience with me!\Do you want to have some shaved ice of dawn? response:	Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3.
context: It's summer vacation right after exams!\Moka-san, I'll do my best and get good grades!\And after that, let's have fun during summer!\Tsukune...\Yeah, let's play some dangerous games then.\No, you must come and have a sweet and sour prepubescent experience with me!\Do you want to have some shaved ice of dawn?\Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3. response:	I'm coming in!
context: Moka-san, I'll do my best and get good grades!\And after that, let's have fun during summer!\Tsukune...\Yeah, let's play some dangerous games then.\No, you must come and have a sweet and sour prepubescent experience with me!\Do you want to have some shaved ice of dawn?\Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3.\I'm coming in! response:	I've been waiting for you, Tsukune-kun.
context: And after that, let's have fun during summer!\Tsukune...\Yeah, let's play some dangerous games then.\No, you must come and have a sweet and sour prepubescent experience with me!\Do you want to have some shaved ice of dawn?\Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3.\I'm coming in!\I've been waiting for you, Tsukune-kun. response:	W-W-What's with that outfit?!
context: Tsukune...\Yeah, let's play some dangerous games then.\No, you must come and have a sweet and sour prepubescent experience with me!\Do you want to have some shaved ice of dawn?\Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3.\I'm coming in!\I've been waiting for you, Tsukune-kun.\W-W-What's with that outfit?! response:	My, I thought you would study better if I wore this outfit.
context: Yeah, let's play some dangerous games then.\No, you must come and have a sweet and sour prepubescent experience with me!\Do you want to have some shaved ice of dawn?\Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3.\I'm coming in!\I've been waiting for you, Tsukune-kun.\W-W-What's with that outfit?!\My, I thought you would study better if I wore this outfit. response:	Who would?!
context: No, you must come and have a sweet and sour prepubescent experience with me!\Do you want to have some shaved ice of dawn?\Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3.\I'm coming in!\I've been waiting for you, Tsukune-kun.\W-W-What's with that outfit?!\My, I thought you would study better if I wore this outfit.\Who would?! response:	It'll just cause a ton of weird imaginations in my head!
context: Do you want to have some shaved ice of dawn?\Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3.\I'm coming in!\I've been waiting for you, Tsukune-kun.\W-W-What's with that outfit?!\My, I thought you would study better if I wore this outfit.\Who would?!\It'll just cause a ton of weird imaginations in my head! response:	This is weird! Sensei, what are you trying to-
context: Excuse me, I'm here for remedial class. I'm Aono Tsukune from Class 1-3.\I'm coming in!\I've been waiting for you, Tsukune-kun.\W-W-What's with that outfit?!\My, I thought you would study better if I wore this outfit.\Who would?!\It'll just cause a ton of weird imaginations in my head!\This is weird! Sensei, what are you trying to- response:	Weird?
context: I'm coming in!\I've been waiting for you, Tsukune-kun.\W-W-What's with that outfit?!\My, I thought you would study better if I wore this outfit.\Who would?!\It'll just cause a ton of weird imaginations in my head!\This is weird! Sensei, what are you trying to-\Weird? response:	How can it be weird?
context: I've been waiting for you, Tsukune-kun.\W-W-What's with that outfit?!\My, I thought you would study better if I wore this outfit.\Who would?!\It'll just cause a ton of weird imaginations in my head!\This is weird! Sensei, what are you trying to-\Weird?\How can it be weird? response:	I'm a teacher.
context: W-W-What's with that outfit?!\My, I thought you would study better if I wore this outfit.\Who would?!\It'll just cause a ton of weird imaginations in my head!\This is weird! Sensei, what are you trying to-\Weird?\How can it be weird?\I'm a teacher. response:	In the education system, teachers are respected leaders.
context: My, I thought you would study better if I wore this outfit.\Who would?!\It'll just cause a ton of weird imaginations in my head!\This is weird! Sensei, what are you trying to-\Weird?\How can it be weird?\I'm a teacher.\In the education system, teachers are respected leaders. response:	And on the other hand, students are the teacher's slave.
context: Who would?!\It'll just cause a ton of weird imaginations in my head!\This is weird! Sensei, what are you trying to-\Weird?\How can it be weird?\I'm a teacher.\In the education system, teachers are respected leaders.\And on the other hand, students are the teacher's slave. response:	Ririko-sensei, please stop...
context: It'll just cause a ton of weird imaginations in my head!\This is weird! Sensei, what are you trying to-\Weird?\How can it be weird?\I'm a teacher.\In the education system, teachers are respected leaders.\And on the other hand, students are the teacher's slave.\Ririko-sensei, please stop... response:	My, you have such a young and wonderful scent.
context: This is weird! Sensei, what are you trying to-\Weird?\How can it be weird?\I'm a teacher.\In the education system, teachers are respected leaders.\And on the other hand, students are the teacher's slave.\Ririko-sensei, please stop...\My, you have such a young and wonderful scent. response:	It's as if you were human.
context: Weird?\How can it be weird?\I'm a teacher.\In the education system, teachers are respected leaders.\And on the other hand, students are the teacher's slave.\Ririko-sensei, please stop...\My, you have such a young and wonderful scent.\It's as if you were human. response:	T-That's just your imagination!
context: How can it be weird?\I'm a teacher.\In the education system, teachers are respected leaders.\And on the other hand, students are the teacher's slave.\Ririko-sensei, please stop...\My, you have such a young and wonderful scent.\It's as if you were human.\T-That's just your imagination! response:	But it's the first time I've smelled such a wonderful smelling student.
context: I'm a teacher.\In the education system, teachers are respected leaders.\And on the other hand, students are the teacher's slave.\Ririko-sensei, please stop...\My, you have such a young and wonderful scent.\It's as if you were human.\T-That's just your imagination!\But it's the first time I've smelled such a wonderful smelling student. response:	It'll be interesting to see what I can teach you.
context: In the education system, teachers are respected leaders.\And on the other hand, students are the teacher's slave.\Ririko-sensei, please stop...\My, you have such a young and wonderful scent.\It's as if you were human.\T-That's just your imagination!\But it's the first time I've smelled such a wonderful smelling student.\It'll be interesting to see what I can teach you. response:	Now then, why don't we start, Tsukune-kun?
context: And on the other hand, students are the teacher's slave.\Ririko-sensei, please stop...\My, you have such a young and wonderful scent.\It's as if you were human.\T-That's just your imagination!\But it's the first time I've smelled such a wonderful smelling student.\It'll be interesting to see what I can teach you.\Now then, why don't we start, Tsukune-kun? response:	My after class lessons are very strict.
context: Ririko-sensei, please stop...\My, you have such a young and wonderful scent.\It's as if you were human.\T-That's just your imagination!\But it's the first time I've smelled such a wonderful smelling student.\It'll be interesting to see what I can teach you.\Now then, why don't we start, Tsukune-kun?\My after class lessons are very strict. response:	I wonder if Tsukune is working hard now.
context: My, you have such a young and wonderful scent.\It's as if you were human.\T-That's just your imagination!\But it's the first time I've smelled such a wonderful smelling student.\It'll be interesting to see what I can teach you.\Now then, why don't we start, Tsukune-kun?\My after class lessons are very strict.\I wonder if Tsukune is working hard now. response:	You can't help Aono-kun at all.
context: It's as if you were human.\T-That's just your imagination!\But it's the first time I've smelled such a wonderful smelling student.\It'll be interesting to see what I can teach you.\Now then, why don't we start, Tsukune-kun?\My after class lessons are very strict.\I wonder if Tsukune is working hard now.\You can't help Aono-kun at all. response:	But...
context: T-That's just your imagination!\But it's the first time I've smelled such a wonderful smelling student.\It'll be interesting to see what I can teach you.\Now then, why don't we start, Tsukune-kun?\My after class lessons are very strict.\I wonder if Tsukune is working hard now.\You can't help Aono-kun at all.\But... response:	This shouldn't be all I can do for Tsukune...
context: But it's the first time I've smelled such a wonderful smelling student.\It'll be interesting to see what I can teach you.\Now then, why don't we start, Tsukune-kun?\My after class lessons are very strict.\I wonder if Tsukune is working hard now.\You can't help Aono-kun at all.\But...\This shouldn't be all I can do for Tsukune... response:	Basketball sure is tiring...
context: It'll be interesting to see what I can teach you.\Now then, why don't we start, Tsukune-kun?\My after class lessons are very strict.\I wonder if Tsukune is working hard now.\You can't help Aono-kun at all.\But...\This shouldn't be all I can do for Tsukune...\Basketball sure is tiring... response:	What's next period again?
context: Now then, why don't we start, Tsukune-kun?\My after class lessons are very strict.\I wonder if Tsukune is working hard now.\You can't help Aono-kun at all.\But...\This shouldn't be all I can do for Tsukune...\Basketball sure is tiring...\What's next period again? response:	Isn't it math?
context: My after class lessons are very strict.\I wonder if Tsukune is working hard now.\You can't help Aono-kun at all.\But...\This shouldn't be all I can do for Tsukune...\Basketball sure is tiring...\What's next period again?\Isn't it math? response:	Please tutor me, Yukari-chan!
context: I wonder if Tsukune is working hard now.\You can't help Aono-kun at all.\But...\This shouldn't be all I can do for Tsukune...\Basketball sure is tiring...\What's next period again?\Isn't it math?\Please tutor me, Yukari-chan! response:	I decline!
context: You can't help Aono-kun at all.\But...\This shouldn't be all I can do for Tsukune...\Basketball sure is tiring...\What's next period again?\Isn't it math?\Please tutor me, Yukari-chan!\I decline! response:	What are you doing?!
context: But...\This shouldn't be all I can do for Tsukune...\Basketball sure is tiring...\What's next period again?\Isn't it math?\Please tutor me, Yukari-chan!\I decline!\What are you doing?! response:	Just tutor me!
context: This shouldn't be all I can do for Tsukune...\Basketball sure is tiring...\What's next period again?\Isn't it math?\Please tutor me, Yukari-chan!\I decline!\What are you doing?!\Just tutor me! response:	I'm not ready for the test!
context: Basketball sure is tiring...\What's next period again?\Isn't it math?\Please tutor me, Yukari-chan!\I decline!\What are you doing?!\Just tutor me!\I'm not ready for the test! response:	Oh, Tsukune!
context: What's next period again?\Isn't it math?\Please tutor me, Yukari-chan!\I decline!\What are you doing?!\Just tutor me!\I'm not ready for the test!\Oh, Tsukune! response:	A = cos(120) + isin(120)
context: Isn't it math?\Please tutor me, Yukari-chan!\I decline!\What are you doing?!\Just tutor me!\I'm not ready for the test!\Oh, Tsukune!\A = cos(120) + isin(120) response:	H-He's memorizing mathematical formulas!
context: Please tutor me, Yukari-chan!\I decline!\What are you doing?!\Just tutor me!\I'm not ready for the test!\Oh, Tsukune!\A = cos(120) + isin(120)\H-He's memorizing mathematical formulas! response:	Furthermore, these are very difficult formulas we haven't learned yet!
context: I decline!\What are you doing?!\Just tutor me!\I'm not ready for the test!\Oh, Tsukune!\A = cos(120) + isin(120)\H-He's memorizing mathematical formulas!\Furthermore, these are very difficult formulas we haven't learned yet! response:	Amazing!
context: What are you doing?!\Just tutor me!\I'm not ready for the test!\Oh, Tsukune!\A = cos(120) + isin(120)\H-He's memorizing mathematical formulas!\Furthermore, these are very difficult formulas we haven't learned yet!\Amazing! response:	You're working really hard, Tsukune!
context: Just tutor me!\I'm not ready for the test!\Oh, Tsukune!\A = cos(120) + isin(120)\H-He's memorizing mathematical formulas!\Furthermore, these are very difficult formulas we haven't learned yet!\Amazing!\You're working really hard, Tsukune! response:	Will you please tutor me?
context: I'm not ready for the test!\Oh, Tsukune!\A = cos(120) + isin(120)\H-He's memorizing mathematical formulas!\Furthermore, these are very difficult formulas we haven't learned yet!\Amazing!\You're working really hard, Tsukune!\Will you please tutor me? response:	Good morning, Tsukune!
context: Oh, Tsukune!\A = cos(120) + isin(120)\H-He's memorizing mathematical formulas!\Furthermore, these are very difficult formulas we haven't learned yet!\Amazing!\You're working really hard, Tsukune!\Will you please tutor me?\Good morning, Tsukune! response:	You see... Even though Ririko-sensei said that stuff,
context: A = cos(120) + isin(120)\H-He's memorizing mathematical formulas!\Furthermore, these are very difficult formulas we haven't learned yet!\Amazing!\You're working really hard, Tsukune!\Will you please tutor me?\Good morning, Tsukune!\You see... Even though Ririko-sensei said that stuff, response:	I thought I could still help Tsukune a bit.
context: H-He's memorizing mathematical formulas!\Furthermore, these are very difficult formulas we haven't learned yet!\Amazing!\You're working really hard, Tsukune!\Will you please tutor me?\Good morning, Tsukune!\You see... Even though Ririko-sensei said that stuff,\I thought I could still help Tsukune a bit. response:	So I made you a notebook for the test.
context: Furthermore, these are very difficult formulas we haven't learned yet!\Amazing!\You're working really hard, Tsukune!\Will you please tutor me?\Good morning, Tsukune!\You see... Even though Ririko-sensei said that stuff,\I thought I could still help Tsukune a bit.\So I made you a notebook for the test. response:	If you'd like, I'd like you to use it...
context: Amazing!\You're working really hard, Tsukune!\Will you please tutor me?\Good morning, Tsukune!\You see... Even though Ririko-sensei said that stuff,\I thought I could still help Tsukune a bit.\So I made you a notebook for the test.\If you'd like, I'd like you to use it... response:	Tsukune?
context: You're working really hard, Tsukune!\Will you please tutor me?\Good morning, Tsukune!\You see... Even though Ririko-sensei said that stuff,\I thought I could still help Tsukune a bit.\So I made you a notebook for the test.\If you'd like, I'd like you to use it...\Tsukune? response:	What are you doing?
context: Will you please tutor me?\Good morning, Tsukune!\You see... Even though Ririko-sensei said that stuff,\I thought I could still help Tsukune a bit.\So I made you a notebook for the test.\If you'd like, I'd like you to use it...\Tsukune?\What are you doing? response:	What's this?
context: Good morning, Tsukune!\You see... Even though Ririko-sensei said that stuff,\I thought I could still help Tsukune a bit.\So I made you a notebook for the test.\If you'd like, I'd like you to use it...\Tsukune?\What are you doing?\What's this? response:	Amateurs shouldn't do unnecessary things.
context: You see... Even though Ririko-sensei said that stuff,\I thought I could still help Tsukune a bit.\So I made you a notebook for the test.\If you'd like, I'd like you to use it...\Tsukune?\What are you doing?\What's this?\Amateurs shouldn't do unnecessary things. response:	Using such a thing to tempt Aono-kun...
context: I thought I could still help Tsukune a bit.\So I made you a notebook for the test.\If you'd like, I'd like you to use it...\Tsukune?\What are you doing?\What's this?\Amateurs shouldn't do unnecessary things.\Using such a thing to tempt Aono-kun... response:	How shameful!
context: So I made you a notebook for the test.\If you'd like, I'd like you to use it...\Tsukune?\What are you doing?\What's this?\Amateurs shouldn't do unnecessary things.\Using such a thing to tempt Aono-kun...\How shameful! response:	I'm not tempting him or anything!
context: If you'd like, I'd like you to use it...\Tsukune?\What are you doing?\What's this?\Amateurs shouldn't do unnecessary things.\Using such a thing to tempt Aono-kun...\How shameful!\I'm not tempting him or anything! response:	Seriously...
context: Tsukune?\What are you doing?\What's this?\Amateurs shouldn't do unnecessary things.\Using such a thing to tempt Aono-kun...\How shameful!\I'm not tempting him or anything!\Seriously... response:	It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now.
context: What are you doing?\What's this?\Amateurs shouldn't do unnecessary things.\Using such a thing to tempt Aono-kun...\How shameful!\I'm not tempting him or anything!\Seriously...\It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now. response:	Now, let's go, Tsukune-kun.
context: What's this?\Amateurs shouldn't do unnecessary things.\Using such a thing to tempt Aono-kun...\How shameful!\I'm not tempting him or anything!\Seriously...\It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now.\Now, let's go, Tsukune-kun. response:	Tsukune...
context: Amateurs shouldn't do unnecessary things.\Using such a thing to tempt Aono-kun...\How shameful!\I'm not tempting him or anything!\Seriously...\It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now.\Now, let's go, Tsukune-kun.\Tsukune... response:	So... it really was my fault that Tsukune hasn't been able to study?
context: Using such a thing to tempt Aono-kun...\How shameful!\I'm not tempting him or anything!\Seriously...\It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now.\Now, let's go, Tsukune-kun.\Tsukune...\So... it really was my fault that Tsukune hasn't been able to study? response:	Tsukune-kun, let's work hard together today too!
context: How shameful!\I'm not tempting him or anything!\Seriously...\It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now.\Now, let's go, Tsukune-kun.\Tsukune...\So... it really was my fault that Tsukune hasn't been able to study?\Tsukune-kun, let's work hard together today too! response:	You should be gradually understanding the wonders of studying, right?
context: I'm not tempting him or anything!\Seriously...\It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now.\Now, let's go, Tsukune-kun.\Tsukune...\So... it really was my fault that Tsukune hasn't been able to study?\Tsukune-kun, let's work hard together today too!\You should be gradually understanding the wonders of studying, right? response:	M-Moka-san...
context: Seriously...\It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now.\Now, let's go, Tsukune-kun.\Tsukune...\So... it really was my fault that Tsukune hasn't been able to study?\Tsukune-kun, let's work hard together today too!\You should be gradually understanding the wonders of studying, right?\M-Moka-san... response:	You still harbor evil thoughts?
context: It's because of you people that Aono-kun hasn't been able to concentrate on his studies up until now.\Now, let's go, Tsukune-kun.\Tsukune...\So... it really was my fault that Tsukune hasn't been able to study?\Tsukune-kun, let's work hard together today too!\You should be gradually understanding the wonders of studying, right?\M-Moka-san...\You still harbor evil thoughts? response:	Get on all fours!
context: Now, let's go, Tsukune-kun.\Tsukune...\So... it really was my fault that Tsukune hasn't been able to study?\Tsukune-kun, let's work hard together today too!\You should be gradually understanding the wonders of studying, right?\M-Moka-san...\You still harbor evil thoughts?\Get on all fours! response:	What a nice scent!
context: Tsukune...\So... it really was my fault that Tsukune hasn't been able to study?\Tsukune-kun, let's work hard together today too!\You should be gradually understanding the wonders of studying, right?\M-Moka-san...\You still harbor evil thoughts?\Get on all fours!\What a nice scent! response:	I get horny the moment I get a whiff of your scent!
context: So... it really was my fault that Tsukune hasn't been able to study?\Tsukune-kun, let's work hard together today too!\You should be gradually understanding the wonders of studying, right?\M-Moka-san...\You still harbor evil thoughts?\Get on all fours!\What a nice scent!\I get horny the moment I get a whiff of your scent! response:	Go on... Harder, rougher!
context: Tsukune-kun, let's work hard together today too!\You should be gradually understanding the wonders of studying, right?\M-Moka-san...\You still harbor evil thoughts?\Get on all fours!\What a nice scent!\I get horny the moment I get a whiff of your scent!\Go on... Harder, rougher! response:	Great! This is really good, Tsukune!
context: You should be gradually understanding the wonders of studying, right?\M-Moka-san...\You still harbor evil thoughts?\Get on all fours!\What a nice scent!\I get horny the moment I get a whiff of your scent!\Go on... Harder, rougher!\Great! This is really good, Tsukune! response:	Let today's special lesson b-e-g-i-n!
context: M-Moka-san...\You still harbor evil thoughts?\Get on all fours!\What a nice scent!\I get horny the moment I get a whiff of your scent!\Go on... Harder, rougher!\Great! This is really good, Tsukune!\Let today's special lesson b-e-g-i-n! response:	I'll teach you well today too!
context: You still harbor evil thoughts?\Get on all fours!\What a nice scent!\I get horny the moment I get a whiff of your scent!\Go on... Harder, rougher!\Great! This is really good, Tsukune!\Let today's special lesson b-e-g-i-n!\I'll teach you well today too! response:	Tsukune!
context: Get on all fours!\What a nice scent!\I get horny the moment I get a whiff of your scent!\Go on... Harder, rougher!\Great! This is really good, Tsukune!\Let today's special lesson b-e-g-i-n!\I'll teach you well today too!\Tsukune! response:	It feels great! Just like that, Tsukune-kun!
context: What a nice scent!\I get horny the moment I get a whiff of your scent!\Go on... Harder, rougher!\Great! This is really good, Tsukune!\Let today's special lesson b-e-g-i-n!\I'll teach you well today too!\Tsukune!\It feels great! Just like that, Tsukune-kun! response:	It feels great!
context: I get horny the moment I get a whiff of your scent!\Go on... Harder, rougher!\Great! This is really good, Tsukune!\Let today's special lesson b-e-g-i-n!\I'll teach you well today too!\Tsukune!\It feels great! Just like that, Tsukune-kun!\It feels great! response:	Absorb more! Come, absorb till you've gotten enough of it!
context: Go on... Harder, rougher!\Great! This is really good, Tsukune!\Let today's special lesson b-e-g-i-n!\I'll teach you well today too!\Tsukune!\It feels great! Just like that, Tsukune-kun!\It feels great!\Absorb more! Come, absorb till you've gotten enough of it! response:	While you're doing this, will you only think of your teacher and studying?
context: Great! This is really good, Tsukune!\Let today's special lesson b-e-g-i-n!\I'll teach you well today too!\Tsukune!\It feels great! Just like that, Tsukune-kun!\It feels great!\Absorb more! Come, absorb till you've gotten enough of it!\While you're doing this, will you only think of your teacher and studying? response:	That's it! That's great, Tsukune-kun!
context: Let today's special lesson b-e-g-i-n!\I'll teach you well today too!\Tsukune!\It feels great! Just like that, Tsukune-kun!\It feels great!\Absorb more! Come, absorb till you've gotten enough of it!\While you're doing this, will you only think of your teacher and studying?\That's it! That's great, Tsukune-kun! response:	Stop it!
context: I'll teach you well today too!\Tsukune!\It feels great! Just like that, Tsukune-kun!\It feels great!\Absorb more! Come, absorb till you've gotten enough of it!\While you're doing this, will you only think of your teacher and studying?\That's it! That's great, Tsukune-kun!\Stop it! response:	Sensei, what are you doing to Tsukune?!
