context: You've got some nerve, calling for our help. response:	Thanks to you, Ange escaped, and we lost the Villkiss.
context: You love Ange, don't you?\I can tell. We've known each other for a long time.\I'm the same, too, after all.\I can't seem to handle being without Chris.\She was always so scared.\I always felt like I had to protect her.\But she's so strong without me...\She's fine. response:	But I'm still a total loser.
context: I can tell. We've known each other for a long time.\I'm the same, too, after all.\I can't seem to handle being without Chris.\She was always so scared.\I always felt like I had to protect her.\But she's so strong without me...\She's fine.\But I'm still a total loser. response:	I was the one who needed Chris.
context: I'm the same, too, after all.\I can't seem to handle being without Chris.\She was always so scared.\I always felt like I had to protect her.\But she's so strong without me...\She's fine.\But I'm still a total loser.\I was the one who needed Chris. response:	Let's go get them back.
context: I can't seem to handle being without Chris.\She was always so scared.\I always felt like I had to protect her.\But she's so strong without me...\She's fine.\But I'm still a total loser.\I was the one who needed Chris.\Let's go get them back. response:	Chris, along with Ange.
context: She was always so scared.\I always felt like I had to protect her.\But she's so strong without me...\She's fine.\But I'm still a total loser.\I was the one who needed Chris.\Let's go get them back.\Chris, along with Ange. response:	Hilda.
context: I always felt like I had to protect her.\But she's so strong without me...\She's fine.\But I'm still a total loser.\I was the one who needed Chris.\Let's go get them back.\Chris, along with Ange.\Hilda. response:	All normal here, too.
context: But she's so strong without me...\She's fine.\But I'm still a total loser.\I was the one who needed Chris.\Let's go get them back.\Chris, along with Ange.\Hilda.\All normal here, too. response:	Commander.
context: She's fine.\But I'm still a total loser.\I was the one who needed Chris.\Let's go get them back.\Chris, along with Ange.\Hilda.\All normal here, too.\Commander. response:	Hey,
context: But I'm still a total loser.\I was the one who needed Chris.\Let's go get them back.\Chris, along with Ange.\Hilda.\All normal here, too.\Commander.\Hey, response:	Want me to get you out?
context: I was the one who needed Chris.\Let's go get them back.\Chris, along with Ange.\Hilda.\All normal here, too.\Commander.\Hey,\Want me to get you out? response:	Wha
context: Let's go get them back.\Chris, along with Ange.\Hilda.\All normal here, too.\Commander.\Hey,\Want me to get you out?\Wha response:	But in exchange, there's something I want you to help me with.
context: Chris, along with Ange.\Hilda.\All normal here, too.\Commander.\Hey,\Want me to get you out?\Wha\But in exchange, there's something I want you to help me with. response:	You haven't done it with Ange yet, have you?
context: Hilda.\All normal here, too.\Commander.\Hey,\Want me to get you out?\Wha\But in exchange, there's something I want you to help me with.\You haven't done it with Ange yet, have you? response:	If it all works out, I'll let you do me.
context: All normal here, too.\Commander.\Hey,\Want me to get you out?\Wha\But in exchange, there's something I want you to help me with.\You haven't done it with Ange yet, have you?\If it all works out, I'll let you do me. response:	Stop it!
context: Commander.\Hey,\Want me to get you out?\Wha\But in exchange, there's something I want you to help me with.\You haven't done it with Ange yet, have you?\If it all works out, I'll let you do me.\Stop it! response:	I'm Ange's Knight.
context: Hey,\Want me to get you out?\Wha\But in exchange, there's something I want you to help me with.\You haven't done it with Ange yet, have you?\If it all works out, I'll let you do me.\Stop it!\I'm Ange's Knight. response:	My first time will be with Ange I mean, no!
context: Want me to get you out?\Wha\But in exchange, there's something I want you to help me with.\You haven't done it with Ange yet, have you?\If it all works out, I'll let you do me.\Stop it!\I'm Ange's Knight.\My first time will be with Ange I mean, no! response:	Huh?
context: Wha\But in exchange, there's something I want you to help me with.\You haven't done it with Ange yet, have you?\If it all works out, I'll let you do me.\Stop it!\I'm Ange's Knight.\My first time will be with Ange I mean, no!\Huh? response:	I mean, well, I'm not indulging in sexy times until we're done fighting.
context: But in exchange, there's something I want you to help me with.\You haven't done it with Ange yet, have you?\If it all works out, I'll let you do me.\Stop it!\I'm Ange's Knight.\My first time will be with Ange I mean, no!\Huh?\I mean, well, I'm not indulging in sexy times until we're done fighting. response:	Like, as a knight, I want to avoid anything amorous.
context: You haven't done it with Ange yet, have you?\If it all works out, I'll let you do me.\Stop it!\I'm Ange's Knight.\My first time will be with Ange I mean, no!\Huh?\I mean, well, I'm not indulging in sexy times until we're done fighting.\Like, as a knight, I want to avoid anything amorous. response:	I heard you had your face in Ange's crotch all the time.
context: If it all works out, I'll let you do me.\Stop it!\I'm Ange's Knight.\My first time will be with Ange I mean, no!\Huh?\I mean, well, I'm not indulging in sexy times until we're done fighting.\Like, as a knight, I want to avoid anything amorous.\I heard you had your face in Ange's crotch all the time. response:	That's a misunderstanding!
context: Stop it!\I'm Ange's Knight.\My first time will be with Ange I mean, no!\Huh?\I mean, well, I'm not indulging in sexy times until we're done fighting.\Like, as a knight, I want to avoid anything amorous.\I heard you had your face in Ange's crotch all the time.\That's a misunderstanding! response:	Those were accidents!
context: I'm Ange's Knight.\My first time will be with Ange I mean, no!\Huh?\I mean, well, I'm not indulging in sexy times until we're done fighting.\Like, as a knight, I want to avoid anything amorous.\I heard you had your face in Ange's crotch all the time.\That's a misunderstanding!\Those were accidents! response:	I wasn't being a pervert!
context: My first time will be with Ange I mean, no!\Huh?\I mean, well, I'm not indulging in sexy times until we're done fighting.\Like, as a knight, I want to avoid anything amorous.\I heard you had your face in Ange's crotch all the time.\That's a misunderstanding!\Those were accidents!\I wasn't being a pervert! response:	So you're just a loser.
context: Huh?\I mean, well, I'm not indulging in sexy times until we're done fighting.\Like, as a knight, I want to avoid anything amorous.\I heard you had your face in Ange's crotch all the time.\That's a misunderstanding!\Those were accidents!\I wasn't being a pervert!\So you're just a loser. response:	I see.
context: I mean, well, I'm not indulging in sexy times until we're done fighting.\Like, as a knight, I want to avoid anything amorous.\I heard you had your face in Ange's crotch all the time.\That's a misunderstanding!\Those were accidents!\I wasn't being a pervert!\So you're just a loser.\I see. response:	Ange's knight, huh?
context: Like, as a knight, I want to avoid anything amorous.\I heard you had your face in Ange's crotch all the time.\That's a misunderstanding!\Those were accidents!\I wasn't being a pervert!\So you're just a loser.\I see.\Ange's knight, huh? response:	Assist me, Tusk.
context: I heard you had your face in Ange's crotch all the time.\That's a misunderstanding!\Those were accidents!\I wasn't being a pervert!\So you're just a loser.\I see.\Ange's knight, huh?\Assist me, Tusk. response:	I want to go help Ange.
context: That's a misunderstanding!\Those were accidents!\I wasn't being a pervert!\So you're just a loser.\I see.\Ange's knight, huh?\Assist me, Tusk.\I want to go help Ange. response:	Huh?
context: Those were accidents!\I wasn't being a pervert!\So you're just a loser.\I see.\Ange's knight, huh?\Assist me, Tusk.\I want to go help Ange.\Huh? response:	Something's wrong with our commander.
context: I wasn't being a pervert!\So you're just a loser.\I see.\Ange's knight, huh?\Assist me, Tusk.\I want to go help Ange.\Huh?\Something's wrong with our commander. response:	I can't really trust her.
context: So you're just a loser.\I see.\Ange's knight, huh?\Assist me, Tusk.\I want to go help Ange.\Huh?\Something's wrong with our commander.\I can't really trust her. response:	Alektra?
context: I see.\Ange's knight, huh?\Assist me, Tusk.\I want to go help Ange.\Huh?\Something's wrong with our commander.\I can't really trust her.\Alektra? response:	Mei, what's going on?
context: Ange's knight, huh?\Assist me, Tusk.\I want to go help Ange.\Huh?\Something's wrong with our commander.\I can't really trust her.\Alektra?\Mei, what's going on? response:	Maggie.
context: Assist me, Tusk.\I want to go help Ange.\Huh?\Something's wrong with our commander.\I can't really trust her.\Alektra?\Mei, what's going on?\Maggie. response:	The bulkheads have shut down. We can't get out of the residential block.
context: I want to go help Ange.\Huh?\Something's wrong with our commander.\I can't really trust her.\Alektra?\Mei, what's going on?\Maggie.\The bulkheads have shut down. We can't get out of the residential block. response:	Oh my, Commander.
context: Huh?\Something's wrong with our commander.\I can't really trust her.\Alektra?\Mei, what's going on?\Maggie.\The bulkheads have shut down. We can't get out of the residential block.\Oh my, Commander. response:	Going out?
context: Something's wrong with our commander.\I can't really trust her.\Alektra?\Mei, what's going on?\Maggie.\The bulkheads have shut down. We can't get out of the residential block.\Oh my, Commander.\Going out? response:	All dressed up, too.
context: I can't really trust her.\Alektra?\Mei, what's going on?\Maggie.\The bulkheads have shut down. We can't get out of the residential block.\Oh my, Commander.\Going out?\All dressed up, too. response:	You!
context: Alektra?\Mei, what's going on?\Maggie.\The bulkheads have shut down. We can't get out of the residential block.\Oh my, Commander.\Going out?\All dressed up, too.\You! response:	Are you going to Embryo-sama's place or something?
context: Mei, what's going on?\Maggie.\The bulkheads have shut down. We can't get out of the residential block.\Oh my, Commander.\Going out?\All dressed up, too.\You!\Are you going to Embryo-sama's place or something? response:	I overheard.
context: Maggie.\The bulkheads have shut down. We can't get out of the residential block.\Oh my, Commander.\Going out?\All dressed up, too.\You!\Are you going to Embryo-sama's place or something?\I overheard. response:	You were talking in your sleep.
context: The bulkheads have shut down. We can't get out of the residential block.\Oh my, Commander.\Going out?\All dressed up, too.\You!\Are you going to Embryo-sama's place or something?\I overheard.\You were talking in your sleep. response:	Embryo-sama, you moaned.
context: Oh my, Commander.\Going out?\All dressed up, too.\You!\Are you going to Embryo-sama's place or something?\I overheard.\You were talking in your sleep.\Embryo-sama, you moaned. response:	Dude, what's going on?
context: Going out?\All dressed up, too.\You!\Are you going to Embryo-sama's place or something?\I overheard.\You were talking in your sleep.\Embryo-sama, you moaned.\Dude, what's going on? response:	I nailed it.
context: All dressed up, too.\You!\Are you going to Embryo-sama's place or something?\I overheard.\You were talking in your sleep.\Embryo-sama, you moaned.\Dude, what's going on?\I nailed it. response:	Let's do it, everyone.
context: You!\Are you going to Embryo-sama's place or something?\I overheard.\You were talking in your sleep.\Embryo-sama, you moaned.\Dude, what's going on?\I nailed it.\Let's do it, everyone. response:	I won't let you go!
context: Are you going to Embryo-sama's place or something?\I overheard.\You were talking in your sleep.\Embryo-sama, you moaned.\Dude, what's going on?\I nailed it.\Let's do it, everyone.\I won't let you go! response:	You!
context: I overheard.\You were talking in your sleep.\Embryo-sama, you moaned.\Dude, what's going on?\I nailed it.\Let's do it, everyone.\I won't let you go!\You! response:	Now, Rosalie!
context: You were talking in your sleep.\Embryo-sama, you moaned.\Dude, what's going on?\I nailed it.\Let's do it, everyone.\I won't let you go!\You!\Now, Rosalie! response:	All right, it's open.
context: Embryo-sama, you moaned.\Dude, what's going on?\I nailed it.\Let's do it, everyone.\I won't let you go!\You!\Now, Rosalie!\All right, it's open. response:	What is this?
context: Dude, what's going on?\I nailed it.\Let's do it, everyone.\I won't let you go!\You!\Now, Rosalie!\All right, it's open.\What is this? response:	Angelise-sama.
context: I nailed it.\Let's do it, everyone.\I won't let you go!\You!\Now, Rosalie!\All right, it's open.\What is this?\Angelise-sama. response:	Where are you?
context: Let's do it, everyone.\I won't let you go!\You!\Now, Rosalie!\All right, it's open.\What is this?\Angelise-sama.\Where are you? response:	Princess.
context: I won't let you go!\You!\Now, Rosalie!\All right, it's open.\What is this?\Angelise-sama.\Where are you?\Princess. response:	You're useless!
context: You!\Now, Rosalie!\All right, it's open.\What is this?\Angelise-sama.\Where are you?\Princess.\You're useless! response:	You have such a defiant attitude for a slave.
context: Now, Rosalie!\All right, it's open.\What is this?\Angelise-sama.\Where are you?\Princess.\You're useless!\You have such a defiant attitude for a slave. response:	Think about what you've done!
context: All right, it's open.\What is this?\Angelise-sama.\Where are you?\Princess.\You're useless!\You have such a defiant attitude for a slave.\Think about what you've done! response:	Princess...
context: What is this?\Angelise-sama.\Where are you?\Princess.\You're useless!\You have such a defiant attitude for a slave.\Think about what you've done!\Princess... response:	Why?
context: Angelise-sama.\Where are you?\Princess.\You're useless!\You have such a defiant attitude for a slave.\Think about what you've done!\Princess...\Why? response:	I haven't forgotten what you did with Julio-sama to hurt Angelise-sama.
context: Where are you?\Princess.\You're useless!\You have such a defiant attitude for a slave.\Think about what you've done!\Princess...\Why?\I haven't forgotten what you did with Julio-sama to hurt Angelise-sama. response:	So please apologize to Angelise-sama.
context: Princess.\You're useless!\You have such a defiant attitude for a slave.\Think about what you've done!\Princess...\Why?\I haven't forgotten what you did with Julio-sama to hurt Angelise-sama.\So please apologize to Angelise-sama. response:	You mustn't die until you do.
context: You're useless!\You have such a defiant attitude for a slave.\Think about what you've done!\Princess...\Why?\I haven't forgotten what you did with Julio-sama to hurt Angelise-sama.\So please apologize to Angelise-sama.\You mustn't die until you do. response:	Underground the west wing of the royal palace,
context: You have such a defiant attitude for a slave.\Think about what you've done!\Princess...\Why?\I haven't forgotten what you did with Julio-sama to hurt Angelise-sama.\So please apologize to Angelise-sama.\You mustn't die until you do.\Underground the west wing of the royal palace, response:	in the dedicated royal shelter.
context: Think about what you've done!\Princess...\Why?\I haven't forgotten what you did with Julio-sama to hurt Angelise-sama.\So please apologize to Angelise-sama.\You mustn't die until you do.\Underground the west wing of the royal palace,\in the dedicated royal shelter. response:	She must be there.
context: Princess...\Why?\I haven't forgotten what you did with Julio-sama to hurt Angelise-sama.\So please apologize to Angelise-sama.\You mustn't die until you do.\Underground the west wing of the royal palace,\in the dedicated royal shelter.\She must be there. response:	I was Embryo's doll.
context: Why?\I haven't forgotten what you did with Julio-sama to hurt Angelise-sama.\So please apologize to Angelise-sama.\You mustn't die until you do.\Underground the west wing of the royal palace,\in the dedicated royal shelter.\She must be there.\I was Embryo's doll. response:	He manipulated my mind and took everything from me.
context: I haven't forgotten what you did with Julio-sama to hurt Angelise-sama.\So please apologize to Angelise-sama.\You mustn't die until you do.\Underground the west wing of the royal palace,\in the dedicated royal shelter.\She must be there.\I was Embryo's doll.\He manipulated my mind and took everything from me. response:	My pride, my duty, my chastity...
context: So please apologize to Angelise-sama.\You mustn't die until you do.\Underground the west wing of the royal palace,\in the dedicated royal shelter.\She must be there.\I was Embryo's doll.\He manipulated my mind and took everything from me.\My pride, my duty, my chastity... response:	I was scared.
context: You mustn't die until you do.\Underground the west wing of the royal palace,\in the dedicated royal shelter.\She must be there.\I was Embryo's doll.\He manipulated my mind and took everything from me.\My pride, my duty, my chastity...\I was scared. response:	The cause of Libertus,
context: Underground the west wing of the royal palace,\in the dedicated royal shelter.\She must be there.\I was Embryo's doll.\He manipulated my mind and took everything from me.\My pride, my duty, my chastity...\I was scared.\The cause of Libertus, response:	the duty of freeing the Norma,
context: in the dedicated royal shelter.\She must be there.\I was Embryo's doll.\He manipulated my mind and took everything from me.\My pride, my duty, my chastity...\I was scared.\The cause of Libertus,\the duty of freeing the Norma, response:	my bonds with my friends...
context: She must be there.\I was Embryo's doll.\He manipulated my mind and took everything from me.\My pride, my duty, my chastity...\I was scared.\The cause of Libertus,\the duty of freeing the Norma,\my bonds with my friends... response:	All of it was replaced by his love, by my dependence upon him,
context: I was Embryo's doll.\He manipulated my mind and took everything from me.\My pride, my duty, my chastity...\I was scared.\The cause of Libertus,\the duty of freeing the Norma,\my bonds with my friends...\All of it was replaced by his love, by my dependence upon him, response:	and by the pleasures he gave me.
context: He manipulated my mind and took everything from me.\My pride, my duty, my chastity...\I was scared.\The cause of Libertus,\the duty of freeing the Norma,\my bonds with my friends...\All of it was replaced by his love, by my dependence upon him,\and by the pleasures he gave me. response:	Why didn't you tell us?
context: My pride, my duty, my chastity...\I was scared.\The cause of Libertus,\the duty of freeing the Norma,\my bonds with my friends...\All of it was replaced by his love, by my dependence upon him,\and by the pleasures he gave me.\Why didn't you tell us? response:	How was I supposed to explain?
context: I was scared.\The cause of Libertus,\the duty of freeing the Norma,\my bonds with my friends...\All of it was replaced by his love, by my dependence upon him,\and by the pleasures he gave me.\Why didn't you tell us?\How was I supposed to explain? response:	That I went to kill Embryo,
context: The cause of Libertus,\the duty of freeing the Norma,\my bonds with my friends...\All of it was replaced by his love, by my dependence upon him,\and by the pleasures he gave me.\Why didn't you tell us?\How was I supposed to explain?\That I went to kill Embryo, response:	but instead he took my body and mind?
context: the duty of freeing the Norma,\my bonds with my friends...\All of it was replaced by his love, by my dependence upon him,\and by the pleasures he gave me.\Why didn't you tell us?\How was I supposed to explain?\That I went to kill Embryo,\but instead he took my body and mind? response:	It's all my fault.
context: my bonds with my friends...\All of it was replaced by his love, by my dependence upon him,\and by the pleasures he gave me.\Why didn't you tell us?\How was I supposed to explain?\That I went to kill Embryo,\but instead he took my body and mind?\It's all my fault. response:	That Libertus failed, that my friends died... All of it.
context: All of it was replaced by his love, by my dependence upon him,\and by the pleasures he gave me.\Why didn't you tell us?\How was I supposed to explain?\That I went to kill Embryo,\but instead he took my body and mind?\It's all my fault.\That Libertus failed, that my friends died... All of it. response:	They all died trying to help a filthy woman like me.
context: and by the pleasures he gave me.\Why didn't you tell us?\How was I supposed to explain?\That I went to kill Embryo,\but instead he took my body and mind?\It's all my fault.\That Libertus failed, that my friends died... All of it.\They all died trying to help a filthy woman like me. response:	No.
context: Why didn't you tell us?\How was I supposed to explain?\That I went to kill Embryo,\but instead he took my body and mind?\It's all my fault.\That Libertus failed, that my friends died... All of it.\They all died trying to help a filthy woman like me.\No. response:	No!
context: How was I supposed to explain?\That I went to kill Embryo,\but instead he took my body and mind?\It's all my fault.\That Libertus failed, that my friends died... All of it.\They all died trying to help a filthy woman like me.\No.\No! response:	There's only one thing I can do to grieve.
context: That I went to kill Embryo,\but instead he took my body and mind?\It's all my fault.\That Libertus failed, that my friends died... All of it.\They all died trying to help a filthy woman like me.\No.\No!\There's only one thing I can do to grieve. response:	I have to kill Embryo.
context: but instead he took my body and mind?\It's all my fault.\That Libertus failed, that my friends died... All of it.\They all died trying to help a filthy woman like me.\No.\No!\There's only one thing I can do to grieve.\I have to kill Embryo. response:	Nothing else.
context: It's all my fault.\That Libertus failed, that my friends died... All of it.\They all died trying to help a filthy woman like me.\No.\No!\There's only one thing I can do to grieve.\I have to kill Embryo.\Nothing else. response:	I'm sure he's obsessed with his new toy about now.
context: That Libertus failed, that my friends died... All of it.\They all died trying to help a filthy woman like me.\No.\No!\There's only one thing I can do to grieve.\I have to kill Embryo.\Nothing else.\I'm sure he's obsessed with his new toy about now. response:	This is our only chance to kill him.
context: They all died trying to help a filthy woman like me.\No.\No!\There's only one thing I can do to grieve.\I have to kill Embryo.\Nothing else.\I'm sure he's obsessed with his new toy about now.\This is our only chance to kill him. response:	It hurts!
context: No.\No!\There's only one thing I can do to grieve.\I have to kill Embryo.\Nothing else.\I'm sure he's obsessed with his new toy about now.\This is our only chance to kill him.\It hurts! response:	That's why you tried to go alone.
context: No!\There's only one thing I can do to grieve.\I have to kill Embryo.\Nothing else.\I'm sure he's obsessed with his new toy about now.\This is our only chance to kill him.\It hurts!\That's why you tried to go alone. response:	And I failed again.
context: There's only one thing I can do to grieve.\I have to kill Embryo.\Nothing else.\I'm sure he's obsessed with his new toy about now.\This is our only chance to kill him.\It hurts!\That's why you tried to go alone.\And I failed again. response:	I came along because it was you.
context: I have to kill Embryo.\Nothing else.\I'm sure he's obsessed with his new toy about now.\This is our only chance to kill him.\It hurts!\That's why you tried to go alone.\And I failed again.\I came along because it was you. response:	I followed you because you were my friend.
context: Nothing else.\I'm sure he's obsessed with his new toy about now.\This is our only chance to kill him.\It hurts!\That's why you tried to go alone.\And I failed again.\I came along because it was you.\I followed you because you were my friend. response:	And I was just being used the whole time.
context: I'm sure he's obsessed with his new toy about now.\This is our only chance to kill him.\It hurts!\That's why you tried to go alone.\And I failed again.\I came along because it was you.\I followed you because you were my friend.\And I was just being used the whole time. response:	Say something, Alektra!
context: This is our only chance to kill him.\It hurts!\That's why you tried to go alone.\And I failed again.\I came along because it was you.\I followed you because you were my friend.\And I was just being used the whole time.\Say something, Alektra! response:	Now!
context: It hurts!\That's why you tried to go alone.\And I failed again.\I came along because it was you.\I followed you because you were my friend.\And I was just being used the whole time.\Say something, Alektra!\Now! response:	That's enough, Maggie.
context: That's why you tried to go alone.\And I failed again.\I came along because it was you.\I followed you because you were my friend.\And I was just being used the whole time.\Say something, Alektra!\Now!\That's enough, Maggie. response:	Now that we know what happened, we can't let you continue being in charge.
context: And I failed again.\I came along because it was you.\I followed you because you were my friend.\And I was just being used the whole time.\Say something, Alektra!\Now!\That's enough, Maggie.\Now that we know what happened, we can't let you continue being in charge. response:	I relieve you of command.
context: I came along because it was you.\I followed you because you were my friend.\And I was just being used the whole time.\Say something, Alektra!\Now!\That's enough, Maggie.\Now that we know what happened, we can't let you continue being in charge.\I relieve you of command. response:	Understood?
context: I followed you because you were my friend.\And I was just being used the whole time.\Say something, Alektra!\Now!\That's enough, Maggie.\Now that we know what happened, we can't let you continue being in charge.\I relieve you of command.\Understood? response:	Yeah.
context: And I was just being used the whole time.\Say something, Alektra!\Now!\That's enough, Maggie.\Now that we know what happened, we can't let you continue being in charge.\I relieve you of command.\Understood?\Yeah. response:	Hilda, you take over.
context: Say something, Alektra!\Now!\That's enough, Maggie.\Now that we know what happened, we can't let you continue being in charge.\I relieve you of command.\Understood?\Yeah.\Hilda, you take over. response:	You won't make my mistakes.
context: Now!\That's enough, Maggie.\Now that we know what happened, we can't let you continue being in charge.\I relieve you of command.\Understood?\Yeah.\Hilda, you take over.\You won't make my mistakes. response:	Yes, ma'am.
context: That's enough, Maggie.\Now that we know what happened, we can't let you continue being in charge.\I relieve you of command.\Understood?\Yeah.\Hilda, you take over.\You won't make my mistakes.\Yes, ma'am. response:	It is quite enjoyable to see beauty oppressed, suffering, and in despair.
context: Now that we know what happened, we can't let you continue being in charge.\I relieve you of command.\Understood?\Yeah.\Hilda, you take over.\You won't make my mistakes.\Yes, ma'am.\It is quite enjoyable to see beauty oppressed, suffering, and in despair. response:	Are you more accepting now?
context: I relieve you of command.\Understood?\Yeah.\Hilda, you take over.\You won't make my mistakes.\Yes, ma'am.\It is quite enjoyable to see beauty oppressed, suffering, and in despair.\Are you more accepting now? response:	Yes, Embryo-sama.
context: Understood?\Yeah.\Hilda, you take over.\You won't make my mistakes.\Yes, ma'am.\It is quite enjoyable to see beauty oppressed, suffering, and in despair.\Are you more accepting now?\Yes, Embryo-sama. response:	Go to hell, you shit!
context: Yeah.\Hilda, you take over.\You won't make my mistakes.\Yes, ma'am.\It is quite enjoyable to see beauty oppressed, suffering, and in despair.\Are you more accepting now?\Yes, Embryo-sama.\Go to hell, you shit! response:	Impressive.
context: Hilda, you take over.\You won't make my mistakes.\Yes, ma'am.\It is quite enjoyable to see beauty oppressed, suffering, and in despair.\Are you more accepting now?\Yes, Embryo-sama.\Go to hell, you shit!\Impressive. response:	It's hot!
context: You won't make my mistakes.\Yes, ma'am.\It is quite enjoyable to see beauty oppressed, suffering, and in despair.\Are you more accepting now?\Yes, Embryo-sama.\Go to hell, you shit!\Impressive.\It's hot! response:	Help!
context: Yes, ma'am.\It is quite enjoyable to see beauty oppressed, suffering, and in despair.\Are you more accepting now?\Yes, Embryo-sama.\Go to hell, you shit!\Impressive.\It's hot!\Help! response:	Tusk!
context: It is quite enjoyable to see beauty oppressed, suffering, and in despair.\Are you more accepting now?\Yes, Embryo-sama.\Go to hell, you shit!\Impressive.\It's hot!\Help!\Tusk! response:	Tusk!
context: Are you more accepting now?\Yes, Embryo-sama.\Go to hell, you shit!\Impressive.\It's hot!\Help!\Tusk!\Tusk! response:	Let's begin.
context: Yes, Embryo-sama.\Go to hell, you shit!\Impressive.\It's hot!\Help!\Tusk!\Tusk!\Let's begin. response:	Where's Salia?
context: Go to hell, you shit!\Impressive.\It's hot!\Help!\Tusk!\Tusk!\Let's begin.\Where's Salia? response:	Well...
context: Impressive.\It's hot!\Help!\Tusk!\Tusk!\Let's begin.\Where's Salia?\Well... response:	Never mind.
context: It's hot!\Help!\Tusk!\Tusk!\Let's begin.\Where's Salia?\Well...\Never mind. response:	Pathetic.
context: Help!\Tusk!\Tusk!\Let's begin.\Where's Salia?\Well...\Never mind.\Pathetic. response:	Salia.
context: Tusk!\Tusk!\Let's begin.\Where's Salia?\Well...\Never mind.\Pathetic.\Salia. response:	This is what happens when you defy Embryo-sama.
context: Tusk!\Let's begin.\Where's Salia?\Well...\Never mind.\Pathetic.\Salia.\This is what happens when you defy Embryo-sama. response:	Idiot.
context: Let's begin.\Where's Salia?\Well...\Never mind.\Pathetic.\Salia.\This is what happens when you defy Embryo-sama.\Idiot. response:	You're the idiot who fell for that slimeball.
context: Where's Salia?\Well...\Never mind.\Pathetic.\Salia.\This is what happens when you defy Embryo-sama.\Idiot.\You're the idiot who fell for that slimeball. response:	Embryo-sama is all I have left.
context: Well...\Never mind.\Pathetic.\Salia.\This is what happens when you defy Embryo-sama.\Idiot.\You're the idiot who fell for that slimeball.\Embryo-sama is all I have left. response:	But that's not true of you.
context: Never mind.\Pathetic.\Salia.\This is what happens when you defy Embryo-sama.\Idiot.\You're the idiot who fell for that slimeball.\Embryo-sama is all I have left.\But that's not true of you. response:	You have the Villkiss, your friends, and your own place to be.
context: Pathetic.\Salia.\This is what happens when you defy Embryo-sama.\Idiot.\You're the idiot who fell for that slimeball.\Embryo-sama is all I have left.\But that's not true of you.\You have the Villkiss, your friends, and your own place to be. response:	You have everything.
context: Salia.\This is what happens when you defy Embryo-sama.\Idiot.\You're the idiot who fell for that slimeball.\Embryo-sama is all I have left.\But that's not true of you.\You have the Villkiss, your friends, and your own place to be.\You have everything. response:	You're strong enough without having to transform.
context: This is what happens when you defy Embryo-sama.\Idiot.\You're the idiot who fell for that slimeball.\Embryo-sama is all I have left.\But that's not true of you.\You have the Villkiss, your friends, and your own place to be.\You have everything.\You're strong enough without having to transform. response:	Don't take anything else from me.
context: Idiot.\You're the idiot who fell for that slimeball.\Embryo-sama is all I have left.\But that's not true of you.\You have the Villkiss, your friends, and your own place to be.\You have everything.\You're strong enough without having to transform.\Don't take anything else from me. response:	Leave, before Embryo-sama gets back.
context: You're the idiot who fell for that slimeball.\Embryo-sama is all I have left.\But that's not true of you.\You have the Villkiss, your friends, and your own place to be.\You have everything.\You're strong enough without having to transform.\Don't take anything else from me.\Leave, before Embryo-sama gets back. response:	If you keep resisting, he'll end up destroying your mind.
context: Embryo-sama is all I have left.\But that's not true of you.\You have the Villkiss, your friends, and your own place to be.\You have everything.\You're strong enough without having to transform.\Don't take anything else from me.\Leave, before Embryo-sama gets back.\If you keep resisting, he'll end up destroying your mind. response:	Do you want that?
context: But that's not true of you.\You have the Villkiss, your friends, and your own place to be.\You have everything.\You're strong enough without having to transform.\Don't take anything else from me.\Leave, before Embryo-sama gets back.\If you keep resisting, he'll end up destroying your mind.\Do you want that? response:	It's not like I'm trying to help you or anything.
context: You have the Villkiss, your friends, and your own place to be.\You have everything.\You're strong enough without having to transform.\Don't take anything else from me.\Leave, before Embryo-sama gets back.\If you keep resisting, he'll end up destroying your mind.\Do you want that?\It's not like I'm trying to help you or anything. response:	I just don't like seeing you be so pathetic.
context: You have everything.\You're strong enough without having to transform.\Don't take anything else from me.\Leave, before Embryo-sama gets back.\If you keep resisting, he'll end up destroying your mind.\Do you want that?\It's not like I'm trying to help you or anything.\I just don't like seeing you be so pathetic. response:	Sing, sing, the two wishes are now,
context: You're strong enough without having to transform.\Don't take anything else from me.\Leave, before Embryo-sama gets back.\If you keep resisting, he'll end up destroying your mind.\Do you want that?\It's not like I'm trying to help you or anything.\I just don't like seeing you be so pathetic.\Sing, sing, the two wishes are now, response:	Strongly, strongly shining in heavenly gold.
context: Don't take anything else from me.\Leave, before Embryo-sama gets back.\If you keep resisting, he'll end up destroying your mind.\Do you want that?\It's not like I'm trying to help you or anything.\I just don't like seeing you be so pathetic.\Sing, sing, the two wishes are now,\Strongly, strongly shining in heavenly gold. response:	It speaks of eternity.
context: Leave, before Embryo-sama gets back.\If you keep resisting, he'll end up destroying your mind.\Do you want that?\It's not like I'm trying to help you or anything.\I just don't like seeing you be so pathetic.\Sing, sing, the two wishes are now,\Strongly, strongly shining in heavenly gold.\It speaks of eternity. response:	Thanks, Salia.
context: If you keep resisting, he'll end up destroying your mind.\Do you want that?\It's not like I'm trying to help you or anything.\I just don't like seeing you be so pathetic.\Sing, sing, the two wishes are now,\Strongly, strongly shining in heavenly gold.\It speaks of eternity.\Thanks, Salia. response:	This is for helping me.
