context: That day, my world was all white. response:	My hands and feet felt numb from the cold.
context: even though she won't fight!?\La-Landlady!\But, well... perhaps thou art right.\Number 95's feebleness irritates me,\but on the other hand, I might envy her.\I heard you are aiming to be the strongest.\At first, I thought I could be the strongest even without an Ashikabi.\But now... response:	I'm aiming to be strongest in order to live happily ever after with Minato.
context: La-Landlady!\But, well... perhaps thou art right.\Number 95's feebleness irritates me,\but on the other hand, I might envy her.\I heard you are aiming to be the strongest.\At first, I thought I could be the strongest even without an Ashikabi.\But now...\I'm aiming to be strongest in order to live happily ever after with Minato. response:	Don't tell this to Minato!
context: But, well... perhaps thou art right.\Number 95's feebleness irritates me,\but on the other hand, I might envy her.\I heard you are aiming to be the strongest.\At first, I thought I could be the strongest even without an Ashikabi.\But now...\I'm aiming to be strongest in order to live happily ever after with Minato.\Don't tell this to Minato! response:	Yes, yes.
context: Number 95's feebleness irritates me,\but on the other hand, I might envy her.\I heard you are aiming to be the strongest.\At first, I thought I could be the strongest even without an Ashikabi.\But now...\I'm aiming to be strongest in order to live happily ever after with Minato.\Don't tell this to Minato!\Yes, yes. response:	Well then, shall I train you, too?
context: but on the other hand, I might envy her.\I heard you are aiming to be the strongest.\At first, I thought I could be the strongest even without an Ashikabi.\But now...\I'm aiming to be strongest in order to live happily ever after with Minato.\Don't tell this to Minato!\Yes, yes.\Well then, shall I train you, too? response:	Train me?
context: I heard you are aiming to be the strongest.\At first, I thought I could be the strongest even without an Ashikabi.\But now...\I'm aiming to be strongest in order to live happily ever after with Minato.\Don't tell this to Minato!\Yes, yes.\Well then, shall I train you, too?\Train me? response:	Ku-chan, please take care of the laundry.
context: At first, I thought I could be the strongest even without an Ashikabi.\But now...\I'm aiming to be strongest in order to live happily ever after with Minato.\Don't tell this to Minato!\Yes, yes.\Well then, shall I train you, too?\Train me?\Ku-chan, please take care of the laundry. response:	Okay!
context: But now...\I'm aiming to be strongest in order to live happily ever after with Minato.\Don't tell this to Minato!\Yes, yes.\Well then, shall I train you, too?\Train me?\Ku-chan, please take care of the laundry.\Okay! response:	Come to the empty lot in the back.
context: I'm aiming to be strongest in order to live happily ever after with Minato.\Don't tell this to Minato!\Yes, yes.\Well then, shall I train you, too?\Train me?\Ku-chan, please take care of the laundry.\Okay!\Come to the empty lot in the back. response:	I'll judge your ability.
context: Don't tell this to Minato!\Yes, yes.\Well then, shall I train you, too?\Train me?\Ku-chan, please take care of the laundry.\Okay!\Come to the empty lot in the back.\I'll judge your ability. response:	North, West, South and East...
context: Yes, yes.\Well then, shall I train you, too?\Train me?\Ku-chan, please take care of the laundry.\Okay!\Come to the empty lot in the back.\I'll judge your ability.\North, West, South and East... response:	The areas other than the North area are territories of three Ashikabis.
context: Well then, shall I train you, too?\Train me?\Ku-chan, please take care of the laundry.\Okay!\Come to the empty lot in the back.\I'll judge your ability.\North, West, South and East...\The areas other than the North area are territories of three Ashikabis. response:	You're connected to one of them.
context: Train me?\Ku-chan, please take care of the laundry.\Okay!\Come to the empty lot in the back.\I'll judge your ability.\North, West, South and East...\The areas other than the North area are territories of three Ashikabis.\You're connected to one of them. response:	Eh? Me?
context: Ku-chan, please take care of the laundry.\Okay!\Come to the empty lot in the back.\I'll judge your ability.\North, West, South and East...\The areas other than the North area are territories of three Ashikabis.\You're connected to one of them.\Eh? Me? response:	The one who was after the Green Girl.
context: Okay!\Come to the empty lot in the back.\I'll judge your ability.\North, West, South and East...\The areas other than the North area are territories of three Ashikabis.\You're connected to one of them.\Eh? Me?\The one who was after the Green Girl. response:	Number 43, Yomi, whom you guys defeated...
context: Come to the empty lot in the back.\I'll judge your ability.\North, West, South and East...\The areas other than the North area are territories of three Ashikabis.\You're connected to one of them.\Eh? Me?\The one who was after the Green Girl.\Number 43, Yomi, whom you guys defeated... response:	Her Ashikabi, Hayato Mikogami.
context: I'll judge your ability.\North, West, South and East...\The areas other than the North area are territories of three Ashikabis.\You're connected to one of them.\Eh? Me?\The one who was after the Green Girl.\Number 43, Yomi, whom you guys defeated...\Her Ashikabi, Hayato Mikogami. response:	He reigns over the South.
context: North, West, South and East...\The areas other than the North area are territories of three Ashikabis.\You're connected to one of them.\Eh? Me?\The one who was after the Green Girl.\Number 43, Yomi, whom you guys defeated...\Her Ashikabi, Hayato Mikogami.\He reigns over the South. response:	The West is the territory of a man named Sanada, but I don't know much about him.
context: The areas other than the North area are territories of three Ashikabis.\You're connected to one of them.\Eh? Me?\The one who was after the Green Girl.\Number 43, Yomi, whom you guys defeated...\Her Ashikabi, Hayato Mikogami.\He reigns over the South.\The West is the territory of a man named Sanada, but I don't know much about him. response:	I have met Higa of the East several times,
context: You're connected to one of them.\Eh? Me?\The one who was after the Green Girl.\Number 43, Yomi, whom you guys defeated...\Her Ashikabi, Hayato Mikogami.\He reigns over the South.\The West is the territory of a man named Sanada, but I don't know much about him.\I have met Higa of the East several times, response:	but he is opposed to the Sekirei Plan,
context: Eh? Me?\The one who was after the Green Girl.\Number 43, Yomi, whom you guys defeated...\Her Ashikabi, Hayato Mikogami.\He reigns over the South.\The West is the territory of a man named Sanada, but I don't know much about him.\I have met Higa of the East several times,\but he is opposed to the Sekirei Plan, response:	and there are even other Ashikabis who follow him. A cunning man.
context: The one who was after the Green Girl.\Number 43, Yomi, whom you guys defeated...\Her Ashikabi, Hayato Mikogami.\He reigns over the South.\The West is the territory of a man named Sanada, but I don't know much about him.\I have met Higa of the East several times,\but he is opposed to the Sekirei Plan,\and there are even other Ashikabis who follow him. A cunning man. response:	I'm sure he'll cause trouble sooner or later.
context: Number 43, Yomi, whom you guys defeated...\Her Ashikabi, Hayato Mikogami.\He reigns over the South.\The West is the territory of a man named Sanada, but I don't know much about him.\I have met Higa of the East several times,\but he is opposed to the Sekirei Plan,\and there are even other Ashikabis who follow him. A cunning man.\I'm sure he'll cause trouble sooner or later. response:	And then, it's so funny. That girl...
context: Her Ashikabi, Hayato Mikogami.\He reigns over the South.\The West is the territory of a man named Sanada, but I don't know much about him.\I have met Higa of the East several times,\but he is opposed to the Sekirei Plan,\and there are even other Ashikabis who follow him. A cunning man.\I'm sure he'll cause trouble sooner or later.\And then, it's so funny. That girl... response:	What's the matter, Uzume-chan?
context: He reigns over the South.\The West is the territory of a man named Sanada, but I don't know much about him.\I have met Higa of the East several times,\but he is opposed to the Sekirei Plan,\and there are even other Ashikabis who follow him. A cunning man.\I'm sure he'll cause trouble sooner or later.\And then, it's so funny. That girl...\What's the matter, Uzume-chan? response:	Ah, nothing. I just feel a bit thirsty,
context: The West is the territory of a man named Sanada, but I don't know much about him.\I have met Higa of the East several times,\but he is opposed to the Sekirei Plan,\and there are even other Ashikabis who follow him. A cunning man.\I'm sure he'll cause trouble sooner or later.\And then, it's so funny. That girl...\What's the matter, Uzume-chan?\Ah, nothing. I just feel a bit thirsty, response:	so I'll go buy something to drink.
context: I have met Higa of the East several times,\but he is opposed to the Sekirei Plan,\and there are even other Ashikabis who follow him. A cunning man.\I'm sure he'll cause trouble sooner or later.\And then, it's so funny. That girl...\What's the matter, Uzume-chan?\Ah, nothing. I just feel a bit thirsty,\so I'll go buy something to drink. response:	What?
context: but he is opposed to the Sekirei Plan,\and there are even other Ashikabis who follow him. A cunning man.\I'm sure he'll cause trouble sooner or later.\And then, it's so funny. That girl...\What's the matter, Uzume-chan?\Ah, nothing. I just feel a bit thirsty,\so I'll go buy something to drink.\What? response:	You lost your target, did you?
context: and there are even other Ashikabis who follow him. A cunning man.\I'm sure he'll cause trouble sooner or later.\And then, it's so funny. That girl...\What's the matter, Uzume-chan?\Ah, nothing. I just feel a bit thirsty,\so I'll go buy something to drink.\What?\You lost your target, did you? response:	Someone disturbed me.
context: I'm sure he'll cause trouble sooner or later.\And then, it's so funny. That girl...\What's the matter, Uzume-chan?\Ah, nothing. I just feel a bit thirsty,\so I'll go buy something to drink.\What?\You lost your target, did you?\Someone disturbed me. response:	You have only one more chance. There's no more next times.
context: And then, it's so funny. That girl...\What's the matter, Uzume-chan?\Ah, nothing. I just feel a bit thirsty,\so I'll go buy something to drink.\What?\You lost your target, did you?\Someone disturbed me.\You have only one more chance. There's no more next times. response:	I know that.
context: What's the matter, Uzume-chan?\Ah, nothing. I just feel a bit thirsty,\so I'll go buy something to drink.\What?\You lost your target, did you?\Someone disturbed me.\You have only one more chance. There's no more next times.\I know that. response:	Please don't forget the life of your precious Ashikabi depends on Higa-sama.
context: Ah, nothing. I just feel a bit thirsty,\so I'll go buy something to drink.\What?\You lost your target, did you?\Someone disturbed me.\You have only one more chance. There's no more next times.\I know that.\Please don't forget the life of your precious Ashikabi depends on Higa-sama. response:	Well, then...
context: so I'll go buy something to drink.\What?\You lost your target, did you?\Someone disturbed me.\You have only one more chance. There's no more next times.\I know that.\Please don't forget the life of your precious Ashikabi depends on Higa-sama.\Well, then... response:	We'd better avoid their territories if we can.
context: What?\You lost your target, did you?\Someone disturbed me.\You have only one more chance. There's no more next times.\I know that.\Please don't forget the life of your precious Ashikabi depends on Higa-sama.\Well, then...\We'd better avoid their territories if we can. response:	Excuse me,
context: You lost your target, did you?\Someone disturbed me.\You have only one more chance. There's no more next times.\I know that.\Please don't forget the life of your precious Ashikabi depends on Higa-sama.\Well, then...\We'd better avoid their territories if we can.\Excuse me, response:	how can the North be controlled by nobody
context: Someone disturbed me.\You have only one more chance. There's no more next times.\I know that.\Please don't forget the life of your precious Ashikabi depends on Higa-sama.\Well, then...\We'd better avoid their territories if we can.\Excuse me,\how can the North be controlled by nobody response:	despite there being three such powerful Ashikabis?
context: You have only one more chance. There's no more next times.\I know that.\Please don't forget the life of your precious Ashikabi depends on Higa-sama.\Well, then...\We'd better avoid their territories if we can.\Excuse me,\how can the North be controlled by nobody\despite there being three such powerful Ashikabis? response:	Because there lives a very, very scary monster to the north.
context: I know that.\Please don't forget the life of your precious Ashikabi depends on Higa-sama.\Well, then...\We'd better avoid their territories if we can.\Excuse me,\how can the North be controlled by nobody\despite there being three such powerful Ashikabis?\Because there lives a very, very scary monster to the north. response:	Ah! Maison Izumo is in the north!
context: Please don't forget the life of your precious Ashikabi depends on Higa-sama.\Well, then...\We'd better avoid their territories if we can.\Excuse me,\how can the North be controlled by nobody\despite there being three such powerful Ashikabis?\Because there lives a very, very scary monster to the north.\Ah! Maison Izumo is in the north! response:	Here I come.
context: Well, then...\We'd better avoid their territories if we can.\Excuse me,\how can the North be controlled by nobody\despite there being three such powerful Ashikabis?\Because there lives a very, very scary monster to the north.\Ah! Maison Izumo is in the north!\Here I come. response:	Come on!
context: We'd better avoid their territories if we can.\Excuse me,\how can the North be controlled by nobody\despite there being three such powerful Ashikabis?\Because there lives a very, very scary monster to the north.\Ah! Maison Izumo is in the north!\Here I come.\Come on! response:	Water Celebration!
context: Excuse me,\how can the North be controlled by nobody\despite there being three such powerful Ashikabis?\Because there lives a very, very scary monster to the north.\Ah! Maison Izumo is in the north!\Here I come.\Come on!\Water Celebration! response:	What the?!
context: how can the North be controlled by nobody\despite there being three such powerful Ashikabis?\Because there lives a very, very scary monster to the north.\Ah! Maison Izumo is in the north!\Here I come.\Come on!\Water Celebration!\What the?! response:	You open yourself up too much.
context: despite there being three such powerful Ashikabis?\Because there lives a very, very scary monster to the north.\Ah! Maison Izumo is in the north!\Here I come.\Come on!\Water Celebration!\What the?!\You open yourself up too much. response:	You still have a long way to go.
context: Because there lives a very, very scary monster to the north.\Ah! Maison Izumo is in the north!\Here I come.\Come on!\Water Celebration!\What the?!\You open yourself up too much.\You still have a long way to go. response:	You don't use your power properly.
context: Ah! Maison Izumo is in the north!\Here I come.\Come on!\Water Celebration!\What the?!\You open yourself up too much.\You still have a long way to go.\You don't use your power properly. response:	I have lots to teach you.
context: Here I come.\Come on!\Water Celebration!\What the?!\You open yourself up too much.\You still have a long way to go.\You don't use your power properly.\I have lots to teach you. response:	Landlady, who art thou?
context: Come on!\Water Celebration!\What the?!\You open yourself up too much.\You still have a long way to go.\You don't use your power properly.\I have lots to teach you.\Landlady, who art thou? response:	She won't do anything unless we bother her.
context: Water Celebration!\What the?!\You open yourself up too much.\You still have a long way to go.\You don't use your power properly.\I have lots to teach you.\Landlady, who art thou?\She won't do anything unless we bother her. response:	So the North is the best escape route from the capital.
context: What the?!\You open yourself up too much.\You still have a long way to go.\You don't use your power properly.\I have lots to teach you.\Landlady, who art thou?\She won't do anything unless we bother her.\So the North is the best escape route from the capital. response:	In the north, there's a big river dividing the capital from the outside called the Araha River.
context: You open yourself up too much.\You still have a long way to go.\You don't use your power properly.\I have lots to teach you.\Landlady, who art thou?\She won't do anything unless we bother her.\So the North is the best escape route from the capital.\In the north, there's a big river dividing the capital from the outside called the Araha River. response:	Once you cross it, MBI can no longer pursue you.
context: You still have a long way to go.\You don't use your power properly.\I have lots to teach you.\Landlady, who art thou?\She won't do anything unless we bother her.\So the North is the best escape route from the capital.\In the north, there's a big river dividing the capital from the outside called the Araha River.\Once you cross it, MBI can no longer pursue you. response:	Are you suggesting we swim across?
context: You don't use your power properly.\I have lots to teach you.\Landlady, who art thou?\She won't do anything unless we bother her.\So the North is the best escape route from the capital.\In the north, there's a big river dividing the capital from the outside called the Araha River.\Once you cross it, MBI can no longer pursue you.\Are you suggesting we swim across? response:	Idiot! Who said that?
context: I have lots to teach you.\Landlady, who art thou?\She won't do anything unless we bother her.\So the North is the best escape route from the capital.\In the north, there's a big river dividing the capital from the outside called the Araha River.\Once you cross it, MBI can no longer pursue you.\Are you suggesting we swim across?\Idiot! Who said that? response:	They are watching not only all the train stations, airports, ports
context: Landlady, who art thou?\She won't do anything unless we bother her.\So the North is the best escape route from the capital.\In the north, there's a big river dividing the capital from the outside called the Araha River.\Once you cross it, MBI can no longer pursue you.\Are you suggesting we swim across?\Idiot! Who said that?\They are watching not only all the train stations, airports, ports response:	and the junctions of the main roads, but also the sea and rivers.
context: She won't do anything unless we bother her.\So the North is the best escape route from the capital.\In the north, there's a big river dividing the capital from the outside called the Araha River.\Once you cross it, MBI can no longer pursue you.\Are you suggesting we swim across?\Idiot! Who said that?\They are watching not only all the train stations, airports, ports\and the junctions of the main roads, but also the sea and rivers. response:	Then how can they?
context: So the North is the best escape route from the capital.\In the north, there's a big river dividing the capital from the outside called the Araha River.\Once you cross it, MBI can no longer pursue you.\Are you suggesting we swim across?\Idiot! Who said that?\They are watching not only all the train stations, airports, ports\and the junctions of the main roads, but also the sea and rivers.\Then how can they? response:	Now, the only way is to run across the bridge straightforwardly.
context: In the north, there's a big river dividing the capital from the outside called the Araha River.\Once you cross it, MBI can no longer pursue you.\Are you suggesting we swim across?\Idiot! Who said that?\They are watching not only all the train stations, airports, ports\and the junctions of the main roads, but also the sea and rivers.\Then how can they?\Now, the only way is to run across the bridge straightforwardly. response:	There are checkpoints on the bridges. We were there and...
context: Once you cross it, MBI can no longer pursue you.\Are you suggesting we swim across?\Idiot! Who said that?\They are watching not only all the train stations, airports, ports\and the junctions of the main roads, but also the sea and rivers.\Then how can they?\Now, the only way is to run across the bridge straightforwardly.\There are checkpoints on the bridges. We were there and... response:	Even so, a loophole can exist.
context: Are you suggesting we swim across?\Idiot! Who said that?\They are watching not only all the train stations, airports, ports\and the junctions of the main roads, but also the sea and rivers.\Then how can they?\Now, the only way is to run across the bridge straightforwardly.\There are checkpoints on the bridges. We were there and...\Even so, a loophole can exist. response:	The Araha River Even so, a loophole can exist.
context: Idiot! Who said that?\They are watching not only all the train stations, airports, ports\and the junctions of the main roads, but also the sea and rivers.\Then how can they?\Now, the only way is to run across the bridge straightforwardly.\There are checkpoints on the bridges. We were there and...\Even so, a loophole can exist.\The Araha River Even so, a loophole can exist. response:	The Araha River Here. The bridges for regular roads and for railroads stand in parallel.
context: They are watching not only all the train stations, airports, ports\and the junctions of the main roads, but also the sea and rivers.\Then how can they?\Now, the only way is to run across the bridge straightforwardly.\There are checkpoints on the bridges. We were there and...\Even so, a loophole can exist.\The Araha River Even so, a loophole can exist.\The Araha River Here. The bridges for regular roads and for railroads stand in parallel. response:	Here. The bridges for regular roads and for railroads stand in parallel.
context: and the junctions of the main roads, but also the sea and rivers.\Then how can they?\Now, the only way is to run across the bridge straightforwardly.\There are checkpoints on the bridges. We were there and...\Even so, a loophole can exist.\The Araha River Even so, a loophole can exist.\The Araha River Here. The bridges for regular roads and for railroads stand in parallel.\Here. The bridges for regular roads and for railroads stand in parallel. response:	There are guards on this side of the railroad bridge, but there are no inspection stations.
context: Then how can they?\Now, the only way is to run across the bridge straightforwardly.\There are checkpoints on the bridges. We were there and...\Even so, a loophole can exist.\The Araha River Even so, a loophole can exist.\The Araha River Here. The bridges for regular roads and for railroads stand in parallel.\Here. The bridges for regular roads and for railroads stand in parallel.\There are guards on this side of the railroad bridge, but there are no inspection stations. response:	So one risk can be eliminated there.
context: Now, the only way is to run across the bridge straightforwardly.\There are checkpoints on the bridges. We were there and...\Even so, a loophole can exist.\The Araha River Even so, a loophole can exist.\The Araha River Here. The bridges for regular roads and for railroads stand in parallel.\Here. The bridges for regular roads and for railroads stand in parallel.\There are guards on this side of the railroad bridge, but there are no inspection stations.\So one risk can be eliminated there. response:	But there are two problems.
context: There are checkpoints on the bridges. We were there and...\Even so, a loophole can exist.\The Araha River Even so, a loophole can exist.\The Araha River Here. The bridges for regular roads and for railroads stand in parallel.\Here. The bridges for regular roads and for railroads stand in parallel.\There are guards on this side of the railroad bridge, but there are no inspection stations.\So one risk can be eliminated there.\But there are two problems. response:	One is MBI's surveillance satellites.
context: Even so, a loophole can exist.\The Araha River Even so, a loophole can exist.\The Araha River Here. The bridges for regular roads and for railroads stand in parallel.\Here. The bridges for regular roads and for railroads stand in parallel.\There are guards on this side of the railroad bridge, but there are no inspection stations.\So one risk can be eliminated there.\But there are two problems.\One is MBI's surveillance satellites. response:	If you're caught by one of these, you could be killed instantly by its laser beam.
context: The Araha River Even so, a loophole can exist.\The Araha River Here. The bridges for regular roads and for railroads stand in parallel.\Here. The bridges for regular roads and for railroads stand in parallel.\There are guards on this side of the railroad bridge, but there are no inspection stations.\So one risk can be eliminated there.\But there are two problems.\One is MBI's surveillance satellites.\If you're caught by one of these, you could be killed instantly by its laser beam. response:	Ah... um... how about asking Matsu-san to hack the satellites?
context: The Araha River Here. The bridges for regular roads and for railroads stand in parallel.\Here. The bridges for regular roads and for railroads stand in parallel.\There are guards on this side of the railroad bridge, but there are no inspection stations.\So one risk can be eliminated there.\But there are two problems.\One is MBI's surveillance satellites.\If you're caught by one of these, you could be killed instantly by its laser beam.\Ah... um... how about asking Matsu-san to hack the satellites? response:	Hack the satellites?
context: Here. The bridges for regular roads and for railroads stand in parallel.\There are guards on this side of the railroad bridge, but there are no inspection stations.\So one risk can be eliminated there.\But there are two problems.\One is MBI's surveillance satellites.\If you're caught by one of these, you could be killed instantly by its laser beam.\Ah... um... how about asking Matsu-san to hack the satellites?\Hack the satellites? response:	She's very good at those things.
context: There are guards on this side of the railroad bridge, but there are no inspection stations.\So one risk can be eliminated there.\But there are two problems.\One is MBI's surveillance satellites.\If you're caught by one of these, you could be killed instantly by its laser beam.\Ah... um... how about asking Matsu-san to hack the satellites?\Hack the satellites?\She's very good at those things. response:	All your Sekireis are truly amazing.
context: So one risk can be eliminated there.\But there are two problems.\One is MBI's surveillance satellites.\If you're caught by one of these, you could be killed instantly by its laser beam.\Ah... um... how about asking Matsu-san to hack the satellites?\Hack the satellites?\She's very good at those things.\All your Sekireis are truly amazing. response:	I'm sorry. I'm sorry.
context: But there are two problems.\One is MBI's surveillance satellites.\If you're caught by one of these, you could be killed instantly by its laser beam.\Ah... um... how about asking Matsu-san to hack the satellites?\Hack the satellites?\She's very good at those things.\All your Sekireis are truly amazing.\I'm sorry. I'm sorry. response:	- I'm sorry. I'm sorry. - I haven't said anything!
context: One is MBI's surveillance satellites.\If you're caught by one of these, you could be killed instantly by its laser beam.\Ah... um... how about asking Matsu-san to hack the satellites?\Hack the satellites?\She's very good at those things.\All your Sekireis are truly amazing.\I'm sorry. I'm sorry.\- I'm sorry. I'm sorry. - I haven't said anything! response:	Now then, the only remaining problem is MBI's hounds.
context: If you're caught by one of these, you could be killed instantly by its laser beam.\Ah... um... how about asking Matsu-san to hack the satellites?\Hack the satellites?\She's very good at those things.\All your Sekireis are truly amazing.\I'm sorry. I'm sorry.\- I'm sorry. I'm sorry. - I haven't said anything!\Now then, the only remaining problem is MBI's hounds. response:	The Sekireis called the Discipline Squad.
context: Ah... um... how about asking Matsu-san to hack the satellites?\Hack the satellites?\She's very good at those things.\All your Sekireis are truly amazing.\I'm sorry. I'm sorry.\- I'm sorry. I'm sorry. - I haven't said anything!\Now then, the only remaining problem is MBI's hounds.\The Sekireis called the Discipline Squad. response:	The Discipline Squad?
context: Hack the satellites?\She's very good at those things.\All your Sekireis are truly amazing.\I'm sorry. I'm sorry.\- I'm sorry. I'm sorry. - I haven't said anything!\Now then, the only remaining problem is MBI's hounds.\The Sekireis called the Discipline Squad.\The Discipline Squad? response:	The Blue Sekirei, the Red Sekirei, and the Black Sekirei.
context: She's very good at those things.\All your Sekireis are truly amazing.\I'm sorry. I'm sorry.\- I'm sorry. I'm sorry. - I haven't said anything!\Now then, the only remaining problem is MBI's hounds.\The Sekireis called the Discipline Squad.\The Discipline Squad?\The Blue Sekirei, the Red Sekirei, and the Black Sekirei. response:	They exist to purge other Sekireis, and they are outrageously strong.
context: All your Sekireis are truly amazing.\I'm sorry. I'm sorry.\- I'm sorry. I'm sorry. - I haven't said anything!\Now then, the only remaining problem is MBI's hounds.\The Sekireis called the Discipline Squad.\The Discipline Squad?\The Blue Sekirei, the Red Sekirei, and the Black Sekirei.\They exist to purge other Sekireis, and they are outrageously strong. response:	That one, huh?
context: I'm sorry. I'm sorry.\- I'm sorry. I'm sorry. - I haven't said anything!\Now then, the only remaining problem is MBI's hounds.\The Sekireis called the Discipline Squad.\The Discipline Squad?\The Blue Sekirei, the Red Sekirei, and the Black Sekirei.\They exist to purge other Sekireis, and they are outrageously strong.\That one, huh? response:	I'll fight with them!
context: - I'm sorry. I'm sorry. - I haven't said anything!\Now then, the only remaining problem is MBI's hounds.\The Sekireis called the Discipline Squad.\The Discipline Squad?\The Blue Sekirei, the Red Sekirei, and the Black Sekirei.\They exist to purge other Sekireis, and they are outrageously strong.\That one, huh?\I'll fight with them! response:	Musubi-chan.
context: Now then, the only remaining problem is MBI's hounds.\The Sekireis called the Discipline Squad.\The Discipline Squad?\The Blue Sekirei, the Red Sekirei, and the Black Sekirei.\They exist to purge other Sekireis, and they are outrageously strong.\That one, huh?\I'll fight with them!\Musubi-chan. response:	Then I'll explain the plan.
context: The Sekireis called the Discipline Squad.\The Discipline Squad?\The Blue Sekirei, the Red Sekirei, and the Black Sekirei.\They exist to purge other Sekireis, and they are outrageously strong.\That one, huh?\I'll fight with them!\Musubi-chan.\Then I'll explain the plan. response:	We'll carry it out tomorrow night.
context: The Discipline Squad?\The Blue Sekirei, the Red Sekirei, and the Black Sekirei.\They exist to purge other Sekireis, and they are outrageously strong.\That one, huh?\I'll fight with them!\Musubi-chan.\Then I'll explain the plan.\We'll carry it out tomorrow night. response:	Tomorrow?!
context: The Blue Sekirei, the Red Sekirei, and the Black Sekirei.\They exist to purge other Sekireis, and they are outrageously strong.\That one, huh?\I'll fight with them!\Musubi-chan.\Then I'll explain the plan.\We'll carry it out tomorrow night.\Tomorrow?! response:	Three Ashikabis secretly doing something. There's no way MBI won't notice.
context: They exist to purge other Sekireis, and they are outrageously strong.\That one, huh?\I'll fight with them!\Musubi-chan.\Then I'll explain the plan.\We'll carry it out tomorrow night.\Tomorrow?!\Three Ashikabis secretly doing something. There's no way MBI won't notice. response:	We'd better make the move as soon as possible.
context: That one, huh?\I'll fight with them!\Musubi-chan.\Then I'll explain the plan.\We'll carry it out tomorrow night.\Tomorrow?!\Three Ashikabis secretly doing something. There's no way MBI won't notice.\We'd better make the move as soon as possible. response:	So we're seriously skipping out by night...
context: I'll fight with them!\Musubi-chan.\Then I'll explain the plan.\We'll carry it out tomorrow night.\Tomorrow?!\Three Ashikabis secretly doing something. There's no way MBI won't notice.\We'd better make the move as soon as possible.\So we're seriously skipping out by night... response:	I'm sorry.
context: Musubi-chan.\Then I'll explain the plan.\We'll carry it out tomorrow night.\Tomorrow?!\Three Ashikabis secretly doing something. There's no way MBI won't notice.\We'd better make the move as soon as possible.\So we're seriously skipping out by night...\I'm sorry. response:	Because I'm so weak, you have to...
context: Then I'll explain the plan.\We'll carry it out tomorrow night.\Tomorrow?!\Three Ashikabis secretly doing something. There's no way MBI won't notice.\We'd better make the move as soon as possible.\So we're seriously skipping out by night...\I'm sorry.\Because I'm so weak, you have to... response:	See?
context: We'll carry it out tomorrow night.\Tomorrow?!\Three Ashikabis secretly doing something. There's no way MBI won't notice.\We'd better make the move as soon as possible.\So we're seriously skipping out by night...\I'm sorry.\Because I'm so weak, you have to...\See? response:	You should've listened to us and let us shut you down that time.
context: Tomorrow?!\Three Ashikabis secretly doing something. There's no way MBI won't notice.\We'd better make the move as soon as possible.\So we're seriously skipping out by night...\I'm sorry.\Because I'm so weak, you have to...\See?\You should've listened to us and let us shut you down that time. response:	She's right. If you'd been shut down before your emergence,
context: Three Ashikabis secretly doing something. There's no way MBI won't notice.\We'd better make the move as soon as possible.\So we're seriously skipping out by night...\I'm sorry.\Because I'm so weak, you have to...\See?\You should've listened to us and let us shut you down that time.\She's right. If you'd been shut down before your emergence, response:	you wouldn't need to go through all this.
context: We'd better make the move as soon as possible.\So we're seriously skipping out by night...\I'm sorry.\Because I'm so weak, you have to...\See?\You should've listened to us and let us shut you down that time.\She's right. If you'd been shut down before your emergence,\you wouldn't need to go through all this. response:	But she found him after all.
context: So we're seriously skipping out by night...\I'm sorry.\Because I'm so weak, you have to...\See?\You should've listened to us and let us shut you down that time.\She's right. If you'd been shut down before your emergence,\you wouldn't need to go through all this.\But she found him after all. response:	Kuno-san could meet Shigi-san because she didn't give up.
context: I'm sorry.\Because I'm so weak, you have to...\See?\You should've listened to us and let us shut you down that time.\She's right. If you'd been shut down before your emergence,\you wouldn't need to go through all this.\But she found him after all.\Kuno-san could meet Shigi-san because she didn't give up. response:	Don't worry. You are my girl, so you just shut up and follow me.
context: Because I'm so weak, you have to...\See?\You should've listened to us and let us shut you down that time.\She's right. If you'd been shut down before your emergence,\you wouldn't need to go through all this.\But she found him after all.\Kuno-san could meet Shigi-san because she didn't give up.\Don't worry. You are my girl, so you just shut up and follow me. response:	Got it?
context: See?\You should've listened to us and let us shut you down that time.\She's right. If you'd been shut down before your emergence,\you wouldn't need to go through all this.\But she found him after all.\Kuno-san could meet Shigi-san because she didn't give up.\Don't worry. You are my girl, so you just shut up and follow me.\Got it? response:	Then stop crying!
context: You should've listened to us and let us shut you down that time.\She's right. If you'd been shut down before your emergence,\you wouldn't need to go through all this.\But she found him after all.\Kuno-san could meet Shigi-san because she didn't give up.\Don't worry. You are my girl, so you just shut up and follow me.\Got it?\Then stop crying! response:	Yes.
context: She's right. If you'd been shut down before your emergence,\you wouldn't need to go through all this.\But she found him after all.\Kuno-san could meet Shigi-san because she didn't give up.\Don't worry. You are my girl, so you just shut up and follow me.\Got it?\Then stop crying!\Yes. response:	It's love, indeed!
context: you wouldn't need to go through all this.\But she found him after all.\Kuno-san could meet Shigi-san because she didn't give up.\Don't worry. You are my girl, so you just shut up and follow me.\Got it?\Then stop crying!\Yes.\It's love, indeed! response:	Sekireis get stronger from their love!
context: But she found him after all.\Kuno-san could meet Shigi-san because she didn't give up.\Don't worry. You are my girl, so you just shut up and follow me.\Got it?\Then stop crying!\Yes.\It's love, indeed!\Sekireis get stronger from their love! response:	By the way, why are you with them?
