context: No matter how you look at it, it's against the school rules. response:	(May use this line if you want to rephrase it)
context: Kurum-chan too-\Although they say that she's a genius, she's still a selfish child,\and got teased by her classmates.\Oh, really?\She probably acts like that because she thinks she's a genius.\Regarding my love rival, Aono Tsukune, I must defeat him thoroughly.\A magic item, a Voodoo Doll!\Add Tsukune's hair to it. response:	Tsukune?
context: Although they say that she's a genius, she's still a selfish child,\and got teased by her classmates.\Oh, really?\She probably acts like that because she thinks she's a genius.\Regarding my love rival, Aono Tsukune, I must defeat him thoroughly.\A magic item, a Voodoo Doll!\Add Tsukune's hair to it.\Tsukune? response:	It's way too early for you to play with Moka-san's breasts.
context: and got teased by her classmates.\Oh, really?\She probably acts like that because she thinks she's a genius.\Regarding my love rival, Aono Tsukune, I must defeat him thoroughly.\A magic item, a Voodoo Doll!\Add Tsukune's hair to it.\Tsukune?\It's way too early for you to play with Moka-san's breasts. response:	You can go ahead and fondle the big-breasted girl's breasts.
context: Oh, really?\She probably acts like that because she thinks she's a genius.\Regarding my love rival, Aono Tsukune, I must defeat him thoroughly.\A magic item, a Voodoo Doll!\Add Tsukune's hair to it.\Tsukune?\It's way too early for you to play with Moka-san's breasts.\You can go ahead and fondle the big-breasted girl's breasts. response:	I finally got rid of Yukari-chan.
context: She probably acts like that because she thinks she's a genius.\Regarding my love rival, Aono Tsukune, I must defeat him thoroughly.\A magic item, a Voodoo Doll!\Add Tsukune's hair to it.\Tsukune?\It's way too early for you to play with Moka-san's breasts.\You can go ahead and fondle the big-breasted girl's breasts.\I finally got rid of Yukari-chan. response:	You're mistaken, my body just...
context: Regarding my love rival, Aono Tsukune, I must defeat him thoroughly.\A magic item, a Voodoo Doll!\Add Tsukune's hair to it.\Tsukune?\It's way too early for you to play with Moka-san's breasts.\You can go ahead and fondle the big-breasted girl's breasts.\I finally got rid of Yukari-chan.\You're mistaken, my body just... response:	What are the two of you doing?
context: A magic item, a Voodoo Doll!\Add Tsukune's hair to it.\Tsukune?\It's way too early for you to play with Moka-san's breasts.\You can go ahead and fondle the big-breasted girl's breasts.\I finally got rid of Yukari-chan.\You're mistaken, my body just...\What are the two of you doing? response:	Kurumu-chan, you must have used your charm, right?
context: Add Tsukune's hair to it.\Tsukune?\It's way too early for you to play with Moka-san's breasts.\You can go ahead and fondle the big-breasted girl's breasts.\I finally got rid of Yukari-chan.\You're mistaken, my body just...\What are the two of you doing?\Kurumu-chan, you must have used your charm, right? response:	How would that be possible?
context: Tsukune?\It's way too early for you to play with Moka-san's breasts.\You can go ahead and fondle the big-breasted girl's breasts.\I finally got rid of Yukari-chan.\You're mistaken, my body just...\What are the two of you doing?\Kurumu-chan, you must have used your charm, right?\How would that be possible? response:	Then why?!
context: It's way too early for you to play with Moka-san's breasts.\You can go ahead and fondle the big-breasted girl's breasts.\I finally got rid of Yukari-chan.\You're mistaken, my body just...\What are the two of you doing?\Kurumu-chan, you must have used your charm, right?\How would that be possible?\Then why?! response:	Eh?
context: You can go ahead and fondle the big-breasted girl's breasts.\I finally got rid of Yukari-chan.\You're mistaken, my body just...\What are the two of you doing?\Kurumu-chan, you must have used your charm, right?\How would that be possible?\Then why?!\Eh? response:	Geez.
context: I finally got rid of Yukari-chan.\You're mistaken, my body just...\What are the two of you doing?\Kurumu-chan, you must have used your charm, right?\How would that be possible?\Then why?!\Eh?\Geez. response:	Tsukune...
context: You're mistaken, my body just...\What are the two of you doing?\Kurumu-chan, you must have used your charm, right?\How would that be possible?\Then why?!\Eh?\Geez.\Tsukune... response:	It's a misunderstanding!
context: What are the two of you doing?\Kurumu-chan, you must have used your charm, right?\How would that be possible?\Then why?!\Eh?\Geez.\Tsukune...\It's a misunderstanding! response:	I got you, I got you!
context: Kurumu-chan, you must have used your charm, right?\How would that be possible?\Then why?!\Eh?\Geez.\Tsukune...\It's a misunderstanding!\I got you, I got you! response:	Yukari-chan.
context: How would that be possible?\Then why?!\Eh?\Geez.\Tsukune...\It's a misunderstanding!\I got you, I got you!\Yukari-chan. response:	That's how it is.
context: Then why?!\Eh?\Geez.\Tsukune...\It's a misunderstanding!\I got you, I got you!\Yukari-chan.\That's how it is. response:	Please do something about her!
context: Eh?\Geez.\Tsukune...\It's a misunderstanding!\I got you, I got you!\Yukari-chan.\That's how it is.\Please do something about her! response:	I'm very angry now!
context: Geez.\Tsukune...\It's a misunderstanding!\I got you, I got you!\Yukari-chan.\That's how it is.\Please do something about her!\I'm very angry now! response:	I don't really mind though.
context: Tsukune...\It's a misunderstanding!\I got you, I got you!\Yukari-chan.\That's how it is.\Please do something about her!\I'm very angry now!\I don't really mind though. response:	Well Tsukune, Yukari is still young.
context: It's a misunderstanding!\I got you, I got you!\Yukari-chan.\That's how it is.\Please do something about her!\I'm very angry now!\I don't really mind though.\Well Tsukune, Yukari is still young. response:	You can't use that as an excuse.
context: I got you, I got you!\Yukari-chan.\That's how it is.\Please do something about her!\I'm very angry now!\I don't really mind though.\Well Tsukune, Yukari is still young.\You can't use that as an excuse. response:	For Yukari-chan's sake, we must teach her not to do those bothersome things to other people.
context: Yukari-chan.\That's how it is.\Please do something about her!\I'm very angry now!\I don't really mind though.\Well Tsukune, Yukari is still young.\You can't use that as an excuse.\For Yukari-chan's sake, we must teach her not to do those bothersome things to other people. response:	Even so...
context: That's how it is.\Please do something about her!\I'm very angry now!\I don't really mind though.\Well Tsukune, Yukari is still young.\You can't use that as an excuse.\For Yukari-chan's sake, we must teach her not to do those bothersome things to other people.\Even so... response:	Yukari-chan! If you keep doing these kind of things,
context: Please do something about her!\I'm very angry now!\I don't really mind though.\Well Tsukune, Yukari is still young.\You can't use that as an excuse.\For Yukari-chan's sake, we must teach her not to do those bothersome things to other people.\Even so...\Yukari-chan! If you keep doing these kind of things, response:	You are going to be hate by everyone and sooner or later you are going to be alone.
context: I'm very angry now!\I don't really mind though.\Well Tsukune, Yukari is still young.\You can't use that as an excuse.\For Yukari-chan's sake, we must teach her not to do those bothersome things to other people.\Even so...\Yukari-chan! If you keep doing these kind of things,\You are going to be hate by everyone and sooner or later you are going to be alone. response:	I'm fine with that.
context: I don't really mind though.\Well Tsukune, Yukari is still young.\You can't use that as an excuse.\For Yukari-chan's sake, we must teach her not to do those bothersome things to other people.\Even so...\Yukari-chan! If you keep doing these kind of things,\You are going to be hate by everyone and sooner or later you are going to be alone.\I'm fine with that. response:	I'm a genius after all, so I don't need friends of a lower-intelligence.
context: Well Tsukune, Yukari is still young.\You can't use that as an excuse.\For Yukari-chan's sake, we must teach her not to do those bothersome things to other people.\Even so...\Yukari-chan! If you keep doing these kind of things,\You are going to be hate by everyone and sooner or later you are going to be alone.\I'm fine with that.\I'm a genius after all, so I don't need friends of a lower-intelligence. response:	And first of all,
context: You can't use that as an excuse.\For Yukari-chan's sake, we must teach her not to do those bothersome things to other people.\Even so...\Yukari-chan! If you keep doing these kind of things,\You are going to be hate by everyone and sooner or later you are going to be alone.\I'm fine with that.\I'm a genius after all, so I don't need friends of a lower-intelligence.\And first of all, response:	I was alone from the beginning.
context: For Yukari-chan's sake, we must teach her not to do those bothersome things to other people.\Even so...\Yukari-chan! If you keep doing these kind of things,\You are going to be hate by everyone and sooner or later you are going to be alone.\I'm fine with that.\I'm a genius after all, so I don't need friends of a lower-intelligence.\And first of all,\I was alone from the beginning. response:	Yukari-chan...
context: Even so...\Yukari-chan! If you keep doing these kind of things,\You are going to be hate by everyone and sooner or later you are going to be alone.\I'm fine with that.\I'm a genius after all, so I don't need friends of a lower-intelligence.\And first of all,\I was alone from the beginning.\Yukari-chan... response:	You got tricked!
context: Yukari-chan! If you keep doing these kind of things,\You are going to be hate by everyone and sooner or later you are going to be alone.\I'm fine with that.\I'm a genius after all, so I don't need friends of a lower-intelligence.\And first of all,\I was alone from the beginning.\Yukari-chan...\You got tricked! response:	Wait Tsukune, getting angry with a little kid is going overboard.
context: You are going to be hate by everyone and sooner or later you are going to be alone.\I'm fine with that.\I'm a genius after all, so I don't need friends of a lower-intelligence.\And first of all,\I was alone from the beginning.\Yukari-chan...\You got tricked!\Wait Tsukune, getting angry with a little kid is going overboard. response:	Moka-san, you are the one who needs to leave her alone.
context: I'm fine with that.\I'm a genius after all, so I don't need friends of a lower-intelligence.\And first of all,\I was alone from the beginning.\Yukari-chan...\You got tricked!\Wait Tsukune, getting angry with a little kid is going overboard.\Moka-san, you are the one who needs to leave her alone. response:	Tsukune...
context: I'm a genius after all, so I don't need friends of a lower-intelligence.\And first of all,\I was alone from the beginning.\Yukari-chan...\You got tricked!\Wait Tsukune, getting angry with a little kid is going overboard.\Moka-san, you are the one who needs to leave her alone.\Tsukune... response:	I heard that kid is a witch.
context: And first of all,\I was alone from the beginning.\Yukari-chan...\You got tricked!\Wait Tsukune, getting angry with a little kid is going overboard.\Moka-san, you are the one who needs to leave her alone.\Tsukune...\I heard that kid is a witch. response:	How can this be?! Why is she in the same grade as us?
context: I was alone from the beginning.\Yukari-chan...\You got tricked!\Wait Tsukune, getting angry with a little kid is going overboard.\Moka-san, you are the one who needs to leave her alone.\Tsukune...\I heard that kid is a witch.\How can this be?! Why is she in the same grade as us? response:	Saying desu, desu like she's trying to charm those lolicons.
context: Yukari-chan...\You got tricked!\Wait Tsukune, getting angry with a little kid is going overboard.\Moka-san, you are the one who needs to leave her alone.\Tsukune...\I heard that kid is a witch.\How can this be?! Why is she in the same grade as us?\Saying desu, desu like she's trying to charm those lolicons. response:	Isn't the witches job to play tricks on males?
context: You got tricked!\Wait Tsukune, getting angry with a little kid is going overboard.\Moka-san, you are the one who needs to leave her alone.\Tsukune...\I heard that kid is a witch.\How can this be?! Why is she in the same grade as us?\Saying desu, desu like she's trying to charm those lolicons.\Isn't the witches job to play tricks on males? response:	All she does is play around.
context: Wait Tsukune, getting angry with a little kid is going overboard.\Moka-san, you are the one who needs to leave her alone.\Tsukune...\I heard that kid is a witch.\How can this be?! Why is she in the same grade as us?\Saying desu, desu like she's trying to charm those lolicons.\Isn't the witches job to play tricks on males?\All she does is play around. response:	Speaking of that, aren't witches more similar to humans as compared to demons?
context: Moka-san, you are the one who needs to leave her alone.\Tsukune...\I heard that kid is a witch.\How can this be?! Why is she in the same grade as us?\Saying desu, desu like she's trying to charm those lolicons.\Isn't the witches job to play tricks on males?\All she does is play around.\Speaking of that, aren't witches more similar to humans as compared to demons? response:	There's no need for her to be in this school, right?
context: Tsukune...\I heard that kid is a witch.\How can this be?! Why is she in the same grade as us?\Saying desu, desu like she's trying to charm those lolicons.\Isn't the witches job to play tricks on males?\All she does is play around.\Speaking of that, aren't witches more similar to humans as compared to demons?\There's no need for her to be in this school, right? response:	Yes, no need for it at all.
context: I heard that kid is a witch.\How can this be?! Why is she in the same grade as us?\Saying desu, desu like she's trying to charm those lolicons.\Isn't the witches job to play tricks on males?\All she does is play around.\Speaking of that, aren't witches more similar to humans as compared to demons?\There's no need for her to be in this school, right?\Yes, no need for it at all. response:	I'll bet her grades are good because she uses magic.
context: How can this be?! Why is she in the same grade as us?\Saying desu, desu like she's trying to charm those lolicons.\Isn't the witches job to play tricks on males?\All she does is play around.\Speaking of that, aren't witches more similar to humans as compared to demons?\There's no need for her to be in this school, right?\Yes, no need for it at all.\I'll bet her grades are good because she uses magic. response:	Even if I'm alone... I'm fine with it.
context: Saying desu, desu like she's trying to charm those lolicons.\Isn't the witches job to play tricks on males?\All she does is play around.\Speaking of that, aren't witches more similar to humans as compared to demons?\There's no need for her to be in this school, right?\Yes, no need for it at all.\I'll bet her grades are good because she uses magic.\Even if I'm alone... I'm fine with it. response:	It hurts, you idiot! Why don't you watch where you walk!
context: Isn't the witches job to play tricks on males?\All she does is play around.\Speaking of that, aren't witches more similar to humans as compared to demons?\There's no need for her to be in this school, right?\Yes, no need for it at all.\I'll bet her grades are good because she uses magic.\Even if I'm alone... I'm fine with it.\It hurts, you idiot! Why don't you watch where you walk! response:	Well, compared to you we really are idiots.
context: All she does is play around.\Speaking of that, aren't witches more similar to humans as compared to demons?\There's no need for her to be in this school, right?\Yes, no need for it at all.\I'll bet her grades are good because she uses magic.\Even if I'm alone... I'm fine with it.\It hurts, you idiot! Why don't you watch where you walk!\Well, compared to you we really are idiots. response:	Class president!
context: Speaking of that, aren't witches more similar to humans as compared to demons?\There's no need for her to be in this school, right?\Yes, no need for it at all.\I'll bet her grades are good because she uses magic.\Even if I'm alone... I'm fine with it.\It hurts, you idiot! Why don't you watch where you walk!\Well, compared to you we really are idiots.\Class president! response:	This brat is the one who broke the school rules.
context: There's no need for her to be in this school, right?\Yes, no need for it at all.\I'll bet her grades are good because she uses magic.\Even if I'm alone... I'm fine with it.\It hurts, you idiot! Why don't you watch where you walk!\Well, compared to you we really are idiots.\Class president!\This brat is the one who broke the school rules. response:	The president sure is angry.
context: Yes, no need for it at all.\I'll bet her grades are good because she uses magic.\Even if I'm alone... I'm fine with it.\It hurts, you idiot! Why don't you watch where you walk!\Well, compared to you we really are idiots.\Class president!\This brat is the one who broke the school rules.\The president sure is angry. response:	That has nothing to do with you guys!
context: I'll bet her grades are good because she uses magic.\Even if I'm alone... I'm fine with it.\It hurts, you idiot! Why don't you watch where you walk!\Well, compared to you we really are idiots.\Class president!\This brat is the one who broke the school rules.\The president sure is angry.\That has nothing to do with you guys! response:	There sure is, you know...
context: Even if I'm alone... I'm fine with it.\It hurts, you idiot! Why don't you watch where you walk!\Well, compared to you we really are idiots.\Class president!\This brat is the one who broke the school rules.\The president sure is angry.\That has nothing to do with you guys!\There sure is, you know... response:	We have to punish the one who causes class disruptions.
context: It hurts, you idiot! Why don't you watch where you walk!\Well, compared to you we really are idiots.\Class president!\This brat is the one who broke the school rules.\The president sure is angry.\That has nothing to do with you guys!\There sure is, you know...\We have to punish the one who causes class disruptions. response:	Like I said, you're too nice to Yukari-chan!
context: Well, compared to you we really are idiots.\Class president!\This brat is the one who broke the school rules.\The president sure is angry.\That has nothing to do with you guys!\There sure is, you know...\We have to punish the one who causes class disruptions.\Like I said, you're too nice to Yukari-chan! response:	But when I consider her feelings...
context: Class president!\This brat is the one who broke the school rules.\The president sure is angry.\That has nothing to do with you guys!\There sure is, you know...\We have to punish the one who causes class disruptions.\Like I said, you're too nice to Yukari-chan!\But when I consider her feelings... response:	Then you should also consider my feelings after getting beaten up by her!
context: This brat is the one who broke the school rules.\The president sure is angry.\That has nothing to do with you guys!\There sure is, you know...\We have to punish the one who causes class disruptions.\Like I said, you're too nice to Yukari-chan!\But when I consider her feelings...\Then you should also consider my feelings after getting beaten up by her! response:	It's not the same!
context: The president sure is angry.\That has nothing to do with you guys!\There sure is, you know...\We have to punish the one who causes class disruptions.\Like I said, you're too nice to Yukari-chan!\But when I consider her feelings...\Then you should also consider my feelings after getting beaten up by her!\It's not the same! response:	You too... Why can't you understand her? About Yukari-chan...
context: That has nothing to do with you guys!\There sure is, you know...\We have to punish the one who causes class disruptions.\Like I said, you're too nice to Yukari-chan!\But when I consider her feelings...\Then you should also consider my feelings after getting beaten up by her!\It's not the same!\You too... Why can't you understand her? About Yukari-chan... response:	Why...?
context: There sure is, you know...\We have to punish the one who causes class disruptions.\Like I said, you're too nice to Yukari-chan!\But when I consider her feelings...\Then you should also consider my feelings after getting beaten up by her!\It's not the same!\You too... Why can't you understand her? About Yukari-chan...\Why...? response:	Don't you feel she's pitiful?
context: We have to punish the one who causes class disruptions.\Like I said, you're too nice to Yukari-chan!\But when I consider her feelings...\Then you should also consider my feelings after getting beaten up by her!\It's not the same!\You too... Why can't you understand her? About Yukari-chan...\Why...?\Don't you feel she's pitiful? response:	I can't simply leave her like this!
context: Like I said, you're too nice to Yukari-chan!\But when I consider her feelings...\Then you should also consider my feelings after getting beaten up by her!\It's not the same!\You too... Why can't you understand her? About Yukari-chan...\Why...?\Don't you feel she's pitiful?\I can't simply leave her like this! response:	As expected from a witch, she's not affected even if she's despised by others.
context: But when I consider her feelings...\Then you should also consider my feelings after getting beaten up by her!\It's not the same!\You too... Why can't you understand her? About Yukari-chan...\Why...?\Don't you feel she's pitiful?\I can't simply leave her like this!\As expected from a witch, she's not affected even if she's despised by others. response:	What do you mean by that?
context: Then you should also consider my feelings after getting beaten up by her!\It's not the same!\You too... Why can't you understand her? About Yukari-chan...\Why...?\Don't you feel she's pitiful?\I can't simply leave her like this!\As expected from a witch, she's not affected even if she's despised by others.\What do you mean by that? response:	Don't you know?
context: It's not the same!\You too... Why can't you understand her? About Yukari-chan...\Why...?\Don't you feel she's pitiful?\I can't simply leave her like this!\As expected from a witch, she's not affected even if she's despised by others.\What do you mean by that?\Don't you know? response:	Aren't witches an existence crossed between monsters and humans?
context: You too... Why can't you understand her? About Yukari-chan...\Why...?\Don't you feel she's pitiful?\I can't simply leave her like this!\As expected from a witch, she's not affected even if she's despised by others.\What do you mean by that?\Don't you know?\Aren't witches an existence crossed between monsters and humans? response:	In the past, it was said they were beings who bridged the gap between both dimensions,
context: Why...?\Don't you feel she's pitiful?\I can't simply leave her like this!\As expected from a witch, she's not affected even if she's despised by others.\What do you mean by that?\Don't you know?\Aren't witches an existence crossed between monsters and humans?\In the past, it was said they were beings who bridged the gap between both dimensions, response:	but now they're called half-breeds.
context: Don't you feel she's pitiful?\I can't simply leave her like this!\As expected from a witch, she's not affected even if she's despised by others.\What do you mean by that?\Don't you know?\Aren't witches an existence crossed between monsters and humans?\In the past, it was said they were beings who bridged the gap between both dimensions,\but now they're called half-breeds. response:	Half-breeds...
context: I can't simply leave her like this!\As expected from a witch, she's not affected even if she's despised by others.\What do you mean by that?\Don't you know?\Aren't witches an existence crossed between monsters and humans?\In the past, it was said they were beings who bridged the gap between both dimensions,\but now they're called half-breeds.\Half-breeds... response:	And also, even in the human world,
context: As expected from a witch, she's not affected even if she's despised by others.\What do you mean by that?\Don't you know?\Aren't witches an existence crossed between monsters and humans?\In the past, it was said they were beings who bridged the gap between both dimensions,\but now they're called half-breeds.\Half-breeds...\And also, even in the human world, response:	there have been'Witch Hunts','Witchcraft Trials' and other similar events...
context: What do you mean by that?\Don't you know?\Aren't witches an existence crossed between monsters and humans?\In the past, it was said they were beings who bridged the gap between both dimensions,\but now they're called half-breeds.\Half-breeds...\And also, even in the human world,\there have been'Witch Hunts','Witchcraft Trials' and other similar events... response:	They are truly hated by humans,
context: Don't you know?\Aren't witches an existence crossed between monsters and humans?\In the past, it was said they were beings who bridged the gap between both dimensions,\but now they're called half-breeds.\Half-breeds...\And also, even in the human world,\there have been'Witch Hunts','Witchcraft Trials' and other similar events...\They are truly hated by humans, response:	and they aren't accepted anywhere.
context: Aren't witches an existence crossed between monsters and humans?\In the past, it was said they were beings who bridged the gap between both dimensions,\but now they're called half-breeds.\Half-breeds...\And also, even in the human world,\there have been'Witch Hunts','Witchcraft Trials' and other similar events...\They are truly hated by humans,\and they aren't accepted anywhere. response:	That girl could be really lonely.
context: In the past, it was said they were beings who bridged the gap between both dimensions,\but now they're called half-breeds.\Half-breeds...\And also, even in the human world,\there have been'Witch Hunts','Witchcraft Trials' and other similar events...\They are truly hated by humans,\and they aren't accepted anywhere.\That girl could be really lonely. response:	She's the same as me...
context: but now they're called half-breeds.\Half-breeds...\And also, even in the human world,\there have been'Witch Hunts','Witchcraft Trials' and other similar events...\They are truly hated by humans,\and they aren't accepted anywhere.\That girl could be really lonely.\She's the same as me... response:	Seriously, don't you still have me?
context: Half-breeds...\And also, even in the human world,\there have been'Witch Hunts','Witchcraft Trials' and other similar events...\They are truly hated by humans,\and they aren't accepted anywhere.\That girl could be really lonely.\She's the same as me...\Seriously, don't you still have me? response:	Wait up!
context: And also, even in the human world,\there have been'Witch Hunts','Witchcraft Trials' and other similar events...\They are truly hated by humans,\and they aren't accepted anywhere.\That girl could be really lonely.\She's the same as me...\Seriously, don't you still have me?\Wait up! response:	What are you doing?
context: there have been'Witch Hunts','Witchcraft Trials' and other similar events...\They are truly hated by humans,\and they aren't accepted anywhere.\That girl could be really lonely.\She's the same as me...\Seriously, don't you still have me?\Wait up!\What are you doing? response:	Desu, desu. Shut updesu!
context: They are truly hated by humans,\and they aren't accepted anywhere.\That girl could be really lonely.\She's the same as me...\Seriously, don't you still have me?\Wait up!\What are you doing?\Desu, desu. Shut updesu! response:	What a filthy sound.
context: and they aren't accepted anywhere.\That girl could be really lonely.\She's the same as me...\Seriously, don't you still have me?\Wait up!\What are you doing?\Desu, desu. Shut updesu!\What a filthy sound. response:	Filthy indeed...
context: That girl could be really lonely.\She's the same as me...\Seriously, don't you still have me?\Wait up!\What are you doing?\Desu, desu. Shut updesu!\What a filthy sound.\Filthy indeed... response:	Filth!
context: She's the same as me...\Seriously, don't you still have me?\Wait up!\What are you doing?\Desu, desu. Shut updesu!\What a filthy sound.\Filthy indeed...\Filth! response:	Die!!!
context: Seriously, don't you still have me?\Wait up!\What are you doing?\Desu, desu. Shut updesu!\What a filthy sound.\Filthy indeed...\Filth!\Die!!! response:	Information Tidbit!
context: Wait up!\What are you doing?\Desu, desu. Shut updesu!\What a filthy sound.\Filthy indeed...\Filth!\Die!!!\Information Tidbit! response:	Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu.
context: What are you doing?\Desu, desu. Shut updesu!\What a filthy sound.\Filthy indeed...\Filth!\Die!!!\Information Tidbit!\Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu. response:	Our class doesn't need a filthy brat like you who smells like piss!
context: Desu, desu. Shut updesu!\What a filthy sound.\Filthy indeed...\Filth!\Die!!!\Information Tidbit!\Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu.\Our class doesn't need a filthy brat like you who smells like piss! response:	Our class doesn't need her...
context: What a filthy sound.\Filthy indeed...\Filth!\Die!!!\Information Tidbit!\Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu.\Our class doesn't need a filthy brat like you who smells like piss!\Our class doesn't need her... response:	What's with the witch?
context: Filthy indeed...\Filth!\Die!!!\Information Tidbit!\Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu.\Our class doesn't need a filthy brat like you who smells like piss!\Our class doesn't need her...\What's with the witch? response:	Becoming complacent just because she gets good grades.
context: Filth!\Die!!!\Information Tidbit!\Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu.\Our class doesn't need a filthy brat like you who smells like piss!\Our class doesn't need her...\What's with the witch?\Becoming complacent just because she gets good grades. response:	Our class doesn't need such a cocky girl like her.
context: Die!!!\Information Tidbit!\Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu.\Our class doesn't need a filthy brat like you who smells like piss!\Our class doesn't need her...\What's with the witch?\Becoming complacent just because she gets good grades.\Our class doesn't need such a cocky girl like her. response:	You said it.
context: Information Tidbit!\Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu.\Our class doesn't need a filthy brat like you who smells like piss!\Our class doesn't need her...\What's with the witch?\Becoming complacent just because she gets good grades.\Our class doesn't need such a cocky girl like her.\You said it. response:	After causing so much trouble for everyone, she's going to be abandoned.
context: Lizardman - a beast that has an appearance of a lizard, yet possesses a higher intelligencechuu.\Our class doesn't need a filthy brat like you who smells like piss!\Our class doesn't need her...\What's with the witch?\Becoming complacent just because she gets good grades.\Our class doesn't need such a cocky girl like her.\You said it.\After causing so much trouble for everyone, she's going to be abandoned. response:	Why... Suddenly!?
context: Our class doesn't need a filthy brat like you who smells like piss!\Our class doesn't need her...\What's with the witch?\Becoming complacent just because she gets good grades.\Our class doesn't need such a cocky girl like her.\You said it.\After causing so much trouble for everyone, she's going to be abandoned.\Why... Suddenly!? response:	No way... Yuck!
context: Our class doesn't need her...\What's with the witch?\Becoming complacent just because she gets good grades.\Our class doesn't need such a cocky girl like her.\You said it.\After causing so much trouble for everyone, she's going to be abandoned.\Why... Suddenly!?\No way... Yuck! response:	What a pleasant feeling!
context: What's with the witch?\Becoming complacent just because she gets good grades.\Our class doesn't need such a cocky girl like her.\You said it.\After causing so much trouble for everyone, she's going to be abandoned.\Why... Suddenly!?\No way... Yuck!\What a pleasant feeling! response:	It's that girl!
context: Becoming complacent just because she gets good grades.\Our class doesn't need such a cocky girl like her.\You said it.\After causing so much trouble for everyone, she's going to be abandoned.\Why... Suddenly!?\No way... Yuck!\What a pleasant feeling!\It's that girl! response:	That's too much! You're really a despicable witch!
context: Our class doesn't need such a cocky girl like her.\You said it.\After causing so much trouble for everyone, she's going to be abandoned.\Why... Suddenly!?\No way... Yuck!\What a pleasant feeling!\It's that girl!\That's too much! You're really a despicable witch! response:	I don't want to be friends with you girls.
context: You said it.\After causing so much trouble for everyone, she's going to be abandoned.\Why... Suddenly!?\No way... Yuck!\What a pleasant feeling!\It's that girl!\That's too much! You're really a despicable witch!\I don't want to be friends with you girls. response:	Why're you so silent now?
context: After causing so much trouble for everyone, she's going to be abandoned.\Why... Suddenly!?\No way... Yuck!\What a pleasant feeling!\It's that girl!\That's too much! You're really a despicable witch!\I don't want to be friends with you girls.\Why're you so silent now? response:	Shut up!
context: Why... Suddenly!?\No way... Yuck!\What a pleasant feeling!\It's that girl!\That's too much! You're really a despicable witch!\I don't want to be friends with you girls.\Why're you so silent now?\Shut up! response:	My magical wand...
context: No way... Yuck!\What a pleasant feeling!\It's that girl!\That's too much! You're really a despicable witch!\I don't want to be friends with you girls.\Why're you so silent now?\Shut up!\My magical wand... response:	That tasted disgusting.
context: What a pleasant feeling!\It's that girl!\That's too much! You're really a despicable witch!\I don't want to be friends with you girls.\Why're you so silent now?\Shut up!\My magical wand...\That tasted disgusting. response:	How should we take care of her?
context: It's that girl!\That's too much! You're really a despicable witch!\I don't want to be friends with you girls.\Why're you so silent now?\Shut up!\My magical wand...\That tasted disgusting.\How should we take care of her? response:	Eat her! No one would notice in this dense fog.
context: That's too much! You're really a despicable witch!\I don't want to be friends with you girls.\Why're you so silent now?\Shut up!\My magical wand...\That tasted disgusting.\How should we take care of her?\Eat her! No one would notice in this dense fog. response:	That's right.
context: I don't want to be friends with you girls.\Why're you so silent now?\Shut up!\My magical wand...\That tasted disgusting.\How should we take care of her?\Eat her! No one would notice in this dense fog.\That's right. response:	Sampling a filthy brat would be a nice change in tastes.
context: Why're you so silent now?\Shut up!\My magical wand...\That tasted disgusting.\How should we take care of her?\Eat her! No one would notice in this dense fog.\That's right.\Sampling a filthy brat would be a nice change in tastes. response:	No...
context: Shut up!\My magical wand...\That tasted disgusting.\How should we take care of her?\Eat her! No one would notice in this dense fog.\That's right.\Sampling a filthy brat would be a nice change in tastes.\No... response:	No!!!
context: My magical wand...\That tasted disgusting.\How should we take care of her?\Eat her! No one would notice in this dense fog.\That's right.\Sampling a filthy brat would be a nice change in tastes.\No...\No!!! response:	Get away from Yukari-chan!
context: That tasted disgusting.\How should we take care of her?\Eat her! No one would notice in this dense fog.\That's right.\Sampling a filthy brat would be a nice change in tastes.\No...\No!!!\Get away from Yukari-chan! response:	Moka-san!
context: How should we take care of her?\Eat her! No one would notice in this dense fog.\That's right.\Sampling a filthy brat would be a nice change in tastes.\No...\No!!!\Get away from Yukari-chan!\Moka-san! response:	You again?
context: Eat her! No one would notice in this dense fog.\That's right.\Sampling a filthy brat would be a nice change in tastes.\No...\No!!!\Get away from Yukari-chan!\Moka-san!\You again? response:	Lets eat her up too!
context: That's right.\Sampling a filthy brat would be a nice change in tastes.\No...\No!!!\Get away from Yukari-chan!\Moka-san!\You again?\Lets eat her up too! response:	I agree!
context: Sampling a filthy brat would be a nice change in tastes.\No...\No!!!\Get away from Yukari-chan!\Moka-san!\You again?\Lets eat her up too!\I agree! response:	This one looks really tasty and juicy...
context: No...\No!!!\Get away from Yukari-chan!\Moka-san!\You again?\Lets eat her up too!\I agree!\This one looks really tasty and juicy... response:	Most importantly, such bouncy breasts, nice hips and hot back!
