context: Kaoru-san... response:	So we're in the same class this year, too? I'm glad.
context: Nice to meet you!\Richie... Do you remember that guy from last year?\Nope...\I'm gettin' the chills...\Oh, that's right, Sentaro-kun...\Are you free on our next day off?\I want to get you a present as thanks for being my model.\Hey! Wait up! Hey! response:	Idiot! Apollo, my ass!
context: Richie... Do you remember that guy from last year?\Nope...\I'm gettin' the chills...\Oh, that's right, Sentaro-kun...\Are you free on our next day off?\I want to get you a present as thanks for being my model.\Hey! Wait up! Hey!\Idiot! Apollo, my ass! response:	I could never see this guy wearing a laurel wreath!
context: Nope...\I'm gettin' the chills...\Oh, that's right, Sentaro-kun...\Are you free on our next day off?\I want to get you a present as thanks for being my model.\Hey! Wait up! Hey!\Idiot! Apollo, my ass!\I could never see this guy wearing a laurel wreath! response:	Ri-chan, do you have detention?
context: I'm gettin' the chills...\Oh, that's right, Sentaro-kun...\Are you free on our next day off?\I want to get you a present as thanks for being my model.\Hey! Wait up! Hey!\Idiot! Apollo, my ass!\I could never see this guy wearing a laurel wreath!\Ri-chan, do you have detention? response:	Yeah. I forgot my math homework.
context: Oh, that's right, Sentaro-kun...\Are you free on our next day off?\I want to get you a present as thanks for being my model.\Hey! Wait up! Hey!\Idiot! Apollo, my ass!\I could never see this guy wearing a laurel wreath!\Ri-chan, do you have detention?\Yeah. I forgot my math homework. response:	That's unusual for someone as level-headed as you, Ri-chan.
context: Are you free on our next day off?\I want to get you a present as thanks for being my model.\Hey! Wait up! Hey!\Idiot! Apollo, my ass!\I could never see this guy wearing a laurel wreath!\Ri-chan, do you have detention?\Yeah. I forgot my math homework.\That's unusual for someone as level-headed as you, Ri-chan. response:	Who said I was level-headed? I'm careless as can be.
context: I want to get you a present as thanks for being my model.\Hey! Wait up! Hey!\Idiot! Apollo, my ass!\I could never see this guy wearing a laurel wreath!\Ri-chan, do you have detention?\Yeah. I forgot my math homework.\That's unusual for someone as level-headed as you, Ri-chan.\Who said I was level-headed? I'm careless as can be. response:	I get more absent-minded in the spring, but better snap out of it...
context: Hey! Wait up! Hey!\Idiot! Apollo, my ass!\I could never see this guy wearing a laurel wreath!\Ri-chan, do you have detention?\Yeah. I forgot my math homework.\That's unusual for someone as level-headed as you, Ri-chan.\Who said I was level-headed? I'm careless as can be.\I get more absent-minded in the spring, but better snap out of it... response:	This song...
context: Idiot! Apollo, my ass!\I could never see this guy wearing a laurel wreath!\Ri-chan, do you have detention?\Yeah. I forgot my math homework.\That's unusual for someone as level-headed as you, Ri-chan.\Who said I was level-headed? I'm careless as can be.\I get more absent-minded in the spring, but better snap out of it...\This song... response:	It's from The Sound of Music.
context: I could never see this guy wearing a laurel wreath!\Ri-chan, do you have detention?\Yeah. I forgot my math homework.\That's unusual for someone as level-headed as you, Ri-chan.\Who said I was level-headed? I'm careless as can be.\I get more absent-minded in the spring, but better snap out of it...\This song...\It's from The Sound of Music. response:	I love this song.
context: Ri-chan, do you have detention?\Yeah. I forgot my math homework.\That's unusual for someone as level-headed as you, Ri-chan.\Who said I was level-headed? I'm careless as can be.\I get more absent-minded in the spring, but better snap out of it...\This song...\It's from The Sound of Music.\I love this song. response:	Yeah, I figured you would like that movie, Ri-chan.
context: Yeah. I forgot my math homework.\That's unusual for someone as level-headed as you, Ri-chan.\Who said I was level-headed? I'm careless as can be.\I get more absent-minded in the spring, but better snap out of it...\This song...\It's from The Sound of Music.\I love this song.\Yeah, I figured you would like that movie, Ri-chan. response:	Oh, no, I didn't see it.
context: That's unusual for someone as level-headed as you, Ri-chan.\Who said I was level-headed? I'm careless as can be.\I get more absent-minded in the spring, but better snap out of it...\This song...\It's from The Sound of Music.\I love this song.\Yeah, I figured you would like that movie, Ri-chan.\Oh, no, I didn't see it. response:	I wanted to, but before I knew it, it'd already stopped playing.
context: Who said I was level-headed? I'm careless as can be.\I get more absent-minded in the spring, but better snap out of it...\This song...\It's from The Sound of Music.\I love this song.\Yeah, I figured you would like that movie, Ri-chan.\Oh, no, I didn't see it.\I wanted to, but before I knew it, it'd already stopped playing. response:	I bet it was a good movie, huh?
context: I get more absent-minded in the spring, but better snap out of it...\This song...\It's from The Sound of Music.\I love this song.\Yeah, I figured you would like that movie, Ri-chan.\Oh, no, I didn't see it.\I wanted to, but before I knew it, it'd already stopped playing.\I bet it was a good movie, huh? response:	How could I miss it?
context: This song...\It's from The Sound of Music.\I love this song.\Yeah, I figured you would like that movie, Ri-chan.\Oh, no, I didn't see it.\I wanted to, but before I knew it, it'd already stopped playing.\I bet it was a good movie, huh?\How could I miss it? response:	I guess I thought I'd be able to see it anytime...
context: It's from The Sound of Music.\I love this song.\Yeah, I figured you would like that movie, Ri-chan.\Oh, no, I didn't see it.\I wanted to, but before I knew it, it'd already stopped playing.\I bet it was a good movie, huh?\How could I miss it?\I guess I thought I'd be able to see it anytime... response:	I'm pretty dumb, huh?
context: I love this song.\Yeah, I figured you would like that movie, Ri-chan.\Oh, no, I didn't see it.\I wanted to, but before I knew it, it'd already stopped playing.\I bet it was a good movie, huh?\How could I miss it?\I guess I thought I'd be able to see it anytime...\I'm pretty dumb, huh? response:	What is that again?
context: Yeah, I figured you would like that movie, Ri-chan.\Oh, no, I didn't see it.\I wanted to, but before I knew it, it'd already stopped playing.\I bet it was a good movie, huh?\How could I miss it?\I guess I thought I'd be able to see it anytime...\I'm pretty dumb, huh?\What is that again? response:	My Favorite Things.
context: Oh, no, I didn't see it.\I wanted to, but before I knew it, it'd already stopped playing.\I bet it was a good movie, huh?\How could I miss it?\I guess I thought I'd be able to see it anytime...\I'm pretty dumb, huh?\What is that again?\My Favorite Things. response:	Yeah, that's it!
context: I wanted to, but before I knew it, it'd already stopped playing.\I bet it was a good movie, huh?\How could I miss it?\I guess I thought I'd be able to see it anytime...\I'm pretty dumb, huh?\What is that again?\My Favorite Things.\Yeah, that's it! response:	No, better not... I had my shot...
context: I bet it was a good movie, huh?\How could I miss it?\I guess I thought I'd be able to see it anytime...\I'm pretty dumb, huh?\What is that again?\My Favorite Things.\Yeah, that's it!\No, better not... I had my shot... response:	Oh yeah, there was somethin' I wanted your advice about, Richie.
context: How could I miss it?\I guess I thought I'd be able to see it anytime...\I'm pretty dumb, huh?\What is that again?\My Favorite Things.\Yeah, that's it!\No, better not... I had my shot...\Oh yeah, there was somethin' I wanted your advice about, Richie. response:	About... my date...
context: I guess I thought I'd be able to see it anytime...\I'm pretty dumb, huh?\What is that again?\My Favorite Things.\Yeah, that's it!\No, better not... I had my shot...\Oh yeah, there was somethin' I wanted your advice about, Richie.\About... my date... response:	With Yurika-san?
context: I'm pretty dumb, huh?\What is that again?\My Favorite Things.\Yeah, that's it!\No, better not... I had my shot...\Oh yeah, there was somethin' I wanted your advice about, Richie.\About... my date...\With Yurika-san? response:	Y-Yeah...
context: What is that again?\My Favorite Things.\Yeah, that's it!\No, better not... I had my shot...\Oh yeah, there was somethin' I wanted your advice about, Richie.\About... my date...\With Yurika-san?\Y-Yeah... response:	Well then, I'll give the perfect advice to a romantic beginner like you.
context: My Favorite Things.\Yeah, that's it!\No, better not... I had my shot...\Oh yeah, there was somethin' I wanted your advice about, Richie.\About... my date...\With Yurika-san?\Y-Yeah...\Well then, I'll give the perfect advice to a romantic beginner like you. response:	Don't go.
context: Yeah, that's it!\No, better not... I had my shot...\Oh yeah, there was somethin' I wanted your advice about, Richie.\About... my date...\With Yurika-san?\Y-Yeah...\Well then, I'll give the perfect advice to a romantic beginner like you.\Don't go. response:	That's all.
context: No, better not... I had my shot...\Oh yeah, there was somethin' I wanted your advice about, Richie.\About... my date...\With Yurika-san?\Y-Yeah...\Well then, I'll give the perfect advice to a romantic beginner like you.\Don't go.\That's all. response:	On a one-on-one date, you're sure to freeze up and blow the whole deal.
context: Oh yeah, there was somethin' I wanted your advice about, Richie.\About... my date...\With Yurika-san?\Y-Yeah...\Well then, I'll give the perfect advice to a romantic beginner like you.\Don't go.\That's all.\On a one-on-one date, you're sure to freeze up and blow the whole deal. response:	D-Don't you make fun of me!
context: About... my date...\With Yurika-san?\Y-Yeah...\Well then, I'll give the perfect advice to a romantic beginner like you.\Don't go.\That's all.\On a one-on-one date, you're sure to freeze up and blow the whole deal.\D-Don't you make fun of me! response:	I can handle a date, piece of cake!
context: With Yurika-san?\Y-Yeah...\Well then, I'll give the perfect advice to a romantic beginner like you.\Don't go.\That's all.\On a one-on-one date, you're sure to freeze up and blow the whole deal.\D-Don't you make fun of me!\I can handle a date, piece of cake! response:	Oh, sure! You really think you can keep TPO in mind
context: Y-Yeah...\Well then, I'll give the perfect advice to a romantic beginner like you.\Don't go.\That's all.\On a one-on-one date, you're sure to freeze up and blow the whole deal.\D-Don't you make fun of me!\I can handle a date, piece of cake!\Oh, sure! You really think you can keep TPO in mind response:	TPO: Time Place Occasion
context: Well then, I'll give the perfect advice to a romantic beginner like you.\Don't go.\That's all.\On a one-on-one date, you're sure to freeze up and blow the whole deal.\D-Don't you make fun of me!\I can handle a date, piece of cake!\Oh, sure! You really think you can keep TPO in mind\TPO: Time Place Occasion response:	in front of that princess and behave accordingly?!
context: Don't go.\That's all.\On a one-on-one date, you're sure to freeze up and blow the whole deal.\D-Don't you make fun of me!\I can handle a date, piece of cake!\Oh, sure! You really think you can keep TPO in mind\TPO: Time Place Occasion\in front of that princess and behave accordingly?! response:	You know what it is? You don't, do you?
context: That's all.\On a one-on-one date, you're sure to freeze up and blow the whole deal.\D-Don't you make fun of me!\I can handle a date, piece of cake!\Oh, sure! You really think you can keep TPO in mind\TPO: Time Place Occasion\in front of that princess and behave accordingly?!\You know what it is? You don't, do you? response:	But for your own sake, you better not go.
context: On a one-on-one date, you're sure to freeze up and blow the whole deal.\D-Don't you make fun of me!\I can handle a date, piece of cake!\Oh, sure! You really think you can keep TPO in mind\TPO: Time Place Occasion\in front of that princess and behave accordingly?!\You know what it is? You don't, do you?\But for your own sake, you better not go. response:	TP...
context: D-Don't you make fun of me!\I can handle a date, piece of cake!\Oh, sure! You really think you can keep TPO in mind\TPO: Time Place Occasion\in front of that princess and behave accordingly?!\You know what it is? You don't, do you?\But for your own sake, you better not go.\TP... response:	Jeez, what a pain...
context: I can handle a date, piece of cake!\Oh, sure! You really think you can keep TPO in mind\TPO: Time Place Occasion\in front of that princess and behave accordingly?!\You know what it is? You don't, do you?\But for your own sake, you better not go.\TP...\Jeez, what a pain... response:	I wish everyone would just stop falling in love...
context: Oh, sure! You really think you can keep TPO in mind\TPO: Time Place Occasion\in front of that princess and behave accordingly?!\You know what it is? You don't, do you?\But for your own sake, you better not go.\TP...\Jeez, what a pain...\I wish everyone would just stop falling in love... response:	That dope! Well, don't blame me for what happens!
context: TPO: Time Place Occasion\in front of that princess and behave accordingly?!\You know what it is? You don't, do you?\But for your own sake, you better not go.\TP...\Jeez, what a pain...\I wish everyone would just stop falling in love...\That dope! Well, don't blame me for what happens! response:	Sentaro-kun, don't hold back. Tell me if you see something you want.
context: in front of that princess and behave accordingly?!\You know what it is? You don't, do you?\But for your own sake, you better not go.\TP...\Jeez, what a pain...\I wish everyone would just stop falling in love...\That dope! Well, don't blame me for what happens!\Sentaro-kun, don't hold back. Tell me if you see something you want. response:	Oh, nah. I never get expensive stuff like this.
context: You know what it is? You don't, do you?\But for your own sake, you better not go.\TP...\Jeez, what a pain...\I wish everyone would just stop falling in love...\That dope! Well, don't blame me for what happens!\Sentaro-kun, don't hold back. Tell me if you see something you want.\Oh, nah. I never get expensive stuff like this. response:	Even this jacket is a hand-me-down from Brother Jun...
context: But for your own sake, you better not go.\TP...\Jeez, what a pain...\I wish everyone would just stop falling in love...\That dope! Well, don't blame me for what happens!\Sentaro-kun, don't hold back. Tell me if you see something you want.\Oh, nah. I never get expensive stuff like this.\Even this jacket is a hand-me-down from Brother Jun... response:	Oh, really?
context: TP...\Jeez, what a pain...\I wish everyone would just stop falling in love...\That dope! Well, don't blame me for what happens!\Sentaro-kun, don't hold back. Tell me if you see something you want.\Oh, nah. I never get expensive stuff like this.\Even this jacket is a hand-me-down from Brother Jun...\Oh, really? response:	And from then on, all we talked about was Brother Jun...
context: Jeez, what a pain...\I wish everyone would just stop falling in love...\That dope! Well, don't blame me for what happens!\Sentaro-kun, don't hold back. Tell me if you see something you want.\Oh, nah. I never get expensive stuff like this.\Even this jacket is a hand-me-down from Brother Jun...\Oh, really?\And from then on, all we talked about was Brother Jun... response:	When Brother Jun was in high school, nobody was cooler!
context: I wish everyone would just stop falling in love...\That dope! Well, don't blame me for what happens!\Sentaro-kun, don't hold back. Tell me if you see something you want.\Oh, nah. I never get expensive stuff like this.\Even this jacket is a hand-me-down from Brother Jun...\Oh, really?\And from then on, all we talked about was Brother Jun...\When Brother Jun was in high school, nobody was cooler! response:	He was good at fightin', smart too...
context: That dope! Well, don't blame me for what happens!\Sentaro-kun, don't hold back. Tell me if you see something you want.\Oh, nah. I never get expensive stuff like this.\Even this jacket is a hand-me-down from Brother Jun...\Oh, really?\And from then on, all we talked about was Brother Jun...\When Brother Jun was in high school, nobody was cooler!\He was good at fightin', smart too... response:	Oh, really?!
context: Sentaro-kun, don't hold back. Tell me if you see something you want.\Oh, nah. I never get expensive stuff like this.\Even this jacket is a hand-me-down from Brother Jun...\Oh, really?\And from then on, all we talked about was Brother Jun...\When Brother Jun was in high school, nobody was cooler!\He was good at fightin', smart too...\Oh, really?! response:	We had a good time talkin' about him...
context: Oh, nah. I never get expensive stuff like this.\Even this jacket is a hand-me-down from Brother Jun...\Oh, really?\And from then on, all we talked about was Brother Jun...\When Brother Jun was in high school, nobody was cooler!\He was good at fightin', smart too...\Oh, really?!\We had a good time talkin' about him... response:	What are you doing, Sen?
context: Even this jacket is a hand-me-down from Brother Jun...\Oh, really?\And from then on, all we talked about was Brother Jun...\When Brother Jun was in high school, nobody was cooler!\He was good at fightin', smart too...\Oh, really?!\We had a good time talkin' about him...\What are you doing, Sen? response:	Did your date go well?
context: Oh, really?\And from then on, all we talked about was Brother Jun...\When Brother Jun was in high school, nobody was cooler!\He was good at fightin', smart too...\Oh, really?!\We had a good time talkin' about him...\What are you doing, Sen?\Did your date go well? response:	C-Course it did!
context: And from then on, all we talked about was Brother Jun...\When Brother Jun was in high school, nobody was cooler!\He was good at fightin', smart too...\Oh, really?!\We had a good time talkin' about him...\What are you doing, Sen?\Did your date go well?\C-Course it did! response:	That's right. A date is a piece of cake for you, huh?
context: When Brother Jun was in high school, nobody was cooler!\He was good at fightin', smart too...\Oh, really?!\We had a good time talkin' about him...\What are you doing, Sen?\Did your date go well?\C-Course it did!\That's right. A date is a piece of cake for you, huh? response:	Y-Yeah, that's right...
context: He was good at fightin', smart too...\Oh, really?!\We had a good time talkin' about him...\What are you doing, Sen?\Did your date go well?\C-Course it did!\That's right. A date is a piece of cake for you, huh?\Y-Yeah, that's right... response:	Liar.
context: Oh, really?!\We had a good time talkin' about him...\What are you doing, Sen?\Did your date go well?\C-Course it did!\That's right. A date is a piece of cake for you, huh?\Y-Yeah, that's right...\Liar. response:	It didn't go well at all, did it? Just like I predicted...
context: We had a good time talkin' about him...\What are you doing, Sen?\Did your date go well?\C-Course it did!\That's right. A date is a piece of cake for you, huh?\Y-Yeah, that's right...\Liar.\It didn't go well at all, did it? Just like I predicted... response:	Sen... Stay away from her from now on.
context: What are you doing, Sen?\Did your date go well?\C-Course it did!\That's right. A date is a piece of cake for you, huh?\Y-Yeah, that's right...\Liar.\It didn't go well at all, did it? Just like I predicted...\Sen... Stay away from her from now on. response:	What makes you say that all of a sudden?
context: Did your date go well?\C-Course it did!\That's right. A date is a piece of cake for you, huh?\Y-Yeah, that's right...\Liar.\It didn't go well at all, did it? Just like I predicted...\Sen... Stay away from her from now on.\What makes you say that all of a sudden? response:	You really are dense, aren't you?
context: C-Course it did!\That's right. A date is a piece of cake for you, huh?\Y-Yeah, that's right...\Liar.\It didn't go well at all, did it? Just like I predicted...\Sen... Stay away from her from now on.\What makes you say that all of a sudden?\You really are dense, aren't you? response:	Any way you look at it, you and a refined girl like that just don't match up.
context: That's right. A date is a piece of cake for you, huh?\Y-Yeah, that's right...\Liar.\It didn't go well at all, did it? Just like I predicted...\Sen... Stay away from her from now on.\What makes you say that all of a sudden?\You really are dense, aren't you?\Any way you look at it, you and a refined girl like that just don't match up. response:	It's what you call being out of your depth...
context: Y-Yeah, that's right...\Liar.\It didn't go well at all, did it? Just like I predicted...\Sen... Stay away from her from now on.\What makes you say that all of a sudden?\You really are dense, aren't you?\Any way you look at it, you and a refined girl like that just don't match up.\It's what you call being out of your depth... response:	Crap. I went too far...
context: Liar.\It didn't go well at all, did it? Just like I predicted...\Sen... Stay away from her from now on.\What makes you say that all of a sudden?\You really are dense, aren't you?\Any way you look at it, you and a refined girl like that just don't match up.\It's what you call being out of your depth...\Crap. I went too far... response:	Hi, Kawabuchi-kun.
context: It didn't go well at all, did it? Just like I predicted...\Sen... Stay away from her from now on.\What makes you say that all of a sudden?\You really are dense, aren't you?\Any way you look at it, you and a refined girl like that just don't match up.\It's what you call being out of your depth...\Crap. I went too far...\Hi, Kawabuchi-kun. response:	What?
context: Sen... Stay away from her from now on.\What makes you say that all of a sudden?\You really are dense, aren't you?\Any way you look at it, you and a refined girl like that just don't match up.\It's what you call being out of your depth...\Crap. I went too far...\Hi, Kawabuchi-kun.\What? response:	I heard you went on a date with Yurika?
context: What makes you say that all of a sudden?\You really are dense, aren't you?\Any way you look at it, you and a refined girl like that just don't match up.\It's what you call being out of your depth...\Crap. I went too far...\Hi, Kawabuchi-kun.\What?\I heard you went on a date with Yurika? response:	She said she had a great time.
context: You really are dense, aren't you?\Any way you look at it, you and a refined girl like that just don't match up.\It's what you call being out of your depth...\Crap. I went too far...\Hi, Kawabuchi-kun.\What?\I heard you went on a date with Yurika?\She said she had a great time. response:	H-Hey, is that true?! Did she say anythin' else?!
context: Any way you look at it, you and a refined girl like that just don't match up.\It's what you call being out of your depth...\Crap. I went too far...\Hi, Kawabuchi-kun.\What?\I heard you went on a date with Yurika?\She said she had a great time.\H-Hey, is that true?! Did she say anythin' else?! response:	You wanna know?
context: It's what you call being out of your depth...\Crap. I went too far...\Hi, Kawabuchi-kun.\What?\I heard you went on a date with Yurika?\She said she had a great time.\H-Hey, is that true?! Did she say anythin' else?!\You wanna know? response:	Uh-huh! She said you were handsome, Kawabuchi-kun,
context: Crap. I went too far...\Hi, Kawabuchi-kun.\What?\I heard you went on a date with Yurika?\She said she had a great time.\H-Hey, is that true?! Did she say anythin' else?!\You wanna know?\Uh-huh! She said you were handsome, Kawabuchi-kun, response:	and that maybe she'll hold your hand next time!
context: Hi, Kawabuchi-kun.\What?\I heard you went on a date with Yurika?\She said she had a great time.\H-Hey, is that true?! Did she say anythin' else?!\You wanna know?\Uh-huh! She said you were handsome, Kawabuchi-kun,\and that maybe she'll hold your hand next time! response:	Really?!
context: What?\I heard you went on a date with Yurika?\She said she had a great time.\H-Hey, is that true?! Did she say anythin' else?!\You wanna know?\Uh-huh! She said you were handsome, Kawabuchi-kun,\and that maybe she'll hold your hand next time!\Really?! response:	Oh, Richie, you're here, huh?
context: I heard you went on a date with Yurika?\She said she had a great time.\H-Hey, is that true?! Did she say anythin' else?!\You wanna know?\Uh-huh! She said you were handsome, Kawabuchi-kun,\and that maybe she'll hold your hand next time!\Really?!\Oh, Richie, you're here, huh? response:	Hey, you wanna try playin' My Favorite Things again together?
context: She said she had a great time.\H-Hey, is that true?! Did she say anythin' else?!\You wanna know?\Uh-huh! She said you were handsome, Kawabuchi-kun,\and that maybe she'll hold your hand next time!\Really?!\Oh, Richie, you're here, huh?\Hey, you wanna try playin' My Favorite Things again together? response:	What's this? I thought he'd be mad at me for what I said at lunch,
context: H-Hey, is that true?! Did she say anythin' else?!\You wanna know?\Uh-huh! She said you were handsome, Kawabuchi-kun,\and that maybe she'll hold your hand next time!\Really?!\Oh, Richie, you're here, huh?\Hey, you wanna try playin' My Favorite Things again together?\What's this? I thought he'd be mad at me for what I said at lunch, response:	but he seems to be in a great mood.
context: You wanna know?\Uh-huh! She said you were handsome, Kawabuchi-kun,\and that maybe she'll hold your hand next time!\Really?!\Oh, Richie, you're here, huh?\Hey, you wanna try playin' My Favorite Things again together?\What's this? I thought he'd be mad at me for what I said at lunch,\but he seems to be in a great mood. response:	Hey, what's that?
context: Uh-huh! She said you were handsome, Kawabuchi-kun,\and that maybe she'll hold your hand next time!\Really?!\Oh, Richie, you're here, huh?\Hey, you wanna try playin' My Favorite Things again together?\What's this? I thought he'd be mad at me for what I said at lunch,\but he seems to be in a great mood.\Hey, what's that? response:	I thought only jazz was allowed in here...
context: and that maybe she'll hold your hand next time!\Really?!\Oh, Richie, you're here, huh?\Hey, you wanna try playin' My Favorite Things again together?\What's this? I thought he'd be mad at me for what I said at lunch,\but he seems to be in a great mood.\Hey, what's that?\I thought only jazz was allowed in here... response:	Oh, that kid with the mushroom cut, Matsuoka, forced it on me...
context: Really?!\Oh, Richie, you're here, huh?\Hey, you wanna try playin' My Favorite Things again together?\What's this? I thought he'd be mad at me for what I said at lunch,\but he seems to be in a great mood.\Hey, what's that?\I thought only jazz was allowed in here...\Oh, that kid with the mushroom cut, Matsuoka, forced it on me... response:	I couldn't refuse, so I just carried it here.
context: Oh, Richie, you're here, huh?\Hey, you wanna try playin' My Favorite Things again together?\What's this? I thought he'd be mad at me for what I said at lunch,\but he seems to be in a great mood.\Hey, what's that?\I thought only jazz was allowed in here...\Oh, that kid with the mushroom cut, Matsuoka, forced it on me...\I couldn't refuse, so I just carried it here. response:	Huh...
context: Hey, you wanna try playin' My Favorite Things again together?\What's this? I thought he'd be mad at me for what I said at lunch,\but he seems to be in a great mood.\Hey, what's that?\I thought only jazz was allowed in here...\Oh, that kid with the mushroom cut, Matsuoka, forced it on me...\I couldn't refuse, so I just carried it here.\Huh... response:	W-What's that mean?
context: What's this? I thought he'd be mad at me for what I said at lunch,\but he seems to be in a great mood.\Hey, what's that?\I thought only jazz was allowed in here...\Oh, that kid with the mushroom cut, Matsuoka, forced it on me...\I couldn't refuse, so I just carried it here.\Huh...\W-What's that mean? response:	Good for you, making a nice friend that lends you records...
context: but he seems to be in a great mood.\Hey, what's that?\I thought only jazz was allowed in here...\Oh, that kid with the mushroom cut, Matsuoka, forced it on me...\I couldn't refuse, so I just carried it here.\Huh...\W-What's that mean?\Good for you, making a nice friend that lends you records... response:	Hey, Sen...
context: Hey, what's that?\I thought only jazz was allowed in here...\Oh, that kid with the mushroom cut, Matsuoka, forced it on me...\I couldn't refuse, so I just carried it here.\Huh...\W-What's that mean?\Good for you, making a nice friend that lends you records...\Hey, Sen... response:	Would you come upstairs a second?
context: I thought only jazz was allowed in here...\Oh, that kid with the mushroom cut, Matsuoka, forced it on me...\I couldn't refuse, so I just carried it here.\Huh...\W-What's that mean?\Good for you, making a nice friend that lends you records...\Hey, Sen...\Would you come upstairs a second? response:	Sure.
context: Oh, that kid with the mushroom cut, Matsuoka, forced it on me...\I couldn't refuse, so I just carried it here.\Huh...\W-What's that mean?\Good for you, making a nice friend that lends you records...\Hey, Sen...\Would you come upstairs a second?\Sure. response:	What, did a new record come in?
context: I couldn't refuse, so I just carried it here.\Huh...\W-What's that mean?\Good for you, making a nice friend that lends you records...\Hey, Sen...\Would you come upstairs a second?\Sure.\What, did a new record come in? response:	Just come up here...
context: Huh...\W-What's that mean?\Good for you, making a nice friend that lends you records...\Hey, Sen...\Would you come upstairs a second?\Sure.\What, did a new record come in?\Just come up here... response:	'Kay...
context: W-What's that mean?\Good for you, making a nice friend that lends you records...\Hey, Sen...\Would you come upstairs a second?\Sure.\What, did a new record come in?\Just come up here...\'Kay... response:	Is he... going to listen to that record?
context: Good for you, making a nice friend that lends you records...\Hey, Sen...\Would you come upstairs a second?\Sure.\What, did a new record come in?\Just come up here...\'Kay...\Is he... going to listen to that record? response:	What am I so anxious about?
context: Hey, Sen...\Would you come upstairs a second?\Sure.\What, did a new record come in?\Just come up here...\'Kay...\Is he... going to listen to that record?\What am I so anxious about? response:	Kawabuchi-kun...
context: Would you come upstairs a second?\Sure.\What, did a new record come in?\Just come up here...\'Kay...\Is he... going to listen to that record?\What am I so anxious about?\Kawabuchi-kun... response:	Did you listen to the record I gave you yesterday?
context: Sure.\What, did a new record come in?\Just come up here...\'Kay...\Is he... going to listen to that record?\What am I so anxious about?\Kawabuchi-kun...\Did you listen to the record I gave you yesterday? response:	Nah, I can't get into music that has girls squealin' over it...
context: What, did a new record come in?\Just come up here...\'Kay...\Is he... going to listen to that record?\What am I so anxious about?\Kawabuchi-kun...\Did you listen to the record I gave you yesterday?\Nah, I can't get into music that has girls squealin' over it... response:	Isn't that the purpose of making music?
context: Just come up here...\'Kay...\Is he... going to listen to that record?\What am I so anxious about?\Kawabuchi-kun...\Did you listen to the record I gave you yesterday?\Nah, I can't get into music that has girls squealin' over it...\Isn't that the purpose of making music? response:	Don't you wanna become popular?
context: 'Kay...\Is he... going to listen to that record?\What am I so anxious about?\Kawabuchi-kun...\Did you listen to the record I gave you yesterday?\Nah, I can't get into music that has girls squealin' over it...\Isn't that the purpose of making music?\Don't you wanna become popular? response:	Don't really care about that...
context: Is he... going to listen to that record?\What am I so anxious about?\Kawabuchi-kun...\Did you listen to the record I gave you yesterday?\Nah, I can't get into music that has girls squealin' over it...\Isn't that the purpose of making music?\Don't you wanna become popular?\Don't really care about that... response:	Anyway, I'm not interested.
context: What am I so anxious about?\Kawabuchi-kun...\Did you listen to the record I gave you yesterday?\Nah, I can't get into music that has girls squealin' over it...\Isn't that the purpose of making music?\Don't you wanna become popular?\Don't really care about that...\Anyway, I'm not interested. response:	Well, I wanna be popular.
context: Kawabuchi-kun...\Did you listen to the record I gave you yesterday?\Nah, I can't get into music that has girls squealin' over it...\Isn't that the purpose of making music?\Don't you wanna become popular?\Don't really care about that...\Anyway, I'm not interested.\Well, I wanna be popular. response:	My dream is to become a star!
context: Did you listen to the record I gave you yesterday?\Nah, I can't get into music that has girls squealin' over it...\Isn't that the purpose of making music?\Don't you wanna become popular?\Don't really care about that...\Anyway, I'm not interested.\Well, I wanna be popular.\My dream is to become a star! response:	Seiji
context: Nah, I can't get into music that has girls squealin' over it...\Isn't that the purpose of making music?\Don't you wanna become popular?\Don't really care about that...\Anyway, I'm not interested.\Well, I wanna be popular.\My dream is to become a star!\Seiji response:	Wait a second! Are those the underpants of somebody who aims to be a star?!
context: Isn't that the purpose of making music?\Don't you wanna become popular?\Don't really care about that...\Anyway, I'm not interested.\Well, I wanna be popular.\My dream is to become a star!\Seiji\Wait a second! Are those the underpants of somebody who aims to be a star?! response:	Oh, these?
context: Don't you wanna become popular?\Don't really care about that...\Anyway, I'm not interested.\Well, I wanna be popular.\My dream is to become a star!\Seiji\Wait a second! Are those the underpants of somebody who aims to be a star?!\Oh, these? response:	I've got a lot of brothers, so if I don't stake my claim like this,
context: Don't really care about that...\Anyway, I'm not interested.\Well, I wanna be popular.\My dream is to become a star!\Seiji\Wait a second! Are those the underpants of somebody who aims to be a star?!\Oh, these?\I've got a lot of brothers, so if I don't stake my claim like this, response:	they'll disappear in a hurry.
context: Anyway, I'm not interested.\Well, I wanna be popular.\My dream is to become a star!\Seiji\Wait a second! Are those the underpants of somebody who aims to be a star?!\Oh, these?\I've got a lot of brothers, so if I don't stake my claim like this,\they'll disappear in a hurry. response:	And we're poor, so we can't afford to buy new ones often.
context: Well, I wanna be popular.\My dream is to become a star!\Seiji\Wait a second! Are those the underpants of somebody who aims to be a star?!\Oh, these?\I've got a lot of brothers, so if I don't stake my claim like this,\they'll disappear in a hurry.\And we're poor, so we can't afford to buy new ones often. response:	Amongst all my brothers, I'm called the good-for-nothing.
