context: Once upon a time, there was a girl who loved flowers more than anyone. response:	She prayed every day for the whole town to be filled with beautiful flowers.
context: Quack...\Quack... Quack...\You're a duck zura!\You DO have a tail zura.\Quack!\Quack, quack!\Just who was that kid, anyway?\Thanks to her I was late and now I have detention. response:	You're...
context: Quack... Quack...\You're a duck zura!\You DO have a tail zura.\Quack!\Quack, quack!\Just who was that kid, anyway?\Thanks to her I was late and now I have detention.\You're... response:	Huh? That voice is...
context: You're a duck zura!\You DO have a tail zura.\Quack!\Quack, quack!\Just who was that kid, anyway?\Thanks to her I was late and now I have detention.\You're...\Huh? That voice is... response:	I'm not really hoping to win...
context: You DO have a tail zura.\Quack!\Quack, quack!\Just who was that kid, anyway?\Thanks to her I was late and now I have detention.\You're...\Huh? That voice is...\I'm not really hoping to win... response:	It IS Freya-san.
context: Quack!\Quack, quack!\Just who was that kid, anyway?\Thanks to her I was late and now I have detention.\You're...\Huh? That voice is...\I'm not really hoping to win...\It IS Freya-san. response:	Do you hate me?
context: Quack, quack!\Just who was that kid, anyway?\Thanks to her I was late and now I have detention.\You're...\Huh? That voice is...\I'm not really hoping to win...\It IS Freya-san.\Do you hate me? response:	Mytho?
context: Just who was that kid, anyway?\Thanks to her I was late and now I have detention.\You're...\Huh? That voice is...\I'm not really hoping to win...\It IS Freya-san.\Do you hate me?\Mytho? response:	No, of course not.
context: Thanks to her I was late and now I have detention.\You're...\Huh? That voice is...\I'm not really hoping to win...\It IS Freya-san.\Do you hate me?\Mytho?\No, of course not. response:	Your beautiful heart makes beautiful flowers bloom.
context: You're...\Huh? That voice is...\I'm not really hoping to win...\It IS Freya-san.\Do you hate me?\Mytho?\No, of course not.\Your beautiful heart makes beautiful flowers bloom. response:	If we put our abilities together...
context: Huh? That voice is...\I'm not really hoping to win...\It IS Freya-san.\Do you hate me?\Mytho?\No, of course not.\Your beautiful heart makes beautiful flowers bloom.\If we put our abilities together... response:	I'm sure we could make a kind of flower we've never seen before bloom.
context: I'm not really hoping to win...\It IS Freya-san.\Do you hate me?\Mytho?\No, of course not.\Your beautiful heart makes beautiful flowers bloom.\If we put our abilities together...\I'm sure we could make a kind of flower we've never seen before bloom. response:	There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers.
context: It IS Freya-san.\Do you hate me?\Mytho?\No, of course not.\Your beautiful heart makes beautiful flowers bloom.\If we put our abilities together...\I'm sure we could make a kind of flower we've never seen before bloom.\There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers. response:	Even you believe that, don't you?
context: Do you hate me?\Mytho?\No, of course not.\Your beautiful heart makes beautiful flowers bloom.\If we put our abilities together...\I'm sure we could make a kind of flower we've never seen before bloom.\There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers.\Even you believe that, don't you? response:	I don't really...
context: Mytho?\No, of course not.\Your beautiful heart makes beautiful flowers bloom.\If we put our abilities together...\I'm sure we could make a kind of flower we've never seen before bloom.\There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers.\Even you believe that, don't you?\I don't really... response:	It's all right to think that.
context: No, of course not.\Your beautiful heart makes beautiful flowers bloom.\If we put our abilities together...\I'm sure we could make a kind of flower we've never seen before bloom.\There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers.\Even you believe that, don't you?\I don't really...\It's all right to think that. response:	Because you're different from all those nobodies.
context: Your beautiful heart makes beautiful flowers bloom.\If we put our abilities together...\I'm sure we could make a kind of flower we've never seen before bloom.\There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers.\Even you believe that, don't you?\I don't really...\It's all right to think that.\Because you're different from all those nobodies. response:	And you'll win the competition.
context: If we put our abilities together...\I'm sure we could make a kind of flower we've never seen before bloom.\There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers.\Even you believe that, don't you?\I don't really...\It's all right to think that.\Because you're different from all those nobodies.\And you'll win the competition. response:	That's right. Everyone around you is your enemy.
context: I'm sure we could make a kind of flower we've never seen before bloom.\There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers.\Even you believe that, don't you?\I don't really...\It's all right to think that.\Because you're different from all those nobodies.\And you'll win the competition.\That's right. Everyone around you is your enemy. response:	Love only me, and regard all others with hatred.
context: There's no one in the world with such a beautiful heart that they want to make the world happy with dancing and flowers.\Even you believe that, don't you?\I don't really...\It's all right to think that.\Because you're different from all those nobodies.\And you'll win the competition.\That's right. Everyone around you is your enemy.\Love only me, and regard all others with hatred. response:	Yes.
context: Even you believe that, don't you?\I don't really...\It's all right to think that.\Because you're different from all those nobodies.\And you'll win the competition.\That's right. Everyone around you is your enemy.\Love only me, and regard all others with hatred.\Yes. response:	Pike, love only me.
context: I don't really...\It's all right to think that.\Because you're different from all those nobodies.\And you'll win the competition.\That's right. Everyone around you is your enemy.\Love only me, and regard all others with hatred.\Yes.\Pike, love only me. response:	Yes.
context: It's all right to think that.\Because you're different from all those nobodies.\And you'll win the competition.\That's right. Everyone around you is your enemy.\Love only me, and regard all others with hatred.\Yes.\Pike, love only me.\Yes. response:	Regard all others with hatred.
context: Because you're different from all those nobodies.\And you'll win the competition.\That's right. Everyone around you is your enemy.\Love only me, and regard all others with hatred.\Yes.\Pike, love only me.\Yes.\Regard all others with hatred. response:	Yes, I'll love only you, and hate everyone else.
context: And you'll win the competition.\That's right. Everyone around you is your enemy.\Love only me, and regard all others with hatred.\Yes.\Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else. response:	No!
context: That's right. Everyone around you is your enemy.\Love only me, and regard all others with hatred.\Yes.\Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\No! response:	These are...
context: Love only me, and regard all others with hatred.\Yes.\Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\No!\These are... response:	The room's full of flowers we've never seen before, isn't it Mytho-sama?
context: Yes.\Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\No!\These are...\The room's full of flowers we've never seen before, isn't it Mytho-sama? response:	Tutu...
context: Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\No!\These are...\The room's full of flowers we've never seen before, isn't it Mytho-sama?\Tutu... response:	Freya-san.
context: Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\No!\These are...\The room's full of flowers we've never seen before, isn't it Mytho-sama?\Tutu...\Freya-san. response:	The real you doesn't want to hate anyone, does she?
context: Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\No!\These are...\The room's full of flowers we've never seen before, isn't it Mytho-sama?\Tutu...\Freya-san.\The real you doesn't want to hate anyone, does she? response:	But Mytho wants it, so...
context: Yes, I'll love only you, and hate everyone else.\No!\These are...\The room's full of flowers we've never seen before, isn't it Mytho-sama?\Tutu...\Freya-san.\The real you doesn't want to hate anyone, does she?\But Mytho wants it, so... response:	Tutu... help me...
context: No!\These are...\The room's full of flowers we've never seen before, isn't it Mytho-sama?\Tutu...\Freya-san.\The real you doesn't want to hate anyone, does she?\But Mytho wants it, so...\Tutu... help me... response:	Mytho...
context: These are...\The room's full of flowers we've never seen before, isn't it Mytho-sama?\Tutu...\Freya-san.\The real you doesn't want to hate anyone, does she?\But Mytho wants it, so...\Tutu... help me...\Mytho... response:	Mytho-sama?
context: The room's full of flowers we've never seen before, isn't it Mytho-sama?\Tutu...\Freya-san.\The real you doesn't want to hate anyone, does she?\But Mytho wants it, so...\Tutu... help me...\Mytho...\Mytho-sama? response:	Mytho!
context: Tutu...\Freya-san.\The real you doesn't want to hate anyone, does she?\But Mytho wants it, so...\Tutu... help me...\Mytho...\Mytho-sama?\Mytho! response:	Freya-san!
context: Freya-san.\The real you doesn't want to hate anyone, does she?\But Mytho wants it, so...\Tutu... help me...\Mytho...\Mytho-sama?\Mytho!\Freya-san! response:	You still haven't been completely soaked in raven's blood?
context: The real you doesn't want to hate anyone, does she?\But Mytho wants it, so...\Tutu... help me...\Mytho...\Mytho-sama?\Mytho!\Freya-san!\You still haven't been completely soaked in raven's blood? response:	Hurry up and become my prince and mine alone.
context: But Mytho wants it, so...\Tutu... help me...\Mytho...\Mytho-sama?\Mytho!\Freya-san!\You still haven't been completely soaked in raven's blood?\Hurry up and become my prince and mine alone. response:	The prince who loves me alone.
context: Tutu... help me...\Mytho...\Mytho-sama?\Mytho!\Freya-san!\You still haven't been completely soaked in raven's blood?\Hurry up and become my prince and mine alone.\The prince who loves me alone. response:	The story is progressing. Deeply, quietly...
context: Mytho...\Mytho-sama?\Mytho!\Freya-san!\You still haven't been completely soaked in raven's blood?\Hurry up and become my prince and mine alone.\The prince who loves me alone.\The story is progressing. Deeply, quietly... response:	In a place where Little Duck can't see it.
context: Mytho-sama?\Mytho!\Freya-san!\You still haven't been completely soaked in raven's blood?\Hurry up and become my prince and mine alone.\The prince who loves me alone.\The story is progressing. Deeply, quietly...\In a place where Little Duck can't see it. response:	We'll be holding the ballet competition momentarily.
context: Mytho!\Freya-san!\You still haven't been completely soaked in raven's blood?\Hurry up and become my prince and mine alone.\The prince who loves me alone.\The story is progressing. Deeply, quietly...\In a place where Little Duck can't see it.\We'll be holding the ballet competition momentarily. response:	The winner will dance with Mytho-san as his partner.
context: Freya-san!\You still haven't been completely soaked in raven's blood?\Hurry up and become my prince and mine alone.\The prince who loves me alone.\The story is progressing. Deeply, quietly...\In a place where Little Duck can't see it.\We'll be holding the ballet competition momentarily.\The winner will dance with Mytho-san as his partner. response:	I'm so jealous!
context: You still haven't been completely soaked in raven's blood?\Hurry up and become my prince and mine alone.\The prince who loves me alone.\The story is progressing. Deeply, quietly...\In a place where Little Duck can't see it.\We'll be holding the ballet competition momentarily.\The winner will dance with Mytho-san as his partner.\I'm so jealous! response:	Really?!
context: Hurry up and become my prince and mine alone.\The prince who loves me alone.\The story is progressing. Deeply, quietly...\In a place where Little Duck can't see it.\We'll be holding the ballet competition momentarily.\The winner will dance with Mytho-san as his partner.\I'm so jealous!\Really?! response:	How divine!
context: The prince who loves me alone.\The story is progressing. Deeply, quietly...\In a place where Little Duck can't see it.\We'll be holding the ballet competition momentarily.\The winner will dance with Mytho-san as his partner.\I'm so jealous!\Really?!\How divine! response:	And the runner-up will dance eternally as my partner!
context: The story is progressing. Deeply, quietly...\In a place where Little Duck can't see it.\We'll be holding the ballet competition momentarily.\The winner will dance with Mytho-san as his partner.\I'm so jealous!\Really?!\How divine!\And the runner-up will dance eternally as my partner! response:	The participants must be feeling a nervousness such as they've never felt before.
context: In a place where Little Duck can't see it.\We'll be holding the ballet competition momentarily.\The winner will dance with Mytho-san as his partner.\I'm so jealous!\Really?!\How divine!\And the runner-up will dance eternally as my partner!\The participants must be feeling a nervousness such as they've never felt before. response:	That's for sure.
context: We'll be holding the ballet competition momentarily.\The winner will dance with Mytho-san as his partner.\I'm so jealous!\Really?!\How divine!\And the runner-up will dance eternally as my partner!\The participants must be feeling a nervousness such as they've never felt before.\That's for sure. response:	After all, if they win it's Heaven, but if they make one false step it's Hell.
context: The winner will dance with Mytho-san as his partner.\I'm so jealous!\Really?!\How divine!\And the runner-up will dance eternally as my partner!\The participants must be feeling a nervousness such as they've never felt before.\That's for sure.\After all, if they win it's Heaven, but if they make one false step it's Hell. response:	Now, let us start the competition without delay.
context: I'm so jealous!\Really?!\How divine!\And the runner-up will dance eternally as my partner!\The participants must be feeling a nervousness such as they've never felt before.\That's for sure.\After all, if they win it's Heaven, but if they make one false step it's Hell.\Now, let us start the competition without delay. response:	Everyone try your best, aiming for this runner-up bouquet!
context: Really?!\How divine!\And the runner-up will dance eternally as my partner!\The participants must be feeling a nervousness such as they've never felt before.\That's for sure.\After all, if they win it's Heaven, but if they make one false step it's Hell.\Now, let us start the competition without delay.\Everyone try your best, aiming for this runner-up bouquet! response:	Mytho-sama is watching.
context: How divine!\And the runner-up will dance eternally as my partner!\The participants must be feeling a nervousness such as they've never felt before.\That's for sure.\After all, if they win it's Heaven, but if they make one false step it's Hell.\Now, let us start the competition without delay.\Everyone try your best, aiming for this runner-up bouquet!\Mytho-sama is watching. response:	I don't want to lose.
context: And the runner-up will dance eternally as my partner!\The participants must be feeling a nervousness such as they've never felt before.\That's for sure.\After all, if they win it's Heaven, but if they make one false step it's Hell.\Now, let us start the competition without delay.\Everyone try your best, aiming for this runner-up bouquet!\Mytho-sama is watching.\I don't want to lose. response:	No matter what.
context: The participants must be feeling a nervousness such as they've never felt before.\That's for sure.\After all, if they win it's Heaven, but if they make one false step it's Hell.\Now, let us start the competition without delay.\Everyone try your best, aiming for this runner-up bouquet!\Mytho-sama is watching.\I don't want to lose.\No matter what. response:	The one to become his partner...
context: That's for sure.\After all, if they win it's Heaven, but if they make one false step it's Hell.\Now, let us start the competition without delay.\Everyone try your best, aiming for this runner-up bouquet!\Mytho-sama is watching.\I don't want to lose.\No matter what.\The one to become his partner... response:	The mood's so tense you can hardly breathe.
context: After all, if they win it's Heaven, but if they make one false step it's Hell.\Now, let us start the competition without delay.\Everyone try your best, aiming for this runner-up bouquet!\Mytho-sama is watching.\I don't want to lose.\No matter what.\The one to become his partner...\The mood's so tense you can hardly breathe. response:	I wish Ahiru could have been in the contest too.
context: Now, let us start the competition without delay.\Everyone try your best, aiming for this runner-up bouquet!\Mytho-sama is watching.\I don't want to lose.\No matter what.\The one to become his partner...\The mood's so tense you can hardly breathe.\I wish Ahiru could have been in the contest too. response:	Come to think of it, where is Ahiru?
context: Everyone try your best, aiming for this runner-up bouquet!\Mytho-sama is watching.\I don't want to lose.\No matter what.\The one to become his partner...\The mood's so tense you can hardly breathe.\I wish Ahiru could have been in the contest too.\Come to think of it, where is Ahiru? response:	Doesn't she care who becomes Mytho-sama's partner?
context: Mytho-sama is watching.\I don't want to lose.\No matter what.\The one to become his partner...\The mood's so tense you can hardly breathe.\I wish Ahiru could have been in the contest too.\Come to think of it, where is Ahiru?\Doesn't she care who becomes Mytho-sama's partner? response:	Does that mean she's completely a Fakir-sama girl now?
context: I don't want to lose.\No matter what.\The one to become his partner...\The mood's so tense you can hardly breathe.\I wish Ahiru could have been in the contest too.\Come to think of it, where is Ahiru?\Doesn't she care who becomes Mytho-sama's partner?\Does that mean she's completely a Fakir-sama girl now? response:	I sense a battle on the horizon!
context: No matter what.\The one to become his partner...\The mood's so tense you can hardly breathe.\I wish Ahiru could have been in the contest too.\Come to think of it, where is Ahiru?\Doesn't she care who becomes Mytho-sama's partner?\Does that mean she's completely a Fakir-sama girl now?\I sense a battle on the horizon! response:	Even Mytho won't be able to do anything funny during the competition, right?
context: The one to become his partner...\The mood's so tense you can hardly breathe.\I wish Ahiru could have been in the contest too.\Come to think of it, where is Ahiru?\Doesn't she care who becomes Mytho-sama's partner?\Does that mean she's completely a Fakir-sama girl now?\I sense a battle on the horizon!\Even Mytho won't be able to do anything funny during the competition, right? response:	I'm just showing up out of the blue; I wonder if Fakir is home...
context: The mood's so tense you can hardly breathe.\I wish Ahiru could have been in the contest too.\Come to think of it, where is Ahiru?\Doesn't she care who becomes Mytho-sama's partner?\Does that mean she's completely a Fakir-sama girl now?\I sense a battle on the horizon!\Even Mytho won't be able to do anything funny during the competition, right?\I'm just showing up out of the blue; I wonder if Fakir is home... response:	Qua...
context: I wish Ahiru could have been in the contest too.\Come to think of it, where is Ahiru?\Doesn't she care who becomes Mytho-sama's partner?\Does that mean she's completely a Fakir-sama girl now?\I sense a battle on the horizon!\Even Mytho won't be able to do anything funny during the competition, right?\I'm just showing up out of the blue; I wonder if Fakir is home...\Qua... response:	Here she is again!
context: Come to think of it, where is Ahiru?\Doesn't she care who becomes Mytho-sama's partner?\Does that mean she's completely a Fakir-sama girl now?\I sense a battle on the horizon!\Even Mytho won't be able to do anything funny during the competition, right?\I'm just showing up out of the blue; I wonder if Fakir is home...\Qua...\Here she is again! response:	Hey.
context: Doesn't she care who becomes Mytho-sama's partner?\Does that mean she's completely a Fakir-sama girl now?\I sense a battle on the horizon!\Even Mytho won't be able to do anything funny during the competition, right?\I'm just showing up out of the blue; I wonder if Fakir is home...\Qua...\Here she is again!\Hey. response:	What are you doing here?
context: Does that mean she's completely a Fakir-sama girl now?\I sense a battle on the horizon!\Even Mytho won't be able to do anything funny during the competition, right?\I'm just showing up out of the blue; I wonder if Fakir is home...\Qua...\Here she is again!\Hey.\What are you doing here? response:	Oh, Fakir.
context: I sense a battle on the horizon!\Even Mytho won't be able to do anything funny during the competition, right?\I'm just showing up out of the blue; I wonder if Fakir is home...\Qua...\Here she is again!\Hey.\What are you doing here?\Oh, Fakir. response:	Fakir!
context: Even Mytho won't be able to do anything funny during the competition, right?\I'm just showing up out of the blue; I wonder if Fakir is home...\Qua...\Here she is again!\Hey.\What are you doing here?\Oh, Fakir.\Fakir! response:	Huh?
context: I'm just showing up out of the blue; I wonder if Fakir is home...\Qua...\Here she is again!\Hey.\What are you doing here?\Oh, Fakir.\Fakir!\Huh? response:	But... But Fakir, do you know this girl?
context: Qua...\Here she is again!\Hey.\What are you doing here?\Oh, Fakir.\Fakir!\Huh?\But... But Fakir, do you know this girl? response:	She had a butt zura!
context: Here she is again!\Hey.\What are you doing here?\Oh, Fakir.\Fakir!\Huh?\But... But Fakir, do you know this girl?\She had a butt zura! response:	Did you do something to her?
context: Hey.\What are you doing here?\Oh, Fakir.\Fakir!\Huh?\But... But Fakir, do you know this girl?\She had a butt zura!\Did you do something to her? response:	I was looking for her tail and I found her butt zura!
context: What are you doing here?\Oh, Fakir.\Fakir!\Huh?\But... But Fakir, do you know this girl?\She had a butt zura!\Did you do something to her?\I was looking for her tail and I found her butt zura! response:	Now look, you!
context: Oh, Fakir.\Fakir!\Huh?\But... But Fakir, do you know this girl?\She had a butt zura!\Did you do something to her?\I was looking for her tail and I found her butt zura!\Now look, you! response:	Quack!
context: Fakir!\Huh?\But... But Fakir, do you know this girl?\She had a butt zura!\Did you do something to her?\I was looking for her tail and I found her butt zura!\Now look, you!\Quack! response:	Quack...
context: Huh?\But... But Fakir, do you know this girl?\She had a butt zura!\Did you do something to her?\I was looking for her tail and I found her butt zura!\Now look, you!\Quack!\Quack... response:	Her neck... Her neck...
context: But... But Fakir, do you know this girl?\She had a butt zura!\Did you do something to her?\I was looking for her tail and I found her butt zura!\Now look, you!\Quack!\Quack...\Her neck... Her neck... response:	Hey.
context: She had a butt zura!\Did you do something to her?\I was looking for her tail and I found her butt zura!\Now look, you!\Quack!\Quack...\Her neck... Her neck...\Hey. response:	Her neck twisted, it twisted...
context: Did you do something to her?\I was looking for her tail and I found her butt zura!\Now look, you!\Quack!\Quack...\Her neck... Her neck...\Hey.\Her neck twisted, it twisted... response:	Twist, twist, twist...
context: I was looking for her tail and I found her butt zura!\Now look, you!\Quack!\Quack...\Her neck... Her neck...\Hey.\Her neck twisted, it twisted...\Twist, twist, twist... response:	Why are you hiding zura?
context: Now look, you!\Quack!\Quack...\Her neck... Her neck...\Hey.\Her neck twisted, it twisted...\Twist, twist, twist...\Why are you hiding zura? response:	Shut up!
context: Quack!\Quack...\Her neck... Her neck...\Hey.\Her neck twisted, it twisted...\Twist, twist, twist...\Why are you hiding zura?\Shut up! response:	Here.
context: Quack...\Her neck... Her neck...\Hey.\Her neck twisted, it twisted...\Twist, twist, twist...\Why are you hiding zura?\Shut up!\Here. response:	Have you calmed down a little?
context: Her neck... Her neck...\Hey.\Her neck twisted, it twisted...\Twist, twist, twist...\Why are you hiding zura?\Shut up!\Here.\Have you calmed down a little? response:	Yes, thank you.
context: Hey.\Her neck twisted, it twisted...\Twist, twist, twist...\Why are you hiding zura?\Shut up!\Here.\Have you calmed down a little?\Yes, thank you. response:	Who is that girl?
context: Her neck twisted, it twisted...\Twist, twist, twist...\Why are you hiding zura?\Shut up!\Here.\Have you calmed down a little?\Yes, thank you.\Who is that girl? response:	Her name is Uzura.
context: Twist, twist, twist...\Why are you hiding zura?\Shut up!\Here.\Have you calmed down a little?\Yes, thank you.\Who is that girl?\Her name is Uzura. response:	Karon made her out of the bits of wood from Edel that didn't burn away.
context: Why are you hiding zura?\Shut up!\Here.\Have you calmed down a little?\Yes, thank you.\Who is that girl?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away. response:	Edel-san's?
context: Shut up!\Here.\Have you calmed down a little?\Yes, thank you.\Who is that girl?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's? response:	Is that why she knew me?
context: Here.\Have you calmed down a little?\Yes, thank you.\Who is that girl?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Is that why she knew me? response:	No, I told her about you.
context: Have you calmed down a little?\Yes, thank you.\Who is that girl?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Is that why she knew me?\No, I told her about you. response:	What?
context: Yes, thank you.\Who is that girl?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Is that why she knew me?\No, I told her about you.\What? response:	I told her about you and Mytho and things.
context: Who is that girl?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Is that why she knew me?\No, I told her about you.\What?\I told her about you and Mytho and things. response:	But it looks like Edel's memories are gone.
context: Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Is that why she knew me?\No, I told her about you.\What?\I told her about you and Mytho and things.\But it looks like Edel's memories are gone. response:	Burned away in the flame that warmed my body and guided you and Mytho...
context: Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Is that why she knew me?\No, I told her about you.\What?\I told her about you and Mytho and things.\But it looks like Edel's memories are gone.\Burned away in the flame that warmed my body and guided you and Mytho... response:	Edel-san...
context: Edel-san's?\Is that why she knew me?\No, I told her about you.\What?\I told her about you and Mytho and things.\But it looks like Edel's memories are gone.\Burned away in the flame that warmed my body and guided you and Mytho...\Edel-san... response:	She saved our lives.
context: Is that why she knew me?\No, I told her about you.\What?\I told her about you and Mytho and things.\But it looks like Edel's memories are gone.\Burned away in the flame that warmed my body and guided you and Mytho...\Edel-san...\She saved our lives. response:	I'm glad I get to see her again, even if it's like this.
context: No, I told her about you.\What?\I told her about you and Mytho and things.\But it looks like Edel's memories are gone.\Burned away in the flame that warmed my body and guided you and Mytho...\Edel-san...\She saved our lives.\I'm glad I get to see her again, even if it's like this. response:	Now that you've told me, she does kind of resemble Edel somehow...
context: What?\I told her about you and Mytho and things.\But it looks like Edel's memories are gone.\Burned away in the flame that warmed my body and guided you and Mytho...\Edel-san...\She saved our lives.\I'm glad I get to see her again, even if it's like this.\Now that you've told me, she does kind of resemble Edel somehow... response:	Quack!
context: I told her about you and Mytho and things.\But it looks like Edel's memories are gone.\Burned away in the flame that warmed my body and guided you and Mytho...\Edel-san...\She saved our lives.\I'm glad I get to see her again, even if it's like this.\Now that you've told me, she does kind of resemble Edel somehow...\Quack! response:	Quack...
context: But it looks like Edel's memories are gone.\Burned away in the flame that warmed my body and guided you and Mytho...\Edel-san...\She saved our lives.\I'm glad I get to see her again, even if it's like this.\Now that you've told me, she does kind of resemble Edel somehow...\Quack!\Quack... response:	Quack! Quack, quack, quack, quack! Quack, quack...
context: Burned away in the flame that warmed my body and guided you and Mytho...\Edel-san...\She saved our lives.\I'm glad I get to see her again, even if it's like this.\Now that you've told me, she does kind of resemble Edel somehow...\Quack!\Quack...\Quack! Quack, quack, quack, quack! Quack, quack... response:	Quack...
context: Edel-san...\She saved our lives.\I'm glad I get to see her again, even if it's like this.\Now that you've told me, she does kind of resemble Edel somehow...\Quack!\Quack...\Quack! Quack, quack, quack, quack! Quack, quack...\Quack... response:	Ow!
context: She saved our lives.\I'm glad I get to see her again, even if it's like this.\Now that you've told me, she does kind of resemble Edel somehow...\Quack!\Quack...\Quack! Quack, quack, quack, quack! Quack, quack...\Quack...\Ow! response:	What are you doing zura?
context: I'm glad I get to see her again, even if it's like this.\Now that you've told me, she does kind of resemble Edel somehow...\Quack!\Quack...\Quack! Quack, quack, quack, quack! Quack, quack...\Quack...\Ow!\What are you doing zura? response:	Shut up.
context: Now that you've told me, she does kind of resemble Edel somehow...\Quack!\Quack...\Quack! Quack, quack, quack, quack! Quack, quack...\Quack...\Ow!\What are you doing zura?\Shut up. response:	Anyway, didn't you have some reason for coming?
context: Quack!\Quack...\Quack! Quack, quack, quack, quack! Quack, quack...\Quack...\Ow!\What are you doing zura?\Shut up.\Anyway, didn't you have some reason for coming? response:	Yes. It's about Mytho.
context: Quack...\Quack! Quack, quack, quack, quack! Quack, quack...\Quack...\Ow!\What are you doing zura?\Shut up.\Anyway, didn't you have some reason for coming?\Yes. It's about Mytho. response:	A few days ago... he tried to take Pike's heart.
context: Quack! Quack, quack, quack, quack! Quack, quack...\Quack...\Ow!\What are you doing zura?\Shut up.\Anyway, didn't you have some reason for coming?\Yes. It's about Mytho.\A few days ago... he tried to take Pike's heart. response:	That didn't work, so now he's trying to do the same thing to Freya-san...
context: Quack...\Ow!\What are you doing zura?\Shut up.\Anyway, didn't you have some reason for coming?\Yes. It's about Mytho.\A few days ago... he tried to take Pike's heart.\That didn't work, so now he's trying to do the same thing to Freya-san... response:	The heart shard of love that Princess Tutu gave back to him...
context: Ow!\What are you doing zura?\Shut up.\Anyway, didn't you have some reason for coming?\Yes. It's about Mytho.\A few days ago... he tried to take Pike's heart.\That didn't work, so now he's trying to do the same thing to Freya-san...\The heart shard of love that Princess Tutu gave back to him... response:	It was soaked in the raven's blood.
context: What are you doing zura?\Shut up.\Anyway, didn't you have some reason for coming?\Yes. It's about Mytho.\A few days ago... he tried to take Pike's heart.\That didn't work, so now he's trying to do the same thing to Freya-san...\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood. response:	He'll find a young and beautiful heart for my father and give it to him as a sacrifice.
context: Shut up.\Anyway, didn't you have some reason for coming?\Yes. It's about Mytho.\A few days ago... he tried to take Pike's heart.\That didn't work, so now he's trying to do the same thing to Freya-san...\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\He'll find a young and beautiful heart for my father and give it to him as a sacrifice. response:	Did you tell her about this?
context: Anyway, didn't you have some reason for coming?\Yes. It's about Mytho.\A few days ago... he tried to take Pike's heart.\That didn't work, so now he's trying to do the same thing to Freya-san...\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\He'll find a young and beautiful heart for my father and give it to him as a sacrifice.\Did you tell her about this? response:	Maybe I should. If I did that I could make Tutu suffer, couldn't I?
context: Yes. It's about Mytho.\A few days ago... he tried to take Pike's heart.\That didn't work, so now he's trying to do the same thing to Freya-san...\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\He'll find a young and beautiful heart for my father and give it to him as a sacrifice.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I? response:	Hey, what do you think happened to Mytho? Did you find out anything?
context: A few days ago... he tried to take Pike's heart.\That didn't work, so now he's trying to do the same thing to Freya-san...\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\He'll find a young and beautiful heart for my father and give it to him as a sacrifice.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Hey, what do you think happened to Mytho? Did you find out anything? response:	No, nothing.
context: That didn't work, so now he's trying to do the same thing to Freya-san...\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\He'll find a young and beautiful heart for my father and give it to him as a sacrifice.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Hey, what do you think happened to Mytho? Did you find out anything?\No, nothing. response:	I see.
