context: Something wasn't right. response:	For some reason, that's how I felt.
context: apparently.\But Mikuru-chan and Yuki don't have yukatas.\So now we're going to go buy yukatas for tonight.\I don't have one either, so I found a place that sells complete sets for a cheap price.\You come along too!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms. response:	After making us wait for nearly an hour,
context: But Mikuru-chan and Yuki don't have yukatas.\So now we're going to go buy yukatas for tonight.\I don't have one either, so I found a place that sells complete sets for a cheap price.\You come along too!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour, response:	- anyone would be yawning -
context: So now we're going to go buy yukatas for tonight.\I don't have one either, so I found a place that sells complete sets for a cheap price.\You come along too!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\- anyone would be yawning - response:	the three of them finally showed up.
context: I don't have one either, so I found a place that sells complete sets for a cheap price.\You come along too!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\- anyone would be yawning -\the three of them finally showed up. response:	Excellent!
context: You come along too!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\- anyone would be yawning -\the three of them finally showed up.\Excellent! response:	You girls look great.
context: Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\- anyone would be yawning -\the three of them finally showed up.\Excellent!\You girls look great. response:	Of course! I picked them out, after all.
context: personally chose Asahina-san and Nagato's yukatas,\and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\- anyone would be yawning -\the three of them finally showed up.\Excellent!\You girls look great.\Of course! I picked them out, after all. response:	Especially Mikuru-chan!
context: and then immediately proceeded to drag them into the changing rooms.\After making us wait for nearly an hour,\- anyone would be yawning -\the three of them finally showed up.\Excellent!\You girls look great.\Of course! I picked them out, after all.\Especially Mikuru-chan! response:	It's so cute! Just what I'd expect from myself!
context: After making us wait for nearly an hour,\- anyone would be yawning -\the three of them finally showed up.\Excellent!\You girls look great.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself! response:	Y-Yes...
context: - anyone would be yawning -\the three of them finally showed up.\Excellent!\You girls look great.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes... response:	Asahina-san, it's great! Asahina-san!
context: the three of them finally showed up.\Excellent!\You girls look great.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes...\Asahina-san, it's great! Asahina-san! response:	There really is a lot of people here.
context: Excellent!\You girls look great.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes...\Asahina-san, it's great! Asahina-san!\There really is a lot of people here. response:	Huh? I'm getting this feeling again.
context: You girls look great.\Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes...\Asahina-san, it's great! Asahina-san!\There really is a lot of people here.\Huh? I'm getting this feeling again. response:	It should be my first time in a while.
context: Of course! I picked them out, after all.\Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes...\Asahina-san, it's great! Asahina-san!\There really is a lot of people here.\Huh? I'm getting this feeling again.\It should be my first time in a while. response:	Why do I get the feeling that I've just been here?
context: Especially Mikuru-chan!\It's so cute! Just what I'd expect from myself!\Y-Yes...\Asahina-san, it's great! Asahina-san!\There really is a lot of people here.\Huh? I'm getting this feeling again.\It should be my first time in a while.\Why do I get the feeling that I've just been here? response:	That stage...
context: It's so cute! Just what I'd expect from myself!\Y-Yes...\Asahina-san, it's great! Asahina-san!\There really is a lot of people here.\Huh? I'm getting this feeling again.\It should be my first time in a while.\Why do I get the feeling that I've just been here?\That stage... response:	That food stall...
context: Y-Yes...\Asahina-san, it's great! Asahina-san!\There really is a lot of people here.\Huh? I'm getting this feeling again.\It should be my first time in a while.\Why do I get the feeling that I've just been here?\That stage...\That food stall... response:	What's going on?
context: Asahina-san, it's great! Asahina-san!\There really is a lot of people here.\Huh? I'm getting this feeling again.\It should be my first time in a while.\Why do I get the feeling that I've just been here?\That stage...\That food stall...\What's going on? response:	Mikuru-chan!
context: There really is a lot of people here.\Huh? I'm getting this feeling again.\It should be my first time in a while.\Why do I get the feeling that I've just been here?\That stage...\That food stall...\What's going on?\Mikuru-chan! response:	They have the goldfish scooping that you wanted to do over here!
context: Huh? I'm getting this feeling again.\It should be my first time in a while.\Why do I get the feeling that I've just been here?\That stage...\That food stall...\What's going on?\Mikuru-chan!\They have the goldfish scooping that you wanted to do over here! response:	Come here! Come here!
context: It should be my first time in a while.\Why do I get the feeling that I've just been here?\That stage...\That food stall...\What's going on?\Mikuru-chan!\They have the goldfish scooping that you wanted to do over here!\Come here! Come here! response:	Oh. Okay.
context: Why do I get the feeling that I've just been here?\That stage...\That food stall...\What's going on?\Mikuru-chan!\They have the goldfish scooping that you wanted to do over here!\Come here! Come here!\Oh. Okay. response:	Shall we do the same?
context: That stage...\That food stall...\What's going on?\Mikuru-chan!\They have the goldfish scooping that you wanted to do over here!\Come here! Come here!\Oh. Okay.\Shall we do the same? response:	I'll pass.
context: That food stall...\What's going on?\Mikuru-chan!\They have the goldfish scooping that you wanted to do over here!\Come here! Come here!\Oh. Okay.\Shall we do the same?\I'll pass. response:	You're interested in these things?
context: What's going on?\Mikuru-chan!\They have the goldfish scooping that you wanted to do over here!\Come here! Come here!\Oh. Okay.\Shall we do the same?\I'll pass.\You're interested in these things? response:	Which one do you want? I'll buy it for you.
context: Mikuru-chan!\They have the goldfish scooping that you wanted to do over here!\Come here! Come here!\Oh. Okay.\Shall we do the same?\I'll pass.\You're interested in these things?\Which one do you want? I'll buy it for you. response:	It's all right.
context: They have the goldfish scooping that you wanted to do over here!\Come here! Come here!\Oh. Okay.\Shall we do the same?\I'll pass.\You're interested in these things?\Which one do you want? I'll buy it for you.\It's all right. response:	This.
context: Come here! Come here!\Oh. Okay.\Shall we do the same?\I'll pass.\You're interested in these things?\Which one do you want? I'll buy it for you.\It's all right.\This. response:	Sure!
context: Oh. Okay.\Shall we do the same?\I'll pass.\You're interested in these things?\Which one do you want? I'll buy it for you.\It's all right.\This.\Sure! response:	For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...
context: Shall we do the same?\I'll pass.\You're interested in these things?\Which one do you want? I'll buy it for you.\It's all right.\This.\Sure!\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but... response:	Man, we had a huge catch today! Huge!
context: I'll pass.\You're interested in these things?\Which one do you want? I'll buy it for you.\It's all right.\This.\Sure!\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge! response:	Thirteen fish!
context: You're interested in these things?\Which one do you want? I'll buy it for you.\It's all right.\This.\Sure!\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\Thirteen fish! response:	But since we didn't need them all, we just kept one fish each.
context: Which one do you want? I'll buy it for you.\It's all right.\This.\Sure!\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\Thirteen fish!\But since we didn't need them all, we just kept one fish each. response:	Oh, Yuki, what's with the mask?
context: It's all right.\This.\Sure!\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\Thirteen fish!\But since we didn't need them all, we just kept one fish each.\Oh, Yuki, what's with the mask? response:	I bought it.
context: This.\Sure!\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\Thirteen fish!\But since we didn't need them all, we just kept one fish each.\Oh, Yuki, what's with the mask?\I bought it. response:	Oh, really.
context: Sure!\For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\Thirteen fish!\But since we didn't need them all, we just kept one fish each.\Oh, Yuki, what's with the mask?\I bought it.\Oh, really. response:	Let me borrow your back.
context: For some odd reason, I feel like she's been looking after me, so paying for that would've been fine, but...\Man, we had a huge catch today! Huge!\Thirteen fish!\But since we didn't need them all, we just kept one fish each.\Oh, Yuki, what's with the mask?\I bought it.\Oh, really.\Let me borrow your back. response:	Come on, just turn the other way.
context: Man, we had a huge catch today! Huge!\Thirteen fish!\But since we didn't need them all, we just kept one fish each.\Oh, Yuki, what's with the mask?\I bought it.\Oh, really.\Let me borrow your back.\Come on, just turn the other way. response:	Hey!
context: Thirteen fish!\But since we didn't need them all, we just kept one fish each.\Oh, Yuki, what's with the mask?\I bought it.\Oh, really.\Let me borrow your back.\Come on, just turn the other way.\Hey! response:	Okay! Next is fireworks! Fireworks!
context: But since we didn't need them all, we just kept one fish each.\Oh, Yuki, what's with the mask?\I bought it.\Oh, really.\Let me borrow your back.\Come on, just turn the other way.\Hey!\Okay! Next is fireworks! Fireworks! response:	Let's do that to finish today off!
context: Oh, Yuki, what's with the mask?\I bought it.\Oh, really.\Let me borrow your back.\Come on, just turn the other way.\Hey!\Okay! Next is fireworks! Fireworks!\Let's do that to finish today off! response:	Haven't you ever heard of the saying Don't bite off more than you can chew?
context: I bought it.\Oh, really.\Let me borrow your back.\Come on, just turn the other way.\Hey!\Okay! Next is fireworks! Fireworks!\Let's do that to finish today off!\Haven't you ever heard of the saying Don't bite off more than you can chew? response:	When it's summer, there's summer vacation.
context: Oh, really.\Let me borrow your back.\Come on, just turn the other way.\Hey!\Okay! Next is fireworks! Fireworks!\Let's do that to finish today off!\Haven't you ever heard of the saying Don't bite off more than you can chew?\When it's summer, there's summer vacation. response:	So if I could have, I'd rather have forgotten about it, but there was one thing bothering me.
context: Let me borrow your back.\Come on, just turn the other way.\Hey!\Okay! Next is fireworks! Fireworks!\Let's do that to finish today off!\Haven't you ever heard of the saying Don't bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but there was one thing bothering me. response:	All right, everyone!
context: Come on, just turn the other way.\Hey!\Okay! Next is fireworks! Fireworks!\Let's do that to finish today off!\Haven't you ever heard of the saying Don't bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but there was one thing bothering me.\All right, everyone! response:	We'll go bug catching tomorrow.
context: Hey!\Okay! Next is fireworks! Fireworks!\Let's do that to finish today off!\Haven't you ever heard of the saying Don't bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but there was one thing bothering me.\All right, everyone!\We'll go bug catching tomorrow. response:	It will be the SOS Brigade Cicada Hunt!
context: Okay! Next is fireworks! Fireworks!\Let's do that to finish today off!\Haven't you ever heard of the saying Don't bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but there was one thing bothering me.\All right, everyone!\We'll go bug catching tomorrow.\It will be the SOS Brigade Cicada Hunt! response:	The person who catches the most will be Brigade Chief for one day!
context: Let's do that to finish today off!\Haven't you ever heard of the saying Don't bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but there was one thing bothering me.\All right, everyone!\We'll go bug catching tomorrow.\It will be the SOS Brigade Cicada Hunt!\The person who catches the most will be Brigade Chief for one day! response:	Haruhi, having fun is great and all, but have you finished your homework?
context: Haven't you ever heard of the saying Don't bite off more than you can chew?\When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but there was one thing bothering me.\All right, everyone!\We'll go bug catching tomorrow.\It will be the SOS Brigade Cicada Hunt!\The person who catches the most will be Brigade Chief for one day!\Haruhi, having fun is great and all, but have you finished your homework? response:	What are you talking about?
context: When it's summer, there's summer vacation.\So if I could have, I'd rather have forgotten about it, but there was one thing bothering me.\All right, everyone!\We'll go bug catching tomorrow.\It will be the SOS Brigade Cicada Hunt!\The person who catches the most will be Brigade Chief for one day!\Haruhi, having fun is great and all, but have you finished your homework?\What are you talking about? response:	Homework like that only takes three days!
context: So if I could have, I'd rather have forgotten about it, but there was one thing bothering me.\All right, everyone!\We'll go bug catching tomorrow.\It will be the SOS Brigade Cicada Hunt!\The person who catches the most will be Brigade Chief for one day!\Haruhi, having fun is great and all, but have you finished your homework?\What are you talking about?\Homework like that only takes three days! response:	Finish off all that tedious stuff so you can actually enjoy yourself.
context: All right, everyone!\We'll go bug catching tomorrow.\It will be the SOS Brigade Cicada Hunt!\The person who catches the most will be Brigade Chief for one day!\Haruhi, having fun is great and all, but have you finished your homework?\What are you talking about?\Homework like that only takes three days!\Finish off all that tedious stuff so you can actually enjoy yourself. response:	That's the right way to enjoy summer vacation!
context: We'll go bug catching tomorrow.\It will be the SOS Brigade Cicada Hunt!\The person who catches the most will be Brigade Chief for one day!\Haruhi, having fun is great and all, but have you finished your homework?\What are you talking about?\Homework like that only takes three days!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer vacation! response:	Why is this person so smart?
context: It will be the SOS Brigade Cicada Hunt!\The person who catches the most will be Brigade Chief for one day!\Haruhi, having fun is great and all, but have you finished your homework?\What are you talking about?\Homework like that only takes three days!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer vacation!\Why is this person so smart? response:	The next day, we got what you could call a ridiculously nice day.
context: The person who catches the most will be Brigade Chief for one day!\Haruhi, having fun is great and all, but have you finished your homework?\What are you talking about?\Homework like that only takes three days!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer vacation!\Why is this person so smart?\The next day, we got what you could call a ridiculously nice day. response:	And on that day, we had the SOS Brigade Cicada Hunt.
context: Haruhi, having fun is great and all, but have you finished your homework?\What are you talking about?\Homework like that only takes three days!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer vacation!\Why is this person so smart?\The next day, we got what you could call a ridiculously nice day.\And on that day, we had the SOS Brigade Cicada Hunt. response:	Everyone seemed to be putting up a fight but...
context: What are you talking about?\Homework like that only takes three days!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer vacation!\Why is this person so smart?\The next day, we got what you could call a ridiculously nice day.\And on that day, we had the SOS Brigade Cicada Hunt.\Everyone seemed to be putting up a fight but... response:	For some familiar reason or another, the winner was Haruhi.
context: Homework like that only takes three days!\Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer vacation!\Why is this person so smart?\The next day, we got what you could call a ridiculously nice day.\And on that day, we had the SOS Brigade Cicada Hunt.\Everyone seemed to be putting up a fight but...\For some familiar reason or another, the winner was Haruhi. response:	The next day, we were gathered for some random reason,
context: Finish off all that tedious stuff so you can actually enjoy yourself.\That's the right way to enjoy summer vacation!\Why is this person so smart?\The next day, we got what you could call a ridiculously nice day.\And on that day, we had the SOS Brigade Cicada Hunt.\Everyone seemed to be putting up a fight but...\For some familiar reason or another, the winner was Haruhi.\The next day, we were gathered for some random reason, response:	given a bunch of random frog costumes,
context: That's the right way to enjoy summer vacation!\Why is this person so smart?\The next day, we got what you could call a ridiculously nice day.\And on that day, we had the SOS Brigade Cicada Hunt.\Everyone seemed to be putting up a fight but...\For some familiar reason or another, the winner was Haruhi.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes, response:	and ended up handing out balloons in front of a supermarket as a small part-time job.
context: Why is this person so smart?\The next day, we got what you could call a ridiculously nice day.\And on that day, we had the SOS Brigade Cicada Hunt.\Everyone seemed to be putting up a fight but...\For some familiar reason or another, the winner was Haruhi.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job. response:	Are you all right?
context: The next day, we got what you could call a ridiculously nice day.\And on that day, we had the SOS Brigade Cicada Hunt.\Everyone seemed to be putting up a fight but...\For some familiar reason or another, the winner was Haruhi.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Are you all right? response:	Man, I thought I was going to die.
context: And on that day, we had the SOS Brigade Cicada Hunt.\Everyone seemed to be putting up a fight but...\For some familiar reason or another, the winner was Haruhi.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Are you all right?\Man, I thought I was going to die. response:	Actually, I'm dead.
context: Everyone seemed to be putting up a fight but...\For some familiar reason or another, the winner was Haruhi.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Are you all right?\Man, I thought I was going to die.\Actually, I'm dead. response:	Thanks for your work everyone!
context: For some familiar reason or another, the winner was Haruhi.\The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Are you all right?\Man, I thought I was going to die.\Actually, I'm dead.\Thanks for your work everyone! response:	You guys were great even in that heat!
context: The next day, we were gathered for some random reason,\given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Are you all right?\Man, I thought I was going to die.\Actually, I'm dead.\Thanks for your work everyone!\You guys were great even in that heat! response:	The manager was really grateful!
context: given a bunch of random frog costumes,\and ended up handing out balloons in front of a supermarket as a small part-time job.\Are you all right?\Man, I thought I was going to die.\Actually, I'm dead.\Thanks for your work everyone!\You guys were great even in that heat!\The manager was really grateful! response:	I don't need the old man's gratitude.
context: and ended up handing out balloons in front of a supermarket as a small part-time job.\Are you all right?\Man, I thought I was going to die.\Actually, I'm dead.\Thanks for your work everyone!\You guys were great even in that heat!\The manager was really grateful!\I don't need the old man's gratitude. response:	Where's our pay?
context: Are you all right?\Man, I thought I was going to die.\Actually, I'm dead.\Thanks for your work everyone!\You guys were great even in that heat!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay? response:	This is it.
context: Man, I thought I was going to die.\Actually, I'm dead.\Thanks for your work everyone!\You guys were great even in that heat!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it. response:	I've wanted this for a while now!
context: Actually, I'm dead.\Thanks for your work everyone!\You guys were great even in that heat!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it.\I've wanted this for a while now! response:	Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment!
context: Thanks for your work everyone!\You guys were great even in that heat!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it.\I've wanted this for a while now!\Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment! response:	You made us do all that work just for the sake of getting that?
context: You guys were great even in that heat!\The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it.\I've wanted this for a while now!\Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment!\You made us do all that work just for the sake of getting that? response:	Mikuru-chan, you can wear it whenever you feel like it.
context: The manager was really grateful!\I don't need the old man's gratitude.\Where's our pay?\This is it.\I've wanted this for a while now!\Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment!\You made us do all that work just for the sake of getting that?\Mikuru-chan, you can wear it whenever you feel like it. response:	I give you permission!
context: I don't need the old man's gratitude.\Where's our pay?\This is it.\I've wanted this for a while now!\Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment!\You made us do all that work just for the sake of getting that?\Mikuru-chan, you can wear it whenever you feel like it.\I give you permission! response:	That night.
context: Where's our pay?\This is it.\I've wanted this for a while now!\Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment!\You made us do all that work just for the sake of getting that?\Mikuru-chan, you can wear it whenever you feel like it.\I give you permission!\That night. response:	My slumber was again stolen away by none other than a phone call.
context: This is it.\I've wanted this for a while now!\Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment!\You made us do all that work just for the sake of getting that?\Mikuru-chan, you can wear it whenever you feel like it.\I give you permission!\That night.\My slumber was again stolen away by none other than a phone call. response:	Damn it.
context: I've wanted this for a while now!\Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment!\You made us do all that work just for the sake of getting that?\Mikuru-chan, you can wear it whenever you feel like it.\I give you permission!\That night.\My slumber was again stolen away by none other than a phone call.\Damn it. response:	Yeah.
context: Thanks to Mikuru-chan, I was able to get the manager to give it to me as payment!\You made us do all that work just for the sake of getting that?\Mikuru-chan, you can wear it whenever you feel like it.\I give you permission!\That night.\My slumber was again stolen away by none other than a phone call.\Damn it.\Yeah. response:	Kyon-kun...
context: You made us do all that work just for the sake of getting that?\Mikuru-chan, you can wear it whenever you feel like it.\I give you permission!\That night.\My slumber was again stolen away by none other than a phone call.\Damn it.\Yeah.\Kyon-kun... response:	Don't tell me this is... Asahina-san?
context: Mikuru-chan, you can wear it whenever you feel like it.\I give you permission!\That night.\My slumber was again stolen away by none other than a phone call.\Damn it.\Yeah.\Kyon-kun...\Don't tell me this is... Asahina-san? response:	Yes, it's me.
context: I give you permission!\That night.\My slumber was again stolen away by none other than a phone call.\Damn it.\Yeah.\Kyon-kun...\Don't tell me this is... Asahina-san?\Yes, it's me. response:	Something bad has...
context: That night.\My slumber was again stolen away by none other than a phone call.\Damn it.\Yeah.\Kyon-kun...\Don't tell me this is... Asahina-san?\Yes, it's me.\Something bad has... response:	If this goes on... I'll...
context: My slumber was again stolen away by none other than a phone call.\Damn it.\Yeah.\Kyon-kun...\Don't tell me this is... Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll... response:	Um...
context: Damn it.\Yeah.\Kyon-kun...\Don't tell me this is... Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll...\Um... response:	Hello. It's me, Koizumi.
context: Yeah.\Kyon-kun...\Don't tell me this is... Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi. response:	Why are you together with Asahina-san?
context: Kyon-kun...\Don't tell me this is... Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san? response:	A slight problem has occurred.
context: Don't tell me this is... Asahina-san?\Yes, it's me.\Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred. response:	Do you think you could come right now?
context: Yes, it's me.\Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come right now? response:	Hell yeah!
context: Something bad has...\If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come right now?\Hell yeah! response:	I'm on my way right now!
context: If this goes on... I'll...\Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come right now?\Hell yeah!\I'm on my way right now! response:	Asahina-san, what exactly happened?
context: Um...\Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come right now?\Hell yeah!\I'm on my way right now!\Asahina-san, what exactly happened? response:	Kyon-kun...
context: Hello. It's me, Koizumi.\Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come right now?\Hell yeah!\I'm on my way right now!\Asahina-san, what exactly happened?\Kyon-kun... response:	I can't go back to the future anymore!
context: Why are you together with Asahina-san?\A slight problem has occurred.\Do you think you could come right now?\Hell yeah!\I'm on my way right now!\Asahina-san, what exactly happened?\Kyon-kun...\I can't go back to the future anymore! response:	Can't go back?
context: A slight problem has occurred.\Do you think you could come right now?\Hell yeah!\I'm on my way right now!\Asahina-san, what exactly happened?\Kyon-kun...\I can't go back to the future anymore!\Can't go back? response:	Um, can't go back as in...
context: Do you think you could come right now?\Hell yeah!\I'm on my way right now!\Asahina-san, what exactly happened?\Kyon-kun...\I can't go back to the future anymore!\Can't go back?\Um, can't go back as in... response:	In short, that's what happened.
context: Hell yeah!\I'm on my way right now!\Asahina-san, what exactly happened?\Kyon-kun...\I can't go back to the future anymore!\Can't go back?\Um, can't go back as in...\In short, that's what happened. response:	We're currently looping through the same time period over and over again.
context: I'm on my way right now!\Asahina-san, what exactly happened?\Kyon-kun...\I can't go back to the future anymore!\Can't go back?\Um, can't go back as in...\In short, that's what happened.\We're currently looping through the same time period over and over again. response:	What?
context: Asahina-san, what exactly happened?\Kyon-kun...\I can't go back to the future anymore!\Can't go back?\Um, can't go back as in...\In short, that's what happened.\We're currently looping through the same time period over and over again.\What? response:	We're currently looping through the same time period over and over again.
context: Kyon-kun...\I can't go back to the future anymore!\Can't go back?\Um, can't go back as in...\In short, that's what happened.\We're currently looping through the same time period over and over again.\What?\We're currently looping through the same time period over and over again. response:	We're currently looping-
context: I can't go back to the future anymore!\Can't go back?\Um, can't go back as in...\In short, that's what happened.\We're currently looping through the same time period over and over again.\What?\We're currently looping through the same time period over and over again.\We're currently looping- response:	Hey, do you have any idea what you're saying?
context: Can't go back?\Um, can't go back as in...\In short, that's what happened.\We're currently looping through the same time period over and over again.\What?\We're currently looping through the same time period over and over again.\We're currently looping-\Hey, do you have any idea what you're saying? response:	I do.
context: Um, can't go back as in...\In short, that's what happened.\We're currently looping through the same time period over and over again.\What?\We're currently looping through the same time period over and over again.\We're currently looping-\Hey, do you have any idea what you're saying?\I do. response:	There is nothing more to it.
context: In short, that's what happened.\We're currently looping through the same time period over and over again.\What?\We're currently looping through the same time period over and over again.\We're currently looping-\Hey, do you have any idea what you're saying?\I do.\There is nothing more to it. response:	I was talking to Asahina-san just now.
context: We're currently looping through the same time period over and over again.\What?\We're currently looping through the same time period over and over again.\We're currently looping-\Hey, do you have any idea what you're saying?\I do.\There is nothing more to it.\I was talking to Asahina-san just now. response:	Call me up too!
context: What?\We're currently looping through the same time period over and over again.\We're currently looping-\Hey, do you have any idea what you're saying?\I do.\There is nothing more to it.\I was talking to Asahina-san just now.\Call me up too! response:	As a result, I happened to notice that the flow of time has felt strange lately.
context: We're currently looping through the same time period over and over again.\We're currently looping-\Hey, do you have any idea what you're saying?\I do.\There is nothing more to it.\I was talking to Asahina-san just now.\Call me up too!\As a result, I happened to notice that the flow of time has felt strange lately. response:	I guess you can say Asahina-san was the one that discovered it.
context: We're currently looping-\Hey, do you have any idea what you're saying?\I do.\There is nothing more to it.\I was talking to Asahina-san just now.\Call me up too!\As a result, I happened to notice that the flow of time has felt strange lately.\I guess you can say Asahina-san was the one that discovered it. response:	Thanks to that, I was able to confirm something.
context: Hey, do you have any idea what you're saying?\I do.\There is nothing more to it.\I was talking to Asahina-san just now.\Call me up too!\As a result, I happened to notice that the flow of time has felt strange lately.\I guess you can say Asahina-san was the one that discovered it.\Thanks to that, I was able to confirm something. response:	Confirm what?
context: I do.\There is nothing more to it.\I was talking to Asahina-san just now.\Call me up too!\As a result, I happened to notice that the flow of time has felt strange lately.\I guess you can say Asahina-san was the one that discovered it.\Thanks to that, I was able to confirm something.\Confirm what? response:	We're experiencing the same eternally repeating time period.
context: There is nothing more to it.\I was talking to Asahina-san just now.\Call me up too!\As a result, I happened to notice that the flow of time has felt strange lately.\I guess you can say Asahina-san was the one that discovered it.\Thanks to that, I was able to confirm something.\Confirm what?\We're experiencing the same eternally repeating time period. response:	For a while now, it's been continuing to repeat over and over again.
context: I was talking to Asahina-san just now.\Call me up too!\As a result, I happened to notice that the flow of time has felt strange lately.\I guess you can say Asahina-san was the one that discovered it.\Thanks to that, I was able to confirm something.\Confirm what?\We're experiencing the same eternally repeating time period.\For a while now, it's been continuing to repeat over and over again. response:	You told me that already.
