context: I am Son Goku's Son!! Gohan Returns to the Battlefield response:	Kaio-sama!
context: Great! It's just as I figured!\All right!\Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...!\That's right! The Grand Elder's measure of life will once again...!\I know!\Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy.\Kaio-sama...\I want you to listen closely to what I'm about to say. response:	Just a little bit more time...
context: All right!\Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...!\That's right! The Grand Elder's measure of life will once again...!\I know!\Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy.\Kaio-sama...\I want you to listen closely to what I'm about to say.\Just a little bit more time... response:	Where did all that spirit you had a moment ago go?
context: Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...!\That's right! The Grand Elder's measure of life will once again...!\I know!\Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy.\Kaio-sama...\I want you to listen closely to what I'm about to say.\Just a little bit more time...\Where did all that spirit you had a moment ago go? response:	I know! I just thought of something nice!
context: That's right! The Grand Elder's measure of life will once again...!\I know!\Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy.\Kaio-sama...\I want you to listen closely to what I'm about to say.\Just a little bit more time...\Where did all that spirit you had a moment ago go?\I know! I just thought of something nice! response:	I think I'll put you into the same grave as your father.
context: I know!\Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy.\Kaio-sama...\I want you to listen closely to what I'm about to say.\Just a little bit more time...\Where did all that spirit you had a moment ago go?\I know! I just thought of something nice!\I think I'll put you into the same grave as your father. response:	What do you think? That must make you happy! You should be grateful for my kindness.
context: Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy.\Kaio-sama...\I want you to listen closely to what I'm about to say.\Just a little bit more time...\Where did all that spirit you had a moment ago go?\I know! I just thought of something nice!\I think I'll put you into the same grave as your father.\What do you think? That must make you happy! You should be grateful for my kindness. response:	Okay, that put a little bit more fight into him.
context: Kaio-sama...\I want you to listen closely to what I'm about to say.\Just a little bit more time...\Where did all that spirit you had a moment ago go?\I know! I just thought of something nice!\I think I'll put you into the same grave as your father.\What do you think? That must make you happy! You should be grateful for my kindness.\Okay, that put a little bit more fight into him. response:	That kid! What is he thinking!?
context: I want you to listen closely to what I'm about to say.\Just a little bit more time...\Where did all that spirit you had a moment ago go?\I know! I just thought of something nice!\I think I'll put you into the same grave as your father.\What do you think? That must make you happy! You should be grateful for my kindness.\Okay, that put a little bit more fight into him.\That kid! What is he thinking!? response:	So that's it!
context: Just a little bit more time...\Where did all that spirit you had a moment ago go?\I know! I just thought of something nice!\I think I'll put you into the same grave as your father.\What do you think? That must make you happy! You should be grateful for my kindness.\Okay, that put a little bit more fight into him.\That kid! What is he thinking!?\So that's it! response:	I've figured out what you were after!
context: Where did all that spirit you had a moment ago go?\I know! I just thought of something nice!\I think I'll put you into the same grave as your father.\What do you think? That must make you happy! You should be grateful for my kindness.\Okay, that put a little bit more fight into him.\That kid! What is he thinking!?\So that's it!\I've figured out what you were after! response:	You're stalling for time, aren't you? That must be it!
context: I know! I just thought of something nice!\I think I'll put you into the same grave as your father.\What do you think? That must make you happy! You should be grateful for my kindness.\Okay, that put a little bit more fight into him.\That kid! What is he thinking!?\So that's it!\I've figured out what you were after!\You're stalling for time, aren't you? That must be it! response:	You've realized that this planet only has a few more moments of its life span left, haven't you?
context: I think I'll put you into the same grave as your father.\What do you think? That must make you happy! You should be grateful for my kindness.\Okay, that put a little bit more fight into him.\That kid! What is he thinking!?\So that's it!\I've figured out what you were after!\You're stalling for time, aren't you? That must be it!\You've realized that this planet only has a few more moments of its life span left, haven't you? response:	Y- You...
context: What do you think? That must make you happy! You should be grateful for my kindness.\Okay, that put a little bit more fight into him.\That kid! What is he thinking!?\So that's it!\I've figured out what you were after!\You're stalling for time, aren't you? That must be it!\You've realized that this planet only has a few more moments of its life span left, haven't you?\Y- You... response:	You, who killed Father and Kuririn-san...
context: Okay, that put a little bit more fight into him.\That kid! What is he thinking!?\So that's it!\I've figured out what you were after!\You're stalling for time, aren't you? That must be it!\You've realized that this planet only has a few more moments of its life span left, haven't you?\Y- You...\You, who killed Father and Kuririn-san... response:	I can't allow someone like you to go on living!
context: That kid! What is he thinking!?\So that's it!\I've figured out what you were after!\You're stalling for time, aren't you? That must be it!\You've realized that this planet only has a few more moments of its life span left, haven't you?\Y- You...\You, who killed Father and Kuririn-san...\I can't allow someone like you to go on living! response:	Masenko!
context: So that's it!\I've figured out what you were after!\You're stalling for time, aren't you? That must be it!\You've realized that this planet only has a few more moments of its life span left, haven't you?\Y- You...\You, who killed Father and Kuririn-san...\I can't allow someone like you to go on living!\Masenko! response:	Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan.
context: I've figured out what you were after!\You're stalling for time, aren't you? That must be it!\You've realized that this planet only has a few more moments of its life span left, haven't you?\Y- You...\You, who killed Father and Kuririn-san...\I can't allow someone like you to go on living!\Masenko!\Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan. response:	However, I'm done playing around. You've gone to such trouble, so let me show you...
context: You're stalling for time, aren't you? That must be it!\You've realized that this planet only has a few more moments of its life span left, haven't you?\Y- You...\You, who killed Father and Kuririn-san...\I can't allow someone like you to go on living!\Masenko!\Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan.\However, I'm done playing around. You've gone to such trouble, so let me show you... response:	Father... Piccolo-san...
context: You've realized that this planet only has a few more moments of its life span left, haven't you?\Y- You...\You, who killed Father and Kuririn-san...\I can't allow someone like you to go on living!\Masenko!\Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan.\However, I'm done playing around. You've gone to such trouble, so let me show you...\Father... Piccolo-san... response:	You're finished!
context: Y- You...\You, who killed Father and Kuririn-san...\I can't allow someone like you to go on living!\Masenko!\Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan.\However, I'm done playing around. You've gone to such trouble, so let me show you...\Father... Piccolo-san...\You're finished! response:	What!?
context: You, who killed Father and Kuririn-san...\I can't allow someone like you to go on living!\Masenko!\Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan.\However, I'm done playing around. You've gone to such trouble, so let me show you...\Father... Piccolo-san...\You're finished!\What!? response:	F- Father!
context: I can't allow someone like you to go on living!\Masenko!\Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan.\However, I'm done playing around. You've gone to such trouble, so let me show you...\Father... Piccolo-san...\You're finished!\What!?\F- Father! response:	Why haven't you escaped?
context: Masenko!\Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan.\However, I'm done playing around. You've gone to such trouble, so let me show you...\Father... Piccolo-san...\You're finished!\What!?\F- Father!\Why haven't you escaped? response:	I thought I told you to get away!
context: Hmph. It has to be like this, or it wouldn't be enjoyable. Just like a Saiyan.\However, I'm done playing around. You've gone to such trouble, so let me show you...\Father... Piccolo-san...\You're finished!\What!?\F- Father!\Why haven't you escaped?\I thought I told you to get away! response:	B- But...
context: However, I'm done playing around. You've gone to such trouble, so let me show you...\Father... Piccolo-san...\You're finished!\What!?\F- Father!\Why haven't you escaped?\I thought I told you to get away!\B- But... response:	- GO!! - Right!
context: Father... Piccolo-san...\You're finished!\What!?\F- Father!\Why haven't you escaped?\I thought I told you to get away!\B- But...\- GO!! - Right! response:	Father...
context: You're finished!\What!?\F- Father!\Why haven't you escaped?\I thought I told you to get away!\B- But...\- GO!! - Right!\Father... response:	You undying freak!
context: What!?\F- Father!\Why haven't you escaped?\I thought I told you to get away!\B- But...\- GO!! - Right!\Father...\You undying freak! response:	Goku rises again from the brink of death!
context: F- Father!\Why haven't you escaped?\I thought I told you to get away!\B- But...\- GO!! - Right!\Father...\You undying freak!\Goku rises again from the brink of death! response:	Can Kaio's wish reach the Super Shen Long Polunga before the destruction of Planet Namek?
